<doc id="wr_1759-10-27" attrs="word" year="1759" month="10" day="27" corpus="2">
<head id="h2_d392e4020">
Altona	w1_d392e4024
vor	w7_d392e11330
Brest	w9_d392e11333
gelagert.	w11_d392e11336
</p>
<p id="p18_d392e11339">
Am	w1_d392e11343
22.	w3_d392e11346
des	w5_d392e11349
letztern	w7_d392e11352
Monats	w9_d392e11355
sind	w11_d392e11358
zwey	w13_d392e11362
merkwürdige	w1_d392e11367
Wett=läuffe	w3_d392e11370
geschehen,	w5_d392e11373
wo	w7_d392e11376
bey	w1_d392e11381
verschiedene	w3_d392e11384
Personen	w5_d392e11387
mit	w7_d392e11390
grossen	w9_d392e11393
Sund	w11_d392e11396
men	w1_d392e11402
intereßirt	w3_d392e11405
gewesen	w5_d392e11408
seynd.	w7_d392e11411
Der	w9_d392e11414
eine	w11_d392e11417
ge	w13_d392e11421
schahe	w1_d392e11426
von	w3_d392e11429
einem	w5_d392e11432
jungen	w7_d392e11435
Edel=mann	w9_d392e11438
mit	w11_d392e11441
4.	w13_d392e11445
seiner	w1_d392e11450
eigenen	w3_d392e11453
Pferden,	w5_d392e11456
die	w7_d392e11459
in	w9_d392e11462
2.	w11_d392e11465
Stun	w13_d392e11469
den	w1_d392e11474
40.	w3_d392e11477
Meilen	w5_d392e11480
haben	w7_d392e11483
zuruck	w9_d392e11486
legen	w11_d392e11489
sollen.	w13_d392e11493
und	w1_d392e11499
wobey	w3_d392e11502
er	w5_d392e11505
noch	w7_d392e11508
12.	w9_d392e11511
Minuten,	w11_d392e11514
und	w13_d392e11518
13.	w15_d392e11521
Secunden	w1_d392e11526
übrig	w3_d392e11529
gehalten	w5_d392e11532
hat.	w7_d392e11535
Den	w9_d392e11538
an	w11_d392e11541
dern	w1_d392e11546
thate	w3_d392e11549
ein	w5_d392e11552
hiesiger	w7_d392e11555
Handels=mann	w9_d392e11558
zu	w11_d392e11561
Royston	w1_d392e11566
in	w3_d392e11569
der	w5_d392e11572
Grafschaft	w7_d392e11575
Hertfort.	w9_d392e11578
Die	w11_d392e11581
Wette	w1_d392e11587
galte	w3_d392e11590
1300.	w5_d392e11593
Guineen,	w7_d392e11596
ohne	w9_d392e11599
deren	w11_d392e11602
Wetten	w1_d392e11607
anderer	w3_d392e11610
Personen	w5_d392e11613
von	w7_d392e11616
mehr	w9_d392e11619
als	w11_d392e11622
ein	w13_d392e11626
tausend	w1_d392e11631
Pfund	w3_d392e11634
Sterlings.	w5_d392e11637
Er	w7_d392e11640
solte	w9_d392e11643
auch	w11_d392e11646
in	w1_d392e11651
zwey	w3_d392e11654
Stunden	w5_d392e11657
42.	w7_d392e11660
Meilen	w9_d392e11663
mit	w11_d392e11666
4.	w13_d392e11670
Pfer	w15_d392e11673
den	w1_d392e11679
machen,	w3_d392e11682
und	w5_d392e11685
er	w7_d392e11688
verrichtete	w9_d392e11691
diesen	w11_d392e11694
Lauf	w13_d392e11698
in	w15_d392e11701
einer	w1_d392e11706
Stund	w3_d392e11709
und	w5_d392e11712
49.	w7_d392e11715
Minuten.	w9_d392e11718
</p>
<head id="h2_d392e11724">
Schwibus	w1_d392e11728
4.	w3_d392e11731
October.	w5_d392e11734
</head>
<p id="p4_d392e11737">
Den	w1_d392e11741
2.	w3_d392e11744
dieses	w5_d392e11747
marschirte	w7_d392e11750
die	w9_d392e11753
Kaiserl.	w11_d392e11756
Rußische	w1_d392e11761
Armee	w3_d392e11764
von	w5_d392e11767
Reinberg	w7_d392e11770
nach	w9_d392e11773
Kutlau.	w11_d392e11776
Die	w1_d392e11781
Preußische	w3_d392e11784
bliebe	w5_d392e11787
den	w7_d392e11790
ersten	w9_d392e11793
in	w11_d392e11796
ihrem	w13_d392e11800
Lager,	w1_d392e11806
und	w3_d392e11809
liesse	w5_d392e11812
nur	w7_d392e11815
einen	w9_d392e11818
Theil	w11_d392e11821
der	w13_d392e11825
Ca	w15_d392e11828
vallerie	w1_d392e11833
nacher	w3_d392e11836
Gloggau	w5_d392e11839
vorrucken.	w7_d392e11842
Den	w9_d392e11845
2.	w1_d392e11850
gabe	w3_d392e11853
der	w5_d392e11856
Herr	w7_d392e11859
Generalfeldmarschall	w9_d392e11862
leutenannt	w1_d392e11867
von	w3_d392e11870
Laudohn,	w5_d392e11873
bey	w7_d392e11876
seiner	w9_d392e11879
Ankunft	w11_d392e11882
in	w1_d392e11888
dem	w3_d392e11891
Lager	w5_d392e11894
die	w7_d392e11897
Nachricht,	w9_d392e11900
daß	w11_d392e11903
die	w13_d392e11907
feind	w15_d392e11910
liche	w1_d392e11915
Küraßiers,	w3_d392e11918
und	w5_d392e11921
2.	w7_d392e11924
Regimenter	w9_d392e11927
Hus	w11_d392e11930
saren	w1_d392e11935
diesseits	w3_d392e11938
der	w5_d392e11941
Oder	w7_d392e11944
unweit	w9_d392e11947
Gloggan	w11_d392e11950
campirten,	w1_d392e11955
mit	w3_d392e11958
welchen	w5_d392e11961
er	w7_d392e11964
bereits	w9_d392e11967
scharmu	w11_d392e11970
ziert,	w1_d392e11976
auch	w3_d392e11979
sogar	w5_d392e11982
ihre	w7_d392e11985
Vor=posten	w9_d392e11988
zuruck	w11_d392e11991
ge	w13_d392e11995
trieben	w1_d392e12000
hätte.	w3_d392e12003
Der	w5_d392e12006
General	w7_d392e12009
Malachswsky	w9_d392e12012
wäre	w1_d392e12017
bey	w3_d392e12020
dieser	w5_d392e12023
Gelegenheit	w7_d392e12026
bald	w9_d392e12029
gefangen	w11_d392e12032
worden.	w1_d392e12037
Den	w1_d392e12043
</p>
<p id="p8_d392e12048">
Den	w1_d392e12052
3.	w3_d392e12055
setzten	w5_d392e12058
8.	w7_d392e12061
Preußische	w9_d392e12064
Bataillons	w11_d392e12067
bey	w1_d392e12072
Glogau	w3_d392e12075
über	w5_d392e12078
die	w7_d392e12081
Oder,	w9_d392e12084
und	w11_d392e12087
bezogen	w13_d392e12091
diesseits	w1_d392e12096
sothannen	w3_d392e12099
Flußes	w5_d392e12102
bey	w7_d392e12105
dem	w9_d392e12108
Dorf	w11_d392e12111
Rapsen	w1_d392e12117
ein	w3_d392e12120
Lager;	w5_d392e12123
der	w7_d392e12126
gröste	w9_d392e12129
Theil	w11_d392e12132
ihrer	w13_d392e12136
Armee	w1_d392e12141
aber	w3_d392e12144
campirt	w5_d392e12147
annoch	w7_d392e12150
auf	w9_d392e12153
der	w11_d392e12156
ande	w13_d392e12160
ren	w1_d392e12165
Seite	w3_d392e12168
der	w5_d392e12171
Oder,	w7_d392e12174
mit	w9_d392e12177
dem	w11_d392e12180
rechten	w13_d392e12184
Flü	w15_d392e12187
gel	w1_d392e12192
an	w3_d392e12195
Glogau	w5_d392e12198
anstossend.	w7_d392e12201
</p>
<p id="p10_d392e12204">
Den	w1_d392e12208
4.	w3_d392e12211
brache	w5_d392e12214
die	w7_d392e12217
Rußisch=Kaiserl.	w9_d392e12220
Ar	w11_d392e12223
mee	w1_d392e12228
wieder	w3_d392e12231
auf,	w5_d392e12234
und	w7_d392e12237
marschierte	w9_d392e12240
in	w11_d392e12243
Schlacht	w13_d392e12247
ordnung	w1_d392e12252
in	w3_d392e12255
zweyen	w5_d392e12258
Linien	w7_d392e12261
nacher	w9_d392e12264
Schwu	w11_d392e12267
sen.	w1_d392e12273
Das	w3_d392e12276
Laudohnische	w5_d392e12279
Corps,	w7_d392e12282
welches	w9_d392e12285
die	w1_d392e12290
Arriere=garde	w3_d392e12293
machte,	w5_d392e12296
marschierte	w7_d392e12299
nicht	w9_d392e12302
weiter	w1_d392e12307
als	w3_d392e12310
etwann	w5_d392e12313
dreyviertel	w7_d392e12316
Meilen	w9_d392e12319
vor	w11_d392e12322
der	w1_d392e12327
Preußischen	w3_d392e12330
Armee	w5_d392e12333
vorbey,	w7_d392e12336
und	w9_d392e12339
zumalen	w11_d392e12342
die	w1_d392e12348
vordere	w3_d392e12351
Trupen	w5_d392e12354
der	w7_d392e12357
Ruß.	w9_d392e12360
Armee	w11_d392e12363
etwas	w13_d392e12367
zu	w1_d392e12372
weit	w3_d392e12375
rechter	w5_d392e12378
Hand	w7_d392e12381
sich	w9_d392e12384
gewendet	w11_d392e12387
hatten,	w13_d392e12391
so	w1_d392e12396
wurde	w3_d392e12399
von	w5_d392e12402
einer	w7_d392e12405
nahen	w9_d392e12408
Preußischen	w11_d392e12411
Bat	w13_d392e12415
terie	w1_d392e12420
auf	w3_d392e12423
diese	w5_d392e12426
geschossen;	w7_d392e12429
da	w9_d392e12432
sich	w11_d392e12435
aber	w13_d392e12439
die	w15_d392e12442
Armee	w1_d392e12448
gegen	w3_d392e12451
die	w5_d392e12454
linke	w7_d392e12457
Seite	w9_d392e12460
zoge,	w11_d392e12463
so	w13_d392e12467
kam	w15_d392e12470
dieselbe	w1_d392e12475
ohne	w3_d392e12478
mindesten	w5_d392e12481
Widerstand	w7_d392e12484
in	w9_d392e12487
ihrem	w11_d392e12490
Lager	w1_d392e12495
an.	w3_d392e12498
Uebrigens	w5_d392e12501
ist	w7_d392e12504
bey	w9_d392e12507
der	w11_d392e12510
Rußischen	w13_d392e12514
Armee	w1_d392e12519
bereits	w3_d392e12522
die	w5_d392e12525
Ordre	w7_d392e12528
ertheilet,	w9_d392e12531
den	w11_d392e12534
8.	w13_d392e12538
wieder	w1_d392e12544
von	w3_d392e12547
hier	w5_d392e12550
aufzubrechen.	w7_d392e12553
</p>
<head id="h2_d392e12559">
Kurz=gefaßte	w1_d392e12563
Nachrichten	w3_d392e12566
von	w1_d392e12571
verschiedenen	w3_d392e12574
Orten.	w5_d392e12577
Man	w1_d392e12582
vernihmt	w3_d392e12585
</head>
<p id="p4_d392e12588">
Aus	w1_d392e12592
Sachsen:	w3_d392e12595
Daß	w5_d392e12598
der	w7_d392e12601
Herzoglich	w9_d392e12604
Wüttembergische	w1_d392e12609
General	w3_d392e12612
von	w5_d392e12615
Augee,	w7_d392e12618
von	w9_d392e12621
der	w1_d392e12626
Kaiserl.	w3_d392e12629
Königl.	w5_d392e12632
Armee	w7_d392e12635
zu	w9_d392e12638
dem	w11_d392e12641
10000.	w13_d392e12645
Mann	w1_d392e12651
starken	w3_d392e12654
Corps	w5_d392e12657
der	w7_d392e12660
Herzoglichen	w9_d392e12663
Tru	w11_d392e12666
pen	w1_d392e12671
abgegangen	w3_d392e12674
seye,	w5_d392e12677
welche	w7_d392e12680
sich	w9_d392e12683
bereits	w11_d392e12686
in	w1_d392e12691
Bewegung	w3_d392e12694
gesetzet,	w5_d392e12697
um	w7_d392e12700
den	w9_d392e12703
Fränkischen	w11_d392e12706
Kreiß	w1_d392e12711
vor	w3_d392e12714
weitern	w5_d392e12717
Jnvasionen	w7_d392e12720
gegenseiti	w9_d392e12723
ger	w1_d392e12729
Trupen	w3_d392e12732
zu	w5_d392e12735
bedecken.	w7_d392e12738
</p>
<p id="p6_d392e12741">
Von	w1_d392e12745
Madrid:	w3_d392e12748
Daß	w5_d392e12751
der	w7_d392e12754
Durchleuchtige	w9_d392e12757
Jnfant	w1_d392e12762
Don	w3_d392e12765
Louis	w5_d392e12768
gleich	w7_d392e12771
nach	w9_d392e12774
der	w11_d392e12777
Procla	w13_d392e12781
mation	w1_d392e12786
des	w3_d392e12789
neuen	w5_d392e12792
Monarchens	w7_d392e12795
nach	w9_d392e12798
Bar	w11_d392e12801
cellona	w1_d392e12807
abgereiset	w3_d392e12810
seye,	w5_d392e12813
um	w7_d392e12816
allda	w9_d392e12819
Se.	w11_d392e12822
Ma	w13_d392e12826
jestät	w1_d392e12831
Dero	w3_d392e12834
Herrn	w5_d392e12837
Bruder	w7_d392e12840
zu	w9_d392e12843
erwarten.	w11_d392e12846
</p>
<p id="p8_d392e12849">
Von	w1_d392e12853
Gibraltar:	w3_d392e12856
Daß	w5_d392e12859
seit	w7_d392e12862
der	w9_d392e12865
Abreise	w11_d392e12868
des	w1_d392e12873
Admirals	w3_d392e12876
Boscawen,	w5_d392e12879
welcher	w7_d392e12882
mit	w9_d392e12885
5.	w11_d392e12888
Kriegs=schiffen	w1_d392e12893
und	w3_d392e12896
2.	w5_d392e12899
Französischen	w7_d392e12902
Prie	w9_d392e12905
</p>
<p id="p10_d392e12908">
sen	w1_d392e12912
nach	w3_d392e12915
England	w5_d392e12918
zuruck	w7_d392e12921
gekehret,	w9_d392e12924
sich	w11_d392e12927
der	w13_d392e12931
Admiral	w1_d392e12936
Broderick	w3_d392e12939
mit	w5_d392e12942
dem	w7_d392e12945
Rest	w9_d392e12948
der	w11_d392e12951
Eng	w13_d392e12955
ländischen	w1_d392e12960
Escadre	w3_d392e12963
vor	w5_d392e12966
Cadix	w7_d392e12969
begeben	w9_d392e12972
ha	w11_d392e12975
be,	w1_d392e12981
um	w3_d392e12984
auf	w5_d392e12987
der	w7_d392e12990
Höhe	w9_d392e12993
dieser	w11_d392e12996
Bay	w13_d392e13000
zu	w15_d392e13003
kreu	w17_d392e13006
zen,	w1_d392e13011
und	w3_d392e13014
die	w5_d392e13017
Kriegs=schiffe	w7_d392e13020
des	w9_d392e13023
Herrn	w11_d392e13026
de	w13_d392e13030
la	w15_d392e13033
Clue,	w1_d392e13038
welche	w3_d392e13041
sich	w5_d392e13044
allda	w7_d392e13047
befinden,	w9_d392e13050
zu	w11_d392e13053
beobach	w13_d392e13057
ten.	w1_d392e13062
</p>
<head id="h2_d392e13077">
Wien	w1_d392e13081
den	w3_d392e13084
27.	w5_d392e13087
Octobris	w7_d392e13090
1759.	w9_d392e13093
</head>
<p id="p4_d392e13096">
Seit	w1_d392e13100
dem	w3_d392e13103
letztern	w5_d392e13106
Post=tag	w7_d392e13109
seynd	w9_d392e13112
Jhre	w11_d392e13115
Kaiserl.	w1_d392e13120
Majestäten	w3_d392e13123
in	w5_d392e13126
Dero	w7_d392e13129
noch	w9_d392e13132
Dato	w1_d392e13137
zu	w3_d392e13140
Schönbrunn	w5_d392e13143
habenden	w7_d392e13146
Aufent	w9_d392e13149
halt	w1_d392e13155
fort	w3_d392e13158
an	w5_d392e13161
mit	w7_d392e13164
denen	w9_d392e13167
wichtigsten	w11_d392e13170
Staats	w13_d392e13174
und	w1_d392e13179
Kriegs=angelegenheiten	w3_d392e13182
beschäftiget	w5_d392e13185
gewesen.	w1_d392e13190
</p>
<p id="p6_d392e13193">
Gestern	w1_d392e13197
Abends	w3_d392e13200
ist	w5_d392e13203
der	w7_d392e13206
Kaiserl.	w9_d392e13209
Königl.	w11_d392e13212
General=feld=wacht=meister	w1_d392e13217
(Titl.)	w3_d392e13220
Herr	w5_d392e13223
Graf	w1_d392e13228
von	w3_d392e13231
Caramelli	w5_d392e13234
alhier	w7_d392e13237
angelangt,	w9_d392e13240
und	w11_d392e13243
hat	w13_d392e13247
selber	w1_d392e13253
die	w3_d392e13256
Nachricht	w5_d392e13259
gebracht,	w7_d392e13262
daß	w9_d392e13265
die	w11_d392e13268
Rus	w13_d392e13272
sisch=Kaiserl.	w1_d392e13277
Armee	w3_d392e13280
in	w5_d392e13283
Schlesien	w7_d392e13286
verbleiben,	w9_d392e13289
und	w1_d392e13294
aldaselbst	w3_d392e13297
ihre	w5_d392e13300
Militarische	w7_d392e13303
Operationen	w9_d392e13306
fortsetzen	w1_d392e13311
werde.	w3_d392e13314
</p>
<p id="p8_d392e13317">
Künftigen	w1_d392e13321
Mittwoch	w3_d392e13324
als	w5_d392e13327
den	w7_d392e13330
31.	w9_d392e13333
dieses	w11_d392e13336
wird	w1_d392e13341
die	w3_d392e13344
Ziehung	w5_d392e13347
der	w7_d392e13350
Kaiserl.	w9_d392e13353
Königl.	w11_d392e13356
pri	w13_d392e13360
vilegirten	w1_d392e13365
Lotterie	w3_d392e13368
in	w5_d392e13371
Grätz	w7_d392e13374
beschehen,	w9_d392e13377
und	w11_d392e13380
wird	w1_d392e13386
denen	w3_d392e13389
Collectanten	w5_d392e13392
wegen	w7_d392e13395
Einziehung	w9_d392e13398
deren	w1_d392e13403
Schlüssen,	w3_d392e13406
Tag,	w5_d392e13409
und	w7_d392e13412
Stund,	w9_d392e13415
durch	w11_d392e13418
ein	w13_d392e13422
Avertissement	w1_d392e13427
bekannt	w3_d392e13430
gemacht	w5_d392e13433
werden.	w7_d392e13436
</p>
<head id="h2_d392e13442">
Lista	w1_d392e13446
deren	w3_d392e13449
Verstorbenen	w5_d392e13452
zu	w7_d392e13455
Wien	w9_d392e13458
in	w1_d392e13463
und	w3_d392e13466
vor	w5_d392e13469
der	w7_d392e13472
Stadt.	w9_d392e13475
Den	w1_d392e13480
22.	w3_d392e13483
Octob.	w5_d392e13486
Jn	w1_d392e13492
der	w3_d392e13495
Stadt.	w5_d392e13498
</head>
<list id="l4_d392e13501">
Der	w1_d392e13505
Wol=edle	w3_d392e13508
Hr.	w5_d392e13511
Jos.	w7_d392e13514
Reiberstorfer,	w9_d392e13517
K.	w11_d392e13520
K.	w13_d392e13524
Minist.	w15_d392e13527
Banco=hof=deput.	w1_d392e13532
Cancel.,	w3_d392e13535
beym	w5_d392e13538
Burgundisch.	w7_d392e13541
Kreutz	w1_d392e13546
in	w3_d392e13549
der	w5_d392e13552
obern	w7_d392e13555
Breunerstr.,	w9_d392e13558
alt	w11_d392e13561
55.	w13_d392e13565
J.	w15_d392e13568
Dem	w1_d392e13574
Paul	w3_d392e13577
Vewater,	w5_d392e13580
K.	w7_d392e13583
K.	w9_d392e13586
Kuisch.	w11_d392e13589
s.	w13_d392e13593
W.	w15_d392e13596
Anna,	w17_d392e13599
im	w19_d392e13602
Anstreicheris	w1_d392e13607
H.	w3_d392e13610
auf	w5_d392e13613
der	w7_d392e13616
alt.	w9_d392e13619
Burger=musterung,	w11_d392e13622
alt	w1_d392e13627
72.	w3_d392e13630
J.	w5_d392e13633
</list>
<head id="h2_d392e13640">
Vor	w1_d392e13644
der	w3_d392e13647
Stadt.	w5_d392e13650
</head>
<list id="l4_d392e13653">
Dem	w1_d392e13657
Niclas	w3_d392e13660
Tausend,	w5_d392e13663
Burgerl.	w7_d392e13666
Toback=kramt.,	w9_d392e13669
s.	w11_d392e13672
K.	w1_d392e13677
Jos.,	w3_d392e13680
beym	w5_d392e13683
gut.	w7_d392e13686
Hirt.	w9_d392e13689
auf	w11_d392e13692
der	w13_d392e13696
Laimgr.	w15_d392e13699
4.	w17_d392e13702
J.	w19_d392e13705
Dem	w1_d392e13710
Andre	w3_d392e13713
Hofmüllner,	w5_d392e13716
Burgerl.	w7_d392e13719
Zeug=mach.,	w9_d392e13722
W.	w1_d392e13728
Theres.,	w3_d392e13731
im	w5_d392e13734
Donneris.	w7_d392e13737
H.	w9_d392e13740
in	w11_d392e13743
der	w13_d392e13747
Leopoldst.,	w15_d392e13750
alt	w1_d392e13755
23	w3_d392e13758
J.	w5_d392e13761
Heinr.	w1_d392e13766
Ried,	w3_d392e13769
Modenaisch.	w5_d392e13772
Reg=führer,	w7_d392e13775
in	w9_d392e13778
der	w11_d392e13781
Caj.	w13_d392e13785
in	w1_d392e13790
der	w3_d392e13793
Leopoldst.,	w5_d392e13796
alt	w7_d392e13799
47.	w9_d392e13802
J.	w11_d392e13805
</list>
<list id="l8_d392e13811">
Jos.	w1_d392e13815
Eder.	w3_d392e13818
Stein=metz=ges,	w5_d392e13821
so	w7_d392e13824
sich	w9_d392e13827
erfallen,	w11_d392e13830
ist	w13_d392e13834
bey	w15_d392e13837
der	w1_d392e13842
Stadt	w3_d392e13845
Wien	w5_d392e13848
im	w7_d392e13851
Lerchf.	w9_d392e13854
v.	w11_d392e13857
K.	w13_d392e13861
K.	w15_d392e13864
Stadtge	w17_d392e13867
richt	w1_d392e13872
beschauet	w3_d392e13875
worden,	w5_d392e13878
alt	w7_d392e13881
54.	w9_d392e13884
J.	w11_d392e13887
Theres.	w1_d392e13893
Feichtin,	w3_d392e13896
Wittwe,	w5_d392e13899
beyn	w7_d392e13902
3.	w9_d392e13905
Ros.	w11_d392e13908
auf	w13_d392e13912
der	w15_d392e13915
Lanstr.,	w1_d392e13920
alt	w3_d392e13923
55.	w5_d392e13926
J.	w7_d392e13929
Dem	w1_d392e13934
Jos.	w3_d392e13937
Melzer,	w5_d392e13940
Lack.,	w7_d392e13943
s.	w9_d392e13946
K.	w11_d392e13949
Franz,	w13_d392e13953
bey	w15_d392e13956
der	w17_d392e13959
Stadt	w19_d392e13962
Cöln	w1_d392e13967
in	w3_d392e13970
der	w5_d392e13973
Alster=gas.,	w7_d392e13976
6.	w9_d392e13979
J.	w11_d392e13982
Dem	w1_d392e13988
Carl	w3_d392e13991
Leutner,	w5_d392e13994
Tischl.,	w7_d392e13997
s.	w9_d392e14000
W.	w11_d392e14003
Theres.,	w13_d392e14007
beyn	w15_d392e14010
3.	w17_d392e14013
Lil.	w19_d392e14016
am	w1_d392e14021
Magdal.	w3_d392e14024
gr.,	w5_d392e14027
alt	w7_d392e14030
35.	w9_d392e14033
J.	w11_d392e14036
</list>
<head id="h2_d392e14043">
Summa	w1_d392e14047
9.	w3_d392e14050
Person.,	w5_d392e14053
darunter	w7_d392e14056
2.	w9_d392e14059
Kind.	w11_d392e14062
Den	w1_d392e14067
23.	w3_d392e14070
Octob.	w5_d392e14073
Jn	w1_d392e14078
der	w3_d392e14081
Stadt.	w5_d392e14084
</head>
<list id="l4_d392e14087">
Dem	w1_d392e14091
Wol=edlen	w3_d392e14094
Hrn.	w5_d392e14097
Joh.	w7_d392e14100
Mart.	w9_d392e14103
Scholz,	w11_d392e14106
K.	w13_d392e14110
K.	w15_d392e14113
Hof=kriegs=concip.,	w1_d392e14118
s.	w3_d392e14121
Fr.	w5_d392e14124
Clara,	w7_d392e14127
bey	w9_d392e14130
der	w11_d392e14133
weissen	w13_d392e14137
Ros.	w1_d392e14142
in	w3_d392e14145
der	w5_d392e14148
untern	w7_d392e14151
Bäckerstr.,	w9_d392e14154
alt	w11_d392e14157
38.	w13_d392e14161
J.	w15_d392e14164
Dem	w1_d392e14170
Joh.	w3_d392e14173
Hipsch,	w5_d392e14176
Burgerl.	w7_d392e14179
Tischl.,	w9_d392e14182
s.	w11_d392e14185
K.	w13_d392e14189
Elisab.,	w15_d392e14192
in	w1_d392e14197
s.	w3_d392e14200
H.	w5_d392e14203
in	w7_d392e14206
der	w9_d392e14209
Singerstr.,	w11_d392e14212
alt	w13_d392e14216
4.	w15_d392e14219
J.	w17_d392e14222
Der	w1_d392e14227
Cathar.	w3_d392e14230
Schachingerin,	w5_d392e14233
Wittwe,	w7_d392e14236
ihr	w9_d392e14239
K.	w11_d392e14242
Jos.,	w13_d392e14246
im	w1_d392e14251
Metzbergis.	w3_d392e14254
H.	w5_d392e14257
in	w7_d392e14260
der	w9_d392e14263
Weihburg=gas.,	w11_d392e14266
7.	w13_d392e14270
J.	w15_d392e14273
</list>
<head id="h2_d392e14280">
Vor	w1_d392e14284
der	w3_d392e14287
Stadt.	w5_d392e14290
</head>
<list id="l4_d392e14293">
Dem	w1_d392e14297
Georg	w3_d392e14300
Reiner,	w5_d392e14303
Burgerl.	w7_d392e14306
Schuh=mach.,	w9_d392e14309
s.	w11_d392e14312
W.	w13_d392e14316
Anna,	w1_d392e14321
beyn	w3_d392e14324
3.	w5_d392e14327
Artitschock.	w7_d392e14330
in	w9_d392e14333
der	w11_d392e14336
Leopoldst.,	w13_d392e14340
alt	w15_d392e14343
30.	w1_d392e14348
J.	w3_d392e14351
Dem	w1_d392e14357
Claud.	w3_d392e14360
Boitea,	w5_d392e14363
Mathemat.,	w7_d392e14366
s.	w9_d392e14369
K.	w11_d392e14372
Christina,	w13_d392e14376
beym	w1_d392e14381
rot.	w3_d392e14384
Krebs.	w5_d392e14387
auf	w7_d392e14390
der	w9_d392e14393
Laimgr.,	w11_d392e14396
alt	w13_d392e14400
6.	w15_d392e14403
J.	w17_d392e14406
Christoph	w1_d392e14411
Schäffer,	w3_d392e14414
gew.	w5_d392e14417
K.	w7_d392e14420
Leib=lack,	w9_d392e14423
beym	w11_d392e14426
roten	w13_d392e14430
Apf.	w1_d392e14435
am	w3_d392e14438
Neustift,	w5_d392e14441
alt	w7_d392e14444
90.	w9_d392e14447
J.	w11_d392e14450
</list>
<head id="h2_d392e14457">
Summa	w1_d392e14461
6.	w3_d392e14464
Person.	w5_d392e14467
darunter	w7_d392e14470
3.	w9_d392e14473
Kind.	w11_d392e14476
Den	w1_d392e14481
24.	w3_d392e14484
Octob.	w5_d392e14487
Jn	w1_d392e14492
der	w3_d392e14495
Stadt.	w5_d392e14498
</head>
<list id="l4_d392e14501">
Der	w1_d392e14505
Ehrw	w3_d392e14508
Magist.	w5_d392e14511
Franz	w7_d392e14514
Gesner,	w9_d392e14517
S.	w11_d392e14520
J.	w13_d392e14524
im	w15_d392e14527
Collegio,	w17_d392e14530
alt	w1_d392e14535
20.	w3_d392e14538
J.	w5_d392e14541
Dem	w1_d392e14546
Joh.	w3_d392e14549
Math.	w5_d392e14552
Engel,	w7_d392e14555
gem.	w9_d392e14558
Stadt	w11_d392e14561
Scar=dien.	w13_d392e14565
s.	w1_d392e14571
Ehew.	w3_d392e14574
Anna,	w5_d392e14577
im	w7_d392e14580
Schmidis.	w9_d392e14583
H.	w11_d392e14586
am	w13_d392e14590
alt.	w15_d392e14593
Fleisch.	w17_d392e14596
markt,	w1_d392e14601
alt	w3_d392e14604
44.	w5_d392e14607
J.	w7_d392e14610
</list>
<head id="h2_d392e14618">
Vor	w1_d392e14622
der	w3_d392e14625
Stadt.	w5_d392e14628
</head>
<list id="l4_d392e14631">
Fr.	w1_d392e14635
Theres.	w3_d392e14638
Jngruberin,	w5_d392e14641
Wittwe,	w7_d392e14644
beym	w9_d392e14647
gold.	w11_d392e14650
Ein	w13_d392e14654
horn	w1_d392e14659
zu	w3_d392e14662
Nicolstorf,	w5_d392e14665
alt	w7_d392e14668
60.	w9_d392e14671
J.	w11_d392e14674
Dem	w1_d392e14679
Jos.	w3_d392e14682
Has,	w5_d392e14685
Burgerl.	w7_d392e14688
Fleisch=selk.,	w9_d392e14691
s.	w11_d392e14694
K.	w13_d392e14698
Franz.	w15_d392e14701
in	w1_d392e14707
s.	w3_d392e14710
H.	w5_d392e14713
am	w7_d392e14716
Neustift,	w9_d392e14719
alt	w11_d392e14722
1.	w13_d392e14726
J	w15_d392e14729
Der	w1_d392e14734
Susan.	w3_d392e14737
Walterin,	w5_d392e14740
Wittwe,	w7_d392e14743
ihr	w9_d392e14746
S.	w11_d392e14749
Bened.	w13_d392e14753
im	w1_d392e14758
Badstuberis.	w3_d392e14761
H.	w5_d392e14764
auf	w7_d392e14767
der	w9_d392e14770
Landstr.,	w11_d392e14773
alt	w13_d392e14777
19.	w15_d392e14780
J.	w17_d392e14783
Dem	w1_d392e14788
Gabr.	w3_d392e14791
Grambauer,	w5_d392e14794
Kutsch,	w7_d392e14797
s.	w9_d392e14800
W.	w11_d392e14803
Anna,	w13_d392e14807
bey	w15_d392e14810
dem	w1_d392e14816
gold.	w3_d392e14819
Löw.	w5_d392e14822
auf	w7_d392e14825
der	w9_d392e14828
Landstr.,	w11_d392e14831
alt	w13_d392e14835
47.	w15_d392e14838
J.	w17_d392e14841
Joh.	w1_d392e14846
Lauffer,	w3_d392e14849
gew.	w5_d392e14852
Hand=gräfl.	w7_d392e14855
Ubergeh.,	w9_d392e14858
bey	w11_d392e14861
dem	w13_d392e14865
gold.	w1_d392e14870
Fäs.	w3_d392e14873
auf	w5_d392e14876
der	w7_d392e14879
Wind=m.,	w9_d392e14882
alt	w11_d392e14885
68.	w13_d392e14889
J.	w15_d392e14892
</list>
<head id="h2_d392e14899">
Summa	w1_d392e14903
7.	w3_d392e14906
Person.	w5_d392e14909
/	w7_d392e14912
darunter	w9_d392e14915
1.	w11_d392e14918
Kind.	w13_d392e14922
Den	w1_d392e14927
25.	w3_d392e14930
