<doc id="wr_1759-05-16" attrs="word" year="1759" month="05" day="16" corpus="2">
<head id="h2_d348e3882">
Danzig	w1_d348e3886
sich	w5_d348e11204
befinden;	w7_d348e11207
daß	w9_d348e11210
bey	w11_d348e11213
Kösen,	w13_d348e11217
diesseits	w1_d348e11222
der	w3_d348e11225
Saale	w5_d348e11228
die	w7_d348e11231
Preussen	w9_d348e11234
starke	w11_d348e11237
Schan	w13_d348e11241
zen	w1_d348e11246
aufgeworfen,	w3_d348e11249
und	w5_d348e11252
rings	w7_d348e11255
herum	w9_d348e11258
auf	w11_d348e11261
de	w13_d348e11265
nen	w1_d348e11270
Gräben	w3_d348e11273
Pallisaden	w5_d348e11276
setzen	w7_d348e11279
lassen;	w9_d348e11282
und	w11_d348e11285
daß	w1_d348e11291
die	w3_d348e11294
Kösener=brücke	w5_d348e11297
auf	w7_d348e11300
beyden	w9_d348e11303
Seiten	w11_d348e11306
mit	w1_d348e11311
Pallisaden	w3_d348e11314
und	w5_d348e11317
Spanischen	w7_d348e11320
Reitern	w9_d348e11323
wol	w1_d348e11328
verwahret	w3_d348e11331
worden	w5_d348e11334
seye.	w7_d348e11337
</p>
<p id="p14_d348e11340">
Vermög	w1_d348e11344
Briefen	w3_d348e11347
aus	w5_d348e11350
Preußisch	w7_d348e11353
Pom	w9_d348e11356
mern	w1_d348e11361
beschäftiget	w3_d348e11364
man	w5_d348e11367
sich	w7_d348e11370
Preußischer	w9_d348e11373
Seits	w11_d348e11376
mit	w1_d348e11381
Wegbringung	w3_d348e11384
des	w5_d348e11387
Magazins	w7_d348e11390
zu	w9_d348e11393
An	w11_d348e11396
klam	w1_d348e11402
und	w3_d348e11405
Demmin	w5_d348e11408
nach	w7_d348e11411
Stettin,	w9_d348e11414
und	w11_d348e11417
es	w13_d348e11421
ist	w1_d348e11426
zu	w3_d348e11429
dem	w5_d348e11432
Ende	w7_d348e11435
auf	w9_d348e11438
alle	w11_d348e11441
dasige	w13_d348e11445
Schiffe	w15_d348e11448
ein	w17_d348e11451
Beschlag	w1_d348e11456
gelegt	w3_d348e11459
worden.	w5_d348e11462
Die	w7_d348e11465
letzthin	w9_d348e11468
aus	w11_d348e11471
besagtem	w1_d348e11476
Stettin	w3_d348e11479
ausgeloffene	w5_d348e11482
Preußische	w7_d348e11485
Schiffe	w1_d348e11491
sind	w3_d348e11494
bloß	w5_d348e11497
dazu	w7_d348e11500
bestimmt,	w9_d348e11503
zu	w11_d348e11506
ver	w13_d348e11510
hindern,	w1_d348e11515
daß	w3_d348e11518
die	w5_d348e11521
Schwedische	w7_d348e11524
Galeeren	w9_d348e11527
nicht	w1_d348e11532
ins	w3_d348e11535
Haf	w5_d348e11538
kommen	w7_d348e11541
mögen.	w9_d348e11544
Sie	w11_d348e11547
haben	w13_d348e11551
sich	w1_d348e11556
dahero	w3_d348e11559
vor	w5_d348e11562
der	w7_d348e11565
sogenannten	w9_d348e11568
Elbstrecke	w11_d348e11571
dem	w1_d348e11577
Städtgen	w3_d348e11580
Usedom	w5_d348e11583
gegenüber	w7_d348e11586
geleget.	w9_d348e11589
</p>
<p id="p16_d348e11592">
Da	w1_d348e11596
während	w3_d348e11599
der	w5_d348e11602
Anwesenheit	w7_d348e11605
der	w9_d348e11608
Preus	w11_d348e11611
sen	w1_d348e11616
im	w3_d348e11619
Mecklenburgischen	w5_d348e11622
sich	w7_d348e11625
viele	w9_d348e11628
der	w11_d348e11631
dor	w13_d348e11635
tigen	w1_d348e11640
Einwohner	w3_d348e11643
nach	w5_d348e11646
Hamburg	w7_d348e11649
und	w9_d348e11652
Altona	w11_d348e11655
geflüchtet,	w1_d348e11661
so	w3_d348e11664
lassen	w5_d348e11667
des	w7_d348e11670
gegenwärtig	w9_d348e11673
in	w11_d348e11676
letz	w13_d348e11680
terer	w1_d348e11685
Stadt	w3_d348e11688
sich	w5_d348e11691
befindenden	w7_d348e11694
Herrn	w9_d348e11697
Herzogs	w11_d348e11700
von	w1_d348e11705
Mecklenburg	w3_d348e11708
Hochfürstl.	w5_d348e11711
Durchl.	w7_d348e11714
denen	w9_d348e11717
jenigen,	w1_d348e11722
welchen	w3_d348e11725
es	w5_d348e11728
am	w7_d348e11731
Unterhalte	w9_d348e11734
fehlet,	w11_d348e11737
solchen	w1_d348e11743
unterdessen	w3_d348e11746
reichen,	w5_d348e11749
und	w7_d348e11752
man	w9_d348e11755
hat	w11_d348e11758
zu	w13_d348e11762
</p>
<p id="p22_d348e11775">
dem	w1_d348e11779
Ende	w3_d348e11782
bekannt	w5_d348e11785
gemacht,	w7_d348e11788
bey	w9_d348e11791
wem	w11_d348e11794
sich	w13_d348e11798
dergleichen	w1_d348e11803
Personen	w3_d348e11806
dieserwegen	w5_d348e11809
zu	w7_d348e11812
melden	w9_d348e11815
haben.	w1_d348e11820
</p>
<head id="h2_d348e11826">
Wien	w1_d348e11830
den	w3_d348e11833
16.	w5_d348e11836
May	w7_d348e11839
1759.	w9_d348e11842
</head>
<p id="p4_d348e11845">
Sontags	w1_d348e11849
den	w3_d348e11852
13.	w5_d348e11855
dieses,	w7_d348e11858
als	w9_d348e11861
an	w11_d348e11864
dem	w13_d348e11868
glorreichen	w1_d348e11873
Geburts=tag	w3_d348e11876
Jhrer	w5_d348e11879
Ma	w7_d348e11882
jestät	w1_d348e11887
der	w3_d348e11890
Kaiserin,	w5_d348e11893
unserer	w7_d348e11896
Allergnädigsten	w9_d348e11899
Frauen,	w1_d348e11905
und	w3_d348e11908
Landes=fürstin,	w5_d348e11911
seynd	w7_d348e11914
Vormit	w9_d348e11917
tags	w1_d348e11922
nach	w3_d348e11925
9.	w5_d348e11928
Uhr	w7_d348e11931
die	w9_d348e11934
anwesende	w11_d348e11937
Herrn	w13_d348e11941
Bottschaftere,	w1_d348e11946
und	w3_d348e11949
Gesandte,	w5_d348e11952
wie	w7_d348e11955
auch	w9_d348e11958
ei	w11_d348e11961
nige	w1_d348e11966
hieher	w3_d348e11969
gekommene	w5_d348e11972
Hungarische	w7_d348e11975
Herrn	w9_d348e11978
Magnaten,	w1_d348e11984
und	w3_d348e11987
der	w5_d348e11990
gesamte	w7_d348e11993
hohe	w9_d348e11996
Adel	w11_d348e11999
in	w13_d348e12003
Gala	w1_d348e12008
zu	w3_d348e12011
Schönbrunn	w5_d348e12014
erschienen,	w7_d348e12017
und	w9_d348e12020
haben	w11_d348e12023
bey	w1_d348e12028
Allerhöchst	w3_d348e12031
deroselben	w5_d348e12034
ihre	w7_d348e12037
Glückwün	w9_d348e12040
schungs=complimente	w1_d348e12045
abgeleget,	w3_d348e12048
hernach	w5_d348e12051
haben	w1_d348e12057
beyde	w3_d348e12060
Kaiserl.	w5_d348e12063
Majestäten	w7_d348e12066
dem	w9_d348e12069
offent	w11_d348e12072
lichen	w1_d348e12077
GOttes=dienst	w3_d348e12080
in	w5_d348e12083
der	w7_d348e12086
Schloß=capellen	w9_d348e12089
beygewohnet,	w1_d348e12094
sodann	w3_d348e12097
zu	w5_d348e12100
Mittags	w7_d348e12103
mit	w9_d348e12106
Jh	w11_d348e12109
ren	w1_d348e12114
Königl.	w3_d348e12117
Hoheiten	w5_d348e12120
denen	w7_d348e12123
7.	w9_d348e12126
ältern	w11_d348e12129
Durchl.	w13_d348e12133
jungen	w1_d348e12139
Herrschaften,	w3_d348e12142
unter	w5_d348e12145
der	w7_d348e12148
gewöhnli	w9_d348e12151
chen	w1_d348e12156
Aufwartung	w3_d348e12159
beyder	w5_d348e12162
Excellenzen,	w7_d348e12165
des	w9_d348e12168
Päpstl.	w1_d348e12173
Monsig.	w3_d348e12176
Nuntii,	w5_d348e12179
und	w7_d348e12182
Venetiani	w9_d348e12185
schen	w1_d348e12190
Herrn	w3_d348e12193
Bottschafters,	w5_d348e12196
bey	w7_d348e12199
einer	w9_d348e12202
vor	w11_d348e12205
treflichen	w1_d348e12211
Tafel=musique	w3_d348e12214
offentlich	w5_d348e12217
gespei	w7_d348e12220
set.	w1_d348e12225
Abends	w3_d348e12228
ware	w5_d348e12231
ein	w7_d348e12234
zahlreiches	w9_d348e12237
Aparte	w11_d348e12240
ment.	w1_d348e12245
</p>
<p id="p6_d348e12248">
Montags	w1_d348e12252
den	w3_d348e12255
14.	w5_d348e12258
dito	w7_d348e12261
Abends	w9_d348e12264
seynd	w11_d348e12267
beyde	w1_d348e12272
Kaiserl.	w3_d348e12275
Majestäten	w5_d348e12278
mit	w7_d348e12281
ihren	w9_d348e12284
Kö	w11_d348e12287
nigl.	w1_d348e12292
Hoheiten,	w3_d348e12295
denen	w5_d348e12298
Durchl.	w7_d348e12301
3.	w9_d348e12304
Erzherzo	w11_d348e12307
gen	w1_d348e12313
Joseph,	w3_d348e12316
Carl,	w5_d348e12319
und	w7_d348e12322
Leopold,	w9_d348e12325
wie	w11_d348e12328
auch	w13_d348e12332
denen	w1_d348e12337
Durchl.	w3_d348e12340
Erz=herzoginnen	w5_d348e12343
Maria	w7_d348e12346
Anna,	w9_d348e12349
und	w1_d348e12354
Christina,	w3_d348e12357
in	w5_d348e12360
Gefolge	w7_d348e12363
einiger	w9_d348e12366
Damen	w11_d348e12369
und	w1_d348e12374
Cavalieren,	w3_d348e12377
nacher	w5_d348e12380
Laxenburg	w7_d348e12383
abge	w9_d348e12386
gangen,	w1_d348e12392
um	w3_d348e12395
aldaselbst	w5_d348e12398
bis	w7_d348e12401
auf	w9_d348e12404
die	w11_d348e12407
heilige	w13_d348e12411
Pfingst=feyer=täge	w1_d348e12416
zu	w3_d348e12419
verbleiben,	w5_d348e12422
und	w7_d348e12425
so	w9_d348e12428
oft	w11_d348e12431
es	w1_d348e12436
die	w3_d348e12439
Witterung	w5_d348e12442
zulassen	w7_d348e12445
wird,	w9_d348e12448
mit	w11_d348e12451
der	w13_d348e12455
gewöhnlichen	w1_d348e12460
Reiger=peitz	w3_d348e12463
sich	w5_d348e12466
zu	w7_d348e12469
erlustigen.	w9_d348e12472
</p>
<p id="p8_d348e12475">
Der	w1_d348e12479
Comet,	w3_d348e12482
dessen	w5_d348e12485
Beobachtungen	w7_d348e12488
den	w9_d348e12491
2.	w1_d348e12496
3.	w3_d348e12499
und	w5_d348e12502
4.	w7_d348e12505
May	w9_d348e12508
dem	w11_d348e12511
Publico	w13_d348e12515
von	w15_d348e12518
dem	w17_d348e12521
Kaiserl.	w1_d348e12526
Königl.	w3_d348e12529
Astronomo	w5_d348e12532
Universitatis	w7_d348e12535
P.	w1_d348e12541
Maximiliano	w3_d348e12544
Hell	w5_d348e12547
e	w7_d348e12550
S.	w9_d348e12553
J.	w11_d348e12556
angezeiget	w13_d348e12560
</p>
<p id="p10_d348e12563">
worden,	w1_d348e12567
konte	w3_d348e12570
wegen	w5_d348e12573
des	w7_d348e12576
beständigen	w9_d348e12579
Ge	w11_d348e12582
wölkes	w1_d348e12587
bis	w3_d348e12590
den	w5_d348e12593
13.	w7_d348e12596
dieses	w9_d348e12599
auch	w11_d348e12602
mit	w13_d348e12606
denen	w15_d348e12609
besten	w1_d348e12614
Sehe=röhren=nicht	w3_d348e12617
beobachtet	w5_d348e12620
wer	w7_d348e12623
den;	w1_d348e12629
am	w3_d348e12632
13.	w5_d348e12635
Abends	w7_d348e12638
gegen	w9_d348e12641
10.	w11_d348e12644
Uhr,	w13_d348e12648
wur	w15_d348e12651
de	w1_d348e12656
die	w3_d348e12659
Gegend	w5_d348e12662
des	w7_d348e12665
Himmels,	w9_d348e12668
alwo	w11_d348e12671
der	w13_d348e12675
be	w15_d348e12678
nannte	w1_d348e12683
Astronomus	w3_d348e12686
die	w5_d348e12689
Stelle	w7_d348e12692
des	w9_d348e12695
Come	w11_d348e12698
tens	w1_d348e12703
für	w3_d348e12706
diesen	w5_d348e12709
Tag	w7_d348e12712
bestimmet	w9_d348e12715
hatte,	w11_d348e12718
in	w13_d348e12722
etwas	w1_d348e12728
aufgekläret,	w3_d348e12731
er	w5_d348e12734
fande	w7_d348e12737
auch	w9_d348e12740
selben	w11_d348e12743
mit	w1_d348e12748
einem	w3_d348e12751
vier=schuhigen	w5_d348e12754
Newtonianischen	w7_d348e12757
Sehe=rohr	w1_d348e12762
würklich	w3_d348e12765
an	w5_d348e12768
dem	w7_d348e12771
bestimmt	w9_d348e12774
Ort.	w1_d348e12779
Die	w3_d348e12782
Grösse	w5_d348e12785
des	w7_d348e12788
Cometens	w9_d348e12791
hat	w11_d348e12794
nun	w13_d348e12798
mehro	w1_d348e12804
so	w3_d348e12807
stark	w5_d348e12810
abgenommen,	w7_d348e12813
daß	w9_d348e12816
er	w11_d348e12819
mit	w13_d348e12823
blossen	w1_d348e12828
Augen	w3_d348e12831
kaum	w5_d348e12834
zu	w7_d348e12837
erkennen,	w9_d348e12840
zumalen	w11_d348e12843
seine	w1_d348e12848
Grösse	w3_d348e12851
der	w5_d348e12854
Grösse	w7_d348e12857
deren	w9_d348e12860
Sternen	w11_d348e12863
der	w13_d348e12867
vierten	w1_d348e12872
Claß	w3_d348e12875
schon	w5_d348e12878
zu	w7_d348e12881
gleichen	w9_d348e12884
scheinet;	w11_d348e12887
die	w13_d348e12891
Gestalt	w1_d348e12897
seines	w3_d348e12900
Dunst=kreises	w5_d348e12903
ware	w7_d348e12906
in	w9_d348e12909
etwas	w11_d348e12912
gegen	w1_d348e12917
Norden	w3_d348e12920
breiter	w5_d348e12923
und	w7_d348e12926
länger,	w9_d348e12929
dann	w11_d348e12932
ge	w13_d348e12936
gen	w1_d348e12941
Süden,	w3_d348e12944
das	w5_d348e12947
Licht	w7_d348e12950
blaß	w9_d348e12953
und	w11_d348e12956
schwach.	w13_d348e12960
Der	w1_d348e12965
ganze	w3_d348e12968
Diameter	w5_d348e12971
des	w7_d348e12974
Cometens	w9_d348e12977
samt	w11_d348e12980
seinem	w1_d348e12986
Dunst=kreis	w3_d348e12989
ware	w5_d348e12992
nach	w7_d348e12995
genauer	w9_d348e12998
Ab	w11_d348e13001
messung	w1_d348e13006
mit	w3_d348e13009
dem	w5_d348e13012
an	w7_d348e13015
einem	w9_d348e13018
vier=schuhigen	w11_d348e13021
Sehe=rohr	w1_d348e13026
angebrachten	w3_d348e13029
Micrometer	w5_d348e13032
nicht	w7_d348e13035
grösser,	w1_d348e13040
dann	w3_d348e13043
6.	w5_d348e13046
Minuten	w7_d348e13049
des	w9_d348e13052
grossen	w11_d348e13055
Cirkels.	w1_d348e13061
So	w3_d348e13064
viel	w5_d348e13067
man	w7_d348e13070
deren	w9_d348e13073
häuffigen	w11_d348e13076
Wol	w13_d348e13080
ken	w1_d348e13085
wegen	w3_d348e13088
bestimmen	w5_d348e13091
konte,	w7_d348e13094
stunde	w9_d348e13097
der	w11_d348e13100
Co	w13_d348e13104
met	w1_d348e13109
nach	w3_d348e13112
denen	w5_d348e13115
Himmels=karten	w7_d348e13118
Doppel	w9_d348e13121
mayeri	w1_d348e13126
unter	w3_d348e13129
dem	w5_d348e13132
Löwen	w7_d348e13135
am	w9_d348e13138
Rand	w11_d348e13141
der	w13_d348e13145
Con	w15_d348e13148
stellation	w1_d348e13154
des	w3_d348e13157
sextanten	w5_d348e13160
Uraniæ	w7_d348e13163
an	w9_d348e13166
jenem	w11_d348e13169
Ort,	w1_d348e13174
welchen	w3_d348e13177
der	w5_d348e13180
Durchschnitt	w7_d348e13183
zweyer	w9_d348e13186
ge	w11_d348e13189
raden	w1_d348e13194
Linien	w3_d348e13197
bestimmet,	w5_d348e13200
deren	w7_d348e13203
eine	w9_d348e13206
durch	w11_d348e13209
den	w1_d348e13214
Stern	w3_d348e13217
F.	w5_d348e13220
der	w7_d348e13223
rechten	w9_d348e13226
Schulter	w11_d348e13229
Bootis,	w13_d348e13233
und	w1_d348e13239
den	w3_d348e13242
Stern	w5_d348e13245
D.	w7_d348e13248
in	w9_d348e13251
den	w11_d348e13254
Schwanz	w13_d348e13258
des	w15_d348e13261
Lö	w17_d348e13264
wens;	w1_d348e13269
die	w3_d348e13272
andere	w5_d348e13275
aber	w7_d348e13278
durch	w9_d348e13281
die	w11_d348e13284
Stern	w13_d348e13288
A.	w15_d348e13291
und	w1_d348e13296
G.	w3_d348e13299
des	w5_d348e13302
Löwens	w7_d348e13305
gezogen	w9_d348e13308
werden.	w11_d348e13311
Aus	w13_d348e13315
denen	w1_d348e13320
Observätionibus	w3_d348e13323
Astronomicis	w5_d348e13326
benann	w7_d348e13329
ten	w1_d348e13335
Astronomi	w3_d348e13338
Universitatis	w5_d348e13341
ist	w7_d348e13344
dieser	w9_d348e13347
Co	w11_d348e13350
met	w1_d348e13355
vom	w3_d348e13358
2.	w5_d348e13361
bis	w7_d348e13364
13.	w9_d348e13367
May	w11_d348e13370
ruckgängig,	w13_d348e13374
oder	w1_d348e13379
von	w3_d348e13382
Osten	w5_d348e13385
gegen	w7_d348e13388
Westen	w9_d348e13391
in	w11_d348e13394
der	w13_d348e13398
Ecliptie	w15_d348e13401
gerechnet	w1_d348e13406
bis	w3_d348e13409
14.	w5_d348e13412
Grad	w7_d348e13415
geloffen,	w9_d348e13418
da	w11_d348e13421
er	w13_d348e13425
indessen	w1_d348e13431
an	w3_d348e13434
seiner	w5_d348e13437
Südlichen	w7_d348e13440
Breite	w9_d348e13443
bis	w11_d348e13446
13.	w13_d348e13450
Grad	w1_d348e13455
abgenommen,	w3_d348e13458
und	w5_d348e13461
sich	w7_d348e13464
der	w9_d348e13467
Ecliptie	w11_d348e13470
genäheret	w1_d348e13475
hat.	w3_d348e13478
Sein	w5_d348e13481
scheinbarer	w7_d348e13484
Lauf,	w9_d348e13487
so	w11_d348e13490
wol	w1_d348e13495
</p>
<p id="p14_d348e13501">
wol	w1_d348e13505
in	w3_d348e13508
die	w5_d348e13511
Länge,	w7_d348e13514
als	w9_d348e13517
Breite	w11_d348e13520
nihmet	w13_d348e13524
zwar	w15_d348e13527
alltäglich	w1_d348e13532
ab,	w3_d348e13535
jedoch	w5_d348e13538
entfernet	w7_d348e13541
er	w9_d348e13544
sich	w11_d348e13547
von	w13_d348e13551
daß	w1_d348e13556
unserer	w1_d348e13562
Erde	w3_d348e13565
in	w5_d348e13568
seiner	w7_d348e13571
Bahn	w9_d348e13574
so	w11_d348e13577
stark,	w13_d348e13581
man	w1_d348e13586
ihne	w3_d348e13589
zu	w5_d348e13592
Ende	w7_d348e13595
dieses	w9_d348e13598
Monats,	w11_d348e13601
auch	w13_d348e13605
mit	w1_d348e13610
denen	w3_d348e13613
besten	w5_d348e13616
Sehe=röhren	w7_d348e13619
kaum	w9_d348e13622
sehen	w11_d348e13625
wird.	w1_d348e13630
</p>
<p id="p16_d348e13633">
Künftigen	w1_d348e13637
Samstags	w3_d348e13640
als	w5_d348e13643
den	w7_d348e13646
19.	w9_d348e13649
dieses	w11_d348e13652
wird	w1_d348e13657
alhier	w3_d348e13660
die	w5_d348e13663
Ziehung	w7_d348e13666
der	w9_d348e13669
Kaiserl.	w11_d348e13672
Königl.	w13_d348e13676
privilegirten	w1_d348e13681
Lotterie	w3_d348e13684
beschehen,	w5_d348e13687
und	w7_d348e13690
wird	w9_d348e13693
denen	w1_d348e13699
angestellten	w3_d348e13702
Collectanten	w5_d348e13705
wegen	w7_d348e13708
Ein	w9_d348e13711
reichung	w1_d348e13716
ihrer	w3_d348e13719
Schlüsse	w5_d348e13722
Tag	w7_d348e13725
und	w9_d348e13728
Stund	w11_d348e13731
durch	w1_d348e13736
ein	w3_d348e13739
Avertissement	w5_d348e13742
bekannt	w7_d348e13745
gemacht	w9_d348e13748
werden.	w1_d348e13753
</p>
<head id="h2_d348e13759">
Lista	w1_d348e13763
deren	w3_d348e13766
Verstorbenen	w5_d348e13769
zu	w7_d348e13772
Wien	w9_d348e13775
in	w1_d348e13780
und	w3_d348e13783
vor	w5_d348e13786
der	w7_d348e13789
Stadt.	w9_d348e13792
Den	w1_d348e13797
12.	w3_d348e13800
May.	w5_d348e13803
Jn	w1_d348e13809
der	w3_d348e13812
Stadt.	w5_d348e13815
</head>
<list id="l4_d348e13818">
Cathar.	w1_d348e13822
Mötzin,	w3_d348e13825
Burgerl.	w5_d348e13828
Wittwe	w7_d348e13831
im	w9_d348e13834
Kaisersteinis.	w11_d348e13837
H.	w1_d348e13842
in	w3_d348e13845
der	w5_d348e13848
untern	w7_d348e13851
Breunerstr.,	w9_d348e13854
alt	w11_d348e13857
54.	w13_d348e13861
J.	w15_d348e13864
Josepha	w1_d348e13869
Vötterin,	w3_d348e13872
led.,	w5_d348e13875
im	w7_d348e13878
Hüttneris.	w9_d348e13881
H.	w11_d348e13884
am	w13_d348e13888
alten	w15_d348e13891
Bauren=m.,	w1_d348e13897
alt	w3_d348e13900
59.	w5_d348e13903
J.	w7_d348e13906
Dem	w1_d348e13911
Joh.	w3_d348e13914
Baumgartner,	w5_d348e13917
Schneid.,	w7_d348e13920
s.	w9_d348e13923
W.	w11_d348e13926
Barb.,	w13_d348e13930
im	w1_d348e13935
Fuxis.	w3_d348e13938
H.	w5_d348e13941
untern	w7_d348e13944
Tuch=laub.,	w9_d348e13947
alt	w11_d348e13950
46.	w13_d348e13954
J.	w15_d348e13957
Ant.	w1_d348e13962
Stecher,	w3_d348e13965
Lack.,	w5_d348e13968
im	w7_d348e13971
Kampmülleris.	w9_d348e13974
H.	w11_d348e13977
in	w13_d348e13981
der	w15_d348e13984
Singerstr.,	w1_d348e13990
alt	w3_d348e13993
58.	w5_d348e13996
J.	w7_d348e13999
Mich.	w1_d348e14004
Mayr,	w3_d348e14007
Trag.,	w5_d348e14010
beym	w7_d348e14013
gold.	w9_d348e14016
Stern	w11_d348e14019
am	w13_d348e14023
alten	w15_d348e14026
Haar=m.,	w1_d348e14031
alt	w3_d348e14034
50.	w5_d348e14037
J.	w7_d348e14040
</list>
<head id="h2_d348e14048">
Vor	w1_d348e14052
der	w3_d348e14055
Stadt.	w5_d348e14058
</head>
<list id="l4_d348e14061">
Ant.	w1_d348e14065
Brunhuber,	w3_d348e14068
Burgerl.	w5_d348e14071
Seiden=färb.,	w7_d348e14074
im	w9_d348e14077
Brun	w11_d348e14080
huberis.	w1_d348e14085
H.	w3_d348e14088
in	w5_d348e14091
der	w7_d348e14094
Leopoldst.,	w9_d348e14097
alt	w11_d348e14100
27.	w13_d348e14104
J.	w15_d348e14107
Paul	w1_d348e14112
Schwarzer,	w3_d348e14115
gew.	w5_d348e14118
Burgerl.	w7_d348e14121
Wirt,	w9_d348e14124
beym	w11_d348e14127
gold.	w13_d348e14131
Brun	w1_d348e14137
am	w3_d348e14140
Spitalberg,	w5_d348e14143
alt	w7_d348e14146
65.	w9_d348e14149
J.	w11_d348e14152
Anna	w1_d348e14157
Streicherin,	w3_d348e14160
Wittwe,	w5_d348e14163
in	w7_d348e14166
ihrem	w9_d348e14169
H.	w11_d348e14172
auf	w13_d348e14176
der.	w15_d348e14179
Landstr.,	w1_d348e14184
alt	w3_d348e14187
56.	w5_d348e14190
J.	w7_d348e14193
Franz	w1_d348e14198
Kurman,	w3_d348e14201
Wirt,	w5_d348e14204
in	w7_d348e14207
s.	w9_d348e14210
H.	w11_d348e14213
in	w13_d348e14217
der	w15_d348e14220
Josephst.	w17_d348e14223
36.	w19_d348e14226
J.	w21_d348e14229
Dem	w1_d348e14235
Christian	w3_d348e14238
Pinard,	w5_d348e14241
K.	w7_d348e14244
Trab.,	w9_d348e14247
s.	w11_d348e14250
T.	w13_d348e14254
Theres.,	w15_d348e14257
bey	w17_d348e14260
dem	w1_d348e14265
wild.	w3_d348e14268
Mann	w5_d348e14271
am	w7_d348e14274
Spitalberg,	w9_d348e14277
alt	w11_d348e14280
26.	w13_d348e14284
J.	w15_d348e14287
Dem	w1_d348e14292
Jos.	w3_d348e14295
Ebelbacher,	w5_d348e14298
Grün=kräutl.,	w7_d348e14301
s.	w9_d348e14304
W.	w11_d348e14307
Cathar.	w13_d348e14311
in	w1_d348e14316
s.	w3_d348e14319
H.	w5_d348e14322
am	w7_d348e14325
Magdal.=gr.,	w9_d348e14328
alt	w11_d348e14331
36.	w13_d348e14335
J.	w15_d348e14338
Rosima	w1_d348e14344
Ginzingerin,	w3_d348e14347
Wittwe,	w5_d348e14350
beym	w7_d348e14353
golb.	w9_d348e14356
Lux.	w11_d348e14359
am	w13_d348e14363
Spitalberg,	w1_d348e14368
alt	w3_d348e14371
56.	w5_d348e14374
J.	w7_d348e14377
Pet.	w1_d348e14382
Borecker,	w3_d348e14385
Lack.,	w5_d348e14388
im	w7_d348e14391
Leidlis.	w9_d348e14394
H.	w11_d348e14397
auf	w13_d348e14401
der	w15_d348e14404
Wied.	w17_d348e14407
alt	w1_d348e14412
85.	w3_d348e14415
Theres.	w1_d348e14421
Hofin,	w3_d348e14424
led.	w5_d348e14427
M.,	w7_d348e14430
beym	w9_d348e14433
Luft=schütz.	w11_d348e14436
auf	w13_d348e14440
der	w15_d348e14443
Wendelst.,	w1_d348e14448
alt	w3_d348e14451
28.	w5_d348e14454
J.	w7_d348e14457
Maria	w1_d348e14462
Geißlerin,	w3_d348e14465
Wittwe,	w5_d348e14468
beyn	w7_d348e14471
3.	w9_d348e14474
Lauf.	w11_d348e14477
im	w13_d348e14481
Liech	w15_d348e14484
tenth,,	w1_d348e14489
alt	w3_d348e14492
77.	w5_d348e14495
</list>
<head id="h2_d348e14502">
Summa	w1_d348e14506
15.	w3_d348e14509
Person.	w5_d348e14512
/	w7_d348e14515
darunter	w9_d348e14518
0.	w11_d348e14521
Kind	w13_d348e14525
</head>
<head id="h2_d348e14531">
Den	w1_d348e14535
13.	w3_d348e14538
May.	w5_d348e14541
Jn	w1_d348e14546
der	w3_d348e14549
Stadt	w5_d348e14552
</head>
<list id="l4_d348e14555">
Der	w1_d348e14559
Wol=edel-geb.	w3_d348e14562
und	w5_d348e14565
Hoch=gelehrte	w7_d348e14568
Hr.	w9_d348e14571
Pet.	w11_d348e14574
Qug	w13_d348e14578
riu,	w1_d348e14583
Phil.	w3_d348e14586
&	w5_d348e14589
Med.	w7_d348e14592
Doct.	w9_d348e14595
und	w11_d348e14598
p.	w13_d348e14602
t.	w15_d348e14605
Senior	w17_d348e14608
Facul.	w19_d348e14611
Med.,	w1_d348e14616
im	w3_d348e14619
Heittisch.	w5_d348e14622
H.	w7_d348e14625
in	w9_d348e14628
der	w11_d348e14631
Kärntner=stras.,	w13_d348e14635
alt	w1_d348e14641
75.	w3_d348e14644
J.	w5_d348e14647
</list>
<head id="h2_d348e14654">
Vor	w1_d348e14658
der	w3_d348e14661
Stadt.	w5_d348e14664
</head>
<list id="l4_d348e14667">
Dem	w1_d348e14671
Math.	w3_d348e14674
Lustig,	w5_d348e14677
Kutsch.,	w7_d348e14680
s.	w9_d348e14683
W.	w11_d348e14686
Cathar.,	w13_d348e14690
beym	w15_d348e14693
rot.	w1_d348e14698
Apf.	w3_d348e14701
auf	w5_d348e14704
der	w7_d348e14707
Landstr,	w9_d348e14710
alt	w11_d348e14713
40.	w13_d348e14717
J.	w15_d348e14720
Cathar.	w1_d348e14725
Freundin,	w3_d348e14728
Wittwe,	w5_d348e14731
beym	w7_d348e14734
Türken=kopf	w9_d348e14737
im	w11_d348e14740
Liechtenth.,	w1_d348e14746
alt	w3_d348e14749
54.	w5_d348e14752
J.	w7_d348e14755
Franz	w1_d348e14760
Unracher,	w3_d348e14763
Knab,	w5_d348e14766
im	w7_d348e14769
Chaosis	w9_d348e14772
Stift,	w11_d348e14775
alt	w13_d348e14779
6.	w15_d348e14782
J.	w17_d348e14785
Joh.	w1_d348e14790
Kolb,	w3_d348e14793
Tag=wacht.,	w5_d348e14796
beym	w7_d348e14799
rot	w9_d348e14802
Apf.	w11_d348e14805
oberm	w13_d348e14809
Neu	w15_d348e14812
stift,	w1_d348e14817
alt	w3_d348e14820
54.	w5_d348e14823
