<doc id="wr_1763-10-15" attrs="word" year="1763" month="10" day="15" corpus="2">
<head id="h2_d800e3755">
Niagara	w1_d800e3759
zu	w1_d800e19738
vernehmen	w3_d800e19741
gegeben:	w5_d800e19744
wasmassen	w7_d800e19747
wegen	w9_d800e19750
sicherer	w11_d800e19753
Abhandlung	w1_d800e19758
der	w3_d800e19761
Verlassenschaft	w5_d800e19764
die	w7_d800e19767
gewöhnliche	w9_d800e19770
Convocations	w1_d800e19775
und	w3_d800e19778
Liquidations=edicta	w5_d800e19781
auszu	w7_d800e19784
fertigen,	w1_d800e19789
gerichtlich	w3_d800e19792
mundlichen	w5_d800e19795
auferlegter	w7_d800e19798
mas	w9_d800e19801
sen	w1_d800e19807
verordnet	w3_d800e19810
worden	w5_d800e19813
seye.	w7_d800e19816
Dannenhero	w9_d800e19819
alle	w11_d800e19822
die	w13_d800e19826
jenige,	w1_d800e19831
welche	w3_d800e19834
an	w5_d800e19837
Eingangs	w7_d800e19840
ersagt	w9_d800e19843
Reisensteinische	w11_d800e19846
Verlassenschaft	w1_d800e19851
Sprüch	w3_d800e19854
und	w5_d800e19857
Anforderungen	w7_d800e19860
zu	w9_d800e19863
haben	w1_d800e19868
gedenken,	w3_d800e19871
innerhalb	w5_d800e19874
1.	w7_d800e19877
Jahr,	w9_d800e19880
6.	w11_d800e19883
Wochen,	w13_d800e19887
und	w1_d800e19893
3.	w3_d800e19896
Täg	w5_d800e19899
bey	w7_d800e19902
vorbesagtem	w9_d800e19905
Grund=gericht	w11_d800e19908
al	w13_d800e19912
so	w1_d800e19917
gewiß	w3_d800e19920
anmelden,	w5_d800e19923
und	w7_d800e19926
ihre	w9_d800e19929
Sprüch	w11_d800e19932
liquidiren,	w13_d800e19936
wie	w1_d800e19941
im	w3_d800e19944
widrigen	w5_d800e19947
denenjenigen,	w7_d800e19950
welche	w9_d800e19953
sich	w11_d800e19956
bey	w13_d800e19960
dieser	w1_d800e19965
Convocation	w3_d800e19968
gar	w5_d800e19971
nicht	w7_d800e19974
anmelden	w9_d800e19977
wurden,	w11_d800e19980
das	w1_d800e19986
ewige	w3_d800e19989
Stillschweigen	w5_d800e19992
auferleget	w7_d800e19995
seyn	w9_d800e19998
solle.	w11_d800e20001
Wornach	w1_d800e20006
sich	w3_d800e20009
jedermänniglich	w5_d800e20012
zu	w7_d800e20015
richten	w9_d800e20018
wissen	w11_d800e20021
wird.	w1_d800e20026
Wien	w3_d800e20029
den	w5_d800e20032
20.	w7_d800e20035
Sept.	w9_d800e20038
1765.	w11_d800e20041
</p>
<list id="l30_d800e20137">
Eins	w1_d800e20141
aidere	w3_d800e20144
leine,	w5_d800e20147
ihres	w7_d800e20150
Juhals	w9_d800e20153
wegen	w11_d800e20156
e	w1_d800e20161
e	w3_d800e20164
i.	w5_d800e20167
</list>
<head id="h2_d800e20174">
e	w1_d800e20178
e	w3_d800e20181
i.	w5_d800e20184
</head>
<p id="p4_d800e20187">
Der	w1_d800e20191
älteste	w3_d800e20194
König	w5_d800e20197
vielleicht	w7_d800e20200
in	w9_d800e20203
allen	w11_d800e20206
2Thei	w13_d800e20210
len	w1_d800e20215
der	w3_d800e20218
Welt,	w5_d800e20221
der	w7_d800e20224
König	w9_d800e20227
Stanislaus,	w11_d800e20230
welcher	w1_d800e20235
den	w3_d800e20238
20.	w5_d800e20241
Oct.	w7_d800e20244
1676.	w9_d800e20247
gebohren	w11_d800e20250
wor	w13_d800e20254
den,	w1_d800e20260
und	w3_d800e20263
beynahe	w5_d800e20266
sein	w7_d800e20269
87	w9_d800e20272
Jahr	w11_d800e20275
erreichet	w13_d800e20279
hat	w1_d800e20284
ist	w3_d800e20287
den	w5_d800e20290
13	w7_d800e20293
dieses	w9_d800e20296
von	w11_d800e20299
Luneoille	w13_d800e20303
zu	w15_d800e20306
Ver	w17_d800e20309
sailles	w1_d800e20314
mit	w3_d800e20317
einer	w5_d800e20320
Munterkeit	w7_d800e20323
eingetroffen	w9_d800e20326
welche	w1_d800e20331
den	w3_d800e20334
ganzen	w5_d800e20337
Hof	w7_d800e20340
in	w9_d800e20343
Verwunderung	w11_d800e20346
gesetzet	w1_d800e20352
hat.	w3_d800e20355
Dieser	w5_d800e20358
würklich	w7_d800e20361
weise	w9_d800e20364
Herr	w11_d800e20367
ist	w1_d800e20372
ein	w3_d800e20375
Beweis	w5_d800e20378
von	w7_d800e20381
dem	w9_d800e20384
Einflusse,	w11_d800e20387
welche	w13_d800e20391
eine	w1_d800e20396
kluge	w3_d800e20399
Diät	w5_d800e20402
und	w7_d800e20405
eine	w9_d800e20408
starke	w11_d800e20411
philosophi	w13_d800e20415
sche	w1_d800e20420
Standhaftigkeit	w3_d800e20423
gegen	w5_d800e20426
die	w7_d800e20429
Widerwär	w9_d800e20432
tigkeiten	w1_d800e20438
des	w3_d800e20441
wälzenden	w5_d800e20444
Glücks	w7_d800e20447
haben.	w9_d800e20450
Da	w11_d800e20453
er	w1_d800e20458
über	w3_d800e20461
ein	w5_d800e20464
halbes	w7_d800e20467
Jahrhundert	w9_d800e20470
alle	w11_d800e20473
die	w13_d800e20477
Lasten	w1_d800e20482
erfahren	w3_d800e20485
hat,	w5_d800e20488
welche	w7_d800e20491
Kronen	w9_d800e20494
drücken,	w11_d800e20497
so	w1_d800e20502
geniesset	w3_d800e20505
er	w5_d800e20508
nun	w7_d800e20511
im	w9_d800e20514
Schoosse	w11_d800e20517
der	w13_d800e20521
Ruhe	w15_d800e20524
die	w1_d800e20530
Belohnungen	w3_d800e20533
seiner	w5_d800e20536
Verdienste,	w7_d800e20539
und	w9_d800e20542
betrachtet	w1_d800e20547
die	w3_d800e20550
Reiche	w5_d800e20553
und	w7_d800e20556
Staaten	w9_d800e20559
aus	w11_d800e20562
dem	w13_d800e20566
Gesichtspuncte,	w1_d800e20571
aus	w3_d800e20574
welchem	w5_d800e20577
sie	w7_d800e20580
ein	w9_d800e20583
gelas	w11_d800e20586
sener	w1_d800e20591
Weiser	w3_d800e20594
und	w5_d800e20597
guter	w7_d800e20600
Christ	w9_d800e20603
betrachten	w11_d800e20606
muß.	w1_d800e20612
</p>
<p id="p6_d800e20615">
Man	w1_d800e20619
redet	w3_d800e20622
hier	w5_d800e20625
fast	w7_d800e20628
von	w9_d800e20631
nichts	w11_d800e20634
/	w13_d800e20638
als	w15_d800e20641
von	w17_d800e20644
der	w1_d800e20649
strengen	w3_d800e20652
Standhaftigkeit	w5_d800e20655
des	w7_d800e20658
Parlaments	w9_d800e20661
von	w1_d800e20666
Rouen;	w3_d800e20669
ob	w5_d800e20672
aber	w7_d800e20675
der	w9_d800e20678
Hof	w11_d800e20681
nicht	w13_d800e20685
noch	w15_d800e20688
standhafter	w1_d800e20694
seyn	w3_d800e20697
werde,	w5_d800e20700
solches	w7_d800e20703
wird	w9_d800e20706
die	w11_d800e20709
Folge	w1_d800e20714
zeigen.	w3_d800e20717
Man	w5_d800e20720
glaubet	w7_d800e20723
indessen,	w9_d800e20726
daß	w11_d800e20729
der	w1_d800e20734
nachdrückliche	w3_d800e20737
Brief,	w5_d800e20740
welchen	w7_d800e20743
der	w9_d800e20746
Canz	w11_d800e20749
ler	w1_d800e20754
an	w3_d800e20757
dasselbe	w5_d800e20760
geschrieben	w7_d800e20763
hat,	w9_d800e20766
einige	w11_d800e20769
Ver	w13_d800e20773
änderungen	w1_d800e20779
der	w3_d800e20782
Denkensart	w5_d800e20785
desselben	w7_d800e20788
be	w9_d800e20791
wirken	w1_d800e20796
werde,	w3_d800e20799
damit	w5_d800e20802
die	w7_d800e20805
Krone	w9_d800e20808
nicht	w11_d800e20811
ge	w13_d800e20815
nöthigt	w1_d800e20820
werde,	w3_d800e20823
zu	w5_d800e20826
ernstlichern	w7_d800e20829
Mitteln	w9_d800e20832
zu	w11_d800e20835
greiffen.	w1_d800e20840
</p>
<list id="l8_d800e20843">
Wiestben	w1_d800e20847
wech	w3_d800e20850
Anner	w5_d800e20853
Scheisten,	w7_d800e20856
we	w9_d800e20859
</list>
<p id="p10_d800e20863">
Wiestben	w1_d800e20867
wech	w3_d800e20870
Anner	w5_d800e20873
Scheisten,	w7_d800e20876
we	w9_d800e20879
che	w1_d800e20884
den	w3_d800e20887
Verfasser	w5_d800e20890
der	w7_d800e20893
Abhandlung	w9_d800e20896
über	w11_d800e20899
den	w13_d800e20903
Reichthum	w1_d800e20908
des	w3_d800e20911
Staats	w5_d800e20914
betreffen,	w7_d800e20917
und	w9_d800e20920
wel	w11_d800e20923
che	w1_d800e20929
sein	w3_d800e20932
System	w5_d800e20935
theils	w7_d800e20938
aus	w9_d800e20941
Eigennutz,	w11_d800e20944
und	w13_d800e20948
ihells	w1_d800e20953
zum	w3_d800e20956
Wohl	w5_d800e20959
des	w7_d800e20962
Staats	w9_d800e20965
beurtheilen	w11_d800e20968
</p>
<p id="p12_d800e20972">
Eins	w1_d800e20976
aidere	w3_d800e20979
leine,	w5_d800e20982
ihres	w7_d800e20985
Juhals	w9_d800e20988
wegen	w11_d800e20991
aber	w1_d800e20996
höchst	w3_d800e20999
wichtige	w5_d800e21002
Schrift,	w7_d800e21005
welche	w9_d800e21008
in	w11_d800e21011
der	w13_d800e21015
französischen	w1_d800e21020
Akademie	w3_d800e21023
den	w5_d800e21026
Preiß	w7_d800e21029
erhalten	w9_d800e21032
hat,	w1_d800e21038
ist	w3_d800e21041
von	w5_d800e21044
dem	w7_d800e21047
Herrn	w9_d800e21050
Thomas	w11_d800e21053
Secre	w13_d800e21057
tär	w1_d800e21062
bey	w3_d800e21065
dem	w5_d800e21068
Herzoge	w7_d800e21071
von	w9_d800e21074
Praßlin,	w11_d800e21077
verfer	w13_d800e21081
tiget	w1_d800e21086
worden.	w3_d800e21089
Da	w5_d800e21092
er	w7_d800e21095
dem	w9_d800e21098
unsterblichen	w11_d800e21101
Ruhm	w1_d800e21106
eines	w3_d800e21109
der	w5_d800e21112
grösten	w7_d800e21115
Staatsleute,	w9_d800e21118
wel	w11_d800e21121
che	w1_d800e21127
Frankreich	w3_d800e21130
jemals	w5_d800e21133
gehabt	w7_d800e21136
Gerechtigkeit	w9_d800e21139
wiederfahren	w1_d800e21144
lässet,	w3_d800e21147
bedient	w5_d800e21150
er	w7_d800e21153
sich	w9_d800e21156
folgender	w11_d800e21159
Ausdrücke.:	w1_d800e21164
"Die	w3_d800e21167
Freyheit,	w5_d800e21170
das	w7_d800e21173
Getreide	w9_d800e21176
auszuführen,	w1_d800e21181
stund	w3_d800e21184
mit	w5_d800e21187
dem	w7_d800e21190
System	w9_d800e21193
des	w11_d800e21196
Sully	w1_d800e21202
in	w3_d800e21205
der	w5_d800e21208
nothwendigsten	w7_d800e21211
Verbindung.	w9_d800e21214
Jm	w1_d800e21219
Jahre	w3_d800e21222
1607.	w5_d800e21225
wurde	w7_d800e21228
ein	w9_d800e21231
Richter	w11_d800e21234
zu	w13_d800e21238
Saumur,	w1_d800e21243
welcher	w3_d800e21246
die	w5_d800e21249
Ausfuhr	w7_d800e21252
des	w9_d800e21255
Mehls	w11_d800e21258
verboten	w1_d800e21263
hatte,	w3_d800e21266
mit	w5_d800e21269
einer	w7_d800e21272
eremplarischen	w9_d800e21275
Bestraffung	w1_d800e21281
deswegen	w3_d800e21284
bedrohet.	w5_d800e21287
Alles	w7_d800e21290
scheint	w1_d800e21295
uns	w3_d800e21298
jetzt	w5_d800e21301
einzuladen,	w7_d800e21304
diese	w9_d800e21307
weisen	w11_d800e21310
Be	w13_d800e21314
griffe	w1_d800e21319
wieder	w3_d800e21322
anzunehmen.	w5_d800e21325
Wenn	w7_d800e21328
es	w9_d800e21331
auf	w11_d800e21334
Zeugnisse	w1_d800e21339
ankömmt	w3_d800e21342
/	w5_d800e21345
so	w7_d800e21348
haben	w9_d800e21351
wir	w11_d800e21354
das	w13_d800e21358
vom	w15_d800e21361
Sully	w1_d800e21367
vor	w3_d800e21370
uns.	w5_d800e21373
Werden	w7_d800e21376
Gründe	w9_d800e21379
verlan	w11_d800e21382
get,	w1_d800e21387
so	w3_d800e21390
besitzen	w5_d800e21393
wir	w7_d800e21396
die	w9_d800e21399
vortreflichsten	w11_d800e21402
Bü	w13_d800e21406
cher,	w1_d800e21411
darinne	w3_d800e21414
die	w5_d800e21417
Nützlichkeit	w7_d800e21420
dieses	w9_d800e21423
Systems	w11_d800e21426
erwiesen	w1_d800e21431
ist.	w3_d800e21434
Jedermann	w5_d800e21437
kan	w7_d800e21440
ohnehin	w9_d800e21443
ein	w11_d800e21446
sehen,	w1_d800e21452
daß	w3_d800e21455
der	w5_d800e21458
Handel	w7_d800e21461
mit	w9_d800e21464
Ausländern,	w11_d800e21467
indem	w1_d800e21472
er	w3_d800e21475
uns	w5_d800e21478
einen	w7_d800e21481
zuverläßigen	w9_d800e21484
Gewinnst	w11_d800e21487
aus	w1_d800e21492
unserm	w3_d800e21495
Getreide	w5_d800e21498
verschaffet,	w7_d800e21501
und	w9_d800e21504
ver	w11_d800e21507
hütet,	w1_d800e21512
daß	w3_d800e21515
dessen	w5_d800e21518
Preiß	w7_d800e21521
nicht	w9_d800e21524
gänzlich	w11_d800e21527
falle,	w13_d800e21531
die	w1_d800e21537
Einkünfte	w3_d800e21540
vermehren,	w5_d800e21543
auch	w7_d800e21546
die	w9_d800e21549
Arbeit	w11_d800e21552
samkeit	w1_d800e21557
ermuntern,	w3_d800e21560
den	w5_d800e21563
Ackerbau	w7_d800e21566
befördern	w9_d800e21569
und	w1_d800e21574
auf	w3_d800e21577
diese	w5_d800e21580
Weise	w7_d800e21583
die	w9_d800e21586
Bevölkerung	w11_d800e21589
be	w13_d800e21593
günstigen	w1_d800e21598
müsse.	w3_d800e21601
Als	w5_d800e21604
Sully	w7_d800e21607
Minister	w9_d800e21610
wur	w11_d800e21613
de,	w1_d800e21619
stellte	w3_d800e21622
er	w5_d800e21625
den	w7_d800e21628
während	w9_d800e21631
der	w11_d800e21634
innerlichen	w13_d800e21638
Kriege	w1_d800e21643
gleichsam	w3_d800e21646
erstorbenen	w5_d800e21649
Ackerbau	w7_d800e21652
wie	w9_d800e21655
der	w1_d800e21660
her.	w3_d800e21663
Frankreich	w5_d800e21666
wurde	w7_d800e21669
der	w9_d800e21672
Kornboden	w11_d800e21675
Europens.	w1_d800e21680
Es	w3_d800e21683
genoß	w5_d800e21686
diesen	w7_d800e21689
Vorzug	w9_d800e21692
unter	w11_d800e21695
den	w1_d800e21701
Regierungen	w3_d800e21704
Heinrichs	w5_d800e21707
IV.	w7_d800e21710
Ludwigs	w9_d800e21713
XIII,	w1_d800e21718
znd	w3_d800e21721
in	w5_d800e21724
den	w7_d800e21727
esten	w9_d800e21730
Jahren	w11_d800e21733
unter	w13_d800e21737
</p>
<p id="p16_d800e21742">
Ladwig	w1_d800e21746
KIV..	w3_d800e21749
Der	w5_d800e21752
Ueberfluß	w7_d800e21755
und	w9_d800e21758
der	w11_d800e21761
gute	w1_d800e21766
Preiß	w3_d800e21769
des	w5_d800e21772
Getreides,	w7_d800e21775
erhielten	w9_d800e21778
den	w11_d800e21781
Reichthum	w1_d800e21786
der	w3_d800e21789
Nation;	w5_d800e21792
denn	w7_d800e21795
der	w9_d800e21798
gewöhn	w11_d800e21801
liche	w1_d800e21807
Preiß	w3_d800e21810
des	w5_d800e21813
Mehls	w7_d800e21816
stieg	w9_d800e21819
damals	w11_d800e21822
öfters	w13_d800e21826
auf	w1_d800e21831
25.	w3_d800e21834
Livres	w5_d800e21837
und	w7_d800e21840
höher,	w9_d800e21843
nach	w11_d800e21846
unserer	w13_d800e21850
Münze	w1_d800e21855
gerechnet,	w3_d800e21858
welches	w5_d800e21861
dem	w7_d800e21864
Reiche	w9_d800e21867
einen	w11_d800e21870
jährlichen	w1_d800e21875
Schatz	w3_d800e21878
von	w5_d800e21881
mehr	w7_d800e21884
als	w9_d800e21887
3.	w11_d800e21890
Millio	w13_d800e21894
nen	w1_d800e21900
damahliger	w3_d800e21903
Münze	w5_d800e21906
verschaffete.	w7_d800e21909
Die	w9_d800e21912
ser	w1_d800e21917
Reichthum	w3_d800e21920
ist	w5_d800e21923
heutiges	w7_d800e21926
Tages	w9_d800e21929
auf	w11_d800e21932
5.	w13_d800e21936
Sechstheil	w1_d800e21941
gefallen.	w3_d800e21944
Jm	w5_d800e21947
Jahre	w7_d800e21950
1661.	w9_d800e21953
wollte	w1_d800e21958
Colbert	w3_d800e21961
den	w5_d800e21964
Mannfacturen	w7_d800e21967
aufhelfen,	w9_d800e21970
und	w1_d800e21976
ließ	w3_d800e21979
die	w5_d800e21982
Ausfuhr	w7_d800e21985
des	w9_d800e21988
Getreides	w11_d800e21991
verbie	w13_d800e21995
ten,	w1_d800e22000
damit	w3_d800e22003
der	w5_d800e22006
Unterhalt	w7_d800e22009
der	w9_d800e22012
Handwerks	w11_d800e22015
lerte	w1_d800e22020
wohlfeil	w3_d800e22023
bliebe,	w5_d800e22026
und	w7_d800e22029
folglich	w9_d800e22032
die	w11_d800e22035
von	w13_d800e22039
ihnen	w1_d800e22044
verfertigten	w3_d800e22047
Sachen	w5_d800e22050
um	w7_d800e22053
etnen	w9_d800e22056
gerin	w11_d800e22059
geren	w1_d800e22065
Preiß,	w3_d800e22068
als	w5_d800e22071
bey	w7_d800e22074
Ausländern	w9_d800e22077
zu	w11_d800e22080
be	w13_d800e22084
kommen	w1_d800e22089
seyn	w3_d800e22092
möchten.	w5_d800e22095
Der	w7_d800e22098
Preiß	w9_d800e22101
des	w11_d800e22104
Korns	w1_d800e22109
war	w3_d800e22112
damahls	w5_d800e22115
gemeiniglich	w7_d800e22118
zu	w9_d800e22121
7.	w11_d800e22124
8.	w13_d800e22128
9.	w1_d800e22133
bis	w3_d800e22136
10.	w5_d800e22139
Livres.	w7_d800e22142
Der	w9_d800e22145
auf	w11_d800e22148
den	w13_d800e22152
Ackerbau	w15_d800e22155
gewendete	w1_d800e22161
Fleiß	w3_d800e22164
ermüdete	w5_d800e22167
bald.	w7_d800e22170
Die	w9_d800e22173
Ernd	w11_d800e22176
	w13_d800e22180
ten	w1_d800e22185
in	w3_d800e22188
schlechten	w5_d800e22191
Ländereyen	w7_d800e22194
vergüteten	w9_d800e22197
die	w11_d800e22200
auf	w1_d800e22205
ihre	w3_d800e22208
Cultur	w5_d800e22211
verwendeten	w7_d800e22214
Unkosten	w9_d800e22217
nicht	w11_d800e22220
wieder;	w1_d800e22225
man	w3_d800e22228
ließ	w5_d800e22231
sie	w7_d800e22234
also	w9_d800e22237
unbebauet	w11_d800e22240
liegen	w13_d800e22244
Nach	w1_d800e22250
und	w3_d800e22253
nach	w5_d800e22256
wurden	w7_d800e22259
diese	w9_d800e22262
Gesilbe	w11_d800e22265
un	w13_d800e22269
brauchtbar,	w1_d800e22274
und	w3_d800e22277
Frankreich,	w5_d800e22280
welches	w7_d800e22283
vo	w9_d800e22286
|	w11_d800e22289
|	w13_d800e22293
diesem	w1_d800e22298
auf	w3_d800e22301
70.	w5_d800e22304
Millionen	w7_d800e22307
Septiers	w9_d800e22310
an	w11_d800e22313
Ge	w13_d800e22317
treide	w1_d800e22322
hervorbrachte,	w3_d800e22325
liefert	w5_d800e22328
jetzt	w7_d800e22331
kaum	w9_d800e22334
40.	w11_d800e22337
(Die	w1_d800e22343
Fortsetzung	w3_d800e22346
folgt.)	w5_d800e22349
</p>
<list id="l18_d800e22352">
Wit	w1_d800e22356
Burgermeiser	w3_d800e22359
amtsvervalter	w5_d800e22362
und	w7_d800e22365
Raht	w9_d800e22368
</list>
<p id="p20_d800e22372">
Mar	w1_d800e22376
äler	w3_d800e22379
amdaeeter	w5_d800e22382
aud	w7_d800e22385
.	w9_d800e22388
der	w1_d800e22393
Stadt	w3_d800e22396
Wien,	w5_d800e22399
geben	w7_d800e22402
allen	w9_d800e22405
und	w11_d800e22408
jeden	w13_d800e22412
Credito	w15_d800e22415
ren,	w1_d800e22420
so	w3_d800e22423
zu	w5_d800e22426
Johann	w7_d800e22429
Georg	w9_d800e22432
Krebs,	w11_d800e22435
gewest=Burgerl.	w13_d800e22439
Wagner=meisters	w1_d800e22445
auf	w3_d800e22448
der	w5_d800e22451
Wieden	w7_d800e22454
allhier,	w9_d800e22457
und	w11_d800e22460
des	w13_d800e22464
sen	w1_d800e22469
Ehewirtin	w3_d800e22472
Annä	w5_d800e22475
Mariä,	w7_d800e22478
beeder	w9_d800e22481
seel.	w11_d800e22484
Verlas	w13_d800e22488
senschaften	w1_d800e22493
einige	w3_d800e22496
Anforderung	w5_d800e22499
haben,	w7_d800e22502
oder	w9_d800e22505
zu	w11_d800e22508
ha	w13_d800e22512
ben	w1_d800e22517
vermeinen,	w3_d800e22520
hiemit	w5_d800e22523
zu	w7_d800e22526
vernehmen:	w9_d800e22529
wasmassen	w11_d800e22532
wir	w1_d800e22538
auf	w3_d800e22541
wiederholt=beschehenes	w5_d800e22544
Anlangen	w7_d800e22547
des	w9_d800e22550
Gerichtl.	w1_d800e22555
verordneten	w3_d800e22558
Curatoris	w5_d800e22561
ad	w7_d800e22564
actum	w9_d800e22567
&	w11_d800e22570
ad	w13_d800e22574
li-	w15_d800e22577
tes	w1_d800e22582
in	w3_d800e22585
eine	w5_d800e22588
nochmalige	w7_d800e22591
Liquidations=tagsatzung	w9_d800e22594
ge	w11_d800e22597
williget,	w1_d800e22602
und	w3_d800e22605
zu	w5_d800e22608
dem	w7_d800e22611
Ende	w9_d800e22614
den	w11_d800e22617
28.	w13_d800e22621
Novemb.	w15_d800e22624
a.	w17_d800e22627
c.	w19_d800e22630
fruhe	w1_d800e22636
um	w3_d800e22639
9.	w5_d800e22642
Uhr	w7_d800e22645
anberaumet.	w9_d800e22648
Solchemnach	w11_d800e22651
wer	w13_d800e22655
den	w1_d800e22660
alle	w3_d800e22663
diejenige,	w5_d800e22666
so	w7_d800e22669
zu	w9_d800e22672
obermelten	w11_d800e22675
Verlassenschaf	w13_d800e22679
ten	w1_d800e22684
einige	w3_d800e22687
Anforderung	w5_d800e22690
haben,	w7_d800e22693
oder	w9_d800e22696
zu	w11_d800e22699
haben	w13_d800e22703
ver	w15_d800e22706
meinen,	w1_d800e22711
am	w3_d800e22714
besagten	w5_d800e22717
Tag	w7_d800e22720
und	w9_d800e22723
Stund	w11_d800e22726
entweders	w13_d800e22730
persönlich	w1_d800e22736
selbsten,	w3_d800e22739
oder	w5_d800e22742
durch	w7_d800e22745
einen	w9_d800e22748
hiezu	w11_d800e22751
bevoll	w13_d800e22755
mächtigten	w1_d800e22760
Mandatarium	w3_d800e22763
zu	w5_d800e22766
Liquidirung	w7_d800e22769
ihrer	w9_d800e22772
Anforderungen	w1_d800e22777
bey	w3_d800e22780
unser	w5_d800e22783
und	w7_d800e22786
Gemeiner	w9_d800e22789
Stadt	w11_d800e22792
Pupillen=rait=cammer	w1_d800e22797
alsogewiß	w3_d800e22800
zu	w5_d800e22803
erscheinen,	w7_d800e22806
</p>
<p id="p22_d800e22809">
und	w1_d800e22813
ihre	w3_d800e22816
Sprüch	w5_d800e22819
Rechts=beständig	w7_d800e22822
zu	w9_d800e22825
liquidiren	w11_d800e22828
haben,	w1_d800e22833
wie	w3_d800e22836
im	w5_d800e22839
widrigen	w7_d800e22842
die	w9_d800e22845
nicht	w11_d800e22848
Erscheinend	w13_d800e22852
oder	w15_d800e22855
nicht	w1_d800e22860
Liquidirende	w3_d800e22863
mit	w5_d800e22866
ihren	w7_d800e22869
angemelten	w9_d800e22872
Forde	w11_d800e22875
rungen	w1_d800e22881
ex	w3_d800e22884
officio	w5_d800e22887
abgewiesen,	w7_d800e22890
und	w9_d800e22893
nicht	w11_d800e22896
mehr	w13_d800e22900
ge	w15_d800e22903
höret	w1_d800e22908
werden	w3_d800e22911
sollen,	w5_d800e22914
wornach	w7_d800e22917
sich	w9_d800e22920
o	w11_d800e22923
ann	w13_d800e22927
dieselbe	w15_d800e22930
zu	w1_d800e22935
richten	w3_d800e22938
wissen	w5_d800e22941
werden.	w7_d800e22944
</p>
<list id="l24_d800e22948">
Wir	w1_d800e22952
Burgermeister=amts	w3_d800e22955
verwalter	w5_d800e22958
und	w7_d800e22961
Raht	w9_d800e22964
</list>
<p id="p26_d800e22968">
Wir	w1_d800e22972
Burgermeister=amts	w3_d800e22975
verwalter	w5_d800e22978
und	w7_d800e22981
Raht	w9_d800e22984
der	w1_d800e22989
Stadt	w3_d800e22992
Wien	w5_d800e22995
geben	w7_d800e22998
hiemit	w9_d800e23001
durch	w11_d800e23004
dieses	w13_d800e23008
offene	w15_d800e23011
Edict	w1_d800e23016
jedermänniglich	w3_d800e23019
zu	w5_d800e23022
vernehmen,	w7_d800e23025
wasgestal	w9_d800e23028
ten	w1_d800e23034
wir	w3_d800e23037
über	w5_d800e23040
schriftlich	w7_d800e23043
beschehenes	w9_d800e23046
Anlangen	w11_d800e23049
und	w13_d800e23053
ferner	w1_d800e23058
gehorsamstes	w3_d800e23061
Bitten	w5_d800e23064
Johann	w7_d800e23067
und	w9_d800e23070
Jgna	w11_d800e23073
Nickel,	w1_d800e23078
als	w3_d800e23081
Barbarä	w5_d800e23084
Stettmayrischen	w7_d800e23087
Erbenser	w9_d800e23090
ben	w1_d800e23095
unterm	w3_d800e23098
17.	w5_d800e23101
dies	w7_d800e23104
in	w9_d800e23107
ein	w11_d800e23110
nochmaliges	w13_d800e23114
Licitations	w15_d800e23117
edict,	w1_d800e23123
jedoch	w3_d800e23126
mit	w5_d800e23129
Präfigirung	w7_d800e23132
eines	w9_d800e23135
drey	w11_d800e23138
wochentli	w13_d800e23142
chen	w1_d800e23147
Termins	w3_d800e23150
gewilliget	w5_d800e23153
und	w7_d800e23156
verordnet	w9_d800e23159
haben,	w11_d800e23162
daß	w13_d800e23166
die	w1_d800e23171
Stettmarische	w3_d800e23174
in	w5_d800e23177
der	w7_d800e23180
Teinfalt=straffen	w9_d800e23183
ligende	w11_d800e23186
Behausung	w1_d800e23191
nochmalen	w3_d800e23194
offentlich	w5_d800e23197
ausgefeilet,	w7_d800e23200
und	w9_d800e23203
dem	w1_d800e23209
Meistbietenden	w3_d800e23212
verkaufet	w5_d800e23215
werden	w7_d800e23218
solle,	w9_d800e23221
da	w11_d800e23224
nun	w1_d800e23229
hierzu	w3_d800e23232
der	w5_d800e23235
12.	w7_d800e23238
Monats	w9_d800e23241
tag	w11_d800e23244
Nov.	w13_d800e23248
des	w15_d800e23251
1763.	w17_d800e23254
Jahrs	w1_d800e23259
zur	w3_d800e23262
Tagsatzung	w5_d800e23265
bestimmet	w7_d800e23268
worden	w9_d800e23271
ist,	w11_d800e23274
als	w13_d800e23278
wird	w1_d800e23283
ein	w3_d800e23286
solches	w5_d800e23289
hiemit	w7_d800e23292
jedermann,	w9_d800e23295
wer	w11_d800e23298
etwann	w13_d800e23302
dieses	w1_d800e23308
Haus	w3_d800e23311
käuflichen	w5_d800e23314
an	w7_d800e23317
sich	w9_d800e23320
zu	w11_d800e23323
bringen	w13_d800e23327
gesinnet	w15_d800e23330
ist,	w1_d800e23335
mit	w3_d800e23338
diesem	w5_d800e23341
Edict	w7_d800e23344
zu	w9_d800e23347
dem	w11_d800e23350
Ende	w13_d800e23354
kund	w15_d800e23357
und	w17_d800e23360
zu	w19_d800e23363
wissen	w1_d800e23368
gemacht,	w3_d800e23371
damit	w5_d800e23374
ein	w7_d800e23377
sich	w9_d800e23380
hervorthuender	w11_d800e23383
Kaufer	w1_d800e23388
bey	w3_d800e23391
obbemelt=bestimmten	w5_d800e23394
Licitationstagsa	w7_d800e23397
tzung	w1_d800e23403
fruhe	w3_d800e23406
um	w5_d800e23409
9.	w7_d800e23412
Uhr,	w9_d800e23415
oder	w11_d800e23418
da	w13_d800e23422
wir	w15_d800e23425
selbigen	w17_d800e23428
