<doc id="edoc_wd_1781-12-29" attrs="word" year="1781" month="12" day="29" corpus="1">
<p id="p4">
Tausend	w24
flüchtigen	w3576
Hirschens	w3577
<g/>
,
welcher	w3579
in	w3580
der	w3581
Au	w3582
<g/>
,
Maenali	w3584
benamset	w3585
<g/>
,
die	w3587
Füsse	w3588
vom	w3589
Aerz	w3590
<g/>
,
vom	w3592
Gold	w3593
die	w3594
Geweyhe	w3595
hatte	w3596
<g/>
,
den	w3598
Hercules	w3599
im	w3600
Lauf	w3601
überwunden	w3602
<g/>
,
und	w3604
erlegt	w3605
<g/>
,
wie	w3607
solches	w3608
Seneca	w3609
in	w3610
eben	w3611
jenem	w3612
Gedichte	w3613
Vers	w3614
220	w3615
anführte	w3616
<g/>
:
</p>
<p id="p43">
<g/>
—
<g/>
—
<g/>
—
<g/>
—
Maenali	w3622
pernix	w3623
fera	w3624
Multo	w3625
decorum	w3626
perferens	w3627
auro	w3628
Capua	w3629
Deprensa	w3630
Cursu	w3631
est	w3632
<g/>
.
</p>
<p id="p44">
Diese	w3634
Statue	w3635
sammt	w3636
zween	w3637
andern	w3638
des	w3639
Jupiters	w3640
von	w3641
Doliche	w3642
<g/>
:
<g/>
(
also	w3645
ge=nannt	w3646
<g/>
=
von	w3648
dem	w3649
Ort	w3650
Doliche	w3651
<g/>
,
oder	w3653
besser	w3654
von	w3655
den	w3656
Spielen	w3657
Dolicha	w3658
<g/>
,
so	w3660
bey	w3661
Tarsum	w3662
in	w3663
Cilicia	w3664
dem	w3665
Jupiter	w3666
zu	w3667
Ehren	w3668
gefeyert	w3669
<g/>
,
wie	w3671
Mastäus	w3672
in	w3673
Museo	w3674
</p>
<p id="p45">
Veronensi	w3675
Fol	w3676
<g/>
.
77	w3678
erklärt	w3679
<g/>
:
<g/>
)
sind	w3682
ausge=graben	w3683
<g/>
=
worden	w3685
bey	w3686
Surdok	w3687
<g/>
,
einem	w3689
Grä=ntzort	w3690
<g/>
=
in	w3692
Bezirk	w3693
des	w3694
Peterwardeiner	w3695
Re=giments	w3696
<g/>
=
<g/>
.
Der	w3699
Hercules	w3700
nach	w3701
obiger	w3702
Be=schreibung	w3703
<g/>
=
ist	w3705
besonders	w3706
merkwürdig	w3707
<g/>
;
dann	w3709
sechs	w3710
Bildnissen	w3711
des	w3712
Hercules	w3713
<g/>
,
so	w3715
1736	w3716
den	w3717
24	w3718
<g/>
.
April	w3720
bey	w3721
Mehadia	w3722
<g/>
:
<g/>
(
allwo	w3725
die	w3726
beruffene	w3727
Herculeische	w3728
Bäder	w3729
zur	w3730
Zeit	w3731
der	w3732
Römer	w3733
gestanden	w3734
<g/>
:
<g/>
)
in	w3737
Temeswarer	w3738
Banat	w3739
entdeckt	w3740
worden	w3741
<g/>
,
sind	w3743
von	w3744
diesem	w3745
unterschieden	w3746
<g/>
.
</p>
<head id="hl11">
Verzeichniß	w3748
der	w3749
Verstorbenen	w3750
zu	w3751
Wien	w3752
in	w3753
und	w3754
vor	w3755
der	w3756
Stadt	w3757
<g/>
.
</head>
<head id="hl12">
Den	w3759
20	w3760
<g/>
.
Christm	w3762
<g/>
.
Jn	w3764
der	w3765
Stadt	w3766
<g/>
.
</head>
<list id="">
Dem	w3768
Hrn	w3769
<g/>
.
Jos	w3771
<g/>
.
Franz	w3773
Pach	w3774
<g/>
,
bürgl	w3776
<g/>
.
Handelsm	w3778
<g/>
.
s	w3780
<g/>
.
Fr	w3782
<g/>
.
Cath	w3784
<g/>
.
N	w3786
<g/>
.
638	w3788
<g/>
.
im	w3790
Hutstepperg	w3791
<g/>
.
a	w3793
<g/>
.
28	w3795
J	w3796
<g/>
.
</list>
<head id="hl13">
Vor	w3798
der	w3799
Stadt	w3800
</head>
<list id="">
Dem	w3801
Titl	w3802
<g/>
.
Hrn	w3804
<g/>
.
Andr	w3806
<g/>
.
v	w3808
<g/>
.
Neu	w3810
<g/>
,
Obristlieut	w3812
<g/>
.
vom	w3814
grossen	w3815
Generalstaab	w3816
s	w3817
<g/>
.
Fräulein	w3819
T	w3820
<g/>
.
Cath	w3822
<g/>
.
Nr	w3824
<g/>
.
277	w3826
<g/>
.
auf	w3828
d	w3829
<g/>
.
Landst	w3831
<g/>
.
alt	w3833
1	w3834
J	w3835
<g/>
.
Hr	w3837
<g/>
.
Joh	w3839
<g/>
.
Unger	w3841
<g/>
,
k	w3843
<g/>
.
k	w3845
<g/>
.
Kameral	w3847
Hauptbuchh	w3848
<g/>
.
Ex=pedit	w3850
<g/>
=
<g/>
.
u	w3853
<g/>
.
Registrat	w3855
<g/>
.
Adjunkt	w3857
<g/>
,
N	w3859
<g/>
.
6	w3861
<g/>
.
am	w3863
strotzis	w3864
<g/>
.
Gr	w3866
<g/>
.
alt	w3868
50	w3869
J	w3870
<g/>
.
Dem	w3872
Hrn	w3873
<g/>
.
Christ	w3875
<g/>
.
Klem	w3877
<g/>
,
Prof	w3879
<g/>
.
in	w3881
d	w3882
<g/>
.
Realakad	w3884
<g/>
.
u	w3886
<g/>
.
Normals	w3888
<g/>
.
k	w3890
<g/>
.
K	w3892
<g/>
.
Cath	w3894
<g/>
.
Nr	w3896
<g/>
.
18	w3898
<g/>
.
auf	w3900
d	w3901
<g/>
.
Laim=grube	w3903
<g/>
=
<g/>
,
alt	w3906
7	w3907
J	w3908
<g/>
.
Dem	w3910
Franz	w3911
Grittner	w3912
<g/>
,
bürgl	w3914
<g/>
.
Weißgärb	w3916
<g/>
.
s	w3918
<g/>
.
W	w3920
<g/>
.
Mar	w3922
<g/>
.
Anna	w3924
<g/>
,
in	w3926
s	w3927
<g/>
.
H	w3929
<g/>
.
Nr	w3931
<g/>
.
42	w3933
<g/>
.
an	w3935
d	w3936
<g/>
.
Wien	w3938
<g/>
,
alt	w3940
44	w3941
J	w3942
<g/>
.
Jos	w3944
<g/>
.
Drischitz	w3946
<g/>
,
bürgl	w3948
<g/>
.
Bücherh	w3950
<g/>
.
Nr	w3952
<g/>
.
327	w3954
<g/>
.
in	w3956
der	w3957
Leopoldst	w3958
<g/>
.
alt	w3960
52	w3961
J	w3962
<g/>
.
Dem	w3964
Jos	w3965
<g/>
.
Burges	w3967
<g/>
,
bürgl	w3969
<g/>
.
Bildha	w3971
<g/>
.
s	w3973
<g/>
.
K	w3975
<g/>
.
Anna	w3977
<g/>
,
Nr	w3979
<g/>
.
114	w3981
<g/>
.
zu	w3983
Mariah	w3984
<g/>
.
alt	w3986
2	w3987
J	w3988
<g/>
.
Steph	w3990
<g/>
.
Schwanl	w3992
<g/>
,
ni	w3994
<g/>
.
öst	w3996
<g/>
.
Landsch	w3998
<g/>
.
u	w4000
<g/>
.
bürgl	w4002
<g/>
.
Zim=merm	w4004
<g/>
=
<g/>
.
in	w4007
s	w4008
<g/>
.
H	w4010
<g/>
.
Nr	w4012
<g/>
.
25	w4014
<g/>
.
in	w4016
d	w4017
<g/>
.
Alsterg	w4019
<g/>
.
alt	w4021
73	w4022
J	w4023
<g/>
.
Dem	w4025
Jos	w4026
<g/>
.
Altenberger	w4028
<g/>
,
bürgl	w4030
<g/>
.
Glaserm	w4032
<g/>
.
s	w4034
<g/>
.
K	w4036
<g/>
.
Joh	w4038
<g/>
.
Nr	w4040
<g/>
.
112	w4042
<g/>
.
auf	w4044
d	w4045
<g/>
.
Landst	w4047
<g/>
.
alt	w4049
6	w4050
J	w4051
<g/>
.
Dem	w4053
Wilh	w4054
<g/>
.
Niederberger	w4056
<g/>
,
bürgl	w4058
<g/>
.
Binderm	w4060
<g/>
.
s	w4062
<g/>
.
K	w4064
<g/>
.
Josepha	w4066
<g/>
,
Nr	w4068
<g/>
.
220	w4070
<g/>
.
am	w4072
ob	w4073
<g/>
.
Neust	w4075
<g/>
.
alt	w4077
2	w4078
J	w4079
<g/>
.
Dem	w4081
Franz	w4082
Schönreiter	w4083
<g/>
,
Bauholzvers	w4085
<g/>
.
s	w4087
<g/>
.
K	w4089
<g/>
.
Eva	w4091
<g/>
,
Nr	w4093
<g/>
.
32	w4095
<g/>
.
in	w4097
d	w4098
Roßau	w4099
<g/>
,
alt	w4101
3	w4102
J	w4103
<g/>
.
Ant	w4105
Ludwig	w4106
<g/>
,
Wirth	w4108
<g/>
,
N	w4110
<g/>
.
123	w4112
<g/>
.
zu	w4114
Mariah	w4115
<g/>
.
a	w4117
<g/>
.
75	w4119
J	w4120
<g/>
.
Dem	w4122
Math	w4123
<g/>
.
Stephan	w4125
<g/>
,
Schneid	w4127
<g/>
.
s	w4129
<g/>
.
K	w4131
<g/>
.
Theres	w4133
<g/>
.
Nr	w4135
<g/>
.
70	w4137
<g/>
.
zu	w4139
Erdb	w4140
<g/>
.
alt	w4142
4	w4143
J	w4144
<g/>
.
Dem	w4146
Jak	w4147
<g/>
.
Weidlinger	w4149
<g/>
,
Tagl	w4151
<g/>
.
s	w4153
<g/>
.
W	w4155
<g/>
.
Rosina	w4157
<g/>
,
N	w4159
<g/>
.
1	w4161
<g/>
.
am	w4163
Magdalenag	w4164
<g/>
.
alt	w4166
44	w4167
J	w4168
<g/>
.
Joh	w4170
<g/>
.
Seidl	w4172
<g/>
,
Tagw	w4174
<g/>
.
welcher	w4176
sich	w4177
erfallen	w4178
<g/>
,
ist	w4180
v	w4181
<g/>
.
k	w4183
<g/>
.
k	w4185
<g/>
.
Stadt	w4187
<g/>
=
u	w4189
<g/>
.
Landger	w4191
<g/>
.
Nr	w4193
<g/>
.
343	w4195
<g/>
.
auf	w4197
d	w4198
<g/>
.
Wied	w4200
<g/>
.
beschauet	w4202
word	w4203
<g/>
.
alt	w4205
49	w4206
J	w4207
<g/>
.
Anna	w4209
Königshoferin	w4210
<g/>
,
Sesseltr	w4212
<g/>
.
Wit	w4214
<g/>
.
Nr	w4216
<g/>
.
28	w4218
<g/>
.
am	w4220
Himmelpfortg	w4221
<g/>
.
alt	w4223
63	w4224
J	w4225
<g/>
.
</list>
<list id="">
Dem	w4227
Ant	w4228
<g/>
.
Welsky	w4230
<g/>
,
Schneid	w4232
<g/>
.
s	w4234
<g/>
.
K	w4236
<g/>
.
Phil	w4238
<g/>
.
Nr	w4240
<g/>
.
27	w4242
<g/>
.
zu	w4244
St	w4245
<g/>
.
Ulrich	w4247
<g/>
,
alt	w4249
6	w4250
J	w4251
<g/>
.
Math	w4253
Matheisel	w4254
<g/>
,
Bräukn	w4256
<g/>
.
alt	w4258
26	w4259
J	w4260
<g/>
.
Franz	w4262
Niedermayer	w4263
<g/>
,
Tagw	w4265
<g/>
.
alt	w4267
55	w4268
J	w4269
<g/>
.
beede	w4271
beyn	w4272
Barmherz	w4273
<g/>
.
Elis	w4275
<g/>
.
Fritzin	w4277
<g/>
,
led	w4279
<g/>
.
alt	w4281
20	w4282
J	w4283
<g/>
.
im	w4285
h	w4286
<g/>
.
Dreyfaltigkeitsp	w4288
<g/>
.
Eleon	w4290
<g/>
.
Freyßeisin	w4292
<g/>
,
alt	w4294
60	w4295
J	w4296
<g/>
.
im	w4298
gross	w4299
<g/>
.
Armenh	w4301
<g/>
.
Regina	w4303
Millerin	w4304
<g/>
,
Koch	w4306
<g/>
.
W	w4308
<g/>
.
alt	w4310
78	w4311
J	w4312
<g/>
.
im	w4314
Jnva=lidenh	w4315
<g/>
=
<g/>
.
Gallus	w4318
Jungbauer	w4319
<g/>
,
Tagl	w4321
<g/>
.
alt	w4323
41	w4324
im	w4325
Contum	w4326
<g/>
.
Anna	w4328
Rumeleisin	w4329
<g/>
,
Regim	w4331
<g/>
.
Chyrurg	w4333
<g/>
.
Wit	w4335
<g/>
.
alt	w4337
55	w4338
J	w4339
<g/>
.
im	w4341
Bäckenh	w4342
<g/>
.
Summa	w4344
24	w4345
<g/>
.
Personen	w4347
<g/>
,
darunter	w4349
8	w4350
<g/>
.
Kind	w4352
<g/>
.
</list>
<head id="hl14">
Den	w4354
21	w4355
<g/>
.
Christm	w4357
<g/>
.
Jn	w4359
der	w4360
Stadt	w4361
<g/>
.
</head>
<list id="">
Dem	w4363
wohledlgeb	w4364
<g/>
.
u	w4366
<g/>
.
hochgel	w4368
<g/>
.
Hrn	w4370
<g/>
.
Leop	w4372
<g/>
.
Mos=bach	w4374
<g/>
=
<g/>
,
J	w4377
<g/>
.
U	w4379
<g/>
.
D	w4381
<g/>
.
des	w4383
allhiesig	w4384
<g/>
.
Stadtraths	w4386
ersten	w4387
Syndic	w4388
<g/>
.
u	w4390
<g/>
.
Kanzleydireckt	w4392
<g/>
.
dann	w4394
k	w4395
<g/>
.
k	w4397
<g/>
.
Feldkon=sistor	w4399
<g/>
=
<g/>
.
Rath	w4402
<g/>
,
s	w4404
<g/>
.
Hr	w4406
<g/>
.
S	w4408
<g/>
.
Karl	w4410
Leop	w4411
<g/>
.
Nr	w4413
<g/>
.
1165	w4415
<g/>
.
in	w4417
d	w4418
<g/>
.
ob	w4420
<g/>
.
Bräunerst	w4422
<g/>
.
alt	w4424
7	w4425
J	w4426
<g/>
.
Dem	w4428
Ant	w4429
<g/>
.
Reßler	w4431
<g/>
,
Bedient	w4433
<g/>
.
s	w4435
<g/>
.
K	w4437
<g/>
.
Math	w4439
<g/>
.
Nr	w4441
<g/>
.
484	w4443
<g/>
.
am	w4445
hoh	w4446
<g/>
.
Markt	w4448
<g/>
,
alt	w4450
6	w4451
J	w4452
<g/>
.
Anna	w4454
Zimermanin	w4455
<g/>
,
bgl	w4457
<g/>
.
Schusterm	w4459
<g/>
.
Wit	w4461
<g/>
.
a	w4463
84	w4464
J	w4465
<g/>
.
Eva	w4467
Ruessin	w4468
<g/>
,
bürgl	w4470
<g/>
.
Anstreich	w4472
<g/>
.
Wit	w4474
<g/>
.
alt	w4476
81	w4477
J	w4478
<g/>
.
beede	w4480
im	w4481
Burgersp	w4482
<g/>
.
</list>
<head id="hl15">
Vor	w4484
der	w4485
Stadt	w4486
<g/>
.
</head>
<list id="">
Hr	w4488
<g/>
.
Jgnatz	w4490
Kling	w4491
<g/>
,
k	w4493
<g/>
.
k	w4495
<g/>
.
Leibg	w4497
<g/>
.
Arzier	w4499
<g/>
,
Nr	w4501
<g/>
.
248	w4503
<g/>
.
auf	w4505
d	w4506
<g/>
.
neu	w4508
<g/>
.
Wied	w4510
<g/>
.
alt	w4512
70	w4513
J	w4514
<g/>
.
Dem	w4516
Paul	w4517
Mittersteller	w4518
<g/>
,
gew	w4520
bürgl	w4521
<g/>
.
Peruquenm	w4523
<g/>
.
s	w4525
<g/>
.
W	w4527
<g/>
.
Anna	w4529
<g/>
,
Nr	w4531
<g/>
.
332	w4533
<g/>
.
in	w4535
d	w4536
<g/>
.
Leopoldst	w4538
<g/>
.
alt	w4540
69	w4541
J	w4542
<g/>
.
Dem	w4544
Leopold	w4545
Kuntner	w4546
<g/>
,
bürgl	w4548
<g/>
.
Kuchelgärtn	w4550
<g/>
.
s	w4552
<g/>
.
K	w4554
<g/>
.
Leop	w4556
<g/>
.
Nr	w4558
<g/>
.
36	w4560
<g/>
.
in	w4562
d	w4563
<g/>
.
Roßau	w4565
<g/>
,
alt	w4567
1	w4568
J	w4569
<g/>
.
Joh	w4571
<g/>
.
Wirth	w4573
<g/>
,
bürgl	w4575
<g/>
.
Wagnerm	w4577
<g/>
.
Nr	w4579
<g/>
.
49	w4581
<g/>
.
auf	w4583
der	w4584
Wied	w4585
<g/>
.
alt	w4587
54	w4588
J	w4589
<g/>
.
Dem	w4591
Joh	w4592
<g/>
.
Voigt	w4594
<g/>
,
Hofbefr	w4596
<g/>
.
Buchh	w4598
<g/>
.
s	w4600
<g/>
.
W	w4602
<g/>
.
Cath	w4604
<g/>
.
Nr	w4606
<g/>
.
64	w4608
<g/>
.
in	w4610
d	w4611
<g/>
.
Josephst	w4613
<g/>
.
alt	w4615
53	w4616
J	w4617
<g/>
.
Dem	w4619
Jos	w4620
<g/>
.
Vicenz	w4622
<g/>
,
Tagw	w4624
<g/>
.
s	w4626
<g/>
.
K	w4628
<g/>
.
Magdal	w4630
<g/>
.
Nr	w4632
<g/>
.
70	w4634
<g/>
.
zu	w4636
Erdberg	w4637
<g/>
,
alt	w4639
4	w4640
J	w4641
<g/>
.
Dem	w4643
Ferd	w4644
<g/>
.
Niderleithner	w4646
<g/>
,
Maurergs	w4648
<g/>
.
s	w4650
<g/>
.
K	w4652
<g/>
.
Paul	w4654
<g/>
,
Nr	w4656
<g/>
.
8	w4658
<g/>
.
in	w4660
d	w4661
<g/>
.
Josephst	w4663
<g/>
.
alt	w4665
3	w4666
J	w4667
<g/>
.
Dem	w4669
Joh	w4670
<g/>
.
Rottner	w4672
<g/>
,
Gestättenaufs	w4674
<g/>
.
s	w4676
<g/>
.
K	w4678
<g/>
.
Kasp	w4680
<g/>
.
Nr	w4682
<g/>
.
93	w4684
in	w4685
d	w4686
<g/>
.
Roßau	w4688
<g/>
,
alt	w4690
5	w4691
J	w4692
<g/>
.
Konrad	w4694
Ecker	w4695
<g/>
,
Schust	w4697
<g/>
.
Nr	w4699
<g/>
.
43	w4701
<g/>
.
am	w4703
Thury	w4704
<g/>
,
a	w4706
<g/>
.
48	w4708
J	w4709
<g/>
.
Dem	w4711
Andr	w4712
<g/>
.
Holzmann	w4714
<g/>
,
herrs	w4716
<g/>
.
Zimmer	w4718
<g/>
.
s	w4720
<g/>
.
W	w4722
<g/>
.
Eva	w4724
<g/>
,
Nr	w4726
<g/>
.
89	w4728
in	w4729
d	w4730
<g/>
.
Roßau	w4732
<g/>
,
alt	w4734
53	w4735
J	w4736
<g/>
.
Phil	w4738
<g/>
.
Haß	w4740
<g/>
,
Korpor	w4742
<g/>
.
alt	w4744
31	w4745
J	w4746
<g/>
.
Joh	w4748
<g/>
.
Schröder	w4750
<g/>
,
Gmr	w4752
<g/>
.
a	w4754
<g/>
.
36	w4756
J	w4757
<g/>
.
beede	w4759
im	w4760
Militärsp	w4761
<g/>
.
N	w4763
<g/>
.
N	w4765
<g/>
.
Sprachlose	w4767
Weibspers	w4768
<g/>
.
alt	w4770
bey	w4771
47	w4772
J	w4773
<g/>
.
Georg	w4775
Pauer	w4776
<g/>
,
Schneidergs	w4778
<g/>
.
alt	w4780
32	w4781
J	w4782
<g/>
.
beede	w4784
in	w4785
Contumazh	w4786
<g/>
.
Barb	w4788
<g/>
.
Wallnerin	w4790
<g/>
,
led	w4792
alt	w4793
33	w4794
J	w4795
<g/>
.
in	w4797
St	w4798
<g/>
.
Marx	w4800
<g/>
.
Summa	w4802
19	w4803
<g/>
.
Personen	w4805
<g/>
,
darunter	w4807
6	w4808
<g/>
.
Kind	w4810
<g/>
.
</list>
<head id="hl16">
Den	w4812
22	w4813
<g/>
.
Christm	w4815
<g/>
.
Jn	w4817
der	w4818
Stadt	w4819
<g/>
.
</head>
<list id="">
Jos	w4821
Knapp	w4822
<g/>
,
bürgl	w4824
<g/>
.
Schullehr	w4826
<g/>
.
Nr	w4828
<g/>
.
118	w4830
<g/>
.
auf	w4832
der	w4833
Freyung	w4834
<g/>
,
alt	w4836
59	w4837
J	w4838
<g/>
.
</list>
<list id="">
Dem	w4840
Ant	w4841
Blumenstätter	w4842
<g/>
,
bürgl	w4844
<g/>
.
Schlosserm	w4846
<g/>
.
s	w4848
<g/>
.
K	w4850
<g/>
.
Anna	w4852
<g/>
,
Nr	w4854
<g/>
.
840	w4856
<g/>
.
in	w4858
d	w4859
Schulerstr	w4860
<g/>
.
alt	w4862
4	w4863
J	w4864
<g/>
.
Lorenz	w4866
Koch	w4867
<g/>
,
bürgl	w4869
<g/>
.
Fütterer	w4871
<g/>
,
Nr	w4873
<g/>
.
675	w4875
am	w4876
roth	w4877
<g/>
.
Thurn	w4879
<g/>
,
alt	w4881
45	w4882
J	w4883
<g/>
.
</list>
<head id="hl17">
Vor	w4885
der	w4886
Stadt	w4887
<g/>
.
</head>
<list id="">
Titl	w4889
<g/>
.
Fr	w4891
<g/>
.
Theres	w4893
<g/>
.
Baronesse	w4895
v	w4896
<g/>
.
Ottenfeld	w4898
<g/>
,
k	w4900
<g/>
.
k	w4902
<g/>
.
Hauptm	w4904
<g/>
.
Wit	w4906
<g/>
.
Nr	w4908
<g/>
.
45	w4910
<g/>
.
in	w4912
d	w4913
<g/>
.
Josephst	w4915
<g/>
.
a	w4917
<g/>
.
54	w4919
J	w4920
<g/>
.
Dem	w4922
Titl	w4923
<g/>
.
Hrn	w4925
<g/>
.
Ant	w4927
<g/>
.
Edlen	w4929
v	w4930
Radern	w4931
<g/>
,
pension	w4933
<g/>
.
k	w4935
<g/>
.
k	w4937
<g/>
.
Hofkriegsbuchhalt	w4939
<g/>
.
Kanzlist	w4941
s	w4942
<g/>
.
Fr	w4944
<g/>
.
Anna	w4946
Barb	w4947
<g/>
.
Nr	w4949
<g/>
.
167	w4951
<g/>
.
in	w4953
d	w4954
<g/>
.
Leopoldst	w4956
<g/>
.
alt	w4958
81	w4959
J	w4960
<g/>
.
Dem	w4962
Hrn	w4963
<g/>
.
Joh	w4965
<g/>
.
Müller	w4967
<g/>
,
k	w4969
<g/>
.
k	w4971
Hofsek	w4972
<g/>
.
s	w4974
<g/>
.
Hr	w4976
<g/>
.
S	w4978
<g/>
.
August	w4980
<g/>
,
Nr	w4982
<g/>
.
67	w4984
<g/>
.
zu	w4986
Mariah	w4987
<g/>
.
alt	w4989
27	w4990
J	w4991
<g/>
.
Dem	w4993
Joh	w4994
Dirschner	w4995
<g/>
,
bürgl	w4997
<g/>
.
Goldschlag	w4999
<g/>
.
s	w5001
<g/>
.
K	w5003
<g/>
.
Joh	w5005
<g/>
.
Nr	w5007
<g/>
.
12	w5009
<g/>
.
auf	w5011
d	w5012
<g/>
.
Windin	w5014
<g/>
.
alt	w5016
3	w5017
J	w5018
<g/>
.
Dem	w5020
Georg	w5021
Zeller	w5022
<g/>
,
Graveur	w5024
<g/>
,
s	w5026
<g/>
.
W	w5028
<g/>
.
Theres	w5030
<g/>
.
N	w5032
<g/>
.
112	w5034
<g/>
.
an	w5036
d	w5037
<g/>
.
neu	w5039
<g/>
.
Wien	w5041
<g/>
,
alt	w5043
72	w5044
J	w5045
<g/>
.
Joh	w5047
<g/>
.
Scheiberaf	w5049
<g/>
,
Kutsch	w5051
<g/>
.
Nr	w5053
<g/>
.
315	w5055
<g/>
.
auf	w5057
d	w5058
<g/>
.
Landst	w5060
<g/>
.
alt	w5062
71	w5063
J	w5064
<g/>
.
Joh	w5066
<g/>
.
Strengsman	w5068
<g/>
,
herrs	w5070
<g/>
.
Postill	w5072
<g/>
.
Nr	w5074
<g/>
.
20	w5076
<g/>
.
auf	w5078
d	w5079
<g/>
.
Wied	w5081
<g/>
.
alt	w5083
34	w5084
J	w5085
<g/>
.
Franz	w5087
Wolf	w5088
<g/>
,
k	w5090
<g/>
.
k	w5092
<g/>
.
Reithkn	w5094
<g/>
.
Nr	w5096
117	w5097
<g/>
.
auf	w5099
d	w5100
<g/>
.
Wied	w5102
<g/>
.
alt	w5104
83	w5105
J	w5106
<g/>
.
Bernh	w5108
<g/>
.
Rupp	w5110
<g/>
.
Bieraht	w5112
<g/>
.
Nr	w5114
<g/>
.
177	w5116
<g/>
.
um	w5118
ob	w5119
<g/>
.
Neust	w5121
<g/>
.
alt	w5123
50	w5124
J	w5125
<g/>
.
Dem	w5127
Georg	w5128
Allerstorfer	w5129
<g/>
,
Webergs	w5131
<g/>
.
s	w5133
<g/>
.
Stieft	w5135
<g/>
.
Anna	w5137
Amonin	w5138
<g/>
,
N	w5140
<g/>
.
346	w5142
<g/>
.
in	w5144
d	w5145
Leopoldst	w5146
a	w5147
<g/>
.
24	w5149
J	w5150
<g/>
.
Barb	w5152
<g/>
.
Feyerin	w5154
<g/>
,
Wit	w5156
<g/>
.
alt	w5158
85	w5159
J	w5160
<g/>
.
im	w5162
Mariahilf	w5163
<g/>
.
Grundsp	w5165
<g/>
.
Barb	w5167
<g/>
.
Gößlin	w5169
<g/>
,
led	w5171
<g/>
.
Wascherm	w5173
<g/>
.
Nr	w5175
<g/>
.
40	w5177
<g/>
.
im	w5179
Ler=chenf	w5180
<g/>
=
<g/>
.
alt	w5183
39	w5184
J	w5185
<g/>
.
Jos	w5187
<g/>
.
Dörler	w5189
<g/>
,
Tischl	w5191
<g/>
.
Nr	w5193
<g/>
.
102	w5195
<g/>
.
am	w5197
Neub	w5198
<g/>
.
a	w5200
<g/>
.
55	w5202
J	w5203
<g/>
.
Dem	w5205
Tobias	w5206
Prinz	w5207
<g/>
,
Tagl	w5209
<g/>
.
s	w5211
<g/>
.
K	w5213
<g/>
.
Phil	w5215
<g/>
.
Nr	w5217
<g/>
.
217	w5219
<g/>
.
am	w5221
ob	w5222
<g/>
.
Neust	w5224
<g/>
.
alt	w5226
4	w5227
<g/>
.
J	w5229
<g/>
.
Dem	w5231
Paul	w5232
Kanzonel	w5233
<g/>
,
Strümpfwirkergs	w5235
<g/>
.
s	w5237
<g/>
.
K	w5239
<g/>
.
Sigusund	w5241
<g/>
,
Nr	w5243
<g/>
.
18	w5245
<g/>
.
am	w5247
strotzis	w5248
<g/>
.
Gr	w5250
<g/>
.
alt	w5252
3	w5253
J	w5254
<g/>
.
Rosal	w5256
<g/>
.
Mayerin	w5258
<g/>
,
alt	w5260
58	w5261
J	w5262
in	w5263
gross	w5264
<g/>
.
Armenh	w5266
<g/>
.
Margar	w5268
<g/>
.
Hanin	w5270
<g/>
,
led	w5272
<g/>
.
in	w5274
d	w5275
<g/>
.
Vers	w5277
<g/>
.
welche	w5279
gäh	w5280
ver=storb	w5281
<g/>
=
<g/>
.
ist	w5284
v	w5285
<g/>
.
k	w5287
<g/>
.
k	w5289
<g/>
.
Stadt	w5291
<g/>
=
u	w5293
<g/>
.
Landger	w5295
<g/>
.
im	w5297
Kon=tumazh	w5298
<g/>
=
<g/>
.
an	w5301
d	w5302
<g/>
.
Entzünd	w5304
<g/>
.
beschauet	w5306
worden	w5307
<g/>
.
a	w5309
<g/>
.
59	w5311
J	w5312
<g/>
.
Jos	w5314
<g/>
.
Hinterleithner	w5316
<g/>
,
Tagw	w5318
<g/>
.
alt	w5320
48	w5321
J	w5322
<g/>
.
Bernd	w5324
Reither	w5325
<g/>
,
Roßkn	w5327
alt	w5328
26	w5329
J	w5330
<g/>
.
beeden	w5332
Kon=tumazh	w5333
<g/>
=
<g/>
.
Math	w5336
<g/>
.
Wirnsam	w5338
<g/>
,
Tagl	w5340
alt	w5341
39	w5342
J	w5343
<g/>
.
im	w5345
Bäckenh	w5346
<g/>
.
Summa	w5348
23	w5349
<g/>
.
Personen	w5351
<g/>
,
darunter	w5353
4	w5354
<g/>
.
Kind	w5356
<g/>
.
</list>
<head id="hl18">
Den	w5358
23	w5359
<g/>
.
Christm	w5361
<g/>
.
Jn	w5363
der	w5364
Stadt	w5365
<g/>
.
</head>
<list id="">
Dem	w5367
Jos	w5368
Gropa	w5369
<g/>
,
bürgl	w5371
<g/>
.
Schneiderm	w5373
<g/>
.
s	w5375
<g/>
.
K	w5377
<g/>
.
Jos	w5379
<g/>
.
Nr	w5381
<g/>
.
939	w5383
<g/>
.
in	w5385
d	w5386
<g/>
.
Weyhburgg	w5388
alt	w5389
2	w5390
<g/>
.
J	w5392
<g/>
.
Dem	w5394
Nik	w5395
<g/>
.
Leber	w5397
<g/>
,
Bed	w5399
<g/>
.
s	w5401
<g/>
.
K	w5403
<g/>
.
Aloysius	w5405
<g/>
,
Nr	w5407
<g/>
.
973	w5409
<g/>
.
in	w5411
d	w5412
<g/>
.
Himmelpfortg	w5414
<g/>
.
alt	w5416
2	w5417
J	w5418
<g/>
.
</list>
<head id="hl19">
Vor	w5420
der	w5421
Stadt	w5422
<g/>
.
</head>
<list id="">
Dem	w5424
Jos	w5425
<g/>
.
Reitter	w5427
<g/>
,
bürgl	w5429
Wirth	w5430
