<doc id="wr_1759-03-10" attrs="word" year="1759" month="03" day="10" corpus="2">
<head id="h2_d329e3434">
Münden	w1_d329e3438
regierenden	w5_d329e10687
Fürsten	w7_d329e10690
von	w1_d329e10696
Sulkowski	w3_d329e10699
durch	w5_d329e10702
einen	w7_d329e10705
Generalad	w9_d329e10708
jutanten	w1_d329e10713
um	w3_d329e10716
den	w5_d329e10719
Durchmarsch	w7_d329e10722
ansuchen	w9_d329e10725
las	w11_d329e10728
sen;	w1_d329e10733
nach	w3_d329e10736
genauer	w5_d329e10739
Besichtigung	w7_d329e10742
aber	w9_d329e10745
der	w11_d329e10748
Gegend,	w1_d329e10753
und	w3_d329e10756
nach	w5_d329e10759
einigen	w7_d329e10762
Stunden	w9_d329e10765
Auf	w11_d329e10768
enthalt	w1_d329e10774
die	w3_d329e10777
Trupen	w5_d329e10780
gegen	w7_d329e10783
das	w9_d329e10786
Hochfürstl.	w11_d329e10789
Schloß	w1_d329e10794
angerucket	w3_d329e10797
wären,	w5_d329e10800
und	w7_d329e10803
diesem	w9_d329e10806
Fürsten	w11_d329e10809
durch	w1_d329e10814
den	w3_d329e10817
General	w5_d329e10820
Braun	w7_d329e10823
der	w9_d329e10826
Arrest,	w11_d329e10829
jedoch	w13_d329e10833
mit	w1_d329e10838
Beybehaltung	w3_d329e10841
seines	w5_d329e10844
Degens	w7_d329e10847
angekündet	w9_d329e10850
worden	w1_d329e10856
seye.	w3_d329e10859
Die	w5_d329e10862
Fürstl.	w7_d329e10865
Wache	w9_d329e10868
und	w11_d329e10871
Gre	w13_d329e10875
nadiers	w1_d329e10880
wurden	w3_d329e10883
hierauf	w5_d329e10886
entwafnet,	w7_d329e10889
inglei	w9_d329e10892
chen	w1_d329e10897
die	w3_d329e10900
in	w5_d329e10903
denen	w7_d329e10906
anderen	w9_d329e10909
Städten	w11_d329e10912
ligende	w13_d329e10916
Chevaux=legers	w1_d329e10921
durch	w3_d329e10924
ein	w5_d329e10927
Commando	w7_d329e10930
Preus	w9_d329e10933
sischer	w1_d329e10939
Hussaren	w3_d329e10942
zu	w5_d329e10945
eben	w7_d329e10948
derselben	w9_d329e10951
Zeit	w11_d329e10954
auf	w13_d329e10958
gehoben,	w1_d329e10963
davon	w3_d329e10966
man	w5_d329e10969
zwar	w7_d329e10972
die	w9_d329e10975
Ober	w11_d329e10978
und	w13_d329e10982
Unter=officiers	w1_d329e10987
wieder	w3_d329e10990
loß	w5_d329e10993
gelassen,	w7_d329e10996
den	w9_d329e10999
ge	w11_d329e11002
</p>
<p id="p18_d329e11015">
meinen	w1_d329e11019
Mann	w3_d329e11022
aber	w5_d329e11025
zu	w7_d329e11028
Preußischen	w9_d329e11031
Kriegs	w11_d329e11034
diensten	w1_d329e11039
gezwungen	w3_d329e11042
hat.	w5_d329e11045
Den	w7_d329e11048
Fürsten	w9_d329e11051
selbsten	w1_d329e11056
hat	w3_d329e11059
man	w5_d329e11062
den	w7_d329e11065
andern	w9_d329e11068
Tag	w11_d329e11071
nach	w13_d329e11075
Groß	w15_d329e11078
glogau	w1_d329e11084
gebracht,	w3_d329e11087
und	w5_d329e11090
nachdem	w7_d329e11093
die	w9_d329e11096
Preussen	w11_d329e11099
übrigens	w1_d329e11104
eine	w3_d329e11107
Quantität	w5_d329e11110
Mehl	w7_d329e11113
und	w9_d329e11116
Fourage	w11_d329e11119
mitgenommen,	w1_d329e11124
und	w3_d329e11127
noch	w5_d329e11130
mehrere	w7_d329e11133
ausge	w9_d329e11136
schrieben;	w1_d329e11141
haben	w3_d329e11144
selbe	w5_d329e11147
den	w7_d329e11150
25.	w9_d329e11153
ihren	w11_d329e11156
Marsch	w13_d329e11160
gegen	w1_d329e11166
Posen	w3_d329e11169
weiter	w5_d329e11172
fortgesetzet.	w7_d329e11175
</p>
<p id="p20_d329e11178">
Abgewichenen	w1_d329e11182
Mittwoch	w3_d329e11185
als	w5_d329e11188
den	w7_d329e11191
7.	w9_d329e11194
die	w11_d329e11197
ses	w1_d329e11202
ist	w3_d329e11205
alhier	w5_d329e11208
die	w7_d329e11211
Ziehung	w9_d329e11214
der	w11_d329e11217
Kaiserl.	w13_d329e11221
Königl.	w15_d329e11224
Privilegirten	w1_d329e11229
Lotterie	w3_d329e11232
beschehen,	w5_d329e11235
und	w7_d329e11238
die	w9_d329e11241
Num.	w1_d329e11247
49.	w3_d329e11250
75.	w5_d329e11253
53.	w7_d329e11256
41.	w9_d329e11259
und	w11_d329e11262
4.	w13_d329e11266
mit	w15_d329e11269
vielen	w17_d329e11272
beträchtlichen	w1_d329e11277
Ambi,	w3_d329e11280
erheblichen	w5_d329e11283
Terni,	w7_d329e11286
(worunter	w1_d329e11291
einer	w3_d329e11294
mit	w5_d329e11297
300.	w7_d329e11300
Ducaten,	w9_d329e11303
den	w11_d329e11306
der	w1_d329e11311
Collector	w3_d329e11314
sub	w5_d329e11317
Num.	w7_d329e11320
72.	w9_d329e11323
Franz	w11_d329e11326
Wady	w13_d329e11330
in	w1_d329e11336
der	w3_d329e11339
Alster=gassen	w5_d329e11342
zu	w7_d329e11345
entrichten	w9_d329e11348
hat)	w11_d329e11351
wie	w13_d329e11355
auch	w1_d329e11360
nahmhaften	w3_d329e11363
Estrati	w5_d329e11366
gehoben	w7_d329e11369
worden.	w9_d329e11372
</p>
<p id="p22_d329e11375">
Den	w1_d329e11379
24.	w3_d329e11382
lauffenden	w5_d329e11385
Monats	w7_d329e11388
wird	w9_d329e11391
in	w11_d329e11394
der	w13_d329e11398
Kaiserl.	w1_d329e11403
Königl.	w3_d329e11406
Haupt=stadt	w5_d329e11409
Prag	w7_d329e11412
die	w9_d329e11415
fer	w11_d329e11418
nere	w1_d329e11423
Ziehung	w3_d329e11426
vorgenommen	w5_d329e11429
werden.	w7_d329e11432
</p>
<head id="h2_d329e11438">
Lista	w1_d329e11442
deren	w3_d329e11445
Verstorbenen	w5_d329e11448
zu	w7_d329e11451
Wien	w9_d329e11454
in	w1_d329e11459
und	w3_d329e11462
vor	w5_d329e11465
der	w7_d329e11468
Stadt.	w9_d329e11471
Den	w1_d329e11476
6.	w3_d329e11479
Martii.	w5_d329e11482
Jn	w1_d329e11488
der	w3_d329e11491
Stadt.	w5_d329e11494
</head>
<list id="l4_d329e11497">
Der	w1_d329e11501
Hoch	w3_d329e11504
und	w5_d329e11507
Wol=geb.	w7_d329e11510
Hr.	w9_d329e11513
Hr	w11_d329e11516
Franz	w13_d329e11520
Fried.	w15_d329e11523
des	w17_d329e11526
H.	w1_d329e11531
R.	w3_d329e11534
R.	w5_d329e11537
Graf	w7_d329e11540
zu	w9_d329e11543
Trautmanstorf,,	w11_d329e11546
und	w13_d329e11550
Wein	w15_d329e11553
sperg,	w1_d329e11558
Hr.	w3_d329e11561
deren	w5_d329e11564
Herrschaften	w7_d329e11567
Tatzenbach	w9_d329e11570
in	w11_d329e11573
Bie	w13_d329e11577
lan,	w1_d329e11583
rc.	w3_d329e11586
im	w5_d329e11589
Viscontis.	w7_d329e11592
H.	w9_d329e11595
am	w11_d329e11598
schönl.	w13_d329e11602
Brunn,	w15_d329e11605
71.	w17_d329e11608
J.	w19_d329e11611
Die	w1_d329e11616
Hoch=edel=geb.	w3_d329e11619
Fr.	w5_d329e11622
Josepha	w7_d329e11625
v.	w9_d329e11628
Garnier,	w11_d329e11631
Wittwe,	w13_d329e11635
im	w1_d329e11640
Goldhanis.	w3_d329e11643
H.	w5_d329e11646
auf	w7_d329e11649
der	w9_d329e11652
Fischer=stieg.,	w11_d329e11655
64.	w13_d329e11659
J.	w15_d329e11662
Franz	w1_d329e11667
Wagner,	w3_d329e11670
Burgerl.	w5_d329e11673
Bäck,	w7_d329e11676
beyn	w9_d329e11679
7.	w11_d329e11682
Schwert.	w13_d329e11686
bey	w1_d329e11692
Maria=stieg,	w3_d329e11695
alt	w5_d329e11698
41.	w7_d329e11701
J.	w9_d329e11704
Lorenz	w1_d329e11709
Koller,	w3_d329e11712
K	w5_d329e11715
Trab.,	w7_d329e11718
im	w9_d329e11721
kl.	w11_d329e11724
Mölker=hof	w13_d329e11728
beyn	w15_d329e11731
Schot.,	w1_d329e11736
alt	w3_d329e11739
59.	w5_d329e11742
J.	w7_d329e11745
</list>
<head id="h2_d329e11752">
Vor	w1_d329e11756
der	w3_d329e11759
Stadt.	w5_d329e11762
</head>
<list id="l4_d329e11765">
Dem	w1_d329e11769
Georg	w3_d329e11772
Döderl,	w5_d329e11775
Burgerl.	w7_d329e11778
Stuckador.,	w9_d329e11781
s.	w11_d329e11784
K.	w13_d329e11788
Georg,	w1_d329e11793
beym	w3_d329e11796
gold.	w5_d329e11799
Klee=blat	w7_d329e11802
am	w9_d329e11805
Neubau,	w11_d329e11808
7.	w13_d329e11812
J.	w15_d329e11815
Ant.	w1_d329e11820
Trifterer,	w3_d329e11823
Lust=gart.,	w5_d329e11826
in	w7_d329e11829
s.	w9_d329e11832
H.	w11_d329e11835
zu	w13_d329e11839
Erdb.	w15_d329e11842
52.	w17_d329e11845
J.	w19_d329e11848
Mich.	w1_d329e11854
Berger,	w3_d329e11857
gew.	w5_d329e11860
Kammer	w7_d329e11863
dien,	w9_d329e11866
beym	w11_d329e11869
Joh	w13_d329e11873
ober	w15_d329e11876
dem	w1_d329e11881
Neustift,	w3_d329e11884
alt	w5_d329e11887
77.	w7_d329e11890
J.	w9_d329e11893
Dem	w1_d329e11898
Thom=Donhofer,	w3_d329e11901
Brand=wein,	w5_d329e11904
s.	w7_d329e11907
W.	w9_d329e11910
Cäcil.	w11_d329e11913
bey	w1_d329e11918
der	w3_d329e11921
H.	w5_d329e11924
Dreyfaltigk.	w7_d329e11927
am	w9_d329e11930
Neubau,	w11_d329e11933
alt	w13_d329e11937
44.	w15_d329e11940
J.	w17_d329e11943
Barb.	w1_d329e11949
Bartin,	w3_d329e11952
Wittwe,	w5_d329e11955
bey	w7_d329e11958
der	w9_d329e11961
weis	w11_d329e11964
Ros	w13_d329e11968
an	w15_d329e11971
dem	w17_d329e11974
Neustift,	w1_d329e11979
alt	w3_d329e11982
85.	w5_d329e11985
J.	w7_d329e11988
Fried.	w1_d329e11993
Draxler,	w3_d329e11996
K.	w5_d329e11999
K.	w7_d329e12002
Kutsch.,	w9_d329e12005
beym	w11_d329e12008
rot.	w13_d329e12012
Rössel	w15_d329e12015
auf	w17_d329e12018
Der	w1_d329e12023
Wied.,	w3_d329e12026
alt	w5_d329e12029
66.	w7_d329e12032
J.	w9_d329e12035
Anna	w1_d329e12041
Karnerin,	w3_d329e12044
Wittwe	w5_d329e12047
beym	w7_d329e12050
H.	w9_d329e12053
Geist	w11_d329e12056
zu	w13_d329e12060
Nicol	w15_d329e12063
storf,	w1_d329e12068
alt	w3_d329e12071
85.	w5_d329e12074
J.	w7_d329e12077
</list>
<list id="l6_d329e12081">
Dem	w1_d329e12085
Joh.	w3_d329e12088
Streicher	w5_d329e12091
ar.	w7_d329e12094
M.,	w9_d329e12097
s.	w11_d329e12100
W.	w13_d329e12104
Rosina,	w15_d329e12107
beyn	w17_d329e12110
3.	w1_d329e12115
Lil.	w3_d329e12118
im	w5_d329e12121
Liechtenth,	w7_d329e12124
alt	w9_d329e12127
74.	w11_d329e12130
J.	w13_d329e12134
Barb.	w1_d329e12139
Haselmansbergerin,	w3_d329e12142
im	w5_d329e12145
Grund=spital	w7_d329e12148
oberm	w9_d329e12151
Neustift,	w1_d329e12157
alt	w3_d329e12160
56.	w5_d329e12163
J.	w7_d329e12166
</list>
<head id="h2_d329e12173">
Summa	w1_d329e12177
13.	w3_d329e12180
Person.	w5_d329e12183
/	w7_d329e12186
darunter	w9_d329e12189
1.	w11_d329e12192
Kind.	w13_d329e12196
Den	w1_d329e12201
7.	w3_d329e12204
Martii.	w5_d329e12207
Jn	w1_d329e12212
der	w3_d329e12215
Stadt.	w5_d329e12218
</head>
<list id="l4_d329e12221">
Dem	w1_d329e12225
Hrn.	w3_d329e12228
Lorenz	w5_d329e12231
Schuller,	w7_d329e12234
K.	w9_d329e12237
K.	w11_d329e12240
Nadelburgerfa	w13_d329e12244
brie	w1_d329e12249
Niederlags=fact,	w3_d329e12252
s.	w5_d329e12255
K.	w7_d329e12258
Theres.,	w9_d329e12261
im	w11_d329e12264
Schuste	w13_d329e12268
ris.	w1_d329e12273
H.	w3_d329e12276
im	w5_d329e12279
Juden=gäs,	w7_d329e12282
alt	w9_d329e12285
6.	w11_d329e12288
v.	w13_d329e12292
J.	w15_d329e12295
</list>
<head id="h2_d329e12303">
Vor	w1_d329e12307
der	w3_d329e12310
Stadt.	w5_d329e12313
</head>
<list id="l4_d329e12316">
Der	w1_d329e12320
Fr.	w3_d329e12323
Barb.	w5_d329e12326
Schweigerin,	w7_d329e12329
Wittwe,	w9_d329e12332
ihr	w11_d329e12335
S.	w13_d329e12339
Pet.,	w15_d329e12342
beym	w1_d329e12347
blech.	w3_d329e12350
Thurn	w5_d329e12353
in	w7_d329e12356
der	w9_d329e12359
Leopoldst.,	w11_d329e12362
alt	w13_d329e12366
18.	w15_d329e12369
J.	w17_d329e12372
Dem	w1_d329e12377
Jos.	w3_d329e12380
Dorfleitner,	w5_d329e12383
Burgerl.	w7_d329e12386
Zeug=mach.,	w9_d329e12389
s.	w11_d329e12392
K.	w13_d329e12396
Franz,	w1_d329e12402
beym	w3_d329e12405
Burgundis.	w5_d329e12408
Creutz	w7_d329e12411
am	w9_d329e12414
Neub.,	w11_d329e12417
9.	w13_d329e12421
J.	w15_d329e12424
Joh.	w1_d329e12429
Gschwedl,	w3_d329e12432
gew.	w5_d329e12435
Burgerl.	w7_d329e12438
Erbs=handl.,	w9_d329e12441
in	w11_d329e12444
dem	w13_d329e12448
Walarodis.	w1_d329e12453
H.	w3_d329e12456
in	w5_d329e12459
der	w7_d329e12462
Unger=gas.,	w9_d329e12465
alt	w11_d329e12468
48.	w13_d329e12472
J.	w15_d329e12475
Fried.	w1_d329e12480
Kott,	w3_d329e12483
Wirt,	w5_d329e12486
in	w7_d329e12489
s.	w9_d329e12492
H.	w11_d329e12495
ausser	w13_d329e12499
der	w15_d329e12502
Rossau,	w17_d329e12505
58.	w19_d329e12508
J.	w21_d329e12511
Cathar.	w1_d329e12517
Galleyin,	w3_d329e12520
Wittwe,	w5_d329e12523
im	w7_d329e12526
Piaristen=gottes=ack.	w9_d329e12529
alt	w1_d329e12534
79.	w3_d329e12537
Franz	w1_d329e12542
Löw,	w3_d329e12545
Messer=schm.=ges.,	w5_d329e12548
beym	w7_d329e12551
schön.	w9_d329e12554
Lädel	w11_d329e12557
am	w13_d329e12561
Neubau,	w1_d329e12566
alt	w3_d329e12569
35.	w5_d329e12572
J.	w7_d329e12575
Dem	w1_d329e12581
Joh.	w3_d329e12584
Wagner,	w5_d329e12587
Haus=meist.,	w7_d329e12590
s.	w9_d329e12593
W.	w11_d329e12596
Anna,	w13_d329e12600
beyn	w15_d329e12603
3.	w1_d329e12608
Schaal.	w3_d329e12611
auf	w5_d329e12614
der	w7_d329e12617
Wendelst,	w9_d329e12620
alt	w11_d329e12623
73.	w13_d329e12627
J.	w15_d329e12630
Anna	w1_d329e12635
Webstin,	w3_d329e12638
im	w5_d329e12641
Sonnen=hof,	w7_d329e12644
alt	w9_d329e12647
71.	w11_d329e12650
J.	w13_d329e12654
</list>
<head id="h2_d329e12661">
Summa	w1_d329e12665
9.	w3_d329e12668
Person.	w5_d329e12671
/	w7_d329e12674
darunter	w9_d329e12677
2.	w11_d329e12680
Kind.	w13_d329e12684
Den	w1_d329e12689
8.	w3_d329e12692
Mart.	w5_d329e12695
Jn	w1_d329e12700
der	w3_d329e12703
Stadt	w5_d329e12706
</head>
<list id="l4_d329e12709">
Dem	w1_d329e12713
Math.	w3_d329e12716
Lederer,	w5_d329e12719
Burgerl.	w7_d329e12722
Wirt.,	w9_d329e12725
s.	w11_d329e12728
K.	w13_d329e12732
Ant.	w15_d329e12735
bey	w17_d329e12738
dem	w1_d329e12743
gold.	w3_d329e12746
Straus.	w5_d329e12749
auf	w7_d329e12752
der	w9_d329e12755
Freyung,	w11_d329e12758
alt	w13_d329e12762
5.	w15_d329e12765
Dem	w1_d329e12770
Mich.	w3_d329e12773
Amon,	w5_d329e12776
Burgerl.	w7_d329e12779
Käs=stech.,	w9_d329e12782
s.	w11_d329e12785
K.	w13_d329e12789
Jos.,	w15_d329e12792
im	w1_d329e12798
Margarehten=hof,	w3_d329e12801
alt	w5_d329e12804
6.	w7_d329e12807
v.	w9_d329e12810
J.	w11_d329e12813
Daniel	w1_d329e12818
Kolb,	w3_d329e12821
Wechsel=seotist,	w5_d329e12824
im	w7_d329e12827
Widmanis.	w9_d329e12830
H.	w11_d329e12833
auf	w13_d329e12837
der	w1_d329e12842
Biber=bastey,	w3_d329e12845
alt	w5_d329e12848
56.	w7_d329e12851
J.	w9_d329e12854
</list>
<head id="h2_d329e12861">
Vor	w1_d329e12865
der	w3_d329e12868
Stadt.	w5_d329e12871
</head>
<list id="l4_d329e12874">
Dem	w1_d329e12878
Joh.	w3_d329e12881
Daminianisch,	w5_d329e12884
Burgerl.	w7_d329e12887
Nagel=schm.	w9_d329e12890
s.	w1_d329e12895
W.	w3_d329e12898
Justina,	w5_d329e12901
beym	w7_d329e12904
Schwarzwald.	w9_d329e12907
bey	w11_d329e12910
St.	w13_d329e12914
Ul	w15_d329e12917
rich,	w1_d329e12922
alt	w3_d329e12925
70.	w5_d329e12928
Steph.	w1_d329e12934
Oppenberger,	w3_d329e12937
Zimmer=meist.,	w5_d329e12940
in	w7_d329e12943
s.	w9_d329e12946
H.	w11_d329e12949
zu	w13_d329e12953
Gumpendorf,	w1_d329e12958
alt	w3_d329e12961
52.	w5_d329e12964
J.	w7_d329e12967
Dem	w1_d329e12972
Georg	w3_d329e12975
Kellner,	w5_d329e12978
Strumpf=würk.,	w7_d329e12981
s.	w9_d329e12984
W.	w11_d329e12987
Magd.	w13_d329e12991
bey	w1_d329e12996
der	w3_d329e12999
schön.	w5_d329e13002
Schäf.	w7_d329e13005
in	w9_d329e13008
der	w11_d329e13011
Josephst.,	w13_d329e13015
alt	w15_d329e13018
50.	w17_d329e13021
J.	w19_d329e13024
Apol.	w1_d329e13030
Wimmerin,	w3_d329e13033
ledig,	w5_d329e13036
beym	w7_d329e13039
gold.	w9_d329e13042
Hirschen	w11_d329e13045
am	w13_d329e13049
Neubau,	w1_d329e13054
alt	w3_d329e13057
34.	w5_d329e13060
J.	w7_d329e13063
Clara	w1_d329e13068
Kaiserin,	w3_d329e13071
Wittwe,	w5_d329e13074
bey	w7_d329e13077
der	w9_d329e13080
gold.	w11_d329e13083
Bretz.	w13_d329e13087
im	w15_d329e13090
Ler	w17_d329e13093
chenf.,	w1_d329e13098
alt	w3_d329e13101
70.	w5_d329e13104
Joach.	w1_d329e13110
Mayr,	w3_d329e13113
Lehen=kutsch.,	w5_d329e13116
beym	w7_d329e13119
schwarz.	w9_d329e13122
Bärn	w11_d329e13125
zu	w1_d329e13130
Margar.,	w3_d329e13133
alt	w5_d329e13136
39.	w7_d329e13139
J.	w9_d329e13142
Anna	w1_d329e13147
Giglin,	w3_d329e13150
led.	w5_d329e13153
M.,	w7_d329e13156
beym	w9_d329e13159
gold.	w11_d329e13162
Creutz	w13_d329e13166
bey	w15_d329e13169
Ma	w17_d329e13172
ria=hülf,	w1_d329e13177
alt	w3_d329e13180
12.	w5_d329e13183
J.	w7_d329e13186
Anna	w1_d329e13192
Purlichin,	w3_d329e13195
im	w5_d329e13198
Sonnen=hof,	w7_d329e13201
alt	w9_d329e13204
69.	w11_d329e13207
J.	w13_d329e13211
</list>
<head id="h2_d329e13218">
Summa	w1_d329e13222
11.	w3_d329e13225
Person.	w5_d329e13228
darunter	w7_d329e13231
2.	w9_d329e13234
Kind.	w11_d329e13237
</head>
<head id="h4_d329e13253">
EDICI	w1_d329e13257
</head>
<p id="p6_d329e13260">
Wir	w1_d329e13264
N.	w3_d329e13267
N.	w5_d329e13270
Superintendenten,	w7_d329e13273
und	w9_d329e13276
Spitl	w11_d329e13279
meister	w1_d329e13284
der	w3_d329e13287
Burger	w5_d329e13290
Spittal	w7_d329e13293
in	w9_d329e13296
Wien,	w11_d329e13299
geben	w13_d329e13303
hiemit	w1_d329e13308
der	w3_d329e13311
Mariä	w5_d329e13314
Barbarä	w7_d329e13317
Hörmannin,	w9_d329e13320
geborne	w11_d329e13323
Ulrichin,	w1_d329e13329
offentlich	w3_d329e13332
zu	w5_d329e13335
vernehmen,	w7_d329e13338
was	w9_d329e13341
massen	w11_d329e13344
Herr	w1_d329e13349
Joseph	w3_d329e13352
v.	w5_d329e13355
Wiber,	w7_d329e13358
des	w9_d329e13361
Löbl.	w11_d329e13364
Gelhaischen	w13_d329e13368
Cü	w15_d329e13371
raßier=regiments	w1_d329e13376
gewester	w3_d329e13379
Leutenant,	w5_d329e13382
und	w7_d329e13385
Audi	w9_d329e13388
tor,	w1_d329e13393
wegen	w3_d329e13396
seiner	w5_d329e13399
an	w7_d329e13402
derselben	w9_d329e13405
habender	w11_d329e13408
Forde	w13_d329e13412
rung	w1_d329e13418
auf	w3_d329e13421
jene	w5_d329e13424
200.	w7_d329e13427
fl.,	w9_d329e13430
welche	w11_d329e13433
auf	w13_d329e13437
ihrer	w15_d329e13440
Elteren	w17_d329e13443
an	w1_d329e13448
der	w3_d329e13451
Landstrassen	w5_d329e13454
gelegenen	w7_d329e13457
sogenanntDecken	w9_d329e13460
macherischen	w1_d329e13465
Behausung	w3_d329e13468
ihr	w5_d329e13471
Satz=weiß	w7_d329e13474
versiche	w9_d329e13477
ret,	w1_d329e13482
und	w3_d329e13485
ihme	w5_d329e13488
gänzlich	w7_d329e13491
cediret	w9_d329e13494
seynd,	w11_d329e13497
ordentlich	w13_d329e13501
vorgemerket	w1_d329e13507
zu	w3_d329e13510
werden,	w5_d329e13513
sub	w7_d329e13516
Dato	w9_d329e13519
7.	w11_d329e13522
Septemb.	w13_d329e13526
1758.	w1_d329e13531
bey	w3_d329e13534
uns	w5_d329e13537
um	w7_d329e13540
Ausfertigung	w9_d329e13543
des	w11_d329e13546
erforderli	w13_d329e13550
chen	w1_d329e13555
Compaß=schreiben	w3_d329e13558
an	w5_d329e13561
das	w7_d329e13564
Löbl.	w9_d329e13567
Himmel	w11_d329e13570
pforten=grund=buch	w1_d329e13575
gebetten,	w3_d329e13578
worauf	w5_d329e13581
dann	w7_d329e13584
eine	w9_d329e13587
peremptorische	w1_d329e13593
clausulirte	w3_d329e13596
Tagsatzung	w5_d329e13599
auf	w7_d329e13602
nächste	w9_d329e13605
Seßion	w1_d329e13610
angeordnet,	w3_d329e13613
und	w5_d329e13616
wegen	w7_d329e13619
dessen	w9_d329e13622
unbe	w11_d329e13625
kannten	w1_d329e13630
Aufenthalt	w3_d329e13633
auf	w5_d329e13636
den	w7_d329e13639
5.	w9_d329e13642
April	w11_d329e13645
dieses	w13_d329e13649
1759.	w15_d329e13652
Jahrs	w1_d329e13657
fruh	w3_d329e13660
um	w5_d329e13663
9.	w7_d329e13666
Uhr	w9_d329e13669
superperemptoriè	w11_d329e13672
cum	w13_d329e13676
dlausula	w1_d329e13682
contumaciæ	w3_d329e13685
dergestalten	w5_d329e13688
erstrecket	w7_d329e13691
wor	w9_d329e13694
cen,	w1_d329e13699
daß	w3_d329e13702
sie	w5_d329e13705
Barbara	w7_d329e13708
Hörmannin	w9_d329e13711
hiebey	w11_d329e13714
also	w13_d329e13718
gewiß	w1_d329e13723
erscheinen,	w3_d329e13726
widrigen	w5_d329e13729
falls	w7_d329e13732
sothanes	w9_d329e13735
Com	w11_d329e13738
paß=schreiben	w1_d329e13743
gewilliget	w3_d329e13746
werden	w5_d329e13749
solle.	w7_d329e13752
</p>
<p id="p8_d329e13755">
Auf	w1_d329e13759
den	w3_d329e13762
21.	w5_d329e13765
Martii	w7_d329e13768
dieses	w9_d329e13771
1759.	w11_d329e13774
Jahrs	w13_d329e13778
wird	w15_d329e13781
in	w1_d329e13786
der	w3_d329e13789
Landes=fürstlichen	w5_d329e13792
Gränz=stadt	w7_d329e13795
Hainburg	w9_d329e13798
weil.	w1_d329e13803
Johann	w3_d329e13806
Georg	w5_d329e13809
Holzer,	w7_d329e13812
gewest=burgerl.	w9_d329e13815
Fleischhacker=meisters	w1_d329e13821
Seel.	w3_d329e13824
daselbst	w5_d329e13827
in	w7_d329e13830
der	w9_d329e13833
Clo	w11_d329e13836
ster=gassen	w1_d329e13841
gelegene	w3_d329e13844
Burgerl.	w5_d329e13847
Behausung,	w7_d329e13850
samt	w9_d329e13853
dem	w1_d329e13858
Fleisch=hacker=profeßions=gewerb,	w3_d329e13861
wie	w5_d329e13864
auch	w7_d329e13867
Grund=stück,	w1_d329e13872
mobilien,	w3_d329e13875
und	w5_d329e13878
Effecten	w7_d329e13881
licitando	w9_d329e13884
dem	w1_d329e13890
Meist=bietenden	w3_d329e13893
käuflich	w5_d329e13896
hindann	w7_d329e13899
gelassen	w9_d329e13902
werden.	w1_d329e13907
Wer	w3_d329e13910
nun	w5_d329e13913
zu	w7_d329e13916
ein=so	w9_d329e13919
anderen	w11_d329e13922
ein	w13_d329e13926
Belie	w15_d329e13929
ben	w1_d329e13934
traget,	w3_d329e13937
der	w5_d329e13940
kan	w7_d329e13943
sich	w9_d329e13946
an	w11_d329e13949
obbestimmten	w13_d329e13953
Tag	w15_d329e13956
fruh	w1_d329e13961
um	w3_d329e13964
8.	w5_d329e13967
Uhr	w7_d329e13970
zu	w9_d329e13973
Hainburg	w11_d329e13976
auf	w13_d329e13980
dem	w15_d329e13983
Kaiserl.	w17_d329e13986
Königl.	w1_d329e13992
Raht=haus	w3_d329e13995
anmelden.	w5_d329e13998
</p>
<head id="h2_d329e14004">
EDICT	w1_d329e14008
</head>
<p id="p4_d329e14011">
Jch	w1_d329e14015
Johann	w3_d329e14018
Wilhelm	w5_d329e14021
des	w7_d329e14024
Heil.	w9_d329e14027
Röm.	w11_d329e14030
Reichs	w13_d329e14034
Fürst	w1_d329e14039
Trautson,	w3_d329e14042
Graf	w5_d329e14045
zu	w7_d329e14048
Falkenstein,	w9_d329e14051
Ritter	w11_d329e14054
des	w13_d329e14058
goldenen	w1_d329e14063
Vliesses,	w3_d329e14066
Jhro	w5_d329e14069
Kaiserl.	w7_d329e14072
Königl.	w9_d329e14075
Majest.	w11_d329e14078
Würkl.	w1_d329e14084
Geheimer	w3_d329e14087
Raht,	w5_d329e14090
Obrister	w7_d329e14093
Hof=meister,	w9_d329e14096
und	w1_d329e14101
Land=marschall	w3_d329e14104
in	w5_d329e14107
Oesterreich	w7_d329e14110
unter	w9_d329e14113
der	w11_d329e14116
Enß	w13_d329e14120
Entbiete	w1_d329e14125
N.	w3_d329e14128
allen,	w5_d329e14131
und	w7_d329e14134
jeden,	w9_d329e14137
was	w11_d329e14140
Standes,	w13_d329e14144
und	w1_d329e14149
Würde	w3_d329e14152
die	w5_d329e14155
seynd,	w7_d329e14158
der	w9_d329e14161
Gebühr	w11_d329e14164
nach	w13_d329e14168
meinen	w15_d329e14171
tespective	w1_d329e14177
Dienst	w3_d329e14180
in	w5_d329e14183
guten	w7_d329e14186
Willen	w9_d329e14189
zuvor,	w11_d329e14192
und	w13_d329e14196
füge	w1_d329e14201
hiemit	w3_d329e14204
zu	w5_d329e14207
vernehmen.	w7_d329e14210
</p>
<p id="p6_d329e14213">
Es	w1_d329e14217
habe	w3_d329e14220
bey	w5_d329e14223
dem	w7_d329e14226
mir	w9_d329e14229
allergnädigst	w11_d329e14232
anvertraut	w13_d329e14236
N.	w1_d329e14241
Oe	w3_d329e14244
Land=marschal.	w5_d329e14247
Gericht	w7_d329e14250
der	w9_d329e14253
Hoch=und	w11_d329e14256
