<doc id="edoc_wd_1772-06-24" attrs="word" year="1772" month="06" day="24" corpus="1">
<head id="hl1">
London	w28
von	w3573
dem	w3574
verewigten	w3575
Frey=herrn	w3576
<g/>
=
von	w3578
Swieten	w3579
mit	w3580
<g/>
.
Gerhard	w3582
Freyherr	w3583
von	w3584
Swieten	w3585
<g/>
:
Kommandeur	w3587
des	w3588
Ritteror=dens	w3589
<g/>
=
vom	w3591
heil	w3592
<g/>
.
Stephan	w3594
<g/>
;
Jhro	w3596
Röm	w3597
<g/>
.
Kais	w3599
<g/>
.
auch	w3601
K	w3602
<g/>
.
K	w3604
<g/>
.
Ap	w3606
<g/>
.
Maj	w3608
<g/>
.
Rath	w3610
<g/>
;
Erster	w3612
LeibLeibarzt	w3613
<g/>
=
</p>
<p id="p46">
arzt	w3615
<g/>
;
Vorsteher	w3617
der	w3618
Kais	w3619
<g/>
.
Hofbibliotheck	w3621
<g/>
;
beständiger	w3623
Präsident	w3624
der	w3625
medicinischen	w3626
Fa=kultät	w3627
<g/>
=
in	w3629
Wien	w3630
<g/>
;
Präses	w3632
der	w3633
Büchercensur	w3634
<g/>
;
Direktor	w3636
aller	w3637
medicinischen	w3638
Angelegenheiten	w3639
in	w3640
den	w3641
Oesterr	w3642
<g/>
.
Erblanden	w3644
<g/>
;
Membre	w3646
Etran=ger	w3647
<g/>
=
der	w3649
königl	w3650
<g/>
.
Akademie	w3652
der	w3653
Wissenschaften	w3654
zu	w3655
Paris	w3656
<g/>
;
der	w3658
Akademie	w3659
der	w3660
Wundärzte	w3661
zu	w3662
Paris	w3663
<g/>
,
der	w3665
Kaiserl	w3666
<g/>
.
Akademie	w3668
der	w3669
Wissen=schaften	w3670
<g/>
=
zu	w3672
Petersburg	w3673
<g/>
,
der	w3675
naturforschenden	w3676
Gesellschaft	w3677
<g/>
,
des	w3679
Jnstituts	w3680
zu	w3681
Bononien	w3682
<g/>
,
der	w3684
medicinischen	w3685
Gesellschaft	w3686
zu	w3687
Edimburg	w3688
<g/>
,
der	w3690
Societät	w3691
zu	w3692
Harlem	w3693
<g/>
,
der	w3695
botanischen	w3696
Gesellschaft	w3697
zu	w3698
Florenz	w3699
<g/>
,
der	w3701
deutschen	w3702
Ge=sellschaft	w3703
<g/>
=
zu	w3705
Jena	w3706
<g/>
,
der	w3708
Gesellschaft	w3709
zu	w3710
Ro=veredo	w3711
<g/>
=
u	w3713
<g/>
.
s	w3715
<g/>
.
w	w3717
<g/>
.
Mitglied	w3719
<g/>
;
wurde	w3721
zu	w3722
Leiden	w3723
gebohren	w3724
den	w3725
7	w3726
<g/>
.
May	w3728
1700	w3729
<g/>
.
Er	w3731
rühret	w3732
aus	w3733
einem	w3734
alten	w3735
<g/>
,
edlen	w3737
und	w3738
reichen	w3739
holländi=schen	w3740
<g/>
=
Geschlechte	w3742
her	w3743
<g/>
.
Adrian	w3745
von	w3746
Swieten	w3747
entriß	w3748
einen	w3749
Theil	w3750
der	w3751
vereinigten	w3752
Nieder=lande	w3753
<g/>
=
der	w3755
spanischen	w3756
Bothmäßigkeit	w3757
<g/>
,
und	w3759
theilte	w3760
sein	w3761
Geschlecht	w3762
in	w3763
zwo	w3764
Linien	w3765
<g/>
:
die	w3767
Römisch=katholische	w3768
<g/>
=
<g/>
,
welche	w3771
bey	w3772
den	w3773
zurückgebliebenen	w3774
Provinzen	w3775
verblieb	w3776
<g/>
,
und	w3778
die	w3779
Protestantische	w3780
<g/>
,
welche	w3782
den	w3783
Bundesgenossen	w3784
beyfiele	w3785
<g/>
.
Der	w3787
Freyherr	w3788
Gerhard	w3789
von	w3790
Swieten	w3791
war	w3792
von	w3793
der	w3794
ersten	w3795
<g/>
.
Lange	w3797
vor	w3798
ihm	w3799
blühete	w3800
sein	w3801
Ge=schlecht	w3802
<g/>
=
im	w3804
höchsten	w3805
Adel	w3806
<g/>
.
Seine	w3808
Vorältern	w3809
versahen	w3810
die	w3811
wichtigsten	w3812
Staats	w3813
<g/>
=
und	w3815
Hof=ämter	w3816
<g/>
=
<g/>
.
Sie	w3819
hinterließen	w3820
große	w3821
Güter	w3822
in	w3823
Nordholland	w3824
<g/>
.
</p>
<p id="p47">
Der	w3826
Verstorbene	w3827
war	w3828
<g/>
,
wie	w3830
man	w3831
weis	w3832
<g/>
,
ein	w3834
zwanzigjähriger	w3835
Schüler	w3836
des	w3837
unsterbli=chen	w3838
<g/>
=
Boerhave	w3840
<g/>
.
Jm	w3842
Jahre	w3843
1725	w3844
<g/>
.
nahm	w3846
er	w3847
die	w3848
Doctorwürde	w3849
zu	w3850
Leiden	w3851
<g/>
.
1740	w3853
<g/>
.
erhielt	w3855
er	w3856
den	w3857
ersten	w3858
Beruf	w3859
zum	w3860
Kaiserl	w3861
<g/>
.
Leibarzte	w3863
nach	w3864
Wien	w3865
<g/>
:
er	w3867
verbathe	w3868
selben	w3869
<g/>
.
1742	w3871
<g/>
.
gab	w3873
er	w3874
seine	w3875
berühmten	w3876
Commentarien	w3877
über	w3878
die	w3879
Lehrsätze	w3880
des	w3881
Boerhave	w3882
von	w3883
der	w3884
Erkännt=niß	w3885
<g/>
=
und	w3887
Heilung	w3888
der	w3889
Krankheiten	w3890
heraus	w3891
<g/>
.
1744	w3893
<g/>
.
saß	w3895
er	w3896
der	w3897
Versammlung	w3898
der	w3899
Aerzte	w3900
zu	w3901
Brüssel	w3902
<g/>
,
bey	w3904
der	w3905
tödlichen	w3906
Krankheit	w3907
der	w3908
Erzherzoginn	w3909
Maria	w3910
Anna	w3911
<g/>
,
vor	w3913
1745	w3914
<g/>
.
erhielt	w3916
er	w3917
den	w3918
zweyten	w3919
Beruf	w3920
zum	w3921
ersten	w3922
Kaiserl	w3923
<g/>
.
Leibarzte	w3925
<g/>
:
er	w3927
nahm	w3928
ihn	w3929
an	w3930
<g/>
.
1747	w3932
<g/>
.
unter=nahm	w3934
<g/>
=
er	w3936
das	w3937
große	w3938
Werk	w3939
der	w3940
Schulreini=gung	w3941
<g/>
=
und	w3943
der	w3944
Umschaffung	w3945
der	w3946
medicinischen	w3947
Fakultät	w3948
in	w3949
Wien	w3950
<g/>
.
1752	w3952
<g/>
.
entdeckte	w3954
er	w3955
seine	w3956
berühmte	w3957
Erfindung	w3958
von	w3959
dem	w3960
innerlichen	w3961
Gebrauche	w3962
des	w3963
Quecksilbers	w3964
<g/>
.
1772	w3966
<g/>
.
den	w3968
18	w3969
<g/>
.
Brachmonats	w3971
starb	w3972
er	w3973
in	w3974
Wien	w3975
<g/>
.
</p>
<p id="p48">
Der	w3977
Freyherr	w3978
von	w3979
Swieten	w3980
war	w3981
einer	w3982
der	w3983
größten	w3984
Naturkündiger	w3985
und	w3986
Aerzte	w3987
un=seres	w3988
<g/>
=
Jahrhunderts	w3990
<g/>
.
Er	w3992
besaß	w3993
ein	w3994
unermeß=liches	w3995
<g/>
=
Genie	w3997
<g/>
;
eine	w3999
tiefe	w4000
Belesenheit	w4001
<g/>
,
und	w4003
ei=nen	w4004
<g/>
=
Geist	w4006
<g/>
,
der	w4008
sich	w4009
über	w4010
alle	w4011
Theile	w4012
der	w4013
Ge=lehrsamkeit	w4014
<g/>
=
erstreckte	w4016
<g/>
,
und	w4018
alle	w4019
Linien	w4020
der	w4021
Wissenschaften	w4022
umfaßte	w4023
<g/>
.
Er	w4025
ists	w4026
<g/>
,
unter	w4028
des=sen	w4029
<g/>
=
bildenden	w4031
Hand	w4032
ein	w4033
Störck	w4034
<g/>
,
ein	w4036
Kranz	w4037
<g/>
,
die	w4039
Collins	w4040
<g/>
,
die	w4042
Querins	w4043
<g/>
,
die	w4045
Jacquins	w4046
<g/>
,
Marhere	w4048
und	w4049
Leber	w4050
entstunden	w4051
<g/>
.
Jhm	w4053
<g/>
,
oder	w4055
wenigstens	w4056
der	w4057
unter	w4058
seinem	w4059
Vorsitze	w4060
sich	w4061
auf=geklärten	w4062
<g/>
=
Philosophie	w4064
haben	w4065
wir	w4066
die	w4067
Khells	w4068
<g/>
,
Dalhalm	w4070
<g/>
,
Macko	w4072
<g/>
,
Fulgens	w4074
und	w4075
so	w4076
viele	w4077
an=dere	w4078
<g/>
=
Genies	w4080
zu	w4081
danken	w4082
<g/>
.
Seine	w4084
Werke	w4085
sind	w4086
beynahe	w4087
in	w4088
alle	w4089
lebendige	w4090
Sprachen	w4091
übersetzt	w4092
<g/>
;
und	w4094
sein	w4095
Bild	w4096
ist	w4097
in	w4098
dem	w4099
Hörsale	w4100
der	w4101
Aerzte	w4102
bey	w4103
der	w4104
Universität	w4105
zu	w4106
Wien	w4107
in	w4108
Marmor	w4109
ver=ewigt	w4110
<g/>
=
<g/>
.
</p>
<head id="hl7">
Bey	w4113
höchstpreislichen	w4114
kais	w4115
<g/>
.
Reichshof=rathe	w4117
<g/>
=
ist	w4119
vorgekommen	w4120
<g/>
:
</head>
<head id="hl8">
Freytags	w4122
<g/>
,
den	w4124
5	w4125
<g/>
.
Brachm	w4127
<g/>
.
</head>
<list id="li2">
1	w4129
<g/>
)
zu	w4131
Kölln	w4132
Backamt	w4133
contra	w4134
Ankenbrand	w4135
<g/>
,
appellationis	w4137
<g/>
.
2	w4139
<g/>
)
die	w4141
gräflich	w4142
Solms	w4143
Rödelheimische	w4144
Ge=meinden	w4145
<g/>
=
Fauerbach	w4147
und	w4148
Ofenheim	w4149
contra	w4150
den	w4151
Grafen	w4152
zu	w4153
Solms	w4154
Rödelheim	w4155
<g/>
,
Mandati	w4157
<g/>
,
puncto	w4159
diversorum	w4160
gravaminum	w4161
<g/>
.
3	w4163
<g/>
)
Salm	w4165
Reiferscheid	w4166
contra	w4167
Salm	w4168
Reifer=scheid	w4169
<g/>
=
sententiæsententiae	w4171
nunc	w4172
rescripti	w4173
die	w4174
vorenthaltene	w4175
Appanagegelder	w4176
betreffend	w4177
<g/>
.
4	w4179
<g/>
)
ltem	w4181
puncto	w4182
Vidualitii	w4183
<g/>
.
5	w4185
<g/>
)
v	w4187
<g/>
.
Pleitenberg	w4189
Wirtem	w4190
Graf	w4191
Franz	w4192
Joseph	w4193
<g/>
,
puncto	w4195
Cessionis	w4196
honorum	w4197
<g/>
.
6	w4199
<g/>
)
v	w4201
<g/>
.
Mandelslohe	w4203
Wittib	w4204
<g/>
,
puncto	w4206
Moratorii	w4207
<g/>
.
7	w4209
<g/>
)
zu	w4211
Solms	w4212
Rödelheim	w4213
Graf	w4214
contra	w4215
die	w4216
in	w4217
dem	w4218
Fürstl	w4219
<g/>
.
Solms	w4221
Braunfelsischen	w4222
Debitwesen	w4223
ernannte	w4224
kaiserl	w4225
<g/>
.
Subdelegations	w4227
<g/>
-
CommissiouCommission	w4229
<g/>
,
appellationis	w4231
<g/>
,
puncto	w4233
einer	w4234
ruckständigen	w4235
Com-missions	w4236
<g/>
-
<g/>
-
Forderung	w4239
<g/>
.
8	w4241
<g/>
)
v	w4243
<g/>
.
Gullmann	w4245
Wittib	w4246
contra	w4247
Schultheiß	w4248
und	w4249
Zwölfer	w4250
zu	w4251
Walldorf	w4252
pcto	w4253
deserv	w4254
<g/>
.
<g/>
&
Expens	w4257
<g/>
.
9	w4259
<g/>
)
Eadem	w4261
cont	w4262
<g/>
.
die	w4264
248er	w4265
zu	w4266
Dortmund	w4267
<g/>
&
Consortes	w4269
<g/>
,
puncto	w4271
Deserviti	w4272
<g/>
&
Expensarum	w4274
<g/>
.
10	w4276
<g/>
)
Eadem	w4278
contra	w4279
die	w4280
Löev	w4281
Sinzheimische	w4282
Relikten	w4283
<g/>
,
puncto	w4285
Deserviti	w4286
<g/>
&
Expensarum	w4288
<g/>
.
11	w4290
<g/>
)
v	w4292
<g/>
.
Wangenheim	w4294
contra	w4295
Brandenburg	w4296
Onolz	w4297
<g/>
=
und	w4299
Kulmbach	w4300
<g/>
,
puncto	w4302
protractæprotractae	w4303
<g/>
&
de-negatædenegatae	w4305
<g/>
-
IustitiæIustitiae	w4307
<g/>
.
12	w4309
<g/>
)
Gollin	w4311
contra	w4312
Goll	w4313
<g/>
,
appellationis	w4315
<g/>
.
13	w4317
<g/>
)
Provino	w4319
contra	w4320
Perinct	w4321
und	w4322
den	w4323
Magi=strat	w4324
<g/>
=
zu	w4326
<g/>
,
puncto	w4328
querellæquerellae	w4329
nullitatis	w4330
ad	w4331
appellationis	w4332
<g/>
&
denegatædenegatae	w4334
revisionis	w4335
<g/>
,
nunc	w4337
resarcitionis	w4338
damnorum	w4339
<g/>
&
ExpensarnmExpensarum	w4341
<g/>
.
14	w4343
<g/>
)
Item	w4345
in	w4346
specie	w4347
die	w4348
novissime	w4349
vertagte	w4350
2te	w4351
Fristenzahlung	w4352
betreffend	w4353
<g/>
.
</list>
<list id="li3">
15	w4355
<g/>
)
Grienewaldt	w4357
Johann	w4358
Baptist	w4359
Sperr	w4360
und	w4361
Verlassenschaft	w4362
betreffend	w4363
<g/>
.
</list>
<head id="hl9">
Montags	w4365
<g/>
,
den	w4367
15	w4368
<g/>
.
Brachm	w4370
<g/>
.
</head>
<list id="li4">
1	w4372
<g/>
)
v	w4374
<g/>
.
Droste	w4376
zu	w4377
Erwitte	w4378
Engelbert	w4379
Freyh	w4380
<g/>
.
in	w4382
puncto	w4383
Moratorii	w4384
<g/>
.
2	w4386
<g/>
)
zu	w4388
Augspurg	w4389
gräflich	w4390
Fuggerische	w4391
Stiftungs	w4392
administration	w4393
contra	w4394
den	w4395
Gräfen	w4396
Joseph	w4397
Fug=ger	w4398
<g/>
=
zu	w4400
Kirchberg	w4401
und	w4402
Weisenhorn	w4403
<g/>
,
rescripti	w4405
<g/>
,
puncto	w4407
debiti	w4408
<g/>
.
3	w4410
<g/>
)
v	w4412
<g/>
.
Schönstadt	w4414
contra	w4415
die	w4416
Wiegandische	w4417
Erben	w4418
<g/>
,
mandati	w4420
<g/>
.
4	w4422
<g/>
)
v	w4424
<g/>
.
Späth	w4426
zu	w4427
Sulzburg	w4428
Freyherr	w4429
Johann	w4430
Nepomuck	w4431
<g/>
,
puncto	w4433
VeniæVeniae	w4434
ætatisaetatis	w4435
<g/>
.
5	w4437
<g/>
)
Reichsritterschaft	w4439
in	w4440
Schwaben	w4441
Orts	w4442
am	w4443
Kocher	w4444
contra	w4445
Oettingen	w4446
<g/>
=
Baldern	w4448
<g/>
,
pcto	w4450
Juris	w4451
collectandi	w4452
<g/>
.
6	w4454
<g/>
)
Spirlet	w4456
Abbas	w4457
S	w4458
<g/>
.
Huberti	w4460
ejusdemque	w4461
Monasterium	w4462
contra	w4463
N	w4464
<g/>
.
Villegia	w4466
<g/>
&
Consortes	w4468
appellationis	w4469
<g/>
.
</list>
<head id="hl10">
Wechselcours	w4471
der	w4472
öffentlichen	w4473
Börse	w4474
<g/>
.
</head>
<head id="hl11">
Wien	w4476
<g/>
,
den	w4478
20	w4479
<g/>
.
Juny	w4481
1772	w4482
<g/>
.
</head>
<head id="hl12">
Verzeichniß	w4560
der	w4561
Verstorbenen	w4562
zu	w4563
Wien	w4564
in	w4565
<g/>
,
und	w4567
vor	w4568
der	w4569
Stadt	w4570
<g/>
.
</head>
<head id="hl13">
Den	w4572
18	w4573
<g/>
.
Brachm	w4575
<g/>
.
Jn	w4577
der	w4578
Stadt	w4579
<g/>
.
</head>
<list id="li5">
Jgf	w4581
<g/>
.
Marg	w4583
<g/>
.
Delfin	w4585
<g/>
,
Tänzerin	w4587
im	w4588
franz	w4589
<g/>
.
Theat	w4591
<g/>
.
im	w4593
Pepermannisch	w4594
<g/>
.
H	w4596
<g/>
.
am	w4598
Kohlm	w4599
<g/>
.
alt	w4601
15	w4602
<g/>
.
J	w4604
<g/>
.
Thom	w4606
<g/>
.
Koppenhager	w4608
<g/>
,
Schreib	w4610
<g/>
.
von	w4612
klein	w4613
Mölkerh	w4614
<g/>
.
in	w4616
der	w4617
Deinfaltstr	w4618
<g/>
.
alt	w4620
69	w4621
J	w4622
<g/>
.
Dem	w4624
Pet	w4625
<g/>
.
Reßler	w4627
<g/>
,
Port	w4629
<g/>
.
s	w4631
<g/>
.
K	w4633
<g/>
.
Sophia	w4635
<g/>
,
im	w4637
Wa=ckerbart	w4638
<g/>
=
<g/>
.
H	w4641
<g/>
.
in	w4643
der	w4644
Klugerstr	w4645
<g/>
.
alt	w4647
6	w4648
<g/>
.
v	w4650
<g/>
.
J	w4652
<g/>
.
</list>
<head id="hl14">
Vor	w4654
der	w4655
Stadt	w4656
<g/>
.
</head>
<list id="li6">
Der	w4658
wohledle	w4659
Hr	w4660
<g/>
.
Christ	w4662
<g/>
.
Gruber	w4664
<g/>
,
k	w4666
<g/>
.
k	w4668
<g/>
.
Forstmeist	w4670
<g/>
.
im	w4672
Bratter	w4673
<g/>
,
alda	w4675
alt	w4676
70	w4677
<g/>
.
J	w4679
<g/>
.
Mart	w4681
<g/>
.
Schnabel	w4683
<g/>
,
Tafeldeck	w4685
<g/>
.
im	w4687
fürstl	w4688
<g/>
.
Schwar=zenberg	w4690
<g/>
=
<g/>
.
Gart	w4693
<g/>
.
auf	w4695
der	w4696
Wied	w4697
<g/>
.
alt	w4699
48	w4700
<g/>
.
J	w4702
<g/>
.
Dem	w4704
Joh	w4705
<g/>
.
Zobel	w4707
<g/>
,
Lag	w4709
<g/>
.
s	w4711
<g/>
.
W	w4713
<g/>
.
Ther	w4715
<g/>
.
zur	w4717
gold	w4718
<g/>
.
Säule	w4720
in	w4721
der	w4722
Josephst	w4723
<g/>
.
alt	w4725
63	w4726
J	w4727
<g/>
.
Francisca	w4729
Rennerin	w4730
<g/>
,
led	w4732
<g/>
.
M	w4734
<g/>
.
im	w4736
k	w4737
<g/>
.
k	w4739
<g/>
.
Holzstadel	w4741
auf	w4742
der	w4743
Penzingerstr	w4744
<g/>
.
alt	w4746
26	w4747
<g/>
.
J	w4749
<g/>
.
Franz	w4751
Wallner	w4752
<g/>
,
Viehmayr	w4754
<g/>
,
in	w4756
s	w4757
<g/>
.
H	w4759
<g/>
.
Nro	w4761
<g/>
.
17	w4763
<g/>
.
zu	w4765
Nicklst	w4766
<g/>
.
alt	w4768
48	w4769
<g/>
.
J	w4771
<g/>
.
Elis	w4773
<g/>
.
Brandin	w4775
<g/>
,
Stadtguardeschust	w4777
<g/>
.
Wit	w4779
<g/>
.
zur	w4781
blauen	w4782
Kugel	w4783
am	w4784
Oberneust	w4785
<g/>
.
alt	w4787
75	w4788
<g/>
.
J	w4790
<g/>
.
Ther	w4792
<g/>
.
Klingerin	w4794
<g/>
,
led	w4796
<g/>
.
M	w4798
<g/>
.
alt	w4800
16	w4801
<g/>
.
J	w4803
<g/>
.
Veit	w4805
Lagauer	w4806
<g/>
,
reis	w4808
<g/>
.
Schifkn	w4810
<g/>
.
alt	w4812
30	w4813
<g/>
.
J	w4815
<g/>
.
beede	w4817
im	w4818
k	w4819
<g/>
.
k	w4821
<g/>
.
Krankenh	w4823
<g/>
.
in	w4825
der	w4826
Währingerg	w4827
<g/>
.
</list>
<list id="li7">
Magd	w4829
<g/>
.
Meinhardtin	w4831
<g/>
,
vac	w4833
<g/>
.
Dienstm	w4835
<g/>
.
alt	w4837
20	w4838
<g/>
.
J	w4840
<g/>
.
im	w4842
H	w4843
<g/>
.
Dreyf	w4845
<g/>
.
Spit	w4847
<g/>
.
Math	w4849
<g/>
.
Pichler	w4851
<g/>
,
Zimmergs	w4853
<g/>
.
alt	w4855
29	w4856
<g/>
.
J	w4858
<g/>
.
Wenzel	w4860
Kupfinger	w4861
<g/>
,
Tagl	w4863
<g/>
.
alt	w4865
46	w4866
<g/>
.
J	w4868
<g/>
.
beebe	w4870
im	w4871
Bäckh	w4872
<g/>
.
Jos	w4874
<g/>
.
Leithner	w4876
<g/>
,
Tagl	w4878
<g/>
.
alt	w4880
36	w4881
<g/>
.
J	w4883
<g/>
.
im	w4885
Mil	w4886
<g/>
.
Zimm	w4888
<g/>
.
am	w4890
Bäckenh	w4891
<g/>
.
Joh	w4893
<g/>
.
Wunder	w4895
<g/>
,
alt	w4897
59	w4898
<g/>
.
J	w4900
<g/>
.
Eleon	w4902
<g/>
.
Schultzin	w4904
<g/>
,
led	w4906
<g/>
.
M	w4908
alt	w4909
37	w4910
<g/>
.
J	w4912
<g/>
.
beede	w4914
im	w4915
Cont	w4916
<g/>
.
Ther	w4918
<g/>
.
Schmalzlin	w4920
<g/>
,
led	w4922
M	w4923
<g/>
.
alt	w4925
17	w4926
<g/>
.
J	w4928
<g/>
.
Jak	w4930
<g/>
.
Pfeil	w4932
<g/>
,
reis	w4934
<g/>
.
Drechsl	w4936
<g/>
.
alt	w4938
45	w4939
<g/>
.
J	w4941
<g/>
.
Anna	w4943
M	w4944
<g/>
.
Rauchbrunnerin	w4946
<g/>
,
ein	w4948
Mägdl	w4949
<g/>
,
alt	w4951
9	w4952
<g/>
.
J	w4954
<g/>
.
Ant	w4956
<g/>
.
Hofman	w4958
<g/>
,
Maurer	w4960
<g/>
,
alt	w4962
22	w4963
J	w4964
<g/>
.
alle	w4966
4	w4967
<g/>
.
im	w4969
Kran=kenhaus	w4970
<g/>
=
am	w4972
Alsterb	w4973
<g/>
.
</list>
<p id="p49">
Summa	w4975
21	w4976
<g/>
.
Person	w4978
<g/>
.
darunter	w4980
1	w4981
<g/>
.
Kind	w4983
</p>
<head id="hl15">
Den	w4984
19	w4985
<g/>
.
Brachm	w4987
<g/>
.
Jn	w4989
der	w4990
Stadt	w4991
</head>
<list id="li8">
Dem	w4992
wohledlen	w4993
Hrn	w4994
<g/>
.
Loffert	w4996
<g/>
,
herrschaftl	w4998
<g/>
.
Agent	w5000
<g/>
.
s	w5002
<g/>
.
Jgf	w5004
<g/>
.
T	w5006
<g/>
.
M	w5008
<g/>
.
Anna	w5010
<g/>
,
b	w5012
<g/>
.
gold	w5014
<g/>
.
Becher	w5016
am	w5017
Stock	w5018
am	w5019
Eisenpl	w5020
<g/>
.
alt	w5022
21	w5023
<g/>
.
J	w5025
<g/>
.
Dem	w5027
wohledlen	w5028
Hrn	w5029
<g/>
.
Jak	w5031
<g/>
.
Jagatisch	w5033
<g/>
,
des	w5035
außern	w5036
Raths	w5037
und	w5038
burgl	w5039
<g/>
.
Handelsm	w5041
<g/>
.
s	w5043
<g/>
.
T	w5045
<g/>
.
Regina	w5047
<g/>
,
im	w5049
Graf	w5050
Bergisch	w5051
<g/>
.
H	w5053
<g/>
.
am	w5055
am	w5056
hoh	w5057
<g/>
.
Markt	w5059
<g/>
,
alt	w5061
1	w5062
<g/>
.
J	w5064
<g/>
.
Joh	w5066
<g/>
.
Einsiedl	w5068
<g/>
,
Reitkn	w5070
<g/>
.
im	w5072
Groß	w5073
<g/>
=
Kaunitzisch	w5075
<g/>
.
H	w5077
<g/>
.
auf	w5079
der	w5080
Freyung	w5081
<g/>
,
alt	w5083
25	w5084
J	w5085
<g/>
.
</list>
<head id="hl16">
Vor	w5087
der	w5088
Stadt	w5089
<g/>
.
</head>
<list id="li9">
Der	w5091
Ther	w5092
<g/>
.
Gaullin	w5094
<g/>
,
burgl	w5096
<g/>
.
Rothgärb	w5098
<g/>
.
Wit	w5100
<g/>
.
ihr	w5102
T	w5103
<g/>
.
Barb	w5105
<g/>
.
in	w5107
ihr	w5108
<g/>
.
H	w5110
<g/>
.
an	w5112
der	w5113
Wien	w5114
<g/>
,
alt	w5116
17	w5117
<g/>
.
J	w5119
<g/>
.
Lor	w5121
<g/>
.
Meyer	w5123
<g/>
,
Schulmeist	w5125
<g/>
.
b	w5127
<g/>
.
gold	w5129
<g/>
.
A	w5131
<g/>
.
B	w5133
<g/>
.
C	w5135
<g/>
.
im	w5137
Lichtenth	w5138
<g/>
.
alt	w5140
24	w5141
<g/>
.
J	w5143
<g/>
.
Dem	w5145
Franz	w5146
Lerch	w5147
<g/>
,
Tagl	w5149
<g/>
.
s	w5151
<g/>
.
W	w5153
<g/>
.
Ther	w5155
im	w5156
Schlosser	w5157
<g/>
.
H	w5159
<g/>
.
in	w5161
der	w5162
Leopst	w5163
<g/>
.
alt	w5165
64	w5166
<g/>
.
J	w5168
<g/>
.
Dem	w5170
Andre	w5171
Ettner	w5172
<g/>
,
Porcellainmahl	w5174
<g/>
.
s	w5176
<g/>
.
K	w5178
<g/>
.
M	w5180
<g/>
.
Anna	w5182
<g/>
,
im	w5184
Waisenh	w5185
<g/>
.
in	w5187
der	w5188
Roßau	w5189
<g/>
,
alt	w5191
5	w5192
<g/>
.
Dem	w5194
Jos	w5195
<g/>
.
Heim	w5197
<g/>
,
Laufer	w5199
<g/>
,
s	w5201
<g/>
.
K	w5203
<g/>
.
Josepha	w5205
<g/>
,
im	w5207
Kro=nisterisch	w5208
<g/>
=
<g/>
.
H	w5211
<g/>
.
in	w5213
der	w5214
Leopst	w5215
<g/>
.
alt	w5217
2	w5218
<g/>
.
J	w5220
<g/>
.
Eva	w5222
Mayrhoferin	w5223
<g/>
,
Sesseltrag	w5225
<g/>
.
Wit	w5227
<g/>
.
b	w5229
<g/>
.
kl	w5231
<g/>
.
Jordan	w5233
am	w5234
Thury	w5235
<g/>
,
alt	w5237
17	w5238
<g/>
.
J	w5240
<g/>
.
Der	w5242
ehrw	w5243
<g/>
.
Fr	w5245
<g/>
.
Joh	w5247
<g/>
.
Ferabosca	w5249
<g/>
,
Barmh	w5251
<g/>
.
Brüder=ord	w5253
<g/>
=
<g/>
.
in	w5256
ihr	w5257
<g/>
.
Klost	w5259
<g/>
.
in	w5261
der	w5262
Leopst	w5263
<g/>
.
alt	w5265
25	w5266
<g/>
.
J	w5268
<g/>
.
Hr	w5270
<g/>
.
Wilh	w5272
v	w5273
Reichenbach	w5274
<g/>
,
Feldwäb	w5276
<g/>
.
alt	w5278
45	w5279
<g/>
.
J	w5281
<g/>
.
im	w5283
Mil	w5284
<g/>
.
Jnvalidh	w5286
<g/>
.
M	w5288
<g/>
.
Anna	w5290
Herterin	w5291
<g/>
,
led	w5293
<g/>
.
M	w5295
<g/>
.
alt	w5297
29	w5298
<g/>
.
J	w5300
<g/>
.
Adam	w5302
Hugl	w5303
<g/>
,
reis	w5305
<g/>
.
Tagl	w5307
<g/>
.
alt	w5309
62	w5310
<g/>
.
J	w5312
<g/>
.
beede	w5314
im	w5315
Cont	w5316
<g/>
.
Wenzel	w5318
Wesserle	w5319
<g/>
,
Schmid	w5321
<g/>
,
alt	w5323
J	w5324
<g/>
.
Ther	w5326
Reißerin	w5327
<g/>
,
Wit	w5329
<g/>
.
alt	w5331
62	w5332
<g/>
.
J	w5334
<g/>
.
Anna	w5336
Mayrin	w5337
<g/>
,
reis	w5339
<g/>
.
led	w5341
<g/>
.
M	w5343
<g/>
.
alt	w5345
24	w5346
<g/>
.
Jos	w5348
<g/>
.
Honesch	w5350
<g/>
,
reis	w5352
<g/>
.
Schneid	w5354
<g/>
.
alt	w5356
16	w5357
<g/>
.
J	w5359
<g/>
.
Magd	w5361
<g/>
.
Millnerin	w5363
<g/>
,
led	w5365
<g/>
.
M	w5367
<g/>
.
alt	w5369
20	w5370
<g/>
.
J	w5372
<g/>
.
alle	w5374
5	w5375
<g/>
.
im	w5377
Bäckenh	w5378
<g/>
.
Jos	w5380
<g/>
.
Paroska	w5382
<g/>
,
Weber	w5384
<g/>
,
alt	w5386
22	w5387
<g/>
.
J	w5389
<g/>
.
Math	w5391
<g/>
.
Dietrich	w5393
<g/>
,
Sametmachgs	w5395
<g/>
.
alt	w5397
25	w5398
<g/>
.
J	w5400
<g/>
.
Andre	w5402
Ulram	w5403
<g/>
,
Tagl	w5405
<g/>
.
alt	w5407
45	w5408
<g/>
.
J	w5410
<g/>
.
alle	w5412
3	w5413
<g/>
.
im	w5415
Militär=Zimm	w5416
<g/>
=
<g/>
.
am	w5419
Bäckh	w5420
<g/>
.
Jak	w5422
<g/>
.
Debitak	w5424
