<doc id="wr_1761-03-21" attrs="word" year="1761" month="03" day="21" corpus="2">
<head id="h2_d537e2811">
Madtid	w1_d537e2815
Der	w3_d537e10068
Herr	w5_d537e10071
Marschall	w7_d537e10074
war	w9_d537e10077
willens,	w11_d537e10080
den	w13_d537e10084
25.	w1_d537e10089
zu	w3_d537e10092
Birstein	w5_d537e10095
Rast=tag	w7_d537e10098
zu	w9_d537e10101
halten,	w11_d537e10104
um	w13_d537e10108
die	w15_d537e10111
Trupen	w1_d537e10117
ausruhen	w3_d537e10120
zu	w5_d537e10123
lassen.	w7_d537e10126
</p>
<head id="h2_d537e10132">
Wien	w1_d537e10136
den	w3_d537e10139
21.	w5_d537e10142
Martii	w7_d537e10145
1761.	w9_d537e10148
</head>
<p id="p4_d537e10151">
Vergangenen	w1_d537e10155
Mittwoch	w3_d537e10158
ware	w5_d537e10161
in	w7_d537e10164
Beywoh	w9_d537e10167
nung	w1_d537e10172
allerhöchster	w3_d537e10175
Herrschaften	w5_d537e10178
der	w7_d537e10181
GOttes=dienst	w1_d537e10186
in	w3_d537e10189
der	w5_d537e10192
Cammer=kapellen,	w7_d537e10195
dann	w9_d537e10198
Abends	w1_d537e10204
6.	w3_d537e10207
Uhr	w5_d537e10210
haben	w7_d537e10213
beede	w9_d537e10216
Kaiserl.	w11_d537e10219
Maje	w13_d537e10223
stäten	w1_d537e10228
mit	w3_d537e10231
Jhren	w5_d537e10234
Königl.	w7_d537e10237
Hoheiten,	w9_d537e10240
denen	w11_d537e10243
Durchl.	w1_d537e10248
älteren	w3_d537e10251
Herrschaften	w5_d537e10254
der	w7_d537e10257
ersten	w9_d537e10260
Pum	w11_d537e10263
per=metten	w1_d537e10268
in	w3_d537e10271
der	w5_d537e10274
Hof=kapelle	w7_d537e10277
beygewohnet.	w9_d537e10280
</p>
<p id="p6_d537e10283">
Vorgestern,	w1_d537e10287
als	w3_d537e10290
am	w5_d537e10293
grünen	w7_d537e10296
Donnerstag	w9_d537e10299
fruh	w1_d537e10304
um	w3_d537e10307
8.	w5_d537e10310
Uhr	w7_d537e10313
haben	w9_d537e10316
beyde	w11_d537e10319
Kaiserl.	w13_d537e10323
Ma	w15_d537e10326
jestäten	w1_d537e10331
mit	w3_d537e10334
Jhren	w5_d537e10337
Königl.	w7_d537e10340
Hoheiten	w9_d537e10343
denen	w11_d537e10346
älteren	w1_d537e10352
Durchleuchtigsten	w3_d537e10355
Herrschaften	w5_d537e10358
über	w7_d537e10361
den	w1_d537e10366
neuen	w3_d537e10369
Gang	w5_d537e10372
zu	w7_d537e10375
denen	w9_d537e10378
WW.	w11_d537e10381
EE.	w13_d537e10385
PP.	w15_d537e10388
Augustinern	w1_d537e10393
sich	w3_d537e10396
erhoben,	w5_d537e10399
und	w7_d537e10402
allda	w9_d537e10405
der	w11_d537e10408
ge	w13_d537e10412
haltenen	w1_d537e10417
stillen	w3_d537e10420
Heil=Meß	w5_d537e10423
(worunter	w7_d537e10426
Aller	w9_d537e10429
höchst=dieselbe,	w1_d537e10435
dann	w3_d537e10438
die	w5_d537e10441
Hof=dames,	w7_d537e10444
Her	w9_d537e10447
ren	w1_d537e10452
geheime	w3_d537e10455
Rähte,	w5_d537e10458
und	w7_d537e10461
Cammerer	w9_d537e10464
rc.	w11_d537e10467
die	w13_d537e10471
heilige	w1_d537e10476
Communion	w3_d537e10479
empfangen)	w5_d537e10482
hierauf	w7_d537e10485
der	w9_d537e10488
Predig,	w1_d537e10493
und	w3_d537e10496
dem	w5_d537e10499
gewöhnlichen	w7_d537e10502
GOttes=dienst	w9_d537e10505
beygewohnet;	w1_d537e10511
sodann	w3_d537e10514
ist	w5_d537e10517
von	w7_d537e10520
Sr.	w9_d537e10523
Maje	w11_d537e10526
stät	w1_d537e10531
dem	w3_d537e10534
Kaiser,	w5_d537e10537
die	w7_d537e10540
gewöhnliche	w9_d537e10543
Fußwa	w11_d537e10546
schung	w1_d537e10551
an	w3_d537e10554
12.	w5_d537e10557
armen	w7_d537e10560
Männern,	w9_d537e10563
von	w11_d537e10566
Jhrer	w13_d537e10570
Majestät	w1_d537e10575
der	w3_d537e10578
Kaiserin	w5_d537e10581
aber	w7_d537e10584
an	w9_d537e10587
12.	w11_d537e10590
detto	w13_d537e10594
Weibern	w1_d537e10600
bey	w3_d537e10603
Hof	w5_d537e10606
vorgenommen	w7_d537e10609
worden,	w9_d537e10612
und	w1_d537e10617
haben	w3_d537e10620
die	w5_d537e10623
Jahre	w7_d537e10626
des	w9_d537e10629
Alters	w11_d537e10632
deren	w13_d537e10636
Män	w15_d537e10639
nern	w1_d537e10644
998.	w3_d537e10647
deren	w5_d537e10650
Weibern	w7_d537e10653
aber	w9_d537e10656
1017.	w11_d537e10659
zu	w13_d537e10663
sammen	w1_d537e10668
ausgetragen.	w3_d537e10671
</p>
<p id="p8_d537e10674">
Gestern	w1_d537e10678
als	w3_d537e10681
an	w5_d537e10684
dem	w7_d537e10687
Heil.	w9_d537e10690
Char=freytag	w11_d537e10693
haben	w1_d537e10698
beede	w3_d537e10701
Kaiserl.	w5_d537e10704
Majestäten	w7_d537e10707
mit	w9_d537e10710
obbe	w11_d537e10713
sagten	w1_d537e10718
Königl.	w3_d537e10721
Hoheiten	w5_d537e10724
der	w7_d537e10727
Paßionspre	w9_d537e10730
dig	w1_d537e10736
und	w3_d537e10739
übrigen	w5_d537e10742
feyerlichen	w7_d537e10745
GOttes=dienst	w9_d537e10748
bey	w1_d537e10753
denen	w3_d537e10756
WW.	w5_d537e10759
EE.	w7_d537e10762
PP.	w9_d537e10765
Augustinern,	w11_d537e10768
wie	w1_d537e10773
auch	w3_d537e10776
Abends	w5_d537e10779
der	w7_d537e10782
letzten	w9_d537e10785
Pumpermet	w11_d537e10788
</p>
<p id="p14_d537e10802">
ten	w1_d537e10806
in	w3_d537e10809
der	w5_d537e10812
Hof=kapellen,	w7_d537e10815
jedesmal	w9_d537e10818
in	w11_d537e10821
Bey	w13_d537e10825
wohnung	w1_d537e10830
des	w3_d537e10833
Päpstlichen	w5_d537e10836
Monsig.	w7_d537e10839
Nuntii	w9_d537e10842
auch	w1_d537e10847
sammentlich	w3_d537e10850
hiesigen	w5_d537e10853
Adels	w7_d537e10856
abgewartet.	w9_d537e10859
</p>
<p id="p16_d537e10862">
Heute	w1_d537e10866
fruh	w3_d537e10869
um	w5_d537e10872
6.	w7_d537e10875
Uhr	w9_d537e10878
seynd	w11_d537e10881
Seine	w13_d537e10885
Ex	w15_d537e10888
cellenz	w1_d537e10893
der	w3_d537e10896
en	w5_d537e10899
Chef	w7_d537e10902
commandirende	w9_d537e10905
Herr	w11_d537e10908
Feld=marschall	w1_d537e10913
Graf	w3_d537e10916
von	w5_d537e10919
Daun	w7_d537e10922
zu	w9_d537e10925
der	w11_d537e10928
K.	w1_d537e10934
K.	w3_d537e10937
Armee	w5_d537e10940
in	w7_d537e10943
Sachsen	w9_d537e10946
abgegangen.	w11_d537e10949
</p>
<head id="h2_d537e10956">
Lista	w1_d537e10960
deren	w3_d537e10963
Verstorbenen	w5_d537e10966
zu	w7_d537e10969
Wien	w9_d537e10972
in	w1_d537e10977
und	w3_d537e10980
vor	w5_d537e10983
der	w7_d537e10986
Stadt.	w9_d537e10989
Den	w1_d537e10994
16.	w3_d537e10997
Martii.	w5_d537e11000
Jn	w1_d537e11006
der	w3_d537e11009
Stadt.	w5_d537e11012
</head>
<list id="l4_d537e11015">
Dem	w1_d537e11019
Ant.	w3_d537e11022
Münichshofer,	w5_d537e11025
Lack,	w7_d537e11028
s.	w9_d537e11031
K.	w11_d537e11034
Math.,	w13_d537e11038
beym	w15_d537e11041
Felber=baum	w1_d537e11046
untern	w3_d537e11049
Tuch=laub.,	w5_d537e11052
alt	w7_d537e11055
3.	w9_d537e11058
J.	w11_d537e11061
</list>
<head id="h2_d537e11068">
Vor	w1_d537e11072
der	w3_d537e11075
Stadt.	w5_d537e11078
</head>
<list id="l4_d537e11081">
Franz	w1_d537e11085
Krauß,	w3_d537e11088
Dräxl.,	w5_d537e11091
im	w7_d537e11094
Ruelandis.	w9_d537e11097
H.	w11_d537e11100
auf	w13_d537e11104
der	w15_d537e11107
Landstr.,	w1_d537e11112
alt	w3_d537e11115
59.	w5_d537e11118
J.	w7_d537e11121
Dem	w1_d537e11126
Ant.	w3_d537e11129
Partilla,	w5_d537e11132
Haus=inhab.,	w7_d537e11135
s.	w9_d537e11138
K.	w11_d537e11141
Joh.,	w13_d537e11145
in	w15_d537e11148
s.	w17_d537e11151
H	w1_d537e11157
im	w3_d537e11160
Liechtenth,	w5_d537e11163
alt	w7_d537e11166
6.	w9_d537e11169
J.	w11_d537e11172
Veron.	w1_d537e11177
Hanlin,	w3_d537e11180
Wittwe,	w5_d537e11183
beym	w7_d537e11186
gold.	w9_d537e11189
Brunn	w11_d537e11192
oberm	w13_d537e11196
Neustift,	w1_d537e11201
alt	w3_d537e11204
76.	w5_d537e11207
J.	w7_d537e11210
Barb.	w1_d537e11215
Oberreitmayrin,	w3_d537e11218
Wittwe,	w5_d537e11221
beym	w7_d537e11224
gold.	w9_d537e11227
Straus.	w11_d537e11230
in	w1_d537e11236
der	w3_d537e11239
Leopoldst.,	w5_d537e11242
alt	w7_d537e11245
77.	w9_d537e11248
J.	w11_d537e11251
</list>
<head id="h2_d537e11258">
Summa	w1_d537e11262
5.	w3_d537e11265
Pers.,	w5_d537e11268
darunter	w7_d537e11271
2.	w9_d537e11274
Kind.	w11_d537e11277
Den	w1_d537e11282
17.	w3_d537e11285
Martii.	w5_d537e11288
Jn	w1_d537e11293
der	w3_d537e11296
Stadt.	w5_d537e11299
</head>
<list id="l4_d537e11302">
Agnes	w1_d537e11306
Deiterin,	w3_d537e11309
Burgerl.	w5_d537e11312
Wittwe,	w7_d537e11315
beym	w9_d537e11318
schwarz.	w11_d537e11321
Bärn	w1_d537e11326
am	w3_d537e11329
Lug=eck,	w5_d537e11332
alt	w7_d537e11335
90.	w9_d537e11338
J.	w11_d537e11341
Dem	w1_d537e11346
Wilh.	w3_d537e11349
Funk,	w5_d537e11352
Solicit,	w7_d537e11355
s.	w9_d537e11358
K.	w11_d537e11361
Jsidor,	w13_d537e11365
im	w15_d537e11368
Mau	w17_d537e11371
rermeisteris.	w1_d537e11377
H.	w3_d537e11380
am	w5_d537e11383
alt.	w7_d537e11386
Fleischm.,	w9_d537e11389
alt	w11_d537e11392
5.	w13_d537e11396
v.	w15_d537e11399
J.	w17_d537e11402
Dem	w1_d537e11407
Franz	w3_d537e11410
Matoni,	w5_d537e11413
gem.	w7_d537e11416
Stadt	w9_d537e11419
Todten=besch.	w11_d537e11422
/ad	w13_d537e11426
junct.	w1_d537e11431
s.	w3_d537e11434
K.	w5_d537e11437
Magdal.,	w7_d537e11440
im	w9_d537e11443
Teumis.	w11_d537e11446
H.	w13_d537e11450
am	w15_d537e11453
neuen	w17_d537e11456
Thor,	w1_d537e11461
alt	w3_d537e11464
2.	w5_d537e11467
J.	w7_d537e11470
</list>
<head id="h2_d537e11477">
Vor	w1_d537e11481
der	w3_d537e11484
Stadt.	w5_d537e11487
</head>
<list id="l4_d537e11490">
Dem	w1_d537e11494
Casp.	w3_d537e11497
Gemel,	w5_d537e11500
Burgerl.	w7_d537e11503
Schuh=mach.,	w9_d537e11506
s.	w11_d537e11509
W.	w13_d537e11513
Theres.,	w1_d537e11518
im	w3_d537e11521
Jacob	w5_d537e11524
Schneideris.	w7_d537e11527
H.	w9_d537e11530
in	w11_d537e11533
der	w13_d537e11537
Leop.,	w15_d537e11540
alt	w1_d537e11545
64.	w3_d537e11548
J.	w5_d537e11551
Georg	w1_d537e11557
Eck,	w3_d537e11560
Burgerl.	w5_d537e11563
Bier=leut=geb,	w7_d537e11566
beym	w9_d537e11569
gold.	w11_d537e11572
Fäs.	w13_d537e11576
auf	w1_d537e11581
der	w3_d537e11584
Wied,	w5_d537e11587
alt	w7_d537e11590
42.	w9_d537e11593
J.	w11_d537e11596
Andre	w1_d537e11601
Bachleutner,	w3_d537e11604
Tischl.,	w5_d537e11607
beym	w7_d537e11610
schön.	w9_d537e11613
Ländl	w11_d537e11616
am	w13_d537e11620
Neubau,	w1_d537e11625
alt	w3_d537e11628
67.	w5_d537e11631
J.	w7_d537e11634
Barb.	w1_d537e11640
Reiseckin,	w3_d537e11643
Wittwe,	w5_d537e11646
beym	w7_d537e11649
Jordan,	w9_d537e11652
ober	w11_d537e11655
dem	w13_d537e11659
Neustift,	w1_d537e11664
alt	w3_d537e11667
67.	w5_d537e11670
J.	w7_d537e11673
Dem	w1_d537e11678
Fried.	w3_d537e11681
Schulz,	w5_d537e11684
Kutsch.,	w7_d537e11687
s.	w9_d537e11690
W.	w11_d537e11693
Elisab.,	w13_d537e11697
beym	w15_d537e11700
schwarz.	w1_d537e11705
Mohr.	w3_d537e11708
in	w5_d537e11711
der	w7_d537e11714
Leopoldst,	w9_d537e11717
alt	w11_d537e11720
51.	w13_d537e11724
J.	w15_d537e11727
Dem	w1_d537e11733
Andre	w3_d537e11736
Schaden,	w5_d537e11739
Taglöhn.,	w7_d537e11742
s.	w9_d537e11745
K.	w11_d537e11748
Sim.,	w13_d537e11752
beyn	w15_d537e11755
3.	w1_d537e11760
Has.	w3_d537e11763
zu	w5_d537e11766
Gumpend.,	w7_d537e11769
alt	w9_d537e11772
6	w11_d537e11775
J.	w13_d537e11779
Dem	w1_d537e11784
Leop.	w3_d537e11787
Gangel,	w5_d537e11790
Tagiöhn.,	w7_d537e11793
s.	w9_d537e11796
K.	w11_d537e11799
Eva,	w13_d537e11803
beym	w15_d537e11806
gold.	w1_d537e11811
Steg	w3_d537e11814
im	w5_d537e11817
Liechtenth,	w7_d537e11820
alt	w9_d537e11823
8.	w11_d537e11826
J.	w13_d537e11830
</list>
<head id="h2_d537e11837">
Summa	w1_d537e11841
10.	w3_d537e11844
Pers.,	w5_d537e11847
darunter	w7_d537e11850
4.	w9_d537e11853
Kind.	w11_d537e11856
</head>
<head id="h2_d537e11862">
Den	w1_d537e11866
18.	w3_d537e11869
Martü.	w5_d537e11872
Jn	w1_d537e11877
der	w3_d537e11880
Stadt.	w5_d537e11883
</head>
<list id="l4_d537e11886">
Dem	w1_d537e11890
Hoch	w3_d537e11893
und	w5_d537e11896
Wol=geb.	w7_d537e11899
Hrn.	w9_d537e11902
Hrn.	w11_d537e11905
Franz	w13_d537e11909
Xav.	w15_d537e11912
Graf	w1_d537e11917
v.	w3_d537e11920
Majans,	w5_d537e11923
Jhrer	w7_d537e11926
R.	w9_d537e11929
K.	w11_d537e11932
K.	w13_d537e11936
M.	w15_d537e11939
General	w17_d537e11942
feld=wachtmeist.,	w1_d537e11947
s.	w3_d537e11950
Frle	w5_d537e11953
T.	w7_d537e11956
Maria	w9_d537e11959
Josepha	w11_d537e11962
Cath.	w13_d537e11966
im	w1_d537e11972
Ludwigstorfis.	w3_d537e11975
H.	w5_d537e11978
in	w7_d537e11981
der	w9_d537e11984
Wildwerkerstr.	w11_d537e11987
20.	w13_d537e11991
J.	w15_d537e11994
Dem	w1_d537e11999
Hoch=edel=geb.	w3_d537e12002
Hrn.	w5_d537e12005
Franz	w7_d537e12008
Bernh.	w9_d537e12011
Edlen	w11_d537e12014
von	w13_d537e12018
Keeß,	w1_d537e12023
Jhrer	w3_d537e12026
R.	w5_d537e12029
K.	w7_d537e12032
K.	w9_d537e12035
M.	w11_d537e12038
Secret.	w13_d537e12042
bey	w15_d537e12045
denen	w17_d537e12048
N.	w19_d537e12051
Oe.	w1_d537e12056
Land	w3_d537e12059
rechten,	w5_d537e12062
s.	w7_d537e12065
Hr.	w9_d537e12068
S.	w11_d537e12071
Bernh.,	w13_d537e12075
im	w15_d537e12078
Stegne	w17_d537e12081
ris.	w1_d537e12087
H.	w3_d537e12090
beyn	w5_d537e12093
Franciscan.,	w7_d537e12096
alt	w9_d537e12099
3.	w11_d537e12102
J.	w13_d537e12106
</list>
<head id="h2_d537e12114">
Vor	w1_d537e12118
der	w3_d537e12121
Stadt.	w5_d537e12124
</head>
<list id="l4_d537e12127">
Joh.	w1_d537e12131
Küster,	w3_d537e12134
Burgerl.	w5_d537e12137
Gold=arbeit.,	w7_d537e12140
im	w9_d537e12143
Rauch	w11_d537e12146
fangkehreris.	w1_d537e12151
H.	w3_d537e12154
in	w5_d537e12157
der	w7_d537e12160
Josephst.,	w9_d537e12163
alt	w11_d537e12166
60.	w13_d537e12170
J.	w15_d537e12173
Polixena	w1_d537e12178
Ottensieinerin,	w3_d537e12181
Wittwe,	w5_d537e12184
beym	w7_d537e12187
gold.	w9_d537e12190
Ochs.	w11_d537e12193
bey	w1_d537e12199
Maria=hülf,	w3_d537e12202
alt	w5_d537e12205
87.	w7_d537e12208
J.	w9_d537e12211
Carl	w1_d537e12216
Böck,	w3_d537e12219
Ziegel=deck.	w5_d537e12222
ges.,	w7_d537e12225
welcher	w9_d537e12228
sich	w11_d537e12231
in	w13_d537e12235
der	w15_d537e12238
Pfarr	w1_d537e12243
in	w3_d537e12246
der	w5_d537e12249
Leopoldst.	w7_d537e12252
erfallen,	w9_d537e12255
alda	w11_d537e12258
vom	w13_d537e12262
K.	w15_d537e12265
K.	w17_d537e12268
Stadt=gericht	w1_d537e12273
beschauet	w3_d537e12276
worden,	w5_d537e12279
alt	w7_d537e12282
23.	w9_d537e12285
J.	w11_d537e12288
Dem	w1_d537e12294
Lor.	w3_d537e12297
Schmid,	w5_d537e12300
Bier=leut	w7_d537e12303
geb.,	w9_d537e12306
s.	w11_d537e12309
W.	w13_d537e12313
Anna,	w15_d537e12316
bey	w17_d537e12319
dem	w1_d537e12324
grün.	w3_d537e12327
Rös.	w5_d537e12330
am	w7_d537e12333
Spitalberg,	w9_d537e12336
alt	w11_d537e12339
26.	w13_d537e12343
J.	w15_d537e12346
Dem	w1_d537e12351
Mich.	w3_d537e12354
Schrefelbauer,	w5_d537e12357
Huner=kram.,	w7_d537e12360
s.	w9_d537e12363
W.	w11_d537e12366
Barb.,	w1_d537e12371
im	w3_d537e12374
Tischleris.	w5_d537e12377
H.	w7_d537e12380
zu	w9_d537e12383
Erdberg,	w11_d537e12386
alt	w13_d537e12390
42.	w15_d537e12393
J.	w17_d537e12396
</list>
<head id="h2_d537e12403">
Summa	w1_d537e12407
7.	w3_d537e12410
Pers.,	w5_d537e12413
darunter	w7_d537e12416
1.	w9_d537e12419
Kind.	w11_d537e12422
</head>
<p id="p4_d537e12425">
Von	w1_d537e12429
N.	w3_d537e12432
Burgermeister,	w5_d537e12435
Richter,	w7_d537e12438
und	w9_d537e12441
Raht	w11_d537e12444
zur	w13_d537e12448
Wienerisch	w1_d537e12453
Neustadt	w3_d537e12456
wird	w5_d537e12459
hiermit	w7_d537e12462
nochmalen	w9_d537e12465
je	w11_d537e12468
dermänniglich	w1_d537e12473
kund	w3_d537e12476
und	w5_d537e12479
zu	w7_d537e12482
wissen	w9_d537e12485
gemacht:	w11_d537e12488
was	w13_d537e12492
massen	w1_d537e12498
den	w3_d537e12501
30.	w5_d537e12504
dieses	w7_d537e12507
lauffenden	w9_d537e12510
Monats	w11_d537e12513
Martii	w13_d537e12517
die	w1_d537e12522
über	w3_d537e12525
Ableiben	w5_d537e12528
Weil.	w7_d537e12531
Herrn	w9_d537e12534
Franz	w11_d537e12537
Anton	w13_d537e12541
Prai	w15_d537e12544
tenaicher	w1_d537e12549
gewest=des	w3_d537e12552
inneren	w5_d537e12555
Rahts,	w7_d537e12558
und	w9_d537e12561
Bur	w11_d537e12564
gerlichen	w1_d537e12569
Eisen=handlers	w3_d537e12572
allda	w5_d537e12575
ruckgelassen,	w7_d537e12578
in	w9_d537e12581
Trinitatis	w1_d537e12587
Viertel	w3_d537e12590
auf	w5_d537e12593
dem	w7_d537e12596
Platz	w9_d537e12599
an	w11_d537e12602
dem	w13_d537e12606
Korn	w15_d537e12609
markt	w1_d537e12614
in	w3_d537e12617
besagter	w5_d537e12620
Neustadt	w7_d537e12623
ligende	w9_d537e12626
Behausung,	w11_d537e12629
samt	w1_d537e12634
Eisen=handlungs=gerechtigkeit	w3_d537e12637
und	w5_d537e12640
Waaren	w7_d537e12643
Vormittags	w1_d537e12648
um	w3_d537e12651
9.	w5_d537e12654
Uhr	w7_d537e12657
auf	w9_d537e12660
alldasiger	w11_d537e12663
Stadt=canzley	w13_d537e12667
dem	w1_d537e12673
Meist=bietenden	w3_d537e12676
licitando	w5_d537e12679
zu	w7_d537e12682
verkauffen	w9_d537e12685
feil	w11_d537e12688
seye;	w1_d537e12693
wer	w3_d537e12696
also	w5_d537e12699
hierzu	w7_d537e12702
ein	w9_d537e12705
Belieben	w11_d537e12708
heget,	w13_d537e12712
kan	w15_d537e12715
sich	w17_d537e12718
in	w1_d537e12723
gedachter	w3_d537e12726
Wienerischen	w5_d537e12729
Neustadt	w7_d537e12732
auf	w9_d537e12735
dem	w11_d537e12738
Raht	w13_d537e12742
haus	w1_d537e12747
in	w3_d537e12750
der	w5_d537e12753
Stadt=canzley	w7_d537e12756
allda	w9_d537e12759
am	w11_d537e12762
obbestimmten	w13_d537e12766
Tag	w1_d537e12772
und	w3_d537e12775
Stund	w5_d537e12778
einfinden.	w7_d537e12781
</p>
<p id="p6_d537e12784">
Auf	w1_d537e12788
den	w3_d537e12791
4.	w5_d537e12794
nächst	w7_d537e12797
künftigen	w9_d537e12800
Monats	w11_d537e12803
Aprilis	w13_d537e12807
werden	w1_d537e12812
auf	w3_d537e12815
dem	w5_d537e12818
Graben	w7_d537e12821
im	w9_d537e12824
Wöberischen	w11_d537e12827
Haus	w13_d537e12831
habenden	w1_d537e12836
Keller	w3_d537e12839
fruh	w5_d537e12842
um	w7_d537e12845
9.	w9_d537e12848
Uhr	w11_d537e12851
verschiedene	w13_d537e12855
alte	w15_d537e12858
Oesterreicher=weine	w1_d537e12864
plus	w3_d537e12867
offerenti	w5_d537e12870
verkauffet	w7_d537e12873
wer	w9_d537e12876
den;	w1_d537e12881
wem	w3_d537e12884
solche	w5_d537e12887
beliebig	w7_d537e12890
zu	w9_d537e12893
kauffen,	w11_d537e12896
kan	w13_d537e12900
sich	w15_d537e12903
am	w1_d537e12908
bestimmten	w3_d537e12911
Tag	w5_d537e12914
und	w7_d537e12917
Stund	w9_d537e12920
alda	w11_d537e12923
einfinden.	w13_d537e12927
</p>
<p id="p8_d537e12930">
Wir	w1_d537e12934
Endes	w3_d537e12937
gefertigte	w5_d537e12940
von	w7_d537e12943
einem	w9_d537e12946
Löbl.	w11_d537e12949
Land	w13_d537e12953
marschallischen	w1_d537e12958
Gericht	w3_d537e12961
verordnete	w5_d537e12964
Commissarien	w7_d537e12967
fügen	w1_d537e12972
N.	w3_d537e12975
allen	w5_d537e12978
und	w7_d537e12981
jeden,	w9_d537e12984
so	w11_d537e12987
an	w13_d537e12991
weil.	w15_d537e12994
Herrn	w17_d537e12997
Max	w19_d537e13000
Schwarz,	w1_d537e13006
N.	w3_d537e13009
Oe.	w5_d537e13012
Landschaftsbuchhaltereyoffician	w7_d537e13015
tens	w1_d537e13020
seeligen	w3_d537e13023
Verlassenschafts=sprüch,	w5_d537e13026
und	w7_d537e13029
Anfor	w9_d537e13032
derungen	w1_d537e13037
haben,	w3_d537e13040
oder	w5_d537e13043
zu	w7_d537e13046
haben	w9_d537e13049
vermeinen,	w11_d537e13052
hie	w13_d537e13056
mit	w1_d537e13061
zu	w3_d537e13064
wissen:	w5_d537e13067
Welcher	w7_d537e13070
gestalten	w9_d537e13073
wir	w11_d537e13076
auf	w13_d537e13080
Anlan	w15_d537e13083
gen	w1_d537e13089
des	w3_d537e13092
Max	w5_d537e13095
Schwarzischen	w7_d537e13098
Curatoris,	w9_d537e13101
Herrn	w11_d537e13104
Do	w13_d537e13108
</p>
<p id="p14_d537e13122">
ctoris	w1_d537e13126
Haggenmüllers,	w3_d537e13129
und	w5_d537e13132
hierüber	w7_d537e13135
an	w9_d537e13138
uns	w11_d537e13141
er	w13_d537e13145
gangene	w1_d537e13150
gerichtliche	w3_d537e13153
Auflag	w5_d537e13156
eine	w7_d537e13159
peremptorie	w9_d537e13162
clau	w11_d537e13165
sulirte	w1_d537e13170
Convocations=tag=satzung	w3_d537e13173
auf	w5_d537e13176
den	w7_d537e13179
6.	w9_d537e13182
April	w11_d537e13185
des	w1_d537e13191
Jahrs	w3_d537e13194
Nachmittag	w5_d537e13197
un	w7_d537e13200
2.	w9_d537e13203
Uhr	w11_d537e13206
in	w13_d537e13210
mein	w15_d537e13213
Land	w17_d537e13216
schreibers	w1_d537e13221
in	w3_d537e13224
der	w5_d537e13227
Wallzeil	w7_d537e13230
im	w9_d537e13233
Hartenbergischen	w11_d537e13236
Haus	w1_d537e13241
in	w3_d537e13244
2ten	w5_d537e13247
Stock	w7_d537e13250
habenden	w9_d537e13253
Wohnung	w11_d537e13256
zu	w13_d537e13260
erschei	w15_d537e13263
nen	w1_d537e13268
pro	w3_d537e13271
1mo,	w5_d537e13274
2do,	w7_d537e13277
3tio,	w9_d537e13280
ac	w11_d537e13283
ultimo	w13_d537e13287
termino	w15_d537e13290
be	w17_d537e13293
stimmet	w1_d537e13299
haben.	w3_d537e13302
Solchemnach	w5_d537e13305
werden	w7_d537e13308
all	w9_d537e13311
und	w11_d537e13314
je	w13_d537e13318
de	w1_d537e13323
Jntereßirte,	w3_d537e13326
so	w5_d537e13329
an	w7_d537e13332
obgedacht=Schwarzische	w9_d537e13335
Verlassenschaft	w1_d537e13340
Sprüch	w3_d537e13343
und	w5_d537e13346
Anforderungen	w7_d537e13349
haben,	w9_d537e13352
oder	w1_d537e13357
zu	w3_d537e13360
haben	w5_d537e13363
vermeinen,	w7_d537e13366
am	w9_d537e13369
obgedachten	w11_d537e13372
Tag,	w13_d537e13376
Stund	w1_d537e13382
und	w3_d537e13385
Ort	w5_d537e13388
also	w7_d537e13391
gewiß	w9_d537e13394
persönlich,	w11_d537e13397
oder	w13_d537e13401
durch	w15_d537e13404
genugsam	w1_d537e13409
Gevollmächtigte	w3_d537e13412
erscheinen,	w5_d537e13415
ihre	w7_d537e13418
Sprüch	w9_d537e13421
anmelden,	w1_d537e13426
und	w3_d537e13429
zugleich	w5_d537e13432
behörig	w7_d537e13435
liquidiren,	w9_d537e13438
als	w11_d537e13441
im	w1_d537e13446
widrigen	w3_d537e13449
die	w5_d537e13452
Anwesende	w7_d537e13455
vernommen,	w9_d537e13458
die	w11_d537e13461
Ab	w13_d537e13465
handlung	w1_d537e13471
vorgenommen,	w3_d537e13474
hierüber	w5_d537e13477
relationiret,	w7_d537e13480
denen	w1_d537e13485
Ausbleibenden	w3_d537e13488
aber	w5_d537e13491
das	w7_d537e13494
ewige	w9_d537e13497
Stillschwei	w11_d537e13500
gen	w1_d537e13505
auferleget	w3_d537e13508
werden	w5_d537e13511
solle.	w7_d537e13514
Actum	w9_d537e13517
Wien	w11_d537e13520
den	w13_d537e13524
12.	w1_d537e13529
Januarii	w3_d537e13532
1761.	w5_d537e13535
Gabriel	w1_d537e13541
Jos.	w3_d537e13544
Stettner.	w5_d537e13547
Franz	w7_d537e13550
Bernh.	w9_d537e13553
Edl.	w11_d537e13556
v.	w13_d537e13560
Keeß,	w15_d537e13563
</p>
<p id="p16_d537e13566">
L.	w1_d537e13570
M.	w3_d537e13573
Gerichts=secretarius.	w5_d537e13576
</p>
<p id="p18_d537e13579">
Von	w1_d537e13583
der	w3_d537e13586
N.	w5_d537e13589
Oe.	w7_d537e13592
Regierung	w9_d537e13595
wegen	w11_d537e13598
wird	w13_d537e13602
mit	w15_d537e13605
gegenwärtigem	w1_d537e13610
offenen	w3_d537e13613
Edict	w5_d537e13616
jedermänniglich	w7_d537e13619
so	w9_d537e13622
wol	w1_d537e13627
