<doc id="wr_1760-05-10" attrs="word" year="1760" month="05" day="10" corpus="2">
<head id="h2_d448e2992">
Konitz	w1_d448e2996
Oster=messe	w9_d448e10310
sich	w11_d448e10313
wegen	w13_d448e10317
derer	w1_d448e10323
ihr	w3_d448e10326
auf	w5_d448e10329
die	w7_d448e10332
Weltkündige	w9_d448e10335
grausame	w11_d448e10338
Art	w1_d448e10343
abgeforderten	w3_d448e10346
unwiederbringlichen	w5_d448e10349
Sum	w7_d448e10352
men	w1_d448e10357
in	w3_d448e10360
etwas	w5_d448e10363
wieder	w7_d448e10366
zu	w9_d448e10369
entschädigen,	w11_d448e10372
zu	w13_d448e10376
mal,	w1_d448e10381
da	w3_d448e10384
man	w5_d448e10387
Preußischer	w7_d448e10390
Seits	w9_d448e10393
keinen	w11_d448e10396
An	w13_d448e10400
stand	w1_d448e10406
gefunden,	w3_d448e10409
die	w5_d448e10412
gewöhnliche	w7_d448e10415
Meß=frey	w9_d448e10418
heit	w1_d448e10423
durch	w3_d448e10426
die	w5_d448e10429
öffentlichen	w7_d448e10432
Zeitungen	w9_d448e10435
ohne	w11_d448e10438
Einschränkung	w1_d448e10443
zu	w3_d448e10446
verkündigen.	w5_d448e10449
Aber	w7_d448e10452
die	w9_d448e10455
von	w1_d448e10460
daher	w3_d448e10463
einlauffenden	w5_d448e10466
Hiobs=posten	w7_d448e10469
sagen	w9_d448e10472
uns	w1_d448e10478
leider	w3_d448e10481
das	w5_d448e10484
Gegentheil.	w7_d448e10487
Dann	w9_d448e10490
es	w11_d448e10493
ist	w13_d448e10497
nicht	w1_d448e10502
nur	w3_d448e10505
denen	w5_d448e10508
dasigen	w7_d448e10511
Kauf=leuten	w9_d448e10514
bey	w11_d448e10517
10000.	w1_d448e10522
Rthlr.	w3_d448e10525
Straf	w5_d448e10528
verbotten	w7_d448e10531
worden,	w9_d448e10534
nach	w1_d448e10539
denen	w3_d448e10542
Orten	w5_d448e10545
und	w7_d448e10548
Gegenden,	w9_d448e10551
wo	w11_d448e10554
Oe	w13_d448e10558
sterreichische	w1_d448e10564
Trupen	w3_d448e10567
stehen,	w5_d448e10570
Waaren	w7_d448e10573
zu	w9_d448e10576
spediren,	w1_d448e10581
sondern	w3_d448e10584
es	w5_d448e10587
sollen	w7_d448e10590
auch	w9_d448e10593
denen	w11_d448e10596
Fuhr	w13_d448e10600
leuten	w1_d448e10605
sowol	w3_d448e10608
die	w5_d448e10611
Fracht	w7_d448e10614
als	w9_d448e10617
Pferde	w11_d448e10620
wegge	w13_d448e10624
nommen,	w1_d448e10629
und	w3_d448e10632
dieselben	w5_d448e10635
noch	w7_d448e10638
über	w9_d448e10641
dieses	w11_d448e10644
mit	w1_d448e10650
einer	w3_d448e10653
willkührigen	w5_d448e10656
Leibes=straffe	w7_d448e10659
beleget	w9_d448e10662
werden.	w1_d448e10667
Daß	w3_d448e10670
man	w5_d448e10673
in	w7_d448e10676
dergleichen	w9_d448e10679
Vortheil	w11_d448e10682
bringenden	w1_d448e10687
Gelegenheiten	w3_d448e10690
sein	w5_d448e10693
Wort	w7_d448e10696
heilig	w9_d448e10699
halte,	w1_d448e10704
solches	w3_d448e10707
weiß	w5_d448e10710
der	w7_d448e10713
hiesige	w9_d448e10716
Kaufmann	w11_d448e10719
Böttger	w1_d448e10725
aus	w3_d448e10728
einer	w5_d448e10731
betrübten	w7_d448e10734
Erfahrung,	w9_d448e10737
als	w11_d448e10740
welchen	w1_d448e10745
man	w3_d448e10748
allein	w5_d448e10751
siben	w7_d448e10754
zu	w9_d448e10757
Leipzig	w11_d448e10760
befrach	w13_d448e10764
tete	w1_d448e10769
Wägen	w3_d448e10772
weggenommen.	w5_d448e10775
Uber	w7_d448e10778
dieses	w9_d448e10781
zwinget	w1_d448e10786
man	w3_d448e10789
die	w5_d448e10792
Fremden	w7_d448e10795
Kauf=leute,	w9_d448e10798
daß	w11_d448e10801
sie	w1_d448e10807
ihre	w3_d448e10810
Waaren,	w5_d448e10813
so	w7_d448e10816
in	w9_d448e10819
der	w11_d448e10822
Messe	w13_d448e10826
nicht	w15_d448e10829
ab	w17_d448e10832
gesetzet	w1_d448e10837
worden,	w3_d448e10840
zuruck	w5_d448e10843
lassen	w7_d448e10846
müssen,	w9_d448e10849
und	w11_d448e10852
seynd	w1_d448e10857
diese	w3_d448e10860
froh,	w5_d448e10863
daß	w7_d448e10866
sie	w9_d448e10869
sich	w11_d448e10872
nur	w13_d448e10876
für	w15_d448e10879
ihre	w17_d448e10882
Personen	w1_d448e10887
kümmerlich	w3_d448e10890
wieder	w5_d448e10893
aus	w7_d448e10896
der	w9_d448e10899
Stadt	w11_d448e10902
schleichen	w1_d448e10908
können.	w3_d448e10911
Wer	w5_d448e10914
bey	w7_d448e10917
so	w9_d448e10920
gestalten	w11_d448e10923
Sachen	w1_d448e10928
aus	w3_d448e10931
der	w5_d448e10934
publicirten	w7_d448e10937
Meß=freyheit	w9_d448e10940
den	w1_d448e10945
mehresten	w3_d448e10948
Nutzen	w5_d448e10951
ziehe,	w7_d448e10954
ist	w9_d448e10957
leicht	w11_d448e10960
zu	w13_d448e10964
er	w15_d448e10967
messen.	w1_d448e10972
</p>
<head id="h2_d448e10978">
Olster=grund	w1_d448e10982
29.	w3_d448e10985
April.	w5_d448e10988
</head>
<p id="p4_d448e10991">
Die	w1_d448e10995
jüngsthin	w3_d448e10998
erwehnte	w5_d448e11001
Plünderung	w7_d448e11004
zu	w9_d448e11007
seynd	w1_d448e11012
niedergehauen	w3_d448e11015
und	w5_d448e11018
verbrannt	w7_d448e11021
worden,	w9_d448e11024
Hünefeld	w11_d448e11027
wurde	w13_d448e11031
von	w15_d448e11034
400.	w17_d448e11037
Mann	w19_d448e11040
Alliirten	w21_d448e11043
</p>
<p id="p10_d448e11056">
vorgenommen,	w1_d448e11060
und	w3_d448e11063
von	w5_d448e11066
2000.	w7_d448e11069
Mann	w9_d448e11072
be	w11_d448e11075
decket.	w1_d448e11080
Man	w3_d448e11083
führte	w5_d448e11086
die	w7_d448e11089
Rahts=herren	w9_d448e11092
und	w11_d448e11095
Burger	w1_d448e11100
aus	w3_d448e11103
der	w5_d448e11106
alleinigen	w7_d448e11109
Ursache,	w9_d448e11112
daß	w11_d448e11115
sie	w13_d448e11119
in	w1_d448e11125
Zeit	w3_d448e11128
von	w5_d448e11131
einer	w7_d448e11134
Stunde,	w9_d448e11137
die	w11_d448e11140
angeforderte	w13_d448e11144
40.	w1_d448e11149
Reichs=thaler	w3_d448e11152
nicht	w5_d448e11155
erlegen	w7_d448e11158
konnten,	w9_d448e11161
sammentlich	w1_d448e11166
nach	w3_d448e11169
Cassel	w5_d448e11172
ab.	w7_d448e11175
Den	w9_d448e11178
28sten	w11_d448e11181
ruckten	w1_d448e11186
900.	w3_d448e11189
Mann	w5_d448e11192
Franzosen	w7_d448e11195
über	w9_d448e11198
Geisa	w11_d448e11201
in	w1_d448e11207
Vach	w3_d448e11210
ein,	w5_d448e11213
nachdem	w7_d448e11216
aber	w9_d448e11219
selbige	w11_d448e11222
erfahren,	w13_d448e11226
daß	w1_d448e11231
die	w3_d448e11234
vorhin	w5_d448e11237
allda	w7_d448e11240
geweste	w9_d448e11243
Besatzung	w11_d448e11246
theils	w13_d448e11250
in	w1_d448e11255
Wäldern,	w3_d448e11258
theils	w5_d448e11261
im	w7_d448e11264
Gebürg	w9_d448e11267
versteckt	w11_d448e11270
seye,	w13_d448e11274
und	w1_d448e11279
mit	w3_d448e11282
einigen	w5_d448e11285
Tausenden	w7_d448e11288
von	w9_d448e11291
Alsfeld,	w11_d448e11294
Breitenbach,	w1_d448e11300
und	w3_d448e11303
Hirschfeld,	w5_d448e11306
allwo	w7_d448e11309
die	w9_d448e11312
Tho	w11_d448e11315
re	w1_d448e11320
einige	w3_d448e11323
Täge	w5_d448e11326
verschlossen	w7_d448e11329
geblieben,	w9_d448e11332
ver	w11_d448e11335
stärket	w1_d448e11340
worden;	w3_d448e11343
so	w5_d448e11346
zogen	w7_d448e11349
sich	w9_d448e11352
Erstere	w11_d448e11355
zuruck,	w13_d448e11359
wozu	w1_d448e11364
hiernächst	w3_d448e11367
Würtembergische	w5_d448e11370
Hussaren	w7_d448e11373
gestossen,	w1_d448e11379
welche	w3_d448e11382
fünf	w5_d448e11385
deren	w7_d448e11388
sogenannten	w9_d448e11391
Schwarzen	w1_d448e11396
getödtet	w3_d448e11399
haben.	w5_d448e11402
Jmmittelst	w7_d448e11405
er	w9_d448e11408
gienge	w1_d448e11413
es	w3_d448e11416
dem	w5_d448e11419
Städtel	w7_d448e11422
Geisa	w9_d448e11425
nicht	w11_d448e11428
besser	w13_d448e11432
dann	w1_d448e11437
Hunefeld:	w3_d448e11440
die	w5_d448e11443
Alliirten	w7_d448e11446
plünderten	w9_d448e11449
allda,	w1_d448e11455
und	w3_d448e11458
übten	w5_d448e11461
mancherley	w7_d448e11464
Mutwillen,	w9_d448e11467
besonders	w1_d448e11472
mit	w3_d448e11475
Einschlagung	w5_d448e11478
der	w7_d448e11481
Fenster	w9_d448e11484
aus.	w11_d448e11487
Dem	w1_d448e11492
Herrn	w3_d448e11495
Grafen	w5_d448e11498
de	w7_d448e11501
Vaire	w9_d448e11504
gebühret	w11_d448e11507
der	w13_d448e11511
Ruhm:	w1_d448e11516
daß	w3_d448e11519
er	w5_d448e11522
einem	w7_d448e11525
weit	w9_d448e11528
überlegeneren	w11_d448e11531
Feinde	w1_d448e11537
den	w3_d448e11540
rühmlichsten	w5_d448e11543
Widerstand	w7_d448e11546
gethan.	w9_d448e11549
Den	w1_d448e11554
30.	w3_d448e11557
brachen	w5_d448e11560
die	w7_d448e11563
Franzosen	w9_d448e11566
mit	w11_d448e11569
einer	w13_d448e11573
Verstärkung	w1_d448e11578
von	w3_d448e11581
400.	w5_d448e11584
Mann	w7_d448e11587
und	w9_d448e11590
vielen	w11_d448e11593
Wägen	w1_d448e11598
abermalen	w3_d448e11601
nach	w5_d448e11604
Vacha	w7_d448e11607
auf,	w9_d448e11610
um	w11_d448e11613
des	w13_d448e11617
dasigen	w1_d448e11623
Magatzins	w3_d448e11626
sich	w5_d448e11629
zu	w7_d448e11632
bemächtigen,	w9_d448e11635
wo	w11_d448e11638
von	w1_d448e11643
man	w3_d448e11646
dem	w5_d448e11649
Ausschlag	w7_d448e11652
ehestens	w9_d448e11655
entgegen	w11_d448e11658
siehet.	w1_d448e11663
</p>
<head id="h2_d448e11669">
Wien	w1_d448e11673
den	w3_d448e11676
10.	w5_d448e11679
May	w7_d448e11682
1760.	w9_d448e11685
</head>
<p id="p4_d448e11688">
feyde	w1_d448e11692
Kaiserl.	w3_d448e11695
Majestäten	w5_d448e11698
samt	w7_d448e11701
Jhren	w9_d448e11704
Königl.	w1_d448e11709
Hoheiten	w3_d448e11712
dem	w5_d448e11715
Durchleuchtig	w7_d448e11718
sten	w1_d448e11723
Erz=herzogen	w3_d448e11726
Joseph,	w5_d448e11729
wie	w7_d448e11732
auch	w9_d448e11735
Erz	w11_d448e11738
herzoginnen	w1_d448e11744
Maria	w3_d448e11747
Anna,	w5_d448e11750
und	w7_d448e11753
Christina	w9_d448e11756
befinden	w1_d448e11761
sich	w3_d448e11764
zu	w5_d448e11767
Laxenburg	w7_d448e11770
in	w9_d448e11773
erfreulichst	w11_d448e11776
beglücktem	w1_d448e11781
Wohlseyn,	w3_d448e11784
und	w5_d448e11787
belustigen	w7_d448e11790
sich	w9_d448e11793
allda	w1_d448e11798
selbst	w3_d448e11801
bey	w5_d448e11804
guter	w7_d448e11807
Witterung	w9_d448e11810
mit	w11_d448e11813
denen	w13_d448e11817
2.	w1_d448e11823
Sächsischen	w3_d448e11826
Prinzen	w5_d448e11829
Hoheiten	w7_d448e11832
in	w9_d448e11835
Ge	w11_d448e11838
folge	w1_d448e11843
einiger	w3_d448e11846
Cavalieren	w5_d448e11849
mit	w7_d448e11852
Jagen,	w9_d448e11855
und	w11_d448e11858
Reiger=peitzen	w1_d448e11863
</p>
<head id="h2_d448e11870">
Lista	w1_d448e11874
deren	w3_d448e11877
Verstorbenen	w5_d448e11880
zu	w7_d448e11883
Wien	w9_d448e11886
in	w1_d448e11891
und	w3_d448e11894
vor	w5_d448e11897
der	w7_d448e11900
Stadt.	w9_d448e11903
Den	w1_d448e11908
6.	w3_d448e11911
May.	w5_d448e11914
Jn	w1_d448e11920
der	w3_d448e11923
Stadt.	w5_d448e11926
</head>
<list id="l4_d448e11929">
Die	w1_d448e11933
Wol=ehrw.	w3_d448e11936
Chor	w5_d448e11939
frau	w7_d448e11942
Susan.	w9_d448e11945
v.	w11_d448e11948
Croubigel,	w13_d448e11952
im	w15_d448e11955
Kloster	w1_d448e11960
bey	w3_d448e11963
St.	w5_d448e11966
Lorenz,	w7_d448e11969
alt	w9_d448e11972
70.	w11_d448e11975
J.	w13_d448e11979
Der	w1_d448e11984
Wol=edel=gestr.	w3_d448e11987
Hr.	w5_d448e11990
Hieron.	w7_d448e11993
Manhard,	w9_d448e11996
des	w11_d448e11999
in	w13_d448e12003
neren	w1_d448e12009
Stadt=rahts,	w3_d448e12012
in	w5_d448e12015
s.	w7_d448e12018
H.	w9_d448e12021
am	w11_d448e12024
neuen	w13_d448e12028
Markt,	w15_d448e12031
alt	w1_d448e12036
78.	w3_d448e12039
J.	w5_d448e12042
Dem	w1_d448e12047
Hrn.	w3_d448e12050
Franz	w5_d448e12053
Martinelli,	w7_d448e12056
K.	w9_d448e12059
K.	w11_d448e12062
Hof.	w13_d448e12066
kammer	w15_d448e12069
Haupt=cassa=caßier.,	w1_d448e12074
s.	w3_d448e12077
K.	w5_d448e12080
Elisab.,	w7_d448e12083
im	w9_d448e12086
Steinme	w11_d448e12089
tzis.	w1_d448e12095
H.	w3_d448e12098
beym	w5_d448e12101
Kärntner=thor,	w7_d448e12104
alt	w9_d448e12107
3.	w11_d448e12110
J.	w13_d448e12114
</list>
<head id="h2_d448e12121">
Vor	w1_d448e12125
der	w3_d448e12128
Stadt.	w5_d448e12131
</head>
<list id="l4_d448e12134">
Jos.	w1_d448e12138
Breuer,	w3_d448e12141
Lack.,	w5_d448e12144
beym	w7_d448e12147
weis.	w9_d448e12150
Hahn	w11_d448e12153
in	w13_d448e12157
der	w15_d448e12160
Leo	w17_d448e12163
poldst.,	w1_d448e12168
alt	w3_d448e12171
78.	w5_d448e12174
J.	w7_d448e12177
Theres.	w1_d448e12182
Brucknerin,	w3_d448e12185
Wittwe,	w5_d448e12188
beym	w7_d448e12191
rot.	w9_d448e12194
H.	w11_d448e12197
an	w13_d448e12201
der	w15_d448e12204
Wien,	w1_d448e12210
alt	w3_d448e12213
76.	w5_d448e12216
J.	w7_d448e12219
</list>
<head id="h2_d448e12226">
Summa	w1_d448e12230
5.	w3_d448e12233
Pers.	w5_d448e12236
darunter	w7_d448e12239
1.	w9_d448e12242
Kind.	w11_d448e12245
Den	w1_d448e12250
7.	w3_d448e12253
May.	w5_d448e12256
Jn	w1_d448e12261
der	w3_d448e12264
Stadt.	w5_d448e12267
</head>
<list id="l4_d448e12270">
Dem	w1_d448e12274
Sebast.	w3_d448e12277
Roht,	w5_d448e12280
Burgerl.	w7_d448e12283
Ziegel=deck.,	w9_d448e12286
s.	w11_d448e12289
K.	w13_d448e12293
Ferd.,/	w1_d448e12298
im	w3_d448e12301
Hacklis.	w5_d448e12304
H.	w7_d448e12307
im	w9_d448e12310
Kumpf=gäs.,	w11_d448e12313
alt	w13_d448e12317
11.	w15_d448e12320
J.	w17_d448e12323
Dem	w1_d448e12328
Joh	w3_d448e12331
Feyrer,	w5_d448e12334
Lot=collect.,	w7_d448e12337
s.	w9_d448e12340
K.	w11_d448e12343
Juliana,	w13_d448e12347
im	w15_d448e12350
Dattenriederisch.	w1_d448e12356
H.	w3_d448e12359
am	w5_d448e12362
Grab.,	w7_d448e12365
alt	w9_d448e12368
2.	w11_d448e12371
J.	w13_d448e12375
</list>
<head id="h2_d448e12382">
Vor	w1_d448e12386
der	w3_d448e12389
Stadt.	w5_d448e12392
</head>
<list id="l4_d448e12395">
Dem	w1_d448e12399
Jos.	w3_d448e12402
Scheichineck,	w5_d448e12405
K.	w7_d448e12408
Prov.	w9_d448e12411
Wagen=meist,s.	w11_d448e12414
W.	w1_d448e12419
Cathar.,	w3_d448e12422
bey	w5_d448e12425
der	w7_d448e12428
Stadt	w9_d448e12431
Brün	w11_d448e12434
ausser	w13_d448e12438
Maria	w15_d448e12441
hülf,	w1_d448e12446
alt	w3_d448e12449
45.	w5_d448e12452
J.	w7_d448e12455
Joh.	w1_d448e12461
Gelle,	w3_d448e12464
Schneid.,	w5_d448e12467
beym	w7_d448e12470
gold.	w9_d448e12473
Einhorn	w11_d448e12476
in	w13_d448e12480
der	w15_d448e12483
Leopoldst.,	w1_d448e12488
alt	w3_d448e12491
55.	w5_d448e12494
J.	w7_d448e12497
Dem	w1_d448e12502
Joh.	w3_d448e12505
Winkler,	w5_d448e12508
Holz=hack,	w7_d448e12511
s.	w9_d448e12514
W.	w11_d448e12517
Theres.,	w13_d448e12521
bey	w15_d448e12524
dem	w1_d448e12529
kl.	w3_d448e12532
Jordan	w5_d448e12535
oberm	w7_d448e12538
Neustift,	w9_d448e12541
alt	w11_d448e12544
59.	w13_d448e12548
J.	w15_d448e12551
Dem	w1_d448e12557
Leop.	w3_d448e12560
Hummelberger,	w5_d448e12563
Kutsch.,	w7_d448e12566
s.	w9_d448e12569
K.	w11_d448e12572
Anna,	w13_d448e12576
im	w1_d448e12581
Lefleris.	w3_d448e12584
H.	w5_d448e12587
auf	w7_d448e12590
der	w9_d448e12593
Wied.,	w11_d448e12596
alt	w13_d448e12600
4.	w15_d448e12603
J.	w17_d448e12606
Sebast.	w1_d448e12611
Gumberich,	w3_d448e12614
Lack.,	w5_d448e12617
bey	w7_d448e12620
St.	w9_d448e12623
Florian	w11_d448e12626
zu	w13_d448e12630
Ni	w15_d448e12633
colstorf,	w1_d448e12638
alt	w3_d448e12641
61.	w5_d448e12644
J.	w7_d448e12647
</list>
<head id="h2_d448e12654">
Summa	w1_d448e12658
7.	w3_d448e12661
Person,	w5_d448e12664
darunter	w7_d448e12667
3.	w9_d448e12670
Kind.	w11_d448e12673
Den	w1_d448e12678
8.	w3_d448e12681
May.	w5_d448e12684
Jn	w7_d448e12687
der	w9_d448e12690
Stadt.	w11_d448e12693
</head>
<list id="l4_d448e12696">
Dem	w1_d448e12700
Thom.	w3_d448e12703
Vitadeo,	w5_d448e12706
Burgerl.	w7_d448e12709
Oebstl.,	w9_d448e12712
s.	w11_d448e12715
K.	w13_d448e12719
Leop.	w15_d448e12722
im	w1_d448e12727
Pfeifferis.	w3_d448e12730
H.	w5_d448e12733
am	w7_d448e12736
Grab.,	w9_d448e12739
alt	w11_d448e12742
2.	w13_d448e12746
J.	w15_d448e12749
</list>
<head id="h2_d448e12756">
Vor	w1_d448e12760
der	w3_d448e12763
Stadt.	w5_d448e12766
</head>
<list id="l4_d448e12769">
Dem	w1_d448e12773
Joh.	w3_d448e12776
Adamofsky,	w5_d448e12779
Burgerl.	w7_d448e12782
Schnür=mach,	w9_d448e12785
s.	w11_d448e12788
W.	w1_d448e12793
Apol.,	w3_d448e12796
bey	w5_d448e12799
der	w7_d448e12802
gold.	w9_d448e12805
Enl	w11_d448e12808
bey	w13_d448e12812
St.	w15_d448e12815
Ulrich,	w17_d448e12818
51.	w19_d448e12821
J.	w21_d448e12824
kn.,	w1_d448e12829
beym	w3_d448e12832
grün.	w5_d448e12835
Krauz	w7_d448e12838
auf	w9_d448e12841
Joh.	w1_d448e12847
Goldschutid,	w3_d448e12850
Satel	w5_d448e12853
der	w1_d448e12858
Wied.,	w3_d448e12861
alt	w5_d448e12864
52.	w7_d448e12867
J.	w9_d448e12870
Dem	w1_d448e12875
Jos.	w3_d448e12878
Schußdeck,	w5_d448e12881
Schreib,	w7_d448e12884
s.	w9_d448e12887
T.	w11_d448e12890
Ursula,	w13_d448e12894
beyn	w15_d448e12897
7.	w1_d448e12902
Stern.	w3_d448e12905
in	w5_d448e12908
der	w7_d448e12911
Josephst,	w9_d448e12914
alt	w11_d448e12917
15.	w13_d448e12921
J.	w15_d448e12924
Leonh.	w1_d448e12930
Becker,	w3_d448e12933
Lack,	w5_d448e12936
im	w7_d448e12939
Tischleris.	w9_d448e12942
H.	w11_d448e12945
auf	w13_d448e12949
der	w15_d448e12952
Wie	w17_d448e12955
den,	w1_d448e12960
alt	w3_d448e12963
50	w5_d448e12966
J.	w7_d448e12969
Magdal.	w1_d448e12974
Doberin,	w3_d448e12977
Wittwe,	w5_d448e12980
in	w7_d448e12983
der	w9_d448e12986
Schleif=mühl	w11_d448e12989
an	w1_d448e12994
der	w3_d448e12997
Wien,	w5_d448e13000
alt	w7_d448e13003
82.	w9_d448e13006
J.	w11_d448e13009
Summa	w1_d448e13015
6.	w3_d448e13018
Pers.	w5_d448e13021
darunter	w7_d448e13024
1.	w9_d448e13027
Kind.	w11_d448e13030
</list>
<head id="h4_d448e13040">
Land=marschall,	w1_d448e13044
rc.	w3_d448e13047
</head>
<p id="p6_d448e13050">
Entbiete	w1_d448e13054
allen	w3_d448e13057
und	w5_d448e13060
jeden,	w7_d448e13063
was	w9_d448e13066
Standes	w11_d448e13069
und	w13_d448e13073
Würden	w1_d448e13078
sie	w3_d448e13081
seynd,	w5_d448e13084
der	w7_d448e13087
Gebühr	w9_d448e13090
nach	w11_d448e13093
meinen	w13_d448e13097
respective	w1_d448e13102
Dienst	w3_d448e13105
in	w5_d448e13108
gutem	w7_d448e13111
Willen	w9_d448e13114
zuvor,	w11_d448e13117
und	w13_d448e13121
füge	w1_d448e13127
hiemit	w3_d448e13130
zu	w5_d448e13133
vernehmen:	w7_d448e13136
</p>
<p id="p8_d448e13139">
Es	w1_d448e13143
habe	w3_d448e13146
bey	w5_d448e13149
dem	w7_d448e13152
mir	w9_d448e13155
allergnädigst	w11_d448e13158
anvertrau,	w13_d448e13162
ten	w1_d448e13167
N.	w3_d448e13170
Oe.	w5_d448e13173
Land=marschallischen	w7_d448e13176
Gericht,	w9_d448e13179
die	w11_d448e13182
Gräfl.	w1_d448e13187
Franz	w3_d448e13190
Hardeggische	w5_d448e13193
Vormundschaft	w7_d448e13196
aberma	w9_d448e13199
len	w1_d448e13205
schriftl.	w3_d448e13208
angezeiget:	w5_d448e13211
Welcher=gestalten	w7_d448e13214
die	w9_d448e13217
vorhin	w11_d448e13220
angeordnet	w1_d448e13225
geweste	w3_d448e13228
Licitations=tagsatzung	w5_d448e13231
nachbe	w7_d448e13234
nannten	w1_d448e13239
Cosporum:	w3_d448e13242
(Als	w5_d448e13245
des	w7_d448e13248
Dorfs	w9_d448e13251
Buech,	w11_d448e13254
und	w1_d448e13259
Klerdorf,	w3_d448e13262
deren	w5_d448e13265
Herrschaftl.	w7_d448e13268
Hardeggischen	w9_d448e13271
Mühlen,	w1_d448e13277
nämlich	w3_d448e13280
der	w5_d448e13283
NeuRohr	w7_d448e13286
und	w9_d448e13289
Gold	w11_d448e13292
geber=mühl	w1_d448e13297
eines	w3_d448e13300
halben	w5_d448e13303
Unterthans	w7_d448e13306
zu	w9_d448e13309
Stelzeu	w11_d448e13312
dorf,	w1_d448e13317
zweyer	w3_d448e13320
Unterthanen	w5_d448e13323
zu	w7_d448e13326
Wischathall,	w9_d448e13329
zweyer	w11_d448e13332
Unterthanen	w1_d448e13337
zu	w3_d448e13340
Ober=theren,	w5_d448e13343
entfernten	w7_d448e13346
Grund	w9_d448e13349
holden	w1_d448e13355
zu	w3_d448e13358
Ebersbrunn,	w5_d448e13361
so	w7_d448e13364
mit	w9_d448e13367
8.	w11_d448e13370
ein	w13_d448e13374
halb	w15_d448e13377
Joch	w17_d448e13380
frey	w1_d448e13385
Ueberländ=äcker,	w3_d448e13388
4.	w5_d448e13391
Viertel	w7_d448e13394
Wein=gärten,	w9_d448e13397
und	w1_d448e13402
1.	w3_d448e13405
Viertel	w5_d448e13408
Tagwerk	w7_d448e13411
Wiesen,	w9_d448e13414
in	w11_d448e13417
13.	w13_d448e13421
Ge	w15_d448e13424
wohren	w1_d448e13429
bestehen,	w3_d448e13432
eines	w5_d448e13435
Grund=bolden	w7_d448e13438
zu	w9_d448e13441
Dieper	w11_d448e13444
storf	w1_d448e13450
Mathias	w3_d448e13453
Stadler	w5_d448e13456
mit	w7_d448e13459
9.	w9_d448e13462
Joch	w11_d448e13465
Aecker,	w13_d448e13469
und	w15_d448e13472
ein	w1_d448e13477
Viertel	w3_d448e13480
Tagwerk	w5_d448e13483
Wiesen,	w7_d448e13486
einiger	w9_d448e13489
Joch	w11_d448e13492
aus	w13_d448e13496
ser	w1_d448e13501
der	w3_d448e13504
Herrschaft	w5_d448e13507
ligenden	w7_d448e13510
Holz=gründen	w9_d448e13513
Ar	w11_d448e13516
meisthall,	w1_d448e13521
worauf	w3_d448e13524
dasige	w5_d448e13527
Gemeinde	w7_d448e13530
die	w9_d448e13533
Vieh	w11_d448e13536
weidung,	w1_d448e13542
und	w3_d448e13545
von	w5_d448e13548
darumen	w7_d448e13551
kein	w9_d448e13554
Holzschlag	w11_d448e13557
zu	w13_d448e13561
erwarten;	w1_d448e13566
Jtem	w3_d448e13569
ein	w5_d448e13572
Viertel	w7_d448e13575
Getreid	w9_d448e13578
und	w11_d448e13581
Wein	w13_d448e13585
sehend	w1_d448e13590
zu	w3_d448e13593
Stelzendorf,	w5_d448e13596
ein	w7_d448e13599
Achtel	w9_d448e13602
deto	w11_d448e13605
zu	w13_d448e13609
Un	w15_d448e13612
tergrueb,	w1_d448e13617
und	w3_d448e13620
ein	w5_d448e13623
Achtel	w7_d448e13626
deto	w9_d448e13629
zu	w11_d448e13632
Eitzerstall,	w13_d448e13636
und	w15_d448e13639
Wischathall,	w1_d448e13645
zwey	w3_d448e13648
Viertel	w5_d448e13651
deto	w7_d448e13654
auf	w9_d448e13657
einer	w11_d448e13660
Ried	w13_d448e13664
zu	w1_d448e13669
Göllerstorf,	w3_d448e13672
ein	w5_d448e13675
Heu=feld,	w7_d448e13678
des	w9_d448e13681
Herrn	w11_d448e13684
haus	w13_d448e13688
zu	w1_d448e13693
Ober	w3_d448e13696
zögerstorf	w5_d448e13699
samt	w7_d448e13702
denen	w9_d448e13705
darzu	w11_d448e13708
gehörigen	w13_d448e13712
37.	w1_d448e13717
ein	w3_d448e13720
halben	w5_d448e13723
Joch	w7_d448e13726
Aeckern	w9_d448e13729
und	w11_d448e13732
13.	w13_d448e13736
Tagwerk	w15_d448e13739
Wiesen,	w1_d448e13745
und	w3_d448e13748
des	w5_d448e13751
Mayerhofs	w7_d448e13754
zu	w9_d448e13757
Perzendorf)	w11_d448e13760
in	w13_d448e13764
Ermanglang	w1_d448e13769
hinlanglicher	w3_d448e13772
Kauffern	w5_d448e13775
ihren	w7_d448e13778
Fortgang	w9_d448e13781
nicht	w1_d448e13786
hatte	w3_d448e13789
erreichen	w5_d448e13792
können,	w7_d448e13795
diesemnach	w9_d448e13798
wieder	w11_d448e13801
holt	w1_d448e13806
gebetten,	w3_d448e13809
ich	w5_d448e13812
geruhete	w7_d448e13815
ein	w9_d448e13818
nochmaliges	w11_d448e13821
Li	w13_d448e13825
citations=edict	w1_d448e13831
bey	w3_d448e13834
der	w5_d448e13837
Canzley	w7_d448e13840
ausfertigen	w9_d448e13843
zu	w11_d448e13846
lassen,	w1_d448e13851
Wann	w3_d448e13854
nun	w5_d448e13857
hierinfalls	w7_d448e13860
verwilliget,	w9_d448e13863
und	w11_d448e13866
zur	w1_d448e13871
Licitations=tagsatzung	w3_d448e13874
der	w5_d448e13877
22.	w7_d448e13880
dies	w9_d448e13883
Monats	w11_d448e13886
May	w1_d448e13891
