<doc id="edoc_wd_1768-02-24" attrs="word" year="1768" month="02" day="24" corpus="1">
<head id="hl1">
Amsterdam	w35
ebenfalls	w3578
um	w3579
einen	w3580
billigen	w3581
Preiß	w3582
haben	w3583
<g/>
.
</p>
<p id="p42">
Weil	w3585
es	w3586
noch	w3587
Liebhaber	w3588
chronographischer	w3589
Tan=deleyen	w3590
<g/>
=
giebt	w3592
<g/>
,
theilet	w3594
man	w3595
ihnen	w3596
folgende	w3597
Jnschrift	w3598
auf	w3599
den	w3600
tödtlichen	w3601
Hintritt	w3602
weil	w3603
<g/>
.
Sr	w3605
<g/>
.
Chur=fürstl	w3607
<g/>
=
<g/>
.
Gnaden	w3610
zu	w3611
Trier	w3612
<g/>
,
und	w3614
dann	w3615
auf	w3616
die	w3617
da=mals	w3618
<g/>
=
ingestandene	w3620
Wahl	w3621
eines	w3622
Churfolgers	w3623
mit	w3624
<g/>
.
</p>
<p id="p43">
DoLete	w3626
Ioannes	w3627
PhILIppVs	w3628
ELector	w3629
MortVVs	w3630
est	w3631
<g/>
.
GaVDete	w3633
TreVIrenseg	w3634
PrInCeps	w3635
Vester	w3636
erIt	w3637
CLeMens	w3638
<g/>
.
</p>
<head id="hl11">
Wien	w3640
den	w3641
24	w3642
<g/>
.
Hornung	w3644
1768	w3645
<g/>
.
</head>
<p id="p44">
Durch	w3647
das	w3648
einige	w3649
Tage	w3650
her	w3651
eingefallene	w3652
Thau	w3653
<g/>
=
und	w3655
Regenwetter	w3656
ist	w3657
der	w3658
häufig	w3659
um	w3660
hiesige	w3661
Gegenden	w3662
liegende	w3663
Schnee	w3664
größten=theils	w3665
<g/>
=
<g/>
,
und	w3668
zwar	w3669
so	w3670
gähling	w3671
geschmolzen	w3672
<g/>
,
daß	w3674
die	w3675
Kanäle	w3676
in	w3677
den	w3678
Vorstädten	w3679
<g/>
,
und	w3681
die	w3682
vorbeyströhmende	w3683
Wien	w3684
durch	w3685
das	w3686
gewaltig	w3687
eingedrungene	w3688
Wasser	w3689
ungemein	w3690
hoch	w3691
ange=schwollen	w3692
<g/>
=
<g/>
:
die	w3695
nächst	w3696
gelegenen	w3697
Häuser	w3698
sind	w3699
überschwemmet	w3700
<g/>
,
auch	w3702
an	w3703
theils	w3704
Orten	w3705
die	w3706
Liniengräben	w3707
mit	w3708
Wasser	w3709
angefüllet	w3710
worden	w3711
<g/>
,
wodurch	w3713
die	w3714
Einwohner	w3715
besagter	w3716
Häuser	w3717
<g/>
,
in	w3719
großer	w3720
Gefahr	w3721
<g/>
,
und	w3723
sich	w3724
zu	w3725
flüchten	w3726
ge=nöthiget	w3727
<g/>
=
sahen	w3729
<g/>
.
Montags	w3731
Abends	w3732
hörte	w3733
es	w3734
endlich	w3735
wieder	w3736
auf	w3737
zu	w3738
regnen	w3739
<g/>
,
und	w3741
die	w3742
Wuth	w3743
des	w3744
Wassers	w3745
nahm	w3746
ab	w3747
<g/>
.
Der	w3749
allhiesige	w3750
Do=nauarm	w3751
<g/>
=
ist	w3753
noch	w3754
nicht	w3755
völlig	w3756
offen	w3757
<g/>
,
aber	w3759
der	w3760
Eißbruch	w3761
stündlich	w3762
zu	w3763
vermuthen	w3764
<g/>
.
Jn	w3766
dem	w3767
Oberlande	w3768
soll	w3769
das	w3770
Eiß	w3771
schon	w3772
gebrochen	w3773
seyn	w3774
<g/>
,
und	w3776
von	w3777
daher	w3778
an	w3779
verschiedenen	w3780
Orten	w3781
<g/>
,
besonders	w3783
zu	w3784
Stein	w3785
und	w3786
Crems	w3787
großen	w3788
Schaden	w3789
verursachet	w3790
haben	w3791
<g/>
,
davon	w3793
die	w3794
Be=stätigung	w3795
<g/>
=
mit	w3797
mehrern	w3798
Umständen	w3799
zu	w3800
erwar=ten	w3801
<g/>
=
ist	w3803
<g/>
.
</p>
<p id="p45">
Samstag	w3805
den	w3806
27	w3807
<g/>
.
dieses	w3809
wird	w3810
die	w3811
geist=liche	w3812
<g/>
=
Versammlung	w3814
in	w3815
der	w3816
Herrenkapellen	w3817
des	w3818
kaiserl	w3819
<g/>
.
Profeßhaus	w3821
mit	w3822
denen	w3823
Frauen	w3824
<g/>
,
und	w3826
Jungfrauen	w3827
um	w3828
halbe	w3829
8	w3830
<g/>
.
Uhr	w3832
ihren	w3833
Anfang	w3834
nehmen	w3835
<g/>
;
dazu	w3837
alle	w3838
dieses	w3839
Standes	w3840
zu	w3841
erscheinen	w3842
höflichst	w3843
eingeladen	w3844
sind	w3845
<g/>
.
</p>
<p id="p46">
VerVerEs	w3847
<g/>
=
</p>
<head id="hl12">
Verzeichniß	w3849
der	w3850
Verstorbenen	w3851
zu	w3852
Wien	w3853
in	w3854
<g/>
,
und	w3856
vor	w3857
der	w3858
Stadt	w3859
</head>
<head id="hl13">
Den	w3860
19	w3861
<g/>
.
Horn	w3863
<g/>
.
Jn	w3865
der	w3866
Stadt	w3867
<g/>
.
</head>
<list id="li4">
Dem	w3869
hochedelgeb	w3870
<g/>
.
Herrn	w3872
Franz	w3873
Christoph	w3874
Edlen	w3875
v	w3876
<g/>
.
Menshengen	w3878
<g/>
,
k	w3880
<g/>
.
k	w3882
<g/>
.
Ni	w3884
Oe	w3885
<g/>
.
Reg	w3887
<g/>
.
Raht	w3889
<g/>
,
s	w3891
<g/>
.
Fr	w3893
<g/>
.
Ge=mahl	w3895
<g/>
=
<g/>
.
Eleon	w3898
<g/>
.
geb	w3900
<g/>
.
Freyin	w3902
v	w3903
<g/>
.
Otten	w3905
<g/>
,
im	w3907
Nilleris	w3908
<g/>
.
H	w3910
<g/>
.
am	w3912
alt	w3913
<g/>
.
Baurenm	w3915
<g/>
.
alt	w3917
66	w3918
<g/>
.
J	w3920
<g/>
.
Die	w3922
wohlehrw	w3923
<g/>
.
Chorfr	w3925
<g/>
.
Maria	w3927
Nepom	w3928
<g/>
.
Anlauffin	w3930
<g/>
,
im	w3932
Klost	w3933
<g/>
.
zur	w3935
Himmelsp	w3936
<g/>
.
alt	w3938
58	w3939
<g/>
.
J	w3941
<g/>
.
Dem	w3943
Andr	w3944
<g/>
.
Haberl	w3946
<g/>
,
Burgl	w3948
<g/>
.
Glaserm	w3950
<g/>
.
s	w3952
<g/>
.
K	w3954
<g/>
.
Anna	w3956
<g/>
,
im	w3958
Fillabaumis	w3959
<g/>
.
H	w3961
in	w3962
der	w3963
Kärntnerstr	w3964
<g/>
.
alt	w3966
1	w3967
<g/>
.
J	w3969
<g/>
.
</list>
<head id="hl14">
Vor	w3971
der	w3972
Stadt	w3973
<g/>
.
</head>
<list id="li5">
Dem	w3975
Franz	w3976
Schlutner	w3977
<g/>
,
gew	w3979
<g/>
.
Burgl	w3981
<g/>
.
Wirth	w3983
<g/>
,
s	w3985
<g/>
.
W	w3987
<g/>
.
Cath	w3989
<g/>
.
b	w3991
<g/>
.
gr	w3993
<g/>
.
Baum	w3995
am	w3996
Himmelpgr	w3997
<g/>
.
alt	w3999
63	w4000
<g/>
.
J	w4002
<g/>
.
Dem	w4004
Jos	w4005
<g/>
.
Zechner	w4007
<g/>
,
Herrsch	w4009
<g/>
.
Kammerlag	w4011
<g/>
.
s	w4013
<g/>
.
K	w4015
<g/>
.
Ther	w4017
<g/>
.
b	w4019
<g/>
.
gr	w4021
<g/>
.
Stifel	w4023
auf	w4024
der	w4025
Laimgr	w4026
<g/>
.
alt	w4028
6	w4029
<g/>
.
v	w4031
<g/>
.
J	w4033
<g/>
.
Joh	w4035
<g/>
.
Schuster	w4037
<g/>
,
Gürtl	w4039
<g/>
.
b	w4041
br	w4042
<g/>
.
Adl	w4044
<g/>
.
am	w4046
ob	w4047
<g/>
.
Neust	w4049
<g/>
.
45	w4051
<g/>
.
J	w4053
<g/>
.
Ther	w4055
<g/>
.
Scheyerin	w4057
<g/>
,
Witt	w4059
<g/>
.
beym	w4061
grün	w4062
<g/>
.
Eleph	w4064
<g/>
.
in	w4066
der	w4067
Leopoldst	w4068
<g/>
.
alt	w4070
64	w4071
<g/>
.
J	w4073
<g/>
.
Leop	w4075
<g/>
.
Hofmann	w4077
<g/>
,
b	w4079
<g/>
.
rot	w4081
<g/>
.
Unger	w4083
am	w4084
ob	w4085
<g/>
.
Neust	w4087
<g/>
.
75	w4089
<g/>
.
J	w4091
<g/>
.
Dem	w4093
Joh	w4094
<g/>
.
Georg	w4096
Bauthner	w4097
<g/>
,
Burgl	w4099
<g/>
.
Kirschn	w4101
<g/>
.
s	w4103
<g/>
.
W	w4105
<g/>
.
Ther	w4107
<g/>
.
im	w4109
Herzogis	w4110
<g/>
.
H	w4112
<g/>
.
in	w4114
der	w4115
Leop	w4116
alt	w4117
28	w4118
<g/>
.
J	w4120
<g/>
.
Dem	w4122
Andr	w4123
<g/>
.
Wittmann	w4125
<g/>
,
Schnei	w4127
<g/>
.
s	w4129
<g/>
.
W	w4131
<g/>
.
Elisab	w4133
<g/>
.
im	w4135
gr	w4136
<g/>
.
Neumannis	w4138
<g/>
.
H	w4140
<g/>
.
zu	w4142
Marg	w4143
<g/>
.
alt	w4145
61	w4146
<g/>
.
J	w4148
<g/>
.
</list>
<p id="p47">
Summa	w4150
10	w4151
<g/>
.
Person	w4153
<g/>
.
darunter	w4155
2	w4156
<g/>
.
Kind	w4158
<g/>
.
</p>
<head id="hl16">
Den	w4160
20	w4161
<g/>
.
Horn	w4163
<g/>
.
Jn	w4165
der	w4166
Stadt	w4167
<g/>
.
</head>
<list id="li6">
Der	w4169
wohlehrw	w4170
<g/>
.
P	w4172
<g/>
.
Hieron	w4174
<g/>
.
Forchondt	w4176
<g/>
,
aus	w4178
der	w4179
Ge=sellsch	w4180
<g/>
=
<g/>
.
Jesu	w4183
<g/>
,
im	w4185
Probh	w4186
<g/>
.
b	w4188
<g/>
.
St	w4190
<g/>
.
Anna	w4192
<g/>
,
alt	w4194
68	w4195
<g/>
.
J	w4197
<g/>
.
Dem	w4199
Hrn	w4200
<g/>
.
Thom	w4202
<g/>
.
Bacioky	w4204
<g/>
,
Burgl	w4206
<g/>
.
Handelsm	w4208
<g/>
.
s	w4210
<g/>
.
K	w4212
<g/>
.
Jos	w4214
<g/>
.
im	w4216
Nilleris	w4217
<g/>
.
H	w4219
<g/>
.
am	w4221
Baurenm	w4222
<g/>
.
alt	w4224
1	w4225
<g/>
.
J	w4227
<g/>
.
</list>
<head id="hl17">
Vor	w4229
der	w4230
Stadt	w4231
<g/>
.
</head>
<list id="li7">
Eva	w4233
Clara	w4234
Rumin	w4235
<g/>
,
Burgl	w4237
<g/>
.
Wittw	w4239
<g/>
.
im	w4241
kl	w4242
<g/>
.
Sauer=kräutl	w4244
<g/>
=
<g/>
.
H	w4247
<g/>
.
auf	w4249
der	w4250
Neuw	w4251
<g/>
.
alt	w4253
81	w4254
<g/>
.
J	w4256
<g/>
.
Dem	w4258
Jos	w4259
<g/>
.
Wieser	w4261
<g/>
,
Bierleutg	w4263
<g/>
.
s	w4265
<g/>
.
K	w4267
<g/>
.
Elisab	w4269
<g/>
.
b	w4271
<g/>
.
grün	w4273
<g/>
.
Kapel	w4275
zu	w4276
Mariah	w4277
<g/>
.
alt	w4279
3	w4280
<g/>
.
J	w4282
<g/>
.
Dem	w4284
Jos	w4285
<g/>
.
Reider	w4287
<g/>
,
Burgl	w4289
<g/>
.
Eisentändl	w4291
<g/>
.
s	w4293
<g/>
.
K	w4295
<g/>
.
Joh	w4297
<g/>
.
Georg	w4299
<g/>
,
b	w4301
<g/>
.
gol	w4303
<g/>
.
Schlüß	w4305
<g/>
.
auf	w4307
der	w4308
Wied	w4309
<g/>
.
alt	w4311
6	w4312
<g/>
.
v	w4314
<g/>
.
J	w4316
<g/>
.
Dem	w4318
Franz	w4319
Horn	w4320
<g/>
,
k	w4322
<g/>
.
k	w4324
<g/>
.
Hof	w4326
<g/>
=
extratafelj	w4328
<g/>
.
s	w4330
<g/>
.
K	w4332
<g/>
.
Anna	w4334
<g/>
,
bey	w4336
der	w4337
Wildgans	w4338
in	w4339
der	w4340
Leop	w4341
<g/>
.
alt	w4343
7	w4344
<g/>
.
v	w4346
<g/>
.
J	w4348
<g/>
.
Jos	w4350
<g/>
.
Jenetschko	w4352
<g/>
,
gew	w4354
<g/>
.
Fourier	w4356
<g/>
,
im	w4358
Fokonetis	w4359
<g/>
.
H	w4361
<g/>
.
an	w4363
der	w4364
Wien	w4365
<g/>
,
alt	w4367
40	w4368
<g/>
.
J	w4370
<g/>
.
Dem	w4372
Math	w4373
<g/>
.
Bock	w4375
<g/>
,
Hauskn	w4377
<g/>
.
s	w4379
<g/>
.
K	w4381
<g/>
.
Ther	w4383
<g/>
.
b	w4385
<g/>
.
Schwarz=walderb	w4387
<g/>
=
<g/>
.
zu	w4390
St	w4391
<g/>
.
Ulrich	w4393
<g/>
,
alt	w4395
1	w4396
<g/>
.
J	w4398
<g/>
.
Dem	w4400
Leop	w4401
Fuchs	w4402
<g/>
,
Webergs	w4404
<g/>
.
s	w4406
<g/>
.
K	w4408
<g/>
.
Andr	w4410
<g/>
.
b	w4412
<g/>
.
rot	w4414
<g/>
.
Hahn	w4416
am	w4417
Himmelpgr	w4418
<g/>
.
alt	w4420
3	w4421
<g/>
.
Dem	w4423
Georg	w4424
Kreuzwöger	w4425
<g/>
,
Schifkn	w4427
<g/>
.
s	w4429
<g/>
.
K	w4431
<g/>
.
Elisab	w4433
<g/>
.
bey	w4435
der	w4436
gol	w4437
<g/>
.
Brez	w4439
<g/>
.
im	w4441
Liechtth	w4442
<g/>
.
alt	w4444
3	w4445
<g/>
.
J	w4447
<g/>
.
2	w4449
Mart	w4450
<g/>
.
Kretscheck	w4452
<g/>
,
Tagl	w4454
<g/>
.
b	w4456
<g/>
.
gol	w4458
<g/>
.
Einh	w4460
<g/>
.
im	w4462
Liechtth	w4463
<g/>
.
alt	w4465
64	w4466
<g/>
.
J	w4468
<g/>
.
Anna	w4470
Prunemannin	w4471
<g/>
,
Witt	w4473
<g/>
.
beym	w4475
gol	w4476
<g/>
.
Stern	w4478
in	w4479
der	w4480
Josephst	w4481
<g/>
.
alt	w4483
81	w4484
<g/>
.
J	w4486
<g/>
.
</list>
<p id="p48">
Summa	w4488
12	w4489
<g/>
.
Person	w4491
<g/>
.
darunter	w4493
7	w4494
<g/>
.
Kind	w4496
<g/>
.
</p>
<head id="hl19">
Den	w4498
21	w4499
<g/>
.
Horn	w4501
<g/>
.
Jn	w4503
der	w4504
Stadt	w4505
<g/>
.
</head>
<list id="li8">
Der	w4507
wohledelgeb	w4508
<g/>
.
Hr	w4510
<g/>
.
Joh	w4512
<g/>
.
Ferd	w4514
<g/>
.
v	w4516
<g/>
.
Schwall	w4518
<g/>
,
k	w4520
<g/>
.
k	w4522
<g/>
.
Kammerd	w4524
<g/>
.
b	w4526
<g/>
.
gr	w4528
<g/>
.
Fässel	w4530
am	w4531
Kohlm	w4532
<g/>
.
alt	w4534
80	w4535
<g/>
.
J	w4537
<g/>
.
Dem	w4539
Seb	w4540
<g/>
.
Fuchs	w4542
<g/>
,
Herrsch	w4544
<g/>
.
Kuts	w4546
<g/>
.
s	w4548
<g/>
.
K	w4550
<g/>
.
Eleon	w4552
<g/>
.
im	w4554
Hilgeris	w4555
<g/>
.
H	w4557
<g/>
.
auf	w4559
der	w4560
Mölkerpas	w4561
<g/>
.
alt	w4563
2	w4564
<g/>
.
J	w4566
<g/>
.
</list>
<head id="hl20">
Vor	w4568
der	w4569
Stadt	w4570
<g/>
.
</head>
<list id="li9">
Dem	w4572
Hrn	w4573
<g/>
.
Leonh	w4575
<g/>
.
Jos	w4577
<g/>
.
Perdracher	w4579
<g/>
,
Jnstr	w4581
<g/>
.
in	w4583
der	w4584
k	w4585
<g/>
.
k	w4587
<g/>
.
Militarakad	w4589
<g/>
.
s	w4591
<g/>
.
Ehew	w4593
<g/>
.
Magd	w4595
<g/>
.
in	w4597
Stiftzim	w4598
<g/>
.
hin=ter	w4600
<g/>
=
der	w4602
Laimgr	w4603
<g/>
.
alt	w4605
44	w4606
<g/>
.
J	w4608
<g/>
.
Dem	w4610
Ant	w4611
<g/>
.
Schwarz	w4613
<g/>
,
Schutzverw	w4615
<g/>
.
Tischl	w4617
<g/>
.
s	w4619
<g/>
.
S	w4621
<g/>
.
Joh	w4623
<g/>
.
Mich	w4625
<g/>
.
b	w4627
<g/>
.
schw	w4629
<g/>
.
Eleph	w4631
<g/>
.
zu	w4633
Mariah	w4634
<g/>
.
alt	w4636
20	w4637
<g/>
.
J	w4639
<g/>
.
Dem	w4641
Franz	w4642
Schulz	w4643
<g/>
,
Herrsch	w4645
<g/>
.
Lag	w4647
<g/>
.
s	w4649
<g/>
.
K	w4651
<g/>
.
Jos	w4653
<g/>
.
beym	w4655
schw	w4656
<g/>
.
Hund	w4658
am	w4659
Spit	w4660
<g/>
.
alt	w4662
6	w4663
<g/>
.
v	w4665
J	w4666
<g/>
.
Joh	w4668
<g/>
.
Mich	w4670
<g/>
.
Zach	w4672
<g/>
,
Maurergs	w4674
<g/>
.
beyn	w4676
12	w4677
<g/>
.
Himmelszei	w4679
<g/>
.
am	w4681
ob	w4682
<g/>
.
Neust	w4684
<g/>
.
alt	w4686
68	w4687
<g/>
.
J	w4689
<g/>
.
Casp	w4691
<g/>
.
Zetl	w4693
<g/>
,
Stöckelschn	w4695
<g/>
.
im	w4697
Zimmerman	w4698
<g/>
.
H	w4700
<g/>
.
am	w4702
Hundsth	w4703
<g/>
.
alt	w4705
48	w4706
J	w4707
<g/>
.
Cath	w4709
<g/>
.
Pfefferin	w4711
<g/>
,
Witt	w4713
<g/>
.
beym	w4715
scharf	w4716
<g/>
.
Eck	w4718
in	w4719
der	w4720
Jo=sephst	w4721
<g/>
=
<g/>
.
alt	w4724
80	w4725
<g/>
.
J	w4727
<g/>
.
Dem	w4729
Leop	w4730
<g/>
.
Fuchs	w4732
<g/>
,
Tagl	w4734
<g/>
.
s	w4736
<g/>
.
W	w4738
<g/>
.
Anna	w4740
<g/>
,
im	w4742
Scheibel=aueris	w4743
<g/>
=
<g/>
.
H	w4746
<g/>
.
in	w4748
der	w4749
hint	w4750
<g/>
.
Alsterg	w4752
<g/>
.
alt	w4754
44	w4755
<g/>
.
J	w4757
<g/>
.
Max	w4759
<g/>
.
Powisch	w4761
<g/>
,
Schnei	w4763
<g/>
.
b	w4765
<g/>
.
rot	w4767
<g/>
.
Apfel	w4769
auf	w4770
der	w4771
Landst	w4772
<g/>
.
alt	w4774
76	w4775
<g/>
.
J	w4777
<g/>
.
</list>
<p id="p49">
Summa	w4779
10	w4780
<g/>
.
Person	w4782
<g/>
.
darunter	w4784
2	w4785
<g/>
.
Kind	w4787
<g/>
.
</p>
<p id="p50">
Es	w4789
wird	w4790
hiemit	w4791
jedermänniglich	w4792
besonders	w4793
al=len	w4794
<g/>
=
hohen	w4796
Herrschaften	w4797
kund	w4798
und	w4799
zu	w4800
wissen	w4801
ge=macht	w4802
<g/>
=
<g/>
,
wie	w4805
daß	w4806
bey	w4807
dem	w4808
goldenen	w4809
Kögl	w4810
auf	w4811
der	w4812
Wien	w4813
im	w4814
2ten	w4815
Stock	w4816
allhier	w4817
sich	w4818
jemand	w4819
befinde	w4820
<g/>
,
der	w4822
die	w4823
Kunst	w4824
wohl	w4825
verstehet	w4826
<g/>
,
alle	w4828
Gebrechen	w4829
und	w4830
Krankheiten	w4831
der	w4832
Papageyen	w4833
zu	w4834
erkennen	w4835
<g/>
,
und	w4837
durch	w4838
dienliche	w4839
Mittel	w4840
vollkommen	w4841
zu	w4842
heilen	w4843
<g/>
,
wann	w4845
anderst	w4846
die	w4847
Krankheit	w4848
des	w4849
Vogels	w4850
nicht	w4851
gar	w4852
zu	w4853
lang	w4854
schon	w4855
überhand	w4856
genommen	w4857
hat	w4858
<g/>
,
und	w4860
ih=me	w4861
<g/>
=
zu	w4863
rechter	w4864
Zeit	w4865
angedeutet	w4866
wird	w4867
<g/>
.
</p>
<p id="p51">
Bey	w4869
Johann	w4870
Leonhard	w4871
Pittoni	w4872
<g/>
,
burgerl	w4874
<g/>
.
Ma=terialhandelsmann	w4876
<g/>
=
zum	w4878
Schönbrunn	w4879
unter	w4880
denen	w4881
Tuchlauben	w4882
<g/>
,
ist	w4884
eine	w4885
Sammlung	w4886
von	w4887
zahlreichen	w4888
Seltenheiten	w4889
<g/>
,
orientalischer	w4891
Meerschnecken	w4892
<g/>
,
und	w4894
Muscheln	w4895
zu	w4896
verkaufen	w4897
<g/>
,
bestehend	w4899
in	w4900
einer	w4901
unge=mein	w4902
<g/>
=
schön	w4904
und	w4905
ächten	w4906
Wendeltrepe	w4907
<g/>
,
einem	w4909
besonders	w4910
großen	w4911
Admiral	w4912
<g/>
,
eine	w4914
ungemein	w4915
schöne	w4916
Guinesische	w4917
und	w4918
andern	w4919
sehr	w4920
vielen	w4921
seltenen	w4922
Sor=ten	w4923
<g/>
=
<g/>
,
Muscheln	w4926
<g/>
,
Lazzaruskleppern	w4928
<g/>
,
Corall	w4930
und	w4931
Seegewächsen	w4932
<g/>
,
nebst	w4934
einigen	w4935
americanischen	w4936
Pa=pilions	w4937
<g/>
=
<g/>
.
Außer	w4940
diesen	w4941
können	w4942
die	w4943
Liebhaber	w4944
dieser	w4945
Seltenheiten	w4946
mit	w4947
beliebigen	w4948
Stücken	w4949
jedesmal	w4950
bedienet	w4951
werden	w4952
<g/>
.
</p>
<p id="p52">
Es	w4954
sind	w4955
zwey	w4956
Gehäuß	w4957
von	w4958
goldenen	w4959
Sackuhren	w4960
bey	w4961
dem	w4962
allhiesig	w4963
k	w4964
<g/>
.
k	w4966
<g/>
.
Stadt	w4968
<g/>
=
und	w4970
Landgericht	w4971
befindlich	w4972
<g/>
,
welche	w4974
schon	w4975
im	w4976
Monat	w4977
November	w4978
des	w4979
1766	w4980
<g/>
.
Jahrs	w4982
allhier	w4983
in	w4984
einer	w4985
Schauspielhüte	w4986
gefunden	w4987
worden	w4988
seyn	w4989
sollen	w4990
<g/>
;
wer	w4992
sich	w4993
demnach	w4994
hierzu	w4995
als	w4996
Eigenthumer	w4997
legitimiren	w4998
kann	w4999
<g/>
,
der	w5001
hat	w5002
sich	w5003
hierumen	w5004
bey	w5005
ersagt	w5006
k	w5007
<g/>
.
k	w5009
<g/>
.
Stadt	w5011
<g/>
=
und	w5013
Landgericht	w5014
anzumelden	w5015
<g/>
.
</p>
<p id="p53">
Es	w5017
ist	w5018
eine	w5019
Landgutschersgerechtigkeit	w5020
zu	w5021
ver=kaufen	w5022
<g/>
=
<g/>
,
wer	w5025
solche	w5026
haben	w5027
will	w5028
<g/>
,
kann	w5030
sich	w5031
in	w5032
der	w5033
Wohlzeil	w5034
im	w5035
Doctor	w5036
Lebzelterischen	w5037
Haus	w5038
bey	w5039
Johann	w5040
Riglsperger	w5041
anmelden	w5042
<g/>
.
</p>
<p id="p54">
Es	w5045
sind	w5046
seit	w5047
kurzer	w5048
Zeit	w5049
6	w5050
<g/>
.
noch	w5052
ungedruckt	w5053
<g/>
=
und	w5055
ungebleichte	w5056
Cottunstücke	w5057
entwendet	w5058
worden	w5059
<g/>
:
wer	w5061
solche	w5062
oder	w5063
davon	w5064
etwas	w5065
an	w5066
sich	w5067
gekauft	w5068
<g/>
,
der	w5070
auch	w5071
nur	w5072
eine	w5073
gründliche	w5074
Nachricht	w5075
davon	w5076
hätte	w5077
<g/>
,
beliebe	w5079
solches	w5080
gegen	w5081
versicherter	w5082
Wieder=erstattung	w5083
<g/>
=
der	w5085
Auslage	w5086
<g/>
,
oder	w5088
eines	w5089
Recompens	w5090
in	w5091
dem	w5092
Frag	w5093
<g/>
=
und	w5095
Kundschaftamt	w5096
anzuzeigen	w5097
<g/>
.
</p>
<p id="p55">
Von	w5099
des	w5100
freyen	w5101
Stifts	w5102
und	w5103
Klosters	w5104
Melk	w5105
Herr=schaft	w5106
<g/>
=
Traiskirchen	w5108
wird	w5109
allen	w5110
<g/>
,
denen	w5112
daran	w5113
gele=gen	w5114
<g/>
=
durch	w5116
dieses	w5117
offene	w5118
Edict	w5119
kund	w5120
und	w5121
zu	w5122
wis=sen	w5123
<g/>
=
gemacht	w5125
<g/>
:
Es	w5127
habe	w5128
die	w5129
Nothdurft	w5130
erfordert	w5131
eine	w5132
förmliche	w5133
Zusamberuffung	w5134
der	w5135
Glaubiger	w5136
des	w5137
Paul	w5138
Schmids	w5139
burgerl	w5140
<g/>
.
Sattlermeisters	w5142
allda	w5143
sel	w5144
<g/>
.
anzuordnen	w5146
<g/>
,
zugleich	w5148
auch	w5149
eine	w5150
offentliche	w5151
Feilbie=tung	w5152
<g/>
=
der	w5154
Behausung	w5155
<g/>
,
des	w5157
Handwerks	w5158
und	w5159
einer	w5160
dazu	w5161
gehörigen	w5162
Weingartsetze	w5163
vorzunehmen	w5164
<g/>
:
Wer=den	w5166
<g/>
=
demnach	w5168
alle	w5169
und	w5170
jede	w5171
<g/>
,
die	w5173
an	w5174
dem	w5175
Vermögen	w5176
des	w5177
besagten	w5178
Paul	w5179
Schmid	w5180
sel	w5181
<g/>
.
einige	w5183
Sprüche	w5184
und	w5185
Forderungen	w5186
zu	w5187
machen	w5188
gedenken	w5189
oder	w5190
des=sen	w5191
<g/>
=
Haus	w5193
und	w5194
Sattlergewerb	w5195
samt	w5196
Zugehörde	w5197
durch	w5198
Licitation	w5199
an	w5200
sich	w5201
bringen	w5202
wollen	w5203
<g/>
,
bey	w5205
der	w5206
den	w5207
14	w5208
<g/>
.
Märtz	w5210
dies	w5211
Jahrs	w5212
um	w5213
9	w5214
<g/>
.
Uhr	w5216
Fruhe	w5217
für	w5218
das	w5219
erste	w5220
<g/>
,
zweyte	w5222
<g/>
,
und	w5224
drittemal	w5225
in	w5226
der	w5227
Amts=kanzley	w5228
<g/>
=
zu	w5230
Traiskirchen	w5231
angeordneten	w5232
Convoca=tion	w5233
<g/>
=
<g/>
,
und	w5236
Licitationstagsatzung	w5237
sich	w5238
also	w5239
gewiß	w5240
zu	w5241
melden	w5242
<g/>
,
und	w5244
ihre	w5245
Forderungen	w5246
zu	w5247
berichti=gen	w5248
<g/>
=
haben	w5250
<g/>
:
als	w5252
im	w5253
widrigen	w5254
dem	w5255
verabsaumen=den	w5256
<g/>
=
das	w5258
ewige	w5259
Stillschweigen	w5260
auferlegt	w5261
<g/>
,
und	w5263
was	w5264
rechtens	w5265
ist	w5266
vorgekehret	w5267
werden	w5268
solle	w5269
<g/>
.
</p>
<p id="p56">
Es	w5271
wird	w5272
dem	w5273
Publico	w5274
bekannt	w5275
gemacht	w5276
<g/>
,
daß	w5278
den	w5279
1	w5280
Martii	w5281
a	w5282
<g/>
.
c	w5284
<g/>
.
die	w5286
große	w5287
und	w5288
schöne	w5289
manna=gettische	w5290
<g/>
=
Bibliothek	w5292
<g/>
,
welche	w5294
die	w5295
besten	w5296
Autores	w5297
von	w5298
allen	w5299
Facultäten	w5300
und	w5301
Sprachen	w5302
enthält	w5303
<g/>
,
li=citando	w5305
<g/>
=
verkauft	w5307
wird	w5308
<g/>
,
in	w5310
der	w5311
Kärntnerstrasse	w5312
in	w5313
dem	w5314
mannagettischen	w5315
Stifthaus	w5316
<g/>
,
oder	w5318
bey	w5319
dem	w5320
sogenannten	w5321
silbernen	w5322
Becher	w5323
<g/>
,
im	w5325
ersten	w5326
Stock	w5327
<g/>
.
Der	w5329
Catalogus	w5330
ist	w5331
auf	w5332
der	w5333
hohen	w5334
Brucken	w5335
in	w5336
der	w5337
Buchhandlung	w5338
zum	w5339
goldenen	w5340
Vließ	w5341
gratis	w5342
zu	w5343
be=kommen	w5344
<g/>
=
<g/>
.
</p>
<p id="p57">
Wir	w5347
Burgermeister	w5348
und	w5349
Rath	w5350
der	w5351
Stadt	w5352
Wien	w5353
<g/>
,
