<doc id="wr_1757-10-26" attrs="word" year="1757" month="10" day="26" corpus="2">
<head id="h2_d190e3644">
Zarskoje=Selo	w1_d190e3648
führen.	w5_d190e10896
Das	w7_d190e10899
neben	w9_d190e10902
dem	w11_d190e10905
soge	w13_d190e10909
nannten	w1_d190e10914
Schützen=pfuhl	w3_d190e10917
angelegte	w5_d190e10920
grosse	w7_d190e10923
Magazin,	w1_d190e10928
welches	w3_d190e10931
die	w5_d190e10934
hiesige	w7_d190e10937
Stadt	w9_d190e10940
unlängst	w11_d190e10943
errichten	w1_d190e10948
lassen,	w3_d190e10951
ist	w5_d190e10954
nunmehro	w7_d190e10957
fertig,	w9_d190e10960
und	w11_d190e10963
es	w13_d190e10967
wird	w1_d190e10973
täglich	w3_d190e10976
viel	w5_d190e10979
Heu	w7_d190e10982
in	w9_d190e10985
dasselbe	w11_d190e10988
geliefert,	w13_d190e10992
welches	w1_d190e10997
die	w3_d190e11000
Juden	w5_d190e11003
in	w7_d190e11006
dem	w9_d190e11009
Maynz	w11_d190e11012
und	w13_d190e11016
Darm	w15_d190e11019
städtischen	w1_d190e11024
aufkauffen.	w3_d190e11027
Aus	w5_d190e11030
dem	w7_d190e11033
Heßischen	w9_d190e11036
darfen	w1_d190e11041
keine	w3_d190e11044
Früchte	w5_d190e11047
in	w7_d190e11050
dieses	w9_d190e11053
Magazin	w11_d190e11056
ge	w13_d190e11060
</p>
<p id="p10_d190e11073">
kauft	w1_d190e11077
werden,	w3_d190e11080
weil	w5_d190e11083
solche	w7_d190e11086
von	w9_d190e11089
den	w11_d190e11092
Franzo	w13_d190e11096
sen	w1_d190e11101
taxiret	w3_d190e11104
sind.	w5_d190e11107
</p>
<head id="h2_d190e11113">
Amsterdam	w1_d190e11117
10.	w3_d190e11120
October.	w5_d190e11123
</head>
<p id="p4_d190e11126">
So	w1_d190e11130
groß	w3_d190e11133
in	w5_d190e11136
England	w7_d190e11139
die	w9_d190e11142
Aufmerksam	w11_d190e11145
keit	w1_d190e11150
ist,	w3_d190e11153
was	w5_d190e11156
die	w7_d190e11159
Flotte	w9_d190e11162
des	w11_d190e11165
Admirals	w13_d190e11169
Hawcke	w15_d190e11172
noch	w1_d190e11177
weiter	w3_d190e11180
vornehmen	w5_d190e11183
werde,	w7_d190e11186
so	w9_d190e11189
sparsam	w11_d190e11192
lauf	w13_d190e11196
fen	w1_d190e11202
hievon	w3_d190e11205
in	w5_d190e11208
diesem	w7_d190e11211
Königreiche	w9_d190e11214
Nachrichten	w11_d190e11217
ein.	w1_d190e11222
Jndessen	w3_d190e11225
betreibt	w5_d190e11228
man	w7_d190e11231
die	w9_d190e11234
Anstalten	w11_d190e11237
zur	w13_d190e11241
Fortsetzung	w1_d190e11246
des	w3_d190e11249
Krieges	w5_d190e11252
unaufhörlich.	w7_d190e11255
Auf	w9_d190e11258
der	w1_d190e11263
Themse	w3_d190e11266
werden	w5_d190e11269
verschiedene	w7_d190e11272
Fregaten	w9_d190e11275
von	w11_d190e11278
28.	w1_d190e11284
bis	w3_d190e11287
36.	w5_d190e11290
Canonen	w7_d190e11293
angelegt,	w9_d190e11296
um	w11_d190e11299
näch	w13_d190e11303
stens	w1_d190e11308
gebraucht	w3_d190e11311
zu	w5_d190e11314
werden.	w7_d190e11317
Die	w9_d190e11320
nach	w11_d190e11323
Ame	w13_d190e11327
rica	w1_d190e11332
ausgeloffene	w3_d190e11335
Fregatte	w5_d190e11338
soll	w7_d190e11341
dem	w9_d190e11344
Admi	w11_d190e11347
ral	w1_d190e11352
Holbourne	w3_d190e11355
die	w5_d190e11358
ausdrückliche	w7_d190e11361
Befehle	w9_d190e11364
überbringen,	w1_d190e11370
die	w3_d190e11373
Französische	w5_d190e11376
Flotte	w7_d190e11379
anzu	w9_d190e11382
greiffen,	w1_d190e11387
und	w3_d190e11390
sie	w5_d190e11393
ja	w7_d190e11396
nicht	w9_d190e11399
unangefochten	w11_d190e11402
nach	w13_d190e11406
Europa	w1_d190e11411
zurückkehren	w3_d190e11414
zu	w5_d190e11417
lassen.	w7_d190e11420
Einige	w9_d190e11423
Eng	w11_d190e11426
ländische	w1_d190e11431
Kaper	w3_d190e11434
sind	w5_d190e11437
der	w7_d190e11440
Französischen	w9_d190e11443
Obser	w11_d190e11446
vations=escadre	w1_d190e11452
im	w3_d190e11455
Canal	w5_d190e11458
in	w7_d190e11461
die	w9_d190e11464
Hände	w11_d190e11467
ge	w13_d190e11471
loffen,	w1_d190e11476
und	w3_d190e11479
im	w5_d190e11482
Norwegischen	w7_d190e11485
Meer	w9_d190e11488
so	w11_d190e11491
wol,	w1_d190e11496
als	w3_d190e11499
in	w5_d190e11502
denen	w7_d190e11505
Americanischen	w9_d190e11508
Gewäs	w11_d190e11511
sern,	w1_d190e11516
wie	w3_d190e11519
auch	w5_d190e11522
im	w7_d190e11525
Angesicht	w9_d190e11528
der	w11_d190e11531
Temse,	w13_d190e11535
ha	w15_d190e11538
ben	w1_d190e11544
ihre	w3_d190e11547
Kapers	w5_d190e11550
verschiedene	w7_d190e11553
beträchtliche	w9_d190e11556
Prisen	w1_d190e11561
gemacht.	w3_d190e11564
</p>
<head id="h2_d190e11570">
Wien	w1_d190e11574
26.	w3_d190e11577
Octob.	w5_d190e11580
1757.	w7_d190e11583
</head>
<p id="p4_d190e11586">
Jonntags	w1_d190e11590
den	w3_d190e11593
23.	w5_d190e11596
dieses	w7_d190e11599
vormittags	w9_d190e11602
ha	w11_d190e11605
ben	w1_d190e11610
Jhre	w3_d190e11613
Majestät	w5_d190e11616
die	w7_d190e11619
Kaiserin	w9_d190e11622
Unsere	w11_d190e11625
allergnädigste	w1_d190e11630
Frau	w3_d190e11633
mit	w5_d190e11636
der	w7_d190e11639
Durchleuchtig	w9_d190e11642
sten	w1_d190e11648
Königl.	w3_d190e11651
Prinzeßin	w5_d190e11654
und	w7_d190e11657
Erz=herzogin	w9_d190e11660
Maria	w1_d190e11665
Christina	w3_d190e11668
Königl.	w5_d190e11671
Hoheit	w7_d190e11674
dem	w9_d190e11677
GOt	w11_d190e11680
tes=dienst	w1_d190e11685
in	w3_d190e11688
der	w5_d190e11691
Schloß=kapelle	w7_d190e11694
zu	w9_d190e11697
Schönbrunn	w11_d190e11700
offentlich	w1_d190e11705
beygewohnet.	w3_d190e11708
</p>
<p id="p6_d190e11711">
Montags	w1_d190e11715
den	w3_d190e11718
24.	w5_d190e11721
Vormittags	w7_d190e11724
haben	w9_d190e11727
auch	w11_d190e11730
erst=erwehnt=Durchl.	w1_d190e11735
Königl.	w3_d190e11738
Prinzeßin	w5_d190e11741
und	w7_d190e11744
Erz=herzogin	w1_d190e11749
Maria	w3_d190e11752
Christina	w5_d190e11755
Königl.	w7_d190e11758
Ho	w9_d190e11761
heit	w1_d190e11767
das	w3_d190e11770
Sommer=schloß	w5_d190e11773
Schönbrunn	w7_d190e11776
ver	w9_d190e11779
lassen,	w1_d190e11784
und	w3_d190e11787
die	w5_d190e11790
Winter=zimmer	w7_d190e11793
in	w9_d190e11796
der	w11_d190e11799
Kaiserl.	w13_d190e11803
Königl.	w1_d190e11808
Burg	w3_d190e11811
bezogen,	w5_d190e11814
und	w7_d190e11817
befinden	w9_d190e11820
sich	w11_d190e11823
nun	w13_d190e11827
die	w1_d190e11832
gesammt	w3_d190e11835
Durchl.	w5_d190e11838
junge	w7_d190e11841
Herrschaften	w9_d190e11844
in	w11_d190e11847
der	w1_d190e11853
alhiesigen	w3_d190e11856
Burg.	w5_d190e11859
</p>
<p id="p8_d190e11862">
Eben	w1_d190e11866
diesen	w3_d190e11869
Vormittags	w5_d190e11872
nach	w7_d190e11875
11.	w9_d190e11878
Uhr,	w11_d190e11881
seynd	w1_d190e11886
Se.	w3_d190e11889
Majestät	w5_d190e11892
der	w7_d190e11895
Kaiser,	w9_d190e11898
mit	w11_d190e11901
des	w13_d190e11905
Durchl	w1_d190e11910
Königl.	w3_d190e11913
Prinzens	w5_d190e11916
und	w7_d190e11919
Erz=herzogens	w9_d190e11922
Joseph	w1_d190e11928
Königl.	w3_d190e11931
Hoheit	w5_d190e11934
von	w7_d190e11937
Schloßhof	w9_d190e11940
hie	w11_d190e11943
her	w1_d190e11948
zurück	w3_d190e11951
gekommen,	w5_d190e11954
und	w7_d190e11957
haben	w9_d190e11960
zu	w11_d190e11963
Mittags	w13_d190e11967
bereits	w1_d190e11972
wieder	w3_d190e11975
zu	w5_d190e11978
Schönbrunn	w7_d190e11981
gespeiset.	w9_d190e11984
</p>
<p id="p10_d190e11987">
Ubrigens	w1_d190e11991
seynd	w3_d190e11994
den	w5_d190e11997
21.	w7_d190e12000
dieses	w9_d190e12003
in	w11_d190e12006
der	w13_d190e12010
Kai	w15_d190e12013
serl.	w1_d190e12018
Königl.	w3_d190e12021
Schloß=kapelle	w5_d190e12024
zu	w7_d190e12027
Schönbrunn	w9_d190e12030
für	w1_d190e12035
die	w3_d190e12038
Hoch=adeliche	w5_d190e12041
Sternkreutzordens	w7_d190e12044
dame	w1_d190e12050
(Tit.)	w3_d190e12053
Frau	w5_d190e12056
Bianca	w7_d190e12059
Gräfin	w9_d190e12062
Richicri	w11_d190e12065
geborne	w1_d190e12070
Gräfin	w3_d190e12073
d'Altani,	w5_d190e12076
welche	w7_d190e12079
unlängst	w9_d190e12082
zu	w11_d190e12085
Görz	w1_d190e12090
dieses	w3_d190e12093
Zeitliche	w5_d190e12096
gesegnet	w7_d190e12099
hat,	w9_d190e12102
die	w11_d190e12105
gewöhn	w13_d190e12109
liche	w1_d190e12114
Exequien	w3_d190e12117
gehalten	w5_d190e12120
worden.	w7_d190e12123
</p>
<p id="p12_d190e12127">
Morgen	w1_d190e12131
wird	w3_d190e12134
der	w5_d190e12137
gesamte	w7_d190e12140
Kaiserl	w9_d190e12143
Königl.	w11_d190e12146
Hof	w1_d190e12151
von	w3_d190e12154
Schönbrunn	w5_d190e12157
herein	w7_d190e12160
kommen,	w9_d190e12163
und	w11_d190e12166
in	w13_d190e12170
der	w1_d190e12175
alhiesigen	w3_d190e12178
Burg	w5_d190e12181
die	w7_d190e12184
Winter=wohnungen	w9_d190e12187
beziehen.	w1_d190e12193
</p>
<p id="p14_d190e12196">
NB.	w1_d190e12200
Jüngst=verflossenen	w3_d190e12203
Mittwoch,	w5_d190e12206
als	w7_d190e12209
den	w1_d190e12214
19.	w3_d190e12217
lauffenden	w5_d190e12220
Monats	w7_d190e12223
October,	w9_d190e12226
ist	w11_d190e12229
die	w13_d190e12233
Ziehung	w1_d190e12238
der	w3_d190e12241
K.	w5_d190e12244
K.	w7_d190e12247
privileg.	w9_d190e12250
Lotterie	w11_d190e12253
in	w13_d190e12257
der	w15_d190e12260
K.	w1_d190e12266
K.	w3_d190e12269
Haupt=stadt	w5_d190e12272
Prag	w7_d190e12275
vorgenommen,	w9_d190e12278
und	w11_d190e12281
die	w1_d190e12286
Nri.	w3_d190e12289
51.	w5_d190e12292
69.	w7_d190e12295
47.	w9_d190e12298
58.	w11_d190e12301
und	w13_d190e12305
89.	w15_d190e12308
mit	w17_d190e12311
vielen	w19_d190e12314
nicht	w1_d190e12319
geringen	w3_d190e12322
Ambi.	w5_d190e12325
erheblichen	w7_d190e12328
Terni,	w9_d190e12331
und	w11_d190e12334
nahmhaften	w1_d190e12339
Extrati	w3_d190e12342
gehoben	w5_d190e12345
worden,	w7_d190e12348
mit	w9_d190e12351
Umgehung	w1_d190e12357
also	w3_d190e12360
aller	w5_d190e12363
andern	w7_d190e12366
beträchtlichen	w9_d190e12369
Gewinne	w1_d190e12374
hat	w3_d190e12377
man	w5_d190e12380
lediglich	w7_d190e12383
mitgeben	w9_d190e12386
wollen,	w11_d190e12389
daß	w1_d190e12394
von	w3_d190e12397
dem	w5_d190e12400
Collectore	w7_d190e12403
sub	w9_d190e12406
No.	w11_d190e12409
4.	w13_d190e12413
Hern	w15_d190e12416
Franz	w1_d190e12421
Haßl	w3_d190e12424
auf	w5_d190e12427
dem	w7_d190e12430
Juden=platz	w9_d190e12433
drey	w11_d190e12436
Terni,	w13_d190e12440
jeder	w1_d190e12446
mit	w3_d190e12449
600.	w5_d190e12452
Duc.	w7_d190e12455
sammt	w9_d190e12458
einer	w11_d190e12461
Quartin	w13_d190e12465
oder	w1_d190e12470
Quaterno	w3_d190e12473
detto.	w5_d190e12476
von	w7_d190e12479
jenem	w9_d190e12482
sub.	w11_d190e12485
No.	w13_d190e12489
29.	w15_d190e12492
Herrn	w1_d190e12497
Johann	w3_d190e12500
Franz	w5_d190e12503
Glogner	w7_d190e12506
auch	w9_d190e12509
einer	w11_d190e12512
mit	w13_d190e12516
eben	w1_d190e12521
600.	w3_d190e12524
Duc.	w5_d190e12527
und	w7_d190e12530
von	w9_d190e12533
dem	w11_d190e12536
sub	w13_d190e12540
No.	w15_d190e12543
59.	w17_d190e12546
Wenzl	w1_d190e12552
Druschitzky	w3_d190e12555
in	w5_d190e12558
der	w7_d190e12561
Leopold=stadt	w9_d190e12564
beym	w11_d190e12567
Bären	w1_d190e12572
ein	w3_d190e12575
Estrato	w5_d190e12578
mit	w7_d190e12581
1792.	w9_d190e12584
Fl.	w11_d190e12587
bezahlet	w13_d190e12591
worden	w1_d190e12596
seyen.	w3_d190e12599
</p>
<p id="p16_d190e12602">
Den	w1_d190e12606
5ten	w3_d190e12609
künftigen	w5_d190e12612
Monats	w7_d190e12615
Nov.	w9_d190e12618
wird	w11_d190e12621
alhier	w1_d190e12626
die	w3_d190e12629
fernere	w5_d190e12632
Ziehung	w7_d190e12635
beschehen.	w9_d190e12638
</p>
<head id="h2_d190e12644">
Lista	w1_d190e12648
deren	w3_d190e12651
Verstorbenen	w5_d190e12654
zu	w7_d190e12657
Wien	w9_d190e12660
in	w1_d190e12665
und	w3_d190e12668
vor	w5_d190e12671
der	w7_d190e12674
Stadt.	w9_d190e12677
Den	w1_d190e12682
21.	w3_d190e12685
Octob.	w5_d190e12688
Jn	w1_d190e12694
der	w3_d190e12697
Stadt.	w5_d190e12700
</head>
<head id="h2_d190e12912">
Vor	w1_d190e12916
der	w3_d190e12919
Stadt.	w5_d190e12922
</head>
<head id="h2_d190e13672">
Summa	w1_d190e13676
19.	w3_d190e13679
Person.	w5_d190e13682
darunter	w7_d190e13685
8.	w9_d190e13688
Kinder.	w11_d190e13691
Den	w1_d190e13696
22.	w3_d190e13699
Octob.	w5_d190e13702
Jn	w1_d190e13707
der	w3_d190e13710
Stadt.	w5_d190e13713
</head>
<head id="h2_d190e14140">
Vor	w1_d190e14144
der	w3_d190e14147
Stadt.	w5_d190e14150
</head>
<head id="h2_d190e14778">
Summa	w1_d190e14782
18.	w3_d190e14785
Person.	w5_d190e14788
darunter	w7_d190e14791
10.	w9_d190e14794
Kinder	w11_d190e14797
Den	w1_d190e14802
23.	w3_d190e14805
Octob.	w5_d190e14808
Jn	w1_d190e14813
der	w3_d190e14816
Stadt.	w5_d190e14819
</head>
<head id="h2_d190e14961">
Vor	w1_d190e14965
der	w3_d190e14968
Stadt.	w5_d190e14971
</head>
<head id="h2_d190e15551">
Summa	w1_d190e15555
13.	w3_d190e15558
Person.,	w5_d190e15561
darunter	w7_d190e15564
10.	w9_d190e15567
Kinder.	w11_d190e15570
Den	w1_d190e15575
24.	w3_d190e15578
Octob.	w5_d190e15581
Jn	w1_d190e15586
der	w3_d190e15589
Stadt.	w5_d190e15592
</head>
<p id="p10_d190e15780">
Dem	w1_d190e15784
Hrn.	w3_d190e15787
Christian	w5_d190e15790
de	w7_d190e15793
Risseau,	w9_d190e15796
Erz=herzogl.	w11_d190e15799
Fecht.	w13_d190e15803
meist.,	w1_d190e15808
s.	w3_d190e15811
Fr.	w5_d190e15814
Anna	w7_d190e15817
Maria,	w9_d190e15820
im	w11_d190e15823
Gollis.	w13_d190e15827
H.	w15_d190e15830
in	w17_d190e15833
der	w19_d190e15836
Weihburg=gas,	w1_d190e15841
alt	w3_d190e15844
44.	w5_d190e15847
J.	w7_d190e15850
</p>
<head id="h2_d190e15857">
Vor	w1_d190e15861
der	w3_d190e15864
Stadt.	w5_d190e15867
</head>
<head id="h2_d190e16376">
Summa	w1_d190e16380
13.	w3_d190e16383
Person,	w5_d190e16386
darunter	w7_d190e16389
6.	w9_d190e16392
Kinder	w11_d190e16395
</head>
<head id="h2_d190e16401">
EDICT.	w1_d190e16405
</head>
<p id="p4_d190e16408">
Von	w1_d190e16412
der	w3_d190e16415
Hochfürstl.	w5_d190e16418
Joseph	w7_d190e16421
Wenzel	w9_d190e16424
Liech	w11_d190e16427
tensteinischen	w1_d190e16432
Herrschaft	w3_d190e16435
Wilferstorf	w5_d190e16438
wird	w7_d190e16441
hiemit	w1_d190e16446
denen	w3_d190e16449
nach	w5_d190e16452
Wayl.	w7_d190e16455
Tobiä	w9_d190e16458
Jgnatii	w11_d190e16461
Sartori	w1_d190e16467
gewesten	w3_d190e16470
Zettel=einnehmers	w5_d190e16473
an	w7_d190e16476
der	w9_d190e16479
March	w1_d190e16484
und	w3_d190e16487
behausten	w5_d190e16490
Unterthans	w7_d190e16493
in	w9_d190e16496
dem	w11_d190e16499
Hochfürstl.	w1_d190e16504
Liechtensteinischen	w3_d190e16507
Markt	w5_d190e16510
Poy	w7_d190e16513
storff	w1_d190e16518
allbereits	w3_d190e16521
v.	w5_d190e16524
721.	w7_d190e16527
ab	w9_d190e16530
int	w11_d190e16533
stato	w13_d190e16537
hin	w15_d190e16540
terbliebenen	w1_d190e16546
Erben	w3_d190e16549
benanntl.	w5_d190e16552
1.	w7_d190e16555
Dem	w9_d190e16558
Herrn	w11_d190e16561
Thadäo	w1_d190e16566
Sartori	w3_d190e16569
Kaiserl.	w5_d190e16572
Königl.	w7_d190e16575
Maut=amts	w9_d190e16578
Controloren,	w1_d190e16583
zu	w3_d190e16586
Temes	w5_d190e16589
in	w7_d190e16592
Siebenbürgen.	w9_d190e16595
2.	w1_d190e16600
Der	w3_d190e16603
Frauen	w5_d190e16606
Marianä	w7_d190e16609
geborne	w9_d190e16612
Sartorin	w11_d190e16615
nunmehro	w1_d190e16621
Verwittibten	w3_d190e16624
v.	w5_d190e16627
Rogts,	w7_d190e16630
zu	w9_d190e16633
Kut	w11_d190e16636
tina	w1_d190e16641
in	w3_d190e16644
Sclavonien.	w5_d190e16647
3.	w7_d190e16650
Denen	w9_d190e16653
nach	w11_d190e16656
Abster	w13_d190e16660
ben	w1_d190e16665
Johann	w3_d190e16668
Ludwig	w5_d190e16671
Sartori,	w7_d190e16674
gewesten	w9_d190e16677
Kais.	w11_d190e16680
Königl.	w1_d190e16685
Aufschlags=inspectoris	w3_d190e16688
zu	w5_d190e16691
Hochenau.	w7_d190e16694
4.	w1_d190e16700
Weyl.	w3_d190e16703
Joseph	w5_d190e16706
Sartori	w7_d190e16709
gewest	w9_d190e16712
Kais.	w11_d190e16715
Königl.	w1_d190e16720
30er	w3_d190e16723
Einnehmer	w5_d190e16726
zu	w7_d190e16729
Scaliz.	w9_d190e16732
5.	w11_d190e16735
Weyl.	w1_d190e16740
Ferdinand	w3_d190e16743
Sartori	w5_d190e16746
gewest	w7_d190e16749
Kaiserl.	w9_d190e16752
Königl.	w1_d190e16757
Einnehmers	w3_d190e16760
zu	w5_d190e16763
Cronstadt	w7_d190e16766
in	w9_d190e16769
Sieben	w11_d190e16772
bürgen.	w1_d190e16778
6.	w3_d190e16781
Weyl.	w5_d190e16784
Carl	w7_d190e16787
Sartori	w9_d190e16790
gewest,	w11_d190e16793
Kais.	w1_d190e16798
Kön.	w3_d190e16801
Regiments=quartier=meisters	w5_d190e16804
7.	w1_d190e16809
Weyl.	w3_d190e16812
Mariä	w5_d190e16815
Barbarä	w7_d190e16818
verehlicht	w9_d190e16821
ge	w11_d190e16824
westen	w1_d190e16829
Numbergerin	w3_d190e16832
zu	w5_d190e16835
Kuttina	w7_d190e16838
in	w9_d190e16841
Sclavo	w11_d190e16844
nien,	w1_d190e16850
und	w3_d190e16853
endlichen.	w5_d190e16856
8.	w7_d190e16859
Weyl.	w9_d190e16862
Tobiä	w11_d190e16865
Sar	w13_d190e16869
tori	w1_d190e16874
gewest	w3_d190e16877
Kaiserl.	w5_d190e16880
Königl.	w7_d190e16883
Cameral	w9_d190e16886
Pro	w11_d190e16889
visoris	w1_d190e16894
in	w3_d190e16897
Slavonien	w5_d190e16900
ruckgelassenen	w7_d190e16903
Kindern,	w9_d190e16906
</p>
<p id="p6_d190e16909">
im	w1_d190e16913
Erben	w3_d190e16916
kund,	w5_d190e16919
und	w7_d190e16922
zu	w9_d190e16925
wissen	w11_d190e16928
gemacht:	w13_d190e16932
wel	w15_d190e16935
cher	w1_d190e16940
gestalten	w3_d190e16943
die	w5_d190e16946
nach	w7_d190e16949
Weyl.	w9_d190e16952
Joseph	w11_d190e16955
Sar	w13_d190e16959
tori	w1_d190e16964
hinterbliebene	w3_d190e16967
Wittib	w5_d190e16970
Elisabeth	w7_d190e16973
nun	w9_d190e16976
mehro	w1_d190e16982
verehlichte	w3_d190e16985
Auerin	w5_d190e16988
pprio.	w7_d190e16991
&	w9_d190e16994
Pro-	w11_d190e16997
lium	w1_d190e17002
nomine	w3_d190e17005
um	w5_d190e17008
die	w7_d190e17011
Abhandlung	w9_d190e17014
vorge	w11_d190e17017
dachter	w1_d190e17022
Tobiä	w3_d190e17025
Jgnatz	w5_d190e17028
Sartorischen	w7_d190e17031
Verlas	w9_d190e17034
senschafts	w1_d190e17039
sowol	w3_d190e17042
Schrift	w5_d190e17045
als	w7_d190e17048
mündlichen	w9_d190e17051
an	w11_d190e17054
gelanget	w1_d190e17060
habe;	w3_d190e17063
da	w5_d190e17066
nun	w7_d190e17069
in	w9_d190e17072
derselben	w11_d190e17075
Begeh	w13_d190e17079
ren	w1_d190e17084
gewilliget,	w3_d190e17087
und	w5_d190e17090
zu	w7_d190e17093
dem	w9_d190e17096
Ende	w11_d190e17099
des	w13_d190e17103
19.	w15_d190e17106
April	w1_d190e17111
nächst	w3_d190e17114
kommenden	w5_d190e17117
1758.	w7_d190e17120
Jahrs	w9_d190e17123
fruhe	w11_d190e17126
um	w1_d190e17131
9.	w3_d190e17134
Uhr	w5_d190e17137
in	w7_d190e17140
der	w9_d190e17143
Hochfürstl.	w11_d190e17146
Liechtensteinl.	w13_d190e17150
Wilferstorfer=Amts=canzley	w1_d190e17156
zu	w3_d190e17159
erscheinen	w5_d190e17162
be	w7_d190e17165
stimmet,	w1_d190e17170
derowillen	w3_d190e17173
auch	w5_d190e17176
die	w7_d190e17179
übrige	w9_d190e17182
Erbs	w11_d190e17185
interessenten	w1_d190e17190
ihres	w3_d190e17193
unbekannten	w5_d190e17196
Aufent	w7_d190e17199
halts=halber	w1_d190e17204
Edictaliter	w3_d190e17207
vorzuforderen,	w5_d190e17210
für	w1_d190e17216
nöhtig	w3_d190e17219
befunden	w5_d190e17222
worden	w7_d190e17225
ist,	w9_d190e17228
als	w11_d190e17231
werden	w13_d190e17235
eingangs	w1_d190e17240
gedachte	w3_d190e17243
Weyl.	w5_d190e17246
Tobiä	w7_d190e17249
Jgnatii	w9_d190e17252
Sartorl.	w1_d190e17257
Erben,	w3_d190e17260
an	w5_d190e17263
obbestimmten	w7_d190e17266
Tag	w9_d190e17269
und	w11_d190e17272
Stund	w1_d190e17277
in	w3_d190e17280
der	w5_d190e17283
Amts=canzley	w7_d190e17286
zu	w9_d190e17289
Wilfer	w11_d190e17292
storf	w1_d190e17298
entweder	w3_d190e17301
Persönlich,	w5_d190e17304
oder	w7_d190e17307
durch	w9_d190e17310
ge	w11_d190e17313
nugsame	w1_d190e17318
bevollmächtigte	w3_d190e17321
also	w5_d190e17324
gewiß	w7_d190e17327
zu	w9_d190e17330
er	w11_d190e17333
scheinen,	w1_d190e17338
und	w3_d190e17341
sich	w5_d190e17344
als	w7_d190e17347
wahre	w9_d190e17350
Erbens=erben	w11_d190e17353
mittelst	w1_d190e17358
deren	w3_d190e17361
erforderlichen	w5_d190e17364
Documenten,	w7_d190e17367
und	w1_d190e17373
Zeugenschaften	w3_d190e17376
zu	w5_d190e17379
legitimiren	w7_d190e17382
haben,	w9_d190e17385
wie	w1_d190e17390
im	w3_d190e17393
widrigen	w5_d190e17396
diese	w7_d190e17399
Verlassenschafts	w9_d190e17402
mit	w11_d190e17405
ihr	w1_d190e17410
Elisabeth	w3_d190e17413
verwittibten	w5_d190e17416
Sartorin,	w7_d190e17419
nun	w9_d190e17422
mehro	w1_d190e17427
verehlichten	w3_d190e17430
Auerin	w5_d190e17433
proprio	w7_d190e17436
&	w9_d190e17439
Pro-	w11_d190e17442
lium	w1_d190e17448
nomine	w3_d190e17451
ex	w5_d190e17454
officio	w7_d190e17457
abgehandlet,	w9_d190e17460
der	w11_d190e17463
abwesende	w1_d190e17468
Theil	w3_d190e17471
aber	w5_d190e17474
von	w7_d190e17477
dem	w9_d190e17480
zu	w11_d190e17483
derer	w13_d190e17487
Ver	w15_d190e17490
trettung	w1_d190e17495
auf	w3_d190e17498
ihre	w5_d190e17501
Unkösten,	w7_d190e17504
und	w9_d190e17507
gegen	w11_d190e17510
Rem-	w13_d190e17514
uneration	w1_d190e17519
ex	w3_d190e17522
officio	w5_d190e17525
aufgestelten	w7_d190e17528
Herrn	w9_d190e17531
Curatore	w1_d190e17537
ad	w3_d190e17540
actum	w5_d190e17543
Joseph	w7_d190e17546
Holländer	w9_d190e17549
dermahligen	w1_d190e17554
Markt=schreiber	w3_d190e17557
zu	w5_d190e17560
Mistelbach	w7_d190e17563
vertheidiget,	w1_d190e17568
sohin	w3_d190e17571
was	w5_d190e17574
rechtens	w7_d190e17577
ist,	w9_d190e17580
vorge	w11_d190e17583
kehret,	w1_d190e17588
und	w3_d190e17591
erkennet	w5_d190e17594
werden	w7_d190e17597
solle.	w9_d190e17600
Actum	w11_d190e17603
Wilferstorf	w1_d190e17609
den	w3_d190e17612
6.	w5_d190e17615
Sept.	w7_d190e17618
1757.	w9_d190e17621
</p>
<p id="p8_d190e17624">
Es	w1_d190e17628
seynd	w3_d190e17631
altäglich	w5_d190e17634
alte	w7_d190e17637
Weine	w9_d190e17640
von	w11_d190e17643
un	w13_d190e17647
terschiedlichen	w1_d190e17652
Jahren,	w3_d190e17655
Krizendorfferge	w5_d190e17658
wächs,	w1_d190e17663
zu	w3_d190e17666
verkauffen,	w5_d190e17669
wer	w7_d190e17672
also	w9_d190e17675
einige	w11_d190e17678
an	w13_d190e17682
sich	w15_d190e17685
zu	w1_d190e17691
bringen	w3_d190e17694
gedenket,	w5_d190e17697
der	w7_d190e17700
hat	w9_d190e17703
sich	w11_d190e17706
auf	w13_d190e17710
der	w15_d190e17713
Laim	w17_d190e17716
gruben	w1_d190e17721
in	w3_d190e17724
Blümel=macherischen	w5_d190e17727
Haus	w7_d190e17730
im	w9_d190e17733
3.	w11_d190e17736
Stock	w1_d190e17741
beym	w3_d190e17744
Haus=herrn	w5_d190e17747
anzumelden.	w7_d190e17750
</p>
<head id="h2_d190e17756">
EDICT.	w1_d190e17760
</head>
<p id="p4_d190e17763">
Von	w1_d190e17767
des	w3_d190e17770
Kaiserl.	w5_d190e17773
Königl.	w7_d190e17776
Judicii	w9_d190e17779
Delegati	w11_d190e17782
Mi	w1_d190e17787
itaris	w3_d190e17790
mixti	w5_d190e17793
in	w7_d190e17796
dem	w9_d190e17799
Erz=herzogtum	w11_d190e17802
Oesterreich,	w1_d190e17807
unter	w3_d190e17810
und	w5_d190e17813
ob	w7_d190e17816
der	w9_d190e17819
Enns	w11_d190e17822
wegen,	w13_d190e17826
wird	w1_d190e17832
durch	w3_d190e17835
dieses	w5_d190e17838
offentliche	w7_d190e17841
Edict	w9_d190e17844
jermän	w11_d190e17847
</p>
<p id="p10_d190e17860">
