<doc id="wr_1756-01-31" attrs="word" year="1756" month="01" day="31" corpus="2">
<head id="h2_d9e2606">
Belem	w1_d9e2610
an	w7_d9e9993
5.	w9_d9e9996
Tafeln	w11_d9e9999
gehal	w13_d9e10003
ten.	w1_d9e10008
Eben	w3_d9e10011
des	w5_d9e10014
Tages	w7_d9e10017
kam	w9_d9e10020
der	w11_d9e10023
Generalma	w13_d9e10027
jor	w1_d9e10032
von	w3_d9e10035
der	w5_d9e10038
Cavallerie,	w7_d9e10041
und	w9_d9e10044
Chef	w11_d9e10047
eines	w13_d9e10051
Dra	w15_d9e10054
goner=regiments,	w1_d9e10060
Herr	w3_d9e10063
von	w5_d9e10066
Normann,	w7_d9e10069
aus	w1_d9e10074
Wriezen	w3_d9e10077
an	w5_d9e10080
der	w7_d9e10083
Oder	w9_d9e10086
alhier	w11_d9e10089
an.	w13_d9e10093
Ge	w15_d9e10096
stern	w1_d9e10101
vormittags,	w3_d9e10104
erhube	w5_d9e10107
sich	w7_d9e10110
der	w9_d9e10113
König,	w11_d9e10116
in	w13_d9e10120
dessen	w1_d9e10125
Phaeton,	w3_d9e10128
und	w5_d9e10131
in	w7_d9e10134
Begleitung	w9_d9e10137
des	w11_d9e10140
Prin	w13_d9e10144
len.	w1_d9e10150
Mit	w3_d9e10153
vieler	w5_d9e10156
Verwunderung	w7_d9e10159
hat	w9_d9e10162
man	w11_d9e10165
er	w13_d9e10169
zens	w15_d9e10172
Ferdinands	w17_d9e10175
von	w19_d9e10178
Braunschweig,	w21_d9e10181
wie	w23_d9e10184
auch	w1_d9e10189
des	w3_d9e10192
Fürstens	w5_d9e10195
Moriz	w7_d9e10198
von	w9_d9e10201
Anhalt=bessau,	w11_d9e10204
in	w1_d9e10209
die	w3_d9e10212
breite	w5_d9e10215
Strasse,	w7_d9e10218
auf	w9_d9e10221
den	w11_d9e10224
Stall=platz,	w13_d9e10228
alwo	w1_d9e10233
derselbe	w3_d9e10236
die	w5_d9e10239
Rüst=kammer	w7_d9e10242
besahe.	w9_d9e10245
Der	w11_d9e10248
König	w1_d9e10254
begabe	w3_d9e10257
sich	w5_d9e10260
so	w7_d9e10263
dann	w9_d9e10266
in	w11_d9e10269
das	w13_d9e10273
hiesige	w15_d9e10276
Zeug=haus,	w1_d9e10281
welches	w3_d9e10284
Er	w5_d9e10287
ebenfalls	w7_d9e10290
in	w9_d9e10293
Au	w11_d9e10296
genschein	w1_d9e10301
nahme.	w3_d9e10304
Zu	w5_d9e10307
Mittage	w7_d9e10310
speiseten	w9_d9e10313
der	w1_d9e10318
König,	w3_d9e10321
die	w5_d9e10324
Königin,	w7_d9e10327
und	w9_d9e10330
die	w11_d9e10333
Königl.	w13_d9e10337
Fran	w1_d9e10343
Mutter,	w3_d9e10346
nebst	w5_d9e10349
dem	w7_d9e10352
Königl.	w9_d9e10355
Hause,	w11_d9e10358
in	w13_d9e10362
denen	w1_d9e10367
Apartements	w3_d9e10370
der	w5_d9e10373
Königin	w7_d9e10376
auf	w9_d9e10379
dem	w11_d9e10382
gol	w13_d9e10386
denen	w1_d9e10391
Servise.	w3_d9e10394
Nachmittags	w5_d9e10397
um	w7_d9e10400
4.	w9_d9e10403
Uhr,	w11_d9e10406
hatte	w1_d9e10411
der	w3_d9e10414
Königl.	w5_d9e10417
Französische	w7_d9e10420
ausserordent	w9_d9e10423
liche	w1_d9e10429
Ambassedenr	w3_d9e10432
Herzog	w5_d9e10435
von	w7_d9e10438
Niverwwis	w9_d9e10441
bey	w1_d9e10446
dem	w3_d9e10449
König,	w5_d9e10452
der	w7_d9e10455
Königin,	w9_d9e10458
und	w11_d9e10461
der	w13_d9e10465
Kö	w15_d9e10468
nigl	w1_d9e10473
Frau	w3_d9e10476
Mutter	w5_d9e10479
Audienz,	w7_d9e10482
wozu	w9_d9e10485
er	w11_d9e10488
von	w13_d9e10492
dem	w15_d9e10495
würklichen	w1_d9e10500
geheimen	w3_d9e10503
StaatsKriegs	w5_d9e10506
und	w7_d9e10509
er	w9_d9e10512
sten	w1_d9e10518
Cabinets=minister,	w3_d9e10521
Herrn	w5_d9e10524
Grafen	w7_d9e10527
von	w9_d9e10530
</p>
<p id="p10_d9e10543">
Bederish	w1_d9e10547
ngessettendrn.	w3_d9e10550
Beygn	w5_d9e10553
Alumd	w7_d9e10556
Rleden	w1_d9e10561
die	w3_d9e10564
Dey	w5_d9e10567
altenrs	w7_d9e10570
auff	w9_d9e10573
dem	w11_d9e10576
Schlote	w13_d9e10580
schausplatze	w1_d9e10585
die	w3_d9e10588
Französische	w5_d9e10591
Comödie,	w7_d9e10594
Homme	w1_d9e10600
singulier	w3_d9e10603
betitult,	w5_d9e10606
auf.	w7_d9e10609
</p>
<head id="h2_d9e10615">
Frankfort	w1_d9e10619
19.	w3_d9e10622
Jan.	w5_d9e10625
</head>
<p id="p4_d9e10628">
Jn	w1_d9e10632
der	w3_d9e10635
abgewichenen	w5_d9e10638
Nacht	w7_d9e10641
seynd	w9_d9e10644
2.	w11_d9e10647
Cur	w13_d9e10651
riers	w1_d9e10656
hier	w3_d9e10659
durch	w5_d9e10662
nach	w7_d9e10665
Wien	w9_d9e10668
und	w11_d9e10671
Rom	w13_d9e10675
gegan	w15_d9e10678
gen,	w1_d9e10683
welche	w3_d9e10686
die	w5_d9e10689
betrübte	w7_d9e10692
Zeitring	w9_d9e10695
dahin	w11_d9e10698
über	w13_d9e10702
bringen,	w1_d9e10708
daß	w3_d9e10711
es	w5_d9e10714
dem	w7_d9e10717
Allerhöchsten	w9_d9e10720
gefallen,	w11_d9e10723
am	w1_d9e10728
gestrigen	w3_d9e10731
Tage	w5_d9e10734
seine	w7_d9e10737
Chur=fürstl.	w9_d9e10740
Gna	w11_d9e10743
den	w1_d9e10748
von	w3_d9e10751
Trier	w5_d9e10754
nach	w7_d9e10757
einer	w9_d9e10760
schmerzhaften	w11_d9e10763
Krank	w13_d9e10767
heit	w1_d9e10772
in	w3_d9e10775
dem	w5_d9e10778
74sten	w7_d9e10781
Jahr	w9_d9e10784
Dero	w11_d9e10787
Ruhm=vollen	w13_d9e10791
Alters	w1_d9e10797
von	w3_d9e10800
dieser	w5_d9e10803
Zeitlichkeit	w7_d9e10806
aufzulösen.	w9_d9e10809
Die	w11_d9e10812
vortrefliche	w1_d9e10817
Eigenschaften	w3_d9e10820
dieses	w5_d9e10823
Herrns	w7_d9e10826
seynd	w9_d9e10829
Welt=bekannt,	w1_d9e10834
und	w3_d9e10837
daß	w5_d9e10840
er	w7_d9e10843
ein	w9_d9e10846
guter	w11_d9e10849
Christ,	w13_d9e10853
ein	w1_d9e10858
löblicher	w3_d9e10861
Regent,	w5_d9e10864
ein	w7_d9e10867
kluger	w9_d9e10870
Staats	w11_d9e10873
mann,	w1_d9e10879
und	w3_d9e10882
ein	w5_d9e10885
gründlicher	w7_d9e10888
Gelehrter	w9_d9e10891
gewe	w11_d9e10894
sen.	w1_d9e10899
Er	w3_d9e10902
war	w5_d9e10905
den	w7_d9e10908
17.	w9_d9e10911
Jun.	w11_d9e10914
1682.	w13_d9e10918
geboren	w15_d9e10921
und	w1_d9e10926
seit	w3_d9e10929
1729.	w5_d9e10932
hat	w7_d9e10935
er	w9_d9e10938
die	w11_d9e10941
Chur=fürstliche	w13_d9e10945
Würde	w1_d9e10950
mit	w3_d9e10953
dem	w5_d9e10956
höchsten	w7_d9e10959
Ruhm	w9_d9e10962
bekleidet.	w11_d9e10965
Vom	w1_d9e10971
10	w3_d9e10974
an,	w5_d9e10977
bis	w7_d9e10980
gestern	w9_d9e10983
hat	w11_d9e10986
er	w13_d9e10990
gleichsam	w15_d9e10993
mit	w1_d9e10998
dem	w3_d9e11001
Tod	w5_d9e11004
gerungen,	w7_d9e11007
den	w9_d9e11010
er	w11_d9e11013
mit	w13_d9e11017
aller	w15_d9e11020
Entsagung	w1_d9e11025
der	w3_d9e11028
Welt	w5_d9e11031
standhaft	w7_d9e11034
erwartet:	w9_d9e11037
wie	w1_d9e11042
er	w3_d9e11045
dann	w5_d9e11048
die	w7_d9e11051
Heil.	w9_d9e11054
Sacramenten	w11_d9e11057
selbst	w13_d9e11061
be	w15_d9e11064
gehret,	w1_d9e11070
selbige	w3_d9e11073
kniend	w5_d9e11076
empfangen,	w7_d9e11079
und	w9_d9e11082
De	w11_d9e11085
ro	w1_d9e11090
ganzen	w3_d9e11093
zusammen	w5_d9e11096
beruffenen	w7_d9e11099
Hof=staat	w9_d9e11102
ungemein	w1_d9e11107
auferbauet.	w3_d9e11110
</p>
<head id="h2_d9e11117">
Franckfort	w1_d9e11121
18.	w3_d9e11124
Januarii.	w5_d9e11127
</head>
<p id="p4_d9e11130">
Die	w1_d9e11134
Straf=gerichte	w3_d9e11137
GOttes,	w5_d9e11140
welche	w7_d9e11143
bis	w9_d9e11146
her	w1_d9e11151
so	w3_d9e11154
viele	w5_d9e11157
Länder	w7_d9e11160
und	w9_d9e11163
Orte	w11_d9e11166
durch	w13_d9e11170
Erdbe	w15_d9e11173
ben	w1_d9e11178
und	w3_d9e11181
Uberschwemmungen	w5_d9e11184
betroffen,	w7_d9e11187
ha	w9_d9e11190
ben	w1_d9e11196
die	w3_d9e11199
ganze	w5_d9e11202
Christenheit	w7_d9e11205
zur	w9_d9e11208
Busse	w11_d9e11211
und	w13_d9e11215
An	w15_d9e11218
dacht	w1_d9e11223
aufgewecket;	w3_d9e11226
Dieselben	w5_d9e11229
seynd	w7_d9e11232
dem	w9_d9e11235
nach	w1_d9e11240
auch	w3_d9e11243
der	w5_d9e11246
einzige	w7_d9e11249
Grund,	w9_d9e11252
daß	w11_d9e11255
auf	w13_d9e11259
Sr.	w15_d9e11262
Chur=fürstl.	w1_d9e11267
Gnaden	w3_d9e11270
zu	w5_d9e11273
Maynz	w7_d9e11276
ausdrukli	w9_d9e11279
chen	w1_d9e11285
Befehl,	w3_d9e11288
das	w5_d9e11291
Erz=bischöfliche	w7_d9e11294
General	w9_d9e11297
vicariat	w1_d9e11302
daselbst,	w3_d9e11305
in	w5_d9e11308
Ansehung	w7_d9e11311
der	w9_d9e11314
Residenz	w11_d9e11317
stadt	w1_d9e11322
Maynz	w3_d9e11325
und	w5_d9e11328
des	w7_d9e11331
ganzen	w9_d9e11334
hohen	w11_d9e11337
Erz=stifts,	w13_d9e11341
unterm	w1_d9e11346
9ten	w3_d9e11349
dieses	w5_d9e11352
die	w7_d9e11355
Verordnung	w9_d9e11358
erlas	w11_d9e11361
sen:	w1_d9e11367
Daß	w3_d9e11370
1.	w5_d9e11373
alle	w7_d9e11376
Pfarrer	w9_d9e11379
und	w11_d9e11382
Prediger	w13_d9e11386
ihre	w1_d9e11391
Zuhörer	w3_d9e11394
zur	w5_d9e11397
reumütigen	w7_d9e11400
Busse	w9_d9e11403
und	w11_d9e11406
Le	w13_d9e11410
bens=besserung,	w1_d9e11415
auch	w3_d9e11418
verrichtung	w5_d9e11421
Christlicher	w7_d9e11424
guten	w1_d9e11429
Werke,	w3_d9e11432
annahmen.	w5_d9e11435
2.	w7_d9e11438
Nach	w9_d9e11441
der	w11_d9e11444
Pre	w13_d9e11448
dig	w1_d9e11454
gewisse	w3_d9e11457
Gebette	w5_d9e11460
ablesen,	w7_d9e11463
und	w9_d9e11466
am	w11_d9e11469
Al	w13_d9e11473
tar,	w1_d9e11478
neben	w3_d9e11481
denen	w5_d9e11484
täglich	w7_d9e11487
vorkommenden	w9_d9e11490
Col	w11_d9e11493
lecten,	w1_d9e11498
noch	w3_d9e11501
eine	w5_d9e11504
andere,	w7_d9e11507
nämlich:	w9_d9e11510
Inesta-	w11_d9e11513
bilem	w1_d9e11518
misericordiam	w3_d9e11521
Tuam,	w5_d9e11524
&c.	w7_d9e11527
einle	w9_d9e11530
gen,	w1_d9e11536
und	w3_d9e11539
3.	w5_d9e11542
in	w7_d9e11545
dem	w9_d9e11548
ganzen	w11_d9e11551
hohen	w13_d9e11555
Erz=stift	w15_d9e11558
mit	w1_d9e11563
Bestimmung	w3_d9e11566
der	w5_d9e11569
Gebette	w7_d9e11572
und	w9_d9e11575
heiligen	w11_d9e11578
</p>
<p id="p6_d9e11581">
Kirchen=gebräuche,	w1_d9e11585
vom	w3_d9e11588
12.	w5_d9e11591
Jenner	w7_d9e11594
bis	w9_d9e11597
zum	w11_d9e11600
28sten	w1_d9e11605
Februarii	w3_d9e11608
besondere	w5_d9e11611
Bett=stunden	w7_d9e11614
hal	w9_d9e11617
ten	w1_d9e11622
sollen.	w3_d9e11625
Da	w5_d9e11628
nun	w7_d9e11631
bereits	w9_d9e11634
in	w11_d9e11637
der	w13_d9e11641
Chin	w15_d9e11644
fürstl.	w1_d9e11650
Residenz	w3_d9e11653
mit	w5_d9e11656
diesen	w7_d9e11659
Andachtsubun	w9_d9e11662
gen	w1_d9e11667
der	w3_d9e11670
erbaulichste	w5_d9e11673
Anfang	w7_d9e11676
gemacht	w9_d9e11679
wor	w11_d9e11682
den;	w1_d9e11687
als	w3_d9e11690
wird	w5_d9e11693
auch	w7_d9e11696
die	w9_d9e11699
hiesige	w11_d9e11702
Catholische	w13_d9e11706
Geistlichkeit	w1_d9e11711
und	w3_d9e11714
Gemeinde,	w5_d9e11717
obiger	w7_d9e11720
heilsa	w9_d9e11723
men	w1_d9e11729
Verordnung	w3_d9e11732
und	w5_d9e11735
Vorgang	w7_d9e11738
zu	w9_d9e11741
Folge,	w11_d9e11744
Morgen	w1_d9e11749
Nachmittags	w3_d9e11752
um	w5_d9e11755
4.	w7_d9e11758
Uhr	w9_d9e11761
die	w11_d9e11764
in	w13_d9e11768
6.	w15_d9e11771
Kirchen	w1_d9e11776
aus	w3_d9e11779
und	w5_d9e11782
eingetheilte	w7_d9e11785
tägliche	w9_d9e11788
Bett	w11_d9e11791
stunden	w1_d9e11796
zu	w3_d9e11799
halten	w5_d9e11802
anfangen,	w7_d9e11805
und	w9_d9e11808
bis	w11_d9e11811
auf	w13_d9e11815
die	w1_d9e11821
anberaumte	w3_d9e11824
Zeit	w5_d9e11827
unausgesezt	w7_d9e11830
damit	w9_d9e11833
fortfahren.	w1_d9e11838
</p>
<head id="h2_d9e11844">
Wien	w1_d9e11848
den	w3_d9e11851
31.	w5_d9e11854
Januarii	w7_d9e11857
1756.	w9_d9e11860
</head>
<p id="p4_d9e11863">
MJttwoch	w1_d9e11867
den	w3_d9e11870
28.	w5_d9e11873
Januarii	w7_d9e11876
ist	w9_d9e11879
der	w11_d9e11882
28	w1_d9e11887
GOttes=dienst	w3_d9e11890
in	w5_d9e11893
der	w7_d9e11896
Kammerka	w9_d9e11899
pellen	w1_d9e11904
sowol	w3_d9e11907
Vor	w5_d9e11910
als	w7_d9e11913
Nachmittags	w9_d9e11916
in	w11_d9e11919
Ge	w13_d9e11923
genwart	w1_d9e11929
Allerhöchsten	w3_d9e11932
Herrschaften	w5_d9e11935
gehalten	w7_d9e11938
worden.	w1_d9e11943
</p>
<p id="p6_d9e11946">
Donnerstag	w1_d9e11950
den	w3_d9e11953
29.	w5_d9e11956
Januarii,	w7_d9e11959
haben	w9_d9e11962
Beede	w1_d9e11967
Kaiserl.	w3_d9e11970
Majestäten	w5_d9e11973
mit	w7_d9e11976
Jhren	w9_d9e11979
Königl.	w11_d9e11982
Hoheiten	w1_d9e11987
denen	w3_d9e11990
älteren	w5_d9e11993
Durchleuchtigsten	w7_d9e11996
Erz=herzoginnen	w1_d9e12002
Sich	w3_d9e12005
in	w5_d9e12008
das	w7_d9e12011
Frauen=klostet	w9_d9e12014
deren	w1_d9e12019
Salesianerinnen	w3_d9e12022
auf	w5_d9e12025
dem	w7_d9e12028
Renn=weg	w9_d9e12031
be	w11_d9e12034
geben,	w1_d9e12039
und	w3_d9e12042
alda	w5_d9e12045
wegen	w7_d9e12048
des	w9_d9e12051
St.	w11_d9e12054
Franciset	w13_d9e12058
Salesii=fest	w1_d9e12063
dem	w3_d9e12066
feyerlichen	w5_d9e12069
GOttes=die	w7_d9e12072
beygewohnet.	w1_d9e12078
Dito	w1_d9e12083
Abends	w3_d9e12086
ware	w5_d9e12089
ein	w7_d9e12092
Kammer=fest	w9_d9e12095
bey	w11_d9e12098
</p>
<p id="p8_d9e12101">
Hof	w1_d9e12105
Freytag	w1_d9e12110
den	w3_d9e12113
30	w5_d9e12116
Januarii	w7_d9e12119
Vor	w9_d9e12122
und	w11_d9e12125
Nach	w13_d9e12129
mittags	w1_d9e12134
ist	w3_d9e12137
das	w5_d9e12140
Wochentliche	w7_d9e12143
Gebett	w9_d9e12146
in	w11_d9e12149
Bey	w13_d9e12153
wohnung	w1_d9e12159
beeder	w3_d9e12162
Kaiserl.	w5_d9e12165
Majestäten,	w7_d9e12168
und	w9_d9e12171
Jhrer	w1_d9e12176
Königl.	w3_d9e12179
Hoheiten	w5_d9e12182
deren	w7_d9e12185
Durchleuch	w9_d9e12188
tigsten	w1_d9e12193
älteren	w3_d9e12196
jungen	w5_d9e12199
Herrschaften	w7_d9e12202
in	w9_d9e12205
der	w11_d9e12208
Kammer=kapellen	w1_d9e12213
gehalten	w3_d9e12216
worden.	w5_d9e12219
</p>
<p id="p10_d9e12222">
Mittwoch	w1_d9e12226
als	w3_d9e12229
den	w5_d9e12232
4.	w7_d9e12235
Februarii	w9_d9e12238
wird	w11_d9e12241
der	w13_d9e12245
gewöhnliche	w1_d9e12250
Bal	w3_d9e12253
auf	w5_d9e12256
der	w7_d9e12259
Mehl=gruben	w9_d9e12262
ge	w11_d9e12265
halten	w1_d9e12270
werden.	w3_d9e12273
</p>
<head id="h2_d9e12279">
Lista	w1_d9e12283
deren	w3_d9e12286
Verstorbenen	w5_d9e12289
zu	w7_d9e12292
Wien	w9_d9e12295
in	w1_d9e12300
und	w3_d9e12303
vor	w5_d9e12306
der	w7_d9e12309
Stadt.	w9_d9e12312
Den	w1_d9e12317
28.	w3_d9e12320
Januarii.	w5_d9e12323
Jn	w1_d9e12329
der	w3_d9e12332
Stadt.	w5_d9e12335
</head>
<list id="l4_d9e12338">
Der	w1_d9e12342
Wol=ehrw.	w3_d9e12345
P.	w5_d9e12348
Andreas	w7_d9e12351
Böhm,	w9_d9e12354
Ord.	w11_d9e12357
Min	w13_d9e12361
St.	w1_d9e12366
Franc	w3_d9e12369
Convent.,	w5_d9e12372
im	w7_d9e12375
Kloster	w9_d9e12378
unterm	w11_d9e12381
Land	w13_d9e12385
H.,	w1_d9e12390
alt	w3_d9e12393
50.	w5_d9e12396
J.	w7_d9e12399
Der	w1_d9e12405
Wol=edel=gestr.	w3_d9e12408
Hr.	w5_d9e12411
Reichard	w7_d9e12414
Jgnatz	w9_d9e12417
Götz,	w11_d9e12420
Jh	w13_d9e12424
rer	w1_d9e12429
Rs.	w3_d9e12432
M	w5_d9e12435
Hof=kriegs=canzley=registrator	w7_d9e12438
in	w9_d9e12441
</list>
<list id="l8_d9e12447">
Judiclalibus,	w1_d9e12451
in	w3_d9e12454
der	w5_d9e12457
K.	w7_d9e12460
K.	w9_d9e12463
Hof=kriegs=canzley,	w11_d9e12466
alt	w1_d9e12471
54.	w3_d9e12474
J.	w5_d9e12477
Dem	w1_d9e12482
Hrn.	w3_d9e12485
Leop.	w5_d9e12488
Stahl,	w7_d9e12491
K.	w9_d9e12494
K.	w11_d9e12497
Otrectorialhofbuch	w13_d9e12501
halterey=ingroßist.,	w1_d9e12507
s	w3_d9e12510
Fr.	w5_d9e12513
Maria	w7_d9e12516
Agnes,	w9_d9e12519
deym	w11_d9e12522
grün.	w1_d9e12527
Salz	w3_d9e12530
küffel	w5_d9e12533
am	w7_d9e12536
Salz=gr.,	w9_d9e12539
alt	w11_d9e12542
29.	w13_d9e12546
J.	w15_d9e12549
Dem	w1_d9e12554
Barthl.	w3_d9e12557
Hauder,	w5_d9e12560
Burgerl.	w7_d9e12563
Schleif.,	w9_d9e12566
s.	w11_d9e12569
W.	w13_d9e12573
An	w15_d9e12576
na	w1_d9e12581
Maria,	w3_d9e12584
im	w5_d9e12587
Schwert=fegeris.	w7_d9e12590
H.	w9_d9e12593
bey	w11_d9e12596
St.	w13_d9e12600
Ru	w15_d9e12603
precht,	w1_d9e12609
alt	w3_d9e12612
26.	w5_d9e12615
J.	w7_d9e12618
</list>
<head id="h2_d9e12625">
Vor	w1_d9e12629
der	w3_d9e12632
Stadt.	w5_d9e12635
</head>
<list id="l4_d9e12638">
Jos.	w1_d9e12642
Bitner,	w3_d9e12645
Burgerl.	w5_d9e12648
Sticker,	w7_d9e12651
bey	w9_d9e12654
denen	w11_d9e12657
3.	w13_d9e12661
Kron.	w15_d9e12664
am	w1_d9e12669
Spitalberg,	w3_d9e12672
alt	w5_d9e12675
38.	w7_d9e12678
J.	w9_d9e12681
Dem	w1_d9e12686
Somin.	w3_d9e12689
Zeillinger,	w5_d9e12692
Tagw.,	w7_d9e12695
s.	w9_d9e12698
K.	w11_d9e12701
Georg,	w13_d9e12705
der	w15_d9e12708
der	w1_d9e12714
H.	w3_d9e12717
Dreyfaltigk.	w5_d9e12720
an	w7_d9e12723
der	w9_d9e12726
Wien,	w11_d9e12729
alt	w13_d9e12733
3.	w15_d9e12736
J.	w17_d9e12739
Summa	w1_d9e12744
6.	w3_d9e12747
Person.,	w5_d9e12750
dar	w7_d9e12753
unter	w9_d9e12756
1.	w11_d9e12759
Kind.	w13_d9e12763
</list>
<head id="h2_d9e12770">
Den	w1_d9e12774
29.	w3_d9e12777
Januarii.	w5_d9e12780
Jn	w1_d9e12785
der	w3_d9e12788
Stadt.	w5_d9e12791
</head>
<list id="l4_d9e12794">
Dem	w1_d9e12798
Joh.	w3_d9e12801
Pfann,	w5_d9e12804
Herrschaftl.	w7_d9e12807
Koch,	w9_d9e12810
s.	w11_d9e12813
K.	w13_d9e12817
Cathor.,	w15_d9e12820
im	w1_d9e12825
Geissenpofis.	w3_d9e12828
v.	w5_d9e12831
beym	w7_d9e12834
gew.	w9_d9e12837
Pauler=thor,	w11_d9e12840
alt	w1_d9e12845
6.	w3_d9e12848
v.	w5_d9e12851
J.	w7_d9e12854
Egydi	w1_d9e12860
Jeckl,	w3_d9e12863
Burgerl.	w5_d9e12866
Bind.,	w7_d9e12869
im	w9_d9e12872
Seelauss.	w11_d9e12875
H.	w13_d9e12879
im	w15_d9e12882
tief.	w1_d9e12887
Grad.,	w3_d9e12890
alt	w5_d9e12893
65.	w7_d9e12896
J.	w9_d9e12899
Elisab.	w1_d9e12904
Wilhelmin,	w3_d9e12907
Wittwe,	w5_d9e12910
im	w7_d9e12913
Kriegleris.	w9_d9e12916
H.	w11_d9e12919
am	w13_d9e12923
Hof,	w1_d9e12928
alt	w3_d9e12931
53.	w5_d9e12934
J.	w7_d9e12937
</list>
<head id="h2_d9e12944">
Vor	w1_d9e12948
der	w3_d9e12951
Stadt.	w5_d9e12954
</head>
<list id="l4_d9e12957">
Anna	w1_d9e12961
Maria	w3_d9e12964
Nickischerin,	w5_d9e12967
Wittwe,	w7_d9e12970
neden	w9_d9e12973
der	w11_d9e12976
ge	w13_d9e12980
westen	w1_d9e12985
Kaiserl.	w3_d9e12988
Favoriten,	w5_d9e12991
alt	w7_d9e12994
71.	w9_d9e12997
J.	w11_d9e13000
Dem	w1_d9e13005
Jgnatz	w3_d9e13008
Martin,	w5_d9e13011
Bestand=wirt.,	w7_d9e13014
s.	w9_d9e13017
W.	w11_d9e13020
Cathar.	w13_d9e13024
bey	w1_d9e13030
der	w3_d9e13033
gold.	w5_d9e13036
Gans	w7_d9e13039
im	w9_d9e13042
Liechtenth.,	w11_d9e13045
alt	w13_d9e13049
43.	w15_d9e13052
J.	w17_d9e13055
Ferd.	w1_d9e13060
Buchinger,	w3_d9e13063
gew.	w5_d9e13066
Koch,	w7_d9e13069
im	w9_d9e13072
Schab=den=riessel	w11_d9e13075
in	w1_d9e13080
der	w3_d9e13083
Leopoldst.,	w5_d9e13086
alt	w7_d9e13089
44.	w9_d9e13092
J.	w11_d9e13095
Theres.	w1_d9e13100
Pallerin,	w3_d9e13103
ledig,	w5_d9e13106
bey	w7_d9e13109
denen	w9_d9e13112
3.	w11_d9e13115
Kugeln	w13_d9e13119
am	w15_d9e13122
Spitalberg.	w1_d9e13128
alt	w3_d9e13131
17.	w5_d9e13134
J.	w7_d9e13137
Dem	w1_d9e13142
Andre	w3_d9e13145
Hofer,	w5_d9e13148
Zimmer=ges.,	w7_d9e13151
s.	w9_d9e13154
W.	w11_d9e13157
Barb.,	w13_d9e13161
bey	w15_d9e13164
dem	w1_d9e13169
rot.	w3_d9e13172
Krebs.	w5_d9e13175
in	w7_d9e13178
der	w9_d9e13181
Rossau,	w11_d9e13184
alt	w13_d9e13188
67.	w15_d9e13191
J.	w17_d9e13194
Math.	w1_d9e13199
Scheinl,	w3_d9e13202
Tagw.,	w5_d9e13205
im	w7_d9e13208
Reiberis.	w9_d9e13211
H.	w11_d9e13214
zu	w13_d9e13218
Nicol	w15_d9e13221
storf,	w1_d9e13227
alt	w3_d9e13230
65.	w5_d9e13233
J.	w7_d9e13236
</list>
<head id="h2_d9e13244">
Summa	w1_d9e13248
9.	w3_d9e13251
Person.,	w5_d9e13254
darunter	w7_d9e13257
1.	w9_d9e13260
Kind.	w11_d9e13263
Den	w1_d9e13268
30.	w3_d9e13271
Januarii.	w5_d9e13274
Jn	w1_d9e13279
der	w3_d9e13282
Stadt.	w5_d9e13285
</head>
<list id="l4_d9e13288">
Sebast.	w1_d9e13292
Wöger,	w3_d9e13295
gem.	w5_d9e13298
Stadt	w7_d9e13301
Scaar=dien.,	w9_d9e13304
im	w11_d9e13307
Mar	w13_d9e13311
morlieris.	w1_d9e13316
H.	w3_d9e13319
bey	w5_d9e13322
Maria=stiegen,	w7_d9e13325
alt	w9_d9e13328
73.	w11_d9e13331
J.	w13_d9e13335
</list>
<head id="h2_d9e13342">
Vor	w1_d9e13346
der	w3_d9e13349
Stadt.	w5_d9e13352
</head>
<list id="l4_d9e13355">
Agnes	w1_d9e13359
Prinzin,	w3_d9e13362
Wittwe,	w5_d9e13365
bey	w7_d9e13368
Sonn,	w9_d9e13371
und	w11_d9e13374
Mond	w13_d9e13378
bey	w1_d9e13383
St.	w3_d9e13386
Ulrich,	w5_d9e13389
alt	w7_d9e13392
56.	w9_d9e13395
J.	w11_d9e13398
Dem	w1_d9e13403
Barthl.	w3_d9e13406
Dunkel.	w5_d9e13409
Tändl.,	w7_d9e13412
s.	w9_d9e13415
W.	w11_d9e13418
Eva,	w13_d9e13422
beym	w15_d9e13425
gold	w1_d9e13431
Hut	w3_d9e13434
am	w5_d9e13437
Neustift,	w7_d9e13440
alt	w9_d9e13443
47.	w11_d9e13446
J.	w13_d9e13450
Dem	w1_d9e13455
Gallus	w3_d9e13458
Kranzeder,	w5_d9e13461
Trag.,	w7_d9e13464
s.	w9_d9e13467
W.	w11_d9e13470
Veronica	w13_d9e13474
bey	w1_d9e13479
der	w3_d9e13482
gold.	w5_d9e13485
Weintr.	w7_d9e13488
am	w9_d9e13491
Renn=weg,	w11_d9e13494
alt	w13_d9e13498
64.	w15_d9e13501
J.	w17_d9e13504
Dem	w1_d9e13509
Paul	w3_d9e13512
Ehenberger,	w5_d9e13515
Leyrern,	w7_d9e13518
s.	w9_d9e13521
W.	w11_d9e13524
Martda	w13_d9e13528
im	w1_d9e13534
Kredsis.	w3_d9e13537
H.	w5_d9e13540
am	w7_d9e13543
Himmil=pfort=gr.,	w9_d9e13546
alt	w11_d9e13549
23.	w13_d9e13553
J.	w15_d9e13556
Summa	w1_d9e13561
5.	w3_d9e13564
Person.,	w5_d9e13567
darunter	w7_d9e13570
9.	w9_d9e13573
Kinder.	w11_d9e13576
</list>
<head id="h2_d9e13583">
EDICT.	w1_d9e13587
</head>
<p id="p4_d9e13590">
