<doc id="wr_1757-11-05" attrs="word" year="1757" month="11" day="05" corpus="2">
<head id="h2_d193e3132">
Marseille	w1_d193e3136
des	w3_d193e10372
H.	w5_d193e10375
Geistes	w7_d193e10378
umzuhangen,	w9_d193e10381
worauf	w11_d193e10384
</p>
<p id="p14_d193e10390">
er	w1_d193e10394
der	w3_d193e10397
Gräfin	w5_d193e10400
von	w7_d193e10403
Morsan,	w9_d193e10406
als	w11_d193e10409
Gubernantin	w13_d193e10413
der	w1_d193e10418
Prinzen	w3_d193e10421
von	w5_d193e10424
Frankreich,	w7_d193e10427
übergeben	w9_d193e10430
wur	w11_d193e10433
de.	w1_d193e10438
Die	w3_d193e10441
Stände	w5_d193e10444
der	w7_d193e10447
Grafschaft	w9_d193e10450
Artois	w11_d193e10453
ha	w13_d193e10457
ben	w1_d193e10463
bereits	w3_d193e10466
bey	w5_d193e10469
dem	w7_d193e10472
Könige	w9_d193e10475
die	w11_d193e10478
Glück=wünsche	w13_d193e10482
abgestattet,	w1_d193e10487
und	w3_d193e10490
verehreten	w5_d193e10493
der	w7_d193e10496
Säug=amme	w9_d193e10499
des	w1_d193e10504
Prinzens	w3_d193e10507
einen	w5_d193e10510
Beutel	w7_d193e10513
mit	w9_d193e10516
100.	w11_d193e10519
Louisd'or.	w13_d193e10523
</p>
<head id="h2_d193e10529">
Wien	w1_d193e10533
5.	w3_d193e10536
Nov.	w5_d193e10539
1757.	w7_d193e10542
</head>
<p id="p4_d193e10545">
MJttwochs	w1_d193e10549
den	w3_d193e10552
2.	w5_d193e10555
November,	w7_d193e10558
als	w9_d193e10561
am	w11_d193e10564
8	w1_d193e10569
Aller=seelen=tag	w3_d193e10572
haben	w5_d193e10575
beyde	w7_d193e10578
Kaiserl.	w9_d193e10581
Majestäten	w1_d193e10586
mit	w3_d193e10589
Jhren	w5_d193e10592
Königl.	w7_d193e10595
Hoheiten	w9_d193e10598
de	w11_d193e10601
nen	w1_d193e10607
Durchl.	w3_d193e10610
Erz=herzogen	w5_d193e10613
Joseph,	w7_d193e10616
Carl,	w9_d193e10619
und	w11_d193e10622
Leopold,	w1_d193e10627
wie	w3_d193e10630
auch	w5_d193e10633
denen	w7_d193e10636
Durchleuchtigsten	w9_d193e10639
Erz=herzoginnen,	w1_d193e10644
Maria	w3_d193e10647
Anna,	w5_d193e10650
Christina,	w7_d193e10653
und	w9_d193e10656
Elisabeth,	w1_d193e10661
in	w3_d193e10664
Begleitung	w5_d193e10667
des	w7_d193e10670
Päpstl.	w9_d193e10673
Mon	w11_d193e10676
sig.	w1_d193e10682
Nuntii,	w3_d193e10685
über	w5_d193e10688
den	w7_d193e10691
neuen	w9_d193e10694
Gang,	w11_d193e10697
zu	w13_d193e10701
denen	w15_d193e10704
PP.	w1_d193e10709
Augustinern	w3_d193e10712
sich	w5_d193e10715
verfüget,	w7_d193e10718
und	w9_d193e10721
in	w11_d193e10724
dem	w13_d193e10728
Oratorio	w1_d193e10733
der	w3_d193e10736
dasigen	w5_d193e10739
Todten=kapelle	w7_d193e10742
der	w9_d193e10745
Predig	w1_d193e10750
und	w3_d193e10753
dem	w5_d193e10756
feyerlichen	w7_d193e10759
Seelen=amt	w9_d193e10762
beygewohnet.	w1_d193e10768
</p>
<p id="p6_d193e10771">
Donnerstags	w1_d193e10775
den	w3_d193e10778
3.	w5_d193e10781
Dito,	w7_d193e10784
als	w9_d193e10787
am	w11_d193e10790
Fest	w13_d193e10794
St.	w1_d193e10799
Huberti,	w3_d193e10802
Vormittags	w5_d193e10805
um	w7_d193e10808
10.	w9_d193e10811
Uhr,	w11_d193e10814
seynd	w13_d193e10818
beyde	w1_d193e10823
Kaiserl.	w3_d193e10826
Majestäten	w5_d193e10829
mit	w7_d193e10832
des	w9_d193e10835
Durchl.	w11_d193e10838
Erb	w13_d193e10842
und	w1_d193e10848
Cron=prinzens	w3_d193e10851
Königl.	w5_d193e10854
Hoheit	w7_d193e10857
Erz=herzogs	w9_d193e10860
Joseph	w1_d193e10865
in	w3_d193e10868
Gefolge	w5_d193e10871
einiger	w7_d193e10874
Dames	w9_d193e10877
und	w11_d193e10880
Caval	w13_d193e10884
lieren	w1_d193e10889
nacher	w3_d193e10892
Stammersdorf	w5_d193e10895
jenseits	w7_d193e10898
der	w9_d193e10901
Donau	w1_d193e10906
abgefahren,	w3_d193e10909
und	w5_d193e10912
haben	w7_d193e10915
in	w9_d193e10918
dasiger	w11_d193e10921
Gegend	w1_d193e10927
mit	w3_d193e10930
einer	w5_d193e10933
Par=force=jagd	w7_d193e10936
sich	w9_d193e10939
belusti	w11_d193e10942
get,	w1_d193e10947
dann	w3_d193e10950
hierauf	w5_d193e10953
gegen	w7_d193e10956
Abend	w9_d193e10959
anhero	w11_d193e10962
in	w13_d193e10966
die	w1_d193e10971
Burg	w3_d193e10974
sich	w5_d193e10977
anwiederumen	w7_d193e10980
zuruck	w9_d193e10983
bege	w11_d193e10986
ben.	w1_d193e10991
</p>
<p id="p8_d193e10994">
Freytags	w1_d193e10998
den	w3_d193e11001
4.	w5_d193e11004
dito	w7_d193e11007
als	w9_d193e11010
am	w11_d193e11013
Fest	w13_d193e11017
St.	w15_d193e11020
Caroli	w1_d193e11025
Vor	w3_d193e11028
und	w5_d193e11031
Nachmittags	w7_d193e11034
ist	w9_d193e11037
in	w11_d193e11040
Bey	w13_d193e11044
wohnung	w1_d193e11049
allerhöchster	w3_d193e11052
Herrschaften	w5_d193e11055
(welche	w7_d193e11058
diesen	w1_d193e11064
Tag	w3_d193e11067
sich	w5_d193e11070
retirat	w7_d193e11073
gehalten)	w9_d193e11076
das	w11_d193e11079
wochent	w13_d193e11083
liche	w1_d193e11088
Gebett	w3_d193e11091
in	w5_d193e11094
der	w7_d193e11097
Cammer=capellen	w9_d193e11100
gewesen,	w11_d193e11103
und	w1_d193e11108
seynd	w3_d193e11111
die	w5_d193e11114
Hrn.	w7_d193e11117
Bottschaftere,	w9_d193e11120
Gesandte,	w11_d193e11123
und	w1_d193e11128
der	w3_d193e11131
übrige	w5_d193e11134
hohe	w7_d193e11137
Adel	w9_d193e11140
in	w11_d193e11143
Gala	w13_d193e11147
bey	w15_d193e11150
Hof	w17_d193e11153
erschienen,	w1_d193e11159
um	w3_d193e11162
bey	w5_d193e11165
Sr.	w7_d193e11168
Königl.	w9_d193e11171
Hoheit	w11_d193e11174
dem	w13_d193e11178
Durchl.	w1_d193e11183
Erz=herzogen	w3_d193e11186
Carl,	w5_d193e11189
wegen	w7_d193e11192
dero	w9_d193e11195
höch	w11_d193e11198
sten	w1_d193e11203
Namen=tags	w3_d193e11206
die	w5_d193e11209
Glückwünschungscom	w7_d193e11212
plimenten	w1_d193e11217
abzulegen.	w3_d193e11220
Ubrigens	w1_d193e11226
seynd	w3_d193e11229
den	w5_d193e11232
3ten	w7_d193e11235
dieses	w9_d193e11238
für	w11_d193e11241
die	w13_d193e11245
</p>
<p id="p10_d193e11248">
Hoch=adeliche	w1_d193e11252
Stern=kreutz=ordens=dame	w3_d193e11255
(Titl.)	w1_d193e11260
Frau	w3_d193e11263
Theresia	w5_d193e11266
Gräfin	w7_d193e11269
von	w9_d193e11272
Trautman	w11_d193e11275
storf,	w1_d193e11280
geborne	w3_d193e11283
Gräfin	w5_d193e11286
von	w7_d193e11289
Ratschin,	w9_d193e11292
dann	w11_d193e11295
Den	w1_d193e11301
5.	w3_d193e11304
für	w5_d193e11307
die	w7_d193e11310
Hoch=adeliche	w9_d193e11313
Stern	w11_d193e11316
kreutz=ordens=dame	w1_d193e11321
(Tit.)	w3_d193e11324
Frau	w5_d193e11327
Maria	w7_d193e11330
Anna	w9_d193e11333
Gräfin	w1_d193e11338
von	w3_d193e11341
Sternberg,	w5_d193e11344
geborne	w7_d193e11347
Gräfin	w9_d193e11350
aus	w11_d193e11353
dem	w1_d193e11358
Fürstl.	w3_d193e11361
Haus	w5_d193e11364
von	w7_d193e11367
Schwarzenberg,	w9_d193e11370
deren	w11_d193e11373
</p>
<p id="p12_d193e11377">
die	w1_d193e11381
erstere	w3_d193e11384
den	w5_d193e11387
27.	w7_d193e11390
October	w9_d193e11393
dies	w11_d193e11396
Jahrs	w13_d193e11400
da	w15_d193e11403
hier	w1_d193e11408
zu	w3_d193e11411
Wien,	w5_d193e11414
die	w7_d193e11417
andere	w9_d193e11420
aber	w11_d193e11423
eben	w13_d193e11427
diesen	w15_d193e11430
Tag	w1_d193e11435
zu	w3_d193e11438
Prag	w5_d193e11441
in	w7_d193e11444
GOtt	w9_d193e11447
seelig	w11_d193e11450
entschlaffen,	w13_d193e11454
in	w1_d193e11460
der	w3_d193e11463
Hof=kapelle	w5_d193e11466
die	w7_d193e11469
gewöhnliche	w9_d193e11472
Exequien	w11_d193e11475
gehalten	w1_d193e11480
worden.	w3_d193e11483
</p>
<head id="h2_d193e11489">
Lista	w1_d193e11493
deren	w3_d193e11496
Verstorbenen	w5_d193e11499
zu	w7_d193e11502
Wien	w9_d193e11505
in	w1_d193e11510
und	w3_d193e11513
vor	w5_d193e11516
der	w7_d193e11519
Stadt.	w9_d193e11522
Den	w1_d193e11527
31.	w3_d193e11530
Octob.	w5_d193e11533
Jn	w1_d193e11539
der	w3_d193e11542
Stadt.	w5_d193e11545
</head>
<list id="l4_d193e11548">
Dem	w1_d193e11552
Wol=eilen	w3_d193e11555
Hrn.	w5_d193e11558
Mich.	w7_d193e11561
Jos.	w9_d193e11564
Häderolt,	w11_d193e11567
N.	w13_d193e11571
de.	w15_d193e11574
Reg.	w1_d193e11579
Rahts=protocollist.,	w3_d193e11582
s.	w5_d193e11585
K.	w7_d193e11588
Maria	w9_d193e11591
Rosina,	w11_d193e11594
im	w13_d193e11598
Heydis.	w1_d193e11603
H	w3_d193e11606
in	w5_d193e11609
der	w7_d193e11612
Kärntnerstr.,	w9_d193e11615
alt	w11_d193e11618
3.	w13_d193e11622
J.	w15_d193e11625
Dem	w1_d193e11631
Joh.	w3_d193e11634
Rasp,	w5_d193e11637
Burgerl.	w7_d193e11640
Schneid.,	w9_d193e11643
s.	w11_d193e11646
K.	w13_d193e11650
Magd.,	w15_d193e11653
beym	w1_d193e11658
bl.	w3_d193e11661
Schif	w5_d193e11664
unterm	w7_d193e11667
neuen	w9_d193e11670
Thor,	w11_d193e11673
alt	w13_d193e11677
2.	w15_d193e11680
J.	w17_d193e11683
Dem	w1_d193e11688
Leop	w3_d193e11691
Groschopf,	w5_d193e11694
Oeler=sitz.,	w7_d193e11697
s.	w9_d193e11700
K.	w11_d193e11703
Franz,	w13_d193e11707
im	w15_d193e11710
Stephanis.	w1_d193e11715
H.	w3_d193e11718
am	w5_d193e11721
Heiden=schuß,	w7_d193e11724
alt	w9_d193e11727
5.	w11_d193e11730
J.	w13_d193e11734
</list>
<head id="h2_d193e11741">
Vor	w1_d193e11745
der	w3_d193e11748
Stadt.	w5_d193e11751
</head>
<list id="l4_d193e11754">
Hr.	w1_d193e11758
Joh.	w3_d193e11761
Jos.	w5_d193e11764
v.	w7_d193e11767
Keim,	w9_d193e11770
gew.	w11_d193e11773
Hof=kammer=rahts	w13_d193e11777
secret.,	w1_d193e11782
beym	w3_d193e11785
Wall=sisch	w5_d193e11788
bey	w7_d193e11791
Maria=hülf,	w9_d193e11794
79.	w11_d193e11797
J.	w13_d193e11801
Dem	w1_d193e11806
Georg	w3_d193e11809
Peyer,	w5_d193e11812
Universitäts=mabl.,	w7_d193e11815
s.	w9_d193e11818
K.	w11_d193e11821
Jos	w13_d193e11825
beym	w1_d193e11831
grün.	w3_d193e11834
Thor	w5_d193e11837
bey	w7_d193e11840
Maria=hülf,	w9_d193e11843
alt	w11_d193e11846
7.	w13_d193e11850
v.	w15_d193e11853
J.	w17_d193e11856
Dem	w1_d193e11861
Georg	w3_d193e11864
Metz,	w5_d193e11867
Burgerl.	w7_d193e11870
Wirt.,	w9_d193e11873
s.	w11_d193e11876
K.	w13_d193e11880
Barb.,	w15_d193e11883
beym	w1_d193e11888
schwarz.	w3_d193e11891
Thor	w5_d193e11894
in	w7_d193e11897
der	w9_d193e11900
Rossau,	w11_d193e11903
alt	w13_d193e11907
3.	w15_d193e11910
J.	w17_d193e11913
Jacob	w1_d193e11918
Matzinger,	w3_d193e11921
Burgerl.	w5_d193e11924
Kuchel=gart.,	w7_d193e11927
im	w9_d193e11930
Car	w11_d193e11933
dinalis.	w1_d193e11939
Gart.	w3_d193e11942
in	w5_d193e11945
der	w7_d193e11948
Leopoldst.,	w9_d193e11951
alt	w11_d193e11954
62.	w13_d193e11958
J.	w15_d193e11961
Dem	w1_d193e11966
Joh.	w3_d193e11969
Wagner,	w5_d193e11972
Strümpf=wurk.,	w7_d193e11975
s.	w9_d193e11978
K.	w11_d193e11981
Cathar.	w13_d193e11985
beyn	w1_d193e11990
2.	w3_d193e11993
Löw.	w5_d193e11996
im	w7_d193e11999
Lerchenf.,	w9_d193e12002
alt	w11_d193e12005
4.	w13_d193e12009
J.	w15_d193e12012
Der	w1_d193e12017
Theres.	w3_d193e12020
Feillin,	w5_d193e12023
Wittwe,	w7_d193e12026
ihr	w9_d193e12029
K.	w11_d193e12032
Ferd.,	w13_d193e12036
beym	w15_d193e12039
schwarz	w1_d193e12045
Bärn	w3_d193e12048
in	w5_d193e12051
der	w7_d193e12054
Leopoldst.,	w9_d193e12057
alt	w11_d193e12060
2.	w13_d193e12064
J.	w15_d193e12067
Dem	w1_d193e12072
Gottfr.	w3_d193e12075
Frengl,	w5_d193e12078
Marquet.,	w7_d193e12081
s.	w9_d193e12084
K.	w11_d193e12087
Rosal,	w13_d193e12091
beym	w15_d193e12094
gold.	w1_d193e12099
Adl.	w3_d193e12102
bey	w5_d193e12105
St.	w7_d193e12108
Ulrich,	w9_d193e12111
alt	w11_d193e12114
6.	w13_d193e12118
v.	w15_d193e12121
J.	w17_d193e12124
Wenzel	w1_d193e12129
Seitscheck,	w3_d193e12132
Reit=kn.,	w5_d193e12135
im	w7_d193e12138
Schwarzenbergis.	w9_d193e12141
Gart.,	w1_d193e12147
alt	w3_d193e12150
63.	w5_d193e12153
J.	w7_d193e12156
Dem	w1_d193e12161
Franz	w3_d193e12164
Kornge,	w5_d193e12167
Marquet.,	w7_d193e12170
s.	w9_d193e12173
K.	w11_d193e12176
Steph.,	w13_d193e12180
beym	w15_d193e12183
gold.	w1_d193e12188
Lämmel	w3_d193e12191
im	w5_d193e12194
Lerchenf.,	w7_d193e12197
alt	w9_d193e12200
6.	w11_d193e12203
J.	w13_d193e12207
Dem	w1_d193e12212
Andre	w3_d193e12215
Weidemauer,	w5_d193e12218
Rumor=sold,	w7_d193e12221
s.	w9_d193e12224
K.	w11_d193e12227
Eli	w13_d193e12231
sab.,	w1_d193e12237
beym	w3_d193e12240
gold.	w5_d193e12243
Brunn	w7_d193e12246
zu	w9_d193e12249
Mätzleinst.,	w11_d193e12252
2.	w13_d193e12256
J.	w15_d193e12259
Dem	w1_d193e12264
Jacob	w3_d193e12267
Schmidtmayr,	w5_d193e12270
Tagw.,	w7_d193e12273
s.	w9_d193e12276
K.	w11_d193e12279
Anna,	w13_d193e12283
im	w15_d193e12286
Kräutleris.	w1_d193e12291
H.	w3_d193e12294
auf	w5_d193e12297
der	w7_d193e12300
Landstr.,	w9_d193e12303
alt	w11_d193e12306
7.	w13_d193e12310
p.	w15_d193e12313
J.	w17_d193e12316
</list>
<head id="h2_d193e12324">
Summa	w1_d193e12328
15.	w3_d193e12331
Person.,	w5_d193e12334
darunter	w7_d193e12337
12.	w9_d193e12340
Kinder.	w11_d193e12343
Du	w1_d193e12348
1.	w3_d193e12351
Novemb.	w5_d193e12354
Jn	w1_d193e12359
der	w3_d193e12362
Stadt.	w5_d193e12365
</head>
<list id="l4_d193e12368">
Der.	w1_d193e12372
Ehrw.	w3_d193e12375
Fr.	w5_d193e12378
Franz	w7_d193e12381
Jos.	w9_d193e12384
Altersperger,	w11_d193e12387
im	w13_d193e12391
Colleg.	w15_d193e12394
bey	w1_d193e12399
St.	w3_d193e12402
Mich.,	w5_d193e12405
alt	w7_d193e12408
63.	w9_d193e12411
J.	w11_d193e12414
Dem	w1_d193e12419
Mich.	w3_d193e12422
Gotthard,	w5_d193e12425
Burgerl.	w7_d193e12428
Wirt.,	w9_d193e12431
s.	w11_d193e12434
S.	w13_d193e12438
Mich.	w15_d193e12441
beym	w1_d193e12447
schwarz.	w3_d193e12450
Bärn	w5_d193e12453
am	w7_d193e12456
Lug=eck,	w9_d193e12459
alt	w11_d193e12462
10.	w13_d193e12466
J.	w15_d193e12469
</list>
<head id="h2_d193e12476">
Vor	w1_d193e12480
der	w3_d193e12483
Stadt.	w5_d193e12486
</head>
<list id="l4_d193e12489">
Dem.	w1_d193e12493
Mart.	w3_d193e12496
Pier,	w5_d193e12499
Burgerl.	w7_d193e12502
Schneid,	w9_d193e12505
s.	w11_d193e12508
K.	w13_d193e12512
Jacob,	w15_d193e12515
bey	w1_d193e12520
der	w3_d193e12523
gold.	w5_d193e12526
Sonn	w7_d193e12529
am	w9_d193e12532
Spitalb.,	w11_d193e12535
alt	w13_d193e12539
23.	w15_d193e12542
J.	w17_d193e12545
Dem	w1_d193e12550
Leop.	w3_d193e12553
Hauer,	w5_d193e12556
Burgerl.	w7_d193e12559
Schuh=mach.,	w9_d193e12562
s.	w11_d193e12565
K.	w13_d193e12569
Mich.,	w1_d193e12575
beym	w3_d193e12578
grün	w5_d193e12581
Rös.	w7_d193e12584
am	w9_d193e12587
Spitald.,	w11_d193e12590
4.	w13_d193e12594
J.	w15_d193e12597
Dem	w1_d193e12602
Math.	w3_d193e12605
Pritz,	w5_d193e12608
Maurern,	w7_d193e12611
s.	w9_d193e12614
W.	w11_d193e12617
Theres.,	w13_d193e12621
beym	w15_d193e12624
Fisch=zug	w1_d193e12629
am	w3_d193e12632
Neubau,	w5_d193e12635
alt	w7_d193e12638
43.	w9_d193e12641
J.	w11_d193e12644
Georg	w1_d193e12649
Richter,	w3_d193e12652
Kutsch.,	w5_d193e12655
im	w7_d193e12658
Fuhr=manis.	w9_d193e12661
H.	w11_d193e12664
in	w13_d193e12668
der	w15_d193e12671
Unger=gas.,	w1_d193e12677
alt	w3_d193e12680
37.	w5_d193e12683
J.	w7_d193e12686
</list>
<head id="h4_d193e12695">
Den	w1_d193e12699
2.	w3_d193e12702
Nov.	w5_d193e12705
Jn	w1_d193e12710
der	w3_d193e12713
Stadt	w5_d193e12716
</head>
<list id="l6_d193e12719">
Dem	w1_d193e12723
Jos.	w3_d193e12726
Scharman,	w5_d193e12729
Tagw.,	w7_d193e12732
s.	w9_d193e12735
K.	w11_d193e12738
Paul,	w13_d193e12742
deym	w15_d193e12745
schwarz.	w1_d193e12750
Stief.	w3_d193e12753
im	w5_d193e12756
Liechtenth.,	w7_d193e12759
alt	w9_d193e12762
6.	w11_d193e12765
J.	w13_d193e12769
Summa	w1_d193e12774
7.	w3_d193e12777
Person.,	w5_d193e12780
darunter	w7_d193e12783
3.	w9_d193e12786
Kinder.	w11_d193e12789
</list>
<list id="l8_d193e12793">
Dem	w1_d193e12797
Wol=edel=gestr.	w3_d193e12800
und	w5_d193e12803
Hoch=gelehrt.	w7_d193e12806
Hrn.	w9_d193e12809
Abrah.	w11_d193e12812
Salzgeber,	w1_d193e12817
Phil.	w3_d193e12820
&	w5_d193e12823
Med.	w7_d193e12826
Doct.	w9_d193e12829
s.	w11_d193e12832
K.	w13_d193e12836
Jos.,	w15_d193e12839
im	w17_d193e12842
Dattenriederis.	w1_d193e12847
H.	w3_d193e12850
am	w5_d193e12853
Grab.,	w7_d193e12856
alt	w9_d193e12859
2.	w11_d193e12862
1.	w13_d193e12866
h.	w15_d193e12869
J.	w17_d193e12872
Elisab.	w1_d193e12878
Stahelin,	w3_d193e12881
Wittwe,	w5_d193e12884
im	w7_d193e12887
Schmidisch.	w9_d193e12890
H.	w11_d193e12893
am	w13_d193e12897
Hof,	w1_d193e12902
alt	w3_d193e12905
81.	w5_d193e12908
J.	w7_d193e12911
Regina	w1_d193e12916
Freysin,	w3_d193e12919
ledig,	w5_d193e12922
im	w7_d193e12925
Dräxleris.	w9_d193e12928
H.	w11_d193e12931
am	w13_d193e12935
Salz	w15_d193e12938
gr.,	w1_d193e12943
alt	w3_d193e12946
67.	w5_d193e12949
J.	w7_d193e12952
Dem	w1_d193e12958
Paul	w3_d193e12961
Walter,	w5_d193e12964
Lack.,	w7_d193e12967
s.	w9_d193e12970
K.	w11_d193e12973
Casp.,	w13_d193e12977
im	w15_d193e12980
Gold	w17_d193e12983
schmidis.	w1_d193e12988
H.	w3_d193e12991
in	w5_d193e12994
der	w7_d193e12997
Kärntnerstr.,	w9_d193e13000
alt	w11_d193e13003
6.	w13_d193e13007
v.	w15_d193e13010
J.	w17_d193e13013
Dem	w1_d193e13018
Leop=Gähinger,	w3_d193e13021
Burgerl.	w5_d193e13024
Schuh=mach,	w7_d193e13027
s.	w9_d193e13030
K.	w11_d193e13033
Eilsab,	w1_d193e13038
im	w3_d193e13041
Käß=stecheris.	w5_d193e13044
H.	w7_d193e13047
im	w9_d193e13050
Rott=gäs.,	w11_d193e13053
3.	w13_d193e13057
J.	w15_d193e13060
</list>
<head id="h2_d193e13067">
Vor	w1_d193e13071
der	w3_d193e13074
Stadt.	w5_d193e13077
</head>
<list id="l4_d193e13080">
Dem	w1_d193e13084
Franz	w3_d193e13087
Peyer,	w5_d193e13090
Burgerl.	w7_d193e13093
Kirschn,	w9_d193e13096
s.	w11_d193e13099
W.	w13_d193e13103
Anna	w15_d193e13106
Maria,	w1_d193e13111
in	w3_d193e13114
s.	w5_d193e13117
H.	w7_d193e13120
bey	w9_d193e13123
St.	w11_d193e13126
Ulrich,	w13_d193e13130
alt	w15_d193e13133
62.	w17_d193e13136
J.	w19_d193e13139
Dem	w1_d193e13144
Math.	w3_d193e13147
Nutz,	w5_d193e13150
Jnstruct,	w7_d193e13153
s.	w9_d193e13156
W.	w11_d193e13159
Clara,	w13_d193e13163
bey	w15_d193e13166
dem	w17_d193e13169
weis.	w1_d193e13175
Drack.	w3_d193e13178
bey	w5_d193e13181
Maria=hülf,	w7_d193e13184
alt	w9_d193e13187
35.	w11_d193e13190
J.	w13_d193e13194
Dem	w1_d193e13199
Ant.	w3_d193e13202
Sonnauer,	w5_d193e13205
Burgerl.	w7_d193e13208
Bab.,	w9_d193e13211
s.	w11_d193e13214
K.	w13_d193e13218
Jos.,	w15_d193e13221
bey	w1_d193e13226
der	w3_d193e13229
weis.	w5_d193e13232
Schwan.	w7_d193e13235
in	w9_d193e13238
der	w11_d193e13241
Josephst.,	w13_d193e13245
2.	w15_d193e13248
J.	w17_d193e13251
Dem	w1_d193e13256
Georg	w3_d193e13259
Spiller,	w5_d193e13262
Burgerl.	w7_d193e13265
Mehl=besch.,	w9_d193e13268
s.	w11_d193e13271
S.	w13_d193e13275
Jos.,	w1_d193e13281
bey	w3_d193e13284
der	w5_d193e13287
gold.	w7_d193e13290
Kugel	w9_d193e13293
auf	w11_d193e13296
der	w13_d193e13300
Wied.,	w15_d193e13303
13.	w17_d193e13306
J	w19_d193e13309
Kunig.	w1_d193e13314
Hildmanin,	w3_d193e13317
Wittwe,	w5_d193e13320
im	w7_d193e13323
Sommerfeldis.	w9_d193e13326
H.	w11_d193e13329
in	w1_d193e13334
der	w3_d193e13337
Leopoldst.,	w5_d193e13340
alt	w7_d193e13343
74.	w9_d193e13346
J.	w11_d193e13349
Dem	w1_d193e13354
Paul	w3_d193e13357
Fenz,	w5_d193e13360
Maurern,	w7_d193e13363
s.	w9_d193e13366
K.	w11_d193e13369
Thom.,	w13_d193e13373
bey	w15_d193e13376
dem	w17_d193e13379
schwarz.	w1_d193e13385
Adl.	w3_d193e13388
auf	w5_d193e13391
der	w7_d193e13394
Wendelst.,	w9_d193e13397
alt	w11_d193e13400
2.	w13_d193e13404
J.	w15_d193e13407
Dem	w1_d193e13412
Greg	w3_d193e13415
Pfaf,	w5_d193e13418
Wäsch.,	w7_d193e13421
s.	w9_d193e13424
W.	w11_d193e13427
Maria	w13_d193e13431
Anna,	w15_d193e13434
im	w17_d193e13437
Augustiner=H.	w1_d193e13442
zu	w3_d193e13445
Grdberg,	w5_d193e13448
alt	w7_d193e13451
36.	w9_d193e13454
J.	w11_d193e13457
Der	w1_d193e13462
Anna	w3_d193e13465
Jägerin,	w5_d193e13468
Wittwe,	w7_d193e13471
ihr	w9_d193e13474
S.	w11_d193e13477
Joh.,	w13_d193e13481
beyn	w15_d193e13484
3.	w17_d193e13487
Taub.	w1_d193e13493
in	w3_d193e13496
der	w5_d193e13499
Josephst,	w7_d193e13502
alt	w9_d193e13505
24.	w11_d193e13508
J.	w13_d193e13512
Dem	w1_d193e13517
Ant.	w3_d193e13520
Daubitzer,	w5_d193e13523
Tagw.,	w7_d193e13526
s.	w9_d193e13529
K.	w11_d193e13532
Lorenz,	w13_d193e13536
bey	w15_d193e13539
dem	w17_d193e13542
grün.	w1_d193e13547
Kegel	w3_d193e13550
ausser	w5_d193e13553
Maria=hülf,	w7_d193e13556
alt	w9_d193e13559
3.	w11_d193e13562
J.	w13_d193e13566
</list>
<head id="h2_d193e13573">
Summa	w1_d193e13577
14.	w3_d193e13580
Person.	w5_d193e13583
darunter	w7_d193e13586
7.	w9_d193e13589
Kinder.	w11_d193e13592
Den	w1_d193e13597
3.	w3_d193e13600
Nov.	w5_d193e13603
Jn	w1_d193e13608
der	w3_d193e13611
Stadt.	w5_d193e13614
</head>
<list id="l4_d193e13617">
Dem	w1_d193e13621
Wol=edel=geb.	w3_d193e13624
Hrn.	w5_d193e13627
Fried.	w7_d193e13630
Phil.	w9_d193e13633
v.	w11_d193e13636
Knoch,	w13_d193e13640
K.	w1_d193e13645
K.	w3_d193e13648
Hof	w5_d193e13651
und	w7_d193e13654
Staats=concipist.,	w9_d193e13657
s.	w11_d193e13660
T.	w13_d193e13664
Maria	w15_d193e13667
Theres.,	w1_d193e13672
im	w3_d193e13675
Maureris.	w5_d193e13678
H.	w7_d193e13681
am	w9_d193e13684
Hohenem,	w11_d193e13687
4.	w13_d193e13691
1.	w15_d193e13694
h.	w17_d193e13697
J.	w19_d193e13700
Hr.	w1_d193e13706
Joh.	w3_d193e13709
Georg	w5_d193e13712
Wisent,	w7_d193e13715
des	w9_d193e13718
aus.	w11_d193e13721
Stadt=rahts,	w13_d193e13725
im	w15_d193e13728
Stormeris.	w1_d193e13733
H.	w3_d193e13736
in	w5_d193e13739
der	w7_d193e13742
Kärntnerstr.,	w9_d193e13745
alt	w11_d193e13748
68.	w13_d193e13752
J.	w15_d193e13755
Dem	w1_d193e13760
Hrn.	w3_d193e13763
Franz	w5_d193e13766
Kistl,	w7_d193e13769
Burgerl.	w9_d193e13772
Handels=m.,	w11_d193e13775
s.	w13_d193e13779
K.	w15_d193e13782
Johanna,	w1_d193e13787
im	w3_d193e13790
Weberis.	w5_d193e13793
H.	w7_d193e13796
am,	w9_d193e13799
Grab.	w11_d193e13802
2.	w13_d193e13806
1.	w15_d193e13809
h	w17_d193e13812
J.	w19_d193e13815
Dem	w1_d193e13821
Hrn.	w3_d193e13824
Joh	w5_d193e13827
Reming,	w7_d193e13830
Herrschaftl.	w9_d193e13833
Kammer	w11_d193e13836
dien.	w13_d193e13840
s.	w1_d193e13845
K.	w3_d193e13848
Maria	w5_d193e13851
Anna,	w7_d193e13854
im	w9_d193e13857
Adelsburgis.	w11_d193e13860
H.	w13_d193e13864
bey	w15_d193e13867
unse.	w17_d193e13870
rem	w1_d193e13875
HErrn,	w3_d193e13878
alt	w5_d193e13881
6.	w7_d193e13884
J.	w9_d193e13887
Dem	w1_d193e13892
Mich.	w3_d193e13895
Orescher,	w5_d193e13898
Burgerl.	w7_d193e13901
