<doc id="wr_1760-11-15" attrs="word" year="1760" month="11" day="15" corpus="2">
<head id="h2_d501e2585">
Kensington	w1_d501e2589
Heil.	w11_d501e9809
Leo	w13_d501e9813
poldi	w1_d501e9819
Oesterrrichischen	w3_d501e9822
Landes=patron	w5_d501e9825
feyer	w7_d501e9828
lich	w1_d501e9833
zu	w3_d501e9836
begehen.	w5_d501e9839
</p>
<p id="p12_d501e9843">
Verflossenen	w1_d501e9847
Samstag,	w3_d501e9850
als	w5_d501e9853
den	w7_d501e9856
8.	w9_d501e9859
No	w11_d501e9862
vember	w1_d501e9867
ist	w3_d501e9870
in	w5_d501e9873
der	w7_d501e9876
grossen	w9_d501e9879
Hof=kapellen	w11_d501e9882
das	w13_d501e9886
Seel	w1_d501e9891
und	w3_d501e9894
Lob=amt	w5_d501e9897
für	w7_d501e9900
Weil.	w9_d501e9903
Jhre	w11_d501e9906
Ma	w13_d501e9910
jest.	w1_d501e9916
Maria	w3_d501e9919
Amalia	w5_d501e9922
Königin	w7_d501e9925
in	w9_d501e9928
Spanien,	w11_d501e9931
gebornen	w1_d501e9936
Königl.	w3_d501e9939
Pohlnisch	w5_d501e9942
und	w7_d501e9945
Chursach	w9_d501e9948
sischen	w1_d501e9953
Prinzeßin,	w3_d501e9956
worunter	w5_d501e9959
dem	w7_d501e9962
Seelamt	w9_d501e9965
die	w1_d501e9970
Hoch=adeliche	w3_d501e9973
Stern=creutz=ordens,	w5_d501e9976
dämen	w1_d501e9982
das	w3_d501e9985
Opfer	w5_d501e9988
abgeleget,	w7_d501e9991
gehalten	w9_d501e9994
worden.	w11_d501e9997
</p>
<head id="h2_d501e10003">
Lista	w1_d501e10007
deren	w3_d501e10010
Verstorbenen	w5_d501e10013
zu	w7_d501e10016
Wien	w9_d501e10019
in	w1_d501e10024
und	w3_d501e10027
vor	w5_d501e10030
der	w7_d501e10033
Stadt.	w9_d501e10036
Den	w1_d501e10041
11.	w3_d501e10044
Nov.	w5_d501e10047
Jn	w1_d501e10053
der	w3_d501e10056
Stadt.	w5_d501e10059
</head>
<list id="l4_d501e10062">
Hr.	w1_d501e10066
Georg	w3_d501e10069
Stifter,	w5_d501e10072
Burgerl.	w7_d501e10075
Handels=w.,	w9_d501e10078
im	w11_d501e10081
Bi	w13_d501e10085
schof=H.	w1_d501e10090
am	w3_d501e10093
Haiden=schuß,	w5_d501e10096
alt	w7_d501e10099
66.	w9_d501e10102
J.	w11_d501e10105
Dem	w1_d501e10110
Hrn.	w3_d501e10113
Jos.	w5_d501e10116
Ellepauer,	w7_d501e10119
K.	w9_d501e10122
K.	w11_d501e10125
Feld=cur.,	w13_d501e10129
s.	w15_d501e10132
K.	w17_d501e10135
Franz,	w1_d501e10141
im	w3_d501e10144
Hacklis.	w5_d501e10147
H.	w7_d501e10150
im	w9_d501e10153
Kumpf=gäs.,	w11_d501e10156
alt	w13_d501e10160
2.	w15_d501e10163
J	w17_d501e10166
</list>
<head id="h2_d501e10174">
Vor	w1_d501e10178
der	w3_d501e10181
Stadt.	w5_d501e10184
Der	w1_d501e10189
(Tit.)	w3_d501e10192
Fr.	w5_d501e10195
Theres.	w7_d501e10198
v.	w9_d501e10201
Rialp,	w11_d501e10204
Wittwe,	w13_d501e10208
ihr	w15_d501e10211
T.	w17_d501e10214
</head>
<list id="l8_d501e10227">
Dem	w1_d501e10231
Tob.	w3_d501e10234
Polzowsky,	w5_d501e10237
Burgerl.	w7_d501e10240
Feilhauern,	w9_d501e10243
s.	w11_d501e10246
K.	w13_d501e10250
Joh.,	w1_d501e10255
beym	w3_d501e10258
bl.	w5_d501e10261
Blumen=stock	w7_d501e10264
ausser	w9_d501e10267
Maria=hülf,	w11_d501e10270
alt	w1_d501e10275
7.	w3_d501e10278
J.	w5_d501e10281
Dem	w1_d501e10287
Jgnatz	w3_d501e10290
Eibel,	w5_d501e10293
Burgerl.	w7_d501e10296
Tändl.,	w9_d501e10299
s.	w11_d501e10302
W.	w13_d501e10306
Theres.,	w15_d501e10309
beym	w1_d501e10314
grün	w3_d501e10317
Lämmel	w5_d501e10320
am	w7_d501e10323
Spitalberg,	w9_d501e10326
alt	w11_d501e10329
27.	w13_d501e10333
J.	w15_d501e10336
Dem	w1_d501e10341
Mart.	w3_d501e10344
Grünmüller,	w5_d501e10347
Lehen	w7_d501e10350
kutsch.,	w9_d501e10353
s.	w11_d501e10356
W.	w13_d501e10360
Ca	w15_d501e10363
thar.,	w1_d501e10368
beym	w3_d501e10371
schwarz	w5_d501e10374
Rös	w7_d501e10377
am	w9_d501e10380
Neust.,	w11_d501e10383
alt	w13_d501e10387
64.	w15_d501e10390
J.	w17_d501e10393
Dem	w1_d501e10399
Christian	w3_d501e10402
Stephan,	w5_d501e10405
gew.	w7_d501e10408
Bruderschaftsan	w9_d501e10411
„sag.,	w1_d501e10416
s.	w3_d501e10419
W.	w5_d501e10422
Cathar.,	w7_d501e10425
beyn	w9_d501e10428
12.	w11_d501e10431
Himmels=zeich.	w13_d501e10435
bey	w15_d501e10438
St.	w1_d501e10443
Ulrich,	w3_d501e10446
alt	w5_d501e10449
68.	w7_d501e10452
J.	w9_d501e10455
Anna	w1_d501e10460
Pelserin,	w3_d501e10463
Wittwe,	w5_d501e10466
in	w7_d501e10469
der	w9_d501e10472
Schleif=mühl	w11_d501e10475
an	w13_d501e10479
der	w1_d501e10485
Wien,	w3_d501e10488
alt	w5_d501e10491
76.	w7_d501e10494
J.	w9_d501e10497
Summa	w1_d501e10502
8.	w3_d501e10505
Person.,	w5_d501e10508
darunter	w7_d501e10511
2.	w9_d501e10514
Kind.	w11_d501e10517
</list>
<head id="h2_d501e10524">
Den	w1_d501e10528
12.	w3_d501e10531
Nov.	w5_d501e10534
Jn	w7_d501e10537
der	w9_d501e10540
Stadt.	w11_d501e10543
</head>
<list id="l4_d501e10546">
Dem	w1_d501e10550
Hrn.	w3_d501e10553
Franz	w5_d501e10556
Ant.	w7_d501e10559
Danzer,	w9_d501e10562
des	w11_d501e10565
aus.	w13_d501e10569
Rahts,	w15_d501e10572
und	w17_d501e10575
Burg	w1_d501e10580
Riem,	w3_d501e10583
s.	w5_d501e10586
Fr.	w7_d501e10589
Anna	w9_d501e10592
Theres.,	w11_d501e10595
im	w13_d501e10599
Ruessenstei	w15_d501e10602
nis.	w1_d501e10607
H.	w3_d501e10610
in	w5_d501e10613
der	w7_d501e10616
Schulerstr.,	w9_d501e10619
alt	w11_d501e10622
58.	w13_d501e10626
J.	w15_d501e10629
Dem	w1_d501e10635
Hrn.	w3_d501e10638
Joh.	w5_d501e10641
Mich.	w7_d501e10644
Gabler,	w9_d501e10647
Burgerl.	w11_d501e10650
Eisen	w13_d501e10654
h.	w15_d501e10657
,	w17_d501e10660
s.	w1_d501e10665
Fr.	w3_d501e10668
Maria	w5_d501e10671
Anna	w7_d501e10674
Cäcil.,	w9_d501e10677
beyn	w11_d501e10680
3.	w13_d501e10684
Kron.	w15_d501e10687
am	w17_d501e10690
rot.	w19_d501e10693
Thurn,	w1_d501e10698
alt	w3_d501e10701
53.	w5_d501e10704
J.	w7_d501e10707
Fr.	w1_d501e10712
Sybil.	w3_d501e10715
Gerhardin,	w5_d501e10718
Burgerl.	w7_d501e10721
Wittwe,	w9_d501e10724
in	w11_d501e10727
ihrem	w13_d501e10731
H.	w1_d501e10737
in	w3_d501e10740
der	w5_d501e10743
Nagler=gas.,	w7_d501e10746
alt	w9_d501e10749
78.	w11_d501e10752
J.	w13_d501e10756
Joh	w1_d501e10761
Fux,	w3_d501e10764
Herrschaftl.	w5_d501e10767
Zucker=back.,	w7_d501e10770
im	w9_d501e10773
Questen	w11_d501e10776
bergis.	w1_d501e10781
H.	w3_d501e10784
in	w5_d501e10787
der	w7_d501e10790
Johannes=gas.,	w9_d501e10793
alt	w11_d501e10796
22.	w13_d501e10800
J.	w15_d501e10803
</list>
<head id="h2_d501e10810">
Vor	w1_d501e10814
der	w3_d501e10817
Stadt.	w5_d501e10820
</head>
<list id="l4_d501e10823">
Dem	w1_d501e10827
Hrn.	w3_d501e10830
Jos.	w5_d501e10833
Aber,	w7_d501e10836
Tract.	w9_d501e10839
im	w11_d501e10842
Kön.	w13_d501e10846
Hungaris.	w15_d501e10849
adelich.	w1_d501e10854
Garde=hof	w3_d501e10857
vorm	w5_d501e10860
Burg=thor,	w7_d501e10863
s.	w9_d501e10866
Fr.	w11_d501e10869
Fran	w13_d501e10873
cisca,	w1_d501e10878
alda,	w3_d501e10881
alt	w5_d501e10884
46.	w7_d501e10887
J.	w9_d501e10890
Joh.	w1_d501e10896
Laßner,	w3_d501e10899
Burgerl.	w5_d501e10902
Bind,	w7_d501e10905
im	w9_d501e10908
Maurermeisteris.	w11_d501e10911
H.	w1_d501e10916
am	w3_d501e10919
Himmel=pfort=gr.,	w5_d501e10922
alt	w7_d501e10925
29.	w9_d501e10928
J.	w11_d501e10931
Dem	w1_d501e10936
Ant.	w3_d501e10939
Lähner,	w5_d501e10942
Porcellan=mahl.,	w7_d501e10945
s.	w9_d501e10948
2.	w11_d501e10951
K.	w13_d501e10955
Carl,	w15_d501e10958
alt	w1_d501e10963
5.	w3_d501e10966
J.,	w5_d501e10969
und	w7_d501e10972
Vietoria,	w9_d501e10975
alt	w11_d501e10978
6.	w13_d501e10982
v.	w15_d501e10985
J.,	w17_d501e10988
beyde	w19_d501e10991
beym	w21_d501e10994
Wein=stock	w1_d501e11000
im	w3_d501e11003
Lerchenf.	w5_d501e11006
Ferd.	w1_d501e11011
Weber,	w3_d501e11014
Lack,	w5_d501e11017
im	w7_d501e11020
Fierlingeris.	w9_d501e11023
H.	w11_d501e11026
in	w13_d501e11030
der	w15_d501e11033
Leo	w17_d501e11036
poldst.,	w1_d501e11041
alt	w3_d501e11044
42.	w5_d501e11047
J.	w7_d501e11050
Dem	w1_d501e11055
Niclas	w3_d501e11058
Krapp,	w5_d501e11061
Lack.,	w7_d501e11064
s.	w9_d501e11067
K.	w11_d501e11070
Theres.,	w13_d501e11074
im	w15_d501e11077
Ge	w17_d501e11080
richt=schreiberis.	w1_d501e11086
H.	w3_d501e11089
auf	w5_d501e11092
der	w7_d501e11095
Wied,	w9_d501e11098
alt	w11_d501e11101
1.	w13_d501e11105
J.	w15_d501e11108
Dem	w1_d501e11113
Joh.	w3_d501e11116
Huter,	w5_d501e11119
Schreib.,	w7_d501e11122
s.	w9_d501e11125
W.	w11_d501e11128
Magdal.,	w13_d501e11132
im	w15_d501e11135
Maurer=polieris.	w1_d501e11140
H.	w3_d501e11143
in	w5_d501e11146
der	w7_d501e11149
Leopoldst.,	w9_d501e11152
alt	w11_d501e11155
43.	w13_d501e11159
J.	w15_d501e11162
Der	w1_d501e11167
Anna	w3_d501e11170
Fenzin,	w5_d501e11173
Wittwe,	w7_d501e11176
ihr	w9_d501e11179
T.	w11_d501e11182
Cathar.,	w13_d501e11186
bey	w15_d501e11189
der	w17_d501e11192
gros.	w1_d501e11198
Preß	w3_d501e11201
auf	w5_d501e11204
der	w7_d501e11207
Wied.,	w9_d501e11210
alt	w11_d501e11213
17.	w13_d501e11217
J.	w15_d501e11220
</list>
<head id="h2_d501e11227">
Summa	w1_d501e11231
12.	w3_d501e11234
Pers.,	w5_d501e11237
darunter	w7_d501e11240
8.	w9_d501e11243
Kind.	w11_d501e11246
Den	w1_d501e11251
13.	w3_d501e11254
Nov.	w5_d501e11257
Jn	w1_d501e11262
der	w3_d501e11265
Stadt.	w5_d501e11268
</head>
<list id="l4_d501e11271">
Dem	w1_d501e11275
Hrn.	w3_d501e11278
Franz	w5_d501e11281
Ant.	w7_d501e11284
Hober,	w9_d501e11287
Burgerl.	w11_d501e11290
Chyrurg,	w13_d501e11294
s.	w1_d501e11299
K.	w3_d501e11302
Cathar.,	w5_d501e11305
im	w7_d501e11308
alt	w9_d501e11311
Michaeler=H.	w11_d501e11314
am	w13_d501e11318
Kohim.	w15_d501e11321
alt	w1_d501e11326
7.	w3_d501e11329
J.	w5_d501e11332
Hr.	w1_d501e11338
Joh.	w3_d501e11341
Jos.	w5_d501e11344
Decker,	w7_d501e11347
Burgerl.	w9_d501e11350
Apotheck.	w11_d501e11353
im	w13_d501e11357
Ster	w15_d501e11360
neckis.	w1_d501e11365
H.	w3_d501e11368
in	w5_d501e11371
der	w7_d501e11374
Kärntnerstr.,	w9_d501e11377
alt	w11_d501e11380
45.	w13_d501e11384
J.	w15_d501e11387
Leop.	w1_d501e11392
Arbesser,	w3_d501e11395
Burgerl.	w5_d501e11398
Käß=stech.,	w7_d501e11401
im	w9_d501e11404
Litzenis.	w11_d501e11407
H.	w13_d501e11411
am	w1_d501e11416
Kohl=m.,	w3_d501e11419
alt	w5_d501e11422
49.	w7_d501e11425
J.	w9_d501e11428
</list>
<head id="h2_d501e11435">
Vor	w1_d501e11439
der	w3_d501e11442
Stadt.	w5_d501e11445
</head>
<list id="l4_d501e11448">
Dem	w1_d501e11452
Hrn.	w3_d501e11455
Joh.	w5_d501e11458
Leonh.	w7_d501e11461
Schneck,	w9_d501e11464
Wechsel=cas.,	w11_d501e11467
s.	w13_d501e11471
Fr.	w15_d501e11474
Theres.,	w1_d501e11479
beym	w3_d501e11482
gold.	w5_d501e11485
Rös.	w7_d501e11488
in	w9_d501e11491
der	w11_d501e11494
Leopoldst.,	w13_d501e11498
52.	w15_d501e11501
J.	w17_d501e11504
Eva	w1_d501e11509
Klausin,	w3_d501e11512
Wittwe,	w5_d501e11515
beym	w7_d501e11518
gold.	w9_d501e11521
Säbel	w11_d501e11524
bey	w13_d501e11528
St.	w15_d501e11531
Ulrich,	w1_d501e11537
alt	w3_d501e11540
78.	w5_d501e11543
J.	w7_d501e11546
</list>
<list id="l6_d501e11550">
Dem	w1_d501e11554
Franz	w3_d501e11557
Schindelecker,	w5_d501e11560
Schneid.,	w7_d501e11563
s.	w9_d501e11566
K.	w11_d501e11569
Theres.	w13_d501e11573
beyn	w1_d501e11578
2.	w3_d501e11581
Schwerd.	w5_d501e11584
im	w7_d501e11587
Liechtenth.,	w9_d501e11590
alt	w11_d501e11593
5.	w13_d501e11597
J.	w15_d501e11600
Dem	w1_d501e11605
Adam	w3_d501e11608
Federl,	w5_d501e11611
Vieh=handl,	w7_d501e11614
s.	w9_d501e11617
K.	w11_d501e11620
Juli	w13_d501e11624
na,	w15_d501e11627
bey	w17_d501e11630
dem	w1_d501e11636
weis	w3_d501e11639
Kreutz	w5_d501e11642
im	w7_d501e11645
Liechtenth,	w9_d501e11648
alt	w11_d501e11651
6.	w13_d501e11655
J.	w15_d501e11658
Dem	w1_d501e11663
Franz	w3_d501e11666
Kautz,	w5_d501e11669
Schneid,	w7_d501e11672
s.	w9_d501e11675
K.	w11_d501e11678
Carl,	w13_d501e11682
bey	w15_d501e11685
der	w17_d501e11688
bl.	w19_d501e11691
Kugel	w1_d501e11696
in	w3_d501e11699
der	w5_d501e11702
Alster=gas.,	w7_d501e11705
alt	w9_d501e11708
7.	w11_d501e11711
J.	w13_d501e11715
Dem	w1_d501e11720
Jos.	w3_d501e11723
Flieger,	w5_d501e11726
Geig.,	w7_d501e11729
s.	w9_d501e11732
W	w11_d501e11735
Maria	w13_d501e11739
Anna,	w15_d501e11742
im	w17_d501e11745
Lederis.	w1_d501e11751
H.	w3_d501e11754
im	w5_d501e11757
Liechtenth,	w7_d501e11760
alt	w9_d501e11763
60.	w11_d501e11766
J.	w13_d501e11770
Margar.	w1_d501e11775
Galindiu,	w3_d501e11778
Wittwe,	w5_d501e11781
im	w7_d501e11784
Rößleris.	w9_d501e11787
H.	w11_d501e11790
auf	w13_d501e11794
der	w1_d501e11799
Landst.,	w3_d501e11802
alt	w5_d501e11805
62.	w7_d501e11808
J.	w9_d501e11811
Dem	w1_d501e11816
Joh.	w3_d501e11819
Gretgosch,	w5_d501e11822
Geig.,	w7_d501e11825
s.	w9_d501e11828
K.	w11_d501e11831
Anna,	w13_d501e11835
bey	w15_d501e11838
dem	w17_d501e11841
rot.	w1_d501e11847
Krebs.	w3_d501e11850
am	w5_d501e11853
Neustift,	w7_d501e11856
alt	w9_d501e11859
4.	w11_d501e11862
J.	w13_d501e11866
</list>
<head id="h2_d501e11873">
Summa	w1_d501e11877
11.	w3_d501e11880
Pers.,	w5_d501e11883
darunter	w7_d501e11886
5.	w9_d501e11889
Kind.	w11_d501e11892
</head>
<p id="p4_d501e11895">
Demnach	w1_d501e11899
Jhro	w3_d501e11902
Kaiserl.	w5_d501e11905
Königl.	w7_d501e11908
Apstol.	w9_d501e11911
Ma	w11_d501e11914
jestät	w1_d501e11919
unser	w3_d501e11922
allergnädigste	w5_d501e11925
Frau	w7_d501e11928
durch	w9_d501e11931
dero	w11_d501e11934
un	w13_d501e11938
term	w1_d501e11943
21.	w3_d501e11946
Junii	w5_d501e11949
dies	w7_d501e11952
Jahrs	w9_d501e11955
publicirt=Allerhöch	w11_d501e11958
stes	w1_d501e11964
Patent	w3_d501e11967
allergnädigst	w5_d501e11970
anbefohlen,	w7_d501e11973
daß	w9_d501e11976
alle	w11_d501e11979
bey	w13_d501e11983
der	w1_d501e11988
N.	w3_d501e11991
Oe.	w5_d501e11994
Land=tafel	w7_d501e11997
auf	w9_d501e12000
denen	w11_d501e12003
hierländigen	w13_d501e12007
Herrschaften	w1_d501e12012
und	w3_d501e12015
Gütern	w5_d501e12018
bis	w7_d501e12021
ad	w9_d501e12024
Annum	w11_d501e12027
1758	w13_d501e12031
alt	w1_d501e12036
und	w3_d501e12039
indebite	w5_d501e12042
haftende,	w7_d501e12045
oder	w9_d501e12048
schon	w11_d501e12051
getilgte	w13_d501e12055
Schuld=posten	w1_d501e12061
eaßirt	w3_d501e12064
und	w5_d501e12067
extabulirt,	w7_d501e12070
auch	w9_d501e12073
re	w11_d501e12076
spectu	w1_d501e12081
jener,	w3_d501e12084
worüber	w5_d501e12087
die	w7_d501e12090
erforderliche	w9_d501e12093
Jnstru	w11_d501e12096
menten	w1_d501e12101
und	w3_d501e12104
Quittungen	w5_d501e12107
nicht	w7_d501e12110
vorhanden,	w9_d501e12113
die	w11_d501e12116
behörige	w1_d501e12121
Edicta	w3_d501e12124
ausgefertiget	w5_d501e12127
werden	w7_d501e12130
sollen.	w9_d501e12133
Als	w11_d501e12136
wird	w1_d501e12142
dem	w3_d501e12145
Publico	w5_d501e12148
hiemit	w7_d501e12151
kund	w9_d501e12154
gemacht:	w11_d501e12157
daß	w13_d501e12161
die	w1_d501e12166
diesfällige	w3_d501e12169
Caßir	w5_d501e12172
und	w7_d501e12175
Extabulations	w9_d501e12178
edicta	w11_d501e12181
in	w1_d501e12186
dem	w3_d501e12189
Land=haus	w5_d501e12192
in	w7_d501e12195
des	w9_d501e12198
N.	w11_d501e12201
Oe.	w13_d501e12205
Landmar	w15_d501e12208
schallischen	w1_d501e12213
Gerichts	w3_d501e12216
sogenannten	w5_d501e12219
Sommercanz	w7_d501e12222
ley,	w1_d501e12228
nebst	w3_d501e12231
einem	w5_d501e12234
ordentlichen	w7_d501e12237
Register	w9_d501e12240
afligirtet	w11_d501e12243
sich	w1_d501e12248
befinden,	w3_d501e12251
auch	w5_d501e12254
alldaselbst	w7_d501e12257
ausser	w9_d501e12260
Sonn	w11_d501e12263
und	w13_d501e12267
Feyertägen	w1_d501e12272
täglich	w3_d501e12275
Vor	w5_d501e12278
und	w7_d501e12281
Nachmittags	w9_d501e12284
alle	w11_d501e12287
zu	w1_d501e12292
extabuliren	w3_d501e12295
kommende	w5_d501e12298
Posten,	w7_d501e12301
sowol	w9_d501e12304
in	w11_d501e12307
de	w13_d501e12311
nen	w1_d501e12317
Edicten,	w3_d501e12320
als	w5_d501e12323
in	w7_d501e12326
dem	w9_d501e12329
Register	w11_d501e12332
von	w13_d501e12336
jedermalnn	w15_d501e12339
specifice	w1_d501e12344
eingesehen	w3_d501e12347
werden	w5_d501e12350
konnen.	w7_d501e12353
</p>
<p id="p6_d501e12356">
Wir	w1_d501e12360
Burgermeister	w3_d501e12363
Amts=verwalter	w5_d501e12366
und	w7_d501e12369
Raht	w9_d501e12372
der	w1_d501e12377
Stadt	w3_d501e12380
Wien,	w5_d501e12383
geben	w7_d501e12386
hiemit	w9_d501e12389
durch	w11_d501e12392
dieses	w13_d501e12396
of	w15_d501e12399
fene	w1_d501e12404
Edict	w3_d501e12407
jedermänniglich	w5_d501e12410
zu	w7_d501e12413
vernehmen,	w9_d501e12416
was	w11_d501e12419
gestalten	w1_d501e12425
wir	w3_d501e12428
über	w5_d501e12431
weiter	w7_d501e12434
beschehen	w9_d501e12437
schriftliches	w11_d501e12440
Anlangen	w1_d501e12445
und	w3_d501e12448
gehorsamstes	w5_d501e12451
Bitten	w7_d501e12454
Johann	w9_d501e12457
Schei	w11_d501e12460
ler,	w1_d501e12465
Paul	w3_d501e12468
Kopf,	w5_d501e12471
und	w7_d501e12474
übriger	w9_d501e12477
Ochsen=handlern	w11_d501e12480
der	w1_d501e12485
kleinen	w3_d501e12488
Compagnie	w5_d501e12491
zu	w7_d501e12494
Raab,	w9_d501e12497
wider	w11_d501e12500
Jacob	w13_d501e12504
Felix,	w1_d501e12510
Burgerl.	w3_d501e12513
Fleischhacker=meistern,	w5_d501e12516
und	w7_d501e12519
Mariam	w1_d501e12524
Annam	w3_d501e12527
dessen	w5_d501e12530
Ehewirtin	w7_d501e12533
unterm	w9_d501e12536
16.	w11_d501e12539
Septemb.	w1_d501e12544
1760.	w3_d501e12547
in	w5_d501e12550
ein	w7_d501e12553
nochmaliges	w9_d501e12556
Licitations	w11_d501e12559
edict	w1_d501e12564
gewilliget,	w3_d501e12567
und	w5_d501e12570
verordnet	w7_d501e12573
haben,	w9_d501e12576
daß	w11_d501e12579
die	w13_d501e12583
Felixische	w1_d501e12589
Behausung	w3_d501e12592
in	w5_d501e12595
der	w7_d501e12598
Leopoldstadt,	w9_d501e12601
samt	w11_d501e12604
darauf	w1_d501e12609
haftenden	w3_d501e12612
Fleischhacker=gewerb	w5_d501e12615
(jedoch	w7_d501e12618
mit	w1_d501e12623
Präfigirung	w3_d501e12626
eines	w5_d501e12629
4.	w7_d501e12632
wochentlichen	w9_d501e12635
Termins)	w11_d501e12638
nochmalen	w1_d501e12643
offentlich	w3_d501e12646
ausgefeilet,	w5_d501e12649
und	w7_d501e12652
dem	w9_d501e12655
Meist	w11_d501e12658
bietenden	w1_d501e12664
verkauffet	w3_d501e12667
werden	w5_d501e12670
solle;	w7_d501e12673
da	w9_d501e12676
nun	w11_d501e12679
hierzu	w13_d501e12683
der	w1_d501e12688
3.	w3_d501e12691
Monats=tag	w5_d501e12694
Decemb.	w7_d501e12697
lauffenden	w9_d501e12700
1760.	w11_d501e12703
Jahrs	w1_d501e12708
zur	w3_d501e12711
Tagsatzung	w5_d501e12714
bestimmet	w7_d501e12717
worden	w9_d501e12720
ist;	w11_d501e12723
als	w13_d501e12727
wird	w1_d501e12732
ein	w3_d501e12735
solches	w5_d501e12738
hiemit	w7_d501e12741
jedermann,	w9_d501e12744
wer	w11_d501e12747
etwann	w13_d501e12751
dieses	w1_d501e12757
Haus	w3_d501e12760
samt	w5_d501e12763
Fleischhacker=gewerb	w7_d501e12766
käuflichen	w9_d501e12769
an	w1_d501e12774
sich	w3_d501e12777
zu	w5_d501e12780
bringen	w7_d501e12783
gesinnet	w9_d501e12786
ist,	w11_d501e12789
mit	w13_d501e12793
diesem	w15_d501e12796
Edict	w17_d501e12799
zu	w1_d501e12804
dem	w3_d501e12807
Ende	w5_d501e12810
kund	w7_d501e12813
und	w9_d501e12816
zu	w11_d501e12819
wissen	w13_d501e12823
gemacht,	w15_d501e12826
da	w17_d501e12829
mit	w1_d501e12834
</p>
<p id="p10_d501e12839">
mit	w1_d501e12843
ein	w3_d501e12846
sich	w5_d501e12849
hervorthuender	w7_d501e12852
Kauffer	w9_d501e12855
bey	w11_d501e12858
obbe	w13_d501e12862
weldt=bestimmten	w1_d501e12867
Licitations=tagsatzung	w3_d501e12870
fruhe	w5_d501e12873
um	w1_d501e12878
9.	w3_d501e12881
Uhr,	w5_d501e12884
oder	w7_d501e12887
da	w9_d501e12890
wir	w11_d501e12893
selbigen	w13_d501e12897
Tags	w15_d501e12900
etwa	w17_d501e12903
anderer	w1_d501e12909
Geschäften	w3_d501e12912
halber	w5_d501e12915
nicht	w7_d501e12918
zu	w9_d501e12921
Raht	w11_d501e12924
sitzeten,	w13_d501e12928
den	w1_d501e12933
nächst	w3_d501e12936
darauf	w5_d501e12939
folgenden	w7_d501e12942
Rahts=tag	w9_d501e12945
vor	w11_d501e12948
uns	w13_d501e12952
erscheinen,	w1_d501e12957
und	w3_d501e12960
sich	w5_d501e12963
bey	w7_d501e12966
unser,	w9_d501e12969
und	w11_d501e12972
gemeiner	w13_d501e12976
Stadt	w1_d501e12981
Grund=buch	w3_d501e12984
durch	w5_d501e12987
den	w7_d501e12990
daselbstigen	w9_d501e12993
Amts	w11_d501e12996
schreiber	w1_d501e13002
anmelden	w3_d501e13005
lassen	w5_d501e13008
möge,	w7_d501e13011
alwo	w9_d501e13014
sodann	w11_d501e13017
das	w13_d501e13021
Weiter=behörige	w1_d501e13026
tractiret	w3_d501e13029
werden	w5_d501e13032
solle.	w7_d501e13035
</p>
<p id="p12_d501e13039">
Wir	w1_d501e13043
Burger=meister	w3_d501e13046
Amts=verwalter	w5_d501e13049
und	w7_d501e13052
Raht	w9_d501e13055
der	w1_d501e13060
Stadt	w3_d501e13063
Wien,	w5_d501e13066
geben	w7_d501e13069
hiemit	w9_d501e13072
durch	w11_d501e13075
dieses	w13_d501e13079
of	w15_d501e13082
jene	w1_d501e13087
Edict	w3_d501e13090
jedermänniglich	w5_d501e13093
zu	w7_d501e13096
vernehmen,	w9_d501e13099
was	w11_d501e13102
gestalten	w1_d501e13108
wir	w3_d501e13111
über	w5_d501e13114
schriftlich	w7_d501e13117
beschehenes	w9_d501e13120
Anlan	w11_d501e13123
Joseph	w1_d501e13128
Schau	w3_d501e13131
gen,	w1_d501e13136
und	w3_d501e13139
gehorsamstes	w5_d501e13142
Bitten	w7_d501e13145
mann,	w1_d501e13150
Burgerl.	w3_d501e13153
Gold	w5_d501e13156
und	w7_d501e13159
Silber=tratziehers	w9_d501e13162
alhier,	w1_d501e13168
wider	w3_d501e13171
den	w5_d501e13174
Johann	w7_d501e13177
Georg	w9_d501e13180
Khelhamer,	w11_d501e13183
miterm	w1_d501e13188
5.	w3_d501e13191
May	w5_d501e13194
dies	w7_d501e13197
Jahrs	w9_d501e13200
in	w11_d501e13203
ein	w13_d501e13207
gewöhnliches	w15_d501e13210
Licitations=edict	w1_d501e13215
gewilliget,	w3_d501e13218
und	w5_d501e13221
verordnet	w7_d501e13224
ha	w9_d501e13227
ben,	w1_d501e13232
daß	w3_d501e13235
die	w5_d501e13238
Khelhamerische	w7_d501e13241
Behausung	w9_d501e13244
in	w11_d501e13247
der	w13_d501e13251
Josephstadt	w1_d501e13257
offentlich	w3_d501e13260
ausgefeilet,	w5_d501e13263
und	w7_d501e13266
dem	w9_d501e13269
Meist	w11_d501e13272
bietenden	w1_d501e13277
verkauffet	w3_d501e13280
werden	w5_d501e13283
solle.	w7_d501e13286
Da	w9_d501e13289
nun	w11_d501e13292
hier	w13_d501e13296
zu	w1_d501e13301
der	w3_d501e13304
17.	w5_d501e13307
Monats=tag	w7_d501e13310
Novemb.	w9_d501e13313
lauffenden	w11_d501e13316
Jahrs	w13_d501e13320
zur	w1_d501e13325
TTagsatzung	w3_d501e13328
bestimmet	w5_d501e13331
worden	w7_d501e13334
ist;	w9_d501e13337
als	w11_d501e13340
wird	w13_d501e13344
ein	w1_d501e13350
solches	w3_d501e13353
hiemit	w5_d501e13356
jedermann,	w7_d501e13359
wer	w9_d501e13362
