<doc id="wr_1760-01-02" attrs="word" year="1760" month="01" day="02" corpus="2">
<head id="h2_d411e2925">
Erfurt	w1_d411e2929
und	w5_d411e10206
die	w7_d411e10209
Resolution,	w9_d411e10212
haben	w11_d411e10215
auf	w13_d411e10219
unsern	w1_d411e10224
Küsten	w3_d411e10227
gescheitert.	w5_d411e10230
Der	w7_d411e10233
Herzog	w9_d411e10236
von	w1_d411e10242
Aiguillon	w3_d411e10245
hat	w5_d411e10248
selbige,	w7_d411e10251
nachdeme	w9_d411e10254
man	w11_d411e10257
vorhero	w1_d411e10262
alles	w3_d411e10265
salviret,	w5_d411e10268
was	w7_d411e10271
möglich	w9_d411e10274
gewe	w11_d411e10277
sen,	w1_d411e10282
verbrennen	w3_d411e10285
lassen.	w5_d411e10288
Er	w7_d411e10291
liesse	w9_d411e10294
auch	w11_d411e10297
auf	w13_d411e10301
jeder	w1_d411e10306
Seite	w3_d411e10309
des	w5_d411e10312
Einflusses	w7_d411e10315
von	w9_d411e10318
la	w11_d411e10321
Vilaine	w13_d411e10325
Batterien	w1_d411e10331
aufrichten,	w3_d411e10334
so,	w5_d411e10337
daß	w7_d411e10340
unsere	w9_d411e10343
7.	w11_d411e10346
Schiffe	w1_d411e10351
und	w3_d411e10354
4.	w5_d411e10357
Fregatten,	w7_d411e10360
welche	w9_d411e10363
in	w11_d411e10366
diese	w13_d411e10370
Reviere	w1_d411e10375
sich	w3_d411e10378
geflüchtet,	w5_d411e10381
in	w7_d411e10384
guter	w9_d411e10387
Sicherheit	w11_d411e10390
sich	w1_d411e10395
befinden.	w3_d411e10398
Als	w5_d411e10401
man	w7_d411e10404
auf	w9_d411e10407
der	w11_d411e10410
Küste	w13_d411e10414
ge	w15_d411e10417
wahr	w1_d411e10423
wurde,	w3_d411e10426
daß	w5_d411e10429
die	w7_d411e10432
beyden	w9_d411e10435
Schiffe,	w11_d411e10438
die	w13_d411e10442
Königl.	w1_d411e10447
Sonne	w3_d411e10450
und	w5_d411e10453
der	w7_d411e10456
Held,	w9_d411e10459
in	w11_d411e10462
so	w13_d411e10466
noht	w15_d411e10469
leidenden	w1_d411e10474
Umständen	w3_d411e10477
steckten,	w5_d411e10480
sind	w7_d411e10483
die	w9_d411e10486
Ein	w11_d411e10489
wohner	w1_d411e10494
von	w3_d411e10497
Croisic	w5_d411e10500
Hauffen=weis	w7_d411e10503
aus	w9_d411e10506
Ufer	w11_d411e10509
geloffen,	w1_d411e10515
und	w3_d411e10518
haben	w5_d411e10521
so	w7_d411e10524
viel	w9_d411e10527
als	w11_d411e10530
möglich,	w13_d411e10534
die	w1_d411e10539
Leute	w3_d411e10542
gerettet.	w5_d411e10545
Das	w7_d411e10548
erste	w9_d411e10551
derselben,	w11_d411e10554
welches	w1_d411e10559
fast	w3_d411e10562
gänzlich	w5_d411e10565
zerschmettert	w7_d411e10568
war,	w9_d411e10571
stelte	w11_d411e10574
das	w1_d411e10579
allertraurigste	w3_d411e10582
Schauspiel	w5_d411e10585
vor,	w7_d411e10588
durch	w9_d411e10591
den	w1_d411e10597
Anblick	w3_d411e10600
so	w5_d411e10603
vieler	w7_d411e10606
Menschen,	w9_d411e10609
welche	w11_d411e10612
mit	w13_d411e10616
gegen	w1_d411e10621
Himmel	w3_d411e10624
gehobenen	w5_d411e10627
Händen	w7_d411e10630
zwischen	w9_d411e10633
Leben	w1_d411e10638
und	w3_d411e10641
Tod	w5_d411e10644
schwebeten,	w7_d411e10647
und	w9_d411e10650
vor	w11_d411e10653
Kälte	w13_d411e10657
fast	w1_d411e10662
erstarreten.	w3_d411e10665
Der	w5_d411e10668
Herr	w7_d411e10671
Herzog	w9_d411e10674
von	w11_d411e10677
Aiguillon	w1_d411e10683
erhobe	w3_d411e10686
sich	w5_d411e10689
in	w7_d411e10692
Person	w9_d411e10695
nach	w11_d411e10698
Croi	w13_d411e10702
sic,	w1_d411e10707
und	w3_d411e10710
gienge	w5_d411e10713
ihnen	w7_d411e10716
mit	w9_d411e10719
möglicher	w11_d411e10722
Hülfe	w13_d411e10726
an	w1_d411e10731
die	w3_d411e10734
Hand.	w5_d411e10737
Man	w7_d411e10740
schreibt	w9_d411e10743
von	w11_d411e10746
Vannes,	w13_d411e10750
daß	w1_d411e10755
die	w3_d411e10758
Feinde	w5_d411e10761
noch	w7_d411e10764
beständig	w9_d411e10767
in	w11_d411e10770
selbigen	w13_d411e10774
Gegenden	w1_d411e10780
sich	w3_d411e10783
aufhalten,	w5_d411e10786
gleichwol	w7_d411e10789
aber	w9_d411e10792
kei	w11_d411e10795
ne	w1_d411e10800
Anstalten	w3_d411e10803
zu	w5_d411e10806
machen	w7_d411e10809
schienen,	w9_d411e10812
als	w11_d411e10815
wann	w13_d411e10819
sie	w1_d411e10824
eine	w3_d411e10827
frische	w5_d411e10830
Unternehmung	w7_d411e10833
gegen	w9_d411e10836
unsere	w11_d411e10839
zertheilte	w1_d411e10844
Flotte	w3_d411e10847
wagen	w5_d411e10850
wollten.	w7_d411e10853
Jhr	w9_d411e10856
Ad	w11_d411e10859
miral,	w1_d411e10865
Herr	w3_d411e10868
Hawke,	w5_d411e10871
hätte	w7_d411e10874
einen	w9_d411e10877
seiner	w11_d411e10880
Officiers	w1_d411e10885
an	w3_d411e10888
den	w5_d411e10891
Herrn	w7_d411e10894
Herzogen	w9_d411e10897
von	w11_d411e10900
Ai	w13_d411e10904
quillon	w1_d411e10909
geschicket,	w3_d411e10912
und	w5_d411e10915
ihme	w7_d411e10918
die	w9_d411e10921
Bleßirten,	w11_d411e10924
des	w1_d411e10929
</p>
<p id="p10_d411e10934">
desgleichen	w1_d411e10938
die	w3_d411e10941
auf	w5_d411e10944
denen	w7_d411e10947
gefangenen	w9_d411e10950
Schif	w11_d411e10953
fen	w1_d411e10958
gefundene	w3_d411e10961
regulierte	w5_d411e10964
Trupen	w7_d411e10967
angebotten.	w9_d411e10970
</p>
<head id="h2_d411e10976">
Prag	w1_d411e10980
22.	w3_d411e10983
December.	w5_d411e10986
1759.	w7_d411e10989
</head>
<p id="p4_d411e10992">
Seit	w1_d411e10996
einigen	w3_d411e10999
Tagen	w5_d411e11002
ist	w7_d411e11005
allhier	w9_d411e11008
eine	w11_d411e11011
der	w13_d411e11015
streugsten	w1_d411e11020
Kälten,	w3_d411e11023
dergleichen	w5_d411e11026
man	w7_d411e11029
seit	w9_d411e11032
eini	w11_d411e11035
gen	w1_d411e11040
Jahren	w3_d411e11043
nicht	w5_d411e11046
gehabt.	w7_d411e11049
Der	w9_d411e11052
hiesige	w11_d411e11055
Moldau=fluß	w1_d411e11061
ist	w3_d411e11064
völlig	w5_d411e11067
mit	w7_d411e11070
Eis	w9_d411e11073
beleget,	w11_d411e11076
und	w13_d411e11080
man	w1_d411e11085
hat	w3_d411e11088
bereits	w5_d411e11091
vor	w7_d411e11094
dreyen	w9_d411e11097
Tagen	w11_d411e11100
das	w13_d411e11104
Eis	w15_d411e11107
zu	w1_d411e11112
hauen	w3_d411e11115
angefangen,	w5_d411e11118
und	w7_d411e11121
solches	w9_d411e11124
in	w11_d411e11127
die	w13_d411e11131
Keller	w1_d411e11136
verführet.	w3_d411e11139
Sonsten	w5_d411e11142
hat	w7_d411e11145
man	w9_d411e11148
abge	w11_d411e11151
wichener	w1_d411e11157
Tagen	w3_d411e11160
viele	w5_d411e11163
Fuhren	w7_d411e11166
Bretter	w9_d411e11169
von	w11_d411e11172
hier	w1_d411e11177
nach	w3_d411e11180
Dresden	w5_d411e11183
abgeführet,	w7_d411e11186
wohin	w9_d411e11189
auch	w11_d411e11192
täglich	w1_d411e11197
vieles	w3_d411e11200
Proviant	w5_d411e11203
und	w7_d411e11206
andere	w9_d411e11209
Victua	w11_d411e11212
lien	w1_d411e11217
transportiret	w3_d411e11220
wird.	w5_d411e11223
Sowol	w7_d411e11226
in	w9_d411e11229
dieser,	w11_d411e11232
als	w1_d411e11238
in	w3_d411e11241
der	w5_d411e11244
abgewichenen	w7_d411e11247
Woche,	w9_d411e11250
hat	w11_d411e11253
man	w13_d411e11257
viele	w1_d411e11262
Preußische	w3_d411e11265
Officiers,	w5_d411e11268
so	w7_d411e11271
bey	w9_d411e11274
denen	w11_d411e11277
letz	w13_d411e11281
tern	w1_d411e11286
Affairen	w3_d411e11289
zu	w5_d411e11292
Kriegs=gefangenen	w7_d411e11295
ge	w9_d411e11298
macht	w1_d411e11303
worden,	w3_d411e11306
auf	w5_d411e11309
Wägen	w7_d411e11312
anhero	w9_d411e11315
gebracht,	w11_d411e11318
welche	w1_d411e11324
weiters	w3_d411e11327
von	w5_d411e11330
hier	w7_d411e11333
abgehen	w9_d411e11336
sollen,	w11_d411e11339
und	w1_d411e11344
seynd	w3_d411e11347
derselben	w5_d411e11350
noch	w7_d411e11353
mehrere	w9_d411e11356
auf	w11_d411e11359
dem	w13_d411e11363
Beg	w1_d411e11368
hieher	w3_d411e11371
begriffen.	w5_d411e11374
</p>
<head id="h2_d411e11380">
Kurz=gefaßte	w1_d411e11384
Nachrichten	w3_d411e11387
von	w1_d411e11392
verschiedenen	w3_d411e11395
Orten.	w5_d411e11398
</head>
<p id="p4_d411e11401">
Briefe	w1_d411e11405
von	w3_d411e11408
Frankfort	w5_d411e11411
an	w7_d411e11414
der	w9_d411e11417
Oder	w11_d411e11420
geben,	w13_d411e11424
daß,	w1_d411e11429
ungeachtet	w3_d411e11432
die	w5_d411e11435
Rußische	w7_d411e11438
Armee	w9_d411e11441
bereits	w11_d411e11444
in	w13_d411e11448
denen	w1_d411e11453
Winter=quartieren	w3_d411e11456
sich	w5_d411e11459
befinde,	w7_d411e11462
die	w9_d411e11465
leichte	w1_d411e11471
Trupen	w3_d411e11474
davon	w5_d411e11477
dannoch	w7_d411e11480
an	w9_d411e11483
denen	w11_d411e11486
Grän	w13_d411e11490
zen	w1_d411e11495
von	w3_d411e11498
Brandenburg	w5_d411e11501
und	w7_d411e11504
Schlesien	w9_d411e11507
un	w11_d411e11510
aufhörlich	w1_d411e11515
streisfen,	w3_d411e11518
gleich	w5_d411e11521
dann	w7_d411e11524
dieselbe	w9_d411e11527
un	w11_d411e11530
ter	w1_d411e11535
anderen	w3_d411e11538
Zettitz,	w5_d411e11541
Leutnitz,	w7_d411e11544
Krammers	w9_d411e11547
horn,	w1_d411e11553
Bandach,	w3_d411e11556
Balzig,	w5_d411e11559
Züllichau	w7_d411e11562
und	w9_d411e11565
Schwibus	w1_d411e11570
wie	w3_d411e11573
auch	w5_d411e11576
Drossen	w7_d411e11579
und	w9_d411e11582
Reppen	w11_d411e11585
in	w13_d411e11589
Contribution	w1_d411e11594
gesetzet	w3_d411e11597
haben.	w5_d411e11600
</p>
<p id="p6_d411e11603">
Man	w1_d411e11607
berichtet	w3_d411e11610
von	w5_d411e11613
Erfurt,	w7_d411e11616
daß	w9_d411e11619
das	w11_d411e11622
Hanövrische	w1_d411e11627
Corps	w3_d411e11630
(welches	w5_d411e11633
in	w7_d411e11636
17.	w9_d411e11639
oder	w11_d411e11642
18.	w1_d411e11647
tausend	w3_d411e11650
Mann	w5_d411e11653
bestehen	w7_d411e11656
solle)	w9_d411e11659
unter	w11_d411e11662
Commando	w1_d411e11668
des	w3_d411e11671
Erb=prinzens	w5_d411e11674
von	w7_d411e11677
Braun	w9_d411e11680
schweig	w1_d411e11685
den	w3_d411e11688
19.	w5_d411e11691
und	w7_d411e11694
20.	w9_d411e11697
dieses	w11_d411e11700
Monats	w13_d411e11704
alda	w1_d411e11709
durchgezogen	w3_d411e11712
seye,	w5_d411e11715
und	w7_d411e11718
daß	w9_d411e11721
diese	w11_d411e11724
Tru	w13_d411e11728
pen	w1_d411e11733
ziemlich	w3_d411e11736
gute	w5_d411e11739
Manns=zucht	w7_d411e11742
gehalten	w9_d411e11745
haben.	w1_d411e11751
Es	w3_d411e11754
ist	w5_d411e11757
aber	w7_d411e11760
anbey	w9_d411e11763
nicht	w11_d411e11766
zu	w13_d411e11770
be	w15_d411e11773
</p>
<p id="p8_d411e11776">
schreiben,	w1_d411e11780
was	w3_d411e11783
für	w5_d411e11786
Ungemach	w7_d411e11789
dieselbe	w9_d411e11792
auf	w11_d411e11795
diesen	w1_d411e11800
Marsch	w3_d411e11803
erlitten,	w5_d411e11806
indem	w7_d411e11809
sie	w9_d411e11812
überall	w11_d411e11815
eine	w13_d411e11819
beträchtliche	w1_d411e11824
Anzahl	w3_d411e11827
Kranke	w5_d411e11830
zuruck	w7_d411e11833
lassen	w9_d411e11836
müssen.	w1_d411e11842
</p>
<p id="p10_d411e11845">
Zufolge	w1_d411e11849
deren	w3_d411e11852
Briefen	w5_d411e11855
von	w7_d411e11858
Madrid	w9_d411e11861
vom	w11_d411e11864
3.	w1_d411e11869
December	w3_d411e11872
ist	w5_d411e11875
der	w7_d411e11878
daselbstige	w9_d411e11881
Hof	w11_d411e11884
erst	w13_d411e11888
den	w15_d411e11891
1.	w1_d411e11896
dieses	w3_d411e11899
Monats	w5_d411e11902
von	w7_d411e11905
Saragossa	w9_d411e11908
abgerei	w11_d411e11911
set,	w1_d411e11917
und	w3_d411e11920
zumalen	w5_d411e11923
derselbe	w7_d411e11926
bey	w9_d411e11929
so	w11_d411e11932
kurzen	w13_d411e11936
Tä	w15_d411e11939
gen	w1_d411e11944
sothane	w3_d411e11947
Reise	w5_d411e11950
angetretten,	w7_d411e11953
so	w9_d411e11956
hat	w11_d411e11959
er	w13_d411e11963
an	w1_d411e11968
dem	w3_d411e11971
Tag	w5_d411e11974
seiner	w7_d411e11977
beschehenen	w9_d411e11980
Abreise	w11_d411e11983
in	w1_d411e11988
dem	w3_d411e11991
Dorf	w5_d411e11994
Maria,	w7_d411e11997
zwey	w9_d411e12000
Meilen	w11_d411e12003
weit	w13_d411e12007
von	w15_d411e12010
Saragossa	w1_d411e12016
entfernet,	w3_d411e12019
das	w5_d411e12022
erste	w7_d411e12025
Nucht=lager	w9_d411e12028
gehalten.	w1_d411e12033
Uebrigens	w3_d411e12036
aber	w5_d411e12039
befinden	w7_d411e12042
sich	w9_d411e12045
nun	w11_d411e12048
mehro	w1_d411e12053
beede	w3_d411e12056
Königl.	w5_d411e12059
Majestäten,	w7_d411e12062
und	w9_d411e12065
die	w11_d411e12068
ganze	w1_d411e12073
übrige	w3_d411e12076
Königl.	w5_d411e12079
Famille	w7_d411e12082
in	w9_d411e12085
vollkom	w11_d411e12088
mener	w1_d411e12094
Gesundheit.	w3_d411e12097
</p>
<head id="h2_d411e12109">
Wien	w1_d411e12113
den	w3_d411e12116
2.	w5_d411e12119
Januarii	w7_d411e12122
1760	w9_d411e12125
</head>
<p id="p4_d411e12128">
Samstag	w1_d411e12132
den	w3_d411e12135
29sten	w5_d411e12138
abgeloffenen	w7_d411e12141
Mo	w9_d411e12144
nats	w1_d411e12149
Decembr.	w3_d411e12152
haben	w5_d411e12155
beede	w7_d411e12158
Kaiserl.	w9_d411e12161
Majestäten	w1_d411e12166
nach	w3_d411e12169
dem	w5_d411e12172
gehaltenen	w7_d411e12175
Gottes	w9_d411e12178
dienst,	w1_d411e12184
mit	w3_d411e12187
denen	w5_d411e12190
wichtigen	w7_d411e12193
Staats	w9_d411e12196
und	w11_d411e12199
Landes=angelegenheilen	w1_d411e12204
sich	w3_d411e12207
beschäftiget.	w5_d411e12210
</p>
<p id="p6_d411e12213">
Sontags	w1_d411e12217
den	w3_d411e12220
30.	w5_d411e12223
Decemb.	w7_d411e12226
haben	w9_d411e12229
bey	w11_d411e12232
derseits	w1_d411e12237
Kaiserl.	w3_d411e12240
Königl.	w5_d411e12243
Majestäten	w7_d411e12246
aller	w9_d411e12249
gnädigst	w1_d411e12254
geruhet,	w3_d411e12257
die	w5_d411e12260
durch	w7_d411e12263
den	w9_d411e12266
Tod	w11_d411e12269
Weil.	w13_d411e12273
des	w1_d411e12279
Herrn	w3_d411e12282
Grafens	w5_d411e12285
von	w7_d411e12288
Königsegg=erps	w9_d411e12291
Excellenz	w1_d411e12296
erledigte	w3_d411e12299
Kais.	w5_d411e12302
und	w7_d411e12305
Kais.	w9_d411e12308
Königl.	w11_d411e12311
Hof=kammer	w1_d411e12316
präsidenten=stelle	w3_d411e12319
Sr.	w5_d411e12322
Excellenz	w7_d411e12325
dem	w1_d411e12330
Herrn	w3_d411e12333
Rudolph	w5_d411e12336
Grafen	w7_d411e12339
von	w9_d411e12342
Choteck	w11_d411e12345
Allerhöchst=derenselben	w1_d411e12351
würklich	w3_d411e12354
geheimen	w5_d411e12357
Raht,	w1_d411e12362
Rittern	w3_d411e12365
des	w5_d411e12368
goldenen	w7_d411e12371
Vliesses,	w9_d411e12374
der	w11_d411e12377
Mi	w13_d411e12381
nisterial=banco=deputation,	w1_d411e12386
und	w3_d411e12389
des	w5_d411e12392
Commer	w7_d411e12395
cien=directorii	w1_d411e12400
Präsidenten	w3_d411e12403
zu	w5_d411e12406
verleihen,	w7_d411e12409
und	w9_d411e12412
seynd	w1_d411e12418
Se.	w3_d411e12421
Excellenz	w5_d411e12424
sodann	w7_d411e12427
von	w9_d411e12430
(Titl.)	w11_d411e12433
Sr.	w13_d411e12437
Excellenz	w1_d411e12442
dem	w3_d411e12445
Kaiserl.	w5_d411e12448
Königl.	w7_d411e12451
Obristhof	w9_d411e12454
meistern	w1_d411e12459
Grafen	w3_d411e12462
von	w5_d411e12465
Uhlfeld	w7_d411e12468
gehörig	w9_d411e12471
vorge	w11_d411e12474
stellet	w1_d411e12479
worden.	w3_d411e12482
</p>
<p id="p8_d411e12485">
Dieser	w1_d411e12489
Minister	w3_d411e12492
behält	w5_d411e12495
dabey,	w7_d411e12498
wie	w9_d411e12501
bis	w11_d411e12504
her,	w1_d411e12509
das	w3_d411e12512
Präsidium	w5_d411e12515
über	w7_d411e12518
den	w9_d411e12521
Banco,	w11_d411e12524
dessen	w13_d411e12528
Ordnung,	w1_d411e12533
und	w3_d411e12536
Grund=sätze	w5_d411e12539
unveränderlich	w7_d411e12542
verbleiben.	w1_d411e12548
</p>
<p id="p14_d411e12562">
Nomag	w1_d411e12566
den	w3_d411e12569
32.	w5_d411e12572
December	w7_d411e12575
haben	w9_d411e12578
Se.	w11_d411e12581
Majestät	w1_d411e12586
der	w3_d411e12589
Kaiser	w5_d411e12592
der	w7_d411e12595
feyerlichen	w9_d411e12598
Toison	w11_d411e12601
vesper	w1_d411e12606
beyhewohnet,	w3_d411e12609
worauf	w5_d411e12612
der	w7_d411e12615
gewöhn	w9_d411e12618
liche	w1_d411e12624
Gottes=dienst	w3_d411e12627
zum	w5_d411e12630
Beschluß	w7_d411e12633
in	w9_d411e12636
der	w11_d411e12639
Kammer=kapellen	w1_d411e12644
beschahe.	w3_d411e12647
</p>
<p id="p16_d411e12650">
Dienstag	w1_d411e12654
den	w3_d411e12657
1.	w5_d411e12660
Jan.	w7_d411e12663
als	w9_d411e12666
an	w11_d411e12669
dem	w13_d411e12673
neuen	w15_d411e12676
Jahrs=tag	w1_d411e12681
Vormittags	w3_d411e12684
um	w5_d411e12687
11.	w7_d411e12690
Uhr	w9_d411e12693
seynd	w11_d411e12696
beede	w1_d411e12701
Kaiserl.	w3_d411e12704
Majestäten	w5_d411e12707
in	w7_d411e12710
offentlichen	w9_d411e12713
Staat	w1_d411e12719
nach	w3_d411e12722
der	w5_d411e12725
Kirche	w7_d411e12728
des	w9_d411e12731
Profeß=hauses	w11_d411e12734
S.	w1_d411e12739
J.	w3_d411e12742
am	w5_d411e12745
Hof	w7_d411e12748
abgefahren,	w9_d411e12751
alwo	w11_d411e12754
die	w13_d411e12758
Her	w15_d411e12761
ren	w1_d411e12766
Ordens=rittere	w3_d411e12769
des	w5_d411e12772
goldenen	w7_d411e12775
Vlies	w9_d411e12778
ses	w1_d411e12783
die	w3_d411e12786
Aufwartung	w5_d411e12789
gemacht,	w7_d411e12792
und	w9_d411e12795
alda	w11_d411e12798
dem	w13_d411e12802
hoch=feyerlichen	w1_d411e12808
Fest	w3_d411e12811
des	w5_d411e12814
allerheiligsten	w7_d411e12817
Na	w9_d411e12820
mens	w1_d411e12825
Jesu	w3_d411e12828
beygewohnet.	w5_d411e12831
</p>
<head id="h2_d411e12838">
Lista	w1_d411e12842
deren	w3_d411e12845
Verstorbenen	w5_d411e12848
zu	w7_d411e12851
Wien	w9_d411e12854
in	w1_d411e12859
und	w3_d411e12862
vor	w5_d411e12865
der	w7_d411e12868
Stadt.	w9_d411e12871
Den	w1_d411e12876
28.	w3_d411e12879
Dec.	w5_d411e12882
1759.	w7_d411e12885
Jn	w1_d411e12891
der	w3_d411e12894
Stadt.	w5_d411e12897
</head>
<list id="l4_d411e12900">
Der	w1_d411e12904
Hoch=geb.	w3_d411e12907
Hr.	w5_d411e12910
Hr.	w7_d411e12913
Carl	w9_d411e12916
Jac.	w11_d411e12919
de	w13_d411e12923
Langquail,	w15_d411e12926
des	w17_d411e12929
H.	w1_d411e12934
R.	w3_d411e12937
R.	w5_d411e12940
Graf	w7_d411e12943
v.	w9_d411e12946
Puquay,	w11_d411e12949
Frey=herr	w13_d411e12953
zu	w15_d411e12956
Vaux,	w17_d411e12959
Commendator	w1_d411e12964
zweyer	w3_d411e12967
Campag	w5_d411e12970
von	w7_d411e12973
der	w9_d411e12976
Ordi	w11_d411e12979
nanz	w1_d411e12985
in	w3_d411e12988
Flandern,	w5_d411e12991
und	w7_d411e12994
Erb	w9_d411e12997
obristlandjägermei	w11_d411e13000
ster	w1_d411e13005
der	w3_d411e13008
Provinz	w5_d411e13011
Artois,	w7_d411e13014
beym	w9_d411e13017
Aug	w11_d411e13020
GOttes	w13_d411e13024
am	w15_d411e13027
Pet.,	w1_d411e13032
alt	w3_d411e13035
50.	w5_d411e13038
J.	w7_d411e13041
Dem	w1_d411e13046
Wol=edel=geb.	w3_d411e13049
Hrn.	w5_d411e13052
Joh.	w7_d411e13055
Franz	w9_d411e13058
v.	w11_d411e13061
Faswitz,	w13_d411e13065
K.	w15_d411e13068
K.	w1_d411e13074
Raht,	w3_d411e13077
und	w5_d411e13080
Königl.	w7_d411e13083
Hungaris.	w9_d411e13086
Hof=canzl.	w11_d411e13089
Re=.	w13_d411e13093
gistr	w1_d411e13098
und	w3_d411e13101
Taxat.,	w5_d411e13104
s.	w7_d411e13107
Frle	w9_d411e13110
T.	w11_d411e13113
Elisab.,	w13_d411e13117
im	w15_d411e13120
alten	w17_d411e13123
Futer=amt,	w1_d411e13128
alt	w3_d411e13131
3.	w5_d411e13134
J.	w7_d411e13137
Hr.	w1_d411e13142
Andre	w3_d411e13145
Conr.	w5_d411e13148
Mebes,	w7_d411e13151
K.	w9_d411e13154
K.	w11_d411e13157
Hof	w13_d411e13161
und	w15_d411e13164
Burgerl.	w17_d411e13167
Chyrurg,	w1_d411e13173
im	w3_d411e13176
Satleris.	w5_d411e13179
H.	w7_d411e13182
am	w9_d411e13185
Juden=platz,	w11_d411e13188
55.	w13_d411e13192
J.	w15_d411e13195
Thom.	w1_d411e13200
Clement,	w3_d411e13203
Burgerl.	w5_d411e13206
Schneid.,	w7_d411e13209
im	w9_d411e13212
Wander	w11_d411e13215
polis.	w1_d411e13220
H.	w3_d411e13223
beym	w5_d411e13226
Ofen=loch,	w7_d411e13229
alt	w9_d411e13232
65.	w11_d411e13235
J.	w13_d411e13239
</list>
<head id="h2_d411e13246">
Vor	w1_d411e13250
der	w3_d411e13253
Stadt.	w5_d411e13256
</head>
<list id="l4_d411e13259">
Franz	w1_d411e13263
Donreiter,	w3_d411e13266
Schreib.,	w5_d411e13269
in	w7_d411e13272
s.	w9_d411e13275
H.	w11_d411e13278
oberm	w13_d411e13282
Neust.,	w15_d411e13285
alt	w1_d411e13290
52.	w3_d411e13293
J.	w5_d411e13296
Dem	w1_d411e13301
Ant.	w3_d411e13304
Schwarz,	w5_d411e13307
Tischl.,	w7_d411e13310
s.	w9_d411e13313
T.	w11_d411e13316
Maria	w13_d411e13320
Anna,	w15_d411e13323
bey	w17_d411e13326
dem	w1_d411e13332
weis.	w3_d411e13335
Lämmel	w5_d411e13338
bey	w7_d411e13341
Maria=bülf,	w9_d411e13344
18.	w11_d411e13347
J.	w13_d411e13351
Pet.	w1_d411e13356
Stapf,	w3_d411e13359
Schneider=ges.,	w5_d411e13362
beym	w7_d411e13365
bl.	w9_d411e13368
Herr=gott	w11_d411e13371
am	w13_d411e13375
Spitalberg,	w1_d411e13380
alt	w3_d411e13383
54.	w5_d411e13386
J.	w7_d411e13389
Dem	w1_d411e13394
Joh.	w3_d411e13397
Haberrecht,	w5_d411e13400
Feld=sold.,	w7_d411e13403
s.	w9_d411e13406
W.	w11_d411e13409
Francisc.,	w13_d411e13413
beym	w1_d411e13419
Pin=aysel	w3_d411e13422
auf	w5_d411e13425
der	w7_d411e13428
Landstr.,	w9_d411e13431
alt	w11_d411e13434
29.	w13_d411e13438
J.	w15_d411e13441
Phil.	w1_d411e13446
Pollhammer,	w3_d411e13449
Geig.,	w5_d411e13452
bey	w7_d411e13455
der	w9_d411e13458
gold.	w11_d411e13461
Kugel	w13_d411e13465
auf	w15_d411e13468
der	w1_d411e13473
Wind	w3_d411e13476
mühl,	w5_d411e13479
alt	w7_d411e13482
61.	w9_d411e13485
J.	w11_d411e13488
Elisab.	w1_d411e13493
Edelbaurin,	w3_d411e13496
Wittwe,	w5_d411e13499
beym	w7_d411e13502
gold.	w9_d411e13505
Lämmel	w11_d411e13508
im	w1_d411e13514
Lerchenf.,	w3_d411e13517
alt	w5_d411e13520
75.	w7_d411e13523
J.	w9_d411e13526
Jos.	w1_d411e13531
Widel,	w3_d411e13534
Schuh=kn.,	w5_d411e13537
beym	w7_d411e13540
gold.	w9_d411e13543
Greif.	w11_d411e13546
bey	w13_d411e13550
Ma	w15_d411e13553
ria=hülf,	w1_d411e13558
alt	w3_d411e13561
18.	w5_d411e13564
J.	w7_d411e13567
Eva	w1_d411e13572
Wartmanin,	w3_d411e13575
Wittwe,	w5_d411e13578
deym	w7_d411e13581
kl.	w9_d411e13584
Jordan	w11_d411e13587
in	w13_d411e13591
dem	w15_d411e13594
Bergler=gäs.,	w1_d411e13600
alt	w3_d411e13603
64.	w5_d411e13606
J.	w7_d411e13609
</list>
<head id="h2_d411e13616">
Magdal.	w1_d411e13620
Heinrichin,	w3_d411e13623
im	w5_d411e13626
K.	w7_d411e13629
K.	w9_d411e13632
Hof=spit.,	w11_d411e13635
72.	w13_d411e13639
J.	w15_d411e13642
Den	w1_d411e13647
29.	w3_d411e13650
Dec.	w5_d411e13653
1759.	w7_d411e13656
Jn	w1_d411e13661
der	w3_d411e13664
Stadt.	w5_d411e13667
</head>
<list id="l4_d411e13670">
Dem	w1_d411e13674
Wol=edlen	w3_d411e13677
Hrn.	w5_d411e13680
Bernh.	w7_d411e13683
Nestor,	w9_d411e13686
K.	w11_d411e13689
K.	w13_d411e13693
alto	w15_d411e13696
Feuerwerk,	w1_d411e13701
s.	w3_d411e13704
K.	w5_d411e13707
Theres.	w7_d411e13710
im	w9_d411e13713
K.	w11_d411e13716
K.	w13_d411e13720
Zeug=H.	w15_d411e13723
auf	w17_d411e13726
der	w19_d411e13729
Sailerst.,	w1_d411e13734
alt	w3_d411e13737
1.	w5_d411e13740
J.	w7_d411e13743
Dem	w1_d411e13749
Albert	w3_d411e13752
Wolla,	w5_d411e13755
Burgerl.	w7_d411e13758
Hof=stuckador.,	w9_d411e13761
s.	w11_d411e13764
K.	w13_d411e13768
Math.,	w1_d411e13773
im	w3_d411e13776
Amonis.	w5_d411e13779
H.	w7_d411e13782
am	w9_d411e13785
rot.	w11_d411e13788
Thurn,	w13_d411e13792
4.	w15_d411e13795
J.	w17_d411e13798
Pet.	w1_d411e13803
Ruep,	w3_d411e13806
Burgerl.	w5_d411e13809
Sporrer,	w7_d411e13812
