<doc id="edoc_wd_1759-10-03" attrs="word" year="1759" month="10" day="03" corpus="1">
<head id="hl1">
Lahn	w46
Müller	w3667
<g/>
,
Lack	w3669
<g/>
.
<g/>
,
s	w3672
<g/>
.
T	w3674
<g/>
.
Regin	w3676
<g/>
,
beym	w3678
schön	w3679
<g/>
.
Ländl	w3681
am	w3682
Neubau	w3683
<g/>
,
alt	w3685
18	w3686
<g/>
.
J	w3688
<g/>
.
</list>
<p id="p33">
Summa	w3690
6	w3691
<g/>
.
Person	w3693
<g/>
.
darunter	w3695
3	w3696
<g/>
.
Kind	w3698
<g/>
.
</p>
<head id="hl21">
Den	w3700
30	w3701
<g/>
.
Sept	w3703
<g/>
.
</head>
<head id="hl22">
Jn	w3705
der	w3706
Stadt	w3707
<g/>
.
</head>
<list id="li9">
Fr	w3709
<g/>
.
Sophia	w3711
Wolzin	w3712
<g/>
,
Wittwe	w3714
<g/>
,
im	w3716
Riemeris	w3717
<g/>
.
H	w3719
<g/>
.
in	w3721
den	w3722
Krugerstr	w3723
<g/>
.
<g/>
,
alt	w3726
85	w3727
<g/>
.
J	w3729
<g/>
.
Hr	w3731
<g/>
.
Jgnaz	w3733
Keßler	w3734
<g/>
,
im	w3736
Brenneris	w3737
<g/>
.
H	w3739
<g/>
.
in	w3741
der	w3742
Do=rothe	w3743
<g/>
=
<g/>
=
gas	w3746
<g/>
.
<g/>
,
alt	w3749
49	w3750
<g/>
.
J	w3752
<g/>
.
Dem	w3754
Bened	w3755
<g/>
.
Vogl	w3757
<g/>
,
gem	w3759
<g/>
.
Stadt	w3761
Scaar	w3762
<g/>
=
dien	w3764
<g/>
.
<g/>
,
s	w3767
<g/>
.
S	w3769
<g/>
.
Jos	w3771
<g/>
.
<g/>
,
im	w3774
Fabris	w3775
<g/>
.
H	w3777
<g/>
.
in	w3779
der	w3780
Wolzeil	w3781
<g/>
,
alt	w3783
24	w3784
<g/>
.
J	w3786
<g/>
.
Dem	w3788
Jos	w3789
<g/>
.
Steber	w3791
<g/>
,
Lack	w3793
<g/>
.
<g/>
,
s	w3796
<g/>
.
K	w3798
<g/>
.
Ferd	w3800
<g/>
.
<g/>
,
im	w3803
Schwarz-bäckis	w3804
<g/>
-
<g/>
.
H	w3807
<g/>
.
im	w3809
Roßmarin	w3810
<g/>
=
gäs	w3812
<g/>
.
<g/>
,
alt	w3815
4	w3816
<g/>
.
J	w3818
<g/>
.
</list>
<head id="hl23">
Vor	w3820
der	w3821
Stadt	w3822
<g/>
.
</head>
<list id="li10">
Dem	w3824
Joh	w3825
<g/>
.
Dietz	w3827
<g/>
,
Burgerl	w3829
<g/>
.
Fleisch	w3831
<g/>
-
hack	w3833
<g/>
,
s	w3835
<g/>
.
W	w3837
Ther-res	w3838
<g/>
-
<g/>
.
<g/>
,
beym	w3842
blech	w3843
<g/>
.
Thurn	w3845
auf	w3846
der	w3847
Wind	w3848
<g/>
-
m	w3850
<g/>
.
<g/>
,
27	w3853
<g/>
.
J	w3855
<g/>
.
Dem	w3857
Bened	w3858
<g/>
.
Hochstätter	w3860
<g/>
,
K	w3862
<g/>
.
Lauf	w3864
<g/>
.
<g/>
,
s	w3867
<g/>
.
K	w3869
<g/>
.
Josepha	w3871
<g/>
,
bey	w3873
der	w3874
H	w3875
<g/>
.
Dreyfaltigk	w3877
<g/>
.
auf	w3879
der	w3880
Laimgr	w3881
<g/>
.
<g/>
,
2	w3884
J	w3885
<g/>
.
Math	w3887
<g/>
.
Grabmer	w3889
<g/>
,
Tag	w3891
<g/>
=
löhn	w3893
<g/>
.
<g/>
,
im	w3896
Mulzeris	w3897
<g/>
.
H	w3899
<g/>
.
auf	w3901
der	w3902
Wied	w3903
<g/>
.
<g/>
,
alt	w3906
41	w3907
<g/>
.
J	w3909
<g/>
.
Jos	w3911
<g/>
.
Braunstätter	w3913
<g/>
,
Hauer	w3915
<g/>
,
bey	w3917
der	w3918
bl	w3919
<g/>
.
Ent	w3921
<g/>
.
zu	w3923
Mätz=leinstorf	w3924
<g/>
=
<g/>
,
alt	w3927
54	w3928
<g/>
.
J	w3930
<g/>
.
</list>
<p id="p34">
Summa	w3932
8	w3933
<g/>
.
Person	w3935
<g/>
.
<g/>
,
darunter	w3938
2	w3939
<g/>
.
Kind	w3941
<g/>
.
</p>
<p id="p35">
Auf	w3943
Verordnung	w3944
einer	w3945
Hochlöbl	w3946
<g/>
.
N	w3948
<g/>
.
Oe	w3950
<g/>
.
Re=gierung	w3952
<g/>
=
<g/>
,
werden	w3955
auf	w3956
der	w3957
Sailerstadt	w3958
in	w3959
der	w3960
Hol=lerstauden	w3961
<g/>
=
im	w3963
anderten	w3964
Stock	w3965
verschiedene	w3966
Klei=der	w3967
<g/>
=
<g/>
,
Weis	w3970
<g/>
=
zeug	w3972
<g/>
,
Bilder	w3974
<g/>
,
Kästen	w3976
<g/>
,
Sesseln	w3978
<g/>
,
Behter	w3980
<g/>
,
Zinn	w3982
<g/>
,
Kupfer	w3984
<g/>
,
Meßing	w3986
<g/>
,
Eisen	w3988
und	w3989
andere	w3990
Verlassenschafts	w3991
<g/>
=
effecten	w3993
<g/>
,
den	w3995
5	w3996
<g/>
.
October	w3998
fruhe	w3999
von	w4000
9	w4001
<g/>
.
bis	w4003
12	w4004
<g/>
.
<g/>
,
dann	w4007
Nachmittag	w4008
von	w4009
3	w4010
<g/>
.
bis	w4012
6	w4013
<g/>
.
Uhr	w4015
<g/>
,
licitando	w4017
dem	w4018
Meist	w4019
<g/>
=
bietenden	w4021
<g/>
,
und	w4023
baar	w4024
bezahlenden	w4025
hindann	w4026
gegeben	w4027
werden	w4028
<g/>
.
</p>
<p id="p36">
Von	w4030
des	w4031
Lands	w4032
<g/>
=
fürstl	w4034
<g/>
.
St	w4036
<g/>
.
Leopoldi	w4038
Stifts	w4039
<g/>
=
Kloster	w4041
Neuburg	w4042
Ober	w4043
<g/>
=
Cammer	w4045
<g/>
,
wird	w4047
hiermit	w4048
män=niglich	w4049
<g/>
=
kund	w4051
und	w4052
zu	w4053
wissen	w4054
gemacht	w4055
<g/>
,
was	w4057
gestal=ten	w4058
<g/>
=
Hanns	w4060
Georg	w4061
Roht	w4062
Bestand	w4063
<g/>
=
mühler	w4065
zu	w4066
Gundendorf	w4067
<g/>
,
n	w4069
<g/>
.
Maria	w4071
Elisabeth	w4072
seine	w4073
Ehe	w4074
<g/>
=
wirthin	w4076
<g/>
,
dem	w4078
Adam	w4079
Zeillinger	w4080
Burgerl	w4081
<g/>
.
Bäckern	w4083
in	w4084
Wien	w4085
<g/>
,
</p>
<p id="p37">
u	w4087
<g/>
.
Mariä	w4089
Catharinä	w4090
seiner	w4091
Ehe	w4092
<g/>
=
consortin	w4094
in	w4095
Puncto	w4096
schuldigen	w4097
157	w4098
<g/>
.
fl	w4100
<g/>
.
12	w4102
<g/>
.
Kr	w4104
<g/>
.
Capital	w4106
à	w4107
5	w4108
<g/>
.
Procento	w4110
lnteresse	w4111
ihre	w4112
gedachtem	w4113
Stift	w4114
dienstbare	w4115
zwey	w4116
ver=schiedene	w4117
<g/>
=
Viertel	w4119
<g/>
=
wein	w4121
<g/>
=
garten	w4123
in	w4124
Sauberg	w4125
unter	w4126
Döblinger	w4127
Burgfried	w4128
mittels	w4129
untern	w4130
9ten	w4131
Martii	w4132
1714	w4133
<g/>
.
gewilligt	w4135
<g/>
,
und	w4137
ausgefertigt	w4138
gund	w4139
<g/>
=
buchli=chen	w4141
<g/>
=
Satzes	w4143
versichern	w4144
lassen	w4145
<g/>
,
wie	w4147
zumalen	w4148
nun	w4149
aber	w4150
diese	w4151
zwey	w4152
Viertel	w4153
<g/>
=
wein	w4155
<g/>
=
gärten	w4157
schon	w4158
in	w4159
die	w4160
viele	w4161
Jahre	w4162
unverdient	w4163
<g/>
,
und	w4165
ungepflogen	w4166
ligen	w4167
verbleiben	w4168
<g/>
,
auch	w4170
der	w4171
Creditor	w4172
und	w4173
Debitor	w4174
oder	w4175
deroselben	w4176
Erben	w4177
keine	w4178
Nachfrag	w4179
halten	w4180
<g/>
,
ja	w4182
der	w4183
Satz	w4184
<g/>
=
brief	w4186
ad	w4187
Cassandum	w4188
zum	w4189
Grund	w4190
<g/>
=
buch	w4192
nicht	w4193
eingeleget	w4194
worden	w4195
<g/>
,
hingegen	w4197
aber	w4198
einige	w4199
Liebhaber	w4200
die	w4201
diese	w4202
Wein	w4203
<g/>
=
gärten	w4205
zu	w4206
Aeckern	w4207
zu	w4208
pflegen	w4209
ge=sonnen	w4210
<g/>
=
zu	w4212
seyn	w4213
<g/>
,
sich	w4215
angemeldet	w4216
haben	w4217
<g/>
,
mithin	w4219
die	w4220
Noht	w4221
erfordert	w4222
<g/>
,
durch	w4224
gegenwärtiges	w4225
Amortisations	w4226
<g/>
-
Edict	w4228
die	w4229
dieses	w4230
Satzes	w4231
lnteressirte	w4232
vorzufordern	w4233
<g/>
;
dannenhero	w4235
denenjenigen	w4236
<g/>
,
so	w4238
etwann	w4239
angeführten	w4240
Original	w4241
<g/>
=
satz	w4243
<g/>
=
brief	w4245
bey	w4246
handen	w4247
<g/>
,
und	w4249
über	w4250
kurz	w4251
oder	w4252
lang	w4253
einen	w4254
Anspruch	w4255
an	w4256
quæstionirterte	w4257
zwey	w4258
Viertel	w4259
<g/>
=
wein	w4261
<g/>
=
gärten	w4263
zu	w4264
machen	w4265
vermeinten	w4266
<g/>
,
hie=mit	w4268
<g/>
=
auferleget	w4270
wird	w4271
<g/>
,
daß	w4273
dieselbe	w4274
gedachten	w4275
Satz=brief	w4276
<g/>
=
von	w4278
Zeit	w4279
dieses	w4280
affigirten	w4281
Edicts	w4282
binnen	w4283
Jahr	w4284
und	w4285
Tag	w4286
der	w4287
Ordnung	w4288
nach	w4289
also	w4290
gewiß	w4291
produci-ren	w4292
<g/>
-
<g/>
,
sich	w4295
darzu	w4296
legitimiren	w4297
<g/>
,
und	w4299
anmelden	w4300
sollen	w4301
<g/>
,
als	w4303
im	w4304
widrigen	w4305
hinnach	w4306
niemand	w4307
mehr	w4308
gehöret	w4309
<g/>
,
sondern	w4311
in	w4312
perpetuum	w4313
abgewiesen	w4314
seyn	w4315
<g/>
,
der	w4317
vor=gemerkte	w4318
<g/>
=
Satz	w4320
<g/>
=
brief	w4322
ex	w4323
Officio	w4324
cassiret	w4325
<g/>
,
und	w4327
an=deren	w4328
<g/>
=
Partheyen	w4330
Gewehr	w4331
ertheilet	w4332
werden	w4333
solle	w4334
<g/>
.
Gegeben	w4336
Stift	w4337
<g/>
=
kloster	w4339
<g/>
=
neuburg	w4341
den	w4342
20sten	w4343
Mar=tii	w4344
<g/>
=
1759	w4346
<g/>
.
</p>
<p id="p38">
Von	w4348
des	w4349
Kaiserl	w4350
<g/>
.
Königl	w4352
<g/>
.
Judicii	w4354
delegati	w4355
mili-taris	w4356
<g/>
-
mixti	w4358
im	w4359
Erz	w4360
<g/>
=
herzogtum	w4362
Oesterreich	w4363
unter	w4364
und	w4365
ober	w4366
der	w4367
Enns	w4368
wegen	w4369
<g/>
,
wird	w4371
hiermit	w4372
durch	w4373
dieses	w4374
offentliche	w4375
Edict	w4376
jedermänniglich	w4377
<g/>
,
deme	w4379
daran	w4380
gelegen	w4381
<g/>
,
kund	w4383
und	w4384
zu	w4385
wissen	w4386
gemacht	w4387
<g/>
:
Es	w4389
habe	w4390
bey	w4391
gleich	w4392
gedachtem	w4393
Kaiserl	w4394
<g/>
.
Königl	w4396
<g/>
.
Judi-cio	w4398
<g/>
-
delegato	w4400
militari	w4401
mixto	w4402
die	w4403
verwittibte	w4404
Frau	w4405
Generalin	w4406
<g/>
,
Gräfin	w4408
Mac	w4409
Hugo	w4410
de	w4411
Burgos	w4412
<g/>
,
Gräfin	w4414
de	w4415
la	w4416
Roche	w4417
Fermoy	w4418
<g/>
,
vor	w4420
<g/>
=
und	w4422
angebracht	w4423
<g/>
:
wasgestalten	w4425
ihres	w4426
verstorbenen	w4427
Herrn	w4428
Ehe	w4429
<g/>
=
ge=mahls	w4431
<g/>
=
Grafen	w4433
Mac	w4434
Hugo	w4435
de	w4436
Burgos	w4437
<g/>
,
gewest	w4439
<g/>
=
Kaiserl	w4441
<g/>
.
Königl	w4443
<g/>
.
General	w4445
<g/>
=
Feld	w4447
<g/>
=
wachtmeisters	w4449
auf	w4450
sie	w4451
erblich	w4452
gediehene	w4453
General	w4454
<g/>
=
stabs	w4456
<g/>
=
verpflegs	w4458
<g/>
=
ab=rechnung	w4460
<g/>
=
im	w4462
Verstoß	w4463
gerahten	w4464
<g/>
;
gleichwie	w4466
aber	w4467
über	w4468
alle	w4469
angewendet	w4470
Mühe	w4471
<g/>
,
und	w4473
fleißiges	w4474
Nach=forschen	w4475
<g/>
=
nicht	w4477
zu	w4478
erfahren	w4479
gewesen	w4480
<g/>
,
wohin	w4482
selbe	w4483
gekommen	w4484
<g/>
,
oder	w4486
was	w4487
für	w4488
ein	w4489
Gebrauch	w4490
daraus	w4491
gemacht	w4492
worden	w4493
seye	w4494
<g/>
,
so	w4496
hat	w4497
sie	w4498
Frau	w4499
Generalin	w4500
um	w4501
Ausfertigung	w4502
des	w4503
diesfalls	w4504
erforderlichen	w4505
Amor=tisations	w4506
<g/>
=
<g/>
=
edict	w4509
gebetten	w4510
<g/>
.
Da	w4512
man	w4513
nun	w4514
auch	w4515
hier	w4516
einzuwilligen	w4517
keinen	w4518
Anstand	w4519
genommen	w4520
<g/>
,
als	w4522
werden	w4523
dannoch	w4524
alle	w4525
und	w4526
jede	w4527
<g/>
,
so	w4529
des	w4530
ver=storbenen	w4531
<g/>
=
Herrn	w4533
Grafens	w4534
Mac	w4535
Hugo	w4536
de	w4537
Burgos	w4538
gewest	w4539
Kaiserl	w4540
<g/>
.
Königl	w4542
<g/>
.
General	w4544
<g/>
=
feld	w4546
<g/>
=
wachtmei=sters	w4548
<g/>
=
seel	w4550
<g/>
.
in	w4552
Verstoß	w4553
gerahten	w4554
General	w4555
<g/>
=
staabs=verpflegs	w4557
<g/>
=
<g/>
=
abrechnung	w4560
etwann	w4561
in	w4562
HanHanden	w4563
<g/>
=
</p>
<p id="p39">
den	w4565
haben	w4566
<g/>
,
oder	w4568
ansonsten	w4569
darauf	w4570
einen	w4571
rechtli=chen	w4572
<g/>
=
Anspruch	w4574
zu	w4575
machen	w4576
vermeinen	w4577
<g/>
,
sich	w4579
dar=mit	w4580
<g/>
=
von	w4582
heut	w4583
zu	w4584
Ende	w4585
gesetzten	w4586
Dato	w4587
an	w4588
binnen	w4589
einem	w4590
Jahr	w4591
<g/>
,
sechs	w4593
Wochen	w4594
<g/>
,
und	w4596
drey	w4597
Tags=frist	w4598
<g/>
=
bey	w4600
Eingangs	w4601
gedachtem	w4602
Kaiserl	w4603
<g/>
.
Judicio	w4605
delegato	w4606
militari	w4607
mixto	w4608
also	w4609
gewis	w4610
anzumelden	w4611
haben	w4612
<g/>
,
wie	w4614
im	w4615
widrigen	w4616
nach	w4617
Verfliessung	w4618
des	w4619
angesetzten	w4620
Termins	w4621
mehr	w4622
ermeldt	w4623
<g/>
=
Graf	w4625
Mac	w4626
Hugo	w4627
de	w4628
Burgos	w4629
<g/>
,
General	w4631
<g/>
=
staabs	w4633
<g/>
=
verpflegs=abrechnung	w4635
<g/>
=
ipso	w4637
facto	w4638
caßirt	w4639
<g/>
,
annullirt	w4641
und	w4642
amor=tisirt	w4643
<g/>
=
<g/>
,
auch	w4646
darüber	w4647
was	w4648
rechtens	w4649
ist	w4650
<g/>
,
vorgekeh=ret	w4652
<g/>
=
werden	w4654
solle	w4655
<g/>
.
</p>
<p id="p40">
NB	w4657
<g/>
.
Es	w4659
seynd	w4660
hier	w4661
wieder	w4662
angekommen	w4663
die	w4664
Ge=brüdere	w4665
<g/>
=
Montani	w4667
mit	w4668
verschiedenen	w4669
Blumen=zwiebeln	w4670
<g/>
=
<g/>
,
wie	w4673
folget	w4674
<g/>
:
</p>
<p id="p41">
Narcissi	w4676
nobili	w4677
von	w4678
4	w4679
<g/>
.
Sorten	w4681
<g/>
.
Fruhe	w4683
Nar=cissen	w4684
<g/>
=
<g/>
.
Gefüllte	w4687
Tazzetten	w4688
<g/>
.
Weisse	w4690
Tazzetten	w4691
<g/>
.
Gelbe	w4693
Tazzetten	w4694
<g/>
.
Gefüllte	w4696
weisse	w4697
Hyacinthen	w4698
<g/>
,
Leib	w4700
<g/>
=
farbe	w4702
gefüllte	w4703
Hyacinten	w4704
<g/>
.
Violblaue	w4706
gefüllte	w4707
Hyacinthen	w4708
<g/>
.
Frühe	w4710
Hyacinten	w4711
<g/>
.
Gefüllte	w4713
Jon=quilien	w4714
<g/>
=
<g/>
.
Doppelte	w4717
weisse	w4718
Spanische	w4719
Jonquilien	w4720
<g/>
.
Gedoppelte	w4722
Arunculen	w4723
<g/>
.
Von	w4725
dreysigerley	w4726
Far=ben	w4727
<g/>
=
<g/>
,
allerhand	w4730
Arunculen	w4731
<g/>
.
Arunculen	w4733
la	w4734
Bella	w4735
di	w4736
Brusseles	w4737
<g/>
.
Gelbe	w4739
Arunculen	w4740
<g/>
.
Arunculen	w4742
die	w4743
schöne	w4744
von	w4745
Orleans	w4746
<g/>
.
Gesprengte	w4748
Arunculen	w4749
von	w4750
verschiedenen	w4751
Farben	w4752
<g/>
.
Arunculen	w4754
der	w4755
Prinz	w4756
von	w4757
Oranien	w4758
<g/>
.
Pur	w4760
rote	w4761
extra	w4762
schöne	w4763
Arunculen	w4764
<g/>
.
Al=lerhand	w4766
<g/>
=
färbige	w4768
Anemoni	w4769
<g/>
.
Allerhand	w4771
rot	w4772
<g/>
=
artige	w4774
Anemoni	w4775
<g/>
.
Anemoni	w4777
la	w4778
Bella	w4779
di	w4780
Brusseles	w4781
<g/>
.
Ane=moni	w4783
<g/>
=
der	w4785
grosse	w4786
Turband	w4787
<g/>
,
Anemoni	w4789
in	w4790
Regen=bogen	w4791
<g/>
=
<g/>
.
Anemoni	w4794
der	w4795
Prinz	w4796
von	w4797
Oranien	w4798
<g/>
.
Ane=moni	w4800
<g/>
=
alte	w4802
Bollone	w4803
<g/>
.
Anemoni	w4805
<g/>
,
die	w4807
schöne	w4808
von	w4809
Normandie	w4810
<g/>
.
Persianische	w4812
Tulpen	w4813
<g/>
,
Türkische	w4815
Tul=pen	w4816
<g/>
=
<g/>
,
und	w4819
sonst	w4820
allerhand	w4821
Arten	w4822
schöner	w4823
Blumen	w4824
<g/>
.
Saamen	w4826
von	w4827
Kauli	w4828
Flor	w4829
<g/>
,
von	w4831
denen	w4832
schönsten	w4833
Sorten	w4834
<g/>
,
Saamen	w4836
von	w4837
Broccoli	w4838
Romani	w4839
<g/>
,
extra	w4841
schön	w4842
<g/>
.
Die	w4844
Blumen	w4845
<g/>
=
kiele	w4847
seynd	w4848
durch	w4849
und	w4850
durch	w4851
das	w4852
100	w4853
<g/>
.
vor	w4855
4	w4856
<g/>
.
fl	w4858
<g/>
.
Der	w4860
Saamen	w4861
von	w4862
Kauli=flor	w4863
<g/>
=
das	w4865
Loht	w4866
18	w4867
<g/>
.
kr	w4869
<g/>
.
Der	w4871
Saamen	w4872
von	w4873
Brocoli	w4874
Romani	w4875
das	w4876
Loht	w4877
15	w4878
<g/>
.
kr	w4880
<g/>
.
Saamen	w4882
von	w4883
Spani=schen	w4884
<g/>
=
Zwiebeln	w4886
das	w4887
Loht	w4888
15	w4889
<g/>
.
kr	w4891
<g/>
.
Saamen	w4893
von	w4894
Römischen	w4895
Fenchel	w4896
<g/>
,
das	w4898
Loht	w4899
15	w4900
<g/>
.
kr	w4902
<g/>
.
Saamen	w4904
<g/>
,
vom	w4906
Lombardischen	w4907
Köhl	w4908
<g/>
,
Melaun	w4910
<g/>
=
kern	w4912
<g/>
,
Cardi	w4914
das	w4915
Loht	w4916
15	w4917
<g/>
.
kr	w4919
<g/>
.
</p>
<p id="p42">
NB	w4921
<g/>
.
Wie	w4923
auch	w4924
Passatutti	w4925
<g/>
,
die	w4927
grosse	w4928
Königin	w4929
von	w4930
Brittanien	w4931
<g/>
,
das	w4933
Stuck	w4934
um	w4935
18	w4936
<g/>
.
kr	w4938
<g/>
.
</p>
<p id="p43">
Obgedachte	w4940
Gebrüdere	w4941
Montani	w4942
seynd	w4943
bey	w4944
Hrn	w4945
<g/>
.
Sebastian	w4947
Lanser	w4948
im	w4949
Gewürz	w4950
<g/>
=
gewolb	w4952
beym	w4953
golde=nen	w4954
<g/>
=
Stern	w4956
in	w4957
der	w4958
Wald	w4959
<g/>
=
zeil	w4961
anzutreffen	w4962
<g/>
.
</p>
<p id="p44">
Artitschocken	w4964
Kern	w4965
<g/>
,
das	w4967
Loht	w4968
15	w4969
<g/>
.
Kr	w4971
<g/>
.
</p>
<p id="p45">
Bey	w4973
Johann	w4974
Jacob	w4975
Lidl	w4976
Kupfer	w4977
<g/>
=
stechern	w4979
im	w4980
Doctor	w4981
Deimlischen	w4982
Haus	w4983
neben	w4984
der	w4985
Heil	w4986
<g/>
.
Dreyfal=tigkeit	w4988
<g/>
=
ist	w4990
zu	w4991
haben	w4992
<g/>
:
Dermaliges	w4994
Kriegs	w4995
<g/>
=
thea=trum	w4997
<g/>
=
<g/>
,
oder	w5000
neue	w5001
und	w5002
accurate	w5003
Land	w5004
<g/>
=
karte	w5006
das	w5007
ganze	w5008
Königreich	w5009
Böheim	w5010
<g/>
,
Herzogtum	w5012
Schlesien	w5013
<g/>
,
und	w5015
die	w5016
Marggraftümer	w5017
Mähren	w5018
<g/>
,
Ober	w5020
<g/>
=
und	w5022
Nieder	w5023
<g/>
=
lausitz	w5025
<g/>
,
nebst	w5027
einem	w5028
grossen	w5029
Theil	w5030
von	w5031
</p>
<p id="p46">
Ober	w5032
<g/>
=
sachsen	w5034
<g/>
,
March	w5036
Brandenburg	w5037
<g/>
,
Königreich	w5039
Pohlen	w5040
und	w5041
Hungarn	w5042
<g/>
,
dann	w5044
Erz	w5045
<g/>
=
herzogtum	w5047
Oesterreich	w5048
begreiffend	w5049
<g/>
,
auch	w5051
in	w5052
die	w5053
kleinere	w5054
im	w5055
ländische	w5056
Landes	w5057
<g/>
=
kreise	w5059
genau	w5060
abgetheilet	w5061
<g/>
,
mit	w5063
Compaß	w5064
und	w5065
Maaß	w5066
<g/>
=
stäben	w5068
auch	w5069
Register	w5070
bestens	w5071
versehen	w5072
<g/>
,
auf	w5074
ein	w5075
und	w5076
ein	w5077
halben	w5078
Jmperial	w5079
<g/>
=
bo=gen	w5081
<g/>
=
im	w5083
Futeral	w5084
pr	w5085
<g/>
.
1	w5087
<g/>
.
fl	w5089
<g/>
.
45	w5091
<g/>
.
kr	w5093
<g/>
.
ohne	w5095
Futeral	w5096
pr	w5097
<g/>
.
1	w5099
<g/>
.
fl	w5101
<g/>
.
30	w5103
<g/>
.
kr	w5105
<g/>
.
</p>
<p id="p47">
Von	w5107
dem	w5108
Kaiserl	w5109
<g/>
.
Königl	w5111
<g/>
.
Stadt	w5113
<g/>
=
und	w5115
Land=gericht	w5116
<g/>
=
Wien	w5118
<g/>
,
wird	w5120
hiemit	w5121
denen	w5122
Joseph	w5123
Hein=rich	w5124
<g/>
=
Kozzischen	w5126
Creditoren	w5127
<g/>
,
auch	w5129
ansonsten	w5130
je=dermänniglichen	w5131
<g/>
=
kund	w5133
und	w5134
zu	w5135
wissen	w5136
gemacht	w5137
<g/>
:
was	w5139
gestalten	w5140
auf	w5141
schriftliches	w5142
Anlangen	w5143
des	w5144
dies=fälligen	w5145
<g/>
=
Herrn	w5147
Curatoris	w5148
ad	w5149
lites	w5150
in	w5151
der	w5152
Licitir	w5153
<g/>
=
und	w5155
Feilbietung	w5156
deren	w5157
sammentlich	w5158
Kozzischen	w5159
Effecten	w5160
und	w5161
Mobilien	w5162
<g/>
,
so	w5164
in	w5165
allerhand	w5166
Gattun=gen	w5167
<g/>
=
Kästen	w5169
<g/>
,
Tisch	w5171
<g/>
,
Sesseln	w5173
<g/>
,
Bilder	w5175
<g/>
,
einen	w5177
groß	w5178
mit	w5179
vergoldter	w5180
Ram	w5181
versehenen	w5182
Spiegel	w5183
<g/>
,
ein	w5185
Meßingene	w5186
Hänk	w5187
<g/>
=
uhr	w5189
<g/>
,
welche	w5191
ein	w5192
ganzes	w5193
Monat	w5194
gehet	w5195
<g/>
,
dann	w5197
Silber	w5198
Kleider	w5199
<g/>
,
Wäsch	w5201
<g/>
,
und	w5203
andern	w5204
Haus	w5205
<g/>
=
gerätschaften	w5207
<g/>
,
wie	w5209
auch	w5210
ver=schiedenen	w5211
<g/>
=
alten	w5213
Oesterreicher	w5214
<g/>
=
weinen	w5216
in	w5217
Fassen	w5218
mit	w5219
eisenen	w5220
Banden	w5221
bestehen	w5222
<g/>
,
gewilliget	w5224
<g/>
,
auch	w5226
zu	w5227
Vornehmung	w5228
sothaner	w5229
Licitation	w5230
<g/>
,
ungehindert	w5232
deren	w5233
demnächst	w5234
eingehenden	w5235
Wein	w5236
<g/>
=
ferien	w5238
der	w5239
11	w5240
<g/>
.
des	w5242
jetzt	w5243
lauffenden	w5244
Monats	w5245
October	w5246
fruhe	w5247
præcisepraecise	w5248
um	w5249
9	w5250
<g/>
.
Uhr	w5252
<g/>
,
in	w5254
der	w5255
sogenannten	w5256
Johannes=gassen	w5257
<g/>
=
in	w5259
dem	w5260
kleinen	w5261
Maria	w5262
<g/>
=
zeller	w5264
<g/>
=
hof	w5266
zu	w5267
erschei=nen	w5268
<g/>
=
anberaumet	w5270
worden	w5271
<g/>
.
</p>
<p id="p48">
Dahero	w5273
dann	w5274
die	w5275
jenige	w5276
<g/>
,
welche	w5278
von	w5279
denen	w5280
ob=specificirten	w5281
<g/>
=
Effecten	w5283
und	w5284
Mobilien	w5285
<g/>
,
auch	w5287
Oester=reicher	w5288
<g/>
=
Weinen	w5290
<g/>
,
etwas	w5292
käuflich	w5293
an	w5294
sich	w5295
zu	w5296
brin=gen	w5297
<g/>
=
gesinnet	w5299
seyn	w5300
möchten	w5301
<g/>
,
an	w5303
vorbesagten	w5304
Tag	w5305
<g/>
,
Stund	w5307
<g/>
,
und	w5309
Ort	w5310
<g/>
,
sich	w5312
ad	w5313
licitandum	w5314
unaus-bleiblich	w5315
<g/>
-
einzufinden	w5317
haben	w5318
werden	w5319
<g/>
.
So	w5321
besche=hen	w5322
<g/>
=
Wien	w5324
den	w5325
25	w5326
<g/>
.
September	w5328
1759	w5329
<g/>
.
</p>
<p id="p49">
NB	w5331
<g/>
.
Bey	w5333
diesem	w5334
eintrettenden	w5335
4ten	w5336
Jah=res	w5337
<g/>
=
<g/>
=
quartal	w5340
werden	w5341
abermalen	w5342
die	w5343
Lieb=haber	w5344
<g/>
=
dieses	w5346
Wienerischen	w5347
Diarii	w5348
<g/>
,
wie	w5350
auch	w5351
des	w5352
Post	w5353
<g/>
=
täglichen	w5355
Frag	w5356
<g/>
=
und	w5358
Kund=schafts	w5359
<g/>
=
<g/>
=
bogens	w5362
<g/>
,
nach	w5364
Standes	w5365
<g/>
=
würden	w5367
<g/>
,
um	w5369
deren	w5370
gewöhnliche	w5371
vorhinein	w5372
<g/>
=
Bezah=lung	w5374
<g/>
=
ersuchet	w5376
<g/>
.
Und	w5378
wann	w5379
jemand	w5380
das	w5381
Diarium	w5382
Bestallungs	w5383
<g/>
=
weise	w5385
nehmen	w5386
will	w5387
<g/>
,
so	w5389
haben	w5390
sich	w5391
die	w5392
hier	w5393
in	w5394
Wien	w5395
anwesen=de	w5396
<g/>
=
in	w5398
der	w5399
diesfälligen	w5400
Schreib	w5401
<g/>
=
stuben	w5403
in	w5404
dem	w5405
neuen	w5406
Michaeler	w5407
<g/>
=
haus	w5409
<g/>
,
die	w5411
aus=wärtige	w5412
<g/>
=
