<doc id="wr_1761-09-26" attrs="word" year="1761" month="09" day="26" corpus="2">
<head id="h2_d590e2570">
St.	w1_d590e2574
Regierung	w3_d590e9857
die	w5_d590e9860
angeordnete	w7_d590e9863
Licitation	w9_d590e9866
also	w11_d590e9869
gleich	w1_d590e9875
öffentlich	w3_d590e9878
auszuschreiben,	w5_d590e9881
und	w7_d590e9884
denen	w9_d590e9887
Par	w11_d590e9890
theyen	w1_d590e9895
zur	w3_d590e9898
Erscheinung	w5_d590e9901
einen	w7_d590e9904
Tag	w9_d590e9907
zu	w11_d590e9910
bestimmen,	w13_d590e9914
sodann	w1_d590e9919
ihre	w3_d590e9922
von	w5_d590e9925
sich	w7_d590e9928
gebende	w9_d590e9931
schriftliche	w11_d590e9934
Liefe	w13_d590e9938
rungs=erklärungen	w1_d590e9943
zu	w3_d590e9946
übernehmen,	w5_d590e9949
und	w7_d590e9952
solche	w9_d590e9955
zur	w1_d590e9961
weiteren	w3_d590e9964
Vorkehrung	w5_d590e9967
nacher	w7_d590e9970
Hof	w9_d590e9973
allergehor	w11_d590e9976
samst	w1_d590e9981
einzubegleiten	w3_d590e9984
allerhöchst	w5_d590e9987
anbefohlen	w7_d590e9990
haben,	w9_d590e9993
Wann	w1_d590e9998
nun	w3_d590e10001
Regierung	w5_d590e10004
in	w7_d590e10007
Folge	w9_d590e10010
vorstehender	w11_d590e10013
al	w13_d590e10017
lerhöchsten	w1_d590e10022
Resolution	w3_d590e10025
zu	w5_d590e10028
Vornehmung	w7_d590e10031
sothaner	w9_d590e10034
Licitation	w1_d590e10040
den	w3_d590e10043
8	w5_d590e10046
nächst	w7_d590e10049
eintrettenden	w9_d590e10052
Monats	w11_d590e10055
Octob.	w1_d590e10060
Nachmittag	w3_d590e10063
um	w5_d590e10066
4.	w7_d590e10069
Uhr	w9_d590e10072
anberaumet	w11_d590e10075
und	w13_d590e10079
bestimmet	w1_d590e10084
hat;	w3_d590e10087
Als	w5_d590e10090
wird	w7_d590e10093
ein	w9_d590e10096
solches	w11_d590e10099
jedermännig	w13_d590e10103
lich	w1_d590e10108
zur	w3_d590e10111
Nachricht	w5_d590e10114
mit	w7_d590e10117
dem	w9_d590e10120
Beysatz	w11_d590e10123
andurch	w13_d590e10127
kund	w15_d590e10130
gemachet,	w1_d590e10136
daß	w3_d590e10139
all=diejenige,	w5_d590e10142
welche	w7_d590e10145
vorgedachte	w9_d590e10148
Mehl	w1_d590e10153
und	w3_d590e10156
Haber=lieferung	w5_d590e10159
zu	w7_d590e10162
übernehmen	w9_d590e10165
geden	w11_d590e10168
ken,	w1_d590e10173
auf	w3_d590e10176
obangemerkten	w5_d590e10179
Licitations=tag	w7_d590e10182
Nach	w9_d590e10185
mittag	w1_d590e10190
um	w3_d590e10193
4.	w5_d590e10196
Uhr	w7_d590e10199
entweder	w9_d590e10202
selbst	w11_d590e10205
gersönlich,	w13_d590e10209
oder	w15_d590e10212
durch	w1_d590e10218
genugsam	w3_d590e10221
instruirte	w5_d590e10224
Bevollmächtigte	w7_d590e10227
vor	w9_d590e10230
der	w1_d590e10235
Kaiserl.	w3_d590e10238
Königl.	w5_d590e10241
N.	w7_d590e10244
Oe.	w9_d590e10247
Regierung,	w11_d590e10250
in	w13_d590e10254
der	w15_d590e10257
zu	w1_d590e10262
solchem	w3_d590e10265
Ende	w5_d590e10268
alda	w7_d590e10271
offen	w9_d590e10274
haltenden	w11_d590e10277
Commis	w13_d590e10281
sions=stuben,	w1_d590e10286
nebst	w3_d590e10289
verläßlicher	w5_d590e10292
Mitbringung	w7_d590e10295
vor	w9_d590e10298
berührt=schriftlicher	w1_d590e10304
Lieferungs=erklärungen,	w3_d590e10307
er	w5_d590e10310
scheinen,	w1_d590e10315
und	w3_d590e10318
sich	w5_d590e10321
alda	w7_d590e10324
einfinden	w9_d590e10327
sollen,	w11_d590e10330
um	w13_d590e10334
sohin	w15_d590e10337
hierüber	w1_d590e10342
an	w3_d590e10345
Jhre	w5_d590e10348
Kaiserl.	w7_d590e10351
Königl.	w9_d590e10354
Majest.	w11_d590e10357
den	w13_d590e10361
allerunterthänigsten	w1_d590e10366
Bericht	w3_d590e10369
abstatten	w5_d590e10372
zu	w7_d590e10375
können.	w9_d590e10378
</p>
<head id="h2_d590e10384">
Lista	w1_d590e10388
deren	w3_d590e10391
Verstorbenen	w5_d590e10394
zu	w7_d590e10397
Wien	w9_d590e10400
in	w1_d590e10405
und	w3_d590e10408
vor	w5_d590e10411
der	w7_d590e10414
Stadt.	w9_d590e10417
Den	w1_d590e10422
20.	w3_d590e10425
Sept.	w5_d590e10428
Jn	w1_d590e10434
der	w3_d590e10437
Stadt.	w5_d590e10440
</head>
<list id="l4_d590e10443">
Dem	w1_d590e10447
Hrn.	w3_d590e10450
Leop.	w5_d590e10453
Schuster,	w7_d590e10456
K.	w9_d590e10459
Büchsen=span.,	w11_d590e10462
s.	w13_d590e10466
K.	w15_d590e10469
Maria	w1_d590e10474
Anna,	w3_d590e10477
im	w5_d590e10480
Schlosseris.	w7_d590e10483
H.	w9_d590e10486
in	w11_d590e10489
der	w13_d590e10493
Nagler	w15_d590e10496
gas.,	w1_d590e10501
alt	w3_d590e10504
1.	w5_d590e10507
J.	w7_d590e10510
</list>
<head id="h2_d590e10517">
Vor	w1_d590e10521
der	w3_d590e10524
Stadt,	w5_d590e10527
</head>
<list id="l4_d590e10530">
Die	w1_d590e10534
Wol=ehrw.	w3_d590e10537
in	w5_d590e10540
GOtt	w7_d590e10543
Geistl.	w9_d590e10546
Chor=schwest.	w11_d590e10549
Ma	w13_d590e10553
ria	w1_d590e10558
Michaela	w3_d590e10561
vom	w5_d590e10564
Herzen	w7_d590e10567
Maria,	w9_d590e10570
geb.	w11_d590e10573
Handle	w13_d590e10577
rin,	w1_d590e10582
im	w3_d590e10585
Kloster	w5_d590e10588
bey	w7_d590e10591
St.	w9_d590e10594
Elisab.	w11_d590e10597
auf	w13_d590e10601
der	w15_d590e10604
Landstr.,	w17_d590e10607
alt	w1_d590e10613
49.	w3_d590e10616
J.	w5_d590e10619
Christian	w1_d590e10624
Meßir,	w3_d590e10627
Burgerl.	w5_d590e10630
Peroqnier,	w7_d590e10633
beym	w9_d590e10636
gold.	w11_d590e10639
Engel	w1_d590e10644
bey	w3_d590e10647
Maria	w5_d590e10650
hülf,	w7_d590e10653
alt	w9_d590e10656
53.	w11_d590e10659
J.	w13_d590e10663
Dem	w1_d590e10668
Lor.	w3_d590e10671
Constantin,	w5_d590e10674
Burgerl.	w7_d590e10677
Zeugmach.,	w9_d590e10680
s.	w11_d590e10683
W.	w13_d590e10687
Cathar.,	w1_d590e10693
in	w3_d590e10696
s.	w5_d590e10699
H.	w7_d590e10702
bey	w9_d590e10705
Maria=hülf,	w11_d590e10708
alt	w13_d590e10712
36.	w15_d590e10715
J.	w17_d590e10718
Adam	w1_d590e10723
Tollhof,	w3_d590e10726
Brätelbrat,	w5_d590e10729
bey	w7_d590e10732
der	w9_d590e10735
Alst.	w11_d590e10738
im	w13_d590e10742
Liech	w15_d590e10745
tenth.,	w1_d590e10750
alt	w3_d590e10753
61.	w5_d590e10756
J.	w7_d590e10759
Joh.	w1_d590e10764
Georg	w3_d590e10767
Holzinger,	w5_d590e10770
Maurer=ges.,	w7_d590e10773
bey	w9_d590e10776
J.	w11_d590e10779
M.	w13_d590e10783
J.	w15_d590e10786
in	w1_d590e10792
der	w3_d590e10795
Josephst.,	w5_d590e10798
alt	w7_d590e10801
38.	w9_d590e10804
J.	w11_d590e10807
Cathar.	w1_d590e10812
Hieblin,	w3_d590e10815
L.	w5_d590e10818
M,	w7_d590e10821
beym	w9_d590e10824
schwarz.	w11_d590e10827
Adl.	w13_d590e10831
in	w15_d590e10834
der	w17_d590e10837
Leopoldst.,	w1_d590e10842
alt	w3_d590e10845
21.	w5_d590e10848
J.	w7_d590e10851
Ehristina	w1_d590e10856
Karlbergerin,	w3_d590e10859
led.	w5_d590e10862
M.,	w7_d590e10865
beym	w9_d590e10868
gr.	w11_d590e10871
Schif	w13_d590e10875
bey	w15_d590e10878
Maria=hülf,	w1_d590e10884
alt	w3_d590e10887
29.	w5_d590e10890
J.	w7_d590e10893
Dem	w1_d590e10898
Jacob	w3_d590e10901
Stagl,	w5_d590e10904
Lack.,	w7_d590e10907
s.	w9_d590e10910
W.	w11_d590e10913
Magdal.,	w13_d590e10917
beyn	w15_d590e10920
7.	w17_d590e10923
Ehur=fürst.	w1_d590e10928
am	w3_d590e10931
Spitalberg,	w5_d590e10934
alt	w7_d590e10937
57.	w9_d590e10940
J.	w11_d590e10943
Math.	w1_d590e10948
Hinterreiter,	w3_d590e10951
Maurer=ges.,	w5_d590e10954
beym	w7_d590e10957
weis.	w9_d590e10960
Adl.	w11_d590e10963
am	w1_d590e10969
Thury,	w3_d590e10972
alt	w5_d590e10975
63.	w7_d590e10978
J.	w9_d590e10981
</list>
<list id="l10_d590e10995">
Domin.	w1_d590e10999
Noldinger,	w3_d590e11002
Mahler=ges.,	w5_d590e11005
beym	w7_d590e11008
Küß=den	w9_d590e11011
Pfen.	w1_d590e11016
am	w3_d590e11019
Spitalberg,	w5_d590e11022
alt	w7_d590e11025
24.	w9_d590e11028
J.	w11_d590e11031
Dem	w1_d590e11036
Ant.	w3_d590e11039
Hanl,	w5_d590e11042
Reit=kn.,	w7_d590e11045
s.	w9_d590e11048
K.	w11_d590e11051
Math.,	w13_d590e11055
beyn	w15_d590e11058
2.	w17_d590e11061
gold.	w1_d590e11067
Kreutz.	w3_d590e11070
am	w5_d590e11073
Spitalberg,	w7_d590e11076
alt	w9_d590e11079
2.	w11_d590e11082
J.	w13_d590e11086
Summa	w1_d590e11091
12.	w3_d590e11094
Pers.,	w5_d590e11097
darunter	w7_d590e11100
2.	w9_d590e11103
Kind.	w11_d590e11106
</list>
<list id="l12_d590e11111">
</list>
<head id="h2_d590e11119">
Den	w1_d590e11123
21.	w3_d590e11126
Sept.	w5_d590e11129
Jn	w1_d590e11134
der	w3_d590e11137
Stadt.	w5_d590e11140
</head>
<list id="l4_d590e11143">
Der	w1_d590e11147
(Tit.)	w3_d590e11150
Hr.	w5_d590e11153
Joh	w7_d590e11156
v.	w9_d590e11159
Stura,	w11_d590e11162
des	w13_d590e11166
Löbl.	w15_d590e11169
K.	w17_d590e11172
K.	w19_d590e11175
Salmis.	w1_d590e11180
Jnsant	w3_d590e11183
Reg.	w5_d590e11186
Hauptm.,	w7_d590e11189
im	w9_d590e11192
Karaboldis.	w11_d590e11195
H.	w1_d590e11200
in	w3_d590e11203
der	w5_d590e11206
Weyhburg	w7_d590e11209
gas.,	w9_d590e11212
alt	w11_d590e11215
60.	w13_d590e11219
J.	w15_d590e11222
Hr.	w1_d590e11228
Franz	w3_d590e11231
Hellmahr,	w5_d590e11234
Burgerl.	w7_d590e11237
Goldschm.,	w9_d590e11240
in	w11_d590e11243
s.	w13_d590e11247
H.	w15_d590e11250
im	w1_d590e11255
Fisch=hof,	w3_d590e11258
alt	w5_d590e11261
67.	w7_d590e11264
J.	w9_d590e11267
Der	w1_d590e11272
Ehrw.	w3_d590e11275
Fr.	w5_d590e11278
Urb.	w7_d590e11281
Widman,	w9_d590e11284
Ord.	w11_d590e11287
St.	w13_d590e11291
Franc.	w15_d590e11294
im	w17_d590e11297
Kloster	w1_d590e11302
bey	w3_d590e11305
St	w5_d590e11308
Hieron.,	w7_d590e11311
alt	w9_d590e11314
61.	w11_d590e11317
J.	w13_d590e11321
Theres.	w1_d590e11327
Föttingerin,	w3_d590e11330
led.	w5_d590e11333
M.,	w7_d590e11336
im	w9_d590e11339
obern	w11_d590e11342
Arsenal	w13_d590e11346
auf	w15_d590e11349
der	w1_d590e11354
hoh.	w3_d590e11357
Bruck.,	w5_d590e11360
alt	w7_d590e11363
16.	w9_d590e11366
J.	w11_d590e11369
</list>
<head id="h2_d590e11376">
Vor	w1_d590e11380
der	w3_d590e11383
Stadt.	w5_d590e11386
</head>
<list id="l4_d590e11389">
Jos.	w1_d590e11393
Strasser,	w3_d590e11396
Bestand	w5_d590e11399
wirt,	w7_d590e11402
beym	w9_d590e11405
gold.	w11_d590e11408
Bärn	w13_d590e11412
in	w15_d590e11415
der	w1_d590e11420
Rossau,	w3_d590e11423
alt	w5_d590e11426
75.	w7_d590e11429
J.	w9_d590e11432
Cathar.	w1_d590e11437
Ludwigin,	w3_d590e11440
Wittwe,	w5_d590e11443
im	w7_d590e11446
erst=bemelt.	w9_d590e11449
H.	w11_d590e11452
77.	w13_d590e11456
J.	w15_d590e11459
Dem	w1_d590e11465
Mich	w3_d590e11468
Hurtl,	w5_d590e11471
Maurer=ges.,	w7_d590e11474
s.	w9_d590e11477
K.	w11_d590e11480
Jucob,	w13_d590e11484
beym	w15_d590e11487
rot.	w1_d590e11492
Pfauen	w3_d590e11495
am	w5_d590e11498
oberen	w7_d590e11501
Neustift,	w9_d590e11504
alt	w11_d590e11507
6.	w13_d590e11511
J.	w15_d590e11514
Dem	w1_d590e11519
Jos.	w3_d590e11522
Riedl,	w5_d590e11525
Taglöhn,	w7_d590e11528
s.	w9_d590e11531
K.	w11_d590e11534
Magdal.,	w13_d590e11538
beym	w15_d590e11541
schwarz.	w1_d590e11546
Bärn	w3_d590e11549
zu	w5_d590e11552
Margar.,	w7_d590e11555
alt	w9_d590e11558
4	w11_d590e11561
J.	w13_d590e11565
Conrad	w1_d590e11571
Haberl,	w3_d590e11574
K.	w5_d590e11577
Plachen=ku,	w7_d590e11580
im	w9_d590e11583
Metsis.	w11_d590e11586
H.	w13_d590e11590
in	w15_d590e11593
der	w1_d590e11598
Leapoldst.,	w3_d590e11601
alt	w5_d590e11604
72.	w7_d590e11607
J.	w9_d590e11610
Dem	w1_d590e11615
Franz	w3_d590e11618
Dräxel,	w5_d590e11621
Schuhmach.,	w7_d590e11624
s.	w9_d590e11627
K.	w11_d590e11630
Reg.,	w13_d590e11634
im	w15_d590e11637
Damianis.	w1_d590e11642
H.	w3_d590e11645
zu	w5_d590e11648
Gumpendorf,	w7_d590e11651
alt	w9_d590e11654
2	w11_d590e11657
J.	w13_d590e11661
Dem	w1_d590e11667
Jacob	w3_d590e11670
Kneitel,	w5_d590e11673
Taglöhn.,	w7_d590e11676
s.	w9_d590e11679
K.	w11_d590e11682
Maria	w13_d590e11686
Anna,	w15_d590e11689
beym	w1_d590e11694
rot.	w3_d590e11697
Jgel	w5_d590e11700
in	w7_d590e11703
der	w9_d590e11706
Josephst.,	w11_d590e11709
alt	w13_d590e11713
6.	w15_d590e11716
J.	w17_d590e11719
Summa	w1_d590e11724
11.	w3_d590e11727
Pers.	w5_d590e11730
/	w7_d590e11733
darunter	w9_d590e11736
4.	w11_d590e11739
Kind.	w13_d590e11743
</list>
<head id="h2_d590e11751">
Den	w1_d590e11755
22.	w3_d590e11758
Sept.	w5_d590e11761
Jn	w7_d590e11764
der	w9_d590e11767
Stadt.	w11_d590e11770
Niemand.	w1_d590e11775
Vor	w1_d590e11780
der	w3_d590e11783
Stadt.	w5_d590e11786
</head>
<list id="l4_d590e11789">
Dem	w1_d590e11793
Joh.	w3_d590e11796
Hambleseder,	w5_d590e11799
Burgerl.	w7_d590e11802
Fleischhack,	w9_d590e11805
s.	w11_d590e11808
K.	w1_d590e11813
Roch.,	w3_d590e11816
in	w5_d590e11819
s.	w7_d590e11822
H.	w9_d590e11825
in	w11_d590e11828
der	w13_d590e11832
Josephst.,	w15_d590e11835
alt	w17_d590e11838
2.	w19_d590e11841
J.	w21_d590e11844
Dem	w1_d590e11849
Joh.	w3_d590e11852
Mich.	w5_d590e11855
Haberl,	w7_d590e11858
Burgerl.	w9_d590e11861
Schuhmach.,	w11_d590e11864
s.	w1_d590e11870
W.	w3_d590e11873
Elisab,	w5_d590e11876
im	w7_d590e11879
Schilleris	w9_d590e11882
H.	w11_d590e11885
in	w13_d590e11889
der	w15_d590e11892
Leopoldst.	w17_d590e11895
alt	w1_d590e11900
50.	w3_d590e11903
J.	w5_d590e11906
Dem	w1_d590e11911
Gustav	w3_d590e11914
Pfeningsack,	w5_d590e11917
Dratzieher	w7_d590e11920
ges.,	w9_d590e11923
s.	w11_d590e11926
W.	w13_d590e11930
Cathar.,	w1_d590e11935
bey	w3_d590e11938
der	w5_d590e11941
gold.	w7_d590e11944
Eul	w9_d590e11947
bey	w11_d590e11950
St.	w13_d590e11954
Ulrich,	w15_d590e11957
34.	w17_d590e11960
J.	w19_d590e11963
Dem	w1_d590e11969
Wolf	w3_d590e11972
Gackgruber	w5_d590e11975
Zimmer	w7_d590e11978
ges.,	w9_d590e11981
s.	w11_d590e11984
W.	w13_d590e11988
Maria	w15_d590e11991
Anna,	w1_d590e11996
bey	w3_d590e11999
der	w5_d590e12002
schön.	w7_d590e12005
Schäf.	w9_d590e12008
am	w11_d590e12011
Thury,	w13_d590e12015
30	w15_d590e12018
J.	w17_d590e12021
Jos.	w1_d590e12026
Schifer,	w3_d590e12029
Kloster=schneid.	w5_d590e12032
im	w7_d590e12035
Serviten=klost,	w9_d590e12038
in	w1_d590e12043
der	w3_d590e12046
Rossau,	w5_d590e12049
alt	w7_d590e12052
48.	w9_d590e12055
J.	w11_d590e12058
Carl	w1_d590e12064
Paar,	w3_d590e12067
Roß	w5_d590e12070
kn.,	w7_d590e12073
beym	w9_d590e12076
schwarz.	w11_d590e12079
Eleph.	w13_d590e12083
in	w15_d590e12086
der	w17_d590e12089
Leopoldst.,	w1_d590e12094
alt	w3_d590e12097
31.	w5_d590e12100
J.	w7_d590e12103
Dem	w1_d590e12108
Ferd.	w3_d590e12111
Pfaffenschlager,	w5_d590e12114
gew.	w7_d590e12117
Stadt=garde	w9_d590e12120
sold	w11_d590e12123
s.	w1_d590e12128
W.	w3_d590e12131
Cathar,	w5_d590e12134
bey	w7_d590e12137
der	w9_d590e12140
gold.	w11_d590e12143
Kug	w13_d590e12147
im	w15_d590e12150
Lerchf.	w17_d590e12153
64.	w19_d590e12156
J.	w21_d590e12159
Dem	w1_d590e12165
Nicol.	w3_d590e12168
Viener,	w5_d590e12171
Herrschaftl.	w7_d590e12174
Lack.,	w9_d590e12177
s.	w11_d590e12180
K.	w13_d590e12184
Bo	w15_d590e12187
navent,	w1_d590e12192
im	w3_d590e12195
rot.	w5_d590e12198
H.	w7_d590e12201
vorm	w9_d590e12204
Schotten=thor,	w11_d590e12207
2.	w13_d590e12211
J.	w15_d590e12214
</list>
<list id="l6_d590e12218">
Dem	w1_d590e12222
Mich.	w3_d590e12225
Lachner,	w5_d590e12228
Geig.,	w7_d590e12231
s.	w9_d590e12234
W.	w11_d590e12237
Barb.,	w13_d590e12241
bey	w15_d590e12244
dem	w17_d590e12247
Stuck	w1_d590e12252
gies.	w3_d590e12255
auf	w5_d590e12258
der	w7_d590e12261
Wendelst.,	w9_d590e12264
alt	w11_d590e12267
38.	w13_d590e12271
J.	w15_d590e12274
Der	w1_d590e12279
Barb.	w3_d590e12282
Finkin,	w5_d590e12285
Wittwe,	w7_d590e12288
ihr	w9_d590e12291
K.	w11_d590e12294
Theres.,	w13_d590e12298
beyn	w15_d590e12301
3.	w1_d590e12307
Bind.	w3_d590e12310
am	w5_d590e12313
Spitalberg,	w7_d590e12316
alt	w9_d590e12319
10.	w11_d590e12322
J.	w13_d590e12326
Dem	w1_d590e12331
Joh.	w3_d590e12334
Zinnober,	w5_d590e12337
Taglöhn.,	w7_d590e12340
s.	w9_d590e12343
W.	w11_d590e12346
Eva,	w13_d590e12350
beyn	w15_d590e12353
3.	w1_d590e12358
Lil.	w3_d590e12361
zu	w5_d590e12364
Matzleinstorf,	w7_d590e12367
alt	w9_d590e12370
36.	w11_d590e12373
J.	w13_d590e12377
</list>
<head id="h2_d590e12384">
Summa	w1_d590e12388
11.	w3_d590e12391
Pers.,	w5_d590e12394
darunter	w7_d590e12397
3.	w9_d590e12400
Kind.	w11_d590e12403
Den	w1_d590e12408
23.	w3_d590e12411
Sept.	w5_d590e12414
Jn	w1_d590e12419
der	w3_d590e12422
Stadt.	w5_d590e12425
Niemand.	w1_d590e12431
Vor	w1_d590e12436
der	w3_d590e12439
Stadt.	w5_d590e12442
</head>
<list id="l4_d590e12445">
Der	w1_d590e12449
Justina	w3_d590e12452
Pillin,	w5_d590e12455
Wittwe,	w7_d590e12458
ihr	w9_d590e12461
T.	w11_d590e12464
Theres.,	w13_d590e12468
beyn	w15_d590e12471
3	w1_d590e12476
weis.	w3_d590e12479
Lil.	w5_d590e12482
in	w7_d590e12485
der	w9_d590e12488
Josephst.,	w11_d590e12491
alt	w13_d590e12495
23.	w15_d590e12498
J.	w17_d590e12501
Monica	w1_d590e12506
Wiestenbergerin,	w3_d590e12509
led.,	w5_d590e12512
beyn	w7_d590e12515
2.	w9_d590e12518
Alst.	w11_d590e12521
auf	w13_d590e12525
der	w15_d590e12528
Lain	w1_d590e12534
gr.,	w3_d590e12537
alt	w5_d590e12540
40.	w7_d590e12543
J.	w9_d590e12546
Dem	w1_d590e12551
Ant	w3_d590e12554
Stumpter,	w5_d590e12557
Herrschaftl.	w7_d590e12560
Lack,	w9_d590e12563
s.	w11_d590e12566
K.	w13_d590e12570
Math.	w15_d590e12573
im	w1_d590e12578
Faß	w3_d590e12581
zieheris.	w5_d590e12584
H.	w7_d590e12587
am	w9_d590e12590
Spitalberg,	w11_d590e12593
alt	w13_d590e12597
5	w15_d590e12600
J.	w17_d590e12603
Joh.	w1_d590e12608
Neubauer,	w3_d590e12611
Gurtler=ges.,	w5_d590e12614
im	w7_d590e12617
Freudenreicheris.	w9_d590e12620
H.	w1_d590e12626
zu	w3_d590e12629
Gumpendorf,	w5_d590e12632
alt	w7_d590e12635
23.	w9_d590e12638
J.	w11_d590e12641
Dem	w1_d590e12646
Mich.	w3_d590e12649
Kraftl,	w5_d590e12652
Taglöhn.,	w7_d590e12655
s.	w9_d590e12658
W.	w11_d590e12661
Reg.,	w13_d590e12665
beym	w15_d590e12668
gold.	w1_d590e12673
Stern	w3_d590e12676
bey	w5_d590e12679
Maria	w7_d590e12682
hülf,	w9_d590e12685
alt	w11_d590e12688
52.	w13_d590e12692
J.	w15_d590e12695
Dem	w1_d590e12700
Franz	w3_d590e12703
Atzerstorfer,	w5_d590e12706
Geig.,	w7_d590e12709
s.	w9_d590e12712
K.	w11_d590e12715
Jos,	w13_d590e12719
bey	w15_d590e12722
Ma	w17_d590e12725
ria=treu	w1_d590e12731
am	w3_d590e12734
Thuro,	w5_d590e12737
alt	w7_d590e12740
6.	w9_d590e12743
J.	w11_d590e12746
Dem	w1_d590e12751
Jos.	w3_d590e12754
Unterholzer,	w5_d590e12757
Webern,	w7_d590e12760
s.	w9_d590e12763
K.	w11_d590e12766
Georg,	w13_d590e12770
beym	w15_d590e12773
braun.	w1_d590e12778
Hirsch.	w3_d590e12781
im	w5_d590e12784
Liechtenth.,	w7_d590e12787
alt	w9_d590e12790
2.	w11_d590e12793
J.	w13_d590e12797
</list>
<head id="h2_d590e12804">
Summa	w1_d590e12808
7.	w3_d590e12811
Person.	w5_d590e12814
darunter	w7_d590e12817
3.	w9_d590e12820
Kind.	w11_d590e12823
</head>
<p id="p4_d590e12826">
Wir	w1_d590e12830
N.	w3_d590e12833
Stadt=richter	w5_d590e12836
und	w7_d590e12839
Raht	w9_d590e12842
der	w11_d590e12845
Lander	w13_d590e12849
fürstl.	w1_d590e12854
Stadt	w3_d590e12857
Korneuburg,	w5_d590e12860
machen	w7_d590e12863
hiemit	w9_d590e12866
allen	w11_d590e12869
und	w1_d590e12874
jeden,	w3_d590e12877
welche	w5_d590e12880
an	w7_d590e12883
den	w9_d590e12886
Johann	w11_d590e12889
Georg	w13_d590e12893
Genun	w15_d590e12896
cher,	w1_d590e12902
gewest	w3_d590e12905
Burgerl.	w5_d590e12908
Seiffensieder	w7_d590e12911
allhier,	w9_d590e12914
und	w11_d590e12917
Catharina	w1_d590e12922
dessen	w3_d590e12925
Ehewirtin	w5_d590e12928
einige	w7_d590e12931
Sprüch	w9_d590e12934
und	w11_d590e12937
Anforderungen	w1_d590e12942
haben,	w3_d590e12945
oder	w5_d590e12948
zu	w7_d590e12951
stellen	w9_d590e12954
vermeinen,	w11_d590e12957
kund	w1_d590e12962
und	w3_d590e12965
zu	w5_d590e12968
wissen,	w7_d590e12971
welcher	w9_d590e12974
massen	w11_d590e12977
derenselben	w13_d590e12981
sammentliche	w1_d590e12987
Creditores	w3_d590e12990
einzuberuffen,	w5_d590e12993
und	w7_d590e12996
de	w9_d590e12999
rohalben	w1_d590e13004
eine	w3_d590e13007
peremptorisch=clausulirte	w5_d590e13010
Convr	w7_d590e13013
cations	w1_d590e13018
und	w3_d590e13021
Liquidations=tagsatzung	w5_d590e13024
anzuordnen	w7_d590e13027
veranlasset	w1_d590e13032
worden	w3_d590e13035
seye;	w5_d590e13038
wie	w7_d590e13041
zumalen	w9_d590e13044
nun	w11_d590e13047
hierzu	w13_d590e13051
mit	w1_d590e13057
Einschliessung	w3_d590e13060
deren	w5_d590e13063
bevorstehenden	w7_d590e13066
Leeßfe	w9_d590e13069
rien	w1_d590e13074
der	w3_d590e13077
5.	w5_d590e13080
künftigen	w7_d590e13083
Monats	w9_d590e13086
Novemb.	w11_d590e13089
sub	w13_d590e13093
elau-	w15_d590e13096
sula	w1_d590e13101
præclusi,	w3_d590e13104
&	w5_d590e13107
cum	w7_d590e13110
1mo,	w9_d590e13113
2do.	w11_d590e13116
&	w13_d590e13120
3tio.	w15_d590e13123
Ter	w17_d590e13126
mino	w1_d590e13131
angesetzet	w3_d590e13134
worden	w5_d590e13137
ist;	w7_d590e13140
dahero	w9_d590e13143
werden	w11_d590e13146
au	w13_d590e13150
diesfällige	w1_d590e13156
Credits=partheyen	w3_d590e13159
am	w5_d590e13162
vorerwehnten	w7_d590e13165
Tag	w1_d590e13170
fruh	w3_d590e13173
um	w5_d590e13176
8.	w7_d590e13179
Uhr	w9_d590e13182
auf	w11_d590e13185
alhiesig	w13_d590e13189
gemeiner	w15_d590e13192
Stad	w17_d590e13195
Raht=haus	w1_d590e13200
entweder	w3_d590e13203
selbst,	w5_d590e13206
oder	w7_d590e13209
durch	w9_d590e13212
ander	w11_d590e13215
also	w1_d590e13220
gewiß	w3_d590e13223
zu	w5_d590e13226
erscheinen,	w7_d590e13229
ihre	w9_d590e13232
Forderungen	w11_d590e13235
anzu	w13_d590e13239
melden,	w1_d590e13245
und	w3_d590e13248
behörig	w5_d590e13251
zu	w7_d590e13254
liquidiren	w9_d590e13257
haben,	w11_d590e13260
als	w13_d590e13264
im	w1_d590e13269
Gegensatz	w3_d590e13272
die	w5_d590e13275
Ausbleibende	w7_d590e13278
nicht	w9_d590e13281
mehr	w11_d590e13284
geho	w13_d590e13288
ret,	w1_d590e13293
sondern	w3_d590e13296
mit	w5_d590e13299
ihren	w7_d590e13302
Sprüchen	w9_d590e13305
ausgeschlossen,	w11_d590e13308
und	w1_d590e13313
cum	w3_d590e13316
perpetuo	w5_d590e13319
filentio	w7_d590e13322
abgewiesen	w9_d590e13325
werden	w11_d590e13328
sollen.	w1_d590e13334
Wornach	w3_d590e13337
sich	w5_d590e13340
ein	w7_d590e13343
jeder	w9_d590e13346
zu	w11_d590e13349
achten	w13_d590e13353
wissen	w15_d590e13356
wird	w17_d590e13359
</p>
<p id="p6_d590e13362">
Den	w1_d590e13366
1.	w3_d590e13369
Septemb.	w5_d590e13372
1761.	w7_d590e13375
ist	w9_d590e13378
in	w11_d590e13381
der	w13_d590e13385
Stadt	w15_d590e13388
ein	w17_d590e13391
alter,	w1_d590e13396
mit	w3_d590e13399
weisser	w5_d590e13402
Seiden	w7_d590e13405
geflickter	w9_d590e13408
Beutel	w11_d590e13411
mit	w13_d590e13415
