<doc id="wr_1762-01-06" attrs="word" year="1762" month="01" day="06" corpus="2">
<head id="h2_d619e3497">
Lißbon	w1_d619e3501
von	w9_d619e10763
jenem	w11_d619e10766
sub	w13_d619e10770
Nro.	w1_d619e10775
54.	w3_d619e10778
im	w5_d619e10781
Starhembergischen	w7_d619e10784
Frey=haus	w9_d619e10787
ebenfalls	w1_d619e10792
eine	w3_d619e10795
Quartin	w5_d619e10798
abgeführet	w7_d619e10801
worden.	w9_d619e10804
</p>
<p id="p14_d619e10807">
Den	w1_d619e10811
16.	w3_d619e10814
dies	w5_d619e10817
wird	w7_d619e10820
alhier	w9_d619e10823
die	w11_d619e10826
fernere	w13_d619e10830
Ziehung	w1_d619e10835
geschehen.	w3_d619e10838
</p>
<head id="h2_d619e10845">
Lista	w1_d619e10849
deren	w3_d619e10852
Verstorbenen	w5_d619e10855
zu	w7_d619e10858
Wien	w9_d619e10861
in	w1_d619e10866
und	w3_d619e10869
vor	w5_d619e10872
der	w7_d619e10875
Stadt.	w9_d619e10878
Den	w1_d619e10883
30.	w3_d619e10886
Dec.	w5_d619e10889
Jn	w1_d619e10895
der	w3_d619e10898
Stadt.	w5_d619e10901
</head>
<list id="l4_d619e10904">
Dem	w1_d619e10908
Hoch=edel=geb.	w3_d619e10911
Hrn.	w5_d619e10914
Maximil.	w7_d619e10917
Emanuel	w9_d619e10920
Hil	w11_d619e10923
leprand	w1_d619e10928
v.	w3_d619e10931
Prandau,	w5_d619e10934
Jhrer	w7_d619e10937
K.	w9_d619e10940
K.	w11_d619e10943
Apostol.	w13_d619e10947
Maj.	w15_d619e10950
würkl.	w1_d619e10955
Hof=raht,	w3_d619e10958
s.	w5_d619e10961
Fr.	w7_d619e10964
Maria	w9_d619e10967
Anna	w11_d619e10970
Theres.,	w13_d619e10974
geb.	w15_d619e10977
v.	w1_d619e10983
Millner,	w3_d619e10986
im	w5_d619e10989
Zwölferis.	w7_d619e10992
H.	w9_d619e10995
um	w11_d619e10998
alt.	w13_d619e11002
Fleischm.,	w15_d619e11005
alt	w1_d619e11010
62.	w3_d619e11013
J.	w5_d619e11016
</list>
<head id="h2_d619e11023">
Vor	w1_d619e11027
der	w3_d619e11030
Stadt.	w5_d619e11033
</head>
<list id="l4_d619e11036">
Phil.	w1_d619e11040
Montag,	w3_d619e11043
Burgerl.	w5_d619e11046
Feilhauer,	w7_d619e11049
beym	w9_d619e11052
gold.	w11_d619e11055
Pe	w13_d619e11059
lican	w1_d619e11064
bey	w3_d619e11067
St.	w5_d619e11070
Ulrich,	w7_d619e11073
alt	w9_d619e11076
53.	w11_d619e11079
J.	w13_d619e11083
Joh.	w1_d619e11088
Bauchinger,	w3_d619e11091
Bugerl.	w5_d619e11094
Schuhmach.,	w7_d619e11097
in	w9_d619e11100
s.	w11_d619e11103
H.	w13_d619e11107
auf	w1_d619e11113
der	w3_d619e11116
Landstr.,	w5_d619e11119
alt	w7_d619e11122
62.	w9_d619e11125
J.	w11_d619e11128
Jos.	w1_d619e11133
Stutteregger,	w3_d619e11136
Tracteur	w5_d619e11139
in	w7_d619e11142
U.	w9_d619e11145
L.	w11_d619e11148
Frauen=spit.,	w13_d619e11152
am	w1_d619e11157
Renn	w3_d619e11160
weg,	w5_d619e11163
alda,	w7_d619e11166
alt	w9_d619e11169
51.	w11_d619e11172
J.	w13_d619e11176
Mich.	w1_d619e11181
Bärnhofer,	w3_d619e11184
Bier=leut=geb,	w5_d619e11187
beym	w7_d619e11190
gold	w9_d619e11193
Co	w11_d619e11196
paun.	w1_d619e11202
am	w3_d619e11205
Neustift,	w5_d619e11208
alt	w7_d619e11211
63.	w9_d619e11214
J.	w11_d619e11217
Anna	w1_d619e11222
Bäschingerin,	w3_d619e11225
Wittwe,	w5_d619e11228
bey	w7_d619e11231
der	w9_d619e11234
Stadt	w11_d619e11237
Vene	w13_d619e11241
dig	w1_d619e11246
bey	w3_d619e11249
Maria=hülf,	w5_d619e11252
alt	w7_d619e11255
75.	w9_d619e11258
J.	w11_d619e11261
Dem	w1_d619e11266
Gotth.	w3_d619e11269
Blat,	w5_d619e11272
gew.	w7_d619e11275
K.	w9_d619e11278
K.	w11_d619e11281
Reitkn.,	w13_d619e11285
s.	w15_d619e11288
W.	w17_d619e11291
Ca	w19_d619e11294
thar.,	w1_d619e11300
beym	w3_d619e11303
Schäf.	w5_d619e11306
am	w7_d619e11309
Neustift,	w9_d619e11312
alt	w11_d619e11315
71.	w13_d619e11319
Dem	w1_d619e11324
Jos.	w3_d619e11327
Spintauer,	w5_d619e11330
Holz=schneid.,	w7_d619e11333
s.	w9_d619e11336
K.	w11_d619e11339
Leop.,	w13_d619e11343
beyn	w1_d619e11348
3.	w3_d619e11351
Lauf.	w5_d619e11354
bey	w7_d619e11357
Maria	w9_d619e11360
hülf,	w11_d619e11363
alt	w13_d619e11367
2.	w15_d619e11370
J.	w17_d619e11373
Dem	w1_d619e11378
Bernh.	w3_d619e11381
Altmann,	w5_d619e11384
Tischl.,	w7_d619e11387
s.	w9_d619e11390
K.	w11_d619e11393
Barb,	w13_d619e11397
bey	w15_d619e11400
der	w1_d619e11406
H.	w3_d619e11409
Dreyfaltigk.	w5_d619e11412
ausser	w7_d619e11415
Maria	w9_d619e11418
hülf,	w11_d619e11421
alt	w13_d619e11425
2.	w15_d619e11428
J.	w17_d619e11431
Sebast.	w1_d619e11436
Fischer,	w3_d619e11439
Taglöhn.,	w5_d619e11442
beym	w7_d619e11445
weis.	w9_d619e11448
Lämmel	w11_d619e11451
im	w13_d619e11455
Liechtenth.,	w1_d619e11460
alt	w3_d619e11463
61.	w5_d619e11466
J.	w7_d619e11469
</list>
<head id="h2_d619e11476">
Summa	w1_d619e11480
10.	w3_d619e11483
Person.,	w5_d619e11486
darunter	w7_d619e11489
2.	w9_d619e11492
Kind.	w11_d619e11495
Den	w1_d619e11500
31.	w3_d619e11503
Dec.	w5_d619e11506
Jn	w1_d619e11511
der	w3_d619e11514
Stadt.	w5_d619e11517
</head>
<list id="l4_d619e11520">
Die	w1_d619e11524
Wol=edel=geb.	w3_d619e11527
Frle	w5_d619e11530
Anna	w7_d619e11533
Reging.	w9_d619e11536
Prieschen	w11_d619e11539
</list>
<p id="p10_d619e11553">
ein	w1_d619e11557
v.	w3_d619e11560
Lindenhofen,	w5_d619e11563
im	w7_d619e11566
Prieschenkis.	w9_d619e11569
H.	w11_d619e11572
am	w13_d619e11576
alt.	w15_d619e11579
Fleischm.,	w1_d619e11584
alt	w3_d619e11587
55.	w5_d619e11590
J.	w7_d619e11593
</p>
<head id="h2_d619e11599">
Vor	w1_d619e11603
der	w3_d619e11606
Stadt.	w5_d619e11609
</head>
<list id="l4_d619e11612">
Joh	w1_d619e11616
Mich.	w3_d619e11619
Schwingrohr,	w5_d619e11622
Schneid.,	w7_d619e11625
beym	w9_d619e11628
Stuck	w11_d619e11631
gies.	w1_d619e11636
auf	w3_d619e11639
der	w5_d619e11642
Wendelst.,	w7_d619e11645
alt	w9_d619e11648
73.	w11_d619e11651
J.	w13_d619e11655
Dem	w1_d619e11660
Bernh.	w3_d619e11663
Merdens,	w5_d619e11666
Lack.,	w7_d619e11669
s.	w9_d619e11672
W.	w11_d619e11675
Elisab.,	w13_d619e11679
bey	w15_d619e11682
der	w1_d619e11688
Stadt	w3_d619e11691
Rom	w5_d619e11694
auf	w7_d619e11697
der	w9_d619e11700
Wind	w11_d619e11703
mühl,	w13_d619e11707
alt	w15_d619e11710
72.	w17_d619e11713
J.	w19_d619e11716
Dem	w1_d619e11721
Math.	w3_d619e11724
Standl,	w5_d619e11727
Taglöhn.,	w7_d619e11730
s.	w9_d619e11733
W.	w11_d619e11736
Elisab.,	w13_d619e11740
bey	w15_d619e11743
dem	w1_d619e11748
weis.	w3_d619e11751
Hahn	w5_d619e11754
im	w7_d619e11757
Liechtenth,	w9_d619e11760
alt	w11_d619e11763
40.	w13_d619e11767
J.	w15_d619e11770
</list>
<head id="h2_d619e11777">
Summa	w1_d619e11781
4.	w3_d619e11784
Person.,	w5_d619e11787
darunt.	w7_d619e11790
0.	w9_d619e11793
Kind.	w11_d619e11796
Den	w1_d619e11801
1	w3_d619e11804
Jan	w5_d619e11807
1762.	w7_d619e11810
Jn	w1_d619e11815
der	w3_d619e11818
Stadt.	w5_d619e11821
</head>
<list id="l4_d619e11824">
Dem	w1_d619e11828
Ant.	w3_d619e11831
Maessano,	w5_d619e11834
Burgerl.	w7_d619e11837
Caffee=sied.,	w9_d619e11840
s.	w11_d619e11843
K.	w13_d619e11847
Aloys.,	w1_d619e11852
im	w3_d619e11855
Wenzelis.	w5_d619e11858
H.	w7_d619e11861
in	w9_d619e11864
der	w11_d619e11867
obern	w13_d619e11871
Breunerstr.	w15_d619e11874
alt	w1_d619e11879
1.	w3_d619e11882
J.	w5_d619e11885
Dem	w1_d619e11891
Mich.	w3_d619e11894
Riedl,	w5_d619e11897
Maurer	w7_d619e11900
ges.,	w9_d619e11903
s.	w11_d619e11906
K.	w13_d619e11910
Franz,	w15_d619e11913
im	w17_d619e11916
erst	w1_d619e11921
bemeldt.	w3_d619e11924
H.,	w5_d619e11927
alt	w7_d619e11930
6.	w9_d619e11933
v	w11_d619e11936
J.	w13_d619e11940
</list>
<head id="h2_d619e11947">
Vor	w1_d619e11951
der	w3_d619e11954
Stadt.	w5_d619e11957
</head>
<list id="l4_d619e11960">
Fr.	w1_d619e11964
Magdal.	w3_d619e11967
Rauschingerin,	w5_d619e11970
Wittwe,	w7_d619e11973
in	w9_d619e11976
ihrem	w11_d619e11979
H.	w13_d619e11983
auf	w1_d619e11988
der	w3_d619e11991
neuen	w5_d619e11994
Wied.,	w7_d619e11997
alt	w9_d619e12000
64.	w11_d619e12003
J.	w13_d619e12007
Carl	w1_d619e12012
Teckets,	w3_d619e12015
Burgerl.	w5_d619e12018
Greißl.,	w7_d619e12021
beym	w9_d619e12024
gold.	w11_d619e12027
Copaun.	w13_d619e12031
auf	w1_d619e12037
der	w3_d619e12040
Wied.,	w5_d619e12043
alt	w7_d619e12046
56.	w9_d619e12049
J.	w11_d619e12052
Lor.	w1_d619e12057
Strasser,	w3_d619e12060
Grund	w5_d619e12063
richt.	w7_d619e12066
auf	w9_d619e12069
der	w11_d619e12072
Wind=mühl,	w13_d619e12076
in	w15_d619e12079
s.	w1_d619e12084
H.	w3_d619e12087
alda,	w5_d619e12090
alt	w7_d619e12093
58.	w9_d619e12096
Joh.	w1_d619e12101
Stremp,	w3_d619e12104
Burgerl.	w5_d619e12107
Schneid.,	w7_d619e12110
im	w9_d619e12113
Bäckis.	w11_d619e12116
H.	w13_d619e12120
auf	w1_d619e12126
der	w3_d619e12129
neuen	w5_d619e12132
Wieden,	w7_d619e12135
alt	w9_d619e12138
74.	w11_d619e12141
J.	w13_d619e12145
Lor.	w1_d619e12150
Klampferer,	w3_d619e12153
Burgerl.	w5_d619e12156
Wirt,	w7_d619e12159
im	w9_d619e12162
Lebzelteris.	w11_d619e12165
H.	w13_d619e12169
in	w1_d619e12174
der	w3_d619e12177
Leopoldst.,	w5_d619e12180
alt	w7_d619e12183
41.	w9_d619e12186
J.	w11_d619e12189
Dem	w1_d619e12194
Leonh.	w3_d619e12197
Riedl,	w5_d619e12200
Schuhmach.,	w7_d619e12203
s.	w9_d619e12206
K.	w11_d619e12209
Theres.,	w13_d619e12213
im	w15_d619e12216
Schneideris.	w1_d619e12222
H.	w3_d619e12225
zu	w5_d619e12228
Margar.,	w7_d619e12231
alt	w9_d619e12234
4.	w11_d619e12237
J.	w13_d619e12241
Dem	w1_d619e12246
Georg	w3_d619e12249
Köstler,	w5_d619e12252
Lack,	w7_d619e12255
s.	w9_d619e12258
W.	w11_d619e12261
Regina,	w13_d619e12265
bey	w15_d619e12268
dem	w17_d619e12271
Binapf.	w1_d619e12276
auf	w3_d619e12279
der	w5_d619e12282
Landstr.,	w7_d619e12285
alt	w9_d619e12288
56.	w11_d619e12291
J.	w13_d619e12295
Cathar.	w1_d619e12300
Bruckmanin,	w3_d619e12303
in	w5_d619e12306
St.	w7_d619e12309
Joh	w9_d619e12312
Nep.	w11_d619e12315
Spit.	w13_d619e12319
80.	w15_d619e12322
J.	w17_d619e12325
</list>
<head id="h2_d619e12333">
Summa	w1_d619e12337
10.	w3_d619e12340
Person,	w5_d619e12343
darunter	w7_d619e12346
3.	w9_d619e12349
Kind.	w11_d619e12352
Den	w1_d619e12357
2.	w3_d619e12360
Jan.	w5_d619e12363
Jn	w1_d619e12368
der	w3_d619e12371
Stadt.	w5_d619e12374
</head>
<list id="l4_d619e12377">
Dem	w1_d619e12381
Hrn.	w3_d619e12384
Thom.	w5_d619e12387
Jos.	w7_d619e12390
Flaschütz,	w9_d619e12393
Burgerl.	w11_d619e12396
Han	w13_d619e12400
dels	w1_d619e12405
m.,	w3_d619e12408
s.	w5_d619e12411
T.	w7_d619e12414
Anna,	w9_d619e12417
im	w11_d619e12420
Regenspurger=hof,	w13_d619e12424
alt	w15_d619e12427
10.	w1_d619e12432
J.	w3_d619e12435
</list>
<head id="h2_d619e12442">
Vor	w1_d619e12446
der	w3_d619e12449
Stadt	w5_d619e12452
</head>
<list id="l4_d619e12455">
Elisab.	w1_d619e12459
Lechnerin,	w3_d619e12462
Burgerl.	w5_d619e12465
Wittwe,	w7_d619e12468
in	w9_d619e12471
ihrem	w11_d619e12474
H.	w13_d619e12478
in	w1_d619e12483
der	w3_d619e12486
Josephst.,	w5_d619e12489
alt	w7_d619e12492
72.	w9_d619e12495
J.	w11_d619e12498
Dem	w1_d619e12503
Jos.	w3_d619e12506
Pechter,	w5_d619e12509
Burgerl.	w7_d619e12512
Kirschn.,	w9_d619e12515
s.	w11_d619e12518
S.	w13_d619e12522
Joh.,	w15_d619e12525
1	w1_d619e12531
im	w3_d619e12534
Schmidis.	w5_d619e12537
H.	w7_d619e12540
in	w9_d619e12543
der	w11_d619e12546
Leopoldst.,	w13_d619e12550
alt	w15_d619e12553
30.	w17_d619e12556
J.	w19_d619e12559
Cuneg.	w1_d619e12564
Antlin,	w3_d619e12567
in	w5_d619e12570
St.	w7_d619e12573
Joh.	w9_d619e12576
Nep.	w11_d619e12579
Spit.,	w13_d619e12583
75.	w15_d619e12586
J.	w17_d619e12589
Jnstina	w1_d619e12594
Ederin,	w3_d619e12597
Wittwe,	w5_d619e12600
beym	w7_d619e12603
gold.	w9_d619e12606
Hecht.	w11_d619e12609
am	w13_d619e12613
Magdal.	w1_d619e12618
gr.,	w3_d619e12621
alt	w5_d619e12624
62.	w7_d619e12627
J.	w9_d619e12630
Dem	w1_d619e12636
August.	w3_d619e12639
Lehman	w5_d619e12642
Lack.,	w7_d619e12645
s.	w9_d619e12648
K.	w11_d619e12651
Joh.,	w13_d619e12655
bey	w15_d619e12658
der	w17_d619e12661
gold.	w1_d619e12666
Sens.	w3_d619e12669
in	w5_d619e12672
der	w7_d619e12675
Währinger	w9_d619e12678
gas,	w11_d619e12681
alt	w13_d619e12685
5.	w15_d619e12688
J.	w17_d619e12691
Franz	w1_d619e12696
Pickel,	w3_d619e12699
gew.	w5_d619e12702
Lehen	w7_d619e12705
lack.,	w9_d619e12708
beym	w11_d619e12711
gold.	w13_d619e12715
Einhorn	w15_d619e12718
auf	w1_d619e12723
der	w3_d619e12726
Wied.,	w5_d619e12729
alt	w7_d619e12732
62.	w9_d619e12735
J.	w11_d619e12738
Dem	w1_d619e12744
Joh.	w3_d619e12747
Klinger,	w5_d619e12750
Taglöhn.,	w7_d619e12753
s.	w9_d619e12756
W.	w11_d619e12759
Theres.,	w13_d619e12763
im	w15_d619e12766
Huterstrasseris.	w1_d619e12771
H.	w3_d619e12774
am	w5_d619e12777
Hundsth.,	w7_d619e12780
alt	w9_d619e12783
51.	w11_d619e12786
J.	w13_d619e12790
</list>
<list id="l6_d619e12794">
Jos.	w1_d619e12798
Träuner,	w3_d619e12801
Taglöhn.,	w5_d619e12804
im	w7_d619e12807
Ziegleris.	w9_d619e12810
H.	w11_d619e12813
zu	w13_d619e12817
Ni	w15_d619e12820
colstorf,	w1_d619e12825
alt	w3_d619e12828
59.	w5_d619e12831
J.	w7_d619e12834
Dem	w1_d619e12839
Franz	w3_d619e12842
Hartl,	w5_d619e12845
Taglöhn.,	w7_d619e12848
s.	w9_d619e12851
K.	w11_d619e12854
Theres.,	w13_d619e12858
im	w15_d619e12861
Ma	w17_d619e12864
gensgartneris.	w1_d619e12870
H.	w3_d619e12873
zu	w5_d619e12876
Margar.,	w7_d619e12879
alt	w9_d619e12882
3.	w11_d619e12885
J.	w13_d619e12889
Dem	w1_d619e12894
Jgnatz	w3_d619e12897
Reßler,	w5_d619e12900
Taglöhn.,	w7_d619e12903
s.	w9_d619e12906
K.	w11_d619e12909
Josepha,	w13_d619e12913
bey	w15_d619e12916
dem	w1_d619e12921
schwarz.	w3_d619e12924
Kegel	w5_d619e12927
am	w7_d619e12930
Neustift,	w9_d619e12933
alt	w11_d619e12936
4.	w13_d619e12940
J.	w15_d619e12943
</list>
<head id="h2_d619e12950">
Summa	w1_d619e12954
11.	w3_d619e12957
Person.	w5_d619e12960
darunter	w7_d619e12963
4.	w9_d619e12966
Kind.	w11_d619e12969
</head>
<p id="p4_d619e12972">
Wir	w1_d619e12976
N.	w3_d619e12979
N.	w5_d619e12982
Superintendenten	w7_d619e12985
und	w9_d619e12988
Spitlmei	w11_d619e12991
ster	w1_d619e12996
der	w3_d619e12999
Burgerspital	w5_d619e13002
in	w7_d619e13005
Wien,	w9_d619e13008
geben	w11_d619e13011
hiemit	w13_d619e13015
jedermänniglich,	w1_d619e13020
forderist	w3_d619e13023
aber	w5_d619e13026
denenjenigen	w7_d619e13029
Par	w9_d619e13032
theyen,	w1_d619e13038
so	w3_d619e13041
auf	w5_d619e13044
Absterben	w7_d619e13047
des	w9_d619e13050
Joseph	w11_d619e13053
Neubauer,	w13_d619e13057
gewesten	w1_d619e13062
Schuster	w3_d619e13065
ohne	w5_d619e13068
Schutz,	w7_d619e13071
und	w9_d619e13074
Jnnwohners	w11_d619e13077
im	w1_d619e13082
Ritter	w3_d619e13085
St.	w5_d619e13088
Georg	w7_d619e13091
am	w9_d619e13094
Spitlberg	w11_d619e13097
seel.	w13_d619e13101
an	w15_d619e13104
des	w17_d619e13107
selben	w1_d619e13112
Verlassenschaft	w3_d619e13115
in	w5_d619e13118
Erb	w7_d619e13121
oder	w9_d619e13124
Schuldsä	w11_d619e13127
chen	w1_d619e13133
einige	w3_d619e13136
Sprüch	w5_d619e13139
und	w7_d619e13142
Forderungen	w9_d619e13145
haben,	w11_d619e13148
oder	w13_d619e13152
hiemit	w1_d619e13157
offentlich	w3_d619e13160
zu	w5_d619e13163
verneh	w7_d619e13166
zu	w1_d619e13171
stellen	w3_d619e13174
vermeinen,	w5_d619e13177
men,	w1_d619e13182
was	w3_d619e13185
massen	w5_d619e13188
wegen	w7_d619e13191
sicherer	w9_d619e13194
Abhandlung	w11_d619e13197
be	w13_d619e13201
sagter	w1_d619e13207
Verlassenschaft	w3_d619e13210
eine	w5_d619e13213
peremptorisch	w7_d619e13216
clausu	w9_d619e13219
lirte	w1_d619e13224
Convocations	w3_d619e13227
und	w5_d619e13230
zugleich	w7_d619e13233
Liquidations	w9_d619e13236
tagsatzung	w1_d619e13241
auf	w3_d619e13244
den	w5_d619e13247
8.	w7_d619e13250
Februarii	w9_d619e13253
künftigen	w11_d619e13256
1762.	w13_d619e13260
Jahrs	w1_d619e13265
fruh	w3_d619e13268
um	w5_d619e13271
9.	w7_d619e13274
Uhr	w9_d619e13277
in	w11_d619e13280
des	w13_d619e13284
Wienerischen	w15_d619e13287
Bur	w17_d619e13290
gerspitals=grundbuch	w1_d619e13296
zu	w3_d619e13299
erscheinen	w5_d619e13302
ex	w7_d619e13305
officio	w9_d619e13308
an	w11_d619e13311
geordnet	w1_d619e13316
worden	w3_d619e13319
seye.	w5_d619e13322
Solchemnach	w7_d619e13325
werden	w9_d619e13328
alle	w11_d619e13331
und	w1_d619e13336
jede	w3_d619e13339
obgedacht=Neubauerische	w5_d619e13342
Erb	w7_d619e13345
oder	w9_d619e13348
Schuld=nebmere	w1_d619e13353
bey	w3_d619e13356
solch=bestimmter	w5_d619e13359
Convoca	w7_d619e13362
tions=tagsatzung	w1_d619e13368
sich	w3_d619e13371
also	w5_d619e13374
gewiß	w7_d619e13377
anzumelden,	w9_d619e13380
zu	w11_d619e13383
legitimiren,	w1_d619e13388
und	w3_d619e13391
unter	w5_d619e13394
einstens	w7_d619e13397
ihre	w9_d619e13400
Forderun	w11_d619e13403
gen	w1_d619e13408
zu	w3_d619e13411
liquidiren,	w5_d619e13414
sub	w7_d619e13417
1mo.	w9_d619e13420
2do.	w11_d619e13423
&	w13_d619e13427
3tio.	w15_d619e13430
Ter-	w17_d619e13433
mino	w1_d619e13438
hiemit	w3_d619e13441
dergestalten	w5_d619e13444
citiret,	w7_d619e13447
daß	w9_d619e13450
in	w11_d619e13453
nicht	w13_d619e13457
Erscheinungs=fall	w1_d619e13463
jedannoch	w3_d619e13466
erholte	w5_d619e13469
Verlassen	w7_d619e13472
schafts=abhandlung	w1_d619e13477
geschlossen,	w3_d619e13480
und	w5_d619e13483
was	w7_d619e13486
Rech	w9_d619e13489
tens	w1_d619e13494
ist,	w3_d619e13497
erkennet,	w5_d619e13500
auch	w7_d619e13503
darüberhin	w9_d619e13506
niemand	w11_d619e13509
mehr	w13_d619e13513
angehöret,	w1_d619e13518
sondern	w3_d619e13521
denen	w5_d619e13524
Ausbleibenden	w7_d619e13527
das	w9_d619e13530
ewi	w11_d619e13533
ge	w1_d619e13539
Stillschweigen	w3_d619e13542
auferleget	w5_d619e13545
werden	w7_d619e13548
solle.	w9_d619e13551
</p>
<head id="h2_d619e13559">
Landmarschall.	w1_d619e13563
rc.	w3_d619e13566
</head>
<p id="p4_d619e13569">
Entbieten	w1_d619e13573
allen	w3_d619e13576
und	w5_d619e13579
jeden,	w7_d619e13582
was	w9_d619e13585
Würde	w11_d619e13588
und	w13_d619e13592
Standes	w1_d619e13597
sie	w3_d619e13600
seynd,	w5_d619e13603
der	w7_d619e13606
Gebühr	w9_d619e13609
nach	w11_d619e13612
meinen	w13_d619e13616
respe	w15_d619e13619
ctive	w1_d619e13624
Dienst,	w3_d619e13627
und	w5_d619e13630
guten	w7_d619e13633
Willen	w9_d619e13636
zuvor,	w11_d619e13639
und	w13_d619e13643
füge	w15_d619e13646
hiermit	w1_d619e13652
zu	w3_d619e13655
vernehmen:	w5_d619e13658
</p>
<p id="p6_d619e13661">
Es	w1_d619e13665
habe	w3_d619e13668
der	w5_d619e13671
gerichtlich	w7_d619e13674
verordnet	w9_d619e13677
Freyherrlich	w11_d619e13680
Otto	w1_d619e13685
Leo	w3_d619e13688
Hocheneggischer	w5_d619e13691
Curator	w7_d619e13694
ad	w9_d619e13697
lites	w11_d619e13700
Doc	w13_d619e13704
tor	w1_d619e13709
Gruber,	w3_d619e13712
die	w5_d619e13715
Nohtwendigkeit	w7_d619e13718
zur	w9_d619e13721
offentlicher	w11_d619e13724
Feilbietung	w1_d619e13730
der	w3_d619e13733
in	w5_d619e13736
besagt	w7_d619e13739
Freyherrl.	w9_d619e13742
Hocheneggi	w11_d619e13745
schen	w1_d619e13750
Massam	w3_d619e13753
gehörigen,	w5_d619e13756
und	w7_d619e13759
bereits	w9_d619e13762
gerichtl.	w11_d619e13765
geschätzten	w1_d619e13770
Herrschaft	w3_d619e13773
St.	w5_d619e13776
Bantaleon	w7_d619e13779
vorgestel	w9_d619e13782
let,	w1_d619e13787
sohin	w3_d619e13790
gebetten,	w5_d619e13793
ich	w7_d619e13796
geruhete	w9_d619e13799
zu	w11_d619e13802
dem	w13_d619e13806
Ende	w15_d619e13809
ein	w1_d619e13815
Licitations=edict	w3_d619e13818
bey	w5_d619e13821
der	w7_d619e13824
Canzley	w9_d619e13827
ausfertigen	w11_d619e13830
zu	w1_d619e13835
lassen;	w3_d619e13838
wann	w5_d619e13841
nun	w7_d619e13844
hierinfalls	w9_d619e13847
gewilliget,	w11_d619e13850
und	w13_d619e13854
zur	w1_d619e13859
Licitations=tagsatzung	w3_d619e13862
der	w5_d619e13865
29.	w7_d619e13868
Jenner	w9_d619e13871
dies	w11_d619e13874
1762.	w1_d619e13879
Jahrs	w3_d619e13882
bestimmet	w5_d619e13885
worden	w7_d619e13888
ist.	w9_d619e13891
Als	w11_d619e13894
ist	w13_d619e13898
im	w15_d619e13901
Namen	w1_d619e13907
Jhrer	w3_d619e13910
Kaiserl.	w5_d619e13913
Königl.	w7_d619e13916
Majest.	w9_d619e13919
unser	w11_d619e13922
al	w13_d619e13926
lergnädigsten	w1_d619e13931
Frauen	w3_d619e13934
mein	w5_d619e13937
Befehl,	w7_d619e13940
daß	w9_d619e13943
der	w11_d619e13946
oder	w13_d619e13950
diejenige,	w1_d619e13955
so	w3_d619e13958
obbemeldte	w5_d619e13961
Herrschaft	w7_d619e13964
St.	w9_d619e13967
Banta	w11_d619e13970
leon	w1_d619e13975
käuflichen	w3_d619e13978
an	w5_d619e13981
sich	w7_d619e13984
zu	w9_d619e13987
bringen	w11_d619e13990
willens	w13_d619e13994
seynd,	w15_d619e13997
an	w1_d619e14003
obbestimmten	w3_d619e14006
Tag	w5_d619e14009
fruh	w7_d619e14012
um	w9_d619e14015
8.	w11_d619e14018
Uhr	w13_d619e14022
ad	w15_d619e14025
lititan-	w17_d619e14028
dum	w1_d619e14033
vor	w3_d619e14036
Gericht	w5_d619e14039
zu	w7_d619e14042
erscheinen	w9_d619e14045
wissen	w11_d619e14048
werden.	w13_d619e14052
</p>
<p id="p10_d619e14057">
Den	w1_d619e14061
13.	w3_d619e14064
nächst=künftigen	w5_d619e14067
Monats	w7_d619e14070
Januarii	w9_d619e14073
1762.	w1_d619e14078
wird	w3_d619e14081
die	w5_d619e14084
Philipp	w7_d619e14087
Wißgrillische,	w9_d619e14090
zu	w11_d619e14093
Marga	w13_d619e14097
rethen	w1_d619e14102
in	w3_d619e14105
der	w5_d619e14108
langen	w7_d619e14111
Grieß=gassen	w9_d619e14114
ligend	w11_d619e14117
zu	w13_d619e14121
denen	w15_d619e14124
2.	w1_d619e14130
lustigen	w3_d619e14133
Bauern	w5_d619e14136
genannte	w7_d619e14139
Behausung,	w9_d619e14142
samt	w11_d619e14145
denen	w1_d619e14150
darzu	w3_d619e14153
gehörigen	w5_d619e14156
Grund=stücken,	w7_d619e14159
auch	w9_d619e14162
übri	w11_d619e14165
gen	w1_d619e14170
Appertinentien	w3_d619e14173
fruh	w5_d619e14176
um	w7_d619e14179
8.	w9_d619e14182
Uhr	w11_d619e14185
auf	w13_d619e14189
allhiesi	w15_d619e14192
gem	w1_d619e14197
Raht=haus	w3_d619e14200
offentlich	w5_d619e14203
feil	w7_d619e14206
geboten,	w9_d619e14209
und	w11_d619e14212
dem	w13_d619e14216
Meist=bietenden	w1_d619e14222
verkauffet	w3_d619e14225
werden.	w5_d619e14228
D	w1_d619e14233
</p>
<p id="p12_d619e14237">
Den	w1_d619e14241
12.	w3_d619e14244
Januarii	w5_d619e14247
1762.	w7_d619e14250
wird	w9_d619e14253
die	w11_d619e14256
Herrschaft	w13_d619e14260
Ober=ranna,	w1_d619e14265
samt	w3_d619e14268
denen	w5_d619e14271
derselben	w7_d619e14274
einverleib	w9_d619e14277
ten	w1_d619e14282
Grund=stücken	w3_d619e14285
Vormittags	w5_d619e14288
um	w7_d619e14291
8.	w9_d619e14294
Uhr	w11_d619e14297
bey	w13_d619e14301
dem	w1_d619e14307
Löbl.	w3_d619e14310
Land=marschallischen	w5_d619e14313
Gericht	w7_d619e14316
offentlich	w9_d619e14319
fail	w1_d619e14324
gebotten,	w3_d619e14327
