<doc id="wr_1757-02-12" attrs="word" year="1757" month="02" day="12" corpus="2">
<head id="h2_d117e3051">
Port=louis	w1_d117e3055
Hoheit,	w1_d117e10325
wie	w3_d117e10328
auch	w5_d117e10331
die	w7_d117e10334
Prinzen	w9_d117e10337
und	w11_d117e10340
Prinzeßinnen	w13_d117e10344
durch	w1_d117e10349
Dero	w3_d117e10352
Ober=hof=meister	w5_d117e10355
und	w7_d117e10358
Conferenz	w9_d117e10361
minister	w1_d117e10366
von	w3_d117e10369
Wesenberg,	w5_d117e10372
Wakerbart,	w7_d117e10375
und	w9_d117e10378
Wesel,	w1_d117e10384
die	w3_d117e10387
Glückwünsche	w5_d117e10390
abstatten,	w7_d117e10393
ein	w9_d117e10396
gleiches	w1_d117e10401
haben	w3_d117e10404
auch	w5_d117e10407
der	w7_d117e10410
Sicilianische	w9_d117e10413
und	w11_d117e10416
Holländiche	w1_d117e10421
Gesandte	w3_d117e10424
gethan.	w5_d117e10427
</p>
<p id="p10_d117e10440">
Der	w1_d117e10444
Preußische	w3_d117e10447
General=major	w5_d117e10450
von	w7_d117e10453
Kleist	w9_d117e10456
ist	w1_d117e10461
vor	w3_d117e10464
etlichen	w5_d117e10467
Tagen	w7_d117e10470
an	w9_d117e10473
einem	w11_d117e10476
hitzigen	w13_d117e10480
Fie	w15_d117e10483
ber	w1_d117e10488
gestorben.	w3_d117e10491
Am	w5_d117e10494
Dienstag	w7_d117e10497
kamen	w9_d117e10500
wiede	w11_d117e10503
rum	w1_d117e10509
11.	w3_d117e10512
adeliche	w5_d117e10515
Cadets,	w7_d117e10518
nebst	w9_d117e10521
einer	w11_d117e10524
grossen	w13_d117e10528
Anzahl	w1_d117e10533
Recruten,	w3_d117e10536
die	w5_d117e10539
in	w7_d117e10542
Betlin	w9_d117e10545
ausgeho	w11_d117e10548
ben	w1_d117e10553
worden,	w3_d117e10556
für	w5_d117e10559
die	w7_d117e10562
hiesige	w9_d117e10565
Regimenter	w11_d117e10568
an.	w13_d117e10572
</p>
<p id="p12_d117e10576">
Nach	w1_d117e10580
Dippoldswalda	w3_d117e10583
seynd	w5_d117e10586
30.	w7_d117e10589
Provi	w9_d117e10592
ant=bäcker	w1_d117e10597
geschicket	w3_d117e10600
worden,	w5_d117e10603
um	w7_d117e10606
für	w9_d117e10609
die	w11_d117e10612
Garnison	w1_d117e10617
und	w3_d117e10620
die	w5_d117e10623
an	w7_d117e10626
der	w9_d117e10629
Gränze	w11_d117e10632
ligende	w13_d117e10636
Ca	w15_d117e10639
vallerie	w1_d117e10645
Brod	w3_d117e10648
zu	w5_d117e10651
backen.	w7_d117e10654
Am	w9_d117e10657
Mittwoch	w11_d117e10660
wur	w13_d117e10664
den	w1_d117e10669
die	w3_d117e10672
Requien	w5_d117e10675
wegen	w7_d117e10678
der	w9_d117e10681
verstorbenen	w11_d117e10684
Hoch	w13_d117e10688
seel.	w1_d117e10693
verwittibten	w3_d117e10696
Kaiserin	w5_d117e10699
in	w7_d117e10702
hiesiger	w9_d117e10705
Ca	w11_d117e10708
tholischen	w1_d117e10713
Kirche	w3_d117e10716
begangen.	w5_d117e10719
Bey	w7_d117e10722
dem	w9_d117e10725
hiesi	w11_d117e10728
gen	w1_d117e10734
Post=amt	w3_d117e10737
ist	w5_d117e10740
eine	w7_d117e10743
Veränderung	w9_d117e10746
vorge	w11_d117e10749
gangen,	w1_d117e10754
indem	w3_d117e10757
ein	w5_d117e10760
Preußischer	w7_d117e10763
Postcom	w9_d117e10766
missarius	w1_d117e10771
solches	w3_d117e10774
zu	w5_d117e10777
verwalten	w7_d117e10780
hat,	w9_d117e10783
und	w11_d117e10786
alle	w1_d117e10791
Post=officianten	w3_d117e10794
vom	w5_d117e10797
Secretario	w7_d117e10800
bis	w9_d117e10803
zum	w1_d117e10809
Niedrigsten	w3_d117e10812
haben	w5_d117e10815
ihren	w7_d117e10818
Handschlag	w9_d117e10821
von	w11_d117e10824
sich	w1_d117e10829
geben	w3_d117e10832
müssen.	w5_d117e10835
</p>
<head id="h2_d117e10841">
Harlem	w1_d117e10845
4.	w3_d117e10848
Januarii.	w5_d117e10851
</head>
<p id="p4_d117e10854">
Jn	w1_d117e10858
diesem	w3_d117e10861
zuruck	w5_d117e10864
gelegten	w7_d117e10867
Jahre	w9_d117e10870
seynd	w11_d117e10873
alhier	w1_d117e10878
795.	w3_d117e10881
Personen,	w5_d117e10884
nämlich	w7_d117e10887
394.	w9_d117e10890
über	w11_d117e10893
12.	w1_d117e10898
Jahre,	w3_d117e10901
und	w5_d117e10904
401.	w7_d117e10907
unter	w9_d117e10910
12.	w11_d117e10913
Jahren	w13_d117e10917
verstorben;	w1_d117e10923
dagegen	w3_d117e10926
seynd	w5_d117e10929
979.	w7_d117e10932
Kinder,	w9_d117e10935
als	w11_d117e10938
477.	w1_d117e10943
Knäblein,	w3_d117e10946
und	w5_d117e10949
502.	w7_d117e10952
Mügdlein	w9_d117e10955
gebo	w11_d117e10958
ren	w1_d117e10963
worden.	w3_d117e10966
</p>
<head id="h2_d117e10972">
München	w1_d117e10976
25.	w3_d117e10979
Jan.	w5_d117e10982
</head>
<p id="p4_d117e10985">
Gestrigen	w1_d117e10989
Montags	w3_d117e10992
wurde	w5_d117e10995
auf	w7_d117e10998
höchste	w9_d117e11001
Ver	w11_d117e11004
ordnung	w1_d117e11009
Sr.	w3_d117e11012
Chur=fürstlichen	w5_d117e11015
Durchleucht	w7_d117e11018
unsers	w1_d117e11023
gnädigsten	w3_d117e11026
Landes=Herrn,	w5_d117e11029
in	w7_d117e11032
hiesiger	w9_d117e11035
U.	w1_d117e11041
L.	w3_d117e11044
Frauen	w5_d117e11047
Stift	w7_d117e11050
und	w9_d117e11053
Pfarr=kirche	w11_d117e11056
dem	w13_d117e11060
Allerhöchsten	w1_d117e11065
für	w3_d117e11068
die	w5_d117e11071
sonderbare	w7_d117e11074
Beschü	w9_d117e11077
tzung	w1_d117e11082
des	w3_d117e11085
Allerchristlichsten	w5_d117e11088
Königs	w7_d117e11091
vor	w9_d117e11094
der	w11_d117e11097
meuchel=mörderischen	w1_d117e11102
Hand	w3_d117e11105
des	w5_d117e11108
bekannten	w7_d117e11111
Bößwichts,	w1_d117e11117
daß	w3_d117e11120
die	w5_d117e11123
empfangene	w7_d117e11126
Wunde	w9_d117e11129
nicht	w11_d117e11132
tödtlich	w1_d117e11137
ware,	w3_d117e11140
gedancket,	w5_d117e11143
wie	w7_d117e11146
auch	w9_d117e11149
für	w11_d117e11152
Höchst	w13_d117e11156
deroselben	w1_d117e11161
baldige	w3_d117e11164
Wieder=genesung	w5_d117e11167
und	w7_d117e11170
langwürge	w1_d117e11175
glückliche	w3_d117e11178
Regierung,	w5_d117e11181
ein	w7_d117e11184
6.	w9_d117e11187
stün	w11_d117e11190
diges	w1_d117e11196
Gebett	w3_d117e11199
bey	w5_d117e11202
Aussetzung	w7_d117e11205
des	w9_d117e11208
Hochwür	w11_d117e11211
digen	w1_d117e11216
Guts	w3_d117e11219
gehalten;	w5_d117e11222
wohin	w7_d117e11225
sich	w9_d117e11228
beede	w11_d117e11231
re	w13_d117e11235
gierende	w1_d117e11240
Chur=fürstliche	w3_d117e11243
Durchleuchten	w5_d117e11246
um	w7_d117e11249
12.	w1_d117e11254
Uhr	w3_d117e11257
erhoben,	w5_d117e11260
und	w7_d117e11263
alda	w9_d117e11266
dem	w11_d117e11269
Hoch=amt	w13_d117e11273
nebst	w1_d117e11279
dem	w3_d117e11282
Beschluß	w5_d117e11285
besagter	w7_d117e11288
Andacht	w9_d117e11291
beyzu	w11_d117e11294
wohnen	w1_d117e11299
geruhet	w3_d117e11302
haben.	w5_d117e11305
</p>
<head id="h2_d117e11311">
Wien	w1_d117e11315
den	w3_d117e11318
12.	w5_d117e11321
Februarii	w7_d117e11324
1757.	w9_d117e11327
</head>
<p id="p4_d117e11330">
MJttwoch	w1_d117e11334
den	w3_d117e11337
9.	w5_d117e11340
Februarii	w7_d117e11343
haben	w9_d117e11346
beyde	w11_d117e11349
28	w1_d117e11354
Kaiserl.	w3_d117e11357
Majestäten	w5_d117e11360
der	w7_d117e11363
heiligen	w9_d117e11366
See	w11_d117e11369
gen=meß	w1_d117e11374
in	w3_d117e11377
der	w5_d117e11380
Cammer=capellen	w7_d117e11383
abgewartet,	w9_d117e11386
dann	w1_d117e11392
hierauf	w3_d117e11395
Jhre	w5_d117e11398
Majestät	w7_d117e11401
die	w9_d117e11404
Kaiserin	w11_d117e11407
mit	w13_d117e11411
Jhren	w1_d117e11416
Königl.	w3_d117e11419
Hoheiten	w5_d117e11422
denen	w7_d117e11425
Durchleuch	w9_d117e11428
</p>
<p id="p6_d117e11431">
tigsten	w1_d117e11435
Erz=herzoginnen	w3_d117e11438
Maria	w5_d117e11441
Anna,	w7_d117e11444
uns	w9_d117e11447
Maria	w1_d117e11452
Christina	w3_d117e11455
über	w5_d117e11458
den	w7_d117e11461
neuen	w9_d117e11464
Gang	w11_d117e11467
zu	w13_d117e11471
denen	w1_d117e11476
WW.	w3_d117e11479
EE.	w5_d117e11482
PP.	w7_d117e11485
Augustinern	w9_d117e11488
Sich	w11_d117e11491
verfüget,	w1_d117e11497
und	w3_d117e11500
alda,	w5_d117e11503
wegen	w7_d117e11506
des	w9_d117e11509
Festes	w11_d117e11512
der	w1_d117e11517
heiligen	w3_d117e11520
Apollonia	w5_d117e11523
dem	w7_d117e11526
hohen	w9_d117e11529
Amt	w11_d117e11532
bey	w13_d117e11536
gewohnet.	w1_d117e11541
</p>
<p id="p8_d117e11544">
Donnerstags	w1_d117e11548
den	w3_d117e11551
10.	w5_d117e11554
Februarii	w7_d117e11557
Vor	w9_d117e11560
und	w11_d117e11563
Nachmittags	w1_d117e11568
ist	w3_d117e11571
das	w5_d117e11574
wochentliche	w7_d117e11577
Gebett	w9_d117e11580
in	w11_d117e11583
der	w1_d117e11588
Cammer=capellen;	w3_d117e11591
Abends	w5_d117e11594
aber	w7_d117e11597
von	w9_d117e11600
Jhren	w11_d117e11603
Königl.	w1_d117e11609
Hoheiien	w3_d117e11612
denen	w5_d117e11615
Durchl	w7_d117e11618
jungen	w9_d117e11621
Herr	w11_d117e11624
schaften,	w1_d117e11629
wie	w3_d117e11632
auch	w5_d117e11635
einigen	w7_d117e11638
jungen	w9_d117e11641
Dames,	w11_d117e11644
und	w1_d117e11649
Cavaliren	w3_d117e11652
das	w5_d117e11655
letzte	w7_d117e11658
verkleidete	w9_d117e11661
Cammer	w11_d117e11664
festin	w1_d117e11669
bey	w3_d117e11672
Hof	w5_d117e11675
gehalten	w7_d117e11678
worden.	w9_d117e11681
</p>
<p id="p10_d117e11684">
Freytags	w1_d117e11688
den	w3_d117e11691
11.	w5_d117e11694
Febr.	w7_d117e11697
ware	w9_d117e11700
in	w11_d117e11703
Beywoh	w13_d117e11707
nung	w1_d117e11712
Allerhöchster	w3_d117e11715
Herrschaften	w5_d117e11718
der	w7_d117e11721
gewöhn	w9_d117e11724
liche	w1_d117e11729
ordinari	w3_d117e11732
GOttes=dienst	w5_d117e11735
in	w7_d117e11738
der	w9_d117e11741
Cam	w11_d117e11744
mer=capellen.	w1_d117e11750
</p>
<p id="p12_d117e11754">
Zufolge	w1_d117e11758
einem	w3_d117e11761
Schreiben	w5_d117e11764
aus	w7_d117e11767
Mietau	w9_d117e11770
vom	w11_d117e11773
22zigsten	w1_d117e11778
Januarii,	w3_d117e11781
bestehet	w5_d117e11784
die	w7_d117e11787
in	w9_d117e11790
denen	w11_d117e11793
Gegenden	w1_d117e11798
von	w3_d117e11801
Riga	w5_d117e11804
verlegte	w7_d117e11807
Kaiserl.	w9_d117e11810
Rußische	w11_d117e11813
Armee	w1_d117e11819
in	w3_d117e11822
der	w5_d117e11825
überauserlösensten	w7_d117e11828
Mannschaft.	w9_d117e11831
Es	w1_d117e11836
seynd	w3_d117e11839
lauter	w5_d117e11842
wolgemachte,	w7_d117e11845
starke,	w9_d117e11848
un	w11_d117e11851
gemein	w1_d117e11856
gut	w3_d117e11859
exercirte	w5_d117e11862
Leute.	w7_d117e11865
Ein	w9_d117e11868
Kaiserl.	w11_d117e11871
Königl.	w1_d117e11876
Officier,	w3_d117e11879
welcher	w5_d117e11882
etliche	w7_d117e11885
Regimenter	w9_d117e11888
Jnfanterie	w1_d117e11894
exerciren	w3_d117e11897
gesehen,	w5_d117e11900
weis	w7_d117e11903
denenselben	w9_d117e11906
nicht	w1_d117e11911
Lob	w3_d117e11914
genug	w5_d117e11917
beyzulegen;	w7_d117e11920
sie	w9_d117e11923
feueren	w11_d117e11926
in	w13_d117e11930
der	w1_d117e11935
grösten	w3_d117e11938
Ordnung,	w5_d117e11941
und	w7_d117e11944
mit	w9_d117e11947
ungemeiner	w11_d117e11950
Lebhaftig	w1_d117e11955
und	w3_d117e11958
Geschwindigkeit;	w5_d117e11961
sie	w7_d117e11964
seynd	w9_d117e11967
besonders	w1_d117e11973
auf	w3_d117e11976
den	w5_d117e11979
Gebrauch	w7_d117e11982
des	w9_d117e11985
Bajonets	w11_d117e11988
exerciret;	w1_d117e11993
ihre	w3_d117e11996
Evolutionen	w5_d117e11999
seynd	w7_d117e12002
behend;	w9_d117e12005
sie	w1_d117e12010
seynd	w3_d117e12013
auf	w5_d117e12016
das	w7_d117e12019
beste	w9_d117e12022
bewafnet,	w11_d117e12025
und	w13_d117e12029
geklei	w15_d117e12032
det.	w1_d117e12037
Bey	w3_d117e12040
der	w5_d117e12043
ganzen	w7_d117e12046
Armee	w9_d117e12049
wird	w11_d117e12052
die	w13_d117e12056
schär	w15_d117e12059
feste	w1_d117e12065
Manns=zucht	w3_d117e12068
bemerket;	w5_d117e12071
Generals,	w7_d117e12074
und	w9_d117e12077
Officiers	w1_d117e12082
seynd	w3_d117e12085
prächtig	w5_d117e12088
equipiret.	w7_d117e12091
Die	w9_d117e12094
Artillerie	w1_d117e12099
ist	w3_d117e12102
unverbeßerlich,	w5_d117e12105
und	w7_d117e12108
zahlreich.	w9_d117e12111
Mit	w1_d117e12116
einem	w3_d117e12119
Wort:	w5_d117e12122
es	w7_d117e12125
ist	w9_d117e12128
eine	w11_d117e12131
der	w13_d117e12135
schönsten,	w15_d117e12138
und	w1_d117e12144
förchterlichsten	w3_d117e12147
Armeen	w5_d117e12150
von	w7_d117e12153
Europa.	w9_d117e12156
</p>
<head id="h2_d117e12162">
Lista	w1_d117e12166
deren	w3_d117e12169
Verstorbenen	w5_d117e12172
zu	w7_d117e12175
Wien,	w9_d117e12178
in	w1_d117e12183
und	w3_d117e12186
vor	w5_d117e12189
der	w7_d117e12192
Stadt.	w9_d117e12195
Den	w1_d117e12200
8.	w3_d117e12203
Februarii.	w5_d117e12206
Jn	w1_d117e12212
der	w3_d117e12215
Stadt.	w5_d117e12218
</head>
<list id="l4_d117e12221">
Fr.	w1_d117e12225
Maria	w3_d117e12228
Barb.	w5_d117e12231
Angerin,	w7_d117e12234
Burgerl.	w9_d117e12237
Wittwe,	w11_d117e12240
im	w13_d117e12244
Senselis.	w1_d117e12249
H.	w3_d117e12252
beym	w5_d117e12255
Seitzer=hof,	w7_d117e12258
alt	w9_d117e12261
78.	w11_d117e12264
J.	w13_d117e12268
Franz	w1_d117e12273
Kraloczeck,	w3_d117e12276
Burgerl.	w5_d117e12279
Schneid,	w7_d117e12282
im	w9_d117e12285
Fischhof	w11_d117e12288
wirts=H.,	w1_d117e12294
alt	w3_d117e12297
55.	w5_d117e12300
J.	w7_d117e12303
</list>
<head id="h2_d117e12310">
Vor	w1_d117e12314
der	w3_d117e12317
Stadt.	w5_d117e12320
</head>
<list id="l4_d117e12323">
Dem	w1_d117e12327
Felip	w3_d117e12330
Witenberger,	w5_d117e12333
Mahler=ges.,	w7_d117e12336
s.	w9_d117e12339
W.	w11_d117e12342
An	w13_d117e12346
na,	w1_d117e12351
beym	w3_d117e12354
weis.	w5_d117e12357
Lämmel	w7_d117e12360
am	w9_d117e12363
Neust.,	w11_d117e12366
alt	w13_d117e12370
42.	w15_d117e12373
J.	w17_d117e12376
Dem	w1_d117e12381
Christoph	w3_d117e12384
Gemel,	w5_d117e12387
Waldeggisch.	w7_d117e12390
Sold.,	w9_d117e12393
s.	w11_d117e12396
K.	w13_d117e12400
Joachim,	w1_d117e12406
in	w3_d117e12409
der	w5_d117e12412
Casarm	w7_d117e12415
am	w9_d117e12418
Getreid=m.,	w11_d117e12421
2.	w13_d117e12425
1.	w15_d117e12428
h.	w17_d117e12431
J.	w19_d117e12434
Dem	w1_d117e12439
Jacob	w3_d117e12442
Witman,	w5_d117e12445
Kutsch.,	w7_d117e12448
s.	w9_d117e12451
W.	w11_d117e12454
Veronica,	w13_d117e12458
beym	w1_d117e12463
verlor.	w3_d117e12466
Sohn	w5_d117e12469
bey	w7_d117e12472
St.	w9_d117e12475
Ulrich,	w11_d117e12478
alt	w13_d117e12482
76.	w15_d117e12485
J.	w17_d117e12488
</list>
<list id="l8_d117e12494">
Dem	w1_d117e12498
Franz	w3_d117e12501
Hafner,	w5_d117e12504
Tagw.,	w7_d117e12507
s.	w9_d117e12510
K.	w11_d117e12513
Ant.,	w13_d117e12517
im	w15_d117e12520
Kreb	w17_d117e12523
sis.	w1_d117e12528
H.	w3_d117e12531
am	w5_d117e12534
Himmel=pfort=gr.,	w7_d117e12537
alt	w9_d117e12540
3.	w11_d117e12543
J.	w13_d117e12547
</list>
<head id="h2_d117e12555">
Summa	w1_d117e12559
6.	w3_d117e12562
Person./	w5_d117e12565
darunter	w7_d117e12568
2.	w9_d117e12571
Kinder.	w11_d117e12574
Den	w1_d117e12579
9.	w3_d117e12582
Februarii.	w5_d117e12585
Jn	w1_d117e12590
der	w3_d117e12593
Stadt.	w5_d117e12596
</head>
<list id="l4_d117e12599">
Dem	w1_d117e12603
Wol=edel=geb.	w3_d117e12606
Hrn.	w5_d117e12609
Jos.	w7_d117e12612
Aley.	w9_d117e12615
v.	w11_d117e12618
Epersperg,	w13_d117e12622
jubilirt.	w1_d117e12627
Hand=gräfl.	w3_d117e12630
Amts=control.,	w5_d117e12633
s.	w7_d117e12636
S.	w9_d117e12639
Jos.	w11_d117e12642
beym	w1_d117e12647
Küß=den=pfen.	w3_d117e12650
am	w5_d117e12653
rot.	w7_d117e12656
Thurn,	w9_d117e12659
alt	w11_d117e12662
20.	w13_d117e12666
J.	w15_d117e12669
Dem	w1_d117e12675
Hrn.	w3_d117e12678
Valent.	w5_d117e12681
Ruardt,	w7_d117e12684
K.	w9_d117e12687
K.	w11_d117e12690
Niederlags=verw.	w13_d117e12694
s.	w1_d117e12699
T.	w3_d117e12702
Anna,	w5_d117e12705
im	w7_d117e12708
Engelshofenis.	w9_d117e12711
H.	w11_d117e12714
am	w13_d117e12718
Pet.,	w15_d117e12721
alt	w17_d117e12724
2.	w19_d117e12727
J.	w21_d117e12730
Dem	w1_d117e12735
Bened.	w3_d117e12738
Eberl	w5_d117e12741
Burgerl.	w7_d117e12744
klein.	w9_d117e12747
Uhr=mach.,	w11_d117e12750
s.	w13_d117e12754
K.	w15_d117e12757
Casp.,	w1_d117e12762
im	w3_d117e12765
Gridlinis.	w5_d117e12768
H.	w7_d117e12771
am	w9_d117e12774
Grab.,	w11_d117e12777
alt	w13_d117e12781
7.	w15_d117e12784
J.	w17_d117e12787
Dem	w1_d117e12793
Jacob	w3_d117e12796
Stetlinger,	w5_d117e12799
Lack.,	w7_d117e12802
s.	w9_d117e12805
W.	w11_d117e12808
Barb.,	w13_d117e12812
un	w15_d117e12815
term	w1_d117e12820
rot.	w3_d117e12823
Thurn,	w5_d117e12826
alt	w7_d117e12829
66.	w9_d117e12832
J.	w11_d117e12835
</list>
<head id="h2_d117e12842">
Vor	w1_d117e12846
der	w3_d117e12849
Stadt.	w5_d117e12852
</head>
<list id="l4_d117e12855">
Cathar.	w1_d117e12859
Münichin,	w3_d117e12862
Burgerl.	w5_d117e12865
Wittwe,	w7_d117e12868
bey	w9_d117e12871
denen	w11_d117e12874
6.	w13_d117e12878
Schim.	w1_d117e12883
bey	w3_d117e12886
St.	w5_d117e12889
Ulrich,	w7_d117e12892
alt	w9_d117e12895
40.	w11_d117e12898
J.	w13_d117e12902
Dem	w1_d117e12907
Georg	w3_d117e12910
Höflinger,	w5_d117e12913
Burgerl.	w7_d117e12916
Wagn.,	w9_d117e12919
s.	w11_d117e12922
K.	w13_d117e12926
Simon,	w1_d117e12932
im	w3_d117e12935
Wagneris.	w5_d117e12938
H.	w7_d117e12941
in	w9_d117e12944
der	w11_d117e12947
Rossau,	w13_d117e12951
6.	w15_d117e12954
v.	w17_d117e12957
J.	w19_d117e12960
Dem	w1_d117e12965
Joh.	w3_d117e12968
Pretz,	w5_d117e12971
s.	w7_d117e12974
K.	w9_d117e12977
Joh.,	w11_d117e12980
in	w13_d117e12984
s.	w15_d117e12987
H.	w17_d117e12990
im	w19_d117e12993
Lerchf.	w21_d117e12996
2.	w23_d117e12999
J.	w25_d117e13003
Dem	w1_d117e13008
Joh.	w3_d117e13011
Kuchelmeister,	w5_d117e13014
Jnstruct.,	w7_d117e13017
s.	w9_d117e13020
K.	w11_d117e13023
Anna,	w13_d117e13027
beym	w1_d117e13032
Binder	w3_d117e13035
bey	w5_d117e13038
St.	w7_d117e13041
Ulrich,	w9_d117e13044
alt	w11_d117e13047
2.	w13_d117e13051
J.	w15_d117e13054
Dem	w1_d117e13060
Mich.	w3_d117e13063
Jenne,	w5_d117e13066
Solicit.,	w7_d117e13069
s.	w9_d117e13072
K.	w11_d117e13075
Margar.,	w13_d117e13079
im	w15_d117e13082
Pfaidleris.	w1_d117e13087
H.	w3_d117e13090
in	w5_d117e13093
der	w7_d117e13096
Leopoldst.,	w9_d117e13099
alt	w11_d117e13102
2.	w13_d117e13106
J.	w15_d117e13109
Dem	w1_d117e13114
Niclas	w3_d117e13117
Deimerling,	w5_d117e13120
Schneid.,	w7_d117e13123
s.	w9_d117e13126
K.	w11_d117e13129
Andre,	w13_d117e13133
beym	w1_d117e13138
gold.	w3_d117e13141
Adl.	w5_d117e13144
auf	w7_d117e13147
der	w9_d117e13150
Wied.,	w11_d117e13153
alt	w13_d117e13157
5.	w15_d117e13160
v.	w17_d117e13163
J.	w19_d117e13166
Joh.	w1_d117e13172
Ferd,	w3_d117e13175
Lack.,	w5_d117e13178
im	w7_d117e13181
Schlosseris.	w9_d117e13184
H.	w11_d117e13187
auf	w13_d117e13191
der	w15_d117e13194
Wied.	w17_d117e13197
alt	w1_d117e13202
53.	w3_d117e13205
J.	w5_d117e13208
Joh.	w1_d117e13213
Grotz,	w3_d117e13216
Trag.,	w5_d117e13219
bey	w7_d117e13222
der	w9_d117e13225
bl.	w11_d117e13228
Ent.	w13_d117e13232
zu	w15_d117e13235
Mätzleinst	w17_d117e13238
alt	w1_d117e13243
76.	w3_d117e13246
</list>
<head id="h2_d117e13253">
Summa	w1_d117e13257
10.	w3_d117e13260
Person.	w5_d117e13263
darunter	w7_d117e13266
7.	w9_d117e13269
Kinder	w11_d117e13272
Den	w1_d117e13277
10.	w3_d117e13280
Februarii.	w5_d117e13283
Jn	w1_d117e13288
der	w3_d117e13291
Stadt.	w5_d117e13294
</head>
<list id="l4_d117e13297">
Dem	w1_d117e13301
Hochwol=edel=ged.	w3_d117e13304
Hrn.	w5_d117e13307
Phil.	w7_d117e13310
Ant.	w9_d117e13313
Dießner,	w11_d117e13316
Jh.	w13_d117e13320
rer	w1_d117e13325
K.	w3_d117e13328
K.	w5_d117e13331
M.	w7_d117e13334
würkl.	w9_d117e13337
Raht,	w11_d117e13340
und	w13_d117e13344
Referen.	w15_d117e13347
in	w17_d117e13350
Post	w19_d117e13353
sach.,	w1_d117e13358
s.	w3_d117e13361
Fr.	w5_d117e13364
Gemahlin	w7_d117e13367
Maria	w9_d117e13370
Anna,	w11_d117e13373
beym	w13_d117e13377
roten	w15_d117e13380
Rös.	w1_d117e13386
in	w3_d117e13389
der	w5_d117e13392
Wolzeil,	w7_d117e13395
alt	w9_d117e13398
38.	w11_d117e13401
J.	w13_d117e13405
Fr.	w1_d117e13410
Maria	w3_d117e13413
Eva	w5_d117e13416
Goulet,	w7_d117e13419
Wittwe,	w9_d117e13422
im	w11_d117e13425
Gaviratis.	w13_d117e13429
H.	w15_d117e13432
am	w1_d117e13437
Hof,	w3_d117e13440
alt	w5_d117e13443
57.	w7_d117e13446
J.	w9_d117e13449
Jnnoc.	w1_d117e13454
Schmid,	w3_d117e13457
Burgerl.	w5_d117e13460
Buch=bind.,	w7_d117e13463
im	w9_d117e13466
Schmer	w11_d117e13469
lingis.	w1_d117e13475
H.	w3_d117e13478
in	w5_d117e13481
der	w7_d117e13484
oberen	w9_d117e13487
Bäckerstr.,	w11_d117e13490
alt	w13_d117e13494
29.	w15_d117e13497
J.	w17_d117e13500
Dem	w1_d117e13505
Math.	w3_d117e13508
Schwarzgruber,	w5_d117e13511
Kutsch.,	w7_d117e13514
s.	w9_d117e13517
K.	w11_d117e13520
Maria	w13_d117e13524
Anna,	w1_d117e13529
im	w3_d117e13532
Buolis.	w5_d117e13535
H.	w7_d117e13538
auf	w9_d117e13541
der	w11_d117e13544
hoh.	w13_d117e13548
Bruck.	w15_d117e13551
11.	w17_d117e13554
J.	w19_d117e13557
</list>
<head id="h2_d117e13564">
Vor	w1_d117e13568
der	w3_d117e13571
Stadt.	w5_d117e13574
</head>
<list id="l4_d117e13577">
Dem	w1_d117e13581
Hrn.	w3_d117e13584
Lorenz	w5_d117e13587
Fürst,	w7_d117e13590
K.	w9_d117e13593
K.	w11_d117e13596
Futer=amts=schreib.	w13_d117e13600
s.	w1_d117e13605
K.	w3_d117e13608
Anna,	w5_d117e13611
beym	w7_d117e13614
Binder	w9_d117e13617
bey	w11_d117e13620
St.	w13_d117e13624
Ulrich,	w15_d117e13627
6	w17_d117e13630
v.	w19_d117e13633
J.	w21_d117e13636
Dem	w1_d117e13641
Zachar.	w3_d117e13644
Seitzer,	w5_d117e13647
K.	w7_d117e13650
K.	w9_d117e13653
Stall=übergeh.,	w11_d117e13656
s.	w13_d117e13660
S.	w15_d117e13663
Franz,	w1_d117e13669
im	w3_d117e13672
Hof=post=stall,	w5_d117e13675
alt	w7_d117e13678
17.	w9_d117e13681
J.	w11_d117e13684
Dem	w1_d117e13689
Jgnatz	w3_d117e13692
Carl,	w5_d117e13695
Burgern,	w7_d117e13698
und	w9_d117e13701
Werk=meist.	w11_d117e13704
in	w13_d117e13708
der	w1_d117e13713
privil.	w3_d117e13716
Leonis.	w5_d117e13719
Orat=fabrica,	w7_d117e13722
s.	w9_d117e13725
K.	w11_d117e13728
Casp.,	w13_d117e13732
im	w15_d117e13735
Hacklis.	w1_d117e13740
H.	w3_d117e13743
auf	w5_d117e13746
der	w7_d117e13749
Wied.,	w9_d117e13752
alt	w11_d117e13755
J.	w13_d117e13759
J.	w15_d117e13762
Dem	w1_d117e13768
Jos.	w3_d117e13771
Schmidbauer,	w5_d117e13774
Burgerl.	w7_d117e13777
Uhr=blat=stech.,	w9_d117e13780
s.	w1_d117e13785
K.	w3_d117e13788
Joh.,	w5_d117e13791
im	w7_d117e13794
Rauchfang=kehreris.	w9_d117e13797
H.	w11_d117e13800
am	w13_d117e13804
Spi	w15_d117e13807
talberg	w1_d117e13812
alt	w3_d117e13815
7.	w5_d117e13818
J.	w7_d117e13821
Maria	w1_d117e13826
Zoberin,	w3_d117e13829
Burgerl.	w5_d117e13832
Wittwe,	w7_d117e13835
bey	w9_d117e13838
der	w11_d117e13841
Heil.	w13_d117e13845
Dreyfaltigk.	w1_d117e13851
in	w3_d117e13854
der	w5_d117e13857
Josephst.,	w7_d117e13860
alt	w9_d117e13863
47.	w11_d117e13866
J.	w13_d117e13870
