<doc id="wr_1760-05-03" attrs="word" year="1760" month="05" day="03" corpus="2">
<head id="h2_d446e3161">
Neu=pork	w1_d446e3165
goldenen	w9_d446e10445
Dose	w11_d446e10448
be	w13_d446e10452
schenket	w1_d446e10457
worden.	w3_d446e10460
</p>
<head id="h2_d446e10466">
Wien	w1_d446e10470
den	w3_d446e10473
3.	w5_d446e10476
May	w7_d446e10479
1760.	w9_d446e10482
</head>
<p id="p4_d446e10485">
Pittwochs	w1_d446e10489
den	w3_d446e10492
30.	w5_d446e10495
April,	w7_d446e10498
nach	w9_d446e10501
dem	w11_d446e10504
J	w1_d446e10509
ordinari	w1_d446e10514
GOttes=dienst	w3_d446e10517
seynd	w5_d446e10520
beede	w7_d446e10523
Kaiserl.	w1_d446e10529
Majestäten	w3_d446e10532
mit	w5_d446e10535
wichtigen	w7_d446e10538
Staats	w9_d446e10541
und	w1_d446e10546
Landes=anliegenheiten	w3_d446e10549
beschäftiget	w5_d446e10552
ge	w7_d446e10555
wesen.	w1_d446e10560
</p>
<p id="p6_d446e10563">
Vorgestern	w1_d446e10567
als	w3_d446e10570
den	w5_d446e10573
1.	w7_d446e10576
May,	w9_d446e10579
Vor	w11_d446e10582
und	w13_d446e10586
Nachmittags,	w1_d446e10591
ist	w3_d446e10594
in	w5_d446e10597
Beywohnung	w7_d446e10600
Aller	w9_d446e10603
höchsten	w1_d446e10608
Herrschaften	w3_d446e10611
das	w5_d446e10614
wochentliche	w7_d446e10617
Ge	w9_d446e10620
bett,	w1_d446e10626
und	w3_d446e10629
der	w5_d446e10632
gewöhnliche	w7_d446e10635
Gottes=dienst	w9_d446e10638
in	w11_d446e10641
der	w1_d446e10646
Schloß=capellen	w3_d446e10649
gehalten	w5_d446e10652
worden,	w7_d446e10655
wel	w9_d446e10658
ches	w1_d446e10663
auch	w3_d446e10666
gestern	w5_d446e10669
von	w7_d446e10672
beden	w9_d446e10675
Kaiserl.	w11_d446e10678
Maje	w13_d446e10682
stätten,	w1_d446e10687
und	w3_d446e10690
denen	w5_d446e10693
Durchleuchtigsten	w7_d446e10696
jun	w9_d446e10699
gen	w1_d446e10705
Herrschaften	w3_d446e10708
Königl.	w5_d446e10711
Hoheiten,	w7_d446e10714
allda	w9_d446e10717
beschehen.	w1_d446e10722
</p>
<p id="p8_d446e10725">
Den	w1_d446e10729
30.	w3_d446e10732
April	w5_d446e10735
ist	w7_d446e10738
alhier	w9_d446e10741
die	w11_d446e10744
Ziehung	w13_d446e10748
der	w15_d446e10751
Kaiserl.	w1_d446e10756
Königl.	w3_d446e10759
privilegirten	w5_d446e10762
Lotterie	w7_d446e10765
vor	w9_d446e10768
sich	w11_d446e10771
gegangen,	w1_d446e10776
und	w3_d446e10779
die	w5_d446e10782
Num.	w7_d446e10785
3.	w9_d446e10788
23.	w11_d446e10791
85.	w13_d446e10795
8.	w15_d446e10798
und	w17_d446e10801
53.	w1_d446e10807
mit	w3_d446e10810
zerschiedenen	w5_d446e10813
Ambi,	w7_d446e10816
Terni	w9_d446e10819
und	w11_d446e10822
Estrati	w1_d446e10827
gehoben	w3_d446e10830
worden.	w5_d446e10833
</p>
<p id="p10_d446e10836">
Den	w1_d446e10840
20.	w3_d446e10843
dieses	w5_d446e10846
wird	w7_d446e10849
die	w9_d446e10852
fernere	w11_d446e10855
Ziehung	w13_d446e10859
in	w1_d446e10864
der	w3_d446e10867
Kaiserl.	w5_d446e10870
Königl.	w7_d446e10873
Haupt=stadt	w9_d446e10876
Prag	w11_d446e10879
beschehen.	w1_d446e10884
</p>
<head id="h4_d446e10901">
Lista	w1_d446e10905
deren	w3_d446e10908
Verstorbenen	w5_d446e10911
zu	w7_d446e10914
Wien	w9_d446e10917
in	w1_d446e10922
und	w3_d446e10925
vor	w5_d446e10928
der	w7_d446e10931
Stadt.	w9_d446e10934
Den	w1_d446e10939
28.	w3_d446e10942
April.	w5_d446e10945
Jn	w1_d446e10951
der	w3_d446e10954
Stadt.	w5_d446e10957
</head>
<list id="l6_d446e10960">
Hr.	w1_d446e10964
Georg	w3_d446e10967
Mohr,	w5_d446e10970
K.	w7_d446e10973
K.	w9_d446e10976
N.	w11_d446e10979
Oe.	w13_d446e10983
Reg.	w15_d446e10986
Thür=hüt.	w17_d446e10989
im	w19_d446e10992
Königsackaris,	w1_d446e10997
H.	w3_d446e11000
am	w5_d446e11003
alt.	w7_d446e11006
Fleisch=m.,	w9_d446e11009
alt	w11_d446e11012
68.	w13_d446e11016
J.	w15_d446e11019
Math.	w1_d446e11024
Holzman,	w3_d446e11027
Recrut,	w5_d446e11030
in	w7_d446e11033
der	w9_d446e11036
Casarm,	w11_d446e11039
25.	w13_d446e11043
J.	w15_d446e11046
Dem	w1_d446e11052
Ant.	w3_d446e11055
Zechner,	w5_d446e11058
Lack,	w7_d446e11061
s.	w9_d446e11064
W.	w11_d446e11067
Anna,	w13_d446e11071
im	w15_d446e11074
Schmer	w17_d446e11077
lingis.	w1_d446e11082
H.	w3_d446e11085
in	w5_d446e11088
der	w7_d446e11091
obern	w9_d446e11094
Bäckerstr.,	w11_d446e11097
alt	w13_d446e11101
33.	w15_d446e11104
J.	w17_d446e11107
</list>
<head id="h2_d446e11115">
Vor	w1_d446e11119
der	w3_d446e11122
Stadt.	w5_d446e11125
</head>
<list id="l4_d446e11128">
Dem	w1_d446e11132
Sebast.	w3_d446e11135
Lutz,	w5_d446e11138
Lust=gart.,	w7_d446e11141
s.	w9_d446e11144
S.	w11_d446e11147
Angelus,	w13_d446e11151
beym	w15_d446e11154
rot.	w1_d446e11159
Kreutz	w3_d446e11162
zu	w5_d446e11165
Mätzleinstorf,	w7_d446e11168
alt	w9_d446e11171
29.	w11_d446e11174
J	w13_d446e11178
Dem	w1_d446e11183
Franz	w3_d446e11186
Jaglitsch,	w5_d446e11189
Schuh=mach.,	w7_d446e11192
s.	w9_d446e11195
K.	w11_d446e11198
Theres.,	w13_d446e11202
bey	w1_d446e11208
der	w3_d446e11211
Bretz.	w5_d446e11214
im	w7_d446e11217
Lerchenf.,	w9_d446e11220
alt	w11_d446e11223
4.	w13_d446e11227
J.	w15_d446e11230
Dem	w1_d446e11235
Joh.	w3_d446e11238
Melbineer,	w5_d446e11241
Sessel=trag.,	w7_d446e11244
s.	w9_d446e11247
K.	w11_d446e11250
Elenn.,	w13_d446e11254
in	w1_d446e11259
s.	w3_d446e11262
H.	w5_d446e11265
zu	w7_d446e11268
Nicolstorf,	w9_d446e11271
alt	w11_d446e11274
4.	w13_d446e11278
J.	w15_d446e11281
Dem	w1_d446e11286
Mich.	w3_d446e11289
Lubkowitz,	w5_d446e11292
Bad,	w7_d446e11295
s.	w9_d446e11298
K.	w11_d446e11301
Joh.,	w13_d446e11305
bey	w15_d446e11308
dem	w17_d446e11311
Kohl=trag.	w1_d446e11317
am	w3_d446e11320
Spitalberg,	w5_d446e11323
alt	w7_d446e11326
6.	w9_d446e11329
J.	w11_d446e11332
Tob.	w1_d446e11337
Bonholzer,	w3_d446e11340
Sporrer=ges.,	w5_d446e11343
bey	w7_d446e11346
der	w9_d446e11349
Kohl=kreutz.	w11_d446e11352
am	w1_d446e11357
Spitalberg,	w3_d446e11360
alt	w5_d446e11363
23.	w7_d446e11366
J.	w9_d446e11369
Steph.	w1_d446e11374
Wels,	w3_d446e11377
gew.	w5_d446e11380
Tag=wacht.,	w7_d446e11383
beym	w9_d446e11386
blech.	w11_d446e11389
Thurn	w13_d446e11393
ausserm	w1_d446e11399
Klag	w3_d446e11402
baum,	w5_d446e11405
alt	w7_d446e11408
60.	w9_d446e11411
J.	w11_d446e11414
Elisab.	w1_d446e11419
Ohrholin,	w3_d446e11422
Wittwe,	w5_d446e11425
beym	w7_d446e11428
rot.	w9_d446e11431
Hirsch.	w11_d446e11434
in	w13_d446e11438
der	w1_d446e11443
Leopoldst.,	w3_d446e11446
alt	w5_d446e11449
59.	w7_d446e11452
J.	w9_d446e11455
</list>
<head id="h2_d446e11462">
Summa	w1_d446e11466
10.	w3_d446e11469
Pers.,	w5_d446e11472
darunter	w7_d446e11475
3.	w9_d446e11478
Kind.	w11_d446e11481
Den	w1_d446e11486
29.	w3_d446e11489
April.	w5_d446e11492
Jn	w1_d446e11497
der	w3_d446e11500
Stadt.	w5_d446e11503
</head>
<list id="l4_d446e11506">
Dem	w1_d446e11510
Joh.	w3_d446e11513
Jnzinger,	w5_d446e11516
Maurern,	w7_d446e11519
s.	w9_d446e11522
K.	w11_d446e11525
Joh.,	w13_d446e11529
in	w15_d446e11532
dem	w17_d446e11535
Brenneris.	w1_d446e11540
H.	w3_d446e11543
in	w5_d446e11546
der	w7_d446e11549
Dorothe	w9_d446e11552
gas.,	w11_d446e11555
alt	w13_d446e11559
1.	w15_d446e11562
J.	w17_d446e11565
Dem	w1_d446e11570
Mart.	w3_d446e11573
Schadinger,	w5_d446e11576
Haus=meist.,	w7_d446e11579
s.	w9_d446e11582
K.	w11_d446e11585
Jos.	w13_d446e11589
im	w1_d446e11595
Reiter=piquet,	w3_d446e11598
alt	w5_d446e11601
6.	w7_d446e11604
v.	w9_d446e11607
J.	w11_d446e11610
</list>
<head id="h2_d446e11617">
Vor	w1_d446e11621
der	w3_d446e11624
Stadt.	w5_d446e11627
</head>
<list id="l4_d446e11630">
Dem	w1_d446e11634
Joh.	w3_d446e11637
Oberbäck,	w5_d446e11640
Herren=koch,	w7_d446e11643
s.	w9_d446e11646
K.	w11_d446e11649
Clara,	w13_d446e11653
bey	w15_d446e11656
der	w1_d446e11661
Raichs=kron	w3_d446e11664
in	w5_d446e11667
der	w7_d446e11670
Josephst.,	w9_d446e11673
alt	w11_d446e11676
3.	w13_d446e11680
J.	w15_d446e11683
Dem	w1_d446e11688
Ferd.	w3_d446e11691
Knall,	w5_d446e11694
Lack,	w7_d446e11697
s.	w9_d446e11700
K.	w11_d446e11703
Reg.,	w13_d446e11707
beym	w15_d446e11710
braun.	w17_d446e11713
Hirsch.	w1_d446e11719
auf	w3_d446e11722
der	w5_d446e11725
Landstr,	w7_d446e11728
alt	w9_d446e11731
4.	w11_d446e11734
J.	w13_d446e11738
Dem	w1_d446e11743
Jos.	w3_d446e11746
Stofletz,	w5_d446e11749
Färber=ges.,	w7_d446e11752
s.	w9_d446e11755
K.	w11_d446e11758
Barb.,	w13_d446e11762
beyn	w15_d446e11765
12.	w1_d446e11770
Himmels=zeich.	w3_d446e11773
oberm	w5_d446e11776
Neustift,	w7_d446e11779
alt	w9_d446e11782
7.	w11_d446e11785
Dem	w1_d446e11790
Adam	w3_d446e11793
Prestaunick,	w5_d446e11796
Büchsen=schift.,	w7_d446e11799
s.	w9_d446e11802
WAnna,	w11_d446e11805
beym	w1_d446e11811
bl.	w3_d446e11814
Hecht.	w5_d446e11817
in	w7_d446e11820
der	w9_d446e11823
Leopoldst.,	w11_d446e11826
alt	w13_d446e11830
34.	w15_d446e11833
J.	w17_d446e11836
</list>
<head id="h2_d446e11843">
Summa	w1_d446e11847
6.	w3_d446e11850
Person.,	w5_d446e11853
darunter	w7_d446e11856
5.	w9_d446e11859
Kind.	w11_d446e11862
Den	w1_d446e11867
30.	w3_d446e11870
April.	w5_d446e11873
Jn	w1_d446e11878
der	w3_d446e11881
Stadt.	w5_d446e11884
</head>
<list id="l4_d446e11887">
Dem	w1_d446e11891
Franz	w3_d446e11894
Dorman,	w5_d446e11897
Burg.	w7_d446e11900
Wirt	w9_d446e11903
s.	w11_d446e11906
K.	w13_d446e11910
Georg	w15_d446e11913
bey	w17_d446e11916
der	w1_d446e11921
gold.	w3_d446e11924
Kugel	w5_d446e11927
am	w7_d446e11930
Hof	w9_d446e11933
alt	w11_d446e11936
2.	w13_d446e11940
Jahr.	w15_d446e11943
Dem	w1_d446e11948
Franz	w3_d446e11951
Koch,	w5_d446e11954
Maur.	w7_d446e11957
s.	w9_d446e11960
K.	w11_d446e11963
Theres.	w13_d446e11967
im	w15_d446e11970
Weberi	w17_d446e11973
schen	w1_d446e11979
Haus	w3_d446e11982
am	w5_d446e11985
Fleisch=markt	w7_d446e11988
alt	w9_d446e11991
3.	w11_d446e11994
Jahr.	w13_d446e11998
</list>
<head id="h2_d446e12005">
Vor	w1_d446e12009
der	w3_d446e12012
Stadt.	w5_d446e12015
</head>
<list id="l4_d446e12018">
Der	w1_d446e12022
Michl	w3_d446e12025
Adam,	w5_d446e12028
gewest.	w7_d446e12031
burg.	w9_d446e12034
Bier=leutg.	w11_d446e12037
bey	w13_d446e12041
kl.	w15_d446e12044
gold.Lammel	w1_d446e12049
am	w3_d446e12052
Spitlberg	w5_d446e12055
alt	w7_d446e12058
34.	w9_d446e12061
Jahr.	w11_d446e12064
Die	w1_d446e12069
Anna	w3_d446e12072
Gelichin,	w5_d446e12075
Wit.	w7_d446e12078
beym	w9_d446e12081
gut.	w11_d446e12084
Hirten,	w13_d446e12088
in	w15_d446e12091
der	w17_d446e12094
Leopoldstadt,	w1_d446e12100
alt	w3_d446e12103
74.	w5_d446e12106
Jahr.	w7_d446e12109
</list>
<list id="l6_d446e12113">
Dem	w1_d446e12117
Georg	w3_d446e12120
Schwarz,	w5_d446e12123
Lag.	w7_d446e12126
s.	w9_d446e12129
W.	w11_d446e12132
Eva	w13_d446e12136
bry	w15_d446e12139
der	w17_d446e12142
gold.	w19_d446e12145
Glocken	w1_d446e12150
am	w3_d446e12153
Neubau,	w5_d446e12156
alt	w7_d446e12159
34.	w9_d446e12162
Jahr.	w11_d446e12165
Dem	w1_d446e12170
Math.	w3_d446e12173
Mayr,	w5_d446e12176
Lag.	w7_d446e12179
s.	w9_d446e12182
K.	w11_d446e12185
Margar.	w13_d446e12189
im	w15_d446e12192
Schip	w17_d446e12195
lischen	w1_d446e12201
Haus	w3_d446e12204
auf	w5_d446e12207
der	w7_d446e12210
Wieden,	w9_d446e12213
alt	w11_d446e12216
9.	w13_d446e12220
Jahr.	w15_d446e12223
Dem	w1_d446e12228
Godfr.	w3_d446e12231
Weichselberger,	w5_d446e12234
Postil.	w7_d446e12237
s.	w9_d446e12240
K.	w11_d446e12243
Georg	w13_d446e12247
bey	w1_d446e12252
gr.	w3_d446e12255
Lammel	w5_d446e12258
an	w7_d446e12261
der	w9_d446e12264
Wien,	w11_d446e12267
alt	w13_d446e12271
3.	w15_d446e12274
Jahr.	w17_d446e12277
Der	w1_d446e12282
Greg.	w3_d446e12285
Schindler,	w5_d446e12288
gew.	w7_d446e12291
Lag.	w9_d446e12294
bey	w11_d446e12297
der	w13_d446e12301
H.	w15_d446e12304
Drey	w17_d446e12307
faltigkeit,	w1_d446e12313
oberm	w3_d446e12316
Neustift	w5_d446e12319
alt	w7_d446e12322
67.	w9_d446e12325
Jahr.	w11_d446e12328
Der	w1_d446e12333
Franz	w3_d446e12336
Plank,	w5_d446e12339
Tapazier=ges.	w7_d446e12342
bey	w9_d446e12345
blauen	w11_d446e12348
Mond	w13_d446e12352
schein	w1_d446e12357
in	w3_d446e12360
der	w5_d446e12363
Leopoldst.	w7_d446e12366
alt	w9_d446e12369
26.	w11_d446e12372
Jahr.	w13_d446e12376
Dem	w1_d446e12381
Joh.	w3_d446e12384
Knoll,	w5_d446e12387
Schneider	w7_d446e12390
s.	w9_d446e12393
K.	w11_d446e12396
Jos.	w13_d446e12400
beym	w15_d446e12403
Englis.	w17_d446e12406
Gruß	w1_d446e12412
in	w3_d446e12415
der	w5_d446e12418
Josephst.	w7_d446e12421
alt	w9_d446e12424
5.	w11_d446e12427
Jahr.	w13_d446e12431
</list>
<head id="h2_d446e12438">
Summa	w1_d446e12442
10.	w3_d446e12445
Person,	w5_d446e12448
darunter	w7_d446e12451
5.	w9_d446e12454
Kind.	w11_d446e12457
Den	w1_d446e12462
1.	w3_d446e12465
May.	w5_d446e12468
Jn	w1_d446e12473
der	w3_d446e12476
Stadt.	w5_d446e12479
</head>
<list id="l4_d446e12482">
Die	w1_d446e12486
Wol=ed.	w3_d446e12489
Jungf.	w5_d446e12492
Anna	w7_d446e12495
Weberin	w9_d446e12498
in	w11_d446e12501
Jes.	w13_d446e12505
H	w15_d446e12508
bey	w17_d446e12511
der	w1_d446e12516
schön	w3_d446e12519
Lantern,	w5_d446e12522
alt	w7_d446e12525
30.	w9_d446e12528
Jahr.	w11_d446e12531
Dem	w1_d446e12536
Andr.	w3_d446e12539
Rath,	w5_d446e12542
burgerl.	w7_d446e12545
Goldschm.	w9_d446e12548
s.	w11_d446e12551
Ehewirtin	w13_d446e12555
Christin.	w1_d446e12561
im	w3_d446e12564
s.	w5_d446e12567
H.	w7_d446e12570
am	w9_d446e12573
Hof.	w11_d446e12576
alt	w13_d446e12580
67.	w15_d446e12583
Jahr.	w17_d446e12586
Die	w1_d446e12591
Ehr	w3_d446e12594
und	w5_d446e12597
tugendsame	w7_d446e12600
Jungf.	w9_d446e12603
Theres.	w11_d446e12606
Bachinge	w13_d446e12610
rin,	w1_d446e12615
led.	w3_d446e12618
im	w5_d446e12621
Steinmetz.	w7_d446e12624
Hausam	w9_d446e12627
Graben,	w11_d446e12630
alt	w13_d446e12634
19.	w15_d446e12637
J.	w17_d446e12640
Dem	w1_d446e12645
Gabr.	w3_d446e12648
Kropf,	w5_d446e12651
Lag.	w7_d446e12654
s.	w9_d446e12657
K.	w11_d446e12660
Anna,	w13_d446e12664
im	w15_d446e12667
Pertram.	w17_d446e12670
H	w19_d446e12673
in	w1_d446e12679
Ofen=loch,	w3_d446e12682
alt	w5_d446e12685
2.	w7_d446e12688
Jahr.	w9_d446e12691
</list>
<head id="h2_d446e12699">
Vor	w1_d446e12703
der	w3_d446e12706
Stadt.	w5_d446e12709
</head>
<list id="l4_d446e12712">
Der	w1_d446e12716
Ehrw.	w3_d446e12719
Fr.	w5_d446e12722
Philipp,	w7_d446e12725
Ord.	w9_d446e12728
SS.	w11_d446e12731
Trin.	w13_d446e12735
im	w15_d446e12738
Closter	w17_d446e12741
in	w1_d446e12746
der	w3_d446e12749
Alsterg.	w5_d446e12752
alt	w7_d446e12755
64.	w9_d446e12758
Jahr.	w11_d446e12761
Die	w1_d446e12766
Magd.	w3_d446e12769
Fürstin,	w5_d446e12772
led.	w7_d446e12775
beym	w9_d446e12778
schwari.	w11_d446e12781
Stifel,	w13_d446e12785
im	w15_d446e12788
Lichtenth.	w1_d446e12794
alt	w3_d446e12797
60.	w5_d446e12800
Jahr.	w7_d446e12803
Der	w1_d446e12808
Math.	w3_d446e12811
Schiller,	w5_d446e12814
Lust=gar.	w7_d446e12817
beym	w9_d446e12820
Ritt.	w11_d446e12823
St.	w13_d446e12827
Gertz	w15_d446e12830
obern	w1_d446e12835
Neust.	w3_d446e12838
alt	w5_d446e12841
77.	w7_d446e12844
Jahr.	w9_d446e12847
Dem	w1_d446e12852
Phil	w3_d446e12855
Gecker,	w5_d446e12858
Knöpfm.	w7_d446e12861
s.	w9_d446e12864
K.	w11_d446e12867
Andr.	w13_d446e12871
bey	w15_d446e12874
gold.	w17_d446e12877
Hirschen	w1_d446e12883
auf	w3_d446e12886
der	w5_d446e12889
Wieden,	w7_d446e12892
alt	w9_d446e12895
2.	w11_d446e12898
Jahr.	w13_d446e12902
Der	w1_d446e12907
Andr.	w3_d446e12910
Kerbmann,	w5_d446e12913
Schuhm.	w7_d446e12916
bey	w9_d446e12919
3.	w11_d446e12922
Königen	w13_d446e12926
is	w15_d446e12929
Lichtenth.	w1_d446e12934
alt	w3_d446e12937
40.	w5_d446e12940
Jahr.	w7_d446e12943
</list>
<head id="h2_d446e12950">
Summa	w1_d446e12954
9	w3_d446e12957
Pers.	w5_d446e12960
darunter	w7_d446e12963
3.	w9_d446e12966
Kind	w11_d446e12969
</head>
<p id="p4_d446e12972">
Von	w1_d446e12976
der	w3_d446e12979
Hoch=gräfl.	w5_d446e12982
Ernest	w7_d446e12985
Horosischen	w9_d446e12988
Herr	w11_d446e12991
schaft	w1_d446e12996
Froschdorf	w3_d446e12999
wird	w5_d446e13002
hiemit	w7_d446e13005
zu	w9_d446e13008
wissen	w11_d446e13011
angefü	w13_d446e13015
get,	w1_d446e13020
welcher	w3_d446e13023
massen	w5_d446e13026
der	w7_d446e13029
alhier	w9_d446e13032
angestelltgewe	w11_d446e13035
ste	w1_d446e13041
Verwalter	w3_d446e13044
Namens	w5_d446e13047
Johann	w7_d446e13050
Holzgreif,	w9_d446e13053
be	w11_d446e13056
reit	w1_d446e13061
vor	w3_d446e13064
etlich	w5_d446e13067
dreyßig	w7_d446e13070
Jahren	w9_d446e13073
ohne	w11_d446e13076
Hinterlas	w13_d446e13080
sung	w1_d446e13085
einiger	w3_d446e13088
Leibs=erben	w5_d446e13091
das	w7_d446e13094
Zeitliche	w9_d446e13097
geseegnet	w11_d446e13100
habe,	w1_d446e13105
und	w3_d446e13108
da	w5_d446e13111
nun	w7_d446e13114
sich	w9_d446e13117
bishero	w11_d446e13120
zu	w13_d446e13124
dero	w15_d446e13127
Verlas	w17_d446e13130
senschaft	w1_d446e13136
kein	w3_d446e13139
Erb,	w5_d446e13142
oder	w7_d446e13145
Befreunter	w9_d446e13148
gemeldet;	w11_d446e13151
als	w1_d446e13156
wird	w3_d446e13159
demjenigen,	w5_d446e13162
so	w7_d446e13165
sich	w9_d446e13168
als	w11_d446e13171
ein	w13_d446e13175
Bluts=freund,	w15_d446e13178
mithln	w1_d446e13183
zu	w3_d446e13186
dieser	w5_d446e13189
Erbschaft	w7_d446e13192
legitimiren	w9_d446e13195
kan,	w11_d446e13198
eine	w13_d446e13202
peremptorische	w1_d446e13207
Frist	w3_d446e13210
von	w5_d446e13213
Jahr	w7_d446e13216
und	w9_d446e13219
Tag	w11_d446e13222
einge	w13_d446e13226
standen,	w1_d446e13232
nach	w3_d446e13235
Verfliessung	w5_d446e13238
dessen	w7_d446e13241
niemtand	w9_d446e13244
mehl	w11_d446e13247
angehöret	w1_d446e13252
werden	w3_d446e13255
würde.	w5_d446e13258
Gegeben	w7_d446e13261
Schloß	w9_d446e13264
und	w11_d446e13267
Herrschaft	w1_d446e13272
Froschdorf	w3_d446e13275
den	w5_d446e13278
1.	w7_d446e13281
Martii	w9_d446e13284
1760.	w11_d446e13287
</p>
<p id="p6_d446e13290">
Von	w1_d446e13294
der	w3_d446e13297
Kaiserl.	w5_d446e13300
Königl.	w7_d446e13303
N.	w9_d446e13306
Oe.	w11_d446e13309
Justitz	w13_d446e13313
dan	w15_d446e13316
co=deputation	w1_d446e13321
wegen,	w3_d446e13324
wird	w5_d446e13327
allen	w7_d446e13330
und	w9_d446e13333
jeden	w11_d446e13336
durch	w13_d446e13340
gegenwärtiges	w1_d446e13345
Edict	w3_d446e13348
kund	w5_d446e13351
und	w7_d446e13354
zu	w9_d446e13357
wissen	w11_d446e13360
gewacht:	w13_d446e13364
Bey	w1_d446e13370
dieser	w3_d446e13373
Justitz=stelle	w5_d446e13376
habe	w7_d446e13379
der	w9_d446e13382
gerichtlich	w11_d446e13385
ver	w13_d446e13389
ordnet	w1_d446e13394
freyherrliche	w3_d446e13397
Franz	w5_d446e13400
Philipp	w7_d446e13403
von	w9_d446e13406
Rissenfel	w11_d446e13409
</p>
<p id="p12_d446e13423">
sische	w1_d446e13427
Curator	w3_d446e13430
ad	w5_d446e13433
lites	w7_d446e13436
Doctor	w9_d446e13439
Allmayer	w11_d446e13442
mit	w13_d446e13446
meh	w15_d446e13449
reren	w1_d446e13454
angebracht,	w3_d446e13457
was	w5_d446e13460
massen	w7_d446e13463
Herr	w9_d446e13466
Ferdinand	w11_d446e13469
Heinrich	w1_d446e13474
Frey=herr	w3_d446e13477
von	w5_d446e13480
Risenfels	w7_d446e13483
in	w9_d446e13486
seiner	w11_d446e13489
über	w13_d446e13493
die	w1_d446e13499
Franz	w3_d446e13502
Philipp	w5_d446e13505
Frey=herrn	w7_d446e13508
von	w9_d446e13511
Risenfelsische	w11_d446e13514
Allodial=massa	w1_d446e13519
veranlaster	w3_d446e13522
massen	w5_d446e13525
verfasten	w7_d446e13528
Aus	w9_d446e13531
weisung	w1_d446e13536
unter	w3_d446e13539
anderen	w5_d446e13542
auch	w7_d446e13545
eine	w9_d446e13548
in	w11_d446e13551
dem	w13_d446e13555
gemei	w15_d446e13558
ner	w1_d446e13563
Stadt	w3_d446e13566
Wien	w5_d446e13569
Banco	w7_d446e13572
angewisen	w9_d446e13575
Kaiserl.	w11_d446e13578
Kö	w13_d446e13582
nigl.	w1_d446e13588
Darlehens=obligation	w3_d446e13591
de	w5_d446e13594
Dato	w7_d446e13597
14.	w9_d446e13600
Sept.	w11_d446e13603
1735.	w1_d446e13608
für	w3_d446e13611
das	w5_d446e13614
der	w7_d446e13617
freyherrlich=Risenfelsischen	w9_d446e13620
Herrschaft	w1_d446e13625
Seisenegg	w3_d446e13628
pro	w5_d446e13631
Anno	w7_d446e13634
1735.	w9_d446e13637
zugeschrie	w11_d446e13640
ben,	w1_d446e13645
und	w3_d446e13648
von	w5_d446e13651
dem	w7_d446e13654
aufgestellt	w9_d446e13657
gewesten	w11_d446e13660
Sequestro	w13_d446e13664
Carl	w1_d446e13670
Vetter	w3_d446e13673
für	w5_d446e13676
erst	w7_d446e13679
gedachtes	w9_d446e13682
Jahr	w11_d446e13685
abgeführte	w13_d446e13689
Subsidium	w1_d446e13694
præsentaneum	w3_d446e13697
pr.	w5_d446e13700
1000.	w7_d446e13703
fl.	w9_d446e13706
eingebracht	w11_d446e13709
hätte,	w1_d446e13714
von	w3_d446e13717
welchem	w5_d446e13720
Capital	w7_d446e13723
bis	w9_d446e13726
anhero	w11_d446e13729
noch	w13_d446e13733
nie	w15_d446e13736
malen	w1_d446e13741
einige	w3_d446e13744
Jnteressen	w5_d446e13747
erhoben	w7_d446e13750
worden,	w9_d446e13753
auch	w11_d446e13756
nunmehro	w1_d446e13762
sothane	w3_d446e13765
Obligation	w5_d446e13768
nicht	w7_d446e13771
mehr	w9_d446e13774
ausfin	w11_d446e13777
dig	w1_d446e13782
zu	w3_d446e13785
machen	w5_d446e13788
wäre,	w7_d446e13791
demnach	w9_d446e13794
vermutlich	w11_d446e13797
in	w13_d446e13801
Ver	w15_d446e13804
stoß	w1_d446e13809
geraten	w3_d446e13812
seyn	w5_d446e13815
müste;	w7_d446e13818
damit	w9_d446e13821
also	w11_d446e13824
erwehnte	w13_d446e13828
Obligation	w1_d446e13833
durch	w3_d446e13836
Affigirung	w5_d446e13839
eines	w7_d446e13842
gewöhnlichen	w9_d446e13845
Valval=edicts	w1_d446e13851
der	w3_d446e13854
Ordnung	w5_d446e13857
nach	w7_d446e13860
amortisiret,	w9_d446e13863
und	w1_d446e13868
dafür	w3_d446e13871
eine	w5_d446e13874
andere	w7_d446e13877
dergleichen	w9_d446e13880
ausgestellet	w11_d446e13883
wer	w13_d446e13887
den	w1_d446e13892
möchte,	w3_d446e13895
als	w5_d446e13898
hat	w7_d446e13901
obbemeldt=freyherrlich	w9_d446e13904
von	w11_d446e13907
Risenfelsischer	w1_d446e13912
Curator	w3_d446e13915
ad	w5_d446e13918
lites	w7_d446e13921
um	w9_d446e13924
die	w11_d446e13927
Auflag	w13_d446e13931
an	w1_d446e13937
seine	w3_d446e13940
Behörde	w5_d446e13943
gebetten.	w7_d446e13946
Gleichwie	w9_d446e13949
nun	w11_d446e13952
in	w13_d446e13956
solches	w1_d446e13961
des	w3_d446e13964
Supplicantens	w5_d446e13967
billiges	w7_d446e13970
Anlangen	w9_d446e13973
von	w11_d446e13976
Rechts	w1_d446e13981
wegen	w3_d446e13984
solcher	w5_d446e13987
gestalten	w7_d446e13990
gewilliget	w9_d446e13993
worden,	w11_d446e13996
daß,	w1_d446e14001
wann	w3_d446e14004
inner	w5_d446e14007
Jahr	w7_d446e14010
und	w9_d446e14013
Tag	w11_d446e14016
von	w13_d446e14020
