<doc id="wr_1759-06-06" attrs="word" year="1759" month="06" day="06" corpus="2">
<head id="h2_d354e3045">
Petersburg	w1_d354e3049
Augustinus	w11_d354e10270
a	w1_d354e10275
S.	w3_d354e10278
Anselmo,	w5_d354e10281
des	w7_d354e10284
Heil.	w9_d354e10287
Augustini	w11_d354e10290
Barfüs	w13_d354e10294
ser=ordens	w1_d354e10299
Priester,	w3_d354e10302
und	w5_d354e10305
Professus	w7_d354e10308
Jubi-	w9_d354e10311
latus	w1_d354e10317
sein	w3_d354e10320
zweytes	w5_d354e10323
heiliges	w7_d354e10326
Meß=opfer,	w9_d354e10329
un	w11_d354e10332
ter	w1_d354e10337
treflicher	w3_d354e10340
Figural=music,	w5_d354e10343
und	w7_d354e10346
ausgezier	w9_d354e10349
ten	w1_d354e10354
hohen	w3_d354e10357
Altar,	w5_d354e10360
zu	w7_d354e10363
Freud	w9_d354e10366
und	w11_d354e10369
Trost	w13_d354e10373
seines	w15_d354e10376
heiligen	w1_d354e10381
Ordens,	w3_d354e10384
und	w5_d354e10387
anwesend	w7_d354e10390
zahlreicher	w9_d354e10393
Menge	w1_d354e10399
Volkes,	w3_d354e10402
GOtt	w5_d354e10405
dem	w7_d354e10408
Allerhöchsten	w9_d354e10411
abgestattet	w1_d354e10416
hat.	w3_d354e10419
</p>
<p id="p12_d354e10423">
Eodem	w1_d354e10427
jüngst	w3_d354e10430
verwichenen	w5_d354e10433
Pfingstsonn	w7_d354e10436
tag,	w1_d354e10441
und	w3_d354e10444
denen	w5_d354e10447
zwey	w7_d354e10450
darauf	w9_d354e10453
folgenden	w11_d354e10456
Tägen,	w13_d354e10460
begiengen	w1_d354e10465
alhier	w3_d354e10468
die	w5_d354e10471
WW.	w7_d354e10474
EE.	w9_d354e10477
PP.	w11_d354e10480
Trinita	w13_d354e10484
rier	w1_d354e10490
in	w3_d354e10493
der	w5_d354e10496
Alster=gassen	w7_d354e10499
das	w9_d354e10502
feyerliche	w11_d354e10505
Jubel	w13_d354e10509
fest	w1_d354e10514
des	w3_d354e10517
Uralten	w5_d354e10520
und	w7_d354e10523
Wunderthättigen	w9_d354e10526
Heiligen	w11_d354e10529
Kreutzes,	w1_d354e10534
welches	w3_d354e10537
im	w5_d354e10540
Jahr	w7_d354e10543
1699.	w9_d354e10546
zu	w11_d354e10549
Her	w13_d354e10553
manstadt	w1_d354e10558
in	w3_d354e10561
Siebenbürgen	w5_d354e10564
gefunden,	w7_d354e10567
Anno	w9_d354e10570
1708.	w1_d354e10576
nach	w3_d354e10579
Wien	w5_d354e10582
überbracht,	w7_d354e10585
und	w9_d354e10588
den	w11_d354e10591
30.	w13_d354e10595
Tag	w1_d354e10600
des	w3_d354e10603
Winter=monats	w5_d354e10606
eben	w7_d354e10609
desselben	w9_d354e10612
Jahrs	w11_d354e10615
in	w1_d354e10620
dero	w3_d354e10623
Kloster=kirchen	w5_d354e10626
zur	w7_d354e10629
offentlicher	w9_d354e10632
Ver	w11_d354e10635
ehrung	w1_d354e10640
ausgesetzet	w3_d354e10643
worden,	w5_d354e10646
alwo	w7_d354e10649
es	w9_d354e10652
sich	w11_d354e10655
nunmehro	w1_d354e10661
bereits	w3_d354e10664
50.	w5_d354e10667
Jahr	w7_d354e10670
lang	w9_d354e10673
schon	w11_d354e10676
be	w13_d354e10680
findet,	w1_d354e10685
und	w3_d354e10688
mit	w5_d354e10691
niemals	w7_d354e10694
unterbrochenen	w9_d354e10697
Andachts=eiser	w1_d354e10702
geehret	w3_d354e10705
wird.	w5_d354e10708
Der	w7_d354e10711
Zulauf	w9_d354e10714
hoch	w1_d354e10719
und	w3_d354e10722
niederer	w5_d354e10725
Stands=personen	w7_d354e10728
ware	w9_d354e10731
hierbey	w1_d354e10737
ungemein	w3_d354e10740
groß	w5_d354e10743
und	w7_d354e10746
zahlreich,	w9_d354e10749
und	w11_d354e10752
haben	w1_d354e10757
durch	w3_d354e10760
die	w5_d354e10763
drey	w7_d354e10766
Täg	w9_d354e10769
dieser	w11_d354e10772
Feyerlich	w13_d354e10776
keit	w1_d354e10781
drey	w3_d354e10784
Jnfulirte	w5_d354e10787
das	w7_d354e10790
Hoch=amt	w9_d354e10793
abge	w11_d354e10796
sungen,	w1_d354e10801
und	w3_d354e10804
vier	w5_d354e10807
deren	w7_d354e10810
berühmtesten	w9_d354e10813
Red	w11_d354e10816
nern,	w1_d354e10822
die	w3_d354e10825
Vor	w5_d354e10828
und	w7_d354e10831
Nachmittägige	w9_d354e10834
Predi	w11_d354e10837
gen	w1_d354e10842
gehalten.	w3_d354e10845
</p>
<p id="p18_d354e10858">
Montags	w1_d354e10862
und	w3_d354e10865
Dienstags	w5_d354e10868
als	w7_d354e10871
den	w9_d354e10874
4.	w11_d354e10877
und	w13_d354e10881
5.	w1_d354e10886
dieses,	w3_d354e10889
nach	w5_d354e10892
dem	w7_d354e10895
GOttes=dienst,	w9_d354e10898
seynd	w11_d354e10901
beede	w1_d354e10906
Majest.	w3_d354e10909
mit	w5_d354e10912
denen	w7_d354e10915
wichtigen	w9_d354e10918
Staats	w11_d354e10921
und	w1_d354e10927
Landes=angelegenheiten	w3_d354e10930
zu	w5_d354e10933
Schön	w7_d354e10936
brunn	w1_d354e10941
beschäftiget	w3_d354e10944
gewesen.	w5_d354e10947
</p>
<head id="h2_d354e10954">
Copia	w1_d354e10958
Kaiserl.	w1_d354e10963
Patents,	w3_d354e10966
die	w5_d354e10969
von	w7_d354e10972
denen	w9_d354e10975
Preussen	w1_d354e10980
in	w3_d354e10983
dem	w5_d354e10986
Fränkischen	w7_d354e10989
Kreiß	w9_d354e10992
abgezwungene	w1_d354e10998
Wechsel=briefe	w3_d354e11001
be	w5_d354e11004
treffend.	w1_d354e11009
dd.	w3_d354e11012
Wien	w5_d354e11015
den	w7_d354e11018
31sten	w9_d354e11021
May	w1_d354e11026
1759.	w3_d354e11029
</head>
<p id="p4_d354e11032">
WR	w1_d354e11036
FRANZ	w1_d354e11041
rc.	w3_d354e11044
thun	w5_d354e11047
kund	w7_d354e11050
hiermit	w9_d354e11053
allermänniglich,	w1_d354e11058
was	w3_d354e11061
massen	w5_d354e11064
an	w7_d354e11067
Uns	w9_d354e11070
von	w11_d354e11073
Unsern	w1_d354e11079
und	w3_d354e11082
des	w5_d354e11085
Reichs	w7_d354e11088
commandirenden	w9_d354e11091
Generalen	w1_d354e11096
Herzogen	w3_d354e11099
Friderich	w5_d354e11102
zu	w7_d354e11105
Pfalz	w9_d354e11108
zweybrücken	w1_d354e11113
Liebden,	w3_d354e11116
die	w5_d354e11119
allerunterthänig	w7_d354e11122
ste	w1_d354e11127
Anzeige	w3_d354e11130
geschehen,	w5_d354e11133
daß	w7_d354e11136
die	w9_d354e11139
in	w11_d354e11142
der	w13_d354e11146
Em	w15_d354e11149
pörung	w1_d354e11155
befangene	w3_d354e11158
Königl.	w5_d354e11161
Preußische	w7_d354e11164
Chur	w9_d354e11167
brandenburgische	w1_d354e11172
Kriegs=völker,	w3_d354e11175
nachdeme	w5_d354e11178
dieselbe	w1_d354e11183
die	w3_d354e11186
Lande	w5_d354e11189
deren	w7_d354e11192
Fürsten	w9_d354e11195
und	w11_d354e11198
Stän	w13_d354e11202
den	w1_d354e11207
des	w3_d354e11210
Fränkischen	w5_d354e11213
Kreises	w7_d354e11216
mit	w9_d354e11219
Landfried	w11_d354e11222
brüchiger	w1_d354e11228
That	w3_d354e11231
mehrmalen	w5_d354e11234
überzogen,	w7_d354e11237
und	w9_d354e11240
insonderheit	w1_d354e11245
die	w3_d354e11248
Jnwohnere,	w5_d354e11251
Unterthanen,	w7_d354e11254
und	w1_d354e11259
übrige	w3_d354e11262
Angehörige	w5_d354e11265
deren	w7_d354e11268
beeden	w9_d354e11271
Fürstl.	w11_d354e11274
Hochstifteren	w1_d354e11279
Bamberg	w3_d354e11282
und	w5_d354e11285
Würzburg	w7_d354e11288
mit	w9_d354e11291
Plünderung,	w1_d354e11297
Raub,	w3_d354e11300
und	w5_d354e11303
manchfaltiger	w7_d354e11306
an	w9_d354e11309
derer	w1_d354e11314
schweren	w3_d354e11317
Erpressung	w5_d354e11320
auf	w7_d354e11323
das	w9_d354e11326
äusserste	w11_d354e11329
vergewaltiget	w1_d354e11334
haben,	w3_d354e11337
endlichen	w5_d354e11340
auch	w7_d354e11343
noch	w9_d354e11346
die	w1_d354e11351
zu	w3_d354e11354
Bamberg	w5_d354e11357
hinterbliebene	w7_d354e11360
Stadthalter	w9_d354e11363
und	w1_d354e11369
Räthe,	w3_d354e11372
samt	w5_d354e11375
der	w7_d354e11378
dasigen	w9_d354e11381
sogenanten	w11_d354e11384
Ober=einnahm	w1_d354e11389
der	w3_d354e11392
Landschaft,	w5_d354e11395
wie	w7_d354e11398
auch	w9_d354e11401
in	w11_d354e11404
beeden	w1_d354e11409
Fürstl.	w3_d354e11412
Hochstiftern	w5_d354e11415
Bamberg	w7_d354e11418
und	w9_d354e11421
Würzburg,	w1_d354e11426
mehrfältige	w3_d354e11429
Stiftere	w5_d354e11432
und	w7_d354e11435
Klö	w9_d354e11438
stere,	w1_d354e11444
und	w3_d354e11447
überhaupt	w5_d354e11450
im	w7_d354e11453
Fränkischen	w9_d354e11456
Kreiß	w11_d354e11459
manchfaltige	w1_d354e11464
Privat=personen	w3_d354e11467
von	w5_d354e11470
Adel	w7_d354e11473
Burger	w1_d354e11478
und	w3_d354e11481
Bauern=stand	w5_d354e11484
auch	w7_d354e11487
Juden	w9_d354e11490
mit	w11_d354e11493
ungerechtem	w1_d354e11498
Gewalt	w3_d354e11501
gezwungen	w5_d354e11504
hätten,	w7_d354e11507
daß	w9_d354e11510
dieselbe	w1_d354e11516
samt	w3_d354e11519
auch	w5_d354e11522
sonders=Wechsel=briefe,	w7_d354e11525
und	w1_d354e11530
sonstige	w3_d354e11533
andere	w5_d354e11536
Verschreibungen	w7_d354e11539
auf	w9_d354e11542
verschiedene	w1_d354e11547
namhafte	w3_d354e11550
Summen	w5_d354e11553
hätten	w7_d354e11556
aus	w9_d354e11559
stellen	w1_d354e11564
müssen.	w3_d354e11567
Wann	w5_d354e11570
nun	w7_d354e11573
aber	w9_d354e11576
derley	w11_d354e11579
mit	w13_d354e11583
ungerechten	w1_d354e11589
Gewalt,	w3_d354e11592
und	w5_d354e11595
Land=friedbrüchi	w7_d354e11598
ger	w1_d354e11603
That	w3_d354e11606
abgedrungene	w5_d354e11609
Verschreibungen	w7_d354e11612
an	w9_d354e11615
</p>
<p id="p6_d354e11618">
und	w1_d354e11622
für	w3_d354e11625
sich	w5_d354e11628
null	w7_d354e11631
und	w9_d354e11634
nichtig,	w11_d354e11637
auch	w13_d354e11641
ungül	w15_d354e11644
tig	w1_d354e11649
und	w3_d354e11652
unkräftig	w5_d354e11655
seynd,	w7_d354e11658
und	w9_d354e11661
dannenhero	w11_d354e11664
ein	w1_d354e11669
jeder	w3_d354e11672
von	w5_d354e11675
selbsten	w7_d354e11678
sich	w9_d354e11681
zu	w11_d354e11684
hüten	w13_d354e11688
wissen	w15_d354e11691
wird,	w1_d354e11697
auf	w3_d354e11700
derley	w5_d354e11703
Verschreibungen	w7_d354e11706
etwas	w9_d354e11709
zu	w11_d354e11712
zahlen,	w1_d354e11717
zu	w3_d354e11720
leihen,	w5_d354e11723
oder	w7_d354e11726
sonsten	w9_d354e11729
in	w11_d354e11732
anderer	w13_d354e11736
Art	w1_d354e11741
diese	w3_d354e11744
als	w5_d354e11747
gültig	w7_d354e11750
anzunehmen;	w9_d354e11753
so	w11_d354e11756
ha	w13_d354e11760
ben	w1_d354e11765
Wir	w3_d354e11768
die	w5_d354e11771
Ungültig	w7_d354e11774
und	w9_d354e11777
Unkräftig	w11_d354e11780
auch	w13_d354e11784
null	w1_d354e11790
und	w3_d354e11793
Nichtigkeit	w5_d354e11796
dieser	w7_d354e11799
Verschreibungen,	w9_d354e11802
durch	w1_d354e11807
gegenwärtigen	w3_d354e11810
Unsern	w5_d354e11813
Kaiserl.	w7_d354e11816
offe	w9_d354e11819
nen	w1_d354e11824
Brief	w3_d354e11827
nicht	w5_d354e11830
allein	w7_d354e11833
verkünden,	w9_d354e11836
und	w11_d354e11839
zu	w13_d354e11843
jedermanns	w1_d354e11848
Wissen	w3_d354e11851
mit	w5_d354e11854
dem	w7_d354e11857
ausdrücklichen	w9_d354e11860
Anfügen	w1_d354e11866
bringen	w3_d354e11869
wollen,	w5_d354e11872
daß	w7_d354e11875
auf	w9_d354e11878
jetztbe	w11_d354e11881
sagte	w1_d354e11886
mit	w3_d354e11889
ungerechtem	w5_d354e11892
Gewalt	w7_d354e11895
abgezwun	w9_d354e11898
gene	w1_d354e11903
Verschreibungen	w3_d354e11906
zu	w5_d354e11909
keiner	w7_d354e11912
Zeit,	w9_d354e11915
unter	w11_d354e11918
was	w1_d354e11923
Angeben,	w3_d354e11926
Vorwand,	w5_d354e11929
oder	w7_d354e11932
Gestalt	w9_d354e11935
die	w11_d354e11938
ses	w1_d354e11944
immer	w3_d354e11947
seyn	w5_d354e11950
möge,	w7_d354e11953
einige	w9_d354e11956
Sprüch	w11_d354e11959
oder	w13_d354e11963
Forderung	w1_d354e11968
geschehen	w3_d354e11971
möge,	w5_d354e11974
noch	w7_d354e11977
solche	w9_d354e11980
bey	w11_d354e11983
Unseren	w1_d354e11988
und	w3_d354e11991
des	w5_d354e11994
Reichs	w7_d354e11997
Gerichten	w9_d354e12000
ange	w11_d354e12003
nommen,	w1_d354e12008
sondern	w3_d354e12011
alle	w5_d354e12014
diese	w7_d354e12017
Verschreibun	w9_d354e12020
gen	w1_d354e12026
als	w3_d354e12029
ab	w5_d354e12032
und	w7_d354e12035
todt,	w9_d354e12038
ohne	w11_d354e12041
aller	w13_d354e12045
Kraft	w15_d354e12048
und	w17_d354e12051
Würkung	w1_d354e12056
für	w3_d354e12059
jetzo	w5_d354e12062
seyn,	w7_d354e12065
und	w9_d354e12068
ewig	w11_d354e12071
also	w13_d354e12075
bleiben	w1_d354e12080
sollen;	w3_d354e12083
sondern	w5_d354e12086
Wir	w7_d354e12089
gebieten	w9_d354e12092
auch	w11_d354e12095
aus	w1_d354e12100
Kaiserl.	w3_d354e12103
Macht,	w5_d354e12106
und	w7_d354e12109
obristen	w9_d354e12112
Gewall,	w11_d354e12115
daß	w1_d354e12121
niemand,	w3_d354e12124
wes	w5_d354e12127
Standes	w7_d354e12130
und	w9_d354e12133
Würde	w11_d354e12136
der	w1_d354e12141
auch	w3_d354e12144
seye,	w5_d354e12147
und	w7_d354e12150
unter	w9_d354e12153
was	w11_d354e12156
Vorwand,	w13_d354e12160
und	w1_d354e12165
Angeben	w3_d354e12168
dieses	w5_d354e12171
immer	w7_d354e12174
beschehe,	w9_d354e12177
die	w11_d354e12180
solcher	w1_d354e12185
Gestalten	w3_d354e12188
von	w5_d354e12191
denen	w7_d354e12194
Fürstl.	w9_d354e12197
Bam	w11_d354e12200
bergischen	w1_d354e12206
Stellen,	w3_d354e12209
und	w5_d354e12212
Landschaft,	w7_d354e12215
dann	w9_d354e12218
diesen	w1_d354e12223
und	w3_d354e12226
denen	w5_d354e12229
Fürstl.	w7_d354e12232
Würzburgischen	w9_d354e12235
auch	w1_d354e12240
übrigen	w3_d354e12243
des	w5_d354e12246
Fränkischen	w7_d354e12249
Creyses	w9_d354e12252
Stü	w11_d354e12255
tern,	w1_d354e12260
Klöstern,	w3_d354e12263
Städten,	w5_d354e12266
Dörfern,	w7_d354e12269
deren	w9_d354e12272
Jnwohnern,	w1_d354e12278
Unterthanen,	w3_d354e12281
und	w5_d354e12284
Angesesse	w7_d354e12287
nen,	w1_d354e12292
Christen	w3_d354e12295
und	w5_d354e12298
Juden,	w7_d354e12301
abgedrungene	w9_d354e12304
Wechsel=briefe	w1_d354e12309
oder	w3_d354e12312
andere	w5_d354e12315
Verschreibungen	w7_d354e12318
als	w1_d354e12323
gültig	w3_d354e12326
annehmen,	w5_d354e12329
auf	w7_d354e12332
diese	w9_d354e12335
etwas	w11_d354e12338
bezah	w13_d354e12342
len,	w1_d354e12348
leihen,	w3_d354e12351
oder	w5_d354e12354
sonsten	w7_d354e12357
in	w9_d354e12360
andere	w11_d354e12363
Art	w13_d354e12367
ver	w15_d354e12370
schaffen,	w1_d354e12375
und	w3_d354e12378
darmit	w5_d354e12381
denen	w7_d354e12384
in	w9_d354e12387
der	w11_d354e12390
Empo	w13_d354e12394
rung	w1_d354e12399
befangenen	w3_d354e12402
eine	w5_d354e12405
Beyhülf	w7_d354e12408
und	w9_d354e12411
Begun	w11_d354e12414
stigung	w1_d354e12419
leisten	w3_d354e12422
solle,	w5_d354e12425
alles	w7_d354e12428
unter	w9_d354e12431
denen	w11_d354e12434
in	w13_d354e12438
Unseren	w1_d354e12444
Kaiserl.	w3_d354e12447
diesfälligen	w5_d354e12450
Verbottbrie	w7_d354e12453
fen	w1_d354e12458
allschon	w3_d354e12461
einverleibten	w5_d354e12464
Straffen,	w7_d354e12467
und	w9_d354e12470
Po	w11_d354e12473
nen,	w1_d354e12478
und	w3_d354e12481
insonderheit	w5_d354e12484
unter	w7_d354e12487
der	w9_d354e12490
Straf	w11_d354e12493
nicht	w13_d354e12497
allein	w1_d354e12502
</p>
<p id="p10_d354e12507">
allein	w1_d354e12511
der	w3_d354e12514
Verlustigung	w5_d354e12517
des	w7_d354e12520
ausgezahlten,	w9_d354e12523
oder	w1_d354e12528
vorgeliehenen	w3_d354e12531
Gelds,	w5_d354e12534
oder	w7_d354e12537
sonsten	w9_d354e12540
sich	w11_d354e12543
bedungenen	w1_d354e12548
Nutzens,	w3_d354e12551
Rechts,	w5_d354e12554
oder	w7_d354e12557
Vor	w9_d354e12560
theils,	w1_d354e12566
sondern	w3_d354e12569
auch	w5_d354e12572
unter	w7_d354e12575
der	w9_d354e12578
weiteren	w11_d354e12581
Straf	w1_d354e12586
des	w3_d354e12589
doppelten	w5_d354e12592
Ersatzes	w7_d354e12595
dessen,	w9_d354e12598
und	w11_d354e12601
zwar	w1_d354e12606
nicht	w3_d354e12609
zu	w5_d354e12612
Unserer	w7_d354e12615
Kaiserl.	w9_d354e12618
Cammer,	w11_d354e12621
wohin	w1_d354e12626
sonsten	w3_d354e12629
der	w5_d354e12632
Gebühr	w7_d354e12635
nach,	w9_d354e12638
die	w11_d354e12641
Straf	w13_d354e12645
gefälle	w1_d354e12651
geeignet	w3_d354e12654
seynd,	w5_d354e12657
sondern	w7_d354e12660
zum	w9_d354e12663
Vor	w11_d354e12666
theil	w1_d354e12671
deren	w3_d354e12674
bedrangten	w5_d354e12677
Fürstl.	w7_d354e12680
Bambergi	w9_d354e12683
schen	w1_d354e12688
Landen.	w3_d354e12691
</p>
<p id="p12_d354e12695">
Nachdem	w1_d354e12699
auch	w3_d354e12702
ferner,	w5_d354e12705
wie	w7_d354e12708
Wir	w9_d354e12711
betrüb	w11_d354e12714
lich	w1_d354e12719
vernehmen	w3_d354e12722
müssen,	w5_d354e12725
die	w7_d354e12728
Wut	w9_d354e12731
der	w11_d354e12734
Em	w13_d354e12738
pörung	w1_d354e12743
dahin	w3_d354e12746
gestiegen	w5_d354e12749
ist,	w7_d354e12752
daß	w9_d354e12755
mehrerer	w11_d354e12758
Orten	w1_d354e12764
gewaltsame	w3_d354e12767
Plünderungen	w5_d354e12770
vorgenom	w7_d354e12773
men	w1_d354e12778
worden,	w3_d354e12781
und	w5_d354e12784
damit	w7_d354e12787
mehrfältige	w9_d354e12790
Ca	w11_d354e12793
pital=briefe,	w1_d354e12798
und	w3_d354e12801
andere	w5_d354e12804
sonsten	w7_d354e12807
an	w9_d354e12810
sich	w11_d354e12813
gültige	w1_d354e12818
Verschreibungen	w3_d354e12821
in	w5_d354e12824
ungerechten	w7_d354e12827
Ge	w9_d354e12830
walt	w1_d354e12836
verfallen	w3_d354e12839
seynd,	w5_d354e12842
somit	w7_d354e12845
auch	w9_d354e12848
diesert	w11_d354e12851
halben	w1_d354e12856
Vorsehung	w3_d354e12859
zu	w5_d354e12862
machen,	w7_d354e12865
Unser	w9_d354e12868
Kai	w11_d354e12871
serl.	w1_d354e12876
Amt	w3_d354e12879
erheuschet;	w5_d354e12882
so	w7_d354e12885
machen	w9_d354e12888
Wir	w11_d354e12891
anmit	w13_d354e12895
weiter	w1_d354e12900
allermänniglich	w3_d354e12903
kund,	w5_d354e12906
und	w7_d354e12909
gebieten	w9_d354e12912
anbey	w1_d354e12918
aus	w3_d354e12921
Kaiserl.	w5_d354e12924
Macht,	w7_d354e12927
daß	w9_d354e12930
alle	w11_d354e12933
Wech	w13_d354e12937
sel,	w1_d354e12942
und	w3_d354e12945
sonstige	w5_d354e12948
Verschreibungen,	w7_d354e12951
welche	w9_d354e12954
an	w1_d354e12959
Jnwohnere,	w3_d354e12962
und	w5_d354e12965
Angehörige	w7_d354e12968
des	w9_d354e12971
Fräu	w11_d354e12974
rischen	w1_d354e12979
Kreises	w3_d354e12982
ausgestellet	w5_d354e12985
seynd,	w7_d354e12988
nicht	w9_d354e12991
an	w11_d354e12994
ders,	w1_d354e13000
als	w3_d354e13003
zu	w5_d354e13006
deren	w7_d354e13009
eigenen	w9_d354e13012
Handen,	w11_d354e13015
oder	w13_d354e13019
mit	w1_d354e13024
deren	w3_d354e13027
neuerlichen	w5_d354e13030
ausdrucklichen	w7_d354e13033
Vor	w9_d354e13036
wissen,	w1_d354e13041
und	w3_d354e13044
schriftlich	w5_d354e13047
darüber	w7_d354e13050
ertheilten	w9_d354e13053
Be	w11_d354e13056
scheinigung	w1_d354e13061
bezahlet,	w3_d354e13064
auch	w5_d354e13067
ein	w7_d354e13070
und	w9_d354e13073
abgelö	w11_d354e13076
set	w1_d354e13082
werden	w3_d354e13085
mögen,	w5_d354e13088
und	w7_d354e13091
dieses	w9_d354e13094
zwar	w11_d354e13097
unter	w13_d354e13101
der	w1_d354e13106
Gewärtigung,	w3_d354e13109
daß	w5_d354e13112
ansonsten	w7_d354e13115
der	w9_d354e13118
an	w11_d354e13121
derweit	w1_d354e13126
angeblich	w3_d354e13129
oder	w5_d354e13132
auch	w7_d354e13135
wahrhaft	w9_d354e13138
be	w11_d354e13141
schehenen	w1_d354e13146
Zahlung,	w3_d354e13149
und	w5_d354e13152
Ablösung	w7_d354e13155
unerach	w9_d354e13158
let,	w1_d354e13164
die	w3_d354e13167
Schuld,	w5_d354e13170
oder	w7_d354e13173
Verbindlichkeit	w9_d354e13176
ver	w11_d354e13179
bleiben,	w1_d354e13184
und	w3_d354e13187
zu	w5_d354e13190
deren	w7_d354e13193
Abführung	w9_d354e13196
und	w11_d354e13199
Ent	w13_d354e13203
leolgung	w1_d354e13208
an	w3_d354e13211
die	w5_d354e13214
wahre	w7_d354e13217
Glaubigere	w9_d354e13220
der	w11_d354e13223
Schuldner	w1_d354e13228
nochmalen	w3_d354e13231
angehalten,	w5_d354e13234
auch	w7_d354e13237
da	w9_d354e13240
rob	w1_d354e13246
in	w3_d354e13249
allen	w5_d354e13252
und	w7_d354e13255
jeden	w9_d354e13258
Unseren,	w11_d354e13261
und	w13_d354e13265
des	w15_d354e13268
Hell.	w1_d354e13273
Röm.	w3_d354e13276
Reichs	w5_d354e13279
Gerichten	w7_d354e13282
gesprochen	w9_d354e13285
werden	w1_d354e13290
solle.	w3_d354e13293
</p>
<p id="p14_d354e13296">
Wornach	w1_d354e13300
sich	w3_d354e13303
also	w5_d354e13306
jedermänniglich	w7_d354e13309
zu	w9_d354e13312
achten,	w1_d354e13317
und	w3_d354e13320
für	w5_d354e13323
Schaden	w7_d354e13326
zu	w9_d354e13329
hüten	w11_d354e13332
hat,	w13_d354e13336
</p>
<p id="p16_d354e13339">
auch	w1_d354e13343
solle	w3_d354e13346
denen	w5_d354e13349
beglaubten	w7_d354e13352
Abschriften	w9_d354e13355
die	w11_d354e13358
ses	w1_d354e13363
Unsers	w3_d354e13366
Kaiserl.	w5_d354e13369
offentlichen	w7_d354e13372
Gebot	w9_d354e13375
briefs	w1_d354e13380
der	w3_d354e13383
nämliche	w5_d354e13386
Glauben,	w7_d354e13389
als	w9_d354e13392
dem	w11_d354e13395
Ori	w13_d354e13399
ginal	w1_d354e13405
selbsten	w3_d354e13408
beygeleget,	w5_d354e13411
und	w7_d354e13414
solches	w9_d354e13417
allent	w11_d354e13420
halben	w1_d354e13425
kund	w3_d354e13428
gemacht	w5_d354e13431
werden.	w7_d354e13434
Gegeben	w9_d354e13437
zu	w11_d354e13440
Wien	w1_d354e13445
ut	w3_d354e13448
supra.	w5_d354e13451
</p>
<head id="h2_d354e13457">
Lista	w1_d354e13461
deren	w3_d354e13464
Verstorbenen	w5_d354e13467
zu	w7_d354e13470
Wien	w9_d354e13473
in	w1_d354e13478
und	w3_d354e13481
vor	w5_d354e13484
der	w7_d354e13487
Stadt.	w9_d354e13490
Den	w1_d354e13495
31.	w3_d354e13498
May.	w5_d354e13501
Jn	w1_d354e13507
der	w3_d354e13510
Stadt.	w5_d354e13513
</head>
<list id="l4_d354e13516">
Der	w1_d354e13520
Wol=edel=geb.	w3_d354e13523
Hr.	w5_d354e13526
Jos.	w7_d354e13529
von	w9_d354e13532
Riga,	w11_d354e13535
gew.	w13_d354e13539
Fürst	w15_d354e13542
Oettingis.	w1_d354e13547
Hof=raht,	w3_d354e13550
im	w5_d354e13553
Deimis.	w7_d354e13556
H.	w9_d354e13559
bey	w11_d354e13562
der	w13_d354e13566
H.	w15_d354e13569
Dreyfaltigk.,	w1_d354e13574
alt	w3_d354e13577
73.	w5_d354e13580
J.	w7_d354e13583
Dem	w1_d354e13589
Wol=edlen	w3_d354e13592
Hrn.	w5_d354e13595
Ferd.	w7_d354e13598
Buchting,	w9_d354e13601
N.	w11_d354e13604
Oe.	w13_d354e13608
Reg.	w15_d354e13611
Pupillar=raitung=revis.,	w1_d354e13616
s.	w3_d354e13619
Jungf.	w5_d354e13622
T.	w7_d354e13625
Francisca,	w9_d354e13628
im	w1_d354e13633
Gridlinis.	w3_d354e13636
H.	w5_d354e13639
am	w7_d354e13642
Grab.,	w9_d354e13645
alt	w11_d354e13648
16.	w13_d354e13652
J.	w15_d354e13655
Fr.	w1_d354e13660
Theres.	w3_d354e13663
Sorgin,	w5_d354e13666
Wittwe,	w7_d354e13669
im	w9_d354e13672
Handschuhma	w11_d354e13675
cheris.	w1_d354e13681
H.	w3_d354e13684
am	w5_d354e13687
Salz=gr.,	w7_d354e13690
alt	w9_d354e13693
57.	w11_d354e13696
J.	w13_d354e13700
Dem	w1_d354e13705
Hrn.	w3_d354e13708
Joh.	w5_d354e13711
Siccard,	w7_d354e13714
K.	w9_d354e13717
K.	w11_d354e13720
Kammer=trab.,	w13_d354e13724
s.	w15_d354e13727
K.	w1_d354e13732
Maria	w3_d354e13735
Anna,	w5_d354e13738
im	w7_d354e13741
Maurerisch.	w9_d354e13744
H.	w11_d354e13747
am	w13_d354e13751
neuen	w15_d354e13754
Markt,	w1_d354e13759
alt	w3_d354e13762
5.	w5_d354e13765
J.	w7_d354e13768
Dem	w1_d354e13774
Jos.	w3_d354e13777
Paßi,	w5_d354e13780
gew.	w7_d354e13783
Koch,	w9_d354e13786
s.	w11_d354e13789
W.	w13_d354e13793
Barb.,	w15_d354e13796
im	w17_d354e13799
gros.	w19_d354e13802
Federl=hof,	w1_d354e13807
alt	w3_d354e13810
51.	w5_d354e13813
J.	w7_d354e13816
</list>
<head id="h2_d354e13823">
Vor	w1_d354e13827
der	w3_d354e13830
Stadt.	w5_d354e13833
</head>
<list id="l4_d354e13836">
Dem	w1_d354e13840
Hrn.	w3_d354e13843
Math.	w5_d354e13846
Bitzlmayr,	w7_d354e13849
gem.	w9_d354e13852
Stadt	w11_d354e13855
Burgerl.	w13_d354e13859
Maut	w1_d354e13864
