<doc id="wr_1760-01-19" attrs="word" year="1760" month="01" day="19" corpus="2">
<head id="h2_d416e2465">
Friedberg	w1_d416e2469
geborne	w3_d416e9752
Gräfin	w5_d416e9755
von	w7_d416e9758
Liedekerke,	w9_d416e9761
welche	w1_d416e9767
1759.	w3_d416e9770
zu	w5_d416e9773
Mastricht	w7_d416e9776
verstorben,	w9_d416e9779
in	w11_d416e9782
der	w1_d416e9787
grossen	w3_d416e9790
Hof=kapellen	w5_d416e9793
die	w7_d416e9796
Exequien	w9_d416e9799
ge	w11_d416e9802
halten	w1_d416e9807
worden.	w3_d416e9810
</p>
<p id="p8_d416e9813">
Donnerstag	w1_d416e9817
den	w3_d416e9820
17.	w5_d416e9823
Januarii,	w7_d416e9826
Nach	w9_d416e9829
mittag	w1_d416e9834
gegen	w3_d416e9837
1.	w5_d416e9840
Uhr	w7_d416e9843
haben	w9_d416e9846
Allerhöchste	w11_d416e9849
Herrschaften	w1_d416e9854
mit	w3_d416e9857
einer	w5_d416e9860
offentlichen	w7_d416e9863
Schlit	w9_d416e9866
ten=fahrt	w1_d416e9872
durch	w3_d416e9875
die	w5_d416e9878
vornehmste	w7_d416e9881
Gässen,	w9_d416e9884
und	w11_d416e9887
Plätze	w1_d416e9892
dieser	w3_d416e9895
Stadt	w5_d416e9898
sich	w7_d416e9901
belustiget,	w9_d416e9904
und	w11_d416e9907
zwar	w1_d416e9912
in	w3_d416e9915
folgender	w5_d416e9918
Ordnung:	w7_d416e9921
</p>
<list id="l10_d416e9924">
Erstlich	w1_d416e9928
ritten	w3_d416e9931
4.	w5_d416e9934
Kaiserl.	w7_d416e9937
Einspanier.	w9_d416e9940
Ein	w1_d416e9945
Kaiserl.	w3_d416e9948
Officier.	w5_d416e9951
Eine	w1_d416e9956
Trup	w3_d416e9959
Stangen=reiter	w5_d416e9962
zu	w7_d416e9965
2.	w9_d416e9968
und	w11_d416e9971
2.	w13_d416e9975
30.	w1_d416e9981
Kaiserl.	w3_d416e9984
Reit=knechte	w5_d416e9987
zu	w7_d416e9990
2.	w9_d416e9993
und	w11_d416e9996
2.	w13_d416e10000
Ein	w1_d416e10005
Kaiserl.	w3_d416e10008
Officier.	w5_d416e10011
Eine	w1_d416e10016
mit	w3_d416e10019
6.	w5_d416e10022
Pferden	w7_d416e10025
bespannte	w9_d416e10028
Schlit	w11_d416e10031
ten=wurst	w1_d416e10036
mit	w3_d416e10039
8.	w5_d416e10042
Kaiserl.	w7_d416e10045
Trompetern,	w9_d416e10048
und	w11_d416e10051
1.	w1_d416e10057
Paucker.	w3_d416e10060
Zwey	w1_d416e10065
Kaiserl.	w3_d416e10068
Futter=knechte.	w5_d416e10071
</list>
<head id="h2_d416e10078">
Die	w1_d416e10082
übrigen	w3_d416e10085
Kaiserl.	w5_d416e10088
Officiers.	w7_d416e10091
</head>
<list id="l4_d416e10094">
Sodann	w1_d416e10098
folgten	w3_d416e10101
32.	w5_d416e10104
Schlitten,	w7_d416e10107
nämlich:	w9_d416e10110
(Titl.)	w1_d416e10115
Herr	w3_d416e10118
Heinrich	w5_d416e10121
Joseph	w7_d416e10124
Fürst	w9_d416e10127
von	w11_d416e10130
Auersperg,	w1_d416e10135
Kaiserl.	w3_d416e10138
Obrist=stall=meister,	w5_d416e10141
mit	w1_d416e10147
einem	w3_d416e10150
leeren	w5_d416e10153
Schlitten.	w7_d416e10156
2.	w1_d416e10161
Kaiserl.	w3_d416e10164
Sattelknechte	w5_d416e10167
zu	w7_d416e10170
Pferde.	w9_d416e10173
1.)	w1_d416e10178
Se.	w3_d416e10181
Römisch=Kaiserl.	w5_d416e10184
Majestät,	w7_d416e10187
füh	w9_d416e10190
</list>
<list id="l6_d416e10194">
ste	w1_d416e10198
Erz=herzog	w3_d416e10201
Joseph,	w5_d416e10204
führend	w7_d416e10207
Jhre	w9_d416e10210
Königl.	w1_d416e10215
Hoheit	w3_d416e10218
die	w5_d416e10221
Durchleuchtigste	w7_d416e10224
Erz	w9_d416e10227
herzogin	w1_d416e10232
Maria	w3_d416e10235
Anna.	w5_d416e10238
</list>
<list id="l8_d416e10242">
rend	w1_d416e10246
Jhro	w3_d416e10249
Kaiserl.	w5_d416e10252
Königl.	w7_d416e10255
Majestät	w9_d416e10258
unsere	w1_d416e10263
allergnädigste	w3_d416e10266
Landes=fürstin	w5_d416e10269
und	w7_d416e10272
Frau.	w1_d416e10277
2.	w1_d416e10283
Kaiserl.	w3_d416e10286
Edel=knaben.	w5_d416e10289
2.)	w1_d416e10294
Se.	w3_d416e10297
Königl.	w5_d416e10300
Hoheit	w7_d416e10303
der	w9_d416e10306
Durchleuchtig	w11_d416e10309
3.	w1_d416e10314
Kaiserl.	w3_d416e10317
Edel=knaben.	w5_d416e10320
</list>
<list id="l14_d416e10335">
3.)	w1_d416e10339
Prinz	w3_d416e10342
Albert	w5_d416e10345
von	w7_d416e10348
Sachsen,	w9_d416e10351
Hoheit,	w11_d416e10354
füh	w13_d416e10358
rend	w1_d416e10363
Jhre	w3_d416e10366
Königl.	w5_d416e10369
Hoheit	w7_d416e10372
die	w9_d416e10375
Durchleuch	w11_d416e10378
tigste	w1_d416e10383
Erz=herzogin	w3_d416e10386
Maria	w5_d416e10389
Christina.	w7_d416e10392
1.	w1_d416e10398
Kaiserl.	w3_d416e10401
Edel=knab.	w5_d416e10404
</list>
<list id="l16_d416e10408">
10.)	w1_d416e10412
(Titl.)	w3_d416e10415
Herr	w5_d416e10418
Graf	w7_d416e10421
Palfy,	w9_d416e10424
Hunga	w11_d416e10427
rischer	w1_d416e10432
Canzler,	w3_d416e10435
führend	w5_d416e10438
die	w7_d416e10441
(Titl.)	w9_d416e10444
Grä	w11_d416e10447
fin	w1_d416e10452
Pacheco.	w3_d416e10455
11.)	w1_d416e10461
(Titl.)	w3_d416e10464
Herr	w5_d416e10467
Graf	w7_d416e10470
Logi,	w9_d416e10473
führend	w11_d416e10476
die	w13_d416e10480
Schirnding.	w1_d416e10485
12.)	w1_d416e10490
(Titl.)	w3_d416e10493
Herr	w5_d416e10496
Graf	w7_d416e10499
Bethlem,	w9_d416e10502
Sieben	w11_d416e10505
bürgischer	w1_d416e10510
Canzler,	w3_d416e10513
führend	w5_d416e10516
die	w7_d416e10519
(Titl.,	w9_d416e10522
Gräfin	w1_d416e10528
Niclas	w3_d416e10531
Esterhazy.	w5_d416e10534
13.)	w1_d416e10539
(Titl.)	w3_d416e10542
Herr	w5_d416e10545
Graf	w7_d416e10548
St.	w9_d416e10551
Julien,	w11_d416e10554
füh	w13_d416e10558
rend	w1_d416e10563
die	w3_d416e10566
(Titl.)	w5_d416e10569
K.	w7_d416e10572
K.	w9_d416e10575
Hof=dam	w11_d416e10578
Fräule	w13_d416e10582
Gräfin	w1_d416e10587
Jnzaghi.	w3_d416e10590
14.)	w1_d416e10596
(Titl.)	w3_d416e10599
Herr	w5_d416e10602
Graf	w7_d416e10605
Clari,	w9_d416e10608
Obristjäger	w11_d416e10611
meister,	w1_d416e10616
führend	w3_d416e10619
die	w5_d416e10622
(Tul.)	w7_d416e10625
Frau	w9_d416e10628
Ge	w11_d416e10631
mahlin.	w1_d416e10636
15.)	w1_d416e10641
(Titl.)	w3_d416e10644
Herr	w5_d416e10647
Graf	w7_d416e10650
Gundacker	w9_d416e10653
Stah	w11_d416e10656
remberg,	w1_d416e10662
führend	w3_d416e10665
die	w5_d416e10668
(Titl.)	w7_d416e10671
K.	w9_d416e10674
K.	w11_d416e10677
Hof=dam	w1_d416e10682
Fräule	w3_d416e10685
Gräfin	w5_d416e10688
Rosenberg.	w7_d416e10691
16.)	w1_d416e10696
(Titl.)	w3_d416e10699
Herr	w5_d416e10702
Fürst	w7_d416e10705
Franz	w9_d416e10708
von	w11_d416e10711
Lich	w13_d416e10715
</list>
<list id="l18_d416e10719">
tigste	w1_d416e10723
Erz=herzogin	w3_d416e10726
Elisabetha.	w5_d416e10729
1.	w1_d416e10734
Kaiserl.	w3_d416e10737
Edel=knab.	w5_d416e10740
5.)	w1_d416e10745
(Titl.)	w3_d416e10748
Herr	w5_d416e10751
Fürst	w7_d416e10754
Schwarzenberg,	w9_d416e10757
K.	w1_d416e10763
K.	w3_d416e10766
Obrist	w5_d416e10769
Hof=marschall,	w7_d416e10772
führend	w9_d416e10775
die	w1_d416e10780
(Titl.)	w3_d416e10783
Frau	w5_d416e10786
Fürstin	w7_d416e10789
von	w9_d416e10792
Auersperg,	w11_d416e10795
6.)	w1_d416e10800
(Titl.)	w3_d416e10803
Herr	w5_d416e10806
Fürst	w7_d416e10809
von	w9_d416e10812
Trautson,	w11_d416e10815
Jhro	w1_d416e10820
Majestät	w3_d416e10823
der	w5_d416e10826
Kaiserin	w7_d416e10829
Obristhof	w9_d416e10832
meister,	w1_d416e10838
führend	w3_d416e10841
die	w5_d416e10844
(Titl.)	w7_d416e10847
Frau	w9_d416e10850
Für	w11_d416e10853
stin	w1_d416e10858
von	w3_d416e10861
Kinsky.	w5_d416e10864
7.)	w1_d416e10869
(Titl.)	w3_d416e10872
Herr	w5_d416e10875
Fürst	w7_d416e10878
Sulkovsky,	w9_d416e10881
füh	w11_d416e10884
rend	w1_d416e10889
die	w3_d416e10892
(Titl.)	w5_d416e10895
K.	w7_d416e10898
K.	w9_d416e10901
Cammer=fräule	w11_d416e10904
Gräfin	w1_d416e10910
Goes.	w3_d416e10913
8.)	w1_d416e10918
(Titl)	w3_d416e10921
Herr	w5_d416e10924
Graf	w7_d416e10927
Khevenhüller,	w9_d416e10930
Kai	w11_d416e10933
serl.	w1_d416e10938
Königl.	w3_d416e10941
Obrist=cammerer,	w5_d416e10944
führend	w7_d416e10947
die	w1_d416e10952
(Titl.)	w3_d416e10955
Frau	w5_d416e10958
Gräfin	w7_d416e10961
von	w9_d416e10964
Korzensky.	w11_d416e10967
9.)	w1_d416e10973
(Titl.)	w3_d416e10976
Herr	w5_d416e10979
Rudolph	w7_d416e10982
Graf	w9_d416e10985
Choteck	w11_d416e10988
führend	w1_d416e10993
die	w3_d416e10996
(Titl.)	w5_d416e10999
K.	w7_d416e11002
K.	w9_d416e11005
Cammer=fräule	w11_d416e11008
Gräfin	w1_d416e11013
Perthold.	w3_d416e11016
(Titl.)	w1_d416e11021
K.	w3_d416e11024
K.	w5_d416e11027
Cammer=fräule	w7_d416e11030
Freyn	w9_d416e11033
</list>
<head id="h2_d416e11040">
4.)	w1_d416e11044
Prinz	w3_d416e11047
Clement	w5_d416e11050
von	w7_d416e11053
Sachsen,	w9_d416e11056
Hoheit,	w11_d416e11059
füh	w13_d416e11063
rend	w1_d416e11068
Jhre	w3_d416e11071
Königl.	w5_d416e11074
Hoheit	w7_d416e11077
die	w9_d416e11080
Durchleuch	w11_d416e11083
</head>
<list id="l4_d416e11086">
tenstein,	w1_d416e11090
führend	w3_d416e11093
die	w5_d416e11096
(Titl.)	w7_d416e11099
Gräfin	w9_d416e11102
Durazo.	w1_d416e11107
17.)	w1_d416e11112
(Titl.)	w3_d416e11115
Herr	w5_d416e11118
Fürst	w7_d416e11121
Auersperg,	w9_d416e11124
füh	w11_d416e11127
rend	w1_d416e11133
die	w3_d416e11136
(Titl.)	w5_d416e11139
K.	w7_d416e11142
K.	w9_d416e11145
Hof=dam	w11_d416e11148
Fräule	w13_d416e11152
Gräfin	w1_d416e11157
Kinsky.	w3_d416e11160
18.)	w1_d416e11165
(Titl.)	w3_d416e11168
Herr	w5_d416e11171
Graf	w7_d416e11174
Anton	w9_d416e11177
Salm,	w11_d416e11180
füh	w13_d416e11184
rend	w1_d416e11189
die	w3_d416e11192
(Titl.)	w5_d416e11195
Gräfin	w7_d416e11198
Joseph	w9_d416e11201
Ester	w11_d416e11204
hazin.	w1_d416e11210
19.)	w1_d416e11215
(Titl)	w3_d416e11218
Herr	w5_d416e11221
Graf	w7_d416e11224
Schönborn,	w9_d416e11227
füh	w11_d416e11230
rend	w1_d416e11235
die	w3_d416e11238
(Titl.)	w5_d416e11241
K.	w7_d416e11244
K.	w9_d416e11247
Hof	w11_d416e11250
dam	w13_d416e11254
Fräule	w15_d416e11257
Gräfin	w1_d416e11262
Khevenhüllerin.	w3_d416e11265
20.)	w1_d416e11271
(Titl)	w3_d416e11274
Herr	w5_d416e11277
Graf	w7_d416e11280
von	w9_d416e11283
Würben,	w11_d416e11286
füh	w13_d416e11290
rend	w1_d416e11295
die	w3_d416e11298
(Titl.)	w5_d416e11301
Gräfin	w7_d416e11304
von	w9_d416e11307
Windisch	w11_d416e11310
gratz.	w1_d416e11315
21.)	w1_d416e11320
(Titl.)	w3_d416e11323
Herr	w5_d416e11326
Graf	w7_d416e11329
Gundacker	w9_d416e11332
Collo	w11_d416e11335
redo,	w1_d416e11341
führend	w3_d416e11344
die	w5_d416e11347
(Titl.)	w7_d416e11350
K.	w9_d416e11353
K.	w11_d416e11356
Hof	w13_d416e11360
dam	w1_d416e11365
Fräule	w3_d416e11368
Gräfin	w5_d416e11371
von	w7_d416e11374
Wallis.	w9_d416e11377
22.)	w1_d416e11382
(Titl.)	w3_d416e11385
Herr	w5_d416e11388
Graf	w7_d416e11391
Joseph	w9_d416e11394
Windisch	w11_d416e11397
gratz,	w1_d416e11402
führend	w3_d416e11405
die	w5_d416e11408
(Titl.)	w7_d416e11411
Gräfin	w9_d416e11414
von	w11_d416e11417
Wallenstein.	w1_d416e11423
23.)	w1_d416e11428
(Titl.)	w3_d416e11431
Herr	w5_d416e11434
Graf	w7_d416e11437
Carl	w9_d416e11440
Dietrichstein,	w11_d416e11443
führend	w1_d416e11448
die	w3_d416e11451
(Titl.)	w5_d416e11454
K.	w7_d416e11457
K.	w9_d416e11460
Hof=dam	w11_d416e11463
Fräule	w13_d416e11467
Gräfin	w1_d416e11472
von	w3_d416e11475
Thun.	w5_d416e11478
24.)	w1_d416e11484
(Titl.)	w3_d416e11487
Herr	w5_d416e11490
Graf	w7_d416e11493
Theodor	w9_d416e11496
Bathi	w11_d416e11499
any,	w1_d416e11504
führend	w3_d416e11507
die	w5_d416e11510
(Titl)	w7_d416e11513
K.	w9_d416e11516
K.	w11_d416e11519
Hof=dam	w13_d416e11523
Fräule	w1_d416e11528
Gräfin	w3_d416e11531
von	w5_d416e11534
Colloredo.	w7_d416e11537
25.)	w1_d416e11542
(Titl.)	w3_d416e11545
Herr	w5_d416e11548
Graf	w7_d416e11551
Joseph	w9_d416e11554
Kinsky,	w11_d416e11557
füh	w13_d416e11561
rend	w1_d416e11567
die	w3_d416e11570
(Titl.)	w5_d416e11573
K.	w7_d416e11576
K.	w9_d416e11579
Hof=dam	w11_d416e11582
Fräule	w13_d416e11586
Gräfin	w1_d416e11591
Tarrocca.	w3_d416e11594
26.)	w1_d416e11599
(Titl.)	w3_d416e11602
Herr	w5_d416e11605
Graf	w7_d416e11608
Thürheim,	w9_d416e11611
führend	w11_d416e11614
die	w1_d416e11619
(Titl.)	w3_d416e11622
K.	w5_d416e11625
K.	w7_d416e11628
Hof=dam	w9_d416e11631
Fräule	w11_d416e11634
Freyin	w13_d416e11638
Reischach.	w1_d416e11644
27.)	w1_d416e11649
(Titl.)	w3_d416e11652
Herr	w5_d416e11655
Graf	w7_d416e11658
Marzin,	w9_d416e11661
führend	w11_d416e11664
die	w1_d416e11669
(Titl.)	w3_d416e11672
K.	w5_d416e11675
K.	w7_d416e11678
Hof=dam	w9_d416e11681
Fräule	w11_d416e11684
Gräfin	w13_d416e11688
Ogilvi.	w1_d416e11693
28.)	w1_d416e11699
(Titl.)	w3_d416e11702
Herr	w5_d416e11705
Graf	w7_d416e11708
Carl	w9_d416e11711
Palfy,	w11_d416e11714
füh	w13_d416e11718
rend	w1_d416e11723
des	w3_d416e11726
Kaiserl.	w5_d416e11729
Obrist=hof=meisters	w7_d416e11732
(Titl.)	w1_d416e11737
Fräule	w3_d416e11740
Tochter	w5_d416e11743
Gräfin	w7_d416e11746
von	w9_d416e11749
Ull	w11_d416e11752
feld.	w1_d416e11757
29.)	w1_d416e11763
(Titl.)	w3_d416e11766
Herr	w5_d416e11769
Graf	w7_d416e11772
Franz	w9_d416e11775
Colloreds,	w11_d416e11778
mit	w1_d416e11783
einer	w3_d416e11786
leeren	w5_d416e11789
Schlitten.	w7_d416e11792
30.)	w1_d416e11797
Eine	w3_d416e11800
Kaiserl.	w5_d416e11803
Referve=schlitten.	w7_d416e11806
</list>
<list id="l10_d416e11820">
31.)	w1_d416e11824
(Titl.)	w3_d416e11827
Frau	w5_d416e11830
Fürstin	w7_d416e11833
von	w9_d416e11836
Trautson,	w11_d416e11839
(Titl.)	w1_d416e11844
Frau	w3_d416e11847
Gräfin	w5_d416e11850
von	w7_d416e11853
Wasquetz,	w9_d416e11856
und	w11_d416e11859
Erdödi	w1_d416e11864
samt	w3_d416e11867
der	w5_d416e11870
Fräule	w7_d416e11873
Hof=meisterin	w9_d416e11876
Grä	w11_d416e11879
fin	w1_d416e11885
Kevenhüller,	w3_d416e11888
anstatt	w5_d416e11891
der	w7_d416e11894
(Titl.)	w9_d416e11897
Obrist	w11_d416e11900
hof=meisterin	w1_d416e11905
in	w3_d416e11908
einem	w5_d416e11911
mit	w7_d416e11914
6.	w9_d416e11917
Pferden	w11_d416e11920
be	w13_d416e11924
spannten	w1_d416e11929
Wagen=schlitten.	w3_d416e11932
</list>
<p id="p12_d416e11937">
Den	w1_d416e11941
Beschluß	w3_d416e11944
machte	w5_d416e11947
abermal	w7_d416e11950
eine	w9_d416e11953
Trup	w11_d416e11956
Stangen=reiter	w1_d416e11961
zu	w3_d416e11964
2.	w5_d416e11967
und	w7_d416e11970
2.	w9_d416e11973
</p>
<head id="h2_d416e11979">
Lista	w1_d416e11983
deren	w3_d416e11986
Verstorbenen	w5_d416e11989
zu	w7_d416e11992
Wien	w9_d416e11995
in	w1_d416e12000
und	w3_d416e12003
vor	w5_d416e12006
der	w7_d416e12009
Stadt.	w9_d416e12012
Den	w1_d416e12017
16	w3_d416e12020
Januarii.	w5_d416e12023
Jn	w1_d416e12029
der	w3_d416e12032
Stadt.	w5_d416e12035
</head>
<list id="l4_d416e12038">
Der	w1_d416e12042
Hoch=wol=geb.	w3_d416e12045
Hr.	w5_d416e12048
Theod.	w7_d416e12051
Aschran,	w9_d416e12054
Frey=herr	w11_d416e12057
v.	w1_d416e12062
Röchten,	w3_d416e12065
Jhrer	w5_d416e12068
Königl.	w7_d416e12071
Maj.	w9_d416e12074
v.	w11_d416e12077
Pohlen,	w13_d416e12081
und	w15_d416e12084
Chur=fürst.	w1_d416e12089
v.	w3_d416e12092
Sachs.	w5_d416e12095
Obrist,	w7_d416e12098
bey	w9_d416e12101
der	w11_d416e12104
Hungaris.	w13_d416e12108
Cron	w1_d416e12114
in	w3_d416e12117
der	w5_d416e12120
Himmel=port=gas.,	w7_d416e12123
alt	w9_d416e12126
59.	w11_d416e12129
J.	w13_d416e12133
Der	w1_d416e12138
Hoch=edel=geb.	w3_d416e12141
Hr.	w5_d416e12144
Joh.	w7_d416e12147
Leop.	w9_d416e12150
Edler	w11_d416e12153
v.	w13_d416e12157
Ghe	w15_d416e12160
len,	w1_d416e12165
J.	w3_d416e12168
U.	w5_d416e12171
D.	w7_d416e12174
K.	w9_d416e12177
K.	w11_d416e12180
Raht,	w13_d416e12184
Stadt,	w15_d416e12187
und	w17_d416e12190
Land=richt,	w19_d416e12193
im	w1_d416e12198
neuen	w3_d416e12201
Michaeler=H.,	w5_d416e12204
alt	w7_d416e12207
52.	w9_d416e12210
J.	w11_d416e12213
Dem	w1_d416e12219
Hoch=edel=geb.	w3_d416e12222
Hrn.	w5_d416e12225
Joh.	w7_d416e12228
Adam	w9_d416e12231
Mayer,	w11_d416e12234
K.	w13_d416e12238
K.	w1_d416e12243
Raht,	w3_d416e12246
und	w5_d416e12249
geh.	w7_d416e12252
Cammer=zahlmeist.,	w9_d416e12255
s.	w11_d416e12258
Hr.	w13_d416e12262
S.	w15_d416e12265
Franz	w1_d416e12270
Xav.	w3_d416e12273
im	w5_d416e12276
Ritteris.	w7_d416e12279
H.	w9_d416e12282
in	w11_d416e12285
der	w13_d416e12289
obern	w15_d416e12292
Breu	w17_d416e12295
nerstr.,	w1_d416e12300
alt	w3_d416e12303
6.	w5_d416e12306
J.	w7_d416e12309
</list>
<head id="h2_d416e12316">
Vor	w1_d416e12320
der	w3_d416e12323
Stadt.	w5_d416e12326
</head>
<list id="l4_d416e12329">
Die	w1_d416e12333
Wol=edel=g.	w3_d416e12336
Fr.	w5_d416e12339
Cäcil.	w7_d416e12342
v.	w9_d416e12345
Müller,	w11_d416e12348
Wittwe,	w13_d416e12352
im	w15_d416e12355
K.	w1_d416e12360
Tagd=stall	w3_d416e12363
vorm	w5_d416e12366
Burg=thor,	w7_d416e12369
alt	w9_d416e12372
80.	w11_d416e12375
J.	w13_d416e12379
Die	w1_d416e12384
Wol=edle	w3_d416e12387
Jungf.	w5_d416e12390
Theres.	w7_d416e12393
Hastlingshausen,	w9_d416e12396
im	w11_d416e12399
Maximilianis.	w1_d416e12405
H.	w3_d416e12408
in	w5_d416e12411
der	w7_d416e12414
Alster=gas.,	w9_d416e12417
alt	w11_d416e12420
38.	w13_d416e12424
J.	w15_d416e12427
Dem	w1_d416e12432
Hrn.	w3_d416e12435
Franz	w5_d416e12438
Dellmor,	w7_d416e12441
Burgerl.	w9_d416e12444
Handels=m.,	w11_d416e12447
s.	w1_d416e12452
K.	w3_d416e12455
Jos.,	w5_d416e12458
beym	w7_d416e12461
gold.	w9_d416e12464
Lämmel	w11_d416e12467
bey	w13_d416e12471
Maria=hülf,	w15_d416e12474
alt	w1_d416e12479
4.	w3_d416e12482
J.	w5_d416e12485
Anna	w1_d416e12491
Grießlin,	w3_d416e12494
Wittwe,	w5_d416e12497
beym	w7_d416e12500
gold.	w9_d416e12503
Einhorn	w11_d416e12506
im	w13_d416e12510
Liechtenth.,	w1_d416e12515
alt	w3_d416e12518
71.	w5_d416e12521
J	w7_d416e12524
Dem	w1_d416e12529
Joh.	w3_d416e12532
Donhofer,	w5_d416e12535
Schneid.,	w7_d416e12538
s.	w9_d416e12541
W.	w11_d416e12544
Susan.,	w13_d416e12548
bey	w15_d416e12551
dem	w1_d416e12556
bl.	w3_d416e12559
Stern	w5_d416e12562
im	w7_d416e12565
Liechtenth.,	w9_d416e12568
alt	w11_d416e12571
49.	w13_d416e12575
J.	w15_d416e12578
Dem	w1_d416e12584
Andre	w3_d416e12587
Schneider,	w5_d416e12590
Tag	w7_d416e12593
löhn.,	w9_d416e12596
s.	w11_d416e12599
W.	w13_d416e12603
Margar.,	w15_d416e12606
im	w1_d416e12611
Prixneris.	w3_d416e12614
H.	w5_d416e12617
in	w7_d416e12620
der	w9_d416e12623
Leopoldst.,	w11_d416e12626
alt	w13_d416e12630
45.	w15_d416e12633
J.	w17_d416e12636
</list>
<head id="h2_d416e12644">
Den	w1_d416e12648
17.	w3_d416e12651
Januarii.	w5_d416e12654
Jn	w1_d416e12659
der	w3_d416e12662
Stadt.	w5_d416e12665
</head>
<list id="l4_d416e12668">
Dem	w1_d416e12672
(Tit.)	w3_d416e12675
Hrn.	w5_d416e12678
Ant.	w7_d416e12681
Conde	w9_d416e12684
de	w11_d416e12687
Borda,	w13_d416e12691
s.	w15_d416e12694
Frle	w17_d416e12697
T.	w19_d416e12700
Maria	w1_d416e12705
Anna,	w3_d416e12708
im	w5_d416e12711
Handschuh=macherisch.	w7_d416e12714
H.	w9_d416e12717
am	w11_d416e12720
Salz=gr.	w1_d416e12725
alt	w3_d416e12728
31.	w5_d416e12731
J.	w7_d416e12734
</list>
<head id="h2_d416e12741">
Vor	w1_d416e12745
der	w3_d416e12748
Stadt.	w5_d416e12751
</head>
<list id="l4_d416e12754">
Dem	w1_d416e12758
Hrn.	w3_d416e12761
Lorenz	w5_d416e12764
Schmid,	w7_d416e12767
K.	w9_d416e12770
K.	w11_d416e12773
Drat=zieh=verw.,	w13_d416e12777
s.	w1_d416e12782
Fr.	w3_d416e12785
Elisab.,	w5_d416e12788
in	w7_d416e12791
der	w9_d416e12794
K.	w11_d416e12797
K.	w13_d416e12801
Dratzieherey	w15_d416e12804
vor	w17_d416e12807
dem	w19_d416e12810
Stuben=thor,	w1_d416e12815
alt	w3_d416e12818
56.	w5_d416e12821
J.	w7_d416e12824
Dem	w1_d416e12830
Franz	w3_d416e12833
Focker,	w5_d416e12836
Burgerl.	w7_d416e12839
Schuh=mach.,	w9_d416e12842
s.	w11_d416e12845
K.	w13_d416e12849
Theres.,	w1_d416e12854
bey	w3_d416e12857
der	w5_d416e12860
gold	w7_d416e12863
Gans	w9_d416e12866
bey	w11_d416e12869
Maria=hülf,	w13_d416e12873
4.	w15_d416e12876
J.	w17_d416e12879
Ursula	w1_d416e12884
Scherrerin,	w3_d416e12887
Wittwe,	w5_d416e12890
beym	w7_d416e12893
Englis.	w9_d416e12896
Gruß	w11_d416e12899
aus.	w13_d416e12903
Maria=hülf,	w1_d416e12908
alt	w3_d416e12911
66.	w5_d416e12914
J.	w7_d416e12917
Dem	w1_d416e12923
Andre	w3_d416e12926
Lauckisch,	w5_d416e12929
Reisbley=mach,	w7_d416e12932
s.	w9_d416e12935
S.	w11_d416e12938
Joh.,	w13_d416e12942
bey	w1_d416e12947
der	w3_d416e12950
grün.	w5_d416e12953
Weintr.	w7_d416e12956
zu	w9_d416e12959
Erdb.	w11_d416e12962
5.	w13_d416e12966
J.	w15_d416e12969
</list>
<list id="l6_d416e12973">
Jacob	w1_d416e12977
Radl,	w3_d416e12980
Schifkn.,	w5_d416e12983
beym	w7_d416e12986
weis.	w9_d416e12989
Lämmel	w11_d416e12992
in	w13_d416e12996
der	w15_d416e12999
Rossau,	w1_d416e13004
alt	w3_d416e13007
50.	w5_d416e13010
J.	w7_d416e13013
Dem	w1_d416e13018
Adam	w3_d416e13021
Schriel,	w5_d416e13024
Tag=löhn.,	w7_d416e13027
s.	w9_d416e13030
K.	w11_d416e13033
Georg,	w13_d416e13037
beym	w15_d416e13040
gold.	w1_d416e13046
Rit.	w3_d416e13049
im	w5_d416e13052
Lerchenf.,	w7_d416e13055
alt	w9_d416e13058
9.	w11_d416e13061
J.	w13_d416e13065
</list>
<head id="h2_d416e13072">
Summa	w1_d416e13076
7.	w3_d416e13079
Person.	w5_d416e13082
darunter	w7_d416e13085
2.	w9_d416e13088
Kind.	w11_d416e13091
Den	w1_d416e13096
18.	w3_d416e13099
Januarii.	w5_d416e13102
Jn	w1_d416e13107
der	w3_d416e13110
Stadt.	w5_d416e13113
</head>
<list id="l4_d416e13116">
Dem	w1_d416e13120
Wol=ebel=geb.	w3_d416e13123
Hrn.	w5_d416e13126
Joh.	w7_d416e13129
v.	w9_d416e13132
Mayer,	w11_d416e13135
K.	w13_d416e13139
K.	w15_d416e13142
Ni	w17_d416e13145
Oe.	w1_d416e13150
Wald=meist.,	w3_d416e13153
s.	w5_d416e13156
Frle.	w7_d416e13159
T.	w9_d416e13162
Elisab:	w11_d416e13165
im	w13_d416e13169
Maria	w15_d416e13172
zeller=hof,	w1_d416e13177
alt	w3_d416e13180
11.	w5_d416e13183
J.	w7_d416e13186
Ludw.	w1_d416e13192
Jaschky,	w3_d416e13195
Burgerl.	w5_d416e13198
Tändl.,	w7_d416e13201
beym	w9_d416e13204
Aug	w11_d416e13207
GOt	w13_d416e13211
tes	w1_d416e13216
am	w3_d416e13219
Pet.	w5_d416e13222
alt	w7_d416e13225
37.	w9_d416e13228
J.	w11_d416e13231
Richard	w1_d416e13236
Gentner,	w3_d416e13239
Harrachis.	w5_d416e13242
Sold.,	w7_d416e13245
in	w9_d416e13248
der	w11_d416e13251
Casarm.	w13_d416e13255
alt	w1_d416e13260
54.	w3_d416e13263
J.	w5_d416e13266
</list>
