<doc id="wr_1757-01-12" attrs="word" year="1757" month="01" day="12" corpus="2">
<head id="h2_d108e2817">
Malta	w1_d108e2821
Diese	w9_d108e10067
stehen	w11_d108e10070
alle	w13_d108e10074
bey	w1_d108e10079
Zwikau,	w3_d108e10082
unter	w5_d108e10085
Commando	w7_d108e10088
des	w9_d108e10091
General	w11_d108e10094
</p>
<p id="p8_d108e10099">
leutenants	w1_d108e10103
von	w3_d108e10106
Ziethen.	w5_d108e10109
10	w7_d108e10112
Escadrons	w9_d108e10115
Ba	w11_d108e10118
reuth	w1_d108e10123
bey	w3_d108e10126
Crimitzscha.	w5_d108e10129
5.	w7_d108e10132
Escadrons	w9_d108e10135
Hu	w11_d108e10138
saren	w1_d108e10143
von	w3_d108e10146
Ziethen.	w5_d108e10149
Hiervon	w7_d108e10152
werden	w9_d108e10155
100.	w11_d108e10158
Mann	w1_d108e10164
nach	w3_d108e10167
Plauen	w5_d108e10170
detaschirt;	w7_d108e10173
ingleichen	w9_d108e10176
100.	w1_d108e10181
Husaren,	w3_d108e10184
welche	w5_d108e10187
den	w7_d108e10190
Weeg	w9_d108e10193
nach	w11_d108e10196
Hof	w13_d108e10200
und	w1_d108e10205
Adorf	w3_d108e10208
patrouilliren	w5_d108e10211
müssen,	w7_d108e10214
und	w9_d108e10217
wer	w11_d108e10220
den	w1_d108e10225
alle	w3_d108e10228
8.	w5_d108e10231
Täge	w7_d108e10234
abgelöst.	w9_d108e10237
Hierzu	w11_d108e10240
kommen	w13_d108e10244
auch	w1_d108e10250
noch	w3_d108e10253
100.	w5_d108e10256
Mann	w7_d108e10259
Feld=jäger.	w9_d108e10262
</p>
<head id="h2_d108e10268">
Winter=quartier	w1_d108e10272
der	w3_d108e10275
übrigen	w5_d108e10278
Regimenter:	w1_d108e10283
</head>
<p id="p4_d108e10286">
Zu	w1_d108e10290
Pirna	w3_d108e10293
4.	w5_d108e10296
Battaillons,	w7_d108e10299
als	w9_d108e10302
Marggraf	w11_d108e10305
Carl,	w1_d108e10310
und	w3_d108e10313
von	w5_d108e10316
Rohr.	w7_d108e10319
Zu	w9_d108e10322
Dreßden	w11_d108e10325
15.	w13_d108e10329
Bat	w15_d108e10332
taillons,	w1_d108e10337
als:	w3_d108e10340
Leib=garde,	w5_d108e10343
von	w7_d108e10346
Retzow,	w9_d108e10349
Prinz	w1_d108e10355
Moritz,	w3_d108e10358
Prinz	w5_d108e10361
Bevern,	w7_d108e10364
Prinz	w9_d108e10367
Fer	w11_d108e10370
dinand,	w1_d108e10375
Jzemblitz,	w3_d108e10378
Manntenfel,	w5_d108e10381
rc.	w7_d108e10384
Hier	w9_d108e10387
zu	w1_d108e10392
des	w3_d108e10395
Königs	w5_d108e10398
Haupt=quartier	w7_d108e10401
und	w9_d108e10404
Suite,	w11_d108e10407
die	w1_d108e10412
gesamte	w3_d108e10415
Generalität	w5_d108e10418
und	w7_d108e10421
Prinzen,	w9_d108e10424
das	w11_d108e10427
Haupt=magazin,	w1_d108e10433
das	w3_d108e10436
Commissariat	w5_d108e10439
und	w7_d108e10442
Lazareth.	w1_d108e10447
Zu	w3_d108e10450
Wilsdurf	w5_d108e10453
und	w7_d108e10456
im	w9_d108e10459
Plauischen	w11_d108e10462
Grunde	w1_d108e10467
3.	w3_d108e10470
Battaillons,	w5_d108e10473
als:	w7_d108e10476
von	w9_d108e10479
Bülow	w11_d108e10482
und	w1_d108e10487
Hoffen,	w3_d108e10490
Döbeln	w5_d108e10493
2.	w7_d108e10496
Battaillons	w9_d108e10499
von	w11_d108e10502
Kleist,	w1_d108e10508
Meissen	w3_d108e10511
2.	w5_d108e10514
Battaillons	w7_d108e10517
von	w9_d108e10520
Pritz,	w11_d108e10523
Leipzig	w1_d108e10528
4.	w3_d108e10531
Battaillons	w5_d108e10534
von	w7_d108e10537
Kleist	w9_d108e10540
und	w11_d108e10543
An	w13_d108e10547
halt,	w1_d108e10552
Torgau	w3_d108e10555
2.	w5_d108e10558
von	w7_d108e10561
Willig,	w9_d108e10564
Budißin	w11_d108e10567
4	w13_d108e10571
von	w1_d108e10576
Prinz	w3_d108e10579
von	w5_d108e10582
Preussen	w7_d108e10585
und	w9_d108e10588
Forcade.	w11_d108e10591
</p>
<head id="h2_d108e10598">
Cavallerie:	w1_d108e10602
</head>
<p id="p4_d108e10605">
Freyberg,	w1_d108e10609
5.	w3_d108e10612
Escadrons	w5_d108e10615
von	w7_d108e10618
Truchses	w9_d108e10621
|	w11_d108e10624
|	w13_d108e10628
Torgau	w1_d108e10633
5.	w3_d108e10636
von	w5_d108e10639
Katt,	w7_d108e10642
Wurzen	w9_d108e10645
5.	w11_d108e10648
von	w13_d108e10652
Gens	w15_d108e10655
d'Armes,	w1_d108e10660
Grimma	w3_d108e10663
5.	w5_d108e10666
von	w7_d108e10669
Prinz	w9_d108e10672
Friedrich	w11_d108e10675
Weissenfels	w1_d108e10681
5.	w3_d108e10684
vom	w5_d108e10687
Leib=regiment,	w7_d108e10690
Borna	w9_d108e10693
5.	w1_d108e10698
Cacabiniers,	w3_d108e10701
Eulenburg	w5_d108e10704
5.	w7_d108e10707
von	w9_d108e10710
Prin	w11_d108e10713
von	w1_d108e10718
Preussen,	w3_d108e10721
Strehla	w5_d108e10724
5.	w7_d108e10727
von	w9_d108e10730
Priesen,	w11_d108e10733
Dreß	w13_d108e10737
den,	w1_d108e10742
Friedrichs=stadt	w3_d108e10745
und	w5_d108e10748
Neustadt	w7_d108e10751
5	w9_d108e10754
von	w11_d108e10757
Rochau,	w1_d108e10763
Pegau	w3_d108e10766
5.	w5_d108e10769
von	w7_d108e10772
Schönaich,	w9_d108e10775
Leipzig	w11_d108e10778
3.	w1_d108e10783
von	w3_d108e10786
Garde	w5_d108e10789
du	w7_d108e10792
Corps,	w9_d108e10795
Forste,	w11_d108e10798
Pförten	w13_d108e10802
und	w1_d108e10807
Spremberg	w3_d108e10810
4.	w5_d108e10813
Escadrons	w7_d108e10816
leichte	w9_d108e10819
Dra	w11_d108e10822
goner.	w1_d108e10827
Die	w3_d108e10830
Artillerie,	w5_d108e10833
Pontoniers,	w7_d108e10836
samt	w9_d108e10839
dem	w1_d108e10845
Train	w3_d108e10848
auf	w5_d108e10851
denen	w7_d108e10854
Dörfern	w9_d108e10857
bey	w11_d108e10860
Dreßden	w13_d108e10864
und	w1_d108e10869
Meissen.	w3_d108e10872
Das	w5_d108e10875
Feld=jäger=corps	w7_d108e10878
zu	w9_d108e10881
Neustadt	w1_d108e10886
bey	w3_d108e10889
Dreßden	w5_d108e10892
Das	w7_d108e10895
Proviant	w9_d108e10898
und	w1_d108e10903
Fuhr=wesen	w3_d108e10906
zu	w5_d108e10909
Dreßden,	w7_d108e10912
Mühlberg	w9_d108e10915
und	w1_d108e10921
Liebenwerda.	w3_d108e10924
</p>
<head id="h2_d108e10930">
Wien	w1_d108e10934
den	w3_d108e10937
12.	w5_d108e10940
Januarii	w7_d108e10943
1757.	w9_d108e10946
</head>
<p id="p4_d108e10949">
SAmstags	w1_d108e10953
den	w3_d108e10956
8.	w5_d108e10959
Januarii	w7_d108e10962
haben	w9_d108e10965
Seine	w11_d108e10968
Majestät	w1_d108e10973
der	w3_d108e10976
Kaiser	w5_d108e10979
mit	w7_d108e10982
Jhren	w9_d108e10985
Königl.	w11_d108e10988
Hoheiten	w1_d108e10993
denen	w3_d108e10996
Durchleuchtigsten	w5_d108e10999
ältern	w7_d108e11002
jun	w9_d108e11005
gen	w1_d108e11011
Herrschaften,	w3_d108e11014
in	w5_d108e11017
Erscheinung	w7_d108e11020
Sr.	w9_d108e11023
Ex	w11_d108e11026
cellenz	w1_d108e11031
des	w3_d108e11034
Päpstl	w5_d108e11037
Monsig.	w7_d108e11040
Nuntii,	w9_d108e11043
dem	w11_d108e11046
Seel	w13_d108e11050
und	w1_d108e11055
Lob=amt	w3_d108e11058
für	w5_d108e11061
Weyland	w7_d108e11064
Jhre	w9_d108e11067
Majestät	w11_d108e11070
die	w1_d108e11075
perstorbene	w3_d108e11078
Kaiserin	w5_d108e11081
und	w7_d108e11084
Chur=fürstin	w9_d108e11087
in	w11_d108e11090
</p>
<p id="p6_d108e11093">
Bayern	w1_d108e11097
Maria	w3_d108e11100
Amalia,	w5_d108e11103
Erz=herzogin	w7_d108e11106
von	w9_d108e11109
Oesterreich,	w1_d108e11114
seeligster	w3_d108e11117
Gedächtnuß,	w5_d108e11120
bey	w7_d108e11123
einem	w9_d108e11126
errichteten	w1_d108e11131
Castro	w3_d108e11134
Doloris	w5_d108e11137
in	w7_d108e11140
der	w9_d108e11143
grossen	w11_d108e11146
Hof	w13_d108e11150
kapellen;	w1_d108e11156
Jhre	w3_d108e11159
Majestät	w5_d108e11162
die	w7_d108e11165
Kaiserin	w9_d108e11168
aber	w11_d108e11171
der	w1_d108e11176
heiligen	w3_d108e11179
Seegen=meß	w5_d108e11182
in	w7_d108e11185
der	w9_d108e11188
Kammer	w11_d108e11191
kapelle	w1_d108e11196
beygewohnet.	w3_d108e11199
</p>
<p id="p8_d108e11202">
Sonntags	w1_d108e11206
den	w3_d108e11209
9.	w5_d108e11212
Januarii	w7_d108e11215
haben	w9_d108e11218
Se.	w11_d108e11221
Majestät	w1_d108e11226
der	w3_d108e11229
Kaiser	w5_d108e11232
mit	w7_d108e11235
Jhren	w9_d108e11238
Königl.	w11_d108e11241
Ho	w13_d108e11245
heiten	w1_d108e11250
denen	w3_d108e11253
Durchleuchtigsten	w5_d108e11256
Erz=herzogen	w7_d108e11259
Joseph,	w1_d108e11265
Carl,	w3_d108e11268
und	w5_d108e11271
Leopold,	w7_d108e11274
in	w9_d108e11277
Erscheinung	w11_d108e11280
des	w1_d108e11285
Päpstl.	w3_d108e11288
Monsig.	w5_d108e11291
Nuntii,	w7_d108e11294
der	w9_d108e11297
Predig,	w11_d108e11300
und	w1_d108e11305
hohem	w3_d108e11308
Amt	w5_d108e11311
in	w7_d108e11314
der	w9_d108e11317
grossen	w11_d108e11320
Hof=kapellen	w13_d108e11324
beygewohnet,	w1_d108e11329
Jhro	w3_d108e11332
Majestät	w5_d108e11335
die	w7_d108e11338
Kaiserin	w9_d108e11341
aber	w1_d108e11347
mit	w3_d108e11350
Jhren	w5_d108e11353
Königl.	w7_d108e11356
Hoheiten,	w9_d108e11359
denen	w11_d108e11362
Durchleuchtigsten	w1_d108e11367
Erz=herzoginnen	w3_d108e11370
der	w5_d108e11373
Heil.	w7_d108e11376
Seegen=meß,	w1_d108e11381
und	w3_d108e11384
Nachmittags	w5_d108e11387
dem	w7_d108e11390
ge	w9_d108e11393
wöhnlichen	w1_d108e11398
GOttes=dienst	w3_d108e11401
in	w5_d108e11404
der	w7_d108e11407
Kammer	w9_d108e11410
kapellen	w1_d108e11416
abgewartet.	w3_d108e11419
</p>
<p id="p10_d108e11422">
Eodem	w1_d108e11426
seynd	w3_d108e11429
Se.	w5_d108e11432
Excellenz	w7_d108e11435
der	w9_d108e11438
Kaiserl.	w11_d108e11441
Königl.	w1_d108e11446
würkliche	w3_d108e11449
geheime	w5_d108e11452
Raht	w7_d108e11455
und	w9_d108e11458
Kämme	w11_d108e11461
rer,	w1_d108e11466
Herr	w3_d108e11469
Graf	w5_d108e11472
Aloysi	w7_d108e11475
von	w9_d108e11478
Podstatsky	w11_d108e11481
rc.	w13_d108e11485
als	w15_d108e11488
bevollmächtigter	w1_d108e11494
Minister	w3_d108e11497
zu	w5_d108e11500
dem	w7_d108e11503
den	w9_d108e11506
17ten	w11_d108e11509
dies	w1_d108e11514
zu	w3_d108e11517
Müldorf	w5_d108e11520
abhaltenden	w7_d108e11523
Churbayri	w9_d108e11526
schen	w1_d108e11531
Kreiß=convent	w3_d108e11534
abgegangen.	w5_d108e11537
Montag	w1_d108e11542
und	w3_d108e11545
Dienstags	w5_d108e11548
als	w7_d108e11551
den	w9_d108e11554
10.	w11_d108e11557
und	w13_d108e11561
</p>
<p id="p12_d108e11565">
11.	w1_d108e11569
Januarii	w3_d108e11572
wurde	w5_d108e11575
in	w7_d108e11578
Beywohnung	w9_d108e11581
aller	w11_d108e11584
höchster	w1_d108e11589
Herrschaften	w3_d108e11592
die	w5_d108e11595
heiligen	w7_d108e11598
Seegen	w9_d108e11601
meß	w1_d108e11606
in	w3_d108e11609
der	w5_d108e11612
Kammer=kapellen	w7_d108e11615
gehalten.	w9_d108e11618
</p>
<p id="p14_d108e11621">
Ubrigens	w1_d108e11625
ist	w3_d108e11628
bey	w5_d108e11631
Jhren	w7_d108e11634
beeden	w9_d108e11637
Kaiserlich	w11_d108e11640
Königlichen	w1_d108e11645
Majestäten	w3_d108e11648
Vorgestern	w5_d108e11651
die	w7_d108e11654
ver	w9_d108e11657
läßliche	w1_d108e11662
Anzeige	w3_d108e11665
geschehen,	w5_d108e11668
daß	w7_d108e11671
133000.	w9_d108e11674
Mann	w1_d108e11680
Rußische	w3_d108e11683
Völker	w5_d108e11686
alwürklich	w7_d108e11689
an	w9_d108e11692
die	w11_d108e11695
Polnische	w1_d108e11700
Gränzen	w3_d108e11703
in	w5_d108e11706
dem	w7_d108e11709
Anmarsch	w9_d108e11712
seyen.	w11_d108e11715
</p>
<p id="p16_d108e11718">
Auf	w1_d108e11722
eigenes	w3_d108e11725
Anlangen	w5_d108e11728
des	w7_d108e11731
Kaiserl.	w9_d108e11734
Königl.	w11_d108e11737
General=feld=wacht=meisters,	w1_d108e11742
Hrn.	w3_d108e11745
Niclas	w5_d108e11748
Grafens	w1_d108e11753
von	w3_d108e11756
Esterhazy	w5_d108e11759
haben	w7_d108e11762
all	w9_d108e11765
und	w11_d108e11768
jede,	w13_d108e11772
welche	w1_d108e11778
an	w3_d108e11781
ihne	w5_d108e11784
eine	w7_d108e11787
Anforderung	w9_d108e11790
haben,	w11_d108e11793
oder	w13_d108e11797
zu	w1_d108e11802
machen	w3_d108e11805
vermeinen,	w5_d108e11808
den	w7_d108e11811
9ten	w9_d108e11814
künftigen	w11_d108e11817
Monats	w1_d108e11822
Februarii	w3_d108e11825
Früh	w5_d108e11828
um	w7_d108e11831
9.	w9_d108e11834
Uhr	w11_d108e11837
bey	w13_d108e11841
dem	w15_d108e11844
Hochlöbl.	w1_d108e11849
Kaiserl.	w3_d108e11852
Königl.	w5_d108e11855
Judicio	w7_d108e11858
Delegato	w9_d108e11861
Militari	w1_d108e11867
mixto	w3_d108e11870
alhier	w5_d108e11873
in	w7_d108e11876
Wien	w9_d108e11879
also	w11_d108e11882
gewiß	w13_d108e11886
sich	w1_d108e11891
anzumelden,	w3_d108e11894
und	w5_d108e11897
ihre	w7_d108e11900
Anforderungen	w9_d108e11903
zu	w11_d108e11906
liquidiren,	w1_d108e11911
wie	w3_d108e11914
im	w5_d108e11917
Widrigen	w7_d108e11920
nach	w9_d108e11923
Verlauf	w11_d108e11926
dieser	w1_d108e11931
Zeit	w3_d108e11934
dieselbe	w5_d108e11937
nicht	w7_d108e11940
mehr	w9_d108e11943
gehöret,	w11_d108e11946
son	w13_d108e11950
dern	w1_d108e11956
ihnen	w3_d108e11959
das	w5_d108e11962
ewige	w7_d108e11965
Stillschweigen	w9_d108e11968
auferlegt	w11_d108e11971
seyn	w1_d108e11976
solle.	w3_d108e11979
</p>
<head id="h2_d108e11985">
Lista	w1_d108e11989
deren	w3_d108e11992
Verstorbenen	w5_d108e11995
zu	w7_d108e11998
Wien,	w9_d108e12001
in	w1_d108e12006
und	w3_d108e12009
vor	w5_d108e12012
der	w7_d108e12015
Stadt.	w9_d108e12018
Den	w1_d108e12023
8.	w3_d108e12026
Januarii.	w5_d108e12029
Jn	w1_d108e12035
der	w3_d108e12038
Stadt.	w5_d108e12041
</head>
<list id="l4_d108e12044">
Der	w1_d108e12048
Wol=edel=gestr.	w3_d108e12051
Hr.	w5_d108e12054
Joh.	w7_d108e12057
Sebast.	w9_d108e12060
Kaim,	w11_d108e12063
Phil.	w13_d108e12067
</list>
<list id="l8_d108e12073">
&	w1_d108e12077
Med.	w3_d108e12080
Doct.	w5_d108e12083
bey	w7_d108e12086
der	w9_d108e12089
gold.	w11_d108e12092
Ros.	w13_d108e12096
am	w15_d108e12099
alt.	w17_d108e12102
Fleisch	w19_d108e12105
markt,	w1_d108e12110
alt	w3_d108e12113
27.	w5_d108e12116
J.	w7_d108e12119
Dem	w1_d108e12124
Hrn.	w3_d108e12127
Jos.	w5_d108e12130
Schwerdling,	w7_d108e12133
N.	w9_d108e12136
Oe.	w11_d108e12139
Landschafts	w13_d108e12143
rait=collegii=offic.,	w1_d108e12149
s.	w3_d108e12152
K.	w5_d108e12155
Aloysi,	w7_d108e12158
im	w9_d108e12161
Burgeris.	w11_d108e12164
H.	w13_d108e12168
im	w1_d108e12173
Hüner=gäs.,	w3_d108e12176
alt	w5_d108e12179
2.	w7_d108e12182
J.	w9_d108e12185
Dem	w1_d108e12190
Hrn.	w3_d108e12193
Theophil.	w5_d108e12196
Peißger,	w7_d108e12199
Fürstl.	w9_d108e12202
Cancellist.,	w11_d108e12205
s.	w1_d108e12210
Fr.	w3_d108e12213
Dorothea,	w5_d108e12216
beym	w7_d108e12219
gold.	w9_d108e12222
Straus.	w11_d108e12225
auf	w13_d108e12229
der	w15_d108e12232
Frey	w17_d108e12235
ung,	w1_d108e12241
alt	w3_d108e12244
60.	w5_d108e12247
J.	w7_d108e12250
Der	w1_d108e12255
Ehrw.	w3_d108e12258
Fr.	w5_d108e12261
Clemens,	w7_d108e12264
Ord.	w9_d108e12267
St.	w11_d108e12270
August.,	w13_d108e12274
im	w15_d108e12277
Kro	w17_d108e12280
ster	w1_d108e12285
bey	w3_d108e12288
Maria=loreto,	w5_d108e12291
alt	w7_d108e12294
59.	w9_d108e12297
J.	w11_d108e12300
</list>
<head id="h2_d108e12307">
Vor	w1_d108e12311
der	w3_d108e12314
Stadt.	w5_d108e12317
</head>
<list id="l4_d108e12320">
Anna	w1_d108e12324
Buderin,	w3_d108e12327
led.	w5_d108e12330
M.,	w7_d108e12333
bey	w9_d108e12336
denen	w11_d108e12339
3.	w13_d108e12343
Kron.	w15_d108e12346
am	w17_d108e12349
rot.	w1_d108e12354
Thurn,	w3_d108e12357
alt	w5_d108e12360
66.	w7_d108e12363
J.	w9_d108e12366
Der	w1_d108e12371
Wol=ehrw.	w3_d108e12374
Hr.	w5_d108e12377
Johannes,	w7_d108e12380
weltl.	w9_d108e12383
Priest.,	w11_d108e12386
bey	w13_d108e12390
dem	w1_d108e12396
gold.	w3_d108e12399
Anker	w5_d108e12402
am	w7_d108e12405
Neubau,	w9_d108e12408
alt	w11_d108e12411
38.	w13_d108e12415
J.	w15_d108e12418
Hr.	w1_d108e12423
Christian	w3_d108e12426
Oberhofer,	w5_d108e12429
K.	w7_d108e12432
K.	w9_d108e12435
Hartsch.,	w11_d108e12438
in	w13_d108e12442
s.	w15_d108e12445
H.	w17_d108e12448
in	w1_d108e12453
der	w3_d108e12456
Josephst.,	w5_d108e12459
alt	w7_d108e12462
62.	w9_d108e12465
J.	w11_d108e12468
Maria	w1_d108e12473
Auerbachin,	w3_d108e12476
Wittwe,	w5_d108e12479
bey	w7_d108e12482
der	w9_d108e12485
bl.	w11_d108e12488
Kugel	w13_d108e12492
in	w15_d108e12495
der	w1_d108e12501
Josephst.,	w3_d108e12504
alt	w5_d108e12507
43.	w7_d108e12510
J.	w9_d108e12513
Dem	w1_d108e12518
Joh.	w3_d108e12521
Kofler,	w5_d108e12524
Burgerl.	w7_d108e12527
Tischl.,	w9_d108e12530
s.	w11_d108e12533
W.	w13_d108e12537
Elisab.,	w15_d108e12540
im	w1_d108e12545
Propstis.	w3_d108e12548
H	w5_d108e12551
in	w7_d108e12554
der	w9_d108e12557
Leopoldst.,	w11_d108e12560
alt	w13_d108e12564
56.	w15_d108e12567
J.	w17_d108e12570
Barb.	w1_d108e12575
Schreinerin,	w3_d108e12578
Burgerl.	w5_d108e12581
Wittwe,	w7_d108e12584
bey	w9_d108e12587
der	w11_d108e12590
weis.	w13_d108e12594
Schwan.	w1_d108e12600
in	w3_d108e12603
der	w5_d108e12606
Rossau,	w7_d108e12609
alt	w9_d108e12612
82.	w11_d108e12615
J.	w13_d108e12619
Dem	w1_d108e12624
Lorenz	w3_d108e12627
Gräßl,	w5_d108e12630
Burgerl.	w7_d108e12633
Schuh=mach.,	w9_d108e12636
s.	w11_d108e12639
K.	w13_d108e12643
Theres.,	w1_d108e12648
bey	w3_d108e12651
der	w5_d108e12654
gold.	w7_d108e12657
Kugel	w9_d108e12660
auf	w11_d108e12663
der	w13_d108e12667
Wied.	w15_d108e12670
5.	w17_d108e12673
J.	w19_d108e12676
Dem	w1_d108e12681
Math.	w3_d108e12684
Tullner,	w5_d108e12687
Burgerl.	w7_d108e12690
Fleisch=selk.,	w9_d108e12693
s.	w11_d108e12696
K.	w13_d108e12700
Andre,	w1_d108e12706
im	w3_d108e12709
Fleischhackeris.	w5_d108e12712
H.	w7_d108e12715
bey	w9_d108e12718
St.	w11_d108e12721
Ulrich,	w13_d108e12725
2.	w15_d108e12728
J	w17_d108e12731
Dem	w1_d108e12736
Jos.	w3_d108e12739
Kloster,	w5_d108e12742
Vergoldt.,	w7_d108e12745
s.	w9_d108e12748
W.	w11_d108e12751
Elisab.,	w13_d108e12755
beym	w15_d108e12758
gold.	w1_d108e12763
Engel	w3_d108e12766
am	w5_d108e12769
Spitalberg,	w7_d108e12772
alt	w9_d108e12775
63.	w11_d108e12778
J.	w13_d108e12782
Dem	w1_d108e12787
Ant.	w3_d108e12790
Brener,	w5_d108e12793
Lack.,	w7_d108e12796
s.	w9_d108e12799
K.	w11_d108e12802
Barb.,	w13_d108e12806
beym	w15_d108e12809
Oer	w17_d108e12812
fuß	w1_d108e12818
in	w3_d108e12821
der	w5_d108e12824
Leopoldst.,	w7_d108e12827
alt	w9_d108e12830
6	w11_d108e12833
v.	w13_d108e12837
J.	w15_d108e12840
Carl	w1_d108e12845
Müller,	w3_d108e12848
Wats,	w5_d108e12851
im	w7_d108e12854
K.	w9_d108e12857
K.	w11_d108e12860
Hof=post=stall,	w13_d108e12864
11.	w15_d108e12867
J.	w17_d108e12870
Dem	w1_d108e12875
Jos.	w3_d108e12878
Klammer,	w5_d108e12881
Tagw.,	w7_d108e12884
s.	w9_d108e12887
K.	w11_d108e12890
Magdal.,	w13_d108e12894
bey	w15_d108e12897
denen	w1_d108e12902
3.	w3_d108e12905
Lil.	w5_d108e12908
zu	w7_d108e12911
Mätzleinstorf,	w9_d108e12914
alt	w11_d108e12917
9.	w13_d108e12921
J.	w15_d108e12924
Dem	w1_d108e12930
Math.	w3_d108e12933
Federspieler,	w5_d108e12936
Tagw.,	w7_d108e12939
s.	w9_d108e12942
K.	w11_d108e12945
Anna,	w13_d108e12949
im	w15_d108e12952
erst=bemeldten	w1_d108e12957
H.,	w3_d108e12960
alt	w5_d108e12963
6.	w7_d108e12966
v.	w9_d108e12969
J.	w11_d108e12972
</list>
<head id="h2_d108e12979">
Summa	w1_d108e12983
17.	w3_d108e12986
Person.,	w5_d108e12989
darunter	w7_d108e12992
7.	w9_d108e12995
Kinder.	w11_d108e12998
Den	w1_d108e13003
9.	w3_d108e13006
Januarii.	w5_d108e13009
Jn	w1_d108e13014
der	w3_d108e13017
Stadt.	w5_d108e13020
Niemand.	w7_d108e13023
Vor	w1_d108e13029
der	w3_d108e13032
Stadt.	w5_d108e13035
</head>
<list id="l4_d108e13038">
Elisab.	w1_d108e13042
Grimin,	w3_d108e13045
Burgerl.	w5_d108e13048
Wittwe,	w7_d108e13051
beym	w9_d108e13054
wild.	w11_d108e13057
M.	w13_d108e13061
am	w1_d108e13066
Spitalberg,	w3_d108e13069
alt	w5_d108e13072
55.	w7_d108e13075
J.	w9_d108e13078
Dem	w1_d108e13083
Joh.	w3_d108e13086
Ritmansperger,	w5_d108e13089
Burgerl.	w7_d108e13092
Schneib.,	w9_d108e13095
s.	w11_d108e13098
K.	w1_d108e13104
Franz,	w3_d108e13107
beym	w5_d108e13110
gold.	w7_d108e13113
Engel	w9_d108e13116
bey	w11_d108e13119
Maria=hülf,	w13_d108e13123
alt	w1_d108e13128
2.	w3_d108e13131
J.	w5_d108e13134
Dem	w1_d108e13139
Franz	w3_d108e13142
Gruber,	w5_d108e13145
Burgerl.	w7_d108e13148
Schnallen=mach.,	w9_d108e13151
s.	w11_d108e13154
K.	w1_d108e13159
Susan.,	w3_d108e13162
beym	w5_d108e13165
rot.	w7_d108e13168
Rös.	w9_d108e13171
am	w11_d108e13174
Neustift.	w13_d108e13178
alt	w15_d108e13181
6.	w17_d108e13184
J.	w19_d108e13187
Dem	w1_d108e13193
Franz	w3_d108e13196
Rauer,	w5_d108e13199
gew.	w7_d108e13202
Tischl.,	w9_d108e13205
s.	w11_d108e13208
W.	w13_d108e13212
Evn,	w15_d108e13215
in	w17_d108e13218
s.	w19_d108e13221
H.	w1_d108e13226
oberm	w3_d108e13229
Neustift,	w5_d108e13232
alt	w7_d108e13235
64.	w9_d108e13238
J.	w11_d108e13241
Jos.	w1_d108e13246
Pasterk,	w3_d108e13249
gew.	w5_d108e13252
Toback=kram.,	w7_d108e13255
beym	w9_d108e13258
gold.	w11_d108e13261
Adl.	w13_d108e13265
bey	w1_d108e13270
Maria=hülf,	w3_d108e13273
alt	w5_d108e13276
56.	w7_d108e13279
J.	w9_d108e13282
Justina	w1_d108e13288
Pfarrerin,	w3_d108e13291
led.	w5_d108e13294
M.,	w7_d108e13297
bey	w9_d108e13300
denen	w11_d108e13303
3.	w13_d108e13307
Bind.	w15_d108e13310
bry	w1_d108e13315
Maria=hülf,	w3_d108e13318
alt	w5_d108e13321
62.	w7_d108e13324
J.	w9_d108e13327
Anna	w1_d108e13332
Sedlmayrin,	w3_d108e13335
Wittwe,	w5_d108e13338
beym	w7_d108e13341
schwarz	w9_d108e13344
Adler	w11_d108e13347
am	w1_d108e13352
Neubau,	w3_d108e13355
alt	w5_d108e13358
73.	w7_d108e13361
J.	w9_d108e13364
Dem	w1_d108e13370
Georg	w3_d108e13373
Henecker,	w5_d108e13376
gew.	w7_d108e13379
Postillion,	w9_d108e13382
s.	w11_d108e13385
W.	w13_d108e13389
So	w15_d108e13392
phia,	w1_d108e13397
beym	w3_d108e13400
schwarz.	w5_d108e13403
Thor	w7_d108e13406
auf	w9_d108e13409
der	w11_d108e13412
Landstr,	w13_d108e13416
50.	w15_d108e13419
J.	w17_d108e13422
Anna	w1_d108e13427
Fragnerin,	w3_d108e13430
Wittwe,	w5_d108e13433
bey	w7_d108e13436
denen	w9_d108e13439
2.	w11_d108e13442
Schlüs.	w13_d108e13446
oderm	w1_d108e13451
Neustift,	w3_d108e13454
alt	w5_d108e13457
65.	w7_d108e13460
J.	w9_d108e13463
</list>
<list id="l6_d108e13467">
Cordula	w1_d108e13471
Kernin,	w3_d108e13474
led.	w5_d108e13477
M.,	w7_d108e13480
beym	w9_d108e13483
rot.	w11_d108e13486
Apfel	w13_d108e13490
ober	w15_d108e13493
dem	w17_d108e13496
Neustift,	w1_d108e13501
alt	w3_d108e13504
44.	w5_d108e13507
J.	w7_d108e13510
Dem	w1_d108e13515
Joh.	w3_d108e13518
Beßwart,	w5_d108e13521
Roß=wart.,	w7_d108e13524
s.	w9_d108e13527
K.	w11_d108e13530
Theres.,	w13_d108e13534
im	w15_d108e13537
Strudel=hof,	w1_d108e13543
alt	w3_d108e13546
6.	w5_d108e13549
J.	w7_d108e13552
</list>
<head id="h2_d108e13559">
Summa	w1_d108e13563
13.	w3_d108e13566
Person.,	w5_d108e13569
darunter	w7_d108e13572
3.	w9_d108e13575
Kinder.	w11_d108e13578
Den	w1_d108e13583
10.	w3_d108e13586
Januarii.	w5_d108e13589
Jn	w1_d108e13594
der	w3_d108e13597
