<doc id="wr_1756-10-02" attrs="word" year="1756" month="10" day="02" corpus="2">
<head id="h2_d79e3406">
Neu=Yorck	w1_d79e3410
Schloß	w15_d79e10708
gasse	w1_d79e10713
offen	w3_d79e10716
gelassen	w5_d79e10719
worden.	w7_d79e10722
Die	w9_d79e10725
leedigen	w11_d79e10728
Schiffe,	w1_d79e10733
Kähne,	w3_d79e10736
und	w5_d79e10739
Fähren	w7_d79e10742
seynd	w9_d79e10745
alle	w11_d79e10748
nach	w13_d79e10752
Pirna	w1_d79e10758
geschaffet	w3_d79e10761
worden.	w5_d79e10764
</p>
<head id="h2_d79e10770">
Prag	w1_d79e10774
18.	w3_d79e10777
Sept.	w5_d79e10780
</head>
<p id="p4_d79e10783">
Gestern	w1_d79e10787
seynd	w3_d79e10790
die	w5_d79e10793
4.	w7_d79e10796
Cavallerieregimen	w9_d79e10799
ter	w1_d79e10804
Anspach,	w3_d79e10807
Serbelloni,	w5_d79e10810
Bretlach	w7_d79e10813
und	w9_d79e10816
Prinz	w11_d79e10819
Ferdinand,	w1_d79e10824
durch	w3_d79e10827
hiesige	w5_d79e10830
Prager=städte	w7_d79e10833
desi	w9_d79e10836
liret,	w1_d79e10842
und	w3_d79e10845
haben	w5_d79e10848
ihr	w7_d79e10851
Lager	w9_d79e10854
vor	w11_d79e10857
dem	w13_d79e10861
Sand	w15_d79e10864
thor	w1_d79e10869
aufgeschlagen,	w3_d79e10872
vor	w5_d79e10875
denenselben	w7_d79e10878
ist	w9_d79e10881
ein	w11_d79e10884
Trup	w1_d79e10889
Artilleristen	w3_d79e10892
mit	w5_d79e10895
48.	w7_d79e10898
Stücken	w9_d79e10901
unter	w11_d79e10904
Bedeckung	w1_d79e10909
einer	w3_d79e10912
Anzahl	w5_d79e10915
Grenadiers	w7_d79e10918
mit	w9_d79e10921
de	w11_d79e10924
nen	w1_d79e10930
Pontons	w3_d79e10933
hier	w5_d79e10936
eingerucket,	w7_d79e10939
welche	w9_d79e10942
auf	w11_d79e10945
der	w1_d79e10950
Marien=schanz	w3_d79e10953
ihr	w5_d79e10956
Lager	w7_d79e10959
aufgeschlagen.	w9_d79e10962
Es	w1_d79e10967
sollen	w3_d79e10970
heut	w5_d79e10973
noch	w7_d79e10976
2.	w9_d79e10979
Cavallerieregimen	w11_d79e10982
ter	w1_d79e10987
nachfolgen,	w3_d79e10990
die	w5_d79e10993
eben	w7_d79e10996
schon	w9_d79e10999
über	w11_d79e11002
hiesige	w13_d79e11006
Brücken	w1_d79e11012
passiren.	w3_d79e11015
</p>
<head id="h4_d79e11031">
Wien	w1_d79e11035
den	w3_d79e11038
2.	w5_d79e11041
October	w7_d79e11044
1756.	w9_d79e11047
</head>
<p id="p6_d79e11050">
MJttwochs	w1_d79e11054
den	w3_d79e11057
29.	w5_d79e11060
Sept.	w7_d79e11063
als	w9_d79e11066
am	w11_d79e11069
Fest	w13_d79e11073
du	w1_d79e11078
des	w1_d79e11083
heiligen	w3_d79e11086
Erz=engels	w5_d79e11089
Michael,	w7_d79e11092
Vor	w9_d79e11095
mittags	w1_d79e11101
haben	w3_d79e11104
beyde	w5_d79e11107
Kaiserl.	w7_d79e11110
Majestäten	w9_d79e11113
mit	w1_d79e11118
ihren	w3_d79e11121
Königl.	w5_d79e11124
Hoheiten	w7_d79e11127
denen	w9_d79e11130
älteren	w11_d79e11133
jungen	w1_d79e11138
Herrschafften	w3_d79e11141
dem	w5_d79e11144
wochentlichen	w7_d79e11147
Ge	w9_d79e11150
bett,	w1_d79e11155
und	w3_d79e11158
gewöhnlichen	w5_d79e11161
GOttes=dienst,	w7_d79e11164
dann	w9_d79e11167
Nachmittags	w1_d79e11173
der	w3_d79e11176
Vesper,	w5_d79e11179
Litaney,	w7_d79e11182
und	w9_d79e11185
dem	w1_d79e11190
Seegen	w3_d79e11193
in	w5_d79e11196
der	w7_d79e11199
Schönbrunnerschloßka	w9_d79e11202
pellen	w1_d79e11207
beygewohnet.	w3_d79e11210
</p>
<p id="p8_d79e11213">
Eodem	w1_d79e11217
Nachmittags	w3_d79e11220
hat	w5_d79e11223
Se.	w7_d79e11226
Excellen	w9_d79e11229
der	w1_d79e11234
bereits	w3_d79e11237
durch	w5_d79e11240
2.	w7_d79e11243
Jahr	w9_d79e11246
alhier	w11_d79e11249
in	w13_d79e11253
priva-	w15_d79e11256
tis	w1_d79e11261
sich	w3_d79e11264
befundene	w5_d79e11267
Päpstl.	w7_d79e11270
Nuntius	w9_d79e11273
Monsig.	w11_d79e11276
Crivelli	w1_d79e11282
dero	w3_d79e11285
offentlichen	w5_d79e11288
Einzug	w7_d79e11291
gehalten,	w9_d79e11294
wovon	w1_d79e11299
mit	w3_d79e11302
künftigen	w5_d79e11305
Post=tag	w7_d79e11308
eine	w9_d79e11311
ausführ	w11_d79e11314
liche	w1_d79e11319
Beschreibung	w3_d79e11322
ertheilet	w5_d79e11325
werden	w7_d79e11328
wird.	w9_d79e11331
</p>
<p id="p10_d79e11334">
wohnung	w1_d79e11338
Allerhöchster	w3_d79e11341
Herrschaften	w5_d79e11344
der	w7_d79e11347
or	w9_d79e11350
dinari	w1_d79e11355
GOttes=dienst,	w3_d79e11358
und	w5_d79e11361
Freytags	w1_d79e11366
den	w3_d79e11369
ersten	w5_d79e11372
October	w7_d79e11375
ein	w9_d79e11378
gleiches	w11_d79e11381
in	w1_d79e11387
obbesagter	w3_d79e11390
Schloß=kapellen	w5_d79e11393
gehalten	w7_d79e11396
wor	w9_d79e11399
den.	w1_d79e11404
</p>
<list id="l12_d79e11408">
Donnerstags	w1_d79e11412
den	w3_d79e11415
30.	w5_d79e11418
Sept.	w7_d79e11421
ist	w9_d79e11424
in	w11_d79e11427
Bey	w13_d79e11431
</list>
<p id="p14_d79e11435">
Eodem	w1_d79e11439
um	w3_d79e11442
11.	w5_d79e11445
Uhr,	w7_d79e11448
hatte	w9_d79e11451
oberwehnt	w11_d79e11454
Se.	w13_d79e11458
Exfellenz	w1_d79e11463
der	w3_d79e11466
Monsig.	w5_d79e11469
Nuntius	w7_d79e11472
bey	w9_d79e11475
beyden	w11_d79e11478
Kaiserl.	w1_d79e11483
Majestäten	w3_d79e11486
mit	w5_d79e11489
den	w7_d79e11492
gewöhnlichen	w9_d79e11495
Ceremonien	w1_d79e11501
seine	w3_d79e11504
offentliche	w5_d79e11507
Audienz.	w7_d79e11510
</p>
<p id="p16_d79e11513">
Es	w1_d79e11517
haben	w3_d79e11520
Jhre	w5_d79e11523
Kaiserl.	w7_d79e11526
auch	w9_d79e11529
Kaiserl.	w11_d79e11532
Kö	w13_d79e11536
nigl.	w1_d79e11541
Majestäten	w3_d79e11544
unterm	w5_d79e11547
26.	w7_d79e11550
erst	w9_d79e11553
abgewiche	w11_d79e11556
nen	w1_d79e11561
Monats	w3_d79e11564
Sept.	w5_d79e11567
allermildest	w7_d79e11570
geruhet,	w9_d79e11573
Al	w11_d79e11576
lerhöchst=deroselben	w1_d79e11582
bishero	w3_d79e11585
an	w5_d79e11588
dem	w7_d79e11591
Königl.	w9_d79e11594
Französischen	w1_d79e11599
Hof	w3_d79e11602
als	w5_d79e11605
Minister	w7_d79e11608
Plenipo-	w9_d79e11611
tentiaire	w1_d79e11616
angestellt	w3_d79e11619
gewesten	w5_d79e11622
Hrn.	w7_d79e11625
Georg	w9_d79e11628
Grafen	w1_d79e11633
von	w3_d79e11636
Starhenberg	w5_d79e11639
zum	w7_d79e11642
Bottschafter	w9_d79e11645
bey	w1_d79e11651
Sr.	w3_d79e11654
Allerchristl.	w5_d79e11657
Majestät	w7_d79e11660
durch	w9_d79e11663
des	w11_d79e11666
Kaiserl.	w1_d79e11671
auch	w3_d79e11674
Kaiserl.	w5_d79e11677
Königl.	w7_d79e11680
ersten	w9_d79e11683
Obrist	w11_d79e11686
hof=meisters	w1_d79e11691
Grafens	w3_d79e11694
von	w5_d79e11697
Ulfeld	w7_d79e11700
Excellen	w9_d79e11703
förmlich	w1_d79e11708
declariren	w3_d79e11711
zu	w5_d79e11714
lassen.	w7_d79e11717
</p>
<p id="p18_d79e11720">
NB.	w1_d79e11724
Bey	w3_d79e11727
heutiger	w5_d79e11730
Zeitung	w7_d79e11733
befinden	w9_d79e11736
sich	w11_d79e11739
nebst	w1_d79e11744
dem	w3_d79e11747
gewöhnlichen	w5_d79e11750
Anhang	w7_d79e11753
auch	w9_d79e11756
zwey	w11_d79e11759
extra=blätter;	w1_d79e11764
deren	w3_d79e11767
das	w5_d79e11770
erstere	w7_d79e11773
ein	w9_d79e11776
Feld	w11_d79e11779
diarium	w1_d79e11785
aus	w3_d79e11788
denen	w5_d79e11791
beyden	w7_d79e11794
Kaiserl.	w9_d79e11797
Königl.	w11_d79e11800
Lageren	w1_d79e11805
bey	w3_d79e11808
Budin,	w5_d79e11811
und	w7_d79e11814
bey	w9_d79e11817
Spalena	w11_d79e11820
Lhotka,	w13_d79e11824
das	w1_d79e11829
anderte	w3_d79e11832
aber	w5_d79e11835
das	w7_d79e11838
von	w9_d79e11841
Sr.	w11_d79e11844
Kaiserl.	w13_d79e11848
Ma	w15_d79e11851
jestät	w1_d79e11856
an	w3_d79e11859
den	w5_d79e11862
König	w7_d79e11865
von	w9_d79e11868
Preussen	w11_d79e11871
erlassene	w13_d79e11875
Dehorte	w1_d79e11881
torium	w3_d79e11884
enthaltet.	w5_d79e11887
Jedes	w7_d79e11890
Stück	w9_d79e11893
à	w11_d79e11896
parte	w1_d79e11901
à	w3_d79e11904
3.	w5_d79e11907
Kr.	w7_d79e11910
</p>
<head id="h2_d79e11917">
Lista	w1_d79e11921
deren	w3_d79e11924
Verstorbenen	w5_d79e11927
zu	w7_d79e11930
Wien	w9_d79e11933
in	w1_d79e11938
und	w3_d79e11941
vor	w5_d79e11944
der	w7_d79e11947
Stadt.	w9_d79e11950
</head>
<head id="h2_d79e11956">
Den	w1_d79e11960
29.	w3_d79e11963
Septemb.	w5_d79e11966
Jn	w1_d79e11971
der	w3_d79e11974
Stadt.	w5_d79e11977
Niemand.	w7_d79e11980
Vor	w1_d79e11985
der	w3_d79e11988
Stadt.	w5_d79e11991
</head>
<list id="l4_d79e11994">
Math.	w1_d79e11998
Vogel,	w3_d79e12001
gew.	w5_d79e12004
Schreib.,	w7_d79e12007
bey	w9_d79e12010
der	w11_d79e12013
schön.	w13_d79e12017
Schäf	w15_d79e12020
ferin	w1_d79e12025
oberm	w3_d79e12028
Neustift,	w5_d79e12031
alt	w7_d79e12034
62.	w9_d79e12037
J.	w11_d79e12040
Daniel	w1_d79e12045
Dorman,	w3_d79e12048
Schneid.,	w5_d79e12051
beym	w7_d79e12054
grün.	w9_d79e12057
Kranz	w11_d79e12060
am	w13_d79e12064
Neubau,	w1_d79e12070
alt	w3_d79e12073
52.	w5_d79e12076
J.	w7_d79e12079
Dem	w1_d79e12084
Thom.	w3_d79e12087
Fichtl,	w5_d79e12090
Sailern,	w7_d79e12093
s.	w9_d79e12096
K.	w11_d79e12099
Math.,	w13_d79e12103
beym	w15_d79e12106
blech.	w1_d79e12111
Thurn	w3_d79e12114
ausserm	w5_d79e12117
Klag=baum,	w7_d79e12120
alt	w9_d79e12123
5.	w11_d79e12126
J.	w13_d79e12130
Math.	w1_d79e12135
Hilleptand,	w3_d79e12138
Schneid.,	w5_d79e12141
beym	w7_d79e12144
gold.	w9_d79e12147
Engel	w11_d79e12150
bey	w13_d79e12154
Maria	w1_d79e12160
hülf,	w3_d79e12163
alt	w5_d79e12166
81.	w7_d79e12169
J.	w9_d79e12172
Barthl.	w1_d79e12177
Planer,	w3_d79e12180
alt	w5_d79e12183
66.	w7_d79e12186
J.,	w9_d79e12189
und	w11_d79e12192
Jos.	w13_d79e12196
Schmid,	w15_d79e12199
alt	w17_d79e12202
41.	w1_d79e12207
J.,	w3_d79e12210
beyde	w5_d79e12213
der	w7_d79e12216
denen	w9_d79e12219
FF.	w11_d79e12222
Mis.	w13_d79e12226
Summa	w1_d79e12231
6.	w3_d79e12234
Person.,	w5_d79e12237
darunter	w7_d79e12240
1.	w9_d79e12243
Kind.	w11_d79e12246
</list>
<head id="h2_d79e12253">
Den	w1_d79e12257
30.	w3_d79e12260
Septemb.	w5_d79e12263
Jn	w1_d79e12268
der	w3_d79e12271
Stadt.	w5_d79e12274
</head>
<list id="l4_d79e12277">
Dem	w1_d79e12281
Hrn.	w3_d79e12284
Georg	w5_d79e12287
Jgnatz	w7_d79e12290
Koller,	w9_d79e12293
K.	w11_d79e12296
K.	w13_d79e12300
Hof=musico,	w15_d79e12303
s.	w1_d79e12308
Jungs.	w3_d79e12311
T.	w5_d79e12314
Cathar.,	w7_d79e12317
im	w9_d79e12320
Gaminger=hof,	w11_d79e12323
21.	w13_d79e12327
J.	w15_d79e12330
Dem	w1_d79e12335
Jos.	w3_d79e12338
Zotz,	w5_d79e12341
Maurern,	w7_d79e12344
s.	w9_d79e12347
K.	w11_d79e12350
Josepha,	w13_d79e12354
in	w15_d79e12357
Cobenz	w17_d79e12360
lis.	w1_d79e12366
H.	w3_d79e12369
in	w5_d79e12372
der	w7_d79e12375
Teintfalt=stras.,	w9_d79e12378
alt	w11_d79e12381
2.	w13_d79e12385
J.	w15_d79e12388
</list>
<head id="h2_d79e12395">
Vor	w1_d79e12399
der	w3_d79e12402
Stadt.	w5_d79e12405
</head>
<list id="l4_d79e12408">
Dem	w1_d79e12412
Math.	w3_d79e12415
Bärtl,	w5_d79e12418
Fragnern,	w7_d79e12421
s.	w9_d79e12424
K.	w11_d79e12427
Theres.,	w13_d79e12431
in	w15_d79e12434
s.	w17_d79e12437
H.	w1_d79e12442
untern	w3_d79e12445
Weiß=gärb.,	w5_d79e12448
alt	w7_d79e12451
1.	w9_d79e12454
J.	w11_d79e12457
Dem	w1_d79e12462
Joh.	w3_d79e12465
Unfried,	w5_d79e12468
Flinderl=schlag.,	w7_d79e12471
s.	w9_d79e12474
K.	w11_d79e12477
Joh.	w13_d79e12481
bey	w15_d79e12484
dem	w1_d79e12490
Rit.	w3_d79e12493
St.	w5_d79e12496
Georg	w7_d79e12499
am	w9_d79e12502
Spitalberg,	w11_d79e12505
alt	w13_d79e12509
3.	w15_d79e12512
J.	w17_d79e12515
Der	w1_d79e12520
Anna	w3_d79e12523
Niederdecklin,	w5_d79e12526
Wittwe,	w7_d79e12529
ihr	w9_d79e12532
K.	w11_d79e12535
Pet.,	w13_d79e12539
bey	w15_d79e12542
dem	w1_d79e12547
bl.	w3_d79e12550
Löw.	w5_d79e12553
am	w7_d79e12556
Neustift,	w9_d79e12559
alt	w11_d79e12562
8.	w13_d79e12566
J.	w15_d79e12569
Dem	w1_d79e12574
Conrad	w3_d79e12577
Krauß,	w5_d79e12580
Lehen=kutsch.,	w7_d79e12583
s.	w9_d79e12586
K.	w11_d79e12589
Theres.,	w13_d79e12593
beym	w1_d79e12599
schwarz.	w3_d79e12602
Adl.	w5_d79e12605
auf	w7_d79e12608
der	w9_d79e12611
Wendelst.	w11_d79e12614
6.	w13_d79e12618
v.	w15_d79e12621
J.	w17_d79e12624
</list>
<head id="h2_d79e12631">
Summa	w1_d79e12635
6.	w3_d79e12638
Person.,	w5_d79e12641
darunter	w7_d79e12644
5.	w9_d79e12647
Kinder.	w11_d79e12650
Den	w1_d79e12655
1.	w3_d79e12658
October	w5_d79e12661
Jn	w1_d79e12666
der	w3_d79e12669
Stadt.	w5_d79e12672
</head>
<list id="l4_d79e12675">
Adam	w1_d79e12679
Baner,	w3_d79e12682
Burgerl.	w5_d79e12685
Häringer,	w7_d79e12688
beym	w9_d79e12691
grün	w11_d79e12694
Hir	w13_d79e12698
schel	w1_d79e12703
im	w3_d79e12706
tief.	w5_d79e12709
Grab.,	w7_d79e12712
alt	w9_d79e12715
46.	w11_d79e12718
J.	w13_d79e12722
Dem	w1_d79e12727
Carl	w3_d79e12730
Pauminger,	w5_d79e12733
Hausmeist.,	w7_d79e12736
s.	w9_d79e12739
W.	w11_d79e12742
Elisab.,	w13_d79e12746
im	w1_d79e12752
Margarehten=hof,	w3_d79e12755
alt	w5_d79e12758
30.	w7_d79e12761
J.	w9_d79e12764
</list>
<head id="h2_d79e12771">
Vor	w1_d79e12775
der	w3_d79e12778
Stadt.	w5_d79e12781
</head>
<list id="l4_d79e12784">
Dem	w1_d79e12788
Simon	w3_d79e12791
Monhart,	w5_d79e12794
Burgerl.	w7_d79e12797
Sakl.,	w9_d79e12800
s.	w11_d79e12803
K.	w13_d79e12807
Leop.	w15_d79e12810
beym	w1_d79e12815
gold.	w3_d79e12818
Adl.	w5_d79e12821
auf	w7_d79e12824
der	w9_d79e12827
Wied.,	w11_d79e12830
alt	w13_d79e12834
5.	w15_d79e12837
J.	w17_d79e12840
Dem	w1_d79e12845
Carl	w3_d79e12848
Miderin,	w5_d79e12851
Bild=hauer=ges.,	w7_d79e12854
s.	w9_d79e12857
K.	w11_d79e12860
Nexom.	w13_d79e12864
bey	w1_d79e12870
der	w3_d79e12873
bl.	w5_d79e12876
Flasch.	w7_d79e12879
am	w9_d79e12882
Neubau.	w11_d79e12885
alt	w13_d79e12889
6.	w15_d79e12892
v.	w17_d79e12895
J.	w19_d79e12898
Dem	w1_d79e12903
Joh.	w3_d79e12906
Walter,	w5_d79e12909
Schos.,	w7_d79e12912
s.	w9_d79e12915
K.	w11_d79e12918
Anna,	w13_d79e12922
bey	w15_d79e12925
dem	w17_d79e12928
Stadel	w1_d79e12933
am	w3_d79e12936
Neubau,	w5_d79e12939
alt	w7_d79e12942
3.	w9_d79e12945
J.	w11_d79e12948
Dem	w1_d79e12953
Lorenz	w3_d79e12956
Pregarkner,	w5_d79e12959
Maurern,	w7_d79e12962
s.	w9_d79e12965
K.	w11_d79e12968
Jos.,	w13_d79e12972
bey	w15_d79e12975
der	w1_d79e12981
gold.	w3_d79e12984
Sonn	w5_d79e12987
am	w7_d79e12990
Thurr,	w9_d79e12993
alt	w11_d79e12996
6.	w13_d79e13000
v.	w15_d79e13003
J.	w17_d79e13006
Dem	w1_d79e13011
Sekast.	w3_d79e13014
Höfinger,	w5_d79e13017
Kutsch.,	w7_d79e13020
s.	w9_d79e13023
K.	w11_d79e13026
Margar.,	w13_d79e13030
bey	w15_d79e13033
denen	w1_d79e13038
3.	w3_d79e13041
Lil	w5_d79e13044
am	w7_d79e13047
Magdal.	w9_d79e13050
gr.,	w11_d79e13053
alt	w13_d79e13057
2.	w15_d79e13060
J	w17_d79e13063
Rollna	w1_d79e13068
Zierachin,	w3_d79e13071
in	w5_d79e13074
St.	w7_d79e13077
Joh.	w9_d79e13080
Nep.	w11_d79e13083
Spit.,	w13_d79e13087
72.	w15_d79e13090
J.	w17_d79e13093
Summa	w1_d79e13099
4.	w3_d79e13102
Person.,	w5_d79e13105
darunter	w7_d79e13108
5.	w9_d79e13111
Kinder.	w11_d79e13114
</list>
<head id="h2_d79e13122">
AVERTISSEMENT.	w1_d79e13126
</head>
<p id="p4_d79e13129">
Es	w1_d79e13133
wird	w3_d79e13136
hiemit	w5_d79e13139
jedermänniglich	w7_d79e13142
zu	w9_d79e13145
wissen	w11_d79e13148
gemacht,	w1_d79e13153
daß	w3_d79e13156
die	w5_d79e13159
von	w7_d79e13162
dem	w9_d79e13165
alhier	w11_d79e13168
verstor	w13_d79e13172
benen	w1_d79e13177
Kaiserl.	w3_d79e13180
Königl.	w5_d79e13183
N.	w7_d79e13186
Oe.	w9_d79e13189
Repräsenta	w11_d79e13192
tions	w1_d79e13198
und	w3_d79e13201
Can	w5_d79e13204
mer=raht	w7_d79e13207
Hrn.	w9_d79e13210
von	w11_d79e13213
Schmer	w13_d79e13217
</p>
<p id="p10_d79e13230">
ling	w1_d79e13234
ruckgelassene	w3_d79e13237
Zahl=reiche	w5_d79e13240
und	w7_d79e13243
kostbare	w9_d79e13246
Bibliothec,	w1_d79e13251
so	w3_d79e13254
ungefähr	w5_d79e13257
aus	w7_d79e13260
8000.	w9_d79e13263
Bän	w11_d79e13266
den	w1_d79e13271
bestehet,	w3_d79e13274
und	w5_d79e13277
die	w7_d79e13280
vortrefflichste	w9_d79e13283
Werke	w11_d79e13286
von	w1_d79e13292
allen	w3_d79e13295
Gattungen	w5_d79e13298
der	w7_d79e13301
Wissenschaften	w9_d79e13304
ent	w11_d79e13307
haltet,	w1_d79e13312
an	w3_d79e13315
die	w5_d79e13318
Meist=bietende	w7_d79e13321
werde	w9_d79e13324
veräuf	w11_d79e13327
seret	w1_d79e13332
werden.	w3_d79e13335
</p>
<p id="p12_d79e13339">
Eine	w1_d79e13343
gleiche	w3_d79e13346
Vergantung	w5_d79e13349
wird	w7_d79e13352
auch	w9_d79e13355
mit	w11_d79e13358
einer	w1_d79e13363
seltenen	w3_d79e13366
Samlung	w5_d79e13369
von	w7_d79e13372
vielen	w9_d79e13375
tausend	w11_d79e13378
Kupfer=stichen	w1_d79e13383
erfolgen.	w3_d79e13386
Es	w5_d79e13389
seynd	w7_d79e13392
in	w9_d79e13395
der	w11_d79e13398
selben	w1_d79e13404
die	w3_d79e13407
schönste	w5_d79e13410
Werke	w7_d79e13413
derer	w9_d79e13416
berühmtesten	w11_d79e13419
Meister,	w1_d79e13424
sowol	w3_d79e13427
in	w5_d79e13430
der	w7_d79e13433
Mahler	w9_d79e13436
als	w11_d79e13439
Gravier	w13_d79e13443
kunst,	w1_d79e13448
und	w3_d79e13451
darunter	w5_d79e13454
sehr	w7_d79e13457
viele	w9_d79e13460
erste	w11_d79e13463
Abdrücke	w13_d79e13467
anzutreffen:	w1_d79e13472
man	w3_d79e13475
getrauet	w5_d79e13478
sich,	w7_d79e13481
diese	w9_d79e13484
Samm	w11_d79e13487
lung	w1_d79e13493
für	w3_d79e13496
auserlösen,	w5_d79e13499
und	w7_d79e13502
vollständig	w9_d79e13505
anzu	w11_d79e13508
preisen.	w1_d79e13513
</p>
<p id="p14_d79e13516">
Der	w1_d79e13520
Catalogus	w3_d79e13523
von	w5_d79e13526
Büchern	w7_d79e13529
sowol,	w9_d79e13532
als	w11_d79e13535
von	w1_d79e13540
Kupferstichen	w3_d79e13543
wird	w5_d79e13546
gegen	w7_d79e13549
dem	w9_d79e13552
Ende	w11_d79e13555
des	w13_d79e13559
bevorstehenden	w1_d79e13564
Monats	w3_d79e13567
Octobris	w5_d79e13570
alhier	w7_d79e13573
in	w9_d79e13576
Wien	w1_d79e13582
in	w3_d79e13585
dem	w5_d79e13588
goldenen	w7_d79e13591
Vließe	w9_d79e13594
auf	w11_d79e13597
der	w13_d79e13601
ho	w15_d79e13604
hen	w1_d79e13609
Brucke	w3_d79e13612
unentgeltlich	w5_d79e13615
zu	w7_d79e13618
bekommen	w9_d79e13621
seyn.	w1_d79e13626
</p>
<p id="p16_d79e13629">
Man	w1_d79e13633
findet	w3_d79e13636
sich	w5_d79e13639
noch	w7_d79e13642
nicht	w9_d79e13645
im	w11_d79e13648
Stande,	w13_d79e13652
den	w15_d79e13655
eigentlichen	w1_d79e13660
Tag	w3_d79e13663
der	w5_d79e13666
Vergantung	w7_d79e13669
fest	w9_d79e13672
zu	w11_d79e13675
se	w13_d79e13679
tzen:	w1_d79e13684
doch	w3_d79e13687
ist	w5_d79e13690
vorläuffig	w7_d79e13693
gewiß,	w9_d79e13696
daß	w11_d79e13699
sie	w13_d79e13703
in	w15_d79e13706
denen	w1_d79e13712
ersteren	w3_d79e13715
Tägen	w5_d79e13718
des	w7_d79e13721
künftigen	w9_d79e13724
Monats	w11_d79e13727
Decembris	w1_d79e13732
ihren	w3_d79e13735
Anfang	w5_d79e13738
nehmen	w7_d79e13741
solle:	w9_d79e13744
und	w11_d79e13747
man	w1_d79e13752
wird	w3_d79e13755
bey	w5_d79e13758
Herausgebung	w7_d79e13761
deren	w9_d79e13764
Catalo	w11_d79e13767
gorum	w1_d79e13772
den	w3_d79e13775
eigentlichen	w5_d79e13778
Tag	w7_d79e13781
anzumerken	w9_d79e13784
un	w11_d79e13787
vergessen	w1_d79e13793
seyn.	w3_d79e13796
</p>
<p id="p18_d79e13799">
Woferne	w1_d79e13803
jemand	w3_d79e13806
Belieben	w5_d79e13809
trüge,	w7_d79e13812
entweder	w9_d79e13815
die	w1_d79e13820
Bibliotheck,	w3_d79e13823
oder	w5_d79e13826
die	w7_d79e13829
Kupfer=stiche	w9_d79e13832
über	w11_d79e13835
haupts	w1_d79e13840
im	w3_d79e13843
ganzen	w5_d79e13846
an	w7_d79e13849
sich	w9_d79e13852
zu	w11_d79e13855
bringen,	w13_d79e13859
so	w15_d79e13862
wird	w17_d79e13865
derselbe	w1_d79e13871
hiemit	w3_d79e13874
ersuchet,	w5_d79e13877
sich	w7_d79e13880
alhier	w9_d79e13883
in	w11_d79e13886
der	w13_d79e13890
obern	w1_d79e13895
Bäcker=strasse	w3_d79e13898
in	w5_d79e13901
dem	w7_d79e13904
von	w9_d79e13907
Schmerlin	w11_d79e13910
gischen	w1_d79e13915
Hause	w3_d79e13918
im	w5_d79e13921
zweyten	w7_d79e13924
Stock	w9_d79e13927
anzumel	w11_d79e13930
den,	w1_d79e13935
und	w3_d79e13938
eines	w5_d79e13941
billigen	w7_d79e13944
Preises	w9_d79e13947
sich	w11_d79e13950
zum	w13_d79e13954
Vor	w15_d79e13957
aus	w1_d79e13963
versichert	w3_d79e13966
zu	w5_d79e13969
halten.	w7_d79e13972
</p>
<p id="p20_d79e13975">
NB.	w1_d79e13979
Es	w3_d79e13982
seynd	w5_d79e13985
hier	w7_d79e13988
wieder	w9_d79e13991
angekommen	w11_d79e13994
die	w1_d79e13999
Gebrüdere	w3_d79e14002
Montani	w5_d79e14005
mit	w7_d79e14008
verschiedenen	w9_d79e14011
Blumen	w1_d79e14016
zwiebeln,	w3_d79e14019
wie	w5_d79e14022
folget:	w7_d79e14025
</p>
<p id="p22_d79e14028">
Narcissi	w1_d79e14032
nobili	w3_d79e14035
von	w5_d79e14038
4.	w7_d79e14041
Sorten.	w9_d79e14044
Fruhe	w11_d79e14047
Narcissen.	w1_d79e14052
Gefüllte	w3_d79e14055
Tazzetten.	w5_d79e14058
Weisse	w7_d79e14061
Taz	w9_d79e14064
zeten.	w1_d79e14069
Gelbe	w3_d79e14072
Tazzetten.	w5_d79e14075
Gefüllte	w7_d79e14078
weisse	w9_d79e14081
Hya	w11_d79e14084
cinten,	w1_d79e14090
Leib=farbe	w3_d79e14093
gefüllte	w5_d79e14096
Hyacinten.	w7_d79e14099
Viol	w9_d79e14102
blaue	w1_d79e14107
gefüllte	w3_d79e14110
Hyacinthen.	w5_d79e14113
Frühe	w7_d79e14116
Hyacinten.	w9_d79e14119
Gefüllte	w1_d79e14124
Jonquilien.	w3_d79e14127
Doppelte	w5_d79e14130
weisse	w7_d79e14133
Spani	w9_d79e14136
sche	w1_d79e14141
Jonquilien.	w3_d79e14144
Gedoppelte	w5_d79e14147
Arunculen.	w7_d79e14150
Von	w9_d79e14153
dreyßigerley	w1_d79e14159
Farben,	w3_d79e14162
allerhand	w5_d79e14165
Arunculen.	w7_d79e14168
Arunculen	w1_d79e14173
la	w3_d79e14176
Bella	w5_d79e14179
di	w7_d79e14182
Brusseles,	w9_d79e14185
Gelbe	w11_d79e14188
</p>
<p id="p24_d79e14192">
Arunculen.	w1_d79e14196
Arunculen	w3_d79e14199
die	w5_d79e14202
schöne	w7_d79e14205
von	w9_d79e14208
Or	w11_d79e14211
leans.	w1_d79e14216
Gesprengte	w3_d79e14219
Arunculen	w5_d79e14222
von	w7_d79e14225
verschie	w9_d79e14228
denen	w1_d79e14233
Farben.	w3_d79e14236
Arunculen	w5_d79e14239
der	w7_d79e14242
Prinz	w9_d79e14245
von	w11_d79e14248
Ora	w13_d79e14252
nien.	w1_d79e14258
Pur	w3_d79e14261
rote	w5_d79e14264
extra	w7_d79e14267
