<doc id="wr_1760-10-11" attrs="word" year="1760" month="10" day="11" corpus="2">
<head id="h2_d492e3019">
Falda=strom	w1_d492e3023
Franz	w1_d492e10306
Carwath,	w3_d492e10309
Kutsch,	w5_d492e10312
im	w7_d492e10315
alt=Liechtensteinisch.	w9_d492e10318
H.	w1_d492e10323
in	w3_d492e10326
der	w5_d492e10329
Herren=gas.,	w7_d492e10332
alt	w9_d492e10335
52.	w11_d492e10338
J.	w13_d492e10342
</list>
<head id="h2_d492e10349">
Vor	w1_d492e10353
der	w3_d492e10356
Stadt.	w5_d492e10359
</head>
<list id="l4_d492e10362">
Dem	w1_d492e10366
Hrn.	w3_d492e10369
Carl	w5_d492e10372
Jos.	w7_d492e10375
Schmid	w9_d492e10378
v.	w11_d492e10381
Eisenberg,	w13_d492e10385
gew.	w15_d492e10388
Leuten.,	w1_d492e10393
s.	w3_d492e10396
K.	w5_d492e10399
Phil.	w7_d492e10402
beyn	w9_d492e10405
2.	w11_d492e10408
gold.	w13_d492e10412
Kreutz.	w15_d492e10415
am	w17_d492e10418
Spitalberg,	w1_d492e10423
alt	w3_d492e10426
1.	w5_d492e10429
J.	w7_d492e10432
Susan.	w1_d492e10438
Fischerin,	w3_d492e10441
Burgerl.	w5_d492e10444
Wittwe	w7_d492e10447
beym	w9_d492e10450
rot.	w11_d492e10453
Ygel	w13_d492e10457
am	w1_d492e10462
Hungelerunn,	w3_d492e10465
alt	w5_d492e10468
72.	w7_d492e10471
J.	w9_d492e10474
Dem	w1_d492e10479
Georg	w3_d492e10482
Reichard,	w5_d492e10485
Burgerl.	w7_d492e10488
Drat	w9_d492e10491
zieh,	w11_d492e10494
s.	w13_d492e10498
W	w15_d492e10501
Elisab.,	w1_d492e10506
bey	w3_d492e10509
der	w5_d492e10512
bl.	w7_d492e10515
Flasch.	w9_d492e10518
am	w11_d492e10521
Neubau,	w13_d492e10525
48.	w15_d492e10528
J.	w17_d492e10531
Dem	w1_d492e10537
Joh.	w3_d492e10540
Walch,	w5_d492e10543
Burgerl.	w7_d492e10546
Schnallen=mach.,	w9_d492e10549
s.	w11_d492e10552
W.	w13_d492e10556
Barb.,	w1_d492e10561
in	w3_d492e10564
ihrem	w5_d492e10567
H.	w7_d492e10570
auf	w9_d492e10573
der	w11_d492e10576
Wied.,	w13_d492e10580
alt	w15_d492e10583
68.	w17_d492e10586
J.	w19_d492e10589
Dem	w1_d492e10594
Joh.	w3_d492e10597
Frölich,	w5_d492e10600
Zimmer=meist,	w7_d492e10603
s.	w9_d492e10606
W	w11_d492e10609
Rosalia,	w13_d492e10613
beyn	w1_d492e10618
6.	w3_d492e10621
Krüg.	w5_d492e10624
zu	w7_d492e10627
Mätzleinstorf,	w9_d492e10630
alt	w11_d492e10633
46	w13_d492e10637
J.	w15_d492e10640
Dem	w1_d492e10646
Jos.	w3_d492e10649
Schwah,	w5_d492e10652
Stick.,	w7_d492e10655
s.	w9_d492e10658
T.	w11_d492e10661
Theres.,	w13_d492e10665
beym	w15_d492e10668
kl.	w17_d492e10671
Blumen=stock	w1_d492e10676
bey	w3_d492e10679
Maria	w5_d492e10682
hülf,	w7_d492e10685
alt	w9_d492e10688
17.	w11_d492e10691
J.	w13_d492e10695
Joh.	w1_d492e10700
Schneider,	w3_d492e10703
Steinmetz=ges.,	w5_d492e10706
beym	w7_d492e10709
Mond=sch.	w9_d492e10712
auf	w1_d492e10717
der	w3_d492e10720
Wied.,	w5_d492e10723
alt	w7_d492e10726
26.	w9_d492e10729
J.	w11_d492e10732
Cathar.	w1_d492e10738
Hönigspergerin,	w3_d492e10741
Wittwe,	w5_d492e10744
bey	w7_d492e10747
der	w9_d492e10750
Flucht	w11_d492e10753
in	w1_d492e10758
Egypt.	w3_d492e10761
auf	w5_d492e10764
der	w7_d492e10767
Wied.,	w9_d492e10770
alt	w11_d492e10773
79.	w13_d492e10777
J.	w15_d492e10780
</list>
<head id="h2_d492e10787">
Summa	w1_d492e10791
l2.	w3_d492e10794
Pers.,	w5_d492e10797
darunter	w7_d492e10800
1.	w9_d492e10803
Kind.	w11_d492e10806
</head>
<list id="l4_d492e10809">
Jud	w1_d492e10813
Simon,	w3_d492e10816
in	w5_d492e10819
der	w7_d492e10822
Juden=begräbnuß	w9_d492e10825
in	w11_d492e10828
der	w13_d492e10832
Ros	w15_d492e10835
sau,	w1_d492e10840
alt	w3_d492e10843
19.	w5_d492e10846
J.	w7_d492e10849
</list>
<head id="h2_d492e10856">
Den	w1_d492e10860
8.	w3_d492e10863
Octob.	w5_d492e10866
Jn	w1_d492e10871
der	w3_d492e10874
Stadt.	w5_d492e10877
</head>
<list id="l4_d492e10880">
Der	w1_d492e10884
Wol=ehrw.	w3_d492e10887
P.	w5_d492e10890
Cyril.	w7_d492e10893
Bauman,	w9_d492e10896
Ord.	w11_d492e10899
St.	w13_d492e10903
Fran.	w15_d492e10906
im	w1_d492e10911
Kloster	w3_d492e10914
bey	w5_d492e10917
St.	w7_d492e10920
Hieron.	w9_d492e10923
alt	w11_d492e10926
38.	w13_d492e10930
J.	w15_d492e10933
Die	w1_d492e10938
Wol=edle	w3_d492e10941
Jungs.	w5_d492e10944
Francisca	w7_d492e10947
Cretierin,	w9_d492e10950
beym	w11_d492e10953
schwarz.	w1_d492e10959
Thor	w3_d492e10962
in	w5_d492e10965
der	w7_d492e10968
Schenkenstr.,	w9_d492e10971
alt	w11_d492e10974
8.	w13_d492e10978
J.	w15_d492e10981
</list>
<head id="h2_d492e10989">
Vor	w1_d492e10993
der	w3_d492e10996
Stadt.	w5_d492e10999
</head>
<list id="l4_d492e11002">
David	w1_d492e11006
Clauß,	w3_d492e11009
Burgerl.	w5_d492e11012
Gold-spin.,	w7_d492e11015
beyn	w9_d492e11018
3.	w11_d492e11021
Brüd.	w13_d492e11025
bey	w1_d492e11030
St.	w3_d492e11033
Ulrich,	w5_d492e11036
alt	w7_d492e11039
61.	w9_d492e11042
J.	w11_d492e11045
Dem	w1_d492e11050
Lorenz	w3_d492e11053
Hauber,	w5_d492e11056
Burgerl.	w7_d492e11059
Bier=leut=geb.,	w9_d492e11062
s.	w11_d492e11065
K.	w13_d492e11069
There.,	w1_d492e11075
beym	w3_d492e11078
gold.	w5_d492e11081
Rös.	w7_d492e11084
in	w9_d492e11087
der	w11_d492e11090
Leopoldst.,	w13_d492e11094
5.	w15_d492e11097
J.	w17_d492e11100
Dem	w1_d492e11105
Joh.	w3_d492e11108
Reger,	w5_d492e11111
Schneid.,	w7_d492e11114
s.	w9_d492e11117
W.	w11_d492e11120
Anna,	w13_d492e11124
in	w15_d492e11127
dem	w17_d492e11130
Bildhaueris.	w1_d492e11135
H.	w3_d492e11138
am	w5_d492e11141
Spitalberg,	w7_d492e11144
alt	w9_d492e11147
54.	w11_d492e11150
J.	w13_d492e11154
Dem	w1_d492e11159
Jos.	w3_d492e11162
Reuterer,	w5_d492e11165
Wacht.,	w7_d492e11168
s.	w9_d492e11171
K.	w11_d492e11174
Simon,	w13_d492e11178
im	w15_d492e11181
Fleischhackeris.	w1_d492e11187
H.	w3_d492e11190
zu	w5_d492e11193
Gumpendorf,	w7_d492e11196
alt	w9_d492e11199
=7.	w11_d492e11202
J.	w13_d492e11206
Dem	w1_d492e11211
Joh.	w3_d492e11214
Roht,	w5_d492e11217
Tag	w7_d492e11220
löhn.,	w9_d492e11223
s.	w11_d492e11226
K.	w13_d492e11230
Josepha,	w15_d492e11233
beyn	w17_d492e11236
3.	w1_d492e11241
Sens.	w3_d492e11244
im	w5_d492e11247
Lerchenf.,	w7_d492e11250
alt	w9_d492e11253
11.	w11_d492e11256
J.	w13_d492e11260
Leonh.	w1_d492e11265
Pfeffer,	w3_d492e11268
Schuh=mach,	w5_d492e11271
beym	w7_d492e11274
gold.	w9_d492e11277
Hecht.	w11_d492e11280
am	w13_d492e11284
Magdal.	w1_d492e11290
gr.,	w3_d492e11293
alt	w5_d492e11296
60.	w7_d492e11299
J.	w9_d492e11302
</list>
<head id="h2_d492e11309">
Summa	w1_d492e11313
8.	w3_d492e11316
Pers.,	w5_d492e11319
darunter	w7_d492e11322
4.	w9_d492e11325
Kind.	w11_d492e11328
Den	w1_d492e11333
9.	w3_d492e11336
Octob.	w5_d492e11339
Jn	w1_d492e11344
der	w3_d492e11347
Stadt	w5_d492e11350
Niemand.	w7_d492e11353
Vor	w1_d492e11359
der	w3_d492e11362
Stadt.	w5_d492e11365
</head>
<list id="l4_d492e11368">
Der	w1_d492e11372
(Tit.)	w3_d492e11375
Hr.	w5_d492e11378
Rudolph	w7_d492e11381
v.	w9_d492e11384
Prickner,	w11_d492e11387
Cadet,	w13_d492e11391
inder	w15_d492e11394
K.	w1_d492e11399
K.	w3_d492e11402
Adel.	w5_d492e11405
Militar=atad.	w7_d492e11408
alda,	w9_d492e11411
alt	w11_d492e11414
11.	w13_d492e11418
J.	w15_d492e11421
</list>
<list id="l10_d492e11435">
Dem	w1_d492e11439
Conrad	w3_d492e11442
Strobel,	w5_d492e11445
Land=bäck.,	w7_d492e11448
s.	w9_d492e11451
K.	w11_d492e11454
Elisab.,	w13_d492e11458
beym	w1_d492e11463
gold.	w3_d492e11466
Schif	w5_d492e11469
im	w7_d492e11472
Liechtenth.,	w9_d492e11475
alt	w11_d492e11478
7.	w13_d492e11482
J.	w15_d492e11485
Dem	w1_d492e11490
Heinr.	w3_d492e11493
Wurm,	w5_d492e11496
Burgerl.	w7_d492e11499
Lederern,	w9_d492e11502
s.	w11_d492e11505
K.	w13_d492e11509
Cathar.,	w1_d492e11515
in	w3_d492e11518
s.	w5_d492e11521
H.	w7_d492e11524
am	w9_d492e11527
Neustift,	w11_d492e11530
alt	w13_d492e11534
3.	w15_d492e11537
J.	w17_d492e11540
Dem	w1_d492e11545
Franz	w3_d492e11548
Richard,	w5_d492e11551
K.	w7_d492e11554
K.	w9_d492e11557
Leib=lack.,	w11_d492e11560
s.	w13_d492e11564
Ehew.	w15_d492e11567
Fran	w17_d492e11570
eisca,	w1_d492e11575
beym	w3_d492e11578
gold.	w5_d492e11581
Ochs.	w7_d492e11584
am	w9_d492e11587
Spitalberg,	w11_d492e11590
34.	w13_d492e11594
J.	w15_d492e11597
Adam	w1_d492e11602
Krauß,	w3_d492e11605
Vieh=mayr,	w5_d492e11608
alt	w7_d492e11611
76.	w9_d492e11614
J.,	w11_d492e11617
und	w13_d492e11621
s.	w15_d492e11624
W.	w17_d492e11627
Maria	w1_d492e11633
Anna,	w3_d492e11636
alt	w5_d492e11639
40.	w7_d492e11642
J.,	w9_d492e11645
beyde	w11_d492e11648
in	w13_d492e11652
s.	w15_d492e11655
H.	w17_d492e11658
am	w19_d492e11661
Hundsth.	w1_d492e11666
Thom.	w1_d492e11671
Weinzetl,	w3_d492e11674
Schuh=mach.,	w5_d492e11677
bey	w7_d492e11680
der	w9_d492e11683
goldenen	w11_d492e11686
Bretz.	w1_d492e11691
am	w3_d492e11694
Neubau,	w5_d492e11697
alt	w7_d492e11700
58.	w9_d492e11703
J.	w11_d492e11706
Summa	w1_d492e11712
7.	w3_d492e11715
Pers.,	w5_d492e11718
darunter	w7_d492e11721
2.	w9_d492e11724
Kind.	w11_d492e11727
</list>
<p id="p12_d492e11732">
Es	w1_d492e11736
wird	w3_d492e11739
an	w5_d492e11742
die	w7_d492e11745
respective	w9_d492e11748
Herren	w11_d492e11751
Liebhabere	w13_d492e11755
von	w1_d492e11760
der	w3_d492e11763
Optica	w5_d492e11766
bekannt	w7_d492e11769
gemacht,	w9_d492e11772
daß	w11_d492e11775
Georg	w13_d492e11779
Zaller,	w1_d492e11784
wohnhaft	w3_d492e11787
im	w5_d492e11790
grünen	w7_d492e11793
Kranz	w9_d492e11796
ausser	w11_d492e11799
Maria	w13_d492e11803
Hülf	w1_d492e11809
derley	w3_d492e11812
Maschinen	w5_d492e11815
auf	w7_d492e11818
ganz	w9_d492e11821
besondere	w11_d492e11824
Art	w13_d492e11828
zu	w1_d492e11833
verkauffen	w3_d492e11836
hat,	w5_d492e11839
auch	w7_d492e11842
von	w9_d492e11845
unterschiedlichem	w11_d492e11848
Preis,	w1_d492e11853
auf	w3_d492e11856
comote	w5_d492e11859
Art	w7_d492e11862
zum	w9_d492e11865
verlegen	w11_d492e11868
auf	w13_d492e11872
die	w15_d492e11875
Reise	w1_d492e11880
mitzunehmen,	w3_d492e11883
und	w5_d492e11886
schmeichlet	w7_d492e11889
sich	w9_d492e11892
der	w11_d492e11895
Be	w13_d492e11899
sitzer,	w1_d492e11905
daß	w3_d492e11908
seine	w5_d492e11911
Perspectiva	w7_d492e11914
Optica	w9_d492e11917
von	w11_d492e11920
ande	w13_d492e11924
ren	w1_d492e11929
derley	w3_d492e11932
Gattungen	w5_d492e11935
sehr	w7_d492e11938
unterschieden	w9_d492e11941
seyen,	w11_d492e11944
und	w1_d492e11949
den	w3_d492e11952
Beyfall	w5_d492e11955
deren	w7_d492e11958
Kennern	w9_d492e11961
erhalten,	w11_d492e11964
und	w13_d492e11968
zur	w1_d492e11973
ganz	w3_d492e11976
besondern	w5_d492e11979
Augen=lust	w7_d492e11982
gereichen	w9_d492e11985
werden.	w11_d492e11988
</p>
<list id="l14_d492e11991">
Bey	w1_d492e11995
Augustin	w3_d492e11998
Bernardi,	w5_d492e12001
Universitäts=Buch	w7_d492e12004
handlern	w1_d492e12009
bey	w3_d492e12012
der	w5_d492e12015
obern	w7_d492e12018
Jesuiten=pforten	w9_d492e12021
gegen	w11_d492e12024
über,	w1_d492e12029
ist	w3_d492e12032
zu	w5_d492e12035
haben:	w7_d492e12038
Notitia	w1_d492e12044
illustris	w3_d492e12047
Regni	w5_d492e12050
Bohemiæ	w7_d492e12053
Scriptorum,	w9_d492e12056
geographica	w1_d492e12061
&	w3_d492e12064
chorographica,	w5_d492e12067
collecta	w7_d492e12070
à	w9_d492e12073
R.	w11_d492e12076
P.	w13_d492e12080
Bernardino	w1_d492e12085
Erber	w3_d492e12088
S.	w5_d492e12091
J.	w7_d492e12094
cum	w9_d492e12097
Mappa	w11_d492e12100
geographica	w13_d492e12104
generali	w1_d492e12109
totius	w3_d492e12112
Regni	w5_d492e12115
Bohemiæ	w7_d492e12118
&	w9_d492e12121
II.	w11_d492e12124
Tabulis	w13_d492e12128
spe-	w15_d492e12131
cialibus	w1_d492e12137
fingularum	w3_d492e12140
Provinciarum,	w5_d492e12143
nec	w7_d492e12146
non	w9_d492e12149
Ex-	w11_d492e12152
plicatione	w1_d492e12157
Signorum	w3_d492e12160
in	w5_d492e12163
illis	w7_d492e12166
occurentium,	w9_d492e12169
Fol.	w11_d492e12172
Vindob.	w1_d492e12177
1760.	w3_d492e12180
General=kharte	w1_d492e12185
der	w3_d492e12188
gesamten	w5_d492e12191
Königl.	w7_d492e12194
Preußi	w9_d492e12197
schen	w1_d492e12203
Ländern,	w3_d492e12206
auf	w5_d492e12209
2.	w7_d492e12212
Regal=bogen	w9_d492e12215
zusammen	w11_d492e12218
gefügt,	w1_d492e12223
Berlin	w3_d492e12226
pr.	w5_d492e12229
1.	w7_d492e12232
15.	w9_d492e12235
kr.	w11_d492e12238
Graf	w1_d492e12243
Unhold,	w3_d492e12246
ein	w5_d492e12249
Lustspiel	w7_d492e12252
in	w9_d492e12255
fünf	w11_d492e12258
Aufzügen,	w13_d492e12262
in	w1_d492e12267
Versen,	w3_d492e12270
8vo.	w5_d492e12273
1760.	w7_d492e12276
pr.	w9_d492e12279
17.	w11_d492e12282
kr.	w13_d492e12286
</list>
<p id="p16_d492e12290">
Es	w1_d492e12294
seynd	w3_d492e12297
zu	w5_d492e12300
des	w7_d492e12303
Durchleuchtigsten	w9_d492e12306
Erb	w11_d492e12309
und	w13_d492e12313
Kron=prinzens	w1_d492e12318
Josephi,	w3_d492e12321
Erzherzogens	w5_d492e12324
zu	w7_d492e12327
Oester	w9_d492e12330
reich,	w1_d492e12335
und	w3_d492e12338
Mariä	w5_d492e12341
Elisabehthä,	w7_d492e12344
Don	w9_d492e12347
Philippi	w11_d492e12350
von	w1_d492e12356
Spanien,	w3_d492e12359
rc.	w5_d492e12362
rc.	w7_d492e12365
gebornen	w9_d492e12368
Jnfankin,	w11_d492e12371
nunmehro	w13_d492e12375
höchst=Deroselben	w1_d492e12380
Gemahlin,	w3_d492e12383
frohlockenden	w5_d492e12386
Glücks	w7_d492e12389
wunsch	w1_d492e12394
auf	w3_d492e12397
jetzt	w5_d492e12400
lebendes	w7_d492e12403
Jahr	w9_d492e12406
einige	w11_d492e12409
in	w13_d492e12413
Folio	w15_d492e12416
Poe	w17_d492e12419
etischen	w1_d492e12424
Gedichts	w3_d492e12427
verfaste	w5_d492e12430
Exemplaria,	w7_d492e12433
bey	w9_d492e12436
die	w11_d492e12439
Her	w13_d492e12443
ren	w1_d492e12449
Verlegere,	w3_d492e12452
Joseph	w5_d492e12455
Krüchten,	w7_d492e12458
Buch=händlern	w9_d492e12461
bey	w1_d492e12466
der	w3_d492e12469
Welt=kugel	w5_d492e12472
im	w7_d492e12475
Seitzer=hof,	w9_d492e12478
desgleichen	w11_d492e12481
bey	w13_d492e12485
Hrn.	w1_d492e12490
Joh.	w3_d492e12493
Bapt.	w5_d492e12496
Prasser,	w7_d492e12499
Buch	w9_d492e12502
und	w11_d492e12505
Kunsthand	w13_d492e12509
lern	w1_d492e12514
im	w3_d492e12517
neuen	w5_d492e12520
Michaeler=haus	w7_d492e12523
in	w9_d492e12526
seinem	w11_d492e12529
Gewöl	w13_d492e12533
zum	w1_d492e12539
Schild	w3_d492e12542
Johannis	w5_d492e12545
in	w7_d492e12548
der	w9_d492e12551
Wüsten,	w11_d492e12554
das	w13_d492e12558
Stücke	w15_d492e12561
pr.	w1_d492e12566
7.	w3_d492e12569
kr.	w5_d492e12572
zu	w7_d492e12575
bekommen.	w9_d492e12578
</p>
<p id="p18_d492e12581">
Nächstkünftigen	w1_d492e12585
Montag	w3_d492e12588
als	w5_d492e12591
den	w7_d492e12594
13.	w9_d492e12597
Octob.	w11_d492e12600
werden	w1_d492e12605
in	w3_d492e12608
dem	w5_d492e12611
Gudenischen	w7_d492e12614
Haus	w9_d492e12617
im	w11_d492e12620
2ten	w13_d492e12624
Stock	w15_d492e12627
neben	w1_d492e12632
denen	w3_d492e12635
Capucinern	w5_d492e12638
verschiedene	w7_d492e12641
Verlässen	w9_d492e12644
schafts=effecten,	w1_d492e12650
als:	w3_d492e12653
etwas	w5_d492e12656
Silber,	w7_d492e12659
Spallier,	w9_d492e12662
</p>
<p id="p20_d492e12665">
Kästen,	w1_d492e12669
Sessel,	w3_d492e12672
Tisch,	w5_d492e12675
Spiegel,	w7_d492e12678
Bilder,	w9_d492e12681
Zinn,	w11_d492e12684
Kupfer,	w1_d492e12689
Meßing,	w3_d492e12692
dann	w5_d492e12695
andere	w7_d492e12698
Mobilien	w9_d492e12701
Vor	w11_d492e12704
mittags	w1_d492e12709
von	w3_d492e12712
9.	w5_d492e12715
bis	w7_d492e12718
12.	w9_d492e12721
Nachmittags	w11_d492e12724
von	w13_d492e12728
3.	w15_d492e12731
bis	w17_d492e12734
6.	w1_d492e12740
Uhr	w3_d492e12743
dem	w5_d492e12746
Meistbietenden	w7_d492e12749
licitando	w9_d492e12752
verkauffet	w11_d492e12755
werden.	w1_d492e12760
</p>
<list id="l22_d492e12763">
Bey	w1_d492e12767
Joseph	w3_d492e12770
Kurzböck,	w5_d492e12773
Universitätsbuchdru	w7_d492e12776
ckern,	w1_d492e12781
in	w3_d492e12784
der	w5_d492e12787
Bogner=gasse	w7_d492e12790
im	w9_d492e12793
Hof=glaserischen	w11_d492e12796
Haus	w1_d492e12801
ist	w3_d492e12804
zu	w5_d492e12807
haben:	w7_d492e12810
Philipp	w1_d492e12816
Hafners,	w3_d492e12819
Hochzeit=gedicht	w5_d492e12822
auf	w7_d492e12825
das	w9_d492e12828
glorreicheste	w1_d492e12833
Beylager	w3_d492e12836
beyder	w5_d492e12839
Königl.	w7_d492e12842
Hoheiten,	w9_d492e12845
in	w1_d492e12850
Follio	w3_d492e12853
mit	w5_d492e12856
Kupfern	w7_d492e12859
à	w9_d492e12862
24.	w11_d492e12865
kr.	w13_d492e12869
Der	w1_d492e12874
frolockende	w3_d492e12877
Unterthan	w5_d492e12880
bey	w7_d492e12883
Gelegenheit	w9_d492e12886
des	w1_d492e12892
Durchl.	w3_d492e12895
Hochzeit	w5_d492e12898
festes	w7_d492e12901
à.	w9_d492e12904
10.	w11_d492e12907
kr.	w13_d492e12911
Lust	w1_d492e12916
der	w3_d492e12919
Fürsten	w5_d492e12922
und	w7_d492e12925
Bürger	w9_d492e12928
auf	w11_d492e12931
eben	w13_d492e12935
diese	w15_d492e12938
höchste	w1_d492e12943
Vermählung	w3_d492e12946
à	w5_d492e12949
7.	w7_d492e12952
kr.	w9_d492e12955
Der	w1_d492e12960
Jubelvolle	w3_d492e12963
Ladungsboth	w5_d492e12966
der	w7_d492e12969
Götter	w9_d492e12972
zu	w11_d492e12975
eben	w13_d492e12979
dieser	w1_d492e12985
glorreichesten	w3_d492e12988
Hochzeitfeyer	w5_d492e12991
à	w7_d492e12994
10.	w9_d492e12997
kr.	w11_d492e13000
</list>
<p id="p24_d492e13005">
Es	w1_d492e13009
dienet	w3_d492e13012
dem	w5_d492e13015
Publico	w7_d492e13018
zur	w9_d492e13021
Nachricht,	w11_d492e13024
daß	w13_d492e13028
bey	w15_d492e13031
Herrn	w1_d492e13036
Dominicus	w3_d492e13039
Roth,	w5_d492e13042
wohnhaft	w7_d492e13045
auf	w9_d492e13048
der	w11_d492e13051
Sai	w13_d492e13055
lerstadt	w1_d492e13060
in	w3_d492e13063
dem	w5_d492e13066
Sefferinhueberischen	w7_d492e13069
Haus	w9_d492e13072
zu	w11_d492e13075
ebener	w1_d492e13081
Erd	w3_d492e13084
gratis	w5_d492e13087
zu	w7_d492e13090
bekommen.	w9_d492e13093
Catalogus	w11_d492e13096
ver	w13_d492e13100
schiedener	w1_d492e13105
Mahlereyen,	w3_d492e13108
und	w5_d492e13111
Originalien	w7_d492e13114
von	w9_d492e13117
Vir	w11_d492e13120
tuosen,	w1_d492e13125
als:	w3_d492e13128
Künstlichen	w5_d492e13131
Meistern,	w7_d492e13134
und	w9_d492e13137
andern	w11_d492e13140
guten	w1_d492e13145
Schiltereyen,	w3_d492e13148
Jtaliänisch,	w5_d492e13151
Holländischen,	w7_d492e13154
Niederländischen,	w1_d492e13160
auch	w3_d492e13163
andern	w5_d492e13166
unterschiedlichen	w7_d492e13169
Orten,	w1_d492e13174
welche	w3_d492e13177
um	w5_d492e13180
einen	w7_d492e13183
billichen	w9_d492e13186
Preiß	w11_d492e13189
denen	w13_d492e13193
Herren	w1_d492e13198
Liebhabern	w3_d492e13201
verkauft	w5_d492e13204
werden	w7_d492e13207
sollen,	w9_d492e13210
auch	w11_d492e13213
können	w1_d492e13218
obgemeldte	w3_d492e13221
Mahlereyen	w5_d492e13224
täglich	w7_d492e13227
angesehen	w9_d492e13230
werden.	w1_d492e13236
</p>
<list id="l26_d492e13239">
Bey	w1_d492e13243
denen	w3_d492e13246
Verlegern	w5_d492e13249
des	w7_d492e13252
Wienerischen	w9_d492e13255
Diarif	w11_d492e13258
ist	w1_d492e13263
zu	w3_d492e13266
haben:	w5_d492e13269
Glückseliger	w1_d492e13274
Aufwachs	w3_d492e13277
des	w5_d492e13280
Kaiserl.	w7_d492e13283
Stammen	w9_d492e13286
baums	w1_d492e13292
durch	w3_d492e13295
das	w5_d492e13298
hohe	w7_d492e13301
Beylager	w9_d492e13304
des	w11_d492e13307
Durchl.	w13_d492e13311
Erb	w15_d492e13314
und	w1_d492e13319
Cron=prinzens	w3_d492e13322
Erz	w5_d492e13325
herzogen	w7_d492e13328
Josephe	w9_d492e13331
mit	w11_d492e13334
der	w13_d492e13338
Durchl.	w1_d492e13343
Prinzeßin	w3_d492e13346
Maria	w5_d492e13349
Jsabella,	w7_d492e13352
Jutantein	w9_d492e13355
von	w1_d492e13360
Spanien,	w3_d492e13363
Herzogin	w5_d492e13366
zu	w7_d492e13369
Parma,	w9_d492e13372
Piazenza,	w11_d492e13375
und	w1_d492e13381
Quastalla	w3_d492e13384
rc.	w5_d492e13387
in	w7_d492e13390
ein	w9_d492e13393
Helden=gedicht	w11_d492e13396
abgesunl	w13_d492e13400
gen,	w1_d492e13405
nachdem	w3_d492e13408
bey	w5_d492e13411
allgemeiner	w7_d492e13414
Frölichkeit	w9_d492e13417
der	w11_d492e13420
prächtigste	w1_d492e13425
Einzug	w3_d492e13428
Jhrer	w5_d492e13431
Königl.	w7_d492e13434
Hoheiten	w9_d492e13437
in	w11_d492e13440
die	w1_d492e13445
Kaiserl.	w3_d492e13448
und	w5_d492e13451
Königl.	w7_d492e13454
Residenz,	w9_d492e13457
Wien	w11_d492e13460
in	w13_d492e13464
Oesterreich	w1_d492e13470
gehalten	w3_d492e13473
ward,	w5_d492e13476
den	w7_d492e13479
6.	w9_d492e13482
Tag	w11_d492e13485
Octob.	w13_d492e13489
im	w15_d492e13492
Jahr	w1_d492e13497
nach	w3_d492e13500
Jungfräulicher	w5_d492e13503
Geburt	w7_d492e13506
1760.	w9_d492e13509
das	w11_d492e13512
Stuck	w1_d492e13517
pr.	w3_d492e13520
10.	w5_d492e13523
kr.	w7_d492e13526
Jtem	w1_d492e13531
Philipp	w3_d492e13534
Hafners	w5_d492e13537
Hochzeit=gedicht	w7_d492e13540
auf	w9_d492e13543
das	w1_d492e13549
glorreichste	w3_d492e13552
Beylager	w5_d492e13555
beyder	w7_d492e13558
Königl.	w9_d492e13561
Hoheiten	w11_d492e13564
</list>
<p id="p28_d492e13568">
in	w1_d492e13572
Fol.	w3_d492e13575
mit	w5_d492e13578
Kupfern	w7_d492e13581
à	w9_d492e13584
24.	w11_d492e13587
kr.	w13_d492e13591
</p>
<p id="p30_d492e13594">
Den	w1_d492e13598
22.	w3_d492e13601
dies	w5_d492e13604
Monats	w7_d492e13607
Octobris	w9_d492e13610
und	w11_d492e13613
folgende	w13_d492e13617
Tage	w1_d492e13622
werden	w3_d492e13625
zu	w5_d492e13628
St.	w7_d492e13631
Pölten	w9_d492e13634
in	w11_d492e13637
denen	w13_d492e13641
sogenannt	w15_d492e13644
Fürstl.	w1_d492e13649
Carl	w3_d492e13652
Lobkowitzischen	w5_d492e13655
Wohnzimmern,	w7_d492e13658
oder	w9_d492e13661
sogenannt	w1_d492e13667
Lißlischen	w3_d492e13670
Behausung	w5_d492e13673
zerschiedene	w7_d492e13676
Ver	w9_d492e13679
lassenschafts=effecten,	w1_d492e13684
als:	w3_d492e13687
Gold,	w5_d492e13690
Silber,	w7_d492e13693
bor	w9_d492e13696
dirt	w1_d492e13701
und	w3_d492e13704
gestickte	w5_d492e13707
Kleider,	w7_d492e13710
Wäsch,	w9_d492e13713
Tisch	w11_d492e13716
zieng,	w13_d492e13720
Beht=gewandt,	w1_d492e13725
Reit=zeug	w3_d492e13728
samt	w5_d492e13731
bordirt	w7_d492e13734
and	w9_d492e13737
gestickten	w1_d492e13743
Schabraquen,	w3_d492e13746
Gewöhr,	w5_d492e13749
Spiegel,	w7_d492e13752
Ses	w9_d492e13755
se	w1_d492e13760
Tich,	w3_d492e13763
Alsten,	w5_d492e13766
Verelbann	w7_d492e13769
und	w9_d492e13772
Haltasn	w11_d492e13775
</p>
<p id="p34_d492e13780">
geschirr,	w1_d492e13784
Zinn,	w3_d492e13787
Kupfer,	w5_d492e13790
dann	w7_d492e13793
ein	w9_d492e13796
neues	w11_d492e13799
Pi	w13_d492e13803
rutsch,	w1_d492e13808
und	w3_d492e13811
1.	w5_d492e13814
Post=callesch	w7_d492e13817
samt	w9_d492e13820
mehr	w11_d492e13823
anderen	w13_d492e13827
