<doc id="wr_1763-01-12" attrs="word" year="1763" month="01" day="12" corpus="2">
<head id="h2_d725e2954">
Mädrd	w1_d725e2958
der	w7_d725e10242
Stadt.	w9_d725e10245
Den	w1_d725e10250
5.	w3_d725e10253
Jan.	w5_d725e10256
Jn	w7_d725e10259
der	w9_d725e10262
Stadt.	w11_d725e10265
</head>
<list id="l4_d725e10268">
Dem	w1_d725e10272
(Tit.)	w3_d725e10275
Hrn.	w5_d725e10278
Franz	w7_d725e10281
Ant.	w9_d725e10284
Beer,	w11_d725e10287
gew.	w13_d725e10291
Hochher	w15_d725e10294
zogl.	w1_d725e10299
Savoys.	w3_d725e10302
Regent,	w5_d725e10305
s.	w7_d725e10308
Jungf.	w9_d725e10311
T.	w11_d725e10314
Maria	w13_d725e10318
Jos.	w15_d725e10321
im	w1_d725e10326
alt	w3_d725e10329
Michaeler=H.	w5_d725e10332
am	w7_d725e10335
Kohlm.,	w9_d725e10338
alt	w11_d725e10341
27.	w13_d725e10345
J.	w15_d725e10348
Der	w1_d725e10354
Ehrw.	w3_d725e10357
Hr.	w5_d725e10360
Leop.	w7_d725e10363
Suderel,	w9_d725e10366
Alum.	w11_d725e10369
in	w13_d725e10373
dem	w15_d725e10376
Erz	w17_d725e10379
bischöfl.	w1_d725e10384
Alumnat	w3_d725e10387
alda,	w5_d725e10390
alt	w7_d725e10393
22.	w9_d725e10396
J.	w11_d725e10399
Mart.	w1_d725e10404
Stöckel,	w3_d725e10407
K.	w5_d725e10410
K.	w7_d725e10413
Post=amts=ober=postil,	w9_d725e10416
in	w11_d725e10419
dem	w13_d725e10423
Fuxis.	w1_d725e10428
H.	w3_d725e10431
am	w5_d725e10434
Stuben=thor,	w7_d725e10437
alt	w9_d725e10440
65.	w11_d725e10443
J.	w13_d725e10447
</list>
<head id="h2_d725e10454">
Vor	w1_d725e10458
der	w3_d725e10461
Stadt.	w5_d725e10464
</head>
<list id="l4_d725e10467">
Der	w1_d725e10471
(Tit.)	w3_d725e10474
Hr.	w5_d725e10477
Franz	w7_d725e10480
Hascher,	w9_d725e10483
K.	w11_d725e10486
K.	w13_d725e10490
Capitainleu	w15_d725e10493
ten.,	w1_d725e10498
im	w3_d725e10501
Tetzoris.	w5_d725e10504
H.	w7_d725e10507
auf	w9_d725e10510
der	w11_d725e10513
Lendstr.,	w13_d725e10517
alt	w15_d725e10520
43.	w17_d725e10523
J.	w19_d725e10526
Dem	w1_d725e10531
Hrn.	w3_d725e10534
Ant.	w5_d725e10537
Piwald,	w7_d725e10540
K.	w9_d725e10543
K.	w11_d725e10546
Arciern,	w13_d725e10550
s.	w15_d725e10553
K.	w17_d725e10556
Ma	w19_d725e10559
ria	w1_d725e10565
Anna,	w3_d725e10568
in	w5_d725e10571
s.	w7_d725e10574
H.	w9_d725e10577
beym	w11_d725e10580
rot.	w13_d725e10584
Pfauen	w15_d725e10587
auf	w17_d725e10590
der	w19_d725e10593
Penzingerstras.,	w1_d725e10598
alt	w3_d725e10601
6.	w5_d725e10604
v.	w7_d725e10607
J.	w9_d725e10610
Der	w1_d725e10615
Ehrw.	w3_d725e10618
Fr.	w5_d725e10621
Joh	w7_d725e10624
à	w9_d725e10627
Virg.	w11_d725e10630
Maria,	w13_d725e10634
Ord.	w15_d725e10637
Carmel.,	w17_d725e10640
im	w1_d725e10645
Klost.	w3_d725e10648
auf	w5_d725e10651
der	w7_d725e10654
Laimgr.,	w9_d725e10657
alt	w11_d725e10660
74.	w13_d725e10664
J.	w15_d725e10667
Dem	w1_d725e10673
Gabr.	w3_d725e10676
Bauer,	w5_d725e10679
Hof=frle.=schneid.,	w7_d725e10682
s.	w9_d725e10685
K.	w11_d725e10688
Eva,	w13_d725e10692
im	w1_d725e10697
Kön.	w3_d725e10700
Kloster=H.	w5_d725e10703
in	w7_d725e10706
der	w9_d725e10709
Kot=gas.	w11_d725e10712
alt	w13_d725e10716
8.	w15_d725e10719
J	w17_d725e10722
Magdal.	w1_d725e10727
Lanzingerin,	w3_d725e10730
ledig,	w5_d725e10733
bey	w7_d725e10736
St.	w9_d725e10739
Jos.	w11_d725e10742
zu	w13_d725e10746
Ma	w15_d725e10749
ria=hülf,	w1_d725e10754
alt	w3_d725e10757
47.	w5_d725e10760
J.	w7_d725e10763
Dem	w1_d725e10769
Georg	w3_d725e10772
Schwingl,	w5_d725e10775
Herrschaftl.	w7_d725e10778
Lack.,	w9_d725e10781
s.	w11_d725e10784
W.	w13_d725e10788
Magdal.,	w1_d725e10793
beym	w3_d725e10796
gr.	w5_d725e10799
Jäg.	w7_d725e10802
am	w9_d725e10805
Spitalb.,	w11_d725e10808
50.	w13_d725e10812
J.	w15_d725e10815
Dem	w1_d725e10820
Joh.	w3_d725e10823
Bapt.	w5_d725e10826
Segalli,	w7_d725e10829
Herrschaftl.	w9_d725e10832
Lauf.,	w11_d725e10835
s.	w13_d725e10839
K.	w15_d725e10842
Mart.,	w1_d725e10847
im	w3_d725e10850
Hof=satleris.	w5_d725e10853
H.	w7_d725e10856
zu	w9_d725e10859
Gumpend.	w11_d725e10862
2.	w13_d725e10866
J.	w15_d725e10869
Dem	w1_d725e10875
Ludw.	w3_d725e10878
Puchmayr,	w5_d725e10881
Wäsch.,	w7_d725e10884
s.	w9_d725e10887
W.	w11_d725e10890
Elisab.,	w13_d725e10894
im	w1_d725e10899
erst=bemeldt.	w3_d725e10902
H.	w5_d725e10905
alt	w7_d725e10908
64.	w9_d725e10911
J.	w11_d725e10914
Conrad	w1_d725e10919
Reif,	w3_d725e10922
Taglöhn,	w5_d725e10925
beym	w7_d725e10928
gold,	w9_d725e10931
Psau.	w11_d725e10934
an	w13_d725e10938
dem	w15_d725e10941
obern	w1_d725e10946
Neustift,	w3_d725e10949
alt	w5_d725e10952
58.	w7_d725e10955
J.	w9_d725e10958
Susan.	w1_d725e10964
Mayrin,	w3_d725e10967
Wittwe,	w5_d725e10970
beym	w7_d725e10973
Läm.	w9_d725e10976
im	w11_d725e10979
Liechten	w13_d725e10983
thal,	w1_d725e10988
alt	w3_d725e10991
59.	w5_d725e10994
J.	w7_d725e10997
Juliana	w1_d725e11002
Stempflin,	w3_d725e11005
Wittwe,	w5_d725e11008
beym	w7_d725e11011
wild.	w9_d725e11014
Mann	w11_d725e11017
in	w13_d725e11021
der	w1_d725e11026
Josephst.,	w3_d725e11029
alt	w5_d725e11032
55.	w7_d725e11035
J.	w9_d725e11038
Dem	w1_d725e11044
Carl	w3_d725e11047
Mayr,	w5_d725e11050
Fuhr	w7_d725e11053
kn,	w9_d725e11056
s.	w11_d725e11059
K.	w13_d725e11063
Math.	w15_d725e11066
im	w17_d725e11069
Krän	w19_d725e11072
zelbinderis.	w1_d725e11077
H.	w3_d725e11080
in	w5_d725e11083
der	w7_d725e11086
Rossau,	w9_d725e11089
alt	w11_d725e11092
4.	w13_d725e11096
J.	w15_d725e11099
Lor.	w1_d725e11104
Zunder,	w3_d725e11107
Taglöhn.,	w5_d725e11110
im	w7_d725e11113
Gemein=H.	w9_d725e11116
am	w11_d725e11119
Thu	w13_d725e11123
ro,	w1_d725e11128
alt	w3_d725e11131
50.	w5_d725e11134
</list>
<head id="h2_d725e11141">
Summa	w1_d725e11145
16.	w3_d725e11148
Person.,	w5_d725e11151
darunter	w7_d725e11154
4.	w9_d725e11157
Kind.	w11_d725e11160
Den	w1_d725e11165
6.	w3_d725e11168
Jan.	w5_d725e11171
Jn	w1_d725e11176
der	w3_d725e11179
Stadt.	w5_d725e11182
</head>
<list id="l4_d725e11185">
Dem	w1_d725e11189
Jos.	w3_d725e11192
Kaiser,	w5_d725e11195
Burgerl.	w7_d725e11198
Schneid.,	w9_d725e11201
s.	w11_d725e11204
K.	w13_d725e11208
Anna	w15_d725e11211
Maria,	w1_d725e11216
im	w3_d725e11219
Braßicanis.	w5_d725e11222
H.	w7_d725e11225
in	w9_d725e11228
der	w11_d725e11231
Herren	w13_d725e11235
gas.	w15_d725e11238
alt	w17_d725e11241
5.	w1_d725e11246
v.	w3_d725e11249
J.	w5_d725e11252
Dem	w1_d725e11258
Bened.	w3_d725e11261
Huber,	w5_d725e11264
Herrschaftl.	w7_d725e11267
Kammer=lack.,	w9_d725e11270
s.	w11_d725e11273
K.	w1_d725e11278
Elisab.,	w3_d725e11281
beym	w5_d725e11284
gold.	w7_d725e11287
Adl.	w9_d725e11290
am	w11_d725e11293
neuen	w13_d725e11297
Mark,	w15_d725e11300
alt	w17_d725e11303
3.	w1_d725e11308
J.	w3_d725e11311
</list>
<head id="h4_d725e11320">
Vor	w1_d725e11324
der	w3_d725e11327
Stadt.	w5_d725e11330
</head>
<list id="l6_d725e11333">
Dem	w1_d725e11337
Sebast.	w3_d725e11340
Lininger,	w5_d725e11343
Burgerl.	w7_d725e11346
Schmal=versitlb.,	w9_d725e11349
s.	w1_d725e11354
K.	w3_d725e11357
Josepha,	w5_d725e11360
im	w7_d725e11363
Maurer=polieris.	w9_d725e11366
H.	w11_d725e11369
in	w13_d725e11373
der	w15_d725e11376
Leopoldst.,	w1_d725e11381
alt	w3_d725e11384
10.	w5_d725e11387
J.	w7_d725e11390
Pet.	w1_d725e11396
Syrente,	w3_d725e11399
Tanzmeist.,	w5_d725e11402
in	w7_d725e11405
Gemein	w9_d725e11408
/	w11_d725e11411
H.	w13_d725e11415
zu	w15_d725e11418
St.	w17_d725e11421
Ulrich,	w1_d725e11426
alt	w3_d725e11429
67.	w5_d725e11432
J.	w7_d725e11435
Mart.	w1_d725e11440
Adler,	w3_d725e11443
Taglöhn.,	w5_d725e11446
im	w7_d725e11449
Zwilackis.	w9_d725e11452
H.	w11_d725e11455
zu	w13_d725e11459
Erdb.	w15_d725e11462
alt	w1_d725e11467
38.	w3_d725e11470
J.	w5_d725e11473
Ant.	w1_d725e11479
Herznger,	w3_d725e11482
Proviantkn,	w5_d725e11485
beym	w7_d725e11488
gr.	w9_d725e11491
Baum	w11_d725e11494
in	w13_d725e11498
der	w1_d725e11503
Leopoldst.,	w3_d725e11506
alt	w5_d725e11509
54.	w7_d725e11512
J.	w9_d725e11515
Eva	w1_d725e11520
Weicknerin,	w3_d725e11523
Wittve,	w5_d725e11526
bey	w7_d725e11529
der	w9_d725e11532
Foltunä	w11_d725e11535
in	w13_d725e11539
der	w15_d725e11542
Josephst.,	w1_d725e11547
alt	w3_d725e11550
77.	w5_d725e11553
J.	w7_d725e11556
Jos.	w1_d725e11562
Kammermayr,	w3_d725e11565
Taglöhn.,	w5_d725e11568
beym	w7_d725e11571
gold.	w9_d725e11574
Stern	w11_d725e11577
zu	w1_d725e11582
Matzleinstorf,	w3_d725e11585
alt	w5_d725e11588
70.	w7_d725e11591
J.	w9_d725e11594
Dem	w1_d725e11599
Paul	w3_d725e11602
Huber,	w5_d725e11605
Lack,	w7_d725e11608
s.	w9_d725e11611
K.	w11_d725e11614
Theres.,	w13_d725e11618
beym	w15_d725e11621
gut.	w17_d725e11624
Hirt.	w1_d725e11629
in	w3_d725e11632
der	w5_d725e11635
Josephst.,	w7_d725e11638
alt	w9_d725e11641
3.	w11_d725e11644
J.	w13_d725e11648
Dem	w1_d725e11654
Jos.	w3_d725e11657
Raney,	w5_d725e11660
Zimmer=ges.,	w7_d725e11663
s.	w9_d725e11666
K.	w11_d725e11669
Jos.,	w13_d725e11673
bey	w15_d725e11676
der	w17_d725e11679
gold.	w1_d725e11684
Saul.	w3_d725e11687
am	w5_d725e11690
Himmel=pfort=gr.,	w7_d725e11693
alt	w9_d725e11696
5.	w11_d725e11699
J.	w13_d725e11703
</list>
<head id="h2_d725e11710">
Summa	w1_d725e11714
10.	w3_d725e11717
Pers.,	w5_d725e11720
darunter	w7_d725e11723
5.	w9_d725e11726
Kind.	w11_d725e11729
Den	w1_d725e11734
7.	w3_d725e11737
Jan.	w5_d725e11740
Jn	w1_d725e11745
der	w3_d725e11748
Stadt.	w5_d725e11751
</head>
<list id="l4_d725e11754">
Jungf.	w1_d725e11758
Anna	w3_d725e11761
Theres.	w5_d725e11764
Muhrin,	w7_d725e11767
bey	w9_d725e11770
der	w11_d725e11773
gold.	w13_d725e11777
Mü	w15_d725e11780
schel	w1_d725e11785
in	w3_d725e11788
der	w5_d725e11791
Wildwerkerstras.,	w7_d725e11794
alt	w9_d725e11797
52.	w11_d725e11800
</list>
<list id="l6_d725e11804">
Dem	w1_d725e11808
Joh.	w3_d725e11811
Steinbauer,	w5_d725e11814
Wirt,	w7_d725e11817
s.	w9_d725e11820
K.	w11_d725e11823
Paul,	w13_d725e11827
beyn	w15_d725e11830
7.	w17_d725e11833
Chur=fürst.	w1_d725e11838
im	w3_d725e11841
Liechtenth.,	w5_d725e11844
alt	w7_d725e11847
3.	w9_d725e11850
J.	w11_d725e11853
Dem	w1_d725e11858
Mich.	w3_d725e11861
Schmid,	w5_d725e11864
Musicant.,	w7_d725e11867
s.	w9_d725e11870
K.	w11_d725e11873
Clara,	w13_d725e11877
beym	w15_d725e11880
weis.	w1_d725e11886
Löm.	w3_d725e11889
am	w5_d725e11892
Neustift,	w7_d725e11895
alt	w9_d725e11898
1.	w11_d725e11901
J.	w13_d725e11905
Mart.	w1_d725e11910
Kopenhofer,	w3_d725e11913
Schnürmach.=ges.,	w5_d725e11916
beym	w7_d725e11919
blech.	w9_d725e11922
Thurn	w1_d725e11927
zu	w3_d725e11930
Maria=hülf,	w5_d725e11933
alt	w7_d725e11936
30.	w9_d725e11939
J.	w11_d725e11942
Jos.	w1_d725e11947
Rauscher,	w3_d725e11950
Herrschaftl.	w5_d725e11953
Lack.,	w7_d725e11956
beym	w9_d725e11959
goldenen	w11_d725e11962
Schlüs.	w1_d725e11968
in	w3_d725e11971
der	w5_d725e11974
Josephst.,	w7_d725e11977
alt	w9_d725e11980
46.	w11_d725e11983
J.	w13_d725e11987
Mart.	w1_d725e11992
Sieß,	w3_d725e11995
gew.	w5_d725e11998
Stadt	w7_d725e12001
garde=sold.,	w9_d725e12004
beym	w11_d725e12007
gold.	w13_d725e12011
Adl.	w1_d725e12016
am	w3_d725e12019
Stotzis.	w5_d725e12022
Grund	w7_d725e12025
im	w9_d725e12028
Lerchenf.,	w11_d725e12031
68.	w13_d725e12035
J.	w15_d725e12038
50	w17_d725e12041
Dem	w1_d725e12046
Sebast.	w3_d725e12049
Ricker.	w5_d725e12052
Taglöhn.,	w7_d725e12055
s.	w9_d725e12058
K.	w11_d725e12061
Eva,	w13_d725e12065
in	w15_d725e12068
dem	w17_d725e12071
Pecklis.	w1_d725e12077
H.	w3_d725e12080
am	w5_d725e12083
Hundsth.,	w7_d725e12086
alt	w9_d725e12089
11.	w11_d725e12092
J.1)	w13_d725e12096
Dem	w1_d725e12101
Sim.	w3_d725e12104
Magheimer,	w5_d725e12107
Hausmeist,	w7_d725e12110
s.	w9_d725e12113
W.	w11_d725e12116
Elisab.	w13_d725e12120
im	w1_d725e12125
Geistl.	w3_d725e12128
H.	w5_d725e12131
auf	w7_d725e12134
der	w9_d725e12137
Wied.,	w11_d725e12140
alt	w13_d725e12144
54	w15_d725e12147
J.	w17_d725e12150
Jos.	w1_d725e12155
Miell,	w3_d725e12158
Bestand=wirt,	w5_d725e12161
beym	w7_d725e12164
gr.	w9_d725e12167
Salz=küf.	w11_d725e12170
am	w13_d725e12174
Thury,	w1_d725e12180
alt	w3_d725e12183
44.	w5_d725e12186
J.	w7_d725e12189
nazu	w1_d725e12194
Dem	w1_d725e12199
Andre	w3_d725e12202
Oßwald,	w5_d725e12205
Taglöhn.,	w7_d725e12208
s.	w9_d725e12211
K.	w11_d725e12214
Jos.,	w13_d725e12218
in	w15_d725e12221
dem	w17_d725e12224
Sesseltrageris.	w1_d725e12229
H.	w3_d725e12232
in	w5_d725e12235
der	w7_d725e12238
Leopoldst,	w9_d725e12241
alt	w11_d725e12244
41	w13_d725e12248
J.	w15_d725e12251
in	w17_d725e12254
</list>
<head id="h2_d725e12262">
Vor	w1_d725e12266
der	w3_d725e12269
Stadt.	w5_d725e12272
</head>
<head id="h2_d725e12278">
Summa	w1_d725e12282
10.	w3_d725e12285
Person.,	w5_d725e12288
darunter	w7_d725e12291
4.	w9_d725e12294
Kind.	w11_d725e12297
</head>
<list id="l4_d725e12300">
Von	w1_d725e12304
einem	w3_d725e12307
Löbl.	w5_d725e12310
N.	w7_d725e12313
Oe.	w9_d725e12316
Landschaftsober	w11_d725e12319
</list>
<p id="p6_d725e12323">
Von	w1_d725e12327
einem	w3_d725e12330
Löbl.	w5_d725e12333
N.	w7_d725e12336
Oe.	w9_d725e12339
Landschaftsober	w11_d725e12342
einnehmer=amt	w1_d725e12347
wird	w3_d725e12350
hiermit	w5_d725e12353
kund	w7_d725e12356
gemachet:	w9_d725e12359
daß	w11_d725e12362
an	w1_d725e12367
denen	w3_d725e12370
zu	w5_d725e12373
Bestreitung	w7_d725e12376
denen	w9_d725e12379
erforderlichen	w11_d725e12382
Un	w13_d725e12386
kosten	w1_d725e12392
bey	w3_d725e12395
fürdaurend	w5_d725e12398
gegenwärtigem	w7_d725e12401
Krieg	w9_d725e12404
von	w11_d725e12407
1756.	w1_d725e12412
bis	w3_d725e12415
inclusive	w5_d725e12418
1759.	w7_d725e12421
in	w9_d725e12424
besagtem	w11_d725e12427
Amte	w13_d725e12431
er	w15_d725e12434
legte	w1_d725e12439
Anticipation	w3_d725e12442
und	w5_d725e12445
Subsidien	w7_d725e12448
alle	w9_d725e12451
von	w11_d725e12454
30.	w13_d725e12458
bis	w1_d725e12463
exelusive	w3_d725e12466
80.	w5_d725e12469
fl.	w7_d725e12472
(wofür	w9_d725e12475
unterm	w11_d725e12478
15.	w13_d725e12482
und	w15_d725e12485
16.	w17_d725e12488
Decemb.	w1_d725e12494
eines	w3_d725e12497
jeglichen	w5_d725e12500
obiger	w7_d725e12503
Jahren	w9_d725e12506
dadirte	w11_d725e12509
N.	w1_d725e12514
Oe.	w3_d725e12517
Landschafts=obligationen	w5_d725e12520
ertheilet	w7_d725e12523
wor	w9_d725e12526
den	w1_d725e12531
seynd)	w3_d725e12534
dermalen	w5_d725e12537
anwiederum	w7_d725e12540
von	w9_d725e12543
da	w11_d725e12546
aus	w13_d725e12550
zu	w15_d725e12553
ruck	w1_d725e12558
bezahlet	w3_d725e12561
werden;	w5_d725e12564
Solchemnach	w7_d725e12567
werden	w9_d725e12570
all	w11_d725e12573
jene	w1_d725e12579
Partheyen,	w3_d725e12582
so	w5_d725e12585
derley	w7_d725e12588
N.	w9_d725e12591
Oe.	w11_d725e12594
Landschafts	w13_d725e12598
obligationen	w1_d725e12603
in	w3_d725e12606
Händen	w5_d725e12609
haben,	w7_d725e12612
zu	w9_d725e12615
Abholung	w11_d725e12618
die	w13_d725e12622
</p>
<p id="p8_d725e12625">
ser	w1_d725e12629
ihrer	w3_d725e12632
Capitalien	w5_d725e12635
samt	w7_d725e12638
Jnteresse	w9_d725e12641
an	w11_d725e12644
denen	w13_d725e12648
ge	w15_d725e12651
wöhnlichen	w1_d725e12656
Zahlungs=tägen	w3_d725e12659
in	w5_d725e12662
bemeldtem	w7_d725e12665
Amte	w9_d725e12668
sich	w1_d725e12673
einzufinden	w3_d725e12676
haben,	w5_d725e12679
als	w7_d725e12682
wie	w9_d725e12685
im	w11_d725e12688
widrigen	w13_d725e12692
re	w15_d725e12695
spectu	w1_d725e12701
dieser	w3_d725e12704
Capitalien	w5_d725e12707
vom,	w7_d725e12710
15.	w9_d725e12713
und	w11_d725e12716
16.	w13_d725e12720
Jan.	w15_d725e12723
dieses	w1_d725e12728
1763.	w3_d725e12731
Jahrs	w5_d725e12734
ein	w7_d725e12737
weiteres	w9_d725e12740
Jnteresse	w11_d725e12743
nicht	w13_d725e12747
mehr	w1_d725e12752
abgereichet	w3_d725e12755
wurde.	w5_d725e12758
</p>
<list id="l10_d725e12761">
Auf	w1_d725e12765
ben	w3_d725e12768
8.	w5_d725e12771
Matil	w7_d725e12774
stunde	w9_d725e12777
um	w11_d725e12780
8.	w13_d725e12784
Uhr	w15_d725e12787
werden	w17_d725e12790
es	w19_d725e12793
</list>
<p id="p12_d725e12798">
Auf	w1_d725e12802
ben	w3_d725e12805
8.	w5_d725e12808
Matil	w7_d725e12811
stunde	w9_d725e12814
um	w11_d725e12817
8.	w13_d725e12821
Uhr	w15_d725e12824
werden	w17_d725e12827
es	w19_d725e12830
le	w1_d725e12835
und	w3_d725e12838
jede,	w5_d725e12841
so	w7_d725e12844
an	w9_d725e12847
weil.	w11_d725e12850
Johann	w13_d725e12854
Jacob	w15_d725e12857
Neuschl	w17_d725e12860
des	w19_d725e12863
Prediger=closters	w1_d725e12868
in	w3_d725e12871
Wien	w5_d725e12874
behaust=gewesten	w7_d725e12877
Unter	w9_d725e12880
thans	w1_d725e12886
zu	w3_d725e12889
Nußdorf	w5_d725e12892
seel.	w7_d725e12895
Verlassenschaft	w9_d725e12898
einige	w11_d725e12901
Sprüch	w1_d725e12906
und	w3_d725e12909
Anforderung	w5_d725e12912
haben,	w7_d725e12915
zu	w9_d725e12918
Anmeld	w11_d725e12921
und	w13_d725e12925
Liquidirung	w1_d725e12930
pro	w3_d725e12933
1mo,	w5_d725e12936
2do	w7_d725e12939
&	w9_d725e12942
3tio	w11_d725e12945
termino	w13_d725e12949
per-	w15_d725e12952
emptorio	w1_d725e12957
sub	w3_d725e12960
clausula	w5_d725e12963
præclusi,	w7_d725e12966
in	w9_d725e12969
des	w11_d725e12972
Prediger	w13_d725e12976
elosters	w1_d725e12982
Grund=sulen	w3_d725e12985
in	w5_d725e12988
Wien	w7_d725e12991
zu	w9_d725e12994
erscheinen	w11_d725e12997
vor	w13_d725e13001
geladen.	w1_d725e13006
</p>
<list id="l14_d725e13009">
Den	w1_d725e13013
17.	w3_d725e13016
Januarii	w5_d725e13019
und	w7_d725e13022
folgende	w9_d725e13025
Täge	w11_d725e13028
werden	w13_d725e13032
</list>
<p id="p16_d725e13036">
Den	w1_d725e13040
17.	w3_d725e13043
Jourvari	w5_d725e13046
und	w7_d725e13049
kalgende	w9_d725e13052
Täg	w11_d725e13055
werden	w13_d725e13059
bey	w1_d725e13064
denen	w3_d725e13067
7.	w5_d725e13070
Chur	w7_d725e13073
fürsten	w9_d725e13076
nächst	w11_d725e13079
dem	w13_d725e13083
roten	w15_d725e13086
Thurn	w17_d725e13089
im	w1_d725e13094
3.	w3_d725e13097
Stock	w5_d725e13100
verschiedene	w7_d725e13103
in	w9_d725e13106
Silber	w11_d725e13109
und	w13_d725e13113
Kupfer	w15_d725e13116
be	w17_d725e13119
stehende	w1_d725e13125
medaillen,	w3_d725e13128
auch	w5_d725e13131
etwas	w7_d725e13134
Silber,	w9_d725e13137
Manns	w11_d725e13140
und	w1_d725e13145
Frauen	w3_d725e13148
kieider,	w5_d725e13151
Weiß=zeug,	w7_d725e13154
Bilder,	w9_d725e13157
Kästen,	w11_d725e13160
Seffel,	w1_d725e13165
Spiegel	w3_d725e13168
und	w5_d725e13171
andere	w7_d725e13174
Effecten	w9_d725e13177
Vormittag	w11_d725e13180
von	w1_d725e13185
9.	w3_d725e13188
bis	w5_d725e13191
12.	w7_d725e13194
und	w9_d725e13197
Nachmittag	w11_d725e13200
von	w13_d725e13204
3.	w15_d725e13207
bis	w17_d725e13210
6.	w19_d725e13213
Uhr	w21_d725e13216
li	w23_d725e13219
citando	w1_d725e13225
dem	w3_d725e13228
Meistbietenden	w5_d725e13231
verkauffet	w7_d725e13234
werden.	w9_d725e13237
</p>
<list id="l18_d725e13240">
Den	w1_d725e13244
17rten	w3_d725e13247
und	w5_d725e13250
felgende	w7_d725e13253
Täge	w9_d725e13256
dies	w11_d725e13259
Monats	w13_d725e13263
</list>
<p id="p20_d725e13267">
Den	w1_d725e13271
17rten	w3_d725e13274
und	w5_d725e13277
felgende	w7_d725e13280
Täge	w9_d725e13283
dies	w11_d725e13286
Monats	w13_d725e13290
Fan.	w1_d725e13295
werden	w3_d725e13298
in	w5_d725e13301
der	w7_d725e13304
Himmelpor=gassen	w9_d725e13307
im	w11_d725e13310
Graf	w13_d725e13314
Erdödischen	w1_d725e13319
Haus	w3_d725e13322
im	w5_d725e13325
3ten	w7_d725e13328
Stock	w9_d725e13331
dem	w11_d725e13334
K.	w13_d725e13338
Kon.	w15_d725e13341
Münz=amt	w1_d725e13347
gegen	w3_d725e13350
über	w5_d725e13353
verschiedene	w7_d725e13356
Effecten,	w9_d725e13359
als	w11_d725e13362
kostbare	w1_d725e13367
Mahlereyen,	w3_d725e13370
allerley	w5_d725e13373
Schublad=kasten	w7_d725e13376
mit	w1_d725e13381
und	w3_d725e13384
ohne	w5_d725e13387
Aufsätze,	w7_d725e13390
Porcellain,	w9_d725e13393
Spiegel,	w11_d725e13396
Lu	w13_d725e13400
ster,	w1_d725e13405
Tische,	w3_d725e13408
Sessel,	w5_d725e13411
Soffa,	w7_d725e13414
spanische	w9_d725e13417
Wände,	w11_d725e13420
Uhren,	w1_d725e13426
Beht=stätte,	w3_d725e13429
Behtgewand,	w5_d725e13432
Zinn,	w7_d725e13435
Kupfer,	w9_d725e13438
Bücher,	w1_d725e13443
silberne	w3_d725e13446
Besteck,	w5_d725e13449
Aufsätze	w7_d725e13452
und	w9_d725e13455
Leuchter,	w11_d725e13458
nebst,	w1_d725e13463
vielfältigen	w3_d725e13466
anderen	w5_d725e13469
Gerähtschaften	w7_d725e13472
licitau	w9_d725e13475
do	w1_d725e13480
verkäufet	w3_d725e13483
werden.	w5_d725e13486
</p>
<list id="l22_d725e13489">
Von	w1_d725e13493
N.	w3_d725e13496
Richter	w5_d725e13499
und	w7_d725e13502
Raht	w9_d725e13505
der	w11_d725e13508
Landes=fürstl.	w13_d725e13512
</list>
<p id="p24_d725e13517">
War	w1_d725e13521
N	w3_d725e13524
Richtanend	w5_d725e13527
Waht	w7_d725e13530
dar	w9_d725e13533
Fandgg.	w11_d725e13536
fü.	w13_d725e13540
J.	w15_d725e13543
Stadt	w1_d725e13548
Kloster	w3_d725e13551
Neuburg	w5_d725e13554
wird	w7_d725e13557
hiermit	w9_d725e13560
nochmalen	w11_d725e13563
jedermänniglich	w1_d725e13568
kund	w3_d725e13571
und	w5_d725e13574
zu	w7_d725e13577
wissen	w9_d725e13580
gemacht,	w11_d725e13583
was	w13_d725e13587
gestalten	w1_d725e13593
eine	w3_d725e13596
wolgebaute,	w5_d725e13599
in	w7_d725e13602
der	w9_d725e13605
untern	w11_d725e13608
Stadt	w13_d725e13612
nächst	w1_d725e13617
dem	w3_d725e13620
Donau=strom	w5_d725e13623
mit	w7_d725e13626
10.	w9_d725e13629
Zimmern,	w11_d725e13632
Ca	w13_d725e13636
pellen,	w1_d725e13641
Mezeninen,	w3_d725e13644
Stallung,	w5_d725e13647
Garten,	w7_d725e13650
und	w9_d725e13653
2.	w11_d725e13656
4tel	w13_d725e13660
Hofstatt	w1_d725e13665
Wein=garten,	w3_d725e13668
versehene	w5_d725e13671
Behäusung	w7_d725e13674
dem	w9_d725e13677
Meistbietenben	w1_d725e13683
zu	w3_d725e13686
verkaufen	w5_d725e13689
seye;	w7_d725e13692
wer	w9_d725e13695
nun	w11_d725e13698
sol	w13_d725e13702
che	w1_d725e13707
käuflich	w3_d725e13710
an	w5_d725e13713
sich	w7_d725e13716
zu	w9_d725e13719
bringen	w11_d725e13722
gedenket,	w13_d725e13726
der	w15_d725e13729
oder	w17_d725e13732
diejenige	w1_d725e13737
haben	w3_d725e13740
sich	w5_d725e13743
auf	w7_d725e13746
den	w9_d725e13749
24.	w11_d725e13752
dies	w13_d725e13756
Mo	w15_d725e13759
nats	w1_d725e13764
Jan.	w3_d725e13767
fruh	w5_d725e13770
um	w7_d725e13773
9.	w9_d725e13776
Uhr	w11_d725e13779
auf	w13_d725e13783
