<doc id="wr_1758-06-03" attrs="word" year="1758" month="06" day="03" corpus="2">
<head id="h2_d249e4298">
Hamburg	w1_d249e4302
Wien,	w1_d249e11559
den	w3_d249e11562
3.	w5_d249e11565
Junii	w7_d249e11568
1758.	w9_d249e11571
</head>
<p id="p4_d249e11574">
MJttwochs	w1_d249e11578
den	w3_d249e11581
31.	w5_d249e11584
erst=abgewichenen	w7_d249e11587
Mo	w9_d249e11590
nats	w1_d249e11595
May	w3_d249e11598
Vormittags	w5_d249e11601
nach	w7_d249e11604
9.	w9_d249e11607
Uhr	w11_d249e11610
ha	w13_d249e11614
ben	w1_d249e11619
beyde	w3_d249e11622
Kaiserl.	w5_d249e11625
Majestäten	w7_d249e11628
mit	w9_d249e11631
Jhren	w11_d249e11634
Kö	w13_d249e11638
nigl.	w1_d249e11644
Hoheiten	w3_d249e11647
denen	w5_d249e11650
3.	w7_d249e11653
Durchleuchtigsten	w9_d249e11656
Kö	w11_d249e11659
nigl.	w1_d249e11664
Prinzen	w3_d249e11667
und	w5_d249e11670
Erz=herzogen	w7_d249e11673
Joseph,	w9_d249e11676
Carl,	w11_d249e11679
und	w1_d249e11684
Peter	w3_d249e11687
Leopold,	w5_d249e11690
wie	w7_d249e11693
auch	w9_d249e11696
Königl.	w11_d249e11699
Prinzes	w13_d249e11703
sinen	w1_d249e11708
und	w3_d249e11711
Erz=herzoginen	w5_d249e11714
Maria	w7_d249e11717
Anna,	w9_d249e11720
Maria	w1_d249e11726
Christina	w3_d249e11729
und	w5_d249e11732
Maria	w7_d249e11735
Elisabetha	w9_d249e11738
von	w1_d249e11743
Schönbrunn	w3_d249e11746
herein	w5_d249e11749
nach	w7_d249e11752
der	w9_d249e11755
St.	w11_d249e11758
Mi	w13_d249e11762
chaels	w1_d249e11767
Hof=pfarr=kirche	w3_d249e11770
deren	w5_d249e11773
WW.	w7_d249e11776
E.	w1_d249e11781
regulirten	w3_d249e11784
Clericorum	w5_d249e11787
S.	w7_d249e11790
Pauli	w9_d249e11793
sich	w11_d249e11796
er	w13_d249e11800
hoben,	w1_d249e11806
und	w3_d249e11809
von	w5_d249e11812
dar	w7_d249e11815
aus	w9_d249e11818
den	w11_d249e11821
jährlich	w13_d249e11825
gewöhn	w15_d249e11828
lichen	w1_d249e11833
sogenannten	w3_d249e11836
Spanischen	w5_d249e11839
Fronleich	w7_d249e11842
Nams=umgang	w1_d249e11847
durch	w3_d249e11850
die	w5_d249e11853
Schaufler=gassen	w7_d249e11856
und	w9_d249e11859
über	w1_d249e11864
den	w3_d249e11867
Burg=platz	w5_d249e11870
im	w7_d249e11873
Gefolge	w9_d249e11876
Sr.	w11_d249e11879
Excell	w13_d249e11883
des	w1_d249e11889
Päpstl.	w3_d249e11892
Monsig	w5_d249e11895
Nuntii,	w7_d249e11898
des	w9_d249e11901
hohen	w11_d249e11904
Kai	w13_d249e11908
serl.	w1_d249e11913
Königl.	w3_d249e11916
Ministerii	w5_d249e11919
und	w7_d249e11922
Hoch=adelichen	w9_d249e11925
Hof=staats,	w1_d249e11930
bis	w3_d249e11933
wieder	w5_d249e11936
nach	w7_d249e11939
ersagter	w9_d249e11942
Hof	w11_d249e11945
Pfarr=kirche	w1_d249e11950
begleitet,	w3_d249e11953
sohin	w5_d249e11956
daselbst	w7_d249e11959
bey	w9_d249e11962
dem	w11_d249e11965
Prächtig=illuminirten	w1_d249e11971
Hoch=altar	w3_d249e11974
dem	w5_d249e11977
solen	w7_d249e11980
nen	w1_d249e11985
Hoch=amt	w3_d249e11988
(welches	w5_d249e11991
Se.	w7_d249e11994
Hochfürstl.	w9_d249e11997
Gna	w11_d249e12000
den	w1_d249e12005
der	w3_d249e12008
allhiesige	w5_d249e12011
Erz	w7_d249e12014
bischof	w9_d249e12017
Fürst	w11_d249e12020
von	w13_d249e12024
Mi	w15_d249e12027
Hazzt	w1_d249e12032
gehalten,	w3_d249e12035
wie	w5_d249e12038
auch	w7_d249e12041
bey	w9_d249e12044
dem	w11_d249e12047
Umgang	w13_d249e12051
dis	w1_d249e12057
Venerabile	w3_d249e12060
getragen	w5_d249e12063
haben/	w7_d249e12066
beygewoh	w9_d249e12069
mer,	w1_d249e12074
folglich	w3_d249e12077
Sich	w5_d249e12080
wieder	w7_d249e12083
nach	w9_d249e12086
Schönbrunn	w11_d249e12089
zurück	w1_d249e12094
begeben,	w3_d249e12097
allwo	w5_d249e12100
Se.	w7_d249e12103
Excell.	w9_d249e12106
der	w11_d249e12109
K.	w13_d249e12113
K.	w15_d249e12116
Verist=luchel=meister	w1_d249e12121
(Titl.)	w3_d249e12124
Hr.	w5_d249e12127
Graf	w7_d249e12130
von	w9_d249e12133
</p>
<p id="p6_d249e12136">
St.	w1_d249e12140
Juliän,	w3_d249e12143
mit	w5_d249e12146
Beybehaltung	w7_d249e12149
dieser	w9_d249e12152
hohen	w11_d249e12155
Charge,	w1_d249e12160
auch	w3_d249e12163
als	w5_d249e12166
K.	w7_d249e12169
K.	w9_d249e12172
ObristFalkenmei	w11_d249e12175
ster	w1_d249e12180
vorgestellet	w3_d249e12183
worden.	w5_d249e12186
</p>
<p id="p8_d249e12189">
Donnerstags	w1_d249e12193
den	w3_d249e12196
1.	w5_d249e12199
dieses	w7_d249e12202
frühe	w9_d249e12205
morgens	w11_d249e12208
nach	w1_d249e12213
7.	w3_d249e12216
Uhr	w5_d249e12219
haben	w7_d249e12222
beyde	w9_d249e12225
Kaiserl.	w11_d249e12228
Majest.	w13_d249e12232
mit	w15_d249e12235
oben=berührten	w1_d249e12240
Durchl.	w3_d249e12243
jungen	w5_d249e12246
Herrschaften	w7_d249e12249
Königl.	w1_d249e12255
Hoheiten	w3_d249e12258
von	w5_d249e12261
Schönbrunn	w7_d249e12264
herein	w9_d249e12267
nach	w1_d249e12272
der	w3_d249e12275
St.	w5_d249e12278
Stephans	w7_d249e12281
Metropolitandom	w9_d249e12284
kirche	w1_d249e12289
sich	w3_d249e12292
erhoben,	w5_d249e12295
und	w7_d249e12298
von	w9_d249e12301
daraus	w11_d249e12304
unter	w13_d249e12308
Vorhergehung	w1_d249e12313
aller	w3_d249e12316
Handwerks=zünfte	w5_d249e12319
der	w7_d249e12322
hoch	w1_d249e12328
und	w3_d249e12331
niedern	w5_d249e12334
Clerisey,	w7_d249e12337
des	w9_d249e12340
Löbl.	w11_d249e12343
Stadt	w13_d249e12347
magistrats,	w1_d249e12352
und	w3_d249e12355
gesamten	w5_d249e12358
hohen	w7_d249e12361
Adels	w9_d249e12364
den	w11_d249e12367
grossen	w1_d249e12372
Frohn=leichnams=umgang	w3_d249e12375
über	w5_d249e12378
den	w7_d249e12381
Graben	w1_d249e12386
durch	w3_d249e12389
die	w5_d249e12392
Tuchlauben	w7_d249e12395
und	w9_d249e12398
über	w11_d249e12401
den	w13_d249e12405
hohen	w1_d249e12411
Markt	w3_d249e12414
bis	w5_d249e12417
wieder	w7_d249e12420
nach	w9_d249e12423
ersagter	w11_d249e12426
St.	w13_d249e12430
Stephans	w1_d249e12435
Metropolitan=kirche	w3_d249e12438
begleitet,	w5_d249e12441
auch	w7_d249e12444
alda	w1_d249e12449
dem	w3_d249e12452
solennen	w5_d249e12455
Hoch	w7_d249e12458
amt	w9_d249e12461
(welches	w11_d249e12464
mehr	w13_d249e12468
malen	w1_d249e12473
Se.	w3_d249e12476
Hoch=fürstl.	w5_d249e12479
Gnaden	w7_d249e12482
der	w9_d249e12485
hiesige	w11_d249e12488
Herr	w1_d249e12494
Erz=bischof	w3_d249e12497
gehalten,	w5_d249e12500
auch	w7_d249e12503
bey	w9_d249e12506
dem	w11_d249e12509
Umgang	w1_d249e12514
das	w3_d249e12517
Venerabile	w5_d249e12520
getragen)	w7_d249e12523
beyge	w9_d249e12526
wohnet.	w1_d249e12531
Nach	w3_d249e12534
10.	w5_d249e12537
Uhrhaben	w7_d249e12540
die	w9_d249e12543
Allerhöch	w11_d249e12546
sten	w1_d249e12551
Herrschaften	w3_d249e12554
sich	w5_d249e12557
nacher	w7_d249e12560
Schönbrunn	w9_d249e12563
zu	w11_d249e12566
ruck	w1_d249e12572
begeben,	w3_d249e12575
während	w5_d249e12578
deme	w7_d249e12581
die	w9_d249e12584
auf	w11_d249e12587
dem	w13_d249e12591
Graben	w1_d249e12596
in	w3_d249e12599
Parade	w5_d249e12602
gestandene	w7_d249e12605
Compagnien	w9_d249e12608
deren	w1_d249e12613
Löbl.	w3_d249e12616
Sincer	w5_d249e12619
und	w7_d249e12622
Waldeckischen	w9_d249e12625
Jn	w11_d249e12628
fanterie=regimentern	w1_d249e12633
ein	w3_d249e12636
dreymaliges	w5_d249e12639
Salve	w7_d249e12642
gegeben.	w1_d249e12648
</p>
<p id="p10_d249e12651">
Ansonsten	w1_d249e12655
seynd	w3_d249e12658
eben	w5_d249e12661
diesen	w7_d249e12664
Tag	w9_d249e12667
wegen	w11_d249e12670
des	w13_d249e12674
zugleich	w1_d249e12679
eingefallenen	w3_d249e12682
hohen	w5_d249e12685
Geburts	w7_d249e12688
und	w9_d249e12691
Namens=tages	w1_d249e12696
Sr.	w3_d249e12699
Kön.	w5_d249e12702
Höheit	w7_d249e12705
des	w9_d249e12708
Durchl.	w11_d249e12711
Königl.	w1_d249e12717
Prinzens	w3_d249e12720
und	w5_d249e12723
Erz=herzogs	w7_d249e12726
Ferdi	w9_d249e12729
nand	w1_d249e12734
von	w3_d249e12737
dem	w5_d249e12740
gesamten	w7_d249e12743
in	w9_d249e12746
und	w11_d249e12749
auslände	w13_d249e12753
schen	w1_d249e12758
hohen	w3_d249e12761
Adel	w5_d249e12764
die	w7_d249e12767
Glück=wünsche	w9_d249e12770
bey	w11_d249e12773
Hof	w13_d249e12777
abgelegt	w1_d249e12782
worden	w3_d249e12785
</p>
<p id="p12_d249e12789">
Eodem	w1_d249e12793
seynd	w3_d249e12796
Se.	w5_d249e12799
Excellenz	w7_d249e12802
Tit.	w9_d249e12805
Herr	w11_d249e12808
Graf	w13_d249e12812
von	w1_d249e12817
Clari,	w3_d249e12820
als	w5_d249e12823
Kaiserl.	w7_d249e12826
Königl.	w9_d249e12829
Hof	w11_d249e12832
und	w13_d249e12836
Land=obrist=jäger=meister	w1_d249e12841
durch	w3_d249e12844
Se.	w5_d249e12847
Excel	w7_d249e12850
lenz	w1_d249e12856
den	w3_d249e12859
Kaiserl.	w5_d249e12862
Königl.	w7_d249e12865
Obrist=hof=meister,	w9_d249e12868
Tit.	w1_d249e12873
Hrn.	w3_d249e12876
Grafen	w5_d249e12879
von	w7_d249e12882
Uhlfeld	w9_d249e12885
behörig	w11_d249e12888
vor	w13_d249e12892
gestellet	w1_d249e12897
worden.	w3_d249e12900
</p>
<p id="p14_d249e12903">
Uebrigens	w1_d249e12907
haben	w3_d249e12910
vergangenen	w5_d249e12913
Mittwoch	w7_d249e12916
als	w1_d249e12921
den	w3_d249e12924
ersten	w5_d249e12927
dieses	w7_d249e12930
Seine	w9_d249e12933
Excellenz	w11_d249e12936
der	w13_d249e12940
hoch	w1_d249e12945
und	w3_d249e12948
wol=geborne	w5_d249e12951
Herr	w7_d249e12954
Herr	w9_d249e12957
Leopold	w11_d249e12960
Flortan	w1_d249e12966
Graf	w3_d249e12969
von	w5_d249e12972
Nadasdi	w7_d249e12975
Erb=herr	w9_d249e12978
zu	w11_d249e12981
Fo	w13_d249e12985
goras,	w1_d249e12990
wie	w3_d249e12993
auch	w5_d249e12996
des	w7_d249e12999
Schlosses	w9_d249e13002
und	w11_d249e13005
deren	w13_d249e13009
Herrschaften	w1_d249e13014
zu	w3_d249e13017
ober	w5_d249e13020
Limbach;	w7_d249e13023
des	w9_d249e13026
Löbl.	w11_d249e13029
Comorer=Comitats	w1_d249e13034
Erb=gespan,	w3_d249e13037
Jhrer	w5_d249e13040
Röm.	w1_d249e13046
Kaiserl.	w3_d249e13049
auch	w5_d249e13052
zu	w7_d249e13055
Hungarn	w9_d249e13058
und	w11_d249e13061
Bö	w13_d249e13065
h.im	w1_d249e13070
Königl.	w3_d249e13073
Majestät	w5_d249e13076
würklich	w7_d249e13079
Geheimer	w9_d249e13082
Raht,	w1_d249e13087
Königl.	w3_d249e13090
Hungarischer	w5_d249e13093
Hof=canzler,	w7_d249e13096
</p>
<p id="p20_d249e13109">
und	w1_d249e13113
in	w3_d249e13116
dem	w5_d249e13119
Königreich	w7_d249e13122
Hungarn	w9_d249e13125
Obrist	w11_d249e13128
stall=meister	w1_d249e13133
im	w3_d249e13136
Orengischen	w5_d249e13139
Garten,	w7_d249e13142
zu	w9_d249e13145
Gum	w11_d249e13148
pendorf	w1_d249e13153
an	w3_d249e13156
einem	w5_d249e13159
Schlag=fluß,	w7_d249e13162
dero	w9_d249e13165
Alters	w11_d249e13168
62.	w1_d249e13174
Jahr,	w3_d249e13177
dieses	w5_d249e13180
Zeitliche	w7_d249e13183
geseegnet.	w9_d249e13186
</p>
<p id="p22_d249e13189">
Verflossenen	w1_d249e13193
Mittwoch,	w3_d249e13196
als	w5_d249e13199
den	w7_d249e13202
31.	w9_d249e13205
abge	w11_d249e13208
wichenen	w1_d249e13213
Monats,	w3_d249e13216
ist	w5_d249e13219
allhier	w7_d249e13222
die	w9_d249e13225
Ziehung	w11_d249e13228
der	w13_d249e13232
K.	w1_d249e13237
K.	w3_d249e13240
privilegirten	w5_d249e13243
Lotterie	w7_d249e13246
beschehen,	w9_d249e13249
und	w11_d249e13252
die	w1_d249e13258
Num.	w3_d249e13261
1.	w5_d249e13264
41.	w7_d249e13267
73.	w9_d249e13270
59.	w11_d249e13273
und	w13_d249e13277
63.	w15_d249e13280
mit	w17_d249e13283
vielen	w19_d249e13286
Ambi	w1_d249e13291
und	w3_d249e13294
Terni,	w5_d249e13297
deren	w7_d249e13300
5	w9_d249e13303
der	w11_d249e13306
sub	w13_d249e13310
Num.	w15_d249e13313
24.	w17_d249e13316
in	w1_d249e13321
dem	w3_d249e13324
Schulter=gassel	w5_d249e13327
angestellte	w7_d249e13330
Collecter	w9_d249e13333
Hr.	w1_d249e13338
Joseph	w3_d249e13341
Huber	w5_d249e13344
zu	w7_d249e13347
entrichten	w9_d249e13350
hat,	w11_d249e13353
gehoben	w13_d249e13357
worden.	w1_d249e13363
</p>
<p id="p24_d249e13367">
Den	w1_d249e13371
17.	w3_d249e13374
lauffenden	w5_d249e13377
Monats	w7_d249e13380
wird	w9_d249e13383
in	w11_d249e13386
der	w13_d249e13390
K.	w1_d249e13395
K.	w3_d249e13398
Haupt=stadt	w5_d249e13401
Prag	w7_d249e13404
die	w9_d249e13407
fernere	w11_d249e13410
Ziehung	w13_d249e13414
beschehen.	w1_d249e13419
</p>
<head id="h2_d249e13425">
Lista	w1_d249e13429
deren	w3_d249e13432
Verstorbenen	w5_d249e13435
zu	w7_d249e13438
Wien	w9_d249e13441
in	w1_d249e13446
und	w3_d249e13449
vor	w5_d249e13452
der	w7_d249e13455
Stadt.	w9_d249e13458
Den	w1_d249e13463
30.	w3_d249e13466
May.	w5_d249e13469
Jn	w7_d249e13472
der	w9_d249e13475
Stadt.	w11_d249e13478
</head>
<list id="l4_d249e13481">
Der	w1_d249e13485
Wol=edel=geb.	w3_d249e13488
Hr.	w5_d249e13491
Math.	w7_d249e13494
Mart.	w9_d249e13497
v.	w11_d249e13500
Müller,	w13_d249e13504
K.	w1_d249e13509
K.	w3_d249e13512
Hof=kammer=raht,	w5_d249e13515
und	w7_d249e13518
Secretar.,	w9_d249e13521
auch	w11_d249e13524
K.	w13_d249e13528
K.	w1_d249e13533
Spiegel=fahric=administrat.,	w3_d249e13536
beym	w5_d249e13539
steinern	w7_d249e13542
Klee=blat	w1_d249e13548
untern	w3_d249e13551
Tuch=laub.,	w5_d249e13554
alt	w7_d249e13557
63.	w9_d249e13560
J.	w11_d249e13563
Die	w1_d249e13568
Wol=edle	w3_d249e13571
Fr.	w5_d249e13574
Anna	w7_d249e13577
Rosina	w9_d249e13580
Ludwigin,	w11_d249e13583
Wittwe,	w13_d249e13587
im	w1_d249e13592
Schweighertis.	w3_d249e13595
H.	w5_d249e13598
in	w7_d249e13601
der	w9_d249e13604
Singerstr.,	w11_d249e13607
83.	w13_d249e13611
J.	w15_d249e13614
Dem	w1_d249e13619
Hrn.	w3_d249e13622
Ant.	w5_d249e13625
Lauber,	w7_d249e13628
gem.	w9_d249e13631
Stadt=music=amts.	w11_d249e13634
canzel.,	w1_d249e13640
s.	w3_d249e13643
T.	w5_d249e13646
Francisca,	w7_d249e13649
im	w9_d249e13652
Dorfingeris.	w11_d249e13655
H.	w13_d249e13659
auf	w15_d249e13662
der	w1_d249e13667
Fischer=stieg,	w3_d249e13670
alt	w5_d249e13673
20.	w7_d249e13676
J.	w9_d249e13679
Dem	w1_d249e13684
Leop.	w3_d249e13687
Müllner,	w5_d249e13690
Burgerl.	w7_d249e13693
Kirschn.,	w9_d249e13696
s.	w11_d249e13699
T.	w13_d249e13703
Barb.,	w1_d249e13708
im	w3_d249e13711
Paurenfeindis.	w5_d249e13714
H.	w7_d249e13717
auf	w9_d249e13720
der	w11_d249e13723
Brandst.,	w13_d249e13727
alt	w1_d249e13733
6.	w3_d249e13736
v.	w5_d249e13739
J.	w7_d249e13742
</list>
<head id="h2_d249e13749">
Vor	w1_d249e13753
der	w3_d249e13756
Stadt.	w5_d249e13759
</head>
<list id="l4_d249e13762">
Dem	w1_d249e13766
Balthas.	w3_d249e13769
Ostler,	w5_d249e13772
Burgerl.	w7_d249e13775
Tischl.,	w9_d249e13778
s.	w11_d249e13781
W.	w13_d249e13785
An	w15_d249e13788
na,	w1_d249e13793
beym	w3_d249e13796
gur.	w5_d249e13799
Hirt.	w7_d249e13802
in	w9_d249e13805
der	w11_d249e13808
Josephst.,	w13_d249e13812
alt	w15_d249e13815
39.	w17_d249e13818
J.	w19_d249e13821
Joh.	w1_d249e13826
Pachmayr,	w3_d249e13829
Burgerl.	w5_d249e13832
Huterer,	w7_d249e13835
beym	w9_d249e13838
Herzog	w11_d249e13841
in	w1_d249e13847
der	w3_d249e13850
Leopoldst.,	w5_d249e13853
alt	w7_d249e13856
64.	w9_d249e13859
J.	w11_d249e13862
Math.	w1_d249e13867
Fritzl,	w3_d249e13870
Burgerl.	w5_d249e13873
Schuh=mach.,	w7_d249e13876
beym	w9_d249e13879
weis.	w11_d249e13882
Kreutz	w1_d249e13887
in	w3_d249e13890
der	w5_d249e13893
Leopoldst.,	w7_d249e13896
alt	w9_d249e13899
78.	w11_d249e13902
J.	w13_d249e13906
Theres.	w1_d249e13911
Schmidin,	w3_d249e13914
Wittwe,	w5_d249e13917
beym	w7_d249e13920
gold.	w9_d249e13923
Mond=sch.	w11_d249e13926
am	w1_d249e13932
Thury,	w3_d249e13935
alt	w5_d249e13938
44.	w7_d249e13941
J.	w9_d249e13944
Gotth.	w1_d249e13949
Lebele,	w3_d249e13952
Lust-gart.,	w5_d249e13955
im	w7_d249e13958
Schellhamis.	w9_d249e13961
Gart.	w11_d249e13964
in	w1_d249e13969
der	w3_d249e13972
Josephst.,	w5_d249e13975
alt	w7_d249e13978
46.	w9_d249e13981
J.	w11_d249e13984
Lorenz	w1_d249e13989
Surer,	w3_d249e13992
Zimmer=ges.,	w5_d249e13995
beym	w7_d249e13998
Winter	w9_d249e14001
in	w11_d249e14004
der	w13_d249e14008
Josephst.,	w1_d249e14014
alt	w3_d249e14017
65.	w5_d249e14020
J.	w7_d249e14023
Dem	w1_d249e14028
Ulrich	w3_d249e14031
König,	w5_d249e14034
Tagw.,	w7_d249e14037
s.	w9_d249e14040
W.	w11_d249e14043
Theros.,	w13_d249e14047
in	w15_d249e14050
dem	w17_d249e14053
Gatonis.	w1_d249e14058
H.	w3_d249e14061
in	w5_d249e14064
der	w7_d249e14067
Leopoldst.,	w9_d249e14070
alt	w11_d249e14073
29.	w13_d249e14077
J.	w15_d249e14080
Elemens	w1_d249e14085
Pardell,	w3_d249e14088
Toscanis.	w5_d249e14091
Sold.,	w7_d249e14094
im	w9_d249e14097
Czerninis.	w11_d249e14100
Gart.	w1_d249e14106
in	w3_d249e14109
der	w5_d249e14112
Leopoldst.,	w7_d249e14115
alt	w9_d249e14118
29.	w11_d249e14121
J.	w13_d249e14125
Dem	w1_d249e14130
Jacob	w3_d249e14133
Kling,	w5_d249e14136
Tagw.,	w7_d249e14139
s.	w9_d249e14142
W.	w11_d249e14145
Anna,	w13_d249e14149
bey	w15_d249e14152
dem	w17_d249e14155
gold.	w1_d249e14160
Straus.	w3_d249e14163
auf	w5_d249e14166
der	w7_d249e14169
Wied.,	w9_d249e14172
alt	w11_d249e14175
24.	w13_d249e14179
J.	w15_d249e14182
Agatha	w1_d249e14187
Sigritzin,	w3_d249e14190
im	w5_d249e14193
langen	w7_d249e14196
Keller,	w9_d249e14199
alt	w11_d249e14202
82.	w13_d249e14206
J.	w15_d249e14209
</list>
<head id="h2_d249e14216">
Summa	w1_d249e14220
14.	w3_d249e14223
Person.,	w5_d249e14226
darunter	w7_d249e14229
1.	w9_d249e14232
Kind.	w11_d249e14235
Den	w1_d249e14240
31.	w3_d249e14243
May.	w5_d249e14246
Jn	w1_d249e14251
der	w3_d249e14254
Stadt.	w5_d249e14257
</head>
<list id="l4_d249e14260">
Dem	w1_d249e14264
Jgnatz	w3_d249e14267
Dronet,	w5_d249e14270
Burgerl.	w7_d249e14273
Klampf.,	w9_d249e14276
s.	w11_d249e14279
K.	w13_d249e14283
Jg	w15_d249e14286
</list>
<list id="l6_d249e14290">
natz,	w1_d249e14294
im	w3_d249e14297
Kaiseris.	w5_d249e14300
H.	w7_d249e14303
in	w9_d249e14306
der	w11_d249e14309
Himmel=pfort=gas.,	w13_d249e14313
alt	w1_d249e14318
6.	w3_d249e14321
J.	w5_d249e14324
Jos.	w1_d249e14329
Baumgartner,	w3_d249e14332
Herrschaftl.	w5_d249e14335
Kuchel=schreib.	w7_d249e14338
im	w1_d249e14344
Schlegel=hof,	w3_d249e14347
alt	w5_d249e14350
39.	w7_d249e14353
J.	w9_d249e14356
</list>
<head id="h2_d249e14363">
Vor	w1_d249e14367
der	w3_d249e14370
Stadt.	w5_d249e14373
</head>
<list id="l4_d249e14376">
Hr.	w1_d249e14380
Sigm.	w3_d249e14383
Luer,	w5_d249e14386
Mercantil=deput=rait=offic.,	w7_d249e14389
bey	w9_d249e14392
dem	w1_d249e14397
Bier=männl	w3_d249e14400
in	w5_d249e14403
der	w7_d249e14406
Leopoldst,	w9_d249e14409
alt	w11_d249e14412
52.	w13_d249e14416
J.	w15_d249e14419
Hr.	w1_d249e14424
Joh.	w3_d249e14427
Georg	w5_d249e14430
Langer,	w7_d249e14433
gew.	w9_d249e14436
Erz=herzogl.	w11_d249e14439
Kam	w13_d249e14443
mer=thür=hüt.,	w1_d249e14449
beym	w3_d249e14452
gold.	w5_d249e14455
Rauch=fang	w7_d249e14458
auf	w9_d249e14461
der	w11_d249e14464
Wied.,	w1_d249e14469
alt	w3_d249e14472
64.	w5_d249e14475
J.	w7_d249e14478
Dem	w1_d249e14483
Paul	w3_d249e14486
Reutner,	w5_d249e14489
Schneid.,	w7_d249e14492
s.	w9_d249e14495
W.	w11_d249e14498
Anna,	w13_d249e14502
im	w15_d249e14505
Stuckatoris.	w1_d249e14510
H.	w3_d249e14513
am	w5_d249e14516
Neustift,	w7_d249e14519
alt	w9_d249e14522
60.	w11_d249e14525
J.	w13_d249e14529
Dem	w1_d249e14535
Sebast.	w3_d249e14538
Gumbricht,	w5_d249e14541
Lack.,	w7_d249e14544
s.	w9_d249e14547
T.	w11_d249e14550
Cathar.,	w13_d249e14554
bey	w15_d249e14557
St.	w1_d249e14562
Feorian	w3_d249e14565
zu	w5_d249e14568
Nicolstorf,	w7_d249e14571
alt	w9_d249e14574
29.	w11_d249e14577
J.	w13_d249e14581
Justina	w1_d249e14586
Pretzmanin,	w3_d249e14589
Wittwe,	w5_d249e14592
deyn	w7_d249e14595
3.	w9_d249e14598
Lil.	w11_d249e14601
obrem	w13_d249e14605
Neustift,	w1_d249e14610
alt	w3_d249e14613
85.	w5_d249e14616
J.	w7_d249e14619
Dem	w1_d249e14625
Sebast.	w3_d249e14628
Ruebhofer,	w5_d249e14631
Büchsen=schift.,	w7_d249e14634
s.	w9_d249e14637
W.	w11_d249e14640
Ca	w13_d249e14644
that.,	w1_d249e14649
beym	w3_d249e14652
gold.	w5_d249e14655
Bärn	w7_d249e14658
in	w9_d249e14661
der	w11_d249e14664
Leopoldst.,	w13_d249e14668
27.	w15_d249e14671
J.	w17_d249e14674
Anna	w1_d249e14679
Seyerin,	w3_d249e14682
Wittwe,	w5_d249e14685
beym	w7_d249e14688
braun.	w9_d249e14691
Hirsch.	w11_d249e14694
zu	w13_d249e14698
Mätzleinstorf,	w1_d249e14703
alt	w3_d249e14706
60.	w5_d249e14709
J.	w7_d249e14712
Greg.	w1_d249e14718
Wally,	w3_d249e14721
Haus=kn.,	w5_d249e14724
beym	w7_d249e14727
gold.	w9_d249e14730
Adl.	w11_d249e14733
am	w13_d249e14737
Neu	w15_d249e14740
stift,	w1_d249e14745
alt	w3_d249e14748
68.	w5_d249e14751
J.	w7_d249e14754
Joh.	w1_d249e14759
Simon,	w3_d249e14762
Bithlemis.	w5_d249e14765
Recrut,	w7_d249e14768
in	w9_d249e14771
der	w11_d249e14774
Casarm,	w13_d249e14778
alt	w1_d249e14783
32	w3_d249e14786
J.	w5_d249e14789
Anna	w1_d249e14795
Schrapperin,	w3_d249e14798
Wittwe,	w5_d249e14801
beyn	w7_d249e14804
2.	w9_d249e14807
Schlüs.	w11_d249e14810
am	w13_d249e14814
Neustift,	w1_d249e14819
alt	w3_d249e14822
61.	w5_d249e14825
J.	w7_d249e14828
Math.	w1_d249e14833
Hudlweineck,	w3_d249e14836
Tagw.,	w5_d249e14839
berm	w7_d249e14842
rot.	w9_d249e14845
H.	w11_d249e14848
an	w13_d249e14852
der	w15_d249e14855
Wien,	w1_d249e14860
alt	w3_d249e14863
31.	w5_d249e14866
J.	w7_d249e14869
Andre	w1_d249e14875
Koller,	w3_d249e14878
Tagw.,	w5_d249e14881
beym	w7_d249e14884
Rit.	w9_d249e14887
St.	w11_d249e14890
Georg	w13_d249e14894
auffer	w15_d249e14897
Matia=hülf,	w1_d249e14902
alt	w3_d249e14905
68.	w5_d249e14908
J.	w7_d249e14911
</list>
<head id="h2_d249e14919">
Summa	w1_d249e14923
14.	w3_d249e14926
Person.,	w5_d249e14929
darunter	w7_d249e14932
1.	w9_d249e14935
Kird	w11_d249e14938
Den	w1_d249e14943
1.	w3_d249e14946
Junii.	w5_d249e14949
Jn	w1_d249e14954
der	w3_d249e14957
Stadt.	w5_d249e14960
</head>
<list id="l4_d249e14963">
Dem	w1_d249e14967
Wol=edlen	w3_d249e14970
Hrn.	w5_d249e14973
Joh.	w7_d249e14976
Franz	w9_d249e14979
Peixoto	w11_d249e14982
de	w13_d249e14986
Ca	w15_d249e14989
sta,	w1_d249e14994
Welsch.	w3_d249e14997
Hof=canzl.	w5_d249e15000
offic,	w7_d249e15003
s.	w9_d249e15006
Fr.	w11_d249e15009
Magdal.,	w13_d249e15013
im	w1_d249e15018
Felbermayris.	w3_d249e15021
H.	w5_d249e15024
am	w7_d249e15027
Hohen=markt,	w9_d249e15030
39.	w11_d249e15033
J.	w13_d249e15037
Georg	w1_d249e15043
Beer,	w3_d249e15046
Todten	w5_d249e15049
trag.,	w7_d249e15052
im	w9_d249e15055
Teuflis.	w11_d249e15058
H.	w13_d249e15062
am	w15_d249e15065
alt.	w17_d249e15068
Fletsch=m.,	w1_d249e15073
alt	w3_d249e15076
57.	w5_d249e15079
J.	w7_d249e15082
</list>
<head id="h2_d249e15089">
Vor	w1_d249e15093
der	w3_d249e15096
