<doc id="wr_1757-01-29" attrs="word" year="1757" month="01" day="29" corpus="2">
<head id="h2_d113e2714">
Tripoli	w1_d113e2718
führet.	w1_d113e9953
</p>
<head id="h2_d113e9959">
Lista	w1_d113e9963
deren	w3_d113e9966
Verstorbenen	w5_d113e9969
zu	w7_d113e9972
Wien	w9_d113e9975
in	w1_d113e9980
und	w3_d113e9983
vor	w5_d113e9986
der	w7_d113e9989
Stadt	w9_d113e9992
Den	w1_d113e9997
26.	w3_d113e10000
Januarii.	w5_d113e10003
Jn	w1_d113e10009
der	w3_d113e10012
Stadt.	w5_d113e10015
</head>
<list id="l4_d113e10018">
Die	w1_d113e10022
Wol=ihrw	w3_d113e10025
Mutter	w5_d113e10028
Euphrasta,	w7_d113e10031
im	w9_d113e10034
Kloster	w11_d113e10037
bey	w13_d113e10041
St.	w1_d113e10046
Ursula,	w3_d113e10049
alt	w5_d113e10052
88.	w7_d113e10055
J.	w9_d113e10058
Fr.	w1_d113e10063
Sabina	w3_d113e10066
Klingerin,	w5_d113e10069
Wittwe,	w7_d113e10072
beym	w9_d113e10075
gros.	w11_d113e10078
Chri	w13_d113e10082
stoph	w1_d113e10088
bey	w3_d113e10091
St.	w5_d113e10094
Salvator,	w7_d113e10097
alt	w9_d113e10100
59.	w11_d113e10103
J.	w13_d113e10107
Franz	w1_d113e10112
Stessel,	w3_d113e10115
Burgerl.	w5_d113e10118
Bind.,	w7_d113e10121
in	w9_d113e10124
s.	w11_d113e10127
H.	w13_d113e10131
in	w15_d113e10134
der	w17_d113e10137
Na	w19_d113e10140
gler=gas.,	w1_d113e10145
alt	w3_d113e10148
88.	w5_d113e10151
J.	w7_d113e10154
</list>
<head id="h2_d113e10162">
Vor	w1_d113e10166
der	w3_d113e10169
Stadt.	w5_d113e10172
</head>
<list id="l4_d113e10175">
Fr.	w1_d113e10179
Laura	w3_d113e10182
Simonetin,	w5_d113e10185
Wittwe,	w7_d113e10188
beym	w9_d113e10191
schwarz.	w11_d113e10194
Rös.	w13_d113e10198
in	w1_d113e10203
der	w3_d113e10206
Josephst.,	w5_d113e10209
alt	w7_d113e10212
74.	w9_d113e10215
J.	w11_d113e10218
Hr.	w1_d113e10223
Franz	w3_d113e10226
Zachar.	w5_d113e10229
Rögler,	w7_d113e10232
gew.	w9_d113e10235
Burgerl.	w11_d113e10238
Handels	w13_d113e10242
m.,	w1_d113e10248
in	w3_d113e10251
s.	w5_d113e10254
H.	w7_d113e10257
in	w9_d113e10260
der	w11_d113e10263
Unger=gas.,	w13_d113e10267
alt	w15_d113e10270
54.	w17_d113e10273
J	w19_d113e10276
Dem	w1_d113e10281
Jos.	w3_d113e10284
Athenhammer,	w5_d113e10287
Proviant=offic.,	w7_d113e10290
s.	w9_d113e10293
K.	w11_d113e10296
Barb.,	w1_d113e10301
beym	w3_d113e10304
schwarz.	w5_d113e10307
Ochs.	w7_d113e10310
am	w9_d113e10313
Neubau,	w11_d113e10316
1.	w13_d113e10320
J.	w15_d113e10323
Anna	w1_d113e10328
Mayrin,	w3_d113e10331
Wittwe,	w5_d113e10334
beym	w7_d113e10337
gold.	w9_d113e10340
Kreutz	w11_d113e10343
bey	w13_d113e10347
Maria=hülf,	w1_d113e10353
alt	w3_d113e10356
78.	w5_d113e10359
J.	w7_d113e10362
Paul	w1_d113e10367
Mayr,	w3_d113e10370
Burgerl.	w5_d113e10373
Wagn.,	w7_d113e10376
in	w9_d113e10379
s.	w11_d113e10382
H.	w13_d113e10386
im	w15_d113e10389
Liech	w17_d113e10392
tenth.,	w1_d113e10397
alt	w3_d113e10400
50.	w5_d113e10403
J.	w7_d113e10406
Christina	w1_d113e10411
Leitnerin,	w3_d113e10414
Wittwe,	w5_d113e10417
beym	w7_d113e10420
grün.	w9_d113e10423
Kran	w11_d113e10426
bey	w1_d113e10432
Maria=hülf,	w3_d113e10435
alt	w5_d113e10438
84.	w7_d113e10441
J.	w9_d113e10444
Dem	w1_d113e10449
Joh.	w3_d113e10452
Vogler,	w5_d113e10455
Lack.,	w7_d113e10458
s.	w9_d113e10461
K.	w11_d113e10464
Albert,	w13_d113e10468
beym	w15_d113e10471
Jor	w17_d113e10474
dan	w1_d113e10479
in	w3_d113e10482
der	w5_d113e10485
Josephst.,	w7_d113e10488
alt	w9_d113e10491
7	w11_d113e10494
J.	w13_d113e10498
Der	w1_d113e10503
Johanna	w3_d113e10506
Rigerin,	w5_d113e10509
Wittwe,	w7_d113e10512
ihr	w9_d113e10515
T.	w11_d113e10518
Rosina,	w13_d113e10522
beym	w1_d113e10528
Häsel	w3_d113e10531
in	w5_d113e10534
der	w7_d113e10537
Leopoldst.,	w9_d113e10540
alt	w11_d113e10543
23.	w13_d113e10547
J.	w15_d113e10550
Dem	w1_d113e10555
Thom.	w3_d113e10558
Pachmayr,	w5_d113e10561
Post=kn.,	w7_d113e10564
s.	w9_d113e10567
K.	w11_d113e10570
Math.,	w13_d113e10574
in	w15_d113e10577
der	w1_d113e10582
Schleif=mühl	w3_d113e10585
an	w5_d113e10588
der	w7_d113e10591
Wien,	w9_d113e10594
alt	w11_d113e10597
6.	w13_d113e10601
v.	w15_d113e10604
J.	w17_d113e10607
Joh.	w1_d113e10612
Lechner,	w3_d113e10615
gew.	w5_d113e10618
Kutsch.,	w7_d113e10621
im	w9_d113e10624
Sessel=trageris.	w11_d113e10627
H.	w13_d113e10631
zu	w1_d113e10637
Ricolstorf,	w3_d113e10640
alt	w5_d113e10643
68.	w7_d113e10646
J.	w9_d113e10649
Dem	w1_d113e10654
Christian	w3_d113e10657
Fischer,	w5_d113e10660
Tagw.,	w7_d113e10663
s.	w9_d113e10666
W.	w11_d113e10669
Agnes,	w13_d113e10673
im	w15_d113e10676
Lanoveris.	w1_d113e10681
H.	w3_d113e10684
zu	w5_d113e10687
Margar.,	w7_d113e10690
alt	w9_d113e10693
69.	w11_d113e10696
J.	w13_d113e10700
Dem	w1_d113e10705
Conrad	w3_d113e10708
Reil,	w5_d113e10711
Tagw.,	w7_d113e10714
s.	w9_d113e10717
K.	w11_d113e10720
Barb.,	w13_d113e10724
bey	w15_d113e10727
dem	w17_d113e10730
Wolf.	w1_d113e10736
am	w3_d113e10739
Neustift,	w5_d113e10742
alt	w7_d113e10745
5.	w9_d113e10748
J.	w11_d113e10751
</list>
<head id="h2_d113e10758">
Summa	w1_d113e10762
15.	w3_d113e10765
Person.,	w5_d113e10768
darunter	w7_d113e10771
4.	w9_d113e10774
Kinder.	w11_d113e10777
Den	w1_d113e10782
27.	w3_d113e10785
Januarii.	w5_d113e10788
Jn	w1_d113e10793
der	w3_d113e10796
Stadt.	w5_d113e10799
</head>
<list id="l4_d113e10802">
Dem	w1_d113e10806
Wol=edlen	w3_d113e10809
Hrn.	w5_d113e10812
Jarob	w7_d113e10815
Ant.	w9_d113e10818
Kofler,	w11_d113e10821
gemein.	w13_d113e10825
Stadt=banco=haupt=cassa	w1_d113e10830
rait=offic.,	w3_d113e10833
s.	w5_d113e10836
S.	w7_d113e10839
Carl,	w9_d113e10842
im	w1_d113e10847
Bösis.	w3_d113e10850
H.	w5_d113e10853
im	w7_d113e10856
Färber	w9_d113e10859
gäs.,	w11_d113e10862
alt	w13_d113e10866
1.	w15_d113e10869
J.	w17_d113e10872
Dem	w1_d113e10878
Hrn.	w3_d113e10881
Phil.	w5_d113e10884
Trenker,	w7_d113e10887
gew.	w9_d113e10890
Burgerl.	w11_d113e10893
Leinw.	w13_d113e10897
s.	w1_d113e10902
K.	w3_d113e10905
Regina,	w5_d113e10908
im	w7_d113e10911
Eisenhutis.	w9_d113e10914
H.	w11_d113e10917
in	w13_d113e10921
der	w15_d113e10924
Singer	w17_d113e10927
stras.,	w1_d113e10932
alt	w3_d113e10935
1.	w5_d113e10938
J.	w7_d113e10941
Franz	w1_d113e10946
Weissengruber,	w3_d113e10949
Burgerl.	w5_d113e10952
Mahl.,	w7_d113e10955
auf	w9_d113e10958
der	w11_d113e10961
Mehl=grub.,	w1_d113e10967
alt	w3_d113e10970
69.	w5_d113e10973
J.	w7_d113e10976
Ant.	w1_d113e10981
Scheix,	w3_d113e10984
Burgerl.	w5_d113e10987
Bier=leut=geb,	w7_d113e10990
im	w9_d113e10993
Becherl	w11_d113e10996
hof	w1_d113e11001
im	w3_d113e11004
Kumpf=gäs.,	w5_d113e11007
alt	w7_d113e11010
52.	w9_d113e11013
J.	w11_d113e11016
Dem	w1_d113e11021
Joh.	w3_d113e11024
Handler,	w5_d113e11027
Schneid.,	w7_d113e11030
s.	w9_d113e11033
K.	w11_d113e11036
Jos.,	w13_d113e11040
im	w15_d113e11043
Wag	w17_d113e11046
neris.	w1_d113e11052
H.	w3_d113e11055
am	w5_d113e11058
Galz=gr.,	w7_d113e11061
alt	w9_d113e11064
5.	w11_d113e11067
v.	w13_d113e11071
J.	w15_d113e11074
</list>
<head id="h2_d113e11081">
Vor	w1_d113e11085
der	w3_d113e11088
Stadt.	w5_d113e11091
</head>
<list id="l4_d113e11094">
Der	w1_d113e11098
Hoch	w3_d113e11101
und	w5_d113e11104
Wol=geb.	w7_d113e11107
Hr.	w9_d113e11110
Ferd.	w11_d113e11113
Graf	w13_d113e11117
v.	w15_d113e11120
Scher.	w17_d113e11123
</list>
<list id="l6_d113e11127">
jenberg,	w1_d113e11131
in	w3_d113e11134
der	w5_d113e11137
K.	w7_d113e11140
K.	w9_d113e11143
abelich.	w11_d113e11146
Militar=acabemie	w13_d113e11150
auf	w1_d113e11155
der	w3_d113e11158
Laimgr,	w5_d113e11161
alt	w7_d113e11164
9.	w9_d113e11167
J.	w11_d113e11170
2.	w13_d113e11174
Mon.	w15_d113e11177
Dem	w1_d113e11182
Georg	w3_d113e11185
Schwindler,	w5_d113e11188
Burgerl.	w7_d113e11191
Bäcken,	w9_d113e11194
s.	w11_d113e11197
K.	w13_d113e11201
Jos.,	w1_d113e11207
in	w3_d113e11210
s.	w5_d113e11213
H.	w7_d113e11216
in	w9_d113e11219
der	w11_d113e11222
Leopoldst.,	w13_d113e11226
alt	w15_d113e11229
1.	w17_d113e11232
J.	w19_d113e11235
Dem	w1_d113e11240
Jacob	w3_d113e11243
Frum,	w5_d113e11246
Burgerl.	w7_d113e11249
Nadl.,	w9_d113e11252
s.	w11_d113e11255
K.	w13_d113e11259
Jacob,	w15_d113e11262
bey	w1_d113e11267
St	w3_d113e11270
Anna	w5_d113e11273
in	w7_d113e11276
der	w9_d113e11279
Josephst.,	w11_d113e11282
alt	w13_d113e11286
7.	w15_d113e11289
J.	w17_d113e11292
Dem	w1_d113e11297
Jos.	w3_d113e11300
Reinmüller,	w5_d113e11303
Burgerl.	w7_d113e11306
Fleisch=selk.,	w9_d113e11309
s.	w11_d113e11312
K.	w13_d113e11316
Andre,	w1_d113e11322
beym	w3_d113e11325
grün.	w5_d113e11328
Jäg.	w7_d113e11331
oberm	w9_d113e11334
Neust.,	w11_d113e11337
2.	w13_d113e11341
J.	w15_d113e11344
Dem	w1_d113e11349
Phil.	w3_d113e11352
Grün,	w5_d113e11355
Burgerl.	w7_d113e11358
Schuh=mach.,	w9_d113e11361
s.	w11_d113e11364
K.	w13_d113e11368
Theres.,	w1_d113e11373
beym	w3_d113e11376
gold.	w5_d113e11379
Sieb	w7_d113e11382
auf	w9_d113e11385
der	w11_d113e11388
Wied.,	w13_d113e11392
4.	w15_d113e11395
J.	w17_d113e11398
Franz	w1_d113e11403
Suber,	w3_d113e11406
Kapell=dien.	w5_d113e11409
im	w7_d113e11412
Lerchenf.,	w9_d113e11415
im	w11_d113e11418
Bäckis	w13_d113e11422
H.	w1_d113e11428
alda,	w3_d113e11431
alt	w5_d113e11434
66.	w7_d113e11437
J.	w9_d113e11440
Der	w1_d113e11445
Christina	w3_d113e11448
Aloysin,	w5_d113e11451
Wittwe,	w7_d113e11454
ihr	w9_d113e11457
K.	w11_d113e11460
Cathar.,	w13_d113e11464
im	w15_d113e11467
Häcklis.	w1_d113e11472
H.	w3_d113e11475
auf	w5_d113e11478
der	w7_d113e11481
Wied.,	w9_d113e11484
alt	w11_d113e11487
2.	w13_d113e11491
J.	w15_d113e11494
Anna	w1_d113e11499
Puschin,	w3_d113e11502
ar.	w5_d113e11505
W.	w7_d113e11508
bey	w9_d113e11511
der	w11_d113e11514
grün.	w13_d113e11518
Saulen	w15_d113e11521
im	w17_d113e11524
Liechtenth.,	w1_d113e11530
alt	w3_d113e11533
58.	w5_d113e11536
J.	w7_d113e11539
Cathar.	w1_d113e11544
Rauschin,	w3_d113e11547
alt	w5_d113e11550
72.	w7_d113e11553
J.,	w9_d113e11556
im	w11_d113e11559
langen	w13_d113e11563
Keller.	w15_d113e11566
</list>
<head id="h2_d113e11573">
Summa	w1_d113e11577
14.	w3_d113e11580
Person.,	w5_d113e11583
darunter	w7_d113e11586
9.	w9_d113e11589
Kinder.	w11_d113e11592
Den	w1_d113e11597
28.	w3_d113e11600
Januarii.	w5_d113e11603
Jn	w1_d113e11608
der	w3_d113e11611
Stadt.	w5_d113e11614
</head>
<list id="l4_d113e11617">
Die	w1_d113e11621
Hoch=edel=geb.	w3_d113e11624
Fr.	w5_d113e11627
Maria	w7_d113e11630
Elisab.	w9_d113e11633
verw.	w11_d113e11636
von	w13_d113e11640
Altstätten,	w1_d113e11645
geb.	w3_d113e11648
v.	w5_d113e11651
Benner,	w7_d113e11654
beym	w9_d113e11657
gold.	w11_d113e11660
Rädel	w13_d113e11664
an	w15_d113e11667
Stuben=thor,	w1_d113e11672
alt	w3_d113e11675
50.	w5_d113e11678
J.	w7_d113e11681
Jos.	w1_d113e11687
Jauffer,	w3_d113e11690
Haus=meist.,	w5_d113e11693
im	w7_d113e11696
Schneiderisch.	w9_d113e11699
H.	w11_d113e11702
in	w1_d113e11707
der	w3_d113e11710
Singerstr.,	w5_d113e11713
alt	w7_d113e11716
77.	w9_d113e11719
J.	w11_d113e11722
</list>
<head id="h2_d113e11729">
Vor	w1_d113e11733
der	w3_d113e11736
Stadt.	w5_d113e11739
</head>
<list id="l4_d113e11742">
Anna	w1_d113e11746
Schulzin,	w3_d113e11749
Wittwe,	w5_d113e11752
beym	w7_d113e11755
gold.	w9_d113e11758
Pfauen	w11_d113e11761
am	w13_d113e11765
Spitalberg,	w1_d113e11770
alt	w3_d113e11773
60.	w5_d113e11776
J.	w7_d113e11779
Leop.	w1_d113e11784
Wittman,	w3_d113e11787
Burgerl.	w5_d113e11790
Tändl.,	w7_d113e11793
bey	w9_d113e11796
denen	w11_d113e11799
3.	w13_d113e11803
En	w15_d113e11806
geln	w1_d113e11812
auf	w3_d113e11815
der	w5_d113e11818
Landstr.,	w7_d113e11821
alt	w9_d113e11824
48.	w11_d113e11827
J.	w13_d113e11831
Andre	w1_d113e11836
Henn,	w3_d113e11839
gew.	w5_d113e11842
Burgerl.	w7_d113e11845
Bier=leut=geb,	w9_d113e11848
im	w11_d113e11851
Koll	w13_d113e11855
münzeris.	w1_d113e11860
H.	w3_d113e11863
auf	w5_d113e11866
der	w7_d113e11869
Laimgr.,	w9_d113e11872
alt	w11_d113e11875
77.	w13_d113e11879
J.	w15_d113e11882
Dem	w1_d113e11887
Ant.	w3_d113e11890
Gruber,	w5_d113e11893
Brandwein.,	w7_d113e11896
s.	w9_d113e11899
K.	w11_d113e11902
Theres.,	w13_d113e11906
bey	w15_d113e11909
der	w1_d113e11915
gold.	w3_d113e11918
Schlang.	w5_d113e11921
in	w7_d113e11924
der	w9_d113e11927
Josephst.,	w11_d113e11930
alt	w13_d113e11934
3.	w15_d113e11937
J.	w17_d113e11940
Dem	w1_d113e11945
Georg	w3_d113e11948
Fickl,	w5_d113e11951
Schneid.,	w7_d113e11954
s.	w9_d113e11957
K.	w11_d113e11960
Ant.,	w13_d113e11964
im	w15_d113e11967
Heitze	w17_d113e11970
ris.	w1_d113e11975
H.	w3_d113e11978
zu	w5_d113e11981
Erdberg,	w7_d113e11984
alt	w9_d113e11987
4.	w11_d113e11990
J.	w13_d113e11994
Dem	w1_d113e11999
Gottfr.	w3_d113e12002
Gruber,	w5_d113e12005
Strumpf=strück.,	w7_d113e12008
s.	w9_d113e12011
K.	w11_d113e12014
Jose	w13_d113e12018
pha,	w1_d113e12024
beym	w3_d113e12027
Post=hörnl	w5_d113e12030
in	w7_d113e12033
der	w9_d113e12036
Josephst.,	w11_d113e12039
alt	w13_d113e12043
10.	w15_d113e12046
J.	w17_d113e12049
Dem	w1_d113e12054
Wenzel	w3_d113e12057
Kärlinger,	w5_d113e12060
Eisen=tändl.,	w7_d113e12063
s.	w9_d113e12066
K.	w11_d113e12069
Reg.,	w13_d113e12073
beym	w1_d113e12078
gold.	w3_d113e12081
Stern	w5_d113e12084
ausser	w7_d113e12087
der	w9_d113e12090
Rossau,	w11_d113e12093
alt	w13_d113e12097
2.	w15_d113e12100
J.	w17_d113e12103
Dem	w1_d113e12108
Joh.	w3_d113e12111
Hanatscheck,	w5_d113e12114
Waldeggis.	w7_d113e12117
Sold.,	w9_d113e12120
s.	w11_d113e12123
K.	w13_d113e12127
Anna,	w1_d113e12133
in	w3_d113e12136
der	w5_d113e12139
Casarm	w7_d113e12142
am	w9_d113e12145
Getreid=m.,	w11_d113e12148
alt	w13_d113e12152
4.	w15_d113e12155
J.	w17_d113e12158
Dem	w1_d113e12163
Ant.	w3_d113e12166
Hofman,	w5_d113e12169
Kutsch.,	w7_d113e12172
s.	w9_d113e12175
K.	w11_d113e12178
Sebast.,	w13_d113e12182
bey	w15_d113e12185
dem	w17_d113e12188
gold	w1_d113e12193
Adl.	w3_d113e12196
im	w5_d113e12199
Liechtenth.,	w7_d113e12202
alt	w9_d113e12205
4.	w11_d113e12208
J.	w13_d113e12212
Franz	w1_d113e12217
Hilleprand,	w3_d113e12220
Tag=wacht.,	w5_d113e12223
beym	w7_d113e12226
schwarz.	w9_d113e12229
Adl.	w11_d113e12232
auf	w1_d113e12238
der	w3_d113e12241
Wendelst.,	w5_d113e12244
alt	w7_d113e12247
60.	w9_d113e12250
J.	w11_d113e12253
Dem	w1_d113e12258
Math.	w3_d113e12261
Bächel,	w5_d113e12264
Ziegel=scheib.,	w7_d113e12267
s.	w9_d113e12270
K.	w11_d113e12273
Wolf,	w13_d113e12277
bey	w15_d113e12280
der	w1_d113e12285
bl.	w3_d113e12288
Weintr.	w5_d113e12291
am	w7_d113e12294
Himmel=pfort=gr.,	w9_d113e12297
3.	w11_d113e12300
J.	w13_d113e12304
Dem	w1_d113e12309
Phil.	w3_d113e12312
Habersperger,	w5_d113e12315
Tagw.,	w7_d113e12318
s.	w9_d113e12321
K.	w11_d113e12324
Elisab.	w13_d113e12328
bey	w15_d113e12331
dem	w1_d113e12337
gold.	w3_d113e12340
Rös.	w5_d113e12343
im	w7_d113e12346
Lerchenf.,	w9_d113e12349
alt	w11_d113e12352
4.	w13_d113e12356
J.	w15_d113e12359
</list>
<head id="h2_d113e12366">
Summa	w1_d113e12370
14.	w3_d113e12373
Person.,	w5_d113e12376
darunter	w7_d113e12379
3.	w9_d113e12382
Kinder.	w11_d113e12385
</head>
<p id="p4_d113e12388">
NB.	w1_d113e12392
Bey	w3_d113e12395
dem	w5_d113e12398
Herrn	w7_d113e12401
Tecini	w9_d113e12404
auf	w11_d113e12407
der	w13_d113e12411
Brandt	w15_d113e12414
stadt	w1_d113e12419
in	w3_d113e12422
dem	w5_d113e12425
Raitzen=kopf	w7_d113e12428
ist	w9_d113e12431
zu	w11_d113e12434
bekommen	w13_d113e12438
ein	w15_d113e12441
extra	w1_d113e12446
guter	w3_d113e12449
Maraschin=rosolio	w5_d113e12452
von	w7_d113e12455
Zara,	w9_d113e12458
nebst	w11_d113e12461
verschiedenen	w1_d113e12467
andern	w3_d113e12470
Gattungen.	w5_d113e12473
</p>
<head id="h4_d113e12490">
EDIICT.	w1_d113e12494
</head>
<p id="p6_d113e12497">
Von	w1_d113e12501
des	w3_d113e12504
Kaiserl.	w5_d113e12507
Königl.	w7_d113e12510
Judicii	w9_d113e12513
dele-	w11_d113e12516
gati	w1_d113e12521
Militaris	w3_d113e12524
mixti,	w5_d113e12527
Superioris	w7_d113e12530
ac	w9_d113e12533
inferio-	w11_d113e12536
ris	w1_d113e12541
Austriæ	w3_d113e12544
wegen,	w5_d113e12547
wird	w7_d113e12550
hiemit	w9_d113e12553
durch	w11_d113e12556
die	w13_d113e12560
ses	w1_d113e12566
offentliche	w3_d113e12569
Edict	w5_d113e12572
jedermänniglich,	w7_d113e12575
denen	w9_d113e12578
</p>
<p id="p8_d113e12581">
daran	w1_d113e12585
gelegen,	w3_d113e12588
kund	w5_d113e12591
und	w7_d113e12594
zu	w9_d113e12597
wissen	w11_d113e12600
gemachet:	w13_d113e12604
Es	w1_d113e12609
seye	w3_d113e12612
auf	w5_d113e12615
Anlangen	w7_d113e12618
des	w9_d113e12621
Franz	w11_d113e12624
Xaverii	w13_d113e12628
Leonhard	w1_d113e12633
Högg,	w3_d113e12636
J.	w5_d113e12639
U.	w7_d113e12642
D.	w9_d113e12645
wie	w11_d113e12648
auch	w13_d113e12652
Kaiserl	w15_d113e12655
Königl.	w1_d113e12661
Hof=kriegs=rahts,	w3_d113e12664
und	w5_d113e12667
Gerichtsad	w7_d113e12670
vocatens,	w1_d113e12675
als	w3_d113e12678
über	w5_d113e12681
Weyl.	w7_d113e12684
Herrn	w9_d113e12687
Franz	w11_d113e12690
Alexander	w1_d113e12695
von	w3_d113e12698
Logau	w5_d113e12701
des	w7_d113e12704
Kaiserl.	w9_d113e12707
Königl.	w11_d113e12710
General=feld=marschalls	w1_d113e12715
Fürst	w3_d113e12718
Waldeckischen	w5_d113e12721
Jnfanterie=regiments	w1_d113e12727
Obristen,	w3_d113e12730
und	w5_d113e12733
Com	w7_d113e12736
mendantens	w1_d113e12741
seel.	w3_d113e12744
Verlassenschaft	w5_d113e12747
gerichtlich	w7_d113e12750
aufgestellten	w1_d113e12755
Curatoris	w3_d113e12758
ad	w5_d113e12761
actum	w7_d113e12764
verwilligt	w9_d113e12767
worden:	w1_d113e12772
daß	w3_d113e12775
alle	w5_d113e12778
diejenige,	w7_d113e12781
welche	w9_d113e12784
an	w11_d113e12787
gleich	w13_d113e12791
ersagten	w1_d113e12797
Obrist=logauischen	w3_d113e12800
Verlassenschaf	w5_d113e12803
titulo	w1_d113e12808
hæreditatis,	w3_d113e12811
crediti,	w5_d113e12814
aut	w7_d113e12817
alio	w9_d113e12820
quo	w11_d113e12823
cunque	w1_d113e12828
einige	w3_d113e12831
Sprüch,	w5_d113e12834
oder	w7_d113e12837
andere	w9_d113e12840
Forde	w11_d113e12843
rungen	w1_d113e12848
zu	w3_d113e12851
machen	w5_d113e12854
vermeinen,	w7_d113e12857
durch	w9_d113e12860
Aus	w11_d113e12863
fertigung	w1_d113e12869
deren	w3_d113e12872
gewöhnlichen	w5_d113e12875
Convocations	w7_d113e12878
edicten,	w1_d113e12883
und	w3_d113e12886
Anberaumung	w5_d113e12889
vier	w7_d113e12892
Monat	w9_d113e12895
Frist	w11_d113e12898
einberuffen	w1_d113e12903
werden	w3_d113e12906
sollen;	w5_d113e12909
gleichwie	w7_d113e12912
nun	w9_d113e12915
zu	w11_d113e12918
diesem	w1_d113e12923
Ende	w3_d113e12926
der	w5_d113e12929
14.	w7_d113e12932
May	w9_d113e12935
dieses	w11_d113e12938
Jahrs	w13_d113e12942
in	w15_d113e12945
der	w1_d113e12951
Kaiserl.	w3_d113e12954
Königl.	w5_d113e12957
Judicii	w7_d113e12960
delegati	w9_d113e12963
Mili	w11_d113e12966
taris	w1_d113e12971
mixti	w3_d113e12974
auf	w5_d113e12977
der	w7_d113e12980
Sailer=stadt	w9_d113e12983
in	w11_d113e12986
der	w13_d113e12990
soge	w15_d113e12993
nannten	w1_d113e12998
Holler=stauden	w3_d113e13001
in	w5_d113e13004
ersten	w7_d113e13007
Stock	w9_d113e13010
be	w11_d113e13013
findlichen	w1_d113e13018
Canzley	w3_d113e13021
fruhe	w5_d113e13024
um	w7_d113e13027
9.	w9_d113e13030
Uhr,	w11_d113e13033
sub	w13_d113e13037
clausula	w1_d113e13043
perpetui	w3_d113e13046
silentii	w5_d113e13049
pro	w7_d113e13052
1mo,	w9_d113e13055
2do	w11_d113e13058
&	w1_d113e13063
3tio	w3_d113e13066
termino	w5_d113e13069
zu	w7_d113e13072
erscheinen	w9_d113e13075
bestimmet	w11_d113e13078
wor	w13_d113e13082
den	w1_d113e13087
ist.	w3_d113e13090
Solchemnach	w5_d113e13093
werden	w7_d113e13096
alle	w9_d113e13099
und	w11_d113e13102
jede	w13_d113e13106
an	w1_d113e13111
ob=bestimmten	w3_d113e13114
Tag	w5_d113e13117
und	w7_d113e13120
Stund	w9_d113e13123
zu	w11_d113e13126
erschei	w13_d113e13130
nen,	w1_d113e13136
und	w3_d113e13139
ihre	w5_d113e13142
etwann	w7_d113e13145
habende	w9_d113e13148
Erbs=sprüche,	w11_d113e13151
oder	w1_d113e13156
andere,	w3_d113e13159
wie	w5_d113e13162
immer	w7_d113e13165
Namen	w9_d113e13168
haben	w11_d113e13171
mögende	w1_d113e13176
Anforderungen	w3_d113e13179
durch	w5_d113e13182
sich,	w7_d113e13185
oder	w9_d113e13188
ge	w11_d113e13191
nugsam	w1_d113e13196
instruirte	w3_d113e13199
Bevollmächtigte	w5_d113e13202
also	w7_d113e13205
ge	w9_d113e13208
wiß	w1_d113e13214
anzumelden,	w3_d113e13217
auch	w5_d113e13220
Rechts=erforderlich	w7_d113e13223
zu	w9_d113e13226
liquidiren,	w1_d113e13231
und	w3_d113e13234
respective	w5_d113e13237
sich	w7_d113e13240
zu	w9_d113e13243
legitimiren	w11_d113e13246
wissen,	w1_d113e13251
wie	w3_d113e13254
im	w5_d113e13257
widrigen	w7_d113e13260
auf	w9_d113e13263
derenselben	w11_d113e13266
Ausbleiben,	w1_d113e13271
des	w3_d113e13274
ersagten	w5_d113e13277
Herrn	w7_d113e13280
Obristen,	w9_d113e13283
und	w1_d113e13289
Waldeckischen	w3_d113e13292
Regimentscommendan	w5_d113e13295
tens	w1_d113e13300
von	w3_d113e13303
Logan	w5_d113e13306
seel.	w7_d113e13309
Verlassenschaft	w9_d113e13312
ex	w11_d113e13315
Offi-	w13_d113e13319
cio	w1_d113e13324
abgehandlet,	w3_d113e13327
und	w5_d113e13330
dem	w7_d113e13333
Jnvalideninsti	w9_d113e13336
tuto	w1_d113e13341
anheim	w3_d113e13344
fallen,	w5_d113e13347
dieselbe	w7_d113e13350
hingegen	w9_d113e13353
nicht	w11_d113e13356
mehr	w1_d113e13362
gehöret,	w3_d113e13365
sondern	w5_d113e13368
ihnen	w7_d113e13371
das	w9_d113e13374
ewige	w11_d113e13377
Still	w13_d113e13381
schweigen	w1_d113e13386
auferleget	w3_d113e13389
werden	w5_d113e13392
solle,	w7_d113e13395
wo	w9_d113e13398
so	w11_d113e13401
dann	w1_d113e13406
ein	w3_d113e13409
jeder	w5_d113e13412
seinem	w7_d113e13415
Recht	w9_d113e13418
zu	w11_d113e13421
invigiliren	w13_d113e13425
und	w1_d113e13430
für	w3_d113e13433
Schaden	w5_d113e13436
sich	w7_d113e13439
zu	w9_d113e13442
hüten	w11_d113e13445
wissen	w13_d113e13449
wird.	w1_d113e13455
Wien	w3_d113e13458
den	w5_d113e13461
11.	w7_d113e13464
Januarii	w9_d113e13467
1757.	w11_d113e13470
</p>
<head id="h2_d113e13476">
EDICT.	w1_d113e13480
</head>
<p id="p4_d113e13483">
Von	w1_d113e13487
dem	w3_d113e13490
Kaiserl.	w5_d113e13493
Königl.	w7_d113e13496
Stadt	w9_d113e13499
und	w11_d113e13502
Land=gericht	w1_d113e13507
Wien	w3_d113e13510
wird	w5_d113e13513
hiemit	w7_d113e13516
