<doc id="wr_1761-10-10" attrs="word" year="1761" month="10" day="10" corpus="2">
<head id="h2_d594e3279">
Schwedischer	w1_d594e3283
be	w11_d594e10520
stellet.	w1_d594e10525
Um	w3_d594e10528
6.	w5_d594e10531
Uhr	w7_d594e10534
Abends	w9_d594e10537
wurde	w11_d594e10540
das	w1_d594e10546
aussere	w3_d594e10549
Portal	w5_d594e10552
des	w7_d594e10555
Gartens,	w9_d594e10558
nebst	w11_d594e10561
dem	w13_d594e10565
grossen	w1_d594e10570
Vorhof	w3_d594e10573
mit	w5_d594e10576
einigen	w7_d594e10579
1000.	w9_d594e10582
Lampen	w11_d594e10585
beleuchtet.	w1_d594e10590
Die	w3_d594e10593
Mitte	w5_d594e10596
des	w7_d594e10599
Pottals	w9_d594e10602
stellte	w11_d594e10605
das	w1_d594e10610
Königl.	w3_d594e10613
Portugesische	w5_d594e10616
Wappen,	w7_d594e10619
und	w9_d594e10622
zu	w1_d594e10628
beyden	w3_d594e10631
Seiten	w5_d594e10634
die	w7_d594e10637
Worte:	w9_d594e10640
Magna	w11_d594e10643
Fe-	w13_d594e10647
licitas,	w1_d594e10652
mit	w3_d594e10655
brennenden	w5_d594e10658
Buchstaben	w7_d594e10661
vor.	w9_d594e10664
Der	w1_d594e10669
Saal	w3_d594e10672
und	w5_d594e10675
die	w7_d594e10678
Zimmer	w9_d594e10681
waren	w11_d594e10684
von	w13_d594e10688
innen	w1_d594e10693
mit	w3_d594e10696
Wax=liechtern	w5_d594e10699
zierlich	w7_d594e10702
beleuchtet;	w9_d594e10705
und	w1_d594e10711
um	w3_d594e10714
11.	w5_d594e10717
Uhr	w7_d594e10720
wurde	w9_d594e10723
den	w11_d594e10726
anwesenden	w13_d594e10730
Cavalieren	w1_d594e10735
und	w3_d594e10738
Damen	w5_d594e10741
ein	w7_d594e10744
herrliches	w9_d594e10747
Abendmal	w1_d594e10752
an	w3_d594e10755
6.	w5_d594e10758
kostbar	w7_d594e10761
gedeckten	w9_d594e10764
Tafeln,	w11_d594e10767
jede	w1_d594e10772
von	w3_d594e10775
24.	w5_d594e10778
Couverts	w7_d594e10781
gegeben,	w9_d594e10784
worauf	w11_d594e10787
der	w13_d594e10791
Ball	w1_d594e10797
angefangen,	w3_d594e10800
der	w5_d594e10803
sich	w7_d594e10806
gegen	w9_d594e10809
anbrechen	w11_d594e10812
den	w1_d594e10817
Morgen	w3_d594e10820
geendet	w5_d594e10823
hat.	w7_d594e10826
</p>
<p id="p12_d594e10830">
Uebrigens	w1_d594e10834
wird	w3_d594e10837
hiemit	w5_d594e10840
zu	w7_d594e10843
jedermanns	w9_d594e10846
Wis	w11_d594e10849
senchaft	w1_d594e10854
erinneret,	w3_d594e10857
daß	w5_d594e10860
die	w7_d594e10863
wegen	w9_d594e10866
der	w11_d594e10869
Suc	w13_d594e10873
ceßion	w1_d594e10878
des	w3_d594e10881
erblichenen	w5_d594e10884
Prinzens	w7_d594e10887
Montbeillard	w9_d594e10890
entstandene	w1_d594e10896
Streitigkeiten	w3_d594e10899
unter	w5_d594e10902
der	w7_d594e10905
höch	w9_d594e10908
sten	w1_d594e10913
Vollmacht	w3_d594e10916
Sr.	w5_d594e10919
Röm.	w7_d594e10922
Kaiserl.	w9_d594e10925
Majest.	w11_d594e10928
zur	w1_d594e10933
vollkommenen	w3_d594e10936
Zufriedenheit	w5_d594e10939
aller	w7_d594e10942
hieran	w9_d594e10945
Theil	w1_d594e10950
habenden	w3_d594e10953
Partheyen	w5_d594e10956
nunmehro	w7_d594e10959
bey	w9_d594e10962
geleget	w1_d594e10968
worden,	w3_d594e10971
welchem	w5_d594e10974
zufolge	w7_d594e10977
der	w9_d594e10980
eben	w11_d594e10983
falls	w1_d594e10988
hierein	w3_d594e10991
verwickelt	w5_d594e10994
geweste	w7_d594e10997
Graf	w9_d594e11000
von	w11_d594e11003
Bald	w1_d594e11008
den	w3_d594e11011
Name	w5_d594e11014
eines	w7_d594e11017
Grafens	w9_d594e11020
von	w11_d594e11023
Horn	w13_d594e11027
</p>
<p id="p18_d594e11040">
burg	w1_d594e11044
angenommen,	w3_d594e11047
und	w5_d594e11050
denselben	w7_d594e11053
in	w9_d594e11056
Hin	w11_d594e11059
kunft	w1_d594e11064
führen	w3_d594e11067
werde.	w5_d594e11070
</p>
<p id="p20_d594e11073">
Wie	w1_d594e11077
man	w3_d594e11080
mit	w5_d594e11083
den	w7_d594e11086
frischesten	w9_d594e11089
Nachrich	w11_d594e11092
ten	w1_d594e11097
aus	w3_d594e11100
Schlesien	w5_d594e11103
vernimt,	w7_d594e11106
steht	w9_d594e11109
der	w11_d594e11112
König	w13_d594e11116
in	w1_d594e11121
Preussen	w3_d594e11124
mit	w5_d594e11127
der	w7_d594e11130
Haupt=armee	w9_d594e11133
dermalen	w11_d594e11136
zwischen	w1_d594e11142
Brieg	w3_d594e11145
und	w5_d594e11148
Breßlau,	w7_d594e11151
nachdem	w9_d594e11154
er	w11_d594e11157
den	w1_d594e11162
Prinzen	w3_d594e11165
von	w5_d594e11168
Anhalt=bernburg	w7_d594e11171
mit	w9_d594e11174
ei	w11_d594e11177
nem	w1_d594e11182
Corps	w3_d594e11185
bey	w5_d594e11188
Neiß	w7_d594e11191
zurück	w9_d594e11194
gelassen.	w11_d594e11197
</p>
<head id="h2_d594e11204">
Lista	w1_d594e11208
deren	w3_d594e11211
Verstorbenen	w5_d594e11214
zu	w7_d594e11217
Wien	w9_d594e11220
in	w1_d594e11225
und	w3_d594e11228
vor	w5_d594e11231
der	w7_d594e11234
Stadt.	w9_d594e11237
Den	w1_d594e11242
5.	w3_d594e11245
Octob.	w5_d594e11248
Jn	w1_d594e11254
der	w3_d594e11257
Stadt.	w5_d594e11260
</head>
<list id="l4_d594e11263">
Die	w1_d594e11267
Wol=edle	w3_d594e11270
Fr.	w5_d594e11273
Anna	w7_d594e11276
Maria	w9_d594e11279
Auerbachin,	w11_d594e11282
Witt	w13_d594e11286
we,	w1_d594e11291
im	w3_d594e11294
Teuts.	w5_d594e11297
H.	w7_d594e11300
in	w9_d594e11303
der	w11_d594e11306
Singerstr.,	w13_d594e11310
alt	w15_d594e11313
71.	w17_d594e11316
J.	w19_d594e11319
Dem	w1_d594e11324
Hrn.	w3_d594e11327
Jos.	w5_d594e11330
Mayer,	w7_d594e11333
K.	w9_d594e11336
K.	w11_d594e11339
Haupt=schulden=di	w13_d594e11343
recions	w1_d594e11349
buchhalt.	w3_d594e11352
rait=offic.,	w5_d594e11355
s.	w7_d594e11358
K.	w9_d594e11361
Josepha,	w11_d594e11364
im	w13_d594e11368
Kollmayris.	w1_d594e11373
H.	w3_d594e11376
am	w5_d594e11379
alt.	w7_d594e11382
Fleischm.,	w9_d594e11385
alt	w11_d594e11388
3.	w13_d594e11392
J.	w15_d594e11395
Dem	w1_d594e11400
Hrn.	w3_d594e11403
Mart.	w5_d594e11406
Schoßdack,	w7_d594e11409
K.	w9_d594e11412
K.	w11_d594e11415
Militarstabs	w13_d594e11419
Profos.,	w1_d594e11424
s.	w3_d594e11427
Fr.	w5_d594e11430
Charlota	w7_d594e11433
Louisa,	w9_d594e11436
im	w11_d594e11439
Militar	w13_d594e11443
stock	w1_d594e11449
H.	w3_d594e11452
unterm	w5_d594e11455
neuen	w7_d594e11458
Thor,	w9_d594e11461
alt	w11_d594e11464
58.	w13_d594e11468
J.	w15_d594e11471
</list>
<head id="h2_d594e11478">
Vor	w1_d594e11482
der	w3_d594e11485
Stadt.	w5_d594e11488
</head>
<list id="l4_d594e11491">
Dem	w1_d594e11495
Mich.	w3_d594e11498
Kallinger,	w5_d594e11501
Burgerl.	w7_d594e11504
Roht=gärb.,	w9_d594e11507
s.	w11_d594e11510
W.	w13_d594e11514
Maria,	w1_d594e11519
welche	w3_d594e11522
sich	w5_d594e11525
erfallen,	w7_d594e11528
ist	w9_d594e11531
in	w11_d594e11534
s.	w13_d594e11538
H.	w15_d594e11541
am	w17_d594e11544
Neu	w19_d594e11547
stift	w1_d594e11552
vom	w3_d594e11555
K.	w5_d594e11558
K.	w7_d594e11561
Stadt	w9_d594e11564
und	w11_d594e11567
Land=gericht	w13_d594e11571
besch.	w15_d594e11574
worden,	w1_d594e11580
alt	w3_d594e11583
77.	w5_d594e11586
J.	w7_d594e11589
Franz	w1_d594e11594
Schauer,	w3_d594e11597
ohne	w5_d594e11600
Condit.,	w7_d594e11603
bey	w9_d594e11606
der	w11_d594e11609
kl.	w13_d594e11613
Rundel.	w15_d594e11616
bey	w1_d594e11621
St.	w3_d594e11624
Ulrich,	w5_d594e11627
alt	w7_d594e11630
53.	w9_d594e11633
J.	w11_d594e11636
Dem	w1_d594e11641
Franz	w3_d594e11644
Wagner,	w5_d594e11647
Strümpfwürk.=ges.,	w7_d594e11650
s.	w9_d594e11653
W.	w11_d594e11656
Eleon.,	w1_d594e11662
beyn	w3_d594e11665
2.	w5_d594e11668
weis.	w7_d594e11671
Löw.	w9_d594e11674
im	w11_d594e11677
Lerchenf.,	w13_d594e11681
35.	w15_d594e11684
J.	w17_d594e11687
Dem	w1_d594e11692
Jos.	w3_d594e11695
Mählä,	w5_d594e11698
Geig.,	w7_d594e11701
s.	w9_d594e11704
W.	w11_d594e11707
Theres.,	w13_d594e11711
beym	w15_d594e11714
weis.	w17_d594e11717
Lam.	w1_d594e11722
am	w3_d594e11725
Neustift,	w5_d594e11728
alt	w7_d594e11731
31.	w9_d594e11734
J.	w11_d594e11737
Dem	w1_d594e11742
Joh.	w3_d594e11745
Georg	w5_d594e11748
Galler,	w7_d594e11751
Hof=befr.	w9_d594e11754
Schuhmach.,	w11_d594e11757
s.	w1_d594e11763
K.	w3_d594e11766
Leop.,	w5_d594e11769
beym	w7_d594e11772
gr.	w9_d594e11775
Läm.	w11_d594e11778
auf	w13_d594e11782
der	w15_d594e11785
Wied.,	w17_d594e11788
2.	w19_d594e11791
J.	w21_d594e11794
Dem	w1_d594e11799
Joh.	w3_d594e11802
Georg	w5_d594e11805
Krauß,	w7_d594e11808
Herrschaftl.	w9_d594e11811
Kutsch.,	w11_d594e11814
s.	w13_d594e11818
K.	w1_d594e11823
Ant.,	w3_d594e11826
beyn	w5_d594e11829
3.	w7_d594e11832
weis.	w9_d594e11835
Lil.	w11_d594e11838
in	w13_d594e11842
der	w15_d594e11845
Josephst.,	w17_d594e11848
4.	w19_d594e11851
J.	w21_d594e11854
Dem	w1_d594e11859
Pet.	w3_d594e11862
Poppenberger,	w5_d594e11865
Taglöhn.,	w7_d594e11868
s.	w9_d594e11871
K.	w11_d594e11874
Ant.,	w13_d594e11878
bey	w15_d594e11881
denen	w1_d594e11887
3.	w3_d594e11890
Lauf.	w5_d594e11893
im	w7_d594e11896
Lerchenf.,	w9_d594e11899
alt	w11_d594e11902
3.	w13_d594e11906
J.	w15_d594e11909
</list>
<head id="h2_d594e11916">
Summa	w1_d594e11920
10.	w3_d594e11923
Pers.,	w5_d594e11926
darunter	w7_d594e11929
4.	w9_d594e11932
Kind.	w11_d594e11935
Den	w1_d594e11940
6.	w3_d594e11943
Octob.	w5_d594e11946
Jn	w1_d594e11951
der	w3_d594e11954
Stadt.	w5_d594e11957
</head>
<list id="l4_d594e11960">
Hr.	w1_d594e11964
Franz	w3_d594e11967
Paul	w5_d594e11970
Leis,	w7_d594e11973
K.	w9_d594e11976
K.	w11_d594e11979
Stadt	w13_d594e11983
und	w15_d594e11986
Landge	w17_d594e11989
richts=cancell.,	w1_d594e11994
im	w3_d594e11997
Maureris.	w5_d594e12000
H.	w7_d594e12003
am	w9_d594e12006
hoh.	w11_d594e12009
Markt,	w13_d594e12013
alt	w1_d594e12018
38	w3_d594e12021
J.	w5_d594e12024
Der	w1_d594e12030
Maria	w3_d594e12033
Anna	w5_d594e12036
Schmidin,	w7_d594e12039
Wittwe,	w9_d594e12042
ihr	w11_d594e12045
K.	w13_d594e12049
Eleon.	w15_d594e12052
im	w1_d594e12057
Burger=spit.,	w3_d594e12060
alt	w5_d594e12063
6.	w7_d594e12066
v.	w9_d594e12069
J.	w11_d594e12072
Dem	w1_d594e12077
Jos.	w3_d594e12080
Schmid,	w5_d594e12083
Haus	w7_d594e12086
kn,	w9_d594e12089
s.	w11_d594e12092
K.	w13_d594e12096
Cathar.,	w15_d594e12099
im	w17_d594e12102
Universitäts=H.	w1_d594e12107
in	w3_d594e12110
der	w5_d594e12113
Bäckerstr.,	w7_d594e12116
alt	w9_d594e12119
2.	w11_d594e12122
J.	w13_d594e12126
</list>
<head id="h2_d594e12133">
Vor	w1_d594e12137
der	w3_d594e12140
Stadt.	w5_d594e12143
</head>
<list id="l4_d594e12146">
Der	w1_d594e12150
Fr.	w3_d594e12153
Anna	w5_d594e12156
Cathar.	w7_d594e12159
Tumain,	w9_d594e12162
Wittwe,	w11_d594e12165
ihr	w13_d594e12169
S.	w15_d594e12172
Jos.,	w1_d594e12177
beyn	w3_d594e12180
3.	w5_d594e12183
Brüd.	w7_d594e12186
am	w9_d594e12189
Spitalb.,	w11_d594e12192
alt	w13_d594e12196
24.	w15_d594e12199
J.	w17_d594e12202
</list>
<list id="l6_d594e12206">
Dem	w1_d594e12210
Christoph	w3_d594e12213
Gert,	w5_d594e12216
Burgerl.	w7_d594e12219
Schlos.,	w9_d594e12222
s.	w11_d594e12225
W.	w13_d594e12229
Barb.,	w1_d594e12234
im	w3_d594e12237
Stögeris.	w5_d594e12240
H.	w7_d594e12243
in	w9_d594e12246
der	w11_d594e12249
Rossau,	w13_d594e12253
24.	w15_d594e12256
J.	w17_d594e12259
Dem	w1_d594e12264
Joh.	w3_d594e12267
Pet.	w5_d594e12270
Raßfh,	w7_d594e12273
Burgerl.	w9_d594e12276
Schneid.,	w11_d594e12279
s.	w13_d594e12283
K.	w15_d594e12286
Joh.,	w1_d594e12292
beym	w3_d594e12295
Christ=kindel	w5_d594e12298
am	w7_d594e12301
Spitalb.,	w9_d594e12304
alt	w11_d594e12307
8.	w13_d594e12311
J.	w15_d594e12314
Dem	w1_d594e12319
Jos.	w3_d594e12322
Braidenmoser,	w5_d594e12325
Tischl.,	w7_d594e12328
s.	w9_d594e12331
T.	w11_d594e12334
Clara,	w13_d594e12338
bey	w15_d594e12341
dem	w1_d594e12346
gold.	w3_d594e12349
Klee	w5_d594e12352
blat	w7_d594e12355
am	w9_d594e12358
Neuban,	w11_d594e12361
alt	w13_d594e12365
14.	w15_d594e12368
J.	w17_d594e12371
Dem	w1_d594e12376
Leop.	w3_d594e12379
Achzat,	w5_d594e12382
Zimmer=ges.,	w7_d594e12385
s.	w9_d594e12388
W.	w11_d594e12391
Anna	w13_d594e12395
Maria,	w15_d594e12398
bey	w1_d594e12404
der	w3_d594e12407
H.	w5_d594e12410
Dreyfaltigk.	w7_d594e12413
oberm	w9_d594e12416
Neust.,	w11_d594e12419
alt	w13_d594e12423
33.	w15_d594e12426
J.	w17_d594e12429
Joh.	w1_d594e12434
Fritz,	w3_d594e12437
Taglöhn.,	w5_d594e12440
im	w7_d594e12443
Prinz=Ahrembergis.	w9_d594e12446
Gart.	w11_d594e12449
zu	w1_d594e12454
Gumpendorf,	w3_d594e12457
alt	w5_d594e12460
35.	w7_d594e12463
J.	w9_d594e12466
Dem	w1_d594e12471
Franz	w3_d594e12474
Hofbauer,	w5_d594e12477
K.	w7_d594e12480
K.	w9_d594e12483
Wagenmeist.,	w11_d594e12486
s.	w13_d594e12490
W.	w15_d594e12493
Francisca,	w1_d594e12499
beym	w3_d594e12502
weis.	w5_d594e12505
Läm.	w7_d594e12508
bey	w9_d594e12511
St.	w11_d594e12514
Ulr.,	w13_d594e12518
48.	w15_d594e12521
J.	w17_d594e12524
Tob.	w1_d594e12529
Schartl,	w3_d594e12532
gew.	w5_d594e12535
Zischma=mach.,	w7_d594e12538
bey	w9_d594e12541
St.	w11_d594e12544
Math.	w13_d594e12548
im	w1_d594e12553
Lerchenf.,	w3_d594e12556
alt	w5_d594e12559
67.	w7_d594e12562
J.	w9_d594e12565
Eva	w1_d594e12570
Fraudorferin,	w3_d594e12573
Wittwe,	w5_d594e12576
im	w7_d594e12579
Penglis.	w9_d594e12582
H.	w11_d594e12585
auf	w13_d594e12589
der	w15_d594e12592
Landstr.,	w1_d594e12598
alt	w3_d594e12601
61.	w5_d594e12604
J.	w7_d594e12607
</list>
<head id="h2_d594e12614">
Summa	w1_d594e12618
12.	w3_d594e12621
Person.	w5_d594e12624
darunter	w7_d594e12627
3.	w9_d594e12630
Kind.	w11_d594e12633
Den	w1_d594e12638
7.	w3_d594e12641
Octob.	w5_d594e12644
Jn	w1_d594e12649
der	w3_d594e12652
Stadt.	w5_d594e12655
</head>
<list id="l4_d594e12658">
Dem	w1_d594e12662
Casp.	w3_d594e12665
Selbenhofer,	w5_d594e12668
Burgerl.	w7_d594e12671
Pfaidl.,	w9_d594e12674
s.	w11_d594e12677
K.	w13_d594e12681
Barb.,	w1_d594e12686
im	w3_d594e12689
Nicolaer=H.	w5_d594e12692
im	w7_d594e12695
Blut	w9_d594e12698
gäs.,	w11_d594e12701
alt	w13_d594e12705
3.	w15_d594e12708
J.	w17_d594e12711
Der	w1_d594e12716
Eleon.	w3_d594e12719
Mayrin,	w5_d594e12722
Wittwe,	w7_d594e12725
ihr	w9_d594e12728
K.	w11_d594e12731
Joh.,	w13_d594e12735
in	w15_d594e12738
dem	w17_d594e12741
Fuhrmanis.	w1_d594e12747
H.	w3_d594e12750
in	w5_d594e12753
der	w7_d594e12756
Riemerstr.,	w9_d594e12759
alt	w11_d594e12762
1.	w13_d594e12766
J.	w15_d594e12769
</list>
<head id="h2_d594e12776">
Vor	w1_d594e12780
der	w3_d594e12783
Stadt,	w5_d594e12786
</head>
<list id="l4_d594e12789">
Hr.	w1_d594e12793
Joh.	w3_d594e12796
Mayer,	w5_d594e12799
K.	w7_d594e12802
K.	w9_d594e12805
Militar	w11_d594e12808
hof=commißions	w13_d594e12812
buchhalt.	w1_d594e12817
geceßist,	w3_d594e12820
bey	w5_d594e12823
der	w7_d594e12826
weis.	w9_d594e12829
Schwan.	w11_d594e12832
in	w13_d594e12836
der	w15_d594e12839
Leopoldst.,	w1_d594e12844
alt	w3_d594e12847
48.	w5_d594e12850
J.	w7_d594e12853
Dem	w1_d594e12859
Leop.	w3_d594e12862
Dorner,	w5_d594e12865
Burgerl.	w7_d594e12868
Ringelschm.,	w9_d594e12871
s.	w11_d594e12874
W.	w13_d594e12878
Elisab,	w1_d594e12883
im	w3_d594e12886
Proalis.	w5_d594e12889
H.	w7_d594e12892
in	w9_d594e12895
der	w11_d594e12898
Leopoldst.,	w13_d594e12902
30.	w15_d594e12905
J.	w17_d594e12908
Georg	w1_d594e12913
Zwickowitsch,	w3_d594e12916
Burgerl.	w5_d594e12919
Zischma=mach,	w7_d594e12922
in	w9_d594e12925
s.	w1_d594e12930
H.	w3_d594e12933
im	w5_d594e12936
Lerchenf.,	w7_d594e12939
alt	w9_d594e12942
66	w11_d594e12945
J.	w13_d594e12949
Jacob	w1_d594e12955
Reisinger,	w3_d594e12958
Burgerl.	w5_d594e12961
Wirt,	w7_d594e12964
beym	w9_d594e12967
gold.	w11_d594e12970
Rinz	w13_d594e12974
in	w1_d594e12979
der	w3_d594e12982
Leopoldst.,	w5_d594e12985
alt	w7_d594e12988
61.	w9_d594e12991
J.	w11_d594e12994
Casp.	w1_d594e12999
Mayer,	w3_d594e13002
Bestand	w5_d594e13005
wirt,	w7_d594e13008
beym	w9_d594e13011
gold.	w11_d594e13014
Pflug	w13_d594e13018
bes	w15_d594e13021
Maria	w1_d594e13026
hülf,	w3_d594e13029
alt	w5_d594e13032
34.	w7_d594e13035
J.	w9_d594e13038
Dem	w1_d594e13044
Joh.	w3_d594e13047
Lang,	w5_d594e13050
Geig,	w7_d594e13053
s.	w9_d594e13056
W.	w11_d594e13059
Susan.,	w13_d594e13063
im	w15_d594e13066
Backif	w17_d594e13069
H.	w1_d594e13074
am	w3_d594e13077
Magdal.gr,	w5_d594e13080
alt	w7_d594e13083
53.	w9_d594e13086
J.	w11_d594e13089
Dem	w1_d594e13094
Jos.	w3_d594e13097
Höfer,	w5_d594e13100
Lack,	w7_d594e13103
s.	w9_d594e13106
W.	w11_d594e13109
Elisab.,	w13_d594e13113
beym	w15_d594e13116
Stuck	w17_d594e13119
gies.	w1_d594e13124
auf	w3_d594e13127
der	w5_d594e13130
Wendelst,	w7_d594e13133
alt	w9_d594e13136
61.	w11_d594e13139
J.	w13_d594e13143
Anna	w1_d594e13149
Schittweinin,	w3_d594e13152
Wittwe,	w5_d594e13155
beym	w7_d594e13158
schwarz.	w9_d594e13161
Ochs.	w11_d594e13164
in	w1_d594e13169
der	w3_d594e13172
Leopoldst.,	w5_d594e13175
alt	w7_d594e13178
72.	w9_d594e13181
J.	w11_d594e13184
Dem	w1_d594e13189
Sim	w3_d594e13192
Kriechbaum,	w5_d594e13195
Taglöhn.,	w7_d594e13198
s.	w9_d594e13201
K.	w11_d594e13204
Theres.,	w13_d594e13208
in	w1_d594e13213
Sessel	w3_d594e13216
trageris	w5_d594e13219
H.	w7_d594e13222
zu	w9_d594e13225
Nicolstorf,	w11_d594e13228
alt	w13_d594e13232
3.	w15_d594e13235
J.	w17_d594e13238
</list>
<head id="h2_d594e13246">
Summa	w1_d594e13250
11.	w3_d594e13253
Person.,	w5_d594e13256
darunt.	w7_d594e13259
3	w9_d594e13262
Kind.	w11_d594e13265
</head>
<p id="p4_d594e13268">
Den	w1_d594e13272
20.	w3_d594e13275
Octob.	w5_d594e13278
Vormittags	w7_d594e13281
von	w9_d594e13284
9.	w11_d594e13287
bis	w13_d594e13291
12.	w15_d594e13294
und	w1_d594e13299
Nachmittags	w3_d594e13302
von	w5_d594e13305
3.	w7_d594e13308
bis	w9_d594e13311
6.	w11_d594e13314
Uhr	w13_d594e13318
werden	w15_d594e13321
in	w17_d594e13324
dem	w1_d594e13329
von	w3_d594e13332
Dombosischen	w5_d594e13335
Haus	w7_d594e13338
verschiedene	w9_d594e13341
alte	w11_d594e13344
und	w1_d594e13350
neue	w3_d594e13353
Sattler=arbeit,	w5_d594e13356
als:	w7_d594e13359
alte	w9_d594e13362
und	w11_d594e13365
neue	w13_d594e13369
Englische	w1_d594e13374
und	w3_d594e13377
ordinari	w5_d594e13380
Sattel=geschirr,	w7_d594e13383
Wagen	w9_d594e13386
kasten,	w1_d594e13391
Bölster,	w3_d594e13394
Sessel,	w5_d594e13397
Pistollen=halftern	w7_d594e13400
18.	w9_d594e13403
wie	w1_d594e13408
auch	w3_d594e13411
verschiedene	w5_d594e13414
Zimmer=effecten,	w7_d594e13417
Kästen,	w9_d594e13420
Tisch,	w1_d594e13426
Behter,	w3_d594e13429
und	w5_d594e13432
Behtzeug,	w7_d594e13435
Bilder,	w9_d594e13438
Bilder	w11_d594e13441
rahmen,	w1_d594e13446
Tischzeug,	w3_d594e13449
Kuchen=geschirr,	w5_d594e13452
Statllen,	w7_d594e13455
Gewehr,	w1_d594e13460
Behtstädte,	w3_d594e13463
und	w5_d594e13466
endlich	w7_d594e13469
verschiedener	w9_d594e13472
alt	w1_d594e13477
</p>
<p id="p8_d594e13482">
alt	w1_d594e13486
und	w3_d594e13489
neuer	w5_d594e13492
Sattler=werkzeug	w7_d594e13495
lieltando	w9_d594e13498
ver	w11_d594e13501
kauffet.	w1_d594e13506
Wet	w3_d594e13509
davon	w5_d594e13512
etwas	w7_d594e13515
an	w9_d594e13518
sich	w11_d594e13521
zu	w13_d594e13525
bringen	w15_d594e13528
ge	w17_d594e13531
denket,	w1_d594e13536
hat	w3_d594e13539
sich	w5_d594e13542
am	w7_d594e13545
obbemeldten	w9_d594e13548
Tag	w11_d594e13551
und	w13_d594e13555
Stund	w15_d594e13558
in	w1_d594e13564
dem	w3_d594e13567
Dombosischen	w5_d594e13570
Haus	w7_d594e13573
in	w9_d594e13576
der	w11_d594e13579
Waldzeil	w13_d594e13583
bey	w15_d594e13586
dem	w1_d594e13591
Hausmeister	w3_d594e13594
anzumelden.	w5_d594e13597
</p>
<p id="p10_d594e13600">
Von	w1_d594e13604
Burgermeister	w3_d594e13607
und	w5_d594e13610
Raht	w7_d594e13613
der	w9_d594e13616
Stadt	w11_d594e13619
Wien	w13_d594e13623
wird	w1_d594e13628
hiemit	w3_d594e13631
auf	w5_d594e13634
ergangene	w7_d594e13637
hohe	w9_d594e13640
Verordnung	w11_d594e13643
dem	w13_d594e13647
Sebastian	w1_d594e13652
Kriegbaum,	w3_d594e13655
Burgerl.	w5_d594e13658
Seidenzeug	w7_d594e13661
macher=meister	w1_d594e13667
in	w3_d594e13670
Wien	w5_d594e13673
zu	w7_d594e13676
vernehmen	w9_d594e13679
gegeben:	w11_d594e13682
</p>
<p id="p12_d594e13686">
Nachdeme	w1_d594e13690
derselbe	w3_d594e13693
schon	w5_d594e13696
einige	w7_d594e13699
zeithero	w9_d594e13702
samt	w11_d594e13705
Weib	w1_d594e13710
und	w3_d594e13713
Kindern	w5_d594e13716
heimlich	w7_d594e13719
von	w9_d594e13722
hier	w11_d594e13725
sich	w13_d594e13729
hin	w15_d594e13732
dann	w1_d594e13737
begeben,	w3_d594e13740
und	w5_d594e13743
nebst	w7_d594e13746
deme	w9_d594e13749
auch	w11_d594e13752
dessen	w13_d594e13756
Auf	w15_d594e13759
enthalt	w1_d594e13765
gänzlich	w3_d594e13768
unbekannt,	w5_d594e13771
dem	w7_d594e13774
hiesigen	w9_d594e13777
Com	w11_d594e13780
merciali	w1_d594e13785
hingegen	w3_d594e13788
daran	w5_d594e13791
gelegen	w7_d594e13794
ist,	w9_d594e13797
daß	w11_d594e13800
derley	w13_d594e13804
Fabricanten	w1_d594e13809
ohne	w3_d594e13812
besonderer,	w5_d594e13815
und	w7_d594e13818
vorläuffig	w9_d594e13821
an	w11_d594e13824
gezeigten	w1_d594e13829
Ursach	w3_d594e13832
sich	w5_d594e13835
von	w7_d594e13838
ihren	w9_d594e13841
Werkstädten	w11_d594e13844
nicht	w13_d594e13848
entfernen,	w1_d594e13854
noch	w3_d594e13857
minder	w5_d594e13860
aber	w7_d594e13863
solche	w9_d594e13866
gänzlich	w11_d594e13869
leer	w13_d594e13873
stehen	w1_d594e13878
lassen	w3_d594e13881
sollen;	w5_d594e13884
zu	w7_d594e13887
dem	w9_d594e13890
Ende	w11_d594e13893
dann	w13_d594e13897
ihme	w15_d594e13900
Kriegbaum	w1_d594e13905
ein	w3_d594e13908
peremptorischer	w5_d594e13911
Termin	w7_d594e13914
von	w9_d594e13917
6.	w11_d594e13920
Wochen	w1_d594e13925
dergestalten	w3_d594e13928
anberaumet	w5_d594e13931
wird,	w7_d594e13934
daß	w9_d594e13937
falls	w11_d594e13940
derselbe	w1_d594e13946
bey	w3_d594e13949
Verstreichung	w5_d594e13952
sothanen	w7_d594e13955
Termins	w9_d594e13958
sich	w11_d594e13961
allhier	w1_d594e13966
nicht	w3_d594e13969
einfinden,	w5_d594e13972
und	w7_d594e13975
sein	w9_d594e13978
Gewerb	w11_d594e13981
fortse	w13_d594e13985
tzen	w1_d594e13990
wurde,	w3_d594e13993
dessen	w5_d594e13996
Burger	w7_d594e13999
und	w9_d594e14002
Meister=recht,	w11_d594e14005
samt	w1_d594e14010
der	w3_d594e14013
Werkstadt	w5_d594e14016
unnachläßlich	w7_d594e14019
caßiret,	w9_d594e14022
und	w11_d594e14025
eingezogen	w1_d594e14031
werden	w3_d594e14034
solle.	w5_d594e14037
Welches	w7_d594e14040
man	w9_d594e14043
ihme	w11_d594e14046
Krieg	w13_d594e14050
baum	w1_d594e14055
zu	w3_d594e14058
seinem	w5_d594e14061
Verhalt	w7_d594e14064
hiemit	w9_d594e14067
kund	w11_d594e14070
und	w13_d594e14074
zu	w15_d594e14077
