<doc id="wr_1757-07-27" attrs="word" year="1757" month="07" day="27" corpus="2">
<head id="h2_d164e3680">
London	w4_d164e3683
Wien	w7_d164e19398
den	w9_d164e19401
16.	w11_d164e19404
Au	w13_d164e19408
gusti	w1_d164e19413
1755.	w3_d164e19416
</p>
<p id="p8_d164e19419">
Von	w1_d164e19423
der	w3_d164e19426
Röm.	w5_d164e19429
Kaiserl.	w7_d164e19432
Königl.	w9_d164e19435
N.	w11_d164e19438
Oe.	w13_d164e19442
Regierung	w1_d164e19447
in	w3_d164e19450
Justitz=sachen	w5_d164e19453
wegen	w7_d164e19456
N.	w9_d164e19459
allen	w11_d164e19462
und	w1_d164e19467
jeden,	w3_d164e19470
welchen	w5_d164e19473
ein	w7_d164e19476
von	w9_d164e19479
dem	w11_d164e19482
Franz	w13_d164e19486
Jo	w15_d164e19489
seph	w1_d164e19495
Moser,	w3_d164e19498
&	w5_d164e19501
Compagnie	w7_d164e19504
an:	w9_d164e19507
den	w11_d164e19510
Franz	w13_d164e19514
Jacob	w1_d164e19519
Herzog	w3_d164e19522
untern	w5_d164e19525
5ten	w7_d164e19528
Decembris	w9_d164e19531
1730.	w11_d164e19534
ausgestellter	w1_d164e19539
Wechsel=brief	w3_d164e19542
pr.	w5_d164e19545
1000.	w7_d164e19548
fl.	w9_d164e19551
Ca	w11_d164e19554
pital	w1_d164e19559
zu	w3_d164e19562
Handen	w5_d164e19565
gekommen,	w7_d164e19568
hiemit	w9_d164e19571
anzufügen;	w11_d164e19574
was	w1_d164e19580
massen	w3_d164e19583
bey	w5_d164e19586
ihr	w7_d164e19589
Regierung	w9_d164e19592
in	w11_d164e19595
Justitzsa	w13_d164e19599
chen	w1_d164e19604
Leopold	w3_d164e19607
Mayrhofer	w5_d164e19610
des	w7_d164e19613
äusseren	w9_d164e19616
Rahts	w11_d164e19619
gehorsamst	w1_d164e19624
angezeiget,	w3_d164e19627
wie	w5_d164e19630
selber	w7_d164e19633
wegen	w9_d164e19636
nicht	w11_d164e19639
vorfindigen	w1_d164e19644
Moserischen	w3_d164e19647
Wechsel=briefs	w5_d164e19650
per	w7_d164e19653
1000.	w1_d164e19659
fl.	w3_d164e19662
Capital	w5_d164e19665
von	w7_d164e19668
dem	w9_d164e19671
Moserischen	w11_d164e19674
Mässæ	w1_d164e19679
administratore	w3_d164e19682
Jacob	w5_d164e19685
Forster	w7_d164e19688
nicht	w9_d164e19691
könnte,	w1_d164e19696
noch	w3_d164e19699
wolte	w5_d164e19702
befriediget	w7_d164e19705
werden,	w9_d164e19708
ersuchte	w1_d164e19713
dannenhero	w3_d164e19716
gehorsamst	w5_d164e19719
in	w7_d164e19722
die	w9_d164e19725
Aus	w11_d164e19728
fertigung	w1_d164e19734
des	w3_d164e19737
untern	w5_d164e19740
20ten	w7_d164e19743
May	w9_d164e19746
1736.	w11_d164e19749
Jahrs	w1_d164e19754
veranlasten	w3_d164e19757
Amortisations=edicts	w5_d164e19760
zu	w7_d164e19763
gewilligen.	w1_d164e19768
Wann	w3_d164e19771
nun	w5_d164e19774
in	w7_d164e19777
des	w9_d164e19780
Supplican	w11_d164e19783
tens	w1_d164e19788
billig	w3_d164e19791
gesteltes	w5_d164e19794
Gesuch	w7_d164e19797
gewilliget	w9_d164e19800
worden,	w11_d164e19803
als	w1_d164e19809
wird	w3_d164e19812
denenselben,	w5_d164e19815
welche	w7_d164e19818
von	w9_d164e19821
dem	w11_d164e19824
Franz	w13_d164e19828
Joseph	w1_d164e19833
Moser,	w3_d164e19836
Com	w5_d164e19839
pagnie	w7_d164e19842
an	w9_d164e19845
den	w11_d164e19848
Franz	w13_d164e19852
Ja	w15_d164e19855
cob	w1_d164e19860
Herzog	w3_d164e19863
den	w5_d164e19866
5ten	w7_d164e19869
Decemb.	w9_d164e19872
1730.	w11_d164e19875
ausge	w13_d164e19879
stelten	w1_d164e19884
Original=wechsel=brief	w3_d164e19887
pr.	w5_d164e19890
1000.	w7_d164e19893
fl.	w9_d164e19896
Capitals	w1_d164e19902
zu	w3_d164e19905
Handen	w5_d164e19908
gebracht,	w7_d164e19911
hiemit	w9_d164e19914
kund,	w11_d164e19917
und	w1_d164e19922
zu	w3_d164e19925
wissen	w5_d164e19928
gemacht,	w7_d164e19931
daß	w9_d164e19934
solcher	w11_d164e19937
Moseri	w13_d164e19941
scher	w1_d164e19946
Wechsel=brief	w3_d164e19949
von	w5_d164e19952
nun	w7_d164e19955
an	w9_d164e19958
(es	w11_d164e19961
seye	w13_d164e19965
dann,	w1_d164e19970
daß	w3_d164e19973
ein	w5_d164e19976
rechtmäßiger	w7_d164e19979
Jnnhaber	w9_d164e19982
dessen	w11_d164e19985
bey	w1_d164e19991
ihr	w3_d164e19994
Regierung	w5_d164e19997
in	w7_d164e20000
Justitz=sachen	w9_d164e20003
sein	w11_d164e20006
hieran	w1_d164e20011
habendes	w3_d164e20014
Recht	w5_d164e20017
darthue)	w7_d164e20020
nicht	w9_d164e20023
mehr	w11_d164e20026
gültig,	w1_d164e20031
auch	w3_d164e20034
gegen	w5_d164e20037
Producirung	w7_d164e20040
desselben	w9_d164e20043
vor	w11_d164e20046
Verfliessung	w1_d164e20051
eines	w3_d164e20054
ganzen	w5_d164e20057
Jahrs,	w7_d164e20060
6.	w9_d164e20063
Wochen,	w11_d164e20066
und	w1_d164e20072
drey	w3_d164e20075
Tägen	w5_d164e20078
von	w7_d164e20081
der	w9_d164e20084
Franz	w11_d164e20087
Joseph	w13_d164e20091
Moser,	w15_d164e20094
&	w1_d164e20099
Compagnie-massa	w3_d164e20102
keines	w5_d164e20105
Kreutzer	w7_d164e20108
werts	w9_d164e20111
bezahlet,	w1_d164e20116
sondern	w3_d164e20119
nach	w5_d164e20122
verflossenen	w7_d164e20125
Termin	w9_d164e20128
eines	w1_d164e20133
Jahrs,	w3_d164e20136
6.	w5_d164e20139
Wochen,	w7_d164e20142
und	w9_d164e20145
3.	w11_d164e20148
Tägen	w13_d164e20152
ihr	w15_d164e20155
me	w1_d164e20161
Mayrhofer	w3_d164e20164
auf	w5_d164e20167
weiteres	w7_d164e20170
Anlangen,	w9_d164e20173
das	w11_d164e20176
von	w1_d164e20181
der	w3_d164e20184
Moser,	w5_d164e20187
&	w7_d164e20190
Compagnie-massa	w9_d164e20193
auf	w11_d164e20196
selben	w1_d164e20201
kommende	w3_d164e20204
Quantum	w5_d164e20207
zu	w7_d164e20210
seiner	w9_d164e20213
Befrie	w11_d164e20216
digung	w1_d164e20221
erfolget	w3_d164e20224
werden	w5_d164e20227
wurde.	w7_d164e20230
Wien	w9_d164e20233
den	w11_d164e20236
7.	w13_d164e20240
Januarii	w1_d164e20246
1757.	w3_d164e20249
</p>
<head id="h2_d164e20338">
Auszug	w1_d164e20342
eines	w3_d164e20345
Schreibens	w5_d164e20348
von	w7_d164e20351
Kö	w9_d164e20354
nigsberg,	w1_d164e20359
vom	w3_d164e20362
8.	w5_d164e20365
Julii.	w7_d164e20368
</head>
<p id="p4_d164e20371">
Maß	w1_d164e20375
mit	w3_d164e20378
inzuflechten,	w5_d164e20381
und	w7_d164e20384
zu	w9_d164e20387
einem	w11_d164e20390
Wert	w13_d164e20394
zeuge	w1_d164e20399
seiner	w3_d164e20402
ehrgeitzigen	w5_d164e20405
Absichten	w7_d164e20408
zu	w9_d164e20411
gebrau	w11_d164e20414
chen	w1_d164e20419
gewust	w3_d164e20422
</p>
<p id="p6_d164e20425">
DJr	w1_d164e20429
vernehmen,	w3_d164e20432
daß	w5_d164e20435
die	w7_d164e20438
Stadt	w9_d164e20441
Memel	w11_d164e20444
sich	w1_d164e20449
an	w3_d164e20452
die	w5_d164e20455
Rußischen	w7_d164e20458
Trupen	w9_d164e20461
ergeben	w11_d164e20464
habe.	w1_d164e20469
Pillau	w3_d164e20472
wird	w5_d164e20475
ebenfalls	w7_d164e20478
mit	w9_d164e20481
einem	w11_d164e20484
Bom	w13_d164e20488
bardement	w1_d164e20494
bedrohet.	w3_d164e20497
Jn	w5_d164e20500
einigen	w7_d164e20503
Dörfern	w9_d164e20506
haben	w1_d164e20511
die	w3_d164e20514
Cosacken	w5_d164e20517
übel	w7_d164e20520
gehauset.	w9_d164e20523
Jndessen	w11_d164e20526
ist,	w1_d164e20531
wie	w3_d164e20534
man	w5_d164e20537
versichert,	w7_d164e20540
der	w9_d164e20543
Feld=marschall	w11_d164e20546
von	w1_d164e20551
Lehwald	w3_d164e20554
in	w5_d164e20557
Anmarsche	w7_d164e20560
den	w9_d164e20563
Rußischen	w11_d164e20566
General	w1_d164e20572
von	w3_d164e20575
Lieven	w5_d164e20578
anzugreiffen.	w7_d164e20581
Die	w9_d164e20584
Kö	w11_d164e20587
nigl.	w1_d164e20592
Declaration	w3_d164e20595
gegen	w5_d164e20598
Rußland,	w7_d164e20601
die	w9_d164e20604
man	w11_d164e20607
hier	w1_d164e20612
nun	w3_d164e20615
in	w5_d164e20618
offentlichen	w7_d164e20621
Drucke	w9_d164e20624
siehet,	w11_d164e20627
lautet	w13_d164e20631
also:	w1_d164e20636
</p>
<p id="p8_d164e20639">
Es	w1_d164e20643
ist	w3_d164e20646
wol	w5_d164e20649
bekannt,	w7_d164e20652
daß	w9_d164e20655
Se.	w11_d164e20658
Königl	w13_d164e20662
Ma	w15_d164e20665
jestät	w1_d164e20670
von	w3_d164e20673
Preussen	w5_d164e20676
nach	w7_d164e20679
dem	w9_d164e20682
Beyspiele	w11_d164e20685
ihrer	w13_d164e20689
glorwürdigsten	w1_d164e20694
Vorfahrern,	w3_d164e20697
während	w5_d164e20700
ihrer	w7_d164e20703
ganzen	w1_d164e20709
Regierung	w3_d164e20712
zum	w5_d164e20715
besonderen	w7_d164e20718
Augenmerk	w9_d164e20721
gehabt,	w1_d164e20726
sich	w3_d164e20729
die	w5_d164e20732
Freundschaft	w7_d164e20735
des	w9_d164e20738
Rußisch	w11_d164e20741
Kaiserl.	w1_d164e20746
Hofes	w3_d164e20749
zu	w5_d164e20752
versichern,	w7_d164e20755
um	w9_d164e20758
dieselbe	w11_d164e20761
auf	w13_d164e20765
alle	w1_d164e20770
mögliche	w3_d164e20773
Art	w5_d164e20776
und	w7_d164e20779
Weise	w9_d164e20782
zu	w11_d164e20785
unterhalten.	w13_d164e20789
Sie	w1_d164e20795
haben	w3_d164e20798
auch	w5_d164e20801
das	w7_d164e20804
Vergnügen	w9_d164e20807
gehabt,	w11_d164e20810
mit	w13_d164e20814
der	w1_d164e20819
jetzt=regierenden	w3_d164e20822
Kaiserin	w5_d164e20825
viele	w7_d164e20828
nach	w9_d164e20831
einan	w11_d164e20834
der	w1_d164e20839
folgende	w3_d164e20842
Jahre	w5_d164e20845
in	w7_d164e20848
dem	w9_d164e20851
engsten	w11_d164e20854
guten	w13_d164e20858
Ver	w15_d164e20861
nehmen	w1_d164e20866
zu	w3_d164e20869
leben,	w5_d164e20872
bis	w7_d164e20875
die	w9_d164e20878
bekannte	w11_d164e20881
Höfe	w13_d164e20885
end	w15_d164e20888
lich	w1_d164e20894
Mittel	w3_d164e20897
gefunden,	w5_d164e20900
selbiges	w7_d164e20903
durch	w9_d164e20906
ihre	w11_d164e20909
heimliche	w1_d164e20914
Machinationen	w3_d164e20917
zu	w5_d164e20920
unter	w7_d164e20923
brechen,	w9_d164e20926
und	w1_d164e20931
es	w3_d164e20934
dahin	w5_d164e20937
zu	w7_d164e20940
bringen,	w9_d164e20943
daß	w11_d164e20946
die	w13_d164e20950
Gesandten	w15_d164e20953
von	w1_d164e20958
beyden	w3_d164e20961
Seiten	w5_d164e20964
zurück	w7_d164e20967
beruffen,	w9_d164e20970
und	w11_d164e20973
die	w13_d164e20977
Corresponden;	w1_d164e20983
aufgehoben	w3_d164e20986
worden.	w5_d164e20989
</p>
<p id="p10_d164e20992">
Seine	w1_d164e20996
Königl.	w3_d164e20999
Majestät	w5_d164e21002
haben	w7_d164e21005
vor	w9_d164e21008
der	w11_d164e21011
ganzen	w1_d164e21016
Welt	w3_d164e21019
mit	w5_d164e21022
unwidersprechlichen	w7_d164e21025
Beweis	w9_d164e21028
tümern	w1_d164e21033
dargethan,	w3_d164e21036
daß	w5_d164e21039
Sie	w7_d164e21042
zu	w9_d164e21045
denen,	w11_d164e21048
gegen	w13_d164e21052
dem	w1_d164e21058
Wienerischen	w3_d164e21061
sowol	w5_d164e21064
als	w7_d164e21067
Sächsischen	w9_d164e21070
Hof	w11_d164e21073
genommene	w1_d164e21078
Maß=regeln,	w3_d164e21081
durch	w5_d164e21084
daß	w7_d164e21087
eigene	w9_d164e21090
Be	w11_d164e21093
tragen	w1_d164e21098
dieser	w3_d164e21101
Höfe,	w5_d164e21104
genöhtiget	w7_d164e21107
worden,	w9_d164e21110
und	w11_d164e21113
daß	w1_d164e21118
Sie	w3_d164e21121
selbige	w5_d164e21124
lediglich	w7_d164e21127
zu	w9_d164e21130
ihrer	w11_d164e21133
Vertheidi	w13_d164e21137
gung	w1_d164e21143
ergriffen.	w3_d164e21146
Sie	w5_d164e21149
haben	w7_d164e21152
sich	w9_d164e21155
vielfältig	w11_d164e21158
er	w13_d164e21162
boten,	w1_d164e21167
die	w3_d164e21170
Waffen	w5_d164e21173
niederzulegen,	w7_d164e21176
sobald	w9_d164e21179
Jh	w11_d164e21182
nen	w1_d164e21187
nur	w3_d164e21190
gehörige	w5_d164e21193
Sicherheit	w7_d164e21196
verschaffet	w9_d164e21199
wür	w11_d164e21202
de.	w1_d164e21207
Sie	w3_d164e21210
haben	w5_d164e21213
auch	w7_d164e21216
zugleich	w9_d164e21219
die	w11_d164e21222
Kunst=griffe	w13_d164e21226
gezeiget,	w1_d164e21232
durch	w3_d164e21235
welche	w5_d164e21238
man	w7_d164e21241
den	w9_d164e21244
Rußisch	w11_d164e21247
Kaiserl.	w1_d164e21252
Hof	w3_d164e21255
in	w5_d164e21258
einen	w7_d164e21261
Plan	w9_d164e21264
verwickelt,	w11_d164e21267
wel	w13_d164e21271
che	w1_d164e21276
der	w3_d164e21279
bekannten	w5_d164e21282
hohen	w7_d164e21285
Gedenkungs=art	w9_d164e21288
der	w11_d164e21291
Rußischen	w1_d164e21296
Kaiserin	w3_d164e21299
Majestät	w5_d164e21302
gänzlich	w7_d164e21305
zuwi	w9_d164e21308
der	w1_d164e21314
ist,	w3_d164e21317
und	w5_d164e21320
welchen	w7_d164e21323
Sie	w9_d164e21326
gewiß	w11_d164e21329
verabscheuen	w13_d164e21333
würde,	w1_d164e21338
wann	w3_d164e21341
die	w5_d164e21344
Wahrheit	w7_d164e21347
zu	w9_d164e21350
ihrer	w11_d164e21353
selbst	w13_d164e21357
ei	w15_d164e21360
genen	w1_d164e21365
Einsicht	w3_d164e21368
gelangen	w5_d164e21371
könte.	w7_d164e21374
Eben	w9_d164e21377
dadurch	w11_d164e21380
haben	w1_d164e21385
Se.	w3_d164e21388
Königl.	w5_d164e21391
Majestät	w7_d164e21394
hoch=gedachten	w9_d164e21397
Kaiserin	w1_d164e21403
genugsame	w3_d164e21406
Gründe	w5_d164e21409
an	w7_d164e21412
die	w9_d164e21415
Hand	w11_d164e21418
ge	w13_d164e21422
geben,	w1_d164e21427
um	w3_d164e21430
an	w5_d164e21433
dem	w7_d164e21436
gegenwärtigen	w9_d164e21439
Kriege	w11_d164e21442
kei	w13_d164e21446
nen	w1_d164e21451
Antheil	w3_d164e21454
zu	w5_d164e21457
nehmen,	w7_d164e21460
und	w9_d164e21463
sich	w11_d164e21466
mit	w13_d164e21470
gröstem	w15_d164e21473
Rechte	w1_d164e21478
der	w3_d164e21481
Erfüllung	w5_d164e21484
solcher	w7_d164e21487
Verbindungen	w9_d164e21490
zu	w1_d164e21496
entziehen,	w3_d164e21499
die	w5_d164e21502
der	w7_d164e21505
Wienerische	w9_d164e21508
Hof	w11_d164e21511
offenbar	w13_d164e21515
zu	w1_d164e21520
seinen	w3_d164e21523
unerlaubten	w5_d164e21526
Absichten	w7_d164e21529
mißbrauchet.	w9_d164e21532
Ja,	w1_d164e21537
Sie	w3_d164e21540
haben	w5_d164e21543
eben	w7_d164e21546
dieser	w9_d164e21549
Prinzeßin	w11_d164e21552
die	w13_d164e21556
Mittel	w1_d164e21561
dargeboten,	w3_d164e21564
das	w5_d164e21567
Krieges=feuer,	w7_d164e21570
ohne	w9_d164e21573
Schwert=streich,	w1_d164e21579
und	w3_d164e21582
auf	w5_d164e21585
solche	w7_d164e21588
Art	w9_d164e21591
und	w11_d164e21594
Wei	w13_d164e21598
se	w1_d164e21603
zu	w3_d164e21606
dämpfen,	w5_d164e21609
welche	w7_d164e21612
das	w9_d164e21615
Andenken	w11_d164e21618
ihrer	w13_d164e21622
Regierung,	w1_d164e21627
bey	w3_d164e21630
ganz	w5_d164e21633
Europa	w7_d164e21636
unsterblich	w9_d164e21639
ge	w11_d164e21642
macht,	w1_d164e21647
und	w3_d164e21650
Jhro	w5_d164e21653
einen	w7_d164e21656
viel	w9_d164e21659
dauerhafteren	w11_d164e21662
Ruhm	w1_d164e21668
erworben	w3_d164e21671
haben	w5_d164e21674
wurde,	w7_d164e21677
als	w9_d164e21680
sie	w11_d164e21683
durch	w13_d164e21687
die	w1_d164e21692
grösten	w3_d164e21695
Vortheile	w5_d164e21698
der	w7_d164e21701
Waffen	w9_d164e21704
niemals	w11_d164e21707
er	w13_d164e21711
halten	w1_d164e21716
kan.	w3_d164e21719
</p>
<p id="p12_d164e21723">
Se.	w1_d164e21727
Königl.	w3_d164e21730
Majest.	w5_d164e21733
müssen	w7_d164e21736
aber	w9_d164e21739
mit	w11_d164e21742
Leid	w13_d164e21746
wesen	w1_d164e21751
erfahren,	w3_d164e21754
daß	w5_d164e21757
alle	w7_d164e21760
Jhre	w9_d164e21763
Mäßigung	w11_d164e21766
und	w1_d164e21771
alle	w3_d164e21774
Jhre	w5_d164e21777
Bemühung,	w7_d164e21780
um	w9_d164e21783
mit	w11_d164e21786
dem	w13_d164e21790
Rus	w15_d164e21793
sischen	w1_d164e21799
Reiche	w3_d164e21802
in	w5_d164e21805
Frieden	w7_d164e21808
zu	w9_d164e21811
leben,	w11_d164e21814
vergebens	w13_d164e21818
angewendet	w1_d164e21823
ist,	w3_d164e21826
und	w5_d164e21829
die	w7_d164e21832
Jntriguen	w9_d164e21835
Jhrer	w11_d164e21838
Feinde	w1_d164e21843
endlich	w3_d164e21846
die	w5_d164e21849
Oberhand	w7_d164e21852
behalten.	w9_d164e21855
Sie	w11_d164e21858
</p>
<p id="p14_d164e21861">
So	w1_d164e21865
schmerzlich	w3_d164e21868
nun	w5_d164e21871
dieses	w7_d164e21874
Sr.	w9_d164e21877
Königl.	w11_d164e21880
Maj.	w1_d164e21885
gefallen,	w3_d164e21888
so	w5_d164e21891
sehr	w7_d164e21894
haben	w9_d164e21897
Sie	w11_d164e21900
sich	w13_d164e21904
nach	w15_d164e21907
hero	w1_d164e21912
bemühet,	w3_d164e21915
alles	w5_d164e21918
zu	w7_d164e21921
vermeiden,	w9_d164e21924
was	w11_d164e21927
das	w13_d164e21931
Mißvergnügen	w1_d164e21937
des	w3_d164e21940
Rußisch=Kaiserl.	w5_d164e21943
Hofes	w7_d164e21946
vermehren	w1_d164e21951
könte,	w3_d164e21954
und	w5_d164e21957
selbst	w7_d164e21960
bey	w9_d164e21963
denen	w11_d164e21966
gegen	w13_d164e21970
wärtig=entstandenen	w1_d164e21975
unglücklichen	w3_d164e21978
Krieges	w5_d164e21981
unruhen,	w1_d164e21986
haben	w3_d164e21989
Sie	w5_d164e21992
alle	w7_d164e21995
ihre	w9_d164e21998
Sorgfalt	w11_d164e22001
dahin	w13_d164e22005
angewendet,	w1_d164e22011
um	w3_d164e22014
mit	w5_d164e22017
besagten	w7_d164e22020
Rußisch	w9_d164e22023
Kaiserl.	w1_d164e22028
Hofe	w3_d164e22031
in	w5_d164e22034
keine	w7_d164e22037
Weiterungen	w9_d164e22040
zu	w11_d164e22043
gerah	w13_d164e22047
ten,	w1_d164e22052
ob	w3_d164e22055
Sie	w5_d164e22058
gleich	w7_d164e22061
die	w9_d164e22064
gerechtesten	w11_d164e22067
Beschwerden	w13_d164e22071
gegen	w1_d164e22076
denenselben	w3_d164e22079
gehabt,	w5_d164e22082
und	w7_d164e22085
es	w9_d164e22088
Welt=kündig	w11_d164e22091
ist,	w1_d164e22097
daß	w3_d164e22100
der	w5_d164e22103
Wienerische	w7_d164e22106
Hof	w9_d164e22109
selbigen	w11_d164e22112
in	w13_d164e22116
sein	w15_d164e22119
gefährliches	w1_d164e22124
Vorhaben,	w3_d164e22127
gegen	w5_d164e22130
seine	w7_d164e22133
Königl.	w9_d164e22136
</p>
<head id="h4_d164e22153">
Regenspurg	w1_d164e22157
4.	w3_d164e22160
Juli.	w5_d164e22163
</head>
<p id="p6_d164e22166">
sehen,	w1_d164e22170
daß	w3_d164e22173
der	w5_d164e22176
Rußisch=Kaiserl.	w7_d164e22179
Hof	w9_d164e22182
alle	w11_d164e22185
Rucksicht	w1_d164e22190
einer	w3_d164e22193
guten	w5_d164e22196
Freund	w7_d164e22199
und	w9_d164e22202
Nachbar	w11_d164e22205
schaft	w1_d164e22210
sowol,	w3_d164e22213
als	w5_d164e22216
der	w7_d164e22219
mit	w9_d164e22222
Jhro	w11_d164e22225
habenden	w13_d164e22229
Bündnüsse,	w1_d164e22235
bey	w3_d164e22238
Seite	w5_d164e22241
setzen,	w7_d164e22244
und	w9_d164e22247
mit	w11_d164e22250
Paßi	w13_d164e22254
rung	w1_d164e22259
des	w3_d164e22262
Territorii	w5_d164e22265
einer	w7_d164e22268
fremden	w9_d164e22271
Macht	w11_d164e22274
wider	w1_d164e22279
den	w3_d164e22282
Willen	w5_d164e22285
derselben,	w7_d164e22288
und	w9_d164e22291
wider	w11_d164e22294
al	w13_d164e22298
les,	w1_d164e22303
was	w3_d164e22306
die	w5_d164e22309
Trattaten	w7_d164e22312
dagegen	w9_d164e22315
mit	w11_d164e22318
sich	w13_d164e22322
füh	w15_d164e22325
ren,	w1_d164e22331
ihre	w3_d164e22334
Lande	w5_d164e22337
feindlich	w7_d164e22340
angreiffen	w9_d164e22343
lassen,	w11_d164e22346
und	w1_d164e22351
an	w3_d164e22354
einem	w5_d164e22357
Kriege	w7_d164e22360
Antheil	w9_d164e22363
nehmen	w11_d164e22366
will,	w13_d164e22370
der	w1_d164e22375
Jhro	w3_d164e22378
von	w5_d164e22381
ihren	w7_d164e22384
Feinden	w9_d164e22387
abgedrungen	w11_d164e22390
worden.	w1_d164e22395
</p>
<p id="p8_d164e22398">
Bey	w1_d164e22402
solchen	w3_d164e22405
Umständen	w5_d164e22408
bleibt	w7_d164e22411
Sr.	w9_d164e22414
Königl.	w11_d164e22417
Majest.	w1_d164e22422
nichts	w3_d164e22425
weiter	w5_d164e22428
übrig,	w7_d164e22431
als	w9_d164e22434
daß	w11_d164e22437
sie	w13_d164e22441
die	w15_d164e22444
Jhro	w1_d164e22449
von	w3_d164e22452
GOtt	w5_d164e22455
verliehene	w7_d164e22458
Macht	w9_d164e22461
gebrauchen,	w11_d164e22464
und	w1_d164e22470
zu	w3_d164e22473
einer	w5_d164e22476
rechtmäßigen	w7_d164e22479
Defension	w9_d164e22482
schreit	w11_d164e22485
ten,	w1_d164e22490
um	w3_d164e22493
die	w5_d164e22496
Unterthanen	w7_d164e22499
zu	w9_d164e22502
schützen,	w11_d164e22505
und	w13_d164e22509
ei	w15_d164e22512
ner	w1_d164e22517
unrechtmäßigen	w3_d164e22520
Gewalt	w5_d164e22523
gehörig	w7_d164e22526
zu	w9_d164e22529
be	w11_d164e22532
gegnen.	w1_d164e22537
</p>
<p id="p10_d164e22540">
Höchst=dieselbe	w1_d164e22544
werden	w3_d164e22547
dabey	w5_d164e22550
die	w7_d164e22553
Regeln	w9_d164e22556
welche	w1_d164e22561
unter	w3_d164e22564
gesitteten	w5_d164e22567
Völkern	w7_d164e22570
mitten	w9_d164e22573
im	w11_d164e22576
Krie	w13_d164e22580
ge	w1_d164e22585
gebräuchlich	w3_d164e22588
seynd,	w5_d164e22591
niemals	w7_d164e22594
ausser	w9_d164e22597
denen	w11_d164e22600
Au	w13_d164e22604
gen	w1_d164e22610
setzen.	w3_d164e22613
Wann	w5_d164e22616
aber	w7_d164e22619
solches	w9_d164e22622
wider	w11_d164e22625
besseres	w13_d164e22629
Hoffen	w1_d164e22634
und	w3_d164e22637
Vermuten	w5_d164e22640
von	w7_d164e22643
denen	w9_d164e22646
Rußischen	w11_d164e22649
Trupen	w1_d164e22654
geschehen,	w3_d164e22657
und	w5_d164e22660
von	w7_d164e22663
selbigen	w9_d164e22666
in	w11_d164e22669
ihren	w13_d164e22673
Landen	w1_d164e22678
Grausamkeiten	w3_d164e22681
und	w5_d164e22684
ungewöhnliche	w7_d164e22687
Gewaltthätigkeiten	w1_d164e22693
ausgeübet	w3_d164e22696
werden	w5_d164e22699
soll	w7_d164e22702
ten,	w1_d164e22707
so	w3_d164e22710
wird	w5_d164e22713
Se.	w7_d164e22716
Königl.	w9_d164e22719
Maj.	w11_d164e22722
nicht	w13_d164e22726
zu	w15_d164e22729
ver	w17_d164e22732
denken	w1_d164e22737
seyn,	w3_d164e22740
wann	w5_d164e22743
sie	w7_d164e22746
in	w9_d164e22749
Sachsen,	w11_d164e22752
wo	w13_d164e22756
die	w15_d164e22759
selbe	w1_d164e22764
bis	w3_d164e22767
jetzo,	w5_d164e22770
wie	w7_d164e22773
männiglich	w9_d164e22776
bekannt,	w11_d164e22779
die	w13_d164e22783
schärfeste	w1_d164e22789
Disciplin	w3_d164e22792
und	w5_d164e22795
Manns=zucht	w7_d164e22798
mit	w9_d164e22801
sorgfältiger	w1_d164e22806
Vermeidung	w3_d164e22809
aller	w5_d164e22812
Excesse	w7_d164e22815
von	w9_d164e22818
Jhrer	w1_d164e22823
Armee	w3_d164e22826
beobachten	w5_d164e22829
lassen,	w7_d164e22832
wider	w9_d164e22835
Jhren	w11_d164e22838
Willen	w1_d164e22843
und	w3_d164e22846
Neigung	w5_d164e22849
sodann	w7_d164e22852
Repressalien	w9_d164e22855
ge	w11_d164e22858
brauchen,	w1_d164e22864
und	w3_d164e22867
mit	w5_d164e22870
denen	w7_d164e22873
Sächsischen	w9_d164e22876
Pro	w11_d164e22879
vinzen	w1_d164e22884
und	w3_d164e22887
Unterthanen	w5_d164e22890
eben	w7_d164e22893
so	w9_d164e22896
umgehen	w11_d164e22899
müssen,	w1_d164e22904
wie	w3_d164e22907
denen	w5_d164e22910
Jhrigen	w7_d164e22913
begegnet	w9_d164e22916
wird.	w11_d164e22919
Uebrigens	w1_d164e22924
werden	w3_d164e22927
Se.	w5_d164e22930
Königl.	w7_d164e22933
Majest	w9_d164e22936
nicht	w1_d164e22942
ermanglen,	w3_d164e22945
den	w5_d164e22948
Ungrund	w7_d164e22951
derjenigen	w9_d164e22954
Ur	w11_d164e22957
sachen,	w1_d164e22962
deren	w3_d164e22965
der	w5_d164e22968
Rußisch=Kaiserl.	w7_d164e22971
Hof	w9_d164e22974
sich	w11_d164e22977
bedienet,	w1_d164e22982
um	w3_d164e22985
seinen	w5_d164e22988
feindlichen	w7_d164e22991
Angrif	w9_d164e22994
zu	w11_d164e22997
rechtfertigen,	w1_d164e23002
mit	w3_d164e23005
ehesten	w5_d164e23008
der	w7_d164e23011
ganzen	w9_d164e23014
Welt	w11_d164e23017
vor	w1_d164e23023
Augen	w3_d164e23026
zu	w5_d164e23029
legen,	w7_d164e23032
und	w9_d164e23035
da	w11_d164e23038
Sie	w13_d164e23042
sich	w15_d164e23045
in	w17_d164e23048
dem	w19_d164e23051
Fall	w1_d164e23056
einer	w3_d164e23059
abgedrungenen	w5_d164e23062
Noht=wehre	w7_d164e23065
befin	w9_d164e23068
den,	w1_d164e23073
