<doc id="wr_1759-01-10" attrs="word" year="1759" month="01" day="10" corpus="2">
<head id="h2_d312e2914">
Culmbach	w1_d312e2918
die	w9_d312e10162
Wer	w11_d312e10165
bungen	w1_d312e10170
sehr	w3_d312e10173
eifrig	w5_d312e10176
fortgesetzet	w7_d312e10179
würden.	w9_d312e10182
</p>
<head id="h2_d312e10203">
Wien	w1_d312e10207
den	w3_d312e10210
10.	w5_d312e10213
Januarii	w7_d312e10216
1759.	w9_d312e10219
</head>
<p id="p4_d312e10222">
Beyde	w1_d312e10226
Kaiserl.	w3_d312e10229
Majestäten	w5_d312e10232
samt	w7_d312e10235
ihren	w9_d312e10238
Königl.	w1_d312e10243
Hoheiten	w3_d312e10246
denen	w5_d312e10249
Durchleuch	w7_d312e10252
tigsten	w1_d312e10257
jungen	w3_d312e10260
Herrschaften	w5_d312e10263
haben	w7_d312e10266
diese	w9_d312e10269
Tä	w11_d312e10272
ge	w1_d312e10278
anhero	w3_d312e10281
nicht	w5_d312e10284
nur	w7_d312e10287
denen	w9_d312e10290
gewöhnlichen	w11_d312e10293
An	w13_d312e10297
dachten,	w1_d312e10302
sondern	w3_d312e10305
auch	w5_d312e10308
öfteren	w7_d312e10311
Staats	w9_d312e10314
und	w11_d312e10317
Kriegs=conferenzen	w1_d312e10322
beygewohnet.	w3_d312e10325
</p>
<p id="p6_d312e10328">
Sonntagsden	w1_d312e10332
7.	w3_d312e10335
dieses	w5_d312e10338
Vormittags	w7_d312e10341
hat	w9_d312e10344
(Tit.)	w1_d312e10349
der	w3_d312e10352
junge	w5_d312e10355
Herr	w7_d312e10358
Graf	w9_d312e10361
von	w11_d312e10364
Neu	w13_d312e10368
perg	w1_d312e10373
bey	w3_d312e10376
allerhöchsten	w5_d312e10379
beyden	w7_d312e10382
Kaiserlichen	w9_d312e10385
Majestäten	w1_d312e10391
und	w3_d312e10394
denen	w5_d312e10397
sammentlichen	w7_d312e10400
Durch	w9_d312e10403
leuchtigsten	w1_d312e10408
Herrschaften	w3_d312e10411
dero	w5_d312e10414
Beurlau	w7_d312e10417
bungs=audienz	w1_d312e10422
gehabt,	w3_d312e10425
und	w5_d312e10428
wird	w7_d312e10431
Selber	w9_d312e10434
noch	w1_d312e10439
diese	w3_d312e10442
Woche	w5_d312e10445
von	w7_d312e10448
hier	w9_d312e10451
nach	w11_d312e10454
Dero	w13_d312e10458
Ge	w15_d312e10461
sandtschafts=posten	w1_d312e10467
an	w3_d312e10470
den	w5_d312e10473
Hof	w7_d312e10476
des	w9_d312e10479
Kö	w11_d312e10482
nigs	w1_d312e10487
beyder	w3_d312e10490
Sicilien	w5_d312e10493
nacher	w7_d312e10496
Neapel	w9_d312e10499
sich	w11_d312e10502
verfügen.	w1_d312e10507
</p>
<p id="p8_d312e10510">
Montags	w1_d312e10514
als	w3_d312e10517
den	w5_d312e10520
8.	w7_d312e10523
dieses	w9_d312e10526
hat	w11_d312e10529
der	w13_d312e10533
al	w15_d312e10536
hier	w1_d312e10541
sich	w3_d312e10544
befindliche	w5_d312e10547
Algierische	w7_d312e10550
Gesandte	w9_d312e10553
mit	w1_d312e10558
dem	w3_d312e10561
gewöhnlichen	w5_d312e10564
Gefolg	w7_d312e10567
bey	w9_d312e10570
Sr.	w11_d312e10573
Ex	w13_d312e10577
cellenz	w1_d312e10583
dem	w3_d312e10586
geheimen	w5_d312e10589
Staats=canzlern	w7_d312e10592
Hrn.	w9_d312e10595
Grafen	w1_d312e10600
von	w3_d312e10603
Kaunitz	w5_d312e10606
Rittberg	w7_d312e10609
mit	w9_d312e10612
dem	w11_d312e10615
näm	w13_d312e10619
lichen	w1_d312e10624
Ceremoniel	w3_d312e10627
(wie	w5_d312e10630
neulich	w7_d312e10633
den	w9_d312e10636
4.	w11_d312e10639
die	w13_d312e10643
ses	w1_d312e10648
bey	w3_d312e10651
Sr.	w5_d312e10654
Excellenz	w7_d312e10657
Herrn	w9_d312e10660
Reichsvice	w11_d312e10663
canzlern	w1_d312e10669
Grafen	w3_d312e10672
von	w5_d312e10675
Colloredo	w7_d312e10678
beschehen	w9_d312e10681
die	w1_d312e10686
Abschieds=audienz	w3_d312e10689
gehabt,	w5_d312e10692
und	w7_d312e10695
in	w9_d312e10698
sol	w11_d312e10701
cher	w1_d312e10706
die	w3_d312e10709
Recredentiales	w5_d312e10712
und	w7_d312e10715
Präsenten	w9_d312e10718
im	w11_d312e10721
Name	w1_d312e10726
Jhrer	w3_d312e10729
Majestät	w5_d312e10732
der	w7_d312e10735
Kaiserin	w9_d312e10738
über	w11_d312e10741
kommen.	w1_d312e10747
Nach	w3_d312e10750
1.	w5_d312e10753
Uhr	w7_d312e10756
hat	w9_d312e10759
sich	w11_d312e10762
ersagter	w13_d312e10766
Herr	w1_d312e10771
Gesandter	w3_d312e10774
wieder	w5_d312e10777
nach	w7_d312e10780
seinen	w9_d312e10783
Quar	w11_d312e10786
tier	w1_d312e10791
zum	w3_d312e10794
scharfen	w5_d312e10797
Eck	w7_d312e10800
in	w9_d312e10803
die	w11_d312e10806
Leopoldstadt	w13_d312e10810
zurück	w1_d312e10815
begeben;	w3_d312e10818
und	w5_d312e10821
wird	w7_d312e10824
selber	w9_d312e10827
den	w11_d312e10830
18.	w13_d312e10834
lauffenden	w1_d312e10840
Monats	w3_d312e10843
von	w5_d312e10846
hier	w7_d312e10849
abgehen.	w9_d312e10852
</p>
<p id="p10_d312e10855">
Es	w1_d312e10859
befinden	w3_d312e10862
sich	w5_d312e10865
dermalen	w7_d312e10868
viele	w9_d312e10871
hohe	w11_d312e10874
Herren	w1_d312e10879
Generalen,	w3_d312e10882
Staabs	w5_d312e10885
und	w7_d312e10888
andere	w9_d312e10891
Officier	w1_d312e10896
allhier,	w3_d312e10899
und	w5_d312e10902
ist	w7_d312e10905
auch	w9_d312e10908
dieser	w11_d312e10911
Tagen	w13_d312e10915
der	w1_d312e10921
ältere	w3_d312e10924
Herr	w5_d312e10927
Sohn	w7_d312e10930
des	w9_d312e10933
Herrn	w11_d312e10936
Fürsten	w13_d312e10940
von	w15_d312e10943
Sulkowsky	w1_d312e10948
aus	w3_d312e10951
Pohlen	w5_d312e10954
dahier	w7_d312e10957
angelanget.	w9_d312e10960
</p>
<p id="p12_d312e10964">
Zu	w1_d312e10968
Ende	w3_d312e10971
voriger	w5_d312e10974
Woche	w7_d312e10977
seynd	w9_d312e10980
wieder	w11_d312e10983
einige	w1_d312e10988
Colonien	w3_d312e10991
Gränzer	w5_d312e10994
hier	w7_d312e10997
vorbey	w9_d312e11000
nach	w11_d312e11003
Hause	w1_d312e11008
marschiret;	w3_d312e11011
dahingegen	w5_d312e11014
seynd	w7_d312e11017
bereits	w9_d312e11020
wieder	w1_d312e11026
andere	w3_d312e11029
Colonien	w5_d312e11032
dieser	w7_d312e11035
Leuten	w9_d312e11038
im	w11_d312e11041
</p>
<p id="p14_d312e11044">
Hermarsche	w1_d312e11048
begriffen,	w3_d312e11051
welche	w5_d312e11054
bis	w7_d312e11057
Ende	w9_d312e11060
dieses	w1_d312e11065
Monats	w3_d312e11068
alhier	w5_d312e11071
paßiren	w7_d312e11074
werden.	w9_d312e11077
</p>
<p id="p16_d312e11080">
Den	w1_d312e11084
8.	w3_d312e11087
Jenner	w5_d312e11090
1759.	w7_d312e11093
starb	w9_d312e11096
in	w11_d312e11099
der	w13_d312e11103
Stadt	w15_d312e11106
Sr.	w1_d312e11111
Excell.	w3_d312e11114
dem	w5_d312e11117
Hoch	w7_d312e11120
und	w9_d312e11123
Wol=gebornen	w11_d312e11126
Reichs=grafen	w1_d312e11131
Herrn	w3_d312e11134
Herrn	w5_d312e11137
Johann	w7_d312e11140
Jo	w9_d312e11143
seph	w1_d312e11149
Caretto,	w3_d312e11152
aus	w5_d312e11155
denen	w7_d312e11158
Marggrafen	w9_d312e11161
von	w11_d312e11164
Savona,	w1_d312e11169
des	w3_d312e11172
Heil.	w5_d312e11175
Röm.	w7_d312e11178
Reichs	w9_d312e11181
Grafen	w11_d312e11184
von	w1_d312e11189
Milesimo,	w3_d312e11192
Jhrer	w5_d312e11195
Kaiserl.	w7_d312e11198
Königl.	w9_d312e11201
Ma	w11_d312e11204
jestät	w1_d312e11209
Würkl.	w3_d312e11212
Geheimen	w5_d312e11215
Rahts,	w7_d312e11218
Cammerern,	w9_d312e11221
und	w1_d312e11227
grösseren	w3_d312e11230
Landes=rechts	w5_d312e11233
Beysitzern	w7_d312e11236
im	w9_d312e11239
Königreich	w1_d312e11244
Böheim,	w3_d312e11247
seine	w5_d312e11250
Frau	w7_d312e11253
Gemahlin	w9_d312e11256
Amalia,	w1_d312e11261
geborne	w3_d312e11264
Gräfin	w5_d312e11267
von	w7_d312e11270
Korzensky	w9_d312e11273
ihres	w1_d312e11278
Alters	w3_d312e11281
im	w5_d312e11284
31.	w7_d312e11287
Jahr.	w9_d312e11290
</p>
<p id="p18_d312e11293">
Abgewichenen	w1_d312e11297
Donnerstags	w3_d312e11300
als	w5_d312e11303
den	w7_d312e11306
4.	w9_d312e11309
lauffenden	w1_d312e11314
Monats	w3_d312e11317
ist	w5_d312e11320
die	w7_d312e11323
Ziehung	w9_d312e11326
der	w11_d312e11329
Kaiserl.	w1_d312e11334
Königl.	w3_d312e11337
privilegirten	w5_d312e11340
Lotterie	w7_d312e11343
in	w9_d312e11346
der	w1_d312e11352
Kaiserl.	w3_d312e11355
Königl.	w5_d312e11358
Haupt=stadt	w7_d312e11361
Prag	w9_d312e11364
be	w11_d312e11367
schehen,	w1_d312e11372
und	w3_d312e11375
die	w5_d312e11378
Num.	w7_d312e11381
30.	w9_d312e11384
15.	w11_d312e11387
65.	w13_d312e11391
73.	w15_d312e11394
und	w1_d312e11399
34.	w3_d312e11402
mit	w5_d312e11405
zerschiedenen	w7_d312e11408
erheblichen	w9_d312e11411
Ambi,	w11_d312e11414
beträchtlichen	w1_d312e11419
Terni,	w3_d312e11422
und	w5_d312e11425
nahmhaften	w7_d312e11428
Estratti	w9_d312e11431
(deren	w1_d312e11437
einen	w3_d312e11440
mit	w5_d312e11443
1050.	w7_d312e11446
fl.	w9_d312e11449
der	w11_d312e11452
sub	w13_d312e11456
Nro.	w15_d312e11459
1.	w17_d312e11462
Herr	w1_d312e11467
Franz	w3_d312e11470
Joseph	w5_d312e11473
Augusti,	w7_d312e11476
in	w9_d312e11479
der	w11_d312e11482
Karnt	w13_d312e11486
nerstrassen	w1_d312e11491
bey	w3_d312e11494
denen	w5_d312e11497
2.	w7_d312e11500
goldenen	w9_d312e11503
Löwen	w11_d312e11506
an	w13_d312e11510
gestelter	w1_d312e11515
Collector,	w3_d312e11518
zu	w5_d312e11521
entrichten,	w7_d312e11524
einen	w9_d312e11527
der	w11_d312e11530
sub	w1_d312e11536
Nro.	w3_d312e11539
14.	w5_d312e11542
in	w7_d312e11545
der	w9_d312e11548
Schuler=strassen	w11_d312e11551
Herr	w13_d312e11555
Johann	w1_d312e11560
Thade	w3_d312e11563
Aichinger,	w5_d312e11566
ebenfals	w7_d312e11569
einen	w9_d312e11572
anderen	w1_d312e11577
deto	w3_d312e11580
mit	w5_d312e11583
700.	w7_d312e11586
fl.	w9_d312e11589
der	w11_d312e11592
sub	w13_d312e11596
Nro.	w15_d312e11599
28.	w17_d312e11602
auf	w1_d312e11607
dem	w3_d312e11610
alten	w5_d312e11613
Fleisch=markt,	w7_d312e11616
Herr	w9_d312e11619
Wenzel	w11_d312e11622
Hamm,	w1_d312e11628
einen	w3_d312e11631
deto	w5_d312e11634
mit	w7_d312e11637
1300.	w9_d312e11640
fl.	w11_d312e11643
der	w13_d312e11647
sub	w1_d312e11652
Nro.	w3_d312e11655
63.	w5_d312e11658
in	w7_d312e11661
der	w9_d312e11664
Rossau,	w11_d312e11667
und	w13_d312e11671
Hr.	w15_d312e11674
Jo	w17_d312e11677
hann	w1_d312e11682
Dängel,	w3_d312e11685
einen	w5_d312e11688
deto	w7_d312e11691
mit	w9_d312e11694
600.	w11_d312e11697
fl.	w13_d312e11701
zu	w15_d312e11704
bezahlen	w1_d312e11709
haben,	w3_d312e11712
gehoben	w5_d312e11715
worden.	w7_d312e11718
</p>
<p id="p20_d312e11721">
Den	w1_d312e11725
24.	w3_d312e11728
wird	w5_d312e11731
die	w7_d312e11734
fernere	w9_d312e11737
Ziehung	w11_d312e11740
alhier	w13_d312e11744
beschehen.	w1_d312e11749
</p>
<list id="l22_d312e11752">
—	w1_d312e11756
</list>
<head id="h2_d312e11763">
Lista	w1_d312e11767
deren	w3_d312e11770
Verstorbenen	w5_d312e11773
zu	w7_d312e11776
Wien	w9_d312e11779
in	w1_d312e11784
und	w3_d312e11787
vor	w5_d312e11790
der	w7_d312e11793
Stadt.	w9_d312e11796
Den	w1_d312e11801
5.	w3_d312e11804
Januarii.	w5_d312e11807
Jn	w1_d312e11813
der	w3_d312e11816
Stadt.	w5_d312e11819
</head>
<list id="l4_d312e11822">
Der	w1_d312e11826
Hoch=edel=geb.	w3_d312e11829
Hr.	w5_d312e11832
Georg	w7_d312e11835
Mich.	w9_d312e11838
v.	w11_d312e11841
Ankenbrand,	w13_d312e11845
des	w1_d312e11850
Löbl.	w3_d312e11853
K.	w5_d312e11856
K.	w7_d312e11859
Feld=artillerie=regim.	w9_d312e11862
Obrist.,	w11_d312e11865
bey	w13_d312e11869
denen	w1_d312e11874
3.	w3_d312e11877
Lauf.	w5_d312e11880
am	w7_d312e11883
Kohl=m.,	w9_d312e11886
alt	w11_d312e11889
50.	w13_d312e11893
J.	w15_d312e11896
Fr.	w1_d312e11902
Elisab.	w3_d312e11905
Gollhofin,	w5_d312e11908
Wittwe,	w7_d312e11911
bey	w9_d312e11914
der	w11_d312e11917
weis.	w13_d312e11921
Katz	w15_d312e11924
am	w1_d312e11929
Grab.,	w3_d312e11932
alt	w5_d312e11935
76.	w7_d312e11938
J.	w9_d312e11941
</list>
<list id="l8_d312e11947">
Dem	w1_d312e11951
Hrn.	w3_d312e11954
Georg	w5_d312e11957
Schuler,	w7_d312e11960
Burgerl.	w9_d312e11963
Handels=m.,	w11_d312e11966
s.	w1_d312e11971
K.	w3_d312e11974
Franz,	w5_d312e11977
im	w7_d312e11980
Radleris.	w9_d312e11983
H.	w11_d312e11986
am	w13_d312e11990
alt.	w15_d312e11993
Bauren	w17_d312e11996
markt,	w1_d312e12001
alt	w3_d312e12004
1.	w5_d312e12007
J.	w7_d312e12010
Rosina	w1_d312e12016
Rnedlin,	w3_d312e12019
led.	w5_d312e12022
M.,	w7_d312e12025
im	w9_d312e12028
Arttoldis.	w11_d312e12031
H.	w13_d312e12035
im	w15_d312e12038
Rot	w17_d312e12041
gäs.,	w1_d312e12046
alt	w3_d312e12049
57.	w5_d312e12052
J.	w7_d312e12055
Dem	w1_d312e12060
Jacob	w3_d312e12063
Schnur,	w5_d312e12066
Frisenin,	w7_d312e12069
s.	w9_d312e12072
W.	w11_d312e12075
Cäcilia,	w13_d312e12079
im	w1_d312e12084
Feldwäblis.	w1_d312e12090
H.	w3_d312e12093
auf	w5_d312e12096
der	w7_d312e12099
Mölker=bastey,	w9_d312e12102
alt	w11_d312e12105
44.	w13_d312e12109
J.	w15_d312e12112
.	w1_d312e12117
</list>
<head id="h2_d312e12124">
Vor	w1_d312e12128
der	w3_d312e12131
Stadt.	w5_d312e12134
</head>
<list id="l4_d312e12137">
Der	w1_d312e12141
Hoch	w3_d312e12144
und	w5_d312e12147
Wol=geb.	w7_d312e12150
Hr.	w9_d312e12153
Ant.	w11_d312e12156
des	w13_d312e12160
R.	w1_d312e12165
R.	w3_d312e12168
Graf	w1_d312e12173
v.	w3_d312e12176
Dietrichstein,	w5_d312e12179
im	w7_d312e12182
Colleg.	w9_d312e12185
Theres.,	w11_d312e12188
13.	w13_d312e12192
J.	w15_d312e12195
Pet.	w1_d312e12201
Redel,	w3_d312e12204
Burgerl.	w5_d312e12207
Stick.,	w7_d312e12210
beym	w9_d312e12213
wild.	w11_d312e12216
Maiin	w13_d312e12220
amf	w15_d312e12223
Spitalberg,	w1_d312e12228
alt	w3_d312e12231
60.	w5_d312e12234
J.	w7_d312e12237
Dem	w1_d312e12242
Carl	w3_d312e12245
Bridl,	w5_d312e12248
Burgerl.	w7_d312e12251
Wirt.,	w9_d312e12254
s.	w11_d312e12257
W.	w13_d312e12261
Constan	w15_d312e12264
tia,	w1_d312e12269
beym	w3_d312e12272
gold.	w5_d312e12275
Bärn	w7_d312e12278
in	w9_d312e12281
der	w11_d312e12284
Leopoldst.	w13_d312e12288
32.	w1_d312e12294
J.	w3_d312e12297
Der	w1_d312e12302
Elisab.	w3_d312e12305
Mayrin,	w5_d312e12308
Burgerl.	w7_d312e12311
Wittwe,	w9_d312e12314
ihr	w11_d312e12317
Sohn	w13_d312e12321
Paul,	w1_d312e12326
im	w3_d312e12329
Binderis.	w5_d312e12332
H.	w7_d312e12335
untern	w9_d312e12338
Weistgärb.	w11_d312e12341
18.	w13_d312e12345
J.	w15_d312e12348
Math.	w1_d312e12353
Schilling,	w3_d312e12356
Schuh=mach.,	w5_d312e12359
beym	w7_d312e12362
gold.	w9_d312e12365
Rit.	w11_d312e12368
bey	w13_d312e12372
Maria=hülf,	w1_d312e12378
alt	w3_d312e12381
56.	w5_d312e12384
J.	w7_d312e12387
Johanna	w1_d312e12392
Böschin,	w3_d312e12395
in	w5_d312e12398
St.	w7_d312e12401
Joh.	w9_d312e12404
Nep.	w11_d312e12407
Spit.,	w13_d312e12411
72.	w15_d312e12414
J.	w17_d312e12417
Dem	w1_d312e12422
Andre	w3_d312e12425
Huschauer,	w5_d312e12428
Buchsen=mach,	w7_d312e12431
s.	w9_d312e12434
W.	w11_d312e12437
Fran	w13_d312e12441
cisca,	w1_d312e12446
beyn	w3_d312e12449
2.	w5_d312e12452
Artitschock.	w7_d312e12455
in	w9_d312e12458
der	w11_d312e12461
Leopoldst.	w13_d312e12465
44.	w15_d312e12468
J.	w17_d312e12471
Anna	w1_d312e12477
Baumgartnerin,	w3_d312e12480
led.	w5_d312e12483
M.,	w7_d312e12486
bey	w9_d312e12489
der	w11_d312e12492
goldenen	w13_d312e12496
Weintr.	w1_d312e12501
bey	w3_d312e12504
Maria=hülf,	w5_d312e12507
alt	w7_d312e12510
49.	w9_d312e12513
J.	w11_d312e12516
Simon	w1_d312e12521
Leopold,	w3_d312e12524
Tagw.,	w5_d312e12527
beym	w7_d312e12530
gold.	w9_d312e12533
Rös.	w11_d312e12536
im	w13_d312e12540
Ler	w15_d312e12543
chenf.,	w1_d312e12548
alt	w3_d312e12551
48.	w5_d312e12554
J.	w7_d312e12557
</list>
<head id="h2_d312e12565">
Summa	w1_d312e12569
14.	w3_d312e12572
Person.	w5_d312e12575
/	w7_d312e12578
darunter	w9_d312e12581
1.	w11_d312e12584
Kind.	w13_d312e12588
Den	w1_d312e12593
6.	w3_d312e12596
Januarii.	w5_d312e12599
Jn	w1_d312e12604
der	w3_d312e12607
Stadt.	w5_d312e12610
</head>
<list id="l4_d312e12613">
Dem	w1_d312e12617
Jgnatz	w3_d312e12620
Harnisch,	w5_d312e12623
Burgerl.	w7_d312e12626
Schlafrock=schneid.	w9_d312e12629
s.	w1_d312e12634
W.	w3_d312e12637
Cathar,	w5_d312e12640
im	w7_d312e12643
Latzen=hof,	w9_d312e12646
alt	w11_d312e12649
47.	w13_d312e12653
J.	w15_d312e12656
</list>
<head id="h2_d312e12663">
Vor	w1_d312e12667
der	w3_d312e12670
Stadt.	w5_d312e12673
</head>
<list id="l4_d312e12676">
Der	w1_d312e12680
Wol=eble	w3_d312e12683
Hr.	w5_d312e12686
Maurit.	w7_d312e12689
v.	w9_d312e12692
Seidlitz,	w11_d312e12695
gew.	w13_d312e12699
K.	w15_d312e12702
K.	w17_d312e12705
Haupt=m.,	w1_d312e12710
in	w3_d312e12713
der	w5_d312e12716
Schleif=mühl	w7_d312e12719
an	w9_d312e12722
der	w11_d312e12725
Wien,	w13_d312e12729
alt	w1_d312e12734
64.	w3_d312e12737
J.	w5_d312e12740
Dem	w1_d312e12746
Wol=edlen	w3_d312e12749
Hrn.	w5_d312e12752
Christian	w7_d312e12755
Müller,	w9_d312e12758
K.	w11_d312e12761
K.	w13_d312e12765
Ban	w15_d312e12768
co=haupt=cassa=rait=offic.,	w1_d312e12773
s.	w3_d312e12776
Fr.	w5_d312e12779
Cathar.,	w7_d312e12782
in	w9_d312e12785
s.	w11_d312e12788
H.	w13_d312e12792
in	w1_d312e12797
der	w3_d312e12800
Josephst.,	w5_d312e12803
alt	w7_d312e12806
38.	w9_d312e12809
J.	w11_d312e12812
Jos.	w1_d312e12817
Pfindl,	w3_d312e12820
Burgerl.	w5_d312e12823
Schuh=mach.,	w7_d312e12826
bey	w9_d312e12829
der	w11_d312e12832
gold.	w13_d312e12836
Ros.	w1_d312e12842
oberm	w3_d312e12845
Neustift,	w5_d312e12848
alt	w7_d312e12851
55.	w9_d312e12854
J.	w11_d312e12857
Dem	w1_d312e12862
Math.	w3_d312e12865
Lettner,	w5_d312e12868
Bäcker=ofen=mach.,	w7_d312e12871
s.	w9_d312e12874
W.	w11_d312e12877
Eli	w13_d312e12881
sab.,	w1_d312e12886
beym	w3_d312e12889
weis.	w5_d312e12892
Wolf.	w7_d312e12895
im	w9_d312e12898
Liechtenth.	w11_d312e12901
41.	w13_d312e12905
J.	w15_d312e12908
Dem	w1_d312e12913
Georg	w3_d312e12916
Bambäck,	w5_d312e12919
K.	w7_d312e12922
K.	w9_d312e12925
Reit=kn.,	w11_d312e12928
s.	w13_d312e12932
K.	w15_d312e12935
Jos.,	w17_d312e12938
beym	w1_d312e12944
grün.	w3_d312e12947
Stief.	w5_d312e12950
auf	w7_d312e12953
der	w9_d312e12956
Laimgr.,	w11_d312e12959
alt	w13_d312e12963
4.	w15_d312e12966
J.	w17_d312e12969
Dem	w1_d312e12974
Joh.	w3_d312e12977
Zehetner,	w5_d312e12980
Hühner=kram.,	w7_d312e12983
s.	w9_d312e12986
W.	w11_d312e12989
Barb.	w13_d312e12993
im	w15_d312e12996
Hühner=krammeris.	w1_d312e13001
H.	w3_d312e13004
zu	w5_d312e13007
Erdberg,	w7_d312e13010
alt	w9_d312e13013
22.	w11_d312e13016
J.	w13_d312e13020
Cathar.	w1_d312e13025
Melchhardtin,	w3_d312e13028
Wittwe,	w5_d312e13031
beym	w7_d312e13034
grün.	w9_d312e13037
Salz	w11_d312e13040
küf.	w1_d312e13046
auf	w3_d312e13049
der	w5_d312e13052
Wind=mühl,	w7_d312e13055
alt	w9_d312e13058
90.	w11_d312e13061
J.	w13_d312e13065
Dem	w1_d312e13070
Math.	w3_d312e13073
Zöch,	w5_d312e13076
gew.	w7_d312e13079
Landsch.	w9_d312e13082
Thor=wärtel,	w11_d312e13085
s.	w13_d312e13089
W.	w15_d312e13092
Anna,	w1_d312e13097
beym	w3_d312e13100
gold.	w5_d312e13103
Pflug	w7_d312e13106
auf	w9_d312e13109
der	w11_d312e13112
Wied.,	w13_d312e13116
59.	w15_d312e13119
J.	w17_d312e13122
Joh.	w1_d312e13127
Kinzel,	w3_d312e13130
Maurer,	w5_d312e13133
im	w7_d312e13136
Stockhammeris.	w9_d312e13139
H.	w11_d312e13142
auf	w13_d312e13146
der	w1_d312e13152
Wied.,	w3_d312e13155
alt	w5_d312e13158
70.	w7_d312e13161
J.	w9_d312e13164
Joh.	w1_d312e13169
Höger,	w3_d312e13172
Tagw.,	w5_d312e13175
alt	w7_d312e13178
59.	w9_d312e13181
J.,	w11_d312e13184
und	w13_d312e13188
s.	w15_d312e13191
W.	w17_d312e13194
Apol.,	w19_d312e13197
alt	w1_d312e13202
63.	w3_d312e13205
J.,	w5_d312e13208
beyde	w7_d312e13211
im	w9_d312e13214
Schlosseris.	w11_d312e13217
H.	w13_d312e13221
zu	w15_d312e13224
Margar.	w17_d312e13227
Summ	w1_d312e13232
12.	w3_d312e13235
Person.	w5_d312e13238
/	w7_d312e13241
darunter	w9_d312e13244
1.	w11_d312e13247
Kind.	w13_d312e13251
</list>
<head id="h2_d312e13258">
Den	w1_d312e13262
7.	w3_d312e13265
Januarii.	w5_d312e13268
Jn	w1_d312e13273
der	w3_d312e13276
Stadt.	w5_d312e13279
</head>
<list id="l4_d312e13282">
Dem	w1_d312e13286
Franz	w3_d312e13289
Feil,	w5_d312e13292
Buchdruckerey=verw,	w7_d312e13295
s.	w9_d312e13298
K.	w11_d312e13301
Clara,	w13_d312e13305
im	w1_d312e13310
Schwarzbachis.	w3_d312e13313
H.	w5_d312e13316
im	w7_d312e13319
Rosen=gäs.,	w9_d312e13322
alt	w11_d312e13325
3.	w13_d312e13329
J.	w15_d312e13332
</list>
<head id="h2_d312e13339">
Vor	w1_d312e13343
der	w3_d312e13346
Stadt.	w5_d312e13349
</head>
<list id="l4_d312e13352">
Fr.	w1_d312e13356
Maria	w3_d312e13359
Anna	w5_d312e13362
Winkin,	w7_d312e13365
Wittwe,	w9_d312e13368
in	w11_d312e13371
ihrem	w13_d312e13375
H.	w15_d312e13378
am	w17_d312e13381
Spitalberg,	w1_d312e13386
alt	w3_d312e13389
34.	w5_d312e13392
J	w7_d312e13395
Jacob	w1_d312e13400
Aichberger,	w3_d312e13403
Burger,	w5_d312e13406
in	w7_d312e13409
s.	w9_d312e13412
H.	w11_d312e13415
auf	w13_d312e13419
der	w15_d312e13422
Landstr.	w17_d312e13425
alt	w1_d312e13431
59.	w3_d312e13434
J.	w5_d312e13437
Dem	w1_d312e13442
Mich.	w3_d312e13445
Bachmayr,	w5_d312e13448
Burgerl.	w7_d312e13451
Fisch=käufl.,	w9_d312e13454
s.	w11_d312e13457
Ehe	w13_d312e13461
wirtin	w1_d312e13466
Maria	w3_d312e13469
Anna,	w5_d312e13472
im	w7_d312e13475
Wallhornis.	w9_d312e13478
H.	w11_d312e13481
in	w13_d312e13485
der	w15_d312e13488
Leopoldst.,	w1_d312e13493
alt	w3_d312e13496
28.	w5_d312e13499
J.	w7_d312e13502
Jos.	w1_d312e13508
Seefelner,	w3_d312e13511
Burgerl.	w5_d312e13514
Bad.,	w7_d312e13517
beym	w9_d312e13520
gold.	w11_d312e13523
Straus.	w13_d312e13527
im	w1_d312e13532
Liechtenth.,	w3_d312e13535
alt	w5_d312e13538
47.	w7_d312e13541
J.	w9_d312e13544
Dem	w1_d312e13549
Georg	w3_d312e13552
Geiger,	w5_d312e13555
Bäckern,	w7_d312e13558
s.	w9_d312e13561
S.	w11_d312e13564
Joh.,	w13_d312e13568
in	w15_d312e13571
s.	w17_d312e13574
H.	w19_d312e13577
zu	w1_d312e13582
Margar.,	w3_d312e13585
alt	w5_d312e13588
23.	w7_d312e13591
J.	w9_d312e13594
Ant.	w1_d312e13600
Magne,	w3_d312e13603
Lust=gart.,	w5_d312e13606
am	w7_d312e13609
Selbis.	w9_d312e13612
Grund,	w11_d312e13615
50.	w13_d312e13619
J.	w15_d312e13622
Joh.	w1_d312e13627
Reiner,	w3_d312e13630
gew.	w5_d312e13633
Mahl.,	w7_d312e13636
beym	w9_d312e13639
H.	w11_d312e13642
Geist	w13_d312e13646
zu	w15_d312e13649
Mätz	w17_d312e13652
leinstorf,	w1_d312e13657
alt	w3_d312e13660
59.	w5_d312e13663
J.	w7_d312e13666
Dem	w1_d312e13671
Joh.	w3_d312e13674
Leitner,	w5_d312e13677
Lehen=kutsch.,	w7_d312e13680
s.	w9_d312e13683
W.	w11_d312e13686
Barb.,	w13_d312e13690
bey	w15_d312e13693
dem	w1_d312e13699
rot,	w3_d312e13702
Krebs.	w5_d312e13705
in	w7_d312e13708
der	w9_d312e13711
Rossau,	w11_d312e13714
alt	w13_d312e13718
31.	w15_d312e13721
J.	w17_d312e13724
Regina	w1_d312e13729
