<doc id="wr_1758-03-22" attrs="word" year="1758" month="03" day="22" corpus="2">
<head id="h2_d228e3161">
Aleppo	w1_d228e3165
Brühl,	w7_d228e10428
wieder	w9_d228e10431
von	w11_d228e10434
hier	w13_d228e10438
ab	w15_d228e10441
gereiset,	w1_d228e10446
um	w3_d228e10449
seine	w5_d228e10452
Reise	w7_d228e10455
nach	w9_d228e10458
Petersburg	w11_d228e10461
fort	w13_d228e10465
zusetzen.	w1_d228e10471
</p>
<head id="h2_d228e10478">
Brüßel	w1_d228e10482
8.	w3_d228e10485
Martii.	w5_d228e10488
</head>
<p id="p4_d228e10491">
Vorige	w1_d228e10495
Woche	w3_d228e10498
ist	w5_d228e10501
der	w7_d228e10504
Geneval=leutenant,	w9_d228e10507
Marquis	w1_d228e10512
von	w3_d228e10515
Perreuse,	w5_d228e10518
welcher	w7_d228e10521
sich	w9_d228e10524
zu	w11_d228e10527
Har	w13_d228e10531
</p>
<p id="p10_d228e10544">
burg	w1_d228e10548
so	w3_d228e10551
gut	w5_d228e10554
vertheidiget	w7_d228e10557
hat,	w9_d228e10560
in	w11_d228e10563
dieser	w13_d228e10567
Stadt	w15_d228e10570
angelanget,	w1_d228e10575
und	w3_d228e10578
den	w5_d228e10581
eisten	w7_d228e10584
dieses	w9_d228e10587
von	w11_d228e10590
hier	w13_d228e10594
wieder	w1_d228e10599
aufgebrochen,	w3_d228e10602
um	w5_d228e10605
seine	w7_d228e10608
Reise	w9_d228e10611
nach	w11_d228e10614
Frankreich	w1_d228e10620
fortzusetzen.	w3_d228e10623
Die	w5_d228e10626
unter	w7_d228e10629
seinem	w9_d228e10632
Commando	w1_d228e10637
gestandene	w3_d228e10640
Harburgische	w5_d228e10643
Gar	w7_d228e10646
nison	w1_d228e10651
ist	w3_d228e10654
gleichfalls	w5_d228e10657
zu	w7_d228e10660
Rheinfahre	w9_d228e10663
angelan	w11_d228e10666
get,	w1_d228e10671
wodurch	w3_d228e10674
dann	w5_d228e10677
die	w7_d228e10680
in	w9_d228e10683
verschiedenen	w11_d228e10686
Zei	w13_d228e10690
tungen	w1_d228e10696
eingerückte	w3_d228e10699
Nachrichten,	w5_d228e10702
als	w7_d228e10705
ob	w9_d228e10708
die	w11_d228e10711
Franzosen	w1_d228e10716
die	w3_d228e10719
Capitulation	w5_d228e10722
des	w7_d228e10725
Schlosses	w9_d228e10728
zu	w1_d228e10733
Harburg	w3_d228e10736
zu	w5_d228e10739
halten	w7_d228e10742
nicht	w9_d228e10745
gemeinet	w11_d228e10748
wären,	w13_d228e10752
auf	w1_d228e10757
einmal	w3_d228e10760
ihre	w5_d228e10763
Glaubwürdigkeit	w7_d228e10766
verlieren.	w9_d228e10769
</p>
<head id="h2_d228e10775">
Auszug	w1_d228e10779
eines	w3_d228e10782
Schreibens	w5_d228e10785
aus	w7_d228e10788
dem	w9_d228e10791
Mecklenburgischen	w1_d228e10796
1.	w3_d228e10799
Mart.	w5_d228e10802
</head>
<p id="p4_d228e10805">
Der	w1_d228e10809
in	w3_d228e10812
Pommern	w5_d228e10815
commandirende	w7_d228e10818
Preußi	w9_d228e10821
sche	w1_d228e10826
General=feld=marschall	w3_d228e10829
von	w5_d228e10832
Lehwald	w7_d228e10835
hat	w1_d228e10840
dem	w3_d228e10843
Meklenburgischen	w5_d228e10846
so	w7_d228e10849
genannten	w9_d228e10852
en	w11_d228e10855
gern	w1_d228e10861
Ausschus	w3_d228e10864
ein	w5_d228e10867
Rescript	w7_d228e10870
insinuiren	w9_d228e10873
lassen,	w11_d228e10876
kraft	w1_d228e10881
dessen	w3_d228e10884
aufs	w5_d228e10887
neue	w7_d228e10890
folgende	w9_d228e10893
Puncte	w11_d228e10896
zu	w13_d228e10900
be	w15_d228e10903
folgen,	w1_d228e10908
aufgegeben	w3_d228e10911
werden:	w5_d228e10914
1)	w7_d228e10917
1600.	w9_d228e10920
Kü	w11_d228e10923
raßier=pferde,	w1_d228e10928
welche	w3_d228e10931
alle	w5_d228e10934
schwarz	w7_d228e10937
oder	w9_d228e10940
braun	w11_d228e10943
5.	w1_d228e10949
Fuß	w3_d228e10952
hoch,	w5_d228e10955
und	w7_d228e10958
dabey	w9_d228e10961
5)	w11_d228e10964
oder	w13_d228e10968
aufs	w15_d228e10971
höch	w17_d228e10974
sie	w1_d228e10979
6.)	w3_d228e10982
Jahr	w5_d228e10985
alt	w7_d228e10988
seyn	w9_d228e10991
mussen,	w11_d228e10994
zu	w13_d228e10998
liefern.	w15_d228e11001
Zu	w17_d228e11004
diesen	w1_d228e11009
sollen	w3_d228e11012
die	w5_d228e11015
erforderlichen	w7_d228e11018
Kuppel=knech	w9_d228e11021
te	w1_d228e11026
gestellet	w3_d228e11029
werden,	w5_d228e11032
welche	w7_d228e11035
die	w9_d228e11038
Pferde	w11_d228e11041
nach	w13_d228e11045
Berlin	w1_d228e11051
oder	w3_d228e11054
Frankfort	w5_d228e11057
an	w7_d228e11060
der	w9_d228e11063
Oder	w11_d228e11066
bringen	w13_d228e11070
sollen,	w1_d228e11075
von	w3_d228e11078
denen	w5_d228e11081
man	w7_d228e11084
aber	w9_d228e11087
verspricht,	w11_d228e11090
daß	w13_d228e11094
sie	w1_d228e11099
von	w3_d228e11102
dannen	w5_d228e11105
wieder	w7_d228e11108
zurück	w9_d228e11111
gelassen	w11_d228e11114
wer	w13_d228e11118
den	w1_d228e11123
sollen.	w3_d228e11126
2)	w5_d228e11129
Werden	w7_d228e11132
begehrt	w9_d228e11135
1500.	w11_d228e11138
Pro	w13_d228e11142
viant=pferde.	w1_d228e11148
3)	w3_d228e11151
400.	w5_d228e11154
Mann	w7_d228e11157
Proviant	w9_d228e11160
knechte,	w1_d228e11165
welche	w3_d228e11168
sämmtliche	w5_d228e11171
Pferde	w7_d228e11174
und	w9_d228e11177
Knech	w11_d228e11180
te,	w1_d228e11185
den	w3_d228e11188
22.	w5_d228e11191
Febr.	w7_d228e11194
um	w9_d228e11197
8.	w11_d228e11200
Uhr	w13_d228e11204
Morgens	w15_d228e11207
auf	w17_d228e11210
dem	w1_d228e11215
Markt	w3_d228e11218
zu	w5_d228e11221
Rostock	w7_d228e11224
haben	w9_d228e11227
seyn	w11_d228e11230
müssen;	w13_d228e11234
und	w1_d228e11240
endlich	w3_d228e11243
4)	w5_d228e11246
3000.	w7_d228e11249
Mann	w9_d228e11252
Recruten,	w11_d228e11255
zu	w13_d228e11259
welchen	w1_d228e11264
zwar	w3_d228e11267
der	w5_d228e11270
Stellungs=tag	w7_d228e11273
und	w9_d228e11276
das	w11_d228e11279
Maas	w1_d228e11284
noch	w3_d228e11287
nicht	w5_d228e11290
bestimmt	w7_d228e11293
sind,	w9_d228e11296
gleichwol	w11_d228e11299
aber	w1_d228e11304
geäussert	w3_d228e11307
worden,	w5_d228e11310
daß	w7_d228e11313
es	w9_d228e11316
die	w11_d228e11319
längste	w13_d228e11323
und	w1_d228e11329
stärkste	w3_d228e11332
Leute	w5_d228e11335
seyn	w7_d228e11338
müsten.	w9_d228e11341
Von	w11_d228e11344
diesen	w13_d228e11348
3000.	w1_d228e11353
Mann	w3_d228e11356
fallen	w5_d228e11359
auf	w7_d228e11362
die	w9_d228e11365
Herzogliche	w11_d228e11368
Do	w13_d228e11372
mainen=cammer=güter	w1_d228e11377
1000;	w3_d228e11380
auf	w5_d228e11383
die	w7_d228e11386
Rit	w9_d228e11389
terschaft	w1_d228e11394
1000;	w3_d228e11397
und	w5_d228e11400
auf	w7_d228e11403
die	w9_d228e11406
Städte	w11_d228e11409
eben	w13_d228e11413
so	w1_d228e11419
viel,	w3_d228e11422
wozu	w5_d228e11425
unter	w7_d228e11428
andern	w9_d228e11431
Rostock	w11_d228e11434
allein	w13_d228e11438
250.	w1_d228e11443
Mann	w3_d228e11446
gibt.	w5_d228e11449
Sonst	w7_d228e11452
haben	w9_d228e11455
noch	w11_d228e11458
den	w13_d228e11462
18.	w1_d228e11467
Febr.	w3_d228e11470
von	w5_d228e11473
jeglicher	w7_d228e11476
Hufe	w9_d228e11479
Landes	w11_d228e11482
2.	w13_d228e11486
neue	w15_d228e11489
Korn=säcke	w1_d228e11494
nach	w3_d228e11497
Demmin	w5_d228e11500
müssen	w7_d228e11503
geliefert	w9_d228e11506
wer	w11_d228e11509
den,	w1_d228e11515
welche	w3_d228e11518
von	w5_d228e11521
dem	w7_d228e11524
ganzen	w9_d228e11527
Lande	w11_d228e11530
weit	w13_d228e11534
über	w15_d228e11537
100,000.	w1_d228e11542
Säcke	w3_d228e11545
ausmacht.	w5_d228e11548
Mit	w7_d228e11551
Abtra	w9_d228e11554
gung	w1_d228e11559
der	w3_d228e11562
Contribution	w5_d228e11565
möchte	w7_d228e11568
es	w9_d228e11571
in	w11_d228e11574
denen	w13_d228e11578
kleinen	w1_d228e11583
Land=städtgen	w3_d228e11586
vielleicht	w5_d228e11589
noch	w7_d228e11592
viele	w9_d228e11595
Mü	w11_d228e11598
he	w1_d228e11604
setzen,	w3_d228e11607
weil	w5_d228e11610
man	w7_d228e11613
nicht	w9_d228e11616
die	w11_d228e11619
Möglichkeit	w13_d228e11623
ab	w15_d228e11626
sihet,	w1_d228e11631
wie	w3_d228e11634
viele	w5_d228e11637
unter	w7_d228e11640
ihnen	w9_d228e11643
ihren	w11_d228e11646
Theil	w13_d228e11650
ab	w15_d228e11653
</p>
<p id="p6_d228e11656">
zukragen,	w1_d228e11660
sich	w3_d228e11663
im	w5_d228e11666
Stande	w7_d228e11669
sehen	w9_d228e11672
solten.	w11_d228e11675
Jn	w13_d228e11679
zwwisehen	w1_d228e11684
thiit	w3_d228e11687
man,	w5_d228e11690
was	w7_d228e11693
mun	w9_d228e11696
kan,	w11_d228e11699
unb	w13_d228e11703
eine	w15_d228e11706
grosse	w1_d228e11711
Anzahl	w3_d228e11714
Leute	w5_d228e11717
verkauffen	w7_d228e11720
ihre	w9_d228e11723
besten	w11_d228e11726
Hab	w13_d228e11730
seligkeiten	w1_d228e11736
für	w3_d228e11739
weniger	w5_d228e11742
als	w7_d228e11745
halben	w9_d228e11748
Preis,	w11_d228e11751
um	w13_d228e11755
nur	w1_d228e11760
nicht	w3_d228e11763
Gelegenheit	w5_d228e11766
zur	w7_d228e11769
Execution	w9_d228e11772
zu	w11_d228e11775
ge	w13_d228e11779
ben.	w1_d228e11784
Die	w3_d228e11787
Ritterschaft	w5_d228e11790
und	w7_d228e11793
Landschaft	w9_d228e11796
hat,	w11_d228e11799
ungeachtet	w1_d228e11804
des	w3_d228e11807
von	w5_d228e11810
Sr.	w7_d228e11813
Herzogl.	w9_d228e11816
Durchl.	w11_d228e11819
aus	w1_d228e11825
Lübeck	w3_d228e11828
erhaltenen	w5_d228e11831
scharfen	w7_d228e11834
Rescripts	w9_d228e11837
eine	w11_d228e11840
Deputation	w1_d228e11845
zu	w3_d228e11848
Sr.	w5_d228e11851
Preußischen	w7_d228e11854
Majest.	w9_d228e11857
nach	w11_d228e11860
Breslau	w1_d228e11865
abgeordnet,	w3_d228e11868
deren	w5_d228e11871
Wiederkunft	w7_d228e11874
man	w9_d228e11877
begierig	w1_d228e11882
erwartet.	w3_d228e11885
Es	w5_d228e11888
marschieren	w7_d228e11891
noch	w9_d228e11894
täg	w11_d228e11897
lich	w1_d228e11903
Trupen	w3_d228e11906
durch	w5_d228e11909
das	w7_d228e11912
Land,	w9_d228e11915
die	w11_d228e11918
aus	w13_d228e11922
Pom	w15_d228e11925
mern	w1_d228e11930
kommen,	w3_d228e11933
und	w5_d228e11936
gegen	w7_d228e11939
die	w9_d228e11942
Elbe	w11_d228e11945
rücken.	w13_d228e11949
</p>
<head id="h2_d228e11955">
Kurz=gefaßte	w1_d228e11959
Nachrichten.	w3_d228e11962
Es	w1_d228e11967
geben	w3_d228e11970
die	w5_d228e11973
Briefe.	w7_d228e11976
</head>
<p id="p4_d228e11979">
Von	w1_d228e11983
Danzig:	w3_d228e11986
daß	w5_d228e11989
ein	w7_d228e11992
Corps	w9_d228e11995
Rußischer	w11_d228e11998
Trupen	w1_d228e12003
den	w3_d228e12006
Weg	w5_d228e12009
durch	w7_d228e12012
Pohlen	w9_d228e12015
nehme,	w11_d228e12018
um	w13_d228e12022
nach	w1_d228e12027
Frankfort	w3_d228e12030
an	w5_d228e12033
der	w7_d228e12036
Oder	w9_d228e12039
zu	w11_d228e12042
marschiren;	w13_d228e12046
da	w1_d228e12052
unterdessen	w3_d228e12055
ein	w5_d228e12058
anderes	w7_d228e12061
sich	w9_d228e12064
nach	w11_d228e12067
Pommern	w13_d228e12071
wenden	w1_d228e12076
werde.	w3_d228e12079
</p>
<p id="p6_d228e12082">
Von	w1_d228e12086
Zerbst:	w3_d228e12089
daß	w5_d228e12092
alda	w7_d228e12095
2.	w9_d228e12098
Preußische	w11_d228e12101
Ba	w13_d228e12105
tallions	w1_d228e12110
vor	w3_d228e12113
dem	w5_d228e12116
Fürstl.	w7_d228e12119
Schloß	w9_d228e12122
erschienen	w11_d228e12125
seyen,	w1_d228e12130
und	w3_d228e12133
selbes	w5_d228e12136
mit	w7_d228e12139
aller	w9_d228e12142
Heftigkeit	w11_d228e12145
angegrif	w13_d228e12149
fen	w1_d228e12155
haben;	w3_d228e12158
da	w5_d228e12161
nun	w7_d228e12164
der	w9_d228e12167
eben	w11_d228e12170
in	w13_d228e12174
diesem	w15_d228e12177
Schloß	w17_d228e12180
(seit	w1_d228e12185
deme	w3_d228e12188
die	w5_d228e12191
Preussen	w7_d228e12194
ihn	w9_d228e12197
aus	w11_d228e12200
seinen	w13_d228e12204
Quar	w15_d228e12207
tier	w1_d228e12212
schon	w3_d228e12215
berichteter=massen	w5_d228e12218
aufzuheben	w7_d228e12221
ge	w9_d228e12224
sucht)	w1_d228e12229
sich	w3_d228e12232
befundene	w5_d228e12235
Marquis	w7_d228e12238
de	w9_d228e12241
Fraygue	w11_d228e12244
sich	w1_d228e12250
nichtes	w3_d228e12253
anderes	w5_d228e12256
vorgestellet,	w7_d228e12259
als	w9_d228e12262
daß	w11_d228e12265
die	w13_d228e12269
ser	w1_d228e12274
Angrif	w3_d228e12277
des	w5_d228e12280
Fürstl.	w7_d228e12283
Residenz=schlosses	w9_d228e12286
we	w11_d228e12289
gen	w1_d228e12294
seiner	w3_d228e12297
geschehe,	w5_d228e12300
habe	w7_d228e12303
er,	w9_d228e12306
um	w11_d228e12309
das	w13_d228e12313
Schloß	w15_d228e12316
von	w1_d228e12321
der	w3_d228e12324
angedroheten	w5_d228e12327
Feuers=gefahr	w7_d228e12330
zu	w9_d228e12333
be	w11_d228e12336
freyen,	w1_d228e12342
sich	w3_d228e12345
selbst	w5_d228e12348
aus	w7_d228e12351
solchem	w9_d228e12354
heraus,	w11_d228e12357
und	w13_d228e12361
in	w15_d228e12364
die	w1_d228e12369
Preußische	w3_d228e12372
Hände	w5_d228e12375
begeben,	w7_d228e12378
worauf	w9_d228e12381
er	w11_d228e12384
von	w1_d228e12389
ihnen	w3_d228e12392
sogleich	w5_d228e12395
gefangen	w7_d228e12398
genommen,	w9_d228e12401
die	w11_d228e12404
Feindseeligkeiten	w1_d228e12409
wider	w3_d228e12412
das	w5_d228e12415
Schloß	w7_d228e12418
aber	w9_d228e12421
ein	w11_d228e12424
gestellet	w1_d228e12430
worden	w3_d228e12433
seyen.	w5_d228e12436
</p>
<p id="p8_d228e12439">
Von	w1_d228e12443
Minden:	w3_d228e12446
daß	w5_d228e12449
der	w7_d228e12452
Prinz	w9_d228e12455
Ferdinand	w11_d228e12458
von	w1_d228e12463
Braunschweig	w3_d228e12466
mit	w5_d228e12469
seiner	w7_d228e12472
Armee	w9_d228e12475
alda	w11_d228e12478
hin	w1_d228e12483
in	w3_d228e12486
vollem	w5_d228e12489
Anzug	w7_d228e12492
seye,	w9_d228e12495
worgegen	w11_d228e12498
es	w13_d228e12502
das	w15_d228e12505
Ansehen	w1_d228e12511
habe,	w3_d228e12514
daß	w5_d228e12517
man	w7_d228e12520
Französischer	w9_d228e12523
Seits	w11_d228e12526
sich	w1_d228e12531
aldaselbst	w3_d228e12534
zu	w5_d228e12537
vertheidigen	w7_d228e12540
gesinnet	w9_d228e12543
wäre.	w11_d228e12546
</p>
<p id="p10_d228e12549">
Von	w1_d228e12553
Berlin:	w3_d228e12556
daß	w5_d228e12559
nicht	w7_d228e12562
nur	w9_d228e12565
der	w11_d228e12568
Königl.	w13_d228e12572
Preußische	w1_d228e12577
Staats	w3_d228e12580
und	w5_d228e12583
Kriegs=minister	w7_d228e12586
von	w9_d228e12589
Finkenstein,	w1_d228e12594
sondern	w3_d228e12597
auch	w5_d228e12600
der	w7_d228e12603
Kriegsgefan	w9_d228e12606
gene	w1_d228e12612
Kaiserl.	w3_d228e12615
Herr	w5_d228e12618
General=major	w7_d228e12621
von	w9_d228e12624
Beck,	w11_d228e12627
aus	w1_d228e12632
Schlesien	w3_d228e12635
alda	w5_d228e12638
angelanget	w7_d228e12641
seye.	w9_d228e12644
</p>
<p id="p16_d228e12658">
Von	w1_d228e12662
Kaminieck:	w3_d228e12665
daß	w5_d228e12668
der	w7_d228e12671
Türkische	w9_d228e12674
Ge	w11_d228e12677
sandte,	w1_d228e12682
welcher	w3_d228e12685
die	w5_d228e12688
Nachricht	w7_d228e12691
der	w9_d228e12694
von	w11_d228e12697
dem	w13_d228e12701
neuen	w1_d228e12706
Groß=sultan	w3_d228e12709
beschehenen	w5_d228e12712
Thronbestei	w7_d228e12715
gung	w1_d228e12721
an	w3_d228e12724
den	w5_d228e12727
Königl.	w7_d228e12730
Pohlnischen	w9_d228e12733
Hof	w11_d228e12736
zu	w13_d228e12740
über	w15_d228e12743
bringen,	w1_d228e12748
ernannt	w3_d228e12751
ist,	w5_d228e12754
den	w7_d228e12757
20.	w9_d228e12760
erst=verstriche	w11_d228e12763
nen	w1_d228e12768
Monats	w3_d228e12771
Februarii	w5_d228e12774
allwürklich	w7_d228e12777
schon	w9_d228e12780
von	w1_d228e12785
Zwanieck	w3_d228e12788
aufgebrochen	w5_d228e12791
seye,	w7_d228e12794
mithin	w9_d228e12797
dem	w11_d228e12800
nächstens	w1_d228e12806
in	w3_d228e12809
Warschau	w5_d228e12812
eintreffen	w7_d228e12815
werde.	w9_d228e12818
</p>
<p id="p18_d228e12821">
Von	w1_d228e12825
Haldeckerig:	w3_d228e12828
daß,	w5_d228e12831
zumalen	w7_d228e12834
seit	w9_d228e12837
den	w1_d228e12842
9.	w3_d228e12845
Febr.	w5_d228e12848
allda	w7_d228e12851
bald	w9_d228e12854
Französische	w11_d228e12857
bald	w13_d228e12861
Preußische	w1_d228e12866
Ditaschementer	w3_d228e12869
durch	w5_d228e12872
marschir	w7_d228e12875
ten,	w1_d228e12881
es	w3_d228e12884
sich	w5_d228e12887
gefügt	w7_d228e12890
hätte,	w9_d228e12893
daß,	w11_d228e12896
als	w13_d228e12900
den	w15_d228e12903
16.	w17_d228e12906
dito	w1_d228e12911
der	w3_d228e12914
Französische	w5_d228e12917
Haupt=mann	w7_d228e12920
von	w9_d228e12923
La	w11_d228e12926
lieur	w1_d228e12931
mit	w3_d228e12934
einem	w5_d228e12937
kleinen	w7_d228e12940
Detaschement	w9_d228e12943
von	w11_d228e12946
der	w1_d228e12951
Seubisischen	w3_d228e12954
Armee	w5_d228e12957
allda	w7_d228e12960
eingetroffen,	w9_d228e12963
nd	w1_d228e12969
für	w3_d228e12972
1000.	w5_d228e12975
Mann	w7_d228e12978
die	w9_d228e12981
Quartier	w11_d228e12984
ange	w13_d228e12988
tagt,	w1_d228e12993
bald	w3_d228e12996
darauf	w5_d228e12999
ein	w7_d228e13002
Preußisches	w9_d228e13005
viel	w11_d228e13008
stär	w13_d228e13012
teres	w1_d228e13017
Detaschement	w3_d228e13020
ebenfalls	w5_d228e13023
daselbst,	w7_d228e13026
und	w9_d228e13029
zwar	w1_d228e13034
so	w3_d228e13037
unversehens	w5_d228e13040
sich	w7_d228e13043
eingefunden	w9_d228e13046
hätte,	w11_d228e13049
daß	w1_d228e13055
der	w3_d228e13058
Herr	w5_d228e13061
Lalieux	w7_d228e13064
kaum	w9_d228e13067
Zeit	w11_d228e13070
gehabt,	w13_d228e13074
in	w15_d228e13077
den	w1_d228e13082
alldasigen	w3_d228e13085
mit	w5_d228e13088
einer	w7_d228e13091
Mauer	w9_d228e13094
umgebenen	w11_d228e13097
Freythof	w1_d228e13102
sich	w3_d228e13105
zu	w5_d228e13108
werfen,	w7_d228e13111
alwo	w9_d228e13114
er	w11_d228e13117
aber	w13_d228e13121
so	w15_d228e13124
gleich	w1_d228e13129
von	w3_d228e13132
denen	w5_d228e13135
Preussen	w7_d228e13138
mit	w9_d228e13141
aller	w11_d228e13144
Heftig	w13_d228e13148
keit	w1_d228e13154
angegriffen	w3_d228e13157
worden.	w5_d228e13160
Das	w7_d228e13163
Feuer	w9_d228e13166
seye	w11_d228e13169
beyderseits	w1_d228e13174
über	w3_d228e13177
eine	w5_d228e13180
viertel	w7_d228e13183
Stund	w9_d228e13186
lang	w11_d228e13189
sehr	w1_d228e13194
lebhaft	w3_d228e13197
gewesen,	w5_d228e13200
und	w7_d228e13203
der	w9_d228e13206
Preußische	w11_d228e13209
Officier	w1_d228e13214
liesse	w3_d228e13217
sohin	w5_d228e13220
dem	w7_d228e13223
Französischen	w9_d228e13226
den	w11_d228e13229
Antrag	w1_d228e13235
machen,	w3_d228e13238
daß	w5_d228e13241
er	w7_d228e13244
sich	w9_d228e13247
ergeben	w11_d228e13250
solte,	w13_d228e13254
bekame	w1_d228e13259
aber	w3_d228e13262
zur	w5_d228e13265
Antwort,	w7_d228e13268
daß	w9_d228e13271
man	w11_d228e13274
sich	w13_d228e13278
so	w15_d228e13281
lang	w1_d228e13286
zu	w3_d228e13289
wehren	w5_d228e13292
gesinnet	w7_d228e13295
wäre,	w9_d228e13298
bis	w11_d228e13301
die	w13_d228e13305
1	w15_d228e13308
00.	w17_d228e13311
Mann	w1_d228e13316
Franzosen,	w3_d228e13319
für	w5_d228e13322
welche	w7_d228e13325
Hr.	w9_d228e13328
Lalieux	w11_d228e13331
bereits	w1_d228e13337
die	w3_d228e13340
Quartiere	w5_d228e13343
angesagt,	w7_d228e13346
ankommen	w9_d228e13349
wurden.	w1_d228e13354
Hierauf	w3_d228e13357
nun	w5_d228e13360
seye	w7_d228e13363
das	w9_d228e13366
Feuer	w11_d228e13369
ver	w13_d228e13373
doppelt	w1_d228e13378
worden;	w3_d228e13381
die	w5_d228e13384
Franzosen	w7_d228e13387
hätten	w9_d228e13390
aber	w11_d228e13393
sohin,	w1_d228e13398
da	w3_d228e13401
sie	w5_d228e13404
eben	w7_d228e13407
im	w9_d228e13410
Begrif	w11_d228e13413
waren,	w13_d228e13417
Beding	w15_d228e13420
nüsse	w1_d228e13426
wegen	w3_d228e13429
ihrer	w5_d228e13432
Ergebung	w7_d228e13435
zu	w9_d228e13438
verabreden,	w11_d228e13441
seit=wärts	w1_d228e13446
ein	w3_d228e13449
an	w5_d228e13452
den	w7_d228e13455
Freyt=hof	w9_d228e13458
anstossendes	w11_d228e13461
Haus	w1_d228e13466
entdecket,	w3_d228e13469
durch	w5_d228e13472
welches	w7_d228e13475
der	w9_d228e13478
Herr	w11_d228e13481
La	w13_d228e13485
lieux	w1_d228e13490
seinen	w3_d228e13493
Leutenant	w5_d228e13496
Herrn	w7_d228e13499
Ryß	w9_d228e13502
mit	w11_d228e13505
der	w13_d228e13509
Helfte	w1_d228e13515
seines	w3_d228e13518
Detaschements	w5_d228e13521
heimlich	w7_d228e13524
hinaus	w9_d228e13527
schickte,	w1_d228e13532
welche	w3_d228e13535
Mannschaft	w5_d228e13538
nach	w7_d228e13541
verschiedenen	w9_d228e13544
durch	w1_d228e13549
dasige	w3_d228e13552
Gärten	w5_d228e13555
gemachten	w7_d228e13558
Umwee	w9_d228e13561
gen,	w1_d228e13566
endlich	w3_d228e13569
so	w5_d228e13572
glücklich	w7_d228e13575
ware,	w9_d228e13578
denen	w11_d228e13581
Preus	w13_d228e13585
sen	w1_d228e13591
ganz	w3_d228e13594
plötzlich	w5_d228e13597
in	w7_d228e13600
den	w9_d228e13603
Rucken	w11_d228e13606
zu	w13_d228e13610
fallen,	w15_d228e13613
wobey	w1_d228e13618
zu	w3_d228e13621
gleicher	w5_d228e13624
Zeit	w7_d228e13627
der	w9_d228e13630
Herr	w11_d228e13633
Lalieux	w13_d228e13637
selbst	w1_d228e13642
mit	w3_d228e13645
seinen	w5_d228e13648
übrigen	w7_d228e13651
Soldaten	w9_d228e13654
aus	w11_d228e13657
dem	w13_d228e13661
Freythof	w1_d228e13666
vorwärts	w3_d228e13669
gegen	w5_d228e13672
die	w7_d228e13675
Preussen	w9_d228e13678
aus	w11_d228e13681
fiele,	w1_d228e13687
da	w3_d228e13690
nun	w5_d228e13693
hierdurch	w7_d228e13696
diese	w9_d228e13699
die	w11_d228e13702
Meinung	w13_d228e13706
geschöpfet,	w1_d228e13711
daß	w3_d228e13714
die	w5_d228e13717
1000.	w7_d228e13720
Mann	w9_d228e13723
Franzosen,	w11_d228e13726
für	w1_d228e13731
welche	w3_d228e13734
das	w5_d228e13737
Quartier	w7_d228e13740
begehret	w9_d228e13743
worden,	w11_d228e13746
</p>
<p id="p20_d228e13749">
allschon	w1_d228e13753
eingetroffen	w3_d228e13756
wären,	w5_d228e13759
hätten	w7_d228e13762
sie	w9_d228e13765
ganz	w11_d228e13768
ellfertig	w1_d228e13773
und	w3_d228e13776
zwar	w5_d228e13779
mit	w7_d228e13782
Zurucklassung	w9_d228e13785
30.	w11_d228e13788
Mann	w1_d228e13793
Todten,	w3_d228e13796
und	w5_d228e13799
noch	w7_d228e13802
mehreren	w9_d228e13805
Bleßirten	w11_d228e13808
die	w1_d228e13814
Flucht	w3_d228e13817
ergriffen;	w5_d228e13820
dargegen	w7_d228e13823
der	w9_d228e13826
Herr	w11_d228e13829
La	w13_d228e13833
lieux	w1_d228e13838
sohin	w3_d228e13841
mit	w5_d228e13844
seinem	w7_d228e13847
Detaschement	w9_d228e13850
sieg	w11_d228e13853
reich	w1_d228e13858
nach	w3_d228e13861
dem	w5_d228e13864
Schloß	w7_d228e13867
Owitzy	w9_d228e13870
sich	w11_d228e13873
zuruck	w13_d228e13877
zogen	w1_d228e13882
habe.	w3_d228e13885
</p>
<head id="h2_d228e13891">
Wien,	w1_d228e13895
den	w3_d228e13898
22.	w5_d228e13901
Martii.	w7_d228e13904
1758.	w9_d228e13907
</head>
<p id="p4_d228e13910">
Samstags	w1_d228e13914
den	w3_d228e13917
18.	w5_d228e13920
dieses	w7_d228e13923
seynd	w9_d228e13926
2000.	w11_d228e13929
re	w13_d228e13933
gulirte	w1_d228e13938
Croaten	w3_d228e13941
hier	w5_d228e13944
vorbey	w7_d228e13947
über	w9_d228e13950
die	w11_d228e13953
gros	w13_d228e13957
se	w1_d228e13962
Donau=brücken	w3_d228e13965
nach	w5_d228e13968
Böheim	w7_d228e13971
zu	w9_d228e13974
der	w11_d228e13977
K.	w13_d228e13981
Königl.	w1_d228e13987
Armee	w3_d228e13990
abmarschieret,	w5_d228e13993
wohin	w7_d228e13996
auch	w9_d228e13999
Tages	w1_d228e14004
zuvor	w3_d228e14007
einige	w5_d228e14010
100.	w7_d228e14013
aus	w9_d228e14016
Steyermark	w11_d228e14019
hieher	w1_d228e14024
gebrachte	w3_d228e14027
Recruten	w5_d228e14030
abgeschicket	w7_d228e14033
wer	w9_d228e14036
den	w1_d228e14041
</p>
<p id="p6_d228e14044">
Sonntags	w1_d228e14048
den	w3_d228e14051
19.	w5_d228e14054
Vormittags	w7_d228e14057
haben	w9_d228e14060
beyde	w1_d228e14065
Kaiserl	w3_d228e14068
Majestäten	w5_d228e14071
samt	w7_d228e14074
