<doc id="edoc_wd_1772-05-20" attrs="word" year="1772" month="05" day="20" corpus="1">
<head id="hl1">
Stockholm	w29
<g/>
,
worbey	w11475
ein	w11476
Gewerb	w11477
oder	w11478
Profeßion	w11479
radiciret	w11480
werden	w11481
kann	w11482
<g/>
,
öffentlich	w11484
auszufeilen	w11485
<g/>
,
und	w11487
an	w11488
den	w11489
Meistbietenden	w11490
gegen	w11491
baare	w11492
Bezahlung	w11493
zu	w11494
verkaufen	w11495
<g/>
:
weswegen	w11497
zur	w11498
dießfälligen	w11499
Licitationstagsatzung	w11500
der	w11501
1	w11502
<g/>
.
Junii	w11504
bestimmet	w11505
worden	w11506
ist	w11507
<g/>
.
Wer	w11509
nun	w11510
Belieben	w11511
trägt	w11512
so=thane	w11513
<g/>
=
Behausung	w11515
sammt	w11516
Grundstücken	w11517
<g/>
,
Mobilien	w11519
ꝛc	w11520
<g/>
.
käuflich	w11522
an	w11523
sich	w11524
zu	w11525
bringen	w11526
<g/>
,
hat	w11528
sich	w11529
bey	w11530
besagter	w11531
Herrschaftskanzley	w11532
im	w11533
Markt	w11534
Stockerau	w11535
an	w11536
obbe=stimmten	w11537
<g/>
=
Tag	w11539
frühe	w11540
um	w11541
8	w11542
<g/>
.
Uhr	w11544
anzumelden	w11545
<g/>
.
</p>
<p id="p91">
Von	w11547
des	w11548
nunmehrigen	w11549
neustädterischen	w11550
Cister=cienserstifts	w11551
<g/>
=
<g/>
=
Grundbuch	w11554
über	w11555
Klosterneuburg	w11556
we=gen	w11557
<g/>
=
<g/>
;
Wird	w11560
hiemit	w11561
kund	w11562
gemacht	w11563
<g/>
,
es	w11565
habe	w11566
bey	w11567
die=sem	w11568
<g/>
=
der	w11570
Erasmus	w11571
Glickh	w11572
von	w11573
Klosterneuburg	w11574
ange=zeiget	w11575
<g/>
=
<g/>
,
wie	w11578
daß	w11579
er	w11580
bereits	w11581
schon	w11582
vor	w11583
vielen	w11584
Jahren	w11585
ein	w11586
dem	w11587
Joseph	w11588
Münzer	w11589
Burgern	w11590
daselbst	w11591
angehö=rig	w11592
<g/>
=
gewestes	w11594
Viertl	w11595
Weingarten	w11596
am	w11597
Gasteig	w11598
oder	w11599
Gugler	w11600
allda	w11601
ausserhalb	w11602
des	w11603
Zieglstadl	w11604
käuflich	w11605
an	w11606
sich	w11607
gebracht	w11608
<g/>
,
und	w11610
nachhin	w11611
bey	w11612
gedacht	w11613
diesseitigen	w11614
Grundbuch	w11615
die	w11616
Gwöhranschreibung	w11617
angesucht	w11618
hät=te	w11619
<g/>
=
<g/>
;
Allein	w11622
als	w11623
ihme	w11624
bedeutet	w11625
wurde	w11626
<g/>
,
daß	w11628
dieses	w11629
Grundstuck	w11630
nebst	w11631
anderen	w11632
Joseph	w11633
münzerischen	w11634
Rea=litäten	w11635
<g/>
=
allschon	w11637
Anno	w11638
1734	w11639
<g/>
.
dem	w11641
Herrn	w11642
Karl	w11643
Fooß	w11644
um	w11645
420	w11646
<g/>
.
fl	w11648
<g/>
.
Kapital	w11650
verpfändet	w11651
worden	w11652
<g/>
,
und	w11654
er	w11655
den	w11656
diesfällig	w11657
extradirten	w11658
Originalsatzbrief	w11659
ungeacht	w11660
all	w11661
angewendeten	w11662
fleißigen	w11663
Nachforschens	w11664
ad	w11665
cassan-dum	w11666
<g/>
-
beyzubringen	w11668
nicht	w11669
vermögend	w11670
seye	w11671
<g/>
,
sondern	w11673
nur	w11674
eine	w11675
Erklärung	w11676
von	w11677
der	w11678
Frauen	w11679
Francisea	w11680
Bec=cellerinn	w11681
<g/>
=
den	w11683
22	w11684
<g/>
.
Decemb	w11686
<g/>
.
1764	w11688
<g/>
.
die	w11690
sich	w11691
als	w11692
Satz=inhaberinn	w11693
<g/>
=
angegeben	w11695
<g/>
,
und	w11697
den	w11698
Kaufschilling	w11699
em=pfangen	w11700
<g/>
=
hätte	w11702
<g/>
,
eingelegt	w11704
<g/>
!
Vermög	w11706
welcher	w11707
derselbe	w11708
ohne	w11709
Bedenken	w11710
<g/>
,
an	w11712
die	w11713
Gwöhr	w11714
gebracht	w11715
werden	w11716
mö=ge	w11717
<g/>
=
<g/>
,
und	w11720
derowegen	w11721
das	w11722
Grundbuch	w11723
schadloß	w11724
gehal=ten	w11725
<g/>
=
werden	w11727
wolle	w11728
<g/>
,
mithin	w11730
um	w11731
Ausfertigung	w11732
eines	w11733
diesfalls	w11734
erforderlichen	w11735
<g/>
.
Amortisationsedikt	w11737
gebet=ten	w11738
<g/>
=
hat	w11740
<g/>
;
wann	w11742
nun	w11743
in	w11744
dies	w11745
Gesuch	w11746
sonder	w11747
Anstand	w11748
gewilliget	w11749
worden	w11750
<g/>
,
als	w11752
würdet	w11753
der	w11754
oder	w11755
diejenige	w11756
welche	w11757
obbemeldten	w11758
untern	w11759
16	w11760
August	w11761
<g/>
.
1734	w11763
ausge=fertigten	w11764
<g/>
=
Satzbrief	w11766
in	w11767
Handen	w11768
haben	w11769
<g/>
,
solchen	w11771
also=gewiß	w11772
<g/>
=
anhero	w11774
zum	w11775
Grundbuch	w11776
ad	w11777
cassandum	w11778
einle=gen	w11779
<g/>
=
<g/>
,
wie	w11782
im	w11783
widrigen	w11784
nach	w11785
Verfließung	w11786
eines	w11787
Jahrs	w11788
<g/>
,
6	w11790
<g/>
.
Wochen	w11792
<g/>
,
und	w11794
3	w11795
<g/>
.
Täg	w11797
eo	w11798
ipso	w11799
amortisiert	w11800
<g/>
,
annu=liert	w11802
<g/>
=
<g/>
,
und	w11805
kaßieret	w11806
seyn	w11807
solle	w11808
<g/>
.
Wien	w11810
den	w11811
8ten	w11812
April	w11813
1772	w11814
<g/>
.
</p>
<p id="p92">
Wir	w11816
Bürgermeister	w11817
<g/>
,
und	w11819
Rath	w11820
der	w11821
Stadt	w11822
Wien	w11823
<g/>
,
geben	w11825
hiemit	w11826
der	w11827
Anna	w11828
Maria	w11829
<g/>
,
und	w11831
Theresia	w11832
Gold=bergerin	w11833
<g/>
=
Geschwistrigten	w11835
<g/>
,
allenfalls	w11837
ihren	w11838
Erben	w11839
<g/>
,
und	w11841
all	w11842
jenen	w11843
<g/>
,
welchen	w11845
daran	w11846
gelegen	w11847
ist	w11848
<g/>
,
zu	w11850
verneh=men	w11851
<g/>
=
<g/>
;
Es	w11854
haben	w11855
uns	w11856
die	w11857
Hrn	w11858
<g/>
.
N	w11860
<g/>
.
N	w11862
<g/>
.
Director	w11864
<g/>
,
Bür=germeister	w11866
<g/>
=
<g/>
,
und	w11869
Rath	w11870
der	w11871
kön	w11872
<g/>
.
preußischen	w11874
Stadt	w11875
Großglogau	w11876
<g/>
,
mittels	w11878
eines	w11879
Schreiben	w11880
dd	w11881
<g/>
.
23	w11883
<g/>
.
März	w11885
<g/>
,
und	w11887
præspraes	w11888
<g/>
.
11	w11890
<g/>
.
dies	w11892
Monats	w11893
April	w11894
ersuchet	w11895
<g/>
,
öffent=lich	w11897
<g/>
=
kund	w11899
zu	w11900
machen	w11901
<g/>
;
wasmassen	w11903
der	w11904
Maurer	w11905
zu	w11906
</p>
<p id="p93">
Passau	w11909
<g/>
,
Johann	w11911
Goldberger	w11912
untertm	w11913
19	w11914
<g/>
.
März	w11916
schriftlich	w11917
angezeiget	w11918
hätte	w11919
<g/>
,
daß	w11921
sie	w11922
beede	w11923
Schwestern	w11924
Anna	w11925
Maria	w11926
<g/>
,
und	w11928
Theresia	w11929
Goldbergerin	w11930
vom	w11931
ge=dachten	w11932
<g/>
=
ihren	w11934
Geburtsort	w11935
Passau	w11936
in	w11937
Niederbayern	w11938
<g/>
,
bereits	w11940
vor	w11941
etlich	w11942
und	w11943
30	w11944
Jahren	w11945
weg	w11946
<g/>
,
und	w11948
nach	w11949
Wien	w11950
gegangen	w11951
wären	w11952
<g/>
,
er	w11954
von	w11955
solcher	w11956
Zeit	w11957
an	w11958
<g/>
,
keine	w11960
weitere	w11961
Nachricht	w11962
von	w11963
ihnen	w11964
erhalten	w11965
hätte	w11966
<g/>
,
weßwe=gen	w11968
<g/>
=
er	w11970
gebetten	w11971
haben	w11972
wollte	w11973
<g/>
,
selbige	w11975
in	w11976
Absicht	w11977
des	w11978
ihnen	w11979
nach	w11980
dem	w11981
Testament	w11982
der	w11983
alldort	w11984
verstorbenen	w11985
Muhme	w11986
Katharina	w11987
Püchlerin	w11988
<g/>
,
gebohrner	w11990
Mitter=millerin	w11991
<g/>
=
de	w11993
publ	w11994
<g/>
.
30	w11996
<g/>
.
März	w11998
1746	w11999
<g/>
.
ausgesetzten	w12001
Ver=mächtnisses	w12002
<g/>
=
von	w12004
200	w12005
<g/>
.
fl	w12007
<g/>
.
nach	w12009
Ablauf	w12010
des	w12011
festgesetz=ten	w12012
<g/>
=
30jährigen	w12014
Termins	w12015
der	w12016
Abwesenheit	w12017
<g/>
,
Jnnhalt	w12019
der	w12020
allerhöchsten	w12021
kön	w12022
<g/>
.
allgemeinen	w12024
Verordnung	w12025
<g/>
,
we=gen	w12027
<g/>
=
der	w12029
Abwesenden	w12030
vom	w12031
27	w12032
<g/>
.
Octob	w12034
<g/>
.
1763	w12036
<g/>
.
dersel=ben	w12038
<g/>
=
Edictal	w12040
<g/>
=
Vorladung	w12042
ordnungsmäßig	w12043
zu	w12044
veran=lassen	w12045
<g/>
=
<g/>
.
Daher	w12048
würden	w12049
sie	w12050
Anna	w12051
<g/>
,
und	w12053
Theresia	w12054
Gold=bergerin	w12055
<g/>
=
durch	w12057
öffentliche	w12058
Edikten	w12059
<g/>
(
wovon	w12061
das	w12062
ei=ne	w12063
<g/>
=
Exemplar	w12065
alldort	w12066
in	w12067
Großglogau	w12068
am	w12069
Rathhause	w12070
<g/>
,
das	w12072
zweyte	w12073
hier	w12074
in	w12075
der	w12076
kais	w12077
<g/>
.
kön	w12079
<g/>
.
Haupt	w12081
<g/>
=
und	w12083
Resi=denzstadt	w12084
<g/>
=
Wien	w12086
<g/>
,
und	w12088
das	w12089
dritte	w12090
zu	w12091
Paßau	w12092
in	w12093
Nie=derbayern	w12094
<g/>
=
angeschlagen	w12096
<g/>
,
auch	w12098
durch	w12099
die	w12100
Breslau=risch	w12101
<g/>
=
<g/>
,
und	w12104
zwey	w12105
auswärtige	w12106
Zeitungen	w12107
bekannt	w12108
ge=machet	w12109
<g/>
=
worden	w12111
wäre	w12112
<g/>
)
ein	w12114
für	w12115
allemahl	w12116
<g/>
,
und	w12118
also	w12119
peremptorie	w12120
citiret	w12121
<g/>
,
und	w12123
vorgeladen	w12124
<g/>
,
daß	w12126
sie	w12127
vom	w12128
29	w12129
<g/>
.
April	w12131
dies	w12132
Jahrs	w12133
anzurechnen	w12134
<g/>
,
in	w12136
den	w12137
näch=sten	w12138
<g/>
=
9	w12140
<g/>
.
Monaten	w12142
<g/>
(
davon	w12144
3	w12145
<g/>
.
für	w12147
den	w12148
ersten	w12149
<g/>
,
3	w12151
<g/>
.
für	w12153
den	w12154
zweyten	w12155
<g/>
,
und	w12157
3	w12158
<g/>
.
für	w12160
den	w12161
dritten	w12162
Termin	w12163
zu	w12164
rech=nen	w12165
<g/>
=
<g/>
)
sich	w12168
alldorteinfinden	w12169
<g/>
,
und	w12171
Jnsonderheit	w12172
den	w12173
29	w12174
<g/>
.
Jänner	w12176
1773	w12177
<g/>
.
auf	w12179
dem	w12180
Rathhause	w12181
<g/>
,
entweder	w12183
in	w12184
Person	w12185
<g/>
,
oder	w12187
durch	w12188
einen	w12189
mit	w12190
gerichtl	w12191
<g/>
.
Zeugnissen	w12193
resp	w12194
<g/>
.
ihres	w12196
Lebens	w12197
<g/>
,
und	w12199
Aufenthalts	w12200
<g/>
,
auch	w12202
hinläng=licher	w12203
<g/>
=
Vollmacht	w12205
versehenen	w12206
Bevollmächtigten	w12207
er=scheinen	w12208
<g/>
=
<g/>
,
sich	w12211
quo	w12212
ad	w12213
Personas	w12214
gehörig	w12215
legitimiren	w12216
<g/>
,
und	w12218
nach	w12219
den	w12220
Umständen	w12221
<g/>
,
und	w12223
Erörterung	w12224
der	w12225
Sa=che	w12226
<g/>
=
rechtliche	w12228
Verfügung	w12229
<g/>
,
im	w12231
Fall	w12232
ihres	w12233
Ausbleiben	w12234
aber	w12235
<g/>
,
gewärtigen	w12237
<g/>
,
daß	w12239
sie	w12240
für	w12241
tod	w12242
geachtet	w12243
<g/>
,
und	w12245
er=kläret	w12246
<g/>
=
<g/>
,
die	w12249
bisherige	w12250
Curatel	w12251
<g/>
,
und	w12253
Verwaltung	w12254
er=wähnter	w12255
<g/>
=
Püchlerischen	w12257
Vermächtnißgelder	w12258
aufge=hoben	w12259
<g/>
=
<g/>
,
und	w12262
solche	w12263
dem	w12264
erwähnten	w12265
Bruder	w12266
<g/>
,
nach	w12268
vorhergegangener	w12269
landesherrl	w12270
<g/>
.
GoncessionConcession	w12272
<g/>
&
præ-stitispraestitis	w12274
<g/>
-
præstandispraestandis	w12276
zum	w12277
Eigenthum	w12278
überlassen	w12279
<g/>
,
und	w12281
verabfolget	w12282
werden	w12283
sollen	w12284
<g/>
.
So	w12286
man	w12287
hiemit	w12288
zur	w12289
be=hörigen	w12290
<g/>
=
Nachricht	w12292
hat	w12293
kund	w12294
<g/>
,
und	w12296
zu	w12297
wissen	w12298
machen	w12299
wollen	w12300
<g/>
.
Wien	w12302
den	w12303
15	w12304
<g/>
.
April	w12306
1772	w12307
<g/>
.
</p>
<p id="p94">
Von	w12309
der	w12310
hochgräfl	w12311
<g/>
.
Niklas	w12313
Falckensteinis	w12314
<g/>
.
Herr=schaft	w12316
<g/>
=
Allentsteigerischen	w12318
Amtskanzley	w12319
wegen	w12320
<g/>
:
dem	w12322
Joseph	w12323
Pöll	w12324
diesseitig	w12325
von	w12326
Haidhof	w12327
in	w12328
N	w12329
<g/>
.
Oe	w12331
<g/>
.
V	w12333
<g/>
.
O	w12335
<g/>
.
M	w12337
<g/>
.
P	w12339
<g/>
.
gebürtiger	w12341
Unterthann	w12342
<g/>
,
und	w12344
wem	w12345
sonsten	w12346
daran	w12347
gelegen	w12348
ist	w12349
<g/>
,
würdet	w12351
hiemit	w12352
zu	w12353
wissen	w12354
gemacht	w12355
welchergestalten	w12356
Mathias	w12357
Pöll	w12358
<g/>
,
Johann	w12360
Pöll	w12361
<g/>
,
An=na	w12363
<g/>
=
Maria	w12365
Eckherinn	w12366
<g/>
,
<g/>
&
necessarii	w12369
angezeigt	w12370
hät=ten	w12371
<g/>
=
<g/>
,
daß	w12374
der	w12375
Joseph	w12376
Pöll	w12377
bereits	w12378
schon	w12379
vor	w12380
34	w12381
<g/>
.
Jah=ren	w12383
<g/>
=
von	w12385
hier	w12386
nacher	w12387
Ungarn	w12388
abgegangen	w12389
<g/>
,
und	w12391
über	w12392
all	w12393
beschehenes	w12394
Nachforschen	w12395
von	w12396
ihme	w12397
u	w12398
ichtes	w12399
habe	w12400
erfraget	w12401
werden	w12402
können	w12403
<g/>
;
da	w12405
nun	w12406
dessen	w12407
Vater	w12408
Si=mon	w12409
<g/>
=
Pöll	w12411
Anno	w12412
1723	w12413
<g/>
.
verstorben	w12415
<g/>
,
und	w12417
diesem	w12418
seinem	w12419
</p>
<p id="p95">
Sohn	w12420
eine	w12421
Erbsportion	w12422
pr	w12423
<g/>
.
114	w12425
<g/>
.
fl	w12427
<g/>
.
Kapital	w12429
verlas=sen	w12430
<g/>
=
<g/>
,
zu	w12433
deme	w12434
aber	w12435
nähere	w12436
Anverwandte	w12437
sich	w12438
nicht	w12439
befinden	w12440
<g/>
,
folglich	w12442
dann	w12443
gedachte	w12444
Jmpetranten	w12445
der	w12446
Ordnung	w12447
nach	w12448
in	w12449
bemeldt	w12450
Joseph	w12451
Pöllische	w12452
Erb=chaft	w12453
<g/>
=
einzutretten	w12455
hätten	w12456
<g/>
,
sohin	w12458
auch	w12459
gebetten	w12460
<g/>
,
wo=mit	w12462
<g/>
=
das	w12464
diesfalls	w12465
gewöhnliche	w12466
Einberuffungsedikt	w12467
möchte	w12468
ausgefertiget	w12469
<g/>
,
und	w12471
sofern	w12472
weder	w12473
der	w12474
Joseph	w12475
Pöll	w12476
<g/>
,
noch	w12478
ein	w12479
näherer	w12480
Blutsverwandter	w12481
vorkö=me	w12482
<g/>
=
ihnen	w12484
sodann	w12485
das	w12486
Vermögen	w12487
pr	w12488
<g/>
.
184	w12490
<g/>
.
fl	w12492
<g/>
.
cum	w12494
sua	w12495
causa	w12496
ausgefolget	w12497
werden	w12498
<g/>
:
Dahero	w12500
wird	w12501
dem	w12502
Joseph	w12503
Pöll	w12504
<g/>
,
auch	w12506
allen	w12507
jenen	w12508
<g/>
,
so	w12510
an	w12511
desselben	w12512
Ver=mögen	w12513
<g/>
=
einige	w12515
Schulden	w12516
oder	w12517
nähere	w12518
Erbschaft	w12519
<g/>
,
u	w12521
<g/>
.
sonst	w12523
was	w12524
immer	w12525
vor	w12526
Sprüche	w12527
zu	w12528
stellen	w12529
haben	w12530
<g/>
,
hie=mit	w12532
<g/>
=
aufgetragen	w12534
<g/>
,
daß	w12536
Sie	w12537
von	w12538
heut	w12539
dato	w12540
<g/>
,
binnen	w12542
einen	w12543
Jahr	w12544
<g/>
,
sechs	w12546
Wochen	w12547
<g/>
,
drey	w12549
Tägen	w12550
<g/>
,
und	w12552
zwar	w12553
längens	w12554
bis	w12555
den	w12556
20sten	w12557
May	w12558
1773	w12559
<g/>
.
Vormittag	w12561
um	w12562
9	w12563
<g/>
.
Uhr	w12565
in	w12566
diesseitig	w12567
herrschaftl	w12568
<g/>
.
Amtskanzley	w12570
allda	w12571
entweder	w12572
selbst	w12573
<g/>
,
oder	w12575
durch	w12576
genugsam	w12577
bevollmäch=tigte	w12578
<g/>
=
Gewaltragere	w12580
erscheinen	w12581
<g/>
,
und	w12583
ihre	w12584
Sprüche	w12585
rechtsbeständig	w12586
um	w12587
so	w12588
gewisser	w12589
erweisen	w12590
sollen	w12591
<g/>
,
als	w12593
sie	w12594
ansonsten	w12595
nach	w12596
berührter	w12597
Zeit	w12598
nicht	w12599
mehr	w12600
ange=höret	w12601
<g/>
=
<g/>
,
mithin	w12604
der	w12605
Joseph	w12606
Pöll	w12607
für	w12608
tod	w12609
erkennet	w12610
<g/>
,
und	w12612
dessen	w12613
Vermögen	w12614
entweder	w12615
an	w12616
Eingangs	w12617
ge=dachte	w12618
<g/>
=
Supplicantes	w12620
oder	w12621
ander	w12622
nähere	w12623
Anver=wandte	w12624
<g/>
=
ausgefolget	w12626
werden	w12627
wurde	w12628
<g/>
.
</p>
<p id="p96">
Es	w12630
ist	w12631
das	w12632
in	w12633
der	w12634
Leopoldstadt	w12635
zum	w12636
goldenen	w12637
Och=sen	w12638
<g/>
=
genannte	w12640
Haus	w12641
<g/>
,
bestehend	w12643
in	w12644
einem	w12645
Stock	w12646
und	w12647
Schänkungsgerechtigkeit	w12648
zu	w12649
verkaufen	w12650
<g/>
;
wer	w12652
dem=nach	w12653
<g/>
=
ein	w12655
solches	w12656
käuflich	w12657
an	w12658
sich	w12659
zu	w12660
bringen	w12661
geden=ket	w12662
<g/>
=
<g/>
,
kann	w12665
sich	w12666
hierwegen	w12667
bey	w12668
dem	w12669
Verleger	w12670
des	w12671
wienerischen	w12672
Diarii	w12673
anmelden	w12674
<g/>
.
</p>
<p id="p97">
Der	w12676
Magistrat	w12677
zu	w12678
Friedland	w12679
Unterfürstenstein	w12680
ci=tiret	w12681
<g/>
=
den	w12683
von	w12684
hier	w12685
gebürtigen	w12686
Candidatum	w12687
Juris	w12688
Christian	w12689
Gottlieb	w12690
Kirschner	w12691
<g/>
,
weyl	w12693
<g/>
.
Christian	w12695
Gott=lieb	w12696
<g/>
=
Kirschners	w12698
<g/>
,
gewesenen	w12700
bürgerl	w12701
<g/>
.
Krähmers	w12703
und	w12704
Kirschners	w12705
dahier	w12706
<g/>
,
nachgelassenen	w12708
und	w12709
seit	w12710
10	w12711
<g/>
.
Jah=ren	w12713
<g/>
=
bereits	w12715
abwesenden	w12716
Sohn	w12717
<g/>
,
oder	w12719
dessen	w12720
unbekann=te	w12721
<g/>
=
Erben	w12723
<g/>
,
ad	w12725
instantiam	w12726
seiner	w12727
einzigen	w12728
Schwester	w12729
binnen	w12730
3	w12731
Monathen	w12732
<g/>
,
peremptorie	w12734
aber	w12735
den	w12736
24	w12737
<g/>
.
Ju=li	w12739
<g/>
=
1772	w12741
<g/>
.
auf	w12743
allhiesigem	w12744
Rathhause	w12745
entweder	w12746
in	w12747
Per=son	w12748
<g/>
=
<g/>
,
oder	w12751
durch	w12752
einen	w12753
hinlänglich	w12754
Bevollmächtigten	w12755
zu	w12756
erscheinen	w12757
in	w12758
dessen	w12759
Entstehung	w12760
aber	w12761
zu	w12762
gewärti=gen	w12763
<g/>
=
<g/>
,
daß	w12766
er	w12767
Christian	w12768
Gottlieb	w12769
Kirschner	w12770
nach	w12771
Vor=schrift	w12772
<g/>
=
des	w12774
königl	w12775
<g/>
.
Edicts	w12777
werde	w12778
pro	w12779
mortuo	w12780
decla=riret	w12781
<g/>
=
<g/>
,
dessen	w12784
unbekannte	w12785
Erben	w12786
präcludiret	w12787
<g/>
,
und	w12789
sein	w12790
allhier	w12791
sub	w12792
cura	w12793
stehendes	w12794
Vermögen	w12795
seiner	w12796
Schwe=ster	w12797
<g/>
=
ohne	w12799
fernern	w12800
Anstand	w12801
verabfolget	w12802
werden	w12803
<g/>
.
</p>
<p id="p98">
Wir	w12805
N	w12806
<g/>
.
N	w12808
<g/>
.
Superintendenten	w12810
und	w12811
Spitlmeister	w12812
des	w12813
Burgerspitals	w12814
in	w12815
Wien	w12816
geben	w12817
hiemit	w12818
jedermann	w12819
zu	w12820
vernehmen	w12821
<g/>
;
Wasmassen	w12823
auf	w12824
das	w12825
von	w12826
dem	w12827
Herrn	w12828
Johann	w12829
Georg	w12830
Barfuß	w12831
proprio	w12832
<g/>
&
uxore	w12834
nomine	w12835
wider	w12836
den	w12837
David	w12838
Ziegelmayr	w12839
beschehene	w12840
Anlangen	w12841
unterm	w12842
22ten	w12843
März	w12844
dies	w12845
Jahrs	w12846
in	w12847
puncto	w12848
eines	w12849
Cessorio	w12850
nomine	w12851
eingeklagten	w12852
Satzkapitals	w12853
pr	w12854
<g/>
.
3500	w12856
<g/>
.
fl	w12858
<g/>
.
cum	w12860
sua	w12861
causa	w12862
in	w12863
die	w12864
Licitirung	w12865
der	w12866
dem	w12867
Zieglmayr	w12868
zugehörigen	w12869
in	w12870
der	w12871
Mitterpeunt	w12872
auf	w12873
der	w12874
</p>
<p id="p99">
Landstraße	w12877
liegend	w12878
anhero	w12879
dienstbahren	w12880
Behausung	w12881
und	w12882
zugehörigen	w12883
Gartens	w12884
gewilliget	w12885
und	w12886
zu	w12887
diesem	w12888
Ende	w12889
der	w12890
21ste	w12891
künftigen	w12892
Monats	w12893
May	w12894
frühe	w12895
um	w12896
9	w12897
<g/>
.
Uhr	w12899
zur	w12900
Licitationstagsatzung	w12901
bestimmet	w12902
worden	w12903
seye	w12904
<g/>
.
Solchemnach	w12906
werden	w12907
all	w12908
und	w12909
jede	w12910
so	w12911
obge=dacht	w12912
<g/>
=
Zieglmayrs	w12914
Behausung	w12915
und	w12916
Garten	w12917
in	w12918
der	w12919
Mitterpeunt	w12920
auf	w12921
der	w12922
Landstraße	w12923
zu	w12924
verkaufen	w12925
gesin=net	w12926
<g/>
=
sind	w12928
<g/>
,
an	w12930
vorbestimmten	w12931
Tag	w12932
und	w12933
Stund	w12934
in	w12935
der	w12936
Burgerspittals	w12937
in	w12938
Wien	w12939
Grundstube	w12940
zu	w12941
erscheinen	w12942
haben	w12943
<g/>
,
wo	w12945
sodann	w12946
mit	w12947
dem	w12948
Meistbietenden	w12949
der	w12950
Kauf	w12951
geschlossen	w12952
<g/>
,
und	w12954
hierüber	w12955
das	w12956
Weitere	w12957
fürgekehret	w12958
werden	w12959
solle	w12960
<g/>
.
Aktum	w12962
Wien	w12963
den	w12964
14ten	w12965
März	w12966
1772	w12967
<g/>
.
</p>
<p id="p100">
Von	w12969
der	w12970
hochgräfl	w12971
<g/>
.
Ernest	w12973
Starhenbergis	w12974
<g/>
.
Amts=kanzley	w12976
<g/>
=
der	w12978
Herrschaft	w12979
Karlspach	w12980
wegen	w12981
wird	w12982
hiemit	w12983
durch	w12984
dieses	w12985
öffentliche	w12986
Edict	w12987
den	w12988
Gebrüdern	w12989
Bal=thasar	w12990
<g/>
=
und	w12992
Matthäus	w12993
Streicher	w12994
<g/>
,
beede	w12996
an	w12997
der	w12998
klei=nen	w12999
<g/>
=
Grub	w13001
gebürtig	w13002
<g/>
,
dann	w13004
derselben	w13005
Vötter	w13006
Mathias	w13007
Streicher	w13008
in	w13009
Edenlehen	w13010
gebürtig	w13011
<g/>
,
als	w13013
3	w13014
<g/>
.
dasig	w13016
Herr=schaft	w13017
<g/>
=
Karlspachis	w13019
<g/>
.
Pupillen	w13021
<g/>
,
und	w13023
allen	w13024
<g/>
,
welche	w13026
an	w13027
denselben	w13028
einige	w13029
Sprüche	w13030
und	w13031
Forderungen	w13032
zu	w13033
stel=len	w13034
<g/>
=
haben	w13036
<g/>
,
zu	w13038
wissen	w13039
gemachet	w13040
<g/>
,
was	w13042
massen	w13043
ersterer	w13044
zweyen	w13045
Geschwistertkinder	w13046
<g/>
,
und	w13048
des	w13049
letztern	w13050
eheleib=liche	w13051
<g/>
=
Geschwisterte	w13053
alldavor	w13054
und	w13055
angebracht	w13056
haben	w13057
<g/>
,
daß	w13059
sie	w13060
schon	w13061
über	w13062
32	w13063
<g/>
.
Jahr	w13065
unwissend	w13066
<g/>
,
und	w13068
bishero	w13069
von	w13070
ihnen	w13071
nichts	w13072
mehr	w13073
gehöret	w13074
<g/>
,
oder	w13076
gesehen	w13077
worden	w13078
seye	w13079
<g/>
,
folglich	w13081
ganz	w13082
vermuthlich	w13083
verstorb	w13084
<g/>
.
seyn	w13086
werden	w13087
<g/>
,
mit	w13089
beygefügt	w13090
geziemenden	w13091
Anlangen	w13092
<g/>
,
daß	w13094
<g/>
,
damit	w13096
ihnen	w13097
deren	w13098
unter	w13099
allhiesiger	w13100
Jurisdiction	w13101
befindli=che	w13102
<g/>
=
Erbschaftsvermögen	w13104
zugetheilet	w13105
werden	w13106
könne	w13107
<g/>
,
er	w13109
Balthasar	w13110
und	w13111
Matthäus	w13112
Streicher	w13113
<g/>
,
dann	w13115
Ma=thias	w13116
<g/>
=
Streicher	w13118
<g/>
,
oder	w13120
jene	w13121
<g/>
,
so	w13123
an	w13124
deren	w13125
Vermögen	w13126
ex	w13127
quocunque	w13128
demum	w13129
titulo	w13130
einige	w13131
Sprüche	w13132
oder	w13133
Forderungen	w13134
zu	w13135
haben	w13136
vermeinen	w13137
<g/>
,
durch	w13139
ein	w13140
öffent=liches	w13141
<g/>
=
Edict	w13143
einberufen	w13144
werden	w13145
möchten	w13146
<g/>
;
da	w13148
nun	w13149
in	w13150
dieses	w13151
Begehren	w13152
gewilliget	w13153
worden	w13154
<g/>
,
als	w13156
wird	w13157
ihnen	w13158
oftbesagt	w13159
über	w13160
32	w13161
<g/>
.
Jahr	w13163
lang	w13164
abwesenden	w13165
obbenannt	w13166
3	w13167
<g/>
.
hiesigen	w13169
Pupillen	w13170
<g/>
,
dann	w13172
allen	w13173
denjenigen	w13174
<g/>
,
so	w13176
an	w13177
deren	w13178
Vermögen	w13179
einige	w13180
Sprüch	w13181
und	w13182
Anforderun=gen	w13183
<g/>
=
zu	w13185
haben	w13186
vermeinen	w13187
<g/>
,
kraft	w13189
gegenwärtigen	w13190
E=dicts	w13191
<g/>
=
aufgetragen	w13193
<g/>
,
daß	w13195
dieselbe	w13196
innerhalb	w13197
einem	w13198
Jahr	w13199
<g/>
,
6	w13201
<g/>
.
