<doc id="wr_1758-01-11" attrs="word" year="1758" month="01" day="11" corpus="2">
<head id="h2_d209e2714">
Paderborn,	w1_d209e2718
denen	w3_d209e10026
Todten,	w5_d209e10029
bey	w7_d209e10032
300.	w9_d209e10035
Krank	w11_d209e10038
und	w13_d209e10042
Ver	w15_d209e10045
wundete.	w1_d209e10050
</p>
<head id="h2_d209e10056">
Harburg	w1_d209e10060
30.	w3_d209e10063
Dec.	w5_d209e10066
1757.	w7_d209e10069
</head>
<p id="p4_d209e10072">
Endlich	w1_d209e10076
ist	w3_d209e10079
die	w5_d209e10082
Capitulation	w7_d209e10085
des	w9_d209e10088
hiesigen	w11_d209e10091
Schlosses	w1_d209e10096
diesen	w3_d209e10099
Morgen	w5_d209e10102
um	w7_d209e10105
3.	w9_d209e10108
Uhr	w11_d209e10111
zur	w13_d209e10115
Rich	w15_d209e10118
tigkeit	w1_d209e10123
gekommen,	w3_d209e10126
und	w5_d209e10129
von	w7_d209e10132
beyden	w9_d209e10135
Seiten	w11_d209e10138
unterzeichnet	w1_d209e10144
worden.	w3_d209e10147
Sie	w5_d209e10150
bestehet	w7_d209e10153
dem	w9_d209e10156
wesentlichen	w1_d209e10161
Jnnhalte	w3_d209e10164
nach	w5_d209e10167
aus	w7_d209e10170
folgenden	w9_d209e10173
Puncten:	w1_d209e10178
</p>
<list id="l6_d209e10181">
1)	w1_d209e10185
Erhält	w3_d209e10188
die	w5_d209e10191
Besatzung	w7_d209e10194
einen	w9_d209e10197
freyen	w11_d209e10200
Ab	w13_d209e10204
zug	w1_d209e10209
nach	w3_d209e10212
Frankreich,	w5_d209e10215
jedoch	w7_d209e10218
mit	w9_d209e10221
der	w11_d209e10224
Bedin	w13_d209e10228
gung,	w1_d209e10233
während	w3_d209e10236
dem	w5_d209e10239
ganzen	w7_d209e10242
jetzigen	w9_d209e10245
Krieg	w11_d209e10248
nicht	w1_d209e10254
wider	w3_d209e10257
den	w5_d209e10260
König	w7_d209e10263
von	w9_d209e10266
Groß=brittannien	w11_d209e10269
und	w1_d209e10274
seine	w3_d209e10277
Alliirten	w5_d209e10280
zu	w7_d209e10283
dienen.	w9_d209e10286
2)	w1_d209e10291
Täglich	w3_d209e10294
4.	w5_d209e10297
Meilen	w7_d209e10300
zu	w9_d209e10303
marschiren.	w11_d209e10306
3)	w1_d209e10311
Alles	w3_d209e10314
was	w5_d209e10317
zur	w7_d209e10320
Kriegs=ammunition	w9_d209e10323
ge	w11_d209e10326
hörig,	w1_d209e10332
als	w3_d209e10335
Mörser,	w5_d209e10338
Canonen,	w7_d209e10341
rc.	w9_d209e10344
hier	w11_d209e10347
zu	w13_d209e10351
lassen.	w15_d209e10354
</list>
<list id="l10_d209e10360">
4)	w1_d209e10364
Müssen	w3_d209e10367
alle	w5_d209e10370
Schulden	w7_d209e10373
bezahlet	w9_d209e10376
werden,	w11_d209e10379
auch	w1_d209e10384
die	w3_d209e10387
Lauenbrocker	w5_d209e10390
Häuser.	w7_d209e10393
5)	w1_d209e10398
Am	w3_d209e10401
Freytag	w5_d209e10404
Morgen	w7_d209e10407
um	w9_d209e10410
8.	w11_d209e10413
Uhr	w13_d209e10417
wird	w15_d209e10420
das	w1_d209e10426
erste	w3_d209e10429
Thor	w5_d209e10432
besetzet,	w7_d209e10435
und	w9_d209e10438
6)	w1_d209e10443
Am	w3_d209e10446
Sonnabend	w5_d209e10449
muß	w7_d209e10452
die	w9_d209e10455
Garnison	w11_d209e10458
aus	w13_d209e10462
marschiren.	w1_d209e10467
Kurz=gefaßte	w1_d209e10472
Nachrichten.	w3_d209e10475
</list>
<head id="h2_d209e10482">
Es	w1_d209e10486
geben	w3_d209e10489
die	w5_d209e10492
Briefe	w7_d209e10495
</head>
<p id="p4_d209e10498">
Von	w1_d209e10502
Madrid:	w3_d209e10505
Daß	w5_d209e10508
der	w7_d209e10511
im	w9_d209e10514
Haag	w11_d209e10517
ge	w13_d209e10521
standene	w1_d209e10526
Botschafter	w3_d209e10529
Marquis	w5_d209e10532
Grimaldi	w7_d209e10535
die	w9_d209e10538
Stelle	w1_d209e10543
eines	w3_d209e10546
ersten	w5_d209e10549
Staats=ministers	w7_d209e10552
an	w9_d209e10555
dem	w11_d209e10558
Königl.	w1_d209e10564
Spanischen	w3_d209e10567
Hof	w5_d209e10570
erhalten	w7_d209e10573
habe.	w9_d209e10576
</p>
<p id="p6_d209e10579">
Von	w1_d209e10583
Constantinopel:	w3_d209e10586
Daß	w5_d209e10589
der	w7_d209e10592
neue	w9_d209e10595
Groß=sultan	w1_d209e10600
gleich	w3_d209e10603
nach	w5_d209e10606
seiner	w7_d209e10609
Thronsbe	w9_d209e10612
steigung	w1_d209e10617
sich	w3_d209e10620
von	w5_d209e10623
der	w7_d209e10626
Fähigkeit	w9_d209e10629
seiner	w11_d209e10632
Mini	w13_d209e10636
stern	w1_d209e10642
Nachricht	w3_d209e10645
habe	w5_d209e10648
geben	w7_d209e10651
lassen,	w9_d209e10654
worauf	w11_d209e10657
er	w13_d209e10661
den	w1_d209e10666
Groß=wezier	w3_d209e10669
Racheb	w5_d209e10672
Pacha	w7_d209e10675
bestättiget,	w9_d209e10678
denen	w1_d209e10683
Janitscharen	w3_d209e10686
aber	w5_d209e10689
1700.	w7_d209e10692
Beutel	w9_d209e10695
Löwen	w11_d209e10698
thaler,	w1_d209e10703
welches	w3_d209e10706
eine	w5_d209e10709
Million	w7_d209e10712
Holländische	w9_d209e10715
Gulde	w11_d209e10718
ausmacht,	w1_d209e10724
austheilen	w3_d209e10727
lassen.	w5_d209e10730
Die	w7_d209e10733
Ministers,	w9_d209e10736
welche	w1_d209e10741
denen	w3_d209e10744
Höfen	w5_d209e10747
zu	w7_d209e10750
Wien,	w9_d209e10753
Petersburg	w11_d209e10756
und	w1_d209e10761
Warschau	w3_d209e10764
seine	w5_d209e10767
Thron=besteigung	w7_d209e10770
be	w9_d209e10773
kannt	w1_d209e10778
machen	w3_d209e10781
sollen,	w5_d209e10784
werden	w7_d209e10787
mit	w9_d209e10790
ehestem	w11_d209e10793
von	w1_d209e10799
dannen	w3_d209e10802
abreisen.	w5_d209e10805
Zu	w7_d209e10808
diesen	w9_d209e10811
Commißio	w11_d209e10814
nen	w1_d209e10819
sind	w3_d209e10822
erlösen	w5_d209e10825
der	w7_d209e10828
Eidam	w9_d209e10831
des	w11_d209e10834
Chiaja	w13_d209e10838
oder	w15_d209e10841
Staats=secretairs;	w1_d209e10846
Osmann	w3_d209e10849
Effendi,	w5_d209e10852
der	w7_d209e10855
vormals	w1_d209e10860
geheimer	w3_d209e10863
Secretair	w5_d209e10866
der	w7_d209e10869
Janitscharen	w9_d209e10872
war,	w1_d209e10878
und	w3_d209e10881
endlich	w5_d209e10884
Salem	w7_d209e10887
Agasi.	w9_d209e10890
</p>
<p id="p8_d209e10893">
Von	w1_d209e10897
Gibraltar:	w3_d209e10900
Allhier	w5_d209e10903
hat	w7_d209e10906
man	w9_d209e10909
Briefe	w11_d209e10912
von	w1_d209e10917
Tetuan,	w3_d209e10920
in	w5_d209e10923
welchen	w7_d209e10926
gemeldet	w9_d209e10929
wird,	w11_d209e10932
daß	w13_d209e10936
der	w1_d209e10941
Kaiser	w3_d209e10944
von	w5_d209e10947
Marocco,	w7_d209e10950
Muley	w9_d209e10953
Abdalla,	w11_d209e10956
den	w1_d209e10962
9	w3_d209e10965
Nov.	w5_d209e10968
erst=verwichenen	w7_d209e10971
Jahrs	w9_d209e10974
1757	w11_d209e10977
mit	w1_d209e10982
Tode	w3_d209e10985
abgegangen	w5_d209e10988
sey,	w7_d209e10991
und	w9_d209e10994
daß	w11_d209e10997
man	w13_d209e11001
des	w15_d209e11004
sen	w1_d209e11009
Sohn,	w3_d209e11012
den	w5_d209e11015
Cron=prinzen,	w7_d209e11018
gleich	w9_d209e11021
darauf	w11_d209e11024
durch	w1_d209e11029
die	w3_d209e11032
ganze	w5_d209e11035
Barbarey	w7_d209e11038
zum	w9_d209e11041
Kaiser	w11_d209e11044
aus	w13_d209e11048
zeruffen	w1_d209e11054
habe.	w3_d209e11057
</p>
<p id="p10_d209e11060">
Von	w1_d209e11064
Braunschweig:	w3_d209e11067
Daß	w5_d209e11070
bey	w7_d209e11073
Wolfs	w9_d209e11076
burg,	w1_d209e11081
4.	w3_d209e11084
Meilen	w5_d209e11087
von	w7_d209e11090
dannen,	w9_d209e11093
würklich	w11_d209e11096
10000.	w13_d209e11100
Mann	w1_d209e11105
Preußen	w3_d209e11108
stehen.	w5_d209e11111
Aus	w7_d209e11114
Pommern	w9_d209e11117
sol	w11_d209e11120
len	w1_d209e11126
denen	w3_d209e11129
Hannoveranern	w5_d209e11132
gleichfalls	w7_d209e11135
einige	w9_d209e11138
Re	w11_d209e11141
gimenter	w1_d209e11146
zu	w3_d209e11149
Hülfe	w5_d209e11152
eilen,	w7_d209e11155
und	w9_d209e11158
man	w11_d209e11161
versichert,	w13_d209e11165
daß	w1_d209e11170
des	w3_d209e11173
Prinzen	w5_d209e11176
Heinrichs	w7_d209e11179
Königl.	w9_d209e11182
Hoheit	w11_d209e11185
mit	w1_d209e11190
einem	w3_d209e11193
Corpo	w5_d209e11196
von	w7_d209e11199
8.	w9_d209e11202
bis	w11_d209e11205
9000.	w13_d209e11209
Mann	w15_d209e11212
gegen	w1_d209e11218
Hessen	w3_d209e11221
in	w5_d209e11224
Anmarsch	w7_d209e11227
seyen,	w9_d209e11230
und	w11_d209e11233
einige	w13_d209e11237
100.	w1_d209e11242
Hussaren	w3_d209e11245
sich	w5_d209e11248
auch	w7_d209e11251
bereits	w9_d209e11254
bey	w11_d209e11257
Duder	w13_d209e11261
stadt,	w1_d209e11266
2.	w1_d209e11271
Meilen	w3_d209e11274
von	w5_d209e11277
Göttungen,	w7_d209e11280
gezeiget	w9_d209e11283
hätten.	w1_d209e11289
</p>
<head id="h2_d209e11296">
Wien	w1_d209e11300
11.	w3_d209e11303
Januarii	w5_d209e11306
1758.	w7_d209e11309
</head>
<p id="p4_d209e11312">
Samstags	w1_d209e11316
den	w3_d209e11319
7.	w5_d209e11322
Januarii	w7_d209e11325
seynd	w9_d209e11328
beyde	w11_d209e11331
Kaiserl.	w1_d209e11336
Majestäten	w3_d209e11339
mit	w5_d209e11342
Staats	w7_d209e11345
und	w9_d209e11348
</p>
<list id="l6_d209e11351">
Landes	w1_d209e11355
Anligenheiten	w3_d209e11358
beschäftiget	w5_d209e11361
gewesen.	w7_d209e11364
Eodem	w1_d209e11369
Vormittag	w3_d209e11372
seynd	w5_d209e11375
Se.	w7_d209e11378
Königl.	w9_d209e11381
Hoheit	w1_d209e11386
der	w3_d209e11389
Herzog	w5_d209e11392
Carl	w7_d209e11395
v.	w9_d209e11398
Lothringen,	w11_d209e11401
von	w13_d209e11405
der	w1_d209e11411
Kaiserl.	w3_d209e11414
Königl.	w5_d209e11417
Armee	w7_d209e11420
aus	w9_d209e11423
Böhmen	w11_d209e11426
</list>
<p id="p8_d209e11430">
alhier	w1_d209e11434
angekommen.	w3_d209e11437
</p>
<p id="p10_d209e11440">
Sonntags	w1_d209e11444
den	w3_d209e11447
8ten	w5_d209e11450
dito	w7_d209e11453
seynd,	w9_d209e11456
beyde	w11_d209e11459
Kaiserl.	w1_d209e11464
Majestäten	w3_d209e11467
und	w5_d209e11470
Jhre	w7_d209e11473
Königl.	w9_d209e11476
Ho	w11_d209e11479
heiten	w1_d209e11484
die	w3_d209e11487
Durchleuchtigste	w5_d209e11490
junge	w7_d209e11493
Herrschaf	w9_d209e11496
ten	w1_d209e11502
als	w3_d209e11505
den	w5_d209e11508
anderten	w7_d209e11511
für	w9_d209e11514
dies	w11_d209e11517
Jahr,	w13_d209e11521
zu	w15_d209e11524
dem	w17_d209e11527
allgemeinen	w1_d209e11532
Gebett,	w3_d209e11535
bestimmten	w5_d209e11538
Sonntag	w7_d209e11541
zu	w9_d209e11544
St.	w1_d209e11549
Stephan	w3_d209e11552
abgefahren,	w5_d209e11555
und	w7_d209e11558
haben	w9_d209e11561
alda	w11_d209e11564
zur	w1_d209e11569
Erbittung	w3_d209e11572
um	w5_d209e11575
Glück	w7_d209e11578
und	w9_d209e11581
Seegen	w11_d209e11584
über	w13_d209e11588
die	w1_d209e11594
K.	w3_d209e11597
K.	w5_d209e11600
gerechte	w7_d209e11603
Waffen,	w9_d209e11606
Vormittags	w11_d209e11609
von	w13_d209e11613
9.	w1_d209e11618
bis	w3_d209e11621
12.	w5_d209e11624
Uhr,	w7_d209e11627
und	w9_d209e11630
Nachmittags	w11_d209e11633
von	w13_d209e11637
3.	w15_d209e11640
bis	w1_d209e11645
6.	w3_d209e11648
Uhr,	w5_d209e11651
bey	w7_d209e11654
ausgesetzten	w9_d209e11657
allerheiligsten	w11_d209e11660
Altars	w1_d209e11665
Sacrament,	w3_d209e11668
Abwechslungs=weise	w5_d209e11671
dero	w1_d209e11677
Andacht	w3_d209e11680
verrichtet.	w5_d209e11683
</p>
<p id="p12_d209e11687">
Gestern	w1_d209e11691
und	w3_d209e11694
Vorgestern	w5_d209e11697
seynd	w7_d209e11700
Allerhöchst	w9_d209e11703
dieselbe	w1_d209e11708
abermalen	w3_d209e11711
mit	w5_d209e11714
Landesangelegenhei	w7_d209e11717
ten	w1_d209e11722
beschäftiget	w3_d209e11725
gewesen.	w5_d209e11728
</p>
<p id="p14_d209e11731">
Am	w1_d209e11735
8ten	w3_d209e11738
Januarii	w5_d209e11741
seynd	w7_d209e11744
Se.	w9_d209e11747
Excellenz,	w11_d209e11750
der	w1_d209e11755
Kaiserl.	w3_d209e11758
Königl.	w5_d209e11761
General	w7_d209e11764
Feld=marschall,	w9_d209e11767
und	w1_d209e11772
Commandirender	w3_d209e11775
General	w5_d209e11778
in	w7_d209e11781
dem	w9_d209e11784
Für	w11_d209e11787
stentum	w1_d209e11793
Siebenbürgen,	w3_d209e11796
Franzl	w5_d209e11799
Wenzel	w7_d209e11802
Graf	w9_d209e11805
von	w1_d209e11810
Wallis,	w3_d209e11813
aus	w5_d209e11816
Hermannstadt	w7_d209e11819
hier	w9_d209e11822
ange	w11_d209e11825
langet.	w1_d209e11830
</p>
<head id="h2_d209e11836">
Lista	w1_d209e11840
deren	w3_d209e11843
Verstorbenen	w5_d209e11846
zu	w7_d209e11849
Wien	w9_d209e11852
in	w1_d209e11857
und	w3_d209e11860
vor	w5_d209e11863
der	w7_d209e11866
Stadt.	w9_d209e11869
Den	w1_d209e11874
6.	w3_d209e11877
Januarii.	w5_d209e11880
Jn	w1_d209e11886
der	w3_d209e11889
Stadt.	w5_d209e11892
</head>
<list id="l4_d209e11895">
Dem	w1_d209e11899
Paul	w3_d209e11902
Voit,	w5_d209e11905
Burgerl.	w7_d209e11908
Schocolade=mach.,	w9_d209e11911
s.	w11_d209e11914
T.	w13_d209e11918
Anna	w1_d209e11923
Maria,	w3_d209e11926
im	w5_d209e11929
Endtneris.	w7_d209e11932
H.	w9_d209e11935
am	w11_d209e11938
Kohl=markt,	w13_d209e11942
alt	w1_d209e11947
19.	w3_d209e11950
J.	w5_d209e11953
Jos.	w1_d209e11959
Rigott,	w3_d209e11962
Portir,	w5_d209e11965
im	w7_d209e11968
Capararis.	w9_d209e11971
H.	w11_d209e11974
in	w13_d209e11978
der	w15_d209e11981
Wal	w17_d209e11984
lerstr.,	w1_d209e11989
alt	w3_d209e11992
68.	w5_d209e11995
J.	w7_d209e11998
</list>
<head id="h2_d209e12005">
Vor	w1_d209e12009
der	w3_d209e12012
Stadt.	w5_d209e12015
</head>
<list id="l4_d209e12018">
man.	w1_d209e12022
Richter,	w3_d209e12025
gew.	w5_d209e12028
Verwalt.,	w7_d209e12031
im	w9_d209e12034
Maurerpollie	w11_d209e12037
ris.	w1_d209e12042
H.	w3_d209e12045
in	w5_d209e12048
der	w7_d209e12051
Leopoldst.,	w9_d209e12054
alt	w11_d209e12057
34.	w13_d209e12061
J.	w15_d209e12064
Anna	w1_d209e12069
Pichlerin,	w3_d209e12072
Wittwe,	w5_d209e12075
bey	w7_d209e12078
der	w9_d209e12081
gold.	w11_d209e12084
Sonn	w13_d209e12088
im	w15_d209e12091
Liechtenth.,	w1_d209e12097
alt	w3_d209e12100
65.	w5_d209e12103
J.	w7_d209e12106
Ludw.	w1_d209e12111
Meister,	w3_d209e12114
Burgerl.	w5_d209e12117
Tischl.,	w7_d209e12120
bey	w9_d209e12123
St.	w11_d209e12126
Anna	w13_d209e12130
in	w1_d209e12135
der	w3_d209e12138
Josephst.,	w5_d209e12141
alt	w7_d209e12144
76.	w9_d209e12147
J.	w11_d209e12150
Anna	w1_d209e12155
Opferkuchin,	w3_d209e12158
Wittwe,	w5_d209e12161
im	w7_d209e12164
Felixis.	w9_d209e12167
H.	w11_d209e12170
in	w13_d209e12174
der	w15_d209e12177
Leopoldst.,	w1_d209e12183
alt	w3_d209e12186
66.	w5_d209e12189
J.	w7_d209e12192
Dem	w1_d209e12197
Andre	w3_d209e12200
Weissenhammer,	w5_d209e12203
Pensel=mach.,	w7_d209e12206
s.	w9_d209e12209
W.	w11_d209e12212
Margar.,	w1_d209e12217
wilche	w3_d209e12220
sich	w5_d209e12223
über	w7_d209e12226
die	w9_d209e12229
Keller=stieg.	w11_d209e12232
erfal.	w13_d209e12236
ist	w1_d209e12241
in	w3_d209e12244
s.	w5_d209e12247
H.	w7_d209e12250
zu	w9_d209e12253
Margar.	w11_d209e12256
vom	w13_d209e12260
K.	w15_d209e12263
K.	w17_d209e12266
Stadt=gericht	w19_d209e12269
beschauet	w1_d209e12275
worden,	w3_d209e12278
alt	w5_d209e12281
62.	w7_d209e12284
J.	w9_d209e12287
Dem	w1_d209e12292
Georg	w3_d209e12295
Fischer,	w5_d209e12298
Maurern,	w7_d209e12301
s.	w9_d209e12304
W.	w11_d209e12307
Elisab.,	w13_d209e12311
beym	w15_d209e12314
grün.	w1_d209e12319
Baum	w3_d209e12322
am	w5_d209e12325
Neustift,	w7_d209e12328
alt	w9_d209e12331
23.	w11_d209e12334
J.	w13_d209e12338
Elisab.	w1_d209e12343
Mädlin,	w3_d209e12346
ledig,	w5_d209e12349
beym	w7_d209e12352
rot.	w9_d209e12355
H.	w11_d209e12358
an	w13_d209e12362
der	w15_d209e12365
Wien,	w17_d209e12368
alt	w1_d209e12374
57.	w3_d209e12377
J.	w5_d209e12380
</list>
<list id="l10_d209e12394">
Polixena	w1_d209e12398
Stickerin,	w3_d209e12401
Wittwe,	w5_d209e12404
im	w7_d209e12407
Zinn=glesseris.	w9_d209e12410
H.	w11_d209e12413
in	w1_d209e12418
der	w3_d209e12421
Leopoldst.,	w5_d209e12424
alt	w7_d209e12427
44.	w9_d209e12430
J.	w11_d209e12433
</list>
<head id="h2_d209e12440">
Summa	w1_d209e12444
10.	w3_d209e12447
Person.,	w5_d209e12450
darunter	w7_d209e12453
0.	w9_d209e12456
Kinder.	w11_d209e12459
Den	w1_d209e12464
7.	w3_d209e12467
Januarii.	w5_d209e12470
Jn	w1_d209e12475
der	w3_d209e12478
Stadt.	w5_d209e12481
</head>
<list id="l4_d209e12484">
Die	w1_d209e12488
Wol=edle	w3_d209e12491
Frle	w5_d209e12494
Anna	w7_d209e12497
Elisab.	w9_d209e12500
v.	w11_d209e12503
Janisch,	w13_d209e12507
beym	w15_d209e12510
gold.	w1_d209e12515
A.	w3_d209e12518
B.	w5_d209e12521
C.	w7_d209e12524
in	w9_d209e12527
der	w11_d209e12530
Himmel=pfort=gas.,	w13_d209e12534
63.	w15_d209e12537
J.	w17_d209e12540
Hr.	w1_d209e12545
Joh.	w3_d209e12548
Paul	w5_d209e12551
Solderer,	w7_d209e12554
Burgerl.	w9_d209e12557
Tuch=handl,	w11_d209e12560
im	w13_d209e12564
Kollner=hof,	w1_d209e12570
alt	w3_d209e12573
39.	w5_d209e12576
J.	w7_d209e12579
Dem	w1_d209e12584
Joh.	w3_d209e12587
Posch,	w5_d209e12590
Portiern,	w7_d209e12593
s.	w9_d209e12596
K.	w11_d209e12599
Anna,	w13_d209e12603
im	w15_d209e12606
K.	w17_d209e12609
K.	w19_d209e12612
Directorial=gebäu,	w1_d209e12617
alt	w3_d209e12620
3.	w5_d209e12623
1.	w7_d209e12626
v.	w9_d209e12629
J.	w11_d209e12632
Carl	w1_d209e12637
Gratschmayr,	w3_d209e12640
Lauf.,	w5_d209e12643
im	w7_d209e12646
Bathpanis.	w9_d209e12649
H.	w11_d209e12652
in	w13_d209e12656
derr	w15_d209e12659
obern	w1_d209e12665
Schenkenstr.,	w3_d209e12668
alt	w5_d209e12671
32.	w7_d209e12674
J.	w9_d209e12677
Dem	w1_d209e12682
Florian	w3_d209e12685
Brandtner,	w5_d209e12688
Wacht.	w7_d209e12691
im	w9_d209e12694
K.	w11_d209e12697
K.	w13_d209e12701
Zeug=h.	w15_d209e12704
s.	w1_d209e12709
W.	w3_d209e12712
Theres.,	w5_d209e12715
alda,	w7_d209e12718
alt	w9_d209e12721
47.	w11_d209e12724
J.	w13_d209e12728
</list>
<head id="h2_d209e12735">
Vor	w1_d209e12739
der	w3_d209e12742
Stadt.	w5_d209e12745
</head>
<list id="l4_d209e12748">
Dem	w1_d209e12752
Andre	w3_d209e12755
Biterman,	w5_d209e12758
Burgerl.	w7_d209e12761
Lackier.,	w9_d209e12764
s.	w11_d209e12767
K.	w13_d209e12771
Mich.	w15_d209e12774
beym	w1_d209e12779
gold.	w3_d209e12782
Lux.	w5_d209e12785
am	w7_d209e12788
Spitalberg,	w9_d209e12791
alt	w11_d209e12794
4.	w13_d209e12798
J.	w15_d209e12801
Anna	w1_d209e12806
Cobertin,	w3_d209e12809
Wittwe,	w5_d209e12812
im	w7_d209e12815
Rudorferis.	w9_d209e12818
H.	w11_d209e12821
in	w13_d209e12825
der	w15_d209e12828
Leopoldst.,	w1_d209e12834
alt	w3_d209e12837
76.	w5_d209e12840
J.	w7_d209e12843
Georg	w1_d209e12848
Plank,	w3_d209e12851
Burgerl.	w5_d209e12854
Schneid.,	w7_d209e12857
beym	w9_d209e12860
Krapf.	w11_d209e12863
auf	w13_d209e12867
der	w1_d209e12872
Wied.,	w3_d209e12875
alt	w5_d209e12878
58.	w7_d209e12881
J.	w9_d209e12884
Dem	w1_d209e12889
Adam	w3_d209e12892
Kobelt,	w5_d209e12895
Sauer=kräutl.,	w7_d209e12898
s.	w9_d209e12901
W.	w11_d209e12904
Anna,	w13_d209e12908
beym	w1_d209e12914
braun.	w3_d209e12917
Hirsch.	w5_d209e12920
ausser	w7_d209e12923
Mariarhülf,	w9_d209e12926
28.	w11_d209e12929
J.	w13_d209e12933
Dem	w1_d209e12938
Georg	w3_d209e12941
Kistner,	w5_d209e12944
sauf.,	w7_d209e12947
s.	w9_d209e12950
K.	w11_d209e12953
Franz,	w13_d209e12957
im	w15_d209e12960
San	w17_d209e12963
tis.	w1_d209e12968
H.	w3_d209e12971
auf	w5_d209e12974
der	w7_d209e12977
Wied.,	w9_d209e12980
alt	w11_d209e12983
1.	w13_d209e12987
J.	w15_d209e12990
Magdal.	w1_d209e12995
Schießingerin,	w3_d209e12998
Wittwe,	w5_d209e13001
beym	w7_d209e13004
grün.	w9_d209e13007
Thor	w11_d209e13010
untern	w1_d209e13016
Felh.,	w3_d209e13019
alt	w5_d209e13022
69.	w7_d209e13025
J.	w9_d209e13028
Dem	w1_d209e13033
Christoph	w3_d209e13036
Richter,	w5_d209e13039
Lack.,	w7_d209e13042
s.	w9_d209e13045
K.	w11_d209e13048
Anna,	w13_d209e13052
bey	w15_d209e13055
dem	w17_d209e13058
Klee=blat	w1_d209e13063
am	w3_d209e13066
Neubau,	w5_d209e13069
alt	w7_d209e13072
5.	w9_d209e13075
J.	w11_d209e13078
Dem	w1_d209e13083
Mich.	w3_d209e13086
Hobel,	w5_d209e13089
Tagw.,	w7_d209e13092
s.	w9_d209e13095
K.	w11_d209e13098
Simon,	w13_d209e13102
bey	w15_d209e13105
der	w17_d209e13108
bl.	w1_d209e13114
Kugel	w3_d209e13117
in	w5_d209e13120
der	w7_d209e13123
Alster=gas.,	w9_d209e13126
alt	w11_d209e13129
5.	w13_d209e13133
v.	w15_d209e13136
J.	w17_d209e13139
</list>
<head id="h2_d209e13146">
Summa	w1_d209e13150
13.	w3_d209e13153
Pers.,	w5_d209e13156
darunter	w7_d209e13159
5.	w9_d209e13162
Kinder.	w11_d209e13165
Den	w1_d209e13170
8.	w3_d209e13173
Jan.	w5_d209e13176
Jn	w7_d209e13179
der	w9_d209e13182
Stadt.	w11_d209e13185
Math.	w1_d209e13190
Dänzl,	w3_d209e13193
arm.	w5_d209e13196
M.,	w7_d209e13199
im	w9_d209e13202
Fuhrmanis.	w11_d209e13205
H.	w13_d209e13209
in	w15_d209e13212
der	w17_d209e13215
Römerstr.,	w1_d209e13221
alt	w3_d209e13224
73.	w5_d209e13227
J.	w7_d209e13230
</head>
<head id="h2_d209e13237">
Vor	w1_d209e13241
der	w3_d209e13244
Stadt.	w5_d209e13247
</head>
<list id="l4_d209e13250">
(Tit.)	w1_d209e13254
Fr.	w3_d209e13257
Maria	w5_d209e13260
Anna	w7_d209e13263
v.	w9_d209e13266
Aineder,	w11_d209e13269
in	w13_d209e13273
ihrem	w15_d209e13276
H.	w17_d209e13279
am	w1_d209e13284
Hundsth.,	w3_d209e13287
alt	w5_d209e13290
68.	w7_d209e13293
J.	w9_d209e13296
Dem	w1_d209e13301
Jos.	w3_d209e13304
Klinger,	w5_d209e13307
Burgerl.	w7_d209e13310
Schuh=mach.,	w9_d209e13313
s.	w11_d209e13316
W.	w13_d209e13320
Elisab.,	w1_d209e13326
beym	w3_d209e13329
gold.	w5_d209e13332
Satel	w7_d209e13335
bey	w9_d209e13338
St.	w11_d209e13341
Ulrich,	w13_d209e13345
58.	w15_d209e13348
J.	w17_d209e13351
Anna	w1_d209e13356
Zaudingerin,	w3_d209e13359
Wittwe,	w5_d209e13362
beym	w7_d209e13365
gold.	w9_d209e13368
Lämmel	w11_d209e13371
am	w1_d209e13376
Neustift,	w3_d209e13379
alt	w5_d209e13382
80.	w7_d209e13385
J.	w9_d209e13388
Dem	w1_d209e13393
Jgnatz	w3_d209e13396
Müller,	w5_d209e13399
Krammern,	w7_d209e13402
s.	w9_d209e13405
W.	w11_d209e13408
Cathar.,	w13_d209e13412
beym	w1_d209e13418
rof.	w3_d209e13421
Löw.	w5_d209e13424
im	w7_d209e13427
Liechtenth.,	w9_d209e13430
alt	w11_d209e13433
46.	w13_d209e13437
J.	w15_d209e13440
Anna	w1_d209e13445
Spenederin,	w3_d209e13448
Wittwe,	w5_d209e13451
im	w7_d209e13454
Thalleris.	w9_d209e13457
H.	w11_d209e13460
in	w13_d209e13464
ber	w15_d209e13467
Leopoldst.,	w1_d209e13472
alt	w3_d209e13475
66.	w5_d209e13478
J.	w7_d209e13481
Jos.	w1_d209e13486
Weber,	w3_d209e13489
Brief=trag.,	w5_d209e13492
beym	w7_d209e13495
gold.	w9_d209e13498
Ochs.	w11_d209e13501
in	w13_d209e13505
der	w15_d209e13508
Leopoldst.,	w1_d209e13514
alt	w3_d209e13517
40.	w5_d209e13520
J.	w7_d209e13523
Dem	w1_d209e13528
Joh.	w3_d209e13531
Pielleck,	w5_d209e13534
Walbeggis.	w7_d209e13537
Gefr.,	w9_d209e13540
s.	w11_d209e13543
K.	w13_d209e13547
Anna,	w15_d209e13550
in	w1_d209e13555
der	w3_d209e13558
Casarm,	w5_d209e13561
alt	w7_d209e13564
7.	w9_d209e13567
J.	w11_d209e13570
Constantia	w1_d209e13575
Bsandtnerin,	w3_d209e13578
ar.	w5_d209e13581
W.,	w7_d209e13584
bey	w9_d209e13587
der	w11_d209e13590
grünen	w13_d209e13594
Saul.	w1_d209e13600
im	w3_d209e13603
