<doc id="wr_1758-01-21" attrs="word" year="1758" month="01" day="21" corpus="2">
<head id="h2_d212e3556">
Lüneburg,	w1_d212e3560
nach	w11_d212e10803
diesem	w1_d212e10808
Friedens=schluß	w3_d212e10811
habe	w5_d212e10814
der	w7_d212e10817
Gouverneur	w9_d212e10820
</p>
<p id="p10_d212e10833">
von	w1_d212e10837
Batavia	w3_d212e10840
4000.	w5_d212e10843
Mann	w7_d212e10846
von	w9_d212e10849
denen	w11_d212e10852
Natio	w13_d212e10856
nal=trupen	w1_d212e10861
abgedanket,	w3_d212e10864
und	w5_d212e10867
man	w7_d212e10870
habe	w9_d212e10873
in	w11_d212e10876
allen	w1_d212e10881
Plätzen,	w3_d212e10884
Forten,	w5_d212e10887
und	w7_d212e10890
Schlössern	w9_d212e10893
der	w11_d212e10896
Compagnie	w1_d212e10902
einen	w3_d212e10905
solennen	w5_d212e10908
Dank=tag	w7_d212e10911
gehalten.	w9_d212e10914
</p>
<head id="h2_d212e10920">
Brest	w1_d212e10924
2.	w3_d212e10927
Jan.	w5_d212e10930
</head>
<p id="p4_d212e10933">
Die	w1_d212e10937
41.	w3_d212e10940
Engländische	w5_d212e10943
Prisen,	w7_d212e10946
welche	w9_d212e10949
die	w11_d212e10952
Kö	w13_d212e10956
nigl.	w1_d212e10961
Kapers	w3_d212e10964
zu	w5_d212e10967
Louisburg	w7_d212e10970
aufgebracht,	w9_d212e10973
und	w11_d212e10976
innerhalb	w1_d212e10981
4.	w3_d212e10984
Monaten	w5_d212e10987
auf	w7_d212e10990
denen	w9_d212e10993
Acadischen	w11_d212e10996
Gewässern	w1_d212e11002
erbeutet,	w3_d212e11005
seynd	w5_d212e11008
ausgeladen,	w7_d212e11011
und	w9_d212e11014
die	w1_d212e11019
Briefe,	w3_d212e11022
welche	w5_d212e11025
gerade	w7_d212e11028
von	w9_d212e11031
gedachtem	w11_d212e11034
Louisburg	w1_d212e11039
hier	w3_d212e11042
angekommen,	w5_d212e11045
schätzen	w7_d212e11048
die	w9_d212e11051
dar	w11_d212e11054
auf	w1_d212e11059
gefundene	w3_d212e11062
Güter	w5_d212e11065
auf	w7_d212e11068
5.	w9_d212e11071
Millionen	w11_d212e11074
Fran	w13_d212e11078
zösischer	w1_d212e11084
Livres;	w3_d212e11087
unter	w5_d212e11090
denen	w7_d212e11093
Waaren	w9_d212e11096
hat	w11_d212e11099
man	w1_d212e11104
allein	w3_d212e11107
aus	w5_d212e11110
dem	w7_d212e11113
Brittischen	w9_d212e11116
Schiffe	w11_d212e11119
Mer	w13_d212e11123
ry	w1_d212e11128
80.	w3_d212e11131
Ballen	w5_d212e11134
des	w7_d212e11137
besten	w9_d212e11140
roten	w11_d212e11143
Engländischen	w13_d212e11147
Tuchs	w1_d212e11152
bekommen.	w3_d212e11155
Auch	w5_d212e11158
hat	w7_d212e11161
man	w9_d212e11164
hier	w11_d212e11167
die	w13_d212e11171
bestättigte	w1_d212e11177
Zeitung	w3_d212e11180
aus	w5_d212e11183
Bergen	w7_d212e11186
in	w9_d212e11189
Norwegen	w11_d212e11192
daß	w1_d212e11197
der	w3_d212e11200
Capitan	w5_d212e11203
Robert,	w7_d212e11206
welcher	w9_d212e11209
die	w11_d212e11212
Fregatte	w13_d212e11216
die	w1_d212e11221
Gräfin	w3_d212e11224
de	w5_d212e11227
la	w7_d212e11230
Serre	w9_d212e11233
commandiret,	w11_d212e11236
alda	w13_d212e11240
7.	w15_d212e11243
Engländische,	w1_d212e11248
und	w3_d212e11251
zu	w5_d212e11254
Nord=tsland	w7_d212e11257
ein	w9_d212e11260
8tes,	w11_d212e11263
das	w13_d212e11267
14.	w1_d212e11273
Canonen,	w3_d212e11276
und	w5_d212e11279
36.	w7_d212e11282
Mann	w9_d212e11285
am	w11_d212e11288
Bord	w13_d212e11292
gehabt	w15_d212e11295
aufgebracht.	w1_d212e11300
Das	w3_d212e11303
letzte	w5_d212e11306
Schif	w7_d212e11309
kam	w9_d212e11312
von	w11_d212e11315
de	w13_d212e11319
nen	w1_d212e11324
Virginischen	w3_d212e11327
Jnsuln,	w5_d212e11330
und	w7_d212e11333
dessen	w9_d212e11336
Ladung	w11_d212e11339
bestand	w1_d212e11344
in	w3_d212e11347
einer	w5_d212e11350
grossen	w7_d212e11353
Ladung	w9_d212e11356
des	w11_d212e11359
aller=besten	w13_d212e11363
Tobacks.	w1_d212e11369
</p>
<head id="h2_d212e11375">
Paderborn	w1_d212e11379
3.	w3_d212e11382
Jan.	w5_d212e11385
</head>
<p id="p4_d212e11388">
Aus	w1_d212e11392
dem	w3_d212e11395
Hanöverischen	w5_d212e11398
melden	w7_d212e11401
die	w9_d212e11404
neuesten	w11_d212e11407
Nachrichten	w1_d212e11412
nichtes	w3_d212e11415
von	w5_d212e11418
einiger	w7_d212e11421
Veränderung.	w9_d212e11424
Die	w1_d212e11429
Winter=quartiere	w3_d212e11432
seynd	w5_d212e11435
so	w7_d212e11438
ziemlich	w9_d212e11441
ruhig,	w11_d212e11444
und	w1_d212e11450
nur	w3_d212e11453
zwischen	w5_d212e11456
denen	w7_d212e11459
ausgestelten	w9_d212e11462
Piquets,	w11_d212e11465
und	w1_d212e11470
denen	w3_d212e11473
Detaschements,	w5_d212e11476
welche	w7_d212e11479
Französi	w9_d212e11482
scher	w1_d212e11487
Seits	w3_d212e11490
abgeschicket	w5_d212e11493
werden,	w7_d212e11496
kommt	w9_d212e11499
es	w11_d212e11502
zuweilen	w1_d212e11507
zum	w3_d212e11510
Gefecht.	w5_d212e11513
Den	w7_d212e11516
28ten	w9_d212e11519
machten	w11_d212e11522
die	w1_d212e11528
Hanoveraner	w3_d212e11531
16.	w5_d212e11534
Gefangene,	w7_d212e11537
und	w9_d212e11540
den	w11_d212e11543
30.	w13_d212e11547
December	w1_d212e11552
brachte	w3_d212e11555
der	w5_d212e11558
Major	w7_d212e11561
Luchner	w9_d212e11564
60.	w11_d212e11567
de	w13_d212e11571
rerselben,	w1_d212e11576
sowol	w3_d212e11579
Hussaren	w5_d212e11582
als	w7_d212e11585
Dragoner,	w9_d212e11588
nebst	w11_d212e11591
dem	w1_d212e11596
Französischen	w3_d212e11599
Obrist=leutenant	w5_d212e11602
von	w7_d212e11605
Grand	w1_d212e11611
Maison,	w3_d212e11614
2.	w5_d212e11617
Capitains,	w7_d212e11620
und	w9_d212e11623
3.	w11_d212e11626
Leute	w13_d212e11630
nante	w1_d212e11635
nach	w3_d212e11638
Ulzen.	w5_d212e11641
Dieses	w7_d212e11644
Detaschement	w9_d212e11647
wol	w11_d212e11650
te	w1_d212e11655
von	w3_d212e11658
Gyfhorn	w5_d212e11661
nach	w7_d212e11664
Hankersbüttel	w9_d212e11667
mar	w11_d212e11670
schiren,	w1_d212e11675
und	w3_d212e11678
in	w5_d212e11681
der	w7_d212e11684
Gegend	w9_d212e11687
von	w11_d212e11690
Varenholz	w13_d212e11694
ge	w15_d212e11697
schahe	w1_d212e11703
die	w3_d212e11706
Attaque.	w5_d212e11709
Die	w7_d212e11712
Regimenter	w9_d212e11715
der	w11_d212e11718
Hanöverischen	w1_d212e11723
Armee	w3_d212e11726
ligen	w5_d212e11729
meistens	w7_d212e11732
im	w9_d212e11735
Lü	w11_d212e11738
neburgischen,	w1_d212e11743
und	w3_d212e11746
Zellischen	w5_d212e11749
vertheilt,	w7_d212e11752
und	w9_d212e11755
ein	w1_d212e11760
starkes	w3_d212e11763
Corpo	w5_d212e11766
liget	w7_d212e11769
in	w9_d212e11772
der	w11_d212e11775
Gegend	w13_d212e11779
von	w15_d212e11782
Sta	w17_d212e11785
de,	w1_d212e11791
und	w3_d212e11794
erstrecket	w5_d212e11797
sich	w7_d212e11800
bis	w9_d212e11803
herunter	w11_d212e11806
gegen	w13_d212e11810
Ro	w15_d212e11813
thenburg,	w1_d212e11818
um	w3_d212e11821
diese	w5_d212e11824
Lande	w7_d212e11827
zu	w9_d212e11830
bedecken.	w11_d212e11833
</p>
<p id="p6_d212e11836">
Französischer	w1_d212e11840
Seits	w3_d212e11843
hat	w5_d212e11846
man	w7_d212e11849
nunmehrs	w9_d212e11852
angefangen,	w1_d212e11857
einen	w3_d212e11860
Cordon	w5_d212e11863
an	w7_d212e11866
dem	w9_d212e11869
Aller=fluß	w11_d212e11872
herunter,	w1_d212e11877
bis	w3_d212e11880
nach	w5_d212e11883
Gyfhorn	w7_d212e11886
zu	w9_d212e11889
ziehen.	w11_d212e11892
Dies	w13_d212e11896
seits	w1_d212e11902
Zelle	w3_d212e11905
ist	w5_d212e11908
ein	w7_d212e11911
Corpo	w9_d212e11914
von	w11_d212e11917
25000.	w13_d212e11921
Mann	w15_d212e11924
zurück	w1_d212e11929
gelassen	w3_d212e11932
worden,	w5_d212e11935
um	w7_d212e11938
die	w9_d212e11941
gegen=seitige	w11_d212e11944
Bewegungen	w1_d212e11949
zu	w3_d212e11952
observiren,	w5_d212e11955
und	w7_d212e11958
30000.	w9_d212e11961
Mann	w11_d212e11964
seynd	w1_d212e11969
gegen	w3_d212e11972
Wolfsburg,	w5_d212e11975
und	w7_d212e11978
Königs=lutter	w9_d212e11981
detaschirt	w1_d212e11987
worden,	w3_d212e11990
um	w5_d212e11993
an	w7_d212e11996
denen	w9_d212e11999
Brandenbur	w11_d212e12002
gischen	w1_d212e12007
Gräzen	w3_d212e12010
zu	w5_d212e12013
cantoniren.	w7_d212e12016
Ein	w9_d212e12019
Theil	w11_d212e12022
der	w13_d212e12026
Trupen	w1_d212e12031
gehet	w3_d212e12034
nach	w5_d212e12037
Hildesheim,	w7_d212e12040
Hameln,	w9_d212e12043
und	w11_d212e12046
Nienburg,	w1_d212e12051
und	w3_d212e12054
das	w5_d212e12057
Regiment	w7_d212e12060
von	w9_d212e12063
Sachsen	w11_d212e12066
gotha,	w1_d212e12072
nebst	w3_d212e12075
dem	w5_d212e12078
von	w7_d212e12081
Belsunce	w9_d212e12084
muß	w11_d212e12087
sich	w13_d212e12091
nach	w15_d212e12094
Hornburg	w1_d212e12099
begeben.	w3_d212e12102
Den	w5_d212e12105
30.	w7_d212e12108
Decemb.	w9_d212e12111
traf	w11_d212e12114
der	w1_d212e12119
Herr	w3_d212e12122
Marschall,	w5_d212e12125
Herzog	w7_d212e12128
von	w9_d212e12131
Richelieu,	w11_d212e12134
in	w13_d212e12138
Hanover	w1_d212e12143
von	w3_d212e12146
Zelle	w5_d212e12149
ein.	w7_d212e12152
Die	w9_d212e12155
Canonen	w11_d212e12158
auf	w13_d212e12162
denen	w1_d212e12168
Wällen	w3_d212e12171
wurden	w5_d212e12174
abgefeuert,	w7_d212e12177
und	w9_d212e12180
Seine	w11_d212e12183
Excellenz	w1_d212e12188
bezogen	w3_d212e12191
das	w5_d212e12194
Palais	w7_d212e12197
des	w9_d212e12200
Herrn	w11_d212e12203
Staats=ministers	w1_d212e12208
von	w3_d212e12211
Busch.	w5_d212e12214
Die	w7_d212e12217
Besa	w9_d212e12220
tzung	w1_d212e12225
dieser	w3_d212e12228
Stadt	w5_d212e12231
wird	w7_d212e12234
bis	w9_d212e12237
auf	w11_d212e12240
10.	w13_d212e12244
Batail	w15_d212e12247
lons	w1_d212e12253
verstärket,	w3_d212e12256
und	w5_d212e12259
die	w7_d212e12262
meisten	w9_d212e12265
davon	w11_d212e12268
seynd	w13_d212e12272
bereits	w1_d212e12277
eingerücket.	w3_d212e12280
</p>
<head id="h2_d212e12286">
Düsseldorf	w1_d212e12290
7.	w3_d212e12293
Jan.	w5_d212e12296
</head>
<p id="p4_d212e12299">
Mit	w1_d212e12303
Briefen	w3_d212e12306
von	w5_d212e12309
Cleve	w7_d212e12312
vernihmt	w9_d212e12315
man,	w11_d212e12318
daß	w13_d212e12322
die	w1_d212e12327
Franzosen	w3_d212e12330
mit	w5_d212e12333
dem	w7_d212e12336
grösten	w9_d212e12339
Fleisse	w11_d212e12342
an	w13_d212e12346
denen	w15_d212e12349
Festungs=werkern	w1_d212e12354
zu	w3_d212e12357
Wesel	w5_d212e12360
arbeiteten,	w7_d212e12363
und	w9_d212e12366
zwar	w1_d212e12372
dergestalt,	w3_d212e12375
daß	w5_d212e12378
man	w7_d212e12381
dieses	w9_d212e12384
Geschäfte	w11_d212e12387
auch	w1_d212e12392
an	w3_d212e12395
denen	w5_d212e12398
Feyer=tägen	w7_d212e12401
nicht	w9_d212e12404
unterliesse.	w11_d212e12407
</p>
<p id="p6_d212e12410">
Man	w1_d212e12414
hat	w3_d212e12417
hier	w5_d212e12420
8.	w7_d212e12423
kleine	w9_d212e12426
Fässel	w11_d212e12429
mit	w13_d212e12433
Geld	w15_d212e12436
bey	w17_d212e12439
zweyen	w1_d212e12444
Gast=haltern	w3_d212e12447
in	w5_d212e12450
Beschlag	w7_d212e12453
genommen,	w9_d212e12456
und	w1_d212e12461
glaubet,	w3_d212e12464
daß	w5_d212e12467
sie	w7_d212e12470
einen	w9_d212e12473
Theil	w11_d212e12476
desjenigen	w13_d212e12480
Schatzes	w1_d212e12486
ausmachen,	w3_d212e12489
den	w5_d212e12492
man	w7_d212e12495
zu	w9_d212e12498
Osnabrück	w11_d212e12501
angehalten.	w1_d212e12506
</p>
<head id="h2_d212e12512">
Kurz=gefaßte	w1_d212e12516
Nachrichten.	w3_d212e12519
Es	w1_d212e12524
geben	w3_d212e12527
die	w5_d212e12530
Briefe	w7_d212e12533
</head>
<p id="p4_d212e12536">
Von	w1_d212e12540
Leipzig:	w3_d212e12543
Daß	w5_d212e12546
den	w7_d212e12549
5.	w9_d212e12552
Jan.	w11_d212e12555
würklich	w13_d212e12559
von	w1_d212e12564
denen	w3_d212e12567
in	w5_d212e12570
dasigen	w7_d212e12573
Gegenden	w9_d212e12576
gestandenen	w11_d212e12579
Kö	w13_d212e12583
nigl.	w1_d212e12588
Preußischen	w3_d212e12591
Trupen	w5_d212e12594
5.	w7_d212e12597
Bataillons	w9_d212e12600
gegen	w11_d212e12603
das	w1_d212e12609
Magdeburgische	w3_d212e12612
aufgebrochen,	w5_d212e12615
und	w7_d212e12618
ehe	w9_d212e12621
stens	w1_d212e12626
ein	w3_d212e12629
beträchtlich	w5_d212e12632
Corpo	w7_d212e12635
sich	w9_d212e12638
gegen	w11_d212e12641
die	w13_d212e12645
Hanöverische	w1_d212e12650
Gränzen	w3_d212e12653
unter	w5_d212e12656
dem	w7_d212e12659
General	w9_d212e12662
major	w1_d212e12667
von	w3_d212e12670
Seidlitz	w5_d212e12673
ziehen	w7_d212e12676
werde.	w9_d212e12679
Von	w1_d212e12685
Neapel:	w3_d212e12688
Daß	w5_d212e12691
der	w7_d212e12694
aldasige	w9_d212e12697
Königl.	w11_d212e12700
Hof	w1_d212e12705
wegen	w3_d212e12708
jüngst=bemeldeter	w5_d212e12711
Austrettung	w7_d212e12714
deren	w1_d212e12719
FFlüssen,	w3_d212e12722
und	w5_d212e12725
weg=geriffener	w7_d212e12728
Brücken	w9_d212e12731
</p>
<p id="p10_d212e12744">
nicht	w1_d212e12748
ehender	w3_d212e12751
als	w5_d212e12754
den	w7_d212e12757
24	w9_d212e12760
December	w11_d212e12763
von	w13_d212e12767
Per	w15_d212e12770
sano	w1_d212e12775
habe	w3_d212e12778
zuruck=kehren	w5_d212e12781
können,	w7_d212e12784
als	w9_d212e12787
an	w11_d212e12790
wel	w13_d212e12794
chem	w1_d212e12799
Tag	w3_d212e12802
Jhre	w5_d212e12805
Majestäten	w7_d212e12808
sich	w9_d212e12811
zu	w11_d212e12814
Salerno	w13_d212e12818
nacher	w1_d212e12824
Vietri	w3_d212e12827
eingeschiffet,	w5_d212e12830
und	w7_d212e12833
also	w9_d212e12836
ihren	w11_d212e12839
Ruck=weeg	w1_d212e12844
von	w3_d212e12847
jener	w5_d212e12850
Seite	w7_d212e12853
anhero	w9_d212e12856
genom	w11_d212e12859
men	w1_d212e12864
haben;	w3_d212e12867
wie	w5_d212e12870
dann	w7_d212e12873
auch	w9_d212e12876
durchgehends	w11_d212e12879
die	w13_d212e12883
Weege	w1_d212e12888
durch	w3_d212e12891
das	w5_d212e12894
Gewässer	w7_d212e12897
so	w9_d212e12900
übel	w11_d212e12903
zugerichtet	w13_d212e12907
worden	w1_d212e12913
seynd,	w3_d212e12916
daß	w5_d212e12919
Jhre	w7_d212e12922
Königl.	w9_d212e12925
Majestäten	w11_d212e12928
an	w1_d212e12933
verschiedenen	w3_d212e12936
Orten	w5_d212e12939
aussteigen	w7_d212e12942
und	w9_d212e12945
zu	w11_d212e12948
Fuß	w13_d212e12952
haben	w1_d212e12957
gehen	w3_d212e12960
müssen.	w5_d212e12963
</p>
<p id="p12_d212e12967">
Wien:	w1_d212e12971
man	w3_d212e12974
hat	w5_d212e12977
aus	w7_d212e12980
unserer	w9_d212e12983
mit	w11_d212e12986
allen	w13_d212e12990
gros	w15_d212e12993
fen	w1_d212e12998
Städten	w3_d212e13001
von	w5_d212e13004
Europa	w7_d212e13007
führenden	w9_d212e13010
Correspon	w11_d212e13013
denz	w1_d212e13018
als	w3_d212e13021
etwas	w5_d212e13024
besonderes	w7_d212e13027
anzumerken,	w9_d212e13030
daß	w11_d212e13033
vermög	w1_d212e13039
deren	w3_d212e13042
von	w5_d212e13045
allen	w7_d212e13048
Orten	w9_d212e13051
eingeloffenen	w11_d212e13054
Verzeichnüssen	w1_d212e13059
in	w3_d212e13062
dem	w5_d212e13065
verflossenen	w7_d212e13068
Jahre	w9_d212e13071
1757.	w1_d212e13076
fast	w3_d212e13079
überall	w5_d212e13082
mehrere	w7_d212e13085
Personen	w9_d212e13088
gestor	w11_d212e13091
ben,	w1_d212e13096
als	w3_d212e13099
geboren	w5_d212e13102
worden	w7_d212e13105
seyen.	w9_d212e13108
</p>
<head id="h2_d212e13114">
Wien	w1_d212e13118
21.	w3_d212e13121
Januarii	w5_d212e13124
1758.	w7_d212e13127
</head>
<p id="p4_d212e13130">
DEit	w1_d212e13134
vergangenem	w3_d212e13137
Mittwoch	w5_d212e13140
seynd	w7_d212e13143
beyde	w9_d212e13146
Kaiserliche	w1_d212e13151
Majestäten	w3_d212e13154
abermalen	w5_d212e13157
mit	w7_d212e13160
Staats	w1_d212e13165
und	w3_d212e13168
Kriegs=angelegenheiten	w5_d212e13171
bestän	w7_d212e13174
dig	w1_d212e13180
beschäftiget	w3_d212e13183
gewesen;	w5_d212e13186
Jhre	w7_d212e13189
Königl.	w9_d212e13192
Ho	w11_d212e13195
heiten	w1_d212e13200
die	w3_d212e13203
Durchleuchtigste	w5_d212e13206
junge	w7_d212e13209
Herrschaften	w9_d212e13212
aber	w1_d212e13217
haben	w3_d212e13220
all=täglich	w5_d212e13223
wechsel=weise	w7_d212e13226
der	w9_d212e13229
in	w11_d212e13232
der	w13_d212e13236
Kais.	w1_d212e13241
Kön.	w3_d212e13244
Hof=pfarr=kirche	w5_d212e13247
deren	w7_d212e13250
WW.	w9_d212e13253
EE.	w11_d212e13256
PP.	w1_d212e13262
Barnabiten	w3_d212e13265
bey	w5_d212e13268
St.	w7_d212e13271
Michael	w9_d212e13274
zur	w11_d212e13277
Erbit	w13_d212e13281
tung	w1_d212e13286
des	w3_d212e13289
göttlichen	w5_d212e13292
Seegens	w7_d212e13295
über	w9_d212e13298
die	w11_d212e13301
gerechte	w13_d212e13305
Kaiserl.	w1_d212e13310
Königl	w3_d212e13313
Waffen	w5_d212e13316
fürwährendange	w7_d212e13319
stelt=feyerlichen	w1_d212e13324
Andacht	w3_d212e13327
auferbaulichst	w5_d212e13330
bey	w7_d212e13333
gewohnet.	w1_d212e13339
</p>
<p id="p6_d212e13342">
Ubrigens	w1_d212e13346
haben	w3_d212e13349
Donnerstags	w5_d212e13352
den	w7_d212e13355
19den	w9_d212e13358
dieses	w1_d212e13363
Se.	w3_d212e13366
Majestät	w5_d212e13369
der	w7_d212e13372
Kaiser	w9_d212e13375
vor	w11_d212e13378
Dero	w13_d212e13382
Thron	w1_d212e13387
dem	w3_d212e13390
Durchleuchtigsten	w5_d212e13393
Fürsten,	w7_d212e13396
und	w9_d212e13399
Herrn,	w1_d212e13405
Herrn	w3_d212e13408
Francisco,	w5_d212e13411
Herzogen	w7_d212e13414
von	w9_d212e13417
Modena,	w1_d212e13422
über	w3_d212e13425
die	w5_d212e13428
Herzog=thümer	w7_d212e13431
Modena,	w9_d212e13434
Reggio,	w1_d212e13439
und	w3_d212e13442
Mirandola,	w5_d212e13445
auch	w7_d212e13448
alle	w9_d212e13451
übrige	w11_d212e13454
Reichs=lehen=stücke,	w1_d212e13459
und	w3_d212e13462
Zubehörungen	w5_d212e13465
mit	w7_d212e13468
denen	w1_d212e13474
gewöhnlichen	w3_d212e13477
Ceremonien	w5_d212e13480
die	w7_d212e13483
Belehnung	w9_d212e13486
allergnädigst	w1_d212e13491
ertheilet,	w3_d212e13494
welche	w5_d212e13497
hochgedachten	w7_d212e13500
Herrn	w1_d212e13505
Herzogens	w3_d212e13508
Bevollmächtigte	w5_d212e13511
(Titl.	w7_d212e13514
Herr	w1_d212e13519
Graf	w3_d212e13522
Anton	w5_d212e13525
von	w7_d212e13528
Montecucoli	w9_d212e13531
des	w11_d212e13534
hohen	w13_d212e13538
Malteser=ordens	w1_d212e13544
Ritter,	w3_d212e13547
und	w5_d212e13550
ausserordentli	w7_d212e13553
cher	w1_d212e13558
Herzoglich=Modenesischer	w3_d212e13561
Abgesandter,	w5_d212e13564
wie	w1_d212e13569
auch	w3_d212e13572
(Titl.)	w5_d212e13575
Herr	w7_d212e13578
Johann	w9_d212e13581
Joseph	w11_d212e13584
Mu	w13_d212e13588
nereti	w1_d212e13593
von	w3_d212e13596
Rettenfeld	w5_d212e13599
des	w7_d212e13602
H.	w9_d212e13605
Röm.	w11_d212e13608
Reichs	w13_d212e13612
Ritter,	w1_d212e13618
verschiedener	w3_d212e13621
Chur	w5_d212e13624
und	w7_d212e13627
Reichs	w9_d212e13630
</p>
<p id="p8_d212e13633">
Fürsten	w1_d212e13637
Hof=raht	w3_d212e13640
und	w5_d212e13643
Reichs=agent,	w7_d212e13646
in	w1_d212e13651
dem	w3_d212e13654
Namen	w5_d212e13657
ihres	w7_d212e13660
hohen	w9_d212e13663
Herrn	w11_d212e13666
Prin	w13_d212e13670
cipalens	w1_d212e13675
empfangen;	w3_d212e13678
wobey	w5_d212e13681
der	w7_d212e13684
erste	w9_d212e13687
ei	w11_d212e13690
ne	w1_d212e13696
zierliche	w3_d212e13699
Anrede,	w5_d212e13702
der	w7_d212e13705
anderte	w9_d212e13708
abler	w11_d212e13711
eine	w13_d212e13715
kurze	w1_d212e13720
wol=verfaste	w3_d212e13723
Dank=sagung	w5_d212e13726
mit	w7_d212e13729
algemei	w9_d212e13732
nem	w1_d212e13737
Beyfall	w3_d212e13740
allerunterthänigst	w5_d212e13743
erstattet	w7_d212e13746
ha	w9_d212e13749
ben.	w1_d212e13754
</p>
<head id="h2_d212e13761">
Lista	w1_d212e13765
deren	w3_d212e13768
Verstorbenen	w5_d212e13771
zu	w7_d212e13774
Wien	w9_d212e13777
in	w1_d212e13782
und	w3_d212e13785
vor	w5_d212e13788
der	w7_d212e13791
Stadt.	w9_d212e13794
Den	w1_d212e13799
16.	w3_d212e13802
Januarii.	w5_d212e13805
Jn	w1_d212e13811
der	w3_d212e13814
Stadt.	w5_d212e13817
</head>
<list id="l4_d212e13820">
Der	w1_d212e13824
Hoch=edel=ged.	w3_d212e13827
Hr.	w5_d212e13830
Ferd.	w7_d212e13833
Domin.	w9_d212e13836
Edler	w11_d212e13839
Hr.	w13_d212e13843
v.	w15_d212e13846
Quarient,	w1_d212e13851
und	w3_d212e13854
Raal,	w5_d212e13857
Jhrer	w7_d212e13860
R.	w9_d212e13863
K.	w11_d212e13866
K.	w13_d212e13870
M.	w15_d212e13873
N.	w17_d212e13876
Oe.	w19_d212e13879
Reg.	w1_d212e13884
Raht	w3_d212e13887
in	w5_d212e13890
Justitz=sach.,	w7_d212e13893
beym	w9_d212e13896
stein.	w11_d212e13899
Rös.	w13_d212e13903
in	w15_d212e13906
der	w1_d212e13912
Singerstr.,	w3_d212e13915
alt	w5_d212e13918
65.	w7_d212e13921
J.	w9_d212e13924
Hr.	w1_d212e13929
Wilh.	w3_d212e13932
Jenamt,	w5_d212e13935
des	w7_d212e13938
ausseren	w9_d212e13941
Stadt=rahts,	w11_d212e13944
in	w13_d212e13948
s.	w15_d212e13951
H.	w1_d212e13956
im	w3_d212e13959
Kraut	w5_d212e13962
gas.,	w7_d212e13965
alt	w9_d212e13968
68.	w11_d212e13971
J.	w13_d212e13975
Dem	w1_d212e13980
Hrn.	w3_d212e13983
Hirron.	w5_d212e13986
Rigotti,	w7_d212e13989
Burgerl.	w9_d212e13992
Handels=m.,	w11_d212e13995
s.	w1_d212e14001
Jungf.	w3_d212e14004
T.	w5_d212e14007
Cathar.,	w7_d212e14010
im	w9_d212e14013
Dattenriederis.	w11_d212e14016
H.	w13_d212e14020
am	w15_d212e14023
Grab.,	w1_d212e14028
alt	w3_d212e14031
21.	w5_d212e14034
J.	w7_d212e14037
Dem	w1_d212e14042
Carl	w3_d212e14045
Meckel,	w5_d212e14048
Burgerl.	w7_d212e14051
Schwert=feg.,	w9_d212e14054
s.	w11_d212e14057
K.	w13_d212e14061
Ant.,	w1_d212e14066
beym	w3_d212e14069
gold.	w5_d212e14072
Bärn	w7_d212e14075
am	w9_d212e14078
alt.	w11_d212e14081
Fleisch=m.,	w13_d212e14085
2.	w15_d212e14088
J.	w17_d212e14091
</list>
<head id="h2_d212e14098">
Vor	w1_d212e14102
der	w3_d212e14105
Stadt.	w5_d212e14108
</head>
<list id="l4_d212e14111">
Der	w1_d212e14115
Wol-ihrw.	w3_d212e14118
Hr.	w5_d212e14121
Andre	w7_d212e14124
Rigler,	w9_d212e14127
Vicar.	w11_d212e14130
auf	w13_d212e14134
der	w15_d212e14137
Landstr,	w1_d212e14142
im	w3_d212e14145
Winkelmanis.	w5_d212e14148
H.	w7_d212e14151
alda,	w9_d212e14154
alt	w11_d212e14157
34.	w13_d212e14161
J.	w15_d212e14164
Dem	w1_d212e14169
Hrn.	w3_d212e14172
Franz	w5_d212e14175
Hörl,	w7_d212e14178
Fecht=meist.	w9_d212e14181
in	w11_d212e14184
der	w13_d212e14188
K.	w15_d212e14191
K.	w17_d212e14194
Mi	w19_d212e14197
litor-academie,	w1_d212e14203
s.	w3_d212e14206
K.	w5_d212e14209
Matthäus,	w7_d212e14212
alda,	w9_d212e14215
5.	w11_d212e14218
J.	w13_d212e14222
Sebast.	w1_d212e14227
Thomasi,	w3_d212e14230
Burgerl.	w5_d212e14233
Zeug=mach.,	w7_d212e14236
bey	w9_d212e14239
der	w11_d212e14242
Stadt	w1_d212e14247
München	w3_d212e14250
oberm	w5_d212e14253
Neustift,	w7_d212e14256
alt	w9_d212e14259
60.	w11_d212e14262
J.	w13_d212e14266
Dem	w1_d212e14271
Wenzel	w3_d212e14274
Kestler,	w5_d212e14277
Burgern,	w7_d212e14280
s.	w9_d212e14283
T.	w11_d212e14286
Anna,	w13_d212e14290
beym	w15_d212e14293
gold.	w1_d212e14299
Rös.	w3_d212e14302
am	w5_d212e14305
Neustift,	w7_d212e14308
alt	w9_d212e14311
26.	w11_d212e14314
J.	w13_d212e14318
Dem	w1_d212e14323
Joh.	w3_d212e14326
Frank,	w5_d212e14329
Jnstruct.,	w7_d212e14332
s.	w9_d212e14335
W.	w11_d212e14338
Eva,	w13_d212e14342
bey	w15_d212e14345
denen	w17_d212e14348
3.	w1_d212e14353
Kron.	w3_d212e14356
in	w5_d212e14359
der	w7_d212e14362
Josephst.,	w9_d212e14365
alt	w11_d212e14368
61.	w13_d212e14372
J.	w15_d212e14375
Anna	w1_d212e14380
Hauserin,	w3_d212e14383
Burgerl.	w5_d212e14386
