<doc id="wr_1760-09-17" attrs="word" year="1760" month="09" day="17" corpus="2">
<head id="h2_d485e2492">
Neu=york	w1_d485e2496
Mandatum	w3_d485e9746
procuratorium	w5_d485e9749
Sr.	w7_d485e9752
Kö	w9_d485e9755
nigl.	w1_d485e9760
Hoheit	w3_d485e9763
des	w5_d485e9766
Erz=herzogs	w7_d485e9769
abgelesen;	w9_d485e9772
Gleich	w1_d485e9777
darauf	w3_d485e9780
hat	w5_d485e9783
der	w7_d485e9786
Bischof	w9_d485e9789
sich	w11_d485e9792
zu	w13_d485e9796
dem	w15_d485e9799
Fürst	w1_d485e9805
gewendet,	w3_d485e9808
um	w5_d485e9811
ihm	w7_d485e9814
die	w9_d485e9817
in	w11_d485e9820
dem	w13_d485e9824
Rituals	w15_d485e9827
gewöhnliche	w1_d485e9832
Frage	w3_d485e9835
zu	w5_d485e9838
thun,	w7_d485e9841
welche	w9_d485e9844
er	w11_d485e9847
mit	w13_d485e9851
volo,	w1_d485e9856
&	w3_d485e9859
ita	w5_d485e9862
promitto	w7_d485e9865
beantwortet.	w9_d485e9868
Nach	w11_d485e9871
welchem	w1_d485e9876
der	w3_d485e9879
Bischof	w5_d485e9882
die	w7_d485e9885
gleiche	w9_d485e9888
Frage	w11_d485e9891
an	w13_d485e9895
Jhre	w1_d485e9901
Königl.	w3_d485e9904
Hoheit	w5_d485e9907
die	w7_d485e9910
Jnfantin	w9_d485e9913
gestellet,	w11_d485e9916
welche	w1_d485e9921
vor	w3_d485e9924
Ertheilung	w5_d485e9927
dergleichen	w7_d485e9930
Antwort,	w9_d485e9933
Sich	w1_d485e9938
gegen	w3_d485e9941
Se.	w5_d485e9944
Königl.	w7_d485e9947
Hoheit	w9_d485e9950
Dero	w11_d485e9953
Herrn	w13_d485e9957
Vattern	w1_d485e9962
mit	w3_d485e9965
einer	w5_d485e9968
Reverenz	w7_d485e9971
gewendet.	w9_d485e9974
</p>
<p id="p52_d485e9977">
Als	w1_d485e9981
nach	w3_d485e9984
der	w5_d485e9987
Hand	w7_d485e9990
der	w9_d485e9993
Hr.	w11_d485e9996
Bischof	w13_d485e10000
die	w15_d485e10003
Ringe	w1_d485e10008
geweihet	w3_d485e10011
hat,	w5_d485e10014
so	w7_d485e10017
hat	w9_d485e10020
der	w11_d485e10023
Fürst	w13_d485e10027
von	w15_d485e10030
Liechtenstein	w1_d485e10035
den	w3_d485e10038
für	w5_d485e10041
die	w7_d485e10044
Durchl.	w9_d485e10047
Braut	w11_d485e10050
ge	w13_d485e10054
wiedmeten	w1_d485e10060
ihr	w3_d485e10063
auf	w5_d485e10066
einer	w7_d485e10069
Soucouppé	w9_d485e10072
präsenti	w11_d485e10075
ret,	w1_d485e10080
um	w3_d485e10083
daß	w5_d485e10086
Sie	w7_d485e10089
solchen	w9_d485e10092
selbst	w11_d485e10095
Sich	w13_d485e10099
an	w15_d485e10102
den	w17_d485e10105
Finger	w1_d485e10110
anstecke,	w3_d485e10113
und	w5_d485e10116
der	w7_d485e10119
für	w9_d485e10122
Se.	w11_d485e10125
Königl.	w13_d485e10129
Hoheit	w1_d485e10134
dem	w3_d485e10137
Erz=herzog	w5_d485e10140
ist	w7_d485e10143
auf	w9_d485e10146
der	w11_d485e10149
Soucouppé	w13_d485e10153
ligen	w1_d485e10159
geblieben,	w3_d485e10162
um	w5_d485e10165
nach	w7_d485e10168
der	w9_d485e10171
Hand	w11_d485e10174
Jhrer	w13_d485e10178
Königl.	w1_d485e10183
Hoheit	w3_d485e10186
der	w5_d485e10189
Jnfanein	w7_d485e10192
von	w9_d485e10195
dem	w11_d485e10198
Bi	w13_d485e10202
schoffen	w1_d485e10207
zugestellet	w3_d485e10210
zu	w5_d485e10213
werden,	w7_d485e10216
welcher	w9_d485e10219
als	w11_d485e10222
dann	w1_d485e10227
die	w3_d485e10230
gewöhnlichen	w5_d485e10233
Gebetter	w7_d485e10236
ausgespro	w9_d485e10239
chen,	w1_d485e10245
so	w3_d485e10248
von	w5_d485e10251
der	w7_d485e10254
Ablesung	w9_d485e10257
des	w11_d485e10260
darüber	w13_d485e10264
ver	w15_d485e10267
fasten	w1_d485e10272
Notariat=instrument	w3_d485e10275
gefolget	w5_d485e10278
wurde.	w7_d485e10281
Letztlich	w1_d485e10286
gabe	w3_d485e10289
der	w5_d485e10292
Hr.	w7_d485e10295
Bischof	w9_d485e10298
von	w11_d485e10301
dem	w13_d485e10305
</p>
<p id="p54_d485e10308">
hohen	w1_d485e10312
Altar	w3_d485e10315
den	w5_d485e10318
Bischöfl.	w7_d485e10321
Seegen,	w9_d485e10324
worzu	w11_d485e10327
Jhre	w1_d485e10332
Königl.	w3_d485e10335
Hoheit	w5_d485e10338
die	w7_d485e10341
Jnfantin	w9_d485e10344
und	w11_d485e10347
der	w13_d485e10351
Hr.	w1_d485e10356
Fürst	w3_d485e10359
von	w5_d485e10362
Liechtenstein	w7_d485e10365
niedergekniet,	w9_d485e10368
und	w1_d485e10374
hernach	w3_d485e10377
sich	w5_d485e10380
zuruck	w7_d485e10383
zu	w9_d485e10386
dem	w11_d485e10389
Bett=stuhl	w13_d485e10393
begeben,	w1_d485e10398
allwo	w3_d485e10401
noch	w5_d485e10404
ein	w7_d485e10407
kurzes	w9_d485e10410
Gebett	w11_d485e10413
ver	w13_d485e10417
richtet	w1_d485e10422
worden.	w3_d485e10425
</p>
<p id="p56_d485e10428">
Aus	w1_d485e10432
der	w3_d485e10435
Kirchen	w5_d485e10438
ist	w7_d485e10441
man	w9_d485e10444
in	w11_d485e10447
derjenigen	w13_d485e10451
Ordnung	w1_d485e10456
gegangen,	w3_d485e10459
wie	w5_d485e10462
man	w7_d485e10465
dahin	w9_d485e10468
gekom	w11_d485e10471
men,	w1_d485e10476
nämlich	w3_d485e10479
die	w5_d485e10482
Erz=herzogl	w7_d485e10485
Braut	w9_d485e10488
in	w11_d485e10491
der	w13_d485e10495
Mitten,	w1_d485e10501
Se.	w3_d485e10504
Königl.	w5_d485e10507
Hoheit	w7_d485e10510
der	w9_d485e10513
Jnfant	w11_d485e10516
auf	w1_d485e10521
der	w3_d485e10524
rechten,	w5_d485e10527
und	w7_d485e10530
der	w9_d485e10533
Fürst	w11_d485e10536
von	w13_d485e10540
Liechten	w15_d485e10543
stein	w1_d485e10548
auf	w3_d485e10551
der	w5_d485e10554
linken	w7_d485e10557
Seiten,	w9_d485e10560
welcher,	w11_d485e10563
näch	w13_d485e10567
deme	w1_d485e10572
die	w3_d485e10575
Durchl.	w5_d485e10578
Braut	w7_d485e10581
in	w9_d485e10584
Wagen	w11_d485e10587
gesessen,	w13_d485e10591
</p>
<p id="p62_d485e10605">
sich	w1_d485e10609
voraus	w3_d485e10612
zu	w5_d485e10615
denen	w7_d485e10618
Seinigen	w9_d485e10621
verfüget,	w11_d485e10624
um	w1_d485e10629
wiederum	w3_d485e10632
bey	w5_d485e10635
Hofe	w7_d485e10638
einzutreffen,	w9_d485e10641
und	w11_d485e10644
der	w13_d485e10648
Jnfantin	w1_d485e10653
beym	w3_d485e10656
Absteigen	w5_d485e10659
die	w7_d485e10662
Hand	w9_d485e10665
geben	w11_d485e10668
zu	w1_d485e10674
können.	w3_d485e10677
</p>
<p id="p64_d485e10680">
Nach	w1_d485e10684
diesem	w3_d485e10687
vollzogenen	w5_d485e10690
Act	w7_d485e10693
haben	w9_d485e10696
sich	w11_d485e10699
Se	w1_d485e10704
Fürstl.	w3_d485e10707
Gnaden	w5_d485e10710
mit	w7_d485e10713
allen	w9_d485e10716
mitgekommenen	w11_d485e10719
Kaiserl.	w1_d485e10724
und	w3_d485e10727
Königl.	w5_d485e10730
Cammer=herren	w7_d485e10733
und	w9_d485e10736
Unterthanen	w1_d485e10742
zu	w3_d485e10745
Jhrer	w5_d485e10748
Königl.	w7_d485e10751
Hoheit	w9_d485e10754
der	w11_d485e10757
schon	w1_d485e10762
vermählten	w3_d485e10765
Erz=herzogin	w5_d485e10768
begeben,	w7_d485e10771
um	w1_d485e10776
Jhr	w3_d485e10779
als	w5_d485e10782
Kaiserl.	w7_d485e10785
Königl.	w9_d485e10788
Unterthanen	w11_d485e10791
die	w1_d485e10796
Hand	w3_d485e10799
zu	w5_d485e10802
küssen.	w7_d485e10805
</p>
<p id="p66_d485e10808">
Abends	w1_d485e10812
wurde	w3_d485e10815
auf	w5_d485e10818
das	w7_d485e10821
prächtigste	w9_d485e10824
das	w11_d485e10827
Hochzeitsmahl	w1_d485e10832
gehalten,	w3_d485e10835
und	w5_d485e10838
ist	w7_d485e10841
man	w9_d485e10844
dar	w11_d485e10847
bey	w1_d485e10852
in	w3_d485e10855
der	w5_d485e10858
eigenen	w7_d485e10861
Ordnung,	w9_d485e10864
welche	w11_d485e10867
in	w13_d485e10871
der	w15_d485e10874
Kirchen	w1_d485e10880
schon	w3_d485e10883
vorhero	w5_d485e10886
beobachtet	w7_d485e10889
worden,	w9_d485e10892
auch	w1_d485e10897
bey	w3_d485e10900
der	w5_d485e10903
Tafel	w7_d485e10906
gesessen,	w9_d485e10909
so,	w11_d485e10912
daß	w13_d485e10916
die	w15_d485e10919
Neu	w17_d485e10922
vermählte	w1_d485e10927
Erzherzogin	w3_d485e10930
den	w5_d485e10933
mittern	w7_d485e10936
Se.	w9_d485e10939
Kö	w11_d485e10942
nigl.	w1_d485e10947
Hochheit	w3_d485e10950
der	w5_d485e10953
Jnfant	w7_d485e10956
den	w9_d485e10959
Rechten,	w11_d485e10962
und	w13_d485e10966
der	w1_d485e10972
Fürst	w3_d485e10975
von	w5_d485e10978
Liechtenstein	w7_d485e10981
den	w9_d485e10984
linken	w11_d485e10987
Platz	w13_d485e10991
besetzte;	w1_d485e10996
</p>
<p id="p68_d485e10999">
Das	w1_d485e11003
Nachtmahl	w3_d485e11006
wurde	w5_d485e11009
von	w7_d485e11012
einer	w9_d485e11015
präch	w11_d485e11018
tigen	w1_d485e11023
Jllumination,	w3_d485e11026
Feuerwerk	w5_d485e11029
und	w7_d485e11032
Ball	w9_d485e11035
bey	w11_d485e11038
Hof	w1_d485e11043
gefolget,	w3_d485e11046
und	w5_d485e11049
anmit	w7_d485e11052
die	w9_d485e11055
Festivitäten	w11_d485e11058
be	w13_d485e11062
schlossen.	w1_d485e11068
</p>
<p id="p70_d485e11071">
Heunt	w1_d485e11075
solte	w3_d485e11078
der	w5_d485e11081
Fürst	w7_d485e11084
von	w9_d485e11087
Liechtenstein	w11_d485e11090
die	w13_d485e11094
Urlaub=audienzen	w1_d485e11099
wie	w3_d485e11102
beyder	w5_d485e11105
Ankunft	w7_d485e11108
vollzie	w9_d485e11111
hen,	w1_d485e11116
um	w3_d485e11119
den	w5_d485e11122
13ten	w7_d485e11125
dieses	w9_d485e11128
zu	w11_d485e11131
Casal	w13_d485e11135
Maggio	w15_d485e11138
re	w1_d485e11144
sich	w3_d485e11147
einzufinden,	w5_d485e11150
und	w7_d485e11153
die	w9_d485e11156
ihm	w11_d485e11159
aufgetragene	w13_d485e11163
dritte	w1_d485e11168
Beschäftigung	w3_d485e11171
der	w5_d485e11174
Ubernahm	w7_d485e11177
der	w9_d485e11180
Durch	w11_d485e11183
lauchtigsten	w1_d485e11188
Braut	w3_d485e11191
zu	w5_d485e11194
vollziehen.	w7_d485e11197
</p>
<head id="h2_d485e11203">
Wien	w1_d485e11207
den	w3_d485e11210
17.	w5_d485e11213
September	w7_d485e11216
1760	w9_d485e11219
</head>
<p id="p4_d485e11222">
Sonntag	w1_d485e11226
den	w3_d485e11229
14.	w5_d485e11232
Sept.	w7_d485e11235
Nachdeme	w9_d485e11238
der	w11_d485e11241
vorläuffige	w1_d485e11246
Bericht	w3_d485e11249
bey	w5_d485e11252
Hof	w7_d485e11255
eingetrof	w9_d485e11258
fen,	w1_d485e11263
daß	w3_d485e11266
des	w5_d485e11269
in	w7_d485e11272
dem	w9_d485e11275
Vermählungs=geschäft	w11_d485e11278
Seiner	w1_d485e11284
Königl.	w3_d485e11287
Hoheit	w5_d485e11290
des	w7_d485e11293
Durchleuchtig	w9_d485e11296
sten	w1_d485e11301
Königl.	w3_d485e11304
Crons=prinzens	w5_d485e11307
und	w7_d485e11310
Erz=herzogs	w9_d485e11313
Josephi	w1_d485e11318
mit	w3_d485e11321
der	w5_d485e11324
Durchl.	w7_d485e11327
Prinzeßin	w9_d485e11330
Jsabella	w11_d485e11333
von	w1_d485e11338
Parma	w3_d485e11341
abgeschickten	w5_d485e11344
Kaiserl.	w7_d485e11347
und	w9_d485e11350
Kön.	w11_d485e11353
Herrn	w1_d485e11359
gevollmächtigten	w3_d485e11362
Hrn.	w5_d485e11365
Joseph	w7_d485e11368
Wenzel	w9_d485e11371
Fürsten	w1_d485e11376
v.	w3_d485e11379
Lichtenstein	w5_d485e11382
Fürstl.	w7_d485e11385
Gnaden	w9_d485e11388
den	w11_d485e11391
4.	w1_d485e11396
Dieses	w3_d485e11399
mit	w5_d485e11402
all=erdenklichem	w7_d485e11405
Pracht	w9_d485e11408
da	w11_d485e11411
</p>
<p id="p6_d485e11414">
selbst	w1_d485e11418
nacher	w3_d485e11421
Hof	w5_d485e11424
zu	w7_d485e11427
denen	w9_d485e11430
ersten	w11_d485e11433
offentlichen	w13_d485e11437
Audienzien	w1_d485e11442
abgeholet	w3_d485e11445
worden,	w5_d485e11448
und	w7_d485e11451
aufge	w9_d485e11454
fahren,	w1_d485e11459
einfolglich	w3_d485e11462
die	w5_d485e11465
solemne	w7_d485e11468
offentliche	w9_d485e11471
Anwerbung	w1_d485e11477
um	w3_d485e11480
höchst=gedachte	w5_d485e11483
Durchl.	w7_d485e11486
Prin	w9_d485e11489
zeßin	w1_d485e11494
bey	w3_d485e11497
Sr.	w5_d485e11500
Königl.	w7_d485e11503
Hoheit	w9_d485e11506
dem	w11_d485e11509
Jnsanten	w13_d485e11513
von	w1_d485e11518
Spanien,	w3_d485e11521
und	w5_d485e11524
Herzogen	w7_d485e11527
von	w9_d485e11530
Parma,	w11_d485e11533
als	w13_d485e11537
Dero	w1_d485e11542
Durchl.	w3_d485e11545
Herrn	w5_d485e11548
Vatter	w7_d485e11551
mit	w9_d485e11554
aller	w11_d485e11557
Feyer	w13_d485e11561
lichkeit	w1_d485e11567
vor	w3_d485e11570
sich	w5_d485e11573
gegangen;	w7_d485e11576
anheute	w9_d485e11579
früh	w11_d485e11582
aber	w13_d485e11586
der	w1_d485e11591
würkliche	w3_d485e11594
K.	w5_d485e11597
K.	w7_d485e11600
Cammer=herr	w9_d485e11603
Hr.	w11_d485e11606
Graf	w13_d485e11610
v.	w1_d485e11615
Kaunitz	w3_d485e11618
Rittberg	w5_d485e11621
älterer	w7_d485e11624
Sohn	w9_d485e11627
Sr.	w11_d485e11630
Excell.	w13_d485e11634
des	w1_d485e11639
K.	w3_d485e11642
K.	w5_d485e11645
Herrn	w7_d485e11648
Hof	w9_d485e11651
und	w11_d485e11654
Staats=canzlers	w13_d485e11658
Hrn.	w1_d485e11664
Wenzel	w3_d485e11667
Anton	w5_d485e11670
Grafen	w7_d485e11673
zu	w9_d485e11676
Kaunitz	w11_d485e11679
Ritt	w13_d485e11683
berg	w1_d485e11688
Excell.	w3_d485e11691
per	w5_d485e11694
Postam	w7_d485e11697
von	w9_d485e11700
Parma	w11_d485e11703
mit	w13_d485e11707
der	w15_d485e11710
höchst	w1_d485e11715
angenehm	w3_d485e11718
und	w5_d485e11721
vergnüglichen	w7_d485e11724
Nach	w9_d485e11727
richt	w1_d485e11732
zu	w3_d485e11735
Schönbrunn	w5_d485e11738
angelanget,	w7_d485e11741
daß	w9_d485e11744
den	w11_d485e11747
7.	w1_d485e11753
darauf	w3_d485e11756
die	w5_d485e11759
Desponsation	w7_d485e11762
per	w9_d485e11765
Procuratio	w11_d485e11768
nem	w1_d485e11773
auf	w3_d485e11776
das	w5_d485e11779
herrlichst	w7_d485e11782
und	w9_d485e11785
vortreflichste	w11_d485e11788
voll	w13_d485e11792
zogen	w1_d485e11797
worden.	w3_d485e11800
So	w5_d485e11803
erschiene	w7_d485e11806
der	w9_d485e11809
ganze	w11_d485e11812
Kais.	w13_d485e11816
und	w1_d485e11821
Kön.	w3_d485e11824
Hof	w5_d485e11827
in	w7_d485e11830
kostbarester	w9_d485e11833
Gala,	w11_d485e11836
und	w13_d485e11840
hat	w15_d485e11843
ten	w1_d485e11849
Jhre	w3_d485e11852
Kaiserl.	w5_d485e11855
und	w7_d485e11858
Königl.	w9_d485e11861
Apostol.	w11_d485e11864
Ma	w13_d485e11868
jestät	w1_d485e11873
sowol,	w3_d485e11876
als	w5_d485e11879
auch	w7_d485e11882
Sr.	w9_d485e11885
Königl.	w11_d485e11888
Hobeit	w13_d485e11892
Josephus	w1_d485e11897
von	w3_d485e11900
dem	w5_d485e11903
Päpstl.	w7_d485e11906
Herrn	w9_d485e11909
Runtio,	w11_d485e11912
und	w1_d485e11917
denen	w3_d485e11920
anwesenden	w5_d485e11923
Herren	w7_d485e11926
Bottschafte	w9_d485e11929
ren,	w1_d485e11935
dann	w3_d485e11938
von	w5_d485e11941
denen	w7_d485e11944
Herren	w9_d485e11947
fremden	w11_d485e11950
Herren	w13_d485e11954
Ministres,	w1_d485e11959
und	w3_d485e11962
hiesigem	w5_d485e11965
hohen	w7_d485e11968
Adel	w9_d485e11971
dieser	w11_d485e11974
halben	w1_d485e11979
die	w3_d485e11982
Glück=wunsch=complimenten	w5_d485e11985
zu	w7_d485e11988
empfangen	w1_d485e11993
geruhet.	w3_d485e11996
</p>
<p id="p8_d485e11999">
Zu	w1_d485e12003
Mittag	w3_d485e12006
wurde	w5_d485e12009
bey	w7_d485e12012
einer	w9_d485e12015
schönen	w11_d485e12018
Ta	w13_d485e12022
felmusic	w1_d485e12027
offentlich	w3_d485e12030
gespeiset,	w5_d485e12033
und	w7_d485e12036
Abendo	w9_d485e12039
ware	w1_d485e12044
Ball	w3_d485e12047
paré,	w5_d485e12050
nebst	w7_d485e12053
einem	w9_d485e12056
grossem	w11_d485e12059
Soul	w13_d485e12063
pee	w1_d485e12069
in	w3_d485e12072
Schönbrunn.	w5_d485e12075
Vor	w7_d485e12078
der	w9_d485e12081
Mittags	w11_d485e12084
tafel	w1_d485e12089
hatten	w3_d485e12092
des	w5_d485e12095
Kaiserl.	w7_d485e12098
und	w9_d485e12101
Königl.	w11_d485e12104
ersten	w13_d485e12108
Hrn.	w1_d485e12113
Obristen	w3_d485e12116
Hof=meisters,	w5_d485e12119
Hrn.	w7_d485e12122
Grafen	w9_d485e12125
von	w11_d485e12128
Ulfeld	w1_d485e12133
Excell.	w3_d485e12136
den	w5_d485e12139
K.	w7_d485e12142
K.	w9_d485e12145
Hrn.	w11_d485e12148
Generaleld	w13_d485e12152
zeug=meistern	w1_d485e12158
Grafen	w3_d485e12161
Leopold	w5_d485e12164
von	w7_d485e12167
Palfy	w9_d485e12170
Excell.	w1_d485e12175
als	w3_d485e12178
Leib=garde=haupt=mann,	w5_d485e12181
der	w7_d485e12184
von	w9_d485e12187
dem	w1_d485e12192
Königreich	w3_d485e12195
Hungarn	w5_d485e12198
neu	w7_d485e12201
errichteten	w9_d485e12204
Königl.	w1_d485e12209
Hungarisch=Adelichen	w3_d485e12212
Garde	w5_d485e12215
auf	w7_d485e12218
allerhöchsten	w1_d485e12224
Befehl	w3_d485e12227
in	w5_d485e12230
der	w7_d485e12233
Raht=stuben	w9_d485e12236
ge	w11_d485e12239
wöhnlicher	w1_d485e12244
massen	w3_d485e12247
declariret.	w5_d485e12250
</p>
<p id="p10_d485e12253">
Eben	w1_d485e12257
heute	w3_d485e12260
Vormittags	w5_d485e12263
um	w7_d485e12266
9.	w9_d485e12269
Uhr	w11_d485e12272
be	w13_d485e12276
liebten	w1_d485e12281
Jhre	w3_d485e12284
Kaiserl.	w5_d485e12287
und	w7_d485e12290
Königl.	w9_d485e12293
Apostol.	w11_d485e12296
Ma	w1_d485e12301
</p>
<p id="p14_d485e12307">
Majest.	w1_d485e12311
mit	w3_d485e12314
Seiner	w5_d485e12317
Königl.	w7_d485e12320
Hoheit	w9_d485e12323
dem	w11_d485e12326
Durchl.	w1_d485e12331
Königl.	w3_d485e12334
Erb=cron	w5_d485e12337
Prinzen	w7_d485e12340
Erzher	w9_d485e12343
zogen	w1_d485e12348
Joseph,	w3_d485e12351
und	w5_d485e12354
der	w7_d485e12357
Hof=staat,	w9_d485e12360
der	w11_d485e12363
von	w13_d485e12367
dem	w15_d485e12370
Augustiner=GOttes=haus	w1_d485e12376
nach	w3_d485e12379
der	w5_d485e12382
hiesigen	w7_d485e12385
Metropolitan=kirchen	w1_d485e12390
ad	w3_d485e12393
S.	w5_d485e12396
Stephanum	w7_d485e12399
an	w9_d485e12402
geordneten	w1_d485e12407
Proceßion,	w3_d485e12410
und	w5_d485e12413
darauf	w7_d485e12416
allda	w9_d485e12419
selbsten	w1_d485e12424
dem	w3_d485e12427
all=jährlich	w5_d485e12430
zu	w7_d485e12433
begehen	w9_d485e12436
üblichen	w11_d485e12439
Dank=fest,	w1_d485e12445
wegen	w3_d485e12448
des	w5_d485e12451
Anno	w7_d485e12454
1683.	w9_d485e12457
beglück	w11_d485e12460
list	w1_d485e12465
erfolgten	w3_d485e12468
Eutsatzes	w5_d485e12471
dieser	w7_d485e12474
Haupt	w9_d485e12477
und	w11_d485e12480
Residenz=stadt	w1_d485e12485
Wien,	w3_d485e12488
unter	w5_d485e12491
3=maliger	w7_d485e12494
Ab	w9_d485e12497
feurung	w1_d485e12502
des	w3_d485e12505
klein	w5_d485e12508
und	w7_d485e12511
grossen	w9_d485e12514
Geschützes	w11_d485e12517
beyzuwohnen.	w1_d485e12523
</p>
<p id="p16_d485e12526">
Gestern	w1_d485e12530
als	w3_d485e12533
den	w5_d485e12536
16.	w7_d485e12539
Dieses	w9_d485e12542
legten	w11_d485e12545
obge	w13_d485e12549
dachte	w1_d485e12554
Se.	w3_d485e12557
Excell.	w5_d485e12560
Herr	w7_d485e12563
Graf	w9_d485e12566
Leopold	w11_d485e12569
von	w13_d485e12573
Palfy,	w1_d485e12578
als	w3_d485e12581
allergnädigst	w5_d485e12584
ernannter	w7_d485e12587
Leibgar	w9_d485e12590
de	w1_d485e12596
Haupt=mann	w3_d485e12599
bey	w5_d485e12602
der	w7_d485e12605
neuen	w9_d485e12608
Königl.	w11_d485e12611
Hun	w13_d485e12615
garischen	w1_d485e12620
Leib=garde	w3_d485e12623
in	w5_d485e12626
allerhöchster	w7_d485e12629
Gegen	w9_d485e12632
wart	w1_d485e12637
beeder	w3_d485e12640
Kaiserl.	w5_d485e12643
und	w7_d485e12646
Königl.	w9_d485e12649
Majestä	w11_d485e12652
ten	w1_d485e12657
die	w3_d485e12660
Eides=pflichten	w5_d485e12663
ab.	w7_d485e12666
</p>
<head id="h2_d485e12672">
Lista	w1_d485e12676
deren	w3_d485e12679
Verstorbenen	w5_d485e12682
zu	w7_d485e12685
Wien	w9_d485e12688
in	w1_d485e12693
und	w3_d485e12696
vor	w5_d485e12699
der	w7_d485e12702
Stadt.	w9_d485e12705
Den	w1_d485e12710
13.	w3_d485e12713
Sept.	w5_d485e12716
Jn	w1_d485e12722
der	w3_d485e12725
Stadt.	w5_d485e12728
</head>
<list id="l4_d485e12731">
Dem	w1_d485e12735
Hrn.	w3_d485e12738
Barthl.	w5_d485e12741
Hörman,	w7_d485e12744
Hof=control=schreib.	w9_d485e12747
s.	w1_d485e12752
K.	w3_d485e12755
Josepha,	w5_d485e12758
im	w7_d485e12761
Kirschneris.	w9_d485e12764
H.	w11_d485e12767
in	w13_d485e12771
der	w15_d485e12774
Wolzeil,	w17_d485e12777
alt	w1_d485e12782
3.	w3_d485e12785
J.	w5_d485e12788
</list>
<head id="h2_d485e12795">
Vor	w1_d485e12799
der	w3_d485e12802
Stadt.	w5_d485e12805
</head>
<list id="l4_d485e12808">
Der	w1_d485e12812
Wol=ehrw.	w3_d485e12815
Hr.	w5_d485e12818
Theoph.	w7_d485e12821
Parta,	w9_d485e12824
weltl.	w11_d485e12827
Priest.,	w13_d485e12831
im	w1_d485e12836
Maut	w3_d485e12839
H.	w5_d485e12842
am	w7_d485e12845
Wienerberger=posto,	w9_d485e12848
37.	w11_d485e12851
J.	w13_d485e12855
Cathar.	w1_d485e12860
Wundin,	w3_d485e12863
Burgerl.	w5_d485e12866
Wittwe,	w7_d485e12869
im	w9_d485e12872
Lucatelis.	w11_d485e12875
H.	w1_d485e12881
zu	w3_d485e12884
Gumpendorf,	w5_d485e12887
alt	w7_d485e12890
67.	w9_d485e12893
J.	w11_d485e12896
Dem	w1_d485e12901
Georg	w3_d485e12904
Mundschedl,	w5_d485e12907
Schneid.,	w7_d485e12910
s.	w9_d485e12913
W.	w11_d485e12916
Eleon.	w13_d485e12920
beyn	w1_d485e12925
2	w3_d485e12928
Brandwein.	w5_d485e12931
bey	w7_d485e12934
Maria=hülf,	w9_d485e12937
alt	w11_d485e12940
57.	w13_d485e12944
J.	w15_d485e12947
Jacob	w1_d485e12952
Schretzecker,	w3_d485e12955
Brudersch.=ansag.,	w5_d485e12958
beym	w7_d485e12961
gold.	w9_d485e12964
Fässel	w1_d485e12970
auf	w3_d485e12973
der	w5_d485e12976
Wied,	w7_d485e12979
alt	w9_d485e12982
58.	w11_d485e12985
J.	w13_d485e12989
Anna	w1_d485e12994
Schmicklin,	w3_d485e12997
led.	w5_d485e13000
M.	w7_d485e13003
beym	w9_d485e13006
gold.	w11_d485e13009
Auker	w13_d485e13013
am	w15_d485e13016
Neubau,	w1_d485e13021
alt	w3_d485e13024
56.	w5_d485e13027
J.	w7_d485e13030
Joh.	w1_d485e13035
Schlichtinger,	w3_d485e13038
Holz=hack,	w5_d485e13041
beym	w7_d485e13044
schwarz.	w9_d485e13047
Ele	w11_d485e13050
phant	w1_d485e13056
am	w3_d485e13059
Neubau,	w5_d485e13062
alt	w7_d485e13065
78.	w9_d485e13068
J.	w11_d485e13071
Dem	w1_d485e13076
Mich.	w3_d485e13079
Eckart,	w5_d485e13082
Lack.,	w7_d485e13085
s.	w9_d485e13088
K.	w11_d485e13091
Cathar.,	w13_d485e13095
bey	w15_d485e13098
dem	w17_d485e13101
Reichs	w1_d485e13106
adl.	w3_d485e13109
am	w5_d485e13112
Himmel=pfort=gr.,	w7_d485e13115
alt	w9_d485e13118
9.	w11_d485e13121
J.	w13_d485e13125
</list>
<head id="h2_d485e13132">
Summa	w1_d485e13136
8.	w3_d485e13139
Persdarunter	w5_d485e13142
2.	w7_d485e13145
Kind.	w9_d485e13148
Den	w1_d485e13153
14.	w3_d485e13156
Sept.	w5_d485e13159
Jn	w1_d485e13164
der	w3_d485e13167
Stadt.	w5_d485e13170
</head>
<list id="l4_d485e13173">
Pel.	w1_d485e13177
Sedelmayr,	w3_d485e13180
gew.	w5_d485e13183
Burgerl.	w7_d485e13186
Pfaidl.,	w9_d485e13189
im	w11_d485e13192
Bä	w13_d485e13196
cis.	w1_d485e13201
H.	w3_d485e13204
in	w5_d485e13207
der	w7_d485e13210
Kärntnerstrer	w9_d485e13213
alt	w11_d485e13216
77.	w13_d485e13220
J.	w15_d485e13223
</list>
<list id="l6_d485e13227">
Dem	w1_d485e13231
Georg	w3_d485e13234
Voit,	w5_d485e13237
Burgerl.	w7_d485e13240
Schneib.,	w9_d485e13243
s.	w11_d485e13246
K.	w13_d485e13250
Theres.	w15_d485e13253
im	w1_d485e13258
Rumoldis.	w3_d485e13261
H.	w5_d485e13264
in	w7_d485e13267
der	w9_d485e13270
Wildwerkerstr.,	w11_d485e13273
7.	w13_d485e13277
J.	w15_d485e13280
</list>
<head id="h2_d485e13288">
Vor	w1_d485e13292
der	w3_d485e13295
Stadt.	w5_d485e13298
</head>
<list id="l4_d485e13301">
Dem	w1_d485e13305
