<doc id="wr_1757-04-30" attrs="word" year="1757" month="04" day="30" corpus="2">
<head id="h2_d139e3473">
Philadelphia	w1_d139e3477
bleiben	w7_d139e10762
wird.	w9_d139e10765
Vorge	w11_d139e10768
stern	w1_d139e10773
seynd	w3_d139e10776
279.	w5_d139e10779
Mann	w7_d139e10782
vom	w9_d139e10785
FürstEsterha	w11_d139e10788
zischen	w1_d139e10794
Hussareneregiment,	w3_d139e10797
gestern	w5_d139e10800
aber	w7_d139e10803
das	w9_d139e10806
</p>
<p id="p8_d139e10811">
Löbl.	w1_d139e10815
Erzeherzoglich	w3_d139e10818
Leopoldische	w5_d139e10821
Küraßier	w7_d139e10824
regiment	w1_d139e10829
hier	w3_d139e10832
angelanget,	w5_d139e10835
und	w7_d139e10838
haben	w9_d139e10841
beyde	w11_d139e10844
nach	w1_d139e10849
gehaltenem	w3_d139e10852
Nacht=lager	w5_d139e10855
ihren	w7_d139e10858
Marsch	w9_d139e10861
weiter	w1_d139e10867
zur	w3_d139e10870
Armee	w5_d139e10873
fortgesetzet.	w7_d139e10876
Es	w9_d139e10879
seynd	w11_d139e10882
auch	w1_d139e10887
diese	w3_d139e10890
Tage	w5_d139e10893
drey	w7_d139e10896
Compagnien	w9_d139e10899
Artilleri	w11_d139e10902
sten	w1_d139e10907
aus	w3_d139e10910
Welschland	w5_d139e10913
kommend,	w7_d139e10916
nebst	w9_d139e10919
einem	w11_d139e10922
ansehnlichen	w1_d139e10927
Zug	w3_d139e10930
Artillerie	w5_d139e10933
hier	w7_d139e10936
angelanget,	w9_d139e10939
welche	w1_d139e10945
aber	w3_d139e10948
gestern	w5_d139e10951
weiter	w7_d139e10954
abgeführet	w9_d139e10957
worden.	w11_d139e10960
Man	w1_d139e10965
hat	w3_d139e10968
seit	w5_d139e10971
einigen	w7_d139e10974
Tagen	w9_d139e10977
die	w11_d139e10980
Nachricht	w13_d139e10984
erhalten,	w1_d139e10989
daß	w3_d139e10992
ein	w5_d139e10995
grosser	w7_d139e10998
Theil	w9_d139e11001
der	w11_d139e11004
Feindli	w13_d139e11008
chen	w1_d139e11013
Armee	w3_d139e11016
mehrmalen	w5_d139e11019
in	w7_d139e11022
vier	w9_d139e11025
verschiedenen	w11_d139e11028
Gegenden	w1_d139e11034
in	w3_d139e11037
dieses	w5_d139e11040
Königreich	w7_d139e11043
eingedrungen	w9_d139e11046
seye,	w1_d139e11051
gleichwie	w3_d139e11054
aber	w5_d139e11057
die	w7_d139e11060
Kaiserl.	w9_d139e11063
Königl	w11_d139e11066
Armee	w1_d139e11071
sich	w3_d139e11074
bereits	w5_d139e11077
gefaßt	w7_d139e11080
machet,	w9_d139e11083
den	w11_d139e11086
Feind	w13_d139e11090
wiederum	w1_d139e11095
zuruck	w3_d139e11098
zu	w5_d139e11101
treiben,	w7_d139e11104
so	w9_d139e11107
dörften	w11_d139e11110
näch	w13_d139e11114
stens	w1_d139e11120
wichtigere	w3_d139e11123
Begebenheiten	w5_d139e11126
erfolgen,	w7_d139e11129
in	w9_d139e11132
dessen	w1_d139e11137
kommen	w3_d139e11140
die	w5_d139e11143
Feindliche	w7_d139e11146
Deserteurs	w9_d139e11149
häuffig	w1_d139e11154
in	w3_d139e11157
hiesiger	w5_d139e11160
Stadt	w7_d139e11163
an,	w9_d139e11166
und	w11_d139e11169
seynd	w13_d139e11173
de	w15_d139e11176
renselben	w1_d139e11181
seit	w3_d139e11184
den	w5_d139e11187
23.	w7_d139e11190
dieses	w9_d139e11193
nur	w11_d139e11196
hier	w13_d139e11200
allein	w15_d139e11203
über	w1_d139e11209
300.	w3_d139e11212
eingetroffen.	w5_d139e11215
</p>
<head id="h2_d139e11221">
Wien	w1_d139e11225
den	w3_d139e11228
30.	w5_d139e11231
April.	w7_d139e11234
1757.	w9_d139e11237
</head>
<p id="p4_d139e11240">
MJttwoch	w1_d139e11244
den	w3_d139e11247
27.	w5_d139e11250
April	w7_d139e11253
nach	w9_d139e11256
verrich	w11_d139e11259
teten	w1_d139e11264
gewöhnlichen	w3_d139e11267
GOttes=dienst,	w5_d139e11270
seynd	w7_d139e11273
M	w1_d139e11278
beyde	w1_d139e11284
Majestäten	w3_d139e11287
mit	w5_d139e11290
Staats	w7_d139e11293
und	w9_d139e11296
Landes	w11_d139e11299
anligenheiten	w1_d139e11304
beschäftiget	w3_d139e11307
gewesen	w5_d139e11310
</p>
<p id="p6_d139e11313">
Eodem	w1_d139e11317
ist	w3_d139e11320
der	w5_d139e11323
General	w7_d139e11326
der	w9_d139e11329
Cavallerie	w11_d139e11332
Frey	w13_d139e11336
herr	w1_d139e11341
von	w3_d139e11344
Brettlach,	w5_d139e11347
zu	w7_d139e11350
der	w9_d139e11353
grossen	w11_d139e11356
Kaiserl.	w13_d139e11360
Kön.	w1_d139e11365
Armee	w3_d139e11368
nacher	w5_d139e11371
Böheim	w7_d139e11374
abgegangen.	w9_d139e11377
Die	w11_d139e11380
sen	w1_d139e11386
Vormittag	w3_d139e11389
seynd	w5_d139e11392
auch	w7_d139e11395
wieder	w9_d139e11398
200.	w11_d139e11401
Fürstl.	w13_d139e11405
Esterhasische	w1_d139e11410
Hussaren	w3_d139e11413
hier	w5_d139e11416
vorbey,	w7_d139e11419
und	w9_d139e11422
sodann	w11_d139e11425
weiters	w1_d139e11430
über	w3_d139e11433
die	w5_d139e11436
grosse	w7_d139e11439
Donau=brucken	w9_d139e11442
nacher	w11_d139e11445
Böheim	w1_d139e11450
marschieret.	w3_d139e11453
</p>
<p id="p8_d139e11456">
Donnerstag	w1_d139e11460
den	w3_d139e11463
28.	w5_d139e11466
April,	w7_d139e11469
fruhe	w9_d139e11472
nach	w11_d139e11475
6.	w13_d139e11479
Uhr	w1_d139e11484
seynd	w3_d139e11487
Se.	w5_d139e11490
Königl.	w7_d139e11493
Hoheit	w9_d139e11496
der	w11_d139e11499
General	w13_d139e11503
gouverneur	w1_d139e11508
deren	w3_d139e11511
Oesterreichischen	w5_d139e11514
Nieder	w7_d139e11517
landen	w1_d139e11523
Herzog	w3_d139e11526
Carl	w5_d139e11529
zu	w7_d139e11532
Lothringen,	w9_d139e11535
von	w11_d139e11538
hier	w13_d139e11542
nach	w1_d139e11547
Böheim	w3_d139e11550
abgefahren.	w5_d139e11553
</p>
<p id="p10_d139e11556">
Freytag	w1_d139e11560
den	w3_d139e11563
29.	w5_d139e11566
April	w7_d139e11569
seynd	w9_d139e11572
in	w11_d139e11575
der	w13_d139e11579
Kais	w15_d139e11582
Königl.	w1_d139e11587
grossen	w3_d139e11590
Hof=cappelle	w5_d139e11593
für	w7_d139e11596
nachfolgende	w9_d139e11599
Hoch=adeliche	w1_d139e11604
Stern=kreuz=ordens=damen,	w3_d139e11607
als	w1_d139e11613
für	w3_d139e11616
die	w5_d139e11619
(Titl.)	w7_d139e11622
Frau	w9_d139e11625
Gräfin	w11_d139e11628
von	w13_d139e11632
Seau,	w15_d139e11635
geborne	w1_d139e11640
Reichs=freyin	w3_d139e11643
Schärtlin	w5_d139e11646
von	w7_d139e11649
Bür	w9_d139e11652
tenbach,	w1_d139e11657
so	w3_d139e11660
zu	w5_d139e11663
Linz	w7_d139e11666
den	w9_d139e11669
2.	w11_d139e11672
April	w13_d139e11676
in	w15_d139e11679
GOtt	w17_d139e11682
seelig	w1_d139e11687
entschlaffen;	w3_d139e11690
und	w5_d139e11693
für	w7_d139e11696
die	w9_d139e11699
(Titl.)	w11_d139e11702
Frau	w13_d139e11706
Maria	w1_d139e11712
Theresia	w3_d139e11715
Gräfin	w5_d139e11718
von	w7_d139e11721
Törring,	w9_d139e11724
geborne	w11_d139e11727
Gräfin	w1_d139e11732
von	w3_d139e11735
Arco,	w5_d139e11738
welche	w7_d139e11741
zu	w9_d139e11744
München	w11_d139e11747
das	w13_d139e11751
Zeitliche	w1_d139e11756
mit	w3_d139e11759
dem	w5_d139e11762
Ewigen	w7_d139e11765
verwechselt	w9_d139e11768
hat,	w11_d139e11771
die	w1_d139e11776
Exequien	w3_d139e11779
gehalten	w5_d139e11782
worden.	w7_d139e11785
Vorigen	w1_d139e11791
Sonntag	w3_d139e11794
haben	w5_d139e11797
Jhre	w7_d139e11800
Königl.	w9_d139e11803
</p>
<p id="p12_d139e11807">
Hoheiten	w1_d139e11811
die	w3_d139e11814
Durchl.	w5_d139e11817
zwey	w7_d139e11820
Erz=herzogen	w9_d139e11823
Carl	w11_d139e11826
</p>
<p id="p14_d139e11829">
und	w1_d139e11833
Leopold	w3_d139e11836
aus	w5_d139e11839
Handen	w7_d139e11842
des	w9_d139e11845
Päpstlichen	w11_d139e11848
Mönsig.	w1_d139e11853
Nuntii	w3_d139e11856
das	w5_d139e11859
Heil.	w7_d139e11862
Sacrament	w9_d139e11865
der	w11_d139e11868
Firmung	w1_d139e11873
empfangen,	w3_d139e11876
zu	w5_d139e11879
welcher	w7_d139e11882
Höchst	w9_d139e11885
Die	w11_d139e11888
selbe	w1_d139e11894
von	w3_d139e11897
Sr.	w5_d139e11900
Königl.	w7_d139e11903
Hoheit	w9_d139e11906
Herzogen	w11_d139e11909
Carl	w13_d139e11913
von	w1_d139e11918
Lothringen	w3_d139e11921
als	w5_d139e11924
Paten	w7_d139e11927
geführet	w9_d139e11930
worden.	w11_d139e11933
</p>
<list id="l16_d139e11936">
Jhre	w1_d139e11940
Königl.	w3_d139e11943
Hoheit	w5_d139e11946
die	w7_d139e11949
Durchl.	w9_d139e11952
Erzher	w11_d139e11955
zogin	w1_d139e11960
Maria	w3_d139e11963
Anna	w5_d139e11966
befinden	w7_d139e11969
sich	w9_d139e11972
von	w11_d139e11975
Tag	w13_d139e11979
zu	w1_d139e11984
Tag	w3_d139e11987
besser.	w5_d139e11990
Eben	w1_d139e11996
besagten	w3_d139e11999
Sonntag	w5_d139e12002
haben	w7_d139e12005
Se.	w9_d139e12008
Excel	w11_d139e12011
lenz	w1_d139e12016
Herr	w3_d139e12019
Graf	w5_d139e12022
Johann	w7_d139e12025
Erdödy	w9_d139e12028
als	w11_d139e12031
gehei	w13_d139e12035
mer	w1_d139e12040
Raht	w3_d139e12043
bey	w5_d139e12046
Jhren	w7_d139e12049
Kaiserl.	w9_d139e12052
Königl.	w11_d139e12055
Ma	w13_d139e12059
jestäten	w1_d139e12064
den	w3_d139e12067
Eid	w5_d139e12070
abgeleget.	w7_d139e12073
Eodem	w1_d139e12079
seynd	w3_d139e12082
Jhre	w5_d139e12085
Durchl.	w7_d139e12088
der	w9_d139e12091
Prinz	w11_d139e12094
von	w13_d139e12098
Zweybrücken	w1_d139e12103
von	w3_d139e12106
hier	w5_d139e12109
zu	w7_d139e12112
der	w9_d139e12115
Kaiserl.	w11_d139e12118
Königl.	w13_d139e12122
Armee	w1_d139e12127
nacher	w3_d139e12130
Böheim	w5_d139e12133
abgereiset.	w7_d139e12136
</list>
<p id="p18_d139e12140">
Aus	w1_d139e12144
Böheim	w3_d139e12147
lauffen	w5_d139e12150
nun	w7_d139e12153
täglich	w9_d139e12156
Staffe	w11_d139e12159
ten	w1_d139e12164
ein,	w3_d139e12167
welche	w5_d139e12170
die	w7_d139e12173
Nachrichten	w9_d139e12176
von	w11_d139e12179
dortigen	w13_d139e12183
Begebenheiten	w1_d139e12188
überbringen.	w3_d139e12191
Unter	w5_d139e12194
anderen	w7_d139e12197
hat	w1_d139e12203
man	w3_d139e12206
dadurch	w5_d139e12209
erfahren,	w7_d139e12212
daß	w9_d139e12215
der	w11_d139e12218
König	w13_d139e12222
von	w1_d139e12227
Preussen	w3_d139e12230
bey	w5_d139e12233
Töplitz	w7_d139e12236
mit	w9_d139e12239
seiner	w11_d139e12242
völligen	w13_d139e12246
Armee	w1_d139e12251
vorgerucket	w3_d139e12254
seye,	w5_d139e12257
allem	w7_d139e12260
Ansehen	w9_d139e12263
nach,	w11_d139e12266
das	w1_d139e12271
vorige	w3_d139e12274
Lager	w5_d139e12277
bey	w7_d139e12280
Loboschitz	w9_d139e12283
zu	w11_d139e12286
beziehen.	w13_d139e12290
dargegen	w1_d139e12296
ist	w3_d139e12299
die	w5_d139e12302
Kaiserl.	w7_d139e12305
Königl.	w9_d139e12308
Armee	w11_d139e12311
in	w13_d139e12315
voller	w1_d139e12320
Bewegung,	w3_d139e12323
und	w5_d139e12326
schon	w7_d139e12329
meistens	w9_d139e12332
beysam	w11_d139e12335
men,	w1_d139e12340
daß	w3_d139e12343
man	w5_d139e12346
also	w7_d139e12349
bald	w9_d139e12352
etwas	w11_d139e12355
Wichtiges	w13_d139e12359
zu	w15_d139e12362
vernehmen	w1_d139e12367
haben	w3_d139e12370
wird.	w5_d139e12373
</p>
<head id="h2_d139e12380">
Kurz=gefaste	w1_d139e12384
Nachrichten.	w3_d139e12387
Es	w1_d139e12392
geben	w3_d139e12395
die	w5_d139e12398
Briefe:	w7_d139e12401
</head>
<p id="p4_d139e12404">
Von	w1_d139e12408
Antigoa:	w3_d139e12411
daß	w5_d139e12414
die	w7_d139e12417
Französische	w9_d139e12420
Kap	w11_d139e12423
per	w1_d139e12428
in	w3_d139e12431
denen	w5_d139e12434
Gegenden	w7_d139e12437
dieser	w9_d139e12440
Jnsul	w11_d139e12443
in	w13_d139e12447
so	w15_d139e12450
grosser	w1_d139e12455
Anzahl	w3_d139e12458
kreutzen,	w5_d139e12461
daß	w7_d139e12464
es	w9_d139e12467
fast	w11_d139e12470
nicht	w13_d139e12474
möglich	w1_d139e12480
seye,	w3_d139e12483
daß	w5_d139e12486
ein	w7_d139e12489
Engländisches	w9_d139e12492
Schif	w11_d139e12495
ohne	w1_d139e12500
recht	w3_d139e12503
starker	w5_d139e12506
Begleitung	w7_d139e12509
allda	w9_d139e12512
anländen	w11_d139e12515
könne,	w1_d139e12520
und	w3_d139e12523
daß	w5_d139e12526
seit	w7_d139e12529
einem	w9_d139e12532
halben	w11_d139e12535
Jahr	w13_d139e12539
in	w1_d139e12544
dasigen	w3_d139e12547
Gegenden	w5_d139e12550
mehr	w7_d139e12553
als	w9_d139e12556
70.	w11_d139e12559
Fahr=zeuge	w13_d139e12563
durch	w1_d139e12569
die	w3_d139e12572
Franzosen	w5_d139e12575
denen	w7_d139e12578
Engländern	w9_d139e12581
abge	w11_d139e12584
nommen	w1_d139e12589
worden	w3_d139e12592
seyn.	w5_d139e12595
</p>
<p id="p6_d139e12598">
Aus	w1_d139e12602
der	w3_d139e12605
Grafschaft	w5_d139e12608
Cumberland:	w7_d139e12611
Daß	w1_d139e12616
allda	w3_d139e12619
eine	w5_d139e12622
solche	w7_d139e12625
Hungers=noht	w9_d139e12628
seye,	w11_d139e12631
daß	w1_d139e12636
allwürklichen	w3_d139e12639
das	w5_d139e12642
arme	w7_d139e12645
Volk	w9_d139e12648
daran	w11_d139e12651
zu	w13_d139e12655
sterben	w1_d139e12661
beginne,	w3_d139e12664
wie	w5_d139e12667
dann	w7_d139e12670
unlängst	w9_d139e12673
eine	w11_d139e12676
Wittwe,	w1_d139e12681
und	w3_d139e12684
zwey	w5_d139e12687
Kinder,	w7_d139e12690
welche	w9_d139e12693
eine	w11_d139e12696
Zeit	w1_d139e12701
hindurch	w3_d139e12704
mit	w5_d139e12707
purem	w7_d139e12710
Stroh	w9_d139e12713
sich	w11_d139e12716
ernäh	w13_d139e12720
ret	w1_d139e12725
hatten,	w3_d139e12728
todt	w5_d139e12731
gefunden,	w7_d139e12734
auch	w9_d139e12737
bey	w11_d139e12740
denen	w13_d139e12744
entseelten	w1_d139e12750
Kindern	w3_d139e12753
annoch	w5_d139e12756
Stroh	w7_d139e12759
in	w9_d139e12762
ihren	w11_d139e12765
Mäulern	w1_d139e12770
angetroffen	w3_d139e12773
worden	w5_d139e12776
ist.	w7_d139e12779
</p>
<p id="p8_d139e12782">
Von	w1_d139e12786
Jülich:	w3_d139e12789
Daß	w5_d139e12792
zwischen	w7_d139e12795
dieser	w9_d139e12798
Stadt	w11_d139e12801
und	w1_d139e12806
Kaiserswert	w3_d139e12809
von	w5_d139e12812
denen	w7_d139e12815
Französischen	w9_d139e12818
Jn	w11_d139e12821
genieurs	w1_d139e12826
ein	w3_d139e12829
Lager	w5_d139e12832
auf	w7_d139e12835
40000.	w9_d139e12838
Mann	w11_d139e12841
abge	w13_d139e12845
stochen	w1_d139e12851
werde.	w3_d139e12854
</p>
<p id="p12_d139e12860">
Von	w1_d139e12864
Neuburg:	w3_d139e12867
Daß	w5_d139e12870
die	w7_d139e12873
Bagage	w9_d139e12876
des	w11_d139e12879
regierenden	w1_d139e12884
Herrn	w3_d139e12887
Herzogs	w5_d139e12890
von	w7_d139e12893
Würtenberg	w9_d139e12896
auf	w1_d139e12901
166.	w3_d139e12904
Pferden	w5_d139e12907
allda	w7_d139e12910
angelangt,	w9_d139e12913
und	w11_d139e12916
den	w13_d139e12920
18.	w1_d139e12926
dieses	w3_d139e12929
Monats	w5_d139e12932
April	w7_d139e12935
von	w9_d139e12938
dannen	w11_d139e12941
weiter	w13_d139e12945
nacher	w1_d139e12950
Böheim	w3_d139e12953
fortgebracht	w5_d139e12956
worden	w7_d139e12959
seye.	w9_d139e12962
</p>
<p id="p14_d139e12965">
Von	w1_d139e12969
Straubing:	w3_d139e12972
Daß	w5_d139e12975
die	w7_d139e12978
Chur=fürstl.	w9_d139e12981
Bayrische	w1_d139e12986
nacher	w3_d139e12989
Böheim	w5_d139e12992
bestimmte	w7_d139e12995
Trupen	w9_d139e12998
den	w1_d139e13003
26.	w3_d139e13006
dieses	w5_d139e13009
alldaselbst	w7_d139e13012
zu	w9_d139e13015
Schiffe	w11_d139e13018
zu	w13_d139e13022
gehen	w15_d139e13025
beordert	w1_d139e13031
worden	w3_d139e13034
seyen,	w5_d139e13037
von	w7_d139e13040
wannen	w9_d139e13043
sie	w11_d139e13046
auf	w13_d139e13050
der	w1_d139e13055
Donau	w3_d139e13058
nacher	w5_d139e13061
Linz	w7_d139e13064
abgeführet	w9_d139e13067
werden	w11_d139e13070
sollen.	w1_d139e13075
</p>
<p id="p16_d139e13078">
Von	w1_d139e13082
Dreßden:	w3_d139e13085
Daß	w5_d139e13088
von	w7_d139e13091
Seiten	w9_d139e13094
des	w11_d139e13097
Königs	w1_d139e13102
in	w3_d139e13105
Preussen,	w5_d139e13108
dem	w7_d139e13111
Chur=prinzen	w9_d139e13114
von	w11_d139e13117
Sachsen	w1_d139e13122
bedeutet	w3_d139e13125
worden	w5_d139e13128
wäre,	w7_d139e13131
seinen	w9_d139e13134
Pallast	w11_d139e13137
zu	w1_d139e13143
raumen,	w3_d139e13146
und	w5_d139e13149
sich	w7_d139e13152
in	w9_d139e13155
das	w11_d139e13158
Schloß	w13_d139e13162
zu	w15_d139e13165
bege	w17_d139e13168
ben;	w1_d139e13173
daß	w3_d139e13176
der	w5_d139e13179
Obrist=hofmeister	w7_d139e13182
dieses	w9_d139e13185
Prin	w11_d139e13188
zens	w1_d139e13193
Herr	w3_d139e13196
Graf	w5_d139e13199
von	w7_d139e13202
Wackerbart	w9_d139e13205
nicht	w11_d139e13208
nach	w13_d139e13212
Spandau,	w1_d139e13217
sondern	w3_d139e13220
nacher	w5_d139e13223
Küstrin	w7_d139e13226
gefänglich	w9_d139e13229
abgeführet;	w1_d139e13235
und	w3_d139e13238
daß	w5_d139e13241
in	w7_d139e13244
dem	w9_d139e13247
Schloß	w11_d139e13250
zu	w13_d139e13254
Dreßden	w1_d139e13259
alle	w3_d139e13262
Thüren,	w5_d139e13265
bis	w7_d139e13268
auf	w9_d139e13271
eine	w11_d139e13274
zuge	w13_d139e13278
maurt	w1_d139e13283
worden	w3_d139e13286
seyen.	w5_d139e13289
</p>
<head id="h2_d139e13295">
Lista	w1_d139e13299
deren	w3_d139e13302
Verstorbenen	w5_d139e13305
zu	w7_d139e13308
Wien	w9_d139e13311
in	w1_d139e13316
und	w3_d139e13319
vor	w5_d139e13322
der	w7_d139e13325
Stadt.	w9_d139e13328
Den	w1_d139e13333
27.	w3_d139e13336
April.	w5_d139e13339
Jn	w1_d139e13345
der	w3_d139e13348
Stadt.	w5_d139e13351
</head>
<list id="l4_d139e13354">
Dem	w1_d139e13358
Wol=edel=geb.	w3_d139e13361
Hrn.	w5_d139e13364
Joh.	w7_d139e13367
Ant.	w9_d139e13370
Straube,	w11_d139e13373
K.	w13_d139e13377
K.	w1_d139e13382
Schulden=haupt=cassa=direct.	w3_d139e13385
buchhalt.	w5_d139e13388
rait.	w7_d139e13391
raht,	w1_d139e13396
s.	w3_d139e13399
Fr.	w5_d139e13402
Maria	w7_d139e13405
Antonia,	w9_d139e13408
geb.	w11_d139e13411
von	w13_d139e13415
Brucken	w15_d139e13418
theiß,	w1_d139e13424
im	w3_d139e13427
neuen	w5_d139e13430
Passauer=hof,	w7_d139e13433
alt	w9_d139e13436
39.	w11_d139e13439
J.	w13_d139e13443
Dem	w1_d139e13448
Jgnatz	w3_d139e13451
Brand,	w5_d139e13454
Portiern	w7_d139e13457
im	w9_d139e13460
K.	w11_d139e13463
K.	w13_d139e13467
Zeug=H.,	w15_d139e13470
s.	w1_d139e13475
K.	w3_d139e13478
Cathar.,	w5_d139e13481
alda,	w7_d139e13484
alt	w9_d139e13487
3.	w11_d139e13490
J.	w13_d139e13494
</list>
<head id="h2_d139e13501">
Vor	w1_d139e13505
der	w3_d139e13508
Stadt.	w5_d139e13511
</head>
<list id="l4_d139e13514">
Dem	w1_d139e13518
Hrn.	w3_d139e13521
Ant.	w5_d139e13524
Piwald.	w7_d139e13527
K.	w9_d139e13530
K.	w11_d139e13533
Hartsch.,	w13_d139e13537
s.	w15_d139e13540
K.	w17_d139e13543
Franz,	w19_d139e13546
in	w1_d139e13551
s.	w3_d139e13554
H.	w5_d139e13557
oborm	w7_d139e13560
Neustift,	w9_d139e13563
alt	w11_d139e13566
5.	w13_d139e13570
J.	w15_d139e13573
Jgnatz	w1_d139e13578
Flackl,	w3_d139e13581
Burgerl.	w5_d139e13584
Golb=arbeit.,	w7_d139e13587
in	w9_d139e13590
s.	w11_d139e13593
H.	w13_d139e13597
bey	w15_d139e13600
Maria=hülf,	w1_d139e13606
alt	w3_d139e13609
53.	w5_d139e13612
J.	w7_d139e13615
Dem	w1_d139e13620
Joh.	w3_d139e13623
Raffelsperger,	w5_d139e13626
Burgerl.	w7_d139e13629
Holz=handl.,	w9_d139e13632
s.	w11_d139e13635
K.	w1_d139e13640
Rosina,	w3_d139e13643
bey	w5_d139e13646
der	w7_d139e13649
weis.	w9_d139e13652
Schwan.	w11_d139e13655
in	w13_d139e13659
der	w15_d139e13662
Rossau,	w17_d139e13665
alt	w1_d139e13670
2.	w3_d139e13673
J.	w5_d139e13676
Dem	w1_d139e13682
Joh.	w3_d139e13685
Niedermayr,	w5_d139e13688
Burgerl.	w7_d139e13691
Strümpf	w9_d139e13694
würk.,	w11_d139e13697
s.	w1_d139e13702
Ehew.	w3_d139e13705
Elisab.,	w5_d139e13708
in	w7_d139e13711
s.	w9_d139e13714
H.	w11_d139e13717
im	w13_d139e13721
Liechtenth.,	w15_d139e13724
18.	w17_d139e13727
J.	w19_d139e13730
Dem	w1_d139e13735
Phil.	w3_d139e13738
Dies,	w5_d139e13741
gew.	w7_d139e13744
K.	w9_d139e13747
Trab.,	w11_d139e13750
s.	w13_d139e13754
Ehew.	w15_d139e13757
Cathar.	w17_d139e13760
bey	w1_d139e13765
der	w3_d139e13768
gold	w5_d139e13771
Gans	w7_d139e13774
im	w9_d139e13777
Liechtenth.,	w11_d139e13780
alt	w13_d139e13784
48.	w15_d139e13787
J.	w17_d139e13790
Dem	w1_d139e13796
Ant.	w3_d139e13799
Beil,	w5_d139e13802
Burgerl.	w7_d139e13805
Strümpf=würk.,	w9_d139e13808
s.	w11_d139e13811
K.	w13_d139e13815
Barb.,	w1_d139e13820
im	w3_d139e13823
Hupergeris.	w5_d139e13826
H.	w7_d139e13829
am	w9_d139e13832
Himmel=pfort=gr.,	w11_d139e13835
alt	w1_d139e13840
6.	w3_d139e13843
J.	w5_d139e13846
Dem	w1_d139e13851
Lovenz	w3_d139e13854
Perled,	w5_d139e13857
Burgerl.	w7_d139e13860
Schuh=mach.,	w9_d139e13863
s.	w11_d139e13866
K.	w13_d139e13870
Barb.,	w1_d139e13876
im	w3_d139e13879
Schneideris.	w5_d139e13882
H.	w7_d139e13885
in	w9_d139e13888
der	w11_d139e13891
Leopoldst.,	w13_d139e13895
4	w15_d139e13898
J.	w17_d139e13901
Barthl.	w1_d139e13906
Mayrhofer,	w3_d139e13909
Bier=leut=geb,	w5_d139e13912
beym	w7_d139e13915
steinen	w9_d139e13918
Löw.	w1_d139e13923
am	w3_d139e13926
Himmel=pfort=gr.,	w5_d139e13929
alt	w7_d139e13932
38.	w9_d139e13935
J.	w11_d139e13938
Math.	w1_d139e13943
Kellner,	w3_d139e13946
Kleiber=putz.,	w5_d139e13949
beym	w7_d139e13952
rot.	w9_d139e13955
Krebs.	w11_d139e13958
auf	w13_d139e13962
der	w1_d139e13968
Laimgr.,	w3_d139e13971
alt	w5_d139e13974
75.	w7_d139e13977
J.	w9_d139e13980
Dem	w1_d139e13985
Math.	w3_d139e13988
Gollink,	w5_d139e13991
Schlos.,	w7_d139e13994
s.	w9_d139e13997
W.	w11_d139e14000
Cathar.,	w13_d139e14004
bey	w15_d139e14007
dem	w1_d139e14012
gold.	w3_d139e14015
Rit.	w5_d139e14018
auf	w7_d139e14021
der	w9_d139e14024
Wied.,	w11_d139e14027
alt	w13_d139e14031
30.	w15_d139e14034
J.	w17_d139e14037
</list>
<list id="l6_d139e14041">
Dem	w1_d139e14045
Ant.	w3_d139e14048
Schirmer,	w5_d139e14051
Weber=ges.,	w7_d139e14054
s.	w9_d139e14057
K.	w11_d139e14060
Jos.,	w13_d139e14064
bey	w15_d139e14067
der	w1_d139e14072
H.	w3_d139e14075
Drepfaltigk.	w5_d139e14078
am	w7_d139e14081
Thury,	w9_d139e14084
alt	w11_d139e14087
2.	w13_d139e14091
J.	w15_d139e14094
Dem	w1_d139e14099
Paul	w3_d139e14102
Zimmer,	w5_d139e14105
Bier=abtrag.,	w7_d139e14108
s.	w9_d139e14111
K.	w11_d139e14114
Casp.,	w13_d139e14118
im	w15_d139e14121
Plenzis.	w1_d139e14127
H.	w3_d139e14130
am	w5_d139e14133
Hundsth.,	w7_d139e14136
alt	w9_d139e14139
4.	w11_d139e14142
J.	w13_d139e14146
Dem	w1_d139e14151
Jos.	w3_d139e14154
Neuman,	w5_d139e14157
Porcelan=matetial=reib.,	w7_d139e14160
s.	w9_d139e14163
W.	w11_d139e14166
Ursula,	w1_d139e14171
beym	w3_d139e14174
weis.	w5_d139e14177
Lämmel	w7_d139e14180
ausser	w9_d139e14183
der	w11_d139e14186
Rossau,	w13_d139e14190
alt	w1_d139e14195
44.	w3_d139e14198
J.	w5_d139e14201
Dem	w1_d139e14207
Joh.	w3_d139e14210
Mohr,	w5_d139e14213
Kutsch.,	w7_d139e14216
s.	w9_d139e14219
K.	w11_d139e14222
Theres.,	w13_d139e14226
bey	w15_d139e14229
der	w17_d139e14232
gold.	w1_d139e14237
Preß	w3_d139e14240
auf	w5_d139e14243
der	w7_d139e14246
Wied.,	w9_d139e14249
alt	w11_d139e14252
6.	w13_d139e14256
v.	w15_d139e14259
J.	w17_d139e14262
</list>
<head id="h2_d139e14269">
Summa	w1_d139e14273
16.	w3_d139e14276
Person.,	w5_d139e14279
darunter	w7_d139e14282
8.	w9_d139e14285
Kinder.	w11_d139e14288
Den	w1_d139e14293
28.	w3_d139e14296
April.	w5_d139e14299
Jn	w1_d139e14304
der	w3_d139e14307
Stadt.	w5_d139e14310
</head>
<list id="l4_d139e14313">
Dem	w1_d139e14317
Hrn.	w3_d139e14320
Ant.	w5_d139e14323
Einhorn,	w7_d139e14326
