<doc id="wr_1757-08-13" attrs="word" year="1757" month="08" day="13" corpus="2">
<head id="h2_d169e3058">
Ragusa,	w1_d169e3062
Besitz	w9_d169e10328
nehmen	w11_d169e10331
werde,	w13_d169e10335
welche	w1_d169e10340
ihme	w3_d169e10343
die	w5_d169e10346
Thöre	w7_d169e10349
zu	w9_d169e10352
eröfnen	w11_d169e10355
alschon	w13_d169e10359
entschlossen,	w1_d169e10364
ist.	w3_d169e10367
</p>
<p id="p14_d169e10373">
Wir	w1_d169e10377
haben	w3_d169e10380
mehr	w5_d169e10383
als	w7_d169e10386
900.	w9_d169e10389
Kriegsgefan	w11_d169e10392
gene	w1_d169e10397
bey	w3_d169e10400
uns,	w5_d169e10403
davon	w7_d169e10406
die	w9_d169e10409
meiste	w11_d169e10412
bleßirt	w13_d169e10416
seynd;	w1_d169e10421
wie	w3_d169e10424
dann	w5_d169e10427
auch	w7_d169e10430
70.	w9_d169e10433
metallene	w11_d169e10436
Stücke	w1_d169e10442
von	w3_d169e10445
allerhand	w5_d169e10448
Caliber,	w7_d169e10451
und	w9_d169e10454
zwar	w11_d169e10457
18.	w1_d169e10462
von	w3_d169e10465
24.	w5_d169e10468
und	w7_d169e10471
sehr	w9_d169e10474
viele	w11_d169e10477
von	w13_d169e10481
12.	w15_d169e10484
Pfunden	w17_d169e10487
in	w1_d169e10492
unseren	w3_d169e10495
Handen	w5_d169e10498
sich	w7_d169e10501
befinden.	w9_d169e10504
</p>
<head id="h2_d169e10510">
Stockholm	w1_d169e10514
dem	w3_d169e10517
15.	w5_d169e10520
Jul.	w7_d169e10523
</head>
<p id="p4_d169e10526">
Vorgestern	w1_d169e10530
begaben	w3_d169e10533
sich	w5_d169e10536
einige	w7_d169e10539
Reichs	w9_d169e10542
rähte	w1_d169e10547
als	w3_d169e10550
Deputirte	w5_d169e10553
im	w7_d169e10556
Nahmen	w9_d169e10559
des	w11_d169e10562
Se	w13_d169e10566
nats	w1_d169e10571
nach	w3_d169e10574
Drottingholm,	w5_d169e10577
um	w7_d169e10580
ihre	w9_d169e10583
unter	w11_d169e10586
thänigste	w1_d169e10592
Condolenz	w3_d169e10595
über	w5_d169e10598
das	w7_d169e10601
Absterben	w9_d169e10604
Jhrer	w11_d169e10607
Majestät	w1_d169e10612
der	w3_d169e10615
verwittibten	w5_d169e10618
Königin	w7_d169e10621
von	w9_d169e10624
Preussen,	w1_d169e10629
der	w3_d169e10632
Frau	w5_d169e10635
Mutter	w7_d169e10638
unserer	w9_d169e10641
Königin	w11_d169e10644
Majestät,	w1_d169e10649
abzulegen.	w3_d169e10652
Der	w5_d169e10655
Hr.	w7_d169e10658
Graf	w9_d169e10661
von	w11_d169e10664
Solms	w1_d169e10670
hat	w3_d169e10673
die	w5_d169e10676
Notifications=briefe	w7_d169e10679
über	w9_d169e10682
die	w11_d169e10685
sen	w1_d169e10690
hohen	w3_d169e10693
Todes=fall	w5_d169e10696
noch	w7_d169e10699
nicht	w9_d169e10702
erhalten.	w11_d169e10705
Die	w1_d169e10710
Hitze	w3_d169e10713
ist	w5_d169e10716
seit	w7_d169e10719
einigen	w9_d169e10722
Tagen	w11_d169e10725
allhier	w13_d169e10729
so	w15_d169e10732
ausserordentlich,	w1_d169e10737
als	w3_d169e10740
man	w5_d169e10743
sich	w7_d169e10746
bey	w9_d169e10749
Men	w11_d169e10752
schen=gedenken	w1_d169e10758
nicht	w3_d169e10761
zu	w5_d169e10764
erinnern	w7_d169e10767
weiß,	w9_d169e10770
und	w11_d169e10773
man	w1_d169e10778
ist	w3_d169e10781
daher	w5_d169e10784
für	w7_d169e10787
die	w9_d169e10790
Feld=früchte	w11_d169e10793
nicht	w13_d169e10797
wenig	w1_d169e10802
besorget.	w3_d169e10805
Zu	w5_d169e10808
der	w7_d169e10811
vorhabenden	w9_d169e10814
Ein	w11_d169e10817
schiffung	w1_d169e10822
von	w3_d169e10825
Trupen	w5_d169e10828
nach	w7_d169e10831
Teuschland	w9_d169e10834
wer	w11_d169e10837
den	w1_d169e10843
alle	w3_d169e10846
Anstalten	w5_d169e10849
gemacht.	w7_d169e10852
Sie	w9_d169e10855
wird	w11_d169e10858
mit	w1_d169e10863
dem	w3_d169e10866
erstern	w5_d169e10869
Tägen	w7_d169e10872
dieses	w9_d169e10875
Monats	w11_d169e10878
ihren	w13_d169e10882
Anfang	w1_d169e10887
nehmen,	w3_d169e10890
und	w5_d169e10893
vor	w7_d169e10896
Ablauf	w9_d169e10899
des	w11_d169e10902
Au	w13_d169e10906
gust=monats	w1_d169e10911
geendiget	w3_d169e10914
seyn.	w5_d169e10917
</p>
<head id="h2_d169e10923">
Halle,	w1_d169e10927
vom	w3_d169e10930
26.	w5_d169e10933
Julli.	w7_d169e10936
</head>
<p id="p4_d169e10939">
Am	w1_d169e10943
Dienstage,	w3_d169e10946
Nachmittags	w5_d169e10949
gegen	w7_d169e10952
3.	w9_d169e10955
Uhr	w11_d169e10958
entstund	w1_d169e10963
in	w3_d169e10966
dem	w5_d169e10969
dem	w7_d169e10972
Chur	w9_d169e10975
sächsische	w11_d169e10978
Amt	w13_d169e10982
Frey	w15_d169e10985
burg	w1_d169e10990
zugehörigen	w3_d169e10993
Dorfe	w5_d169e10996
Langen=eich=städt,	w7_d169e10999
bey	w9_d169e11002
Gelegenheit	w1_d169e11008
einer	w3_d169e11011
Hochzeit,	w5_d169e11014
eine	w7_d169e11017
Feuers	w9_d169e11020
brunst,	w1_d169e11025
welche	w3_d169e11028
etliche	w5_d169e11031
60.	w7_d169e11034
Häuser	w9_d169e11037
verzehrte	w11_d169e11040
Des	w1_d169e11045
folgenden	w3_d169e11048
Tages,	w5_d169e11051
gegen	w7_d169e11054
Abend,	w9_d169e11057
nahm	w11_d169e11060
man	w1_d169e11065
hier	w3_d169e11068
wieder	w5_d169e11071
ein	w7_d169e11074
Feuer	w9_d169e11077
in	w11_d169e11080
der	w13_d169e11084
Gegend	w15_d169e11087
von	w1_d169e11093
Brehna	w3_d169e11096
wahr,	w5_d169e11099
und	w7_d169e11102
vorher	w9_d169e11105
hat	w11_d169e11108
das	w13_d169e11112
in	w15_d169e11115
das	w1_d169e11120
Amt	w3_d169e11123
Delisch	w5_d169e11126
gehörige	w7_d169e11129
Dorf	w9_d169e11132
Döbern	w11_d169e11135
durch	w1_d169e11140
eben	w3_d169e11143
dergleichen	w5_d169e11146
Unglück	w7_d169e11149
36.	w9_d169e11152
Häuser	w11_d169e11155
verloren.	w1_d169e11160
</p>
<head id="h2_d169e11166">
Kurz=gefaßte	w1_d169e11170
Nachrichten.	w3_d169e11173
Es	w1_d169e11178
geben	w3_d169e11181
die	w5_d169e11184
Briefe	w7_d169e11187
</head>
<p id="p4_d169e11190">
Von	w1_d169e11194
Braunschweig:	w3_d169e11197
daß	w5_d169e11200
die	w7_d169e11203
Herzo	w9_d169e11206
gin	w1_d169e11211
mit	w3_d169e11214
ihrer	w5_d169e11217
ganzen	w7_d169e11220
Famille	w9_d169e11223
von	w11_d169e11226
dannen	w13_d169e11230
nacher	w1_d169e11235
Berlin	w3_d169e11238
zuruck	w5_d169e11241
sich	w7_d169e11244
verfüget	w9_d169e11247
habe.	w11_d169e11250
</p>
<p id="p6_d169e11253">
Von	w1_d169e11257
Rom:	w3_d169e11260
Daß	w5_d169e11263
Se.	w7_d169e11266
Päpstl.	w9_d169e11269
Heiligkeit	w11_d169e11272
in	w1_d169e11277
fortwährenden	w3_d169e11280
Wolstand	w5_d169e11283
sich	w7_d169e11286
befänden,	w9_d169e11289
daß	w1_d169e11294
Selbe	w3_d169e11297
in	w5_d169e11300
dem	w7_d169e11303
Garten	w9_d169e11306
des	w11_d169e11309
Mons.	w13_d169e11313
Rota	w15_d169e11316
mit	w1_d169e11322
Spatz	w3_d169e11325
eren=gehen	w5_d169e11328
sich	w7_d169e11331
erlustiget,	w9_d169e11334
und	w11_d169e11337
daß	w13_d169e11341
Sie	w1_d169e11346
sich	w3_d169e11349
abermal	w5_d169e11352
aus	w7_d169e11355
dem	w9_d169e11358
Orden	w11_d169e11361
deren	w13_d169e11365
Bar	w15_d169e11368
nabiten	w1_d169e11373
einen	w3_d169e11376
neuen	w5_d169e11379
Beicht=vatter,	w7_d169e11382
benannt	w9_d169e11385
lichen	w1_d169e11390
den	w3_d169e11393
W.	w5_d169e11396
E.	w7_d169e11399
P.	w9_d169e11402
Venereo,	w11_d169e11405
einen	w13_d169e11409
sowol	w15_d169e11412
</p>
<p id="p8_d169e11415">
an	w1_d169e11419
Fromkeit	w3_d169e11422
als	w5_d169e11425
Gelehrsamkeit	w7_d169e11428
sehr	w9_d169e11431
berühm	w11_d169e11434
ten	w1_d169e11439
Venetianer	w3_d169e11442
erwählet	w5_d169e11445
hätten.	w7_d169e11448
</p>
<p id="p10_d169e11451">
Von	w1_d169e11455
Berlin:	w3_d169e11458
daß	w5_d169e11461
man	w7_d169e11464
daselbst	w9_d169e11467
in	w11_d169e11470
Be	w13_d169e11474
tref	w1_d169e11479
deren	w3_d169e11482
in	w5_d169e11485
Sachsen,	w7_d169e11488
in	w9_d169e11491
der	w11_d169e11494
Lausnitz	w13_d169e11498
und	w15_d169e11501
in	w1_d169e11506
Schlesien	w3_d169e11509
obwaltenden	w5_d169e11512
Kriegsbegebenhei	w7_d169e11515
ten	w1_d169e11521
in	w3_d169e11524
einer	w5_d169e11527
Bewunderungs=würdigen	w7_d169e11530
Unwis	w9_d169e11533
senheit	w1_d169e11538
stecke,	w3_d169e11541
gleich	w5_d169e11544
als	w7_d169e11547
ob	w9_d169e11550
man	w11_d169e11553
mitten	w13_d169e11557
in	w15_d169e11560
Friedens=zeiten	w1_d169e11565
lebte;	w3_d169e11568
welches	w5_d169e11571
aber	w7_d169e11574
von	w9_d169e11577
denen,	w11_d169e11580
die	w1_d169e11585
mit	w3_d169e11588
einiger	w5_d169e11591
Einsicht	w7_d169e11594
begabt	w9_d169e11597
seynd,	w11_d169e11600
ür	w13_d169e11604
gar	w15_d169e11607
kein	w1_d169e11613
gutes	w3_d169e11616
Zeichen	w5_d169e11619
genommen	w7_d169e11622
werden	w9_d169e11625
wolle.	w11_d169e11628
</p>
<p id="p12_d169e11632">
Von	w1_d169e11636
Genua:	w3_d169e11639
daß	w5_d169e11642
der	w7_d169e11645
in	w9_d169e11648
Corsica	w11_d169e11651
com	w13_d169e11655
mandirende	w1_d169e11660
Französische	w3_d169e11663
General	w5_d169e11666
allen	w7_d169e11669
de	w9_d169e11672
nen	w1_d169e11677
Einwohnern	w3_d169e11680
deren	w5_d169e11683
mit	w7_d169e11686
Französischen	w9_d169e11689
Tru	w11_d169e11692
pen	w1_d169e11698
besetzten	w3_d169e11701
Districten	w5_d169e11704
befohlen	w7_d169e11707
habe,	w9_d169e11710
sich	w11_d169e11713
auf	w1_d169e11718
4.	w3_d169e11721
Monat	w5_d169e11724
mit	w7_d169e11727
Lebens=mitteln	w9_d169e11730
zu	w11_d169e11733
verse	w13_d169e11737
hen,	w1_d169e11742
ohne	w3_d169e11745
daß	w5_d169e11748
die	w7_d169e11751
Ursach	w9_d169e11754
dessen	w11_d169e11757
noch	w13_d169e11761
zu	w15_d169e11764
dato	w17_d169e11767
erkläret	w1_d169e11772
worden	w3_d169e11775
wäre.	w5_d169e11778
</p>
<p id="p14_d169e11781">
Von	w1_d169e11785
Floren;:	w3_d169e11788
daß	w5_d169e11791
den	w7_d169e11794
24.	w9_d169e11797
verstrichenen	w11_d169e11800
Monats	w1_d169e11805
Julii	w3_d169e11808
3.	w5_d169e11811
Französische	w7_d169e11814
Schiffe	w9_d169e11817
zu	w11_d169e11820
Li	w13_d169e11824
vorno	w1_d169e11829
eingeloffen	w3_d169e11832
seyen,	w5_d169e11835
welche	w7_d169e11838
in	w9_d169e11841
Ersehung	w11_d169e11844
deren	w1_d169e11850
alda	w3_d169e11853
sich	w5_d169e11856
befindlichen	w7_d169e11859
6.	w9_d169e11862
Engländischen	w11_d169e11865
Kriegs=schiffen	w1_d169e11870
des	w3_d169e11873
Admirals	w5_d169e11876
Osborne	w7_d169e11879
Ge	w9_d169e11882
nuesische	w1_d169e11887
Flaggen	w3_d169e11890
aufgestecket.	w5_d169e11893
Auf	w7_d169e11896
einem	w9_d169e11899
die	w11_d169e11902
ser	w1_d169e11907
Französischen	w3_d169e11910
Schiffen	w5_d169e11913
habe	w7_d169e11916
der	w9_d169e11919
Hr.	w11_d169e11922
Marq.	w13_d169e11926
de	w1_d169e11932
Castries,	w3_d169e11935
welcher	w5_d169e11938
das	w7_d169e11941
Commando	w9_d169e11944
über	w11_d169e11947
die	w13_d169e11951
Französische	w1_d169e11956
Trupen	w3_d169e11959
in	w5_d169e11962
Corsica	w7_d169e11965
niedergelegt,	w9_d169e11968
und	w1_d169e11973
nacher	w3_d169e11976
Teutschland,	w5_d169e11979
um	w7_d169e11982
unter	w9_d169e11985
dem	w11_d169e11988
Prin	w13_d169e11992
zen	w1_d169e11997
von	w3_d169e12000
Soubise	w5_d169e12003
zu	w7_d169e12006
dienen,	w9_d169e12009
abgehet,	w11_d169e12012
sich	w13_d169e12016
be	w15_d169e12019
funden;	w1_d169e12025
der	w3_d169e12028
Herr	w5_d169e12031
de	w7_d169e12034
Vaux	w9_d169e12037
habe	w11_d169e12040
den	w13_d169e12044
Herrn	w15_d169e12047
de	w1_d169e12052
Castries	w3_d169e12055
in	w5_d169e12058
Corsica	w7_d169e12061
abgelöset;	w9_d169e12064
und	w11_d169e12067
dieser	w13_d169e12071
letztere	w1_d169e12076
solle	w3_d169e12079
seinen	w5_d169e12082
Weeg	w7_d169e12085
über	w9_d169e12088
Parma	w11_d169e12091
nehmen,	w13_d169e12095
von	w1_d169e12100
wannen	w3_d169e12103
die	w5_d169e12106
Herzogin	w7_d169e12109
Jnfantin	w9_d169e12112
den	w11_d169e12115
12.	w13_d169e12119
oder	w1_d169e12125
15.	w3_d169e12128
dieses	w5_d169e12131
Monats	w7_d169e12134
Augusti	w9_d169e12137
aufbrechen,	w11_d169e12140
und	w1_d169e12145
durch	w3_d169e12148
Piemont,	w5_d169e12151
jedoch	w7_d169e12154
ohne	w9_d169e12157
Turin	w11_d169e12160
zu	w13_d169e12164
berühren,	w1_d169e12169
nacher	w3_d169e12172
Pariß	w5_d169e12175
abgehen	w7_d169e12178
wird.	w9_d169e12181
</p>
<p id="p16_d169e12184">
Der	w1_d169e12188
Königl.	w3_d169e12191
Französische	w5_d169e12194
Minister	w7_d169e12197
am	w9_d169e12200
Königl.	w1_d169e12205
Sardinischen	w3_d169e12208
Hof,	w5_d169e12211
Herr	w7_d169e12214
von	w9_d169e12217
Chauve	w11_d169e12220
lin	w1_d169e12225
habe	w3_d169e12228
bey	w5_d169e12231
Sr.	w7_d169e12234
Durchl.	w9_d169e12237
dem	w11_d169e12240
Herzog	w13_d169e12244
v.	w15_d169e12247
Mode	w17_d169e12250
na	w1_d169e12256
das	w3_d169e12259
feyerliche	w5_d169e12262
Begehren	w7_d169e12265
um	w9_d169e12268
dessen	w11_d169e12271
Prinzeßin	w13_d169e12275
Tochter	w1_d169e12280
für	w3_d169e12283
den	w5_d169e12286
Grafen	w7_d169e12289
de	w9_d169e12292
lla	w11_d169e12295
Marche	w13_d169e12299
einen	w15_d169e12302
Sohn	w1_d169e12307
des	w3_d169e12310
Prinzens	w5_d169e12313
von	w7_d169e12316
Conti,	w9_d169e12319
gemacht.	w11_d169e12322
</p>
<p id="p18_d169e12325">
Der	w1_d169e12329
Königl.	w3_d169e12332
Engländische	w5_d169e12335
Resident	w7_d169e12338
zu	w9_d169e12341
Flo	w11_d169e12344
renz	w1_d169e12349
Hr.	w3_d169e12352
von	w5_d169e12355
Mann	w7_d169e12358
seye	w9_d169e12361
von	w11_d169e12364
dannen	w13_d169e12368
nacher	w15_d169e12371
Li	w17_d169e12374
vorno	w1_d169e12379
abgegangen,	w3_d169e12382
um	w5_d169e12385
den	w7_d169e12388
Admiral	w9_d169e12391
Osbor	w11_d169e12394
ne	w1_d169e12400
alda	w3_d169e12403
zu	w5_d169e12406
becomplimentiren.	w7_d169e12409
</p>
<p id="p20_d169e12412">
Von	w1_d169e12416
Wolfenbüttel:	w3_d169e12419
daß	w5_d169e12422
man	w7_d169e12425
auch	w9_d169e12428
alda,	w11_d169e12431
nach	w1_d169e12436
dem	w3_d169e12439
Beyspiel	w5_d169e12442
der	w7_d169e12445
Stadt	w9_d169e12448
Braunschweig,	w11_d169e12451
die	w1_d169e12456
Festungs=werke	w3_d169e12459
in	w5_d169e12462
besseren	w7_d169e12465
Vertheidigungs	w9_d169e12468
stand	w1_d169e12474
zu	w3_d169e12477
setzen	w5_d169e12480
angefangen	w7_d169e12483
habe;	w9_d169e12486
nachdeme	w11_d169e12489
die	w1_d169e12494
Franzosen	w3_d169e12497
bereits	w5_d169e12500
in	w7_d169e12503
dem	w9_d169e12506
Braunschwei	w11_d169e12509
gischen	w1_d169e12514
Contributionen	w3_d169e12517
ausschreiben.	w5_d169e12520
</p>
<head id="h4_d169e12529">
Wien	w1_d169e12533
den	w3_d169e12536
13.	w5_d169e12539
Augusti	w7_d169e12542
1757.	w9_d169e12545
</head>
<p id="p6_d169e12548">
BEy	w1_d169e12552
fürwährend	w3_d169e12555
9=tägiger	w5_d169e12558
Andacht	w7_d169e12561
mit	w9_d169e12564
Aussetzung	w1_d169e12569
des	w3_d169e12572
Wunder=thätigen	w5_d169e12575
Frauen	w7_d169e12578
bilds	w1_d169e12583
der	w3_d169e12586
Haus=mutter	w5_d169e12589
in	w7_d169e12592
dem	w9_d169e12595
GOttes=haus.	w11_d169e12598
deren	w1_d169e12604
regulirten	w3_d169e12607
Chor=frauen	w5_d169e12610
zur	w7_d169e12613
Himmels	w9_d169e12616
Pforte,	w1_d169e12621
haben	w3_d169e12624
Allerhöchst	w5_d169e12627
Jhre	w7_d169e12630
Majestät	w9_d169e12633
die	w1_d169e12638
Kaiserin	w3_d169e12641
vergangenen	w5_d169e12644
Mittwoch	w7_d169e12647
den	w9_d169e12650
An	w11_d169e12653
fang	w1_d169e12658
gemacht,	w3_d169e12661
und	w5_d169e12664
kommen	w7_d169e12667
nun	w9_d169e12670
täglich	w11_d169e12673
die	w13_d169e12677
Durchleuchtiste	w1_d169e12683
junge	w3_d169e12686
Herrschaften,	w5_d169e12689
nach	w7_d169e12692
er	w9_d169e12695
sagten	w1_d169e12700
GOttes=hause,	w3_d169e12703
um	w5_d169e12706
Dero	w7_d169e12709
Andacht	w9_d169e12712
allda	w1_d169e12717
zu	w3_d169e12720
verrichten,	w5_d169e12723
herein.	w7_d169e12726
</p>
<p id="p8_d169e12729">
Vorgestern	w1_d169e12733
ist	w3_d169e12736
zu	w5_d169e12739
Schönbrunn	w7_d169e12742
grosse	w9_d169e12745
Con	w11_d169e12748
ferenz	w1_d169e12753
in	w3_d169e12756
Beyseyn	w5_d169e12759
Allerhöchster	w7_d169e12762
Majestäten	w9_d169e12765
gehalten	w1_d169e12770
worden.	w3_d169e12773
Ubrigens	w1_d169e12779
seynd	w3_d169e12782
den	w5_d169e12785
8.	w7_d169e12788
dieses	w9_d169e12791
in	w11_d169e12794
der	w13_d169e12798
gros	w15_d169e12801
sen	w1_d169e12806
Hof=kapelle	w3_d169e12809
für	w5_d169e12812
die	w7_d169e12815
Hoch=adeliche	w9_d169e12818
Stern	w11_d169e12821
kreutz=ordens=dame	w1_d169e12826
(Titl.)	w3_d169e12829
Frau	w5_d169e12832
Maria	w7_d169e12835
Eli	w9_d169e12838
sabetha	w1_d169e12843
Gräfin	w3_d169e12846
von	w5_d169e12849
Spauer,	w7_d169e12852
geborne	w9_d169e12855
Grä	w11_d169e12858
fin	w1_d169e12864
von	w3_d169e12867
Attimis,	w5_d169e12870
so	w7_d169e12873
zu	w9_d169e12876
Castel=valler,	w11_d169e12879
den	w13_d169e12883
11.	w15_d169e12886
Julii	w1_d169e12891
lauffenden	w3_d169e12894
Jahs	w5_d169e12897
in	w7_d169e12900
GOtt	w9_d169e12903
seelig	w11_d169e12906
ent	w13_d169e12910
schlaffen,	w1_d169e12915
die	w3_d169e12918
Exequien	w5_d169e12921
gehalten	w7_d169e12924
worden.	w9_d169e12927
</p>
<head id="h2_d169e12933">
Lista	w1_d169e12937
deren	w3_d169e12940
Verstorbenen	w5_d169e12943
zu	w7_d169e12946
Wien	w9_d169e12949
in	w1_d169e12954
und	w3_d169e12957
vor	w5_d169e12960
der	w7_d169e12963
Stadt.	w9_d169e12966
Den	w1_d169e12971
10.	w3_d169e12974
Aug.	w5_d169e12977
Jn	w1_d169e12983
der	w3_d169e12986
Stadt.	w5_d169e12989
</head>
<list id="l4_d169e12992">
Dem	w1_d169e12996
Thom.	w3_d169e12999
Rick,	w5_d169e13002
Brod=sitz.,	w7_d169e13005
s.	w9_d169e13008
K.	w11_d169e13011
Joh.,	w13_d169e13015
im	w15_d169e13018
Til	w17_d169e13021
lis.	w1_d169e13026
H.	w3_d169e13029
in	w5_d169e13032
der	w7_d169e13035
Singerstr.,	w9_d169e13038
alt	w11_d169e13041
4.	w13_d169e13045
J.	w15_d169e13048
</list>
<head id="h2_d169e13055">
Vor	w1_d169e13059
der	w3_d169e13062
Stadt.	w5_d169e13065
</head>
<list id="l4_d169e13068">
Dem	w1_d169e13072
Jos.	w3_d169e13075
Feß,	w5_d169e13078
Proviant=fuhr=wesens=offic.,	w7_d169e13081
s.	w9_d169e13084
K.	w11_d169e13087
Gottl.,	w1_d169e13092
bey	w3_d169e13095
der	w5_d169e13098
weis.	w7_d169e13101
Schwan.	w9_d169e13104
am	w11_d169e13107
Spitalberg,	w13_d169e13111
alt	w1_d169e13116
10.	w3_d169e13119
J.	w5_d169e13122
Der	w1_d169e13128
Magdal.	w3_d169e13131
Fendlin,	w5_d169e13134
Wittwe,	w7_d169e13137
ihr	w9_d169e13140
K.	w11_d169e13143
Steph.,	w13_d169e13147
bey	w15_d169e13150
dem	w1_d169e13155
gold.	w3_d169e13158
Kegel	w5_d169e13161
an	w7_d169e13164
der	w9_d169e13167
Wien,	w11_d169e13170
alt	w13_d169e13174
10.	w15_d169e13177
J.	w17_d169e13180
Dem	w1_d169e13185
Ant.	w3_d169e13188
Lang,	w5_d169e13191
Bier=leut=geb.,	w7_d169e13194
s.	w9_d169e13197
K.	w11_d169e13200
Jacob,	w13_d169e13204
bey	w15_d169e13207
dem	w1_d169e13212
grün.	w3_d169e13215
Dachel	w5_d169e13218
am	w7_d169e13221
Neustift,	w9_d169e13224
alt	w11_d169e13227
7.	w13_d169e13231
v.	w15_d169e13234
J.	w17_d169e13237
Dem	w1_d169e13243
Andre	w3_d169e13246
Dräxler,	w5_d169e13249
Lack.,	w7_d169e13252
s.	w9_d169e13255
K.	w11_d169e13258
Joh.,	w13_d169e13262
beym	w15_d169e13265
grün.	w17_d169e13268
Jäger	w1_d169e13273
am	w3_d169e13276
Spitalberg,	w5_d169e13279
alt	w7_d169e13282
2.	w9_d169e13285
J.	w11_d169e13288
Dem	w1_d169e13293
Jgnatz	w3_d169e13296
Plank,	w5_d169e13299
Tagw.,	w7_d169e13302
s.	w9_d169e13305
K.	w11_d169e13308
Mich.,	w13_d169e13312
bey	w15_d169e13315
dem	w17_d169e13318
Englis.	w1_d169e13323
Gruß	w3_d169e13326
zu	w5_d169e13329
Margar.,	w7_d169e13332
alt	w9_d169e13335
2.	w11_d169e13338
J.	w13_d169e13342
Dem	w1_d169e13348
Steph.	w3_d169e13351
Has,	w5_d169e13354
Tagw.,	w7_d169e13357
s.	w9_d169e13360
K.	w11_d169e13363
Anna,	w13_d169e13367
bey	w15_d169e13370
dem	w17_d169e13373
braun.	w1_d169e13378
Hirsch.	w3_d169e13381
zu	w5_d169e13384
Mätzleinstorf,	w7_d169e13387
alt	w9_d169e13390
4.	w11_d169e13393
J.	w13_d169e13397
</list>
<head id="h2_d169e13404">
Summa	w1_d169e13408
7.	w3_d169e13411
Kinder.	w5_d169e13414
Den	w1_d169e13419
11.	w3_d169e13422
Aug.	w5_d169e13425
Jn	w1_d169e13430
der	w3_d169e13433
Stadt	w5_d169e13436
</head>
<list id="l4_d169e13439">
Der	w1_d169e13443
Wol=edle	w3_d169e13446
Hr.	w5_d169e13449
Franz	w7_d169e13452
v.	w9_d169e13455
Marx,	w11_d169e13458
Oe.	w13_d169e13462
geh.	w15_d169e13465
Hof	w17_d169e13468
cancelist,	w1_d169e13473
im	w3_d169e13476
Kirschneris.	w5_d169e13479
H.	w7_d169e13482
in	w9_d169e13485
der	w11_d169e13488
Wolzetl,	w13_d169e13492
alt	w15_d169e13495
80.	w1_d169e13500
J.	w3_d169e13503
Juliana	w1_d169e13509
Bernhöblin,	w3_d169e13512
led.	w5_d169e13515
M.,	w7_d169e13518
im	w9_d169e13521
Fäßlisch.	w11_d169e13524
H.	w13_d169e13528
am	w15_d169e13531
Grabe,	w1_d169e13536
alt	w3_d169e13539
34.	w5_d169e13542
J.	w7_d169e13545
</list>
<head id="h2_d169e13552">
Vor	w1_d169e13556
der	w3_d169e13559
Stadt.	w5_d169e13562
</head>
<list id="l4_d169e13565">
Casp.	w1_d169e13569
Wallner,	w3_d169e13572
Burgerl,	w5_d169e13575
Silber=drat=zieh.,	w7_d169e13578
beym	w9_d169e13581
gut.	w1_d169e13586
Schäf.	w3_d169e13589
am	w5_d169e13592
Neustift,	w7_d169e13595
ast	w9_d169e13598
37.	w11_d169e13601
J.	w13_d169e13605
</list>
<list id="l6_d169e13609">
Dem	w1_d169e13613
Georg	w3_d169e13616
Gast,	w5_d169e13619
Burgern,	w7_d169e13622
s.	w9_d169e13625
K.	w11_d169e13628
Ant.,	w13_d169e13632
beym	w15_d169e13635
Ein	w17_d169e13638
horn	w1_d169e13643
auf	w3_d169e13646
der	w5_d169e13649
Wied.,	w7_d169e13652
alt	w9_d169e13655
2.	w11_d169e13658
J.	w13_d169e13662
Joh.	w1_d169e13667
Weiß,	w3_d169e13670
Tischl.,	w5_d169e13673
beym	w7_d169e13676
gold.	w9_d169e13679
Ring	w11_d169e13682
im	w13_d169e13686
Liech	w15_d169e13689
tenth.,	w1_d169e13695
alt	w3_d169e13698
53.	w5_d169e13701
J.	w7_d169e13704
Dem	w1_d169e13709
Christoph	w3_d169e13712
Neupauer,	w5_d169e13715
Lack,	w7_d169e13718
s.	w9_d169e13721
K.	w11_d169e13724
Ans.,	w13_d169e13728
betg	w15_d169e13731
gold.	w1_d169e13736
Greif.	w3_d169e13739
auf	w5_d169e13742
der	w7_d169e13745
Wied.,	w9_d169e13748
alt	w11_d169e13751
3.	w13_d169e13755
J.	w15_d169e13758
Dem	w1_d169e13763
Franz	w3_d169e13766
Rauter,	w5_d169e13769
Zeug=mach.=ges.,	w7_d169e13772
s.	w9_d169e13775
K.	w11_d169e13778
Georg.	w13_d169e13782
beyn	w1_d169e13788
2.	w3_d169e13791
Nuß	w5_d169e13794
daum.	w7_d169e13797
am	w9_d169e13800
Neubau,	w11_d169e13803
alt	w13_d169e13807
6.	w15_d169e13810
v.	w17_d169e13813
J.	w19_d169e13816
Dem	w1_d169e13821
Georg	w3_d169e13824
Umrecht,	w5_d169e13827
Lack.,	w7_d169e13830
s.	w9_d169e13833
K.	w11_d169e13836
Anna,	w13_d169e13840
beym	w15_d169e13843
weis	w17_d169e13846
Engel	w1_d169e13851
am	w3_d169e13854
Neubau,	w5_d169e13857
alt	w7_d169e13860
8.	w9_d169e13863
J.	w11_d169e13866
Dem	w1_d169e13871
Jos.	w3_d169e13874
Thomasi,	w5_d169e13877
Zeug=mach=ges.,	w7_d169e13880
s.	w9_d169e13883
K.	w11_d169e13886
Jos.	w13_d169e13890
beym	w1_d169e13896
schwarz.	w3_d169e13899
Bärn	w5_d169e13902
bey	w7_d169e13905
