<doc id="wr_1758-02-08" attrs="word" year="1758" month="02" day="08" corpus="2">
<head id="h2_d217e3160">
Rom,	w1_d217e3164
Mannschaft,	w1_d217e10428
und	w3_d217e10431
man	w5_d217e10434
versichert,	w7_d217e10437
daß	w9_d217e10440
zu	w11_d217e10443
besserer	w1_d217e10448
Vertheidigung	w3_d217e10451
noch	w5_d217e10454
2.	w7_d217e10457
Regimenter	w9_d217e10460
einrücken	w1_d217e10466
sollen.	w3_d217e10469
Denen	w5_d217e10472
Briefen	w7_d217e10475
aus	w9_d217e10478
Ha	w11_d217e10481
nover	w1_d217e10486
zufolge,	w3_d217e10489
wird	w5_d217e10492
der	w7_d217e10495
Herr	w9_d217e10498
Marschall,	w11_d217e10501
Her	w13_d217e10505
zog	w1_d217e10510
von	w3_d217e10513
Richelieu,	w5_d217e10516
ehestens	w7_d217e10519
nach	w9_d217e10522
Paris	w11_d217e10525
ab	w13_d217e10529
reisen.	w1_d217e10534
Die	w3_d217e10537
Winter=quartiere	w5_d217e10540
an	w7_d217e10543
der	w9_d217e10546
Aller	w11_d217e10549
seynd	w1_d217e10555
bis	w3_d217e10558
jetzo	w5_d217e10561
noch	w7_d217e10564
keiner	w9_d217e10567
Veränderung	w11_d217e10570
un	w13_d217e10574
terworfen	w1_d217e10579
gewesen,	w3_d217e10582
und	w5_d217e10585
zwischen	w7_d217e10588
beyden	w9_d217e10591
Ar	w11_d217e10594
</p>
<p id="p10_d217e10607">
meen	w1_d217e10611
ist	w3_d217e10614
bisher	w5_d217e10617
nichts	w7_d217e10620
von	w9_d217e10623
Wichtigkeit	w11_d217e10626
vor	w13_d217e10630
gefallen.	w1_d217e10635
Man	w3_d217e10638
versichert,	w5_d217e10641
daß	w7_d217e10644
die	w9_d217e10647
noch	w11_d217e10650
im	w13_d217e10654
Westphälischen	w1_d217e10659
befindliche	w3_d217e10662
Trupen	w5_d217e10665
sich	w7_d217e10668
denen	w9_d217e10671
Hanöverischen	w1_d217e10677
Gränzen	w3_d217e10680
nähern	w5_d217e10683
sollen,	w7_d217e10686
um	w9_d217e10689
desto	w1_d217e10694
näher	w3_d217e10697
bey	w5_d217e10700
der	w7_d217e10703
Hand	w9_d217e10706
zu	w11_d217e10709
seyn.	w13_d217e10713
Lüne	w15_d217e10716
burg	w1_d217e10721
ist	w3_d217e10724
noch	w5_d217e10727
das	w7_d217e10730
Haupt=quartier	w9_d217e10733
des	w11_d217e10736
Prin	w13_d217e10740
zens	w1_d217e10745
Ferdinand	w3_d217e10748
von	w5_d217e10751
Braunschweig.	w7_d217e10754
Die	w9_d217e10757
Nachrichten	w1_d217e10763
von	w3_d217e10766
daher	w5_d217e10769
melden	w7_d217e10772
blos	w9_d217e10775
dieses	w11_d217e10778
daß	w1_d217e10783
man	w3_d217e10786
in	w5_d217e10789
dasigen	w7_d217e10792
Gegenden	w9_d217e10795
die	w11_d217e10798
Werbun	w13_d217e10802
gen	w1_d217e10807
stark	w3_d217e10810
fortsetze,	w5_d217e10813
und	w7_d217e10816
daß	w9_d217e10819
man	w11_d217e10822
die	w13_d217e10826
Cam	w15_d217e10829
pagne	w1_d217e10834
sogleich	w3_d217e10837
bey	w5_d217e10840
einer	w7_d217e10843
erträglicheren	w9_d217e10846
Witterung	w1_d217e10852
eröfnen	w3_d217e10855
werde,	w5_d217e10858
um	w7_d217e10861
vermutlich	w9_d217e10864
von	w1_d217e10869
einem	w3_d217e10872
starken	w5_d217e10875
Corps	w7_d217e10878
Preussen,	w9_d217e10881
welches	w11_d217e10884
aus	w1_d217e10889
dem	w3_d217e10892
Mecklenburgischen	w5_d217e10895
dem	w7_d217e10898
Vernehmen	w9_d217e10901
nach,	w1_d217e10906
anrücken	w3_d217e10909
solle,	w5_d217e10912
verstärkt	w7_d217e10915
zu	w9_d217e10918
werden.	w11_d217e10921
Durch	w1_d217e10927
Altona	w3_d217e10930
seynd	w5_d217e10933
den	w7_d217e10936
21.	w9_d217e10939
Januarii	w11_d217e10942
zu	w13_d217e10946
Remontirung	w1_d217e10951
der	w3_d217e10954
Hannöverischen	w5_d217e10957
Cavalle	w7_d217e10960
rie	w1_d217e10965
viele	w3_d217e10968
aus	w5_d217e10971
dem	w7_d217e10974
Hollsteinischen	w9_d217e10977
gekommen	w11_d217e10980
ne	w1_d217e10985
Pferde	w3_d217e10988
durch	w5_d217e10991
dortige	w7_d217e10994
Gegend	w9_d217e10997
nach	w11_d217e11000
dem	w13_d217e11004
Lüneburgischen	w1_d217e11010
gegangen.	w3_d217e11013
Zum	w5_d217e11016
Dienst	w7_d217e11019
ge	w9_d217e11022
dachter	w1_d217e11027
Armee	w3_d217e11030
werden	w5_d217e11033
an	w7_d217e11036
verschiedenen	w9_d217e11039
Or	w11_d217e11042
ten	w1_d217e11047
des	w3_d217e11050
Holsteinischen	w5_d217e11053
viele	w7_d217e11056
Rüst=wägen,	w9_d217e11059
und	w11_d217e11062
unter	w1_d217e11067
andern	w3_d217e11070
in	w5_d217e11073
Altona	w7_d217e11076
allein	w9_d217e11079
40.	w11_d217e11082
Stuck	w13_d217e11086
ver	w15_d217e11089
fertiget,	w1_d217e11095
welche	w3_d217e11098
insgesammt	w5_d217e11101
vor	w7_d217e11104
Ablauf	w9_d217e11107
des	w11_d217e11110
künftigen	w1_d217e11115
Monats	w3_d217e11118
geliefert	w5_d217e11121
werden	w7_d217e11124
müssen	w9_d217e11127
Das	w1_d217e11132
in	w3_d217e11135
Harburg	w5_d217e11138
in	w7_d217e11141
Besatzung	w9_d217e11144
geweste	w11_d217e11147
Fü	w13_d217e11151
selier	w1_d217e11156
Regiment	w3_d217e11159
ist	w5_d217e11162
den	w7_d217e11165
19.	w9_d217e11168
von	w11_d217e11171
da	w13_d217e11175
ausmar	w15_d217e11178
schirt,	w1_d217e11184
und	w3_d217e11187
nachdem	w5_d217e11190
es	w7_d217e11193
nur	w9_d217e11196
ein	w11_d217e11199
schwaches	w13_d217e11203
Commando	w1_d217e11208
zurück	w3_d217e11211
gelassen,	w5_d217e11214
nach	w7_d217e11217
Buxtehude	w9_d217e11220
verleget	w1_d217e11225
worden,	w3_d217e11228
von	w5_d217e11231
wannen	w7_d217e11234
man	w9_d217e11237
vernihmt	w11_d217e11240
daß	w1_d217e11245
man	w3_d217e11248
schon	w5_d217e11251
seit	w7_d217e11254
einigen	w9_d217e11257
Tägen	w11_d217e11260
zum	w13_d217e11264
Alten	w15_d217e11267
kloster	w1_d217e11273
an	w3_d217e11276
einer	w5_d217e11279
Verschanzung	w7_d217e11282
gearbeitet	w9_d217e11285
ha	w11_d217e11288
be,	w1_d217e11293
um	w3_d217e11296
sich	w5_d217e11299
den	w7_d217e11302
engen	w9_d217e11305
Paß	w11_d217e11308
vor	w13_d217e11312
allem	w15_d217e11315
Uber	w17_d217e11318
fall	w1_d217e11323
daselbst	w3_d217e11326
zu	w5_d217e11329
versichern.	w7_d217e11332
Die	w9_d217e11335
Arbeit	w11_d217e11338
sol	w13_d217e11342
aber	w1_d217e11347
wegen	w3_d217e11350
der	w5_d217e11353
strengen	w7_d217e11356
Witterung	w9_d217e11359
keinen	w11_d217e11362
starken	w1_d217e11368
Fortgang	w3_d217e11371
haben,	w5_d217e11374
und	w7_d217e11377
nur	w9_d217e11380
aus	w11_d217e11383
einer	w13_d217e11387
Bank	w1_d217e11392
und	w3_d217e11395
Brust=wehr	w5_d217e11398
bestehen.	w7_d217e11401
</p>
<head id="h2_d217e11407">
Kurz=gefaßte	w1_d217e11411
Nachrichten.	w3_d217e11414
</head>
<head id="h2_d217e11420">
Es	w1_d217e11424
geben	w3_d217e11427
die	w5_d217e11430
Briefe	w7_d217e11433
</head>
<p id="p4_d217e11436">
Von	w1_d217e11440
Turin:	w3_d217e11443
daß	w5_d217e11446
die	w7_d217e11449
Herzogin	w9_d217e11452
von	w11_d217e11455
Sa	w13_d217e11459
voyen	w1_d217e11464
in	w3_d217e11467
der	w5_d217e11470
Nacht	w7_d217e11473
zwischen	w9_d217e11476
den	w11_d217e11479
16.	w13_d217e11483
und	w15_d217e11486
17.	w1_d217e11491
Jan.	w3_d217e11494
mit	w5_d217e11497
einer	w7_d217e11500
Prinzeßin	w9_d217e11503
glücklich	w11_d217e11506
entbun	w13_d217e11510
den	w1_d217e11516
worden	w3_d217e11519
seye.	w5_d217e11522
</p>
<p id="p6_d217e11525">
Aus	w1_d217e11529
Pommern:	w3_d217e11532
daß	w5_d217e11535
die	w7_d217e11538
Schwedische	w9_d217e11541
Besatzung	w1_d217e11546
zu	w3_d217e11549
Stralsund	w5_d217e11552
keinen	w7_d217e11555
Ausfall	w9_d217e11558
ge	w11_d217e11561
than,	w1_d217e11566
wordurch	w3_d217e11569
denen	w5_d217e11572
Preussen	w7_d217e11575
ein	w9_d217e11578
ziemle	w11_d217e11581
cher	w1_d217e11587
Schaden	w3_d217e11590
zugefügt	w5_d217e11593
worden.	w7_d217e11596
</p>
<p id="p8_d217e11599">
Von	w1_d217e11603
Grodne:	w3_d217e11606
daß	w5_d217e11609
nachdeme	w7_d217e11612
von	w9_d217e11615
denen	w11_d217e11618
Kaiserl.	w1_d217e11623
Rußischen	w3_d217e11626
Trupen	w5_d217e11629
Königsberg,	w7_d217e11632
und	w9_d217e11635
Pillau	w1_d217e11640
besetzt	w3_d217e11643
worden,	w5_d217e11646
selbe	w7_d217e11649
nunmehro	w9_d217e11652
in	w11_d217e11655
ih	w13_d217e11659
ren	w1_d217e11665
angefangenen	w3_d217e11668
Operationen	w5_d217e11671
weiter	w7_d217e11674
vor	w9_d217e11677
rucken;	w1_d217e11682
und	w3_d217e11685
daß	w5_d217e11688
diejenigen	w7_d217e11691
2.	w9_d217e11694
Battaillonen	w11_d217e11697
Preussen,	w1_d217e11702
so	w3_d217e11705
in	w5_d217e11708
Pillau	w7_d217e11711
gelegen,	w9_d217e11714
bey	w11_d217e11717
Anru	w13_d217e11721
ckung	w1_d217e11726
deren	w3_d217e11729
Russen	w5_d217e11732
von	w7_d217e11735
dannen	w9_d217e11738
sich	w11_d217e11741
nacher	w13_d217e11745
Marienwerder	w1_d217e11751
gezogen	w3_d217e11754
haben,	w5_d217e11757
die	w7_d217e11760
Preußische	w9_d217e11763
Land=militz	w1_d217e11768
aber	w3_d217e11771
auseinander	w5_d217e11774
und	w7_d217e11777
jeder	w9_d217e11780
von	w11_d217e11783
ihnen	w1_d217e11788
nach	w3_d217e11791
Haus	w5_d217e11794
gegangen	w7_d217e11797
seye.	w9_d217e11800
</p>
<p id="p10_d217e11803">
Von	w1_d217e11807
Danzig:	w3_d217e11810
daß	w5_d217e11813
den	w7_d217e11816
17den	w9_d217e11819
dieses	w11_d217e11822
die	w13_d217e11826
Gemahlin	w1_d217e11831
des	w3_d217e11834
Preußischen	w5_d217e11837
Generalfeldmar	w7_d217e11840
schalls	w1_d217e11845
von	w3_d217e11848
Lehwald	w5_d217e11851
allda	w7_d217e11854
eingetroffen,	w9_d217e11857
und	w11_d217e11860
den	w1_d217e11866
18den	w3_d217e11869
etliche	w5_d217e11872
20.	w7_d217e11875
Schlitten	w9_d217e11878
mit	w11_d217e11881
ange	w13_d217e11885
sehenen	w1_d217e11890
Preußischen	w3_d217e11893
Flüchtlingen	w5_d217e11896
in	w7_d217e11899
dieser	w9_d217e11902
Stadt	w1_d217e11907
angelangt	w3_d217e11910
seyen.	w5_d217e11913
</p>
<p id="p12_d217e11917">
Von	w1_d217e11921
Dietz:	w3_d217e11924
daß	w5_d217e11927
die	w7_d217e11930
Durchleuchtigste	w9_d217e11933
Prin	w11_d217e11936
zeßin	w1_d217e11941
Louise	w3_d217e11944
Leopoldine	w5_d217e11947
zu	w7_d217e11950
Nassau=Dietz	w9_d217e11953
auf	w11_d217e11956
dem	w1_d217e11961
Schloß	w3_d217e11964
Oraniehstein,	w5_d217e11967
zum	w7_d217e11970
grösten	w9_d217e11973
Leid	w11_d217e11976
wesen	w1_d217e11982
Dero	w3_d217e11985
beyden	w5_d217e11988
noch	w7_d217e11991
am	w9_d217e11994
Leben	w11_d217e11997
seyenden	w13_d217e12001
Prinzeßinnen	w1_d217e12006
Schwestern	w3_d217e12009
Durchl.	w5_d217e12012
Durchl.	w7_d217e12015
und	w1_d217e12020
des	w3_d217e12023
ganzen	w5_d217e12026
Fürstlichen	w7_d217e12029
Hauses,	w9_d217e12032
in	w11_d217e12035
ei	w13_d217e12039
nem	w1_d217e12044
Alter	w3_d217e12047
von	w5_d217e12050
63.	w7_d217e12053
Jahren	w9_d217e12056
das	w11_d217e12059
Zeitliche	w13_d217e12063
mit	w15_d217e12066
dem	w1_d217e12072
Ewigen	w3_d217e12075
verwechselt	w5_d217e12078
habe.	w7_d217e12081
</p>
<head id="h2_d217e12087">
Wien,	w1_d217e12091
den	w3_d217e12094
8.	w5_d217e12097
Februarii	w7_d217e12100
1758	w9_d217e12103
</head>
<p id="p4_d217e12106">
NAch	w1_d217e12110
dem	w3_d217e12113
ordinari	w5_d217e12116
GOttes=dienst	w7_d217e12119
seynd	w9_d217e12122
N	w1_d217e12127
beyde	w1_d217e12132
Kaiserl.	w3_d217e12135
Majestäten	w5_d217e12138
mit	w7_d217e12141
Staats	w9_d217e12144
und	w1_d217e12150
Landes=anligenheiten	w3_d217e12153
beschäftiget	w5_d217e12156
gewe	w7_d217e12159
sen,	w1_d217e12164
und	w3_d217e12167
ist	w5_d217e12170
der	w7_d217e12173
inn	w9_d217e12176
und	w11_d217e12179
ausländische	w13_d217e12183
hohe	w15_d217e12186
Adel	w1_d217e12191
bey	w3_d217e12194
Hof	w5_d217e12197
in	w7_d217e12200
Gala	w9_d217e12203
erschienen,	w11_d217e12206
um	w13_d217e12210
bey	w15_d217e12213
Jh	w17_d217e12216
rer	w1_d217e12221
Königl.	w3_d217e12224
Hoheit	w5_d217e12227
der	w7_d217e12230
fünften	w9_d217e12233
Durchl.	w11_d217e12236
Erz	w13_d217e12240
herzogin	w1_d217e12246
Johanna	w3_d217e12249
Gabriela,	w5_d217e12252
wegen	w7_d217e12255
Dero	w9_d217e12258
Geburts=tages,	w1_d217e12263
da	w3_d217e12266
Höchst=dieselbe	w5_d217e12269
das	w7_d217e12272
9te	w9_d217e12275
Jahr	w1_d217e12280
Dero	w3_d217e12283
Alters	w5_d217e12286
angetretten	w7_d217e12289
haben,	w9_d217e12292
die	w11_d217e12295
Glück=wünsche	w1_d217e12300
abzulegen.	w3_d217e12303
Gestern	w5_d217e12306
und	w7_d217e12309
Vor	w9_d217e12312
gestern	w1_d217e12318
haben	w3_d217e12321
beyde	w5_d217e12324
Kaiserl.	w7_d217e12327
Königl.	w9_d217e12330
Majestä	w11_d217e12333
ten	w1_d217e12338
mit	w3_d217e12341
Staats	w5_d217e12344
und	w7_d217e12347
Kriegs=sachen	w9_d217e12350
sich	w11_d217e12353
be	w13_d217e12357
schäftiget.	w1_d217e12362
</p>
<p id="p6_d217e12365">
Sonntags,	w1_d217e12369
und	w3_d217e12372
Montags	w5_d217e12375
fruh	w7_d217e12378
morgens	w9_d217e12381
sind	w1_d217e12386
bey	w3_d217e12389
2000.	w5_d217e12392
regulirte	w7_d217e12395
Croaten	w9_d217e12398
hier	w11_d217e12401
vorbey	w13_d217e12405
über	w1_d217e12410
die	w3_d217e12413
grosse	w5_d217e12416
Donau=brücken	w7_d217e12419
zu	w9_d217e12422
der	w11_d217e12425
Kaiserl.	w13_d217e12429
Königl.	w1_d217e12435
Armee	w3_d217e12438
in	w5_d217e12441
Böheim	w7_d217e12444
marschieret,	w9_d217e12447
und	w11_d217e12450
wie	w1_d217e12455
aus	w3_d217e12458
Hungarn	w5_d217e12461
berichtet	w7_d217e12464
wird,	w9_d217e12467
sind	w11_d217e12470
zerschie	w13_d217e12474
dene	w1_d217e12479
Völker	w3_d217e12482
im	w5_d217e12485
Marsche,	w7_d217e12488
welche	w9_d217e12491
meistens	w11_d217e12494
da	w13_d217e12498
hier	w1_d217e12503
vorbey	w3_d217e12506
paßiren	w5_d217e12509
werden;	w7_d217e12512
als	w9_d217e12515
zu	w11_d217e12518
welchem	w13_d217e12522
Ende	w1_d217e12528
jenseits	w3_d217e12531
der	w5_d217e12534
Donau	w7_d217e12537
in	w9_d217e12540
allen	w11_d217e12543
benachbar	w13_d217e12547
</p>
<list id="l10_d217e12552">
ten	w1_d217e12556
Ortschaften	w3_d217e12559
die	w5_d217e12562
Quartiere	w7_d217e12565
bereits	w9_d217e12568
angesa	w11_d217e12571
get	w1_d217e12576
worden	w3_d217e12579
seynd.	w5_d217e12582
</list>
<p id="p12_d217e12587">
Jhre	w1_d217e12591
Kaiserl.	w3_d217e12594
Majestät	w5_d217e12597
haben	w7_d217e12600
in	w9_d217e12603
allermil	w11_d217e12606
destem	w1_d217e12611
Anbetracht	w3_d217e12614
des	w5_d217e12617
ehemaligen	w7_d217e12620
Herzogl.	w9_d217e12623
Sachsen=gothaischen	w1_d217e12628
Herrn	w3_d217e12631
geheimen	w5_d217e12634
Rahts	w7_d217e12637
und	w1_d217e12643
Comitial=gesandtens	w3_d217e12646
von	w5_d217e12649
Montmartin	w7_d217e12652
für	w1_d217e12657
das	w3_d217e12660
Teutsche	w5_d217e12663
Vatter=land	w7_d217e12666
mehrmalen	w9_d217e12669
rühmlichst	w1_d217e12674
bewährten	w3_d217e12677
Eifers,	w5_d217e12680
und	w7_d217e12683
dadurch	w9_d217e12686
sich	w1_d217e12691
erworbenen	w3_d217e12694
glorreichen	w5_d217e12697
Verdienste	w7_d217e12700
aller	w9_d217e12703
huldreichist	w1_d217e12709
geruhet,	w3_d217e12712
demselben	w5_d217e12715
in	w7_d217e12718
dem	w9_d217e12721
Reichs	w11_d217e12724
grafen=stand	w1_d217e12729
zu	w3_d217e12732
erheben,	w5_d217e12735
und	w7_d217e12738
in	w9_d217e12741
allerhöchsten	w11_d217e12744
Kais.	w1_d217e12749
Gnaden	w3_d217e12752
ihme	w5_d217e12755
das	w7_d217e12758
diesfällige	w9_d217e12761
Stands	w11_d217e12764
Erhöhungs=diploma	w1_d217e12769
aus	w3_d217e12772
der	w5_d217e12775
Kaiserl.	w7_d217e12778
gehei	w9_d217e12781
men	w1_d217e12787
Reichs=canzley	w3_d217e12790
ausfertigen	w5_d217e12793
zu	w7_d217e12796
lassen.	w9_d217e12799
</p>
<p id="p14_d217e12802">
Diesen	w1_d217e12806
Samstag	w3_d217e12809
werden	w5_d217e12812
die	w7_d217e12815
geistliche	w9_d217e12818
Teut	w11_d217e12821
sche	w1_d217e12826
Exercitien,	w3_d217e12829
als	w5_d217e12832
den	w7_d217e12835
11.	w9_d217e12838
Februarii	w11_d217e12841
für	w13_d217e12845
die	w1_d217e12850
Frauen	w3_d217e12853
und	w5_d217e12856
Jungfrauen	w7_d217e12859
in	w9_d217e12862
der	w11_d217e12865
Kaiserl.	w13_d217e12869
Profess-haus	w1_d217e12875
Kirchen	w3_d217e12878
um	w5_d217e12881
7.	w7_d217e12884
Uhr	w9_d217e12887
fruhe	w11_d217e12890
ihren	w13_d217e12894
Anfang	w1_d217e12899
nehmen,	w3_d217e12902
für	w5_d217e12905
die	w7_d217e12908
Dienstboten	w9_d217e12911
weibl.	w11_d217e12914
Geschlechts	w1_d217e12919
werden	w3_d217e12922
sie	w5_d217e12925
den	w7_d217e12928
23.	w9_d217e12931
Februar.	w11_d217e12934
um	w13_d217e12938
ein	w15_d217e12941
viertel	w1_d217e12946
nach	w3_d217e12949
5.	w5_d217e12952
Uhr	w7_d217e12955
fruh	w9_d217e12958
angefangen	w11_d217e12961
werden.	w13_d217e12965
</p>
<p id="p16_d217e12968">
Vermög	w1_d217e12972
gestern	w3_d217e12975
eingeloffenen	w5_d217e12978
Briefen	w7_d217e12981
von	w9_d217e12984
Brünn,	w1_d217e12989
haben	w3_d217e12992
Se.	w5_d217e12995
Eminenz	w7_d217e12998
der	w9_d217e13001
H.	w11_d217e13004
Röm.	w13_d217e13008
Kirchen	w1_d217e13013
Cardinal,	w3_d217e13016
Herr	w5_d217e13019
Ferdinand	w7_d217e13022
Julius	w9_d217e13025
Graf	w1_d217e13031
Troyer,	w3_d217e13034
Baron	w5_d217e13037
von	w7_d217e13040
Trosenstein,	w9_d217e13043
Bi	w11_d217e13046
chof	w1_d217e13051
zu	w3_d217e13054
Ollmnütz,	w5_d217e13057
und	w7_d217e13060
Erz=diaconus	w9_d217e13063
zu	w11_d217e13066
Tro	w13_d217e13070
pau	w1_d217e13075
rc.	w3_d217e13078
den	w5_d217e13081
5.	w7_d217e13084
dieses	w9_d217e13087
Abends	w11_d217e13090
um	w13_d217e13094
8.	w15_d217e13097
Uhr	w17_d217e13100
al	w19_d217e13103
da	w1_d217e13108
das	w3_d217e13111
Zeitliche	w5_d217e13114
mit	w7_d217e13117
dem	w9_d217e13120
Ewigen	w11_d217e13123
verwechselt.	w13_d217e13127
</p>
<head id="h2_d217e13133">
Lista	w1_d217e13137
deren	w3_d217e13140
Verstorbenen	w5_d217e13143
zu	w7_d217e13146
Wien	w9_d217e13149
in	w1_d217e13154
und	w3_d217e13157
vor	w5_d217e13160
der	w7_d217e13163
Stadt.	w9_d217e13166
Den	w1_d217e13171
3.	w3_d217e13174
Februarii:	w5_d217e13177
Jn	w1_d217e13183
der	w3_d217e13186
Stadt.	w5_d217e13189
</head>
<list id="l4_d217e13192">
Hr.	w1_d217e13196
Ant.	w3_d217e13199
Ruschka,	w5_d217e13202
Festungs=bau=entrepren.	w7_d217e13205
zu	w9_d217e13208
Pe	w11_d217e13211
terwardeln,	w1_d217e13216
im	w3_d217e13219
Weltlschhoferis.	w5_d217e13222
H.	w7_d217e13225
beym	w9_d217e13228
Kärnt	w11_d217e13231
ner=thor,	w1_d217e13236
alt	w3_d217e13239
40.	w5_d217e13242
J.	w7_d217e13245
Ferd.	w1_d217e13251
Jorsch,	w3_d217e13254
Studlos.,	w5_d217e13257
im	w7_d217e13260
Setlausis.	w9_d217e13263
H.	w11_d217e13266
im	w13_d217e13270
kief.	w15_d217e13273
Grab.,	w1_d217e13278
alt	w3_d217e13281
18.	w5_d217e13284
J.	w7_d217e13287
Maria	w1_d217e13292
Jelineckin,	w3_d217e13295
Wittwe,	w5_d217e13298
beym	w7_d217e13301
gold.	w9_d217e13304
Schlüs.	w11_d217e13307
im	w13_d217e13311
tief.	w1_d217e13316
Grab.,	w3_d217e13319
alt	w5_d217e13322
62.	w7_d217e13325
J.	w9_d217e13328
Dem	w1_d217e13334
Simon	w3_d217e13337
Seywald,	w5_d217e13340
Harrachis.	w7_d217e13343
Feld=wüb.,	w9_d217e13346
s.	w11_d217e13349
K.	w13_d217e13353
Sigm.,	w1_d217e13358
alt	w3_d217e13361
2.	w5_d217e13364
J.	w7_d217e13367
Und	w9_d217e13370
Wenzel	w1_d217e13375
Huber,	w3_d217e13378
Regim.	w5_d217e13381
Tambour,	w7_d217e13384
alt	w9_d217e13387
40.	w11_d217e13390
J.,	w13_d217e13394
beyde	w15_d217e13397
in	w1_d217e13402
der	w3_d217e13405
Casarm.	w5_d217e13408
Dem	w1_d217e13414
Gottfr.	w3_d217e13417
Winkler,	w5_d217e13420
Burgerl.	w7_d217e13423
Lederern,	w9_d217e13426
s.	w11_d217e13429
S.	w13_d217e13433
Franz,	w1_d217e13438
beyn	w3_d217e13441
3.	w5_d217e13444
Saul.	w7_d217e13447
im	w9_d217e13450
tief.	w11_d217e13453
Grab.,	w13_d217e13457
alt	w15_d217e13460
16.	w17_d217e13463
J.	w19_d217e13466
Simon	w1_d217e13471
Erfurt,	w3_d217e13474
Burgerl.	w5_d217e13477
Schneid.,	w7_d217e13480
beym	w9_d217e13483
gordenen	w11_d217e13486
Kreutz	w1_d217e13491
am	w3_d217e13494
rot.	w5_d217e13497
Thurn,	w7_d217e13500
alt	w9_d217e13503
58.	w11_d217e13506
J.	w13_d217e13510
</list>
<head id="h2_d217e13521">
Vor	w1_d217e13525
der	w3_d217e13528
Stadt.	w5_d217e13531
</head>
<list id="l4_d217e13534">
Dem	w1_d217e13538
Ludv.	w3_d217e13541
Schulz,	w5_d217e13544
Burgerl.	w7_d217e13547
Schnür	w9_d217e13550
mach.,	w11_d217e13553
s.	w13_d217e13557
K.	w15_d217e13560
Joh.,	w1_d217e13565
in	w3_d217e13568
der	w5_d217e13571
Schmidten	w7_d217e13574
in	w9_d217e13577
der	w11_d217e13580
Josephst.,	w13_d217e13584
4.	w15_d217e13587
J.	w17_d217e13590
</list>
<list id="l6_d217e13594">
Dam	w1_d217e13598
Joh.	w3_d217e13601
Meschl,	w5_d217e13604
Burgerl.	w7_d217e13607
Kuchel=gart.,	w9_d217e13610
s.	w11_d217e13613
W.	w13_d217e13617
Eva,	w1_d217e13622
im	w3_d217e13625
Reichgruberis.	w5_d217e13628
H.	w7_d217e13631
zu	w9_d217e13634
Cumpend.,	w11_d217e13637
53.	w13_d217e13641
J.	w15_d217e13644
Dem	w1_d217e13649
Joh.	w3_d217e13652
Sepbald,	w5_d217e13655
Burgerl.	w7_d217e13658
Schuh=mach.,	w9_d217e13661
s.	w11_d217e13664
W.	w13_d217e13668
Anna,	w1_d217e13674
im	w3_d217e13677
Oettlis.	w5_d217e13680
H.	w7_d217e13683
auf	w9_d217e13686
der	w11_d217e13689
Landstr.,	w13_d217e13693
27.	w15_d217e13696
J.	w17_d217e13699
Elisab.	w1_d217e13704
Schneiderin,	w3_d217e13707
Wittwe,	w5_d217e13710
im	w7_d217e13713
Urbanis.	w9_d217e13716
H.	w11_d217e13719
zu	w13_d217e13723
Margar.,	w1_d217e13728
alt	w3_d217e13731
78.	w5_d217e13734
J.	w7_d217e13737
Dem	w1_d217e13742
Georg	w3_d217e13745
Schaller,	w5_d217e13748
Lack.,	w7_d217e13751
s.	w9_d217e13754
K.	w11_d217e13757
Mich.,	w13_d217e13761
bey	w15_d217e13764
dem	w17_d217e13767
gold.	w1_d217e13773
Engel	w3_d217e13776
im	w5_d217e13779
Liechtenth.,	w7_d217e13782
alt	w9_d217e13785
6.	w11_d217e13788
J.	w13_d217e13792
Dem	w1_d217e13797
Jos.	w3_d217e13800
Wirsching,	w5_d217e13803
K.	w7_d217e13806
K.	w9_d217e13809
Sensten=kn.,	w11_d217e13812
s.	w13_d217e13816
W.	w15_d217e13819
Barb.,	w1_d217e13824
beym	w3_d217e13827
grün.	w5_d217e13830
Was.	w7_d217e13833
am	w9_d217e13836
Neustift,	w11_d217e13839
alt	w13_d217e13843
41.	w15_d217e13846
J.	w17_d217e13849
Dem	w1_d217e13854
Franz	w3_d217e13857
Reschlayer,	w5_d217e13860
rack.,	w7_d217e13863
s.	w9_d217e13866
W.	w11_d217e13869
Epa,	w13_d217e13873
beyn	w15_d217e13876
6.	w17_d217e13879
Schim.	w1_d217e13885
bey	w3_d217e13888
St.	w5_d217e13891
Ulrich.	w7_d217e13894
alt	w9_d217e13897
34.	w11_d217e13900
J.	w13_d217e13904
Dem	w1_d217e13909
Jacob	w3_d217e13912
Pirringer,	w5_d217e13915
Kranken=wart.,	w7_d217e13918
s.	w9_d217e13921
W.	w11_d217e13924
Barb.	w13_d217e13928
im	w1_d217e13933
Bittbacheris.	w3_d217e13936
H.	w5_d217e13939
am	w7_d217e13942
Thury,	w9_d217e13945
alt	w11_d217e13948
45.	w13_d217e13952
J.	w15_d217e13955
Dem	w1_d217e13960
Math.	w3_d217e13963
Fellner,	w5_d217e13966
Kutsch.,	w7_d217e13969
s.	w9_d217e13972
K.	w11_d217e13975
Math.,	w13_d217e13979
beym	w15_d217e13982
grün.	w1_d217e13988
Baum	w3_d217e13991
zu	w5_d217e13994
Mätzleinstorf,	w7_d217e13997
alt	w9_d217e14000
9.	w11_d217e14003
J.	w13_d217e14007
Georg	w1_d217e14012
Aichenbach,	w3_d217e14015
