<doc id="edoc_wd_1783-12-24" attrs="word" year="1783" month="12" day="24" corpus="1">
<head id="hl1">
Jnnländische	w29
sey	w8258
<g/>
,
wie	w8260
die	w8261
Abgabe	w8262
dem	w8263
Verzeh=ren	w8264
<g/>
=
den	w8266
nach	w8267
und	w8268
nach	w8269
drückender	w8270
geworden	w8271
<g/>
!
und	w8273
wie	w8274
unter	w8275
dem	w8276
Preise	w8277
des	w8278
Verkaufs	w8279
der	w8280
eigene	w8281
Werth	w8282
der	w8283
Waare	w8284
verschwinde	w8285
<g/>
,
der	w8287
sich	w8288
zu	w8289
je=nem	w8290
<g/>
=
ungefähr	w8292
wie	w8293
1	w8294
zu	w8295
24	w8296
verhält	w8297
<g/>
,
folglich	w8299
eins	w8300
der	w8301
Vortheil	w8302
der	w8303
Arbeitsamkeit	w8304
<g/>
,
alles	w8306
übri=ge	w8307
<g/>
=
der	w8309
Vortheil	w8310
des	w8311
Monopoliums	w8312
sey	w8313
<g/>
,
welches	w8315
bey	w8316
einem	w8317
durch	w8318
die	w8319
Gewohnheit	w8320
zu	w8321
einer	w8322
Art	w8323
von	w8324
Nothwendigkeit	w8325
gewordenen	w8326
Verzehrungs=gegenstande	w8327
<g/>
=
vom	w8329
dem	w8330
Staate	w8331
selbst	w8332
gegen	w8333
Ent=richtung	w8334
<g/>
=
eines	w8336
Theils	w8337
seiner	w8338
Erpressung	w8339
sich	w8340
das	w8341
Recht	w8342
verkaufet	w8343
<g/>
,
der	w8345
gemeinsten	w8346
Volksklasse	w8347
die	w8348
unverhältnißmässigste	w8349
Accise	w8350
aufzulegen	w8351
<g/>
.
<g/>
—
Ferners	w8354
enthält	w8355
sie	w8356
einen	w8357
Vorschlag	w8358
<g/>
,
der	w8360
wegen	w8361
Aufhebung	w8362
der	w8363
Tabakpachtung	w8364
bereits	w8365
der	w8366
ver=storbenen	w8367
<g/>
=
Kaiserin	w8369
überreicht	w8370
worden	w8371
<g/>
.
Es	w8373
wird	w8374
nicht	w8375
leicht	w8376
jemand	w8377
den	w8378
Verfasser	w8379
dieser	w8380
wich=tigen	w8381
<g/>
=
Schrift	w8383
verkennen	w8384
<g/>
,
meine	w8386
Pflicht	w8387
ist	w8388
<g/>
,
statt	w8390
ihn	w8391
zu	w8392
nennen	w8393
<g/>
,
ihm	w8395
für	w8396
die	w8397
Mittheilung	w8398
<g/>
,
die	w8400
ich	w8401
als	w8402
einen	w8403
neuen	w8404
öffentlichen	w8405
Beweis	w8406
seiner	w8407
sie	w8408
mich	w8409
so	w8410
ehrenvollen	w8411
Freundschaft	w8412
ansehe	w8413
<g/>
,
hier	w8415
auch	w8416
öffentlich	w8417
zu	w8418
danken	w8419
<g/>
.
<g/>
—
Zum	w8422
Schlusse	w8423
</p>
<p id="p68">
folgen	w8424
1tens	w8425
die	w8426
Tabakübernahms	w8427
<g/>
=
Spezifikation	w8429
von	w8430
1728	w8431
<g/>
,
als	w8433
die	w8434
ersten	w8435
dieser	w8436
Art	w8437
<g/>
,
die	w8439
sich	w8440
in	w8441
den	w8442
Urkunden	w8443
befinden	w8444
<g/>
,
aus	w8446
denen	w8447
man	w8448
den	w8449
damaligen	w8450
Zustand	w8451
dieses	w8452
Finanzzweiges	w8453
ersehen	w8454
<g/>
,
und	w8456
zugleich	w8457
mit	w8458
dem	w8459
itzigen	w8460
Fortgange	w8461
und	w8462
der	w8463
heutigen	w8464
Kultur	w8465
vergleichen	w8466
kann	w8467
<g/>
:
2tens	w8469
das	w8470
Verzeichniß	w8471
der	w8472
im	w8473
Hofkammerarchiv	w8474
auf=bewahrten	w8475
<g/>
=
Tabaksakten	w8477
<g/>
;
für	w8479
das	w8480
mir	w8481
gewiß	w8482
derjenige	w8483
Dank	w8484
wissen	w8485
wird	w8486
<g/>
,
der	w8488
jemals	w8489
Pflicht	w8490
und	w8491
Amtswegen	w8492
nach	w8493
mir	w8494
aus	w8495
diesen	w8496
Urkunden	w8497
Nachrichten	w8498
zu	w8499
suchen	w8500
haben	w8501
sollte	w8502
<g/>
.
</p>
<p id="p69">
Joseph	w8504
v	w8505
<g/>
.
Retzer	w8507
<g/>
.
</p>
<head id="hl26">
Anmerkung	w8509
zu	w8510
der	w8511
Geschichte	w8512
der	w8513
Luftkugeln	w8514
<g/>
.
</head>
<p id="p70">
Unterschriebener	w8516
hat	w8517
zwar	w8518
in	w8519
dem	w8520
Herren	w8521
Zei=tungsblatte	w8522
<g/>
=
angekündet	w8524
<g/>
,
daß	w8526
das	w8527
erste	w8528
Heft	w8529
sei=ner	w8530
<g/>
=
Uibersetzung	w8532
der	w8533
Geschichte	w8534
der	w8535
Luftku=geln	w8536
<g/>
=
in	w8538
Frankreich	w8539
von	w8540
Hun	w8541
<g/>
.
Faujas	w8543
schon	w8544
bis	w8545
auf	w8546
den	w8547
<g/>
.
25	w8549
<g/>
.
d	w8551
<g/>
.
M	w8553
<g/>
.
in	w8555
der	w8556
v	w8557
<g/>
.
Kurtzbeckischen	w8559
Handlung	w8560
abzulangen	w8561
sey	w8562
<g/>
.
Weil	w8564
aber	w8565
jedes	w8566
der	w8567
versprochenen	w8568
Haften	w8569
6	w8570
bis	w8571
7	w8572
Medianstaubö=gen	w8573
<g/>
=
enthält	w8575
<g/>
,
so	w8577
hat	w8578
man	w8579
theils	w8580
diese	w8581
Woche	w8582
mit	w8583
dem	w8584
Drucke	w8585
nicht	w8586
folgen	w8587
können	w8588
<g/>
,
theils	w8590
wur=de	w8591
<g/>
=
man	w8593
die	w8594
nächstkommende	w8595
wegen	w8596
dreyen	w8597
ein=fallenden	w8598
<g/>
=
Feyertagen	w8600
um	w8601
desto	w8602
weniger	w8603
damit	w8604
nachkommen	w8605
<g/>
.
Da	w8607
nun	w8608
der	w8609
Uebersetzer	w8610
die	w8611
Lieb=haber	w8612
<g/>
=
mit	w8614
einer	w8615
von	w8616
allen	w8617
Seiten	w8618
wohlbestellten	w8619
Herausgabe	w8620
zu	w8621
bedienen	w8622
wünschet	w8623
<g/>
,
welches	w8625
bey	w8626
Uebereilung	w8627
der	w8628
Sache	w8629
nicht	w8630
geschehen	w8631
kann	w8632
<g/>
,
so	w8634
wird	w8635
das	w8636
erste	w8637
Heft	w8638
erst	w8639
am	w8640
30	w8641
<g/>
.
d	w8643
<g/>
.
M	w8645
<g/>
.
zu	w8647
haben	w8648
seyn	w8649
<g/>
.
Man	w8651
will	w8652
zugleich	w8653
den	w8654
Verstoß	w8655
be=merken	w8656
<g/>
=
<g/>
,
der	w8659
sich	w8660
bey	w8661
der	w8662
lezten	w8663
Ankündung	w8664
in	w8665
Bestimmung	w8666
des	w8667
Preises	w8668
ergeben	w8669
hat	w8670
<g/>
,
da	w8672
jedes	w8673
Heft	w8674
auf	w8675
gemeinen	w8676
Papier	w8677
nur	w8678
20	w8679
kr	w8680
<g/>
.
auf	w8682
Schreibpapier	w8683
aber	w8684
30	w8685
kr	w8686
<g/>
.
kostet	w8688
<g/>
.
</p>
<p id="p71">
Abbé	w8690
Hebelaker	w8691
<g/>
.
</p>
<p id="p72">
Wiener	w8693
<g/>
=
Handlungs	w8695
<g/>
=
Zeitung	w8697
<g/>
.
</p>
<p id="p73">
Diese	w8699
Zeitung	w8700
wird	w8701
wöchentlich	w8702
zweymal	w8703
<g/>
,
nämlich	w8705
Mittwochs	w8706
und	w8707
Samstags	w8708
Nachmit=tags	w8709
<g/>
=
<g/>
,
jedesmal	w8712
einen	w8713
Bogen	w8714
stark	w8715
<g/>
,
ausgegeben	w8717
<g/>
.
Sie	w8719
enthält	w8720
die	w8721
neuesten	w8722
Handlungsnachrichten	w8723
von	w8724
Europa	w8725
<g/>
,
so	w8727
wie	w8728
sie	w8729
posttäglich	w8730
einlaufen	w8731
<g/>
.
Die	w8733
jährliche	w8734
Pränumeration	w8735
in	w8736
der	w8737
Stadt	w8738
ist	w8739
sein	w8740
Kremnitzerdukaten	w8741
<g/>
.
Den	w8743
Auswärtigen	w8744
wird	w8745
sie	w8746
jährlich	w8747
für	w8748
6	w8749
fl	w8750
<g/>
.
postiren	w8752
in	w8753
alle	w8754
k	w8755
<g/>
.
k	w8757
<g/>
.
Erb=länder	w8759
<g/>
=
zugesendet	w8761
<g/>
,
und	w8763
sie	w8764
können	w8765
sich	w8766
diesfalls	w8767
an	w8768
das	w8769
löbl	w8770
<g/>
.
Pofiamt	w8772
<g/>
,
an	w8774
den	w8775
Ort	w8776
ihres	w8777
Auf=enthalts	w8778
<g/>
=
<g/>
,
oder	w8781
auch	w8782
gerade	w8783
anher	w8784
mit	w8785
post=freyer	w8786
<g/>
=
Zusendung	w8788
der	w8789
Pränumeration	w8790
addreßi=ren	w8791
<g/>
=
<g/>
;
die	w8794
schon	w8795
herausgekommene	w8796
Stücke	w8797
wer=den	w8798
<g/>
=
jeden	w8800
Abonenten	w8801
<g/>
,
von	w8803
Anfang	w8804
des	w8805
Jnsti=tuts	w8806
<g/>
=
an	w8808
<g/>
,
ohne	w8810
weitere	w8811
Nachzahlung	w8812
verabfolget	w8813
<g/>
—
einzeln	w8815
werden	w8816
aber	w8817
keine	w8818
Stücke	w8819
abgege=ben	w8820
<g/>
=
<g/>
.
<g/>
—
Alle	w8824
Anzeigen	w8825
und	w8826
Nachrichten	w8827
<g/>
,
so	w8829
man	w8830
diese	w8831
Handlungszeitung	w8832
einrücken	w8833
las=sen	w8834
<g/>
=
will	w8836
<g/>
,
müssen	w8838
Tags	w8839
vorher	w8840
auf	w8841
die	w8842
Expedi=tion	w8843
<g/>
=
<g/>
;
auf	w8846
den	w8847
Jesuiterplätzl	w8848
Nr	w8849
<g/>
.
im	w8851
243	w8852
<g/>
.
</p>
<p id="p74">
2ten	w8854
Stock	w8855
gebracht	w8856
werden	w8857
<g/>
,
wohin	w8859
sich	w8860
auch	w8861
alle	w8862
Einheimische	w8863
und	w8864
Ausländer	w8865
<g/>
,
die	w8867
Kommis=sionen	w8868
<g/>
=
<g/>
,
Bestellungen	w8871
<g/>
,
und	w8873
Anfragen	w8874
zu	w8875
machen	w8876
haben	w8877
<g/>
,
zu	w8879
verwenden	w8880
belieben	w8881
<g/>
.
Die	w8883
Auswär=tigen	w8884
<g/>
=
können	w8886
ihre	w8887
Korrespondenz	w8888
mit	w8889
der	w8890
Expe=dition	w8891
<g/>
=
in	w8893
selbst	w8894
beliebigen	w8895
bequemsten	w8896
Sprache	w8897
<g/>
,
deutsch	w8899
<g/>
,
lateinisch	w8901
<g/>
,
französisch	w8903
<g/>
,
italiänisch	w8905
und	w8906
englisch	w8907
führen	w8908
<g/>
,
und	w8910
man	w8911
wird	w8912
ihnen	w8913
in	w8914
eben	w8915
derselben	w8916
Sprache	w8917
antworten	w8918
<g/>
.
Briefe	w8920
und	w8921
alle	w8922
übrige	w8923
Zusendungen	w8924
müssen	w8925
franko	w8926
zugeschickt	w8927
werden	w8928
<g/>
.
</p>
<head id="hl27">
Politisches	w8930
Journal	w8931
<g/>
,
</head>
<p id="p75">
nebst	w8933
Anzeige	w8934
von	w8935
gelehrten	w8936
und	w8937
andern	w8938
Sachen	w8939
<g/>
,
dessen	w8941
Einrichtung	w8942
und	w8943
Beschaffenheit	w8944
bekannt	w8945
ist	w8946
<g/>
,
wird	w8948
auch	w8949
im	w8950
künftigen	w8951
Jahre	w8952
auf	w8953
gleiche	w8954
Weise	w8955
<g/>
,
und	w8957
mit	w8958
Unterhaltung	w8959
der	w8960
bis=herigen	w8961
<g/>
=
ausgebreiteten	w8963
Korrespondenz	w8964
so	w8965
fort=gesetzt	w8966
<g/>
=
werden	w8968
<g/>
,
daß	w8970
ausser	w8971
den	w8972
statistischen	w8973
und	w8974
andern	w8975
neuesten	w8976
Nachrichten	w8977
<g/>
,
die	w8979
vollkommen=ste	w8980
<g/>
=
Vollständigkeit	w8982
aller	w8983
politischen	w8984
Begeben=heiten	w8985
<g/>
=
und	w8987
Merkwürdigkeiten	w8988
dargestellet	w8989
wird	w8990
<g/>
,
wodurch	w8992
dieses	w8993
Jnstitut	w8994
auf	w8995
eine	w8996
von	w8997
al=len	w8998
<g/>
=
andern	w9000
verschiedene	w9001
<g/>
,
ihm	w9003
eigene	w9004
Weise	w9005
<g/>
,
nützlich	w9007
zu	w9008
seyn	w9009
bestimmt	w9010
ist	w9011
<g/>
.
<g/>
—
Dieses	w9014
poli=tische	w9015
<g/>
=
Journal	w9017
wird	w9018
allezeit	w9019
regelmäßig	w9020
am	w9021
letz=ten	w9022
<g/>
=
Tage	w9024
jedes	w9025
Monats	w9026
auf	w9027
dem	w9028
kais	w9029
<g/>
.
Reichs=oberpostamte	w9031
<g/>
=
zu	w9033
Hamburg	w9034
ausgegeben	w9035
<g/>
.
Das	w9037
Abonnement	w9038
geschieht	w9039
bey	w9040
den	w9041
Postämtern	w9042
je=den	w9043
<g/>
=
Orts	w9045
<g/>
,
welche	w9047
die	w9048
Bestellungen	w9049
bey	w9050
dem	w9051
K	w9052
<g/>
.
R	w9054
<g/>
.
O	w9056
<g/>
.
Postamte	w9058
zu	w9059
Hamburg	w9060
besorgen	w9061
<g/>
.
</p>
<head id="hl28">
Englische	w9063
Kunst	w9064
<g/>
=
Reiter	w9066
<g/>
.
</head>
<p id="p76">
Mit	w9068
höchster	w9069
Erlaubniß	w9070
werden	w9071
Herr	w9072
Hyam	w9073
<g/>
,
k	w9075
<g/>
.
k	w9077
<g/>
.
Bereiter	w9079
<g/>
,
auch	w9081
Herr	w9082
Peter	w9083
Price	w9084
<g/>
,
berühm=ter	w9086
<g/>
=
englischer	w9088
Bereüter	w9089
<g/>
,
und	w9091
Herr	w9092
Cha	w9093
<g/>
.
Masson	w9095
von	w9096
London	w9097
mit	w9098
ihren	w9099
Gesellschaften	w9100
künftigen	w9101
Freytag	w9102
den	w9103
26	w9104
<g/>
.
und	w9106
Sonntag	w9107
den	w9108
28	w9109
<g/>
.
dies	w9111
ihre	w9112
grossen	w9113
und	w9114
bewunderswürdigen	w9115
Reitkün=ste	w9116
<g/>
=
<g/>
,
und	w9119
andere	w9120
menschliche	w9121
Geschicklichkeit	w9122
zeigen	w9123
<g/>
,
welche	w9125
sie	w9126
verwichenen	w9127
Sonntag	w9128
in	w9129
der	w9130
k	w9131
<g/>
.
k	w9133
<g/>
.
Reitschule	w9135
vor	w9136
einer	w9137
hohen	w9138
Noblesse	w9139
und	w9140
einer	w9141
Menge	w9142
Zuseher	w9143
mit	w9144
algemeinen	w9145
Beyfall	w9146
vor=zustellen	w9147
<g/>
=
die	w9149
Ehre	w9150
hatten	w9151
<g/>
;
nebst	w9153
diesen	w9154
werden	w9155
auch	w9156
verschiedene	w9157
Veränderungen	w9158
und	w9159
neue	w9160
Vorstellungen	w9161
gegeben	w9162
werden	w9163
<g/>
.
</p>
<head id="hl29">
Herr	w9165
Jonas	w9166
</head>
<p id="p77">
wird	w9167
die	w9168
Ehre	w9169
haben	w9170
sich	w9171
täglich	w9172
<g/>
(
ausser	w9174
Frey=tag	w9175
<g/>
=
und	w9177
Samstag	w9178
<g/>
)
in	w9180
seiner	w9181
berühmten	w9182
Kunst	w9183
mit	w9184
vielen	w9185
ganz	w9186
neuen	w9187
sehenswürdigen	w9188
Stücken	w9189
nächst	w9190
der	w9191
Mehlgrube	w9192
im	w9193
rothen	w9194
Rössel	w9195
zu	w9196
produziren	w9197
<g/>
.
</p>
<head id="hl30">
Musik	w9199
</head>
<p id="p78">
im	w9200
sogenannt	w9201
Czerninisch	w9202
oder	w9203
grossen	w9204
Wime=rischen	w9205
<g/>
=
Saal	w9207
in	w9208
der	w9209
Leopoldstadt	w9210
Nr	w9211
<g/>
.
374	w9213
<g/>
.
</p>
<p id="p79">
Sonntag	w9215
den	w9216
4	w9217
<g/>
.
Jäner	w9219
werde	w9220
ich	w9221
die	w9222
Ehre	w9223
haben	w9224
<g/>
,
ein	w9226
hochgeehrtes	w9227
Publikum	w9228
mit	w9229
einer	w9230
gutbesetzten	w9231
Musik	w9232
das	w9233
erstemal	w9234
alda	w9235
zu	w9236
be bedienen	w9237
<g/>
=
</p>
<p id="p80">
dienen	w9239
<g/>
.
Bey	w9241
dem	w9242
Eintritt	w9243
zahlt	w9244
die	w9245
Manns=person	w9246
<g/>
=
20	w9248
kr	w9249
<g/>
.
welche	w9251
nach	w9252
Belieben	w9253
zu	w9254
verzeh=ren	w9255
<g/>
=
sind	w9257
<g/>
,
die	w9259
Frauenzimmer	w9260
sind	w9261
frey	w9262
<g/>
.
<g/>
—
Jch	w9265
schmeichle	w9266
mir	w9267
<g/>
,
da	w9269
sowohl	w9270
der	w9271
Saal	w9272
als	w9273
die	w9274
bequemen	w9275
Nebenzimmer	w9276
auf	w9277
das	w9278
prächtigste	w9279
be=leuchtet	w9280
<g/>
=
wird	w9282
<g/>
,
und	w9284
da	w9285
ich	w9286
ausnehmend	w9287
gesorgt	w9288
habe	w9289
<g/>
,
durch	w9291
gute	w9292
Ordnung	w9293
und	w9294
vorzüglich	w9295
durch	w9296
reinste	w9297
Bedienung	w9298
jederman	w9299
Vergnügen	w9300
und	w9301
sattsame	w9302
Zufriedenheit	w9303
zu	w9304
verschaffen	w9305
<g/>
,
einen	w9307
zahlreichen	w9308
Zuspruch	w9309
<g/>
.
</p>
<p id="p81">
Mathias	w9311
Betz	w9312
<g/>
,
burgl	w9314
<g/>
.
Wirth	w9316
<g/>
.
</p>
<head id="hl31">
Neuer	w9318
Tanzsaal	w9319
<g/>
.
</head>
<p id="p82">
Mit	w9321
hoher	w9322
Genehmhaltung	w9323
wird	w9324
den	w9325
28	w9326
<g/>
.
dies	w9328
ein	w9329
am	w9330
Freygut	w9331
Hundsthurn	w9332
an	w9333
der	w9334
Linien=hauptstrasse	w9335
<g/>
=
im	w9337
goldenen	w9338
Einhorn	w9339
Nr	w9340
<g/>
.
28	w9342
mit	w9343
aller	w9344
Bequemlichkeit	w9345
neuerbauter	w9346
Saal	w9347
zum	w9348
erstenmal	w9349
eröffnet	w9350
<g/>
,
wo	w9352
ein	w9353
hochzuehrendes	w9354
Pub=likum	w9355
<g/>
=
<g/>
,
nebst	w9358
wohlbesetzter	w9359
Musik	w9360
<g/>
,
mit	w9362
kalt=oder	w9363
<g/>
=
warmen	w9365
Speisen	w9366
<g/>
,
nach	w9368
Verlangen	w9369
<g/>
,
dann	w9371
guten	w9372
Oesterreicher	w9373
<g/>
=
Ofner	w9375
<g/>
=
und	w9377
andern	w9378
Auslän=dermeinen	w9379
<g/>
=
um	w9381
billigen	w9382
Preis	w9383
beßtens	w9384
bedienet	w9385
werden	w9386
wird	w9387
<g/>
.
<g/>
—
Nur	w9390
sind	w9391
Frauenzimmer	w9392
in	w9393
weissen	w9394
Schlepphauben	w9395
und	w9396
Korsetteln	w9397
<g/>
,
dann	w9399
Livreeleute	w9400
ausgenommen	w9401
<g/>
.
</p>
<head id="hl32">
Tyroler	w9403
<g/>
=
Bozner	w9405
<g/>
=
Brod	w9407
<g/>
.
</head>
<p id="p83">
Bey	w9409
Maria	w9410
Anna	w9411
Hoferin	w9412
in	w9413
der	w9414
schwarzen	w9415
Bürste	w9416
nächst	w9417
der	w9418
heil	w9419
<g/>
.
Dreyfaltigkeit	w9421
Nr	w9422
<g/>
.
470	w9424
im	w9425
ersten	w9426
Stock	w9427
links	w9428
über	w9429
den	w9430
Gang	w9431
ist	w9432
das	w9433
ächte	w9434
Tyroler	w9435
Botzner	w9436
<g/>
=
Brod	w9438
das	w9439
Pfund	w9440
für	w9441
30	w9442
kr	w9443
<g/>
.
zu	w9445
bekommen	w9446
<g/>
.
Liebhaber	w9448
können	w9449
von	w9450
sol=chen	w9451
<g/>
=
wie	w9453
es	w9454
ihnen	w9455
gefällig	w9456
ist	w9457
<g/>
,
zu	w9459
ein	w9460
halb=zwey	w9461
<g/>
=
<g/>
=
und	w9464
drey	w9465
Pfund	w9466
haben	w9467
<g/>
.
<g/>
—
Man	w9470
findet	w9471
noch	w9472
nöthig	w9473
zu	w9474
erinnern	w9475
<g/>
,
daß	w9477
dieses	w9478
kein	w9479
sol=ches	w9480
<g/>
=
Brod	w9482
sey	w9483
<g/>
,
die	w9485
an	w9486
herum	w9487
getragen	w9488
zu	w9489
wer=den	w9490
<g/>
=
pflegt	w9492
<g/>
,
welches	w9494
dem	w9495
ihrigen	w9496
bey	w9497
weitem	w9498
nicht	w9499
gleich	w9500
kömmt	w9501
<g/>
,
sondern	w9503
dieses	w9504
wird	w9505
nur	w9506
allein	w9507
in	w9508
ihrer	w9509
Wohnung	w9510
verkauft	w9511
<g/>
.
</p>
<head id="hl33">
Tyroler	w9513
<g/>
=
Botzner	w9515
<g/>
=
Brod	w9517
<g/>
.
</head>
<p id="p84">
Bey	w9519
Anna	w9520
Hauserin	w9521
in	w9522
der	w9523
Dorotheergasse	w9524
im	w9525
gräflich	w9526
Gatterburgischen	w9527
Hause	w9528
Nr	w9529
<g/>
.
1144	w9531
auf	w9532
der	w9533
Hauptstiege	w9534
im	w9535
4ten	w9536
Stock	w9537
ist	w9538
zu	w9539
ha=ben	w9540
<g/>
=
das	w9542
wahre	w9543
Botzner	w9544
<g/>
=
Brod	w9546
<g/>
,
von	w9548
einem	w9549
hal=ben	w9550
<g/>
=
Pfund	w9552
an	w9553
<g/>
,
nach	w9555
Belieben	w9556
<g/>
,
das	w9558
Pfund	w9559
für	w9560
30	w9561
kr	w9562
<g/>
.
Zu	w9564
grösserer	w9565
Bequemlichkeit	w9566
ist	w9567
solches	w9568
auch	w9569
täglich	w9570
in	w9571
der	w9572
Woche	w9573
im	w9574
Freysingerhofe	w9575
im	w9576
Gewölbe	w9577
Nr	w9578
<g/>
.
15	w9580
zu	w9581
bekommen	w9582
<g/>
.
</p>
<head id="hl34">
Wahrhafte	w9584
englische	w9585
Schuhwichs	w9586
<g/>
.
</head>
<p id="p85">
Diese	w9588
Schuhwichs	w9589
mit	w9590
Hinzthuung	w9591
des	w9592
Was=sers	w9593
<g/>
=
macht	w9595
die	w9596
beste	w9597
und	w9598
glänzenste	w9599
Schwärze	w9600
für	w9601
die	w9602
Stiefel	w9603
<g/>
,
Schuhe	w9605
<g/>
,
Leder	w9607
für	w9608
Pferde	w9609
<g/>
,
Wagenleder	w9611
<g/>
,
und	w9613
jedes	w9614
andere	w9615
zu	w9616
schwärzende	w9617
Leder	w9618
<g/>
,
welches	w9620
bis	w9621
itzt	w9622
bekannt	w9623
ist	w9624
<g/>
.
Sie	w9626
giebt	w9627
den	w9628
feinsten	w9629
Firniß	w9630
<g/>
,
ohne	w9632
das	w9633
Leder	w9634
hart	w9635
und	w9636
Oeffnungen	w9637
zu	w9638
machen	w9639
<g/>
,
wie	w9641
es	w9642
andere	w9643
Wichs	w9644
zu	w9645
thun	w9646
pflegt	w9647
<g/>
;
sie	w9649
macht	w9650
selbes	w9651
weich	w9652
und	w9653
bieg=sam	w9654
<g/>
=
bis	w9656
zu	w9657
Ende	w9658
<g/>
,
und	w9660
folglich	w9661
unendlich	w9662
dau dauerhafter	w9663
<g/>
=
</p>
<p id="p86">
erhafter	w9665
<g/>
.
Sie	w9667
hat	w9668
auch	w9669
die	w9670
so	w9671
oft	w9672
verlangte	w9673
seltene	w9674
Eigenschaft	w9675
<g/>
,
daß	w9677
das	w9678
damit	w9679
gefärbte	w9680
Le=der	w9681
<g/>
=
die	w9683
Schwärze	w9684
nicht	w9685
abläßt	w9686
<g/>
,
so	w9688
zwar	w9689
<g/>
,
daß	w9691
weder	w9692
die	w9693
feinste	w9694
Leinwand	w9695
<g/>
,
wenn	w9697
man	w9698
sie	w9699
an	w9700
dem	w9701
geschwärzten	w9702
Leder	w9703
reibet	w9704
<g/>
,
verunreinigt	w9706
wird	w9707
<g/>
.
Wird	w9709
im	w9710
v	w9711
<g/>
.
Trattnerischen	w9713
Freyhofe	w9714
in	w9715
der	w9716
Bou	w9717
tique	w9718
Nr	w9719
<g/>
.
16	w9721
<g/>
.
in	w9723
Töpfen	w9724
zu	w9725
8	w9726
<g/>
,
12	w9728
und	w9729
20	w9730
kr	w9731
<g/>
.
verkauft	w9733
<g/>
.
<g/>
—
Ferner	w9736
ist	w9737
auch	w9738
daselbst	w9739
zu	w9740
ha=ben	w9741
<g/>
=
<g/>
:
1	w9744
<g/>
)
Ein	w9746
Pulfer	w9747
<g/>
,
das	w9749
mit	w9750
wenig	w9751
warmen	w9752
Wasser	w9753
angemacht	w9754
<g/>
,
in	w9756
einem	w9757
Augenblick	w9758
die	w9759
schönste	w9760
Dinte	w9761
hervorbringt	w9762
<g/>
,
so	w9764
immer	w9765
schwär=zer	w9766
<g/>
=
wird	w9768
<g/>
,
und	w9770
nie	w9771
verlöschet	w9772
<g/>
,
die	w9774
Flasche	w9775
zu	w9776
12	w9777
kr	w9778
<g/>
.
<g/>
—
2	w9781
<g/>
)
Ein	w9783
sehr	w9784
feines	w9785
l'Eau	w9786
de	w9787
Levande	w9788
die	w9789
Flaschen	w9790
zwischen	w9791
10	w9792
und	w9793
25	w9794
kr	w9795
<g/>
.
<g/>
—
3	w9798
<g/>
)
Eng=lisches	w9800
<g/>
=
Siegelwachs	w9802
<g/>
,
viel	w9804
fester	w9805
als	w9806
die	w9807
andern	w9808
<g/>
,
das	w9810
Pfund	w9811
2	w9812
fl	w9813
<g/>
.
<g/>
,
oder	w9816
das	w9817
Stangel	w9818
12	w9819
kr	w9820
<g/>
.
<g/>
—
4	w9823
<g/>
)
Seifen	w9825
zum	w9826
Bart	w9827
<g/>
,
die	w9829
Schachtel	w9830
17	w9831
kr	w9832
<g/>
.
<g/>
—
5	w9835
<g/>
)
Pulfer	w9837
um	w9838
die	w9839
Schnallen	w9840
zu	w9841
putzen	w9842
<g/>
,
und	w9844
sie	w9845
so	w9846
schön	w9847
wie	w9848
neu	w9849
zu	w9850
machen	w9851
<g/>
,
die	w9853
Schachtel	w9854
10	w9855
kr	w9856
<g/>
.
<g/>
—
6	w9859
<g/>
)
Eine	w9861
sehr	w9862
wohlriechende	w9863
Pomade	w9864
<g/>
.
</p>
<head id="hl35">
Capital	w9866
wird	w9867
gesucht	w9868
<g/>
.
</head>
<p id="p87">
Auf	w9870
ein	w9871
in	w9872
der	w9873
Hauptstrasse	w9874
einer	w9875
der	w9876
gang=baresten	w9877
<g/>
=
Vorstädte	w9879
allhier	w9880
liegendes	w9881
Haus	w9882
wird	w9883
auf	w9884
den	w9885
ersten	w9886
Satz	w9887
ein	w9888
Kapital	w9889
von	w9890
3000	w9891
fl	w9892
<g/>
.
gesucht	w9894
<g/>
,
das	w9896
eigentliche	w9897
hierüber	w9898
ist	w9899
im	w9900
deut=schen	w9901
<g/>
=
Zeitungskomtoir	w9903
zu	w9904
erfragen	w9905
<g/>
.
</p>
<head id="hl36">
Haus	w9907
zu	w9908
verkaufen	w9909
</head>
<p id="p88">
Jn	w9910
der	w9911
Leopoldstadt	w9912
ist	w9913
ein	w9914
gut	w9915
gebautes	w9916
Haus	w9917
samt	w9918
Garten	w9919
zu	w9920
verkaufen	w9921
<g/>
.
Nähere	w9923
Auskunft	w9924
erhält	w9925
man	w9926
im	w9927
deutschen	w9928
Zeitungskomtoir	w9929
<g/>
.
</p>
<head id="hl37">
Wohnung	w9931
zu	w9932
verlassen	w9933
<g/>
.
</head>
<p id="p89">
Jn	w9935
der	w9936
vordern	w9937
Schenkenstrasse	w9938
im	w9939
schwarzen	w9940
Thor	w9941
Nr	w9942
<g/>
.
28	w9944
ist	w9945
der	w9946
ganze	w9947
erste	w9948
Stock	w9949
beste=hend	w9950
<g/>
=
in	w9952
10	w9953
Zimmer	w9954
<g/>
,
einen	w9956
grossen	w9957
Holzgewölb	w9958
<g/>
,
Keller	w9960
und	w9961
Boden	w9962
<g/>
,
dann	w9964
Stallung	w9965
für	w9966
6	w9967
Pfer=de	w9968
