<doc id="wr_1756-08-07" attrs="word" year="1756" month="08" day="07" corpus="2">
<head id="h2_d63e2595">
Williamsburg	w1_d63e2599
der	w3_d63e9927
Stadt.	w5_d63e9930
</head>
<head id="h2_d63e9936">
Summa	w1_d63e9940
7.	w3_d63e9943
Person.,	w5_d63e9946
darunter	w7_d63e9949
1.	w9_d63e9952
Kind.	w11_d63e9955
</head>
<list id="l4_d63e9958">
Der	w1_d63e9962
Wol=ehrw.	w3_d63e9965
Hr.	w5_d63e9968
Joh.	w7_d63e9971
Ant.	w9_d63e9974
Marhart,	w11_d63e9977
weltl.	w13_d63e9981
Priester,	w1_d63e9986
im	w3_d63e9989
Brenneris.	w5_d63e9992
H.	w7_d63e9995
in	w9_d63e9998
der	w11_d63e10001
Leopoldst,	w13_d63e10005
alt	w15_d63e10008
41.	w1_d63e10013
J.	w3_d63e10016
Dem	w1_d63e10022
Math.	w3_d63e10025
Kleckner,	w5_d63e10028
Burgerl.	w7_d63e10031
Schneid.,	w9_d63e10034
s.	w11_d63e10037
W.	w13_d63e10041
Maria	w1_d63e10046
Anna,	w3_d63e10049
beym	w5_d63e10052
gold.	w7_d63e10055
Löw.	w9_d63e10058
im	w11_d63e10061
Liechtenth.,	w13_d63e10065
alt	w1_d63e10070
64.	w3_d63e10073
J.	w5_d63e10076
Dem	w1_d63e10081
Joh.	w3_d63e10084
Reiller,	w5_d63e10087
gew.	w7_d63e10090
Lack,	w9_d63e10093
s.	w11_d63e10096
W.	w13_d63e10100
Clara,	w15_d63e10103
beym	w17_d63e10106
grün.	w1_d63e10112
Stiefel	w3_d63e10115
in	w5_d63e10118
der	w7_d63e10121
Josephst.,	w9_d63e10124
alt	w11_d63e10127
71.	w13_d63e10131
J.	w15_d63e10134
Theres.	w1_d63e10139
Ratischin,	w3_d63e10142
Wittwe,	w5_d63e10145
beym	w7_d63e10148
grün.	w9_d63e10151
Baum	w11_d63e10154
am	w13_d63e10158
Hungelbrunn,	w1_d63e10163
alt	w3_d63e10166
52.	w5_d63e10169
J.	w7_d63e10172
Andre	w1_d63e10177
Kellner,	w3_d63e10180
alt	w5_d63e10183
59.	w7_d63e10186
J.,	w9_d63e10189
und	w11_d63e10192
Ant.	w13_d63e10196
Viechter,	w15_d63e10199
alt	w17_d63e10202
68.	w1_d63e10208
J.,	w3_d63e10211
beyde	w5_d63e10214
bey	w7_d63e10217
denen	w9_d63e10220
FF.	w11_d63e10223
Mis.	w13_d63e10227
</list>
<head id="h4_d63e10236">
Den	w1_d63e10240
5.	w3_d63e10243
Augusti.	w5_d63e10246
Jn	w1_d63e10251
der	w3_d63e10254
Stadt.	w5_d63e10257
</head>
<list id="l6_d63e10260">
Die	w1_d63e10264
Wol=edel=gestr.	w3_d63e10267
Fr.	w5_d63e10270
Maria	w7_d63e10273
Elisab.	w9_d63e10276
Heinin,	w11_d63e10279
Wittwe,	w1_d63e10284
bey	w3_d63e10287
der	w5_d63e10290
weis.	w7_d63e10293
Taub.	w9_d63e10296
am	w11_d63e10299
alt.	w13_d63e10303
Bauren	w15_d63e10306
markt,	w1_d63e10311
alt	w3_d63e10314
80.	w5_d63e10317
J.	w7_d63e10320
Dem	w1_d63e10326
Andre	w3_d63e10329
Ggf.	w5_d63e10332
Burgerl.	w7_d63e10335
Schneid.,	w9_d63e10338
s.	w11_d63e10341
K.	w13_d63e10345
Regina,	w15_d63e10348
im	w1_d63e10353
Dattenriederis.	w3_d63e10356
H.	w5_d63e10359
am	w7_d63e10362
hohen	w9_d63e10365
Markt,	w11_d63e10368
alt	w13_d63e10372
1.	w15_d63e10375
J.	w17_d63e10378
Ant.	w1_d63e10383
Ramp,	w3_d63e10386
Burgerl.	w5_d63e10389
Schneid.,	w7_d63e10392
bey	w9_d63e10395
der	w11_d63e10398
bl.	w13_d63e10402
Gans	w15_d63e10405
im	w1_d63e10410
Schulter=gäs.,	w3_d63e10413
alt	w5_d63e10416
55.	w7_d63e10419
J.	w9_d63e10422
</list>
<head id="h2_d63e10429">
Vor	w1_d63e10433
der	w3_d63e10436
Stadt.	w5_d63e10439
</head>
<list id="l4_d63e10442">
Dem	w1_d63e10446
Hrn.	w3_d63e10449
Leop.	w5_d63e10452
Bartali,	w7_d63e10455
s.	w9_d63e10458
Ehew.	w11_d63e10461
Anna	w13_d63e10465
Maria,	w15_d63e10468
bey	w1_d63e10473
der	w3_d63e10476
gold.	w5_d63e10479
Arch.	w7_d63e10482
in	w9_d63e10485
der	w11_d63e10488
Leopoldst.,	w13_d63e10492
alt	w15_d63e10495
35.	w17_d63e10498
J.	w19_d63e10501
Dem	w1_d63e10506
Ant.	w3_d63e10509
Jameneck,	w5_d63e10512
Lust=gart.,	w7_d63e10515
s.	w9_d63e10518
K.	w11_d63e10521
Magdal.,	w13_d63e10525
beym	w1_d63e10531
schwarz.	w3_d63e10534
Rädel	w5_d63e10537
im	w7_d63e10540
Liechtenth.,	w9_d63e10543
alt	w11_d63e10546
1.	w13_d63e10550
J.	w15_d63e10553
Dem	w1_d63e10558
Joh.	w3_d63e10561
Degert,	w5_d63e10564
Brod=sitz.,	w7_d63e10567
s.	w9_d63e10570
W.	w11_d63e10573
Cathar.,	w13_d63e10577
im	w15_d63e10580
Zins=H.	w1_d63e10585
in	w3_d63e10588
der	w5_d63e10591
Josephst.,	w7_d63e10594
alt	w9_d63e10597
47.	w11_d63e10600
J.	w13_d63e10604
Dem	w1_d63e10609
Sebast.	w3_d63e10612
Krauß,	w5_d63e10615
Tagw.,	w7_d63e10618
s.	w9_d63e10621
K.	w11_d63e10624
Franz,	w13_d63e10628
im	w15_d63e10631
Ka	w17_d63e10634
pleris.	w1_d63e10640
H.	w3_d63e10643
am	w5_d63e10646
Magdal.=gr.,	w7_d63e10649
alt	w9_d63e10652
6.	w11_d63e10655
J.	w13_d63e10659
Joh.	w1_d63e10664
Hofbauer,	w3_d63e10667
alt	w5_d63e10670
37.	w7_d63e10673
J.,	w9_d63e10676
und	w11_d63e10679
Jacob	w13_d63e10683
Scherrer,	w15_d63e10686
alt	w1_d63e10691
26.	w3_d63e10694
J.,	w5_d63e10697
beyde	w7_d63e10700
bey	w9_d63e10703
denen	w11_d63e10706
FF.	w13_d63e10710
Mis.	w15_d63e10713
</list>
<head id="h2_d63e10721">
Summa	w1_d63e10725
9.	w3_d63e10728
Person.	w5_d63e10731
darunter	w7_d63e10734
3.	w9_d63e10737
Kinder.	w11_d63e10740
Den	w1_d63e10745
6.	w3_d63e10748
Augusti.	w5_d63e10751
Jn	w1_d63e10756
der	w3_d63e10759
Stadt.	w5_d63e10762
</head>
<list id="l4_d63e10765">
Fr.	w1_d63e10769
Helena	w3_d63e10772
Maria	w5_d63e10775
Anna	w7_d63e10778
Lexin,	w9_d63e10781
Burgerl.	w11_d63e10784
Wittwe,	w13_d63e10788
im	w1_d63e10793
Schwelckhartis.	w3_d63e10796
H.	w5_d63e10799
in	w7_d63e10802
der	w9_d63e10805
Singerstr.,	w11_d63e10808
79.	w13_d63e10812
J.	w15_d63e10815
Dem	w1_d63e10820
August.	w3_d63e10823
Nims,	w5_d63e10826
Solicit.,	w7_d63e10829
s.	w9_d63e10832
K.	w11_d63e10835
Franz,	w13_d63e10839
im	w15_d63e10842
Tisch	w17_d63e10845
leris.	w1_d63e10851
H.	w3_d63e10854
am	w5_d63e10857
rot.	w7_d63e10860
Thurn,	w9_d63e10863
alt	w11_d63e10866
6.	w13_d63e10870
v.	w15_d63e10873
J.	w17_d63e10876
</list>
<head id="h2_d63e10883">
Vor	w1_d63e10887
der	w3_d63e10890
Stadt.	w5_d63e10893
</head>
<list id="l4_d63e10896">
Dem	w1_d63e10900
David	w3_d63e10903
Ziegler,	w5_d63e10906
Burgerl.	w7_d63e10909
Gold=schm.,	w9_d63e10912
s.	w11_d63e10915
K.	w13_d63e10919
Carl,	w1_d63e10924
beym	w3_d63e10927
schwarz.	w5_d63e10930
Adl.	w7_d63e10933
in	w9_d63e10936
der	w11_d63e10939
Josephst.,	w13_d63e10943
7.	w15_d63e10946
v.	w17_d63e10949
J.	w19_d63e10952
Dem	w1_d63e10957
Joh.	w3_d63e10960
Fridl,	w5_d63e10963
Burgerl.	w7_d63e10966
Schuh=mach.,	w9_d63e10969
s.	w11_d63e10972
K.	w13_d63e10976
Tho	w15_d63e10979
mas,	w1_d63e10985
bey	w3_d63e10988
denen	w5_d63e10991
2.	w7_d63e10994
Löw.	w9_d63e10997
in	w11_d63e11000
der	w13_d63e11004
Rossau,	w15_d63e11007
alt	w17_d63e11010
6.	w19_d63e11013
J.	w21_d63e11016
Dem	w1_d63e11021
Jos.	w3_d63e11024
Dain,	w5_d63e11027
Futriern.,	w7_d63e11030
s.	w9_d63e11033
Ehew.	w11_d63e11036
Elisab.,	w13_d63e11040
im	w15_d63e11043
Spallier=macherls.	w1_d63e11048
H.	w3_d63e11051
am	w5_d63e11054
Spitalberg,	w7_d63e11057
alt	w9_d63e11060
42.	w11_d63e11063
J.	w13_d63e11067
Dem	w1_d63e11072
Joh.	w3_d63e11075
Keberl,	w5_d63e11078
Zimmer=putz.,	w7_d63e11081
s.	w9_d63e11084
K.	w11_d63e11087
Elisab.,	w13_d63e11091
bey	w15_d63e11094
der	w1_d63e11100
weis.	w3_d63e11103
Ros.	w5_d63e11106
in	w7_d63e11109
der	w9_d63e11112
Josephst.,	w11_d63e11115
alt	w13_d63e11119
3.	w15_d63e11122
J.	w17_d63e11125
Dem	w1_d63e11130
Math.	w3_d63e11133
Mandl,	w5_d63e11136
Faß=zieh.,	w7_d63e11139
s.	w9_d63e11142
K.	w11_d63e11145
Franz,	w13_d63e11149
beym	w15_d63e11152
schwarz.	w1_d63e11157
Stern	w3_d63e11160
am	w5_d63e11163
Spitalberg,	w7_d63e11166
alt	w9_d63e11169
6.	w11_d63e11172
v.	w13_d63e11176
J.	w15_d63e11179
Summa	w1_d63e11184
7.	w3_d63e11187
Person.,	w5_d63e11190
darunter	w7_d63e11193
5.	w9_d63e11196
Kinder.	w11_d63e11199
</list>
<p id="p6_d63e11203">
Es	w1_d63e11207
dienet	w3_d63e11210
hiemit	w5_d63e11213
dem	w7_d63e11216
Publico	w9_d63e11219
zur	w11_d63e11222
Nach	w13_d63e11226
richt,	w1_d63e11231
daß	w3_d63e11234
sowol	w5_d63e11237
in	w7_d63e11240
dem	w9_d63e11243
Verlag	w11_d63e11246
des	w13_d63e11250
Wien	w15_d63e11253
nerischen	w1_d63e11258
Zeitungs=diarii	w3_d63e11261
in	w5_d63e11264
dem	w7_d63e11267
neuen	w9_d63e11270
Mi	w11_d63e11273
chaeler	w1_d63e11279
Haus	w3_d63e11282
nächst	w5_d63e11285
der	w7_d63e11288
Kaiserlichen	w9_d63e11291
Burg,	w11_d63e11294
als	w1_d63e11299
auch	w3_d63e11302
in	w5_d63e11305
St.	w7_d63e11308
Pölten	w9_d63e11311
bey	w11_d63e11314
dem	w13_d63e11318
Buchbin	w15_d63e11321
der	w1_d63e11326
Hrn.	w3_d63e11329
Fuhrmann,	w5_d63e11332
in	w7_d63e11335
Stain	w9_d63e11338
bey	w11_d63e11341
Herrn	w13_d63e11345
Johann	w1_d63e11350
Carl	w3_d63e11353
Kässer,	w5_d63e11356
und	w7_d63e11359
in	w9_d63e11362
Linz	w11_d63e11365
bey	w13_d63e11369
dem	w15_d63e11372
Buchdrucker	w1_d63e11378
Herrn	w3_d63e11381
Auinger	w5_d63e11384
das	w7_d63e11387
Tractatel	w9_d63e11390
über	w1_d63e11395
das	w3_d63e11398
auf	w5_d63e11401
der	w7_d63e11404
Gräflichgrundemanisch	w9_d63e11407
in	w1_d63e11412
Ober=österreich	w3_d63e11415
liegenden	w5_d63e11418
Herrschafft	w7_d63e11421
Waldenfels	w1_d63e11426
entspringende	w3_d63e11429
Gesund	w5_d63e11432
oder	w7_d63e11435
so	w9_d63e11438
genannte	w1_d63e11444
Riendl=wasser	w3_d63e11447
ohne	w5_d63e11450
Bezahlung	w7_d63e11453
zu	w9_d63e11456
erlangen	w1_d63e11461
seye,	w3_d63e11464
woraus	w5_d63e11467
zugleich	w7_d63e11470
erhellen	w9_d63e11473
wird	w11_d63e11476
</p>
<head id="h2_d63e11482">
AVERTISSEMENT	w1_d63e11486
</head>
<p id="p4_d63e11489">
bey	w1_d63e11493
weme	w3_d63e11496
dieses	w5_d63e11499
in	w7_d63e11502
verschiedenen	w9_d63e11505
hart	w11_d63e11508
näckigen	w1_d63e11513
Zuständen,	w3_d63e11516
und	w5_d63e11519
zwar	w7_d63e11522
unter	w9_d63e11525
andern	w11_d63e11528
in	w1_d63e11533
der	w3_d63e11536
fliesend	w5_d63e11539
und	w7_d63e11542
blinden	w9_d63e11545
goldenen	w11_d63e11548
Ader,	w13_d63e11552
in	w15_d63e11555
dem	w1_d63e11561
Blutgang	w3_d63e11564
und	w5_d63e11567
in	w7_d63e11570
Verhaltung	w9_d63e11573
des	w11_d63e11576
Ge	w13_d63e11580
blüts	w1_d63e11585
in	w3_d63e11588
der	w5_d63e11591
Ruhr,	w7_d63e11594
und	w9_d63e11597
in	w11_d63e11600
Hypocondrischen	w13_d63e11604
Berstopfungen	w1_d63e11609
sehr	w3_d63e11612
Verwunderungs=würdige	w5_d63e11615
Proben	w1_d63e11620
abgeleget,	w3_d63e11623
auch	w5_d63e11626
bey	w7_d63e11629
weme	w9_d63e11632
solches	w11_d63e11635
Baad	w1_d63e11641
und	w3_d63e11644
trinkbare	w5_d63e11647
Gesund=wasser	w7_d63e11650
in	w9_d63e11653
Wien,	w11_d63e11656
St.	w1_d63e11661
Pölten,	w3_d63e11664
Stain,	w5_d63e11667
und	w7_d63e11670
Linz	w9_d63e11673
alltäglich	w11_d63e11676
in	w13_d63e11680
einer	w1_d63e11685
Maas=flaschen	w3_d63e11688
um	w5_d63e11691
billigen	w7_d63e11694
Preis	w9_d63e11697
zu	w11_d63e11700
er	w13_d63e11704
langen	w1_d63e11709
seye.	w3_d63e11712
</p>
<head id="h2_d63e11718">
EDICT.	w1_d63e11722
</head>
<p id="p4_d63e11725">
Von	w1_d63e11729
der	w3_d63e11732
durch	w5_d63e11735
die	w7_d63e11738
Hochlöbl.	w9_d63e11741
N.	w11_d63e11744
Oe.	w13_d63e11748
drey	w15_d63e11751
Ober=herren	w1_d63e11756
Land=stände	w3_d63e11759
aufgestellten	w5_d63e11762
Ver	w7_d63e11765
waltung	w1_d63e11770
deren	w3_d63e11773
übernommenen	w5_d63e11776
Vicedomi	w7_d63e11779
schen	w1_d63e11785
Gülten	w3_d63e11788
und	w5_d63e11791
Unterthanen	w7_d63e11794
wegen:	w9_d63e11797
wir	w11_d63e11800
det	w1_d63e11805
hiemit	w3_d63e11808
jedermänniglich	w5_d63e11811
kund	w7_d63e11814
und	w9_d63e11817
zu	w11_d63e11820
wis	w13_d63e11824
sen	w1_d63e11829
gemacht,	w3_d63e11832
welchergestalten	w5_d63e11835
der	w7_d63e11838
Thomas	w9_d63e11841
Arnold	w1_d63e11846
Herrschafts=bedienter	w3_d63e11849
proprio	w5_d63e11852
&	w7_d63e11855
uxorio	w1_d63e11861
Nomine	w3_d63e11864
bey	w5_d63e11867
dem	w7_d63e11870
aufgestellten	w9_d63e11873
Ju-	w11_d63e11876
dicio	w1_d63e11881
Delegato	w3_d63e11884
deren	w5_d63e11887
übernommenen	w7_d63e11890
Vice	w9_d63e11893
domischen	w1_d63e11898
Gülten	w3_d63e11901
und	w5_d63e11904
Unterthanen	w7_d63e11907
unterm	w9_d63e11910
27.	w1_d63e11915
Martii	w3_d63e11918
abgeruckten	w5_d63e11921
Monats,	w7_d63e11924
und	w9_d63e11927
inle	w11_d63e11930
benden	w1_d63e11936
Jahrs	w3_d63e11939
gehorsamst	w5_d63e11942
und	w7_d63e11945
respective	w9_d63e11948
demütig	w1_d63e11953
angezeiget,	w3_d63e11956
welchergestalten	w5_d63e11959
ihme	w7_d63e11962
und	w1_d63e11967
seiner	w3_d63e11970
Ehe=wirtin	w5_d63e11973
von	w7_d63e11976
der	w9_d63e11979
Frauen	w11_d63e11982
An	w13_d63e11986
na	w1_d63e11991
Maria	w3_d63e11994
Maternin	w5_d63e11997
der	w7_d63e12000
jenige	w9_d63e12003
Satz=brief,	w11_d63e12006
welcher	w1_d63e12012
ihr	w3_d63e12015
unterm	w5_d63e12018
9.	w7_d63e12021
Decemb.	w9_d63e12024
1748.	w11_d63e12027
annoch	w13_d63e12031
bey	w1_d63e12036
dem	w3_d63e12039
Löbl.	w5_d63e12042
Vicedom.	w7_d63e12045
Grund=buch	w9_d63e12048
auf	w11_d63e12051
dis	w13_d63e12055
Johann	w1_d63e12060
Leysendorfers,	w3_d63e12063
und	w5_d63e12066
seiner	w7_d63e12069
Ehewir	w9_d63e12072
tin	w1_d63e12077
innen	w3_d63e12080
gehabten	w5_d63e12083
Kuchel=garten	w7_d63e12086
unter	w9_d63e12089
de	w11_d63e12092
nen	w1_d63e12098
Weisgärbern	w3_d63e12101
im	w5_d63e12104
Schüttel	w7_d63e12107
genannt,	w9_d63e12110
ra-	w11_d63e12113
tione	w1_d63e12118
schuldiger	w3_d63e12121
100.	w5_d63e12124
fl.	w7_d63e12127
Capital	w9_d63e12130
ausgeferti	w11_d63e12133
get	w1_d63e12138
worden,	w3_d63e12141
unterm	w5_d63e12144
7.	w7_d63e12147
Febr.	w9_d63e12150
1750.	w11_d63e12153
wegen	w13_d63e12157
schuldiger	w1_d63e12162
100.	w3_d63e12165
fl.	w5_d63e12168
Capital	w7_d63e12171
Rechts	w9_d63e12174
beständig	w11_d63e12177
wäre	w1_d63e12183
cediret	w3_d63e12186
worden,	w5_d63e12189
da	w7_d63e12192
nun	w9_d63e12195
aber	w11_d63e12198
er	w13_d63e12202
und	w15_d63e12205
seine	w1_d63e12210
Ehe=wirtin	w3_d63e12213
sothanen	w5_d63e12216
Kuchel=garten,	w7_d63e12219
oder	w1_d63e12224
so	w3_d63e12227
genannten	w5_d63e12230
Schüttel=grund	w7_d63e12233
pr.	w9_d63e12236
300.	w11_d63e12239
fl.	w13_d63e12243
Kauf=schilling,	w1_d63e12248
und	w3_d63e12251
40.	w5_d63e12254
fl.	w7_d63e12257
Leut=kauf	w9_d63e12260
nun	w11_d63e12263
mehro	w1_d63e12269
käuflichen	w3_d63e12272
übernommen	w5_d63e12275
hätten,	w7_d63e12278
so	w9_d63e12281
er	w11_d63e12284
windete	w1_d63e12289
es	w3_d63e12292
an	w5_d63e12295
deme,	w7_d63e12298
daß	w9_d63e12301
ihme	w11_d63e12304
die	w13_d63e12308
gewöhn	w15_d63e12311
liche	w1_d63e12316
Gwöhr	w3_d63e12319
hierauf	w5_d63e12322
ausgefertiget	w7_d63e12325
wurde,	w9_d63e12328
ehe	w1_d63e12333
und	w3_d63e12336
bevor	w5_d63e12339
nun	w7_d63e12342
aber	w9_d63e12345
dieses	w11_d63e12348
bewürket	w13_d63e12352
wer	w15_d63e12355
den	w1_d63e12361
könnte,	w3_d63e12364
müßte	w5_d63e12367
der	w7_d63e12370
ihnen	w9_d63e12373
von	w11_d63e12376
der	w13_d63e12380
Ma	w15_d63e12383
ternin	w1_d63e12388
cedirte,	w3_d63e12391
und	w5_d63e12394
auf	w7_d63e12397
dem	w9_d63e12400
Johann	w11_d63e12403
Ley	w13_d63e12407
sendorfer	w1_d63e12412
und	w3_d63e12415
seine	w5_d63e12418
Ehe=wirtin	w7_d63e12421
ausgefertig	w9_d63e12424
te	w1_d63e12429
Satz=brief	w3_d63e12432
pr.	w5_d63e12435
100.	w7_d63e12438
fl.	w9_d63e12441
ad	w11_d63e12444
cassandum	w13_d63e12448
zum	w1_d63e12454
Grund=buch	w3_d63e12457
eingeleget,	w5_d63e12460
zumalen	w7_d63e12463
nun	w9_d63e12466
aber	w1_d63e12471
besagte	w3_d63e12474
Maternin	w5_d63e12477
ihren	w7_d63e12480
Vorgeben	w9_d63e12483
nach	w11_d63e12486
um	w1_d63e12491
diesen	w3_d63e12494
Satz=brief	w5_d63e12497
auf	w7_d63e12500
ungleiche	w9_d63e12503
Art	w11_d63e12506
ge	w13_d63e12510
</p>
<p id="p10_d63e12523">
kommen	w1_d63e12527
seye,	w3_d63e12530
und	w5_d63e12533
selbe	w7_d63e12536
der	w9_d63e12539
Zeit	w11_d63e12542
nicht	w13_d63e12546
mehr	w15_d63e12549
ausfindig	w1_d63e12554
zu	w3_d63e12557
machen	w5_d63e12560
wäre,	w7_d63e12563
wo	w9_d63e12566
sie	w11_d63e12569
sich	w13_d63e12573
auf	w15_d63e12576
haltete,	w1_d63e12581
mithin	w3_d63e12584
ist	w5_d63e12587
auf	w7_d63e12590
derenselben	w9_d63e12593
weiters	w11_d63e12596
Inhæriren	w1_d63e12602
untern	w3_d63e12605
8.	w5_d63e12608
Maii	w7_d63e12611
lauffenden	w9_d63e12614
Jahrs	w11_d63e12617
in	w1_d63e12622
die	w3_d63e12625
Ausfertigung	w5_d63e12628
des	w7_d63e12631
gewöhnlichen	w9_d63e12634
Amor	w11_d63e12637
tisations=edict	w1_d63e12642
gewilliget	w3_d63e12645
worden.	w5_d63e12648
Dannen	w7_d63e12651
hero	w1_d63e12656
werden	w3_d63e12659
all=die	w5_d63e12662
jenige,	w7_d63e12665
welche	w9_d63e12668
vorgemeld	w11_d63e12671
ten	w1_d63e12677
Satz=brief	w3_d63e12680
bey	w5_d63e12683
Handen	w7_d63e12686
haben,	w9_d63e12689
durch	w11_d63e12692
ge	w13_d63e12696
genwärtig=offenes	w1_d63e12701
Edict	w3_d63e12704
hiemit	w5_d63e12707
erinneret,	w7_d63e12710
daß	w1_d63e12715
sie	w3_d63e12718
solchen	w5_d63e12721
zu	w7_d63e12724
dem	w9_d63e12727
Löbl.	w11_d63e12730
Ständischen	w13_d63e12734
Grund=buch	w1_d63e12739
längstens	w3_d63e12742
innerhalb	w5_d63e12745
einer	w7_d63e12748
Jahrs	w9_d63e12751
frist,	w1_d63e12757
6.	w3_d63e12760
Wochen,	w5_d63e12763
und	w7_d63e12766
3.	w9_d63e12769
Tägen,	w11_d63e12772
also	w13_d63e12776
gewiß	w15_d63e12779
einlegen,	w1_d63e12784
und	w3_d63e12787
ihre	w5_d63e12790
etwo	w7_d63e12793
darauf	w9_d63e12796
habende	w11_d63e12799
For	w13_d63e12803
derung	w1_d63e12808
rechtlichen	w3_d63e12811
liquidiren	w5_d63e12814
sollen,	w7_d63e12817
wie	w9_d63e12820
im	w11_d63e12823
widrigen	w1_d63e12828
nach	w3_d63e12831
exspirirt	w5_d63e12834
solch	w7_d63e12837
Legalen=termin,	w9_d63e12840
der	w1_d63e12846
schon	w3_d63e12849
gemeldte	w5_d63e12852
Satz=brief	w7_d63e12855
ex	w9_d63e12858
officio	w11_d63e12861
cassiret	w1_d63e12866
werden	w3_d63e12869
wird.	w5_d63e12872
Actum	w7_d63e12875
Wien	w9_d63e12878
in	w11_d63e12881
dem	w13_d63e12885
Land=haus	w1_d63e12890
in	w3_d63e12893
der	w5_d63e12896
Ständischen	w7_d63e12899
Verwaltung	w9_d63e12902
den	w1_d63e12907
11.	w3_d63e12910
Maii	w5_d63e12913
1756.	w7_d63e12916
</p>
<head id="h2_d63e12922">
EDICT.	w1_d63e12926
</head>
<p id="p4_d63e12929">
Von	w1_d63e12933
der	w3_d63e12936
N.	w5_d63e12939
Oe.	w7_d63e12942
Regierung	w9_d63e12945
wegen	w11_d63e12948
wird	w13_d63e12952
mit	w1_d63e12957
gegenwärtig=offenem	w3_d63e12960
Edict	w5_d63e12963
jedermän	w7_d63e12966
niglich	w1_d63e12971
sowol	w3_d63e12974
An	w5_d63e12977
als	w7_d63e12980
Abwesenden	w9_d63e12983
deme	w11_d63e12986
da	w13_d63e12990
ran	w1_d63e12996
gelegen,	w3_d63e12999
kund	w5_d63e13002
und	w7_d63e13005
zu	w9_d63e13008
wissen	w11_d63e13011
gemacht.	w13_d63e13015
Es	w1_d63e13020
habe	w3_d63e13023
Regierung	w5_d63e13026
eine	w7_d63e13029
Nohtdurft	w9_d63e13032
zu	w11_d63e13035
seyn	w13_d63e13039
befunden,	w1_d63e13044
über	w3_d63e13047
des	w5_d63e13050
von	w7_d63e13053
hier	w9_d63e13056
entwichenen	w11_d63e13059
Niclas	w1_d63e13064
Flessa	w3_d63e13067
Hof=befreyten	w5_d63e13070
Gold=arbeiters	w7_d63e13073
ad	w1_d63e13079
cridam	w3_d63e13082
gediehenes	w5_d63e13085
Vermögen,	w7_d63e13088
einen	w9_d63e13091
or	w11_d63e13094
dentlichen	w1_d63e13099
Concurs	w3_d63e13102
anzuordnen,	w5_d63e13105
und	w7_d63e13108
dessel	w9_d63e13111
ben	w1_d63e13116
sammentliche	w3_d63e13119
sowol	w5_d63e13122
in	w7_d63e13125
als	w9_d63e13128
ausser	w11_d63e13131
Land	w13_d63e13135
befindliche	w1_d63e13140
Glaubigere	w3_d63e13143
zu	w5_d63e13146
Anmeld	w7_d63e13149
und	w9_d63e13152
Li	w11_d63e13155
quidirung	w1_d63e13161
ihrer	w3_d63e13164
an	w5_d63e13167
ersteb	w7_d63e13170
meldten	w9_d63e13173
Niclas	w11_d63e13176
Fles	w13_d63e13180
sa	w1_d63e13185
zu	w3_d63e13188
stellen	w5_d63e13191
habender	w7_d63e13194
Sprüch,	w9_d63e13197
und	w11_d63e13200
Forde	w13_d63e13204
rungen	w1_d63e13209
einzuberuffen:	w3_d63e13212
Zu	w5_d63e13215
welchen	w7_d63e13218
Ende	w9_d63e13221
de	w11_d63e13224
nenselben	w1_d63e13229
der	w3_d63e13232
erste	w5_d63e13235
Tag	w7_d63e13238
des	w9_d63e13241
zukünftigen	w11_d63e13244
Mo	w13_d63e13248
nats	w1_d63e13254
Septembris	w3_d63e13257
Nachmittag	w5_d63e13260
um	w7_d63e13263
4.	w9_d63e13266
Uhr	w11_d63e13269
zur	w1_d63e13274
gewöhnlichen	w3_d63e13277
Tag=satzung	w5_d63e13280
für	w7_d63e13283
die	w9_d63e13286
Erst	w11_d63e13289
Andert	w1_d63e13294
und	w3_d63e13297
Dritte,	w5_d63e13300
auch	w7_d63e13303
all=endliche	w9_d63e13306
Frist	w11_d63e13309
sub	w1_d63e13314
clausula	w3_d63e13317
præclusi	w5_d63e13320
anberaumet	w7_d63e13323
worden.	w9_d63e13326
Solchemnach	w1_d63e13332
werden	w3_d63e13335
all	w5_d63e13338
und	w7_d63e13341
jede,	w9_d63e13344
welche	w11_d63e13347
an	w1_d63e13352
gedacht	w3_d63e13355
Niclas	w5_d63e13358
Flessa	w7_d63e13361
Hof=befreyten	w9_d63e13364
Gold	w11_d63e13367
arbeiter	w1_d63e13372
ex	w3_d63e13375
quacunque	w5_d63e13378
causa	w7_d63e13381
vel	w9_d63e13384
titulo	w11_d63e13387
Sprüch,	w1_d63e13392
und	w3_d63e13395
Anforderungen	w5_d63e13398
haben,	w7_d63e13401
oder	w9_d63e13404
zu	w11_d63e13407
haben	w1_d63e13413
vermeinen,	w3_d63e13416
an	w5_d63e13419
ob=bestimmten	w7_d63e13422
Tag	w9_d63e13425
und	w1_d63e13430
Stund	w3_d63e13433
vor	w5_d63e13436
Regierung	w7_d63e13439
in	w9_d63e13442
der	w11_d63e13445
daselbst	w13_d63e13449
zu	w15_d63e13452
solchem	w1_d63e13457
Ende	w3_d63e13460
offen	w5_d63e13463
haltenden	w7_d63e13466
Commißions	w9_d63e13469
stuben,	w1_d63e13474
entweder	w3_d63e13477
selbst	w5_d63e13480
persönlich,	w7_d63e13483
oder	w9_d63e13486
durch	w11_d63e13489
hiezu	w1_d63e13495
genugsam	w3_d63e13498
gevollmächtigte	w5_d63e13501
Gewalttrage	w7_d63e13504
re	w1_d63e13509
also	w3_d63e13512
gewiß	w5_d63e13515
zu	w7_d63e13518
