<doc id="edoc_wd_1759-09-26" attrs="word" year="1759" month="09" day="26" corpus="1">
<head id="hl1">
Coblenz	w40
Burgerl	w3657
<g/>
.
Füterern	w3659
<g/>
,
s	w3661
<g/>
.
S	w3663
<g/>
.
Joh	w3665
<g/>
.
<g/>
,
beym	w3668
weis	w3669
<g/>
.
Lämmel	w3671
in	w3672
der	w3673
Leopoldst	w3674
<g/>
.
<g/>
,
alt	w3677
12	w3678
<g/>
.
J	w3680
<g/>
.
Jos	w3682
<g/>
.
Glauber	w3684
<g/>
,
Schuhmach	w3686
<g/>
.
<g/>
,
bey	w3689
St	w3690
<g/>
.
Florian	w3692
zu	w3693
Ni-colstorf	w3694
<g/>
-
<g/>
,
alt	w3697
78	w3698
<g/>
.
J	w3700
<g/>
.
Dem	w3702
Gottfr	w3703
<g/>
.
Neunmeister	w3705
<g/>
,
Lack	w3707
<g/>
.
<g/>
,
s	w3710
<g/>
.
W	w3712
<g/>
.
Elisab	w3714
im	w3715
alt	w3716
<g/>
-
Hartschieris	w3718
<g/>
.
H	w3720
<g/>
.
auf	w3722
der	w3723
Wied	w3724
<g/>
.
<g/>
,
alt	w3727
33	w3728
<g/>
.
J	w3730
<g/>
.
Maria	w3732
Thallerin	w3733
<g/>
,
Wittwe	w3735
<g/>
,
in	w3737
der	w3738
Wasch	w3739
<g/>
-
hüt	w3741
<g/>
.
nächst	w3743
der	w3744
Weiß	w3745
<g/>
=
gärb	w3747
<g/>
.
<g/>
-
bruck	w3750
<g/>
.
<g/>
,
alt	w3753
84	w3754
<g/>
.
J	w3756
<g/>
.
Justina	w3758
Kelcherin	w3759
<g/>
,
Wittwe	w3761
<g/>
,
bey	w3763
der	w3764
gold	w3765
<g/>
.
Ros	w3767
<g/>
.
ober	w3769
dem	w3770
Neustift	w3771
<g/>
,
alt	w3773
85	w3774
<g/>
.
J	w3776
<g/>
.
Dem	w3778
Barthl	w3779
<g/>
.
Hödl	w3781
<g/>
,
Tagelöhn	w3783
<g/>
.
<g/>
,
s	w3786
<g/>
.
W	w3788
<g/>
.
Barb	w3790
<g/>
.
<g/>
,
beym	w3793
weis	w3794
<g/>
.
Adl	w3796
<g/>
.
oberm	w3798
Alsterbach	w3799
<g/>
,
alt	w3801
55	w3802
<g/>
.
J	w3804
<g/>
.
</list>
<p id="p39">
Summa	w3806
8	w3807
<g/>
.
Person	w3809
<g/>
.
<g/>
/
darunter	w3812
0	w3813
<g/>
.
Kind	w3815
<g/>
.
</p>
<head id="hl21">
Den	w3817
23	w3818
<g/>
.
Sept	w3820
<g/>
.
</head>
<head id="hl22">
Jn	w3822
der	w3823
Stadt	w3824
<g/>
.
</head>
<list id="li7">
Eva	w3826
Wilstorferin	w3827
<g/>
,
led	w3829
<g/>
.
M	w3831
<g/>
.
<g/>
,
im	w3834
Liechtenthallisch	w3835
<g/>
.
H	w3837
<g/>
.
am	w3839
alt	w3840
<g/>
.
Fleisch	w3842
<g/>
=
m	w3844
<g/>
.
<g/>
,
alt	w3847
52	w3848
<g/>
.
J	w3850
<g/>
.
</list>
<head id="hl23">
Vor	w3852
der	w3853
Stadt	w3854
<g/>
.
</head>
<list id="li8">
Dem	w3856
Ferd	w3857
<g/>
.
Wallenöfer	w3859
<g/>
,
Burgerl	w3861
<g/>
.
Bad	w3863
<g/>
.
<g/>
,
s	w3866
<g/>
.
Ehew	w3868
<g/>
.
Elisab	w3870
<g/>
,
beyn	w3872
2	w3873
<g/>
.
weis	w3875
<g/>
.
Kreutz	w3877
bey	w3878
Maria	w3879
<g/>
-
hülf	w3881
<g/>
,
alt	w3883
59	w3884
<g/>
.
J	w3886
<g/>
.
August	w3888
<g/>
.
Müßig	w3890
<g/>
,
Burgerl	w3892
<g/>
.
Schuhmach	w3894
<g/>
.
<g/>
,
im	w3897
Mau=rer	w3898
<g/>
=
<g/>
-
meisteris	w3901
<g/>
.
H	w3903
<g/>
.
in	w3905
der	w3906
Josephst	w3907
<g/>
,
alt	w3909
32	w3910
<g/>
.
J	w3912
<g/>
.
Elisab	w3914
<g/>
.
Eckertin	w3916
<g/>
,
Wittwe	w3918
<g/>
,
beym	w3920
schwarz	w3921
<g/>
.
Bärn	w3923
in	w3924
der	w3925
Leopoldst	w3926
<g/>
.
<g/>
,
alt	w3929
47	w3930
<g/>
.
J	w3932
<g/>
.
Dem	w3934
Jos	w3935
<g/>
.
Wirschina	w3937
<g/>
,
K	w3939
<g/>
.
Senften	w3941
<g/>
-
kn	w3943
<g/>
.
<g/>
,
s	w3946
<g/>
.
K	w3948
<g/>
.
Leonh	w3950
<g/>
.
beyn	w3952
grün	w3953
<g/>
.
Was	w3955
<g/>
.
am	w3957
Neustift	w3958
<g/>
,
alt	w3960
5	w3961
<g/>
.
J	w3963
<g/>
.
Dem	w3965
Carl	w3966
Drenker	w3967
<g/>
,
Feld	w3969
<g/>
-
scher	w3971
<g/>
.
<g/>
,
s	w3974
<g/>
.
W	w3976
<g/>
.
Cathar	w3978
<g/>
.
<g/>
,
im	w3981
Stroblis	w3982
<g/>
.
H	w3984
<g/>
.
in	w3986
der	w3987
Leopoldst	w3988
<g/>
.
<g/>
,
alt	w3991
26	w3992
<g/>
.
J	w3994
<g/>
.
Dem	w3996
Georg	w3997
Reiter	w3998
<g/>
,
Leder	w4000
<g/>
=
ausschneid	w4002
<g/>
.
<g/>
,
s	w4005
<g/>
.
K	w4007
<g/>
.
Theres	w4009
<g/>
.
beym	w4011
rot	w4012
<g/>
.
Rös	w4014
<g/>
.
in	w4016
der	w4017
Leopoldst	w4018
<g/>
.
<g/>
,
alt	w4021
4	w4022
<g/>
.
J	w4024
<g/>
.
</list>
<p id="p40">
Summa	w4026
7	w4027
<g/>
.
Person	w4029
<g/>
.
<g/>
,
darunter	w4032
2	w4033
<g/>
.
Kind	w4035
<g/>
.
</p>
<p id="p41">
Auf	w4037
Verordnung	w4038
eines	w4039
Löbl	w4040
<g/>
.
Kaiserl	w4042
<g/>
.
Königl	w4044
<g/>
.
Stadt	w4046
<g/>
=
und	w4048
Landgerichts	w4049
allhier	w4050
werden	w4051
den	w4052
27	w4053
<g/>
.
September	w4055
frühe	w4056
von	w4057
8	w4058
<g/>
.
bis	w4060
12	w4061
Nachmittag	w4062
aber	w4063
von	w4064
3	w4065
<g/>
.
bis	w4067
6	w4068
<g/>
.
Uhr	w4070
<g/>
,
die	w4072
gerichtlich	w4073
inventirt	w4074
<g/>
=
und	w4076
geschätzte	w4077
Binder	w4078
<g/>
=
waaren	w4080
<g/>
,
dann	w4082
Werk	w4083
<g/>
-
zeug	w4085
<g/>
,
auch	w4087
andere	w4088
Gerätschaften	w4089
<g/>
(
so	w4091
in	w4092
allerhand	w4093
Gattung	w4094
Fässern	w4095
<g/>
,
sowol	w4097
in	w4098
eisernen	w4099
als	w4100
hölzernen	w4101
Ban=den	w4102
<g/>
=
<g/>
,
Schäffeln	w4105
<g/>
,
Buten	w4107
<g/>
,
und	w4109
Binder	w4110
<g/>
=
werkzeug	w4112
bestehen	w4113
<g/>
)
in	w4115
dem	w4116
sogenannt	w4117
<g/>
=
Wagnerischen	w4119
Haus	w4120
im	w4121
Comödie	w4122
<g/>
=
gässel	w4124
nächst	w4125
dem	w4126
Karntner	w4127
<g/>
=
thor	w4129
plus	w4130
offerenti	w4131
licitando	w4132
verkauffet	w4133
werden	w4134
<g/>
.
</p>
<p id="p42">
Auf	w4136
Verordnung	w4137
einer	w4138
hochlöbl	w4139
<g/>
.
Regierung	w4141
wer=den	w4142
<g/>
=
auf	w4144
den	w4145
23sten	w4146
dieses	w4147
lauffenden	w4148
Monats	w4149
September	w4150
Vormittag	w4151
um	w4152
9	w4153
<g/>
.
Uhr	w4155
in	w4156
der	w4157
grossen	w4158
Lands	w4159
<g/>
=
cron	w4161
<g/>
,
bey	w4163
dem	w4164
aldortigen	w4165
Haus	w4166
<g/>
=
meister	w4168
zu	w4169
ebener	w4170
Erden	w4171
21	w4172
<g/>
.
Eimer	w4174
1758	w4175
<g/>
=
ger	w4177
Wein	w4178
noch	w4179
auf	w4180
den	w4181
Geläger	w4182
ligend	w4183
<g/>
,
jedoch	w4185
ohne	w4186
Faß	w4187
licitan=do	w4188
<g/>
=
verkauffet	w4190
werden	w4191
<g/>
.
</p>
<p id="p43">
Von	w4193
der	w4194
N	w4195
<g/>
.
Oe	w4197
<g/>
.
Regierung	w4199
wird	w4200
mit	w4201
gegen=wärtig	w4202
<g/>
=
offenen	w4204
Edict	w4205
jedermänniglich	w4206
sowol	w4207
An-als	w4208
<g/>
-
Abwesenden	w4210
<g/>
,
deme	w4212
daran	w4213
gelegen	w4214
<g/>
,
kund	w4216
und	w4217
zu	w4218
wissen	w4219
gemacht	w4220
<g/>
.
</p>
<p id="p44">
Es	w4222
habe	w4223
Regierung	w4224
eine	w4225
Nohtdurft	w4226
zu	w4227
seyn	w4228
be-funden	w4229
<g/>
-
<g/>
,
über	w4232
das	w4233
nach	w4234
Absterben	w4235
des	w4236
Christian	w4237
Bayer	w4238
<g/>
,
gewest	w4240
Kaiserl	w4241
<g/>
.
Königl	w4243
<g/>
.
Hof	w4245
<g/>
=
tenoristens	w4247
hinterlassenes	w4248
<g/>
,
und	w4250
ad	w4251
Cridam	w4252
gediehene	w4253
Vermö=gen	w4254
<g/>
=
einen	w4256
ordentlichen	w4257
Concurs	w4258
anzuordnen	w4259
<g/>
,
und	w4261
desselben	w4262
sammentliche	w4263
so	w4264
wol	w4265
in	w4266
als	w4267
ausser	w4268
Land	w4269
befindliche	w4270
Gläubigere	w4271
<g/>
,
zu	w4273
Anmeld	w4274
<g/>
=
und	w4276
Liquidi=rung	w4277
<g/>
=
ihrer	w4279
an	w4280
erst	w4281
<g/>
=
bemeldten	w4283
Christian	w4284
Bayer	w4285
zu	w4286
stellen	w4287
habender	w4288
Sprüch	w4289
<g/>
,
und	w4291
Forderungen	w4292
ein=zuberuffen	w4293
<g/>
=
<g/>
;
zu	w4296
welchem	w4297
Ende	w4298
denenselben	w4299
der	w4300
28	w4301
<g/>
.
Tag	w4303
des	w4304
lauffenden	w4305
Monats	w4306
September	w4307
Nachmit=tag	w4308
<g/>
=
um	w4310
4	w4311
<g/>
.
Uhr	w4313
zur	w4314
gewöhnlichen	w4315
Tagsatzung	w4316
für	w4317
die	w4318
erst	w4319
andert	w4320
und	w4321
dritte	w4322
<g/>
,
auch	w4324
allendliche	w4325
Frist	w4326
sub	w4327
clausula	w4328
præclusipraeclusi	w4329
anberaumet	w4330
worden	w4331
<g/>
.
</p>
<p id="p45">
Solchemnach	w4333
werden	w4334
all	w4335
<g/>
=
und	w4337
jede	w4338
<g/>
,
welche	w4340
an	w4341
gedacht	w4342
<g/>
=
in	w4344
Verfall	w4345
gerahten	w4346
Bayerisches	w4347
Vermö=gen	w4348
<g/>
=
ex	w4350
quacunque	w4351
causa	w4352
<g/>
,
vel	w4354
titulo	w4355
Sprüch	w4356
<g/>
,
und	w4358
Anforderungen	w4359
haben	w4360
<g/>
,
oder	w4362
zu	w4363
haben	w4364
vermei=nen	w4365
<g/>
=
<g/>
,
an	w4368
obbestimten	w4369
Tag	w4370
<g/>
,
und	w4372
Stund	w4373
vor	w4374
Regie=rung	w4375
<g/>
=
in	w4377
der	w4378
daselbst	w4379
zu	w4380
solchem	w4381
Ende	w4382
offenhalten=den	w4383
<g/>
=
Commißions	w4385
<g/>
=
stuben	w4387
entweder	w4388
selbst	w4389
Persön=lich	w4390
<g/>
=
<g/>
,
oder	w4393
durch	w4394
hierzu	w4395
genugsam	w4396
gevollmächtigte	w4397
Gewalt	w4398
<g/>
=
tragere	w4400
also	w4401
gewiß	w4402
zu	w4403
erscheinen	w4404
<g/>
,
und	w4406
ihre	w4407
an	w4408
solcher	w4409
CridæCridae	w4410
<g/>
-
Massa	w4412
habende	w4413
Anforderungen	w4414
anzumelden	w4415
<g/>
,
auch	w4417
zu	w4418
Herstellung	w4419
des	w4420
erforderlich-rechtlichen	w4421
<g/>
-
Beweistums	w4423
<g/>
,
ihre	w4425
Schuld	w4426
<g/>
=
und	w4428
Satz=brief	w4429
<g/>
=
<g/>
,
oder	w4432
ansonst	w4433
habende	w4434
Liquidations	w4435
<g/>
=
urkun=den	w4437
<g/>
=
<g/>
,
und	w4440
rechtliche	w4441
Behelfe	w4442
in	w4443
beglaubten	w4444
Ab=schriften	w4445
<g/>
=
einzulegen	w4447
haben	w4448
<g/>
,
wie	w4450
im	w4451
widrigen	w4452
der	w4453
Ausbleibende	w4454
von	w4455
gegenwärtiger	w4456
Concurs=massa	w4457
<g/>
=
gänzlich	w4459
ausgeschlossen	w4460
seyn	w4461
<g/>
,
und	w4463
ihme	w4464
diesfalls	w4465
das	w4466
ewige	w4467
Stillschweigen	w4468
auferleget	w4469
<g/>
;
der	w4471
nicht	w4472
</p>
<p id="p46">
Liquidirende	w4475
aber	w4476
<g/>
,
in	w4478
der	w4479
künftigen	w4480
Classification	w4481
mit	w4482
seiner	w4483
unerwiesenen	w4484
Anforderung	w4485
abgewiesen	w4486
werden	w4487
solle	w4488
<g/>
.
Wornach	w4490
sich	w4491
ein	w4492
jeder	w4493
zu	w4494
achten	w4495
<g/>
,
und	w4497
vor	w4498
Schaden	w4499
zu	w4500
hütten	w4501
wissen	w4502
wird	w4503
<g/>
.
So	w4505
be=schehen	w4506
<g/>
=
Wien	w4508
den	w4509
14	w4510
<g/>
.
Juli	w4512
1759	w4513
<g/>
.
</p>
<p id="p47">
Von	w4515
der	w4516
von	w4517
Jhrer	w4518
Römisch	w4519
Kaiserl	w4520
<g/>
.
Königl	w4522
<g/>
.
Majestät	w4524
sub	w4525
PræsidioPraesidio	w4526
dero	w4527
würklichen	w4528
Cammerers	w4529
und	w4530
Hof	w4531
<g/>
=
rahts	w4533
Herrn	w4534
Raymund	w4535
Grafens	w4536
von	w4537
Vilana	w4538
Perlas	w4539
y	w4540
Rialp	w4541
im	w4542
Mohrenfeldischen	w4543
Schulden=wesen	w4544
<g/>
=
allergnädigst	w4546
aufgestelten	w4547
Hof	w4548
<g/>
=
commißion	w4550
wegen	w4551
<g/>
,
wird	w4553
mittelst	w4554
gegenwärtig	w4555
<g/>
=
offenen	w4557
Edict	w4558
jedermänniglich	w4559
sowol	w4560
an	w4561
<g/>
=
als	w4563
abwesenden	w4564
<g/>
,
deme	w4566
daran	w4567
gelegen	w4568
<g/>
,
kund	w4570
und	w4571
zu	w4572
wissen	w4573
gemacht	w4574
<g/>
:
</p>
<p id="p48">
Es	w4576
habe	w4577
Johann	w4578
Adam	w4579
von	w4580
Oehninger	w4581
Kaiserl	w4582
<g/>
.
Raht	w4584
und	w4585
Proviant	w4586
<g/>
=
admodiator	w4588
<g/>
,
nachdeme	w4590
dem=selben	w4591
<g/>
=
von	w4593
seiten	w4594
erstbesagter	w4595
Hof	w4596
<g/>
=
commißion	w4598
aufgetragen	w4599
worden	w4600
<g/>
,
seine	w4602
sammentliche	w4603
Credi=tores	w4604
<g/>
=
nebst	w4606
Beyfügung	w4607
sowol	w4608
dessen	w4609
<g/>
,
wo	w4611
jeder	w4612
de=ren	w4613
<g/>
=
zu	w4615
betretten	w4616
<g/>
,
dann	w4618
jenes	w4619
was	w4620
ein	w4621
jeglicher	w4622
an	w4623
Capitali	w4624
und	w4625
Jnteresse	w4626
in	w4627
Quanto	w4628
<g/>
&
quali	w4630
an	w4631
ihn	w4632
zu	w4633
forderen	w4634
hat	w4635
<g/>
,
getreulich	w4637
und	w4638
Beeidigungs=mäßig	w4639
<g/>
=
zu	w4641
specificiren	w4642
<g/>
,
gehorsamst	w4644
vorgestellet	w4645
<g/>
,
daß	w4647
er	w4648
wegen	w4649
aufhabend	w4650
hohen	w4651
Alter	w4652
<g/>
,
seine	w4654
sam=mentliche	w4655
<g/>
=
Glaubigere	w4657
<g/>
,
und	w4659
derenselben	w4660
Forderun=gen	w4661
<g/>
=
wahrhaft	w4663
zu	w4664
benennen	w4665
sich	w4666
allerdings	w4667
ausser	w4668
Stande	w4669
befinde	w4670
<g/>
,
dahero	w4672
da	w4673
er	w4674
seinen	w4675
Statum	w4676
Passicum	w4677
zu	w4678
wissen	w4679
selbst	w4680
wünschete	w4681
<g/>
,
um	w4683
Anord=nung	w4684
<g/>
=
einer	w4686
Convocations	w4687
<g/>
-
tagsatzung	w4689
und	w4690
Affigi=rung	w4691
<g/>
=
diesfälligen	w4693
Edicts	w4694
geziemend	w4695
angelanget	w4696
<g/>
.
</p>
<p id="p49">
Da	w4698
nun	w4699
eingangs	w4700
ernannte	w4701
Hofcommißion	w4702
in	w4703
dieses	w4704
des	w4705
von	w4706
Oehningers	w4707
Bitten	w4708
<g/>
,
um	w4710
so	w4711
mehr	w4712
gewilliget	w4713
<g/>
,
als	w4715
dieselbe	w4716
den	w4717
von	w4718
Oehningerischen	w4719
passiv	w4720
<g/>
=
stand	w4722
zu	w4723
wissen	w4724
vonnöhten	w4725
hat	w4726
<g/>
.
</p>
<p id="p50">
Als	w4728
werden	w4729
alle	w4730
und	w4731
jede	w4732
<g/>
,
welche	w4734
an	w4735
den	w4736
Jo=hann	w4737
<g/>
=
Adam	w4739
von	w4740
Oehninger	w4741
ex	w4742
quacunque	w4743
causa	w4744
vel	w4745
titulo	w4746
Sprüch	w4747
und	w4748
Anforderungen	w4749
haben	w4750
<g/>
,
oder	w4752
zu	w4753
haben	w4754
vermeinen	w4755
<g/>
,
den	w4757
30	w4758
<g/>
.
nächstkünfti=gen	w4760
<g/>
=
Monats	w4762
October	w4763
Nachmittags	w4764
um	w4765
3	w4766
<g/>
.
Uhr	w4768
in	w4769
gedacht	w4770
Herrn	w4771
Hof	w4772
<g/>
=
Commißions	w4774
<g/>
=
præsidispraesidis	w4776
Gra=fens	w4777
<g/>
=
von	w4779
Vilana	w4780
Perlas	w4781
y	w4782
Rialp	w4783
untern	w4784
Tuchlau-ben	w4785
<g/>
-
in	w4787
dem	w4788
Wisendischen	w4789
Stiftungs	w4790
<g/>
=
haus	w4792
im	w4793
ersten	w4794
Stock	w4795
habenden	w4796
Wohnung	w4797
entweder	w4798
selbst	w4799
persönlich	w4800
<g/>
,
oder	w4802
durch	w4803
hierzu	w4804
genugsam	w4805
bevoll=mächtigte	w4806
<g/>
=
Gewalt	w4808
<g/>
=
tragere	w4810
zu	w4811
erscheinen	w4812
<g/>
,
und	w4814
ih=re	w4815
<g/>
=
an	w4817
gedachten	w4818
von	w4819
Oehninger	w4820
habende	w4821
Anforde=rungen	w4822
<g/>
=
anzumelden	w4824
<g/>
,
auch	w4826
zu	w4827
Herstellung	w4828
des	w4829
er=förderlich	w4830
<g/>
=
rechtlichen	w4832
Beweisthums	w4833
ihre	w4834
Schuld-briefe	w4835
<g/>
-
<g/>
,
oder	w4838
ansonst	w4839
habende	w4840
Liquidations	w4841
<g/>
=
do=cumenta	w4843
<g/>
=
und	w4845
Behelf	w4846
in	w4847
beglaubten	w4848
Abschriften	w4849
einzulegen	w4850
haben	w4851
<g/>
.
</p>
<p id="p51">
Von	w4853
der	w4854
Kaiserl	w4855
<g/>
.
Königl	w4857
<g/>
.
N	w4859
<g/>
.
Oe	w4861
<g/>
.
Justitzban=co	w4863
<g/>
=
<g/>
=
deputation	w4866
wegen	w4867
wird	w4868
hiemit	w4869
all	w4870
<g/>
=
und	w4872
je=den	w4873
<g/>
=
durch	w4875
gegenwärtiges	w4876
Edict	w4877
kund	w4878
gemacht	w4879
<g/>
:
</p>
<p id="p52">
Es	w4881
habe	w4882
bey	w4883
dieser	w4884
Justitz	w4885
<g/>
=
stelle	w4887
Andreas	w4888
Hell	w4889
<g/>
,
Burgerl	w4891
<g/>
.
Huf	w4893
<g/>
=
schmied	w4895
allhier	w4896
mit	w4897
mehreren	w4898
an=gebracht	w4899
<g/>
=
<g/>
,
was	w4902
massen	w4903
den	w4904
25	w4905
<g/>
.
Juni	w4907
letzt=hin	w4908
<g/>
=
derselbe	w4910
das	w4911
Unglück	w4912
gehabt	w4913
hätte	w4914
<g/>
,
und	w4916
ihihme	w4917
<g/>
=
</p>
<p id="p53">
me	w4919
in	w4920
dem	w4921
Stahrembergischen	w4922
Frey	w4923
<g/>
=
haus	w4925
<g/>
,
all=wo	w4927
<g/>
=
seine	w4929
Wohnung	w4930
und	w4931
Werk	w4932
<g/>
=
stadt	w4934
befindlich	w4935
ge=wesen	w4936
<g/>
=
<g/>
,
durch	w4939
das	w4940
allda	w4941
entstandene	w4942
heftige	w4943
Feuer	w4944
sein	w4945
ganze	w4946
Habschaft	w4947
<g/>
,
und	w4949
unter	w4950
selber	w4951
auch	w4952
eine	w4953
auf	w4954
seinen	w4955
Namen	w4956
lautende	w4957
Stadt	w4958
<g/>
=
banco	w4960
<g/>
=
obli=gation	w4962
<g/>
=
de	w4964
Dato	w4965
28	w4966
<g/>
.
April	w4968
1741	w4969
<g/>
.
pr	w4971
<g/>
.
500	w4973
<g/>
.
fl	w4975
<g/>
.
woran	w4977
jedoch	w4978
den	w4979
6	w4980
<g/>
.
May	w4982
1751	w4983
<g/>
.
bereits	w4985
100	w4986
<g/>
.
fl	w4988
<g/>
.
abgeschrieben	w4990
worden	w4991
<g/>
,
mutmaßlichen	w4993
verbrannt	w4994
wäre	w4995
<g/>
,
damit	w4997
also	w4998
erwehnte	w4999
Obligation	w5000
durch	w5001
Af=figirung	w5002
<g/>
=
eines	w5004
gewöhnlichen	w5005
Valval	w5006
<g/>
=
edicts	w5008
der	w5009
Ordnung	w5010
nach	w5011
amortisiret	w5012
<g/>
,
und	w5014
ihme	w5015
Hell	w5016
dar=für	w5017
<g/>
=
eine	w5019
andere	w5020
dergleichen	w5021
ausgestellet	w5022
werden	w5023
möchte	w5024
<g/>
.
Als	w5026
hat	w5027
derselbe	w5028
wegen	w5029
dessen	w5030
Ausfer=tigung	w5031
<g/>
=
um	w5033
die	w5034
Auflag	w5035
an	w5036
seine	w5037
Behörde	w5038
gebet=ten	w5039
<g/>
=
<g/>
.
Gleichwie	w5042
nun	w5043
in	w5044
solches	w5045
des	w5046
Supplicantens	w5047
billiches	w5048
Anlangen	w5049
von	w5050
Rechts	w5051
<g/>
-
wegen	w5053
solcher	w5054
<g/>
=
ge=stalten	w5056
<g/>
=
gewilliget	w5058
worden	w5059
<g/>
,
daß	w5061
<g/>
,
wann	w5063
binnen	w5064
einem	w5065
Jahr	w5066
<g/>
,
sechs	w5068
Wochen	w5069
und	w5070
drey	w5071
Tägen	w5072
von	w5073
Zeit	w5074
der	w5075
Affigirung	w5076
dieses	w5077
Edicts	w5078
anzurechnen	w5079
<g/>
,
sich	w5081
niemand	w5082
zu	w5083
obiger	w5084
verlustigten	w5085
auf	w5086
Eingangs	w5087
ge=meldeten	w5088
<g/>
=
Andreas	w5090
Hell	w5091
lautenden	w5092
Stadt	w5093
<g/>
=
banco=obligation	w5095
<g/>
=
de	w5097
Dato	w5098
28	w5099
<g/>
.
April	w5101
1741	w5102
<g/>
.
annoch	w5104
pr	w5105
<g/>
.
400	w5107
<g/>
.
fl	w5109
<g/>
.
rechtlichen	w5111
legitimiren	w5112
<g/>
,
oder	w5114
solche	w5115
in	w5116
Original	w5117
produciren	w5118
würde	w5119
<g/>
,
selbe	w5121
für	w5122
null	w5123
und	w5124
nichtig	w5125
gehalten	w5126
<g/>
,
folgsam	w5128
nach	w5129
Verfliessung	w5130
be=sagten	w5131
<g/>
=
Termins	w5133
dem	w5134
Hell	w5135
eine	w5136
neue	w5137
derley	w5138
Ob=ligation	w5139
<g/>
=
auf	w5141
vorbesagte	w5142
Summa	w5143
ausgefertiget	w5144
<g/>
,
und	w5146
dessentwegen	w5147
das	w5148
Nöhtige	w5149
an	w5150
seine	w5151
Behörde	w5152
erlassen	w5153
werden	w5154
solle	w5155
<g/>
.
Welches	w5157
man	w5158
jedermänni=glich	w5159
<g/>
=
durch	w5161
dieses	w5162
offene	w5163
Edict	w5164
hiemit	w5165
erinneren	w5166
wollen	w5167
<g/>
.
</p>
<p id="p54">
Wir	w5169
Burger	w5170
<g/>
=
meister	w5172
<g/>
,
Amtsverwalter	w5174
und	w5175
Raht	w5176
der	w5177
Stadt	w5178
Wien	w5179
geben	w5180
hiemit	w5181
durch	w5182
dieses	w5183
of=fene	w5184
<g/>
=
Edict	w5186
jedermänniglich	w5187
zu	w5188
vernehmen	w5189
<g/>
:
was=gestalten	w5191
<g/>
=
wir	w5193
über	w5194
schriftlich	w5195
beschehenes	w5196
Anlan=gen	w5197
<g/>
=
und	w5199
gehorsamstes	w5200
Bitten	w5201
Herrn	w5202
Claudii	w5203
Je=namy	w5204
<g/>
=
<g/>
,
als	w5207
deren	w5208
Heyingerischen	w5209
Pupillen	w5210
Ger=haben	w5211
<g/>
=
<g/>
,
untern	w5214
18	w5215
<g/>
.
verflossenen	w5217
Monats	w5218
in	w5219
ein	w5220
gewöhnliches	w5221
Licitations	w5222
<g/>
=
edict	w5224
gewilliget	w5225
<g/>
,
und	w5227
verordnet	w5228
haben	w5229
<g/>
,
daß	w5231
die	w5232
Heyingerische	w5233
Buch	w5234
<g/>
=
dru=ckerey	w5236
<g/>
=
in	w5238
der	w5239
Römer	w5240
<g/>
=
strassen	w5242
<g/>
,
samt	w5244
vorfindigen	w5245
Büchern	w5246
und	w5247
Formen	w5248
offentlich	w5249
ausgefeilet	w5250
<g/>
,
und	w5252
dem	w5253
Meist	w5254
<g/>
=
bietenden	w5256
verkauffet	w5257
werden	w5258
sollen	w5259
<g/>
;
Da	w5261
nun	w5262
hierzu	w5263
der	w5264
24	w5265
<g/>
.
Monats	w5267
<g/>
=
tag	w5269
Novembris	w5270
lauffenden	w5271
1759	w5272
<g/>
.
Jahrs	w5274
zur	w5275
Tagsatzung	w5276
bestim=met	w5277
<g/>
=
worden	w5279
ist	w5280
<g/>
;
als	w5282
wird	w5283
ein	w5284
solches	w5285
hiemit	w5286
je=dermann	w5287
<g/>
=
<g/>
,
wer	w5290
etwann	w5291
gedachte	w5292
Buch	w5293
<g/>
=
druckerey	w5295
<g/>
,
samt	w5297
vorhandenen	w5298
Büchern	w5299
und	w5300
Formen	w5301
käuflichen	w5302
an	w5303
sich	w5304
zu	w5305
bringen	w5306
gesinnet	w5307
wäre	w5308
<g/>
,
mit	w5310
diesem	w5311
Edict	w5312
zu	w5313
dem	w5314
Ende	w5315
kund	w5316
und	w5317
zu	w5318
wissen	w5319
gemacht	w5320
<g/>
,
da=mit	w5322
<g/>
=
ein	w5324
sich	w5325
hervor	w5326
thuender	w5327
Kauffer	w5328
bey	w5329
obbe=meldt	w5330
<g/>
=
<g/>
=
bestimmter	w5333
Licitations	w5334
<g/>
=
tagsatzung	w5336
fruh	w5337
um	w5338
9	w5339
<g/>
.
Uhr	w5341
in	w5342
der	w5343
Heyingerischen	w5344
Behausung	w5345
in	w5346
der	w5347
Römer	w5348
<g/>
=
strassen	w5350
sich	w5351
anmelden	w5352
möge	w5353
<g/>
,
allwo	w5355
so-dann	w5356
<g/>
-
das	w5358
weiter	w5359
Behörige	w5360
tractiret	w5361
werden	w5362
solle	w5363
<g/>
.
Actum	w5365
Wien	w5366
den	w5367
23	w5368
<g/>
.
Augusti	w5370
1759	w5371
<g/>
.
</p>
<head id="hl25">
Wien	w5413
26	w5414
<g/>
.
Septemb	w5416
<g/>
.
</head>
<p id="p55">
Demnach	w5418
Jhre	w5419
Kaiserl	w5420
<g/>
.
Königl	w5422
<g/>
.
Apostol	w5424
<g/>
=
Majest	w5426
<g/>
.
unsere	w5428
allergnädigste	w5429
Erb=landes	w5430
<g/>
=
<g/>
=
fürstin	w5433
und	w5434
Frau	w5435
Frau	w5436
<g/>
,
ꝛc	w5438
<g/>
.
ꝛc	w5440
<g/>
.
den	w5442
diesjährigen	w5443
Landtag	w5444
in	w5445
