<doc id="wr_1759-08-08" attrs="word" year="1759" month="08" day="08" corpus="2">
<head id="h2_d371e4010">
Münster	w4_d371e4013
müs	w196_d371e11506
sen	w199_d371e11510
wir	w201_d371e11514
uns	w203_d371e11518
schmeicheln,	w205_d371e11521
und	w207_d371e11524
den	w209_d371e11527
Aus	w211_d371e11530
gang	w214_d371e11535
der	w216_d371e11539
Sachen	w218_d371e11542
in	w220_d371e11545
Geduld	w222_d371e11548
erwarten.	w224_d371e11551
</p>
<head id="h2_d371e11557">
Kurz=gefaßte	w4_d371e11560
Nachrichten	w6_d371e11564
von	w9_d371e11568
verschiedenen	w11_d371e11572
Orten.	w13_d371e11576
Man	w16_d371e11580
vernihmt	w18_d371e11584
</head>
<p id="p4_d371e11587">
Von	w4_d371e11590
Hamburg:	w6_d371e11594
daß,	w8_d371e11597
nachdeme	w10_d371e11600
die	w12_d371e11603
Al	w14_d371e11607
liirte	w17_d371e11611
bey	w19_d371e11615
ihrer	w21_d371e11618
unvermuteten	w23_d371e11621
Besetzung	w25_d371e11625
der	w27_d371e11628
freyen	w30_d371e11632
Reichs=stadt	w32_d371e11636
Bremen	w34_d371e11639
alle	w36_d371e11643
Stücke,	w38_d371e11646
Mörser,	w41_d371e11650
und	w43_d371e11654
andere	w45_d371e11657
Artillerie	w47_d371e11661
aldaselbst	w49_d371e11664
eingeschiffet,	w52_d371e11668
und	w54_d371e11672
all	w56_d371e11675
dieses	w58_d371e11679
Kriegs=geräte	w60_d371e11682
nacher	w63_d371e11686
Stade	w65_d371e11690
führen	w67_d371e11693
wollen,	w69_d371e11697
alsogleich	w71_d371e11700
das	w74_d371e11704
erste	w76_d371e11708
diesfällige	w78_d371e11711
Schif,	w80_d371e11715
so	w82_d371e11718
mit	w84_d371e11721
sothaner	w86_d371e11724
Ladung	w89_d371e11728
zu	w91_d371e11733
Elßfliet,	w93_d371e11736
auf	w95_d371e11739
dem	w97_d371e11742
Königl.	w99_d371e11745
Dä	w101_d371e11748
nischen	w104_d371e11753
Gebiet	w106_d371e11757
eingetroffen,	w108_d371e11760
alldaselbst	w110_d371e11763
auf	w112_d371e11766
Befehl	w115_d371e11771
Sr.	w117_d371e11775
Königl.	w119_d371e11778
Majestät	w121_d371e11781
von	w123_d371e11784
Däne	w125_d371e11788
aus	w128_d371e11792
der	w130_d371e11796
Ursach	w132_d371e11799
angehalten	w134_d371e11802
worden	w136_d371e11806
mark	w139_d371e11810
weilen	w142_d371e11815
sothanes	w144_d371e11819
Verfahren	w146_d371e11822
der	w148_d371e11826
Allir	w150_d371e11829
seye,	w153_d371e11833
ten	w156_d371e11838
wider	w158_d371e11842
eine	w160_d371e11846
freye	w162_d371e11849
Reichs=stadt	w164_d371e11852
eine	w166_d371e11855
auf	w168_d371e11858
gelegte	w171_d371e11863
Uebertrettung	w173_d371e11867
der	w175_d371e11870
Neutralität	w177_d371e11873
ist.	w179_d371e11876
</p>
<p id="p6_d371e11879">
Von	w4_d371e11882
Cüstrin:	w6_d371e11886
daß	w8_d371e11889
in	w10_d371e11892
der	w12_d371e11895
Nacht	w14_d371e11899
zwi	w16_d371e11902
schen	w19_d371e11906
den	w21_d371e11910
15.	w23_d371e11913
und	w25_d371e11917
16.	w27_d371e11920
Julii	w29_d371e11923
eine	w31_d371e11926
so	w33_d371e11929
gewal	w35_d371e11932
tige	w38_d371e11937
Feuers=brunst	w40_d371e11941
in	w42_d371e11944
dieser	w44_d371e11947
Stadt	w46_d371e11950
entstan	w48_d371e11954
den	w51_d371e11958
seye,	w53_d371e11962
daß	w55_d371e11965
dardurch	w57_d371e11968
von	w59_d371e11972
der	w61_d371e11975
kleinen	w63_d371e11978
An	w65_d371e11981
zahl	w68_d371e11985
deren	w70_d371e11990
von	w72_d371e11993
dem	w74_d371e11996
in	w76_d371e11999
vorigen	w78_d371e12002
Jahr	w80_d371e12005
be	w82_d371e12009
schehenen	w85_d371e12013
Bombardement	w87_d371e12017
dieser	w89_d371e12020
Festung	w91_d371e12023
übrig	w94_d371e12028
gebliebenen	w96_d371e12032
Gebäuden	w98_d371e12035
(welche	w100_d371e12038
eben	w102_d371e12041
</p>
<p id="p12_d371e12055">
wegen	w4_d371e12058
des	w6_d371e12062
Ruins	w8_d371e12065
deren	w10_d371e12068
anderen	w12_d371e12071
mit	w14_d371e12075
de	w16_d371e12078
nen	w19_d371e12082
Gerätschaften	w21_d371e12086
fast	w23_d371e12089
aller	w25_d371e12093
Jnwohnern	w27_d371e12096
an	w29_d371e12099
gefüllet	w32_d371e12103
waren)	w34_d371e12107
abermalen	w36_d371e12111
74.	w38_d371e12114
Häuser,	w40_d371e12117
48.	w43_d371e12121
Ställe,	w45_d371e12125
und	w47_d371e12129
3.	w49_d371e12132
grosse	w51_d371e12135
Scheueren	w53_d371e12138
in	w55_d371e12141
die	w57_d371e12144
Asche	w60_d371e12149
gelegt	w62_d371e12153
worden	w64_d371e12156
wären.	w66_d371e12159
</p>
<p id="p14_d371e12162">
Von	w4_d371e12165
Warschau:	w6_d371e12169
daß	w8_d371e12172
den	w10_d371e12175
28.	w12_d371e12178
Julii	w14_d371e12182
Nachmittags	w17_d371e12186
der	w19_d371e12190
Herr	w21_d371e12193
Major	w23_d371e12196
Hiller	w25_d371e12200
mit	w27_d371e12203
Voraus=reitung	w30_d371e12207
10.	w32_d371e12211
blasender	w34_d371e12214
Postillionen	w36_d371e12218
aldaselbst	w39_d371e12222
als	w41_d371e12226
Currier	w43_d371e12229
eingeritten	w45_d371e12232
seye,	w47_d371e12236
und	w49_d371e12239
die	w52_d371e12243
erfreuliche	w54_d371e12247
Nachricht	w56_d371e12250
gebracht	w58_d371e12254
habe,	w60_d371e12257
daß	w62_d371e12260
die	w65_d371e12264
unter	w67_d371e12268
Commando	w69_d371e12272
des	w71_d371e12275
Herrn	w73_d371e12278
Grafens	w75_d371e12281
Soltikow	w78_d371e12285
stehende	w80_d371e12290
Rußisch=Kaiserl.	w82_d371e12293
Armee	w84_d371e12296
den	w87_d371e12300
23.	w89_d371e12304
Julii	w91_d371e12308
unweit	w93_d371e12311
Pulzick	w95_d371e12314
bey	w97_d371e12317
Züllichau,	w99_d371e12320
die	w102_d371e12325
Preußische	w104_d371e12329
Armee	w106_d371e12332
(welche	w108_d371e12335
damals	w110_d371e12338
von	w112_d371e12341
dem	w115_d371e12346
General	w117_d371e12350
von	w119_d371e12353
Wedel	w121_d371e12356
commandiret	w123_d371e12359
wur	w125_d371e12363
de)	w128_d371e12367
geschlagen,	w130_d371e12371
und	w132_d371e12374
nebst	w134_d371e12377
1700.	w136_d371e12381
Mann	w138_d371e12384
auf	w141_d371e12388
dem	w143_d371e12392
Wall=platz	w145_d371e12395
gemachten	w147_d371e12399
Kriegs	w149_d371e12402
gefangenen,	w152_d371e12406
denen	w154_d371e12410
Preussen	w156_d371e12413
21.	w158_d371e12417
Stücke,	w160_d371e12420
6.	w163_d371e12424
Fahnen	w165_d371e12428
und	w167_d371e12431
3.	w169_d371e12435
Estandarten	w171_d371e12438
abgenom	w173_d371e12441
men	w176_d371e12445
habe;	w178_d371e12449
dabey	w180_d371e12453
Preußischer	w182_d371e12456
Seits	w184_d371e12459
2000.	w186_d371e12462
Mann	w189_d371e12466
todt	w191_d371e12471
geblieben,	w193_d371e12474
und	w195_d371e12477
weit	w197_d371e12480
mehrere	w199_d371e12483
bleßirt	w202_d371e12488
worden	w204_d371e12492
wären,	w206_d371e12495
welche	w208_d371e12498
letztere	w210_d371e12501
auf	w212_d371e12504
500.	w215_d371e12509
Wägen	w217_d371e12513
von	w219_d371e12516
dem	w221_d371e12519
Schlacht=feld	w223_d371e12522
hin	w225_d371e12526
weggeführet	w228_d371e12530
worden	w230_d371e12534
seyen;	w232_d371e12537
der	w234_d371e12540
Rußische	w236_d371e12544
Verlust	w239_d371e12548
belausse	w241_d371e12552
sich	w243_d371e12555
auf,	w245_d371e12558
1500.	w247_d371e12562
Todle	w249_d371e12565
und	w251_d371e12568
3000.	w254_d371e12572
Verwundete,	w256_d371e12576
und	w258_d371e12580
unter	w260_d371e12583
denen	w262_d371e12586
erste	w264_d371e12589
ren	w267_d371e12593
befinde	w269_d371e12598
sich	w271_d371e12601
der	w273_d371e12604
General	w275_d371e12607
Demikow,	w277_d371e12610
wel	w279_d371e12613
cher	w282_d371e12618
sehr	w284_d371e12622
bedauret	w286_d371e12625
werde;	w288_d371e12628
es	w290_d371e12631
wären	w292_d371e12635
auch	w294_d371e12638
bey	w297_d371e12642
dieser	w299_d371e12646
Gelegenheit	w301_d371e12649
gegen	w303_d371e12653
3000.	w305_d371e12656
Preußi	w307_d371e12659
scher	w310_d371e12663
Deserteurs	w312_d371e12667
bey	w314_d371e12671
der	w316_d371e12674
Rußischen	w318_d371e12677
Armee	w320_d371e12680
angekommen.	w323_d371e12684
</p>
<p id="p16_d371e12688">
Von	w4_d371e12691
Bromberg:	w6_d371e12695
daß	w8_d371e12698
jenes	w10_d371e12701
Preußische	w12_d371e12704
Jnfanterie=regiment	w15_d371e12709
(welches	w17_d371e12713
einen	w19_d371e12716
Theil	w21_d371e12719
des	w24_d371e12723
in	w26_d371e12728
dieser	w28_d371e12731
Stadt	w30_d371e12734
sich	w32_d371e12737
befundenen	w34_d371e12740
Rußi	w36_d371e12743
schen	w39_d371e12748
Magazins	w41_d371e12752
ruiniret	w43_d371e12755
hatte)	w45_d371e12758
bey	w47_d371e12761
seinen	w49_d371e12765
von	w52_d371e12769
dannen	w54_d371e12773
nacher	w56_d371e12776
Friedberg	w58_d371e12779
genommenen	w60_d371e12783
Abzug	w63_d371e12787
durch	w65_d371e12791
die	w67_d371e12794
Rußische	w69_d371e12797
leichte	w71_d371e12801
Trupen	w73_d371e12804
eingeholet,	w76_d371e12808
und	w78_d371e12812
theils	w80_d371e12815
niedergehauen,	w82_d371e12819
theils	w84_d371e12822
gefangen,	w87_d371e12826
annebst	w89_d371e12830
auch	w91_d371e12833
die	w93_d371e12837
Bagage,	w95_d371e12840
und	w97_d371e12843
die	w100_d371e12847
beygehabte	w102_d371e12851
Stücke	w104_d371e12855
demselben	w106_d371e12858
abgenom	w108_d371e12861
men	w111_d371e12865
worden	w113_d371e12869
seyen.	w115_d371e12873
</p>
<p id="p18_d371e12876">
Von	w4_d371e12879
Frankfort	w6_d371e12883
an	w8_d371e12886
der	w10_d371e12889
Oder:	w12_d371e12892
daß	w14_d371e12896
we	w16_d371e12899
gen	w19_d371e12903
von	w21_d371e12907
allen	w23_d371e12910
Seiten	w25_d371e12914
anruckenden	w27_d371e12917
Russen	w29_d371e12920
</p>
<p id="p20_d371e12923">
(welche	w4_d371e12926
auch	w6_d371e12930
schon	w8_d371e12933
die	w10_d371e12936
Stadt	w12_d371e12939
Crossen	w14_d371e12943
Schlesien	w17_d371e12947
besetzt	w19_d371e12951
haben	w21_d371e12954
sollen)	w23_d371e12957
aldaselbf	w25_d371e12961
alles	w28_d371e12965
in	w30_d371e12969
äusserster	w32_d371e12972
Bestürzung	w34_d371e12975
sich	w36_d371e12979
befinde	w38_d371e12982
und	w41_d371e12986
die	w43_d371e12990
vornehmste	w45_d371e12993
Kaufleute	w47_d371e12997
und	w49_d371e13000
andere	w51_d371e13003
Jnwohner	w54_d371e13007
ihre	w56_d371e13011
beste	w58_d371e13015
Habseligkeiten	w60_d371e13018
und	w62_d371e13021
sich	w64_d371e13024
selbst	w67_d371e13028
von	w69_d371e13033
dannen	w71_d371e13036
hinweg	w73_d371e13039
zu	w75_d371e13042
flüchten	w77_d371e13045
ange	w79_d371e13048
fangen	w82_d371e13053
hätten.	w84_d371e13057
</p>
<p id="p22_d371e13060">
Von	w4_d371e13063
Brest:	w6_d371e13067
daß	w8_d371e13070
die	w10_d371e13073
gegenwärtig	w12_d371e13076
von	w14_d371e13080
dasigem	w17_d371e13084
Hafen	w19_d371e13088
kreutzende	w21_d371e13091
Engländische	w23_d371e13094
Flott	w25_d371e13098
aus	w28_d371e13102
40.	w30_d371e13106
Kriegs=schiffen	w32_d371e13109
bestehe.	w34_d371e13112
</p>
<p id="p24_d371e13116">
Von	w4_d371e13119
Marseille:	w6_d371e13123
daß	w8_d371e13126
die	w10_d371e13129
Engländische	w12_d371e13132
Flotte	w15_d371e13137
sich	w17_d371e13141
abermalen	w19_d371e13144
in	w21_d371e13147
dasigen	w23_d371e13150
Gegenden	w25_d371e13154
sehen	w28_d371e13158
lasse.	w30_d371e13162
</p>
<head id="h2_d371e13174">
Wien	w4_d371e13177
den	w6_d371e13181
8.	w8_d371e13184
Augusti	w10_d371e13187
1759.	w12_d371e13190
</head>
<p id="p4_d371e13193">
Gestrigen	w4_d371e13196
Dienstag	w6_d371e13200
fruhe	w8_d371e13203
haben	w10_d371e13206
beyde	w12_d371e13209
Kaiserl.	w15_d371e13214
Majestäten	w17_d371e13218
mit	w19_d371e13221
Sr.	w21_d371e13224
Königl.	w23_d371e13227
Hoheit	w26_d371e13232
dem	w28_d371e13236
Durchleuchtigsten	w30_d371e13239
Königl.	w32_d371e13242
Erb	w34_d371e13245
prinzen	w37_d371e13250
und	w39_d371e13254
Erz=herzog	w41_d371e13257
Joseph,	w43_d371e13260
in	w45_d371e13263
Gefolg	w47_d371e13267
einiger	w50_d371e13271
Herren	w52_d371e13275
Cavalieren	w54_d371e13278
und	w56_d371e13281
Damen	w58_d371e13285
nach	w60_d371e13288
der	w63_d371e13292
Kaiserl.	w65_d371e13296
Königl.	w67_d371e13299
Stuck=zubereiterey,	w69_d371e13303
zu	w72_d371e13307
Oebergäßling	w74_d371e13311
2.	w76_d371e13314
Posten	w78_d371e13317
von	w80_d371e13321
hier	w82_d371e13324
sich	w84_d371e13327
er	w86_d371e13330
hoben,	w89_d371e13334
um	w91_d371e13339
allda	w93_d371e13342
einer	w95_d371e13345
Probe	w97_d371e13348
von	w99_d371e13351
denen	w101_d371e13354
schon	w103_d371e13358
vor	w106_d371e13362
einigen	w108_d371e13366
Wochen	w110_d371e13369
dahin	w112_d371e13372
gebrachten	w114_d371e13376
Rus	w116_d371e13379
sisch	w119_d371e13383
Kaiserl.	w121_d371e13387
Canonen	w123_d371e13390
zu	w125_d371e13394
zusehen,	w127_d371e13397
wohin	w129_d371e13400
schon	w132_d371e13404
vorhero	w134_d371e13408
(Titl.)	w136_d371e13412
Herr	w138_d371e13415
Feld=marschall	w140_d371e13418
Fürst	w143_d371e13422
Wenzel	w145_d371e13426
von	w147_d371e13430
Liechtenstein	w149_d371e13433
sich	w151_d371e13436
begeben,	w153_d371e13439
um	w156_d371e13443
die	w158_d371e13448
nöhtige	w160_d371e13451
Veranstaltungen	w162_d371e13454
zu	w164_d371e13457
machen,	w166_d371e13460
Die	w169_d371e13465
allerhöchste	w171_d371e13469
Herrschaften	w173_d371e13472
haben	w175_d371e13475
mit	w177_d371e13478
dem	w180_d371e13483
hohen	w182_d371e13487
Adel	w184_d371e13490
zu	w186_d371e13493
Mittag	w188_d371e13496
daselbst	w190_d371e13499
gespel	w192_d371e13503
fet,	w195_d371e13507
und	w197_d371e13511
seynd	w199_d371e13514
sohin	w201_d371e13517
Abends	w203_d371e13521
wieder	w205_d371e13524
von	w207_d371e13527
dannen	w210_d371e13531
zu	w212_d371e13535
Schönbrunn	w214_d371e13539
zuruck	w216_d371e13542
angelanget.	w218_d371e13545
</p>
<p id="p6_d371e13548">
Vor	w4_d371e13551
kurzer	w6_d371e13555
Zeit	w8_d371e13558
ist	w10_d371e13561
von	w12_d371e13564
Berlin	w14_d371e13568
aus	w16_d371e13571
eine	w18_d371e13574
Anzahl	w21_d371e13578
Exemplarien	w23_d371e13582
zweyer	w25_d371e13586
Brochuren	w27_d371e13589
einem	w29_d371e13592
sicheren	w32_d371e13596
Buchführern	w34_d371e13600
zu	w36_d371e13604
Regenspurg,	w38_d371e13607
um	w40_d371e13610
solche	w43_d371e13614
alda	w45_d371e13618
zu	w47_d371e13622
verbreiten,	w49_d371e13625
zugeschicket	w51_d371e13628
worden,	w53_d371e13631
wovon	w56_d371e13635
die	w58_d371e13640
eine	w60_d371e13643
unter	w62_d371e13646
der	w64_d371e13649
Aufschrift:	w66_d371e13652
Lettres	w68_d371e13655
d'un	w71_d371e13660
Ministre	w73_d371e13664
François	w75_d371e13667
refugié	w77_d371e13670
à	w79_d371e13673
Londres,	w81_d371e13677
die	w84_d371e13681
giftigste	w86_d371e13685
Verbitterungen	w88_d371e13688
zwischen	w90_d371e13691
beyden	w92_d371e13695
Religions=theilen	w95_d371e13699
anzustiften,	w97_d371e13703
und	w99_d371e13706
die	w101_d371e13709
an	w103_d371e13713
</p>
<p id="p12_d371e13727">
sehnlichste	w4_d371e13730
Catholische	w6_d371e13734
Mächten	w8_d371e13737
in	w10_d371e13740
Mißtrau	w12_d371e13743
en	w15_d371e13748
bey	w17_d371e13752
dem	w19_d371e13755
Profestantischen	w21_d371e13758
Theil	w23_d371e13761
zu	w25_d371e13765
bringen,	w27_d371e13768
in	w30_d371e13772
Absicht	w32_d371e13776
führet;	w34_d371e13779
die	w36_d371e13783
andere	w38_d371e13786
aber	w40_d371e13789
ein	w42_d371e13792
blos	w44_d371e13795
ses	w47_d371e13800
Figmientum	w49_d371e13804
eines	w51_d371e13807
an	w53_d371e13810
den	w55_d371e13813
Hrn.	w57_d371e13816
Feldmar	w59_d371e13820
schallen	w62_d371e13824
Grafen	w64_d371e13828
von	w66_d371e13831
Daun	w68_d371e13834
erlassen	w70_d371e13838
seyn	w72_d371e13841
sol	w74_d371e13844
lenden	w77_d371e13848
Päpstl.	w79_d371e13852
Breve	w81_d371e13856
dargestellet.	w83_d371e13859
Die	w85_d371e13862
Er	w87_d371e13865
findung	w90_d371e13869
des	w92_d371e13874
letzteren	w94_d371e13877
veroffenbaret	w96_d371e13880
sich	w98_d371e13883
gleich	w100_d371e13886
ersten	w103_d371e13891
Anblicks	w105_d371e13895
durch	w107_d371e13898
den	w109_d371e13901
darin	w111_d371e13904
angebrachten	w113_d371e13907
Sylum,	w116_d371e13912
welcher	w118_d371e13916
nichts	w120_d371e13919
weninger	w122_d371e13922
als	w124_d371e13925
mit	w126_d371e13929
dem	w128_d371e13932
gewöhnlichen	w131_d371e13936
Stylo	w133_d371e13940
Curiæ	w135_d371e13943
Romanæ	w137_d371e13947
über	w139_d371e13950
einstimmet,	w142_d371e13954
an	w144_d371e13958
sich	w146_d371e13961
aber	w148_d371e13965
ist	w150_d371e13968
das	w152_d371e13971
Vorgeben	w154_d371e13974
offenbar	w157_d371e13978
erdichtet,	w159_d371e13983
und	w161_d371e13986
ein	w163_d371e13989
mehrmaliges	w165_d371e13992
Berlinisches	w168_d371e13996
Hirn=gespunst,	w170_d371e14001
daß	w172_d371e14004
dem	w174_d371e14007
er	w176_d371e14010
nannten	w179_d371e14014
Herrn	w181_d371e14019
Feld=marschallen	w183_d371e14022
von	w185_d371e14025
Sr.	w187_d371e14028
Päpstlichen	w190_d371e14032
Heiligkeit	w192_d371e14037
der	w194_d371e14040
geweihte	w196_d371e14043
Degen	w198_d371e14046
überschickt	w201_d371e14050
seyn	w203_d371e14055
solle.	w205_d371e14058
</p>
<head id="h2_d371e14064">
Lista	w4_d371e14067
deren	w6_d371e14071
Verstorbenen	w8_d371e14074
zu	w10_d371e14077
Wien	w12_d371e14080
in	w15_d371e14085
und	w17_d371e14089
vor	w19_d371e14092
der	w21_d371e14095
Stadt.	w23_d371e14098
Den	w26_d371e14103
4	w28_d371e14107
Aug.	w30_d371e14110
Jn	w33_d371e14114
der	w35_d371e14118
Stadt.	w37_d371e14122
</head>
<list id="l4_d371e14125">
Dem	w5_d371e14128
Hoch	w7_d371e14132
und	w9_d371e14135
Wol=geb.	w11_d371e14138
Hrn.	w13_d371e14141
Hrn.	w15_d371e14145
Joh.	w17_d371e14148
Carl,	w19_d371e14151
des	w22_d371e14155
H.	w24_d371e14159
R.	w26_d371e14163
R.	w28_d371e14166
Grafen,	w30_d371e14169
und	w32_d371e14172
Hrn.	w34_d371e14175
v.	w36_d371e14178
Pergen,	w38_d371e14182
Herrn	w40_d371e14185
der	w43_d371e14189
Herrschaft	w45_d371e14193
Aspang,	w47_d371e14196
Jhrer	w49_d371e14200
R	w51_d371e14203
K.	w53_d371e14206
K.	w55_d371e14209
M.	w57_d371e14212
würkl.	w59_d371e14215
ammerer,	w62_d371e14220
N.	w64_d371e14224
Oe.	w66_d371e14227
Regim=raht,	w68_d371e14230
und	w70_d371e14233
Landstän	w72_d371e14237
dis.	w75_d371e14241
Ober=commissar.,	w77_d371e14245
s.	w79_d371e14248
Gräfl.	w81_d371e14251
Frle	w83_d371e14255
T.	w85_d371e14258
Francisca,	w87_d371e14261
im	w90_d371e14265
Oettingis.	w92_d371e14269
H.	w94_d371e14273
im	w96_d371e14276
Strauch=gäs,	w98_d371e14279
alt	w100_d371e14282
1.	w102_d371e14285
J.	w104_d371e14288
</list>
<head id="h2_d371e14296">
Vor	w4_d371e14299
der	w6_d371e14303
Stadt.	w8_d371e14306
</head>
<list id="l4_d371e14309">
Adm.	w5_d371e14312
Rev.	w7_d371e14316
P.	w9_d371e14319
Franc.	w11_d371e14322
de	w13_d371e14325
Piula	w15_d371e14329
Drexler,	w17_d371e14332
S.	w19_d371e14335
Ord.	w21_d371e14338
Minim.	w24_d371e14342
S.	w26_d371e14347
Franc.	w28_d371e14350
de	w30_d371e14353
Paula,	w32_d371e14356
SS.	w34_d371e14359
Theol.	w36_d371e14362
Lector	w38_d371e14366
jubilatus,	w41_d371e14370
Professus	w43_d371e14374
jubilaus,	w45_d371e14377
ac	w47_d371e14380
tertio	w49_d371e14384
Provin-	w51_d371e14387
cialis	w54_d371e14391
emeritus,	w56_d371e14395
im	w58_d371e14398
Kloster	w60_d371e14402
auf	w62_d371e14405
der	w64_d371e14408
Wied,	w66_d371e14411
71.	w68_d371e14414
J.	w70_d371e14417
Dem	w73_d371e14422
Hr.	w75_d371e14426
Jos.	w77_d371e14429
Bahl,	w79_d371e14432
Verwalt.	w81_d371e14435
im	w83_d371e14439
Arbeit	w85_d371e14442
H.,	w87_d371e14445
s.	w89_d371e14448
K	w91_d371e14451
Franz,	w94_d371e14456
alda,	w96_d371e14460
alt	w98_d371e14463
3.	w100_d371e14466
J.	w102_d371e14469
ana	w105_d371e14474
Hölzlin,	w107_d371e14478
Wittwe,	w109_d371e14481
bey	w111_d371e14484
der	w113_d371e14487
gold.	w115_d371e14490
Kugel	w117_d371e14494
am	w119_d371e14497
Neubau,	w122_d371e14501
alt	w124_d371e14505
63.	w126_d371e14508
J	w128_d371e14512
Ant.	w131_d371e14516
Jungman,	w133_d371e14520
Tag=löhn.,	w135_d371e14523
beym	w137_d371e14526
grün.	w139_d371e14530
Däch.	w141_d371e14533
in	w143_d371e14536
der	w146_d371e14540
Josephst.,	w148_d371e14544
alt	w150_d371e14548
60.	w152_d371e14551
J.	w154_d371e14554
</list>
<head id="h2_d371e14561">
Summa	w4_d371e14564
5.	w6_d371e14568
Person,	w8_d371e14571
darunter	w10_d371e14574
2.	w12_d371e14577
Kind.	w14_d371e14581
Den	w17_d371e14585
5.	w19_d371e14589
Aug.	w21_d371e14592
Jn	w24_d371e14596
der	w26_d371e14601
Stadt.	w28_d371e14604
</head>
<list id="l4_d371e14607">
Der	w5_d371e14610
Woledel=geb.	w7_d371e14614
Fr.	w9_d371e14617
Cathar.	w11_d371e14620
v.	w13_d371e14623
Kriegsau,	w15_d371e14627
Witt	w17_d371e14630
we,	w20_d371e14634
im	w22_d371e14638
Beneficiaten=H.	w24_d371e14641
bey	w26_d371e14645
der	w28_d371e14648
H.	w30_d371e14651
Dreyfaltigk.	w32_d371e14654
alt	w35_d371e14658
74.	w37_d371e14663
J.	w39_d371e14666
</list>
<list id="l6_d371e14670">
Die	w5_d371e14673
Wol=ehrw.	w7_d371e14677
Chor=frau	w9_d371e14680
Jgnatia	w11_d371e14683
v.	w13_d371e14686
Potto,	w15_d371e14690
im	w17_d371e14693
Stift	w20_d371e14697
bey	w22_d371e14701
St.	w24_d371e14704
Jacob,	w26_d371e14708
alt	w28_d371e14711
79.	w30_d371e14714
J.	w32_d371e14717
Dem	w35_d371e14721
Ant.	w37_d371e14726
Weltinger,	w39_d371e14729
Burgerl.	w41_d371e14732
Bier=leut=geb.,	w43_d371e14735
s.	w45_d371e14738
K.	w48_d371e14743
Theres.,	w50_d371e14747
beym	w52_d371e14750
gold.	w54_d371e14753
Rebhan	w56_d371e14756
im	w58_d371e14759
Schlosser=gas.	w60_d371e14763
alt	w63_d371e14767
5.	w65_d371e14771
J.	w67_d371e14774
Dem	w70_d371e14778
Joh.	w72_d371e14783
Hipsch,	w74_d371e14786
Burgerl.	w76_d371e14789
Tischl.,	w78_d371e14792
s.	w80_d371e14795
K.	w82_d371e14798
Magdal.,	w84_d371e14802
in	w87_d371e14806
s.	w89_d371e14810
H.	w91_d371e14813
in	w93_d371e14816
der	w95_d371e14820
Singerstr.,	w97_d371e14823
alt	w99_d371e14826
3.	w101_d371e14829
J.	w103_d371e14832
Dem	w106_d371e14837
Lucas	w108_d371e14841
Böhm,	w110_d371e14844
Burgerl.	w112_d371e14847
gem.	w114_d371e14850
Stadt	w116_d371e14853
Pflaste	w118_d371e14857
rer=meist.,	w121_d371e14861
s.	w123_d371e14865
W.	w125_d371e14868
Anna,	w127_d371e14871
in	w129_d371e14875
s.	w131_d371e14878
H.	w133_d371e14881
im	w135_d371e14884
Lerchf.	w137_d371e14887
32.	w139_d371e14890
J.	w141_d371e14894
</list>
<head id="h2_d371e14901">
Vor	w4_d371e14904
der	w6_d371e14908
Stadt.	w8_d371e14911
</head>
<list id="l4_d371e14914">
Dem	w5_d371e14917
Joh.	w7_d371e14921
Mayr,	w9_d371e14924
Tag=löhn.,	w11_d371e14927
s.	w13_d371e14930
W.	w15_d371e14934
Anna,	w17_d371e14937
in	w19_d371e14940
dem	w21_d371e14943
Fuhr=manis.	w24_d371e14947
H.	w26_d371e14952
am	w28_d371e14955
Thury,	w30_d371e14958
alt	w32_d371e14961
28.	w34_d371e14964
J.	w36_d371e14967
</list>
<head id="h2_d371e14974">
Summa	w4_d371e14977
6.	w6_d371e14981
Person.	w8_d371e14984
darunter	w10_d371e14987
2.	w12_d371e14990
Kind.	w14_d371e14994
Jn	w17_d371e14998
der	w19_d371e15002
Stadt.	w21_d371e15005
Den	w24_d371e15009
6.	w26_d371e15014
Aug.	w28_d371e15017
</head>
<list id="l4_d371e15020">
Felician.	w5_d371e15023
Elheisser,	w7_d371e15027
Ord.	w9_d371e15030
St.	w11_d371e15033
Der	w14_d371e15038
Wol=ehrw.	w16_d371e15042
P.	w18_d371e15045
Franc.,	w21_d371e15049
im	w23_d371e15053
Kloster	w25_d371e15057
bey	w27_d371e15060
St.	w29_d371e15063
Hieron.,	w31_d371e15066
alt	w33_d371e15069
40.	w35_d371e15072
J.	w37_d371e15076
Elias	w40_d371e15080
Hohenreiter,	w42_d371e15084
Burgerl.	w44_d371e15087
Mehl=mes.,	w46_d371e15090
im	w48_d371e15094
Kä	w50_d371e15097
tzis.	w53_d371e15101
H.	w55_d371e15105
am	w57_d371e15108
alt.	w59_d371e15112
Fleischem,,	w61_d371e15115
alt	w63_d371e15118
76.	w65_d371e15121
Dem	w68_d371e15125
Franz	w70_d371e15130
Kick,	w72_d371e15133
Burgerl	w74_d371e15136
Gold=arbeit,	w76_d371e15139
s.	w78_d371e15142
K.	w80_d371e15145
Maria	w82_d371e15149
Anna,	w85_d371e15153
beym	w87_d371e15157
umgekehrt.	w89_d371e15160
Stief.	w91_d371e15163
im	w93_d371e15167
Juden=gs.	w95_d371e15170
1.	w97_d371e15173
J.	w99_d371e15176
Theres.	w102_d371e15180
Münichin,	w104_d371e15185
Wittwe,	w106_d371e15188
