<doc id="wr_1759-09-01" attrs="word" year="1759" month="09" day="01" corpus="2">
<head id="h2_d378e3575">
Düsseldorf	w1_d378e3579
ausgeloffen,	w1_d378e10857
würklich	w3_d378e10860
auf	w5_d378e10863
der	w7_d378e10866
Höhe	w9_d378e10869
von	w11_d378e10872
Nord=foreland	w1_d378e10877
entdeckt	w3_d378e10880
worden,	w5_d378e10883
wie	w7_d378e10886
er	w9_d378e10889
sei	w11_d378e10892
nen	w1_d378e10897
Lauf	w3_d378e10900
Nordwärts	w5_d378e10903
richte.	w7_d378e10906
Der	w9_d378e10909
Chef	w11_d378e10912
d'Escadre	w1_d378e10917
Boys	w3_d378e10920
hat	w5_d378e10923
daher	w7_d378e10926
Befehl	w9_d378e10929
erhalten,	w11_d378e10932
mit	w1_d378e10938
4.	w3_d378e10941
Kriegs=schiffen	w5_d378e10944
von	w7_d378e10947
denen	w9_d378e10950
Dünen	w11_d378e10953
abzuseegeln,	w1_d378e10958
und	w3_d378e10961
ihn	w5_d378e10964
zu	w7_d378e10967
verfolgen.	w9_d378e10970
</p>
<head id="h2_d378e10976">
Constantinopel	w1_d378e10980
15.	w3_d378e10983
Julii	w5_d378e10986
</head>
<p id="p4_d378e10989">
Der	w1_d378e10993
Gros=sultan	w3_d378e10996
ist	w5_d378e10999
den	w7_d378e11002
1sten	w9_d378e11005
dieses	w11_d378e11008
nach	w1_d378e11013
Besiktasch	w3_d378e11016
einem	w5_d378e11019
Lust=schloß	w7_d378e11022
1.	w9_d378e11025
Meile	w11_d378e11028
von	w1_d378e11033
Constantinopel	w3_d378e11036
abgereiset.	w5_d378e11039
Die	w7_d378e11042
junge	w9_d378e11045
Prinzeßin,	w1_d378e11051
seine	w3_d378e11054
Tochter,	w5_d378e11057
welche	w7_d378e11060
nur	w9_d378e11063
weni	w11_d378e11066
ge	w1_d378e11071
Monate	w3_d378e11074
alt	w5_d378e11077
ist,	w7_d378e11080
hat	w9_d378e11083
er	w11_d378e11086
mit	w13_d378e11090
dem	w15_d378e11093
ehemali	w17_d378e11096
gen	w1_d378e11101
Selictar	w3_d378e11104
Aga,	w5_d378e11107
nunmehrigen	w7_d378e11110
Bassa	w9_d378e11113
von	w11_d378e11116
Morea	w1_d378e11121
verlobet.	w3_d378e11124
</p>
<head id="h2_d378e11130">
Kurz=gefaßte	w1_d378e11134
Nachrichten	w3_d378e11137
von	w1_d378e11142
verschiedenen	w3_d378e11145
Orten.	w5_d378e11148
Man	w1_d378e11153
vernihmt	w3_d378e11156
</head>
<p id="p4_d378e11159">
Von	w1_d378e11163
Ludwigsburg:	w3_d378e11166
Daß	w5_d378e11169
Se.	w7_d378e11172
Durch	w9_d378e11175
leucht	w1_d378e11180
der	w3_d378e11183
Herzog	w5_d378e11186
von	w7_d378e11189
Würtenberg	w9_d378e11192
den	w11_d378e11195
al	w13_d378e11199
dasig	w1_d378e11204
Landschaftlichen	w3_d378e11207
Consulenten	w5_d378e11210
Moser,	w7_d378e11213
aus	w1_d378e11219
triftigen	w3_d378e11222
Ursachen	w5_d378e11225
auf	w7_d378e11228
die	w9_d378e11231
Festung	w11_d378e11234
Ho	w13_d378e11238
hentwiel	w1_d378e11243
habe	w3_d378e11246
in	w5_d378e11249
Verwahrung	w7_d378e11252
bringen	w9_d378e11255
lassen.	w11_d378e11258
</p>
<p id="p6_d378e11261">
Von	w1_d378e11265
Warschau:	w3_d378e11268
Daß	w5_d378e11271
allda	w7_d378e11274
den	w9_d378e11277
18.	w11_d378e11280
Augusti	w1_d378e11285
der	w3_d378e11288
Artillerie=leutenant	w5_d378e11291
Herr	w7_d378e11294
von	w9_d378e11297
Schlegel	w1_d378e11302
mit	w3_d378e11305
10.	w5_d378e11308
blasenden	w7_d378e11311
Postillionen	w9_d378e11314
als	w11_d378e11317
Currier	w1_d378e11323
von	w3_d378e11326
der	w5_d378e11329
Rußisch=Kaiserl.	w7_d378e11332
Armee	w9_d378e11335
eingeritten,	w1_d378e11340
und	w3_d378e11343
die	w5_d378e11346
Nachricht	w7_d378e11349
von	w9_d378e11352
der	w11_d378e11355
den	w13_d378e11359
12.	w1_d378e11364
Dito	w3_d378e11367
bey	w5_d378e11370
Kunersdorf	w7_d378e11373
unweit	w9_d378e11376
Frankfort	w11_d378e11379
an	w1_d378e11384
der	w3_d378e11387
Oder	w5_d378e11390
von	w7_d378e11393
denen	w9_d378e11396
Rußischen	w11_d378e11399
Trupen,	w13_d378e11403
und	w1_d378e11409
dem	w3_d378e11412
Loudonischen	w5_d378e11415
Corps	w7_d378e11418
wider	w9_d378e11421
die	w11_d378e11424
Preus	w13_d378e11428
sen	w1_d378e11433
erfochtenen	w3_d378e11436
glorreichen	w5_d378e11439
Victory	w7_d378e11442
über	w9_d378e11445
bracht	w1_d378e11450
habe.	w3_d378e11453
</p>
<p id="p12_d378e11467">
Von	w1_d378e11471
Londen:	w3_d378e11474
Daß	w5_d378e11477
der	w7_d378e11480
Herr	w9_d378e11483
van	w11_d378e11486
der	w13_d378e11490
Poll,	w1_d378e11495
einer	w3_d378e11498
deren	w5_d378e11501
3.	w7_d378e11504
ausserordentlichen	w9_d378e11507
De	w11_d378e11510
putirten	w1_d378e11515
deren	w3_d378e11518
Herren	w5_d378e11521
General=staaten	w7_d378e11524
in	w9_d378e11527
der	w1_d378e11533
ersten	w3_d378e11536
Woche	w5_d378e11539
des	w7_d378e11542
August=monats	w9_d378e11545
von	w11_d378e11548
dannen	w1_d378e11553
hinweg,	w3_d378e11556
und	w5_d378e11559
nacher	w7_d378e11562
Holland	w9_d378e11565
zuruck	w11_d378e11568
gegangen	w1_d378e11573
seye.	w3_d378e11576
</p>
<p id="p14_d378e11579">
Von	w1_d378e11583
Turin:	w3_d378e11586
Daß	w5_d378e11589
der	w7_d378e11592
von	w9_d378e11595
ihrer	w11_d378e11598
Königl.	w13_d378e11602
Hoheit	w1_d378e11607
der	w3_d378e11610
Herzogin	w5_d378e11613
von	w7_d378e11616
Savoyen	w9_d378e11619
den	w11_d378e11622
24.	w13_d378e11626
vergangenen	w1_d378e11631
Monats	w3_d378e11634
Julii	w1_d378e11640
zur	w3_d378e11643
Welt	w5_d378e11646
gebor	w7_d378e11649
ne	w1_d378e11654
Prinz	w3_d378e11657
(welcher	w5_d378e11660
den	w7_d378e11663
Titul	w9_d378e11666
eines	w11_d378e11669
Herzogs	w13_d378e11673
von	w1_d378e11678
Aosta	w3_d378e11681
führen	w5_d378e11684
wird)	w7_d378e11687
in	w9_d378e11690
der	w11_d378e11693
Heil.	w13_d378e11697
Tauffe	w15_d378e11700
die	w1_d378e11705
Namen	w3_d378e11708
Victor,	w5_d378e11711
Emanuel,	w7_d378e11714
Cactan,	w9_d378e11717
Johann	w1_d378e11723
Nepomuck,	w3_d378e11726
und	w5_d378e11729
Maria	w7_d378e11732
empfan	w9_d378e11735
gen	w1_d378e11740
habe.	w3_d378e11743
</p>
<p id="p16_d378e11746">
Von	w1_d378e11750
Toulon:	w3_d378e11753
Daß	w5_d378e11756
das	w7_d378e11759
allda	w9_d378e11762
ausge	w11_d378e11765
rüstete	w1_d378e11770
Französische	w3_d378e11773
Geschwader	w5_d378e11776
aus	w7_d378e11779
13.	w9_d378e11782
Schiffen	w1_d378e11787
von	w3_d378e11790
der	w5_d378e11793
Linie,	w7_d378e11796
und	w9_d378e11799
4.	w11_d378e11802
Fregatten	w13_d378e11806
nebst	w1_d378e11812
verschiedenen	w3_d378e11815
anderen	w5_d378e11818
Fahr=zeugen	w7_d378e11821
den	w1_d378e11826
5.	w3_d378e11829
Augusti	w5_d378e11832
allwürklich	w7_d378e11835
um	w9_d378e11838
7.	w11_d378e11841
Uhr	w13_d378e11845
A	w15_d378e11848
bends	w1_d378e11853
ausgeloffen,	w3_d378e11856
und	w5_d378e11859
West=wärts	w7_d378e11862
gesee	w9_d378e11865
gelt	w1_d378e11870
seye.	w3_d378e11873
</p>
<p id="p18_d378e11876">
Aus	w1_d378e11880
Mietan:	w3_d378e11883
Daß	w5_d378e11886
des	w7_d378e11889
Hekzogs	w9_d378e11892
Carl	w11_d378e11895
von	w1_d378e11900
Curland	w3_d378e11903
Durchl.	w5_d378e11906
daselbst	w7_d378e11909
von	w9_d378e11912
Peters	w11_d378e11915
burg	w1_d378e11920
wieder	w3_d378e11923
eingetroffen	w5_d378e11926
seye,	w7_d378e11929
und	w9_d378e11932
daß	w11_d378e11935
den	w1_d378e11941
16ten	w3_d378e11944
Augusti	w5_d378e11947
ein	w7_d378e11950
Land=tag	w9_d378e11953
deren	w11_d378e11956
Cur=ländischen	w1_d378e11961
Ständen	w3_d378e11964
eröfnet	w5_d378e11967
worden	w7_d378e11970
seyn	w1_d378e11975
solle.	w3_d378e11978
</p>
<p id="p20_d378e11981">
Von	w1_d378e11985
Magdeburg:	w3_d378e11988
Daß	w5_d378e11991
die	w7_d378e11994
Königin	w9_d378e11997
von	w1_d378e12002
Preussen,	w3_d378e12005
und	w5_d378e12008
die	w7_d378e12011
Königl.	w9_d378e12014
Famille	w11_d378e12017
von	w1_d378e12022
Berlin	w3_d378e12025
allda	w5_d378e12028
angelangt	w7_d378e12031
seye.	w9_d378e12034
</p>
<p id="p22_d378e12037">
Der	w1_d378e12041
Tod=fall	w3_d378e12044
des	w5_d378e12047
Königs	w7_d378e12050
von	w9_d378e12053
Spanien	w11_d378e12056
wird	w1_d378e12061
bestättiget,	w3_d378e12064
und	w5_d378e12067
hat	w7_d378e12070
man	w9_d378e12073
bereits	w11_d378e12076
die	w13_d378e12080
verläßliche	w1_d378e12085
Nachricht,	w3_d378e12088
daß	w5_d378e12091
solcher	w7_d378e12094
den	w9_d378e12097
12.	w11_d378e12100
Augusti	w1_d378e12106
zu	w3_d378e12109
Villa=viciosa	w5_d378e12112
erfolgt	w7_d378e12115
seye.	w9_d378e12118
</p>
<head id="h2_d378e12132">
Wien	w1_d378e12136
den	w3_d378e12139
1.	w5_d378e12142
Septembris	w7_d378e12145
1759.	w9_d378e12148
</head>
<p id="p4_d378e12151">
Seit	w1_d378e12155
vergangenen	w3_d378e12158
Post=tag	w5_d378e12161
haben	w7_d378e12164
Jhre	w9_d378e12167
Kaiserl.	w1_d378e12172
Majestäten	w3_d378e12175
mit	w5_d378e12178
denen	w7_d378e12181
wich	w9_d378e12184
tigsten	w1_d378e12189
Staats	w3_d378e12192
und	w5_d378e12195
Kriegsangelegenhei	w7_d378e12198
ten	w1_d378e12204
fort=während	w3_d378e12207
sich	w5_d378e12210
beschäftiget,	w7_d378e12213
und	w9_d378e12216
be	w11_d378e12219
finden	w1_d378e12224
sich	w3_d378e12227
Allerhöchst=dieselbe	w5_d378e12230
in	w7_d378e12233
dem	w9_d378e12236
Lust	w11_d378e12239
schloß	w1_d378e12244
Schönbrun	w3_d378e12247
bey	w5_d378e12250
erwünschtbeglück	w7_d378e12253
tem	w1_d378e12258
Wolstand.	w3_d378e12261
</p>
<p id="p6_d378e12264">
Seit	w1_d378e12268
der	w3_d378e12271
von	w5_d378e12274
beschehener	w7_d378e12277
Besetzung	w9_d378e12280
der	w11_d378e12283
sogenanten	w1_d378e12288
Neustadt	w3_d378e12291
bey	w5_d378e12294
Dreßden	w7_d378e12297
durch	w9_d378e12300
die	w11_d378e12303
combinirte	w1_d378e12308
Reichs=armee	w3_d378e12311
alhier	w5_d378e12314
eingelang	w7_d378e12317
ten	w1_d378e12323
Nachricht	w3_d378e12326
hat	w5_d378e12329
man	w7_d378e12332
ferners	w9_d378e12335
vernommen,	w11_d378e12338
daß	w1_d378e12343
allda	w3_d378e12346
ein	w5_d378e12349
beträchtliches	w7_d378e12352
Magazin,	w9_d378e12355
nebst	w11_d378e12358
vielem	w1_d378e12363
Gewehr,	w3_d378e12366
und	w5_d378e12369
Munition,	w7_d378e12372
so	w9_d378e12375
die	w11_d378e12378
Preus	w13_d378e12382
sen	w1_d378e12387
daselbst	w3_d378e12390
verlassen	w5_d378e12393
haben	w7_d378e12396
vorgefunden	w1_d378e12402
worden	w1_d378e12407
seye,	w3_d378e12410
wovon	w5_d378e12413
mit	w7_d378e12416
nächsten	w9_d378e12419
das	w11_d378e12422
meh	w13_d378e12426
rere	w1_d378e12431
kund	w3_d378e12434
gemacht	w5_d378e12437
werden	w7_d378e12440
wird.	w9_d378e12443
</p>
<list id="l8_d378e12446">
</list>
<head id="h2_d378e12454">
AVERTISSEMENT.	w1_d378e12458
</head>
<p id="p4_d378e12461">
Von	w1_d378e12465
Seiten	w3_d378e12468
des	w5_d378e12471
alhiesig=Kaiserl.	w7_d378e12474
Königl.	w9_d378e12477
privilegirten	w1_d378e12482
Zeitungs=verlags	w3_d378e12485
werden	w5_d378e12488
alle	w7_d378e12491
diejenige,	w1_d378e12496
welche	w3_d378e12499
etwas	w5_d378e12502
durch	w7_d378e12505
das	w9_d378e12508
Wieneri	w11_d378e12511
sche	w1_d378e12517
Diarium	w3_d378e12520
zu	w5_d378e12523
publiciren	w7_d378e12526
haben,	w9_d378e12529
hiermit	w11_d378e12532
wiederholter=massen	w1_d378e12537
geziemend	w3_d378e12540
ersuchet,	w5_d378e12543
die	w7_d378e12546
diesfällige	w1_d378e12551
Aufsätze	w3_d378e12554
(um	w5_d378e12557
damit	w7_d378e12560
andurch	w9_d378e12563
denen	w11_d378e12566
bey	w1_d378e12571
jetzig=obwaltenden	w3_d378e12574
Kriegs=zeiten	w5_d378e12577
von	w7_d378e12580
allen	w1_d378e12586
Orten	w3_d378e12589
überhäuft	w5_d378e12592
einlauffenden	w7_d378e12595
wichti	w9_d378e12598
gen	w1_d378e12603
Nachrichten	w3_d378e12606
der	w5_d378e12609
Raum	w7_d378e12612
nicht	w9_d378e12615
benommen	w11_d378e12618
werde)	w1_d378e12623
in	w3_d378e12626
möglichster	w5_d378e12629
Kürze	w7_d378e12632
abzufassen,	w9_d378e12635
welchen	w1_d378e12640
Falls	w3_d378e12643
man	w5_d378e12646
niemalen	w7_d378e12649
entgegen	w9_d378e12652
seyn	w11_d378e12655
wird,	w1_d378e12661
dergleichen	w3_d378e12664
kürze	w5_d378e12667
Articuln	w7_d378e12670
von	w9_d378e12673
jeder	w11_d378e12676
männiglich	w1_d378e12681
anzunehmen,	w3_d378e12684
und	w5_d378e12687
dem	w7_d378e12690
Wieneri	w9_d378e12693
schen	w1_d378e12698
Diario	w3_d378e12701
gegen	w5_d378e12704
Gebühr	w7_d378e12707
wie	w9_d378e12710
vorhin	w11_d378e12713
zu	w1_d378e12718
finseriren;	w3_d378e12721
man	w5_d378e12724
versiehet	w7_d378e12727
sich	w9_d378e12730
aber,	w11_d378e12733
daß	w1_d378e12739
niemand	w3_d378e12742
verlangen	w5_d378e12745
werde,	w7_d378e12748
Listen	w9_d378e12751
von	w11_d378e12754
mehreren	w1_d378e12759
Büchern,	w3_d378e12762
und	w5_d378e12765
dergleichen	w7_d378e12768
die	w9_d378e12771
len	w1_d378e12776
Platz	w3_d378e12779
erforderenden	w5_d378e12782
Particularpublica	w7_d378e12785
tionen,	w1_d378e12790
dem	w3_d378e12793
Diario	w5_d378e12796
einverleiben,	w7_d378e12799
noch	w9_d378e12802
went	w11_d378e12805
ger	w1_d378e12811
aldarinnen	w3_d378e12814
eine	w5_d378e12817
Sache	w7_d378e12820
öfters,	w9_d378e12823
als	w11_d378e12826
hoch	w13_d378e12830
stens	w1_d378e12835
2.	w3_d378e12838
mal,	w5_d378e12841
wiederholen	w7_d378e12844
zu	w9_d378e12847
lassen,	w11_d378e12850
weilen	w13_d378e12854
hierzu	w1_d378e12859
das	w3_d378e12862
Diarium	w5_d378e12865
nicht,	w7_d378e12868
wol	w9_d378e12871
aber	w11_d378e12874
das	w13_d378e12878
bey	w1_d378e12883
eben	w3_d378e12886
diesem	w5_d378e12889
Zeitungs=verlag	w7_d378e12892
gleich	w9_d378e12895
falls	w1_d378e12901
Post=täglich	w3_d378e12904
in	w5_d378e12907
Druck	w7_d378e12910
heraus	w9_d378e12913
kommende	w11_d378e12916
Frag	w1_d378e12921
und	w3_d378e12924
Kundschafts=blat	w5_d378e12927
gewiedmet	w7_d378e12930
ist,	w9_d378e12933
mit	w1_d378e12938
welchem	w3_d378e12941
hierinfals	w5_d378e12944
jedermänniglich	w7_d378e12947
nach	w9_d378e12950
Verlangen	w1_d378e12955
bedienet	w3_d378e12958
werden	w5_d378e12961
wird;	w7_d378e12964
wie	w9_d378e12967
man	w11_d378e12970
dann	w1_d378e12976
endlich	w3_d378e12979
in	w5_d378e12982
jenem	w7_d378e12985
Fall,	w9_d378e12988
da	w11_d378e12991
von	w13_d378e12995
ein=oder	w15_d378e12998
anderer	w1_d378e13003
Fabric,	w3_d378e13006
oder	w5_d378e13009
sonstigen	w7_d378e13012
Handlung	w9_d378e13015
grössere	w1_d378e13020
Waaren=specificationen,	w3_d378e13023
oder	w5_d378e13026
auch	w7_d378e13029
Bücher=listen	w1_d378e13034
dannoch	w3_d378e13037
durch	w5_d378e13040
das	w7_d378e13043
Diarum	w9_d378e13046
pu	w1_d378e13052
</p>
<p id="p8_d378e13057">
publicirt	w1_d378e13061
werden	w3_d378e13064
wolten,	w5_d378e13067
zur	w7_d378e13070
Beförderung	w9_d378e13073
des	w1_d378e13078
Commercii,	w3_d378e13081
wol	w5_d378e13084
auch	w7_d378e13087
diesfällige	w9_d378e13090
ganze	w11_d378e13093
Blätter	w1_d378e13098
(welche	w3_d378e13101
derley	w5_d378e13104
Partheyen	w7_d378e13107
aber	w9_d378e13110
be	w11_d378e13113
sonders	w1_d378e13119
drucken	w3_d378e13122
zu	w5_d378e13125
lassen	w7_d378e13128
nicht	w9_d378e13131
entstehen	w11_d378e13134
wer	w13_d378e13138
den)	w1_d378e13143
dem	w3_d378e13146
Diario	w5_d378e13149
auf	w7_d378e13152
allmaliges	w9_d378e13155
Begehren,	w11_d378e13158
gegen	w1_d378e13163
geringer	w3_d378e13166
Discretion,	w5_d378e13169
beyzulegen	w7_d378e13172
in	w9_d378e13175
allweeg	w1_d378e13180
urbietig	w3_d378e13183
ist.	w5_d378e13186
</p>
<head id="h2_d378e13193">
Lista	w1_d378e13197
deren	w3_d378e13200
Verstorbenen	w5_d378e13203
zu	w7_d378e13206
Wien	w9_d378e13209
in	w1_d378e13214
und	w3_d378e13217
vor	w5_d378e13220
der	w7_d378e13223
Stadt.	w9_d378e13226
Den	w1_d378e13231
27.	w3_d378e13234
Aug.	w5_d378e13237
Jn	w1_d378e13243
der	w3_d378e13246
Stadt.	w5_d378e13249
</head>
<list id="l4_d378e13252">
Den	w1_d378e13256
Simon	w3_d378e13259
Freund,	w5_d378e13262
Burgerl.	w7_d378e13265
Bier=leut=geb.,	w9_d378e13268
s.	w11_d378e13271
K.	w1_d378e13276
Anna,	w3_d378e13279
im	w5_d378e13282
Felitschetis.	w7_d378e13285
H.	w9_d378e13288
im	w11_d378e13291
tief.	w13_d378e13295
Grab.	w15_d378e13298
2.	w17_d378e13301
J.	w19_d378e13304
Gottfr.	w1_d378e13309
Freudenreich,	w3_d378e13312
Burgerl.	w5_d378e13315
Schuh=mach,	w7_d378e13318
beym	w9_d378e13321
grün.	w1_d378e13327
Baum	w3_d378e13330
in	w5_d378e13333
der	w7_d378e13336
Wallerstr.,	w9_d378e13339
alt	w11_d378e13342
80.	w13_d378e13346
J.	w15_d378e13349
</list>
<head id="h2_d378e13356">
Vor	w1_d378e13360
der	w3_d378e13363
Stadt.	w5_d378e13366
</head>
<list id="l4_d378e13369">
H.	w1_d378e13373
Cathar.	w3_d378e13376
Lieberin,	w5_d378e13379
Wittwe,	w7_d378e13382
in	w9_d378e13385
ihrem	w11_d378e13388
H.	w13_d378e13392
bey	w15_d378e13395
Maria=hülf,	w1_d378e13400
alt	w3_d378e13403
55.	w5_d378e13406
J.	w7_d378e13409
Den	w1_d378e13414
Jos.	w3_d378e13417
Vogl,	w5_d378e13420
Burgerl.	w7_d378e13423
Tischl.,	w9_d378e13426
s.	w11_d378e13429
K.	w13_d378e13433
Cathar.,	w15_d378e13436
in	w17_d378e13439
s.	w1_d378e13445
H.	w3_d378e13448
auf	w5_d378e13451
der	w7_d378e13454
Landstr.,	w9_d378e13457
alt	w11_d378e13460
2.	w13_d378e13464
J.	w15_d378e13467
Dem	w1_d378e13472
Ludw.	w3_d378e13475
Schulz,	w5_d378e13478
Burgerl.	w7_d378e13481
Schnür=mach,	w9_d378e13484
s.	w11_d378e13487
K.	w13_d378e13491
Susan.,	w1_d378e13496
in	w3_d378e13499
der	w5_d378e13502
Schmidten	w7_d378e13505
in	w9_d378e13508
der	w11_d378e13511
Josephst.,	w13_d378e13515
4.	w15_d378e13518
J.	w17_d378e13521
Dem	w1_d378e13526
Leop.	w3_d378e13529
Wieninger,	w5_d378e13532
Burgerl.	w7_d378e13535
Tischl,	w9_d378e13538
s.	w11_d378e13541
K.	w13_d378e13545
Mich.	w15_d378e13548
beyn	w1_d378e13554
3.	w3_d378e13557
Mohr.	w5_d378e13560
in	w7_d378e13563
der	w9_d378e13566
Rossau,	w11_d378e13569
alt	w13_d378e13573
8.	w15_d378e13576
J.	w17_d378e13579
Dem	w1_d378e13584
Joh.	w3_d378e13587
Bock,	w5_d378e13590
Burgerl.	w7_d378e13593
Heu=bind.,	w9_d378e13596
s.	w11_d378e13599
K.	w13_d378e13603
Pet.,	w15_d378e13606
beym	w1_d378e13611
weis.	w3_d378e13614
Ochs.	w5_d378e13617
an	w7_d378e13620
der	w9_d378e13623
Wien,	w11_d378e13626
alt	w13_d378e13630
7.	w15_d378e13633
J.	w17_d378e13636
Geyeg	w1_d378e13641
Goldbacher,	w3_d378e13644
Wäsch,	w5_d378e13647
beym	w7_d378e13650
gold.	w9_d378e13653
Lämmel	w11_d378e13656
in	w13_d378e13660
der	w1_d378e13666
Alster=gas,	w3_d378e13669
alt	w5_d378e13672
59.	w7_d378e13675
J.	w9_d378e13678
Dem	w1_d378e13683
Jacob	w3_d378e13686
Hancksperger,	w5_d378e13689
Tag=löhn.,	w7_d378e13692
s.	w9_d378e13695
K.	w11_d378e13698
Joh.,	w13_d378e13702
beym	w1_d378e13707
Joh.	w3_d378e13710
obern	w5_d378e13713
Neustift,	w7_d378e13716
alt	w9_d378e13719
10.	w11_d378e13722
J.	w13_d378e13726
</list>
<head id="h2_d378e13733">
Summa	w1_d378e13737
9.	w3_d378e13740
Person.	w5_d378e13743
darunter	w7_d378e13746
6.	w9_d378e13749
Kind.	w11_d378e13752
Den	w1_d378e13757
28.	w3_d378e13760
Aug.	w5_d378e13763
Jn	w1_d378e13768
der	w3_d378e13771
Stadt.	w5_d378e13774
</head>
<list id="l4_d378e13777">
Dem	w1_d378e13781
Andre	w3_d378e13784
Graf,	w5_d378e13787
Burgerl.	w7_d378e13790
Schneid.,	w9_d378e13793
s.	w11_d378e13796
K.	w13_d378e13800
Mag	w15_d378e13803
val,	w1_d378e13808
im	w3_d378e13811
Dattenriederis.	w5_d378e13814
H.	w7_d378e13817
am	w9_d378e13820
hohen	w11_d378e13823
Markt,	w13_d378e13827
alt	w1_d378e13832
2	w3_d378e13835
J.	w5_d378e13838
Feied.	w1_d378e13844
Knapp,	w3_d378e13847
Zimmer=meist.	w5_d378e13850
im	w7_d378e13853
K.	w9_d378e13856
Zeug=H.	w11_d378e13859
alda,	w13_d378e13863
Calt	w1_d378e13868
75.	w3_d378e13871
J.	w5_d378e13874
</list>
<head id="h2_d378e13881">
Vor	w1_d378e13885
der	w3_d378e13888
Stadt.	w5_d378e13891
</head>
<list id="l4_d378e13894">
H.	w1_d378e13898
Math.	w3_d378e13901
Buschauer,	w5_d378e13904
K.	w7_d378e13907
K	w9_d378e13910
Jubellen=besch.,	w11_d378e13913
und	w13_d378e13917
Shätz=meist,	w1_d378e13922
beym	w3_d378e13925
blech.	w5_d378e13928
Thurn	w7_d378e13931
in	w9_d378e13934
der	w11_d378e13937
Leopold	w13_d378e13941
stadt,	w1_d378e13946
alt	w3_d378e13949
74.	w5_d378e13952
J.	w7_d378e13955
Dem	w1_d378e13961
Hrn.	w3_d378e13964
Joh.	w5_d378e13967
Duvon,	w7_d378e13970
Herrschaftl.	w9_d378e13973
Kammer=dien.	w11_d378e13976
s.	w1_d378e13981
Fr.	w3_d378e13984
Cathar.,	w5_d378e13987
in	w7_d378e13990
s.	w9_d378e13993
H.	w11_d378e13996
auf	w13_d378e14000
der	w15_d378e14003
Wied.	w17_d378e14006
alt	w19_d378e14009
44.	w21_d378e14012
J.	w23_d378e14015
Dem	w1_d378e14020
Ant.	w3_d378e14023
Haller,	w5_d378e14026
Tischl.,	w7_d378e14029
s.	w9_d378e14032
W.	w11_d378e14035
Sophia,	w13_d378e14039
beym	w15_d378e14042
gr.	w17_d378e14045
Thor	w1_d378e14050
im	w3_d378e14053
Lerchenf,	w5_d378e14056
alt	w7_d378e14059
56.	w9_d378e14062
J.	w11_d378e14065
Dem	w1_d378e14071
Carl	w3_d378e14074
Bleibdrum,	w5_d378e14077
Lauf.,	w7_d378e14080
s.	w9_d378e14083
T.	w11_d378e14086
Charlota,	w13_d378e14090
im	w15_d378e14093
Trantsohnis.	w1_d378e14098
H.	w3_d378e14101
vorm	w5_d378e14104
Burg=thor,	w7_d378e14107
alt	w9_d378e14110
14.	w11_d378e14113
J.	w13_d378e14117
Sophia	w1_d378e14122
Jrerin,	w3_d378e14125
led.	w5_d378e14128
M.,	w7_d378e14131
bey	w9_d378e14134
der	w11_d378e14137
gold	w13_d378e14141
Eul	w15_d378e14144
bey	w17_d378e14147
St.	w19_d378e14150
Ulrich,	w1_d378e14155
alt	w3_d378e14158
35.	w5_d378e14161
J.	w7_d378e14164
Barb	w1_d378e14170
Ellebäckin,	w3_d378e14173
Wittwe,	w5_d378e14176
beym	w7_d378e14179
gold.	w9_d378e14182
Schif	w11_d378e14185
bey	w13_d378e14189
Maria=hülf,	w1_d378e14194
alt	w3_d378e14197
54.	w5_d378e14200
J.	w7_d378e14203
</list>
<list id="l6_d378e14207">
Dem	w1_d378e14211
Math.	w3_d378e14214
Lettner,	w5_d378e14217
Bier=abtrag.,	w7_d378e14220
s.	w9_d378e14223
K.	w11_d378e14226
Jos.,	w13_d378e14230
im	w15_d378e14233
Barmherz.	w1_d378e14238
Brüder=H.	w3_d378e14241
auf	w5_d378e14244
der	w7_d378e14247
Landst.,	w9_d378e14250
4.	w11_d378e14253
J.	w13_d378e14257
</list>
<head id="h2_d378e14264">
Summa	w1_d378e14268
9.	w3_d378e14271
Person,	w5_d378e14274
darunter	w7_d378e14277
2.	w9_d378e14280
Kind.	w11_d378e14283
Den	w1_d378e14288
29.	w3_d378e14291
Aug.	w5_d378e14294
Jn	w7_d378e14297
der	w9_d378e14300
Stadt.	w11_d378e14303
</head>
<list id="l4_d378e14306">
Der	w1_d378e14310
Wol=ehrw.	w3_d378e14313
Hr.	w5_d378e14316
Franz	w7_d378e14319
Ant.	w9_d378e14322
Trevani,	w11_d378e14325
weltlich.	w13_d378e14329
Priest,	w1_d378e14334
K.	w3_d378e14337
K.	w5_d378e14340
Hof=caplan,	w7_d378e14343
im	w9_d378e14346
Mölker=hof,	w11_d378e14349
60.	w13_d378e14353
J.	w15_d378e14356
Dem	w1_d378e14361
Wol=edlen	w3_d378e14364
Hrn.	w5_d378e14367
Mich.	w7_d378e14370
Jos.	w9_d378e14373
Grünwalder,	w11_d378e14376
K.	w13_d378e14380
K.	w1_d378e14386
Hof=cammer=registr.	w3_d378e14389
adjunet.,	w5_d378e14392
und	w7_d378e14395
Taxamts	w9_d378e14398
gegenhandl.,	w1_d378e14403
s.	w3_d378e14406
S.	w5_d378e14409
Franz,	w7_d378e14412
beyn	w9_d378e14415
12.	w11_d378e14418
Apost	w13_d378e14422
auf	w15_d378e14425
der	w1_d378e14430
alt.	w3_d378e14433
