<doc id="wr_1757-01-15" attrs="word" year="1757" month="01" day="15" corpus="2">
<head id="h2_d109e3306">
Corsica	w1_d109e3310
nicht	w5_d109e10560
allein,	w7_d109e10563
was	w9_d109e10566
die	w11_d109e10569
Bestal	w13_d109e10573
lung	w1_d109e10578
der	w3_d109e10581
Stäbe	w5_d109e10584
betrift,	w7_d109e10587
in	w9_d109e10590
ergänzten,	w11_d109e10593
son	w13_d109e10597
dern	w1_d109e10602
auch	w3_d109e10605
die	w5_d109e10608
gemeine	w7_d109e10611
Mannschaften	w9_d109e10614
auf	w11_d109e10617
3.	w1_d109e10622
Simplen	w3_d109e10625
in	w5_d109e10628
verstärkten	w7_d109e10631
Muster=mäßigen,	w9_d109e10634
</p>
<p id="p10_d109e10639">
und	w1_d109e10643
bkeitfertigen	w3_d109e10646
vollzähligen	w5_d109e10649
Stand	w7_d109e10652
ge	w9_d109e10655
setzet	w1_d109e10660
werden	w3_d109e10663
sollen.	w5_d109e10666
</p>
<head id="h2_d109e10672">
756.	w1_d109e10676
Petersburg	w1_d109e10681
26.	w3_d109e10684
Nov.	w5_d109e10687
1	w7_d109e10690
</head>
<p id="p4_d109e10693">
Den	w1_d109e10697
23.	w3_d109e10700
dieses	w5_d109e10703
geruheten	w7_d109e10706
Jhro	w9_d109e10709
Kaiserl.	w11_d109e10712
Majestät,	w1_d109e10717
den	w3_d109e10720
bey	w5_d109e10723
der	w7_d109e10726
Ottomannischen	w9_d109e10729
Pforte	w11_d109e10732
subsistirenden	w1_d109e10737
Rußisch=Kaiserl	w3_d109e10740
Residenten,	w5_d109e10743
und	w1_d109e10749
Canzley=raht,	w3_d109e10752
Herrn	w5_d109e10755
Obreskow,	w7_d109e10758
zum	w1_d109e10763
Staats=raht,	w3_d109e10766
ingleichen	w5_d109e10769
den	w7_d109e10772
in	w9_d109e10775
Wien	w11_d109e10778
befindlichen	w1_d109e10783
Legations=secretair,	w3_d109e10786
Herrn	w5_d109e10789
Bütt	w7_d109e10792
ner,	w1_d109e10797
und	w3_d109e10800
den	w5_d109e10803
Gesandschafts=cavalier,	w7_d109e10806
Alexei	w9_d109e10809
Musin	w1_d109e10815
Puschkin	w3_d109e10818
zu	w5_d109e10821
Hof=rähten	w7_d109e10824
allergnädigst	w9_d109e10827
zu	w1_d109e10832
erklären.	w3_d109e10835
</p>
<head id="h2_d109e10841">
Prag	w1_d109e10845
28.	w3_d109e10848
December.	w5_d109e10851
1756.	w7_d109e10854
</head>
<p id="p4_d109e10857">
Den	w1_d109e10861
19.	w3_d109e10864
Dito	w5_d109e10867
seynd	w7_d109e10870
allhier	w9_d109e10873
82.	w11_d109e10876
Mann	w13_d109e10880
Re	w15_d109e10883
cruten	w1_d109e10888
für	w3_d109e10891
das	w5_d109e10894
Löbl.	w7_d109e10897
Fürstl.	w9_d109e10900
Esterhasische	w11_d109e10903
Hu	w13_d109e10907
ßaren=Regiment,	w1_d109e10912
nebst	w3_d109e10915
152.	w5_d109e10918
RimontaPfer	w7_d109e10921
den	w1_d109e10927
aus	w3_d109e10930
dem	w5_d109e10933
Königreich	w7_d109e10936
Hungarn	w9_d109e10939
angekom	w11_d109e10942
men,	w1_d109e10947
und	w3_d109e10950
den	w5_d109e10953
21.	w7_d109e10956
darauf	w9_d109e10959
zu	w11_d109e10962
dessen	w13_d109e10966
Regi	w15_d109e10969
ment	w1_d109e10974
abgegangen.	w3_d109e10977
Den	w5_d109e10980
24	w7_d109e10983
dieses	w9_d109e10986
kamen	w11_d109e10989
wie	w13_d109e10993
derum	w1_d109e10998
216.	w3_d109e11001
Recruten	w5_d109e11004
aus	w7_d109e11007
besagtem	w9_d109e11010
König	w11_d109e11013
reich,	w1_d109e11019
für	w3_d109e11022
das	w5_d109e11025
Löbliche	w7_d109e11028
GrafNiclasEster	w9_d109e11031
hasische	w1_d109e11036
Jnfanterie=regiment	w3_d109e11039
an,	w5_d109e11042
so	w7_d109e11045
gleich	w9_d109e11048
falls	w1_d109e11053
den	w3_d109e11056
25.	w5_d109e11059
den	w7_d109e11062
Marsch	w9_d109e11065
weiter	w11_d109e11068
fortgesetzet.	w13_d109e11072
Vorgestern,	w1_d109e11077
als	w3_d109e11080
den	w5_d109e11083
26.	w7_d109e11086
dieses	w9_d109e11089
aber,	w11_d109e11092
ist	w13_d109e11096
die	w15_d109e11099
im	w1_d109e11105
Kaurschimer=kreis	w3_d109e11108
gelegene	w5_d109e11111
FeldBat	w7_d109e11114
taillon,	w1_d109e11119
in	w3_d109e11122
600.	w5_d109e11125
Mann	w7_d109e11128
bestehend,	w9_d109e11131
von	w11_d109e11134
dem	w13_d109e11138
Löbl.	w1_d109e11143
Bathianischen	w3_d109e11146
Jnfanterie=regiment	w5_d109e11149
hier	w7_d109e11152
arriviret,	w1_d109e11157
und	w3_d109e11160
in	w5_d109e11163
die	w7_d109e11166
Quartiere	w9_d109e11169
verleget	w11_d109e11172
worden.	w13_d109e11176
</p>
<head id="h2_d109e11183">
Wien	w1_d109e11187
den	w3_d109e11190
15.	w5_d109e11193
Januarii	w7_d109e11196
1757.	w9_d109e11199
</head>
<p id="p4_d109e11202">
MJttwoch	w1_d109e11206
den	w3_d109e11209
12.	w5_d109e11212
Januarii,	w7_d109e11215
haben	w9_d109e11218
beede	w1_d109e11225
Kaiserl.	w3_d109e11228
Majestäten	w5_d109e11231
mit	w7_d109e11234
Jhren	w9_d109e11237
Königl.	w1_d109e11242
Hoheiten	w3_d109e11245
denen	w5_d109e11248
älteren	w7_d109e11251
Durchleuch	w9_d109e11254
tigsten	w1_d109e11260
jungen	w3_d109e11263
Herrschaften	w5_d109e11266
der	w7_d109e11269
bis	w9_d109e11272
anhero	w11_d109e11275
täglich=haltenden	w1_d109e11280
Heil.	w3_d109e11283
Seegen=meß;	w5_d109e11286
und	w7_d109e11289
Donnerstags	w1_d109e11294
den	w3_d109e11297
13.	w5_d109e11300
Januarii	w7_d109e11303
Vor	w9_d109e11306
und	w11_d109e11309
</p>
<p id="p6_d109e11312">
Nachmittags	w1_d109e11316
dem	w3_d109e11319
wochentlichen	w5_d109e11322
Gebett	w7_d109e11325
in	w9_d109e11328
der	w1_d109e11333
Kammer=kapellen	w3_d109e11336
beygewohnet.	w5_d109e11339
</p>
<p id="p8_d109e11342">
Freytags	w1_d109e11346
den	w3_d109e11349
14.	w5_d109e11352
Januarii,	w7_d109e11355
wurde	w9_d109e11358
in	w11_d109e11361
Bey	w13_d109e11365
wohnung	w1_d109e11370
Allerhöchster	w3_d109e11373
Herrschaften	w5_d109e11376
der	w7_d109e11379
ge	w9_d109e11382
wöhnliche	w1_d109e11387
GOttes=dienst	w3_d109e11390
in	w5_d109e11393
der	w7_d109e11396
Kammerka	w9_d109e11399
pellen	w1_d109e11405
gehalten.	w3_d109e11408
</p>
<p id="p10_d109e11411">
Ansonsten	w1_d109e11415
ist	w3_d109e11418
vorgestern	w5_d109e11421
Abends	w7_d109e11424
durch	w9_d109e11427
eine	w11_d109e11430
aus	w1_d109e11435
Frankreich	w3_d109e11438
angekommene	w5_d109e11441
Staffette	w7_d109e11444
die	w9_d109e11447
Nachricht	w1_d109e11452
anhero	w3_d109e11455
gediehen,	w5_d109e11458
daß	w7_d109e11461
als	w9_d109e11464
Seine	w11_d109e11467
Allerchtistlichste	w1_d109e11473
Majestät	w3_d109e11476
den	w5_d109e11479
5.	w7_d109e11482
dieses	w9_d109e11485
Mo	w11_d109e11488
nats	w1_d109e11493
Januarii	w3_d109e11496
um	w5_d109e11499
3.	w7_d109e11502
Viertl	w9_d109e11505
auf	w11_d109e11508
6.	w13_d109e11512
Uhr	w15_d109e11515
Abends	w1_d109e11520
von	w3_d109e11523
denen	w5_d109e11526
Königlichen	w7_d109e11529
Prinzeßinnen	w9_d109e11532
hinweg=gehend,	w1_d109e11537
um	w3_d109e11540
nacher	w5_d109e11543
Trianon	w7_d109e11546
zuruck	w9_d109e11549
zu	w1_d109e11555
kehren,	w3_d109e11558
in	w5_d109e11561
Dero	w7_d109e11564
Kutsche	w9_d109e11567
einstiegen,	w11_d109e11570
ein	w13_d109e11574
verwegener	w1_d109e11579
Bößwicht	w3_d109e11582
bey	w5_d109e11585
diesfälliger	w7_d109e11588
Ge	w9_d109e11591
</p>
<p id="p12_d109e11595">
genheit	w1_d109e11599
Mickel	w3_d109e11602
gefunden	w5_d109e11605
habe,	w7_d109e11608
durch	w9_d109e11611
die	w11_d109e11614
Königl.	w1_d109e11619
Leib=wache	w3_d109e11622
unvermerkt	w5_d109e11625
sich	w7_d109e11628
hindurch	w9_d109e11631
zu	w1_d109e11636
dringen,	w3_d109e11639
und	w5_d109e11642
dem	w7_d109e11645
König	w9_d109e11648
mit	w11_d109e11651
einem	w13_d109e11655
Fe	w15_d109e11658
der=messer	w1_d109e11664
(welches	w3_d109e11667
mit	w5_d109e11670
zweyen	w7_d109e11673
Klingen	w9_d109e11676
versehen	w1_d109e11681
ware)	w3_d109e11684
an	w5_d109e11687
die	w7_d109e11690
rechte	w9_d109e11693
Seite	w11_d109e11696
unter	w13_d109e11700
halb	w1_d109e11705
der	w3_d109e11708
Brust	w5_d109e11711
zwischen	w7_d109e11714
der	w9_d109e11717
viert	w11_d109e11720
und	w13_d109e11724
fünf	w15_d109e11727
ten	w1_d109e11732
unteren	w3_d109e11735
Rippen	w5_d109e11738
einen	w7_d109e11741
Stich	w9_d109e11744
beyzubrin	w11_d109e11747
gen.	w1_d109e11753
Die	w3_d109e11756
eine	w5_d109e11759
Klinge	w7_d109e11762
sothanen	w9_d109e11765
Mes	w11_d109e11768
sers,	w1_d109e11773
mit	w3_d109e11776
welcher	w5_d109e11779
eben	w7_d109e11782
diese	w9_d109e11785
Verwundung	w11_d109e11788
bewurket	w1_d109e11793
worden,	w3_d109e11796
ist	w5_d109e11799
ungefährl4.	w7_d109e11802
Zoll	w9_d109e11805
lang;	w11_d109e11808
und	w1_d109e11813
der	w3_d109e11816
Stich,	w5_d109e11819
welcher	w7_d109e11822
von	w9_d109e11825
unten	w11_d109e11828
aufwärts	w13_d109e11832
beschehen,	w1_d109e11838
ist	w3_d109e11841
bey	w5_d109e11844
4.	w7_d109e11847
Quer=finger	w9_d109e11850
tief	w11_d109e11853
einge	w13_d109e11857
gangen.	w1_d109e11862
Seine	w3_d109e11865
Majestät	w5_d109e11868
der	w7_d109e11871
König	w9_d109e11874
glaub	w11_d109e11877
ten	w1_d109e11882
anfänglichen,	w3_d109e11885
nichtes	w5_d109e11888
anderes,	w7_d109e11891
als	w9_d109e11894
einen	w11_d109e11897
Stoß	w1_d109e11902
mit	w3_d109e11905
der	w5_d109e11908
Faust	w7_d109e11911
von	w9_d109e11914
gedachten	w11_d109e11917
Böß	w13_d109e11921
wicht	w1_d109e11927
empfangen	w3_d109e11930
zu	w5_d109e11933
haben,	w7_d109e11936
da	w9_d109e11939
Sie	w11_d109e11942
aber	w13_d109e11946
gleich	w1_d109e11951
darauf	w3_d109e11954
eine	w5_d109e11957
gähe	w7_d109e11960
Hitze	w9_d109e11963
an	w11_d109e11966
Sich	w13_d109e11970
bemerk	w15_d109e11973
ten,	w1_d109e11978
und	w3_d109e11981
aus	w5_d109e11984
Dero	w7_d109e11987
Wunde	w9_d109e11990
das	w11_d109e11993
Blut	w13_d109e11997
hervor	w15_d109e12000
zu	w17_d109e12003
quellen	w1_d109e12008
begunte,	w3_d109e12011
so	w5_d109e12014
erklärte	w7_d109e12017
sich	w9_d109e12020
andurch	w11_d109e12023
die	w13_d109e12027
That.	w1_d109e12033
Es	w3_d109e12036
wurde	w5_d109e12039
demnach	w7_d109e12042
ganz	w9_d109e12045
unverzüglich	w11_d109e12048
alles	w1_d109e12053
Erforderliche,	w3_d109e12056
um	w5_d109e12059
Sr.	w7_d109e12062
Königl.	w9_d109e12065
Maje	w11_d109e12068
stät	w1_d109e12073
behörig	w3_d109e12076
beyzuspringen,	w5_d109e12079
vorgekehret.	w7_d109e12082
Um	w9_d109e12085
ein	w1_d109e12090
Viertel	w3_d109e12093
nach	w5_d109e12096
6.	w7_d109e12099
Uhr	w9_d109e12102
eröfnete	w11_d109e12105
man	w13_d109e12109
Höchst	w15_d109e12112
deroselben	w1_d109e12118
eine	w3_d109e12121
Ader,	w5_d109e12124
und	w7_d109e12127
wiewolen	w9_d109e12130
diese	w11_d109e12133
so	w13_d109e12137
gleich	w1_d109e12142
eine	w3_d109e12145
ziemliche	w5_d109e12148
Erleichterung	w7_d109e12151
nach	w9_d109e12154
sich	w11_d109e12157
zoge,	w1_d109e12162
so	w3_d109e12165
wurde	w5_d109e12168
in	w7_d109e12171
4.	w9_d109e12174
Stunden	w11_d109e12177
darauf	w13_d109e12181
dan	w15_d109e12184
noch	w1_d109e12189
die	w3_d109e12192
Ader=laß	w5_d109e12195
zu	w7_d109e12198
mehrerer	w9_d109e12201
Vorsorge	w11_d109e12204
wie	w13_d109e12208
derholet.	w1_d109e12214
Se.	w3_d109e12217
Königl.	w5_d109e12220
Majestät	w7_d109e12223
haben	w9_d109e12226
zwar	w11_d109e12229
die	w1_d109e12234
Nacht	w3_d109e12237
darauf	w5_d109e12240
sehr	w7_d109e12243
wenig	w9_d109e12246
geschlaffen,	w11_d109e12249
je	w13_d109e12253
doch	w1_d109e12258
keine	w3_d109e12261
sonderliche	w5_d109e12264
Schmerzen	w7_d109e12267
empfunden.	w9_d109e12270
Den	w1_d109e12275
folgenden	w3_d109e12278
Morgen	w5_d109e12281
hatten	w7_d109e12284
sie	w9_d109e12287
eine	w11_d109e12290
Stund	w13_d109e12294
hindurch	w1_d109e12300
einen	w3_d109e12303
ziemlich	w5_d109e12306
rühigen	w7_d109e12309
Schlaf;	w9_d109e12312
und	w11_d109e12315
als	w1_d109e12320
man	w3_d109e12323
um	w5_d109e12326
10.	w7_d109e12329
Uhr	w9_d109e12332
die	w11_d109e12335
Verbindung	w13_d109e12339
der	w15_d109e12342
Wunde	w1_d109e12347
auflösete,	w3_d109e12350
fande	w5_d109e12353
man,	w7_d109e12356
daß	w9_d109e12359
die	w11_d109e12362
Ge	w13_d109e12366
schwulst	w1_d109e12371
bereits	w3_d109e12374
merklich	w5_d109e12377
abgenommen	w7_d109e12380
hatte.	w9_d109e12383
Ubrigens	w1_d109e12389
befanden	w3_d109e12392
sich	w5_d109e12395
Se.	w7_d109e12398
Majest.	w9_d109e12401
den	w11_d109e12404
6.	w13_d109e12408
Jan.	w15_d109e12411
zu	w1_d109e12416
Mittag	w3_d109e12419
(da	w5_d109e12422
eben	w7_d109e12425
gegenwärtiger	w9_d109e12428
Bericht	w11_d109e12431
von	w13_d109e12435
Paris	w1_d109e12440
anhero	w3_d109e12443
abgeschickt	w5_d109e12446
wurde)	w7_d109e12449
so	w9_d109e12452
gut,	w11_d109e12455
als	w13_d109e12459
es	w15_d109e12462
in	w1_d109e12467
dergleichen	w3_d109e12470
Umständen	w5_d109e12473
möglich	w7_d109e12476
ist;	w9_d109e12479
und	w11_d109e12482
es	w13_d109e12486
hat	w1_d109e12492
bis	w3_d109e12495
dato	w5_d109e12498
durchgehends	w7_d109e12501
das	w9_d109e12504
Ansehen,	w11_d109e12507
daß	w13_d109e12511
der	w1_d109e12516
Stich	w3_d109e12519
inwendig	w5_d109e12522
in	w7_d109e12525
der	w9_d109e12528
Brust	w11_d109e12531
nichts	w13_d109e12535
ver	w15_d109e12538
letzet	w1_d109e12543
habe,	w3_d109e12546
folgbar	w5_d109e12549
nicht	w7_d109e12552
tödtlich	w9_d109e12555
seye.	w11_d109e12558
Der	w13_d109e12562
Meuchel=mörder,	w1_d109e12567
welcher	w3_d109e12570
diese	w5_d109e12573
That	w7_d109e12576
began	w9_d109e12579
gen,	w1_d109e12585
ist	w3_d109e12588
auf	w5_d109e12591
der	w7_d109e12594
Stelle	w9_d109e12597
gefänglich	w11_d109e12600
angehalten	w13_d109e12604
worden,	w1_d109e12609
und	w3_d109e12612
man	w5_d109e12615
ist	w7_d109e12618
nunmehro	w9_d109e12621
mit	w11_d109e12624
der	w13_d109e12628
Processi-	w15_d109e12631
rung	w1_d109e12636
desselben	w3_d109e12639
beschäftiget.	w5_d109e12642
</p>
<p id="p14_d109e12645">
Auf	w1_d109e12649
Allerhöchstes	w3_d109e12652
Verlangen	w5_d109e12655
Jhrer	w7_d109e12658
Kai	w9_d109e12661
serl.	w1_d109e12666
Königl.	w3_d109e12669
Majest.	w5_d109e12672
unserer	w7_d109e12675
allergnädigsten	w9_d109e12678
Erb=Landes=Fürstin,	w1_d109e12683
und	w3_d109e12686
Frauen,	w5_d109e12689
ist	w7_d109e12692
von	w9_d109e12695
Sr.	w11_d109e12698
Hoch=fürstl.	w1_d109e12704
Eminenz	w3_d109e12707
dem	w5_d109e12710
hiesigen	w7_d109e12713
Herrn	w9_d109e12716
Cardinglen	w1_d109e12721
zu	w3_d109e12724
nd	w1_d109e12729
Erzbischoffen	w3_d109e12732
die	w5_d109e12735
Vorkehrung	w7_d109e12738
</p>
<p id="p18_d109e12743">
beschehen,	w1_d109e12747
daß	w3_d109e12750
täglich	w5_d109e12753
in	w7_d109e12756
allen	w9_d109e12759
hiesigen	w11_d109e12762
Kir	w13_d109e12766
chen	w1_d109e12771
um	w3_d109e12774
die	w5_d109e12777
Wieder=erlangung	w7_d109e12780
der	w9_d109e12783
Höchst	w11_d109e12786
gewünschten	w1_d109e12791
vollkommenen	w3_d109e12794
Gesundheit	w5_d109e12797
Sr.	w7_d109e12800
Majestät	w1_d109e12806
des	w3_d109e12809
Allerchristlichsten	w5_d109e12812
Königs	w7_d109e12815
in	w9_d109e12818
Frankeich	w1_d109e12823
Ludovici	w3_d109e12826
XV.	w5_d109e12829
sowol	w7_d109e12832
von	w9_d109e12835
der	w11_d109e12838
ge	w13_d109e12842
samten	w1_d109e12847
Geistlichkeit,	w3_d109e12850
als	w5_d109e12853
der	w7_d109e12856
ganzen	w9_d109e12859
andäch	w11_d109e12862
tigen	w1_d109e12867
Volks=menge	w3_d109e12870
offentlich	w5_d109e12873
gebettet	w7_d109e12876
werde.	w9_d109e12879
</p>
<head id="h2_d109e12885">
Lista	w1_d109e12889
deren	w3_d109e12892
Verstorbenen	w5_d109e12895
zu	w7_d109e12898
Wien	w9_d109e12901
in	w1_d109e12906
und	w3_d109e12909
vor	w5_d109e12912
der	w7_d109e12915
Stadt.	w9_d109e12918
Den	w1_d109e12923
12.	w3_d109e12926
Januarii.	w5_d109e12929
Jn	w1_d109e12935
der	w3_d109e12938
Stadt.	w5_d109e12941
</head>
<list id="l4_d109e12944">
Jhro	w1_d109e12948
Excell.	w3_d109e12951
die	w5_d109e12954
Hoch	w7_d109e12957
und	w9_d109e12960
Wol=geb.	w11_d109e12963
Fr.	w13_d109e12967
Fr.	w15_d109e12970
Fran	w17_d109e12973
cisca	w1_d109e12978
verw.	w3_d109e12981
Grafin	w5_d109e12984
v.	w7_d109e12987
Esterhasi,	w9_d109e12990
geb.	w11_d109e12993
Freyin	w13_d109e12997
v.	w15_d109e13000
Raitzenstein,	w1_d109e13005
im	w3_d109e13008
Kloster	w5_d109e13011
bey	w7_d109e13014
St.	w9_d109e13017
Ursula,	w11_d109e13020
57.	w13_d109e13024
J.	w15_d109e13027
Der	w1_d109e13033
Wol=ehrw.	w3_d109e13036
P.	w5_d109e13039
Lucas	w7_d109e13042
à	w9_d109e13045
S.	w11_d109e13048
Matre	w13_d109e13052
Anna,	w15_d109e13055
Ord.	w17_d109e13058
St.	w1_d109e13063
August.,	w3_d109e13066
im	w5_d109e13069
Kloster	w7_d109e13072
bey	w9_d109e13075
Maria=loreto,	w11_d109e13078
49.	w13_d109e13082
J.	w15_d109e13085
Der	w1_d109e13090
Wol=ehrw.	w3_d109e13093
Hr.	w5_d109e13096
Phil.	w7_d109e13099
Lehre,	w9_d109e13102
weltl.	w11_d109e13105
Priest.,	w13_d109e13109
im	w15_d109e13112
Bockis.	w1_d109e13117
H.	w3_d109e13120
in	w5_d109e13123
der	w7_d109e13126
Teintfaltstr,	w9_d109e13129
alt	w11_d109e13132
66.	w13_d109e13136
J.	w15_d109e13139
Clara	w1_d109e13145
Sartorin,	w3_d109e13148
alt	w5_d109e13151
78.	w7_d109e13154
J.,	w9_d109e13157
im	w11_d109e13160
K.	w13_d109e13164
K.	w15_d109e13167
Hof=spital.	w17_d109e13170
</list>
<head id="h2_d109e13177">
Vor	w1_d109e13181
der	w3_d109e13184
Stadt.	w5_d109e13187
</head>
<list id="l4_d109e13190">
Christoph	w1_d109e13194
Jminy,	w3_d109e13197
Burgerl.	w5_d109e13200
Rauchfang=kehr.,	w7_d109e13203
in	w9_d109e13206
s.	w1_d109e13211
H.	w3_d109e13214
in	w5_d109e13217
der	w7_d109e13220
Josephst.,	w9_d109e13223
alt	w11_d109e13226
63.	w13_d109e13230
J.	w15_d109e13233
Dem	w1_d109e13238
Math.	w3_d109e13241
Hefele,	w5_d109e13244
Schuh=mach.,	w7_d109e13247
s.	w9_d109e13250
W.	w11_d109e13253
Margar.	w13_d109e13257
beym	w1_d109e13263
schön.	w3_d109e13266
Lädel	w5_d109e13269
am	w7_d109e13272
Neubau,	w9_d109e13275
alt	w11_d109e13278
43.	w13_d109e13282
J.	w15_d109e13285
Eva	w1_d109e13290
Maria	w3_d109e13293
Fruhstuckin,	w5_d109e13296
led.	w7_d109e13299
M.,	w9_d109e13302
beym	w11_d109e13305
grün.	w13_d109e13309
Kranz	w15_d109e13312
auf	w1_d109e13317
der	w3_d109e13320
Wied.,	w5_d109e13323
alt	w7_d109e13326
64.	w9_d109e13329
J.	w11_d109e13332
Dem	w1_d109e13337
Christoph	w3_d109e13340
Schulz,	w5_d109e13343
Lack.,	w7_d109e13346
s.	w9_d109e13349
K.	w11_d109e13352
Cathar.,	w13_d109e13356
im	w15_d109e13359
Stuckadoris.	w1_d109e13365
H.	w3_d109e13368
am	w5_d109e13371
Neustift,	w7_d109e13374
alt	w9_d109e13377
6.	w11_d109e13380
v.	w13_d109e13384
J.	w15_d109e13387
Dem	w1_d109e13392
Math.	w3_d109e13395
Streinweger,	w5_d109e13398
Tagw.,	w7_d109e13401
s.	w9_d109e13404
W.	w11_d109e13407
Anna,	w13_d109e13411
beym	w1_d109e13416
grün.	w3_d109e13419
Kegel	w5_d109e13422
ausser	w7_d109e13425
Maria=hülf,	w9_d109e13428
alt	w11_d109e13431
30.	w13_d109e13435
J.	w15_d109e13438
</list>
<head id="h2_d109e13445">
Summa	w1_d109e13449
9.	w3_d109e13452
Person.,	w5_d109e13455
darunter	w7_d109e13458
1.	w9_d109e13461
Kind.	w11_d109e13464
Den	w1_d109e13469
13.	w3_d109e13472
Januarii.	w5_d109e13475
Jn	w1_d109e13480
der	w3_d109e13483
Stadt.	w5_d109e13486
</head>
<head id="h2_d109e13492">
Eva	w1_d109e13496
Auerin,	w3_d109e13499
Wittwe,	w5_d109e13502
im	w7_d109e13505
Maypris.	w9_d109e13508
H.	w11_d109e13511
im	w13_d109e13515
kief.	w15_d109e13518
Gra	w17_d109e13521
ben,	w1_d109e13526
alt	w3_d109e13529
62.	w5_d109e13532
J.	w7_d109e13535
</head>
<head id="h2_d109e13541">
Vor	w1_d109e13545
der	w3_d109e13548
Stadt.	w5_d109e13551
</head>
<list id="l4_d109e13554">
Dem	w1_d109e13558
Ant.	w3_d109e13561
Binhack,	w5_d109e13564
Burgerl.	w7_d109e13567
Zeug=mach.,	w9_d109e13570
s.	w11_d109e13573
W.	w13_d109e13577
Eva,	w1_d109e13582
beym	w3_d109e13585
Burgundis.	w5_d109e13588
Kreutz	w7_d109e13591
am	w9_d109e13594
Neub.,	w11_d109e13597
30.	w13_d109e13601
J.	w15_d109e13604
Dem	w1_d109e13609
Theod.	w3_d109e13612
Schrämmel,	w5_d109e13615
Burgerl.	w7_d109e13618
Huf=schm.,	w9_d109e13621
s.	w11_d109e13624
K.	w1_d109e13630
Franz,	w3_d109e13633
in	w5_d109e13636
s.	w7_d109e13639
H.	w9_d109e13642
in	w11_d109e13645
der	w13_d109e13649
Koht=gas.,	w15_d109e13652
alt	w17_d109e13655
2.	w19_d109e13658
J.	w21_d109e13661
Dem	w1_d109e13666
Jacob	w3_d109e13669
Hötl,	w5_d109e13672
Burgerl.	w7_d109e13675
Lein=weh.,	w9_d109e13678
s.	w11_d109e13681
K.	w13_d109e13685
Eva,	w15_d109e13688
beym	w1_d109e13693
grün.	w3_d109e13696
Kranz	w5_d109e13699
zu	w7_d109e13702
Margar.,	w9_d109e13705
alt	w11_d109e13708
6.	w13_d109e13712
J.	w15_d109e13715
Dem	w1_d109e13720
Ant.	w3_d109e13723
Quguslau,	w5_d109e13726
Glas=mahl.,	w7_d109e13729
s.	w9_d109e13732
W.	w11_d109e13735
Theres.	w13_d109e13739
beym	w1_d109e13745
schwarz.	w3_d109e13748
Mohr.	w5_d109e13751
im	w7_d109e13754
Lerchenf.,	w9_d109e13757
alt	w11_d109e13760
26.	w13_d109e13764
J.	w15_d109e13767
Dem	w1_d109e13772
Lorenz	w3_d109e13775
Strudel,	w5_d109e13778
Schneid.,	w7_d109e13781
s.	w9_d109e13784
K.	w11_d109e13787
Francisca,	w13_d109e13791
beym	w1_d109e13796
Englis.	w3_d109e13799
Gruß	w5_d109e13802
ausser	w7_d109e13805
Maria=hülf,	w9_d109e13808
alt	w11_d109e13811
6.	w13_d109e13815
J.	w15_d109e13818
Rosina	w1_d109e13823
Fretin,	w3_d109e13826
Wittwe,	w5_d109e13829
bey	w7_d109e13832
der	w9_d109e13835
gold.	w11_d109e13838
Kron	w13_d109e13842
bey	w15_d109e13845
Maria=hülf,	w1_d109e13851
alt	w3_d109e13854
90.	w5_d109e13857
J.	w7_d109e13860
Dem	w1_d109e13865
Georg	w3_d109e13868
Pani.	w5_d109e13871
Stroh=sessel=mach.,	w7_d109e13874
s.	w9_d109e13877
T.	w11_d109e13880
Fran	w13_d109e13884
cisca,	w1_d109e13889
beym	w3_d109e13892
grün.	w5_d109e13895
Käpel	w7_d109e13898
am	w9_d109e13901
Neubau,	w11_d109e13904
alt	w13_d109e13908
12.	w15_d109e13911
J.	w17_d109e13914
Dem	w1_d109e13919
Pet.	w3_d109e13922
Caro,	w5_d109e13925
Münz=hand=lang.,	w7_d109e13928
s.	w9_d109e13931
K.	w11_d109e13934
Rosalia,	w13_d109e13938
bey	w1_d109e13944
der	w3_d109e13947
Reichs=kron	w5_d109e13950
in	w7_d109e13953
der	w9_d109e13956
Josephst.,	w11_d109e13959
alt	w13_d109e13963
2.	w15_d109e13966
J.	w17_d109e13969
Anna	w1_d109e13974
Ederin,	w3_d109e13977
alt	w5_d109e13980
73.	w7_d109e13983
J.	w9_d109e13986
im	w11_d109e13989
langen	w13_d109e13993
Keller.	w15_d109e13996
</list>
<head id="h2_d109e14004">
Summa	w1_d109e14008
10.	w3_d109e14011
Person.,	w5_d109e14014
darunter	w7_d109e14017
4.	w9_d109e14020
Kinder.	w11_d109e14023
</head>
<head id="h2_d109e14029">
EDICT.	w1_d109e14033
</head>
<p id="p4_d109e14036">
Wir	w1_d109e14040
Endes	w3_d109e14043
Benannte,	w5_d109e14046
von	w7_d109e14049
einer	w9_d109e14052
Hochlöbl.	w11_d109e14055
Kaiserl.	w1_d109e14060
Königl.	w3_d109e14063
N.	w5_d109e14066
Oe.	w7_d109e14069
Regierung	w9_d109e14072
in	w11_d109e14075
Ju	w13_d109e14079
stitz=sachen	w1_d109e14084
verordnete	w3_d109e14087
Commissarien	w5_d109e14090
fügen	w7_d109e14093
hiemit	w1_d109e14099
in	w3_d109e14102
Kraft	w5_d109e14105
gegenwärtigen	w7_d109e14108
Edicts	w9_d109e14111
jeder	w11_d109e14114
männiglich,	w1_d109e14119
besonders	w3_d109e14122
denen	w5_d109e14125
