<doc id="wr_1756-11-20" attrs="word" year="1756" month="11" day="20" corpus="2">
<head id="h2_d93e3076">
Lenden	w1_d93e3080
in	w3_d93e10365
der	w5_d93e10368
Palais=capelle	w7_d93e10371
nebst	w9_d93e10374
dem	w11_d93e10377
Königl.	w1_d93e10383
Prinzen	w3_d93e10386
in	w5_d93e10389
Trauer	w7_d93e10392
der	w9_d93e10395
Messe	w11_d93e10398
bey	w13_d93e10402
gewohnet.	w1_d93e10407
</p>
<p id="p6_d93e10410">
Abgewichenen	w1_d93e10414
Donnerstag	w3_d93e10417
früh	w5_d93e10420
legte	w7_d93e10423
der	w9_d93e10426
Herr	w1_d93e10431
von	w3_d93e10434
Solltyk	w5_d93e10437
vor	w7_d93e10440
Sr.	w9_d93e10443
Königl.	w11_d93e10446
Majest.	w13_d93e10450
den	w1_d93e10455
gewönlichen	w3_d93e10458
Eid	w5_d93e10461
wegen	w7_d93e10464
des	w9_d93e10467
Kiostischen	w11_d93e10470
Bißtums,	w1_d93e10476
und	w3_d93e10479
zwar	w5_d93e10482
in	w7_d93e10485
Gegenwart	w9_d93e10488
der	w11_d93e10491
hier	w13_d93e10495
befindlichen	w1_d93e10500
Herren	w3_d93e10503
Senatoren	w5_d93e10506
und	w7_d93e10509
Ministres	w9_d93e10512
ab,	w1_d93e10517
an	w3_d93e10520
welchem	w5_d93e10523
Tag	w7_d93e10526
auch	w9_d93e10529
der	w11_d93e10532
Herr	w13_d93e10536
Ober	w15_d93e10539
Kron=Feld=herr	w1_d93e10544
alle	w3_d93e10547
anwesende	w5_d93e10550
Hrn.	w7_d93e10553
Se	w9_d93e10556
natores	w1_d93e10562
und	w3_d93e10565
Ministere	w5_d93e10568
wegen	w7_d93e10571
glücklicher	w9_d93e10574
An	w11_d93e10577
kunft	w1_d93e10582
Sr.	w3_d93e10585
Königl.	w5_d93e10588
Maj	w7_d93e10591
stät	w9_d93e10594
prächtig	w11_d93e10597
kra	w13_d93e10601
tiret	w15_d93e10604
hat,	w1_d93e10609
dabey	w3_d93e10612
sich	w5_d93e10615
auch	w7_d93e10618
der	w9_d93e10621
Sächsische	w11_d93e10624
Premier	w13_d93e10628
minister,	w1_d93e10633
Herr	w3_d93e10636
Graf	w5_d93e10639
von	w7_d93e10642
Brühl,	w9_d93e10645
und	w11_d93e10648
der	w13_d93e10652
Kron=Hof=marschall,	w1_d93e10658
Herr	w3_d93e10661
von	w5_d93e10664
Mniszech	w7_d93e10667
be	w9_d93e10670
funden.	w1_d93e10675
Jhre	w3_d93e10678
Majestät	w5_d93e10681
zu	w7_d93e10684
beneventiren	w9_d93e10687
ha	w11_d93e10690
den	w1_d93e10695
sich	w3_d93e10698
alhier	w5_d93e10701
eingefunden	w7_d93e10704
der	w9_d93e10707
Belzische	w11_d93e10710
Pa	w13_d93e10714
latin,	w1_d93e10719
Herr	w3_d93e10722
von	w5_d93e10725
Potocki,	w7_d93e10728
der	w9_d93e10731
Rawische	w11_d93e10734
Pa	w13_d93e10738
latin,	w1_d93e10744
Herr	w3_d93e10747
von	w5_d93e10750
Swiddzynski,	w7_d93e10753
deren	w9_d93e10756
Anzahl	w11_d93e10759
ehester	w1_d93e10764
Tagen	w3_d93e10767
der	w5_d93e10770
Fürst	w7_d93e10773
Ober=Feld=herr	w9_d93e10776
von	w11_d93e10779
Litthauen,	w1_d93e10784
nebst	w3_d93e10787
andern	w5_d93e10790
Herrn	w7_d93e10793
vermehren	w9_d93e10796
soll.	w1_d93e10801
</p>
<p id="p10_d93e10806">
Nachdem	w1_d93e10810
den	w3_d93e10813
28.	w5_d93e10816
October	w7_d93e10819
der	w9_d93e10822
Lembergi	w11_d93e10825
sche	w1_d93e10830
Castellan,	w3_d93e10833
Herr	w5_d93e10836
von	w7_d93e10839
Los,	w9_d93e10842
Se.	w11_d93e10845
Königl.	w13_d93e10849
Majestät	w1_d93e10854
beneventiret,	w3_d93e10857
und	w5_d93e10860
bey	w7_d93e10863
Derselben	w9_d93e10866
so	w11_d93e10869
gleich	w1_d93e10875
sich	w3_d93e10878
beurlaubet,	w5_d93e10881
begab	w7_d93e10884
er	w9_d93e10887
sich	w11_d93e10890
auf	w13_d93e10894
die	w15_d93e10897
ihm	w17_d93e10900
vorgenommene	w1_d93e10905
Reise	w3_d93e10908
nach	w5_d93e10911
Czenstochau,	w7_d93e10914
von	w9_d93e10917
dannen	w1_d93e10922
er	w3_d93e10925
wieder	w5_d93e10928
nach	w7_d93e10931
Warschau	w9_d93e10934
zu	w11_d93e10937
kom	w13_d93e10941
men	w1_d93e10946
willens	w3_d93e10949
ist.	w5_d93e10952
</p>
<p id="p12_d93e10956">
Den	w1_d93e10960
10.	w3_d93e10963
dieses	w5_d93e10966
sollen	w7_d93e10969
die	w9_d93e10972
Königl.	w11_d93e10975
Kron	w13_d93e10979
Hof.	w1_d93e10984
gerichte	w3_d93e10987
wiederum	w5_d93e10990
angehen.	w7_d93e10993
Der	w1_d93e10998
Rußische	w3_d93e11001
Abgesandte,	w5_d93e11004
Herr	w7_d93e11007
von	w9_d93e11010
Groß,	w11_d93e11013
ist	w1_d93e11019
vorgestern	w3_d93e11022
aus	w5_d93e11025
Dreßden	w7_d93e11028
alhier	w9_d93e11031
angekom	w11_d93e11034
men.	w1_d93e11039
</p>
<head id="h2_d93e11045">
Prag,	w1_d93e11049
13.	w3_d93e11052
Novem.	w5_d93e11055
</head>
<p id="p4_d93e11058">
Da	w1_d93e11062
sich	w3_d93e11065
bereits	w5_d93e11068
die	w7_d93e11071
rauhe	w9_d93e11074
Witterung	w11_d93e11077
be	w13_d93e11081
ginnet	w1_d93e11086
einzustellen,	w3_d93e11089
so	w5_d93e11092
fangen	w7_d93e11095
auch	w9_d93e11098
die	w11_d93e11101
Kai	w13_d93e11105
serl.	w1_d93e11110
Königl.	w3_d93e11113
Armeen	w5_d93e11116
an,	w7_d93e11119
die	w9_d93e11122
Cantonierungs	w11_d93e11125
quartiere	w1_d93e11131
zu	w3_d93e11134
beziehen,	w5_d93e11137
und	w7_d93e11140
seynd	w9_d93e11143
auch	w11_d93e11146
vorge	w13_d93e11150
stern	w1_d93e11155
Nachmittags,	w3_d93e11158
den	w5_d93e11161
11.	w7_d93e11164
dito,	w9_d93e11167
Se.	w11_d93e11170
Ex	w13_d93e11174
cellenz,	w1_d93e11179
der	w3_d93e11182
commandirende	w5_d93e11185
Herr	w7_d93e11188
General	w9_d93e11191
Feld	w1_d93e11196
Marschall,	w3_d93e11199
Graf	w5_d93e11202
von	w7_d93e11205
Broune	w9_d93e11208
hier	w11_d93e11211
an	w13_d93e11215
gelanget.	w1_d93e11221
Nicht	w3_d93e11224
minder	w5_d93e11227
ist	w7_d93e11230
auch	w9_d93e11233
dieser	w11_d93e11236
Ta	w13_d93e11240
gen	w1_d93e11245
ein	w3_d93e11248
Theil	w5_d93e11251
des	w7_d93e11254
Artillerie=personalis	w9_d93e11257
nebst	w11_d93e11260
einem	w1_d93e11265
ansehnlichen	w3_d93e11268
Zug	w5_d93e11271
Feld=artillerie,	w7_d93e11274
wie	w9_d93e11277
auch	w1_d93e11282
das	w3_d93e11285
Löbl.	w5_d93e11288
Jung=wolfenbüttelische	w7_d93e11291
Jn	w9_d93e11294
fanterie	w1_d93e11300
regiment	w3_d93e11303
anhero	w5_d93e11306
gekommen,	w7_d93e11309
welches	w9_d93e11312
letztere	w1_d93e11317
den	w3_d93e11320
Winter	w5_d93e11323
hindurch	w7_d93e11326
hier	w9_d93e11329
verbleiben	w11_d93e11332
solle.	w1_d93e11337
Ubrigens	w3_d93e11340
geher	w5_d93e11343
fast	w7_d93e11346
kein	w9_d93e11349
Tag	w11_d93e11352
vorüber,	w13_d93e11356
daß	w1_d93e11361
nicht	w3_d93e11364
Preußische	w5_d93e11367
Deserteurs	w7_d93e11370
hier	w9_d93e11373
an	w11_d93e11376
langen.	w1_d93e11382
</p>
<head id="h2_d93e11388">
Wien	w1_d93e11392
den	w3_d93e11395
20.	w5_d93e11398
November	w7_d93e11401
1756.	w9_d93e11404
</head>
<p id="p4_d93e11407">
MJitwoch	w1_d93e11411
den	w3_d93e11414
17.	w5_d93e11417
November	w7_d93e11420
Vormittags	w9_d93e11423
um	w1_d93e11430
9.	w3_d93e11433
Uhr	w5_d93e11436
haben	w7_d93e11439
beede	w9_d93e11442
Kaiserl.	w11_d93e11445
Ma	w13_d93e11449
jestät	w1_d93e11454
mit	w3_d93e11457
Jhren	w5_d93e11460
Königl.	w7_d93e11463
Hoheiten	w9_d93e11466
denen	w11_d93e11469
äl	w13_d93e11473
tern	w1_d93e11479
Durchleuchtigsten	w3_d93e11482
Herrschaften	w5_d93e11485
der	w7_d93e11488
ge	w9_d93e11491
wönlichen	w1_d93e11496
Seegen=meß	w3_d93e11499
in	w5_d93e11502
der	w7_d93e11505
Cammerka	w9_d93e11508
pellen,	w1_d93e11513
und	w3_d93e11516
hierauf	w5_d93e11519
Jhre	w7_d93e11522
Majestät	w9_d93e11525
die	w11_d93e11528
Kai	w13_d93e11532
serin	w1_d93e11537
bey	w3_d93e11540
denen	w5_d93e11543
WW.	w7_d93e11546
EE.	w9_d93e11549
PP.	w11_d93e11552
Augustinern	w13_d93e11556
in	w1_d93e11562
dem	w3_d93e11565
dasigen	w5_d93e11568
Oratorio	w7_d93e11571
der	w9_d93e11574
Todten=kapellen	w11_d93e11577
dem	w1_d93e11582
8ten	w3_d93e11585
Soldaten=Seelen=amt	w5_d93e11588
beygewoh	w7_d93e11591
net.	w1_d93e11596
</p>
<p id="p6_d93e11599">
Eodem	w1_d93e11603
seynd	w3_d93e11606
in	w5_d93e11609
der	w7_d93e11612
neu	w9_d93e11615
erbauten	w11_d93e11618
Kaiserl.	w13_d93e11622
Kammer=kapellen	w1_d93e11627
für	w3_d93e11630
die	w5_d93e11633
Hoch=adeliche	w7_d93e11636
Stern	w9_d93e11639
kreutzordend	w1_d93e11644
dame	w3_d93e11647
(Tit.)	w5_d93e11650
Frau	w7_d93e11653
Maria	w9_d93e11656
An	w11_d93e11659
na	w1_d93e11665
Fürstin	w3_d93e11668
von	w5_d93e11671
Fürstenberg,	w7_d93e11674
geborne	w9_d93e11677
Gräfin	w11_d93e11680
von	w1_d93e11685
Waldstein,	w3_d93e11688
so	w5_d93e11691
alhier	w7_d93e11694
den	w9_d93e11697
12.	w11_d93e11700
dieses	w13_d93e11704
lauf	w15_d93e11707
fenden	w1_d93e11712
Monats	w3_d93e11715
das	w5_d93e11718
Zeitliche	w7_d93e11721
mit	w9_d93e11724
dem	w11_d93e11727
Ewi	w13_d93e11731
gen	w1_d93e11736
verwechselt	w3_d93e11739
hat,	w5_d93e11742
die	w7_d93e11745
Exequien	w9_d93e11748
gehalten	w11_d93e11751
worden.	w1_d93e11757
</p>
<p id="p8_d93e11760">
Donnerstags	w1_d93e11764
den	w3_d93e11767
18.	w5_d93e11770
Vor	w7_d93e11773
und	w9_d93e11776
Nachmit	w11_d93e11779
</p>
<p id="p10_d93e11782">
tags	w1_d93e11786
ist	w3_d93e11789
das	w5_d93e11792
wochentliche	w7_d93e11795
Gebet,	w9_d93e11798
und	w11_d93e11801
Frey	w13_d93e11805
tags	w1_d93e11810
</p>
<p id="p12_d93e11814">
Der	w1_d93e11818
gewöhnliche	w3_d93e11821
ordinari	w5_d93e11824
GOttes=dienst	w7_d93e11827
in	w1_d93e11832
Beywohnung	w3_d93e11835
Allerhöchst	w5_d93e11838
und	w7_d93e11841
Höchster	w9_d93e11844
Herrschaften	w1_d93e11849
in	w3_d93e11852
der	w5_d93e11855
Kammer=kapellen	w7_d93e11858
ge	w9_d93e11861
halten	w1_d93e11867
worden.	w3_d93e11870
</p>
<p id="p14_d93e11873">
Jtem	w1_d93e11877
haben	w3_d93e11880
Jhre	w5_d93e11883
Königl.	w7_d93e11886
Hoheiten	w9_d93e11889
die	w11_d93e11892
ältere	w1_d93e11897
junge	w3_d93e11900
Herrschaften	w5_d93e11903
diese	w7_d93e11906
Octav	w9_d93e11909
hindurch	w1_d93e11914
in	w3_d93e11917
der	w5_d93e11920
St.	w7_d93e11923
Stanislai=kapellen	w9_d93e11926
dero	w11_d93e11929
Andacht	w1_d93e11935
abgewartet.	w3_d93e11938
Desgleichen	w5_d93e11941
haben	w7_d93e11944
frühe	w1_d93e11949
nach	w3_d93e11952
8.	w5_d93e11955
Uhr,	w7_d93e11958
Jhre	w9_d93e11961
Majestät	w11_d93e11964
die	w13_d93e11968
Kaise	w15_d93e11971
rin	w1_d93e11976
in	w3_d93e11979
der	w5_d93e11982
Kaiserlichen	w7_d93e11985
Krufte	w9_d93e11988
bey	w11_d93e11991
denen	w13_d93e11995
WW.	w1_d93e12000
EE.	w3_d93e12003
PP.	w5_d93e12006
Capucinern	w7_d93e12009
2.	w9_d93e12012
heiligen	w11_d93e12015
Messen	w13_d93e12019
beygewohnet.	w1_d93e12025
</p>
<p id="p16_d93e12028">
Eodem	w1_d93e12032
seynd	w3_d93e12035
Vormittags	w5_d93e12038
Jhro	w7_d93e12041
Hochfürstl.	w9_d93e12044
Eminenz	w1_d93e12049
der	w3_d93e12052
alhiesige	w5_d93e12055
Herr	w7_d93e12058
Cardinal	w9_d93e12061
Erz	w11_d93e12064
bischof,	w1_d93e12069
und	w3_d93e12072
der	w5_d93e12075
Päpstl.	w7_d93e12078
Monsig.	w9_d93e12081
Nuntius,	w11_d93e12084
die	w1_d93e12090
ausländische	w3_d93e12093
Herren	w5_d93e12096
Gesandte,	w7_d93e12099
und	w9_d93e12102
der	w11_d93e12105
sammentliche	w1_d93e12110
hohe	w3_d93e12113
Adel	w5_d93e12116
(um	w7_d93e12119
bey	w9_d93e12122
Jhrer	w11_d93e12125
Kö	w13_d93e12129
niglichen	w1_d93e12134
Hoheit	w3_d93e12137
der	w5_d93e12140
Durchleuchtigsten	w7_d93e12143
Erz	w9_d93e12146
herzogin	w1_d93e12151
Elisabeth,	w3_d93e12154
wegen	w5_d93e12157
Dero	w7_d93e12160
höchsten	w9_d93e12163
Namens=tages	w1_d93e12169
ihre	w3_d93e12172
Glük=wünsche	w5_d93e12175
abzulegen,	w7_d93e12178
bey	w1_d93e12183
Hof	w3_d93e12186
in	w5_d93e12189
Gala	w7_d93e12192
erschienen.	w9_d93e12195
</p>
<head id="h2_d93e12202">
Lista	w1_d93e12206
deren	w3_d93e12209
Verstorbenen	w5_d93e12212
zu	w7_d93e12215
Wien	w9_d93e12218
in	w1_d93e12223
und	w3_d93e12226
vor	w5_d93e12229
der	w7_d93e12232
Stadt.	w9_d93e12235
Den	w1_d93e12240
17.	w3_d93e12243
Novemb.	w5_d93e12246
Jn	w1_d93e12252
der	w3_d93e12255
Stadt.	w5_d93e12258
Niemand.	w7_d93e12261
Vor	w1_d93e12266
der	w3_d93e12269
Stadt.	w5_d93e12272
</head>
<list id="l4_d93e12275">
Dem	w1_d93e12279
Mich.	w3_d93e12282
Herman,	w5_d93e12285
Stadt=musico,	w7_d93e12288
s.	w9_d93e12291
K.	w11_d93e12294
Ant.,	w13_d93e12298
bey	w15_d93e12301
dem	w1_d93e12306
dl.	w3_d93e12309
Mond=schein	w5_d93e12312
im	w7_d93e12315
Liechtenth.,	w9_d93e12318
alt	w11_d93e12321
2.	w13_d93e12325
J.	w15_d93e12328
Dem	w1_d93e12333
Anbre	w3_d93e12336
Lambäck,	w5_d93e12339
Burgerl.	w7_d93e12342
Schuh=mach.,	w9_d93e12345
s.	w11_d93e12348
K.	w13_d93e12352
Anna,	w1_d93e12358
bey	w3_d93e12361
denen	w5_d93e12364
2.	w7_d93e12367
Nuß=baum.	w9_d93e12370
am	w11_d93e12373
Neubau,	w13_d93e12377
6.	w15_d93e12380
J.	w17_d93e12383
Dem	w1_d93e12388
Barthl.	w3_d93e12391
Brodman,	w5_d93e12394
Baden=badis.	w7_d93e12397
Caporalen,	w9_d93e12400
s.	w1_d93e12405
W.	w3_d93e12408
Rosal.,	w5_d93e12411
alt	w7_d93e12414
22.	w9_d93e12417
J.,	w11_d93e12420
und	w13_d93e12424
dem	w15_d93e12427
Joh.	w17_d93e12430
Wer	w19_d93e12433
brech,	w1_d93e12438
Waldeckis.	w3_d93e12441
Sold.,	w5_d93e12444
s.	w7_d93e12447
K.	w9_d93e12450
Balthas.,	w11_d93e12453
alt	w13_d93e12457
4.	w15_d93e12460
J.,	w1_d93e12466
beyde	w3_d93e12469
in	w5_d93e12472
der	w7_d93e12475
Casarm	w9_d93e12478
am	w11_d93e12481
Traid=markt.	w13_d93e12485
Maria	w1_d93e12490
Schmidin,	w3_d93e12493
alt	w5_d93e12496
80.	w7_d93e12499
J.,	w9_d93e12502
in	w11_d93e12505
St.	w13_d93e12509
Joh.	w15_d93e12512
Nep.	w17_d93e12515
Spit.	w19_d93e12518
Dem	w1_d93e12523
Niclas	w3_d93e12526
Voll,	w5_d93e12529
Lack.,	w7_d93e12532
s.	w9_d93e12535
K.	w11_d93e12538
Margar.,	w13_d93e12542
beym	w15_d93e12545
gold.	w17_d93e12548
Ritter	w1_d93e12553
bey	w3_d93e12556
Maria	w5_d93e12559
hülf,	w7_d93e12562
alt	w9_d93e12565
5.	w11_d93e12568
J.	w13_d93e12572
Dem	w1_d93e12578
Jos.	w3_d93e12581
Stagl,	w5_d93e12584
Tagw.,	w7_d93e12587
s.	w9_d93e12590
K.	w11_d93e12593
Theres.,	w13_d93e12597
beym	w15_d93e12600
rot.	w17_d93e12603
Thor	w1_d93e12608
zu	w3_d93e12611
Mätzleinstorf,	w5_d93e12614
alt	w7_d93e12617
7.	w9_d93e12620
J.	w11_d93e12623
Joh.	w1_d93e12628
Petzing,	w3_d93e12631
alt	w5_d93e12634
34.	w7_d93e12637
J.,	w9_d93e12640
bey	w11_d93e12643
denen	w13_d93e12647
FF.	w15_d93e12650
Mis.	w17_d93e12653
Summa	w1_d93e12658
8.	w3_d93e12661
Person.,	w5_d93e12664
darunter	w7_d93e12667
5.	w9_d93e12670
Kinder.	w11_d93e12673
</list>
<list id="l6_d93e12677">
Jud	w1_d93e12681
Jos.	w3_d93e12684
Hirschl	w5_d93e12687
Spitz,	w7_d93e12690
beym	w9_d93e12693
schwarz.	w11_d93e12696
Adler	w13_d93e12700
am	w15_d93e12703
rot.	w1_d93e12708
Thurn,	w3_d93e12711
alt	w5_d93e12714
36,	w7_d93e12717
J.	w9_d93e12720
</list>
<head id="h2_d93e12727">
Den	w1_d93e12731
18.	w3_d93e12734
Novemb.	w5_d93e12737
Jn	w1_d93e12742
der	w3_d93e12745
Stadt.	w5_d93e12748
</head>
<list id="l4_d93e12751">
Dem	w1_d93e12755
Joh.	w3_d93e12758
Adam	w5_d93e12761
Grengl,	w7_d93e12764
Burgerl.	w9_d93e12767
Schnür=mach.	w11_d93e12770
s.	w1_d93e12775
Ehew.	w3_d93e12778
Cathar.,	w5_d93e12781
im	w7_d93e12784
Stepter=hof,	w9_d93e12787
alt	w11_d93e12790
32.	w13_d93e12794
J.	w15_d93e12797
Pet.	w1_d93e12802
dickart,	w3_d93e12805
Hof=befr.	w5_d93e12808
Schlos.,	w7_d93e12811
im	w9_d93e12814
untern	w11_d93e12817
Passauer	w13_d93e12821
hof,	w1_d93e12827
alt	w3_d93e12830
69.	w5_d93e12833
J.	w7_d93e12836
</list>
<list id="l8_d93e12842">
Anna	w1_d93e12846
Hießin,	w3_d93e12849
led.	w5_d93e12852
M.,	w7_d93e12855
bey	w9_d93e12858
denen	w11_d93e12861
7.	w13_d93e12865
Chnr=fürst.	w15_d93e12868
am	w17_d93e12871
tok.	w1_d93e12876
Thurn,	w3_d93e12879
alt	w5_d93e12882
41.	w7_d93e12885
J.	w9_d93e12888
</list>
<head id="h2_d93e12895">
Vor	w1_d93e12899
der	w3_d93e12902
Stadt.	w5_d93e12905
</head>
<list id="l4_d93e12908">
Der	w1_d93e12912
Maria	w3_d93e12915
Helena	w5_d93e12918
Adorin,	w7_d93e12921
Wittwe,	w9_d93e12924
ihr	w11_d93e12927
K.	w13_d93e12931
Tav.,	w15_d93e12934
beym	w1_d93e12939
gold.	w3_d93e12942
Satel	w5_d93e12945
in	w7_d93e12948
der	w9_d93e12951
Leopoldst.,	w11_d93e12954
alt	w13_d93e12958
5.J.	w15_d93e12961
Dem	w1_d93e12966
Franz	w3_d93e12969
Timol,	w5_d93e12972
Kammer	w7_d93e12975
dien.,	w9_d93e12978
s.	w11_d93e12981
K.	w13_d93e12985
Ant.,	w15_d93e12988
bey	w17_d93e12991
der	w1_d93e12997
Flucht	w3_d93e13000
in	w5_d93e13003
Egypf.	w7_d93e13006
bey	w9_d93e13009
Maria=hulf,	w11_d93e13012
alt	w13_d93e13016
2.	w15_d93e13019
J.	w17_d93e13022
Dem	w1_d93e13027
Eraßm.	w3_d93e13030
Has,	w5_d93e13033
Burgerl.	w7_d93e13036
Tändl.,	w9_d93e13039
s.	w11_d93e13042
K	w13_d93e13046
Franri	w15_d93e13049
sca,	w1_d93e13054
bey	w3_d93e13057
denen	w5_d93e13060
5.	w7_d93e13063
Leich.	w9_d93e13066
am	w11_d93e13069
Spitalb.,	w13_d93e13073
alt	w15_d93e13076
2.	w17_d93e13079
J.	w19_d93e13082
Barb.	w1_d93e13087
Stöcklin,	w3_d93e13090
Wittwe,	w5_d93e13093
beym	w7_d93e13096
Dattel=baum	w9_d93e13099
im	w11_d93e13102
Lerchenf.,	w1_d93e13108
alt	w3_d93e13111
90.	w5_d93e13114
J.	w7_d93e13117
Simon	w1_d93e13122
Elend,	w3_d93e13125
Glocken=gies.,	w5_d93e13128
beym	w7_d93e13131
gut.	w9_d93e13134
Schäf.	w11_d93e13137
am	w13_d93e13141
Neustift,	w1_d93e13146
alt	w3_d93e13149
82	w5_d93e13152
J.	w7_d93e13155
Johanna	w1_d93e13160
Roßlerin,	w3_d93e13163
Burgerl.	w5_d93e13166
Wittwe,	w7_d93e13169
bey	w9_d93e13172
denen	w11_d93e13175
3.	w1_d93e13181
Herz.	w3_d93e13184
am	w5_d93e13187
Spitalberg,	w7_d93e13190
alt	w9_d93e13193
44.	w11_d93e13196
J.	w13_d93e13200
Dem	w1_d93e13205
Phil.	w3_d93e13208
Schreiber,	w5_d93e13211
Aufwart.	w7_d93e13214
im	w9_d93e13217
Combdi=H.,	w11_d93e13220
s.	w13_d93e13224
K.	w1_d93e13229
Anna,	w3_d93e13232
bey	w5_d93e13235
St.	w7_d93e13238
Anna	w9_d93e13241
in	w11_d93e13244
der	w13_d93e13248
Josephst.,	w15_d93e13251
alt	w17_d93e13254
2.	w19_d93e13257
J.	w21_d93e13260
Dem	w1_d93e13265
Joh.	w3_d93e13268
Neustätter,	w5_d93e13271
Zimmer=ges.,	w7_d93e13274
s.	w9_d93e13277
K.	w11_d93e13280
Jos,	w13_d93e13284
bey	w15_d93e13287
Maria=hülf	w1_d93e13293
im	w3_d93e13296
Liechtenth.,	w5_d93e13299
alt	w7_d93e13302
2.	w9_d93e13305
J.	w11_d93e13308
</list>
<head id="h2_d93e13315">
Summa	w1_d93e13319
11.	w3_d93e13322
Person.	w5_d93e13325
darunter	w7_d93e13328
5.	w9_d93e13331
Kinder.	w11_d93e13334
Den	w1_d93e13339
19.	w3_d93e13342
Novemb.	w5_d93e13345
Jn	w1_d93e13350
der	w3_d93e13353
Stadt.	w5_d93e13356
Niemand.	w7_d93e13359
Vor	w1_d93e13365
der	w3_d93e13368
Stadt.	w5_d93e13371
</head>
<list id="l4_d93e13374">
Carl	w1_d93e13378
Wertecker,	w3_d93e13381
Burgerl.	w5_d93e13384
Bier=leut=geb,	w7_d93e13387
in	w9_d93e13390
s.	w11_d93e13393
H.	w13_d93e13397
in	w1_d93e13402
der	w3_d93e13405
Leopoldst.,	w5_d93e13408
alt	w7_d93e13411
46.	w9_d93e13414
J.	w11_d93e13417
Jos.	w1_d93e13422
Walter,	w3_d93e13425
Tischl.,	w5_d93e13428
beym	w7_d93e13431
schwarz.	w9_d93e13434
Rab.	w11_d93e13437
im	w13_d93e13441
Liech	w15_d93e13444
tenth.,	w1_d93e13450
alt	w3_d93e13453
83.	w5_d93e13456
J.	w7_d93e13459
Eli	w1_d93e13464
ab.	w3_d93e13467
Siglin,	w5_d93e13470
Wittwe,	w7_d93e13473
beym	w9_d93e13476
schwarz.	w11_d93e13479
Mohr.	w13_d93e13483
in	w15_d93e13486
der	w1_d93e13491
Leopordst.,	w3_d93e13494
alt	w5_d93e13497
67.	w7_d93e13500
J.	w9_d93e13503
Dem	w1_d93e13508
Mich.	w3_d93e13511
Liebenberger,	w5_d93e13514
Chocolata=mach.,	w7_d93e13517
s.	w9_d93e13520
K.	w11_d93e13523
Theres.,	w1_d93e13529
derm	w3_d93e13532
schwarz.	w5_d93e13535
Adl.	w7_d93e13538
in	w9_d93e13541
der	w11_d93e13544
Josephst.	w13_d93e13548
6.	w15_d93e13551
J.	w17_d93e13554
Der	w1_d93e13559
Ursula	w3_d93e13562
Schusterin,	w5_d93e13565
Wittwe,	w7_d93e13568
ihr	w9_d93e13571
K.	w11_d93e13574
August.,	w13_d93e13578
bey	w1_d93e13583
der	w3_d93e13586
gold.	w5_d93e13589
Gans	w7_d93e13592
bey	w9_d93e13595
Maria=hülf,	w11_d93e13598
alt	w13_d93e13602
7.	w15_d93e13605
v.	w17_d93e13608
J.	w19_d93e13611
Dem	w1_d93e13616
Lorenz	w3_d93e13619
Götz,	w5_d93e13622
Strob=schneid.,	w7_d93e13625
s.	w9_d93e13628
K.	w11_d93e13631
Jos.,	w13_d93e13635
bey	w15_d93e13638
der	w1_d93e13644
schön.	w3_d93e13647
Schafferin	w5_d93e13650
zu	w7_d93e13653
Gumpendorf,	w9_d93e13656
7.	w11_d93e13659
v.	w13_d93e13663
J.	w15_d93e13666
Summa	w1_d93e13671
6.	w3_d93e13674
Person.,	w5_d93e13677
darunter	w7_d93e13680
3.	w9_d93e13683
Kinder.	w11_d93e13686
</list>
<head id="h2_d93e13693">
EDICT.	w1_d93e13697
</head>
<p id="p4_d93e13700">
Jch	w1_d93e13704
Johann	w3_d93e13707
Wilhelm,	w5_d93e13710
des	w7_d93e13713
Heil.	w9_d93e13716
Röm.	w11_d93e13719
Reichs	w1_d93e13724
Fürst	w3_d93e13727
von	w5_d93e13730
Trautfon,	w7_d93e13733
Graf	w9_d93e13736
zu	w11_d93e13739
Fal	w13_d93e13743
ckenstein,	w1_d93e13748
Freyherr	w3_d93e13751
zu	w5_d93e13754
Sprechen	w7_d93e13757
und	w9_d93e13760
Schro	w11_d93e13763
fenstein,	w1_d93e13769
Ritter	w3_d93e13772
des	w5_d93e13775
goldenen	w7_d93e13778
Vlieses,	w9_d93e13781
Jhrer	w11_d93e13784
Kaiserl.	w1_d93e13789
Königl.	w3_d93e13792
Majestät	w5_d93e13795
würklicher	w7_d93e13798
ge	w9_d93e13801
heimer	w1_d93e13806
Raht,	w3_d93e13809
Obrist=hofmeister	w5_d93e13812
und	w7_d93e13815
Land	w9_d93e13818
marschall	w1_d93e13823
in	w3_d93e13826
Oesterreich	w5_d93e13829
unter	w7_d93e13832
der	w9_d93e13835
Euß,	w11_d93e13838
rc.	w13_d93e13842
</p>
<p id="p6_d93e13845">
Gebe	w1_d93e13849
hiemit	w3_d93e13852
allen	w5_d93e13855
und	w7_d93e13858
jeden,	w9_d93e13861
welche	w11_d93e13864
an	w13_d93e13868
den	w15_d93e13871
Hoch	w1_d93e13876
und	w3_d93e13879
Wol=gebornen	w5_d93e13882
Grafen	w7_d93e13885
von	w9_d93e13888
He	w11_d93e13891
berstein	w1_d93e13896
Allerhöchst=gedacht	w3_d93e13899
Jhrer	w5_d93e13902
Kaiserl.	w7_d93e13905
Königl.	w1_d93e13911
Majestät	w3_d93e13914
Cammerern	w5_d93e13917
und	w7_d93e13920
