<doc id="wr_1758-07-22" attrs="word" year="1758" month="07" day="22" corpus="2">
<head id="h2_d263e3557">
Utrecht	w1_d263e3561
Ewigen	w11_d263e10854
ver	w13_d263e10858
wechselt.	w1_d263e10863
</p>
<p id="p18_d263e10866">
Briefe	w1_d263e10870
von	w3_d263e10873
Marseille	w5_d263e10876
enthalten,	w7_d263e10879
daß	w9_d263e10882
man	w11_d263e10885
daselbst	w1_d263e10890
die	w3_d263e10893
Nachricht	w5_d263e10896
habe,	w7_d263e10899
daß	w9_d263e10902
Louisburg	w11_d263e10905
von	w1_d263e10910
denen	w3_d263e10913
Engländern	w5_d263e10916
belagert	w7_d263e10919
seye,	w9_d263e10922
und	w11_d263e10925
daß	w1_d263e10931
sie	w3_d263e10934
bereits	w5_d263e10937
die	w7_d263e10940
Treucheen	w9_d263e10943
davor	w11_d263e10946
eröfnet	w13_d263e10950
hätten.	w1_d263e10955
</p>
<head id="h2_d263e10961">
Wien,	w1_d263e10965
den	w3_d263e10968
22.	w5_d263e10971
Julii	w7_d263e10974
1758.	w9_d263e10977
</head>
<p id="p4_d263e10980">
Mittwochs	w1_d263e10984
den	w3_d263e10987
19.	w5_d263e10990
dieses	w7_d263e10993
nach	w9_d263e10996
dem	w11_d263e10999
Vor	w13_d263e11003
mittägichen	w1_d263e11010
ordinari	w3_d263e11013
Gottes=dienst	w5_d263e11016
in	w7_d263e11019
der	w1_d263e11024
Schloß=capelle,	w3_d263e11027
haben	w5_d263e11030
Se.	w7_d263e11033
Majestät	w9_d263e11036
der	w11_d263e11039
Kaiser	w1_d263e11045
mit	w3_d263e11048
Sr.	w5_d263e11051
Königl.	w7_d263e11054
Hoheit	w9_d263e11057
dero	w11_d263e11060
Herrn	w13_d263e11064
Brudern	w1_d263e11069
Herzogen	w3_d263e11072
Carl	w5_d263e11075
zu	w7_d263e11078
Lothringen	w9_d263e11081
Kön.	w11_d263e11084
Hoheit	w1_d263e11089
in	w3_d263e11092
Begleitung	w5_d263e11095
einiger	w7_d263e11098
hohen	w9_d263e11101
Caval	w11_d263e11104
lieren,	w1_d263e11109
über	w3_d263e11112
die	w5_d263e11115
grossen	w7_d263e11118
Donau=brücken	w9_d263e11121
nacher	w11_d263e11124
Schloß=hof	w1_d263e11130
sich	w3_d263e11133
erhoben,	w5_d263e11136
um	w7_d263e11139
alda	w9_d263e11142
durch	w11_d263e11145
ein	w13_d263e11149
Paar	w1_d263e11154
Täge	w3_d263e11157
sich	w5_d263e11160
mit	w7_d263e11163
der	w9_d263e11166
Jagd	w11_d263e11169
zu	w13_d263e11173
erlustigen.	w15_d263e11176
Vorgestrigen	w1_d263e11181
Donnerstags	w3_d263e11184
den	w5_d263e11187
20	w7_d263e11190
ist	w9_d263e11193
aber	w11_d263e11196
</p>
<p id="p6_d263e11199">
mal	w1_d263e11203
eine	w3_d263e11206
Colonne	w5_d263e11209
Croaten,	w7_d263e11212
der	w9_d263e11215
schönsten	w11_d263e11218
Mannschaft	w1_d263e11223
hier	w3_d263e11226
vorbey	w5_d263e11229
über	w7_d263e11232
die	w9_d263e11235
grossen	w11_d263e11238
Do	w13_d263e11242
nau=brücken	w1_d263e11247
nach	w3_d263e11250
der	w5_d263e11253
Kaiserl.	w7_d263e11256
Königl.	w9_d263e11259
Ar.	w11_d263e11262
mee	w1_d263e11268
in	w3_d263e11271
Böheim	w5_d263e11274
marschiret.	w7_d263e11277
Wohin	w9_d263e11280
auch	w11_d263e11283
nämlichen	w1_d263e11288
Vormittags	w3_d263e11291
ein	w5_d263e11294
starker	w7_d263e11297
Transport	w9_d263e11300
wohl=exercirter	w1_d263e11305
Recruten,	w3_d263e11308
von	w5_d263e11311
hier	w7_d263e11314
abgeschi	w9_d263e11317
cket	w1_d263e11322
worden.	w3_d263e11325
</p>
<p id="p8_d263e11328">
Gestrigen	w1_d263e11332
Freytags	w3_d263e11335
ist	w5_d263e11338
auch	w7_d263e11341
die	w9_d263e11344
zweyte	w11_d263e11347
Colonne	w1_d263e11352
Croaten	w3_d263e11355
hier	w5_d263e11358
vorbey	w7_d263e11361
über	w9_d263e11364
die	w11_d263e11367
gros	w13_d263e11371
sen	w1_d263e11376
Donau=brücken	w3_d263e11379
nach	w5_d263e11382
Böheim	w7_d263e11385
marschiret.	w9_d263e11388
</p>
<head id="h2_d263e11394">
Lista	w1_d263e11398
deren	w3_d263e11401
Verstorbenen	w5_d263e11404
zu	w7_d263e11407
Wien	w9_d263e11410
in	w1_d263e11415
und	w3_d263e11418
vor	w5_d263e11421
der	w7_d263e11424
Stadt.	w9_d263e11427
Den	w1_d263e11432
18.	w3_d263e11435
Julii.	w5_d263e11438
Jn	w7_d263e11441
der	w9_d263e11444
Stadt.	w11_d263e11447
Dem	w1_d263e11453
Wenzel	w3_d263e11456
Rab,	w5_d263e11459
Burgerl.	w7_d263e11462
Schneid.,	w9_d263e11465
s.	w11_d263e11468
S.	w13_d263e11472
Jg.	w15_d263e11475
</head>
<list id="l4_d263e11478">
Christlan	w1_d263e11482
Sartori,	w3_d263e11485
gew.	w5_d263e11488
Salz=versilb.,	w7_d263e11491
beyn	w9_d263e11494
6.	w11_d263e11497
Lil.	w13_d263e11501
in	w1_d263e11506
der	w3_d263e11509
Josephst=,	w5_d263e11512
alt	w7_d263e11515
66.	w9_d263e11518
J.	w11_d263e11521
Dem	w1_d263e11526
Mich.	w3_d263e11529
Rotbauer,	w5_d263e11532
Kuchel=gart.,	w7_d263e11535
s.	w9_d263e11538
W.	w11_d263e11541
Clara,	w13_d263e11545
in	w1_d263e11551
s	w3_d263e11554
H.	w5_d263e11557
zu	w7_d263e11560
Erdberg.	w9_d263e11563
alt	w11_d263e11566
54.	w13_d263e11570
J.	w15_d263e11573
</list>
<head id="h2_d263e11580">
Vor	w1_d263e11584
der	w3_d263e11587
Stadt.	w5_d263e11590
</head>
<head id="h2_d263e11597">
Summa	w1_d263e11601
3.	w3_d263e11604
Person.,	w5_d263e11607
darunter	w7_d263e11610
0.	w9_d263e11613
Kind.	w11_d263e11616
Den	w1_d263e11621
19.	w3_d263e11624
Julii.	w5_d263e11627
Jn	w1_d263e11632
der	w3_d263e11635
Stadt.	w5_d263e11638
</head>
<list id="l4_d263e11641">
Dem	w1_d263e11645
Mart.	w3_d263e11648
Binatzer,	w5_d263e11651
Burg.	w7_d263e11654
Grätel=kr.,	w9_d263e11657
s.	w11_d263e11660
K.	w13_d263e11664
Ant.,	w15_d263e11667
im	w1_d263e11672
Wertenburgis.	w3_d263e11675
H.	w5_d263e11678
im	w7_d263e11681
Current=gäs.,	w9_d263e11684
4.	w11_d263e11687
1.	w13_d263e11691
h.	w15_d263e11694
J.	w17_d263e11697
Lonstant.	w1_d263e11702
Paraschkowitz,	w3_d263e11705
Griechis.	w5_d263e11708
Handels=m.,	w7_d263e11711
im	w9_d263e11714
Eteyrer=hof,	w1_d263e11720
alt	w3_d263e11723
67.	w5_d263e11726
J.	w7_d263e11729
</list>
<list id="l6_d263e11733">
Jos.	w1_d263e11737
Schilling,	w3_d263e11740
gew.	w5_d263e11743
Burgerl.	w7_d263e11746
Geschler=handl.,	w9_d263e11749
und	w11_d263e11752
Toback=amts=offic.,	w1_d263e11757
im	w3_d263e11760
Pfaibleris.	w5_d263e11763
H.	w7_d263e11766
im	w9_d263e11769
Jacd	w11_d263e11772
ber=gäs.,	w1_d263e11777
alt	w3_d263e11780
44.	w5_d263e11783
J.	w7_d263e11786
</list>
<head id="h2_d263e11793">
Vor	w1_d263e11797
der	w3_d263e11800
Stadt.	w5_d263e11803
</head>
<list id="l4_d263e11806">
Der	w1_d263e11810
Wol=geb.	w3_d263e11813
Hr.	w5_d263e11816
Conrad	w7_d263e11819
v.	w9_d263e11822
Dürnburg,	w11_d263e11825
K.	w13_d263e11829
K.	w15_d263e11832
Haupt=m.,	w1_d263e11837
im	w3_d263e11840
Engelshofis.	w5_d263e11843
H.	w7_d263e11846
in	w9_d263e11849
der	w11_d263e11852
Alster=gas.	w13_d263e11856
alt	w1_d263e11861
46.	w3_d263e11864
J.	w5_d263e11867
Dem	w1_d263e11873
Thom.	w3_d263e11876
Brandstätter,	w5_d263e11879
gew.	w7_d263e11882
Burgerl.	w9_d263e11885
Wirt.,	w11_d263e11888
s.	w1_d263e11893
W.	w3_d263e11896
Anna,	w5_d263e11899
im	w7_d263e11902
Triangis.	w9_d263e11905
H.	w11_d263e11908
in	w13_d263e11912
der	w15_d263e11915
Alster=gas.,	w17_d263e11918
olt	w1_d263e11923
38.	w3_d263e11926
J.	w5_d263e11929
Cathar.	w1_d263e11934
Lechnerin,	w3_d263e11937
Wittwe,	w5_d263e11940
bey	w7_d263e11943
der	w9_d263e11946
grün.	w11_d263e11949
Saus.	w13_d263e11953
im	w1_d263e11959
Liechtenth.,	w3_d263e11962
alt	w5_d263e11965
63.	w7_d263e11968
J.	w9_d263e11971
Dem	w1_d263e11976
Joh.	w3_d263e11979
Schuckmayr,	w5_d263e11982
Zimmer=ges.,	w7_d263e11985
s.	w9_d263e11988
K.	w11_d263e11991
Anna,	w13_d263e11995
im	w1_d263e12000
Schnür=macheris.	w3_d263e12003
H.	w5_d263e12006
in	w7_d263e12009
der	w9_d263e12012
Leopoldst.,	w11_d263e12015
6.	w13_d263e12019
v.	w15_d263e12022
J.	w17_d263e12025
Dem	w1_d263e12030
Georg	w3_d263e12033
Haitzinger,	w5_d263e12036
Kutsch.,	w7_d263e12039
s.	w9_d263e12042
K.	w11_d263e12045
Jos.,	w13_d263e12049
beyn	w15_d263e12052
3.	w1_d263e12058
Huf-tis.	w3_d263e12061
in	w5_d263e12064
der	w7_d263e12067
Koht=gas.,	w9_d263e12070
alt	w11_d263e12073
5.	w13_d263e12077
v.	w15_d263e12080
J.	w17_d263e12083
Dem	w1_d263e12088
Leonh.	w3_d263e12091
Sollner,	w5_d263e12094
Althanisch.	w7_d263e12097
Dragon.,	w9_d263e12100
s.	w11_d263e12103
K.	w13_d263e12107
Paul,	w1_d263e12112
in	w3_d263e12115
Starhembergisch.	w5_d263e12118
Zimmern	w7_d263e12121
auf	w9_d263e12124
der	w11_d263e12127
Wied.,	w1_d263e12132
alt	w3_d263e12135
5.	w5_d263e12138
v.	w7_d263e12141
J.	w9_d263e12144
Ant.	w1_d263e12150
Galler,	w3_d263e12153
Schuh=mach.,	w5_d263e12156
beyn	w7_d263e12159
3.	w9_d263e12162
Lil.	w11_d263e12165
im	w13_d263e12169
Lerchf.,	w15_d263e12172
alt	w1_d263e12177
36.	w3_d263e12180
J.	w5_d263e12183
Jgnatz	w1_d263e12188
Spiska,	w3_d263e12191
Lack.,	w5_d263e12194
beym	w7_d263e12197
gut.	w9_d263e12200
Hirt.	w11_d263e12203
auf	w13_d263e12207
der	w15_d263e12210
Land	w17_d263e12213
str.,	w1_d263e12218
alt	w3_d263e12221
33.	w5_d263e12224
J.	w7_d263e12227
Dem	w1_d263e12233
Lorenz	w3_d263e12236
Moßbacher,	w5_d263e12239
Jnvalid.,	w7_d263e12242
s.	w9_d263e12245
S.	w11_d263e12248
Carl,	w13_d263e12252
beyn	w15_d263e12255
3.	w1_d263e12260
König.	w3_d263e12263
in	w5_d263e12266
der	w7_d263e12269
Leopoldst.,	w9_d263e12272
alt	w11_d263e12275
13.	w13_d263e12279
J.	w15_d263e12282
Jos.	w1_d263e12287
Mayrhofer,	w3_d263e12290
Tagw.,	w5_d263e12293
welcher	w7_d263e12296
von	w9_d263e12299
einer	w11_d263e12302
Gestät.	w13_d263e12306
erschlagen	w1_d263e12311
worden,	w3_d263e12314
ist	w5_d263e12317
beym	w7_d263e12320
braun.	w9_d263e12323
Hirich.	w11_d263e12326
im	w13_d263e12330
Liechtenth.	w1_d263e12336
vom	w3_d263e12339
K.	w5_d263e12342
K.	w7_d263e12345
Stadt=gericht	w9_d263e12348
beschauch	w11_d263e12351
worden,	w1_d263e12356
alt	w3_d263e12359
60.	w5_d263e12362
J.	w7_d263e12365
Franz	w1_d263e12370
Böhm,	w3_d263e12373
ar.	w5_d263e12376
M.,	w7_d263e12379
am	w9_d263e12382
Gottes=acker	w11_d263e12385
bey	w13_d263e12389
St.	w15_d263e12392
Ul	w17_d263e12395
rich,	w1_d263e12400
alt	w3_d263e12403
64.	w5_d263e12406
J.	w7_d263e12409
</list>
<head id="h2_d263e12416">
Summa	w1_d263e12420
14.	w3_d263e12423
Person.,	w5_d263e12426
darunter	w7_d263e12429
4.	w9_d263e12432
Kind.	w11_d263e12435
Den	w1_d263e12440
20.	w3_d263e12443
Julii.	w5_d263e12446
Jn	w1_d263e12451
der	w3_d263e12454
Stadt.	w5_d263e12457
</head>
<list id="l4_d263e12460">
Dem	w1_d263e12464
Hrn.	w3_d263e12467
Math.	w5_d263e12470
Georg	w7_d263e12473
Engelmayr,	w9_d263e12476
K.	w11_d263e12479
K.	w13_d263e12483
Salz	w15_d263e12486
mach.,	w1_d263e12491
s.	w3_d263e12494
Fr.	w5_d263e12497
Anna	w7_d263e12500
Cathar.,	w9_d263e12503
in	w11_d263e12506
der	w13_d263e12510
Schuster	w15_d263e12513
herberg,	w1_d263e12518
alt	w3_d263e12521
33.	w5_d263e12524
J.	w7_d263e12527
Dem	w1_d263e12533
Wol-edel=gestr.	w3_d263e12536
Hrn.	w5_d263e12539
Joh.	w7_d263e12542
Georg	w9_d263e12545
Lembinet,	w11_d263e12548
K.	w1_d263e12553
K.	w3_d263e12556
Kammer=dien.,	w5_d263e12559
s.	w7_d263e12562
K.	w9_d263e12565
Carolina,	w11_d263e12568
bey	w13_d263e12572
dem	w15_d263e12575
grün.	w1_d263e12580
Baum	w3_d263e12583
in	w5_d263e12586
der	w7_d263e12589
Wallerstr.,	w9_d263e12592
alt	w11_d263e12595
7.	w13_d263e12599
v.	w15_d263e12602
H.	w17_d263e12605
</list>
<head id="h2_d263e12612">
Vor	w1_d263e12616
der	w3_d263e12619
Stadt.	w5_d263e12622
</head>
<list id="l4_d263e12625">
Dem	w1_d263e12629
Hrn.	w3_d263e12632
Joh.	w5_d263e12635
Jos.	w7_d263e12638
Seitz,	w9_d263e12641
K.	w11_d263e12644
K.	w13_d263e12648
N.	w15_d263e12651
Oe.	w17_d263e12654
Weg	w19_d263e12657
und	w21_d263e12660
Brucken=amts=canzel.,	w1_d263e12665
s.	w3_d263e12668
Fr.	w5_d263e12671
Reg.,	w7_d263e12674
im	w9_d263e12677
Heugru	w11_d263e12680
beris.	w1_d263e12685
H.	w3_d263e12688
in	w5_d263e12691
der	w7_d263e12694
Leopoldst.,	w9_d263e12697
alt	w11_d263e12700
30.	w13_d263e12704
J.	w15_d263e12707
Dem	w1_d263e12713
Joh.	w3_d263e12716
Schwed,	w5_d263e12719
Burgerl.	w7_d263e12722
Bild=bauern,	w9_d263e12725
s.	w11_d263e12728
S.	w13_d263e12732
Ant.,	w1_d263e12737
bey	w3_d263e12740
Adam,	w5_d263e12743
und	w7_d263e12746
Eva	w9_d263e12749
bey	w11_d263e12752
Maria=hülf,	w13_d263e12756
20.	w15_d263e12759
J.	w17_d263e12762
Joh.	w1_d263e12767
Fidler,	w3_d263e12770
Burgerl.	w5_d263e12773
Käpel=mach.,	w7_d263e12776
in	w9_d263e12779
s.	w11_d263e12782
H.	w13_d263e12786
am	w15_d263e12789
Magdal.	w1_d263e12794
gr.,	w3_d263e12797
alt	w5_d263e12800
56.	w7_d263e12803
J.	w9_d263e12806
Jgnatz	w1_d263e12812
Größ,	w3_d263e12815
Burgerl.	w5_d263e12818
Schuh=mach.	w7_d263e12821
im	w9_d263e12824
Stupma	w11_d263e12827
nis.	w1_d263e12832
H.	w3_d263e12835
in	w5_d263e12838
der	w7_d263e12841
Alster=gas.,	w9_d263e12844
alt	w11_d263e12847
66.	w13_d263e12851
J.	w15_d263e12854
Dem	w1_d263e12859
Andre	w3_d263e12862
Kleman,	w5_d263e12865
Lack.,	w7_d263e12868
s.	w9_d263e12871
K.	w11_d263e12874
Clara,	w13_d263e12878
im	w15_d263e12881
Traut	w17_d263e12884
sohnis.	w1_d263e12889
H.	w3_d263e12892
bey	w5_d263e12895
St.	w7_d263e12898
Ulrich,	w9_d263e12901
alt	w11_d263e12904
5.	w13_d263e12908
J.	w15_d263e12911
Ant.	w1_d263e12917
Penz,	w3_d263e12920
Schuh	w5_d263e12923
mach.,	w7_d263e12926
beym	w9_d263e12929
bl.	w11_d263e12932
Rös.	w13_d263e12936
ausser	w15_d263e12939
der	w17_d263e12942
Rossau,	w1_d263e12947
alt	w3_d263e12950
52.	w5_d263e12953
J.	w7_d263e12956
Thowasin	w1_d263e12961
Rosanin,	w3_d263e12964
Wittwe,	w5_d263e12967
beym	w7_d263e12970
schwarz.	w9_d263e12973
Adler	w11_d263e12976
zu	w1_d263e12981
Gumpendorf,	w3_d263e12984
alt	w5_d263e12987
83.	w7_d263e12990
J.	w9_d263e12993
Dem	w1_d263e12999
Gottl.	w3_d263e13002
Prager,	w5_d263e13005
Tagw.,	w7_d263e13008
s.	w9_d263e13011
K.	w11_d263e13014
Anna,	w13_d263e13018
in	w15_d263e13021
dem	w17_d263e13024
Bund=macheris.	w1_d263e13029
H.	w3_d263e13032
in	w5_d263e13035
der	w7_d263e13038
Leopoldst.,	w9_d263e13041
alt	w11_d263e13044
7.	w13_d263e13048
J.	w15_d263e13051
</list>
<head id="h4_d263e13060">
Den	w1_d263e13064
21.	w3_d263e13067
Julii.	w5_d263e13070
Jn	w1_d263e13075
der	w3_d263e13078
Stadt.	w5_d263e13081
</head>
<list id="l6_d263e13084">
Die	w1_d263e13088
Wol=ehrw.	w3_d263e13091
Chor=schwest.	w5_d263e13094
Gabriela.	w7_d263e13097
von	w9_d263e13100
Lüwe	w11_d263e13103
nau,	w1_d263e13108
im	w3_d263e13111
Kloster	w5_d263e13114
bey	w7_d263e13117
St.	w9_d263e13120
Ursula,	w11_d263e13123
alt	w13_d263e13127
75.	w15_d263e13130
J.	w17_d263e13133
Dem	w1_d263e13138
Hrn.	w3_d263e13141
Joh.	w5_d263e13144
Jacob	w7_d263e13147
Klein,	w9_d263e13150
Wechsel=caßlern,	w11_d263e13153
s.	w13_d263e13157
Fr.	w1_d263e13163
Maria	w3_d263e13166
Rebecca,	w5_d263e13169
im	w7_d263e13172
Brandweinerisch.	w9_d263e13175
H.	w11_d263e13178
am	w13_d263e13182
neuen	w1_d263e13187
Markt,	w3_d263e13190
alt	w5_d263e13193
25.	w7_d263e13196
J.	w9_d263e13199
</list>
<head id="h2_d263e13206">
Vor	w1_d263e13210
der	w3_d263e13213
Stadt.	w5_d263e13216
</head>
<list id="l4_d263e13219">
Der	w1_d263e13223
Hoch=edel=geb.	w3_d263e13226
Rit.	w5_d263e13229
Hr.	w7_d263e13232
Georg	w9_d263e13235
David	w11_d263e13238
v.	w13_d263e13242
Prink,	w15_d263e13245
Würtembergis.	w1_d263e13250
Haupt=m.,	w3_d263e13253
beym	w5_d263e13256
gold.	w7_d263e13259
Rös.	w9_d263e13262
in	w1_d263e13267
der	w3_d263e13270
Leopordst.,	w5_d263e13273
alt	w7_d263e13276
54.	w9_d263e13279
J.	w11_d263e13282
Dem	w1_d263e13288
Loren	w3_d263e13291
/	w5_d263e13294
Hofbauer,	w7_d263e13297
Burgerl	w9_d263e13300
Caffec=sied.,	w11_d263e13303
s.	w13_d263e13307
K.	w15_d263e13310
Magdal.,	w1_d263e13315
in	w3_d263e13318
s.	w5_d263e13321
am	w7_d263e13324
Spitalberg,	w9_d263e13327
alt	w11_d263e13330
5	w13_d263e13334
v.	w15_d263e13337
J.	w17_d263e13340
Dem	w1_d263e13345
Abrah	w3_d263e13348
Dellert,	w5_d263e13351
Burgerl.	w7_d263e13354
Geld=gies.,	w9_d263e13357
s.	w11_d263e13360
K.	w13_d263e13364
Joh.	w15_d263e13367
bey	w1_d263e13372
der	w3_d263e13375
rot.	w5_d263e13378
Bretz.	w7_d263e13381
bey	w9_d263e13384
Maria=hülf,	w11_d263e13387
alt	w13_d263e13391
3.	w15_d263e13394
J.	w17_d263e13397
Theres.	w1_d263e13403
Wagnerln,	w3_d263e13406
Wals,	w5_d263e13409
beym	w7_d263e13412
gold.	w9_d263e13415
Bärn	w11_d263e13418
in	w13_d263e13422
der	w1_d263e13427
Rossau,	w3_d263e13430
alt	w5_d263e13433
2.	w7_d263e13436
J.	w9_d263e13439
Anna	w1_d263e13444
Teiningerin,	w3_d263e13447
Wittwe,	w5_d263e13450
in	w7_d263e13453
der	w9_d263e13456
Reiter=casarm	w11_d263e13459
in	w1_d263e13464
der	w3_d263e13467
Lenpoldst.,	w5_d263e13470
alt	w7_d263e13473
78.	w9_d263e13476
J.	w11_d263e13479
Jos.	w1_d263e13485
Krammer,	w3_d263e13488
Tagw.,	w5_d263e13491
im	w7_d263e13494
Haus=meisteris.	w9_d263e13497
H.	w11_d263e13500
zu	w13_d263e13504
Gumpendorf,	w1_d263e13509
alt	w3_d263e13512
41.	w5_d263e13515
J.	w7_d263e13518
</list>
<head id="h2_d263e13526">
Suma	w1_d263e13530
8	w3_d263e13533
Person.	w5_d263e13536
darunter	w7_d263e13539
3.	w9_d263e13542
Kind.	w11_d263e13545
</head>
<head id="h2_d263e13551">
EDICT.	w1_d263e13555
</head>
<p id="p4_d263e13558">
Von	w1_d263e13562
der	w3_d263e13565
Röm.	w5_d263e13568
Kaiserl.	w7_d263e13571
Königl.	w9_d263e13574
Majest.	w11_d263e13577
N.	w1_d263e13582
Oe.	w3_d263e13585
Regierung	w5_d263e13588
in	w7_d263e13591
Justitz	w9_d263e13594
sachen,	w11_d263e13597
wegen	w13_d263e13601
wayl.	w1_d263e13606
Jacobi	w3_d263e13609
Föhr,	w5_d263e13612
gewest	w7_d263e13615
Kais	w9_d263e13618
Nieder	w11_d263e13621
lags=verwandtens,	w1_d263e13627
oder	w3_d263e13630
nunmehro	w5_d263e13633
dessen	w7_d263e13636
ruckgelassenen	w1_d263e13641
Befreundten	w3_d263e13644
und	w5_d263e13647
Erben,	w7_d263e13650
hie	w9_d263e13653
mit	w1_d263e13658
anzufügen;	w3_d263e13661
Welchergestalten	w5_d263e13664
bey	w7_d263e13667
Jhr	w9_d263e13670
Regierung,	w1_d263e13675
weyl.	w3_d263e13678
Johann	w5_d263e13681
Anton	w7_d263e13684
Geissen	w9_d263e13687
hofs	w1_d263e13693
Massæ	w3_d263e13696
gerichtl.	w5_d263e13699
aufgestelter	w7_d263e13702
Curator	w9_d263e13705
ad	w1_d263e13710
lites	w3_d263e13713
Rudolph	w5_d263e13716
Wachtl,	w7_d263e13719
J.	w9_d263e13722
U.	w11_d263e13725
D.	w13_d263e13729
auch	w15_d263e13732
Hof	w1_d263e13737
und	w3_d263e13740
Gerichts=advocatus,	w5_d263e13743
um	w7_d263e13746
Erfolg.	w1_d263e13751
lassung	w1_d263e13757
des	w3_d263e13760
durch	w5_d263e13763
abgeführte	w7_d263e13766
Gradus	w9_d263e13769
Exe-	w11_d263e13772
cutionis	w1_d263e13777
eingeklagten,	w3_d263e13780
&	w5_d263e13783
cum	w7_d263e13786
omni	w9_d263e13789
sua	w11_d263e13792
causa	w1_d263e13797
in	w3_d263e13800
Capitali	w5_d263e13803
Interesse,	w7_d263e13806
und	w9_d263e13809
gerichtl.	w11_d263e13812
Moderirten	w1_d263e13817
Expensen	w3_d263e13820
per	w5_d263e13823
224.	w7_d263e13826
fl.	w9_d263e13829
dieser	w11_d263e13832
wegen	w1_d263e13838
verpfändeten	w3_d263e13841
Bancal-extract	w5_d263e13844
dd.	w7_d263e13847
1ma	w1_d263e13852
lanua	w3_d263e13855
ii	w5_d263e13858
1736.	w7_d263e13861
per	w9_d263e13864
20	w11_d263e13867
fl	w13_d263e13871
sammt	w15_d263e13874
an	w17_d263e13877
geloffenen	w1_d263e13882
Jnteressen	w3_d263e13885
gehörig	w5_d263e13888
angelanget,	w7_d263e13891
und	w9_d263e13894
wegen	w1_d263e13899
weiterer	w3_d263e13902
Verfügung	w5_d263e13905
zu	w7_d263e13908
Bewürkung	w9_d263e13911
dieser	w1_d263e13917
Erfolglassung	w3_d263e13920
gebetten	w5_d263e13923
habe;	w7_d263e13926
Wann	w9_d263e13929
nun	w1_d263e13934
über	w3_d263e13937
das	w5_d263e13940
dieser	w7_d263e13943
willen	w9_d263e13946
ad	w11_d263e13949
Plenum	w13_d263e13953
er	w15_d263e13956
stattete	w1_d263e13961
Reserat	w3_d263e13964
von	w5_d263e13967
Regierung	w7_d263e13970
verordnet,	w9_d263e13973
und	w1_d263e13978
die	w3_d263e13981
vorgeweste	w5_d263e13984
Erforderung	w7_d263e13987
auf	w9_d263e13990
den	w11_d263e13993
22	w13_d263e13997
eingehenden	w1_d263e14003
Monats	w3_d263e14006
August.	w5_d263e14009
dergestalten	w7_d263e14012
mit	w1_d263e14017
all=vorigen	w3_d263e14020
Anhang	w5_d263e14023
erstrecket	w7_d263e14026
worden;	w9_d263e14029
daß	w1_d263e14034
sie	w3_d263e14037
weyl.	w5_d263e14040
Jacobi	w7_d263e14043
Föhr,	w9_d263e14046
gewest	w11_d263e14049
Kais.	w13_d263e14053
Nie	w15_d263e14056
derlags=verwandten,	w1_d263e14061
hinterlassene	w3_d263e14064
Befreund	w5_d263e14067
te	w1_d263e14073
und	w3_d263e14076
Erben,	w5_d263e14079
auf	w7_d263e14082
ersagten	w9_d263e14085
22sten	w11_d263e14088
August.	w13_d263e14092
fruh	w1_d263e14097
um	w3_d263e14100
9.	w5_d263e14103
Uhr	w7_d263e14106
also	w9_d263e14109
gewiß	w11_d263e14112
erscheinen,	w13_d263e14116
und	w15_d263e14119
ihre	w1_d263e14124
Nothdurften	w3_d263e14127
verhandlen	w5_d263e14130
sollen;	w7_d263e14133
wie	w9_d263e14136
im	w11_d263e14139
widrigen	w1_d263e14144
in	w3_d263e14147
die	w5_d263e14150
von	w7_d263e14153
dem	w9_d263e14156
Geissenhoffischen.	w11_d263e14159
</p>
<p id="p6_d263e14162">
Curatore	w1_d263e14166
ad	w3_d263e14169
lites	w5_d263e14172
Doctore	w7_d263e14175
Wachtl	w9_d263e14178
gebek	w11_d263e14181
tene	w1_d263e14186
Erfolglassung	w3_d263e14189
des	w5_d263e14192
von	w7_d263e14195
dem	w9_d263e14198
Jacob	w11_d263e14201
Föhr	w1_d263e14206
in	w3_d263e14209
die	w5_d263e14212
Johann	w7_d263e14215
Anton	w9_d263e14218
Geissenhoffische	w11_d263e14221
Massam	w1_d263e14227
schuldigen	w3_d263e14230
Capitals	w5_d263e14233
per	w7_d263e14236
100.	w9_d263e14239
fl.	w11_d263e14242
cum	w1_d263e14247
sua	w3_d263e14250
causa,	w5_d263e14253
dann	w7_d263e14256
denen	w9_d263e14259
gerichtl.	w11_d263e14262
mo-	w13_d263e14266
derirten	w1_d263e14271
Expensen	w3_d263e14274
per	w5_d263e14277
61	w7_d263e14280
fl.	w9_d263e14283
3.	w11_d263e14286
Kr.	w13_d263e14290
von	w15_d263e14293
dem	w1_d263e14298
Jacob	w3_d263e14301
Föhr	w5_d263e14304
dem	w7_d263e14307
Johann	w9_d263e14310
Anton	w11_d263e14313
Geis	w13_d263e14317
senhof,	w1_d263e14323
zum	w3_d263e14326
Unterpfand	w5_d263e14329
behändigten	w7_d263e14332
Ban-	w9_d263e14335
cal-extract	w1_d263e14340
dd.	w3_d263e14343
1ma	w5_d263e14346
Jan.	w7_d263e14349
1736	w9_d263e14352
per	w11_d263e14355
200.	w13_d263e14359
fl.	w1_d263e14364
gewilliget;	w3_d263e14367
annebens	w5_d263e14370
diese	w7_d263e14373
Verordnung	w9_d263e14376
ihnen	w1_d263e14381
Jacob	w3_d263e14384
Föhrischen	w5_d263e14387
Befreundten	w7_d263e14390
und	w9_d263e14393
Er	w11_d263e14396
ben,	w1_d263e14402
