<doc id="wr_1760-10-29" attrs="word" year="1760" month="10" day="29" corpus="2">
<head id="h2_d496e3512">
Stralsund	w1_d496e3516
Feind	w5_d496e10801
hat	w7_d496e10804
dasselbe	w9_d496e10807
verfolget,	w11_d496e10810
und	w1_d496e10815
mit	w3_d496e10818
einem	w5_d496e10821
Theil	w7_d496e10824
seiner	w9_d496e10827
Trupen	w11_d496e10830
den	w13_d496e10834
Ca	w15_d496e10837
nal	w1_d496e10842
paßiret,	w3_d496e10845
worauf	w5_d496e10848
der	w7_d496e10851
Marquis	w9_d496e10854
von	w11_d496e10857
Castries	w1_d496e10862
denen	w3_d496e10865
Flüchtigen	w5_d496e10868
zu	w7_d496e10871
Hülf	w9_d496e10874
gekom	w11_d496e10877
men,	w1_d496e10883
den	w3_d496e10886
Feind	w5_d496e10889
mit	w7_d496e10892
vieler	w9_d496e10895
Tapferkeit	w11_d496e10898
ange	w13_d496e10902
griffen,	w1_d496e10907
und	w3_d496e10910
denselben	w5_d496e10913
nach	w7_d496e10916
einem	w9_d496e10919
langen	w11_d496e10922
Gefechte,	w1_d496e10927
wobey	w3_d496e10930
der	w5_d496e10933
Feind	w7_d496e10936
sehr	w9_d496e10939
vielen	w11_d496e10942
Scha	w13_d496e10946
den	w1_d496e10951
gelitten,	w3_d496e10954
endlichen	w5_d496e10957
zurücke	w7_d496e10960
geschlagen,	w9_d496e10963
man	w1_d496e10969
hat	w3_d496e10972
die	w5_d496e10975
Geschlagene	w7_d496e10978
bis	w9_d496e10981
Burich	w11_d496e10984
ver	w13_d496e10988
folget,	w1_d496e10993
welcher	w3_d496e10996
Platz	w5_d496e10999
nach	w7_d496e11002
einiger	w9_d496e11005
Meinung	w11_d496e11008
auch	w1_d496e11013
in	w3_d496e11016
die	w5_d496e11019
Hände	w7_d496e11022
unserer	w9_d496e11025
Trupen	w11_d496e11028
solle	w13_d496e11032
ge	w15_d496e11035
fallen	w1_d496e11040
seyn,	w3_d496e11043
bis	w5_d496e11046
jetzo	w7_d496e11049
aber	w9_d496e11052
hat	w11_d496e11055
mann	w13_d496e11059
noch	w15_d496e11062
keine	w1_d496e11068
gewisse	w3_d496e11071
Nachricht	w5_d496e11074
davon.	w7_d496e11077
</p>
<p id="p20_d496e11080">
Die	w1_d496e11084
Feinde	w3_d496e11087
haben	w5_d496e11090
ihre	w7_d496e11093
Tod	w9_d496e11096
und	w11_d496e11099
Ver	w13_d496e11103
wundete,	w1_d496e11108
dann	w3_d496e11111
eine	w5_d496e11114
Meuge	w7_d496e11117
Gefangene,	w9_d496e11120
Estandarten,	w1_d496e11125
und	w3_d496e11128
Canonen	w5_d496e11131
auf	w7_d496e11134
dem	w9_d496e11137
Schlacht	w11_d496e11140
feld	w1_d496e11146
gelassen.	w3_d496e11149
Derselben	w5_d496e11152
Verlust	w7_d496e11155
muß	w9_d496e11158
aus	w11_d496e11161
serordentlich	w1_d496e11166
beträchtig	w3_d496e11169
seyn,	w5_d496e11172
den	w7_d496e11175
unsrigen	w9_d496e11178
schätzet	w1_d496e11183
man	w3_d496e11186
nicht	w5_d496e11189
höher,	w7_d496e11192
als	w9_d496e11195
auf	w11_d496e11198
1500.	w13_d496e11202
Mann.	w1_d496e11207
Wir	w3_d496e11210
haben	w5_d496e11213
viele,	w7_d496e11216
aber	w9_d496e11219
der	w11_d496e11222
mei	w13_d496e11226
ste	w1_d496e11232
Theil	w3_d496e11235
leicht=verwundete	w5_d496e11238
hohe	w7_d496e11241
Officiers,	w9_d496e11244
worunter	w1_d496e11249
der	w3_d496e11252
Marquis	w5_d496e11255
von	w7_d496e11258
Segur,	w9_d496e11261
Gene	w11_d496e11264
ral=leutenant,	w1_d496e11269
so	w3_d496e11272
zugleich	w5_d496e11275
in	w7_d496e11278
die	w9_d496e11281
feindliche	w11_d496e11284
Gefangenschaft	w1_d496e11289
gerahten,	w3_d496e11292
begriffen	w5_d496e11295
ist	w7_d496e11298
</p>
<p id="p22_d496e11301">
Der	w1_d496e11305
Marquis	w3_d496e11308
von	w5_d496e11311
Castries	w7_d496e11314
kan	w9_d496e11317
nicht	w11_d496e11320
ge	w13_d496e11324
ung	w1_d496e11329
die	w3_d496e11332
Tapferkeit,	w5_d496e11335
und	w7_d496e11338
unerschrockenen	w9_d496e11341
Mut	w11_d496e11344
deren	w1_d496e11349
General=officieren	w3_d496e11352
sowol,	w5_d496e11355
als	w7_d496e11358
deren	w9_d496e11361
Brigadieren,	w1_d496e11367
und	w3_d496e11370
aller	w5_d496e11373
Trupen,	w7_d496e11376
so	w9_d496e11379
an	w11_d496e11382
die	w13_d496e11386
sem	w1_d496e11391
Gefecht	w3_d496e11394
Theil	w5_d496e11397
genommen,	w7_d496e11400
anrühmen.	w9_d496e11403
Er	w1_d496e11408
selbsten	w3_d496e11411
aber	w5_d496e11414
verdienet	w7_d496e11417
das	w9_d496e11420
gröste	w11_d496e11423
Lob,	w13_d496e11427
indeme	w1_d496e11432
der	w3_d496e11435
glückliche	w5_d496e11438
Erfolg	w7_d496e11441
dieser	w9_d496e11444
sehr	w11_d496e11447
leb	w13_d496e11451
haften	w1_d496e11457
Action	w3_d496e11460
ihme	w5_d496e11463
alleine	w7_d496e11466
wegen	w9_d496e11469
seinen	w11_d496e11472
klu	w13_d496e11476
gen	w1_d496e11481
Anstalten	w3_d496e11484
und	w5_d496e11487
Tapferkeit	w7_d496e11490
zuzuschreiben.	w9_d496e11493
Den	w1_d496e11498
16.	w3_d496e11501
hat	w5_d496e11504
eröfterter	w7_d496e11507
Hr.	w9_d496e11510
Marquis	w11_d496e11513
von	w13_d496e11517
</p>
<p id="p28_d496e11531">
Castries	w1_d496e11535
einen	w3_d496e11538
beträchtigen	w5_d496e11541
Suceurs	w7_d496e11544
in	w9_d496e11547
We	w11_d496e11550
fel	w1_d496e11555
geworfen,	w3_d496e11558
dahero	w5_d496e11561
man	w7_d496e11564
glaubet,	w9_d496e11567
daß	w11_d496e11570
die	w13_d496e11574
Belagerung	w1_d496e11579
schon	w3_d496e11582
würklich	w5_d496e11585
aufgehoben	w7_d496e11588
seyn	w9_d496e11591
werde.	w1_d496e11597
Man	w3_d496e11600
betrachtet	w5_d496e11603
diesen	w7_d496e11606
Erfolg	w9_d496e11609
für	w11_d496e11612
ei	w13_d496e11616
nen	w1_d496e11621
der	w3_d496e11624
glücklichst	w5_d496e11627
und	w7_d496e11630
herrlichsten,	w9_d496e11633
so	w11_d496e11636
sich	w13_d496e11640
je	w15_d496e11643
malen	w1_d496e11648
zutragen	w3_d496e11651
können,	w5_d496e11654
von	w7_d496e11657
welchem	w9_d496e11660
die	w11_d496e11663
Po	w13_d496e11667
sition	w1_d496e11672
der	w3_d496e11675
Winter=quartiere,	w5_d496e11678
und	w7_d496e11681
derselben	w9_d496e11684
Ruhe	w1_d496e11690
unfehlbar	w3_d496e11693
abhangen	w5_d496e11696
dörfte	w7_d496e11699
</p>
<head id="h2_d496e11705">
Wien	w1_d496e11709
den	w3_d496e11712
29.	w5_d496e11715
October	w7_d496e11718
1760.	w9_d496e11721
</head>
<p id="p4_d496e11724">
Sonntags	w1_d496e11728
den	w3_d496e11731
26.	w5_d496e11734
Octob.	w7_d496e11737
Vormittags	w9_d496e11740
um	w1_d496e11745
9.	w3_d496e11748
Uhr	w5_d496e11751
ware	w7_d496e11754
bey	w9_d496e11757
Hof	w11_d496e11760
die	w13_d496e11764
jähr	w15_d496e11767
lich	w1_d496e11772
gewöhnliche	w3_d496e11775
Landtags=proposition,	w5_d496e11778
de	w7_d496e11781
ren	w1_d496e11787
alhiesigen	w3_d496e11790
Herren	w5_d496e11793
Landes=ständen,	w7_d496e11796
dann	w9_d496e11799
gegen	w1_d496e11804
11.	w3_d496e11807
Uhr	w5_d496e11810
der	w7_d496e11813
offentliche	w9_d496e11816
GOttes=dienst	w11_d496e11819
in	w1_d496e11824
der	w3_d496e11827
grossen	w5_d496e11830
Hof=capellen;	w7_d496e11833
Mittags	w9_d496e11836
haben	w11_d496e11839
beede	w1_d496e11844
Kais.	w3_d496e11847
Majestäten	w5_d496e11850
mit	w7_d496e11853
Jhren	w9_d496e11856
Königl.	w11_d496e11859
Hoheiten,	w1_d496e11865
denen	w3_d496e11868
älteren	w5_d496e11871
Durchl.	w7_d496e11874
Herrschaf	w9_d496e11877
ten	w1_d496e11882
offentlich	w3_d496e11885
gespeiset,	w5_d496e11888
Nachmittags	w7_d496e11891
aber	w9_d496e11894
um	w1_d496e11899
3.	w3_d496e11902
Uhr	w5_d496e11905
mit	w7_d496e11908
Jhren	w9_d496e11911
Königl.	w11_d496e11914
Hoheiten	w13_d496e11918
dem	w1_d496e11923
Durchl.	w3_d496e11926
Erz=herzogen	w5_d496e11929
Joseph,	w7_d496e11932
dann	w9_d496e11935
denen	w1_d496e11941
Durchl.	w3_d496e11944
Erz=herzoginen	w5_d496e11947
Jsabella,	w7_d496e11950
Ma	w9_d496e11953
ria	w1_d496e11958
Anna,	w3_d496e11961
Christina,	w5_d496e11964
und	w7_d496e11967
Prinzeßin	w9_d496e11970
Charlot	w11_d496e11973
te	w1_d496e11978
in	w3_d496e11981
offentlichem	w5_d496e11984
Staat	w7_d496e11987
zu	w9_d496e11990
St.	w11_d496e11993
Peter	w13_d496e11997
bege	w15_d496e12000
ben,	w1_d496e12005
und	w3_d496e12008
allda	w5_d496e12011
wegen	w7_d496e12014
der	w9_d496e12017
Jahrsgedächt	w11_d496e12020
nuß	w1_d496e12026
der	w3_d496e12029
abgewendeten	w5_d496e12032
Pest,	w7_d496e12035
der	w9_d496e12038
gewöhn	w11_d496e12041
lichen	w1_d496e12046
Andacht	w3_d496e12049
beygewohnet.	w5_d496e12052
</p>
<p id="p6_d496e12055">
Montags	w1_d496e12059
den	w3_d496e12062
27.	w5_d496e12065
October	w7_d496e12068
seynd	w9_d496e12071
beede	w11_d496e12074
Kaiserl.	w1_d496e12079
Majestäten	w3_d496e12082
mit	w5_d496e12085
Staats	w7_d496e12088
und	w9_d496e12091
Lan	w11_d496e12094
des=sachen	w1_d496e12099
beschäftiget	w3_d496e12102
gewesen;	w5_d496e12105
dann	w7_d496e12108
Nach	w9_d496e12111
mittags	w1_d496e12117
um	w3_d496e12120
5.	w5_d496e12123
Uhr	w7_d496e12126
haben	w9_d496e12129
Se.	w11_d496e12132
Majestät	w13_d496e12136
der	w15_d496e12139
Kaiser	w1_d496e12144
mit	w3_d496e12147
Jhren	w5_d496e12150
Königl.	w7_d496e12153
Hoheiten	w9_d496e12156
denen	w11_d496e12159
Durchl.	w1_d496e12164
Erz	w3_d496e12167
herzogen	w5_d496e12170
Joseph,	w7_d496e12173
Carl,	w9_d496e12176
und	w11_d496e12179
Leo	w13_d496e12183
pold,	w1_d496e12188
wie	w3_d496e12191
auch	w5_d496e12194
in	w7_d496e12197
Aufwartung	w9_d496e12200
deren	w11_d496e12203
Herren	w13_d496e12207
Toisonisten	w1_d496e12213
der	w3_d496e12216
Vesper,	w5_d496e12219
und	w7_d496e12222
</p>
<p id="p8_d496e12225">
Dienstags	w1_d496e12229
den	w3_d496e12232
28.	w5_d496e12235
als	w7_d496e12238
am	w9_d496e12241
Fest	w11_d496e12244
Simo	w13_d496e12248
nis	w1_d496e12253
und	w3_d496e12256
Judä,	w5_d496e12259
Vormittags	w7_d496e12262
gegen	w9_d496e12265
11.	w11_d496e12268
Uhr	w13_d496e12272
dem	w1_d496e12277
feyerlichen	w3_d496e12280
Toison=amt	w5_d496e12283
in	w7_d496e12286
der	w9_d496e12289
grossen	w11_d496e12292
Hof=capellen,	w1_d496e12298
Jhre	w3_d496e12301
Majest.	w5_d496e12304
die	w7_d496e12307
Kaiferin	w9_d496e12310
aber	w1_d496e12315
mit	w3_d496e12318
Jhren	w5_d496e12321
Königl.	w7_d496e12324
Hoheiten	w9_d496e12327
denen	w11_d496e12330
Durchl.	w1_d496e12335
Erz=herzoginen	w3_d496e12338
Vor	w5_d496e12341
und	w7_d496e12344
Nachmit	w9_d496e12347
tags	w1_d496e12352
dem	w3_d496e12355
gewöhnlichen	w5_d496e12358
ordinariGOttes	w7_d496e12361
dienst	w1_d496e12367
in	w3_d496e12370
der	w5_d496e12373
Cammer=capellen	w7_d496e12376
abgewartet.	w9_d496e12379
</p>
<head id="h2_d496e12386">
Lista	w1_d496e12390
deren	w3_d496e12393
Verstorbenen	w5_d496e12396
zu	w7_d496e12399
Wien	w9_d496e12402
in	w1_d496e12407
und	w3_d496e12410
vor	w5_d496e12413
der	w7_d496e12416
Stadt.	w9_d496e12419
Den	w1_d496e12424
24.	w3_d496e12427
Octob.	w5_d496e12430
Jn	w1_d496e12436
der	w3_d496e12439
Stadt.	w5_d496e12442
</head>
<list id="l4_d496e12445">
Die	w1_d496e12449
(Tit.)	w3_d496e12452
Fr.	w5_d496e12455
Elisab.	w7_d496e12458
Sehrin	w9_d496e12461
v.	w11_d496e12464
Prandeneck,	w13_d496e12468
Wit.	w15_d496e12471
in	w1_d496e12476
der	w3_d496e12479
Juristen=schul,	w5_d496e12482
alt	w7_d496e12485
91.	w9_d496e12488
J.	w11_d496e12491
Hr.	w1_d496e12496
Franz	w3_d496e12499
Jlger,	w5_d496e12502
Universitäts=buchführ,	w7_d496e12505
beym	w9_d496e12508
Zahn	w11_d496e12511
am	w1_d496e12517
Juden=platz,	w3_d496e12520
alt	w5_d496e12523
50.	w7_d496e12526
J.	w9_d496e12529
Fr.	w1_d496e12534
Clara	w3_d496e12537
Scharnaglin,	w5_d496e12540
Burgerl.	w7_d496e12543
Wittwe,	w9_d496e12546
im	w11_d496e12549
See	w13_d496e12553
lausis.	w1_d496e12558
H.	w3_d496e12561
im	w5_d496e12564
tief.	w7_d496e12567
Grab.,	w9_d496e12570
alt	w11_d496e12573
61.	w13_d496e12577
J.	w15_d496e12580
Lor.	w1_d496e12585
Rab,	w3_d496e12588
Kutsch,	w5_d496e12591
im	w7_d496e12594
Bischof	w9_d496e12597
hof,	w11_d496e12600
alt	w13_d496e12604
40.	w15_d496e12607
J.	w17_d496e12610
</list>
<head id="h2_d496e12617">
Vor	w1_d496e12621
der	w3_d496e12624
Stadt.	w5_d496e12627
</head>
<list id="l4_d496e12630">
Andre	w1_d496e12634
Hundsgruber,	w3_d496e12637
Zimmer=ges.,	w5_d496e12640
bey	w7_d496e12643
dem	w9_d496e12646
gold.	w11_d496e12649
Hirsch.	w1_d496e12654
bey	w3_d496e12657
Maria=hülf,	w5_d496e12660
alt	w7_d496e12663
44	w9_d496e12666
J.	w11_d496e12669
Dem	w1_d496e12674
Franz	w3_d496e12677
Rosini,	w5_d496e12680
Kuchel=trag.,	w7_d496e12683
s.	w9_d496e12686
K.	w11_d496e12689
Andre,	w13_d496e12693
im	w15_d496e12696
Baumgartneris.	w1_d496e12702
H.	w3_d496e12705
auf	w5_d496e12708
der	w7_d496e12711
Wied,	w9_d496e12714
alt	w11_d496e12717
6	w13_d496e12721
J.	w15_d496e12724
Dem	w1_d496e12729
Joh.	w3_d496e12732
Strempfel,	w5_d496e12735
Strümpf=würk.,	w7_d496e12738
s.	w9_d496e12741
K.	w11_d496e12744
Rö	w13_d496e12748
salia,	w1_d496e12753
beym	w3_d496e12756
rot	w5_d496e12759
Rös.	w7_d496e12762
am	w9_d496e12765
Neustift,	w11_d496e12768
alt	w13_d496e12772
5.	w15_d496e12775
J.	w17_d496e12778
Paul	w1_d496e12783
Veigl,	w3_d496e12786
Tagelöhn.,	w5_d496e12789
im	w7_d496e12792
Bergeris.	w9_d496e12795
H.	w11_d496e12798
auf	w13_d496e12802
der	w15_d496e12805
Wied.,	w1_d496e12811
alt	w3_d496e12814
79.	w5_d496e12817
J.	w7_d496e12820
</list>
<head id="h2_d496e12827">
Summa	w1_d496e12831
8.	w3_d496e12834
Person.,	w5_d496e12837
darunter	w7_d496e12840
2.	w9_d496e12843
Kind.	w11_d496e12846
Den	w1_d496e12851
25.	w3_d496e12854
Octob.	w5_d496e12857
Jn	w1_d496e12862
der	w3_d496e12865
Stadt.	w5_d496e12868
</head>
<list id="l4_d496e12871">
Dem	w1_d496e12875
(Tit.)	w3_d496e12878
Hrn.	w5_d496e12881
Theod.	w7_d496e12884
Veigl,	w9_d496e12887
s.	w11_d496e12890
K.	w13_d496e12894
Jgnatz,	w15_d496e12897
in	w17_d496e12900
s.	w19_d496e12903
H.	w1_d496e12908
untern	w3_d496e12911
Tuch=lanb.,	w5_d496e12914
alt	w7_d496e12917
4.	w9_d496e12920
J.	w11_d496e12923
Anna	w1_d496e12928
Felbingerin,	w3_d496e12931
Wittwe,	w5_d496e12934
im	w7_d496e12937
Dempfinger=hof/	w9_d496e12940
alt	w1_d496e12946
60.	w3_d496e12949
J.	w5_d496e12952
Joh.	w1_d496e12957
Binder,	w3_d496e12960
Post=control.=amts	w5_d496e12963
dien.,	w7_d496e12966
im	w9_d496e12969
Fockis.	w11_d496e12972
H.	w1_d496e12977
in	w3_d496e12980
der	w5_d496e12983
untern	w7_d496e12986
Bäckerstr.,	w9_d496e12989
alt	w11_d496e12992
35.	w13_d496e12996
J.	w15_d496e12999
</list>
<head id="h2_d496e13006">
Vor	w1_d496e13010
der	w3_d496e13013
Stadt.	w5_d496e13016
</head>
<list id="l4_d496e13019">
Dem	w1_d496e13023
Georg	w3_d496e13026
Richter,	w5_d496e13029
Gold=arbeit.,	w7_d496e13032
s.	w9_d496e13035
W.	w11_d496e13038
Christina,	w13_d496e13042
beyn	w1_d496e13047
12.	w3_d496e13050
Apost.	w5_d496e13053
in	w7_d496e13056
der	w9_d496e13059
Josephi.,	w11_d496e13062
alt	w13_d496e13066
56.	w15_d496e13069
J.	w17_d496e13072
Dem	w1_d496e13077
Math.	w3_d496e13080
Gaßner,	w5_d496e13083
Hof=tafel=deck,	w7_d496e13086
s.	w9_d496e13089
K.	w11_d496e13092
Cathar.	w13_d496e13096
im	w1_d496e13102
Fuxis.	w3_d496e13105
H.	w5_d496e13108
auf	w7_d496e13111
der	w9_d496e13114
Laimer.,	w11_d496e13117
alt	w13_d496e13121
2.	w15_d496e13124
J.	w17_d496e13127
Dem	w1_d496e13132
Joh.	w3_d496e13135
Schega,	w5_d496e13138
Mathematie	w7_d496e13141
instrument	w9_d496e13144
mach,	w11_d496e13147
s.	w1_d496e13152
K.	w3_d496e13155
Georg,	w5_d496e13158
beym	w7_d496e13161
Krapf	w9_d496e13164
auf	w11_d496e13167
der	w13_d496e13171
Wied.,	w15_d496e13174
4.	w17_d496e13177
J.	w19_d496e13180
Dem	w1_d496e13185
Jos.	w3_d496e13188
Schanton,	w5_d496e13191
Schreib.,	w7_d496e13194
s.	w9_d496e13197
K.	w11_d496e13200
Phil.	w13_d496e13204
bey	w15_d496e13207
der	w17_d496e13210
gold.	w1_d496e13216
Sonn	w3_d496e13219
auf	w5_d496e13222
der	w7_d496e13225
Landstr.,	w9_d496e13228
alt	w11_d496e13231
7.	w13_d496e13235
J.	w15_d496e13238
Dem	w1_d496e13243
Christian	w3_d496e13246
Münch,	w5_d496e13249
K.	w7_d496e13252
K.	w9_d496e13255
Münz=arbeit.,	w11_d496e13258
s.	w13_d496e13262
K.	w15_d496e13265
Theres.,	w1_d496e13270
beyn	w3_d496e13273
3.	w5_d496e13276
Mohr.	w7_d496e13279
in	w9_d496e13282
der	w11_d496e13285
Rossau,	w13_d496e13289
alt	w15_d496e13292
7.	w17_d496e13295
J.	w19_d496e13298
Dem	w1_d496e13303
Jos.	w3_d496e13306
Wagner,	w5_d496e13309
Kuchel=trag.,	w7_d496e13312
s.	w9_d496e13315
K.	w11_d496e13318
Jos.,	w13_d496e13322
iin	w15_d496e13325
Stemmeris.	w1_d496e13331
H.	w3_d496e13334
in	w5_d496e13337
der	w7_d496e13340
Rossau,	w9_d496e13343
alt	w11_d496e13346
3.	w13_d496e13350
J.	w15_d496e13353
</list>
<head id="h2_d496e13360">
Summa	w1_d496e13364
9.	w3_d496e13367
Pers.,	w5_d496e13370
darunter	w7_d496e13373
6.	w9_d496e13376
Kind.	w11_d496e13379
Den	w1_d496e13384
26.	w3_d496e13387
Octob.	w5_d496e13390
Jn	w7_d496e13393
der	w9_d496e13396
Stadt.	w11_d496e13399
</head>
<list id="l4_d496e13402">
Dem	w1_d496e13406
Hrn.	w3_d496e13409
Jos.	w5_d496e13412
Ferony,	w7_d496e13415
K.	w9_d496e13418
K.	w11_d496e13421
Kriegscommissar	w13_d496e13425
offic.,	w1_d496e13430
s.	w3_d496e13433
K.	w5_d496e13436
Jgnatz,	w7_d496e13439
im	w9_d496e13442
Pletueris.	w11_d496e13445
H.	w13_d496e13449
am	w15_d496e13452
alten	w17_d496e13455
Fleischem.,	w1_d496e13460
alt	w3_d496e13463
3.	w5_d496e13466
J.	w7_d496e13469
Dem	w1_d496e13475
Hrn.	w3_d496e13478
Joh.	w5_d496e13481
Moser,	w7_d496e13484
K.	w9_d496e13487
K.	w11_d496e13490
Silber=dien.,	w13_d496e13494
s.	w15_d496e13497
K.	w17_d496e13500
Georg,	w1_d496e13505
im	w3_d496e13508
Heimeris.	w5_d496e13511
H.	w7_d496e13514
untern	w9_d496e13517
Tuch=laub.,	w11_d496e13520
5.	w13_d496e13524
J.	w15_d496e13527
Dem	w1_d496e13532
Jos.	w3_d496e13535
Fürst,	w5_d496e13538
Burgerl.	w7_d496e13541
Parocken=mach,	w9_d496e13544
s.	w11_d496e13547
W.	w13_d496e13551
Anna,	w1_d496e13556
im	w3_d496e13559
Selbis.	w5_d496e13562
H.	w7_d496e13565
am	w9_d496e13568
Grab.,	w11_d496e13571
alt	w13_d496e13575
36.	w15_d496e13578
J.	w17_d496e13581
Dem	w1_d496e13587
</list>
<list id="l8_d496e13593">
Dem	w1_d496e13597
Adam	w3_d496e13600
Götz,	w5_d496e13603
Burgerl.	w7_d496e13606
Schneid.,	w9_d496e13609
s.	w11_d496e13612
W.	w13_d496e13616
Barb.	w15_d496e13619
beym	w1_d496e13624
Steinl	w3_d496e13627
im	w5_d496e13630
Steinl=gäs.,	w7_d496e13633
att	w9_d496e13636
32.	w11_d496e13639
J.	w13_d496e13643
Dem	w1_d496e13648
Joh.	w3_d496e13651
Mandl,	w5_d496e13654
Burgerl.	w7_d496e13657
Schnür=mach,	w9_d496e13660
s.	w11_d496e13663
W.	w13_d496e13667
Elisab.,	w1_d496e13673
beym	w3_d496e13676
gold.	w5_d496e13679
Bärn	w7_d496e13682
am	w9_d496e13685
alt.	w11_d496e13688
Fleisch=m.,	w13_d496e13692
alt	w1_d496e13697
26.	w3_d496e13700
J.	w5_d496e13703
</list>
<head id="h2_d496e13710">
Vor	w1_d496e13714
der	w3_d496e13717
Stadt.	w5_d496e13720
</head>
<list id="l4_d496e13723">
Don	w1_d496e13727
Mich.	w3_d496e13730
Eder,	w5_d496e13733
Maurern,	w7_d496e13736
s.	w9_d496e13739
W.	w11_d496e13742
Maria,	w13_d496e13746
in	w15_d496e13749
s.	w17_d496e13752
H.	w19_d496e13755
am	w1_d496e13760
Thurp.	w3_d496e13763
alt	w5_d496e13766
37	w7_d496e13769
J.	w9_d496e13772
Dem	w1_d496e13777
Joh.	w3_d496e13780
Scherhauffen,	w5_d496e13783
Maurern,	w7_d496e13786
s.	w9_d496e13789
W.	w11_d496e13792
Theres.	w13_d496e13796
in	w1_d496e13802
del	w3_d496e13805
Dorothe=mühl	w5_d496e13808
an	w7_d496e13811
der	w9_d496e13814
Wien,	w11_d496e13817
alt	w13_d496e13821
38	w15_d496e13824
J.	w17_d496e13827
</list>
<head id="h2_d496e13835">
Summa	w1_d496e13839
7.	w3_d496e13842
Pers.,	w5_d496e13845
darunter	w7_d496e13848
2.	w9_d496e13851
Kind.	w11_d496e13854
.	w1_d496e13859
</head>
<p id="p4_d496e13862">
Wir	w1_d496e13866
N.	w3_d496e13869
N.	w5_d496e13872
Soperintendenten,	w7_d496e13875
und	w9_d496e13878
Spitlmei	w11_d496e13881
ster	w1_d496e13886
der	w3_d496e13889
Burger=spital	w5_d496e13892
in	w7_d496e13895
Wien,	w9_d496e13898
geben	w11_d496e13901
jedermänni	w13_d496e13905
glich,	w1_d496e13910
forderist	w3_d496e13913
aber	w5_d496e13916
jenen	w7_d496e13919
Partheyen,	w9_d496e13922
so	w11_d496e13925
auf	w13_d496e13929
Ab	w15_d496e13932
sterben	w1_d496e13938
des	w3_d496e13941
Joseph	w5_d496e13944
Carl	w7_d496e13947
Hofkunst,	w9_d496e13950
Amt=schreiben	w11_d496e13953
des	w1_d496e13958
uns	w3_d496e13961
anvertrauten	w5_d496e13964
Burger=spitäler	w7_d496e13967
Spitl=amts	w9_d496e13970
allhier	w1_d496e13975
seel.	w3_d496e13978
an	w5_d496e13981
dessen	w7_d496e13984
Verlassenschaft	w9_d496e13987
in	w11_d496e13990
Erb	w13_d496e13994
oder	w15_d496e13997
Schuld=sachen	w1_d496e14002
einige	w3_d496e14005
Sprüch	w5_d496e14008
und	w7_d496e14011
Forderungen	w9_d496e14014
haben,	w1_d496e14020
oder	w3_d496e14023
zu	w5_d496e14026
stellen	w7_d496e14029
vermeinen,	w9_d496e14032
hiemit	w11_d496e14035
offentlich	w13_d496e14039
zu	w1_d496e14044
vernehmen,	w3_d496e14047
wasmassen	w5_d496e14050
wegen	w7_d496e14053
sicherer	w9_d496e14056
Abhand	w11_d496e14059
lung	w1_d496e14064
sothaner	w3_d496e14067
Verlassenschaft	w5_d496e14070
eine	w7_d496e14073
peremptorisch	w9_d496e14076
clausulirte	w1_d496e14081
Convocations	w3_d496e14084
und	w5_d496e14087
Liquidationstag	w7_d496e14090
satzung	w1_d496e14096
mit	w3_d496e14099
Ausschliessung	w5_d496e14102
deren	w7_d496e14105
instehenden	w9_d496e14108
Wein	w11_d496e14111
ferien	w1_d496e14116
auf	w3_d496e14119
den	w5_d496e14122
19.	w7_d496e14125
Decemb.	w9_d496e14128
dies	w11_d496e14131
Jahrs	w13_d496e14135
in	w15_d496e14138
der	w17_d496e14141
Burger	w1_d496e14146
spitals	w3_d496e14149
grund=stuben	w5_d496e14152
fruhe	w7_d496e14155
um	w9_d496e14158
9.	w11_d496e14161
Uhr	w13_d496e14165
zu	w15_d496e14168
er	w17_d496e14171
scheinen	w1_d496e14176
ex	w3_d496e14179
officio	w5_d496e14182
angeordnet	w7_d496e14185
worden	w9_d496e14188
seye.	w11_d496e14191
Sol	w13_d496e14195
chemnach	w1_d496e14201
werden	w3_d496e14204
all	w5_d496e14207
und	w7_d496e14210
jede	w9_d496e14213
obgedachtHofkun	w11_d496e14216
stische	w1_d496e14221
Schuld	w3_d496e14224
oder	w5_d496e14227
Erb=nehmete	w7_d496e14230
bey	w9_d496e14233
ebig	w11_d496e14236
auf	w13_d496e14240
den	w1_d496e14245
19.	w3_d496e14248
Decemb.	w5_d496e14251
dies	w7_d496e14254
Jahrs	w9_d496e14257
angeordneter	w11_d496e14260
Tagsa	w13_d496e14264
tzung	w1_d496e14269
sich	w3_d496e14272
also	w5_d496e14275
gewiß	w7_d496e14278
anzumelden,	w9_d496e14281
zu	w11_d496e14284
legitimiren,	w13_d496e14288
und	w1_d496e14294
untereinstens	w3_d496e14297
ihre	w5_d496e14300
Forderungen	w7_d496e14303
zu	w9_d496e14306
liquidiren,	w11_d496e14309
sub	w1_d496e14314
primo,	w3_d496e14317
secundo,	w5_d496e14320
&	w7_d496e14323
tertio	w9_d496e14326
Termins	w11_d496e14329
hiemit	w13_d496e14333
dergestalten	w1_d496e14338
citiret,	w3_d496e14341
daß	w5_d496e14344
in	w7_d496e14347
nicht	w9_d496e14350
Erscheinungs	w11_d496e14353
fall	w1_d496e14358
jedannoch	w3_d496e14361
erholte	w5_d496e14364
Verlassenschafts=abhandlung	w7_d496e14367
geschlossen,	w1_d496e14373
und	w3_d496e14376
