<doc id="wr_1757-04-06" attrs="word" year="1757" month="04" day="06" corpus="2">
<head id="h2_d132e3822">
Neapel	w1_d132e3826
annoch	w9_d132e19301
hindan	w1_d132e19306
zu	w3_d132e19309
fertigen	w5_d132e19312
kommende	w7_d132e19315
Creditspar	w9_d132e19318
theyen,	w1_d132e19324
dasjenige,	w3_d132e19327
was	w5_d132e19330
denenselben	w7_d132e19333
in	w9_d132e19336
dem	w11_d132e19339
Abschied	w1_d132e19344
auferleget	w3_d132e19347
worden,	w5_d132e19350
nicht	w7_d132e19353
prästiret	w9_d132e19356
hätten,	w1_d132e19361
er	w3_d132e19364
Curator	w5_d132e19367
aber	w7_d132e19370
wegen	w9_d132e19373
unwissent	w11_d132e19376
lichen	w1_d132e19381
ihren	w3_d132e19384
Aufenthalt	w5_d132e19387
selbe	w7_d132e19390
zu	w9_d132e19393
betreiben	w11_d132e19396
un	w13_d132e19400
vermögend	w1_d132e19406
wäre,	w3_d132e19409
als	w5_d132e19412
batte	w7_d132e19415
derselbe,	w9_d132e19418
wo	w11_d132e19421
mit	w1_d132e19426
obbenannte	w3_d132e19429
Adelsfeldische	w5_d132e19432
Creditspar	w7_d132e19435
theyen	w1_d132e19440
mittels	w3_d132e19443
Affigirung	w5_d132e19446
eines	w7_d132e19449
offentlichen	w9_d132e19452
Edicts	w1_d132e19457
vor	w3_d132e19460
geforderet	w5_d132e19463
werden	w7_d132e19466
möchten;	w9_d132e19469
Wann	w11_d132e19472
nun	w1_d132e19478
Regierung	w3_d132e19481
in	w5_d132e19484
dies	w7_d132e19487
des	w9_d132e19490
Supplicantens	w11_d132e19493
bil	w13_d132e19497
lich	w1_d132e19502
und	w3_d132e19505
gegründetes	w5_d132e19508
Begehren	w7_d132e19511
gewilliget.	w9_d132e19514
</p>
<p id="p6_d132e19517">
Als	w1_d132e19521
wird	w3_d132e19524
dem	w5_d132e19527
Johann	w7_d132e19530
Adam	w9_d132e19533
Carl	w11_d132e19536
Wey	w13_d132e19540
dich,	w1_d132e19545
und	w3_d132e19548
Johann	w5_d132e19551
Schilk	w7_d132e19554
als	w9_d132e19557
Adelsfeldischen	w11_d132e19560
Credits=partheyen	w1_d132e19565
hiemit	w3_d132e19568
anbefohlen,	w5_d132e19571
daß	w7_d132e19574
selbe	w1_d132e19580
dieser	w3_d132e19583
Sachen	w5_d132e19586
halber	w7_d132e19589
auf	w9_d132e19592
den	w11_d132e19595
15.	w13_d132e19599
Tag	w15_d132e19602
des	w1_d132e19607
künftigen	w3_d132e19610
Monats	w5_d132e19613
Junii	w7_d132e19616
Nachmittag	w9_d132e19619
um	w1_d132e19624
3.	w3_d132e19627
Uhr	w5_d132e19630
vor	w7_d132e19633
Regierung	w9_d132e19636
in	w11_d132e19639
Justiz=sachen	w13_d132e19643
entweder	w1_d132e19648
persönlich	w3_d132e19651
oder	w5_d132e19654
durch	w7_d132e19657
genugsame	w9_d132e19660
bevollmächtigte	w1_d132e19666
instruirte	w3_d132e19669
Mandatarios	w5_d132e19672
er	w7_d132e19675
scheinen,	w1_d132e19680
und	w3_d132e19683
daselbst	w5_d132e19686
ihre	w7_d132e19689
stellende	w9_d132e19692
Forde	w11_d132e19695
rung	w1_d132e19700
also	w3_d132e19703
gewiß	w5_d132e19706
liquidiren,	w7_d132e19709
wie	w9_d132e19712
im	w11_d132e19715
widrigen	w13_d132e19719
ihnen	w1_d132e19724
das	w3_d132e19727
ewige	w5_d132e19730
Stillschweigen	w7_d132e19733
auferleget,	w9_d132e19736
mithin	w1_d132e19742
die	w3_d132e19745
von	w5_d132e19748
dieser	w7_d132e19751
Cridä=masse	w9_d132e19754
auf	w11_d132e19757
sie	w13_d132e19761
fallende	w1_d132e19766
Portion	w3_d132e19769
denen	w5_d132e19772
übrig	w7_d132e19775
Gläubigeren	w9_d132e19778
ex	w1_d132e19783
officio	w3_d132e19786
abzudiciret	w5_d132e19789
werden	w7_d132e19792
solle.	w9_d132e19795
</p>
<head id="h2_d132e19894">
Schreiben	w1_d132e19898
von	w3_d132e19901
Portomont	w5_d132e19904
/	w7_d132e19907
vom	w9_d132e19910
15.	w1_d132e19915
Martii.	w3_d132e19918
</head>
<p id="p4_d132e19921">
NAchdem	w1_d132e19925
die	w3_d132e19928
Befehle	w5_d132e19931
ertheilet	w7_d132e19934
waren,	w9_d132e19937
daß	w11_d132e19940
alle	w1_d132e19945
zu	w3_d132e19948
Spithead	w5_d132e19951
befindliche	w7_d132e19954
Kriegs	w9_d132e19957
schiffe	w1_d132e19962
ihre	w3_d132e19965
Schalupen	w5_d132e19968
und	w7_d132e19971
Böte,	w9_d132e19974
nebst	w11_d132e19977
denen	w13_d132e19981
Capitains	w1_d132e19987
und	w3_d132e19990
allen	w5_d132e19993
Officieren	w7_d132e19996
dieser	w9_d132e19999
Kriegs	w11_d132e20002
schiffe,	w1_d132e20007
in	w3_d132e20010
Begleitung	w5_d132e20013
eines	w7_d132e20016
Detaschement	w9_d132e20019
von	w1_d132e20024
denen	w3_d132e20027
Mariniers,	w5_d132e20030
gestern	w7_d132e20033
als	w9_d132e20036
den	w11_d132e20039
14ten	w13_d132e20043
dieses,	w1_d132e20048
fruh	w3_d132e20051
Morgens	w5_d132e20054
zur	w7_d132e20057
Bedeckung	w9_d132e20060
der	w11_d132e20063
Exe	w13_d132e20067
cution	w1_d132e20073
des	w3_d132e20076
Admirals	w5_d132e20079
Byng	w7_d132e20082
anhero	w9_d132e20085
senden	w11_d132e20088
soll	w13_d132e20092
ten;	w1_d132e20097
so	w3_d132e20100
kamen	w5_d132e20103
sie	w7_d132e20106
kurz	w9_d132e20109
nach	w11_d132e20112
11.	w13_d132e20116
Uhren	w15_d132e20119
mit	w17_d132e20122
der	w19_d132e20125
grösten	w1_d132e20130
Gefahr	w3_d132e20133
in	w5_d132e20136
diesem	w7_d132e20139
Hafen	w9_d132e20142
an,	w11_d132e20145
indem	w13_d132e20149
der	w1_d132e20154
Wind	w3_d132e20157
sehr	w5_d132e20160
stark	w7_d132e20163
und	w9_d132e20166
das	w11_d132e20169
Meer	w13_d132e20173
niedrie	w15_d132e20176
war,	w1_d132e20182
welches	w3_d132e20185
diese	w5_d132e20188
Schalupen	w7_d132e20191
und	w9_d132e20194
kleine	w11_d132e20197
Fahr=zeuge	w1_d132e20202
um	w3_d132e20205
desto	w5_d132e20208
mehr	w7_d132e20211
verhinderte,	w9_d132e20214
dem	w11_d132e20217
Kriegs=schiffe,	w1_d132e20222
der	w3_d132e20225
Monarch,	w5_d132e20228
woselbst	w7_d132e20231
der	w9_d132e20234
Admiral	w1_d132e20239
Byng	w3_d132e20242
den	w5_d132e20245
Tod	w7_d132e20248
leiden	w9_d132e20251
sollte,	w11_d132e20254
sich;	w13_d132e20258
nähern.	w1_d132e20264
Ungeachtet	w3_d132e20267
der	w5_d132e20270
Wind	w7_d132e20273
immer	w9_d132e20276
stärken	w11_d132e20279
wurde,	w1_d132e20284
und	w3_d132e20287
die	w5_d132e20290
See	w7_d132e20293
sich	w9_d132e20296
desto	w11_d132e20299
mehr	w13_d132e20303
bewegte	w15_d132e20306
so	w1_d132e20311
waren	w3_d132e20314
doch	w5_d132e20317
noch	w7_d132e20320
eine	w9_d132e20323
erstaunliche	w11_d132e20326
Meng	w13_d132e20330
anderer	w1_d132e20335
Fahr=zeuge	w3_d132e20338
auf	w5_d132e20341
der	w7_d132e20344
See,	w9_d132e20347
welche	w11_d132e20350
nicht	w1_d132e20356
wenig	w3_d132e20359
über	w5_d132e20362
und	w7_d132e20365
wider	w9_d132e20368
einander	w11_d132e20371
stiessen	w13_d132e20375
Am	w1_d132e20380
Borde	w3_d132e20383
des	w5_d132e20386
Monarchen	w7_d132e20389
wurde	w9_d132e20392
niemand	w11_d132e20395
ge	w13_d132e20399
litten,	w1_d132e20404
als	w3_d132e20407
diejenigen,	w5_d132e20410
die	w7_d132e20413
dahin	w9_d132e20416
gehörten.	w11_d132e20419
Die	w1_d132e20424
demselben	w3_d132e20427
am	w5_d132e20430
nächsten	w7_d132e20433
gelegene	w9_d132e20436
Kriegs	w11_d132e20439
schiffe	w1_d132e20445
aber	w3_d132e20448
waren	w5_d132e20451
mit	w7_d132e20454
Zuschauern	w9_d132e20457
so	w11_d132e20460
häuffig	w13_d132e20464
angefüllet,	w1_d132e20469
daß	w3_d132e20472
alle	w5_d132e20475
Masten	w7_d132e20478
und	w9_d132e20481
Tauen	w11_d132e20484
da	w13_d132e20488
von	w1_d132e20493
voll	w3_d132e20496
hiengen,	w5_d132e20499
ob	w7_d132e20502
sie	w9_d132e20505
gleich	w11_d132e20508
wenig	w13_d132e20512
von	w15_d132e20515
demjenigen	w1_d132e20520
sehen	w3_d132e20523
konnten,	w5_d132e20526
was	w7_d132e20529
auf	w9_d132e20532
dem	w11_d132e20535
Mo	w13_d132e20539
narchen	w1_d132e20545
vorgieng.	w3_d132e20548
Der	w5_d132e20551
Hr.	w7_d132e20554
Byng	w9_d132e20557
kam	w11_d132e20560
aus	w13_d132e20564
der	w1_d132e20569
grossen	w3_d132e20572
Cajüte,	w5_d132e20575
stieg	w7_d132e20578
auf	w9_d132e20581
das	w11_d132e20584
oberste	w13_d132e20588
Verdeck	w1_d132e20593
und	w3_d132e20596
wurde	w5_d132e20599
5.	w7_d132e20602
Minuten	w9_d132e20605
vor	w11_d132e20608
12.	w13_d132e20612
Uhr	w15_d132e20615
Mittags	w1_d132e20620
erschossen.	w3_d132e20623
Er	w5_d132e20626
war	w7_d132e20629
von	w9_d132e20632
einem	w11_d132e20635
Schif	w13_d132e20639
geistlichen,	w1_d132e20645
dessen	w3_d132e20648
er	w5_d132e20651
sich,	w7_d132e20654
seit	w9_d132e20657
seiner	w11_d132e20660
Verurthei	w13_d132e20664
lung,	w1_d132e20669
bedienet	w3_d132e20672
hatte,	w5_d132e20675
und	w7_d132e20678
von	w9_d132e20681
zweyen	w11_d132e20684
Edel	w13_d132e20688
leuten,	w1_d132e20693
seinen	w3_d132e20696
nahen	w5_d132e20699
Anverwandten,	w7_d132e20702
beglei	w9_d132e20705
tet,	w1_d132e20710
und	w3_d132e20713
trug	w5_d132e20716
einen	w7_d132e20719
hell=granen	w9_d132e20722
Rock,	w11_d132e20725
eine	w13_d132e20729
weisse	w1_d132e20735
Veste	w3_d132e20738
und	w5_d132e20741
dergleichen	w7_d132e20744
Strümpfe,	w9_d132e20747
nebst	w11_d132e20750
einer	w1_d132e20755
grossen	w3_d132e20758
weissen	w5_d132e20761
Peruque.	w7_d132e20764
Jn	w9_d132e20767
einer	w11_d132e20770
je	w13_d132e20774
den	w1_d132e20779
Hand	w3_d132e20782
hatte	w5_d132e20785
er	w7_d132e20788
ein	w9_d132e20791
weisses	w11_d132e20794
Schnupf=tuch	w13_d132e20798
Er	w1_d132e20803
warf	w3_d132e20806
seinen	w5_d132e20809
Hut	w7_d132e20812
an	w9_d132e20815
den	w11_d132e20818
Boden,	w13_d132e20822
und	w15_d132e20825
kniete	w17_d132e20828
auf	w1_d132e20834
denselben.	w3_d132e20837
Mit	w5_d132e20840
dem	w7_d132e20843
einen	w9_d132e20846
Schnupf	w11_d132e20849
tuche	w1_d132e20854
verband	w3_d132e20857
er	w5_d132e20860
sich	w7_d132e20863
die	w9_d132e20866
Augen	w11_d132e20869
selbst,	w13_d132e20873
und	w15_d132e20876
das	w1_d132e20881
andere	w3_d132e20884
Leß	w5_d132e20887
er	w7_d132e20890
zum	w9_d132e20893
Signal	w11_d132e20896
fallen;	w13_d132e20900
wor	w15_d132e20903
</p>
<p id="p6_d132e20906">
auf	w1_d132e20910
6.	w3_d132e20913
Mariniers	w5_d132e20916
auf	w7_d132e20919
einmal	w9_d132e20922
Feuer	w11_d132e20925
gaben.	w13_d132e20929
Der	w1_d132e20934
Admiral	w3_d132e20937
empfieng	w5_d132e20940
1.	w7_d132e20943
Kugel	w9_d132e20946
vor	w11_d132e20949
dem	w13_d132e20953
Kopt	w15_d132e20956
und	w1_d132e20961
3.	w3_d132e20964
durch	w5_d132e20967
den	w7_d132e20970
Leib,	w9_d132e20973
und	w11_d132e20976
fiel	w13_d132e20980
in	w15_d132e20983
dem	w17_d132e20986
Au	w19_d132e20989
genblicke	w1_d132e20995
todt	w3_d132e20998
darnieder.	w5_d132e21001
Er	w7_d132e21004
hatte	w9_d132e21007
feste	w11_d132e21010
darauf	w1_d132e21015
bestanden,	w3_d132e21018
die	w5_d132e21021
Augen	w7_d132e21024
sich	w9_d132e21027
nicht	w11_d132e21030
ver	w13_d132e21034
binden	w1_d132e21039
zu	w3_d132e21042
lassen,	w5_d132e21045
und	w7_d132e21048
selbst	w9_d132e21051
denen	w11_d132e21054
Mariniers	w13_d132e21058
den	w1_d132e21063
Befehl	w3_d132e21066
zum	w5_d132e21069
schiessen	w7_d132e21072
zu	w9_d132e21075
geben;	w11_d132e21078
allein	w13_d132e21082
seine	w1_d132e21088
Anverwandten	w3_d132e21091
und	w5_d132e21094
alle	w7_d132e21097
Personen	w9_d132e21100
die	w11_d132e21103
bey	w1_d132e21108
ihm	w3_d132e21111
waren,	w5_d132e21114
stellten	w7_d132e21117
ihm	w9_d132e21120
vor,	w11_d132e21123
daß	w13_d132e21127
es	w15_d132e21130
gegen	w1_d132e21135
den	w3_d132e21138
Wol=stand	w5_d132e21141
wäre,	w7_d132e21144
und	w9_d132e21147
daß	w11_d132e21150
dieses	w13_d132e21154
die	w1_d132e21159
Mariniers	w3_d132e21162
forchtsam	w5_d132e21165
machen	w7_d132e21168
möchte,	w9_d132e21171
daß	w1_d132e21177
sie	w3_d132e21180
im	w5_d132e21183
Ziel	w7_d132e21186
verfehlten	w9_d132e21189
und	w11_d132e21192
vielleicht	w13_d132e21196
zwey	w15_d132e21199
mal	w1_d132e21204
schiessen	w3_d132e21207
müsten;	w5_d132e21210
welchen	w7_d132e21213
Gründen	w9_d132e21216
er	w11_d132e21219
dann	w1_d132e21224
auch	w3_d132e21227
endlich	w5_d132e21230
nachgegeben	w7_d132e21233
hat.	w9_d132e21236
Von	w11_d132e21239
seinem	w1_d132e21244
Heraus=gange	w3_d132e21247
aus	w5_d132e21250
der	w7_d132e21253
Cajüte	w9_d132e21256
bis	w11_d132e21259
zu	w13_d132e21263
seinem	w1_d132e21269
Tode	w3_d132e21272
sind	w5_d132e21275
nicht	w7_d132e21278
mehr	w9_d132e21281
als	w11_d132e21284
3.	w13_d132e21288
Minuten	w15_d132e21291
verflossen,	w1_d132e21296
welches	w3_d132e21299
ich	w5_d132e21302
bey	w7_d132e21305
der	w9_d132e21308
Stille,	w11_d132e21311
die	w13_d132e21315
während	w1_d132e21320
dieser	w3_d132e21323
Zeit	w5_d132e21326
unter	w7_d132e21329
der	w9_d132e21332
grossen	w11_d132e21335
Menge	w13_d132e21339
der	w15_d132e21342
Menschen	w1_d132e21347
auf	w3_d132e21350
denen	w5_d132e21353
Schiffen	w7_d132e21356
regierte,	w9_d132e21359
genau	w11_d132e21362
bemerken	w1_d132e21368
konnte.	w3_d132e21371
Mit	w5_d132e21374
einem	w7_d132e21377
Worte:	w9_d132e21380
der	w11_d132e21383
Admiral	w1_d132e21388
starb	w3_d132e21391
mit	w5_d132e21394
vieler	w7_d132e21397
Herzhaftigkeit	w9_d132e21400
und	w11_d132e21403
Gemüts=ruhe	w1_d132e21408
ohne	w3_d132e21411
das	w5_d132e21414
geringste	w7_d132e21417
Zeichen	w9_d132e21420
der	w1_d132e21425
Forcht	w3_d132e21428
von	w5_d132e21431
sich	w7_d132e21434
blicken	w9_d132e21437
zu	w11_d132e21440
lassen.	w13_d132e21444
Gleich	w15_d132e21447
nach	w1_d132e21453
der	w3_d132e21456
Execution	w5_d132e21459
wurde	w7_d132e21462
auf	w9_d132e21465
dem	w11_d132e21468
Monarchen	w13_d132e21472
an	w1_d132e21477
dem	w3_d132e21480
grossen	w5_d132e21483
Maste	w7_d132e21486
ein	w9_d132e21489
blauer	w11_d132e21492
Wimpel	w13_d132e21496
auf	w15_d132e21499
gezogen,	w1_d132e21504
welcher	w3_d132e21507
5.	w5_d132e21510
Minuten	w7_d132e21513
wähete,	w9_d132e21516
und	w11_d132e21519
das	w1_d132e21524
Zeichen	w3_d132e21527
war,	w5_d132e21530
daß	w7_d132e21533
die	w9_d132e21536
Schalupen	w11_d132e21539
und	w13_d132e21543
an	w15_d132e21546
dere	w1_d132e21552
Fahr=zeuge	w3_d132e21555
sich	w5_d132e21558
wieder	w7_d132e21561
zu	w9_d132e21564
ihren	w11_d132e21567
gehöri	w13_d132e21571
gen	w1_d132e21576
Kriegs=schiffen	w3_d132e21579
verfügen	w5_d132e21582
sollten,	w7_d132e21585
welches	w9_d132e21588
auch	w1_d132e21593
sofort	w3_d132e21596
geschahe.	w5_d132e21599
Der	w7_d132e21602
Admiral	w9_d132e21605
Byng	w11_d132e21608
hat	w1_d132e21613
mit	w3_d132e21616
eigener	w5_d132e21619
Hand	w7_d132e21622
an	w9_d132e21625
jeden	w11_d132e21628
Officier	w13_d132e21632
auf	w15_d132e21635
dem	w1_d132e21641
Monarchen	w3_d132e21644
eine	w5_d132e21647
Börse	w7_d132e21650
von	w9_d132e21653
50.	w11_d132e21656
Guineen	w13_d132e21660
gegeben,	w1_d132e21665
und	w3_d132e21668
denen	w5_d132e21671
6.	w7_d132e21674
Mariniers,	w9_d132e21677
die	w11_d132e21680
auf	w13_d132e21684
ihn	w1_d132e21689
geschossen,	w3_d132e21692
12.	w5_d132e21695
Guineen	w7_d132e21698
reichen	w9_d132e21701
lassen.	w11_d132e21704
Sein	w1_d132e21709
Cörper	w3_d132e21712
wurde	w5_d132e21715
in	w7_d132e21718
einen	w9_d132e21721
Sarg	w11_d132e21724
gelegt,	w13_d132e21728
um	w1_d132e21734
/	w3_d132e21737
zufolge	w5_d132e21740
seiner	w7_d132e21743
Verordnung,	w9_d132e21746
in	w11_d132e21749
dem	w13_d132e21753
Be	w15_d132e21756
gräbnüsse	w1_d132e21761
seiner	w3_d132e21764
Vorfahrern,	w5_d132e21767
in	w7_d132e21770
der	w9_d132e21773
Grafschaft	w11_d132e21776
Bedford	w1_d132e21781
beygesetzt	w3_d132e21784
zu	w5_d132e21787
werden.	w7_d132e21790
Man	w9_d132e21793
merkte	w11_d132e21796
als	w1_d132e21801
etwas	w3_d132e21804
besonders	w5_d132e21807
an,	w7_d132e21810
daß	w9_d132e21813
das	w11_d132e21816
Kriegs	w13_d132e21820
schif	w1_d132e21826
Ramelies,	w3_d132e21829
welches	w5_d132e21832
dem	w7_d132e21835
Admiral	w9_d132e21838
Byng	w11_d132e21841
in	w1_d132e21846
dem	w3_d132e21849
mittel=ländischen	w5_d132e21852
See	w7_d132e21855
zum	w9_d132e21858
Admiral	w11_d132e21861
schiffe	w1_d132e21866
gedienet	w3_d132e21869
hatte,	w5_d132e21872
und	w7_d132e21875
zu	w9_d132e21878
Portsmous	w11_d132e21881
mit	w1_d132e21886
vor	w3_d132e21889
Anker	w5_d132e21892
ligt,	w7_d132e21895
eine	w9_d132e21898
halbe	w11_d132e21901
Stund	w13_d132e21905
von	w15_d132e21908
der	w1_d132e21914
Execution	w3_d132e21917
das	w5_d132e21920
Anker=tau	w7_d132e21923
abstieß,	w9_d132e21926
wel	w11_d132e21929
ces	w1_d132e21934
</p>
<p id="p10_d132e21939">
ches	w1_d132e21943
freylich	w3_d132e21946
wol	w5_d132e21949
von	w7_d132e21952
dem	w9_d132e21955
starken	w11_d132e21958
Winde	w13_d132e21962
her	w15_d132e21965
kam.	w1_d132e21970
Es	w3_d132e21973
ist	w5_d132e21976
aber	w7_d132e21979
doch	w9_d132e21982
dieser	w11_d132e21985
Zufall	w13_d132e21989
unter	w15_d132e21992
so	w1_d132e21997
vielen	w3_d132e22000
Schiffen	w5_d132e22003
nur	w7_d132e22006
alleine	w9_d132e22009
diesem	w11_d132e22012
bege	w13_d132e22016
gnet.	w1_d132e22022
</p>
<p id="p12_d132e22026">
Sie	w1_d132e22030
gehen	w3_d132e22033
mein	w5_d132e22036
Herr!	w7_d132e22039
hiebey	w9_d132e22042
ein	w11_d132e22045
Papier,	w13_d132e22049
welches	w1_d132e22054
der	w3_d132e22057
Admiral	w5_d132e22060
Byng	w7_d132e22063
eben	w9_d132e22066
vor	w11_d132e22069
seinem	w13_d132e22073
Tode	w1_d132e22078
abgeliefert	w3_d132e22081
hat,	w5_d132e22084
und	w7_d132e22087
das	w9_d132e22090
seithero	w11_d132e22093
ge	w13_d132e22097
druckt	w1_d132e22103
worden	w3_d132e22106
ist.	w5_d132e22109
Dieses	w1_d132e22114
Papier	w3_d132e22117
ist	w5_d132e22120
eine	w7_d132e22123
Abschrift	w1_d132e22128
von	w3_d132e22131
einem	w5_d132e22134
Briefe	w7_d132e22137
des	w9_d132e22140
Hrn.	w11_d132e22143
Byngs	w13_d132e22147
an	w1_d132e22152
den	w3_d132e22155
Hrn.	w5_d132e22158
William	w7_d132e22161
Brough,	w9_d132e22164
Marschall	w11_d132e22167
des	w1_d132e22173
Ober=gerichts	w3_d132e22176
von	w5_d132e22179
der	w7_d132e22182
Admiralität,	w9_d132e22185
und	w11_d132e22188
lautet	w1_d132e22193
folgender	w3_d132e22196
gestalt:	w5_d132e22199
Mein	w1_d132e22204
Herr!	w3_d132e22207
</p>
<p id="p14_d132e22210">
Hier	w1_d132e22214
finden	w3_d132e22217
sie	w5_d132e22220
meine	w7_d132e22223
Gedanken	w9_d132e22226
bey	w11_d132e22229
dem	w13_d132e22233
gegenwärtigen	w1_d132e22238
Vorfalle.	w3_d132e22241
Jch	w5_d132e22244
liefere	w7_d132e22247
sie	w9_d132e22250
zu	w11_d132e22253
dem	w1_d132e22258
Ende	w3_d132e22261
in	w5_d132e22264
ihre	w7_d132e22267
Hände,	w9_d132e22270
daß	w11_d132e22273
sie	w13_d132e22277
ihnen	w15_d132e22280
die	w17_d132e22283
Glaubwürdigkeit	w1_d132e22289
geben	w3_d132e22292
und	w5_d132e22295
nadurch	w7_d132e22298
alle	w9_d132e22301
Ver	w11_d132e22304
fälschungen	w1_d132e22309
hindern,	w3_d132e22312
welche	w5_d132e22315
erdacht	w7_d132e22318
werden	w9_d132e22321
könten,	w1_d132e22326
um	w3_d132e22329
mich	w5_d132e22332
zu	w7_d132e22335
verunehren.	w9_d132e22338
Jch	w11_d132e22341
habe	w13_d132e22345
eine	w1_d132e22350
Abschrift	w3_d132e22353
davon	w5_d132e22356
an	w7_d132e22359
meine	w9_d132e22362
Anverwandten	w11_d132e22365
gegeben.	w1_d132e22371
Wenige	w3_d132e22374
Minuten	w5_d132e22377
werden	w7_d132e22380
mich	w9_d132e22383
an	w11_d132e22386
das	w1_d132e22391
Ende	w3_d132e22394
der	w5_d132e22397
giftigen	w7_d132e22400
Verfolgungen	w9_d132e22403
meiner	w11_d132e22406
Feinde	w1_d132e22411
bringen,	w3_d132e22414
und	w5_d132e22417
sie	w7_d132e22420
werden	w9_d132e22423
sich	w11_d132e22426
bey	w13_d132e22430
der	w15_d132e22433
Be	w17_d132e22436
harrung	w1_d132e22441
in	w3_d132e22444
ihrer	w5_d132e22447
Boßheit	w7_d132e22450
betrogen	w9_d132e22453
finden.	w11_d132e22456
Jch	w1_d132e22462
beneide	w3_d132e22465
ihnen	w5_d132e22468
keinesweegs	w7_d132e22471
ein	w9_d132e22474
Leben,	w11_d132e22477
das	w13_d132e22481
mit	w1_d132e22486
denen	w3_d132e22489
beschwerlichsten	w5_d132e22492
Empfindungen	w7_d132e22495
der	w1_d132e22500
Ungerechtigkeit	w3_d132e22503
begleitet	w5_d132e22506
seyn	w7_d132e22509
muß,	w9_d132e22512
welche	w11_d132e22515
man	w1_d132e22520
mir	w3_d132e22523
angethan	w5_d132e22526
hat.	w7_d132e22529
Jch	w9_d132e22532
bin	w11_d132e22535
versichert,	w13_d132e22539
daß	w1_d132e22545
man	w3_d132e22548
mir	w5_d132e22551
in	w7_d132e22554
der	w9_d132e22557
Folge	w11_d132e22560
wird	w13_d132e22564
Gerechtigkeit	w15_d132e22567
wiederfahren	w1_d132e22572
lassen.	w3_d132e22575
Die	w5_d132e22578
Art	w7_d132e22581
und	w9_d132e22584
die	w11_d132e22587
Be	w13_d132e22591
weg=ursachen	w1_d132e22596
zu	w3_d132e22599
handlen,	w5_d132e22602
und	w7_d132e22605
das	w9_d132e22608
Geschrey	w11_d132e22611
und	w1_d132e22616
die	w3_d132e22619
Vorurtheile	w5_d132e22622
des	w7_d132e22625
Publici	w9_d132e22628
wider	w11_d132e22631
mich	w13_d132e22635
zu	w1_d132e22641
unterhalten,	w3_d132e22644
werden	w5_d132e22647
entdecket	w7_d132e22650
werden.	w9_d132e22653
Man	w1_d132e22658
wird	w3_d132e22661
mich	w5_d132e22664
betrachten,	w7_d132e22667
so,	w9_d132e22670
wie	w11_d132e22673
ich	w13_d132e22677
mich	w15_d132e22680
jetzo	w1_d132e22685
betrachte,	w3_d132e22688
nämlich	w5_d132e22691
als	w7_d132e22694
ein	w9_d132e22697
Opfer,	w11_d132e22700
das	w13_d132e22704
bestimmt	w1_d132e22709
ist,	w3_d132e22712
um	w5_d132e22715
den	w7_d132e22718
Willen	w9_d132e22721
und	w11_d132e22724
die	w13_d132e22728
Rache	w15_d132e22731
eines	w1_d132e22737
beleidigten	w3_d132e22740
und	w5_d132e22743
betrogenen	w7_d132e22746
Volks	w9_d132e22749
von	w11_d132e22752
denen	w1_d132e22757
abzuwenden	w3_d132e22760
/	w5_d132e22763
die	w7_d132e22766
sie	w9_d132e22769
verdienet	w11_d132e22772
ha	w13_d132e22776
ben.	w1_d132e22781
Selbst	w3_d132e22784
meine	w5_d132e22787
Feinde	w7_d132e22790
sind	w9_d132e22793
gezwungen,	w11_d132e22796
mich	w1_d132e22801
in	w3_d132e22804
ihrem	w5_d132e22807
Herzen	w7_d132e22810
für	w9_d132e22813
unschuldig	w11_d132e22816
zu	w13_d132e22820
hal	w15_d132e22823
ten.	w1_d132e22829
Welch	w3_d132e22832
ein	w5_d132e22835
Glück	w7_d132e22838
ist	w9_d132e22841
es	w11_d132e22844
für	w13_d132e22848
mich	w15_d132e22851
in	w17_d132e22854
die	w19_d132e22857
sem	w1_d132e22862
letzten	w3_d132e22865
Augenblicke,	w5_d132e22868
daß	w7_d132e22871
ich	w9_d132e22874
meine	w11_d132e22877
eigene	w13_d132e22881
Unschuld	w1_d132e22886
kenne!	w3_d132e22889
daß	w5_d132e22892
mein	w7_d132e22895
Gewissen	w9_d132e22898
mir	w11_d132e22901
sagt	w13_d132e22905
daß	w1_d132e22910
mir	w3_d132e22913
keines	w5_d132e22916
von	w7_d132e22919
denen	w9_d132e22922
Unglücks=fällen	w11_d132e22925
meines	w1_d132e22931
Vatterlandes	w3_d132e22934
beygemesset	w5_d132e22937
werden	w7_d132e22940
könne!	w1_d132e22945
Jch	w3_d132e22948
wünsche	w5_d132e22951
herzlich,	w7_d132e22954
daß	w9_d132e22957
die	w11_d132e22960
Ver	w13_d132e22964
giessung	w1_d132e22969
meines	w3_d132e22972
Bluts	w5_d132e22975
zum	w7_d132e22978
Glücke	w9_d132e22981
und	w11_d132e22984
zum	w13_d132e22988
Dienste	w1_d132e22993
meines	w3_d132e22996
Vatterlandes	w5_d132e22999
etwas	w7_d132e23002
beytra	w9_d132e23005
gen	w1_d132e23011
möge;	w3_d132e23014
allein	w5_d132e23017
ich	w7_d132e23020
kan	w9_d132e23023
meinem	w11_d132e23026
Rechte	w13_d132e23030
nicht	w1_d132e23035
entsagen,	w3_d132e23038
welches	w5_d132e23041
ich	w7_d132e23044
fordern	w9_d132e23047
kan,	w11_d132e23050
daß	w13_d132e23054
</p>
<p id="p16_d132e23057">
ich	w1_d132e23061
nämlich	w3_d132e23064
meiner	w5_d132e23067
