<doc id="edoc_wd_1775-07-01" attrs="word" year="1775" month="07" day="01" corpus="1">
<head id="hl4">
Korinth	w40
aber	w8266
zu	w8267
Ausfindigma=chung	w8268
<g/>
=
des	w8270
etwa	w8271
vorhandenen	w8272
Æris	w8273
alieni	w8274
für	w8275
nöthig	w8276
befunden	w8277
worden	w8278
<g/>
,
die	w8280
sämtliche	w8281
sowohl	w8282
in	w8283
<g/>
,
als	w8285
außer	w8286
Land	w8287
befindliche	w8288
Gläubiger	w8289
zur	w8290
Anmeld	w8291
<g/>
=
und	w8293
Liquidirung	w8294
ihrer	w8295
zu	w8296
stellen	w8297
ha=benden	w8298
<g/>
=
Foderungen	w8300
gerichtlich	w8301
vorzuladen	w8302
und	w8303
einzuberufen	w8304
<g/>
,
da	w8306
nun	w8307
hiezu	w8308
der	w8309
10	w8310
<g/>
.
Juli	w8312
d	w8313
<g/>
.
J	w8315
<g/>
.
früh	w8317
um	w8318
9	w8319
Uhr	w8320
zur	w8321
allendlichen	w8322
Frist	w8323
bestimmet	w8324
worden	w8325
ist	w8326
<g/>
.
Solchemnach	w8328
werden	w8329
all	w8330
und	w8331
jede	w8332
<g/>
,
welche	w8334
an	w8335
der	w8336
bemeldten	w8337
Magdalena	w8338
Weinhar=din	w8339
<g/>
=
<g/>
,
vorhin	w8342
vereheligt	w8343
gewesten	w8344
Königin	w8345
seel	w8346
<g/>
.
Verlassenschaft	w8348
einige	w8349
Sprüche	w8350
in	w8351
Schuldsachen	w8352
ex	w8353
quocunque	w8354
titulo	w8355
zu	w8356
stellen	w8357
vermeinen	w8358
<g/>
,
an	w8360
obbestimmten	w8361
Tag	w8362
und	w8363
Stund	w8364
in	w8365
der	w8366
Burger=spitalsgrundstube	w8367
<g/>
=
in	w8369
Wien	w8370
<g/>
,
entweder	w8372
selbst	w8373
per=sönlich	w8374
<g/>
=
<g/>
,
oder	w8377
durch	w8378
genugsam	w8379
bevollmächtigte	w8380
Gewaltträger	w8381
alsogewiß	w8382
zu	w8383
erscheinen	w8384
<g/>
,
ihre	w8386
Fo=derungen	w8387
<g/>
=
anzumelden	w8389
und	w8390
behörig	w8391
zu	w8392
liquidiren	w8393
haben	w8394
<g/>
,
wie	w8396
im	w8397
widrigen	w8398
bemeldte	w8399
Verlassen=schaftsabhandlung	w8400
<g/>
=
dennoch	w8402
fürgenommen	w8403
<g/>
,
den	w8405
vorhandenen	w8406
leiblichen	w8407
Kindern	w8408
als	w8409
Jntestater=ben	w8410
<g/>
=
das	w8412
obhandene	w8413
Vermögen	w8414
<g/>
,
ungehindert	w8416
der	w8417
etwa	w8418
vorfindigen	w8419
Gläubigern	w8420
<g/>
,
so	w8422
sich	w8423
mit	w8424
ihrer	w8425
Foderung	w8426
nicht	w8427
gemeldet	w8428
haben	w8429
<g/>
,
eingeantwor=tet	w8431
<g/>
=
<g/>
,
den	w8434
Ausbleibenden	w8435
hingegen	w8436
das	w8437
ewige	w8438
Stillschweigen	w8439
auferlegt	w8440
<g/>
,
und	w8442
Niemand	w8443
mehr	w8444
angehöret	w8445
<g/>
,
sondern	w8447
was	w8448
Rechtens	w8449
ist	w8450
<g/>
,
ex	w8452
offi-cio	w8453
<g/>
-
vorgekehret	w8455
werden	w8456
soll	w8457
<g/>
.
</p>
<p id="p157">
Von	w8459
des	w8460
hochwürdig	w8461
<g/>
=
erzbischöflich	w8463
<g/>
=
wieneri=schen	w8465
<g/>
=
Konsistoriums	w8467
wegen	w8468
<g/>
,
wird	w8470
hiemit	w8471
jeder=mann	w8472
<g/>
=
zu	w8474
wissen	w8475
gemacht	w8476
<g/>
:
Es	w8478
sey	w8479
der	w8480
hoch=würdige	w8481
<g/>
=
Herr	w8483
Franz	w8484
Anton	w8485
Marxer	w8486
<g/>
,
hiesiger	w8488
Weihbischof	w8489
<g/>
,
Domprobst	w8491
Vikarius	w8492
Generalis	w8493
und	w8494
Offizial	w8495
verstorben	w8496
<g/>
,
und	w8498
daher	w8499
<g/>
,
um	w8501
mit	w8502
der	w8503
künftigen	w8504
Verlassenschaftsabhandlung	w8505
sicher	w8506
vorgehen	w8507
zu	w8508
können	w8509
<g/>
,
für	w8511
nothwendig	w8512
befunden	w8513
worden	w8514
<g/>
,
diejenigen	w8516
vorzuladen	w8517
und	w8518
anzuhören	w8519
<g/>
,
welche	w8521
an	w8522
diese	w8523
Verlassenschaft	w8524
einige	w8525
Sprüche	w8526
und	w8527
Foderungen	w8528
haben	w8529
dürften	w8530
<g/>
.
Da	w8532
nun	w8533
zu	w8534
diesem	w8535
Ende	w8536
auf	w8537
den	w8538
17	w8539
<g/>
.
Augusti	w8541
d	w8542
<g/>
.
J	w8544
<g/>
.
früh	w8546
um	w8547
8	w8548
Uhr	w8549
in	w8550
der	w8551
erzbischöflichen	w8552
Konsistorial=kanzley	w8553
<g/>
=
eine	w8555
Tagsatzung	w8556
angeordnet	w8557
worden	w8558
<g/>
;
als	w8560
haben	w8561
all	w8562
jene	w8563
<g/>
,
welche	w8565
an	w8566
der	w8567
Franz	w8568
An=ton	w8569
<g/>
=
Marxerischen	w8571
Verlassenschaft	w8572
eine	w8573
rechtmäs=sige	w8574
<g/>
=
Foderung	w8576
<g/>
,
es	w8578
sey	w8579
nun	w8580
Erbschaft	w8581
<g/>
,
Schuld	w8583
<g/>
,
oder	w8585
anderer	w8586
Ursachen	w8587
willen	w8588
<g/>
,
zu	w8590
haben	w8591
ver=meinen	w8592
<g/>
=
<g/>
,
am	w8595
bestimten	w8596
Tag	w8597
früh	w8598
um	w8599
8	w8600
Uhr	w8601
in	w8602
der	w8603
erzbischöflichen	w8604
Konsistorialkanzley	w8605
selbst	w8606
per=sönlich	w8607
<g/>
=
<g/>
,
oder	w8610
durch	w8611
einen	w8612
hinlänglich	w8613
versehenen	w8614
Gewaltträger	w8615
alsogewiß	w8616
zu	w8617
erscheinen	w8618
<g/>
,
sich	w8620
be=hörig	w8621
<g/>
=
zu	w8623
legitimiren	w8624
<g/>
,
und	w8626
ihre	w8627
Ansprüche	w8628
und	w8629
Foderungen	w8630
darzuthun	w8631
<g/>
,
als	w8633
im	w8634
widrigen	w8635
auf	w8636
die	w8637
Ausbleibenden	w8638
<g/>
,
oder	w8640
nicht	w8641
behörig	w8642
liquidi=renden	w8643
<g/>
=
Erben	w8645
<g/>
,
Gläubiger	w8647
<g/>
,
und	w8649
Prätendenten	w8650
keine	w8651
Rucksicht	w8652
genommen	w8653
<g/>
,
dieselben	w8655
weiters	w8656
nicht	w8657
</p>
<p id="p158">
mehr	w8658
gehöret	w8659
<g/>
,
sondern	w8661
mit	w8662
ihren	w8663
Sprüchen	w8664
und	w8665
Foderungen	w8666
für	w8667
allzeit	w8668
abgewiesen	w8669
<g/>
,
und	w8671
mit	w8672
der	w8673
Abhandlung	w8674
weiters	w8675
vorgegangen	w8676
<g/>
,
auch	w8678
was	w8679
Rechtens	w8680
ist	w8681
vorgekehret	w8682
werden	w8683
sollt	w8684
</p>
<p id="p159">
Von	w8685
der	w8686
fürstlich	w8687
Dietrichsteinischen	w8688
Kanzley	w8689
wird	w8690
hiemit	w8691
bekannt	w8692
gemacht	w8693
<g/>
:
Es	w8695
wären	w8696
nach	w8697
der	w8698
durch	w8699
richterl	w8700
<g/>
.
Entscheidung	w8702
<g/>
,
oder	w8704
gütliche	w8705
Wege	w8706
erfolgten	w8707
Behebung	w8708
der	w8709
Cridäfällen	w8710
<g/>
,
und	w8712
des	w8713
Schuldenwesens	w8714
nachbenannter	w8715
der	w8716
hie=sigen	w8717
<g/>
=
Gerichtsbarkeit	w8719
unterliegenden	w8720
Christen	w8721
und	w8722
Juden	w8723
<g/>
,
als	w8725
<g/>
:
des	w8727
Ferdinand	w8728
Pauckenhaider	w8729
von	w8730
Unterwisternitz	w8731
<g/>
,
dann	w8733
des	w8734
Schaya	w8735
Michl=stätter	w8736
<g/>
=
<g/>
,
Hirschl	w8739
Gabriel	w8740
<g/>
,
und	w8742
Gabriel	w8743
Hirschl	w8744
<g/>
,
Emanuel	w8746
Teutsch	w8747
<g/>
,
Gottlieb	w8749
Schweinburger	w8750
<g/>
,
David	w8752
Gumpertz	w8753
<g/>
,
Simon	w8755
Berl	w8756
Böhm	w8757
<g/>
,
Da=vid	w8759
<g/>
=
Spiz	w8761
<g/>
,
Hirschl	w8763
und	w8764
Simon	w8765
Abels	w8766
<g/>
,
Samson	w8768
oder	w8769
Samuel	w8770
Pinkus	w8771
<g/>
,
Michael	w8773
Joachim	w8774
Spiz	w8775
<g/>
,
Simon	w8777
Frankl	w8778
<g/>
,
Simon	w8780
Aaron	w8781
Hollitscher	w8782
<g/>
,
Joachim	w8784
Verl	w8785
Spitz	w8786
<g/>
,
Samuel	w8788
David	w8789
Reiß	w8790
<g/>
,
Samuel	w8792
Löbl	w8793
Lohn	w8794
<g/>
,
Gabriel	w8796
Mandl	w8797
<g/>
,
Perl	w8799
Beck	w8800
Mandl	w8801
Pollitzer	w8802
<g/>
,
Koppel	w8804
Gerson	w8805
Pollitzer	w8806
<g/>
,
Jsrael	w8808
und	w8809
David	w8810
Franckl	w8811
<g/>
,
Mayer	w8813
Herzfel=der	w8814
<g/>
=
<g/>
,
Markus	w8817
Lohn	w8818
<g/>
,
Moyses	w8820
Löbl	w8821
Trisch	w8822
von	w8823
Nikolsburg	w8824
<g/>
,
und	w8826
Jakob	w8827
Schweinburger	w8828
von	w8829
Pohrlitz	w8830
<g/>
,
die	w8832
von	w8833
verschiedenen	w8834
Creditspartheyen	w8835
<g/>
,
bey	w8837
Ueberreichung	w8838
ihrer	w8839
Verbothsklagen	w8840
<g/>
,
erleg=te	w8842
<g/>
=
Schadloshaltungskautionsgelder	w8844
stündlich	w8845
zu	w8846
erheben	w8847
<g/>
,
dieselbe	w8849
hätten	w8850
sich	w8851
also	w8852
<g/>
,
und	w8854
zwar	w8855
die	w8856
Jnländische	w8857
binnen	w8858
6	w8859
Wochen	w8860
<g/>
,
die	w8862
Auswärti=gen	w8863
<g/>
=
aber	w8865
binnen	w8866
3	w8867
Monat	w8868
von	w8869
heut	w8870
angefangen	w8871
<g/>
,
hierwegen	w8873
um	w8874
so	w8875
gewisser	w8876
anzumelden	w8877
<g/>
,
und	w8879
mit	w8880
den	w8881
in	w8882
Handen	w8883
habenden	w8884
Erlagsscheinen	w8885
auszu=weisen	w8886
<g/>
=
<g/>
,
als	w8889
solche	w8890
widrigens	w8891
für	w8892
verfallen	w8893
an=gesehen	w8894
<g/>
=
<g/>
,
und	w8897
nach	w8898
Verfließung	w8899
dieser	w8900
Zeit	w8901
gar	w8902
nicht	w8903
mehr	w8904
ausgezahlet	w8905
werden	w8906
würden	w8907
<g/>
.
Ni=kolsburg	w8909
<g/>
=
den	w8911
20	w8912
<g/>
.
Juni	w8914
1775	w8915
<g/>
.
</p>
<p id="p160">
Wir	w8917
Burgermeister	w8918
und	w8919
Rath	w8920
der	w8921
Stadt	w8922
Wien	w8923
geben	w8924
hiemit	w8925
jedermann	w8926
zu	w8927
vernehmen	w8928
<g/>
:
Es	w8930
sey	w8931
die	w8932
Ursula	w8933
Dirndorferin	w8934
<g/>
,
eine	w8936
gewese=ne	w8937
<g/>
=
Köchinn	w8939
<g/>
,
ledigen	w8941
Standes	w8942
<g/>
,
mit	w8944
Tod	w8945
abge=gangen	w8946
<g/>
=
<g/>
,
und	w8949
daher	w8950
um	w8951
mit	w8952
der	w8953
künftigen	w8954
Verlas=senschaftsabhandlung	w8955
<g/>
=
sicher	w8957
vorgehen	w8958
zu	w8959
können	w8960
<g/>
,
für	w8962
nothwendig	w8963
befunden	w8964
worden	w8965
<g/>
,
jene	w8967
vorzu=laden	w8968
<g/>
=
und	w8970
anzuhören	w8971
<g/>
,
welche	w8973
an	w8974
diese	w8975
Verlassen=schaft	w8976
<g/>
=
einige	w8978
Ansprühe	w8979
und	w8980
Forderungen	w8981
haben	w8982
möchten	w8983
<g/>
.
Da	w8985
wir	w8986
nun	w8987
entschlossen	w8988
sind	w8989
eben	w8990
diese	w8991
Sprüche	w8992
und	w8993
Forderungen	w8994
an	w8995
dem	w8996
eigends	w8997
<g/>
,
und	w8999
zwar	w9000
<g/>
,
für	w9002
das	w9003
erst	w9004
und	w9005
letztemal	w9006
hiezu	w9007
be=stimmten	w9008
<g/>
=
Tag	w9010
<g/>
,
nämlich	w9012
den	w9013
30	w9014
<g/>
.
August	w9016
d	w9017
<g/>
.
J	w9019
<g/>
.
oder	w9021
da	w9022
wir	w9023
an	w9024
diesen	w9025
Tag	w9026
anderer	w9027
Verhinder=nissen	w9028
<g/>
=
halber	w9030
nicht	w9031
zu	w9032
Rath	w9033
sässen	w9034
<g/>
,
den	w9036
nächst	w9037
darauf	w9038
folgenden	w9039
Rathstag	w9040
fruh	w9041
um	w9042
8	w9043
Uhr	w9044
zu	w9045
hören	w9046
und	w9047
zu	w9048
vernehmen	w9049
<g/>
.
So	w9051
haben	w9052
all	w9053
jene	w9054
<g/>
,
welche	w9056
an	w9057
der	w9058
Ursula	w9059
Dirndorferin	w9060
seel	w9061
<g/>
.
Ver=lassenschaft	w9063
<g/>
=
eine	w9065
rechtmäßige	w9066
Forderung	w9067
<g/>
,
es	w9069
seye	w9070
um	w9071
Erbschaft	w9072
<g/>
,
Schuld	w9074
<g/>
,
oder	w9076
anderer	w9077
Ursachen	w9078
</p>
<p id="p161">
willen	w9079
zu	w9080
haben	w9081
glauben	w9082
<g/>
,
den	w9084
bestimmten	w9085
Tag	w9086
selbst	w9087
persönlich	w9088
<g/>
,
oder	w9090
durch	w9091
einen	w9092
hinlänglich	w9093
ver=sehenen	w9094
<g/>
=
Gewalttrager	w9096
sogewiß	w9097
vor	w9098
uns	w9099
zu	w9100
er=scheinen	w9101
<g/>
=
<g/>
,
sich	w9104
behörig	w9105
zu	w9106
legitimiren	w9107
und	w9108
ihre	w9109
Ansprüche	w9110
und	w9111
Forderungen	w9112
darzuthun	w9113
<g/>
,
als	w9115
im	w9116
widrigen	w9117
Falle	w9118
auf	w9119
die	w9120
ausbleibende	w9121
<g/>
,
oder	w9123
nicht	w9124
behörig	w9125
liquidirenden	w9126
Erben	w9127
<g/>
,
Gläubiger	w9129
und	w9130
Prätendenten	w9131
keine	w9132
Rucksicht	w9133
genommen	w9134
<g/>
,
mit	w9136
der	w9137
Abhandlung	w9138
und	w9139
Vertheilung	w9140
des	w9141
Verlas=senschaftsguts	w9142
<g/>
=
von	w9144
Amts	w9145
wegen	w9146
vorgegangen	w9147
<g/>
,
und	w9149
dasselbe	w9150
den	w9151
etwa	w9152
vorkommenden	w9153
Erben	w9154
un=bedenklich	w9155
<g/>
=
überlassen	w9157
werden	w9158
<g/>
,
auch	w9160
den	w9161
allenfalls	w9162
existirenden	w9163
Schuldprätendenten	w9164
das	w9165
ewige	w9166
Still=schweigen	w9167
<g/>
=
auferleget	w9169
seyn	w9170
würde	w9171
<g/>
.
</p>
<p id="p162">
Wir	w9173
Stadtrichter	w9174
und	w9175
Rath	w9176
der	w9177
k	w9178
<g/>
.
k	w9180
<g/>
.
Haupt=stadt	w9182
<g/>
=
und	w9184
Gränitz	w9185
Festung	w9186
Temeswar	w9187
im	w9188
Ba=nate	w9189
<g/>
=
machen	w9191
hiemit	w9192
Kraft	w9193
gegenwärtigen	w9194
Edikt	w9195
kund	w9196
und	w9197
zu	w9198
wissen	w9199
<g/>
:
Es	w9201
sey	w9202
über	w9203
einen	w9204
von	w9205
der	w9206
hochlöbl	w9207
<g/>
.
k	w9209
<g/>
.
k	w9211
<g/>
.
benantlichen	w9213
Landesadministra=tion	w9214
<g/>
=
von	w9216
hier	w9217
aus	w9218
abgefodert	w9219
<g/>
,
und	w9221
unterm	w9222
1	w9223
<g/>
.
April	w9225
d	w9226
<g/>
.
J	w9228
<g/>
.
erstatteten	w9230
Magistratsbericht	w9231
mittels	w9232
Decret	w9233
vom	w9234
4	w9235
<g/>
.
May	w9237
anbefohlen	w9238
worden	w9239
<g/>
,
all	w9241
jene	w9242
<g/>
,
welche	w9244
an	w9245
dem	w9246
diesem	w9247
Magistrat	w9248
unter=stehend	w9249
<g/>
=
<g/>
,
und	w9252
erst	w9253
jüngsthin	w9254
als	w9255
großjährig	w9256
er=klärten	w9257
<g/>
=
Gregor	w9259
Höz	w9260
einige	w9261
Foderung	w9262
zu	w9263
haben	w9264
vermeinen	w9265
<g/>
,
mittels	w9267
öffentlichen	w9268
Edikt	w9269
binnen	w9270
3	w9271
Monaten	w9272
von	w9273
heut	w9274
Dato	w9275
an	w9276
sub	w9277
clausula	w9278
præ-clusipraeclusi	w9279
<g/>
-
fürzuladen	w9281
<g/>
.
Es	w9283
werden	w9284
daher	w9285
sämtlich=diese	w9286
<g/>
=
Cräditspartheyen	w9288
binnen	w9289
obbestimmter	w9290
Zeit	w9291
vor	w9292
diesem	w9293
deutschen	w9294
Stadtmagistrat	w9295
eneweder	w9296
persöhnlich	w9297
<g/>
,
oder	w9299
durch	w9300
genugsam	w9301
instruirte	w9302
Be=vollmächtigte	w9303
<g/>
=
<g/>
,
alsogewiß	w9306
zu	w9307
erscheinen	w9308
<g/>
,
ihre	w9310
ha=bende	w9311
<g/>
=
Foderungen	w9313
anzumelden	w9314
<g/>
,
und	w9316
behörig	w9317
zu	w9318
liquidiren	w9319
haben	w9320
<g/>
,
wie	w9322
im	w9323
widrigen	w9324
die	w9325
Aus=bleibende	w9326
<g/>
=
hievon	w9328
gänglich	w9329
ausgeschlossen	w9330
<g/>
,
und	w9332
ihnen	w9333
diesfalls	w9334
das	w9335
ewige	w9336
Stillschweigen	w9337
aufer=legt	w9338
<g/>
=
würde	w9340
<g/>
.
Temeswar	w9342
den	w9343
18	w9344
<g/>
.
May	w9346
1775	w9347
<g/>
.
</p>
<p id="p163">
Von	w9349
der	w9350
röm	w9351
<g/>
.
k	w9353
<g/>
.
k	w9355
<g/>
.
Majestät	w9357
ni	w9358
<g/>
.
öst	w9360
<g/>
.
Land=recht	w9362
<g/>
=
wegen	w9364
<g/>
,
wird	w9366
hiemit	w9367
all	w9368
und	w9369
jeden	w9370
<g/>
,
denen	w9372
etwa	w9373
daran	w9374
gelegen	w9375
<g/>
,
kund	w9377
und	w9378
zu	w9379
wissen	w9380
ge=macht	w9381
<g/>
=
<g/>
:
Demnach	w9384
der	w9385
Herr	w9386
Johann	w9387
Ernst	w9388
von	w9389
Crollalanza	w9390
<g/>
,
als	w9392
Ferdinand	w9393
von	w9394
Thomasischer	w9395
Kinder	w9396
Curator	w9397
ad	w9398
actum	w9399
schriftlich	w9400
angezeiget	w9401
<g/>
,
daß	w9403
weil	w9404
<g/>
.
Frauen	w9406
Aloysick	w9407
Josephä	w9408
v	w9409
<g/>
.
Thoma=sis	w9411
<g/>
=
seel	w9413
<g/>
.
Erben	w9415
vermög	w9416
des	w9417
in	w9418
Sachen	w9419
ergange=nen	w9420
<g/>
=
Relationsausschlag	w9422
auf	w9423
ihre	w9424
Foderung	w9425
pr	w9426
<g/>
.
5000	w9428
fl	w9429
<g/>
.
cum	w9431
sua	w9432
caula	w9433
aus	w9434
der	w9435
Winklerischen	w9436
Cridämassa	w9437
1099	w9438
fl	w9439
<g/>
.
23	w9441
kr	w9442
<g/>
.
zurepartiret	w9444
wor=den	w9445
<g/>
=
<g/>
,
nunmehr	w9448
aber	w9449
es	w9450
an	w9451
dem	w9452
beruhete	w9453
<g/>
,
wo=mit	w9455
<g/>
=
das	w9457
Obligo	w9458
besagter	w9459
5000	w9460
fl	w9461
<g/>
.
nebst	w9463
den	w9464
da=zu	w9465
<g/>
=
gehörigen	w9467
Akten	w9468
beygeschaft	w9469
würden	w9470
<g/>
,
und	w9472
hierüber	w9473
unterm	w9474
23	w9475
<g/>
.
März	w9477
d	w9478
<g/>
.
J	w9480
<g/>
.
gerichtlich	w9482
ver=anlaßt	w9483
<g/>
=
worden	w9485
ist	w9486
<g/>
,
daß	w9488
über	w9489
die	w9490
von	w9491
Wilhelm	w9492
Friderich	w9493
Edlen	w9494
v	w9495
<g/>
.
Winkler	w9497
an	w9498
die	w9499
Aloysiam	w9500
Josepham	w9501
v	w9502
<g/>
.
Thomasis	w9504
ausgestellte	w9505
Obligation	w9506
dd	w9507
<g/>
.
6	w9509
<g/>
.
May	w9511
1723	w9512
pr	w9513
<g/>
.
5000	w9515
fl	w9516
<g/>
.
das	w9518
behörige	w9519
</p>
<p id="p164">
Amortisationsedikt	w9520
bey	w9521
der	w9522
Kanzley	w9523
ausgefer=tiget	w9524
<g/>
=
werden	w9526
soll	w9527
<g/>
;
Als	w9529
ist	w9530
im	w9531
Namen	w9532
Jhrer	w9533
k	w9534
<g/>
.
k	w9536
<g/>
.
Majestät	w9538
unser	w9539
allergnädigsten	w9540
Frau	w9541
der	w9542
Be=fehl	w9543
<g/>
=
<g/>
,
daß	w9546
der	w9547
<g/>
=
oder	w9549
diejenige	w9550
<g/>
,
so	w9552
obbemeldte	w9553
Obligation	w9554
<g/>
,
oder	w9556
einige	w9557
schriftliche	w9558
Documenta	w9559
hieran	w9560
in	w9561
Handen	w9562
haben	w9563
<g/>
,
oder	w9565
annoch	w9566
über=kommen	w9567
<g/>
=
möchten	w9569
<g/>
,
wie	w9571
auch	w9572
diejenige	w9573
<g/>
,
welche	w9575
hievon	w9576
einige	w9577
Sprüche	w9578
und	w9579
Foderungen	w9580
haben	w9581
<g/>
,
oder	w9583
zu	w9584
haben	w9585
vermeinen	w9586
<g/>
,
solche	w9588
innerhalb	w9589
ein	w9590
Jahr	w9591
2	w9592
Wochen	w9593
und	w9594
3	w9595
Täg	w9596
bey	w9597
diesen	w9598
k	w9599
<g/>
.
k	w9601
<g/>
.
ni	w9603
<g/>
.
öst	w9605
<g/>
.
Landrecht	w9607
alsogewiß	w9608
für	w9609
<g/>
=
und	w9611
anbrin=gen	w9612
<g/>
=
<g/>
,
wie	w9615
im	w9616
widrigen	w9617
sothane	w9618
Obligation	w9619
pr	w9620
<g/>
.
5000	w9622
fl	w9623
<g/>
.
nach	w9625
Verfliessung	w9626
dieses	w9627
Termins	w9628
<g/>
,
eo	w9630
ipso	w9631
amortisiret	w9632
<g/>
,
annulliret	w9634
und	w9635
caßiret	w9636
seyn	w9637
soll	w9638
<g/>
.
Wien	w9640
den	w9641
28	w9642
<g/>
.
April	w9644
1775	w9645
<g/>
.
</p>
<p id="p165">
Es	w9647
ist	w9648
in	w9649
dem	w9650
allhiesig	w9651
k	w9652
<g/>
.
k	w9654
<g/>
.
Wienermilitär=invalidenhaus	w9656
<g/>
=
der	w9658
von	w9659
Wolkendorf	w9660
in	w9661
Ni	w9662
<g/>
.
Oe	w9664
<g/>
.
gebürtige	w9666
unter	w9667
dem	w9668
Anspachischen	w9669
Kurraßier=regiment	w9670
<g/>
=
gediente	w9672
Gemeine	w9673
<g/>
,
Philipp	w9675
Wenzel	w9676
Haubizel	w9677
<g/>
,
den	w9679
14	w9680
<g/>
.
April	w9682
d	w9683
<g/>
.
J	w9685
<g/>
.
led	w9687
<g/>
.
St	w9689
<g/>
.
gestorben	w9691
<g/>
.
und	w9693
hat	w9694
an	w9695
eigenthümlichen	w9696
Vermögen	w9697
einen	w9698
Betrag	w9699
von	w9700
65	w9701
fl	w9702
<g/>
.
hinterlassen	w9704
<g/>
.
Solchemnach	w9706
werden	w9707
all	w9708
und	w9709
jede	w9710
<g/>
,
welche	w9712
an	w9713
erdeuter	w9714
Ver=lassenschaft	w9715
<g/>
=
eine	w9717
Anfoderung	w9718
<g/>
,
oder	w9720
Erbsanspruch	w9721
zu	w9722
machen	w9723
vermeinen	w9724
<g/>
,
von	w9726
heute	w9727
als	w9728
den	w9729
10	w9730
<g/>
.
May	w9732
1775	w9733
an	w9734
<g/>
,
binnen	w9736
ein	w9737
Jahr	w9738
<g/>
,
6	w9740
Wochen	w9741
und	w9742
3	w9743
Täge	w9744
<g/>
,
mithin	w9746
den	w9747
25	w9748
<g/>
.
Juni	w9750
1776	w9751
in	w9752
gedacht	w9753
hiesigen	w9754
k	w9755
<g/>
.
k	w9757
<g/>
.
Militarinvalidenhaus	w9759
in	w9760
des	w9761
Oberst	w9762
<g/>
=
und	w9764
Kommendantens	w9765
Wohnung	w9766
<g/>
,
ohnfehlbar	w9768
Vormittag	w9769
zwischen	w9770
9	w9771
und	w9772
12	w9773
Uhr	w9774
zu	w9775
erscheinen	w9776
<g/>
,
und	w9778
sich	w9779
durch	w9780
schriftliche	w9781
Urkun=den	w9782
<g/>
=
behörig	w9784
zu	w9785
legitimiren	w9786
haben	w9787
<g/>
;
massen	w9789
wi=drigens	w9790
<g/>
=
all	w9792
diejenige	w9793
<g/>
,
welche	w9795
sich	w9796
zwar	w9797
anmel=den	w9798
<g/>
=
<g/>
,
jedoch	w9801
nicht	w9802
mit	w9803
hinlänglichen	w9804
Legitima=tionsdocumenten	w9805
<g/>
=
versehen	w9807
seyn	w9808
werden	w9809
<g/>
,
der	w9811
Ord=nung	w9812
<g/>
=
nach	w9814
abgewiesen	w9815
<g/>
,
und	w9817
selben	w9818
sowohl	w9819
<g/>
,
als	w9821
denen	w9822
sich	w9823
nach	w9824
Verlauf	w9825
obangesetzt	w9826
peremptori=scher	w9827
<g/>
=
Zeit	w9829
nicht	w9830
Anmeldenden	w9831
<g/>
,
das	w9833
ewige	w9834
Still=schweigen	w9835
<g/>
=
auferleget	w9837
<g/>
,
und	w9839
mit	w9840
dem	w9841
oberwehnten	w9842
Verlassenschaftsbetrag	w9843
was	w9844
Rechtens	w9845
ist	w9846
fürge	w9847
<g/>
=
lehret	w9850
werden	w9851
würde	w9852
<g/>
.
</p>
<p id="p166">
Die	w9854
Amtskanzley	w9855
des	w9856
fürstl	w9857
<g/>
.
Stift	w9859
und	w9860
Klo=sters	w9861
<g/>
=
Lilienfeld	w9863
in	w9864
Ni	w9865
<g/>
.
Oe	w9867
<g/>
.
citiret	w9869
<g/>
,
die	w9871
seit	w9872
et=lich	w9873
<g/>
=
und	w9875
dreyßig	w9876
Jahre	w9877
aus	w9878
dem	w9879
hieher	w9880
gehö=rigen	w9881
<g/>
=
Amt	w9883
St	w9884
<g/>
.
Annaberg	w9886
am	w9887
Spetzerhaus	w9888
ge=bürtig	w9889
<g/>
=
<g/>
,
abwesend	w9892
<g/>
,
und	w9894
nach	w9895
Ungarn	w9896
gewande=ret	w9897
<g/>
=
seyn	w9899
sollende	w9900
drey	w9901
Sonnleithnerische	w9902
Kinder	w9903
<g/>
,
benanntlich	w9905
Jakob	w9906
Sonnleithner	w9907
<g/>
,
Magdalena	w9909
<g/>
,
und	w9911
Elisabetha	w9912
Sonnleithnerin	w9913
<g/>
;
ingleichen	w9915
den	w9916
aus	w9917
dem	w9918
Amt	w9919
Eichenau	w9920
am	w9921
obern	w9922
Mooß	w9923
ge=bürtig	w9924
<g/>
=
<g/>
,
und	w9927
gegen	w9928
32	w9929
Jahre	w9930
unwissenden	w9931
Simon	w9932
Prackh	w9933
<g/>
,
oder	w9935
derselben	w9936
Leibeserben	w9937
<g/>
,
binnen	w9939
1	w9940
Jahr	w9941
6	w9942
Wochen	w9943
und	w9944
3	w9945
Täg	w9946
<g/>
,
peremptorie	w9948
aber	w9949
den	w9950
24	w9951
<g/>
.
Juni	w9953
1776	w9954
allhier	w9955
in	w9956
der	w9957
Amtskanzley	w9958
Lilienfeld	w9959
zu	w9960
erscheinen	w9961
<g/>
,
widrigenfalls	w9963
erstere	w9964
pro	w9965
mortuis	w9966
erkläret	w9967
<g/>
,
Letztere	w9969
aber	w9970
præcludirtpraecludirt	w9971
<g/>
,
und	w9973
</p>
<p id="p167">
die	w9974
ihnen	w9975
unter	w9976
der	w9977
Zeit	w9978
zugefalenen	w9979
Erbschaf=ten	w9980
<g/>
=
ihren	w9982
nächsten	w9983
