<doc id="wr_1762-08-11" attrs="word" year="1762" month="08" day="11" corpus="2">
<head id="h2_d681e2802">
Lissabon	w1_d681e2806
Herren	w15_d681e10060
Land=stände	w1_d681e10065
sich	w3_d681e10068
in	w5_d681e10071
öffentlichem	w7_d681e10074
Staat	w9_d681e10077
bege	w11_d681e10080
ben,	w1_d681e10085
und	w3_d681e10088
zufolge	w5_d681e10091
der,	w7_d681e10094
wie	w9_d681e10097
alle	w11_d681e10100
Jahr	w13_d681e10104
ge	w15_d681e10107
wöhnlich,	w1_d681e10113
an	w3_d681e10116
sie	w5_d681e10119
geschehenen	w7_d681e10122
allerhöchsten	w9_d681e10125
Landtages=proposition	w1_d681e10130
die	w3_d681e10133
Landesfürstl.	w5_d681e10136
Po	w7_d681e10139
stulata	w1_d681e10144
aus	w3_d681e10147
Jhrer	w5_d681e10150
Majestät	w7_d681e10153
Händen	w9_d681e10156
em	w11_d681e10159
pfangen.	w1_d681e10164
</p>
<p id="p20_d681e10167">
Den	w1_d681e10171
7.	w3_d681e10174
dies	w5_d681e10177
ist	w7_d681e10180
allhier	w9_d681e10183
die	w11_d681e10186
Ziehung	w13_d681e10190
der	w15_d681e10193
K.	w1_d681e10198
K.	w3_d681e10201
Lotterie	w5_d681e10204
beschehen,	w7_d681e10207
und	w9_d681e10210
die	w11_d681e10213
Num.	w13_d681e10217
61.	w15_d681e10220
33.	w1_d681e10225
62.	w3_d681e10228
60.	w5_d681e10231
und	w7_d681e10234
77.	w9_d681e10237
mit	w11_d681e10240
vielen	w13_d681e10244
beträchtli	w15_d681e10247
chen	w1_d681e10253
Ambi,	w3_d681e10256
Terni	w5_d681e10259
und	w7_d681e10262
Estrati	w9_d681e10265
gehoben,	w11_d681e10268
und	w13_d681e10272
ist	w1_d681e10277
bey	w3_d681e10280
dem	w5_d681e10283
sub	w7_d681e10286
Num.	w9_d681e10289
1.	w11_d681e10292
angestellten	w13_d681e10296
Collector	w15_d681e10299
eine	w1_d681e10304
Quaterno	w3_d681e10307
oder	w5_d681e10310
Quartin,	w7_d681e10313
bey	w9_d681e10316
jenem	w11_d681e10319
sub	w13_d681e10323
Num.	w1_d681e10328
5.	w3_d681e10331
ein	w5_d681e10334
Terno	w7_d681e10337
mit	w9_d681e10340
140.	w11_d681e10343
Ducaten,	w13_d681e10347
bey	w1_d681e10353
dem	w3_d681e10356
sub	w5_d681e10359
Num.	w7_d681e10362
23.,	w9_d681e10365
ein	w11_d681e10368
Terno	w13_d681e10372
mit	w15_d681e10375
100.	w1_d681e10380
deto,	w3_d681e10383
bey	w5_d681e10386
dem	w7_d681e10389
sub	w9_d681e10392
Num.	w11_d681e10395
25.	w13_d681e10399
ein	w15_d681e10402
Ters	w17_d681e10405
no	w1_d681e10410
mit	w3_d681e10413
150.	w5_d681e10416
deto,	w7_d681e10419
und	w9_d681e10422
bey	w11_d681e10425
jenem	w13_d681e10429
sub	w15_d681e10432
Num.	w17_d681e10435
61.	w1_d681e10440
auf	w3_d681e10443
dem	w5_d681e10446
Neustift	w7_d681e10449
ein	w9_d681e10452
Terno	w11_d681e10455
pr.	w13_d681e10459
103.	w15_d681e10462
deto	w1_d681e10468
gewonnen,	w3_d681e10471
und	w5_d681e10474
abgeführet	w7_d681e10477
worden.	w9_d681e10480
</p>
<p id="p22_d681e10483">
Den	w1_d681e10487
21.	w3_d681e10490
wird	w5_d681e10493
die	w7_d681e10496
fernere	w9_d681e10499
Ziehung	w11_d681e10502
in	w13_d681e10506
der	w15_d681e10509
K.	w1_d681e10514
K.	w3_d681e10517
Haupt=stadt	w5_d681e10520
Prag	w7_d681e10523
geschehen.	w9_d681e10526
</p>
<head id="h2_d681e10534">
Lista	w1_d681e10538
deren	w3_d681e10541
Verstorbenen	w5_d681e10544
zu	w7_d681e10547
Wien	w9_d681e10550
in	w1_d681e10555
und	w3_d681e10558
vor	w5_d681e10561
der	w7_d681e10564
Stadt.	w9_d681e10567
Den	w1_d681e10572
5.	w3_d681e10575
Aug.	w5_d681e10578
Jn	w7_d681e10581
der	w9_d681e10584
Stadt.	w11_d681e10587
</head>
<list id="l4_d681e10590">
Hr.	w1_d681e10594
Andre	w3_d681e10597
Bartl,	w5_d681e10600
Burgerl.	w7_d681e10603
Lauten	w9_d681e10606
und	w11_d681e10609
Geigen	w13_d681e10613
mach.,	w1_d681e10618
beym	w3_d681e10621
gold.	w5_d681e10624
Greif	w7_d681e10627
kin	w9_d681e10630
der	w11_d681e10633
Kärntnerstr.,	w13_d681e10637
alt	w1_d681e10642
80.	w3_d681e10645
J.	w5_d681e10648
Joh.	w1_d681e10654
Rapold,	w3_d681e10657
Burgerl.	w5_d681e10660
Füterer,	w7_d681e10663
in	w9_d681e10666
Ungrechtsber	w11_d681e10669
geris.	w1_d681e10674
H.	w3_d681e10677
im	w5_d681e10680
Strauch=gäs.,	w7_d681e10683
alt	w9_d681e10686
73.	w11_d681e10689
J.	w13_d681e10693
Dem	w1_d681e10698
Leonh.	w3_d681e10701
Walz,	w5_d681e10704
Lack.,	w7_d681e10707
s.	w9_d681e10710
K.	w11_d681e10713
Jos.,	w13_d681e10717
im	w15_d681e10720
kl.	w17_d681e10723
Rom	w19_d681e10726
hof	w1_d681e10731
in	w3_d681e10734
der	w5_d681e10737
Himmel=pfort=gas.,	w7_d681e10740
alt	w9_d681e10743
2.	w11_d681e10746
J.	w13_d681e10750
</list>
<head id="h2_d681e10757">
Vor	w1_d681e10761
der	w3_d681e10764
Stadt.	w5_d681e10767
</head>
<list id="l4_d681e10770">
Der	w1_d681e10774
Hoch	w3_d681e10777
und	w5_d681e10780
Wol=geb.	w7_d681e10783
Hr.	w9_d681e10786
Don	w11_d681e10789
Sebast.	w13_d681e10793
de	w15_d681e10796
Dal	w17_d681e10799
man,	w1_d681e10804
Jhrer	w3_d681e10807
K.	w5_d681e10810
K.	w7_d681e10813
Apostol.	w9_d681e10816
Majest.	w11_d681e10819
Feldmarschall	w13_d681e10823
leuten.,	w1_d681e10828
beyn	w3_d681e10831
3.	w5_d681e10834
Kron.	w7_d681e10837
bey	w9_d681e10840
Maria=hülf,	w11_d681e10843
79.	w13_d681e10847
J.	w15_d681e10850
Math.	w1_d681e10856
Pruner,	w3_d681e10859
Burgerl.	w5_d681e10862
Schuhmach.,	w7_d681e10865
im	w9_d681e10868
Frey=gut	w11_d681e10871
auf	w1_d681e10876
der	w3_d681e10879
Wied.,	w5_d681e10882
alt	w7_d681e10885
60.	w9_d681e10888
J.	w11_d681e10891
Pet.	w1_d681e10896
Martin,	w3_d681e10899
Haus=inhab.,	w5_d681e10902
in	w7_d681e10905
s.	w9_d681e10908
H.	w11_d681e10911
im	w13_d681e10915
Liechten	w15_d681e10918
th.,	w1_d681e10923
alt	w3_d681e10926
78.	w5_d681e10929
J.	w7_d681e10932
</list>
<list id="l10_d681e10946">
Franz	w1_d681e10950
Hofstätzter,	w3_d681e10953
Buchdruckerey=verw.,	w5_d681e10956
beym	w7_d681e10959
gr.	w9_d681e10962
Adl	w1_d681e10967
am	w3_d681e10970
Thurn,	w5_d681e10973
alt	w7_d681e10976
25.	w9_d681e10979
J.	w11_d681e10982
Dem	w1_d681e10987
Joh.	w3_d681e10990
Gerhard,	w5_d681e10993
Taglöhn.,	w7_d681e10996
s.	w9_d681e10999
K.	w11_d681e11002
Magdal.,	w13_d681e11006
bey	w15_d681e11009
dem	w1_d681e11015
golh.	w3_d681e11018
Greif.	w5_d681e11021
am	w7_d681e11024
Magdal.gr.,	w9_d681e11027
alt	w11_d681e11030
8.	w13_d681e11034
J.	w15_d681e11037
Dem	w1_d681e11042
Casp.	w3_d681e11045
Gerlinger,	w5_d681e11048
Marquedant.,	w7_d681e11051
s.	w9_d681e11054
W.	w11_d681e11057
Mag	w13_d681e11061
dal.,	w1_d681e11066
beym	w3_d681e11069
gold.	w5_d681e11072
Hiesch.	w7_d681e11075
auf	w9_d681e11078
der	w11_d681e11081
Wied.,	w13_d681e11085
40.	w15_d681e11088
J.	w17_d681e11091
Dem	w1_d681e11096
Ferd	w3_d681e11099
Stock,	w5_d681e11102
Haus	w7_d681e11105
inhab.,	w9_d681e11108
s.	w11_d681e11111
K.	w13_d681e11115
Cathar.,	w15_d681e11118
in	w17_d681e11121
s.	w1_d681e11127
H.	w3_d681e11130
im	w5_d681e11133
Liechtenth,	w7_d681e11136
alt	w9_d681e11139
5.	w11_d681e11142
v.	w13_d681e11146
J.	w15_d681e11149
Dem	w1_d681e11154
Franz	w3_d681e11157
Grundmann,	w5_d681e11160
Herrschaftl.	w7_d681e11163
Kutsch.,	w9_d681e11166
s.	w11_d681e11169
K.	w1_d681e11174
Paul,	w3_d681e11177
beym	w5_d681e11180
gold.	w7_d681e11183
Pflug	w9_d681e11186
am	w11_d681e11189
Thury,	w13_d681e11193
alt	w15_d681e11196
2.	w17_d681e11199
J.	w19_d681e11202
</list>
<head id="h2_d681e11210">
Summa	w1_d681e11214
11.	w3_d681e11217
Person.,	w5_d681e11220
darunter	w7_d681e11223
4	w9_d681e11226
Kind.	w11_d681e11229
Den	w1_d681e11234
6.	w3_d681e11237
Aug.	w5_d681e11240
Jn	w1_d681e11245
der	w3_d681e11248
Stadt.	w5_d681e11251
</head>
<list id="l4_d681e11254">
Dem	w1_d681e11258
Hoch	w3_d681e11261
und	w5_d681e11264
Wol=geb.	w7_d681e11267
Hrn.	w9_d681e11270
Hrn.	w11_d681e11273
Carl,	w13_d681e11277
des	w15_d681e11280
H.	w17_d681e11283
R	w1_d681e11288
R	w3_d681e11291
Grafen	w5_d681e11294
v.	w7_d681e11297
Pietrichstein,	w9_d681e11300
K.	w11_d681e11303
à	w13_d681e11307
Kammerer,	w15_d681e11310
und	w1_d681e11315
N.	w3_d681e11318
Oe.	w5_d681e11321
Reg.	w7_d681e11324
Raht	w9_d681e11327
rc.	w11_d681e11330
dero	w13_d681e11334
Gräfl.	w15_d681e11337
Hr.	w17_d681e11340
S.	w19_d681e11343
Leop.,	w1_d681e11349
in	w3_d681e11352
dero	w5_d681e11355
eigenen	w7_d681e11358
Behaus.	w9_d681e11361
im	w11_d681e11364
der	w13_d681e11368
Schaufler	w15_d681e11371
gas.,	w1_d681e11376
alt	w3_d681e11379
6.	w5_d681e11382
v.	w7_d681e11385
Jos.	w1_d681e11390
Thoma,	w3_d681e11393
Maurer=ges.,	w5_d681e11396
im	w7_d681e11399
Fischeris.	w9_d681e11402
H.	w11_d681e11405
in	w13_d681e11409
der	w15_d681e11412
Singerstr,	w1_d681e11417
alt	w3_d681e11420
33.	w5_d681e11423
J.	w7_d681e11426
</list>
<head id="h2_d681e11433">
Vor	w1_d681e11437
der	w3_d681e11440
Stadt.	w5_d681e11443
</head>
<list id="l4_d681e11446">
Der	w1_d681e11450
Wol=edel=geb.	w3_d681e11453
Hr.	w5_d681e11456
Leop.	w7_d681e11459
v.	w9_d681e11462
Fetzer,	w11_d681e11465
des	w13_d681e11469
Löbl.	w15_d681e11472
K.	w1_d681e11477
K.	w3_d681e11480
Damnitzis.	w5_d681e11483
Jnfant	w7_d681e11486
Regim.	w9_d681e11489
gew.	w11_d681e11492
Hauptm.	w13_d681e11496
beyn	w1_d681e11501
3.	w3_d681e11504
Eng	w5_d681e11507
auf	w7_d681e11510
der	w9_d681e11513
Landstr.,	w11_d681e11516
alt	w13_d681e11520
54.	w15_d681e11523
J.	w17_d681e11526
Dem	w1_d681e11532
Joh.	w3_d681e11535
Riedl,	w5_d681e11538
Burgerl.	w7_d681e11541
Saitenmach.,	w9_d681e11544
s.	w11_d681e11547
W.	w13_d681e11551
Anna,	w1_d681e11556
beym	w3_d681e11559
gut.	w5_d681e11562
Hirt.	w7_d681e11565
am	w9_d681e11568
Neustift,	w11_d681e11571
alt	w13_d681e11575
39.	w15_d681e11578
J.	w17_d681e11581
Polixena	w1_d681e11586
Keilerin,	w3_d681e11589
Wittwe,	w5_d681e11592
beym	w7_d681e11595
H.	w9_d681e11598
Geist	w11_d681e11601
in	w13_d681e11605
dem	w15_d681e11608
Liechtenth.,	w1_d681e11613
alt	w3_d681e11616
84.	w5_d681e11619
J.	w7_d681e11622
Dem	w1_d681e11628
Math.	w3_d681e11631
Pfeiffer,	w5_d681e11634
Kutsch,	w7_d681e11637
s.	w9_d681e11640
W.	w11_d681e11643
Anna,	w13_d681e11647
in	w15_d681e11650
den	w17_d681e11653
barmherz.	w1_d681e11658
Zim.	w3_d681e11661
auf	w5_d681e11664
der	w7_d681e11667
Landstr.,	w9_d681e11670
alt	w11_d681e11673
44.	w13_d681e11677
J.	w15_d681e11680
Joh.	w1_d681e11685
Haß,	w3_d681e11688
Bäcken	w5_d681e11691
lehr	w7_d681e11694
jung,	w9_d681e11697
beyn	w11_d681e11700
5.	w13_d681e11704
Lerch.	w15_d681e11707
am	w17_d681e11710
Neustift,	w1_d681e11715
alt	w3_d681e11718
21.	w5_d681e11721
J.	w7_d681e11724
Eva	w1_d681e11730
Praxin,	w3_d681e11733
in	w5_d681e11736
St.	w7_d681e11739
Joh.	w9_d681e11742
Nep.	w11_d681e11745
Spit.,	w13_d681e11749
alt	w15_d681e11752
71.	w17_d681e11755
J.	w19_d681e11758
Dem	w1_d681e11763
Mart.	w3_d681e11766
Müllhofer,	w5_d681e11769
Burgerl	w7_d681e11772
Greißl,	w9_d681e11775
s.	w11_d681e11778
K.	w13_d681e11782
Joh.	w15_d681e11785
Bapt.	w1_d681e11790
im	w3_d681e11793
Maynzis.	w5_d681e11796
H.	w7_d681e11799
auf	w9_d681e11802
der	w11_d681e11805
Landstr.,	w13_d681e11809
1.	w15_d681e11812
J.	w17_d681e11815
Dem	w1_d681e11820
Rupert	w3_d681e11823
Hochenecker,	w5_d681e11826
Taglöhn.,	w7_d681e11829
s.	w9_d681e11832
K.	w11_d681e11835
Jgnatz,	w13_d681e11839
im	w1_d681e11845
Hausmeisteris.	w3_d681e11848
H.	w5_d681e11851
zu	w7_d681e11854
Gumpendorf,	w9_d681e11857
alt	w11_d681e11860
2.	w13_d681e11864
J.	w15_d681e11867
</list>
<head id="h2_d681e11874">
Summa	w1_d681e11878
10.	w3_d681e11881
Pers.,	w5_d681e11884
daranter	w7_d681e11887
3.	w9_d681e11890
Kinder.	w11_d681e11893
Den	w1_d681e11898
7.	w3_d681e11901
Aug.	w5_d681e11904
Jn	w1_d681e11909
der	w3_d681e11912
Stadt.	w5_d681e11915
</head>
<list id="l4_d681e11918">
Dem	w1_d681e11922
Wol=edel=geb.	w3_d681e11925
Hrn.	w5_d681e11928
Joh.	w7_d681e11931
v.	w9_d681e11934
Siebert,	w11_d681e11937
des	w13_d681e11941
Löbl.	w1_d681e11946
K.	w3_d681e11949
K.	w5_d681e11952
Simschönis.	w7_d681e11955
Jnfant.	w9_d681e11958
Regim.	w11_d681e11961
Haupt	w13_d681e11965
mann,	w1_d681e11970
s.	w3_d681e11973
Frle.	w5_d681e11976
T.	w7_d681e11979
Theres.,	w9_d681e11982
im	w11_d681e11985
kl.	w13_d681e11989
Golis.	w15_d681e11992
H.	w17_d681e11995
in	w19_d681e11998
der	w1_d681e12004
Weihburg=gas.,	w3_d681e12007
alt	w5_d681e12010
1.	w7_d681e12013
J.	w9_d681e12016
Der	w1_d681e12021
Wol	w3_d681e12024
edle	w5_d681e12027
Hr	w7_d681e12030
Pet.	w9_d681e12033
Ado,	w11_d681e12036
P.	w13_d681e12040
K.	w15_d681e12043
Hof	w17_d681e12046
und	w19_d681e12049
Kam	w21_d681e12052
mer=music.,	w1_d681e12057
im	w3_d681e12060
Preisingeris.	w5_d681e12063
H.	w7_d681e12066
am	w9_d681e12069
Grab.,	w11_d681e12072
75.	w13_d681e12076
J.	w15_d681e12079
</list>
<head id="h2_d681e12086">
Vor	w1_d681e12090
der	w3_d681e12093
Stadt.	w5_d681e12096
</head>
<list id="l4_d681e12099">
Hr.	w1_d681e12103
Franz	w3_d681e12106
Hirscheger,	w5_d681e12109
gew.	w7_d681e12112
Stadt=canzl.	w9_d681e12115
Cancel.	w11_d681e12118
bey	w1_d681e12123
der	w3_d681e12126
kl.	w5_d681e12129
Rundel.	w7_d681e12132
bey	w9_d681e12135
St.	w11_d681e12138
Ulrich,	w13_d681e12142
alt	w15_d681e12145
54.	w17_d681e12148
J.	w19_d681e12151
Der	w1_d681e12156
Anna	w3_d681e12159
Baurin,	w5_d681e12162
Wittwe,	w7_d681e12165
ihr	w9_d681e12168
T.	w11_d681e12171
Barb.,	w13_d681e12175
beym	w15_d681e12178
gold.	w1_d681e12184
Rauchfang	w3_d681e12187
auf	w5_d681e12190
der	w7_d681e12193
Wied.,	w9_d681e12196
alt	w11_d681e12199
12.	w13_d681e12203
J.	w15_d681e12206
Franz	w1_d681e12211
Probst,	w3_d681e12214
Hof=zuckerback=gehülf,	w5_d681e12217
beym	w7_d681e12220
kleinen	w9_d681e12223
Blumen=stock	w1_d681e12228
bey	w3_d681e12231
Maria=hülf,	w5_d681e12234
alt	w7_d681e12237
36.	w9_d681e12240
J.	w11_d681e12243
</list>
<list id="l6_d681e12247">
Eva	w1_d681e12251
Riederin,	w3_d681e12254
Wittwe,	w5_d681e12257
beym	w7_d681e12260
Winter	w9_d681e12263
in	w11_d681e12266
der	w13_d681e12270
Jo	w15_d681e12273
sephst.,	w1_d681e12278
alt	w3_d681e12281
70.	w5_d681e12284
J.	w7_d681e12287
Dem	w1_d681e12292
Georg	w3_d681e12295
Lesch,	w5_d681e12298
Taglöhn.,	w7_d681e12301
s.	w9_d681e12304
K.	w11_d681e12307
Jos.,	w13_d681e12311
bey	w15_d681e12314
St.	w17_d681e12317
Flo	w19_d681e12320
rian	w1_d681e12326
am	w3_d681e12329
Thury,	w5_d681e12332
alt	w7_d681e12335
6.	w9_d681e12338
J.	w11_d681e12341
Dem	w1_d681e12346
Jos.	w3_d681e12349
Knoll,	w5_d681e12352
Kollmesser=kn.,	w7_d681e12355
s.	w9_d681e12358
K.	w11_d681e12361
Judit,	w13_d681e12365
beym	w15_d681e12368
Erz=engel	w1_d681e12373
Michael	w3_d681e12376
im	w5_d681e12379
Liechtenth.,	w7_d681e12382
alt	w9_d681e12385
8.	w11_d681e12388
J.	w13_d681e12392
Jgnatz	w1_d681e12397
Molsheim,	w3_d681e12400
Lack.,	w5_d681e12403
bey	w7_d681e12406
der	w9_d681e12409
weis.	w11_d681e12412
Schwan.	w13_d681e12416
auf	w1_d681e12422
der	w3_d681e12425
neuen	w5_d681e12428
Wied.,	w7_d681e12431
alt	w9_d681e12434
26.	w11_d681e12437
J.	w13_d681e12441
Dem	w1_d681e12446
Thom.	w3_d681e12449
Krottenthaller,	w5_d681e12452
Tagl.,	w7_d681e12455
s.	w9_d681e12458
W.	w11_d681e12461
Theres.	w13_d681e12465
beym	w1_d681e12470
rot.	w3_d681e12473
H.	w5_d681e12476
an	w7_d681e12479
der	w9_d681e12482
Wien,	w11_d681e12485
alt	w13_d681e12489
49.	w15_d681e12492
J.	w17_d681e12495
Dem	w1_d681e12500
Georg	w3_d681e12503
Hochecker,	w5_d681e12506
Heyduck.,	w7_d681e12509
s.	w9_d681e12512
W.	w11_d681e12515
Anna,	w13_d681e12519
im	w15_d681e12522
erst=bemeldten	w1_d681e12528
H.,	w3_d681e12531
alt	w5_d681e12534
70.	w7_d681e12537
J.	w9_d681e12540
Dem	w1_d681e12545
Wolf	w3_d681e12548
Schatzelmillner,	w5_d681e12551
Schnallenmach.	w7_d681e12554
ges.,	w9_d681e12557
s.	w1_d681e12562
K.	w3_d681e12565
Rosa,	w5_d681e12568
beym	w7_d681e12571
schwarz.	w9_d681e12574
Adl.	w11_d681e12577
hint.	w13_d681e12581
Maria=hülf,	w15_d681e12584
alt	w1_d681e12589
4.	w3_d681e12592
J.	w5_d681e12595
Dem	w1_d681e12601
Phil.	w3_d681e12604
Veigl.,	w5_d681e12607
Taglöhn.,	w7_d681e12610
s.	w9_d681e12613
K.	w11_d681e12616
Anna,	w13_d681e12620
bey	w15_d681e12623
der	w17_d681e12626
Flucht	w1_d681e12631
in	w3_d681e12634
Egopt.	w5_d681e12637
am	w7_d681e12640
Himmel=pfort=gr.,	w9_d681e12643
1.	w11_d681e12646
J.	w13_d681e12650
Ursula	w1_d681e12655
Westhauserin,	w3_d681e12658
arm.,	w5_d681e12661
im	w7_d681e12664
Sonnen=hof	w9_d681e12667
zu	w11_d681e12670
Margar.,	w1_d681e12675
alt	w3_d681e12678
71.	w5_d681e12681
J.	w7_d681e12684
</list>
<head id="h2_d681e12691">
Summa	w1_d681e12695
14.	w3_d681e12698
Pers.,	w5_d681e12701
darunter	w7_d681e12704
5.	w9_d681e12707
Kind.	w11_d681e12710
</head>
<p id="p4_d681e12713">
Nachdeme	w1_d681e12717
die	w3_d681e12720
in	w5_d681e12723
dem	w7_d681e12726
Fürst	w9_d681e12729
Esterhazuschen	w11_d681e12732
Haus	w13_d681e12736
auf	w1_d681e12741
den	w3_d681e12744
12ten	w5_d681e12747
dieses	w7_d681e12750
Monats	w9_d681e12753
angemeldte	w11_d681e12756
Licita	w13_d681e12760
tion	w1_d681e12765
nicht	w3_d681e12768
kau	w5_d681e12771
gehalten	w7_d681e12774
werden,	w9_d681e12777
wird	w11_d681e12780
man	w13_d681e12784
dem	w15_d681e12787
Publico	w1_d681e12793
davon	w3_d681e12796
den	w5_d681e12799
bestimmten	w7_d681e12802
Tag	w9_d681e12805
mit	w11_d681e12808
nächsten	w13_d681e12812
zu	w1_d681e12817
wissen	w3_d681e12820
machen.	w5_d681e12823
</p>
<list id="l6_d681e12828">
Bey	w1_d681e12832
denen	w3_d681e12835
Verlegern	w5_d681e12838
des	w7_d681e12841
Wienerischen	w9_d681e12844
Diarii	w11_d681e12847
ist	w1_d681e12852
zu	w3_d681e12855
haben:	w5_d681e12858
Discours	w1_d681e12863
sur	w3_d681e12866
l'Importance	w5_d681e12869
&	w7_d681e12872
la	w9_d681e12875
Nécessité	w11_d681e12878
de	w13_d681e12882
l'Etude	w1_d681e12888
de	w3_d681e12891
l'Architecture,	w5_d681e12894
dans	w7_d681e12897
le	w9_d681e12900
quel	w11_d681e12903
on	w13_d681e12907
essaye	w15_d681e12910
de	w1_d681e12915
prouver	w3_d681e12918
combien	w5_d681e12921
il	w7_d681e12924
est	w9_d681e12927
important	w11_d681e12930
pour	w13_d681e12934
le	w15_d681e12937
progrés	w1_d681e12942
des	w3_d681e12945
arts,	w5_d681e12948
que	w7_d681e12951
les	w9_d681e12954
hommes	w11_d681e12957
en	w13_d681e12961
place	w15_d681e12964
en	w17_d681e12967
acquietent	w1_d681e12972
les	w3_d681e12975
Connoissances	w5_d681e12978
élementaires.	w7_d681e12981
Com-	w9_d681e12984
posé	w1_d681e12990
par	w3_d681e12993
le	w5_d681e12996
Sieur	w7_d681e12999
d'Aubanton,	w9_d681e13002
Architecte	w11_d681e13005
de	w13_d681e13009
son	w15_d681e13012
Excellence	w1_d681e13017
Mr.	w3_d681e13020
le	w5_d681e13023
Comte	w7_d681e13026
de	w9_d681e13029
Paar.	w11_d681e13032
Das	w13_d681e13036
Stück	w15_d681e13039
à	w1_d681e13044
17.	w3_d681e13047
kr.	w5_d681e13050
D	w1_d681e13055
</list>
<p id="p8_d681e13059">
Wir	w1_d681e13063
Burger=meister	w3_d681e13066
und	w5_d681e13069
Raht	w7_d681e13072
der	w9_d681e13075
Stadt	w11_d681e13078
Wien	w13_d681e13082
geben	w1_d681e13087
hiermit	w3_d681e13090
zu	w5_d681e13093
vernehmen:	w7_d681e13096
Es	w9_d681e13099
hobe	w11_d681e13102
uns	w13_d681e13106
der	w15_d681e13109
Herr	w1_d681e13114
Benedict	w3_d681e13117
Prarmayr	w5_d681e13120
als	w7_d681e13123
gerichtlich	w9_d681e13126
aufge	w11_d681e13129
stellt	w1_d681e13135
Stockhammerischer	w3_d681e13138
Administrator	w5_d681e13141
angezei	w7_d681e13144
get,	w1_d681e13149
wasmassen;	w3_d681e13152
nachdeme	w5_d681e13155
die	w7_d681e13158
in	w9_d681e13161
der	w11_d681e13164
Plenkler	w13_d681e13168
gassen	w1_d681e13173
liegende	w3_d681e13176
Hollenlich=nachhin	w5_d681e13179
aber	w7_d681e13182
sogenann	w9_d681e13185
te	w1_d681e13190
Stockhammerische	w3_d681e13193
Behausung	w5_d681e13196
käuflich	w7_d681e13199
hindan	w9_d681e13202
gelassen	w1_d681e13208
worden,	w3_d681e13211
es	w5_d681e13214
nunmehro	w7_d681e13217
an	w9_d681e13220
deme	w11_d681e13223
seye,	w13_d681e13227
daß	w15_d681e13230
nachfolgende	w1_d681e13235
annoch	w3_d681e13238
hierauf	w5_d681e13241
haftende	w7_d681e13244
Sätz,	w9_d681e13247
nän	w11_d681e13250
lichen	w1_d681e13255
d.	w3_d681e13258
d.	w5_d681e13261
22.	w7_d681e13264
Arril	w9_d681e13267
1724.	w11_d681e13270
pr.	w13_d681e13274
4000.	w15_d681e13277
fl.	w17_d681e13280
auf	w19_d681e13283
den	w21_d681e13286
Herrn	w1_d681e13291
Joseph	w3_d681e13294
Anton	w5_d681e13297
edlen	w7_d681e13300
von	w9_d681e13303
Stockhammer,	w11_d681e13306
dann	w1_d681e13312
d.	w3_d681e13315
d.	w5_d681e13318
10	w7_d681e13321
Martii	w9_d681e13324
1725.	w11_d681e13327
pr.	w13_d681e13331
2000.	w15_d681e13334
fl.	w17_d681e13337
auf	w19_d681e13340
Johann	w1_d681e13345
Baptist	w3_d681e13348
Schwanesini,	w5_d681e13351
und	w7_d681e13354
endlich	w9_d681e13357
d.	w11_d681e13360
d.	w13_d681e13364
20.	w1_d681e13369
Augusti	w3_d681e13372
1743.	w5_d681e13375
auf	w7_d681e13378
weyl.	w9_d681e13381
Georg	w11_d681e13384
Christoph	w13_d681e13388
Härttingerische	w1_d681e13393
Verlassenschaft	w3_d681e13396
lautende	w5_d681e13399
bey	w7_d681e13402
ge	w9_d681e13405
meiner	w1_d681e13411
Stadt	w3_d681e13414
Grund=buch	w5_d681e13417
ad	w7_d681e13420
cassandum	w9_d681e13423
einge	w11_d681e13426
leget	w1_d681e13431
werden	w3_d681e13434
sollen,	w5_d681e13437
da	w7_d681e13440
hingegen	w9_d681e13443
solche	w11_d681e13446
nicht	w13_d681e13450
zu	w15_d681e13453
Handen	w1_d681e13458
zu	w3_d681e13461
brinnen,	w5_d681e13464
hat	w7_d681e13467
derselbe	w9_d681e13470
um	w11_d681e13473
Affigirung	w13_d681e13477
eines	w1_d681e13482
gewöhnlichen	w3_d681e13485
Amortizations=edict	w5_d681e13488
angelan	w7_d681e13491
</p>
<p id="p14_d681e13505">
get.	w1_d681e13509
Wann	w3_d681e13512
nun	w5_d681e13515
wir	w7_d681e13518
über	w9_d681e13521
die	w11_d681e13524
bey	w13_d681e13528
gemeiner	w15_d681e13531
Stadt	w17_d681e13534
Grund=buch	w1_d681e13539
vorlässig	w3_d681e13542
gepflogene	w5_d681e13545
Untersuchung	w7_d681e13548
in	w9_d681e13551
dieses	w1_d681e13556
Gesuch	w3_d681e13559
unterm	w5_d681e13562
27ten	w7_d681e13565
Januarii	w9_d681e13568
a.	w11_d681e13571
c.	w13_d681e13575
auch	w15_d681e13578
gewilliget;	w1_d681e13584
Solchemnach	w3_d681e13587
werden	w5_d681e13590
diejenige,	w7_d681e13593
so	w9_d681e13596
zu	w11_d681e13599
obberührten	w1_d681e13604
Sätzen	w3_d681e13607
einiges	w5_d681e13610
Recht	w7_d681e13613
haben,	w9_d681e13616
oder	w11_d681e13619
zu	w13_d681e13623
haben	w1_d681e13628
vermeinen,	w3_d681e13631
von	w5_d681e13634
heut	w7_d681e13637
gesetztem	w9_d681e13640
dato	w11_d681e13643
an	w13_d681e13647
in	w15_d681e13650
ner	w1_d681e13655
1.	w3_d681e13658
