<doc id="wr_1759-02-10" attrs="word" year="1759" month="02" day="10" corpus="2">
<head id="h2_d321e3155">
Haag	w1_d321e3159
che	w1_d321e10403
sich	w3_d321e10406
in	w5_d321e10409
der	w7_d321e10412
Gegend	w9_d321e10415
von	w11_d321e10418
Erfurt	w13_d321e10422
zusam	w15_d321e10425
men	w1_d321e10430
ziehet,	w3_d321e10433
wird	w5_d321e10436
immer	w7_d321e10439
stärker,	w9_d321e10442
und	w11_d321e10445
man	w13_d321e10449
behauptet	w1_d321e10455
sogar,	w3_d321e10458
daß	w5_d321e10461
sie	w7_d321e10464
bis	w9_d321e10467
gegen	w11_d321e10470
18000.	w13_d321e10474
Mann	w1_d321e10479
anwachsen	w3_d321e10482
soll.	w5_d321e10485
Bey	w7_d321e10488
Eisenach	w9_d321e10491
wird	w11_d321e10494
gleichfalls	w1_d321e10499
ein	w3_d321e10502
kleines	w5_d321e10505
Corps	w7_d321e10508
zu	w9_d321e10511
stehen	w11_d321e10514
kom	w13_d321e10518
men,	w1_d321e10523
und	w3_d321e10526
dem	w5_d321e10529
Verlaut	w7_d321e10532
dörfte	w9_d321e10535
man	w11_d321e10538
näch	w13_d321e10542
stens	w1_d321e10548
von	w3_d321e10551
einer	w5_d321e10554
wichtigen	w7_d321e10557
Unternehmung	w9_d321e10560
hören.	w1_d321e10565
Briefe	w3_d321e10568
aus	w5_d321e10571
Jena	w7_d321e10574
melden,	w9_d321e10577
daß	w11_d321e10580
der	w1_d321e10585
Preußische	w3_d321e10588
General	w5_d321e10591
von	w7_d321e10594
Wedel	w9_d321e10597
mit	w11_d321e10600
ei	w13_d321e10604
nem	w1_d321e10609
starken	w3_d321e10612
Corps	w5_d321e10615
Trupen,	w7_d321e10618
und	w9_d321e10621
einem	w11_d321e10624
gros	w13_d321e10628
sen	w1_d321e10634
Artillerie=train	w3_d321e10637
die	w5_d321e10640
dasige	w7_d321e10643
Gegend	w9_d321e10646
pas	w11_d321e10649
sirt	w1_d321e10654
sey.	w3_d321e10657
Zwischen	w5_d321e10660
Stolpen	w7_d321e10663
und	w9_d321e10666
Bischofs	w11_d321e10669
werda	w1_d321e10674
haben	w3_d321e10677
die	w5_d321e10680
Preußische	w7_d321e10683
und	w9_d321e10686
Oesterre	w11_d321e10689
</p>
<p id="p10_d321e10702">
chische	w1_d321e10706
Hussaren	w3_d321e10709
beym	w5_d321e10712
Recognosciren	w7_d321e10715
einen	w9_d321e10718
Scharmützel	w1_d321e10723
mit	w3_d321e10726
einander	w5_d321e10729
gehabt.	w7_d321e10732
Man	w9_d321e10735
weiß	w1_d321e10740
aber	w3_d321e10743
noch	w5_d321e10746
nicht,	w7_d321e10749
auf	w9_d321e10752
welcher	w11_d321e10755
Seite	w13_d321e10759
der	w1_d321e10765
Vortheil	w3_d321e10768
gewesen	w5_d321e10771
ist.	w7_d321e10774
Alle	w9_d321e10777
Nacht	w11_d321e10780
werden	w1_d321e10785
Piquets	w3_d321e10788
von	w5_d321e10791
Jnfanterie	w7_d321e10794
und	w9_d321e10797
Hussa	w11_d321e10800
ren	w1_d321e10805
über	w3_d321e10808
Neustadt	w5_d321e10811
detaschirt.	w7_d321e10814
Täglich	w9_d321e10817
kom	w11_d321e10820
men	w1_d321e10825
viele	w3_d321e10828
Schiffe	w5_d321e10831
mit	w7_d321e10834
Mehl=fässern	w9_d321e10837
und	w11_d321e10840
Getreid	w1_d321e10846
für	w3_d321e10849
das	w5_d321e10852
Preußische	w7_d321e10855
Magazin	w9_d321e10858
auf	w11_d321e10861
hiesigen	w1_d321e10866
Elb=strom	w3_d321e10869
an,	w5_d321e10872
und	w7_d321e10875
aus	w9_d321e10878
dem	w11_d321e10881
so	w13_d321e10885
genannten	w1_d321e10890
Schraden	w3_d321e10893
hinter	w5_d321e10896
Ortraut	w7_d321e10899
wird	w9_d321e10902
sehr	w1_d321e10907
vieles	w3_d321e10910
Heu	w5_d321e10913
geliefert.	w7_d321e10916
Man	w9_d321e10919
redet	w11_d321e10922
stark	w13_d321e10926
davon,	w1_d321e10932
daß	w3_d321e10935
um	w5_d321e10938
hiesige	w7_d321e10941
Gegend	w9_d321e10944
etliche	w11_d321e10947
La	w13_d321e10951
ger	w1_d321e10956
formiret	w3_d321e10959
werden	w5_d321e10962
sollen.	w7_d321e10965
Jn	w9_d321e10968
voriger	w11_d321e10971
Woche	w1_d321e10976
wurde	w3_d321e10979
der	w5_d321e10982
Appellations=raht	w7_d321e10985
von	w9_d321e10988
Watzdorf	w1_d321e10993
in	w3_d321e10996
seinem	w5_d321e10999
Quartier	w7_d321e11002
zu	w9_d321e11005
Neustadt	w11_d321e11008
mit	w1_d321e11014
Preußischem	w3_d321e11017
Arrest	w5_d321e11020
beleget,	w7_d321e11023
und	w9_d321e11026
alle	w11_d321e11029
seine	w1_d321e11034
Schriften	w3_d321e11037
versiegelt.	w5_d321e11040
Er	w7_d321e11043
hat	w9_d321e11046
einen	w11_d321e11049
Leutenant	w1_d321e11054
bey	w3_d321e11057
sich,	w5_d321e11060
und	w7_d321e11063
vor	w9_d321e11066
dem	w11_d321e11069
Zimmer	w13_d321e11073
eine	w1_d321e11078
Schildwache.	w3_d321e11081
Die	w5_d321e11084
Ursache,	w7_d321e11087
warum	w9_d321e11090
or	w1_d321e11096
arrestiret	w3_d321e11099
worden,	w5_d321e11102
ist	w7_d321e11105
noch	w9_d321e11108
nicht	w11_d321e11111
bekannt.	w13_d321e11115
</p>
<head id="h2_d321e11121">
Genua	w1_d321e11125
29.	w3_d321e11128
Jan.	w5_d321e11131
</head>
<p id="p4_d321e11134">
Vorgestern	w1_d321e11138
wurde	w3_d321e11141
die	w5_d321e11144
Crönung	w7_d321e11147
unsers	w9_d321e11150
neuen	w1_d321e11155
Doge	w3_d321e11158
Mathäi	w5_d321e11161
Franzone	w7_d321e11164
mit	w9_d321e11167
dem	w11_d321e11170
gewöhnlichen	w1_d321e11175
Gepränge	w3_d321e11178
vollzogen.	w5_d321e11181
Nach	w7_d321e11184
dem	w1_d321e11190
vormittägig=feyerlichen	w3_d321e11193
GOttes	w5_d321e11196
dienst	w1_d321e11201
gabe	w3_d321e11204
gedacht=neuer	w5_d321e11207
Doge	w7_d321e11210
denen	w9_d321e11213
aus	w11_d321e11216
wärtigen	w1_d321e11221
Ministern,	w3_d321e11224
wie	w5_d321e11227
auch	w7_d321e11230
dem	w9_d321e11233
inn	w11_d321e11236
ländischen	w1_d321e11241
Adel	w3_d321e11244
an	w5_d321e11247
zweyen	w7_d321e11250
Tafeln	w9_d321e11253
ein	w11_d321e11256
kost	w13_d321e11260
bares	w1_d321e11266
Gast=mal,	w3_d321e11269
dabey	w5_d321e11272
350.	w7_d321e11275
Personen	w9_d321e11278
auf	w11_d321e11281
das	w1_d321e11286
prächtigste	w3_d321e11289
bewirtet	w5_d321e11292
worden.	w7_d321e11295
An	w9_d321e11298
eben	w11_d321e11301
diesen	w1_d321e11306
Tag	w3_d321e11309
wurden	w5_d321e11312
folgende	w7_d321e11315
Herren	w9_d321e11318
ldem	w11_d321e11321
alhiesigen	w1_d321e11326
Adel	w3_d321e11329
einverleibt,	w5_d321e11332
und	w7_d321e11335
in	w9_d321e11338
das	w11_d321e11341
so	w1_d321e11347
genannte	w3_d321e11350
goldene	w5_d321e11353
Buch	w7_d321e11356
eingeschrieben:	w9_d321e11359
</p>
<head id="h2_d321e11365">
Herr	w1_d321e11369
Abbe	w3_d321e11372
de	w5_d321e11375
Ferrari	w7_d321e11378
gevollmächtigter	w9_d321e11381
Minister	w1_d321e11386
dieser	w3_d321e11389
Republic	w5_d321e11392
an	w7_d321e11395
dem	w9_d321e11398
Kaiserl.	w11_d321e11401
Königl.	w1_d321e11406
Hof	w3_d321e11409
zu	w5_d321e11412
Wien.	w7_d321e11415
Herr	w1_d321e11421
Celesia,	w3_d321e11424
Minister	w5_d321e11427
dieser	w7_d321e11430
Republil	w9_d321e11433
an	w1_d321e11438
dem	w3_d321e11441
Königl.	w5_d321e11444
Hof	w7_d321e11447
zu	w9_d321e11450
Londen.	w11_d321e11453
</head>
<p id="p4_d321e11456">
Beyde	w1_d321e11460
Herren	w3_d321e11463
Grafen	w5_d321e11466
Lorenz	w7_d321e11469
und	w9_d321e11472
Jo	w11_d321e11475
hann,	w1_d321e11480
Franz	w3_d321e11483
Cristiani,	w5_d321e11486
Söhne	w7_d321e11489
des	w9_d321e11492
un	w11_d321e11495
längst	w1_d321e11500
verstorbenen	w3_d321e11503
Herrn	w5_d321e11506
Groß=canzlers	w7_d321e11509
zu	w1_d321e11515
Meiland.	w3_d321e11518
</p>
<head id="h2_d321e11524">
Herr	w1_d321e11528
Johann	w3_d321e11531
Thomas	w5_d321e11534
Lugomargsio.	w7_d321e11537
Und	w1_d321e11542
beyde	w3_d321e11545
Herren	w5_d321e11548
Jacob	w7_d321e11551
und	w9_d321e11554
Ludwig	w11_d321e11557
Lavagna,	w1_d321e11562
welche	w3_d321e11565
5.	w5_d321e11568
Letztere	w7_d321e11571
Anverwandte	w9_d321e11574
Sr.	w1_d321e11580
jetzt=regierenden	w3_d321e11583
Päpstl.	w5_d321e11586
Heiligkeit	w7_d321e11589
seynd.	w9_d321e11592
Kurz=gefaßte	w1_d321e11597
Nachrichten	w3_d321e11600
</head>
<list id="l4_d321e11603">
Herr	w1_d321e11607
Julius	w3_d321e11610
Asplanati.	w5_d321e11613
Beyde	w1_d321e11618
Herrn	w3_d321e11621
Dominicus	w5_d321e11624
und	w7_d321e11627
Johann	w9_d321e11630
Baptista	w1_d321e11635
Piuma.	w3_d321e11638
Es	w1_d321e11644
geben	w3_d321e11647
die	w5_d321e11650
frischeste	w7_d321e11653
Briefe	w9_d321e11656
</list>
<p id="p6_d321e11660">
Von	w1_d321e11664
Frankfort:	w3_d321e11667
Daß	w5_d321e11670
der	w7_d321e11673
Marschall	w9_d321e11676
Prinz	w1_d321e11681
von	w3_d321e11684
Soubise	w5_d321e11687
den	w7_d321e11690
22.	w9_d321e11693
Januarii	w11_d321e11696
ei	w13_d321e11700
nen	w1_d321e11705
überaus	w3_d321e11708
prächtigen	w5_d321e11711
Bal	w7_d321e11714
gegeben,	w9_d321e11717
da	w11_d321e11720
bey	w1_d321e11726
über	w3_d321e11729
500.	w5_d321e11732
Personen	w7_d321e11735
von	w9_d321e11738
Adel	w11_d321e11741
bey	w13_d321e11745
derley	w1_d321e11750
Geschlechts	w3_d321e11753
sich	w5_d321e11756
eingefunden,	w7_d321e11759
und	w9_d321e11762
alleine	w1_d321e11767
150.	w3_d321e11770
Damen	w5_d321e11773
an	w7_d321e11776
einer	w9_d321e11779
Tafel	w11_d321e11782
bey	w13_d321e11786
dem	w1_d321e11791
Soupe	w3_d321e11794
gesessen;	w5_d321e11797
und	w7_d321e11800
daß	w9_d321e11803
der	w11_d321e11806
Herzog	w13_d321e11810
von	w1_d321e11816
Broglie	w3_d321e11819
den	w5_d321e11822
24.	w7_d321e11825
Januarii	w9_d321e11828
um	w11_d321e11831
6.	w13_d321e11835
Uhr	w15_d321e11838
Abends	w1_d321e11843
alda	w3_d321e11846
aus	w5_d321e11849
Frankreich	w7_d321e11852
angelanget	w9_d321e11855
seye.	w1_d321e11860
</p>
<p id="p8_d321e11863">
Von	w1_d321e11867
Königsberg:	w3_d321e11870
Daß	w5_d321e11873
die	w7_d321e11876
Rußische	w9_d321e11879
Armee	w1_d321e11884
gewiedmete	w3_d321e11887
Verstärkung	w5_d321e11890
von	w7_d321e11893
30000.	w9_d321e11896
Mann	w1_d321e11901
bereits	w3_d321e11904
meisten=theils	w5_d321e11907
in	w7_d321e11910
Samogitien	w9_d321e11913
eingetroffen	w1_d321e11919
seyen,	w3_d321e11922
und	w5_d321e11925
ihren	w7_d321e11928
Marsch	w9_d321e11931
wei	w11_d321e11934
ters	w1_d321e11939
zu	w3_d321e11942
der	w5_d321e11945
Armee	w7_d321e11948
fortsezen,	w9_d321e11951
wie	w11_d321e11954
auch	w13_d321e11958
das	w15_d321e11961
zu	w1_d321e11966
Frischhaf	w3_d321e11969
verschiedene	w5_d321e11972
mit	w7_d321e11975
Lebens=mitteln	w9_d321e11978
beladenene	w1_d321e11983
Schiffe	w3_d321e11986
für	w5_d321e11989
die	w7_d321e11992
Russische	w9_d321e11995
Trupen	w11_d321e11998
angelanget	w1_d321e12004
seyen.	w3_d321e12007
</p>
<p id="p10_d321e12010">
Von	w1_d321e12014
Hamburg:	w3_d321e12017
Daß	w5_d321e12020
allda	w7_d321e12023
in	w9_d321e12026
vergan	w11_d321e12029
genen	w1_d321e12034
1758.	w3_d321e12037
Jahr	w5_d321e12040
2529.	w7_d321e12043
Personen	w9_d321e12046
ge	w11_d321e12049
boren,	w1_d321e12054
und	w3_d321e12057
dargegen	w5_d321e12060
4414.	w7_d321e12063
Personen	w9_d321e12066
ge	w11_d321e12069
storben	w1_d321e12075
seyen.	w3_d321e12078
</p>
<p id="p12_d321e12082">
Von	w1_d321e12086
Amsterdam:	w3_d321e12089
Daß	w5_d321e12092
sowol	w7_d321e12095
alda	w9_d321e12098
als	w1_d321e12103
auch	w3_d321e12106
zu	w5_d321e12109
Rotterdam	w7_d321e12112
die	w9_d321e12115
Werbung	w11_d321e12118
zu	w13_d321e12122
der	w1_d321e12127
Besatzung	w3_d321e12130
der	w5_d321e12133
auszurüsten	w7_d321e12136
angeordne	w9_d321e12139
ten	w1_d321e12145
25.	w3_d321e12148
Kriegs=schiffen	w5_d321e12151
sehr	w7_d321e12154
wol	w9_d321e12157
von	w11_d321e12160
stat	w13_d321e12164
ten	w1_d321e12169
gehe,	w3_d321e12172
und	w5_d321e12175
mehrere	w7_d321e12178
Leute	w9_d321e12181
sich	w11_d321e12184
anmel	w13_d321e12188
den	w1_d321e12193
als	w3_d321e12196
man	w5_d321e12199
nöhtig	w7_d321e12202
habe.	w9_d321e12205
</p>
<head id="h2_d321e12225">
Wien	w1_d321e12229
den	w3_d321e12232
10.	w5_d321e12235
Februarii	w7_d321e12238
1759.	w9_d321e12241
</head>
<p id="p4_d321e12244">
Seit	w1_d321e12248
vergangenen	w3_d321e12251
Post=tag	w5_d321e12254
seynd	w7_d321e12257
beyde	w9_d321e12260
Kaiserl.	w1_d321e12265
Majestäten	w3_d321e12268
mit	w5_d321e12271
denen	w7_d321e12274
wichtig	w9_d321e12277
</p>
<p id="p10_d321e12290">
sten	w1_d321e12294
Staats	w3_d321e12297
und	w5_d321e12300
Kriegs=angelegenheiten	w7_d321e12303
be	w9_d321e12306
schäftiget	w1_d321e12311
gewesen.	w3_d321e12314
</p>
<p id="p12_d321e12318">
Gestern	w1_d321e12322
als	w3_d321e12325
am	w5_d321e12328
Fest	w7_d321e12331
der	w9_d321e12334
H.	w11_d321e12337
Apolloniä	w13_d321e12341
haben	w1_d321e12346
allerhöchst=gedacht=beyde	w3_d321e12349
Kaiserl.	w5_d321e12352
Ma	w7_d321e12355
jestäten	w1_d321e12360
mit	w3_d321e12363
ihren	w5_d321e12366
Königl.	w7_d321e12369
Hoheiten	w9_d321e12372
denen	w11_d321e12375
Erz=herzogen	w1_d321e12381
Joseph,	w3_d321e12384
Carl,	w5_d321e12387
und	w7_d321e12390
Leopold	w9_d321e12393
bey	w11_d321e12396
denen	w1_d321e12401
WW.	w3_d321e12404
PP.	w5_d321e12407
Augustinern	w7_d321e12410
dem	w9_d321e12413
feyerli	w11_d321e12416
chen	w1_d321e12421
GOttes=dienst	w3_d321e12424
beygewohnet.	w5_d321e12427
</p>
<p id="p14_d321e12430">
Künftigen	w1_d321e12434
Mittwoch,	w3_d321e12437
als	w5_d321e12440
den	w7_d321e12443
14.	w9_d321e12446
dieses,	w11_d321e12449
wird	w1_d321e12454
die	w3_d321e12457
Ziehung	w5_d321e12460
der	w7_d321e12463
Kaiserl.	w9_d321e12466
Königl.	w11_d321e12469
privi	w13_d321e12473
legirten	w1_d321e12478
Lotterie	w3_d321e12481
in	w5_d321e12484
der	w7_d321e12487
K.	w9_d321e12490
K.	w11_d321e12493
Haupt=stadt	w13_d321e12497
Prag	w1_d321e12503
beschehen,	w3_d321e12506
und	w5_d321e12509
ist	w7_d321e12512
denen	w9_d321e12515
angestellten	w11_d321e12518
Collectanten	w1_d321e12523
wegen	w3_d321e12526
Einreichung	w5_d321e12529
ihre	w7_d321e12532
Schlüsse	w9_d321e12535
Tag	w1_d321e12540
und	w3_d321e12543
Stund	w5_d321e12546
durch	w7_d321e12549
ein	w9_d321e12552
Avertissement	w11_d321e12555
bekannt	w1_d321e12560
gemacht	w3_d321e12563
worden.	w5_d321e12566
</p>
<p id="p16_d321e12569">
NB.	w1_d321e12573
Der	w3_d321e12576
schon	w5_d321e12579
einmal	w7_d321e12582
gehaltene	w9_d321e12585
Baal	w11_d321e12588
auf	w1_d321e12593
der	w3_d321e12596
Mehl=gruben	w5_d321e12599
für	w7_d321e12602
beadlete	w9_d321e12605
Personen,	w11_d321e12608
wird	w1_d321e12613
Dienstag	w3_d321e12616
den	w5_d321e12619
13.	w7_d321e12622
Febtuarii	w9_d321e12625
wieder	w11_d321e12628
holet	w1_d321e12634
werden.	w3_d321e12637
</p>
<head id="h2_d321e12644">
Lista	w1_d321e12648
deren	w3_d321e12651
Verstorbenen	w5_d321e12654
zu	w7_d321e12657
Wien	w9_d321e12660
in	w1_d321e12665
und	w3_d321e12668
vor	w5_d321e12671
der	w7_d321e12674
Stadt.	w9_d321e12677
Den	w1_d321e12682
6.	w3_d321e12685
Februarii.	w5_d321e12688
Jn	w1_d321e12694
der	w3_d321e12697
Stadt.	w5_d321e12700
</head>
<list id="l4_d321e12703">
Dem	w1_d321e12707
Jacob	w3_d321e12710
Saller,	w5_d321e12713
Burgerl.	w7_d321e12716
Perücken=mach.	w9_d321e12719
s.	w11_d321e12722
K.	w13_d321e12726
Elisab.,	w1_d321e12731
im	w3_d321e12734
Satleris.	w5_d321e12737
H.	w7_d321e12740
in	w9_d321e12743
der	w11_d321e12746
Kärntnerst.,	w13_d321e12750
6.	w15_d321e12753
J.	w17_d321e12756
Mich.	w1_d321e12761
Chirovitz,	w3_d321e12764
gew.	w5_d321e12767
Griechis.	w7_d321e12770
Handels=m.	w9_d321e12773
,	w11_d321e12776
Steyrer=hof,	w1_d321e12782
alt	w3_d321e12785
45.	w5_d321e12788
J.	w7_d321e12791
Math.	w1_d321e12796
Woyrandl,	w3_d321e12799
Handels=dien.,	w5_d321e12802
im	w7_d321e12805
Bockisch.	w9_d321e12808
H.	w11_d321e12811
in	w1_d321e12816
der	w3_d321e12819
Kärntnerstr.,	w5_d321e12822
alt	w7_d321e12825
32.	w9_d321e12828
J.	w11_d321e12831
Elisab.	w1_d321e12836
Bernhardin,	w3_d321e12839
Wittwe,	w5_d321e12842
in	w7_d321e12845
ihrem	w9_d321e12848
H.	w11_d321e12851
auf	w13_d321e12855
der	w15_d321e12858
Schotten=bastey,	w1_d321e12864
alt	w3_d321e12867
43.	w5_d321e12870
</list>
<head id="h2_d321e12877">
Vor	w1_d321e12881
der	w3_d321e12884
Stadt.	w5_d321e12887
</head>
<list id="l4_d321e12890">
Leop.	w1_d321e12894
Schick,	w3_d321e12897
Burgerl.	w5_d321e12900
Lein=web.,	w7_d321e12903
im	w9_d321e12906
Mautnerisch.	w11_d321e12909
H.	w1_d321e12914
auf	w3_d321e12917
der	w5_d321e12920
Wind=mühl,	w7_d321e12923
alt	w9_d321e12926
44.	w11_d321e12929
J	w13_d321e12933
Mart.	w1_d321e12938
Weggiesser,	w3_d321e12941
Burgerl.	w5_d321e12944
Bad.,	w7_d321e12947
beym	w9_d321e12950
goldenen	w11_d321e12953
Brunn	w1_d321e12959
zu	w3_d321e12962
Mätzleinstorf,	w5_d321e12965
alt	w7_d321e12968
48.	w9_d321e12971
J.	w11_d321e12974
Dem	w1_d321e12979
Jos.	w3_d321e12982
Bäck,	w5_d321e12985
Burgerl.	w7_d321e12988
Wirt.,	w9_d321e12991
s.	w11_d321e12994
W.	w13_d321e12998
Cathar.,	w15_d321e13001
in	w17_d321e13004
s.	w1_d321e13009
H.	w3_d321e13012
in	w5_d321e13015
der	w7_d321e13018
Leopoldst.,	w9_d321e13021
alt	w11_d321e13024
35.	w13_d321e13028
J.	w15_d321e13031
Dem	w1_d321e13036
Franz	w3_d321e13039
Seiter,	w5_d321e13042
Burgerl.	w7_d321e13045
Schuh=mach.,	w9_d321e13048
s.	w1_d321e13054
W.	w3_d321e13057
Reg.,	w1_d321e13062
beyn	w3_d321e13065
3.	w5_d321e13068
Bind.	w7_d321e13071
auf	w9_d321e13074
der	w11_d321e13077
Landstr,	w13_d321e13081
38.	w15_d321e13084
J	w17_d321e13087
Dem	w1_d321e13092
Jacob	w3_d321e13095
Aberl,	w5_d321e13098
Burgerl	w7_d321e13101
Lein=wat=drück.,	w9_d321e13104
s.	w11_d321e13107
K.	w13_d321e13111
Jacob,	w1_d321e13116
im	w3_d321e13119
Kutscheris.	w5_d321e13122
H.	w7_d321e13125
zu	w9_d321e13128
Margar.,	w11_d321e13131
alt	w13_d321e13135
7.	w15_d321e13138
J.	w17_d321e13141
Anna	w1_d321e13147
Voglin,	w3_d321e13150
led.	w5_d321e13153
M.,	w7_d321e13156
im	w9_d321e13159
Endlis.	w11_d321e13162
H.	w13_d321e13166
zu	w15_d321e13169
Erdberg,	w17_d321e13172
alt	w1_d321e13177
36.	w3_d321e13180
J.	w5_d321e13183
Ursula	w1_d321e13188
Mayrin,	w3_d321e13191
Wittwe,	w5_d321e13194
beym	w7_d321e13197
gold.	w9_d321e13200
Schif	w11_d321e13203
in	w13_d321e13207
der	w15_d321e13210
Leop.,	w1_d321e13215
alt	w3_d321e13218
80.	w5_d321e13221
J.	w7_d321e13224
</list>
<head id="h2_d321e13231">
Summa	w1_d321e13235
11.	w3_d321e13238
Person.	w5_d321e13241
darunter	w7_d321e13244
2.	w9_d321e13247
Kind.	w11_d321e13250
</head>
<head id="h2_d321e13256">
Den	w1_d321e13260
7.	w3_d321e13263
Februarii.	w5_d321e13266
Jn	w1_d321e13271
der	w3_d321e13274
Stadt.	w5_d321e13277
</head>
<list id="l4_d321e13280">
Die	w1_d321e13284
Wol=edel=gestr.	w3_d321e13287
Fr.	w5_d321e13290
Maria	w7_d321e13293
Anna	w9_d321e13296
Turzanskin,	w11_d321e13299
Wittwe,	w1_d321e13304
beym	w3_d321e13307
Englis.	w5_d321e13310
Gruß	w7_d321e13313
am	w9_d321e13316
Juden=pl.,	w11_d321e13319
59.	w13_d321e13323
J.	w15_d321e13326
Fr.	w1_d321e13331
Anna	w3_d321e13334
Wasenheimin,	w5_d321e13337
Wittwe,	w7_d321e13340
im	w9_d321e13343
Forstneris.	w11_d321e13346
H.	w13_d321e13350
in	w1_d321e13356
der	w3_d321e13359
Nagler=gas.,	w5_d321e13362
alt	w7_d321e13365
69.	w9_d321e13368
J.	w11_d321e13371
Magdal.	w1_d321e13376
Lomüllerin,	w3_d321e13379
ledig,	w5_d321e13382
bey	w7_d321e13385
der	w9_d321e13388
Flucht	w11_d321e13391
in	w13_d321e13395
Egypt.	w15_d321e13398
am	w1_d321e13403
Juden=platz,	w3_d321e13406
alt	w5_d321e13409
55	w7_d321e13412
J.	w9_d321e13415
</list>
<head id="h2_d321e13422">
Vor	w1_d321e13426
der	w3_d321e13429
Stadt.	w5_d321e13432
</head>
<list id="l4_d321e13435">
Theres.	w1_d321e13439
Laroschin,	w3_d321e13442
Wittwe,	w5_d321e13445
bey	w7_d321e13448
der	w9_d321e13451
gold.	w11_d321e13454
Glock.	w13_d321e13458
in	w15_d321e13461
der	w1_d321e13466
Leopoldst.,	w3_d321e13469
alt	w5_d321e13472
52.	w7_d321e13475
J.	w9_d321e13478
Anna	w1_d321e13483
Hellmerin,	w3_d321e13486
Burgerl.	w5_d321e13489
Wittwe,	w7_d321e13492
bey	w9_d321e13495
St.	w11_d321e13498
Jae.	w13_d321e13502
bey	w1_d321e13508
Maria=hülf,	w3_d321e13511
alt	w5_d321e13514
70.	w7_d321e13517
J.	w9_d321e13520
Magdal.	w1_d321e13525
Knappin,	w3_d321e13528
Burgerl.	w5_d321e13531
Wittwe,	w7_d321e13534
beym	w9_d321e13537
lustig.	w11_d321e13540
Bauren	w1_d321e13545
in	w3_d321e13548
der	w5_d321e13551
Leopoldst.,	w7_d321e13554
alt	w9_d321e13557
64.	w11_d321e13560
J.	w13_d321e13564
Der	w1_d321e13569
Maria	w3_d321e13572
Kottingerin,	w5_d321e13575
Burgerl.	w7_d321e13578
Wittwe,	w9_d321e13581
ihr.	w11_d321e13584
K.	w13_d321e13588
Joh.,	w1_d321e13594
bey	w3_d321e13597
der	w5_d321e13600
gold.	w7_d321e13603
Artitschock.	w9_d321e13606
in	w11_d321e13609
der	w13_d321e13613
Leopoldst.,	w15_d321e13616
alt	w1_d321e13621
2.	w3_d321e13624
J.	w5_d321e13627
Dem	w1_d321e13632
Leop.	w3_d321e13635
Langhofer,	w5_d321e13638
K.	w7_d321e13641
K.	w9_d321e13644
Kutsch,	w11_d321e13647
s.	w13_d321e13651
W.	w15_d321e13654
Elisab.	w17_d321e13657
im	w1_d321e13662
Kais.	w3_d321e13665
Post=stall,	w5_d321e13668
alt	w7_d321e13671
66.	w9_d321e13674
J.	w11_d321e13677
</list>
<head id="h2_d321e13684">
Summa	w1_d321e13688
8.	w3_d321e13691
Person.	w1_d321e13696
/	w3_d321e13699
darunter	w5_d321e13702
1.	w7_d321e13705
Kind.	w9_d321e13708
Den	w1_d321e13713
8.	w3_d321e13716
Februarii.	w5_d321e13719
Jn	w1_d321e13725
der	w3_d321e13728
Stadt.	w5_d321e13731
</head>
<list id="l4_d321e13734">
Dem	w1_d321e13738
Hoch	w3_d321e13741
und	w5_d321e13744
Wol=geb.	w7_d321e13747
Hrn.	w9_d321e13750
Hrn.	w11_d321e13753
Wenzel,	w13_d321e13757
des	w15_d321e13760
H.	w1_d321e13765
R.	w3_d321e13768
R.	w5_d321e13771
Erb=schatz=meist.	w7_d321e13774
Grafen	w9_d321e13777
und	w11_d321e13780
Hrn.	w13_d321e13784
von	w15_d321e13787
Sinzendorf,	w1_d321e13792
Frey=herrn	w3_d321e13795
auf	w5_d321e13798
und	w7_d321e13801
zu	w9_d321e13804
Ernstbrunn,	w11_d321e13807
s.	w1_d321e13813
Frle	w3_d321e13816
T.	w5_d321e13819
Philippina,	w7_d321e13822
im	w9_d321e13825
Krapfis.	w11_d321e13828
H.	w13_d321e13832
auf	w15_d321e13835
der	w17_d321e13838
Sai	w19_d321e13841
lerst.,	w1_d321e13846
alt	w3_d321e13849
5.	w5_d321e13852
J.	w7_d321e13855
</list>
<head id="h2_d321e13863">
Vor	w1_d321e13867
der	w3_d321e13870
Stadt.	w5_d321e13873
</head>
<list id="l4_d321e13876">
Daniel	w1_d321e13880
Sachs,	w3_d321e13883
Kais.	w5_d321e13886
Büchsen=span.	w7_d321e13889
jung,	w9_d321e13892
in	w11_d321e13895
dem	w13_d321e13899
Bild=haueris.	w1_d321e13904
H.	w3_d321e13907
in	w5_d321e13910
der	w7_d321e13913
Josephst.,	w9_d321e13916
alt	w11_d321e13919
61.J	w13_d321e13923
Georg	w1_d321e13928
Thoma,	w3_d321e13931
Fleisch=hack.=kn.,	w5_d321e13934
beym	w7_d321e13937
bl	w9_d321e13940
Gat.	w11_d321e13943
in	w13_d321e13947
der	w1_d321e13953
Josephst.,	w3_d321e13956
alt	w5_d321e13959
54	w7_d321e13962
J.	w9_d321e13965
Dem	w1_d321e13970
Lorenz	w3_d321e13973
Zibisch,	w5_d321e13976
Vor=reit.,	w7_d321e13979
s.	w9_d321e13982
W.	w11_d321e13985
Antonia,	w13_d321e13989
bey	w15_d321e13992
dem	w1_d321e13997
rot.	w3_d321e14000
