<doc id="edoc_wd_1726-09-14" attrs="word" year="1726" month="09" day="14" corpus="1">
<head id="hl1">
Gibraltar	w54
etwann	w3615
hier	w3616
und	w3617
dar	w3618
in	w3619
Rußland	w3620
sich	w3621
aufhaltende	w3622
Engelländische	w3623
Kauf	w3624
Leute	w3625
ihrer	w3626
Protection	w3627
sich	w3628
zu	w3629
erfreuen	w3630
haben	w3631
sol=ten	w3632
<g/>
=
<g/>
.
</p>
<p id="p50">
Laut	w3635
obgedachten	w3636
Brieffen	w3637
von	w3638
Peters=burg	w3639
<g/>
=
<g/>
/
wäre	w3642
der	w3643
Hertzogliche	w3644
Hollsteinische	w3645
geheime	w3646
Rahts	w3647
<g/>
=
Præsident Praesident	w3649
<g/>
,
Herr	w3651
von	w3652
Basse Bassewitz	w3653
<g/>
=
</p>
<p id="p51">
witz	w3659
<g/>
/
bereits	w3661
nach	w3662
Schweden	w3663
abgereiset	w3664
<g/>
.
Sonsten	w3666
hätte	w3667
man	w3668
zu	w3669
besagtem	w3670
Petersburg	w3671
die	w3672
Nachricht	w3673
von	w3674
Reval	w3675
erhalten	w3676
<g/>
/
daß	w3678
die	w3679
Russische	w3680
Flotte	w3681
vor	w3682
selbigen	w3683
Hafen	w3684
<g/>
/
und	w3686
zwar	w3687
gleich	w3688
der	w3689
Combinirten	w3690
über	w3691
in	w3692
Ord=nung	w3693
<g/>
=
läge	w3695
<g/>
;
da	w3697
hingegen	w3698
die	w3699
Galeren	w3700
beor=dert	w3701
<g/>
=
seyn	w3703
solten	w3704
sich	w3705
in	w3706
die	w3707
Finnischen	w3708
und	w3709
Schwedischen	w3710
Scheren	w3711
zu	w3712
legen	w3713
<g/>
/
ohne	w3715
ent=deken	w3716
<g/>
=
zu	w3718
können	w3719
<g/>
/
zu	w3721
was	w3722
für	w3723
einer	w3724
Absicht	w3725
selbige	w3726
gebrauchet	w3727
werden	w3728
solten	w3729
<g/>
/
weil	w3731
sehr	w3732
viel	w3733
Volk	w3734
darauf	w3735
eingeschiffet	w3736
wäre	w3737
<g/>
.
Diese	w3739
Zeitung	w3740
brauchet	w3741
jedoch	w3742
annoch	w3743
Bestättigung	w3744
<g/>
.
Der	w3746
Engelländis	w3747
<g/>
.
Admiral	w3749
Wager	w3750
liesse	w3751
gegen=wärtig	w3752
<g/>
=
unterschiedliche	w3754
Schiffe	w3755
von	w3756
seiner	w3757
Flotte	w3758
<g/>
/
längst	w3760
denen	w3761
Küsten	w3762
von	w3763
Liefland	w3764
bis	w3765
nach	w3766
Riga	w3767
kreutzen	w3768
der	w3769
Meinung	w3770
<g/>
/
ei=ne	w3772
<g/>
=
etwann	w3774
Russischer	w3775
Seits	w3776
vorzunehmende	w3777
Ubersetzung	w3778
zu	w3779
verhindern	w3780
<g/>
.
</p>
<p id="p52">
Zufolge	w3782
jüngster	w3783
Briefen	w3784
aus	w3785
Stokholm	w3786
<g/>
/
so	w3788
fiele	w3789
insonderheit	w3790
von	w3791
dort	w3792
aus	w3793
zu	w3794
berich=ten	w3795
<g/>
=
vor	w3797
<g/>
/
wie	w3799
nunmehro	w3800
<g/>
/
und	w3802
nach	w3803
dem	w3804
be=reits	w3805
<g/>
=
ausgeschriebenen	w3807
Reichs	w3808
<g/>
=
Tag	w3810
die	w3811
re-spectivè	w3812
<g/>
-
Herren	w3814
Stände	w3815
des	w3816
Königreichs	w3817
sich	w3818
an	w3819
ihren	w3820
Orten	w3821
fertig	w3822
zu	w3823
machen	w3824
begon=neten	w3825
<g/>
=
auf	w3827
dem	w3828
angesetzten	w3829
Termin	w3830
aldort	w3831
erscheinen	w3832
zu	w3833
können	w3834
<g/>
/
welche	w3836
Reichs	w3837
<g/>
=
Hand=lungen	w3839
<g/>
=
dann	w3841
für	w3842
diesesmal	w3843
nicht	w3844
über	w3845
einen	w3846
Monat	w3847
lang	w3848
dauren	w3849
dörften	w3850
<g/>
;
immittelst	w3852
so	w3853
wären	w3854
die	w3855
annoch	w3856
anwesende	w3857
fremde	w3858
Gesand=te	w3859
<g/>
=
<g/>
/
und	w3862
zwar	w3863
ein	w3864
jeder	w3865
in	w3866
das	w3867
besonder	w3868
eif=rigst	w3869
<g/>
=
beschäftiget	w3871
dem	w3872
Senat	w3873
das	w3874
Interesse	w3875
ihrer	w3876
hohen	w3877
Principalen	w3878
bey	w3879
dieser	w3880
Gelegen=heit	w3881
<g/>
=
bester	w3883
massen	w3884
zu	w3885
empfehlen	w3886
<g/>
/
und	w3888
hätte	w3889
man	w3890
vernommen	w3891
<g/>
/
wie	w3893
so	w3894
wol	w3895
der	w3896
Russische	w3897
<g/>
/
als	w3899
der	w3900
Hertzoglich	w3901
<g/>
=
Holsteinische	w3903
Minister	w3904
befehlet	w3905
seyn	w3906
solten	w3907
<g/>
/
ihr	w3909
Belangen	w3910
schrift=lich	w3911
<g/>
=
einzureichen	w3913
<g/>
.
Da	w3915
nun	w3916
gebräuchlich	w3917
<g/>
/
daß	w3919
zu	w3920
Reichs	w3921
<g/>
=
Tages	w3923
Zeiten	w3924
die	w3925
Besatzung	w3926
in	w3927
der	w3928
Königl	w3929
<g/>
.
Residentz	w3931
<g/>
=
Stadt	w3933
jederzeit	w3934
verstärket	w3935
worden	w3936
allen	w3937
Unordnungen	w3938
bey	w3939
ei=ner	w3940
<g/>
=
so	w3942
grossen	w3943
Menge	w3944
Volks	w3945
vorzubeugen	w3946
<g/>
/
so	w3948
ware	w3949
dannoch	w3950
der	w3951
Königl	w3952
<g/>
.
Befehl	w3954
an	w3955
ein	w3956
Regiment	w3957
zu	w3958
Fuß	w3959
<g/>
/
und	w3961
2	w3962
<g/>
.
Squadronen	w3964
zu	w3965
Pferd	w3966
ergangen	w3967
<g/>
/
herbeyzuruken	w3969
<g/>
:
auch	w3971
wä=re	w3972
<g/>
=
bereits	w3974
ein	w3975
Königl	w3976
Befehl	w3977
unter	w3978
der	w3979
Pres=se	w3980
<g/>
=
<g/>
/
nach	w3983
welcher	w3984
wehrender	w3985
solcher	w3986
Zeit	w3987
die	w3988
Lebens	w3989
<g/>
=
Mittel	w3991
verkauffet	w3992
werden	w3993
solten	w3994
<g/>
;
dieselbe	w3996
aber	w3997
in	w3998
Genüge	w3999
zu	w4000
haben	w4001
<g/>
/
so	w4003
solte	w4004
denen	w4005
jenigen	w4006
Personen	w4007
<g/>
/
welche	w4009
die	w4010
Lebens	w4011
<g/>
=
Mittel	w4013
gewöhnlich	w4014
herbey	w4015
brächten	w4016
<g/>
/
die	w4018
Helf=te	w4019
<g/>
=
von	w4021
der	w4022
zu	w4023
entrichtenden	w4024
ordinari	w4025
Maut	w4026
erlassen	w4027
werden	w4028
<g/>
.
</p>
<p id="p53">
Mit	w4030
diesen	w4031
Briefen	w4032
wird	w4033
das	w4034
bishero	w4035
von	w4036
dem	w4037
Schwedischen	w4038
Beytritt	w4039
zum	w4040
Hannove=rischen	w4041
<g/>
=
Tractat	w4043
gemeldete	w4044
<g/>
/
nicht	w4046
bestättiget	w4047
<g/>
;
wol	w4049
aber	w4050
berichtet	w4051
<g/>
/
daß	w4053
der	w4054
Groß	w4055
<g/>
=
Britan=nische	w4057
<g/>
=
Minister	w4059
Herr	w4060
Pointz	w4061
noch	w4062
neulich	w4063
bey	w4064
Jhrer	w4065
Königl	w4066
<g/>
.
Majestät	w4068
von	w4069
Schweden	w4070
an=gesuchet	w4071
<g/>
=
hätte	w4073
<g/>
/
sich	w4075
desfals	w4076
zu	w4077
erklären	w4078
<g/>
.
</p>
<p id="p54">
Mit	w4080
Briefen	w4081
aus	w4082
Lübek	w4083
wird	w4084
unter	w4085
ande=ren	w4086
<g/>
=
berichtet	w4088
<g/>
/
wie	w4090
den	w4091
28	w4092
<g/>
.
Augusti	w4094
die	w4095
eini=ge	w4096
<g/>
=
Zeit	w4098
her	w4099
auf	w4100
der	w4101
dortigen	w4102
Rhede	w4103
gelegen=ne	w4104
<g/>
=
Russische	w4106
kleine	w4107
und	w4108
18	w4109
<g/>
.
Stuk	w4111
führende	w4112
Fregatte	w4113
wieder	w4114
unter	w4115
Segel	w4116
gegangen	w4117
<g/>
/
auf=habende	w4119
<g/>
=
nicht	w4121
allein	w4122
verschiedene	w4123
dorthin	w4124
überbringende	w4125
Waaren	w4126
<g/>
/
sondern	w4128
auch	w4129
über	w4130
30	w4131
<g/>
.
Passagiers	w4133
<g/>
.
</p>
<p id="p55">
Mit	w4135
Briefen	w4136
aus	w4137
Cassel	w4138
hat	w4139
man	w4140
<g/>
/
wie	w4142
der	w4143
General	w4144
la	w4145
<g/>
-
Roche	w4147
<g/>
/
welchem	w4149
von	w4150
dem	w4151
Herrn	w4152
Land	w4153
<g/>
=
Grafen	w4155
aufgetragen	w4156
gewesen	w4157
über	w4158
al=le	w4159
<g/>
=
und	w4161
jede	w4162
hier	w4163
und	w4164
dar	w4165
bequartirte	w4166
Land	w4167
<g/>
=
Gräfl	w4169
<g/>
.
Truppen	w4171
die	w4172
General	w4173
<g/>
=
Musterung	w4175
zu	w4176
halten	w4177
<g/>
/
vor	w4179
einigen	w4180
Tagen	w4181
wieder	w4182
zuruk	w4183
ge=langet	w4184
<g/>
=
<g/>
/
und	w4187
hätte	w4188
desselben	w4189
an	w4190
Se	w4191
<g/>
.
Durchl	w4193
<g/>
.
abgestatteten	w4195
Bericht	w4196
darinnen	w4197
bestanden	w4198
<g/>
/
wie	w4200
er	w4201
alle	w4202
Regimenter	w4203
völlig	w4204
und	w4205
in	w4206
dem	w4207
besten	w4208
Stand	w4209
gefunden	w4210
gehabt	w4211
<g/>
/
die	w4213
gantze	w4214
Zahl	w4215
aber	w4216
dieser	w4217
Truppen	w4218
<g/>
/
worunter	w4220
die	w4221
2	w4222
<g/>
.
Regimenter	w4224
Land	w4225
<g/>
=
Militz	w4227
nicht	w4228
zu	w4229
rechnen	w4230
<g/>
/
erlieffe	w4232
sich	w4233
auf	w4234
14400	w4235
<g/>
.
Mann	w4237
</p>
<p id="p56">
Von	w4238
Detmolth	w4239
in	w4240
der	w4241
Grafschaft	w4242
Lippe	w4243
hat	w4244
man	w4245
<g/>
/
daß	w4247
der	w4248
Gräfl	w4249
<g/>
.
Ober	w4251
<g/>
=
Hof	w4253
<g/>
=
Meister	w4255
<g/>
/
Herr	w4257
von	w4258
Heiderstedt	w4259
<g/>
/
im	w4261
117	w4262
<g/>
.
Jahr	w4264
seines	w4265
Alters	w4266
<g/>
/
nach	w4268
einer	w4269
kurtzen	w4270
Krankheit	w4271
<g/>
/
mit	w4273
Tod	w4274
abgegangen	w4275
seye	w4276
<g/>
.
</p>
<head id="hl13">
Hanau	w4278
3	w4279
<g/>
.
Septemb	w4281
<g/>
.
</head>
<p id="p57">
Den	w4283
30	w4284
<g/>
.
abgewichenen	w4286
Monats	w4287
frühe	w4288
um	w4289
2	w4290
<g/>
.
Uhr	w4292
entstunde	w4293
in	w4294
dem	w4295
3	w4296
<g/>
.
Stund	w4298
von	w4299
Frank=furt	w4300
<g/>
=
gelegenen	w4302
Chur	w4303
<g/>
=
Mayntzischen	w4305
Städlein	w4306
Cronberg	w4307
eine	w4308
erschröckliche	w4309
Feuers	w4310
<g/>
=
Brunst	w4312
<g/>
/
wordurch	w4314
über	w4315
120	w4316
<g/>
.
Gebäude	w4318
im	w4319
Rauch	w4320
aufgegangen	w4321
<g/>
.
</p>
<head id="hl14">
Dreßden	w4323
7	w4324
<g/>
.
September	w4326
<g/>
.
</head>
<p id="p58">
Am	w4328
1	w4329
<g/>
.
dieses	w4331
Monats	w4332
wurde	w4333
in	w4334
denen	w4335
hiesi=gen	w4336
<g/>
=
Kirchen	w4338
wegen	w4339
glüklicher	w4340
Zuruklangung	w4341
Jhrer	w4342
Hoheit	w4343
des	w4344
Königl	w4345
<g/>
.
Chur	w4347
<g/>
=
Printzens	w4349
in	w4350
diesen	w4351
Landen	w4352
eine	w4353
Danksagung	w4354
gethan	w4355
<g/>
.
</p>
<p id="p59">
Am	w4357
2ten	w4358
dieses	w4359
ist	w4360
die	w4361
noch	w4362
übrige	w4363
Reu=terey	w4364
<g/>
=
<g/>
/
ausser	w4367
eine	w4368
Compagnie	w4369
von	w4370
dem	w4371
Chur	w4372
<g/>
=
Printzischen	w4374
Cuirassier	w4375
<g/>
=
Regiment	w4377
<g/>
/
welche	w4379
hier	w4380
stehen	w4381
bleiben	w4382
solle	w4383
<g/>
/
in	w4385
ihre	w4386
vorige	w4387
Quartier	w4388
marschieret	w4389
<g/>
.
</p>
<p id="p60">
Am	w4391
3	w4392
<g/>
.
Dito	w4394
nach	w4395
<g/>
=
Mittags	w4397
gegen	w4398
5	w4399
<g/>
.
Uhr	w4401
</p>
<p id="p61">
ist	w4403
die	w4404
junge	w4405
Durchl	w4406
<g/>
.
Herschaft	w4408
aus	w4409
Pillnitz	w4410
wieder	w4411
in	w4412
diese	w4413
Stadt	w4414
herein	w4415
gekommen	w4416
<g/>
/
und	w4418
gegen	w4419
7	w4420
<g/>
.
Uhr	w4422
darauf	w4423
seynd	w4424
beyde	w4425
Kö=nigl	w4426
<g/>
=
<g/>
.
Hoheiten	w4429
<g/>
/
nachdem	w4431
sie	w4432
sich	w4433
auf	w4434
den	w4435
Wege	w4436
herein	w4437
<g/>
/
und	w4439
bey	w4440
dem	w4441
grossen	w4442
Garten	w4443
mit	w4444
Wild	w4445
<g/>
=
und	w4447
Hasen	w4448
<g/>
=
Schiessen	w4450
einige	w4451
Stun=den	w4452
<g/>
=
lang	w4454
belustiget	w4455
hatten	w4456
<g/>
/
auf	w4458
das	w4459
Schloß	w4460
anhero	w4461
gefolget	w4462
<g/>
.
</p>
<p id="p62">
Am	w4464
4	w4465
<g/>
.
Dito	w4467
nach	w4468
gehaltener	w4469
Mittags	w4470
<g/>
=
Ta=fel	w4472
<g/>
=
verfügten	w4474
sich	w4475
Jhre	w4476
Hoheit	w4477
der	w4478
Printz	w4479
mit	w4480
dero	w4481
Durchl	w4482
<g/>
.
Frau	w4484
Gemahlin	w4485
in	w4486
den	w4487
grossen	w4488
Garten	w4489
<g/>
/
alwo	w4491
sie	w4492
sich	w4493
bis	w4494
gegen	w4495
A=bend	w4496
<g/>
=
mit	w4498
Fasanen	w4499
<g/>
=
Schiessen	w4501
erlustigten	w4502
<g/>
.
Man	w4504
siehet	w4505
hier	w4506
ein	w4507
Königl	w4508
<g/>
.
Patent	w4510
angeschla=gen	w4511
<g/>
=
<g/>
/
vermöge	w4514
dessen	w4515
denen	w4516
Chur	w4517
<g/>
=
Sächsis	w4519
<g/>
.
Aus=reisser	w4521
<g/>
=
von	w4523
der	w4524
Militz	w4525
<g/>
/
so	w4527
wol	w4528
Fuß	w4529
<g/>
=
Volk	w4531
<g/>
/
als	w4533
Reuterey	w4534
<g/>
/
allergnädigst	w4536
Pardon	w4537
verspro=chen	w4538
<g/>
=
wird	w4540
<g/>
/
dafern	w4542
sie	w4543
sich	w4544
noch	w4545
vor	w4546
Ende	w4547
die=ses	w4548
<g/>
=
Jahres	w4550
bey	w4551
ihren	w4552
Regimentern	w4553
wieder	w4554
einfinden	w4555
<g/>
.
Mit	w4557
nächsten	w4558
soll	w4559
eine	w4560
grosse	w4561
Jagd	w4562
in	w4563
dem	w4564
Ober	w4565
<g/>
=
Gebürg	w4567
an	w4568
der	w4569
Böhmischen	w4570
Gräntze	w4571
gehalten	w4572
werden	w4573
<g/>
/
indem	w4575
das	w4576
über=hand	w4577
<g/>
=
nehmende	w4579
schwartz	w4580
und	w4581
rot	w4582
Wildprät	w4583
dem	w4584
Landmanne	w4585
ziemlich	w4586
Schaden	w4587
thut	w4588
<g/>
.
</p>
<head id="hl15">
Wien	w4590
14	w4591
<g/>
.
September	w4593
<g/>
.
1726	w4595
<g/>
.
</head>
<p id="p63">
MJttwoch	w4597
<g/>
/
den	w4599
11	w4600
<g/>
.
September	w4602
<g/>
.
Heute	w4604
beliebte	w4605
es	w4606
abermalen	w4607
Jhrer	w4608
Kaiserl	w4609
<g/>
.
Königl	w4611
<g/>
.
Catholischen	w4613
Majestät	w4614
<g/>
/
unserem	w4616
Allergnädigsten	w4617
Herrn	w4618
in	w4619
verschiedenen	w4620
Auen	w4621
in	w4622
der	w4623
Gegend	w4624
Asparn	w4625
<g/>
/
sich	w4627
mit	w4628
Hirschen	w4629
<g/>
=
Pürsten	w4631
zu	w4632
belustigen	w4633
<g/>
;
und	w4635
kehrete	w4636
Seine	w4637
Majestät	w4638
Abends	w4639
in	w4640
die	w4641
Favorita	w4642
<g/>
.
</p>
<p id="p64">
Eodem	w4644
vor	w4645
<g/>
=
Mittag	w4647
waren	w4648
dahier	w4649
in	w4650
der	w4651
St	w4652
<g/>
.
Stephans	w4654
<g/>
=
Metropolitan	w4656
-Kirchen	w4657
unter	w4658
<g/>
(
Tit	w4660
<g/>
.
<g/>
)
Herrn	w4663
Joseph	w4664
Heinrich	w4665
Jacob	w4666
von	w4667
Breitenbücher	w4668
<g/>
/
Phil	w4670
<g/>
.
<g/>
&
SS	w4673
<g/>
.
Theol	w4675
<g/>
.
Doct	w4677
<g/>
.
Kaiserl	w4679
<g/>
.
Raht	w4681
<g/>
/
Dechant	w4683
zu	w4684
Kürnberg	w4685
<g/>
/
des	w4687
hohen	w4688
Ertz	w4689
<g/>
=
Stifts	w4691
zu	w4692
St	w4693
<g/>
.
Stephan	w4695
Dom	w4696
<g/>
=
Probsten	w4698
<g/>
/
Jhrer	w4700
Hochfürstl	w4701
<g/>
.
Gnaden	w4703
des	w4704
Herrn	w4705
Erz	w4706
<g/>
=
Bischoffen	w4708
zu	w4709
Wien	w4710
Vicario	w4711
Ge-nerali	w4712
<g/>
-
<g/>
&
Officiali	w4715
<g/>
,
und	w4717
der	w4718
Welt	w4719
<g/>
=
berühmten	w4721
alhiesigen	w4722
Universität	w4723
Cantzlern	w4724
<g/>
/
durch	w4726
<g/>
(
Tit	w4728
<g/>
.
<g/>
)
Herrn	w4731
Wilhelm	w4732
Anton	w4733
Nigl	w4734
<g/>
/
U	w4736
<g/>
.
J	w4738
<g/>
.
Doct	w4740
<g/>
.
<g/>
,
Kaiserl	w4743
<g/>
.
Raht	w4745
und	w4746
Regenten	w4747
des	w4748
Regiments	w4749
derer	w4750
N	w4751
<g/>
.
Oe	w4753
<g/>
.
Landen	w4755
<g/>
/
ꝛc	w4757
<g/>
.
als	w4759
Universitatis	w4760
Pro	w4761
<g/>
.
Cancellarium	w4763
<g/>
,
5	w4765
<g/>
.
Licentiati	w4767
Juris	w4768
<g/>
,
nemlich	w4770
die	w4771
Herren	w4772
</p>
<p id="p65">
Matthæus Matthaeus	w4773
Müller	w4774
<g/>
/
von	w4776
Burgau	w4777
in	w4778
Schwaben	w4779
<g/>
.
</p>
<p id="p66">
Andreas	w4781
Linck	w4782
<g/>
/
von	w4784
Oppau	w4785
in	w4786
Schlesien	w4787
<g/>
.
</p>
<p id="p67">
Franciscus	w4789
Andreas	w4790
Höffer	w4791
<g/>
/
von	w4793
Wien	w4794
in	w4795
Oesterreich	w4796
<g/>
.
</p>
<p id="p68">
Gregorius	w4798
Schloißnig	w4799
<g/>
/
von	w4801
Oberndorf	w4802
in	w4803
Kärnten	w4804
<g/>
.
</p>
<p id="p69">
Und	w4806
Josephus	w4807
Ignatius	w4808
Honoratus	w4809
Reiser	w4810
<g/>
/
von	w4812
Wien	w4813
in	w4814
Oesterreich	w4815
<g/>
.
</p>
<p id="p70">
Gewöhnlicher	w4817
massen	w4818
erkläret	w4819
<g/>
/
und	w4821
anbey	w4822
eine	w4823
gelehrte	w4824
zierliche	w4825
Rede	w4826
gehalten	w4827
wor=den	w4828
<g/>
=
<g/>
:
worauf	w4831
dieselbe	w4832
Herr	w4833
Joachimus	w4834
Ho-norius	w4835
<g/>
-
Hubertus	w4837
Mannagetta	w4838
v	w4839
Lerchenau	w4840
<g/>
/
U	w4842
<g/>
.
J	w4844
<g/>
.
D	w4846
<g/>
.
<g/>
,
im	w4849
Kaiserl	w4850
hohen	w4851
Hof	w4852
Marschali=schen	w4853
<g/>
=
Gericht	w4855
Assessor	w4856
<g/>
,
Ertz	w4858
<g/>
=
Bischöfl	w4860
Wiene=rischer	w4861
<g/>
=
Consistorial	w4863
-Raht	w4864
<g/>
/
ꝛc	w4866
<g/>
.
als	w4868
dermalig=ger	w4869
<g/>
=
Juridischen	w4871
Facultät	w4872
Decanus	w4873
<g/>
,
zu	w4875
Do-ctores	w4876
<g/>
-
Juris	w4878
mit	w4879
allem	w4880
Academischen	w4881
Ehren	w4882
<g/>
=
Gepräng	w4884
unter	w4885
Trompeten	w4886
<g/>
=
und	w4888
Pauken	w4889
<g/>
=
Schall	w4891
bey	w4892
einer	w4893
ungemeinen	w4894
Menge	w4895
Volks	w4896
<g/>
/
so	w4898
wol	w4899
hoh	w4900
<g/>
=
als	w4902
niedern	w4903
Stands	w4904
<g/>
=
Personen	w4906
<g/>
/
promoviret	w4908
<g/>
.
</p>
<p id="p71">
Donnerstag	w4910
<g/>
/
den	w4912
12	w4913
<g/>
.
Dito	w4915
<g/>
/
vor	w4917
<g/>
=
Mittag	w4919
haben	w4920
sammentliche	w4921
Allerhöchste	w4922
Herrschaf=ten	w4923
<g/>
=
der	w4925
Copulation	w4926
des	w4927
<g/>
(
Tit	w4929
<g/>
.
<g/>
)
Herrn	w4932
Frantz	w4933
Michael	w4934
<g/>
/
Grafen	w4936
von	w4937
Martinitz	w4938
<g/>
/
mit	w4940
<g/>
(
Tit	w4942
<g/>
.
<g/>
)
Fräule	w4945
Maria	w4946
<g/>
/
Gräfin	w4948
von	w4949
Nostiz	w4950
<g/>
/
Jhrer	w4952
Majestät	w4953
der	w4954
Regierenden	w4955
Kaiserin	w4956
Cammer	w4957
<g/>
=
Fräule	w4959
<g/>
;
worbey	w4961
der	w4962
Päpstl	w4963
<g/>
.
Nuntius	w4965
Mon-signor	w4966
<g/>
-
Grimaldi	w4968
die	w4969
Kirchen	w4970
<g/>
=
Ceremonien	w4972
verrichtet	w4973
<g/>
/
beygewohnet	w4975
<g/>
;
nach	w4977
Mittag	w4978
aber	w4979
hat	w4980
sich	w4981
der	w4982
Regierende	w4983
Kaiserl	w4984
<g/>
.
Hof	w4986
mit	w4987
Cräntzel	w4988
<g/>
=
Schiessen	w4990
belustiget	w4991
<g/>
.
</p>
<p id="p72">
Dito	w4993
vor	w4994
<g/>
=
Mittag	w4996
wurde	w4997
in	w4998
Jhrer	w4999
Maje=stät	w5000
<g/>
=
der	w5002
Verwittibten	w5003
Römischen	w5004
Kaiserin	w5005
Hof	w5006
<g/>
=
Capelle	w5008
in	w5009
der	w5010
Burg	w5011
<g/>
/
für	w5013
die	w5014
dieses	w5015
Jahr	w5016
in	w5017
GOtt	w5018
selig	w5019
entschlaffene	w5020
Hoch	w5021
Ade=liche	w5022
<g/>
=
Stern	w5024
<g/>
=
Creutz	w5026
<g/>
=
Ordens	w5028
<g/>
=
Dame	w5030
<g/>
(
Tit	w5032
<g/>
.
<g/>
)
Frau	w5035
Isabella	w5036
<g/>
,
Gräfin	w5038
zu	w5039
Zeil	w5040
<g/>
/
geborne	w5042
Gräfin	w5043
von	w5044
Montfort	w5045
<g/>
,
das	w5047
gewöhnliche	w5048
See=len	w5049
<g/>
=
<g/>
=
Amt	w5052
gehalten	w5053
<g/>
.
</p>
<p id="p73">
Eben	w5055
heute	w5056
vor	w5057
<g/>
=
Mittag	w5059
wurden	w5060
von	w5061
hier	w5062
folgende	w5063
auf	w5064
die	w5065
Galeren	w5066
nacher	w5067
Neapel	w5068
zur	w5069
Ruder	w5070
<g/>
=
Bank	w5072
condemnirte	w5073
Delinquenten	w5074
abgeführet	w5075
<g/>
:
</p>
<p id="p74">
Antoni	w5077
F	w5078
<g/>
.
<g/>
...
22	w5081
<g/>
.
Jahr	w5083
alt	w5084
<g/>
/
zu	w5086
Waitz	w5087
in	w5088
Steyermarkt	w5089
gebürtig	w5090
<g/>
/
ledigen	w5092
Stands	w5093
in	w5094
puncto	w5095
fractæ fractae	w5096
Urphedæ Urphedae	w5097
<g/>
,
auf	w5099
zwey	w5100
Natural NaturalJahr	w5101
<g/>
-
Jahr	w5103
zur	w5104
Ruder	w5105
<g/>
=
Bank	w5107
condemniret	w5108
<g/>
.
</p>
<p id="p75">
Jacob	w5110
S	w5111
<g/>
.
<g/>
...
30	w5114
<g/>
.
Jahr	w5116
alt	w5117
<g/>
/
zu	w5119
Zischin=gen	w5120
<g/>
=
in	w5122
dem	w5123
Reich	w5124
gebürtig	w5125
<g/>
/
verheirateten	w5127
Stands	w5128
<g/>
/
in	w5130
puncto	w5131
fractæ fractae	w5132
Urphedæ Urphedae	w5133
<g/>
&
cri-minis	w5135
<g/>
-
stellionatûs	w5137
<g/>
,
auf	w5139
3	w5140
<g/>
.
Natural	w5142
<g/>
=
Jahr	w5144
zur	w5145
Ruder	w5146
<g/>
=
Bank	w5148
condemnirt	w5149
<g/>
/
und	w5151
beede	w5152
bey	w5153
</p>
<p id="p76">
dem	w5155
Kaiserl	w5156
<g/>
.
Stadt	w5158
<g/>
=
Land	w5160
<g/>
=
Gericht	w5162
crimina-liter	w5163
<g/>
-
processirt	w5165
<g/>
.
</p>
<p id="p77">
Johann	w5167
Georg	w5168
J	w5169
<g/>
.
<g/>
..
26	w5172
<g/>
.
Jahr	w5174
alt	w5175
<g/>
/
von	w5177
Wagram	w5178
in	w5179
Oesterreich	w5180
gebürtig	w5181
<g/>
/
ledigen	w5183
Stands	w5184
in	w5185
puncto	w5186
furti	w5187
<g/>
,
bey	w5189
dem	w5190
Ertz	w5191
<g/>
=
Bi=stumlichen	w5193
<g/>
=
freyen	w5195
Land	w5196
<g/>
=
Gericht	w5198
St	w5199
<g/>
.
Veit	w5201
an	w5202
der	w5203
Wien	w5204
criminaliter	w5205
processirt	w5206
<g/>
/
und	w5208
eben=fals	w5209
<g/>
=
auf	w5211
3	w5212
<g/>
.
Natural	w5214
Jahr	w5215
lang	w5216
zur	w5217
Ruder	w5218
<g/>
=
Bank	w5220
erkennet	w5221
<g/>
.
</p>
<p id="p78">
Sigmund	w5223
S	w5224
<g/>
.
<g/>
...
24	w5227
<g/>
.
Jahr	w5229
alt	w5230
<g/>
/
von	w5232
Zeißdorf	w5233
in	w5234
Schlesien	w5235
gebürtig	w5236
<g/>
/
ledigen	w5238
Stands	w5239
in	w5240
puncto	w5241
furti	w5242
<g/>
,
in	w5244
der	w5245
Königlichen	w5246
Stadt	w5247
Sprottau	w5248
criminaliter	w5249
processirt	w5250
<g/>
/
auf	w5252
6	w5253
<g/>
.
Natur	w5255
<g/>
.
Jahr	w5257
zur	w5258
Ruder	w5259
<g/>
=
Bank	w5261
condemnirt	w5262
<g/>
.
</p>
<p id="p79">
Georg	w5264
O	w5265
<g/>
.
<g/>
...
19	w5268
<g/>
.
Jahr	w5270
alt	w5271
<g/>
/
von	w5273
Strall	w5274
in	w5275
Schlesien	w5276
gebürtig	w5277
<g/>
/
ledigen	w5279
Stands	w5280
<g/>
/
in	w5282
puncto	w5283
furti	w5284
<g/>
,
zu	w5286
Breßlau	w5287
criminaliter	w5288
pro- cessirt	w5289
<g/>
-
und	w5291
zur	w5292
3	w5293
<g/>
.
jährigen	w5295
Galeren	w5296
<g/>
=
Arbeit	w5298
verurtheilet	w5299
<g/>
.
</p>
<p id="p80">
Martin	w5301
L	w5302
<g/>
.
<g/>
...
20	w5305
<g/>
.
Jahr	w5307
alt	w5308
<g/>
/
von	w5310
Schön=feld	w5311
<g/>
=
in	w5313
Schlesien	w5314
gebürtig	w5315
<g/>
/
ledigen	w5317
Stands	w5318
<g/>
/
wegen	w5320
sich	w5321
theilhaftig	w5322
gemachten	w5323
Kirchen	w5324
<g/>
=
Raubs	w5326
<g/>
/
und	w5328
selbst	w5329
