<doc id="edoc_wd_1762-07-28" attrs="word" year="1762" month="07" day="28" corpus="1">
<head id="hl1">
Warschau	w39
H	w3707
<g/>
.
in	w3709
der	w3710
Alster	w3711
<g/>
=
gas	w3713
<g/>
.
<g/>
,
alt	w3716
60	w3717
<g/>
.
J	w3719
<g/>
.
Dem	w3721
Jos	w3722
<g/>
.
Angstwurm	w3724
<g/>
,
Lust	w3726
gart	w3727
<g/>
.
<g/>
,
s	w3730
<g/>
.
K	w3732
<g/>
.
Anna	w3734
Ma=ria	w3735
<g/>
=
<g/>
,
im	w3738
Hof	w3739
<g/>
=
raht	w3741
Bäckis	w3742
<g/>
.
H	w3744
<g/>
.
in	w3746
der	w3747
Alstey	w3748
<g/>
=
gas	w3750
<g/>
.
<g/>
,
alt	w3753
6	w3754
<g/>
.
J	w3756
<g/>
.
Dem	w3758
Mich	w3759
<g/>
.
Flaschel	w3761
<g/>
,
Herrschaftl	w3763
<g/>
.
Reit	w3765
<g/>
=
kn	w3767
<g/>
,
s	w3769
<g/>
.
K	w3771
<g/>
.
Anna	w3773
<g/>
,
im	w3775
Tischleris	w3776
<g/>
.
H	w3778
<g/>
.
auf	w3780
der	w3781
Wied	w3782
<g/>
.
<g/>
,
6	w3785
<g/>
.
v	w3787
<g/>
.
J	w3789
<g/>
.
Summa	w3791
9	w3792
<g/>
.
Person	w3794
<g/>
.
<g/>
,
darunter	w3797
3	w3798
<g/>
.
Kind	w3800
<g/>
.
</list>
<p id="p39">
Es	w3802
wird	w3803
jedermänniglich	w3804
kund	w3805
und	w3806
zu	w3807
wissen	w3808
gemacht	w3809
<g/>
,
welchergestalten	w3811
auf	w3812
Verordnung	w3813
eines	w3814
Löbl	w3815
<g/>
.
<g/>
,
Kaiserl	w3818
<g/>
.
Königl	w3820
<g/>
.
N	w3822
<g/>
.
Oe	w3824
<g/>
.
Vice	w3826
domischen	w3827
Grund	w3828
buchs	w3829
die	w3830
zu	w3831
Penzing	w3832
gelegen	w3833
Gräfl	w3834
<g/>
.
Jo=seph	w3836
<g/>
=
Czoberische	w3838
5	w3839
<g/>
.
Häuser	w3841
<g/>
,
samt	w3843
zugehörigen	w3844
Gär=ten	w3845
<g/>
=
und	w3847
verschiedenen	w3848
überländ	w3849
<g/>
=
Aeckern	w3851
den	w3852
26	w3853
<g/>
.
künftigen	w3855
Monats	w3856
Augusti	w3857
plus	w3858
offerenti	w3859
werden	w3860
verkauffet	w3861
werden	w3862
<g/>
,
wer	w3864
nun	w3865
sothane	w3866
Häuser	w3867
<g/>
,
Gärten	w3869
<g/>
,
und	w3871
überländ	w3872
<g/>
=
Grund	w3874
<g/>
=
stücke	w3876
käuflich	w3877
an	w3878
zu	w3879
bringen	w3880
gesinnet	w3881
ist	w3882
<g/>
,
derselbe	w3884
beliebe	w3885
sich	w3886
am	w3887
obbestimmten	w3888
Tag	w3889
fruhe	w3890
um	w3891
9	w3892
<g/>
.
Uhr	w3894
zu	w3895
Penzing	w3896
in	w3897
bemelt	w3898
<g/>
=
Gräfl	w3900
<g/>
.
Czoberischen	w3902
Hänsern	w3903
<g/>
,
entweder	w3905
selbst	w3906
persönlich	w3907
<g/>
,
oder	w3909
durch	w3910
genugsam	w3911
hierzu	w3912
Be=vollmächtigte	w3913
<g/>
=
anzumelden	w3915
<g/>
.
</p>
<p id="p40">
Auf	w3917
Verordnnug	w3918
eines	w3919
Löbl	w3920
<g/>
.
Land	w3922
<g/>
=
marschalli=schen	w3924
<g/>
=
Gerichts	w3926
werden	w3927
den	w3928
künftigen	w3929
Freytag	w3930
als	w3931
den	w3932
30	w3933
<g/>
.
Julii	w3935
verschiedene	w3936
Effecten	w3937
und	w3938
Mobilien	w3939
<g/>
,
als	w3941
goldene	w3942
Degen	w3943
<g/>
,
verschiedene	w3945
reiche	w3946
<g/>
,
gestickte	w3948
<g/>
,
bordirte	w3950
<g/>
,
sammettene	w3952
und	w3953
tüchene	w3954
Manns	w3955
<g/>
=
kleider	w3957
<g/>
,
Wäsch	w3959
<g/>
,
2	w3961
<g/>
.
Pferde	w3963
und	w3964
Wägen	w3965
<g/>
,
Niederländer	w3967
<g/>
=
spal=lier	w3969
<g/>
=
auf	w3971
3	w3972
<g/>
.
Zimmer	w3974
<g/>
,
Luster	w3976
<g/>
,
Canape	w3978
<g/>
,
Sessel	w3980
<g/>
,
Tisch	w3982
<g/>
,
Beht	w3984
<g/>
=
gewand	w3986
und	w3987
ein	w3988
grosser	w3989
Service	w3990
von	w3991
Porcel=lain	w3992
<g/>
=
in	w3994
Sr	w3995
<g/>
.
K	w3997
<g/>
.
K	w3999
<g/>
.
Majest	w4001
<g/>
.
Behausung	w4003
in	w4004
der	w4005
Wallnerstrassen	w4006
in	w4007
der	w4008
Baron	w4009
von	w4010
Toussaitischen	w4011
Wohnung	w4012
fruhe	w4013
von	w4014
9	w4015
<g/>
.
bis	w4017
12	w4018
<g/>
.
und	w4020
Nachmittag	w4021
von	w4022
3	w4023
<g/>
.
bis	w4025
6	w4026
<g/>
.
Uhr	w4028
licitando	w4029
verkauffet	w4030
<g/>
.
</p>
<p id="p41">
Den	w4032
6	w4033
<g/>
.
Septembris	w4035
dieß	w4036
1762sten	w4037
Jahrs	w4038
wird	w4039
das	w4040
Johann	w4041
Falkmeyrische	w4042
zu	w4043
Stadt	w4044
Groß	w4045
<g/>
=
En=serstof	w4047
<g/>
=
liegende	w4049
Lehenhaus	w4050
<g/>
,
samt	w4052
Haus	w4053
<g/>
=
grund=stücken	w4055
<g/>
=
<g/>
,
dann	w4058
22	w4059
<g/>
.
Joch	w4061
Aecker	w4062
und	w4063
andere	w4064
Zuge=hörungen	w4065
<g/>
=
an	w4067
den	w4068
Meistbietenden	w4069
licitando	w4070
ver=kauffet	w4071
<g/>
=
werden	w4073
<g/>
;
wer	w4075
sodann	w4076
hievon	w4077
etwas	w4078
käuf=lich	w4079
<g/>
=
an	w4081
sich	w4082
bringen	w4083
will	w4084
<g/>
,
kan	w4086
sich	w4087
an	w4088
obbemeld=tem	w4089
<g/>
=
Tag	w4091
fruh	w4092
um	w4093
9	w4094
<g/>
.
Uhr	w4096
in	w4097
dasiger	w4098
Hochfürstl	w4099
<g/>
.
Freisingischen	w4101
Herrschafts	w4102
<g/>
=
canzley	w4104
anmelden	w4105
<g/>
.
</p>
<p id="p42">
Auf	w4107
Gerichtliche	w4108
Verordnung	w4109
wird	w4110
das	w4111
Gut	w4112
Wolfsdorf	w4113
auf	w4114
den	w4115
21	w4116
<g/>
.
Augusti	w4118
fruh	w4119
um	w4120
8	w4121
<g/>
.
Uhr	w4123
bey	w4124
dem	w4125
allhiesig	w4126
Löbl	w4127
<g/>
.
Land	w4129
<g/>
=
marschallischen	w4131
Ge=richt	w4132
<g/>
=
licitando	w4134
pins	w4135
offerenti	w4136
et	w4137
solventi	w4138
verkauf=fet	w4139
<g/>
=
werden	w4141
<g/>
.
</p>
<p id="p43">
Von	w4144
der	w4145
Hochgräfl	w4146
<g/>
.
Harrachischen	w4148
Herrschaft	w4149
Rohrau	w4150
amts	w4151
<g/>
=
canzley	w4153
wegen	w4154
<g/>
,
wird	w4156
jedermänniglich	w4157
kund	w4158
und	w4159
zu	w4160
wissen	w4161
gemacht	w4162
<g/>
,
daß	w4164
<g/>
,
nachdeme	w4166
die	w4167
vorhin	w4168
zu	w4169
Licitiruna	w4170
deren	w4171
Rauchlanerischen	w4172
Ver=lassenschafts	w4173
<g/>
=
corpo	w4175
<g/>
.
1	w4177
<g/>
,
bestehend	w4179
in	w4180
1	w4181
<g/>
.
Ganzlehen	w4183
samt	w4184
Fleischhacker	w4185
<g/>
=
gewörb	w4187
mit	w4188
28	w4189
<g/>
.
ein	w4191
Viertel	w4192
Joch	w4193
Hausäckern	w4194
<g/>
,
2	w4196
<g/>
.
Lust	w4198
<g/>
=
holz	w4200
<g/>
,
1	w4202
<g/>
.
Obst	w4204
<g/>
=
und	w4206
2	w4207
<g/>
.
Kraut=garten	w4209
<g/>
=
<g/>
;
dann	w4212
1	w4213
<g/>
.
Halblehen	w4215
mit	w4216
14	w4217
<g/>
.
ein	w4219
Viertel	w4220
Joch	w4221
Haus	w4222
<g/>
=
äckern	w4224
<g/>
,
1	w4226
<g/>
.
Lust	w4228
<g/>
=
holz	w4230
<g/>
,
1	w4232
<g/>
.
Obst	w4234
<g/>
=
und	w4236
1	w4237
<g/>
.
Kraut	w4239
<g/>
=
garten	w4241
<g/>
,
14	w4243
<g/>
.
Achtel	w4245
überländ	w4246
<g/>
=
Weingarten	w4248
<g/>
,
10	w4250
<g/>
.
Joch	w4252
überländ	w4253
<g/>
=
Aecker	w4255
<g/>
,
1	w4257
<g/>
.
Holz	w4259
öden	w4260
<g/>
,
3	w4262
<g/>
.
Vier=tel	w4264
<g/>
=
Joch	w4266
Wisen	w4267
<g/>
,
1	w4269
<g/>
.
Gras	w4271
<g/>
=
garten	w4273
<g/>
,
1	w4275
<g/>
.
überländ	w4277
<g/>
=
Kel=ler	w4279
<g/>
=
<g/>
,
1761	w4282
ger	w4283
Wein	w4284
<g/>
,
Körner	w4286
<g/>
,
Vieh	w4288
<g/>
=
und	w4290
Wirtschafts=fahrnussen	w4291
<g/>
=
<g/>
,
angeordnete	w4294
Tagsatzung	w4295
ihren	w4296
Effect	w4297
nicht	w4298
erreichtet	w4299
hat	w4300
<g/>
,
um	w4302
wiederumen	w4303
eine	w4304
weitere	w4305
auf	w4306
den	w4307
1	w4308
<g/>
.
Septemb	w4310
<g/>
.
1762	w4312
<g/>
.
anberaumet	w4314
worden	w4315
seye	w4316
<g/>
.
Es	w4318
werden	w4319
demnach	w4320
diejenige	w4321
<g/>
,
so	w4323
hierumen	w4324
zu	w4325
lieitiren	w4326
gedenken	w4327
<g/>
,
am	w4329
gleich	w4330
<g/>
=
besagten	w4332
Tag	w4333
fruh	w4334
um	w4335
9	w4336
<g/>
.
Uhr	w4338
zu	w4339
Göttles	w4340
<g/>
=
brunn	w4342
in	w4343
bemelt	w4344
<g/>
=
Ma=thias	w4346
<g/>
=
Rauchlahnerischen	w4348
Ganzlehen	w4349
<g/>
=
haus	w4351
sich	w4352
ein=zufinden	w4353
<g/>
=
haben	w4355
<g/>
.
</p>
<p id="p44">
Jn	w4357
der	w4358
neuen	w4359
Kaiser	w4360
<g/>
=
gassen	w4362
auf	w4363
der	w4364
Wieden	w4365
<g/>
,
ist	w4367
ein	w4368
ruckwärts	w4369
dem	w4370
Baron	w4371
Loprestischen	w4372
Gar=ten	w4373
<g/>
=
belegenes	w4375
grosses	w4376
Haus	w4377
<g/>
,
zur	w4379
herrschaftlichen	w4380
Wohnung	w4381
durchgehends	w4382
meublirt	w4383
<g/>
,
mit	w4385
etlichen	w4386
20	w4387
<g/>
.
Zimmern	w4389
<g/>
,
einer	w4391
Haus	w4392
<g/>
=
capelle	w4394
<g/>
,
und	w4396
einem	w4397
darbey	w4398
sich	w4399
befindenden	w4400
Billiard	w4401
<g/>
,
nebst	w4403
einem	w4404
gros=sen	w4405
<g/>
=
Zier	w4407
<g/>
=
und	w4409
Baum	w4410
<g/>
=
garten	w4412
<g/>
,
Speiß	w4414
<g/>
=
und	w4416
Wein=keller	w4417
<g/>
=
<g/>
,
Kuchel	w4420
<g/>
,
Holz	w4422
<g/>
=
gewölb	w4424
<g/>
,
Stallung	w4426
auf	w4427
8	w4428
<g/>
.
Pferd	w4430
<g/>
,
zweyen	w4432
gesperrten	w4433
Wagen	w4434
<g/>
=
schupfen	w4436
<g/>
,
und	w4438
darzu	w4439
gehörigen	w4440
Heu	w4441
<g/>
=
und	w4443
Haber	w4444
<g/>
=
boden	w4446
<g/>
,
alltäg=lich	w4448
<g/>
=
zu	w4450
verlassen	w4451
<g/>
;
wer	w4453
obbeschriebene	w4454
Sommer	w4455
<g/>
-
und	w4457
Winter	w4458
<g/>
=
wohnung	w4460
anzusehen	w4461
<g/>
,
und	w4463
zu	w4464
beste=hen	w4465
<g/>
=
willens	w4467
<g/>
,
beliebe	w4469
sich	w4470
auf	w4471
der	w4472
Kärntner	w4473
<g/>
=
thor=oder	w4475
<g/>
=
sogenannten	w4477
Wasser	w4478
<g/>
=
kunst	w4480
<g/>
-
pastey	w4482
ober	w4483
dem	w4484
dasigen	w4485
Schwiebogen	w4486
im	w4487
2	w4488
<g/>
.
Stock	w4490
anzumelden	w4491
<g/>
.
</p>
<p id="p45">
Den	w4493
30	w4494
<g/>
.
nächst	w4496
<g/>
=
künftigen	w4498
Monats	w4499
Augusti	w4500
fruh	w4501
um	w4502
8	w4503
<g/>
.
Uhr	w4505
wird	w4506
die	w4507
Freythoferische	w4508
nächst	w4509
Wilfer=storf	w4510
<g/>
=
gelegene	w4512
sogenannte	w4513
Steinabruck	w4514
<g/>
=
mühl	w4516
samt	w4517
Wirtshaus	w4518
<g/>
=
grund	w4520
<g/>
=
stücken	w4522
<g/>
,
und	w4524
übriger	w4525
Zugehörde	w4526
bey	w4527
dem	w4528
Löbl	w4529
<g/>
.
Landmarschallischen	w4531
Gericht	w4532
offent=lich	w4533
<g/>
=
ausgefeilet	w4535
<g/>
,
sohin	w4537
dem	w4538
Meist	w4539
<g/>
=
bietenden	w4541
ver=kauffet	w4542
<g/>
=
werden	w4544
<g/>
.
</p>
<p id="p46">
Vermög	w4546
zweyer	w4547
unterm	w4548
8ten	w4549
und	w4550
15ten	w4551
Junii	w4552
gegenwärtigen	w4553
Jahrs	w4554
1762	w4555
<g/>
.
auf	w4557
Anlangen	w4558
des	w4559
N	w4560
<g/>
.
Oe	w4562
<g/>
.
Herrn	w4564
Hof	w4565
<g/>
=
und	w4567
Cammer	w4568
<g/>
=
procuratoris	w4570
von	w4571
Hochlöbl	w4572
<g/>
.
N	w4574
<g/>
.
Oe	w4576
<g/>
.
Regierung	w4578
ausgefertigter	w4579
Amor=tizations	w4580
<g/>
=
<g/>
=
edicten	w4583
<g/>
,
haben	w4585
sich	w4586
alle	w4587
und	w4588
jede	w4589
<g/>
,
wel=che	w4591
<g/>
=
wegen	w4593
deren	w4594
auf	w4595
die	w4596
sogenannte	w4597
annun	w4598
zue	w4599
K	w4600
<g/>
.
K	w4602
<g/>
.
Nadlburger	w4604
Fabriqne	w4605
verwendete	w4606
<g/>
,
Win=kelmühl	w4608
<g/>
=
zu	w4610
Lichtenwörth	w4611
annoch	w4612
realiter	w4613
bey	w4614
der	w4615
N	w4616
<g/>
.
Oe	w4618
<g/>
.
Land	w4620
tafel	w4621
für	w4622
Gregori	w4623
Handl	w4624
unterm	w4625
11	w4626
<g/>
.
Septembris	w4628
1726	w4629
<g/>
.
angesetzter	w4631
3000	w4632
<g/>
.
fl	w4634
<g/>
.
und	w4636
für	w4637
Mathäum	w4638
Riß	w4639
unterm	w4640
21	w4641
<g/>
.
Junii	w4643
1668	w4644
für=gemerkter	w4645
<g/>
=
1750	w4647
<g/>
.
fl	w4649
<g/>
.
dann	w4651
auf	w4652
die	w4653
Rubrie	w4654
Alland	w4655
</p>
<p id="p47">
unterm	w4656
12ten	w4657
Oetobris	w4658
1591	w4659
<g/>
.
für	w4661
Balthasar	w4662
Fürrath	w4663
angeschätzter	w4664
403	w4665
<g/>
.
fl	w4667
47	w4668
<g/>
.
1	w4670
<g/>
.
halben	w4672
kr	w4673
<g/>
.
und	w4675
für	w4676
der	w4677
Maria	w4678
Preinerin	w4679
Erben	w4680
unterm	w4681
9	w4682
<g/>
.
Augusti	w4684
1658	w4685
<g/>
.
gleichfalls	w4687
angesetzter	w4688
2000	w4689
<g/>
.
fl	w4691
<g/>
.
wei=ters	w4693
<g/>
=
wegen	w4695
auf	w4696
das	w4697
Scalvignonische	w4698
Frey	w4699
<g/>
-
haus	w4701
nächst	w4702
der	w4703
K	w4704
<g/>
.
K	w4706
<g/>
.
Burg	w4708
unterm	w4709
10	w4710
<g/>
.
Jänner	w4712
1710	w4713
<g/>
.
für	w4715
Frau	w4716
Jsabellam	w4717
Rebecam	w4718
Freyin	w4719
von	w4720
Scal-vignoni	w4721
<g/>
-
<g/>
,
geb	w4724
<g/>
.
Freyin	w4726
von	w4727
Wellenstein	w4728
vorgemerk=ter	w4729
<g/>
=
Ehe	w4731
<g/>
=
pacten	w4733
<g/>
,
idem	w4735
unterm	w4736
18	w4737
<g/>
.
Febr	w4739
<g/>
.
1728=für	w4741
<g/>
=
Frau	w4743
Mariam	w4744
Annam	w4745
Gräfin	w4746
von	w4747
Waldero=de	w4748
<g/>
=
fürgemerkt	w4750
sich	w4751
befindende	w4752
23000	w4753
<g/>
.
fl	w4755
<g/>
.
und	w4757
un=term	w4758
<g/>
=
4	w4760
<g/>
.
Martii	w4762
1739	w4763
<g/>
.
für	w4765
Joseph	w4766
Franz	w4767
Diet=mayr	w4768
<g/>
=
J	w4770
<g/>
.
U	w4772
<g/>
.
D	w4774
<g/>
.
cessionario	w4776
noe	w4777
<g/>
.
inhibirter	w4779
1000	w4780
<g/>
.
fl	w4782
<g/>
.
desgleichen	w4784
wegen	w4785
auf	w4786
die	w4787
Herrschaft	w4788
Hetzen	w4789
<g/>
.
dorf	w4791
unterm	w4792
4ten	w4793
Decembris	w4794
1590	w4795
<g/>
.
für	w4797
Georg	w4798
Sauer	w4799
angesetzter	w4800
3054	w4801
<g/>
.
fl	w4803
<g/>
.
46	w4805
<g/>
.
1	w4807
<g/>
.
halben	w4809
kr	w4810
<g/>
.
für	w4812
Philipp	w4813
Friener	w4814
junterm	w4815
4	w4816
<g/>
.
Julii	w4818
1592	w4819
itidem	w4820
angesetzter	w4821
1079	w4822
<g/>
.
fl	w4824
<g/>
.
54	w4826
<g/>
.
kr	w4828
<g/>
.
für	w4830
Lazarum	w4831
Hemkhe	w4832
beenfalls	w4833
unterm	w4834
26sten	w4835
Martii	w4836
1604	w4837
<g/>
.
angesetzter	w4839
1500	w4840
<g/>
.
fl	w4842
<g/>
.
und	w4844
so	w4845
auch	w4846
unterm	w4847
11	w4848
<g/>
.
Febr	w4850
1619	w4851
<g/>
.
für	w4853
Abraham	w4854
Salzmann	w4855
angesetzter	w4856
1500	w4857
fl	w4858
<g/>
.
end=lichen	w4860
<g/>
=
wegen	w4862
auf	w4863
die	w4864
Gühter	w4865
Neuhaus	w4866
<g/>
,
Arnstein	w4868
und	w4869
Fahrafeld	w4870
für	w4871
Burgermeister	w4872
und	w4873
Raht	w4874
der	w4875
Stadt	w4876
Wien	w4877
unterm	w4878
14	w4879
<g/>
.
Novembris	w4881
1714	w4882
<g/>
.
für=gemerkter	w4884
<g/>
=
4000	w4886
<g/>
.
fl	w4888
<g/>
.
einige	w4890
Sprüch	w4891
und	w4892
Forderung	w4893
zu	w4894
baben	w4895
vermeinen	w4896
<g/>
,
sich	w4898
in	w4899
Zeit	w4900
eines	w4901
Jahrs	w4902
<g/>
,
6	w4904
<g/>
.
Wochen	w4906
und	w4907
3	w4908
<g/>
.
Tägen	w4910
bey	w4911
Hochgedacht	w4912
Hoch=löbl	w4913
<g/>
=
<g/>
.
N	w4916
<g/>
.
Oe	w4918
<g/>
.
Regierung	w4920
mit	w4921
ihren	w4922
etwa	w4923
habenden	w4924
Legitimatious	w4925
<g/>
=
documenten	w4927
also	w4928
gewiß	w4929
melden	w4930
<g/>
,
als	w4932
im	w4933
widrigen	w4934
nach	w4935
Ausgang	w4936
dieser	w4937
Frist	w4938
eines	w4939
Jahrs	w4940
<g/>
,
6	w4942
<g/>
.
Wochen	w4944
und	w4945
3	w4946
<g/>
.
Tägen	w4948
<g/>
,
all	w4950
diese	w4951
Schuld=posten	w4952
<g/>
=
17	w4954
ipso	w4955
für	w4956
null	w4957
und	w4958
nichtig	w4959
gehalten	w4960
<g/>
,
und=wegen	w4962
<g/>
=
Caßirung	w4964
derenselben	w4965
Fürmerkung	w4966
das	w4967
Be=nöhtigte	w4968
<g/>
=
an	w4970
seine	w4971
Behörde	w4972
erlassen	w4973
werden	w4974
wird	w4975
</p>
<p id="p48">
Den	w4976
19	w4977
<g/>
.
künftigen	w4979
Monats	w4980
Augusti	w4981
Nachmittag	w4982
um	w4983
2	w4984
<g/>
.
Uhr	w4986
wird	w4987
die	w4988
zu	w4989
Wäring	w4990
ausser	w4991
denen	w4992
Linien	w4993
gelegene	w4994
Rebellische	w4995
Behausung	w4996
samt	w4997
Garten	w4998
und	w4999
überländ	w5000
<g/>
=
Grund	w5002
<g/>
=
stücken	w5004
bey	w5005
Hrn	w5006
<g/>
.
Johann	w5008
Paul	w5009
Fellner	w5010
<g/>
,
Bevollmächtigten	w5012
des	w5013
Löbl	w5014
<g/>
.
Closter	w5016
Mi=chael	w5017
<g/>
=
Bayrischen	w5019
Grundbuchs	w5020
licitando	w5021
verkauffet	w5022
werden	w5023
<g/>
.
</p>
<p id="p49">
Von	w5025
dem	w5026
Löbl	w5027
<g/>
.
Stift	w5029
und	w5030
Closter	w5031
Heil	w5032
<g/>
.
Creutz	w5034
<g/>
,
als	w5036
Herrschaft	w5037
Pfafsstätten	w5038
wird	w5039
hiemit	w5040
jedermän=niglich	w5041
<g/>
=
kund	w5043
und	w5044
zu	w5045
wissen	w5046
gemacht	w5047
<g/>
:
Es	w5049
seye	w5050
auf	w5051
das	w5052
von	w5053
dem	w5054
Gräfl	w5055
<g/>
.
Bathyanischen	w5057
Judicio	w5058
Deleg	w5059
<g/>
.
der	w5061
Herrschaft	w5062
Vischament	w5063
eingelangte	w5064
Compaß=schreiben	w5065
<g/>
=
in	w5067
Licitirung	w5068
der	w5069
dem	w5070
entwichenen	w5071
Jo=hann	w5072
<g/>
=
Georg	w5074
Peul	w5075
angehörigen	w5076
<g/>
,
diesem	w5078
Stift	w5079
unter=thänigen	w5080
<g/>
=
sogenannten	w5082
Rohr	w5083
<g/>
=
mühl	w5085
<g/>
,
samt	w5087
darzu	w5088
ge=hörigen	w5089
<g/>
=
Haus	w5091
<g/>
=
auch	w5093
überländ	w5094
<g/>
=
Grund	w5096
stücken	w5097
<g/>
,
wie	w5099
nicht	w5100
minder	w5101
von	w5102
da	w5103
aus	w5104
inventirten	w5105
Mobilien	w5106
und	w5107
Effecten	w5108
gewilliget	w5109
worden	w5110
<g/>
.
Wann	w5112
nun	w5113
zu	w5114
Vornehmung	w5115
sothaner	w5116
Licitation	w5117
der	w5118
30	w5119
<g/>
.
Augusti	w5121
fruhe	w5122
um	w5123
9	w5124
<g/>
.
Uhr	w5126
zu	w5127
Pfaffstätten	w5128
nächst	w5129
Baden	w5130
in	w5131
aldasigem	w5132
Herrschafts	w5133
<g/>
=
hof	w5135
zu	w5136
erscheinen	w5137
zur	w5138
Tag=satzung	w5139
<g/>
=
bestimmet	w5141
worden	w5142
ist	w5143
<g/>
;
Als	w5145
werden	w5146
allallund	w5147
<g/>
=
</p>
<p id="p50">
und	w5150
jebe	w5151
<g/>
,
so	w5153
ermelte	w5154
Mühl	w5155
<g/>
,
Haus	w5157
<g/>
,
und	w5159
überländ=grund	w5160
<g/>
=
stucke	w5162
<g/>
,
wie	w5164
auch	w5165
Mobilien	w5166
und	w5167
Effecten	w5168
<g/>
,
als	w5170
Meist	w5171
<g/>
=
bietende	w5173
käufl	w5174
<g/>
.
an	w5176
sich	w5177
zu	w5178
bringen	w5179
gedenken	w5180
<g/>
,
am	w5182
obbestimmten	w5183
Taa	w5184
<g/>
,
Stund	w5186
und	w5187
Ort	w5188
ad	w5189
tractan-dum	w5190
<g/>
-
<g/>
&
concludendum	w5193
zu	w5194
erscheinen	w5195
wissen	w5196
<g/>
.
</p>
<p id="p51">
Denen	w5198
respeetive	w5199
Herren	w5200
Garten	w5201
<g/>
=
liebhaberen	w5203
wird	w5204
hiemit	w5205
zu	w5206
wissen	w5207
gemacht	w5208
<g/>
,
daß	w5210
wiederum	w5211
die	w5212
neuen	w5213
Blumen	w5214
<g/>
=
zwibel	w5216
<g/>
=
catalogi	w5218
von	w5219
dem	w5220
be=rühmten	w5221
<g/>
=
Blumisten	w5223
<g/>
,
Herrn	w5225
Johann	w5226
und	w5227
Ma=thias	w5228
<g/>
=
Kleiecker	w5230
in	w5231
Hamburg	w5232
alhier	w5233
angekommen	w5234
<g/>
,
worinnen	w5236
alle	w5237
Sorten	w5238
derer	w5239
schönst	w5240
<g/>
=
und	w5242
raresten	w5243
Zwibel	w5244
<g/>
=
oder	w5246
Kiel	w5247
<g/>
=
gewächsen	w5249
nach	w5250
dero	w5251
Namen	w5252
und	w5253
Preis	w5254
speeisicirer	w5255
sind	w5256
<g/>
.
Wem	w5258
nun	w5259
von	w5260
der=gleichen	w5261
<g/>
=
raren	w5263
Zwibel	w5264
und	w5265
Kiel	w5266
<g/>
=
werk	w5268
<g/>
,
wie	w5270
auch	w5271
von	w5272
besten	w5273
Französischen	w5274
hoch	w5275
und	w5276
nieder	w5277
<g/>
=
stäm=migen	w5279
<g/>
=
Obst	w5281
<g/>
=
bäumen	w5283
<g/>
,
ingleichen	w5285
Taxis	w5286
<g/>
=
pyrami=den	w5288
<g/>
=
<g/>
,
Orangen	w5291
<g/>
,
Lorbeer	w5293
<g/>
=
und	w5295
Myrrhen	w5296
<g/>
=
bäumen	w5298
<g/>
,
auch	w5300
allerhand	w5301
frischen	w5302
Garten	w5303
samen	w5304
und	w5305
Pflan	w5306
zen	w5307
<g/>
,
etwas	w5309
beliebig	w5310
seyn	w5311
möchten	w5312
<g/>
,
der	w5314
wird	w5315
bey	w5316
den	w5317
Verlegern	w5318
des	w5319
Wieneeischen	w5320
Diarii	w5321
obbesag=ten	w5322
<g/>
=
Catalogum	w5324
umsonst	w5325
abholen	w5326
zu	w5327
lassen	w5328
<g/>
,
sich	w5330
be=lieben	w5331
<g/>
=
<g/>
.
Wann	w5334
aber	w5335
jemand	w5336
nicht	w5337
gerne	w5338
adrittura	w5339
von	w5340
denen	w5341
Herren	w5342
Klefeckern	w5343
in	w5344
Hamburg	w5345
eine	w5346
Bestellung	w5347
machen	w5348
<g/>
,
so	w5350
kan	w5351
solches	w5352
auch	w5353
durch	w5354
ihre	w5355
allhiesige	w5356
Herren	w5357
Correspondenten	w5358
<g/>
(
welche	w5360
bey	w5361
den	w5362
Verlegern	w5363
des	w5364
Wienerischen	w5365
Diarii	w5366
zu	w5367
erfragen	w5368
seynd	w5369
<g/>
)
geschehen	w5371
<g/>
.
</p>
<p id="p52">
Kund	w5373
und	w5374
zu	w5375
wissen	w5376
wird	w5377
hiemit	w5378
jedekmänniglich	w5379
gemacht	w5380
<g/>
;
demnach	w5382
bey	w5383
dem	w5384
Löbl	w5385
<g/>
.
Herzog	w5387
Arender=gischen	w5388
<g/>
=
Jnfanterie	w5390
regiment	w5391
<g/>
,
seit	w5393
Anfang	w5394
dieses	w5395
Kriegs	w5396
nachstehende	w5397
Herren	w5398
Officiers	w5399
und	w5400
Stabs=partheyen	w5401
<g/>
=
<g/>
,
beuanntlichen	w5404
<g/>
:
Hr	w5406
<g/>
.
Hauptmann	w5408
von	w5409
Germar	w5410
<g/>
,
und	w5412
Auditor	w5413
von	w5414
Busch	w5415
<g/>
,
die	w5417
Herren	w5418
Ober=leutenants	w5419
<g/>
=
von	w5421
Niederkorn	w5422
von	w5423
Klobuschinsko	w5424
<g/>
,
von	w5426
Braunsmandel	w5427
<g/>
,
von	w5429
Pelzenzweig	w5430
<g/>
;
Hr	w5432
<g/>
.
Fähn=drich	w5434
<g/>
=
Baron	w5436
von	w5437
Silberberg	w5438
<g/>
,
die	w5440
Feldscheerers	w5441
Kü=serl	w5442
<g/>
=
und	w5444
Laudacher	w5445
<g/>
,
der	w5447
Regiments	w5448
<g/>
=
fleischhacker	w5450
Weigel	w5451
<g/>
,
theils	w5453
verstorben	w5454
<g/>
,
theils	w5456
vor	w5457
dem	w5458
Feind	w5459
geblieben	w5460
seynd	w5461
<g/>
,
deren	w5463
