<doc id="wr_1761-09-05" attrs="word" year="1761" month="09" day="05" corpus="2">
<head id="h2_d584e3164">
Londer	w1_d584e3168
bachis.	w1_d584e10470
H.	w3_d584e10473
im	w5_d584e10476
Rosen=gäs.,	w7_d584e10479
alt	w9_d584e10482
2.	w11_d584e10485
J.	w13_d584e10489
Math.	w1_d584e10494
Wirt,	w3_d584e10497
Wacht.	w5_d584e10500
im	w7_d584e10503
K.	w9_d584e10506
K.	w11_d584e10509
untern	w13_d584e10513
Arsenal,	w15_d584e10516
alda,	w17_d584e10519
alt	w1_d584e10524
84.	w3_d584e10527
J.	w5_d584e10530
</list>
<head id="h2_d584e10538">
Vor	w1_d584e10542
der	w3_d584e10545
Stadt,	w5_d584e10548
</head>
<list id="l4_d584e10551">
Dem	w1_d584e10555
Steph.	w3_d584e10558
Lichtmayr,	w5_d584e10561
Burgerl.	w7_d584e10564
Wirt,	w9_d584e10567
s.	w11_d584e10570
T.	w13_d584e10574
Eva,	w15_d584e10577
bey	w1_d584e10582
der	w3_d584e10585
bl.	w5_d584e10588
Weintr.	w7_d584e10591
auf	w9_d584e10594
der	w11_d584e10597
alt.	w13_d584e10601
Wied.,	w15_d584e10604
22.	w17_d584e10607
J.	w19_d584e10610
Dem	w1_d584e10615
Barthl.	w3_d584e10618
Fontini,	w5_d584e10621
Lack.,	w7_d584e10624
s.	w9_d584e10627
K.	w11_d584e10630
Constantia,	w13_d584e10634
im	w15_d584e10637
Bildhaueris.	w1_d584e10643
H.	w3_d584e10646
in	w5_d584e10649
der	w7_d584e10652
Josephst.,	w9_d584e10655
alt	w11_d584e10658
1.	w13_d584e10662
J.	w15_d584e10665
</list>
<head id="h2_d584e10672">
Summa	w1_d584e10676
7.	w3_d584e10679
Person.	w5_d584e10682
darunter	w7_d584e10685
4.	w9_d584e10688
Kind.	w11_d584e10691
Den	w1_d584e10696
31	w3_d584e10699
Aug.	w5_d584e10702
Jn	w1_d584e10707
der	w3_d584e10710
Stadt.	w5_d584e10713
</head>
<list id="l4_d584e10716">
Jungf.	w1_d584e10720
Maria	w3_d584e10723
Anna	w5_d584e10726
Schlechtleitnerin,	w7_d584e10729
bey	w9_d584e10732
der	w11_d584e10735
gr.	w13_d584e10739
Tanen	w1_d584e10744
in	w3_d584e10747
der	w5_d584e10750
Schaufler=gas.,	w7_d584e10753
alt	w9_d584e10756
50.	w11_d584e10759
J.	w13_d584e10763
Dem	w1_d584e10768
Joh.	w3_d584e10771
Mülleutner,	w5_d584e10774
Burgerl.	w7_d584e10777
Buchbind.,	w9_d584e10780
s.	w11_d584e10783
T.	w13_d584e10787
Elisab.,	w1_d584e10793
im	w3_d584e10796
Hufschmidis.	w5_d584e10799
H.	w7_d584e10802
in	w9_d584e10805
der	w11_d584e10808
Riemerste.,	w13_d584e10812
alt	w1_d584e10817
21.	w3_d584e10820
J.	w5_d584e10823
Dem	w1_d584e10828
Joh.	w3_d584e10831
Georg	w5_d584e10834
Holzmann,	w7_d584e10837
gew.	w9_d584e10840
Oeler=sitz,	w11_d584e10843
s.	w13_d584e10847
W.	w15_d584e10850
Elisab.,	w1_d584e10855
in	w3_d584e10858
der	w5_d584e10861
Mehl=grub.	w7_d584e10864
am	w9_d584e10867
neuen	w11_d584e10870
Markt,	w13_d584e10874
alt	w15_d584e10877
78.	w1_d584e10883
J.	w3_d584e10886
</list>
<head id="h2_d584e10893">
Vor	w1_d584e10897
der	w3_d584e10900
Stadt.	w5_d584e10903
</head>
<list id="l4_d584e10906">
Dem	w1_d584e10910
Jos.	w3_d584e10913
Leitzinger,	w5_d584e10916
Haus=inhab.,	w7_d584e10919
s.	w9_d584e10922
W.	w11_d584e10925
Anna	w13_d584e10929
Christina,	w1_d584e10934
in	w3_d584e10937
s.	w5_d584e10940
H.	w7_d584e10943
im	w9_d584e10946
Liechtenth.,	w11_d584e10949
alt	w13_d584e10953
72.	w15_d584e10956
J.	w17_d584e10959
Der	w1_d584e10964
Elijav.	w3_d584e10967
Plöcknerin,	w5_d584e10970
Wittwe,	w7_d584e10973
ihr	w9_d584e10976
T.	w11_d584e10979
Aloysia,	w13_d584e10983
beym	w1_d584e10989
bl.	w3_d584e10992
Schif	w5_d584e10995
in	w7_d584e10998
der	w9_d584e11001
Josephst.,	w11_d584e11004
alt	w13_d584e11008
18.	w15_d584e11011
J.	w17_d584e11014
Dem	w1_d584e11019
Jos.	w3_d584e11022
Graßl,	w5_d584e11025
Lust=gart.,	w7_d584e11028
s.	w9_d584e11031
K.	w11_d584e11034
Franz,	w13_d584e11038
in	w15_d584e11041
s.	w17_d584e11044
H.	w19_d584e11047
untern	w1_d584e11052
Weiß	w3_d584e11055
gärb.,	w5_d584e11058
alt	w7_d584e11061
1.	w9_d584e11064
J.	w11_d584e11067
Andre	w1_d584e11072
Stainitzer,	w3_d584e11075
gew.	w5_d584e11078
Jnstruct.,	w7_d584e11081
beym	w9_d584e11084
Krapf.	w11_d584e11087
auf	w13_d584e11091
der	w1_d584e11097
neuen	w3_d584e11100
Wied.,	w5_d584e11103
alt	w7_d584e11106
68.	w9_d584e11109
J.	w11_d584e11112
Dem	w1_d584e11117
Mich.	w3_d584e11120
Gast,	w5_d584e11123
Taglöhn.,	w7_d584e11126
s.	w9_d584e11129
W.	w11_d584e11132
Sophia,	w13_d584e11136
bey	w15_d584e11139
der	w17_d584e11142
gros.	w1_d584e11147
Preß	w3_d584e11150
auf	w5_d584e11153
der	w7_d584e11156
neuen	w9_d584e11159
Wied.,	w11_d584e11162
alt	w13_d584e11166
50.	w15_d584e11169
J	w17_d584e11172
Dem	w1_d584e11177
Joh.	w3_d584e11180
Hammerschiid,	w5_d584e11183
Taglöhn.,	w7_d584e11186
s.	w9_d584e11189
W.	w11_d584e11192
Elisab.	w13_d584e11196
9	w1_d584e11202
St.	w3_d584e11205
Jos.	w5_d584e11208
bey	w7_d584e11211
Maria=hülf,	w9_d584e11214
alt	w11_d584e11217
55.	w13_d584e11221
J.	w15_d584e11224
De	w1_d584e11229
Jac.	w3_d584e11232
Gartner,	w5_d584e11235
Taglöhn.,	w7_d584e11238
s.	w9_d584e11241
W.	w11_d584e11244
Theres.,	w13_d584e11248
in	w15_d584e11251
s.	w17_d584e11254
H.	w1_d584e11259
zu	w3_d584e11262
Erdberg,	w5_d584e11265
alt	w7_d584e11268
33.	w9_d584e11271
J.	w11_d584e11274
Dem	w1_d584e11279
Georg	w3_d584e11282
Gllmützer,	w5_d584e11285
Taglohn.,	w7_d584e11288
s.	w9_d584e11291
K.	w11_d584e11294
Clara,	w13_d584e11298
im	w15_d584e11301
Zimmermanis.	w1_d584e11307
H.	w3_d584e11310
zu	w5_d584e11313
Erdberg,	w7_d584e11316
alt	w9_d584e11319
3	w11_d584e11322
J.	w13_d584e11326
Phil.	w1_d584e11331
Schreil,	w3_d584e11334
Taglöyn.,	w5_d584e11337
beyn	w7_d584e11340
3.	w9_d584e11343
Huf	w11_d584e11346
eis.	w13_d584e11350
am	w15_d584e11353
Ge	w17_d584e11356
ticiom.,	w1_d584e11361
alt	w3_d584e11364
85.	w5_d584e11367
J.	w7_d584e11370
Dem	w1_d584e11375
Frauz	w3_d584e11378
Mayr,	w5_d584e11381
Schneid.,	w7_d584e11384
s.	w9_d584e11387
K.	w11_d584e11390
Barb.,	w13_d584e11394
bey	w15_d584e11397
der	w17_d584e11400
Bretz.	w1_d584e11406
im	w3_d584e11409
Lerchenf.,	w5_d584e11412
alt	w7_d584e11415
7.	w9_d584e11418
J.	w11_d584e11421
</list>
<head id="h2_d584e11428">
Summa	w1_d584e11432
13.	w3_d584e11435
Pers./darunter	w5_d584e11438
3.	w7_d584e11441
Kind.	w9_d584e11444
</head>
<head id="h4_d584e11460">
Den	w1_d584e11464
1.	w3_d584e11467
Sept.	w5_d584e11470
Jn	w1_d584e11475
der	w3_d584e11478
Stadt.	w5_d584e11481
</head>
<list id="l6_d584e11484">
Hr.	w1_d584e11488
Jos.	w3_d584e11491
Mayr,	w5_d584e11494
jubilirt.	w7_d584e11497
Ober=vat.	w9_d584e11500
im	w11_d584e11503
Burger=spit.	w13_d584e11507
alda,	w1_d584e11512
alt	w3_d584e11515
91.	w5_d584e11518
J.	w7_d584e11521
</list>
<head id="h2_d584e11528">
Vor	w1_d584e11532
der	w3_d584e11535
Stadt.	w5_d584e11538
</head>
<list id="l4_d584e11541">
Dem	w1_d584e11545
Joh.	w3_d584e11548
Willenoba,	w5_d584e11551
K.	w7_d584e11554
K.	w9_d584e11557
Pensionist.,	w11_d584e11560
s.	w13_d584e11564
K.	w15_d584e11567
An	w17_d584e11570
tonia,	w1_d584e11575
beyn	w3_d584e11578
3.	w5_d584e11581
Huf	w7_d584e11584
eis.	w9_d584e11587
an	w11_d584e11590
der	w13_d584e11594
Wien,	w15_d584e11597
5.	w17_d584e11600
v.	w19_d584e11603
J.	w21_d584e11606
Franz	w1_d584e11611
Kopp,	w3_d584e11614
Burgerl.	w5_d584e11617
Gold=arbeit.,	w7_d584e11620
beyn	w9_d584e11623
3.	w11_d584e11626
Brüd.	w13_d584e11630
am	w1_d584e11636
Spitalberg,	w3_d584e11639
alt	w5_d584e11642
73.	w7_d584e11645
J.	w9_d584e11648
Dem	w1_d584e11653
Ant	w3_d584e11656
Klieber,	w5_d584e11659
Bestand	w7_d584e11662
wirt.,	w9_d584e11665
s.	w11_d584e11668
K.	w13_d584e11672
Joh.,	w15_d584e11675
bey	w17_d584e11678
St.	w1_d584e11683
Bened	w3_d584e11686
im	w5_d584e11689
Liechtenth.,	w7_d584e11692
alt	w9_d584e11695
2.	w11_d584e11698
J	w13_d584e11702
Dem	w1_d584e11707
Joh.	w3_d584e11710
Neuner,	w5_d584e11713
Lack,	w7_d584e11716
s.	w9_d584e11719
K.	w11_d584e11722
Jos.,	w13_d584e11726
im	w15_d584e11729
Goldsti	w17_d584e11732
ckeris.	w1_d584e11738
H.	w3_d584e11741
auf	w5_d584e11744
der	w7_d584e11747
Landstr.,	w9_d584e11750
alt	w11_d584e11753
2.	w13_d584e11757
J.	w15_d584e11760
</list>
<head id="h2_d584e11768">
Summa	w1_d584e11772
5.	w3_d584e11775
Pers.,	w5_d584e11778
darunter	w7_d584e11781
3.	w9_d584e11784
Kind.	w11_d584e11787
Den	w1_d584e11792
2.	w3_d584e11795
Sept.	w5_d584e11798
Jn	w1_d584e11803
der	w3_d584e11806
Stadt.	w5_d584e11809
</head>
<list id="l4_d584e11812">
Der	w1_d584e11816
Wol=ehrw.	w3_d584e11819
P.	w5_d584e11822
Eiter.	w7_d584e11825
Sooß,	w9_d584e11828
Ord.	w11_d584e11831
Piar.	w13_d584e11835
Scho	w15_d584e11838
lar,	w1_d584e11843
in	w3_d584e11846
der	w5_d584e11849
Bebaus.	w7_d584e11852
bey	w9_d584e11855
St.	w11_d584e11858
Jvo	w13_d584e11862
in	w15_d584e11865
der	w17_d584e11868
Schuler	w19_d584e11871
stras.,	w1_d584e11876
alt	w3_d584e11879
497	w5_d584e11882
J.	w7_d584e11885
Dem	w1_d584e11891
Thom.	w3_d584e11894
Meninger,	w5_d584e11897
Burgerl.	w7_d584e11900
Schneid.,	w9_d584e11903
s.	w11_d584e11906
W.	w13_d584e11910
Cathar,	w1_d584e11915
im	w3_d584e11918
Brandweineris.	w5_d584e11921
H.	w7_d584e11924
im	w9_d584e11927
Rot=gäs,	w11_d584e11930
alt	w13_d584e11934
59.	w1_d584e11939
J.	w3_d584e11942
</list>
<head id="h2_d584e11949">
Vor	w1_d584e11953
der	w3_d584e11956
Stadt.	w5_d584e11959
</head>
<list id="l4_d584e11962">
Dem	w1_d584e11966
Hrn	w3_d584e11969
Math.	w5_d584e11972
Ueblein,	w7_d584e11975
Musico,	w9_d584e11978
s.	w11_d584e11981
K.	w13_d584e11985
Cathar.,	w15_d584e11988
beym	w1_d584e11993
bl.	w3_d584e11996
Jgel	w5_d584e11999
in	w7_d584e12002
der	w9_d584e12005
Leopoldst.,	w11_d584e12008
alt	w13_d584e12012
2.	w15_d584e12015
J.	w17_d584e12018
Dem	w1_d584e12023
Joh.	w3_d584e12026
Jann,	w5_d584e12029
Fuhrm.,	w7_d584e12032
s.	w9_d584e12035
K.	w11_d584e12038
Andre,	w13_d584e12042
bey	w15_d584e12045
St.	w17_d584e12048
Leop.	w1_d584e12054
zu	w3_d584e12057
Gumpendorf,	w5_d584e12060
alt	w7_d584e12063
1.	w9_d584e12066
J.	w11_d584e12069
Cathar.	w1_d584e12074
Götzin,	w3_d584e12077
arme,	w5_d584e12080
im	w7_d584e12083
Grund=spit.	w9_d584e12086
bey	w11_d584e12089
der	w13_d584e12093
gr.	w15_d584e12096
Saul	w1_d584e12101
im	w3_d584e12104
Liechtenth.,	w5_d584e12107
alt	w7_d584e12110
70.	w9_d584e12113
J.	w11_d584e12116
</list>
<head id="h2_d584e12123">
Summa	w1_d584e12127
5.	w3_d584e12130
Pers.,	w5_d584e12133
darunter	w7_d584e12136
2.	w9_d584e12139
Kind.	w11_d584e12142
</head>
<p id="p4_d584e12145">
Bey	w1_d584e12149
denen	w3_d584e12152
Verlegern	w5_d584e12155
des	w7_d584e12158
Wienerischen	w9_d584e12161
Diarii	w11_d584e12164
ist	w1_d584e12169
zu	w3_d584e12172
haben:	w5_d584e12175
Ehr	w1_d584e12180
und	w3_d584e12183
Sitten=rede,	w5_d584e12186
gegründet	w7_d584e12189
in	w9_d584e12192
der	w11_d584e12195
Lehr	w13_d584e12199
des	w15_d584e12202
Haupt	w1_d584e12208
felsen	w3_d584e12211
der	w5_d584e12214
Kirchen	w7_d584e12217
eines	w9_d584e12220
H.	w11_d584e12223
Apostels	w13_d584e12227
Petri,	w15_d584e12230
am	w1_d584e12235
Fest	w3_d584e12238
deren	w5_d584e12241
HH.	w7_d584e12244
Aposteln	w9_d584e12247
Petri	w11_d584e12250
und	w13_d584e12254
Pauli,	w15_d584e12257
in	w17_d584e12260
der	w1_d584e12265
eben	w3_d584e12268
diesen	w5_d584e12271
heiligen	w7_d584e12274
Apostel=fürsten	w9_d584e12277
geweiht	w11_d584e12280
herrlichen	w1_d584e12285
befreyten	w3_d584e12288
Stift	w5_d584e12291
und	w7_d584e12294
Closter=kirchen	w9_d584e12297
zu	w1_d584e12303
Mölk;	w3_d584e12306
als	w5_d584e12309
drey	w7_d584e12312
Wol=ehrwürdige	w9_d584e12315
50-jährige	w11_d584e12318
Priester,	w1_d584e12323
und	w3_d584e12326
ersagt=löbl.	w5_d584e12329
Stifts	w7_d584e12332
Profelsi	w9_d584e12335
ihr	w11_d584e12338
an	w13_d584e12342
dertes;	w1_d584e12347
dann	w3_d584e12350
ein	w5_d584e12353
neu	w7_d584e12356
geweihter	w9_d584e12359
ihriger	w11_d584e12362
Conpro	w13_d584e12366
feslus	w1_d584e12371
R.	w3_d584e12374
P.	w5_d584e12377
Robertus	w7_d584e12380
Kimmerling	w9_d584e12383
sein	w11_d584e12386
erstes	w13_d584e12390
hei	w15_d584e12393
liges	w1_d584e12399
Meß	w3_d584e12402
opfer	w5_d584e12405
dem	w7_d584e12408
Allerhöchsten	w9_d584e12411
abgestattet,	w11_d584e12414
den	w13_d584e12418
29.	w1_d584e12423
Jnnii	w3_d584e12426
Anno	w5_d584e12429
1761.	w7_d584e12432
vorgetragen	w9_d584e12435
von	w11_d584e12438
dem	w13_d584e12442
(Titl.)	w15_d584e12445
Hrn.	w1_d584e12450
AMANDo,	w3_d584e12453
des	w5_d584e12456
Löbl.	w7_d584e12459
K.	w9_d584e12462
K.	w11_d584e12465
Stifts	w13_d584e12469
Ord.	w15_d584e12472
S.	w17_d584e12475
Be-	w19_d584e12478
nedicti	w1_d584e12483
de	w3_d584e12486
Monre	w5_d584e12489
Serrato	w7_d584e12492
zu	w9_d584e12495
Wien	w11_d584e12498
würdigsten	w13_d584e12502
Abbten	w1_d584e12508
rc.	w3_d584e12511
rc.	w5_d584e12514
und	w7_d584e12517
Jhrer	w9_d584e12520
Kaiserl.	w11_d584e12523
Königl.	w13_d584e12527
Apost.	w15_d584e12530
Majest.	w1_d584e12535
Raht.	w3_d584e12538
Das	w5_d584e12541
Stück	w7_d584e12544
à	w9_d584e12547
14.	w11_d584e12550
kr.	w13_d584e12554
</p>
<p id="p6_d584e12557">
Den	w1_d584e12561
9.	w3_d584e12564
dies	w5_d584e12567
Monats	w7_d584e12570
Septemb.	w9_d584e12573
wird	w11_d584e12576
das	w13_d584e12580
Jo	w15_d584e12583
seph	w1_d584e12588
Wernerische	w3_d584e12591
Haus	w5_d584e12594
auf	w7_d584e12597
der	w9_d584e12600
Wieden	w11_d584e12603
zum	w13_d584e12607
grünen	w1_d584e12612
Baum	w3_d584e12615
bey	w5_d584e12618
dem	w7_d584e12621
Löbl.	w9_d584e12624
Stadt=magistrat	w11_d584e12627
fruh	w1_d584e12633
um	w3_d584e12636
9.	w5_d584e12639
Uhr	w7_d584e12642
dem	w9_d584e12645
Meist	w11_d584e12648
bietenden	w13_d584e12652
verkauffet	w15_d584e12655
werden.	w1_d584e12660
</p>
<p id="p8_d584e12663">
Den	w1_d584e12667
9	w3_d584e12670
Septemb.	w5_d584e12673
dies	w7_d584e12676
Jahrs	w9_d584e12679
werden	w11_d584e12682
auf	w13_d584e12686
Ver	w15_d584e12689
oronung	w1_d584e12694
eines	w3_d584e12697
Löbl.	w5_d584e12700
Landmarschallischen	w7_d584e12703
Gerichts	w9_d584e12706
</p>
<p id="p10_d584e12709">
in	w1_d584e12713
dem	w3_d584e12716
weil.	w5_d584e12719
Bortolottischen	w7_d584e12722
Hof	w9_d584e12725
zu	w11_d584e12728
Kritzenborf,	w13_d584e12732
oberhalb	w1_d584e12737
Closter	w3_d584e12740
Neuburg,	w5_d584e12743
gerechte	w7_d584e12746
dasigen	w9_d584e12749
Ge	w11_d584e12752
bürges	w1_d584e12757
Weine	w3_d584e12760
auf	w5_d584e12763
den	w7_d584e12766
Lager	w9_d584e12769
ohne	w11_d584e12772
Faß,	w13_d584e12776
als:	w15_d584e12779
1745ger,	w1_d584e12785
1747ger,	w3_d584e12788
1748ger,	w5_d584e12791
1750ger,	w7_d584e12794
1752ger,	w9_d584e12797
und	w1_d584e12802
1754ger=Gewächs,	w3_d584e12805
bey	w5_d584e12808
600.	w7_d584e12811
Emer	w9_d584e12814
dem	w11_d584e12817
Meistbietenden	w1_d584e12822
gegen	w3_d584e12825
baare	w5_d584e12828
Bezahlung,	w7_d584e12831
licitando	w9_d584e12834
hindangelassen	w1_d584e12839
werden;	w3_d584e12842
wer	w5_d584e12845
also	w7_d584e12848
hierzu	w9_d584e12851
Belieben	w11_d584e12854
hat,	w1_d584e12860
kan	w3_d584e12863
sich	w5_d584e12866
alda	w7_d584e12869
am	w9_d584e12872
bestimmten	w11_d584e12875
Tag	w13_d584e12879
Vormittag	w15_d584e12882
um	w1_d584e12887
9.	w3_d584e12890
Uhr	w5_d584e12893
einfinden.	w7_d584e12896
</p>
<p id="p12_d584e12900">
Wir	w1_d584e12904
N.	w3_d584e12907
Rector	w5_d584e12910
und	w7_d584e12913
Consistorium	w9_d584e12916
der	w11_d584e12919
uralt	w13_d584e12923
und	w15_d584e12926
weit=berühmten	w1_d584e12931
Universität	w3_d584e12934
alhier,	w5_d584e12937
geben	w7_d584e12940
hiemit	w9_d584e12943
jedermänniglich	w1_d584e12948
zu	w3_d584e12951
vernehmen,	w5_d584e12954
welchergestalten	w7_d584e12957
wir	w1_d584e12963
über	w3_d584e12966
das	w5_d584e12969
unterm	w7_d584e12972
3.	w9_d584e12975
dies	w11_d584e12978
Monats	w13_d584e12982
erfolgte	w15_d584e12985
Ab	w17_d584e12988
sterben	w1_d584e12993
Hrn.	w3_d584e12996
Andre	w5_d584e12999
Gottfried	w7_d584e13002
Platischa	w9_d584e13005
J.	w11_d584e13008
U.	w13_d584e13012
D.	w15_d584e13015
Hof	w1_d584e13020
und	w3_d584e13023
Gerichts=advocatens	w5_d584e13026
seel.	w7_d584e13029
vorpflegender	w9_d584e13032
dessen	w1_d584e13037
Verlassenschafts=abhandlung	w3_d584e13040
und	w5_d584e13043
Richtig	w7_d584e13046
steulung	w1_d584e13052
des	w3_d584e13055
eigentlichen	w5_d584e13058
Verlassenschafts	w7_d584e13061
stands,	w9_d584e13064
sohin	w1_d584e13069
zu	w3_d584e13072
vorläuffiger	w5_d584e13075
Ausfindigmachung	w7_d584e13078
deren	w9_d584e13081
etwann	w1_d584e13086
vorhandenen	w3_d584e13089
Passivorum,	w5_d584e13092
alle	w7_d584e13095
und	w9_d584e13098
jede,	w11_d584e13101
welche	w1_d584e13106
an	w3_d584e13109
bemeldete	w5_d584e13112
Verlassenschaft	w7_d584e13115
titulo	w9_d584e13118
credi-	w11_d584e13121
ti,	w1_d584e13127
aut	w3_d584e13130
allo	w5_d584e13133
quocunque	w7_d584e13136
etwas	w9_d584e13139
zu	w11_d584e13142
prätendiren	w13_d584e13146
ver	w15_d584e13149
meinen,	w1_d584e13154
mittels	w3_d584e13157
Affigirung	w5_d584e13160
deren	w7_d584e13163
in	w9_d584e13166
solchen	w11_d584e13169
Fäl	w13_d584e13173
len	w1_d584e13178
gewöhnlichen	w3_d584e13181
Convocations	w5_d584e13184
edicten	w7_d584e13187
gerichtl.	w9_d584e13190
fürzuladen,	w1_d584e13195
dann	w3_d584e13198
derowillen	w5_d584e13201
den	w7_d584e13204
17.	w9_d584e13207
nächst	w11_d584e13210
künfti	w13_d584e13214
gen	w1_d584e13220
Monats	w3_d584e13223
Septemb.	w5_d584e13226
dies	w7_d584e13229
Jahrs	w9_d584e13232
zur	w11_d584e13235
Anmel	w13_d584e13239
dungs	w1_d584e13244
tagsatzung	w3_d584e13247
bestimmet,	w5_d584e13250
untereistens	w7_d584e13253
auch	w9_d584e13256
auf	w11_d584e13259
Anlangen	w1_d584e13264
deren	w3_d584e13267
in	w5_d584e13270
dem	w7_d584e13273
diesfalls	w9_d584e13276
errichteten	w11_d584e13279
Te	w13_d584e13283
stament	w1_d584e13288
eingesetzten	w3_d584e13291
Hrn.	w5_d584e13294
Universal	w7_d584e13297
erben,	w9_d584e13300
die	w11_d584e13303
Ausfertigung	w1_d584e13309
sothaner	w3_d584e13312
Convocations=edicten,	w5_d584e13315
und	w7_d584e13318
zwar	w1_d584e13323
sub	w3_d584e13326
clausula	w5_d584e13329
præclußi	w7_d584e13332
&	w9_d584e13335
perpetui	w11_d584e13338
silentii	w13_d584e13342
verordnet:	w1_d584e13347
</p>
<p id="p14_d584e13350">
Solchemnach	w1_d584e13354
wird	w3_d584e13357
anmit	w5_d584e13360
allen	w7_d584e13363
und	w9_d584e13366
jeden,	w11_d584e13369
die	w13_d584e13373
an	w1_d584e13378
des	w3_d584e13381
vorbemeldeten	w5_d584e13384
weil.	w7_d584e13387
Hrn.	w9_d584e13390
Andre	w11_d584e13393
Gottfrid	w13_d584e13397
Platischa,	w1_d584e13402
J.	w3_d584e13405
U.	w5_d584e13408
D.	w7_d584e13411
Hof	w9_d584e13414
und	w11_d584e13417
Gerichts=advocatens	w13_d584e13421
seel.	w1_d584e13427
Verlassenschaft	w3_d584e13430
quocunque	w5_d584e13433
demum	w7_d584e13436
titulo	w9_d584e13439
ei	w11_d584e13442
nige	w1_d584e13447
Sprüch	w3_d584e13450
und	w5_d584e13453
Anforderungen	w7_d584e13456
zu	w9_d584e13459
stellen	w11_d584e13462
ver	w13_d584e13466
meinen	w1_d584e13471
erinneret,	w3_d584e13474
daß	w5_d584e13477
selbe	w7_d584e13480
pro	w9_d584e13483
1mo,	w11_d584e13486
2do	w13_d584e13490
&	w15_d584e13493
3tio	w17_d584e13496
Termino	w1_d584e13501
den	w3_d584e13504
17.	w5_d584e13507
Septemb.	w7_d584e13510
dies	w9_d584e13513
Jahrs	w11_d584e13516
Nachmit	w13_d584e13520
tag	w1_d584e13526
um	w3_d584e13529
2.	w5_d584e13532
Uhr	w7_d584e13535
sub	w9_d584e13538
clausula	w11_d584e13541
præclusi	w13_d584e13545
&	w15_d584e13548
perpetui	w17_d584e13551
silentii	w1_d584e13556
in	w3_d584e13559
der	w5_d584e13562
Universitäts=canzley	w7_d584e13565
erscheinen,	w9_d584e13568
al	w11_d584e13571
da	w1_d584e13576
ihre	w3_d584e13579
Forderungen	w5_d584e13582
anmelden,	w7_d584e13585
auch	w9_d584e13588
solche	w11_d584e13591
unter	w13_d584e13595
einstens	w1_d584e13600
alsogewiß	w3_d584e13603
zu	w5_d584e13606
liquidiren,	w7_d584e13609
wie	w9_d584e13612
im	w11_d584e13615
widrigen	w13_d584e13619
und	w1_d584e13625
nach	w3_d584e13628
Verfliessung	w5_d584e13631
dieses	w7_d584e13634
Termins	w9_d584e13637
dieselbe	w11_d584e13640
nicht	w1_d584e13645
mehr	w3_d584e13648
gehöret,	w5_d584e13651
sondern	w7_d584e13654
ihnen	w9_d584e13657
das	w11_d584e13660
ewige	w13_d584e13664
Stillschweigen	w1_d584e13669
auferleget	w3_d584e13672
seyn,	w5_d584e13675
sohin	w7_d584e13678
denen	w9_d584e13681
insti	w11_d584e13684
tuirten	w1_d584e13689
Universal=erben	w3_d584e13692
die	w5_d584e13695
Verlassenschaft	w7_d584e13698
einge	w9_d584e13701
antwortet	w1_d584e13707
werden	w3_d584e13710
solle.	w5_d584e13713
Wornach	w7_d584e13716
sich	w9_d584e13719
dann	w11_d584e13722
ein	w13_d584e13726
jeder	w1_d584e13731
zu	w3_d584e13734
richten,	w5_d584e13737
und	w7_d584e13740
sein	w9_d584e13743
Recht	w11_d584e13746
zu	w13_d584e13750
besorgen	w15_d584e13753
wis	w17_d584e13756
sen	w1_d584e13761
wird.	w3_d584e13764
</p>
<list id="l16_d584e13767">
Von	w1_d584e13771
der	w3_d584e13774
Römisch=K.	w5_d584e13777
K.	w7_d584e13780
Majest.	w9_d584e13783
N.	w11_d584e13786
Oe.	w13_d584e13790
Re	w15_d584e13793
gierung	w1_d584e13798
wegen,	w3_d584e13801
allen	w5_d584e13804
und	w7_d584e13807
jeden,	w9_d584e13810
welche	w11_d584e13813
von	w13_d584e13817
dem	w15_d584e13820
Juden	w1_d584e13825
Alexander	w3_d584e13828
Oesterreicher,	w5_d584e13831
einige	w7_d584e13834
auf	w9_d584e13837
seine	w11_d584e13840
vorige	w1_d584e13846
Lieferung	w3_d584e13849
ausgestellte	w5_d584e13852
Charta=bianquen	w7_d584e13855
in	w1_d584e13860
Handen	w3_d584e13863
haben,	w5_d584e13866
anzuzeigen:	w7_d584e13869
Demnach	w1_d584e13874
Jhre	w3_d584e13877
Kaiserl.	w5_d584e13880
Königl.	w7_d584e13883
Apost.	w9_d584e13886
Majest.	w11_d584e13889
auf	w1_d584e13894
beschehenes	w3_d584e13897
Anlangen	w5_d584e13900
der	w7_d584e13903
Königl.	w9_d584e13906
Hunga	w11_d584e13909
rischen	w1_d584e13915
</list>
<p id="p20_d584e13921">
rischen	w1_d584e13925
Hof=canzley	w3_d584e13928
zu	w5_d584e13931
Terminirung	w7_d584e13934
des	w9_d584e13937
Jud	w11_d584e13940
Alexander	w1_d584e13945
Oesterreicherischen	w3_d584e13948
Cridä=sachen,	w5_d584e13951
auch	w7_d584e13954
zu	w1_d584e13959
Abwendung	w3_d584e13962
alles	w5_d584e13965
Betrugs,	w7_d584e13968
und	w9_d584e13971
dem	w11_d584e13974
Juden	w13_d584e13978
Alexander	w1_d584e13984
Oesterreicher	w3_d584e13987
künftighin	w5_d584e13990
zuwachsen	w7_d584e13993
kön	w9_d584e13996
nenden	w1_d584e14001
Schadens	w3_d584e14004
allergnädigst	w5_d584e14007
anbefohlen,	w7_d584e14010
daß	w9_d584e14013
alle	w1_d584e14018
und	w3_d584e14021
jede,	w5_d584e14024
bey	w7_d584e14027
welchen	w9_d584e14030
