<doc id="edoc_wd_1772-05-16" attrs="word" year="1772" month="05" day="16" corpus="1">
<head id="hl1">
*Urbania	w28
zu	w3607
lassen	w3608
bereits	w3609
die	w3610
Vorse=hung	w3611
<g/>
=
getroffen	w3613
worden	w3614
<g/>
,
daß	w3616
demnach	w3617
bey	w3618
der=ley	w3619
<g/>
=
vorkommenden	w3621
bemarkten	w3622
Stücken	w3623
<g/>
,
solche	w3625
nicht	w3626
in	w3627
der	w3628
Fabrick	w3629
bemahlen	w3630
worden	w3631
zu	w3632
seyn	w3633
jedermann	w3634
erkennen	w3635
<g/>
,
und	w3637
sich	w3638
vor	w3639
Schaden	w3640
<g/>
,
Betrug	w3642
und	w3643
Uebervortheilung	w3644
künftighin	w3645
zu	w3646
hütten	w3647
wissen	w3648
möge	w3649
<g/>
.
Wien	w3651
<g/>
,
den	w3653
1	w3654
<g/>
.
May	w3656
1772	w3657
<g/>
.
</p>
<head id="hl14">
Verzeichniß	w3659
der	w3660
Verstorbenen	w3661
zu	w3662
Wien	w3663
in	w3664
und	w3665
vor	w3666
der	w3667
Stadt	w3668
<g/>
.
</head>
<head id="hl15">
Den	w3670
9	w3671
<g/>
.
May	w3673
<g/>
.
Jn	w3675
der	w3676
Stadt	w3677
<g/>
.
</head>
<list id="li6">
Der	w3679
wohledlgeb	w3680
<g/>
.
Hr	w3682
<g/>
.
Jak	w3684
<g/>
.
Ba	w3686
<g/>
.
v	w3688
<g/>
.
Caehls	w3690
<g/>
,
k	w3692
<g/>
.
k	w3694
<g/>
.
Jn=genieur	w3696
<g/>
=
<g/>
,
Obristwachtm	w3699
<g/>
.
vom	w3701
Sapieurskorps	w3702
<g/>
,
u	w3704
<g/>
.
Ritter	w3706
des	w3707
milit	w3708
<g/>
.
Maria	w3710
Ther	w3711
Ord	w3712
<g/>
.
im	w3714
Brean	w3715
<g/>
.
H	w3717
<g/>
.
am	w3719
Kärtnerth	w3720
<g/>
.
alt	w3722
40	w3723
<g/>
.
J	w3725
<g/>
.
Hr	w3727
<g/>
.
Jos	w3729
<g/>
.
Gebel	w3731
<g/>
,
k	w3733
<g/>
.
k	w3735
<g/>
.
Polizeybeamt	w3737
<g/>
.
im	w3739
Fischerku=pferschmid	w3740
<g/>
=
<g/>
.
H	w3743
<g/>
.
im	w3745
tief	w3746
<g/>
.
Grab	w3748
<g/>
.
alt	w3750
77	w3751
<g/>
.
J	w3753
<g/>
.
Dem	w3755
Hub	w3756
<g/>
.
Coria	w3758
<g/>
,
Hausmeist	w3760
<g/>
.
s	w3762
<g/>
.
K	w3764
<g/>
.
Lambert	w3766
<g/>
,
zur	w3768
Meerspinne	w3769
in	w3770
der	w3771
Schulerstr	w3772
<g/>
.
alt	w3774
10	w3775
<g/>
.
J	w3777
<g/>
.
</list>
<head id="hl16">
Vor	w3779
der	w3780
Stadt	w3781
<g/>
.
</head>
<list id="li7">
Der	w3783
wohledlgeb	w3784
<g/>
.
Hr	w3786
<g/>
.
Joh	w3788
<g/>
.
Wilh	w3790
<g/>
.
Bar	w3792
<g/>
.
v	w3794
<g/>
.
Artner	w3796
<g/>
,
gew	w3798
<g/>
.
kön	w3800
<g/>
.
Sard	w3802
<g/>
.
Obrist	w3804
<g/>
.
zur	w3806
gold	w3807
<g/>
.
Eul	w3809
zu	w3810
St	w3811
<g/>
.
Ul=rich	w3813
<g/>
=
<g/>
,
alt	w3816
68	w3817
<g/>
.
J	w3819
<g/>
.
</list>
<list id="li8">
Elis	w3821
<g/>
.
Dolberin	w3823
<g/>
,
Kammerdien	w3825
<g/>
.
Wit	w3827
<g/>
.
b	w3829
<g/>
.
3	w3831
<g/>
.
Kronen	w3833
zu	w3834
Mariah	w3835
<g/>
.
alt	w3837
68	w3838
<g/>
.
J	w3840
<g/>
.
Dem	w3842
Math	w3843
<g/>
.
Millner	w3845
<g/>
,
burgl	w3847
<g/>
.
Zeugschm	w3849
<g/>
.
s	w3851
<g/>
.
W	w3853
<g/>
.
Reb	w3855
<g/>
.
b	w3857
<g/>
.
goldn	w3859
<g/>
.
Ritt	w3861
<g/>
.
zu	w3863
Mariah	w3864
<g/>
.
alt	w3866
65	w3867
<g/>
.
J	w3869
<g/>
.
Joh	w3871
<g/>
.
Anthofer	w3873
<g/>
,
Maurergs	w3875
<g/>
.
b	w3877
<g/>
.
goldn	w3879
<g/>
.
Pfauen	w3881
am	w3882
Oberneust	w3883
<g/>
.
alt	w3885
65	w3886
<g/>
.
J	w3888
<g/>
.
Jos	w3890
<g/>
.
Gruber	w3892
<g/>
,
Armer	w3894
<g/>
,
zur	w3896
Meerfräule	w3897
im	w3898
Lichten=thal	w3899
<g/>
=
<g/>
,
alt	w3902
66	w3903
<g/>
.
JJM	w3905
<g/>
=
M	w3907
Anna	w3908
Breidenserin	w3909
<g/>
,
arm	w3911
led	w3912
<g/>
.
M	w3914
<g/>
.
b	w3916
<g/>
.
3	w3918
<g/>
.
Pome=ranzen	w3920
<g/>
=
am	w3922
Neust	w3923
<g/>
.
alt	w3925
72	w3926
<g/>
.
J	w3928
<g/>
.
Franz	w3930
Diem	w3931
<g/>
,
Maurergs	w3933
<g/>
.
in	w3935
sein	w3936
<g/>
.
H	w3938
<g/>
.
Nro	w3940
<g/>
.
24	w3942
<g/>
.
am	w3944
Hundsth	w3945
<g/>
.
alt	w3947
57	w3948
<g/>
.
J	w3950
<g/>
.
Thom	w3952
Bierhandl	w3953
<g/>
,
Kutsch	w3955
<g/>
.
zur	w3957
span	w3958
<g/>
.
Kron	w3960
auf	w3961
der	w3962
neuen	w3963
Wieden	w3964
<g/>
,
alt	w3966
58	w3967
<g/>
.
J	w3969
<g/>
.
M	w3971
<g/>
.
Anna	w3973
Ecksteinin	w3974
<g/>
,
schutzv	w3976
<g/>
.
Schneid	w3978
<g/>
.
Wit	w3980
<g/>
.
welche	w3982
aus	w3983
dem	w3984
Bethe	w3985
gefall	w3986
<g/>
.
und	w3988
hierauf	w3989
gestorb	w3990
<g/>
.
ist	w3992
v	w3993
<g/>
.
k	w3995
<g/>
.
k	w3997
Stadt	w3998
<g/>
=
u	w4000
<g/>
.
<g/>
.
am	w4003
Schlagfl	w4004
<g/>
.
b	w4006
<g/>
.
12	w4008
<g/>
.
Apost	w4010
<g/>
.
in	w4012
der	w4013
Josephst	w4014
<g/>
.
beschauet	w4016
word	w4017
<g/>
.
alt	w4019
76	w4020
<g/>
.
J	w4022
<g/>
.
Elis	w4024
<g/>
.
Mitzin	w4026
<g/>
,
Musik	w4028
<g/>
.
Wit	w4030
<g/>
.
b	w4032
<g/>
.
grün	w4034
Jäg	w4035
<g/>
.
am	w4037
Ober=neust	w4038
<g/>
=
<g/>
.
alt	w4041
61	w4042
<g/>
.
J	w4044
<g/>
.
Anna	w4046
M	w4047
<g/>
.
Obritzhauserin	w4049
<g/>
,
Tagl	w4051
<g/>
.
Wit	w4053
<g/>
.
im	w4055
Zauner	w4056
<g/>
.
H	w4058
<g/>
.
zu	w4060
St	w4061
<g/>
.
Ulr	w4063
<g/>
.
alt	w4065
65	w4066
<g/>
.
J	w4068
<g/>
.
Dem	w4070
N	w4071
<g/>
.
Scharinger	w4073
<g/>
,
Laq	w4075
<g/>
.
s	w4077
<g/>
.
K	w4079
<g/>
.
Ther	w4081
<g/>
.
alt	w4083
10	w4084
<g/>
.
J	w4086
<g/>
.
b	w4088
<g/>
.
Elisabethinn	w4090
<g/>
.
Andre	w4092
Hörbinger	w4093
<g/>
,
Tagl	w4095
<g/>
.
alt	w4097
39	w4098
<g/>
.
J	w4100
<g/>
.
im	w4102
H	w4103
<g/>
.
Dreyf	w4105
<g/>
.
Spit	w4107
in	w4108
der	w4109
Währingerg	w4110
<g/>
.
Georg	w4112
Schmid	w4113
<g/>
,
Gem	w4115
<g/>
.
im	w4117
Mil	w4118
<g/>
.
Jnvalidh	w4120
<g/>
.
alt	w4122
61	w4123
<g/>
.
J	w4125
<g/>
.
Elis	w4127
<g/>
.
Zechin	w4129
<g/>
,
Wit	w4131
<g/>
.
alt	w4133
59	w4134
<g/>
.
J	w4136
<g/>
.
im	w4138
gr	w4139
<g/>
.
Armenh	w4141
<g/>
.
Anna	w4143
M	w4144
<g/>
.
Birgerin	w4146
<g/>
,
Wit	w4148
<g/>
.
alt	w4150
77	w4151
<g/>
.
J	w4153
<g/>
.
im	w4155
Versorgh	w4156
<g/>
.
am	w4158
Alsterb	w4159
<g/>
.
Wenzel	w4161
Mareck	w4162
<g/>
,
gem	w4164
<g/>
.
Grenad	w4166
<g/>
.
alt	w4168
35	w4169
<g/>
.
J	w4171
<g/>
.
Jos	w4173
<g/>
.
Liehardt	w4175
<g/>
,
gem	w4177
<g/>
.
Grenad	w4179
alt	w4180
32	w4181
<g/>
.
J	w4183
<g/>
.
beede	w4185
im	w4186
Mil	w4187
<g/>
.
Krankenh	w4189
<g/>
.
zu	w4191
Gumpend	w4192
<g/>
.
Jak	w4194
<g/>
.
Schuffeck	w4196
<g/>
,
ohne	w4198
Condit	w4199
<g/>
.
alt	w4201
17	w4202
<g/>
.
J	w4204
<g/>
.
Regina	w4206
Ederin	w4207
<g/>
,
Musik	w4209
<g/>
.
Wit	w4211
<g/>
.
alt	w4213
66	w4214
<g/>
.
J	w4216
<g/>
.
Ant	w4218
<g/>
.
Schicker	w4220
<g/>
,
Tischler	w4222
<g/>
,
alt	w4224
37	w4225
<g/>
.
J	w4227
<g/>
.
Joh	w4229
<g/>
.
Wandl	w4231
<g/>
,
Kutsch	w4233
<g/>
.
alt	w4235
32	w4236
<g/>
.
J	w4238
<g/>
.
alle	w4240
4	w4241
<g/>
.
im	w4243
Cont	w4244
<g/>
.
Barb	w4246
<g/>
.
Zierenbergerin	w4248
<g/>
,
vac	w4250
<g/>
.
Dienstm	w4252
<g/>
.
alt	w4254
23	w4255
<g/>
.
J	w4257
<g/>
.
Magd	w4259
<g/>
.
Stibingerin	w4261
<g/>
,
led	w4263
<g/>
.
M	w4265
<g/>
.
alt	w4267
59	w4268
<g/>
.
J	w4270
<g/>
.
Jos	w4272
<g/>
.
Hölein	w4274
<g/>
,
Backenj	w4276
<g/>
.
at	w4278
30	w4279
<g/>
.
J	w4281
<g/>
.
Cath	w4283
<g/>
.
Riezingerin	w4285
<g/>
,
Gfangenwart	w4287
<g/>
.
alt	w4289
49	w4290
<g/>
.
J	w4292
<g/>
.
An	w4294
<g/>
.
Stötrin	w4296
<g/>
,
verh	w4298
<g/>
.
Blattenschlag	w4300
<g/>
.
alt	w4302
56	w4303
<g/>
.
J	w4305
<g/>
.
Jos	w4307
<g/>
.
Koch	w4309
<g/>
,
Giesser	w4311
<g/>
,
alt	w4313
60	w4314
<g/>
.
J	w4316
<g/>
.
alle	w4318
6	w4319
<g/>
.
im	w4321
Bäckenh	w4322
<g/>
.
Elis	w4324
<g/>
.
Königin	w4326
<g/>
,
led	w4328
<g/>
.
M	w4330
<g/>
.
alt	w4332
28	w4333
<g/>
.
J	w4335
<g/>
.
Leonh	w4337
<g/>
.
Neubauer	w4339
<g/>
,
Tagl	w4341
<g/>
.
alt	w4343
60	w4344
<g/>
.
J	w4346
<g/>
.
Paul	w4348
Wagorka	w4349
<g/>
,
reis	w4351
<g/>
.
Tagl	w4353
<g/>
.
alt	w4355
30	w4356
<g/>
.
J	w4358
<g/>
.
alle	w4360
3	w4361
<g/>
.
im	w4363
Strudlhof	w4364
</list>
<p id="p35">
Summa	w4365
34	w4366
<g/>
.
Person	w4368
<g/>
.
darunter	w4370
2	w4371
<g/>
.
Kind	w4373
<g/>
.
</p>
<head id="hl17">
Den	w4375
10	w4376
<g/>
.
May	w4378
<g/>
.
Jn	w4380
der	w4381
Stadt	w4382
<g/>
.
</head>
<list id="li9">
Der	w4384
wohledlgeb	w4385
<g/>
.
Hr	w4387
Franz	w4388
Leop	w4389
<g/>
.
Niller	w4391
<g/>
,
k	w4393
k	w4394
<g/>
.
Rath	w4396
<g/>
,
n	w4398
<g/>
.
öst	w4400
<g/>
.
Regierungssekret	w4402
<g/>
.
und	w4404
Polizeyoberaufseh	w4405
<g/>
.
im	w4407
k	w4408
<g/>
.
Wagner	w4410
H	w4411
im	w4412
Hutsteppg	w4413
<g/>
.
alt	w4415
52	w4416
<g/>
.
J	w4418
<g/>
.
Fr	w4420
<g/>
.
Ther	w4422
<g/>
.
Götzin	w4424
<g/>
,
Kirchenmeist	w4426
<g/>
.
v	w4428
<g/>
.
St	w4430
<g/>
.
Steph	w4432
<g/>
.
und	w4434
des	w4435
auß	w4436
<g/>
.
Raths	w4438
Wit	w4439
im	w4440
Pfadler	w4441
<g/>
.
H	w4443
<g/>
.
im	w4445
Jako=bergässel	w4446
<g/>
=
<g/>
,
alt	w4449
72	w4450
<g/>
.
J	w4452
<g/>
.
Dem	w4454
Joh	w4455
<g/>
.
Mayer	w4457
<g/>
,
burgl	w4459
<g/>
.
Bierw	w4461
<g/>
.
s	w4463
<g/>
.
K	w4465
<g/>
.
M	w4467
<g/>
.
Anna	w4469
<g/>
,
im	w4471
Gerold	w4472
<g/>
.
H	w4474
<g/>
.
am	w4476
Salzgr	w4477
<g/>
.
alt	w4479
6	w4480
<g/>
.
J	w4482
<g/>
.
</list>
<head id="hl18">
Vor	w4484
der	w4485
Stadt	w4486
<g/>
.
</head>
<list id="li10">
Andre	w4488
Haring	w4489
<g/>
,
burgl	w4491
<g/>
.
Wirth	w4493
<g/>
,
b	w4495
<g/>
.
6	w4497
<g/>
.
steinern	w4499
Krüg	w4500
<g/>
.
in	w4502
der	w4503
Alsterg	w4504
<g/>
.
alt	w4506
40	w4507
<g/>
.
J	w4509
<g/>
.
M	w4511
<g/>
.
Anna	w4513
Casparin	w4514
<g/>
,
Schneid	w4516
<g/>
.
Wit	w4518
<g/>
.
b	w4520
<g/>
.
gold	w4522
<g/>
.
Schlöss	w4524
<g/>
.
in	w4526
der	w4527
hint	w4528
<g/>
.
Alsterg	w4530
<g/>
.
alt	w4532
58	w4533
<g/>
.
J	w4535
<g/>
.
Dem	w4537
Leop	w4538
<g/>
.
Schuster	w4540
<g/>
,
Tagl	w4542
s	w4543
<g/>
.
W	w4545
<g/>
.
Ther	w4547
<g/>
.
b	w4549
<g/>
.
grün	w4551
Thor	w4552
zu	w4553
Mätzlst	w4554
<g/>
.
alt	w4556
30	w4557
<g/>
.
J	w4559
<g/>
.
Leop	w4561
<g/>
.
N	w4563
<g/>
.
Tagl	w4565
<g/>
.
im	w4567
Glaser	w4568
<g/>
.
H	w4570
<g/>
.
zu	w4572
Nicklst	w4573
alt	w4574
<g/>
=
J	w4576
<g/>
.
Der	w4578
Anna	w4579
Seiringerin	w4580
<g/>
,
Tagl	w4582
<g/>
.
Wit	w4584
<g/>
.
ihr	w4586
T	w4587
<g/>
.
Rosal	w4589
<g/>
.
b	w4591
<g/>
.
Elias	w4593
zu	w4594
Nicklst	w4595
<g/>
.
alt	w4597
14	w4598
<g/>
.
J	w4600
<g/>
.
Thom	w4602
<g/>
.
Bugl	w4604
<g/>
,
Hausinhab	w4606
<g/>
.
b	w4608
<g/>
.
grün	w4610
Baum	w4611
am	w4612
Ober=neustift	w4613
<g/>
=
<g/>
,
alt	w4616
78	w4617
<g/>
.
J	w4619
<g/>
.
Jos	w4621
<g/>
.
Hirschfold	w4623
<g/>
,
Schneidergs	w4625
<g/>
.
alt	w4627
22	w4628
J	w4629
<g/>
.
Math	w4631
<g/>
.
Kirz	w4633
<g/>
,
Stud	w4635
<g/>
.
alt	w4637
19	w4638
<g/>
.
J	w4640
<g/>
.
beede	w4642
b	w4643
<g/>
.
Barmh	w4645
<g/>
.
Cath	w4647
<g/>
.
Burgstallerin	w4649
<g/>
,
vac	w4651
<g/>
.
Dienstm	w4653
<g/>
.
alt	w4655
24	w4656
<g/>
.
J	w4658
<g/>
.
im	w4660
H	w4661
<g/>
.
Dreyf	w4663
<g/>
.
Spit	w4665
<g/>
.
in	w4667
der	w4668
Währingerg	w4669
<g/>
.
Franz	w4671
Gitlberger	w4672
<g/>
,
Tagl	w4674
<g/>
.
alt	w4676
42	w4677
<g/>
.
J	w4679
<g/>
.
im	w4681
Bäckenh	w4682
<g/>
.
Jos	w4684
<g/>
.
Rutengruber	w4686
<g/>
,
Bäckenj	w4688
<g/>
.
alt	w4690
19	w4691
<g/>
.
J	w4693
<g/>
.
im	w4695
spanisch	w4696
<g/>
.
Spit	w4698
Mil	w4699
<g/>
.
Zimm	w4701
<g/>
.
Magd	w4703
<g/>
.
Gürtlerin	w4705
<g/>
,
verh	w4707
<g/>
.
Postkn	w4709
<g/>
.
alt	w4711
32	w4712
<g/>
.
J	w4714
<g/>
.
Anna	w4716
M	w4717
<g/>
.
Girdingerin	w4719
<g/>
,
Sold	w4721
<g/>
.
Wit	w4723
<g/>
.
alt	w4725
52	w4726
<g/>
.
J	w4728
<g/>
.
bee=de	w4730
<g/>
=
im	w4732
Strudlh	w4733
<g/>
.
Mich	w4735
<g/>
.
Buschmann	w4737
<g/>
,
Weber	w4739
<g/>
,
welcher	w4741
niedergeführet	w4742
und	w4743
in	w4744
das	w4745
Bäckenh	w4746
<g/>
.
überbracht	w4748
<g/>
.
alda	w4750
gestorben	w4751
und	w4752
v	w4753
<g/>
.
k	w4755
<g/>
.
k	w4757
<g/>
.
Stadt	w4759
<g/>
=
Landger	w4761
<g/>
.
an	w4763
Schlagfl	w4764
<g/>
,
besch	w4766
<g/>
.
word	w4768
<g/>
.
alt	w4770
77	w4771
<g/>
.
J	w4773
<g/>
.
Jos	w4775
<g/>
.
Kayser	w4777
<g/>
,
Schuhkn	w4779
<g/>
.
welcher	w4781
auf	w4782
eine	w4783
Schuhale	w4784
gefallen	w4785
und	w4786
sich	w4787
verwundet	w4788
<g/>
,
ist	w4790
in	w4791
das	w4792
Bäckenh	w4793
<g/>
.
überbracht	w4795
<g/>
,
und	w4797
gestorb	w4798
<g/>
.
ist	w4800
v	w4801
<g/>
.
k	w4803
<g/>
.
k	w4805
<g/>
.
Stadt	w4807
<g/>
=
und	w4809
Landger	w4810
<g/>
.
an	w4812
Brand	w4813
besch	w4814
<g/>
.
word	w4816
<g/>
.
alt	w4818
22	w4819
<g/>
.
J	w4821
<g/>
.
Elis	w4823
<g/>
.
Schmalzlin	w4825
<g/>
,
verh	w4827
<g/>
.
alt	w4829
41	w4830
<g/>
.
J	w4832
<g/>
.
in	w4834
St	w4835
<g/>
.
Marx	w4837
<g/>
.
</list>
<p id="p36">
Summa	w4839
19	w4840
<g/>
.
Person	w4842
<g/>
.
darunter	w4844
1	w4845
<g/>
.
Kind	w4847
</p>
<head id="hl19">
Den	w4848
11	w4849
<g/>
.
May	w4851
<g/>
.
Jn	w4853
der	w4854
Stadt	w4855
<g/>
.
</head>
<list id="li11">
Fr	w4857
<g/>
.
Sus	w4859
<g/>
.
Seiboldin	w4861
<g/>
,
k	w4863
<g/>
.
k	w4865
Kammermahl	w4866
<g/>
.
Wit	w4868
<g/>
.
im	w4870
grossen	w4871
Dorothehof	w4872
<g/>
,
alt	w4874
69	w4875
<g/>
.
J	w4877
<g/>
.
Dem	w4879
Hrn	w4880
<g/>
.
Math	w4882
<g/>
.
Reinisch	w4884
<g/>
,
Kartenaufschlagsein=nehm	w4886
<g/>
=
<g/>
.
s	w4889
<g/>
.
Tö	w4891
<g/>
.
Ther	w4893
<g/>
.
im	w4895
Dokt	w4896
<g/>
.
Deimisch	w4898
<g/>
.
H	w4900
<g/>
.
im	w4902
Judeng	w4903
<g/>
.
alt	w4905
6	w4906
<g/>
.
J	w4908
<g/>
.
Dem	w4910
Joh	w4911
<g/>
.
Frankenberger	w4913
<g/>
,
burgl	w4915
<g/>
.
Schneidm	w4917
<g/>
.
s	w4919
<g/>
.
K	w4921
<g/>
.
Heinr	w4923
<g/>
.
im	w4925
gr	w4926
<g/>
.
Elsgrübel	w4928
am	w4929
Pet	w4930
<g/>
.
alt	w4932
4	w4933
<g/>
.
J	w4935
<g/>
.
Anna	w4937
M	w4938
<g/>
.
Königin	w4940
<g/>
,
burgl	w4942
<g/>
.
Anstreich	w4944
<g/>
.
Wit	w4946
<g/>
.
b	w4948
<g/>
.
roth	w4950
<g/>
.
Säbel	w4952
im	w4953
Färberg	w4954
<g/>
.
alt	w4956
79	w4957
<g/>
.
J	w4959
<g/>
.
Dem	w4961
Valent	w4962
<g/>
.
Klein	w4964
<g/>
,
gem	w4966
<g/>
.
Stadt	w4968
Wien	w4969
Pflaster=mauthner	w4970
<g/>
=
<g/>
,
s	w4973
<g/>
.
W	w4975
<g/>
.
Anna	w4977
M	w4978
<g/>
.
im	w4980
Zinngiess	w4981
<g/>
.
H	w4983
<g/>
.
in	w4985
Hutstepperg	w4986
alt	w4987
38	w4988
<g/>
.
J	w4990
<g/>
.
</list>
<head id="hl20">
Vor	w4992
der	w4993
Stadt	w4994
<g/>
.
</head>
<list id="li12">
Hr	w4996
<g/>
.
Franz	w4998
Jaan	w4999
<g/>
,
k	w5001
<g/>
.
k	w5003
Mild	w5004
<g/>
.
Stift	w5006
<g/>
.
Hauptbuchs	w5007a
<g/>
.
Jngroß	w5009
<g/>
.
b	w5011
<g/>
.
gold	w5013
<g/>
.
Adler	w5015
auß	w5016
<g/>
.
Mariah	w5018
<g/>
.
alt	w5020
37	w5021
<g/>
.
J	w5023
<g/>
.
Dem	w5025
Hrn	w5026
<g/>
.
Ferd	w5028
<g/>
.
Remer	w5030
<g/>
,
herrsch	w5032
<g/>
.
Agent	w5034
<g/>
,
s	w5036
<g/>
.
Frau	w5038
Barb	w5039
<g/>
.
zur	w5041
gold	w5042
<g/>
.
Kugel	w5044
auf	w5045
der	w5046
Wied	w5047
<g/>
.
alt	w5049
80	w5050
<g/>
.
J	w5052
<g/>
.
Nik	w5054
<g/>
.
Francois	w5056
<g/>
,
burgl	w5058
<g/>
.
Kurzmesserschmidm	w5060
<g/>
.
b	w5062
<g/>
.
gr	w5064
<g/>
.
gold	w5066
Anker	w5067
in	w5068
der	w5069
Leopst	w5070
<g/>
.
alt	w5072
74	w5073
<g/>
.
J	w5075
<g/>
.
Joh	w5077
<g/>
.
Seitz	w5079
<g/>
,
burgl	w5081
<g/>
.
Fuhrm	w5083
<g/>
.
in	w5085
s	w5086
<g/>
.
H	w5088
<g/>
.
Nro	w5090
<g/>
.
223	w5092
<g/>
.
auf	w5094
der	w5095
Landstr	w5096
<g/>
.
alt	w5098
37	w5099
J	w5100
<g/>
.
Dem	w5102
Heinr	w5103
<g/>
.
Schmidhauser	w5105
<g/>
,
Bandmachgs	w5107
<g/>
.
s	w5109
<g/>
.
K	w5111
<g/>
.
Mara	w5113
<g/>
.
im	w5115
Stokisch	w5116
<g/>
.
H	w5118
<g/>
.
am	w5120
Rennw	w5121
<g/>
.
alt	w5123
6	w5124
<g/>
.
J	w5126
<g/>
.
Anna	w5128
M	w5129
<g/>
.
Ortmayrin	w5131
<g/>
,
im	w5133
St	w5134
<g/>
.
Joh	w5136
<g/>
.
Spit	w5138
alt	w5139
75	w5140
<g/>
.
J	w5142
<g/>
.
</list>
<list id="li13">
Joh	w5144
<g/>
.
Hohlebrucker	w5146
<g/>
,
Hausinh	w5148
b	w5149
<g/>
.
grünn	w5151
Kleeblatt	w5152
im	w5153
Lichtenth	w5154
<g/>
.
alt	w5156
39	w5157
<g/>
.
J	w5159
<g/>
.
Sim	w5161
<g/>
.
Schredl	w5163
<g/>
,
Tagl	w5165
<g/>
.
b	w5167
<g/>
.
wild	w5169
<g/>
.
Mann	w5171
im	w5172
Lerchenf	w5173
<g/>
.
alt	w5175
50	w5176
<g/>
.
J	w5178
<g/>
.
Lor	w5180
<g/>
.
Götz	w5182
<g/>
,
Strohschneid	w5184
<g/>
.
zur	w5186
schön	w5187
Schäferin	w5188
zu	w5189
Gumpend	w5190
<g/>
.
alt	w5192
66	w5193
<g/>
.
J	w5195
<g/>
.
Mart	w5197
<g/>
.
Schek	w5199
<g/>
,
Tagl	w5201
<g/>
.
im	w5203
Grundspit	w5204
<g/>
.
nächst	w5206
der	w5207
Ma=riahilferlin	w5208
<g/>
=
alt	w5210
77	w5211
<g/>
.
J	w5213
<g/>
.
Franz	w5215
Einzinger	w5216
<g/>
,
Tagl	w5218
<g/>
.
alt	w5220
21	w5221
<g/>
.
J	w5223
<g/>
.
Joh	w5225
<g/>
.
Walz	w5227
<g/>
,
vac	w5229
<g/>
.
Jäger	w5231
<g/>
,
alt	w5233
48	w5234
J	w5235
<g/>
.
Mart	w5237
<g/>
.
Werler	w5239
<g/>
,
vac	w5241
<g/>
.
Krschnergs	w5243
alt	w5244
57	w5245
<g/>
.
J	w5247
<g/>
.
Jak	w5249
Linnauer	w5250
<g/>
,
Bindergs	w5252
<g/>
.
alt	w5254
34	w5255
<g/>
.
J	w5257
<g/>
.
Georg	w5259
Wagner	w5260
<g/>
,
Binder	w5262
<g/>
,
alt	w5264
28	w5265
J	w5266
alle	w5267
5	w5268
b	w5269
<g/>
.
Barmh	w5271
<g/>
.
Jak	w5273
<g/>
.
Eß	w5275
<g/>
.
k	w5277
<g/>
.
k	w5279
<g/>
.
Gardist	w5281
zu	w5282
Fuß	w5283
<g/>
,
alt	w5285
41	w5286
<g/>
.
J	w5288
<g/>
.
im	w5290
k	w5291
<g/>
.
k	w5293
<g/>
.
Krankenh	w5295
<g/>
.
in	w5297
der	w5298
<g/>
.
Frid	w5300
<g/>
.
Knter	w5302
<g/>
,
Bäckenkn	w5304
<g/>
.
alt	w5306
31	w5307
<g/>
.
J	w5309
<g/>
.
Jos	w5311
Sadschek	w5312
<g/>
,
gem	w5314
<g/>
.
Sold	w5316
<g/>
.
alt	w5318
36	w5319
J	w5320
<g/>
.
beede	w5322
im	w5323
Mil	w5324
<g/>
.
Krankenh	w5326
zu	w5327
Gumpend	w5328
Cath	w5329
<g/>
.
Wiain	w5331
<g/>
,
Laq	w5333
<g/>
.
Wit	w5335
<g/>
.
alt	w5337
48	w5338
<g/>
.
J	w5340
<g/>
.
Andre	w5342
Tutan	w5343
<g/>
,
Tagl	w5345
<g/>
.
alt	w5347
62	w5348
<g/>
.
J	w5350
<g/>
.
Sim	w5352
Schapas	w5352a
<g/>
,
Weber	w5354
<g/>
,
alt	w5356
19	w5357
<g/>
.
J	w5359
<g/>
.
Joh	w5361
<g/>
.
Georg	w5363
Ullman	w5364
<g/>
,
Bierabtrag	w5366
<g/>
.
alt	w5368
49	w5369
<g/>
.
J	w5371
<g/>
.
alle	w5373
4	w5374
<g/>
.
im	w5376
Contum	w5377
<g/>
.
Anna	w5379
Bindin	w5380
<g/>
,
led	w5382
<g/>
.
M	w5384
<g/>
.
alt	w5386
36	w5387
<g/>
.
J	w5389
<g/>
.
Pet	w5391
<g/>
.
Sießner	w5393
<g/>
,
Schneiderj	w5395
<g/>
.
alt	w5397
21	w5398
<g/>
.
J	w5400
<g/>
.
Anna	w5402
M	w5403
<g/>
.
Klepfensteinin	w5405
<g/>
,
verh	w5407
<g/>
.
Tagl	w5409
<g/>
.
alt	w5411
33	w5412
<g/>
.
J	w5414
<g/>
.
Leop	w5416
<g/>
.
Hutter	w5418
<g/>
,
Kellnerbursch	w5420
<g/>
,
alt	w5422
20	w5423
<g/>
.
J	w5425
<g/>
.
alle	w5427
4	w5428
<g/>
.
im	w5430
Bäckenh	w5431
<g/>
.
Ant	w5433
<g/>
.
Gruber	w5435
<g/>
,
Web	w5437
<g/>
.
alt	w5439
48	w5440
J	w5441
<g/>
.
im	w5443
Strudlh	w5444
<g/>
.
Jos	w5446
<g/>
.
Trukermilner	w5448
<g/>
,
Tagl	w5450
<g/>
.
alt	w5452
48	w5453
<g/>
.
J	w5455
<g/>
.
im	w5457
span	w5458
<g/>
.
Spit	w5460
<g/>
.
Mil	w5462
<g/>
.
