<doc id="wr_1758-07-19" attrs="word" year="1758" month="07" day="19" corpus="2">
<head id="h2_d262e3122">
Wißmayr	w1_d262e3126
Franzö	w11_d262e10387
sischen	w1_d262e10392
Lazareths	w3_d262e10395
gemacht,	w5_d262e10398
und	w7_d262e10401
es	w9_d262e10404
waren	w11_d262e10407
auch	w13_d262e10411
schon	w1_d262e10417
über	w3_d262e10420
60.	w5_d262e10423
zum	w7_d262e10426
Lazareth	w9_d262e10429
gehörige	w11_d262e10432
Per	w13_d262e10436
sonen	w1_d262e10441
angelangt,	w3_d262e10444
man	w5_d262e10447
kehrte	w7_d262e10450
auch	w9_d262e10453
wegen	w11_d262e10456
des	w13_d262e10460
bevorstehenden	w1_d262e10465
Marsches	w3_d262e10468
der	w5_d262e10471
Französischen	w7_d262e10474
Trupen	w1_d262e10479
alles	w3_d262e10482
Nöthige	w5_d262e10485
vor,	w7_d262e10488
die	w9_d262e10491
Back=oefen	w11_d262e10494
wurden	w1_d262e10500
aufgezeichnet,	w3_d262e10503
und	w5_d262e10506
vorgestern	w7_d262e10509
kamen	w9_d262e10512
</p>
<p id="p8_d262e10517">
auch	w1_d262e10521
zwey	w3_d262e10524
mit	w5_d262e10527
Mehl	w7_d262e10530
beladene	w9_d262e10533
Schiffe	w11_d262e10536
von	w13_d262e10540
Speyer	w1_d262e10545
allhier	w3_d262e10548
an.	w5_d262e10551
Gestern	w7_d262e10554
aber	w9_d262e10557
lief	w11_d262e10560
die	w13_d262e10564
unvermuthete	w1_d262e10569
Ordre	w3_d262e10572
allier	w5_d262e10575
ein,	w7_d262e10578
daß	w9_d262e10581
sämt	w11_d262e10584
liche	w1_d262e10590
allhier	w3_d262e10593
anwesende	w5_d262e10596
Mannschaft,	w7_d262e10599
samt	w9_d262e10602
Bagage,	w1_d262e10607
Mund=vorrat	w3_d262e10610
und	w5_d262e10613
Fourage	w7_d262e10616
nach	w9_d262e10619
Oppenheim	w1_d262e10624
zurück	w3_d262e10627
gehen	w5_d262e10630
solte,	w7_d262e10633
worauf	w9_d262e10636
man	w11_d262e10639
dann	w1_d262e10644
sogleich	w3_d262e10647
das	w5_d262e10650
Mehl	w7_d262e10653
wieder	w9_d262e10656
zu	w11_d262e10659
Schiffe	w13_d262e10663
ge	w15_d262e10666
bracht	w1_d262e10672
hat,	w3_d262e10675
und	w5_d262e10678
heute	w7_d262e10681
geschahe	w9_d262e10684
der	w11_d262e10687
völlige	w13_d262e10691
Abmarsch	w1_d262e10696
von	w3_d262e10699
hier.	w5_d262e10702
</p>
<head id="h2_d262e10708">
Lüttich,	w1_d262e10712
den	w3_d262e10715
2,	w5_d262e10718
Julii	w7_d262e10721
</head>
<p id="p4_d262e10724">
Der	w1_d262e10728
Erb=prinz	w3_d262e10731
von	w5_d262e10734
Braunschweig	w7_d262e10737
stehet	w9_d262e10740
mit	w1_d262e10745
5000.	w3_d262e10748
Mann	w5_d262e10751
zu	w7_d262e10754
Rüremond.	w9_d262e10757
Die	w11_d262e10760
Weg	w13_d262e10764
nahme	w1_d262e10769
selbiger	w3_d262e10772
Stadt	w5_d262e10775
ziehet	w7_d262e10778
uns	w9_d262e10781
die	w11_d262e10784
Be	w13_d262e10788
schwerlichkeit	w1_d262e10794
zu,	w3_d262e10797
daß	w5_d262e10800
wir	w7_d262e10803
200.	w9_d262e10806
tausend	w11_d262e10809
Ra	w13_d262e10813
tionen	w1_d262e10818
liefern	w3_d262e10821
sollen;	w5_d262e10824
wovon	w7_d262e10827
schon	w9_d262e10830
60.	w11_d262e10833
tau	w13_d262e10837
send	w1_d262e10842
geliefert	w3_d262e10845
sind.	w5_d262e10848
Die	w7_d262e10851
Hanoveraner	w9_d262e10854
stehen	w11_d262e10857
bey	w1_d262e10862
Reckem	w3_d262e10865
auf	w5_d262e10868
beyden	w7_d262e10871
Seiten	w9_d262e10874
der	w11_d262e10877
Maaß	w13_d262e10881
und	w1_d262e10887
all	w3_d262e10890
m	w5_d262e10893
Ansehen	w7_d262e10896
nach,	w9_d262e10899
werden	w11_d262e10902
sie	w13_d262e10906
uns	w15_d262e10909
nä	w17_d262e10912
her	w1_d262e10917
rücken.	w3_d262e10920
Msr.	w5_d262e10923
de	w7_d262e10926
Vienne,	w9_d262e10929
Obrist	w11_d262e10932
von	w13_d262e10936
Clermont,	w1_d262e10941
ist	w3_d262e10944
hier	w5_d262e10947
und	w7_d262e10950
macht	w9_d262e10953
Anstalt,	w11_d262e10956
einige	w13_d262e10960
Mannschaft	w1_d262e10965
bey	w3_d262e10968
St.	w5_d262e10971
Gilles	w7_d262e10974
zusammen	w9_d262e10977
zu	w11_d262e10980
ziehen;	w1_d262e10986
woselbst	w3_d262e10989
würklich	w5_d262e10992
das	w7_d262e10995
Regiment	w9_d262e10998
Feronayne,	w1_d262e11003
Dragoner,	w3_d262e11006
nst	w5_d262e11009
einigen	w7_d262e11012
andern	w9_d262e11015
Esquadronen	w1_d262e11020
angelanget	w3_d262e11023
ist.	w5_d262e11026
</p>
<head id="h2_d262e11032">
Kurz=gefaßte	w1_d262e11036
Nachrichten.	w3_d262e11039
Es	w1_d262e11044
geben	w3_d262e11047
die	w5_d262e11050
frischeste	w7_d262e11053
Briefe	w9_d262e11056
</head>
<p id="p4_d262e11059">
Von	w1_d262e11063
Düsseldorf:	w3_d262e11066
Daß	w5_d262e11069
während	w7_d262e11072
dasi	w9_d262e11075
ger	w1_d262e11080
Belagerung	w3_d262e11083
durch	w5_d262e11086
die	w7_d262e11089
Bomben	w9_d262e11092
verschiedene	w11_d262e11095
Burger	w1_d262e11100
getödtet	w3_d262e11103
und	w5_d262e11106
verwundet	w7_d262e11109
worden,	w9_d262e11112
desgleichen	w1_d262e11118
auch	w3_d262e11121
einige	w5_d262e11124
Soldaten;	w7_d262e11127
ungefähr	w9_d262e11130
hundert	w1_d262e11135
Häuser	w3_d262e11138
wären	w5_d262e11141
zerschmettert,	w7_d262e11144
etliche	w9_d262e11147
Kirchen	w1_d262e11152
haben	w3_d262e11155
vielen	w5_d262e11158
Schaden	w7_d262e11161
gelitten,	w9_d262e11164
am	w11_d262e11167
meisten	w1_d262e11172
aber	w3_d262e11175
bedaure	w5_d262e11178
man	w7_d262e11181
das	w9_d262e11184
Churfürstl.	w11_d262e11187
Schloß,	w1_d262e11193
woselbst	w3_d262e11196
die	w5_d262e11199
Zimmer	w7_d262e11202
der	w9_d262e11205
Churfürstin	w11_d262e11208
gänzlich	w1_d262e11213
ruiniret	w3_d262e11216
sind;	w5_d262e11219
zu	w7_d262e11222
allem	w9_d262e11225
Glück	w11_d262e11228
aber	w13_d262e11232
habe	w1_d262e11237
die	w3_d262e11240
Gallerie	w5_d262e11243
nichts	w7_d262e11246
gelitten.	w9_d262e11249
</p>
<p id="p6_d262e11252">
Von	w1_d262e11256
Breßlau:	w3_d262e11259
Daß	w5_d262e11262
von	w7_d262e11265
der	w9_d262e11268
Kaiserl.	w11_d262e11271
Rußischen	w1_d262e11276
Armee	w3_d262e11279
bereits	w5_d262e11282
einige	w7_d262e11285
tausend	w9_d262e11288
Drago	w11_d262e11291
ner	w1_d262e11296
und	w3_d262e11299
Cosacken	w5_d262e11302
in	w7_d262e11305
Schlesien	w9_d262e11308
eingetroffen,	w11_d262e11311
und	w13_d262e11315
bis	w1_d262e11321
Gurau	w3_d262e11324
unweit	w5_d262e11327
Glogau	w7_d262e11330
vorgerucket	w9_d262e11333
wären.	w11_d262e11336
</p>
<p id="p8_d262e11339">
Von	w1_d262e11343
Frankfort:	w3_d262e11346
Daß	w5_d262e11349
die	w7_d262e11352
unter	w9_d262e11355
Com	w11_d262e11358
mando	w1_d262e11363
des	w3_d262e11366
Prinzen	w5_d262e11369
von	w7_d262e11372
Soubise	w9_d262e11375
stehende	w11_d262e11378
Königl.	w1_d262e11383
Französische	w3_d262e11386
Trupen	w5_d262e11389
den	w7_d262e11392
8.	w9_d262e11395
dieses	w11_d262e11398
lauffenden	w1_d262e11404
Monats	w3_d262e11407
Julii	w5_d262e11410
theils	w7_d262e11413
bey	w9_d262e11416
Aschaf	w11_d262e11419
fenburg,	w1_d262e11424
theils	w3_d262e11427
bey	w5_d262e11430
Höchst	w7_d262e11433
zu	w9_d262e11436
campiren	w11_d262e11439
an	w13_d262e11443
gefangen	w1_d262e11448
haben.	w3_d262e11451
</p>
<p id="p10_d262e11454">
Von	w1_d262e11458
Fulda:	w3_d262e11461
Daß	w5_d262e11464
bey	w7_d262e11467
hundert	w9_d262e11470
Hussaren	w11_d262e11473
von	w1_d262e11478
der	w3_d262e11481
feindlichen	w5_d262e11484
Armee	w7_d262e11487
von	w9_d262e11490
Marburg	w11_d262e11493
in	w13_d262e11497
das	w1_d262e11502
Fuldische	w3_d262e11505
gestreiffet,	w5_d262e11508
und	w7_d262e11511
verschiedenen	w9_d262e11514
Particularen	w1_d262e11520
ihr	w3_d262e11523
Geld	w5_d262e11526
abgenommen	w7_d262e11529
haben.	w9_d262e11532
</p>
<p id="p12_d262e11536">
Von	w1_d262e11540
Lüttich:Daß	w3_d262e11543
ein	w5_d262e11546
Cerpo	w7_d262e11549
Franzü	w9_d262e11552
sischer	w1_d262e11557
Trupen	w3_d262e11560
in	w5_d262e11563
der	w7_d262e11566
Gegend	w9_d262e11569
dieser	w11_d262e11572
Stadt	w13_d262e11576
auf	w15_d262e11579
denen	w1_d262e11584
Anhöhen	w3_d262e11587
von	w5_d262e11590
St.	w7_d262e11593
Gilles	w9_d262e11596
sich	w11_d262e11599
würklich	w13_d262e11603
gelagert	w1_d262e11609
habe,	w3_d262e11612
und	w5_d262e11615
dieses	w7_d262e11618
Corps	w9_d262e11621
mit	w11_d262e11624
noch	w13_d262e11628
mehreren	w1_d262e11633
verstärkt	w3_d262e11636
werden	w5_d262e11639
solle.	w7_d262e11642
</p>
<p id="p14_d262e11645">
Von	w1_d262e11649
Brüssel:	w3_d262e11652
daß	w5_d262e11655
der	w7_d262e11658
Königl.	w9_d262e11661
Franz.	w11_d262e11664
General=leutenant	w1_d262e11669
Herr	w3_d262e11672
von	w5_d262e11675
Chevert	w7_d262e11678
bey	w9_d262e11681
der	w11_d262e11684
noch	w1_d262e11689
zu	w3_d262e11692
Dato	w5_d262e11695
unter	w7_d262e11698
Commando	w9_d262e11701
des	w11_d262e11704
Prinzen	w13_d262e11708
Clermont	w1_d262e11714
stehenden	w3_d262e11717
Armee	w5_d262e11720
angelanget	w7_d262e11723
seye,	w9_d262e11726
und	w1_d262e11731
in	w3_d262e11734
diesen	w5_d262e11737
Herrn	w7_d262e11740
ein	w9_d262e11743
grosses	w11_d262e11746
Vertrauen	w13_d262e11750
gesetzt	w1_d262e11755
werde.	w3_d262e11758
</p>
<p id="p16_d262e11761">
Von	w1_d262e11765
Paris:	w3_d262e11768
Daß	w5_d262e11771
der	w7_d262e11774
älteste	w9_d262e11777
General	w11_d262e11780
leutenant	w1_d262e11785
bey	w3_d262e11788
der	w5_d262e11791
Königl.	w7_d262e11794
Franz.	w9_d262e11797
Armee	w11_d262e11800
am	w13_d262e11804
Unter=rhein	w1_d262e11809
indessen	w3_d262e11812
bis	w5_d262e11815
zur	w7_d262e11818
Ankunft	w9_d262e11821
des	w11_d262e11824
Hrn.	w1_d262e11830
Marschall	w3_d262e11833
d'Etrees	w5_d262e11836
das	w7_d262e11839
Commando	w9_d262e11842
sothaner	w1_d262e11847
Armee	w3_d262e11850
übernehmen	w5_d262e11853
werde.	w7_d262e11856
</p>
<head id="h2_d262e11862">
Wien,	w1_d262e11866
den	w3_d262e11869
19.	w5_d262e11872
Julii	w7_d262e11875
1758.	w9_d262e11878
</head>
<p id="p4_d262e11881">
Sonntags	w1_d262e11885
den	w3_d262e11888
16.	w5_d262e11891
dieses	w7_d262e11894
als	w9_d262e11897
am	w11_d262e11900
heiligen	w13_d262e11904
Scapulier=fest	w1_d262e11909
Vormittags	w3_d262e11912
nach	w5_d262e11915
10.	w7_d262e11918
Uhr	w1_d262e11923
haben	w3_d262e11926
beyde	w5_d262e11929
Kaiserl.	w7_d262e11932
Majestäten	w9_d262e11935
mit	w11_d262e11938
Jhrer	w1_d262e11944
Königl.	w3_d262e11947
Hoheit	w5_d262e11950
der	w7_d262e11953
Durchl.	w9_d262e11956
Königl.	w11_d262e11959
Prinzeßin	w1_d262e11964
und	w3_d262e11967
Erz=herzogin	w5_d262e11970
Maria	w7_d262e11973
Anna,	w9_d262e11976
von	w1_d262e11981
Schönbrunn	w3_d262e11984
herein	w5_d262e11987
nach	w7_d262e11990
dem	w9_d262e11993
GOttes	w11_d262e11996
haus	w1_d262e12001
derer	w3_d262e12004
WW.	w5_d262e12007
EE.	w7_d262e12010
PP.	w9_d262e12013
Carmelitern	w11_d262e12016
auf	w13_d262e12020
der	w1_d262e12026
Laim=gruben	w3_d262e12029
sich	w5_d262e12032
erhoben,	w7_d262e12035
allwo	w9_d262e12038
auch	w11_d262e12041
Se.	w13_d262e12045
Excellenz	w1_d262e12050
der	w3_d262e12053
Päpstl.	w5_d262e12056
Monsig.	w7_d262e12059
Nuntius	w9_d262e12062
mit	w11_d262e12065
dem	w1_d262e12070
hohen	w3_d262e12073
Kaiserl.	w5_d262e12076
Königl.	w7_d262e12079
Ministerio	w9_d262e12082
die	w11_d262e12085
allerunterthänigste	w1_d262e12090
Aufwartung	w3_d262e12093
gemacht,	w5_d262e12096
und	w7_d262e12099
mit	w1_d262e12105
allerhöchsten	w3_d262e12108
Majestäten	w5_d262e12111
dem	w7_d262e12114
Hochfey	w9_d262e12117
erlichen	w1_d262e12122
GOttes=dienst	w3_d262e12125
beygewohnet	w5_d262e12128
haben.	w7_d262e12131
Nach	w1_d262e12136
Ende	w3_d262e12139
dessen	w5_d262e12142
haben	w7_d262e12145
die	w9_d262e12148
allerhöchste	w11_d262e12151
Herr	w13_d262e12155
schaften	w1_d262e12160
sich	w3_d262e12163
wieder	w5_d262e12166
nach	w7_d262e12169
Schönbrunn	w9_d262e12172
zuruck	w11_d262e12175
begeben.	w1_d262e12181
</p>
<p id="p6_d262e12184">
Montags	w1_d262e12188
den	w3_d262e12191
17.	w5_d262e12194
dito	w7_d262e12197
haben	w9_d262e12200
beyde	w11_d262e12203
Kaiserl.	w13_d262e12207
Majestäten	w1_d262e12212
mit	w3_d262e12215
denen	w5_d262e12218
wichtigsten	w7_d262e12221
Staats	w9_d262e12224
und	w1_d262e12229
Landes=angelegenheiten	w3_d262e12232
sich	w5_d262e12235
beschäftiget.	w7_d262e12238
Dienstags	w1_d262e12244
den	w3_d262e12247
18.	w5_d262e12250
ware	w7_d262e12253
abermal	w9_d262e12256
Confe	w11_d262e12259
</p>
<p id="p8_d262e12262">
renz.	w1_d262e12266
Aus	w1_d262e12271
Böheim	w3_d262e12274
hat	w5_d262e12277
man	w7_d262e12280
von	w9_d262e12283
17.	w11_d262e12286
Dieses	w13_d262e12290
die	w15_d262e12293
Nachricht	w1_d262e12298
erhalten,	w3_d262e12301
daß	w5_d262e12304
die	w7_d262e12307
feindliche	w9_d262e12310
Preus	w11_d262e12313
sische	w1_d262e12319
Armee	w3_d262e12322
in	w5_d262e12325
3.	w7_d262e12328
Colonnen	w9_d262e12331
über	w11_d262e12334
Jaromirtz	w13_d262e12338
gegen	w1_d262e12343
Schlesien	w3_d262e12346
und	w5_d262e12349
das	w7_d262e12352
Glatzische	w9_d262e12355
ihren	w11_d262e12358
eilfer	w13_d262e12362
tigen	w1_d262e12367
Zug	w3_d262e12370
fortsetze,	w5_d262e12373
wohingegen	w7_d262e12376
des	w9_d262e12379
Herrn	w11_d262e12382
Feld=marschall	w1_d262e12387
Grafens	w3_d262e12390
von	w5_d262e12393
Daun,	w7_d262e12396
Excellenz,	w9_d262e12399
mit	w1_d262e12405
der	w3_d262e12408
unterhabenden	w5_d262e12411
K.	w7_d262e12414
K	w9_d262e12417
Armee	w11_d262e12420
die	w13_d262e12424
Elbe	w15_d262e12427
paßiret,	w1_d262e12432
und	w3_d262e12435
das	w5_d262e12438
Lager	w7_d262e12441
bey	w9_d262e12444
Libischan	w11_d262e12447
aufge	w13_d262e12451
schlagen	w1_d262e12456
haben.	w3_d262e12459
</p>
<p id="p10_d262e12462">
Jn	w1_d262e12466
denen	w3_d262e12469
nächst=anligenden	w5_d262e12472
Dorfschaf	w7_d262e12475
ten	w1_d262e12480
seynd	w3_d262e12483
abermal	w5_d262e12486
für	w7_d262e12489
2000.	w9_d262e12492
Croaten	w11_d262e12495
die	w13_d262e12499
Quartiere	w1_d262e12504
angesagt	w3_d262e12507
worden.	w5_d262e12510
Diese	w7_d262e12513
Colone	w9_d262e12516
</p>
<p id="p14_d262e12522">
wird	w1_d262e12526
nächster	w3_d262e12529
Tagen	w5_d262e12532
hier	w7_d262e12535
vorbey	w9_d262e12538
nach	w11_d262e12541
Bö	w13_d262e12545
heim	w1_d262e12550
marschieren.	w3_d262e12553
</p>
<p id="p16_d262e12556">
Künftigen	w1_d262e12560
Freytag	w3_d262e12563
als	w5_d262e12566
den	w7_d262e12569
21.	w9_d262e12572
dieses	w11_d262e12575
wird	w13_d262e12579
die	w1_d262e12584
Ziehung	w3_d262e12587
der	w5_d262e12590
Kaiserl.	w7_d262e12593
Königl.	w9_d262e12596
Lotterie	w11_d262e12599
in	w13_d262e12603
der	w1_d262e12608
Kaiserl.	w3_d262e12611
Königl.	w5_d262e12614
Haupt=stadt	w7_d262e12617
Prag	w9_d262e12620
besche	w11_d262e12623
hen,	w1_d262e12629
und	w3_d262e12632
ist	w5_d262e12635
denen	w7_d262e12638
Collectanten	w9_d262e12641
wigen	w11_d262e12644
Bey	w13_d262e12648
bringung	w1_d262e12653
deren	w3_d262e12656
gesamten	w5_d262e12659
Schlüsse	w7_d262e12662
Tag	w9_d262e12665
und	w11_d262e12668
Stund	w1_d262e12673
durch	w3_d262e12676
ein	w5_d262e12679
Avertissement	w7_d262e12682
bekannt	w9_d262e12685
ge	w11_d262e12688
macht	w1_d262e12693
worden.	w3_d262e12696
</p>
<head id="h2_d262e12702">
Lista	w1_d262e12706
deren	w3_d262e12709
Verstorbenen	w5_d262e12712
zu	w7_d262e12715
Wien	w9_d262e12718
in	w1_d262e12723
und	w3_d262e12726
vor	w5_d262e12729
der	w7_d262e12732
Stadt.	w9_d262e12735
Den	w1_d262e12740
15.	w3_d262e12743
Julii.	w5_d262e12746
Jn	w1_d262e12752
der	w3_d262e12755
Stadt.	w5_d262e12758
</head>
<list id="l4_d262e12761">
Der	w1_d262e12765
Wol=edle	w3_d262e12768
Hr.	w5_d262e12771
Lorenz	w7_d262e12774
Oßburg,	w9_d262e12777
gew.	w11_d262e12780
Böheimis.	w13_d262e12784
Hof=agent,	w1_d262e12789
im	w3_d262e12792
Zweitel=hof,	w5_d262e12795
alt	w7_d262e12798
80.	w9_d262e12801
J.	w11_d262e12804
Dem	w1_d262e12809
Jos.	w3_d262e12812
Neuhold,	w5_d262e12815
Burgerl.	w7_d262e12818
Dräxl.,	w9_d262e12821
s.	w11_d262e12824
W.	w13_d262e12828
The	w15_d262e12831
res.,	w1_d262e12837
im	w3_d262e12840
Stürmis.	w5_d262e12843
H.	w7_d262e12846
in	w9_d262e12849
der	w11_d262e12852
Singerstr.,	w13_d262e12856
44.	w15_d262e12859
J.	w17_d262e12862
Dem	w1_d262e12867
Jos.	w3_d262e12870
Reiß,	w5_d262e12873
Herren=koch,	w7_d262e12876
s.	w9_d262e12879
Ehew.	w11_d262e12882
Magdal.,	w13_d262e12886
im	w1_d262e12891
Stegeris.	w3_d262e12894
H.	w5_d262e12897
beyn	w7_d262e12900
Franciscan.,	w9_d262e12903
alt	w11_d262e12906
26.	w13_d262e12910
J.	w15_d262e12913
</list>
<head id="h2_d262e12921">
Vor	w1_d262e12925
der	w3_d262e12928
Stad..	w5_d262e12931
</head>
<list id="l4_d262e12934">
Dem	w1_d262e12938
Christian	w3_d262e12941
Pinara,	w5_d262e12944
K.	w7_d262e12947
K.	w9_d262e12950
Trab.,	w11_d262e12953
s.	w13_d262e12957
T.	w15_d262e12960
Maria	w17_d262e12963
Camilla,	w1_d262e12968
bey	w3_d262e12971
mwild.	w5_d262e12974
M.	w7_d262e12977
am	w9_d262e12980
Spitald.,	w11_d262e12983
alt	w13_d262e12987
16.	w15_d262e12990
J.	w17_d262e12993
Magdal.	w1_d262e12998
Scheblin,	w3_d262e13001
Wittwe,	w5_d262e13004
beym	w7_d262e13007
gold.	w9_d262e13010
Bärn	w11_d262e13013
am	w13_d262e13017
Spitalberg.	w1_d262e13023
alt	w3_d262e13026
64.	w5_d262e13029
J.	w7_d262e13032
Mich.	w1_d262e13037
Listenberger,	w3_d262e13040
gew.	w5_d262e13043
Zucker=back.,	w7_d262e13046
im	w9_d262e13049
Doneris.	w11_d262e13052
H.	w1_d262e13057
in	w3_d262e13060
der	w5_d262e13063
Leopoldst.,	w7_d262e13066
alt	w9_d262e13069
40.	w11_d262e13072
J.	w13_d262e13076
Dem	w1_d262e13081
Sebast.	w3_d262e13084
Stopder,	w5_d262e13087
Bestand=wirt.,	w7_d262e13090
s.	w9_d262e13093
K.	w11_d262e13096
Elisad.	w13_d262e13100
beym	w1_d262e13106
gold.	w3_d262e13109
Anker	w5_d262e13112
im	w7_d262e13115
Liechtenth.,	w9_d262e13118
alt	w11_d262e13121
3.	w13_d262e13125
J.	w15_d262e13128
Eva	w1_d262e13133
Pollin,	w3_d262e13136
Wittwe,	w5_d262e13139
beym	w7_d262e13142
gold.	w9_d262e13145
Anker	w11_d262e13148
in	w13_d262e13152
der	w15_d262e13155
Leo	w17_d262e13158
poldst.,	w1_d262e13163
alt	w3_d262e13166
53.	w5_d262e13169
J.	w7_d262e13172
Dem	w1_d262e13177
Joh.	w3_d262e13180
Tischler,	w5_d262e13183
Schreib.,	w7_d262e13186
s.	w9_d262e13189
K.	w11_d262e13192
Andre,	w13_d262e13196
im	w15_d262e13199
Ollsneris.	w1_d262e13205
H.	w3_d262e13208
im	w5_d262e13211
Liechtenth.,	w7_d262e13214
alt	w9_d262e13217
5.	w11_d262e13220
J.	w13_d262e13224
Adam	w1_d262e13229
Angermayr,	w3_d262e13232
Bier=leut=geb,	w5_d262e13235
im	w7_d262e13238
Schneideris.	w9_d262e13241
H.	w1_d262e13246
zu	w3_d262e13249
Nicolstorf,	w5_d262e13252
alt	w7_d262e13255
38.	w9_d262e13258
J.	w11_d262e13261
Dem	w1_d262e13266
Joh.	w3_d262e13269
Brüderl.	w5_d262e13272
K.	w7_d262e13275
K.	w9_d262e13278
Reit=kn.,	w11_d262e13281
s.	w13_d262e13285
W.	w15_d262e13288
Magdal.	w17_d262e13291
beym	w1_d262e13297
gold.	w3_d262e13300
Puf=eis.	w5_d262e13303
am	w7_d262e13306
Neubau,	w9_d262e13309
alt	w11_d262e13312
26.	w13_d262e13316
J.	w15_d262e13319
Georg	w1_d262e13324
Artwecker,	w3_d262e13327
Kutsch.,	w5_d262e13330
bey	w7_d262e13333
der	w9_d262e13336
schön.	w11_d262e13339
Lantern	w13_d262e13343
am	w1_d262e13348
Neustikt,	w3_d262e13351
alt	w5_d262e13354
42.	w7_d262e13357
J.	w9_d262e13360
Dem	w1_d262e13365
Paul	w3_d262e13368
Stockhammer,	w5_d262e13371
Schif=kn.,	w7_d262e13374
s.	w9_d262e13377
W.	w11_d262e13380
Sabi	w13_d262e13384
na,	w1_d262e13390
beym	w3_d262e13393
Emaus	w5_d262e13396
im	w7_d262e13399
Liechtenth.,	w9_d262e13402
alt	w11_d262e13405
47.	w13_d262e13409
J.	w15_d262e13412
Dem	w1_d262e13417
Georg	w3_d262e13420
Aschach,	w5_d262e13423
Tagw.,	w7_d262e13426
s.	w9_d262e13429
K.	w11_d262e13432
Georg,	w13_d262e13436
im	w15_d262e13439
Sil	w17_d262e13442
beris.	w1_d262e13447
H.	w3_d262e13450
am	w5_d262e13453
Hundsth.,	w7_d262e13456
alt	w9_d262e13459
10.	w11_d262e13462
J.	w13_d262e13466
Dem	w1_d262e13471
Franz	w3_d262e13474
Stiftreiter,	w5_d262e13477
Tagw.,	w7_d262e13480
s.	w9_d262e13483
T.	w11_d262e13486
Anna,	w13_d262e13490
beyn	w15_d262e13493
3.	w1_d262e13499
Löw.	w3_d262e13502
auf	w5_d262e13505
der	w7_d262e13508
Wied.,	w9_d262e13511
alt	w11_d262e13514
22.	w13_d262e13518
J.	w15_d262e13521
</list>
<head id="h2_d262e13528">
Summa	w1_d262e13532
15.	w3_d262e13535
Person,	w5_d262e13538
darunter	w7_d262e13541
3.	w9_d262e13544
Kind.	w11_d262e13547
Den	w1_d262e13552
16.	w3_d262e13555
Julii.	w5_d262e13558
Jn	w1_d262e13563
der	w3_d262e13566
Stadt.	w5_d262e13569
</head>
<list id="l4_d262e13572">
Dem	w1_d262e13576
Jos.	w3_d262e13579
Kadas,	w5_d262e13582
Burgerl.	w7_d262e13585
Caffee=sied.,	w9_d262e13588
s.	w11_d262e13591
Ehew.	w13_d262e13595
Elisab.,	w1_d262e13600
in	w3_d262e13603
s.	w5_d262e13606
H.	w7_d262e13609
im	w9_d262e13612
Schlosser=gäs.,	w11_d262e13615
alt	w13_d262e13619
35.	w15_d262e13622
J.	w17_d262e13625
Rosina	w1_d262e13630
Grandin,	w3_d262e13633
Wittwe,	w5_d262e13636
im	w7_d262e13639
Scheberlis.	w9_d262e13642
H.	w11_d262e13645
auf	w13_d262e13649
der	w1_d262e13655
Schotten=bastey,	w3_d262e13658
alt	w5_d262e13661
78.	w7_d262e13664
J.	w9_d262e13667
</list>
<head id="h2_d262e13674">
Vor	w1_d262e13678
der	w3_d262e13681
Stadt.	w5_d262e13684
</head>
<list id="l4_d262e13687">
Der	w1_d262e13691
Hoch	w3_d262e13694
und	w5_d262e13697
Wol=geb.	w7_d262e13700
Hr.	w9_d262e13703
Joh.	w11_d262e13706
Bapt.	w13_d262e13710
Grafev.	w15_d262e13713
Ryckel,	w1_d262e13718
im	w3_d262e13721
Collegio	w5_d262e13724
Thires,	w7_d262e13727
alt	w9_d262e13730
18.	w11_d262e13733
J.	w13_d262e13737
</list>
<list id="l6_d262e13741">
Adam	w1_d262e13745
Burgg,	w3_d262e13748
Burgerl.	w5_d262e13751
Schuh=mach.,	w7_d262e13754
im	w9_d262e13757
Fim	w11_d262e13760
mer=meisteris.	w1_d262e13765
H.	w3_d262e13768
in	w5_d262e13771
der	w7_d262e13774
Leopoldst.,	w9_d262e13777
alt	w11_d262e13780
59.	w13_d262e13784
J.	w15_d262e13787
Dem	w1_d262e13792
Ludw.	w3_d262e13795
Preysig,	w5_d262e13798
Burgerl.	w7_d262e13801
Fleisch=selk.,	w9_d262e13804
s.	w11_d262e13807
K.	w13_d262e13811
Theres.,	w1_d262e13817
im	w3_d262e13820
Kranzel=binderis.	w5_d262e13823
H.	w7_d262e13826
am	w9_d262e13829
Hungel=dr.	w11_d262e13832
alt	w1_d262e13837
4.	w3_d262e13840
J.	w5_d262e13843
Jos.	w1_d262e13848
Zierwurz,	w3_d262e13851
Burgerl.	w5_d262e13854
Schuh=mach.,	w7_d262e13857
bey	w9_d262e13860
denen	w11_d262e13863
3.	w1_d262e13868
Huf=tis.	w3_d262e13871
in	w5_d262e13874
der	w7_d262e13877
Kot.gas.,	w9_d262e13880
alt	w11_d262e13883
49.	w13_d262e13887
J.	w15_d262e13890
Georg	w1_d262e13896
Preindl,	w3_d262e13899
Schuh=kn.,	w5_d262e13902
bey	w7_d262e13905
der	w9_d262e13908
rok.	w11_d262e13911
Weintr.	w13_d262e13915
im	w1_d262e13920
Liechtenth.,	w3_d262e13923
alt.	w5_d262e13926
19.	w7_d262e13929
J.	w9_d262e13932
Joh.	w1_d262e13937
Schiller,	w3_d262e13940
Reit=kn.,	w5_d262e13943
beym	w7_d262e13946
