<doc id="wr_1760-08-06" attrs="word" year="1760" month="08" day="06" corpus="2">
<head id="h2_d473e3491">
Toulon	w1_d473e3495
angegeben,	w17_d473e19270
ihrer	w19_d473e19273
auswärtigen	w1_d473e19278
Geburt	w3_d473e19281
halber	w5_d473e19284
aber,	w7_d473e19287
und	w9_d473e19290
sonstiger	w11_d473e19293
Ursachen	w13_d473e19297
wegen	w15_d473e19300
als	w17_d473e19303
Kriegs=gefangene	w1_d473e19308
angesehen	w3_d473e19311
worden.	w5_d473e19314
Summa	w7_d473e19317
1911.	w9_d473e19320
Kopf.	w11_d473e19323
</p>
<head id="h2_d473e19330">
Deserteurs.	w1_d473e19334
</head>
<head id="h2_d473e19340">
Aus	w1_d473e19344
dem	w3_d473e19347
Glatzischen	w5_d473e19350
gebürtig	w7_d473e19353
mit	w9_d473e19356
Gewalt	w11_d473e19359
gezwungen	w13_d473e19363
368.	w15_d473e19366
Bey	w17_d473e19369
uns	w1_d473e19374
bereits	w3_d473e19377
gediente	w5_d473e19380
124.	w7_d473e19383
Summa	w1_d473e19388
492.	w3_d473e19391
Köpf.	w5_d473e19394
</head>
<head id="h2_d473e19400">
Consignation,	w1_d473e19404
was	w3_d473e19407
sich	w5_d473e19410
an	w7_d473e19413
Geschütz	w9_d473e19416
und	w11_d473e19419
Munition	w13_d473e19423
in	w15_d473e19426
der	w17_d473e19429
alten	w1_d473e19434
und	w3_d473e19437
neuen	w5_d473e19440
Festung,	w7_d473e19443
wie	w9_d473e19446
auch	w11_d473e19449
in	w13_d473e19453
der	w15_d473e19456
Stadt	w17_d473e19459
Glatz	w19_d473e19462
befunden,	w1_d473e19467
als:	w3_d473e19470
</head>
<head id="h2_d473e19476">
1	w1_d473e19480
2	w1_d473e19485
der	w3_d473e19488
29	w1_d473e19493
17	w1_d473e19499
|	w3_d473e19502
6	w5_d473e19505
|	w7_d473e19508
pfündigen	w9_d473e19511
Canonen.	w11_d473e19514
35	w1_d473e19519
	w3_d473e19522
12	w5_d473e19525
24	w1_d473e19530
18	w1_d473e19535
Summa	w1_d473e19541
101,	w1_d473e19546
metallene	w3_d473e19549
Stück.	w5_d473e19552
60	w1_d473e19557
der	w3_d473e19560
|	w5_d473e19563
12=pfündigen	w7_d473e19566
eisenen	w9_d473e19569
Stuck.	w11_d473e19572
</head>
<list id="l8_d473e19584">
18	w1_d473e19588
24	w3_d473e19591
und	w5_d473e19594
40=pfündigen	w7_d473e19597
Calliber.	w9_d473e19600
3800	w1_d473e19605
der	w3_d473e19608
50	w5_d473e19611
und	w7_d473e19614
75=pfündigen	w9_d473e19617
verschieden	w11_d473e19620
anderen	w13_d473e19624
leeren	w15_d473e19627
Bomben.	w1_d473e19632
500	w1_d473e19638
detto	w3_d473e19641
gefüllte.	w5_d473e19644
600	w1_d473e19649
meistens	w3_d473e19652
leere	w5_d473e19655
10	w7_d473e19658
und	w9_d473e19661
18=pfündige	w11_d473e19664
Haubitz=grenaden.	w13_d473e19668
1300	w1_d473e19673
meistens	w3_d473e19676
gefüllte	w5_d473e19679
Hand=mörsel=grenaden.	w7_d473e19682
3000	w1_d473e19687
gefüllte	w3_d473e19690
Hand=grenaden.	w1_d473e19696
2000	w1_d473e19701
ungefüllte	w3_d473e19704
2000	w1_d473e19709
Centner	w3_d473e19712
Canon=pulfer.	w5_d473e19715
200	w1_d473e19720
Centner	w3_d473e19723
Lunten.	w5_d473e19726
Anderthalb	w1_d473e19732
Million	w3_d473e19735
2=löthige	w5_d473e19738
scharfe	w7_d473e19741
Flinten=patronen.	w9_d473e19744
200000	w1_d473e19749
scharfe	w3_d473e19752
drey	w5_d473e19755
Viertl=löthige	w7_d473e19758
Carabinerdetto	w9_d473e19761
500	w1_d473e19766
Kaiserl.	w3_d473e19769
und	w5_d473e19772
Preußische	w7_d473e19775
Feuer=gewöhr.	w9_d473e19778
300	w1_d473e19783
alte	w3_d473e19786
Wall=musquetten.	w5_d473e19789
20	w1_d473e19795
alte	w3_d473e19798
Doppelhacken.	w5_d473e19801
</list>
<head id="h2_d473e19808">
Signatum	w1_d473e19812
Festung	w3_d473e19815
Glatz,	w5_d473e19818
den	w1_d473e19823
27.	w3_d473e19826
Julii	w5_d473e19829
1760.	w7_d473e19832
</head>
<p id="p4_d473e19835">
pfündigen	w1_d473e19839
metallenen	w3_d473e19842
Mörsern.	w5_d473e19845
</p>
<head id="h2_d473e19851">
Schrömer,	w1_d473e19857
Stuck=ha	w3_d473e19860
</head>
<p id="p6_d473e19865">
Von	w1_d473e19869
der	w3_d473e19872
Kaiserl.	w5_d473e19875
Königl.	w7_d473e19878
Herrschaft	w9_d473e19881
Eberstorf	w11_d473e19884
an	w1_d473e19889
der	w3_d473e19892
Donau,	w5_d473e19895
wird	w7_d473e19898
hierdurch	w9_d473e19901
kund	w11_d473e19904
und	w13_d473e19908
zu	w15_d473e19911
wis	w17_d473e19914
sen	w1_d473e19919
gemacht,	w3_d473e19922
daß	w5_d473e19925
auf	w7_d473e19928
den	w9_d473e19931
22.	w11_d473e19934
Augusti	w13_d473e19938
1760.	w15_d473e19941
das	w17_d473e19944
Beuedict	w1_d473e19950
Hansische	w3_d473e19953
Klein=haus,	w5_d473e19956
samt	w7_d473e19959
der	w9_d473e19962
darauf	w11_d473e19965
haftender	w1_d473e19970
Hafner=gerechtigkeit	w3_d473e19973
auf	w5_d473e19976
der	w7_d473e19979
Schwechat,	w9_d473e19982
dem	w1_d473e19987
Meist=bietenden	w3_d473e19990
hindann	w5_d473e19993
gelassen	w7_d473e19996
werden	w9_d473e19999
wird,	w11_d473e20002
wer	w1_d473e20007
nun	w3_d473e20010
solches	w5_d473e20013
an	w7_d473e20016
sich	w9_d473e20019
zu	w11_d473e20022
bringen	w13_d473e20026
gedenket,	w15_d473e20029
hat	w17_d473e20032
sich	w1_d473e20038
an	w3_d473e20041
obigen	w5_d473e20044
Tag	w7_d473e20047
fruhe	w9_d473e20050
um	w11_d473e20053
8.	w13_d473e20057
Uhr	w15_d473e20060
in	w17_d473e20063
der	w19_d473e20066
Kai	w21_d473e20069
serl.	w1_d473e20074
Königl.	w3_d473e20077
Amts=canzley	w5_d473e20080
anzumelden.	w7_d473e20083
</p>
<p id="p8_d473e20086">
Es	w1_d473e20090
ist	w3_d473e20093
in	w5_d473e20096
dem	w7_d473e20099
sogenant	w9_d473e20102
rotem	w11_d473e20105
Haus,	w13_d473e20109
vor	w15_d473e20112
dem	w17_d473e20115
Schottemthor	w1_d473e20120
denen	w3_d473e20123
Schwarz=spanniern	w5_d473e20126
gegen	w7_d473e20129
über,	w9_d473e20132
der	w1_d473e20137
ganze	w3_d473e20140
Herrschafts=stock	w5_d473e20143
alltäglich	w7_d473e20146
zu	w9_d473e20149
verlassen;	w11_d473e20152
item	w1_d473e20158
ein	w3_d473e20161
Keller	w5_d473e20164
auf	w7_d473e20167
802.	w9_d473e20170
Eimer,	w11_d473e20173
wer	w13_d473e20177
solche	w15_d473e20180
be	w17_d473e20183
stehen	w1_d473e20188
will,	w3_d473e20191
kan	w5_d473e20194
sich	w7_d473e20197
bey	w9_d473e20200
dem	w11_d473e20203
Gartner	w13_d473e20207
daselbst	w15_d473e20210
an	w17_d473e20213
melden.	w1_d473e20218
</p>
<p id="p10_d473e20221">
Auf	w1_d473e20225
nächstkünftigen	w3_d473e20228
Dienstag	w5_d473e20231
als	w7_d473e20234
den	w9_d473e20237
12.	w11_d473e20240
Au	w13_d473e20244
gusti	w1_d473e20249
wird	w3_d473e20252
in	w5_d473e20255
der	w7_d473e20258
Cärntner=strassen	w9_d473e20261
im	w11_d473e20264
Schmidli	w13_d473e20268
nischen	w1_d473e20273
Haus	w3_d473e20276
bey	w5_d473e20279
der	w7_d473e20282
Heil.	w9_d473e20285
Dreyfaltigkeit	w11_d473e20288
lici	w13_d473e20292
tiret	w1_d473e20298
werden,	w3_d473e20301
als	w5_d473e20304
silberne	w7_d473e20307
Messer,	w9_d473e20310
goldene	w11_d473e20313
und	w13_d473e20317
tombakene	w1_d473e20322
Uhren,	w3_d473e20325
Antie	w5_d473e20328
und	w7_d473e20331
andere	w9_d473e20334
Ring,	w11_d473e20337
von	w13_d473e20341
Berl	w1_d473e20346
mutter	w3_d473e20349
extra	w5_d473e20352
feine	w7_d473e20355
Waderl,	w9_d473e20358
deto	w11_d473e20361
Anstrich	w13_d473e20365
und	w1_d473e20370
Zahnstierer=bixel,	w3_d473e20373
Schreib=tafferl,	w5_d473e20376
wie	w7_d473e20379
auch	w9_d473e20382
schone	w1_d473e20388
Manns=kleider,	w3_d473e20391
Suwis	w5_d473e20394
und	w7_d473e20397
Degen,	w9_d473e20400
sau	w11_d473e20403
dere	w1_d473e20408
Manns=hemder,	w3_d473e20411
ein	w5_d473e20414
schöner	w7_d473e20417
Bett=schamel	w9_d473e20420
von	w1_d473e20425
Bild=hauer=arbeit,	w3_d473e20428
von	w5_d473e20431
deto	w7_d473e20434
2.	w9_d473e20437
schönen	w11_d473e20440
Stöckel=uhrn,	w1_d473e20445
Spiegel,	w3_d473e20448
Sessel,	w5_d473e20451
Tisch,	w7_d473e20454
und	w9_d473e20457
an	w11_d473e20460
deres	w1_d473e20466
mehr	w3_d473e20469
dem	w5_d473e20472
Meist=bietenden	w7_d473e20475
verkauft	w9_d473e20478
werden.	w11_d473e20481
</p>
<p id="p12_d473e20485">
Den	w1_d473e20489
19.	w3_d473e20492
Augusti	w5_d473e20495
fruhe	w7_d473e20498
von	w9_d473e20501
9.	w11_d473e20504
bis	w13_d473e20508
12.	w15_d473e20511
Uhr,	w17_d473e20514
werden	w1_d473e20519
in	w3_d473e20522
dem	w5_d473e20525
klein	w7_d473e20528
Sackischen	w9_d473e20531
Haus	w11_d473e20534
(	w13_d473e20538
oder	w15_d473e20541
in	w17_d473e20544
dem	w1_d473e20549
sogenannten	w3_d473e20552
alten	w5_d473e20555
Kupfer=amt)	w7_d473e20558
an	w9_d473e20561
der	w11_d473e20564
Klu	w13_d473e20568
ger=strassen	w1_d473e20574
im	w3_d473e20577
zweyten	w5_d473e20580
Stock	w7_d473e20583
nebst	w9_d473e20586
dem	w11_d473e20589
Wallfisch,	w13_d473e20593
folgende	w1_d473e20598
Jubellen,	w3_d473e20601
als	w5_d473e20604
ein	w7_d473e20607
gefaster	w9_d473e20610
Hut=krampen	w11_d473e20613
Toder	w1_d473e20618
Agrave)	w3_d473e20621
von	w5_d473e20624
Brillanten,	w7_d473e20627
dann	w9_d473e20630
eine	w11_d473e20633
mit	w13_d473e20637
Brillanten	w1_d473e20642
garnirte	w3_d473e20645
Jaspis=dosen,	w5_d473e20648
ein	w7_d473e20651
Brelaten	w9_d473e20654
creuz	w1_d473e20660
von	w3_d473e20663
Schmarack	w5_d473e20666
und	w7_d473e20669
Brillanten,	w9_d473e20672
dann	w11_d473e20675
eine	w13_d473e20679
mit	w1_d473e20684
Brillanten	w3_d473e20687
besetzte	w5_d473e20690
Türkische	w7_d473e20693
Uhr,	w9_d473e20696
und	w11_d473e20699
etliche	w13_d473e20703
harnierte	w1_d473e20708
Brillant=ringe	w3_d473e20711
dem	w5_d473e20714
Meist=bietenden	w7_d473e20717
Begen	w1_d473e20722
baarer	w3_d473e20725
Bezahlung	w5_d473e20728
verkauft	w7_d473e20731
werden.	w9_d473e20734
</p>
<list id="l14_d473e20737">
Bey	w1_d473e20741
Augustin	w3_d473e20744
Bernardi,	w5_d473e20747
UniversitätsBuch	w7_d473e20750
handlern	w1_d473e20755
bey	w3_d473e20758
der	w5_d473e20761
obern	w7_d473e20764
Jesuiten=pforten	w9_d473e20767
gegen	w11_d473e20770
über,	w1_d473e20775
ist	w3_d473e20778
zu	w5_d473e20781
haben:	w7_d473e20784
Graf	w1_d473e20790
Unhold,	w3_d473e20793
ein	w5_d473e20796
Lust	w7_d473e20799
spiel	w9_d473e20802
in	w11_d473e20805
Teutschen=ver	w13_d473e20809
ten,	w1_d473e20814
und	w3_d473e20817
in	w5_d473e20820
5.	w7_d473e20823
Aufzügen,	w9_d473e20826
8.	w11_d473e20829
1760.	w13_d473e20833
vor	w15_d473e20836
17.	w17_d473e20839
kr.	w19_d473e20842
Verzeichnüß	w1_d473e20847
JuristischHistorischPolitischPhi	w3_d473e20850
losophischMathematisch	w1_d473e20855
und	w3_d473e20858
anderer	w5_d473e20861
Bücher,	w7_d473e20864
wel	w9_d473e20867
che	w1_d473e20873
um	w3_d473e20876
beygesetzten	w5_d473e20879
billigen	w7_d473e20882
Preyß	w9_d473e20885
vor	w11_d473e20888
7.	w13_d473e20892
kr.	w15_d473e20895
zu	w1_d473e20900
haben	w3_d473e20903
sind.	w5_d473e20906
</list>
<p id="p16_d473e20910">
Nächst	w1_d473e20914
künftigen	w3_d473e20917
Montag	w5_d473e20920
als	w7_d473e20923
den	w9_d473e20926
11.	w11_d473e20929
dieses	w13_d473e20933
Monats	w1_d473e20938
Augusti	w3_d473e20941
und	w5_d473e20944
folgende	w7_d473e20947
Täge,	w9_d473e20950
werden	w11_d473e20953
auf	w13_d473e20957
dem	w1_d473e20962
neuen	w3_d473e20965
Markt	w5_d473e20968
im	w7_d473e20971
sogenannten	w9_d473e20974
Spittl=haus	w11_d473e20977
im	w1_d473e20983
anderten	w3_d473e20986
Stock	w5_d473e20989
verschiedene	w7_d473e20992
Effecten,	w9_d473e20995
als	w11_d473e20998
goldene	w1_d473e21003
Dabattieren,	w3_d473e21006
Silber,	w5_d473e21009
Manns=kleiber.	w7_d473e21012
Frosse	w1_d473e21017
Spiegel,	w3_d473e21020
Spallier,	w5_d473e21023
Soffa,	w7_d473e21026
Sessel,	w9_d473e21029
Kä	w11_d473e21032
sten,	w1_d473e21037
Tisch,	w3_d473e21040
Bilder,	w5_d473e21043
Beht=gewand,	w7_d473e21046
Kupfer	w9_d473e21049
Zinn,	w1_d473e21055
Vormittags	w3_d473e21058
von	w5_d473e21061
9.	w7_d473e21064
bis	w9_d473e21067
12.	w11_d473e21070
Nachmittags	w13_d473e21074
</p>
<p id="p18_d473e21077">
von	w1_d473e21081
3.	w3_d473e21084
bis	w5_d473e21087
6.	w7_d473e21090
Uhr	w9_d473e21093
dem	w11_d473e21096
Meistbietenden	w13_d473e21100
licitando	w15_d473e21103
verkauffet	w1_d473e21108
werden.	w3_d473e21111
</p>
<p id="p20_d473e21114">
Den	w1_d473e21118
13.	w3_d473e21121
dies	w5_d473e21124
Monats	w7_d473e21127
Augusti	w9_d473e21130
fruh	w11_d473e21133
um	w13_d473e21137
9.	w15_d473e21140
Uhr	w1_d473e21145
wird	w3_d473e21148
des	w5_d473e21151
entwichenen	w7_d473e21154
Michael	w9_d473e21157
Graser	w11_d473e21160
Be	w13_d473e21164
hausung	w1_d473e21169
samt	w3_d473e21172
Zugehörde	w5_d473e21175
zu	w7_d473e21178
Nußdorf	w9_d473e21181
in	w11_d473e21184
der	w13_d473e21188
Grund	w15_d473e21191
stuben	w1_d473e21197
bey	w3_d473e21200
St.	w5_d473e21203
Dorothe	w7_d473e21206
alhier	w9_d473e21209
in	w11_d473e21212
Wien	w13_d473e21216
plus	w15_d473e21219
of-	w17_d473e21222
ferenti	w1_d473e21227
ex	w3_d473e21230
officio	w5_d473e21233
gegen	w7_d473e21236
baarer	w9_d473e21239
Bezahlung	w11_d473e21242
ver	w13_d473e21246
kauffet;	w1_d473e21251
ingleichen	w3_d473e21254
haben	w5_d473e21257
alle	w7_d473e21260
und	w9_d473e21263
jede,	w11_d473e21266
so	w13_d473e21270
an	w15_d473e21273
ihme	w1_d473e21278
Grafer	w3_d473e21281
etwas	w5_d473e21284
zu	w7_d473e21287
forderen	w9_d473e21290
haben,	w11_d473e21293
den	w13_d473e21297
26.	w15_d473e21300
künftigen	w1_d473e21306
Monats	w3_d473e21309
Sept.	w5_d473e21312
fruh	w7_d473e21315
um	w9_d473e21318
9.	w11_d473e21321
Uhr	w13_d473e21325
bey	w15_d473e21328
besagten	w1_d473e21333
Grund=buch	w3_d473e21336
ihre	w5_d473e21339
Schuld=forderungen	w7_d473e21342
der	w1_d473e21347
Ordnung	w3_d473e21350
nach	w5_d473e21353
behörig	w7_d473e21356
anzumelden.	w9_d473e21359
</p>
<p id="p22_d473e21362">
Von	w1_d473e21366
der	w3_d473e21369
N.	w5_d473e21372
Oe.	w7_d473e21375
Regierung	w9_d473e21378
wegen,	w11_d473e21381
wird	w13_d473e21385
mit	w15_d473e21388
gegenwärtig=offenem	w1_d473e21393
Edict	w3_d473e21396
jedermäniglich,	w5_d473e21399
so	w7_d473e21402
wol	w1_d473e21407
An	w3_d473e21410
als	w5_d473e21413
Abwesenden,	w7_d473e21416
deme	w9_d473e21419
daran	w11_d473e21422
gelegen,	w13_d473e21426
kund	w1_d473e21432
und	w3_d473e21435
zu	w5_d473e21438
wissen	w7_d473e21441
gemacht:	w9_d473e21444
Es	w11_d473e21447
habe	w13_d473e21451
Regie	w15_d473e21454
rung	w1_d473e21459
eine	w3_d473e21462
Nohtdurft	w5_d473e21465
zu	w7_d473e21468
seyn	w9_d473e21471
befunden	w11_d473e21474
über	w13_d473e21478
des	w15_d473e21481
verstorbenen	w1_d473e21486
Joseph	w3_d473e21489
Ott,	w5_d473e21492
gewest	w7_d473e21495
Kaiserl.	w9_d473e21498
Königl.	w11_d473e21501
Kriegs=buchhalterey=rait=officiers	w1_d473e21506
unterlassene	w3_d473e21509
Verlassenschaft	w1_d473e21515
einen	w3_d473e21518
ordentlichen	w5_d473e21521
Concurs	w7_d473e21524
anzu	w9_d473e21527
ordnen,	w1_d473e21532
und	w3_d473e21535
desselben	w5_d473e21538
sammentliche,	w7_d473e21541
sowol	w9_d473e21544
in	w11_d473e21547
als	w1_d473e21552
ausser	w3_d473e21555
Land	w5_d473e21558
befindliche	w7_d473e21561
Glaubige	w9_d473e21564
zu	w11_d473e21567
Anmeld	w13_d473e21571
und	w1_d473e21576
Liquidirung	w3_d473e21579
ihrer	w5_d473e21582
an	w7_d473e21585
erst	w9_d473e21588
bemeldten	w11_d473e21591
Ottischen	w13_d473e21595
Verlassenschaft	w1_d473e21601
zu	w3_d473e21604
stellen	w5_d473e21607
habender	w7_d473e21610
Sprüch	w9_d473e21613
und	w11_d473e21616
Forderungen	w1_d473e21621
einzuberuffen;	w3_d473e21624
zu	w5_d473e21627
welchem	w7_d473e21630
Ende	w9_d473e21633
denenselben	w1_d473e21638
der	w3_d473e21641
23.	w5_d473e21644
Tag	w7_d473e21647
dies	w9_d473e21650
Monats	w11_d473e21653
Augusti	w13_d473e21657
Nachmittags	w1_d473e21662
um	w3_d473e21665
4.	w5_d473e21668
Uhr	w7_d473e21671
zur	w9_d473e21674
gewöhnlichen	w11_d473e21677
Tag	w13_d473e21681
satzung	w1_d473e21687
für	w3_d473e21690
die	w5_d473e21693
erstandert	w7_d473e21696
und	w9_d473e21699
dritte	w11_d473e21702
auch	w13_d473e21706
all	w15_d473e21709
endliche	w1_d473e21714
Frist	w3_d473e21717
sub	w5_d473e21720
clausula	w7_d473e21723
præclusi	w9_d473e21726
anberaumet	w11_d473e21729
worden.	w1_d473e21734
Solchemnach	w3_d473e21737
werden	w5_d473e21740
alle	w7_d473e21743
und	w9_d473e21746
jede,	w11_d473e21749
welche	w1_d473e21754
an	w3_d473e21757
gedacht	w5_d473e21760
Joseph	w7_d473e21763
Ottische	w9_d473e21766
Verlassen	w11_d473e21769
schaft	w1_d473e21775
ex	w3_d473e21778
quacunque	w5_d473e21781
causa	w7_d473e21784
vel	w9_d473e21787
Titulo	w11_d473e21790
Sprüch	w13_d473e21794
und	w1_d473e21799
Anforberungen	w3_d473e21802
haben,	w5_d473e21805
oder	w7_d473e21808
zu	w9_d473e21811
haben	w11_d473e21814
ver	w13_d473e21818
meinen,	w1_d473e21823
an	w3_d473e21826
bestimmten	w5_d473e21829
Tag	w7_d473e21832
und	w9_d473e21835
Stund	w11_d473e21838
vor	w13_d473e21842
Re	w15_d473e21845
gierung	w1_d473e21850
in	w3_d473e21853
der	w5_d473e21856
daselbst	w7_d473e21859
zu	w9_d473e21862
solchem	w11_d473e21865
Ende	w13_d473e21869
offen	w15_d473e21872
hal	w17_d473e21875
tenden	w1_d473e21881
Commißions=stuben	w3_d473e21884
entweder	w5_d473e21887
selbst	w7_d473e21890
per	w9_d473e21893
sönlich,	w1_d473e21898
oder	w3_d473e21901
durch	w5_d473e21904
hierzu	w7_d473e21907
genugsam	w9_d473e21910
gevollmäch	w11_d473e21913
tigte	w1_d473e21918
Gewalt=tragere	w3_d473e21921
also	w5_d473e21924
gewiß	w7_d473e21927
zu	w9_d473e21930
erscheinen,	w11_d473e21933
und	w1_d473e21938
ihre	w3_d473e21941
an	w5_d473e21944
solche	w7_d473e21947
Crida=massa	w9_d473e21950
habende	w11_d473e21953
Anfor	w13_d473e21957
derungen	w1_d473e21963
anzumelden,	w3_d473e21966
auch	w5_d473e21969
zu	w7_d473e21972
Herstellung	w9_d473e21975
des	w11_d473e21978
erforderlich	w1_d473e21983
rechtlichen	w3_d473e21986
Beweistum	w5_d473e21989
ihre	w7_d473e21992
Schuld	w9_d473e21995
und	w1_d473e22000
Satz=brief,	w3_d473e22003
oder	w5_d473e22006
ansonst	w7_d473e22009
habende	w9_d473e22012
Liquida	w11_d473e22015
tions=urkunden	w1_d473e22020
und	w3_d473e22023
rechtliche	w5_d473e22026
Behelf	w7_d473e22029
in	w9_d473e22032
beglaub	w11_d473e22035
ten	w1_d473e22041
Abschriften	w3_d473e22044
einzulegen	w5_d473e22047
haben,	w7_d473e22050
wie	w9_d473e22053
im	w11_d473e22056
widri	w13_d473e22060
gen	w1_d473e22065
der	w3_d473e22068
Ausbleibende	w5_d473e22071
von	w7_d473e22074
gegenwärtiger	w9_d473e22077
Con	w11_d473e22080
curs=massa	w1_d473e22085
gänzlich	w3_d473e22088
ausgeschlossen	w5_d473e22091
seyn,	w7_d473e22094
und	w9_d473e22097
ihme	w1_d473e22102
diesfalls	w3_d473e22105
das	w5_d473e22108
ewige	w7_d473e22111
Stillschweigen	w9_d473e22114
auferle	w11_d473e22117
get;	w1_d473e22123
der	w3_d473e22126
nicht	w5_d473e22129
liquiderende	w7_d473e22132
aber	w9_d473e22135
in	w11_d473e22138
der	w13_d473e22142
künftigen	w15_d473e22145
Claßification	w1_d473e22150
mit	w3_d473e22153
seiner	w5_d473e22156
unerwiesenen	w7_d473e22159
Anforde	w9_d473e22162
rung	w1_d473e22167
abgewiesen	w3_d473e22170
werden	w5_d473e22173
solle.	w7_d473e22176
Wornach	w9_d473e22179
sich	w11_d473e22182
ein	w13_d473e22186
jeder	w1_d473e22191
zu	w3_d473e22194
richten,	w5_d473e22197
und	w7_d473e22200
vor	w9_d473e22203
Schaden	w11_d473e22206
zu	w13_d473e22210
hüten	w15_d473e22213
wis	w17_d473e22216
sen	w1_d473e22222
wird.	w3_d473e22225
</p>
<p id="p24_d473e22229">
Von	w1_d473e22233
des	w3_d473e22236
Stifts	w5_d473e22239
Closter=neuburg	w7_d473e22242
Rentcam	w9_d473e22245
mer	w1_d473e22250
wird	w3_d473e22253
hiemit	w5_d473e22256
bekannt	w7_d473e22259
gemacht,	w9_d473e22262
daß	w11_d473e22265
über	w13_d473e22269
die	w15_d473e22272
den	w1_d473e22277
15.	w3_d473e22280
Junii,	w5_d473e22283
3.	w7_d473e22286
und	w9_d473e22289
15.	w11_d473e22292
Julii	w13_d473e22296
alhier	w15_d473e22299
fürge	w17_d473e22302
weste	w1_d473e22308
Licitations=tagsatzungen	w3_d473e22311
um	w5_d473e22314
jene	w7_d473e22317
100.	w9_d473e22320
Ei	w11_d473e22323
</p>
<p id="p28_d473e22328">
mer	w1_d473e22332
Wein	w3_d473e22335
Closter=neuburger	w5_d473e22338
1746ger=gewächs,	w7_d473e22341
welche	w1_d473e22346
der	w3_d473e22349
Frauen	w5_d473e22352
Mariä	w7_d473e22355
Theresiä	w9_d473e22358
Hermannin,	w11_d473e22361
verehelicht	w1_d473e22366
gewesten	w3_d473e22369
Posnegin	w5_d473e22372
gehörig,	w7_d473e22375
und	w9_d473e22378
im	w11_d473e22381
Stifts	w1_d473e22387
Closter=neuburgischen	w3_d473e22390
Keller	w5_d473e22393
in	w7_d473e22396
deposito	w9_d473e22399
aufbehalten	w1_d473e22404
seynd,	w3_d473e22407
ein	w5_d473e22410
Kauffer	w7_d473e22413
sich	w9_d473e22416
hervor	w11_d473e22419
ge	w13_d473e22423
than,	w1_d473e22428
und	w3_d473e22431
um	w5_d473e22434
die	w7_d473e22437
Schätzung,	w9_d473e22440
nämlich	w11_d473e22443
jeden	w13_d473e22447
Eimer	w1_d473e22452
klar	w3_d473e22455
abgezogener	w5_d473e22458
pr.	w7_d473e22461
7.	w9_d473e22464
Gulden	w11_d473e22467
zu	w13_d473e22471
über	w15_d473e22474
nehmen	w1_d473e22480
erkläret	w3_d473e22483
habe.	w5_d473e22486
Bevor	w7_d473e22489
jedoch	w9_d473e22492
solcherge	w11_d473e22495
stalten	w1_d473e22500
hierumen	w3_d473e22503
ex	w5_d473e22506
officio	w7_d473e22509
der	w9_d473e22512
Kauf	w11_d473e22515
geschlossen	w13_d473e22519
wird,	w1_d473e22524
hat	w3_d473e22527
man	w5_d473e22530
zu	w7_d473e22533
allem	w9_d473e22536
Uberfluß	w11_d473e22539
nochmalen	w13_d473e22543
eine	w15_d473e22546
Licitations=tagsatzung,	w1_d473e22551
aber	w3_d473e22554
wegen	w5_d473e22557
der	w7_d473e22560
bey	w9_d473e22563
dem	w11_d473e22566
schadhaften	w1_d473e22572
Faß	w3_d473e22575
besorglichen	w5_d473e22578
Gefahr,	w7_d473e22581
ungeacht	w9_d473e22584
instehenden	w1_d473e22589
Schnitt=ferien	w3_d473e22592
und	w5_d473e22595
auf	w7_d473e22598
den	w9_d473e22601
16.	w11_d473e22604
dies	w13_d473e22608
Monats	w1_d473e22613
um	w3_d473e22616
9.	w5_d473e22619
Uhr	w7_d473e22622
auf	w9_d473e22625
des	w11_d473e22628
aldasigen	w13_d473e22632
Stifts	w15_d473e22635
Reut=cammer,	w1_d473e22640
auch	w3_d473e22643
mit	w5_d473e22646
dem	w7_d473e22649
Beysatz	w9_d473e22652
anberau	w11_d473e22655
men	w1_d473e22661
wollen,	w3_d473e22664
daß,	w5_d473e22667
wann	w7_d473e22670
damals	w9_d473e22673
kein	w11_d473e22676
Mehrers	w13_d473e22680
gebender	w1_d473e22685
Kauffer	w3_d473e22688
beykommet,	w5_d473e22691
und	w7_d473e22694
respective	w9_d473e22697
beygebracht	w1_d473e22702
wird,	w3_d473e22705
solcher	w5_d473e22708
Wein	w7_d473e22711
sodann	w9_d473e22714
ohne	w11_d473e22717
wei	w13_d473e22721
ters	w1_d473e22726
um	w3_d473e22729
die	w5_d473e22732
Schätzung	w7_d473e22735
ex	w9_d473e22738
officio	w11_d473e22741
verkauft,	w13_d473e22745
und	w15_d473e22748
hin	w1_d473e22754
gelassen	w3_d473e22757
werden	w5_d473e22760
solle.	w7_d473e22763
</p>
<p id="p30_d473e22766">
Auf	w1_d473e22770
Verordnung	w3_d473e22773
einer	w5_d473e22776
Hoch=gräfl.	w7_d473e22779
Sigmund	w9_d473e22782
Heisensteinischen	w1_d473e22787
Herrschaft	w3_d473e22790
Starhemberg	w5_d473e22793
Piestin	w7_d473e22796
ger	w1_d473e22801
Antheils	w3_d473e22804
sollen	w5_d473e22807
all	w7_d473e22810
diejenige,	w9_d473e22813
welche	w11_d473e22816
an	w13_d473e22820
Caspar	w15_d473e22823
Pauer,	w1_d473e22829
Burgerl.	w3_d473e22832
Weisgärber	w5_d473e22835
im	w7_d473e22838
Markt	w9_d473e22841
Piesting	w11_d473e22844
ad	w1_d473e22849
cencursum	w3_d473e22852
Cre	w5_d473e22855
itorum	w7_d473e22858
