<doc id="wr_1758-07-05" attrs="word" year="1758" month="07" day="05" corpus="2">
<head id="h2_d258e3225">
Dünkirchen	w1_d258e3229
man	w11_d258e10547
von	w1_d258e10552
daher	w3_d258e10555
bekommt,	w5_d258e10558
sind	w7_d258e10561
der	w9_d258e10564
Gummi,	w11_d258e10567
Leder,	w13_d258e10571
Elephanten	w1_d258e10576
Zähne,	w3_d258e10579
Cotton,	w5_d258e10582
Gold=staub,	w7_d258e10585
Schwarze	w1_d258e10590
Sclaven,	w3_d258e10593
Straus=federn,	w5_d258e10596
Ambia	w7_d258e10599
und	w1_d258e10605
Jndigo.	w3_d258e10608
Der	w5_d258e10611
Gummi	w7_d258e10614
Handel	w9_d258e10617
wird	w11_d258e10620
von	w1_d258e10625
der	w3_d258e10628
Engländischen	w5_d258e10631
Nation	w7_d258e10634
besonders	w9_d258e10637
zu	w11_d258e10640
träglich	w1_d258e10645
angesehen,	w3_d258e10648
weil	w5_d258e10651
sie	w7_d258e10654
selbigen	w9_d258e10657
vorher	w11_d258e10660
allezeit	w1_d258e10665
von	w3_d258e10668
denen	w5_d258e10671
Franzosen	w7_d258e10674
und	w9_d258e10677
also	w11_d258e10680
durch	w13_d258e10684
die	w15_d258e10687
2te	w1_d258e10693
Hand	w3_d258e10696
haben	w5_d258e10699
erkauffen	w7_d258e10702
müssen.	w9_d258e10705
</p>
<p id="p6_d258e10708">
Von	w1_d258e10712
Lisabon:	w3_d258e10715
daß	w5_d258e10718
daselbst	w7_d258e10721
ein	w9_d258e10724
Schif	w11_d258e10727
aus	w1_d258e10732
der	w3_d258e10735
Mittelländischen	w5_d258e10738
See	w7_d258e10741
mit	w9_d258e10744
der	w11_d258e10747
Nech	w13_d258e10751
richt	w1_d258e10756
angelanget	w3_d258e10759
wäre,	w5_d258e10762
wie	w7_d258e10765
demselben	w9_d258e10768
auf	w11_d258e10771
der	w1_d258e10777
Höhe	w3_d258e10780
von	w5_d258e10783
Cap	w7_d258e10786
Gates	w9_d258e10789
eine	w11_d258e10792
Französischt	w13_d258e10796
</p>
<p id="p10_d258e10801">
und	w1_d258e10805
Engländische	w3_d258e10808
Escadre	w5_d258e10811
begegnet	w7_d258e10814
wäre,	w9_d258e10817
wel	w11_d258e10820
che	w1_d258e10825
nicht	w3_d258e10828
weit	w5_d258e10831
von	w7_d258e10834
einander	w9_d258e10837
entfernet	w11_d258e10840
gewe	w13_d258e10844
sen,	w1_d258e10849
wovon	w3_d258e10852
die	w5_d258e10855
erstere	w7_d258e10858
aus	w9_d258e10861
9.	w11_d258e10864
Schiffen	w13_d258e10868
von	w15_d258e10871
der	w1_d258e10877
Linie	w3_d258e10880
und	w5_d258e10883
4.	w7_d258e10886
Fregatten,	w9_d258e10889
unter	w11_d258e10892
dem	w13_d258e10896
Herrn	w15_d258e10899
de	w1_d258e10904
la	w3_d258e10907
Clue,	w5_d258e10910
und	w7_d258e10913
die	w9_d258e10916
andere	w11_d258e10919
aus	w13_d258e10923
12.	w15_d258e10926
Schiffen	w17_d258e10929
und	w1_d258e10934
3.	w3_d258e10937
Fregatten	w5_d258e10940
bestanden,	w7_d258e10943
daher	w9_d258e10946
man	w11_d258e10949
sich	w13_d258e10953
bald	w1_d258e10958
die	w3_d258e10961
Zeitung	w5_d258e10964
von	w7_d258e10967
einem	w9_d258e10970
See=treffen	w11_d258e10973
zu	w13_d258e10977
vermuten	w1_d258e10983
hätte.	w3_d258e10986
</p>
<p id="p12_d258e10990">
Von	w1_d258e10994
Stuttgard:	w3_d258e10997
daß	w5_d258e11000
den	w7_d258e11003
19.	w9_d258e11006
Junii	w11_d258e11009
früh	w1_d258e11014
um	w3_d258e11017
7.	w5_d258e11020
Uhr	w7_d258e11023
die	w9_d258e11026
bisher	w11_d258e11029
in	w13_d258e11033
Garnison	w15_d258e11036
ge	w17_d258e11039
standene	w1_d258e11044
Jnfanterie	w3_d258e11047
Regimenter	w5_d258e11050
unter	w7_d258e11053
Anfüh	w9_d258e11056
rung	w1_d258e11062
des	w3_d258e11065
Herrn	w5_d258e11068
General	w7_d258e11071
Leutenants,	w9_d258e11074
Baron	w11_d258e11077
von	w1_d258e11082
Röder,	w3_d258e11085
und	w5_d258e11088
Herrn	w7_d258e11091
General	w9_d258e11094
Majors,	w11_d258e11097
re	w13_d258e11101
gierenden	w1_d258e11106
Grafens	w3_d258e11109
von	w5_d258e11112
Truchses	w7_d258e11115
Scheer	w9_d258e11118
/	w11_d258e11121
von	w13_d258e11125
da	w1_d258e11130
aus,	w3_d258e11133
und	w5_d258e11136
nach	w7_d258e11139
dem	w9_d258e11142
ausgesteckten	w11_d258e11145
Lager	w13_d258e11149
zwischen	w1_d258e11155
Zuffenhausen	w3_d258e11158
und	w5_d258e11161
Kornwestheim	w7_d258e11164
ab	w9_d258e11167
marschirt	w1_d258e11172
seyen.	w3_d258e11175
Zu	w5_d258e11178
gleicher	w7_d258e11181
Zeit	w9_d258e11184
wären	w11_d258e11187
des	w1_d258e11192
Herrn	w3_d258e11195
Herzogs	w5_d258e11198
Hochfürstl.	w7_d258e11201
Durchl.	w9_d258e11204
mit	w11_d258e11207
denen	w1_d258e11212
dortigen	w3_d258e11215
Cavallerie	w5_d258e11218
und	w7_d258e11221
Jnfanterie	w9_d258e11224
Re	w11_d258e11227
gimentern,	w1_d258e11233
auch	w3_d258e11236
der	w5_d258e11239
sehr	w7_d258e11242
zahlreichen	w9_d258e11245
Artillerie	w11_d258e11248
aufgebrochen,	w1_d258e11253
und	w3_d258e11256
sodann	w5_d258e11259
das	w7_d258e11262
gesamte	w9_d258e11265
Corps	w11_d258e11268
unter	w1_d258e11273
Dero	w3_d258e11276
persönlichen	w5_d258e11279
Commando	w7_d258e11282
in	w9_d258e11285
das	w11_d258e11288
Lager	w1_d258e11293
eingerücket.	w3_d258e11296
</p>
<head id="h2_d258e11303">
Wien,	w1_d258e11307
den	w3_d258e11310
5.	w5_d258e11313
Julii	w7_d258e11316
1758.	w9_d258e11319
</head>
<p id="p4_d258e11322">
Samstag	w1_d258e11326
den	w3_d258e11329
1.	w5_d258e11332
Julii	w7_d258e11335
haben	w9_d258e11338
vor	w11_d258e11341
dem	w13_d258e11345
aller	w15_d258e11348
höchsten	w1_d258e11353
Kaiserlichen	w3_d258e11356
Thron	w5_d258e11359
bey	w7_d258e11362
Anwe	w9_d258e11365
senheit	w1_d258e11370
des	w3_d258e11373
Kaiserlichen	w5_d258e11376
Hohen	w7_d258e11379
Ministerii	w9_d258e11382
auch	w11_d258e11385
vieler	w1_d258e11391
fremden	w3_d258e11394
Herren	w5_d258e11397
Gesandten,	w7_d258e11400
und	w9_d258e11403
sehr	w11_d258e11406
zahlreichen	w1_d258e11411
Hof	w3_d258e11414
staats,	w5_d258e11417
im	w7_d258e11420
Namen	w9_d258e11423
Sr.	w11_d258e11426
Hoch	w13_d258e11430
fürstl.	w1_d258e11435
Gnaden	w3_d258e11438
zu	w5_d258e11441
Straßburg,	w7_d258e11444
der	w9_d258e11447
Hochwür	w11_d258e11450
dig=hoch=wolgeborne	w1_d258e11455
Reichs=freyherr	w3_d258e11458
Horneck	w5_d258e11461
von	w1_d258e11467
Weinheim	w3_d258e11470
dero	w5_d258e11473
geheimer	w7_d258e11476
Raht,	w9_d258e11479
als	w11_d258e11482
Bevollmächtigter,	w1_d258e11487
unter	w3_d258e11490
einem	w5_d258e11493
ansehnlichen	w7_d258e11496
Gefolg,	w1_d258e11501
die	w3_d258e11504
Belehnung	w5_d258e11507
über	w7_d258e11510
das	w9_d258e11513
Hoch=stift	w11_d258e11516
Straßburg	w1_d258e11521
mit	w3_d258e11524
denen	w5_d258e11527
gewöhnlichen	w7_d258e11530
Ceremo	w9_d258e11533
nien	w1_d258e11539
allrgnädigst	w3_d258e11542
empfangen,	w5_d258e11545
und	w7_d258e11548
dabey	w9_d258e11551
eine	w11_d258e11554
wolgefaste	w1_d258e11559
Anrede	w3_d258e11562
und	w5_d258e11565
Danksagung	w7_d258e11568
abge	w9_d258e11571
leget.	w1_d258e11576
</p>
<p id="p6_d258e11579">
Sonntags	w1_d258e11583
als	w3_d258e11586
am	w5_d258e11589
Fest	w7_d258e11592
Mariäheimsu	w9_d258e11595
chung	w1_d258e11600
seynd	w3_d258e11603
Vormittags	w5_d258e11606
beyde	w7_d258e11609
Kaiserl.	w9_d258e11612
Ma	w11_d258e11615
jest.	w1_d258e11620
mit	w3_d258e11623
Jhren	w5_d258e11626
Königl.	w7_d258e11629
Hoheiten	w9_d258e11632
dem	w11_d258e11635
Durchl.	w13_d258e11639
Erzherzogen	w1_d258e11645
Joseph,	w3_d258e11648
wie	w5_d258e11651
auch	w7_d258e11654
denen	w9_d258e11657
Durchl.	w11_d258e11660
Erz=herzoginnen	w1_d258e11665
Maria	w3_d258e11668
Anna,	w5_d258e11671
Christina	w7_d258e11674
und	w9_d258e11677
Elisabeth	w1_d258e11682
in	w3_d258e11685
offentlichen	w5_d258e11688
Staat	w7_d258e11691
herein	w9_d258e11694
in	w11_d258e11697
das	w1_d258e11702
Frauen=kloster	w3_d258e11705
deren	w5_d258e11708
Salesianerinnen	w7_d258e11711
au	w9_d258e11714
dem	w1_d258e11720
sogenannten	w3_d258e11723
Renn=weeg	w5_d258e11726
abgefahren,	w7_d258e11729
und	w9_d258e11732
haben	w1_d258e11737
alda	w3_d258e11740
dem	w5_d258e11743
feyerlichen	w7_d258e11746
Gottes=dienst,	w9_d258e11749
dann	w1_d258e11754
Nachmittags	w3_d258e11757
um	w5_d258e11760
6.	w7_d258e11763
Uhr	w9_d258e11766
mittelst	w11_d258e11769
Her	w13_d258e11773
ein=verfügung	w1_d258e11778
mit	w3_d258e11781
Höchst=besagten	w5_d258e11784
Königl.	w7_d258e11787
Hoheiten	w1_d258e11793
zu	w3_d258e11796
denen	w5_d258e11799
obern	w7_d258e11802
Jesuiten	w9_d258e11805
in	w11_d258e11808
beyder	w13_d258e11812
</p>
<p id="p8_d258e11815">
maliger	w1_d258e11819
Aufwartung	w3_d258e11822
Seinser	w5_d258e11825
Epeillenz	w7_d258e11828
des	w9_d258e11831
Päpstl.	w1_d258e11836
Monsig.	w3_d258e11839
Nuntii,	w5_d258e11842
der	w7_d258e11845
Vesper	w9_d258e11848
und	w11_d258e11851
nach	w13_d258e11855
solcher	w1_d258e11860
bey	w3_d258e11863
der	w5_d258e11866
Marianischen	w7_d258e11869
Saulen	w9_d258e11872
auf	w11_d258e11875
dem	w13_d258e11879
Hof,	w1_d258e11885
der	w3_d258e11888
Lauretanischen	w5_d258e11891
Litaney	w7_d258e11894
beygewohnet;	w9_d258e11897
folglichen	w1_d258e11902
nacher	w3_d258e11905
Schönbrunn	w5_d258e11908
sich	w7_d258e11911
anwiederum	w9_d258e11914
zuruck	w1_d258e11919
verfüget.	w3_d258e11922
</p>
<p id="p10_d258e11925">
Montags	w1_d258e11929
den	w3_d258e11932
3ten	w5_d258e11935
dito	w7_d258e11938
Vormittags	w9_d258e11941
um	w11_d258e11944
10.	w1_d258e11949
Uhr,	w3_d258e11952
haben	w5_d258e11955
Jhre	w7_d258e11958
Majestät	w9_d258e11961
die	w11_d258e11964
Kaise	w13_d258e11968
rin	w1_d258e11973
mit	w3_d258e11976
Jhren	w5_d258e11979
Königl.	w7_d258e11982
Hoheiten	w9_d258e11985
dem	w11_d258e11988
Durchl.	w13_d258e11992
Erz=herzogen	w1_d258e11998
Joseph,	w3_d258e12001
wie	w5_d258e12004
auch	w7_d258e12007
denen	w9_d258e12010
Durchl	w11_d258e12013
Erz=herzoginnen	w1_d258e12018
Maria	w3_d258e12021
Anna,	w5_d258e12024
und	w7_d258e12027
Christina,	w9_d258e12030
herein	w1_d258e12035
zu	w3_d258e12038
denen	w5_d258e12041
WW.	w7_d258e12044
EE.	w9_d258e12047
PP.	w11_d258e12050
Augusti	w13_d258e12054
nern	w1_d258e12059
sich	w3_d258e12062
begeben,	w5_d258e12065
und	w7_d258e12068
in	w9_d258e12071
dem	w11_d258e12074
Oratorio	w13_d258e12078
der	w15_d258e12081
aldasigen	w1_d258e12087
Todten=capelle	w3_d258e12090
dem	w5_d258e12093
angeordne	w7_d258e12096
ten	w1_d258e12101
Soldaten=seelen=amt	w3_d258e12104
beygewohnet,	w5_d258e12107
dann	w7_d258e12110
hierauf	w1_d258e12115
nacher	w3_d258e12118
Schönbrunn	w5_d258e12121
sich	w7_d258e12124
zuruck	w9_d258e12127
ver	w11_d258e12130
füget,	w1_d258e12135
alwo	w3_d258e12138
Mittags	w5_d258e12141
der	w7_d258e12144
Herr	w9_d258e12147
Major	w11_d258e12150
von	w13_d258e12154
Voit	w1_d258e12160
von	w3_d258e12163
dem	w5_d258e12166
neu=aufgerichteten	w7_d258e12169
Fürst	w9_d258e12172
Lö	w11_d258e12175
wensteinischen	w1_d258e12180
leichten	w3_d258e12183
Dragoner=regiment	w5_d258e12186
mit	w1_d258e12191
8.	w3_d258e12194
blasenden	w5_d258e12197
Postillionen,	w7_d258e12200
und	w9_d258e12203
2.	w11_d258e12206
Post	w13_d258e12210
beamten	w1_d258e12215
zu	w3_d258e12218
ungemeiner	w5_d258e12221
Freude	w7_d258e12224
aller	w9_d258e12227
getreuen	w11_d258e12230
Vasallen	w1_d258e12236
eingeritten,	w3_d258e12239
und	w5_d258e12242
die	w7_d258e12245
förmliche	w9_d258e12248
Re	w11_d258e12251
lation	w1_d258e12256
wegen	w3_d258e12259
des	w5_d258e12262
den	w7_d258e12265
29.	w9_d258e12268
erst=abgewichenen	w11_d258e12271
Monats	w1_d258e12276
Junii	w3_d258e12279
glücklich	w5_d258e12282
aufgehobenen	w7_d258e12285
groß	w9_d258e12288
sen	w1_d258e12293
Preußischen	w3_d258e12296
Transports,	w5_d258e12299
welcher	w7_d258e12302
zur	w9_d258e12305
Fort	w11_d258e12308
setzung	w1_d258e12314
der	w3_d258e12317
Belagerung	w5_d258e12320
Ollmütz	w7_d258e12323
bestimmt	w9_d258e12326
ware,	w1_d258e12331
und	w3_d258e12334
der	w5_d258e12337
darbey	w7_d258e12340
geschlagenen	w9_d258e12343
Convoy	w11_d258e12346
überbracht,	w1_d258e12351
wovon	w3_d258e12354
die	w5_d258e12357
umständliche	w7_d258e12360
Be	w9_d258e12363
schreibung	w1_d258e12368
in	w3_d258e12371
beygehenden	w5_d258e12374
Extra=blat	w7_d258e12377
be	w9_d258e12380
griffen	w1_d258e12386
ist.	w3_d258e12389
</p>
<p id="p12_d258e12393">
Gestrigen	w1_d258e12397
Dienstags	w3_d258e12400
den	w5_d258e12403
4.	w7_d258e12406
dieses	w9_d258e12409
nach	w11_d258e12412
dem	w1_d258e12417
Ordinari=gottesdienst	w3_d258e12420
seynd	w5_d258e12423
beyde	w7_d258e12426
Kaiserl.	w9_d258e12429
Majestäten	w1_d258e12434
mit	w3_d258e12437
Staats	w5_d258e12440
und	w7_d258e12443
Landes=sachen	w9_d258e12446
beschäftiget	w1_d258e12452
gewesen,	w3_d258e12455
dann	w5_d258e12458
nach	w7_d258e12461
11.	w9_d258e12464
Uhr	w11_d258e12467
Mittags	w1_d258e12472
ist	w3_d258e12475
der	w5_d258e12478
Kaiserl.	w7_d258e12481
Königl.	w9_d258e12484
Herr	w11_d258e12487
Ge	w13_d258e12491
neral	w1_d258e12496
Major	w3_d258e12499
Graf	w5_d258e12502
v.	w7_d258e12505
Draskowitz	w9_d258e12508
mit	w11_d258e12511
der	w13_d258e12515
wei	w15_d258e12518
tern	w1_d258e12523
Höchst=erfreulichen	w3_d258e12526
Zeitung	w5_d258e12529
von	w7_d258e12532
der	w9_d258e12535
Befreyung	w1_d258e12541
der	w3_d258e12544
Mährischen	w5_d258e12547
Haupt=stadt	w7_d258e12550
und	w9_d258e12553
Festung	w1_d258e12558
Ollmütz,	w3_d258e12561
und	w5_d258e12564
Aufhebung	w7_d258e12567
der	w9_d258e12570
darvor	w11_d258e12573
gewesten	w1_d258e12578
Preußischen	w3_d258e12581
Belagerung	w5_d258e12584
mit	w7_d258e12587
24.	w9_d258e12590
blasenden	w1_d258e12595
Postillionen	w3_d258e12598
und	w5_d258e12601
4.	w7_d258e12604
Post	w9_d258e12607
beamten,	w11_d258e12610
durch	w1_d258e12616
die	w3_d258e12619
alhiesige	w5_d258e12622
Kaiserl.	w7_d258e12625
Residenz=stadt	w9_d258e12628
nacher	w1_d258e12633
Schönbrunn	w3_d258e12636
eingeritten,	w5_d258e12639
wovon	w7_d258e12642
gleich	w9_d258e12645
falls	w1_d258e12650
das	w3_d258e12653
beykommende	w5_d258e12656
Extra=blat	w7_d258e12659
das	w9_d258e12662
mel	w11_d258e12665
rere	w1_d258e12670
enthält.	w3_d258e12673
</p>
<p id="p14_d258e12676">
Nachdeme	w1_d258e12680
die	w3_d258e12683
geistliche	w5_d258e12686
Exercitien	w7_d258e12689
an	w9_d258e12692
dem	w11_d258e12695
hierzu	w1_d258e12700
gewiedmeten	w3_d258e12703
Ort	w5_d258e12706
auf	w7_d258e12709
der	w9_d258e12712
Maur,	w11_d258e12715
den	w13_d258e12719
17	w1_d258e12724
künftigen	w3_d258e12727
Monats	w5_d258e12730
Julii,	w7_d258e12733
ihren	w9_d258e12736
Anfang	w11_d258e12739
nehmen,	w1_d258e12745
und	w3_d258e12748
bis	w5_d258e12751
auf	w7_d258e12754
das	w9_d258e12757
Fest	w11_d258e12760
der	w13_d258e12764
H.	w15_d258e12767
Mag	w17_d258e12770
dalena	w1_d258e12775
werden	w3_d258e12778
fortgesetzet	w5_d258e12781
werden:	w7_d258e12784
hiebey	w9_d258e12787
aber	w1_d258e12792
den	w3_d258e12795
erst=gemeldeten	w5_d258e12798
17.	w7_d258e12801
Julii	w9_d258e12804
Nachmit	w11_d258e12807
</p>
<p id="p18_d258e12812">
tag	w1_d258e12816
zwischen	w3_d258e12819
4.	w5_d258e12822
und	w7_d258e12825
5.	w9_d258e12828
Uhr	w11_d258e12831
zu	w13_d258e12835
erscheinen	w15_d258e12838
ist,	w17_d258e12841
der	w1_d258e12846
Schluß	w3_d258e12849
sodann	w5_d258e12852
am	w7_d258e12855
22.,	w9_d258e12858
als	w11_d258e12861
am	w13_d258e12865
besa	w15_d258e12868
ten	w1_d258e12873
Fest=tag	w3_d258e12876
der	w5_d258e12879
H.	w7_d258e12882
Magdalena	w9_d258e12885
Vormittag	w11_d258e12888
beschehen	w1_d258e12894
wird:	w3_d258e12897
als	w5_d258e12900
beschiehet	w7_d258e12903
an	w9_d258e12906
all	w11_d258e12909
dieje	w13_d258e12913
nige	w1_d258e12918
respective	w3_d258e12921
Herren	w5_d258e12924
Liebhaber,	w7_d258e12927
so	w9_d258e12930
solche	w11_d258e12933
mitzumachen	w1_d258e12938
gedenken,	w3_d258e12941
daß	w5_d258e12944
freundliche	w7_d258e12947
Er	w9_d258e12950
suchen,	w1_d258e12955
ihre	w3_d258e12958
Namen	w5_d258e12961
bey	w7_d258e12964
zeiten	w9_d258e12967
zur	w11_d258e12970
Pforten	w13_d258e12974
des	w1_d258e12980
Kaiserl.	w3_d258e12983
Prob=hauses	w5_d258e12986
S.	w7_d258e12989
J.	w9_d258e12992
bey	w11_d258e12995
St.	w13_d258e12999
Anna	w15_d258e13002
alhier	w1_d258e13007
zuschicken,	w3_d258e13010
oder	w5_d258e13013
sich	w7_d258e13016
bey	w9_d258e13019
dem	w11_d258e13022
R.	w13_d258e13026
P.	w15_d258e13029
Rectore	w1_d258e13034
des	w3_d258e13037
erst	w5_d258e13040
benannten	w7_d258e13043
Prob=hauses	w9_d258e13046
zu	w11_d258e13049
meldten,	w1_d258e13054
damit	w3_d258e13057
alle	w5_d258e13060
nöhtige	w7_d258e13063
Vorsehung	w9_d258e13066
be	w11_d258e13069
schehen	w1_d258e13075
möge.	w3_d258e13078
</p>
<head id="h2_d258e13084">
Lista	w1_d258e13088
deren	w3_d258e13091
Verstorbenen	w5_d258e13094
zu	w7_d258e13097
Wien	w9_d258e13100
in	w1_d258e13105
und	w3_d258e13108
vor	w5_d258e13111
der	w7_d258e13114
Stadt.	w9_d258e13117
Den	w1_d258e13122
30.	w3_d258e13125
Junii.	w5_d258e13128
Jn	w1_d258e13134
der	w3_d258e13137
Stadt.	w5_d258e13140
</head>
<list id="l4_d258e13143">
Dem	w1_d258e13147
Hoch=edel=geb.	w3_d258e13150
Hrn.	w5_d258e13153
Franz	w7_d258e13156
Leop.	w9_d258e13159
v.	w11_d258e13162
Keßlern	w13_d258e13166
Jhrer	w1_d258e13171
K.	w3_d258e13174
K.	w5_d258e13177
M.	w7_d258e13180
Raht,	w9_d258e13183
und	w11_d258e13186
geheim.	w13_d258e13190
Direct.	w15_d258e13193
o	w17_d258e13196
secret.,	w1_d258e13201
s	w3_d258e13204
Fr.	w5_d258e13207
Maria	w7_d258e13210
Krancisca,	w9_d258e13213
im	w11_d258e13216
Popowitzis.	w13_d258e13220
H.	w1_d258e13226
am	w3_d258e13229
Lug=eck,	w5_d258e13232
alt	w7_d258e13235
46.	w9_d258e13238
J.	w11_d258e13241
Joh.	w1_d258e13246
Engelhard,	w3_d258e13249
gew.	w5_d258e13252
Burgerl.	w7_d258e13255
Schuh=mach.,	w9_d258e13258
im	w11_d258e13261
Fepertagis.	w1_d258e13266
H.	w3_d258e13269
im	w5_d258e13272
Haar=hof,	w7_d258e13275
alt	w9_d258e13278
61.	w11_d258e13281
J.	w13_d258e13285
Joh.	w1_d258e13290
Peyerl,	w3_d258e13293
K.	w5_d258e13296
K.	w7_d258e13299
Zeug=schlosser	w9_d258e13302
meist.,	w11_d258e13305
und	w13_d258e13309
Stuck	w15_d258e13312
verscheauf.,	w1_d258e13318
im	w3_d258e13321
K.	w5_d258e13324
K.	w7_d258e13327
Zeug=h.,	w9_d258e13330
alt	w11_d258e13333
77.	w13_d258e13337
J.	w15_d258e13340
Der	w1_d258e13345
Juliana	w3_d258e13348
Wirlin,	w5_d258e13351
Burgerl.	w7_d258e13354
Wittwe,	w9_d258e13357
ihr	w11_d258e13360
K.	w13_d258e13364
Paul,	w1_d258e13369
im	w3_d258e13372
Mapenbergis.	w5_d258e13375
H.	w7_d258e13378
in	w9_d258e13381
der	w11_d258e13384
Himmtl=pfort	w13_d258e13388
gas,	w1_d258e13393
alt	w3_d258e13396
9.	w5_d258e13399
J.	w7_d258e13402
Dorothea	w1_d258e13408
Stanglin,	w3_d258e13411
alt	w5_d258e13414
68.	w7_d258e13417
J.,	w9_d258e13420
im	w11_d258e13423
K.	w13_d258e13427
K.	w15_d258e13430
Hof=pit.	w17_d258e13433
</list>
<head id="h2_d258e13440">
Vor	w1_d258e13444
der	w3_d258e13447
Stadt.	w5_d258e13450
</head>
<list id="l4_d258e13453">
Dem	w1_d258e13457
Paul	w3_d258e13460
Pleschka,	w5_d258e13463
Burgerl.	w7_d258e13466
Zischma=mach.	w9_d258e13469
s.	w11_d258e13472
K.	w13_d258e13476
Cathar.,	w1_d258e13481
beym	w3_d258e13484
schwarz.	w5_d258e13487
Thor	w7_d258e13490
bey	w9_d258e13493
Maria=dulf,	w11_d258e13496
alt	w1_d258e13501
7.	w3_d258e13504
J.	w5_d258e13507
Dem	w1_d258e13513
Franz	w3_d258e13516
Pentsch,	w5_d258e13519
Kommer=dien.,	w7_d258e13522
s.	w9_d258e13525
K.	w11_d258e13528
Elisab.,	w13_d258e13532
beym	w1_d258e13537
bl.	w3_d258e13540
Wolf.	w5_d258e13543
auf	w7_d258e13546
der	w9_d258e13549
Wied.,	w11_d258e13552
alt	w13_d258e13556
1.	w15_d258e13559
J.	w17_d258e13562
Dem	w1_d258e13567
Wenzel	w3_d258e13570
Heineman,	w5_d258e13573
Vergoldt.	w7_d258e13576
s.	w9_d258e13579
W.	w11_d258e13582
Anna,	w13_d258e13586
bey	w1_d258e13591
der	w3_d258e13594
Rundrl.	w5_d258e13597
bey	w7_d258e13600
St.	w9_d258e13603
Ulrich,	w11_d258e13606
alt	w13_d258e13610
59.	w15_d258e13613
J.	w17_d258e13616
Dem	w1_d258e13622
Ludw.	w3_d258e13625
Lehner,	w5_d258e13628
Lack,	w7_d258e13631
s.	w9_d258e13634
W.	w11_d258e13637
Justina,	w13_d258e13641
in	w15_d258e13644
dem	w17_d258e13647
Steinmetzis.	w1_d258e13652
H.	w3_d258e13655
zu	w5_d258e13658
Erdberg,	w7_d258e13661
alt	w9_d258e13664
50.	w11_d258e13667
J.	w13_d258e13671
Dem	w1_d258e13676
Franz	w3_d258e13679
Heilmarr,	w5_d258e13682
Kutsch.,	w7_d258e13685
s.	w9_d258e13688
K.	w11_d258e13691
Gabtiel,	w13_d258e13695
beyn	w15_d258e13698
Pin=apfel	w1_d258e13703
auf	w3_d258e13706
der	w5_d258e13709
Landstr,	w7_d258e13712
alt	w9_d258e13715
6.	w11_d258e13718
v.	w13_d258e13722
J.	w15_d258e13725
Barb.	w1_d258e13731
Wimmerin,	w3_d258e13734
Wittwe,	w5_d258e13737
beym	w7_d258e13740
gold.	w9_d258e13743
Bärn	w11_d258e13746
am	w13_d258e13750
Spitalberg,	w1_d258e13755
alt	w3_d258e13758
88.	w5_d258e13761
J.	w7_d258e13764
Dem	w1_d258e13769
Joh.	w3_d258e13772
Parchka,	w5_d258e13775
Maurern,	w7_d258e13778
s.	w9_d258e13781
W.	w11_d258e13784
Cathar.,	w13_d258e13788
im	w15_d258e13791
Kleinis.	w1_d258e13796
H.	w3_d258e13799
zu	w5_d258e13802
Erzberg,	w7_d258e13805
alt	w9_d258e13808
70.	w11_d258e13811
J	w13_d258e13815
Bard.	w1_d258e13821
Jrachin.	w3_d258e13824
Wittwe,	w5_d258e13827
im	w7_d258e13830
Platzmeisteres.	w9_d258e13833
H.	w11_d258e13836
auf	w13_d258e13840
der	w1_d258e13845
Wied,	w3_d258e13848
alt	w5_d258e13851
64.	w7_d258e13854
J.	w9_d258e13857
Sebast.	w1_d258e13862
Paul,	w3_d258e13865
im	w5_d258e13868
Ardeit=H.	w7_d258e13871
alt	w9_d258e13874
56.	w11_d258e13877
J.	w13_d258e13881
</list>
<head id="h2_d258e13888">
Den	w1_d258e13892
1.	w3_d258e13895
Julii.	w5_d258e13898
Jn	w1_d258e13903
der	w3_d258e13906
Stadt.	w5_d258e13909
</head>
<list id="l4_d258e13912">
Basilius	w1_d258e13916
Todter,	w3_d258e13919
Griechis.	w5_d258e13922
Handels=m.,	w7_d258e13925
im	w9_d258e13928
Stey	w11_d258e13931
rer	w1_d258e13936
hof,	w3_d258e13939
alt	w5_d258e13942
36.	w7_d258e13945
J.	w9_d258e13948
</list>
<head id="h2_d258e13955">
Vor	w1_d258e13959
der	w3_d258e13962
Stadt.	w5_d258e13965
</head>
<list id="l4_d258e13968">
Dem	w1_d258e13972
Hrn.	w3_d258e13975
Theodor	w5_d258e13978
Crainer,	w7_d258e13981
Herrschaftl.	w9_d258e13984
Kam	w11_d258e13987
mer=dien.,	w1_d258e13992
s.	w3_d258e13995
Fr.	w5_d258e13998
Cathar,	w7_d258e14001
beyn	w9_d258e14004
3.	w11_d258e14007
Kannen	w13_d258e14011
bey	w15_d258e14014
Maria=hülf,	w1_d258e14019
alt	w3_d258e14022
30.	w5_d258e14025
J.	w7_d258e14028
</list>
<list id="l6_d258e14032">
Dem	w1_d258e14036
Phil.	w3_d258e14039
Buchmüller,	w5_d258e14042
Burgerl.	w7_d258e14045
Strümpf=strick,	w9_d258e14048
s.	w1_d258e14053
K.	w3_d258e14056
Jos.,	w5_d258e14059
bey	w7_d258e14062
der	w9_d258e14065
Schwan.	w11_d258e14068
in	w13_d258e14072
der	w15_d258e14075
Leopoldst.	w17_d258e14078
alt	w19_d258e14081
3.	w1_d258e14086
J.	w3_d258e14089
Antonia	w1_d258e14095
Meynharbtin,	w3_d258e14098
led.	w5_d258e14101
