<doc id="edoc_wd_1772-06-17" attrs="word" year="1772" month="06" day="17" corpus="1">
<head id="hl1">
Venedig	w28
Von	w8764
der	w8765
fürstl	w8766
<g/>
.
Erzbischöfl	w8768
<g/>
.
Herrschaft	w8770
Neun=kirchen	w8771
<g/>
=
am	w8773
Steinfelde	w8774
Amtskanzley	w8775
wegen	w8776
<g/>
:
Wird	w8778
hiemit	w8779
jedermänniglich	w8780
kund	w8781
und	w8782
zu	w8783
wissen	w8784
ge=macht	w8785
<g/>
=
<g/>
,
den	w8788
23ten	w8789
Brachmonats	w8790
a	w8791
<g/>
.
c	w8793
<g/>
.
Vormit=tag	w8795
<g/>
=
um	w8797
9	w8798
<g/>
.
Uhr	w8800
das	w8801
allhiesig	w8802
herrschaftlche	w8803
freye	w8804
</p>
<p id="p90">
Schildwirthshaus	w8807
im	w8808
Thall	w8809
<g/>
,
zur	w8811
Schwannen	w8812
ge=nandt	w8813
<g/>
=
<g/>
,
mit	w8816
zu	w8817
ebener	w8818
Erden	w8819
<g/>
,
und	w8821
im	w8822
obern	w8823
Stock	w8824
versehenen	w8825
Zimmern	w8826
<g/>
,
Kuchel	w8828
<g/>
,
Keller	w8830
<g/>
,
Stallung	w8832
<g/>
,
Preßhaus	w8834
und	w8835
Stadl	w8836
<g/>
,
samt	w8838
<g/>
=
und	w8840
Umgeld	w8841
<g/>
,
dann	w8843
4	w8844
<g/>
.
Joch	w8846
darzu	w8847
gehörigen	w8848
Aeckern	w8849
in	w8850
Spiegl	w8851
<g/>
,
und	w8853
1	w8854
<g/>
.
Tagwerk	w8856
detto	w8857
am	w8858
Haus	w8859
an	w8860
<g/>
,
nebst	w8862
noch	w8863
anderen	w8864
unweit	w8865
entlegenen	w8866
3	w8867
<g/>
.
herrschaftl	w8869
<g/>
.
Tag=werkäckern	w8871
<g/>
=
dem	w8873
Meistbietenden	w8874
wird	w8875
in	w8876
Bestand	w8877
verlassen	w8878
werden	w8879
<g/>
.
Wer	w8881
nun	w8882
solches	w8883
mit	w8884
bemeld=ten	w8885
<g/>
=
Gründen	w8887
im	w8888
Bestand	w8889
zu	w8890
nehmen	w8891
gedenket	w8892
<g/>
,
hat	w8894
sich	w8895
an	w8896
obbestimmten	w8897
Tag	w8898
und	w8899
Stund	w8900
in	w8901
der	w8902
allhiesigen	w8903
Herrschaftskanzley	w8904
Neunkirchen	w8905
am	w8906
Steinfelde	w8907
beliebig	w8908
einzufinden	w8909
<g/>
.
</p>
<p id="p91">
Von	w8911
der	w8912
Amtskanzley	w8913
des	w8914
kaiserl	w8915
<g/>
.
Frauenstift	w8917
zum	w8918
heil	w8919
<g/>
.
Kreuz	w8921
in	w8922
Tulln	w8923
<g/>
,
als	w8925
Herrschaft	w8926
Ober=döbling	w8927
<g/>
=
<g/>
,
wird	w8930
hiemit	w8931
jedermänniglich	w8932
kund	w8933
und	w8934
zu	w8935
wissen	w8936
gemacht	w8937
<g/>
:
Welchergestalten	w8939
die	w8940
nach	w8941
Ab=sterben	w8942
<g/>
=
Konrad	w8944
Jsaias	w8945
Denk	w8946
gewesten	w8947
Unterthann	w8948
<g/>
,
ledig	w8950
gewardene	w8951
Behausung	w8952
an	w8953
der	w8954
Nußdorfer=straß	w8955
<g/>
=
zu	w8957
Oberdöbling	w8958
neben	w8959
Titl	w8960
<g/>
.
Herrn	w8962
von	w8963
Rohr	w8964
<g/>
,
und	w8966
Leopold	w8967
Engelbrecht	w8968
liegend	w8969
<g/>
,
samt	w8971
darauf	w8972
radicirten	w8973
Brandweinschanksgerechtigkeit	w8974
<g/>
,
den	w8976
30sten	w8977
dies	w8978
laufenden	w8979
Monats	w8980
Juny	w8981
früh	w8982
um	w8983
9	w8984
<g/>
.
Uhr	w8986
<g/>
,
pro	w8988
1mo	w8989
<g/>
,
2do	w8991
<g/>
,
3tio	w8993
ac	w8994
ultimo	w8995
termino	w8996
cum	w8997
clausula	w8998
præclusipraeclusi	w8999
<g/>
,
dem	w9001
Meistbietenden	w9002
ver=kaufet	w9003
<g/>
=
werden	w9005
wird	w9006
<g/>
.
Wer	w9008
nun	w9009
vorgemeldt	w9010
Den=kische	w9011
<g/>
=
Behausung	w9013
käuflich	w9014
an	w9015
sich	w9016
zu	w9017
bringen	w9018
<g/>
,
oder	w9020
an	w9021
selber	w9022
Sprüch	w9023
<g/>
,
und	w9025
Forderungen	w9026
zu	w9027
ma=chen	w9028
<g/>
=
gedenket	w9030
<g/>
,
kann	w9032
sich	w9033
an	w9034
obbesagten	w9035
Tag	w9036
und	w9037
Stund	w9038
in	w9039
Eingangs	w9040
erwähnter	w9041
Stiftsgrundstuben	w9042
zu	w9043
Oberdöbling	w9044
behörig	w9045
anmelden	w9046
<g/>
.
</p>
<p id="p92">
Von	w9048
der	w9049
freyherrl	w9050
<g/>
.
Waffenbergischen	w9052
Herrschaft	w9053
Mödling	w9054
vesten	w9055
Lichtenstein	w9056
Amtskanzley	w9057
wegen	w9058
<g/>
,
wird	w9060
hiemit	w9061
jedermann	w9062
kund	w9063
<g/>
,
und	w9065
zu	w9066
wissen	w9067
ge=macht	w9068
<g/>
=
<g/>
.
Wasgestalten	w9071
über	w9072
die	w9073
unterm	w9074
9	w9075
<g/>
.
März	w9077
<g/>
,
29	w9079
<g/>
.
August	w9081
<g/>
.
16	w9083
<g/>
.
Sept	w9085
<g/>
.
7	w9087
<g/>
.
Novemb	w9089
<g/>
.
und	w9091
9	w9092
<g/>
.
Decemb	w9094
<g/>
.
vorigen	w9096
1771	w9097
<g/>
.
Jahrs	w9099
fürgeweste	w9100
aus	w9101
Mangel	w9102
der	w9103
Kauflustigen	w9104
aber	w9105
jedesmahl	w9106
fruchtlos	w9107
abgeloffe=nen	w9108
<g/>
=
Licitationstagsatzungen	w9110
bey	w9111
der	w9112
zwischen	w9113
den	w9114
Joh	w9115
<g/>
.
Georg	w9117
Held	w9118
<g/>
,
als	w9120
Trenckerischen	w9121
Cessiona-rium	w9122
<g/>
-
<g/>
;
dann	w9125
den	w9126
gerichtlich	w9127
verordneten	w9128
Joseph	w9129
Grießbacherischen	w9130
Hrn	w9131
<g/>
.
Curatorem	w9133
ad	w9134
lites	w9135
für	w9136
den	w9137
aufgestellten	w9138
freyherrl	w9139
<g/>
.
Waffenbergischen	w9141
Ju-dicio	w9142
<g/>
-
Delegato	w9144
den	w9145
21	w9146
<g/>
.
May	w9148
dies	w9149
Jahrs	w9150
fürgewe=sten	w9151
<g/>
=
Tagsatzung	w9153
verglichen	w9154
worden	w9155
<g/>
,
daß	w9157
auf	w9158
ein	w9159
<g/>
,
oder	w9161
des	w9162
andern	w9163
Theils	w9164
Anlangen	w9165
ein	w9166
allendliches	w9167
Licitationsedikt	w9168
auf	w9169
3	w9170
<g/>
.
Wochen	w9172
<g/>
,
jedoch	w9174
mit	w9175
Ein=schließung	w9176
<g/>
=
deren	w9178
Pfingstferien	w9179
<g/>
,
und	w9181
mit	w9182
der	w9183
Clau-sul	w9184
<g/>
-
<g/>
,
daß	w9187
im	w9188
widrigen	w9189
dem	w9190
Joh	w9191
<g/>
.
Georg	w9193
Held	w9194
<g/>
,
als	w9196
Trenckerischen	w9197
Cessionario	w9198
die	w9199
Wallnerische	w9200
Wirth=schaft	w9201
<g/>
=
nach	w9203
der	w9204
Schätzung	w9205
überlassen	w9206
seyn	w9207
solle	w9208
<g/>
,
ausgestellet	w9210
werden	w9211
solle	w9212
<g/>
.
Wann	w9214
nun	w9215
also	w9216
auf	w9217
das	w9218
von	w9219
besagten	w9220
Joh	w9221
<g/>
.
Georg	w9223
Held	w9224
unterm	w9225
23	w9226
<g/>
.
Curen-tisCurentis	w9228
<g/>
-
beschehenes	w9230
Anlangen	w9231
<g/>
,
und	w9233
hierüber	w9234
erlassenes	w9235
Decret	w9236
in	w9237
eine	w9238
nochmalig	w9239
<g/>
=
und	w9241
all	w9242
endliche	w9243
LiciLicitirung	w9244
<g/>
=
</p>
<p id="p93">
tirung	w9246
sammentlicher	w9247
Joseph	w9248
Grießbacherischen	w9249
Corporum	w9250
bestehend	w9251
in	w9252
einer	w9253
zu	w9254
Enzerstorf	w9255
am	w9256
Gebürg	w9257
gelegenen	w9258
Behausung	w9259
sub	w9260
Nro	w9261
<g/>
.
59	w9263
<g/>
.
so	w9265
mit	w9266
einem	w9267
Keller	w9268
auf	w9269
4000	w9270
<g/>
.
Emmer	w9272
Wein	w9273
zu	w9274
legen	w9275
versehen	w9276
<g/>
,
sammt	w9278
hierzu	w9279
gehörigen	w9280
10	w9281
<g/>
.
Pf	w9283
<g/>
.
Haussätz=weingarten	w9285
<g/>
=
<g/>
,
dann	w9288
30	w9289
<g/>
.
Pfund	w9291
Ueberländweingar=ten	w9292
<g/>
=
in	w9294
der	w9295
Lucken	w9296
<g/>
,
oder	w9298
Mittereggern	w9299
<g/>
,
6	w9301
<g/>
.
Pfund	w9303
allda	w9304
ob	w9305
Enzerstorf	w9306
<g/>
,
23	w9308
<g/>
.
Pf	w9310
<g/>
.
Pottendorfer	w9312
oder	w9313
Brunerberg	w9314
an	w9315
Minichparz	w9316
17	w9317
<g/>
.
Pf	w9319
<g/>
.
allda	w9321
<g/>
,
18	w9323
<g/>
.
Pf	w9325
<g/>
.
daselbst	w9327
<g/>
,
40	w9329
<g/>
.
Pf	w9331
<g/>
.
Brunerberg	w9333
in	w9334
Leiteln	w9335
gegen	w9336
den	w9337
Herzogberg	w9338
<g/>
,
22	w9340
<g/>
.
Pf	w9342
<g/>
.
Gürtler	w9344
in	w9345
Rosendorn	w9346
<g/>
,
13	w9348
<g/>
.
Pf	w9350
<g/>
.
Krammer	w9352
oder	w9353
Hienerkogl	w9354
<g/>
,
11	w9356
<g/>
.
Pf	w9358
<g/>
.
Langsetz	w9360
in	w9361
Mödlingerfreyheit	w9362
<g/>
,
und	w9364
endlichen	w9365
4	w9366
<g/>
.
Tagwerk=wiesen	w9368
<g/>
=
in	w9370
der	w9371
Goldtruchen	w9372
<g/>
,
oder	w9374
Froschenau	w9375
<g/>
,
wie	w9377
nicht	w9378
minder	w9379
die	w9380
über	w9381
2000	w9382
Emmer	w9383
vorfindig	w9384
lehre	w9385
Fässer	w9386
in	w9387
eisenen	w9388
Banden	w9389
<g/>
,
theils	w9391
brauchbar	w9392
<g/>
,
theils	w9394
unbrauchbar	w9395
in	w9396
verschiedenen	w9397
Gattungen	w9398
gewilli=get	w9399
<g/>
=
<g/>
,
und	w9402
zu	w9403
dem	w9404
Ende	w9405
hierzu	w9406
der	w9407
24	w9408
<g/>
.
Juny	w9410
dies	w9411
Jahrs	w9412
mit	w9413
Einschließung	w9414
deren	w9415
inzwischen	w9416
fallen=den	w9417
<g/>
=
Pfinstferien	w9419
zur	w9420
allendlichen	w9421
Frist	w9422
hiemit	w9423
an=beraumet	w9424
<g/>
=
worden	w9426
<g/>
.
Als	w9428
haben	w9429
diejenige	w9430
<g/>
,
welche	w9432
ein	w9433
<g/>
=
und	w9435
anderes	w9436
von	w9437
vorspecificirten	w9438
Corporibus	w9439
zu	w9440
erkaufen	w9441
gedenken	w9442
<g/>
,
an	w9444
obbestimmten	w9445
Tag	w9446
früh	w9447
von	w9448
9	w9449
<g/>
.
bis	w9451
12	w9452
<g/>
.
Nachmittag	w9454
von	w9455
3	w9456
<g/>
.
bis	w9458
6	w9459
<g/>
.
Uhr	w9461
in	w9462
besagter	w9463
Behausung	w9464
Nro	w9465
<g/>
.
59	w9467
<g/>
.
zu	w9469
Enzerstorf	w9470
zu	w9471
er=scheinen	w9472
<g/>
=
<g/>
,
wozu	w9475
auch	w9476
die	w9477
sämmtliche	w9478
Joseph	w9479
Grieß=bacherische	w9480
<g/>
=
Creditores	w9482
nebst	w9483
Mitbringung	w9484
anstän=diger	w9485
<g/>
=
Käufern	w9487
dergestalten	w9488
fürgefordet	w9489
werden	w9490
<g/>
,
wie	w9492
im	w9493
widrigen	w9494
bey	w9495
nicht	w9496
vorhandenen	w9497
Käufern	w9498
dem	w9499
obbemeldten	w9500
Held	w9501
als	w9502
Trenckerischen	w9503
Ces-sionario	w9504
<g/>
-
diese	w9506
Corpora	w9507
nach	w9508
der	w9509
Schätzung	w9510
über=lassen	w9511
<g/>
=
seyn	w9513
soll	w9514
<g/>
.
</p>
<p id="p94">
Das	w9516
fürstl	w9517
<g/>
.
Stiftamt	w9519
des	w9520
Jungfrauenklosters	w9521
zu	w9522
Trebnitz	w9523
ꝛc	w9524
<g/>
.
citiret	w9526
hierdurch	w9527
öffentlich	w9528
1	w9529
<g/>
.
den	w9531
seit	w9532
13	w9533
<g/>
.
Jahren	w9535
abwesenden	w9536
in	w9537
kön	w9538
<g/>
.
Artilleriediensten	w9540
gestandenen	w9541
<g/>
,
aus	w9543
groß	w9544
Commerawe	w9545
Trebnitzischen	w9546
Creyses	w9547
gebürtigen	w9548
Martin	w9549
Eichner	w9550
<g/>
,
2do	w9552
die	w9553
seit	w9554
40	w9555
<g/>
.
Jahren	w9557
abwesenden	w9558
aus	w9559
der	w9560
Obermühle	w9561
bey	w9562
Deutschhamer	w9563
Trebnitzischen	w9564
Creyses	w9565
gebürtige	w9566
Ge=brüdere	w9567
<g/>
=
Ferdinand	w9569
und	w9570
Franz	w9571
Hentschel	w9572
wovon	w9573
sich	w9574
einer	w9575
in	w9576
Ostindien	w9577
<g/>
,
der	w9579
andere	w9580
in	w9581
Mähren	w9582
bey	w9583
Ni=kelsburg	w9584
<g/>
=
befinden	w9586
soll	w9587
<g/>
.
3	w9589
<g/>
.
Den	w9591
seit	w9592
29	w9593
<g/>
.
Jahren	w9595
ver=schollenen	w9596
<g/>
=
aus	w9598
Deutmansdorf	w9599
Löwenbergischen	w9600
Creyses	w9601
gebürtigen	w9602
angeblich	w9603
bey	w9604
dem	w9605
hochlöbl	w9606
von	w9607
Münchausischen	w9608
Regimente	w9609
engagirt	w9610
gewesene	w9611
Je=remias	w9612
<g/>
=
Kriebel	w9614
<g/>
,
oder	w9616
dessen	w9617
Erben	w9618
binnen	w9619
Dato	w9620
und	w9621
12	w9622
<g/>
.
Wochen	w9624
insbesondere	w9625
aber	w9626
auf	w9627
den	w9628
pro	w9629
Termino	w9630
ultimo	w9631
<g/>
&
peremptorio	w9633
angesetzten	w9634
6	w9635
<g/>
.
Julii	w9637
a	w9638
<g/>
.
c	w9640
<g/>
.
auf	w9642
den	w9643
fürstl	w9644
<g/>
.
Stiftsamte	w9646
zu	w9647
Trebnitz	w9648
zu	w9649
erscheinen	w9650
ihr	w9651
in	w9652
Administration	w9653
gebliehenes	w9654
Ver=mögen	w9655
<g/>
=
zu	w9657
erheben	w9658
<g/>
,
im	w9660
Fall	w9661
ihres	w9662
Außenbleibens	w9663
aber	w9664
zu	w9665
gewärtigen	w9666
<g/>
,
daß	w9668
sie	w9669
pro	w9670
mortuis	w9671
declariret	w9672
<g/>
,
und	w9674
das	w9675
Vermögen	w9676
<g/>
,
denen	w9678
sich	w9679
meldenden	w9680
nächsten	w9681
An=verwandten	w9682
<g/>
=
extradirt	w9684
und	w9685
zugeschlagen	w9686
werden	w9687
soll	w9688
<g/>
.
Trebnitz	w9690
den	w9691
3	w9692
<g/>
.
Apil	w9694
1772	w9695
<g/>
.
</p>
<head id="hl19">
Londen	w9711
<g/>
,
den	w9713
26	w9714
<g/>
.
May	w9716
<g/>
.
</head>
<p id="p95">
Der	w9718
König	w9719
hat	w9720
seinen	w9721
dritten	w9722
Sohn	w9723
<g/>
,
den	w9725
Prinzen	w9726
Friederich	w9727
zum	w9728
Großmeister	w9729
vom	w9730
Bades	w9731
<g/>
=
Orden	w9733
ernannt	w9734
<g/>
,
und	w9736
dessen	w9737
Einsetzung	w9738
in	w9739
diese	w9740
Würde	w9741
zu	w9742
Westmünster	w9743
auf	w9744
den	w9745
15ten	w9746
künftigen	w9747
Monats	w9748
anberaumt	w9749
<g/>
,
an	w9751
welchem	w9752
Tage	w9753
13	w9754
andere	w9755
Riter	w9756
daselbst	w9757
werden	w9758
installirt	w9759
werden	w9760
<g/>
,
und	w9762
sind	w9763
selbige	w9764
der	w9765
Graf	w9766
von	w9767
Bellamont	w9768
<g/>
;
Lord	w9770
Clive	w9771
<g/>
;
die	w9773
Ritter	w9774
Traper	w9775
<g/>
,
Man	w9777
<g/>
,
Moore	w9779
<g/>
,
Lind=say	w9781
<g/>
=
<g/>
,
Coote	w9784
<g/>
,
Montayn	w9786
<g/>
,
Payne	w9788
<g/>
,
Lynch	w9790
<g/>
,
Hotham	w9792
<g/>
,
Hamilton	w9794
und	w9795
Keith	w9796
<g/>
.
Unserm	w9798
Ministerium	w9799
soll	w9800
der	w9801
Fürst	w9802
von	w9803
Masserano	w9804
die	w9805
Vorstellung	w9806
gethan	w9807
haben	w9808
<g/>
,
wie	w9810
der	w9811
ka=tholische	w9812
<g/>
=
König	w9814
<g/>
,
sein	w9816
Herr	w9817
<g/>
,
nicht	w9819
mit	w9820
ge=lassenem	w9821
<g/>
=
Gemüthe	w9823
ersehen	w9824
würde	w9825
<g/>
,
daß	w9827
die	w9828
Engelländer	w9829
in	w9830
Südamerika	w9831
neue	w9832
Entde=ckungen	w9833
<g/>
=
zu	w9835
häußlichen	w9836
Niederlassungen	w9837
da=selbst	w9838
<g/>
=
versuchten	w9840
<g/>
.
Dieser	w9842
Vorstellung	w9843
zu=folge	w9844
<g/>
=
hätte	w9846
der	w9847
hiesige	w9848
Hof	w9849
auf	w9850
den	w9851
Pro=jekt	w9852
<g/>
=
<g/>
,
die	w9855
Herren	w9856
Banks	w9857
und	w9858
Solander	w9859
da=hin	w9860
<g/>
=
abgehen	w9862
zu	w9863
lassen	w9864
<g/>
,
verziehen	w9866
<g/>
.
Da	w9868
man	w9869
indessen	w9870
keine	w9871
andere	w9872
Absichten	w9873
hat	w9874
<g/>
,
als	w9876
nützliche	w9877
Entdeckungen	w9878
für	w9879
die	w9880
Schiffahrt	w9881
überhaupt	w9882
<g/>
,
auch	w9884
Untersuchungen	w9885
unter	w9886
den	w9887
Landesprodukten	w9888
in	w9889
den	w9890
dasigen	w9891
Gegenden	w9892
anzustellen	w9893
<g/>
,
so	w9895
läßt	w9896
sich	w9897
hieraus	w9898
ermessen	w9899
<g/>
,
daß	w9901
daher	w9902
für	w9903
keine	w9904
Macht	w9905
böse	w9906
Folgen	w9907
<g/>
,
sondern	w9909
ein	w9910
allgemeiner	w9911
Vortheil	w9912
für	w9913
alle	w9914
handlende	w9915
Völkerschaften	w9916
entstehen	w9917
könnten	w9918
<g/>
.
Dies	w9920
ist	w9921
der	w9922
Endzweck	w9923
<g/>
,
um	w9925
dessen	w9926
Willen	w9927
das	w9928
Parlament	w9929
bey	w9930
dermaliger	w9931
Sitzung	w9932
4000	w9933
Pf	w9934
<g/>
.
Sterl	w9936
<g/>
.
zu	w9938
dergleichen	w9939
Entdeckun=gen	w9940
<g/>
=
ausgeworfen	w9942
hat	w9943
<g/>
.
</p>
<p id="p96">
Das	w9945
ostindische	w9946
Kompagnieschiff	w9947
<g/>
,
der	w9949
brittische	w9950
König	w9951
<g/>
,
ist	w9953
<g/>
,
von	w9955
China	w9956
kommend	w9957
<g/>
,
zu	w9959
Douvres	w9960
eingelaufen	w9961
<g/>
.
Man	w9963
versichert	w9964
<g/>
,
daß	w9966
der	w9967
Befehlshaber	w9968
der	w9969
engelländischen	w9970
Kriegsvölker	w9971
aus	w9972
Coromandel	w9973
in	w9974
Asien	w9975
<g/>
,
welcher	w9977
bis	w9978
zu	w9979
der	w9980
Hauptstadt	w9981
Tanjaor	w9982
vor=gedrungen	w9983
<g/>
=
war	w9985
<g/>
,
und	w9987
die	w9988
Belagerung	w9989
derderselben	w9990
<g/>
=
</p>
<p id="p97">
selben	w9992
vorzunehmen	w9993
sich	w9994
gefaßt	w9995
<g/>
,
mit	w9997
dem	w9998
dasigen	w9999
Fürsten	w10000
eine	w10001
Kapitulation	w10002
ein=gegangen	w10003
<g/>
=
sey	w10005
<g/>
,
und	w10007
unsere	w10008
Truppen	w10009
<g/>
,
nach=dem	w10011
<g/>
=
er	w10013
den	w10014
Frieden	w10015
mit	w10016
ihm	w10017
geschlossen	w10018
<g/>
,
sofort	w10020
nach	w10021
Madras	w10022
zurückkehren	w10023
sollten	w10024
<g/>
.
Besagter	w10026
Fürst	w10027
hatte	w10028
sich	w10029
geweigert	w10030
<g/>
,
den	w10032
Englländern	w10033
einen	w10034
gewissen	w10035
jährlichen	w10036
Tri=but	w10037
<g/>
=
zu	w10039
entrichten	w10040
<g/>
.
Hierauf	w10042
wurden	w10043
die	w10044
Zwangmittel	w10045
wider	w10046
ihn	w10047
und	w10048
seine	w10049
Lande	w10050
be=werkstelligt	w10051
<g/>
=
<g/>
.
Vermuthlich	w10054
hat	w10055
er	w10056
die	w10057
Lun=ten	w10058
<g/>
=
gerochen	w10060
und	w10061
sich	w10062
in	w10063
diesem	w10064
Stücke	w10065
den	w10066
Forderungen	w10067
der	w10068
Engelländer	w10069
gefüget	w10070
<g/>
,
um	w10072
den	w10073
ihm	w10074
androhenden	w10075
Streichen	w10076
aus=zuweichen	w10077
<g/>
=
<g/>
.
</p>
<p id="p98">
Jn	w10080
dem	w10081
Unterhause	w10082
sind	w10083
am	w10084
22sten	w10085
un=terschiedliche	w10086
<g/>
=
Bills	w10088
berichtigt	w10089
worden	w10090
<g/>
.
Der	w10092
Ausschuß	w10093
<g/>
,
welcher	w10095
im	w10096
Auftrage	w10097
hat	w10098
<g/>
,
den	w10100
Zustand	w10101
und	w10102
die	w10103
Beschaffenheit	w10104
der	w10105
ostin=dischen	w10106
<g/>
=
Handlungsgesellschaft	w10108
zu	w10109
untersuchen	w10110
<g/>
,
ist	w10112
mit	w10113
diesem	w10114
Geschäfte	w10115
zu	w10116
Ende	w10117
gekom=men	w10118
<g/>
=
<g/>
,
und	w10121
macht	w10122
nun	w10123
seinen	w10124
Bericht	w10125
fertig	w10126
<g/>
,
um	w10128
selbigen	w10129
dem	w10130
Hause	w10131
vorzulegen	w10132
<g/>
,
welches	w10134
sofort	w10135
eine	w10136
Bill	w10137
darüber	w10138
abfassen	w10139
wird	w10140
<g/>
.
</p>
<head id="hl20">
Londen	w10142
<g/>
,
den	w10144
29	w10145
<g/>
.
May	w10147
<g/>
.
</head>
<p id="p99">
Der	w10149
König	w10150
hat	w10151
bey	w10152
dem	w10153
Kriegsetat	w10154
eine	w10155
ansehnliche	w10156
Beförderung	w10157
vorgenommen	w10158
<g/>
.
Sechszehn	w10160
Generallieutenants	w10161
sind	w10162
zum	w10163
Ge=neralsgrade	w10164
<g/>
=
gelanget	w10166
<g/>
,
unter	w10168
welchen	w10169
die	w10170
Her=zoge	w10171
<g/>
=
von	w10173
Ancaster	w10174
und	w10175
von	w10176
Kingston	w10177
<g/>
,
Lord	w10179
Talmouth	w10180
<g/>
,
die	w10182
Grafen	w10183
von	w10184
Harcourt	w10185
<g/>
,
von	w10187
Pawis	w10188
<g/>
,
von	w10190
Sandwich	w10191
<g/>
,
von	w10193
Albemarle	w10194
<g/>
,
von	w10196
Waldegrave	w10197
<g/>
,
auch	w10199
des	w10200
Königs	w10201
Bruders	w10202
<g/>
,
der	w10204
Herzog	w10205
von	w10206
Glocester	w10207
<g/>
,
gezählet	w10209
werden	w10210
<g/>
.
Es	w10212
heißt	w10213
<g/>
,
Se	w10215
<g/>
.
königl	w10217
<g/>
.
Hoheit	w10219
würden	w10220
ehe=stens	w10221
<g/>
=
zum	w10223
Generalissimus	w10224
oder	w10225
höchsten	w10226
Officier	w10227
bey	w10228
den	w10229
königl	w10230
<g/>
.
Armeen	w10232
ernannt	w10233
werden	w10234
<g/>
.
Der	w10236
Hof	w10237
erwartet	w10238
noch	w10239
einen	w10240
Kourier	w10241
von	w10242
seinem	w10243
Minister	w10244
zu	w10245
Koppen=hagen	w10246
<g/>
=
<g/>
,
Ritter	w10249
Keith	w10250
<g/>
,
und	w10252
alsdann	w10253
werden	w10254
die	w10255
Kriegschiffe	w10256
welche	w10257
nach	w10258
Dännemark	w10259
abzugehen	w10260
beordert	w10261
sind	w10262
<g/>
,
um	w10264
die	w10265
königl	w10266
<g/>
.
Jachten	w10268
zu	w10269
begleiten	w10270
<g/>
,
an	w10272
derer	w10273
Bord	w10274
die	w10275
</p>
<p id="p100">
Königinn	w10276
Carolina	w10277
Mathilda	w10278
sich	w10279
nach	w10280
Sta=de	w10281
<g/>
=
begeben	w10283
soll	w10284
<g/>
,
nach	w10286
ihrer	w10287
Bestimmung	w10288
auslaufen	w10289
<g/>
.
Uebermorgen	w10291
wird	w10292
Herr	w10293
Gun=ningGunning	w10294
<g/>
=
nach	w10296
seinem	w10297
Gesandschaftsposten	w10298
an	w10299
dem	w10300
kaiserl	w10301
<g/>
.
Hofe	w10303
nach	w10304
Petersburg	w10305
abgehen	w10306
<g/>
.
Lord	w10308
Ligonier	w10309
und	w10310
verschiedene	w10311
andere	w10312
Of=ficiere	w10313
<g/>
=
bey	w10315
den	w10316
Truppen	w10317
in	w10318
Jrland	w10319
sind	w10320
zu	w10321
ihren	w10322
Regimentern	w10323
abgegangen	w10324
<g/>
.
</p>
<p id="p101">
Am	w10326
26sten	w10327
hat	w10328
sich	w10329
hier	w10330
eine	w10331
Begeben=beit	w10332
<g/>
=
ereignet	w10334
<g/>
,
die	w10336
allenfalls	w10337
Folgen	w10338
nach	w10339
sich	w10340
ziehen	w10341
dörfte	w10342
<g/>
.
Der	w10344
Obriste	w10345
Luttrell	w10346
Par=lamentsglied	w10347
<g/>
=
für	w10349
die	w10350
Grafschaft	w10351
Middlesex	w10352
<g/>
,
kam	w10354
an	w10355
der	w10356
Spitze	w10357
von	w10358
4	w10359
bis	w10360
5000	w10361
Hand=werksleuten	w10362
<g/>
=
<g/>
,
die	w10365
ausgelegte	w10366
Arbeit	w10367
ma=chen	w10368
<g/>
=
<g/>
,
in	w10371
das	w10372
Unterhaus	w10373
<g/>
,
und	w10375
übergab	w10376
eine	w10377
Bittschrift	w10378
von	w10379
Seiten	w10380
dieser	w10381
Leute	w10382
<g/>
,
welche	w10384
sich	w10385
beschweren	w10386
<g/>
,
daß	w10388
eine	w10389
erstaunliche	w10390
Men=ge	w10391
<g/>
=
Schänker	w10393
<g/>
,
Stühle	w10395
<g/>
,
Spiegel	w10397
<g/>
,
und	w10399
der=gleichen	w10400
<g/>
=
Geräthe	w10402
aus	w10403
Frankreich	w10404
in	w10405
hiesi=ges	w10406
<g/>
=
Königreich	w10408
gebracht	w10409
werde	w10410
<g/>
,
unter	w10412
dem	w10413
scheinbaren	w10414
Vorwande	w10415
<g/>
,
sie	w10417
seyn	w10418
zum	w10419
eige=nen	w10420
<g/>
=
Gebrauch	w10422
gewisser	w10423
ausländischer	w10424
Mini=stere	w10425
<g/>
=
bestimmet	w10427
<g/>
,
da	w10429
doch	w10430
vieles	w10431
von	w10432
solchem	w10433
Geräthe	w10434
zum	w10435
Nachtheil	w10436
besagter	w10437
Handwerks=leute	w10438
<g/>
=
hernächst	w10440
unter	w10441
das	w10442
Publikum	w10443
ge=bracht	w10444
<g/>
=
würde	w10446
<g/>
.
Sie	w10448
stehen	w10449
bey	w10450
der	w10451
Kam=mer	w10452
<g/>
=
an	w10454
<g/>
,
diesem	w10456
gefährlichen	w10457
Unterschleife	w10458
abzuhelfen	w10459
<g/>
.
Lord	w10461
North	w10462
gestand	w10463
<g/>
,
diese	w10465
Klage	w10466
wäre	w10467
von	w10468
äußerster	w10469
Erheblichkeit	w10470
<g/>
,
und	w10472
würde	w10473
derselben	w10474
für	w10475
gewiß	w10476
abgeholfen	w10477
wer=den	w10478
<g/>
=
<g/>
,
es	w10481
sollten	w10482
Befehle	w10483
abgegeben	w10484
werden	w10485
<g/>
,
zu	w10487
verhindern	w10488
<g/>
,
