<doc id="wr_1761-09-30" attrs="word" year="1761" month="09" day="30" corpus="2">
<head id="h2_d591e2482">
Mastricht	w1_d591e2486
seiner	w9_d591e9752
bisherigen	w11_d591e9755
Stellung	w1_d591e9760
gehlings	w3_d591e9763
aufgebrochen,	w5_d591e9766
und	w7_d591e9769
ein	w9_d591e9772
neues	w1_d591e9777
Lager	w3_d591e9780
bey	w5_d591e9783
dem	w7_d591e9786
Dorf=Pülzen	w9_d591e9789
bezogen.	w11_d591e9792
Sein	w1_d591e9797
linker	w3_d591e9800
Flügel	w5_d591e9803
ist	w7_d591e9806
an	w9_d591e9809
Faulenbrück	w11_d591e9812
zu	w13_d591e9816
stehen	w1_d591e9822
gekommen,	w3_d591e9825
und	w5_d591e9828
die	w7_d591e9831
Vorposten	w9_d591e9834
erstre	w11_d591e9837
cken	w1_d591e9842
sich	w3_d591e9845
bis	w5_d591e9848
nach	w7_d591e9851
Reichenbach;	w9_d591e9854
der	w11_d591e9857
Ge	w13_d591e9861
neral	w1_d591e9866
Uihazy	w3_d591e9869
ist	w5_d591e9872
dem	w7_d591e9875
Feind	w9_d591e9878
sogleich	w11_d591e9881
mit	w13_d591e9885
ei	w15_d591e9888
nigen	w1_d591e9893
Trupen	w3_d591e9896
nachgesandt	w5_d591e9899
worden:	w7_d591e9902
Der	w9_d591e9905
General	w1_d591e9911
Graf	w3_d591e9914
von	w5_d591e9917
Draskowitz	w7_d591e9920
aber	w9_d591e9923
hat	w11_d591e9926
sich	w13_d591e9930
mit	w1_d591e9935
14.	w3_d591e9938
Bataillons	w5_d591e9941
nach	w7_d591e9944
Warta	w9_d591e9947
und	w11_d591e9950
Sil	w13_d591e9954
berberg	w1_d591e9959
gezogen;	w3_d591e9962
wohingegen	w5_d591e9965
der	w7_d591e9968
General	w9_d591e9971
Brentano	w1_d591e9976
mit	w3_d591e9979
seinem	w5_d591e9982
Corps	w7_d591e9985
dem	w9_d591e9988
Feind	w11_d591e9991
auf	w13_d591e9995
dem	w1_d591e10001
Fuß	w3_d591e10004
nachgerucket,	w5_d591e10007
und	w7_d591e10010
steht	w9_d591e10013
nun	w11_d591e10016
dessen	w13_d591e10020
linker	w1_d591e10025
Flügel	w3_d591e10028
gegen	w5_d591e10031
über	w7_d591e10034
bey	w9_d591e10037
Leutmanns	w11_d591e10040
dorf.	w1_d591e10045
Der	w3_d591e10048
Obriste	w5_d591e10051
von	w7_d591e10054
Barco	w9_d591e10057
setzte	w11_d591e10060
auf	w13_d591e10064
einer	w1_d591e10069
andern	w3_d591e10072
Seite	w5_d591e10075
dem	w7_d591e10078
Feinde	w9_d591e10081
nach,	w11_d591e10084
und	w13_d591e10088
erreichete	w1_d591e10094
mit	w3_d591e10097
400.	w5_d591e10100
Mann	w7_d591e10103
ein	w9_d591e10106
halbes	w11_d591e10109
Bat	w13_d591e10113
taillon,	w1_d591e10118
welches	w3_d591e10121
er	w5_d591e10124
theils	w7_d591e10127
niedergehauen,	w9_d591e10130
theils	w1_d591e10135
gefangen,	w3_d591e10138
und	w5_d591e10141
ein	w7_d591e10144
Stück	w9_d591e10147
erbeutet	w11_d591e10150
hat.	w13_d591e10154
Die	w1_d591e10159
Kaiserl.	w3_d591e10162
Königl.	w5_d591e10165
Armee	w7_d591e10168
ist	w9_d591e10171
gleichfalls	w11_d591e10174
aufgebrochen,	w1_d591e10180
und	w3_d591e10183
man	w5_d591e10186
erwartet	w7_d591e10189
nun	w9_d591e10192
von	w11_d591e10195
</p>
<p id="p12_d591e10209">
diesen	w1_d591e10213
wichtigen	w3_d591e10216
Bewegungen	w5_d591e10219
beyder	w7_d591e10222
Heere	w9_d591e10225
das	w1_d591e10230
weitere	w3_d591e10233
zu	w5_d591e10236
vernehmen.	w7_d591e10239
</p>
<p id="p14_d591e10242">
Aus	w1_d591e10246
Pommern	w3_d591e10249
geben	w5_d591e10252
die	w7_d591e10255
neuesten	w9_d591e10258
Nach	w11_d591e10261
richten,	w1_d591e10266
daß	w3_d591e10269
der	w5_d591e10272
Rußische	w7_d591e10275
Kaiserl.	w9_d591e10278
General	w11_d591e10281
Romanzow	w1_d591e10286
verschiedene	w3_d591e10289
Vortheile	w5_d591e10292
über	w7_d591e10295
die	w9_d591e10298
Preussen	w1_d591e10304
erfochten,	w3_d591e10307
und	w5_d591e10310
den	w7_d591e10313
General	w9_d591e10316
Wer	w11_d591e10319
ner	w1_d591e10324
selbst	w3_d591e10327
mit	w5_d591e10330
einer	w7_d591e10333
beträchtlichen	w9_d591e10336
Anzahl	w11_d591e10339
Feinde	w1_d591e10344
gefangen	w3_d591e10347
bekommen,	w5_d591e10350
den	w7_d591e10353
Ueberrest	w9_d591e10356
aber	w1_d591e10361
seines	w3_d591e10364
Corps	w5_d591e10367
zerstreuet	w7_d591e10370
habe.	w9_d591e10373
Der	w11_d591e10376
vorgenannte	w1_d591e10382
Rußisch=Kaiserl.	w3_d591e10385
General	w5_d591e10388
macht	w7_d591e10391
Anstalt,	w1_d591e10396
den	w3_d591e10399
vor	w5_d591e10402
Colberg	w7_d591e10405
in	w9_d591e10408
seinen	w11_d591e10411
Ber	w13_d591e10415
schanzungen	w1_d591e10420
stehenden	w3_d591e10423
Prinzen	w5_d591e10426
Friedrich	w7_d591e10429
von	w1_d591e10434
Würtenberg	w3_d591e10437
anzugreiffen:	w5_d591e10440
wie	w7_d591e10443
dann	w9_d591e10446
dieselben	w1_d591e10452
schon	w3_d591e10455
seit	w5_d591e10458
einigen	w7_d591e10461
Tagen	w9_d591e10464
förmlich	w11_d591e10467
canoniret	w1_d591e10474
werden.	w3_d591e10477
</p>
<head id="h2_d591e10483">
Lista	w1_d591e10487
deren	w3_d591e10490
Verstorbenen	w5_d591e10493
zu	w7_d591e10496
Wien	w9_d591e10499
in	w1_d591e10504
und	w3_d591e10507
vor	w5_d591e10510
der	w7_d591e10513
Stadt.	w9_d591e10516
Den	w1_d591e10521
24.	w3_d591e10524
Sept.	w5_d591e10527
Jn	w1_d591e10533
der	w3_d591e10536
Stadt.	w5_d591e10539
</head>
<list id="l4_d591e10542">
Die	w1_d591e10546
Wol=edel=geb.	w3_d591e10549
Fr.	w5_d591e10552
Maria	w7_d591e10555
Francisca	w9_d591e10558
Mathane	w11_d591e10561
rin,	w1_d591e10566
geb.	w3_d591e10569
v.	w5_d591e10572
Kronnpichl,	w7_d591e10575
Wittwe,	w9_d591e10578
beym	w11_d591e10581
goldenen	w13_d591e10585
Ring	w1_d591e10590
im	w3_d591e10593
Taschner=gäs.	w5_d591e10596
am	w7_d591e10599
alt.	w9_d591e10602
Fleischm.,	w11_d591e10605
74.	w13_d591e10609
J.	w15_d591e10612
Dem	w1_d591e10618
Jos.	w3_d591e10621
Schluger,	w5_d591e10624
Lack.,	w7_d591e10627
s.	w9_d591e10630
K.	w11_d591e10633
Franz,	w13_d591e10637
beym	w15_d591e10640
bl.	w17_d591e10643
Säbel	w1_d591e10648
in	w3_d591e10651
der	w5_d591e10654
Klugerstr.,	w7_d591e10657
alt	w9_d591e10660
2.	w11_d591e10663
J.	w13_d591e10667
Dem	w1_d591e10672
Veit	w3_d591e10675
Penesch,	w5_d591e10678
Herrschaftl.	w7_d591e10681
Reit=kn.,	w9_d591e10684
s.	w11_d591e10687
T.	w13_d591e10691
Ca	w15_d591e10694
thar.,	w1_d591e10699
im	w3_d591e10702
Palfis.	w5_d591e10705
H.	w7_d591e10708
in	w9_d591e10711
der	w11_d591e10714
Herren=gas.,	w13_d591e10718
13.	w15_d591e10721
J.	w17_d591e10724
</list>
<head id="h2_d591e10731">
Vor	w1_d591e10735
der	w3_d591e10738
Stadt.	w5_d591e10741
</head>
<list id="l4_d591e10744">
Hr.	w1_d591e10748
Carl	w3_d591e10751
Lang,	w5_d591e10754
K.	w7_d591e10757
K.	w9_d591e10760
Arcier,	w11_d591e10763
beym	w13_d591e10767
rot.	w15_d591e10770
Apf.	w17_d591e10773
in	w19_d591e10776
der	w21_d591e10779
Plenkler=gas.	w1_d591e10784
auf	w3_d591e10787
der	w5_d591e10790
Wied.,	w7_d591e10793
alt	w9_d591e10796
56.	w11_d591e10799
J.	w13_d591e10803
Dem	w1_d591e10808
Christoph	w3_d591e10811
Winter,	w5_d591e10814
Burgerl.	w7_d591e10817
Donau=fisch.,	w9_d591e10820
s.	w11_d591e10823
K.	w1_d591e10829
Eva	w3_d591e10832
Maria,	w5_d591e10835
im	w7_d591e10838
Schwannenwirtis.	w9_d591e10841
H.	w11_d591e10844
in	w13_d591e10848
der	w15_d591e10851
Leopoldst.,	w1_d591e10856
alt	w3_d591e10859
5.	w5_d591e10862
v.	w7_d591e10865
J.	w9_d591e10868
Dem	w1_d591e10873
Jos.	w3_d591e10876
Ehrenreiter,	w5_d591e10879
Burgerl.	w7_d591e10882
Holz=versilb.,	w9_d591e10885
s.	w11_d591e10888
K.	w13_d591e10892
Joh.,	w1_d591e10897
im	w3_d591e10900
Mölker=hof	w5_d591e10903
in	w7_d591e10906
der	w9_d591e10909
Rossau,	w11_d591e10912
alt	w13_d591e10916
1.	w15_d591e10919
J.	w17_d591e10922
Joh.	w1_d591e10928
Georg	w3_d591e10931
Niebel,	w5_d591e10934
Lust=gartn.	w7_d591e10937
jung,	w9_d591e10940
beym	w11_d591e10943
gold.	w13_d591e10947
Ring	w1_d591e10952
im	w3_d591e10955
Liechtenth.,	w5_d591e10958
alt	w7_d591e10961
23.	w9_d591e10964
J.	w11_d591e10967
Mart.	w1_d591e10972
Wolleder,	w3_d591e10975
Taglöhn.,	w5_d591e10978
beyn	w7_d591e10981
3.	w9_d591e10984
Hack.	w11_d591e10987
auf	w13_d591e10991
der	w15_d591e10994
Wind	w1_d591e10999
mühl,	w3_d591e11002
alt	w5_d591e11005
74.	w7_d591e11008
J.	w9_d591e11011
Eva	w1_d591e11017
Kriegerin,	w3_d591e11020
Wittwe,	w5_d591e11023
im	w7_d591e11026
Fischeris.	w9_d591e11029
H.	w11_d591e11032
auf	w13_d591e11036
der	w15_d591e11039
Landstr.,	w1_d591e11044
alt	w3_d591e11047
80.	w5_d591e11050
J.	w7_d591e11053
Dem	w1_d591e11058
Joh.	w3_d591e11061
Heß,	w5_d591e11064
Taglöhn,	w7_d591e11067
s.	w9_d591e11070
K.	w11_d591e11073
Magdal.,	w13_d591e11077
im	w15_d591e11080
Za	w17_d591e11083
chis.	w1_d591e11088
H.	w3_d591e11091
in	w5_d591e11094
der	w7_d591e11097
Leopoldst.,	w9_d591e11100
alt	w11_d591e11103
6.	w13_d591e11107
J.	w15_d591e11110
Dem	w1_d591e11116
Domin.	w3_d591e11119
Köstler,	w5_d591e11122
Taglöhn.,	w7_d591e11125
s.	w9_d591e11128
K.	w11_d591e11131
Josepha,	w13_d591e11135
im	w15_d591e11138
Plattneris.	w1_d591e11143
H.	w3_d591e11146
zu	w5_d591e11149
Mätzleinstorf,	w7_d591e11152
alt	w9_d591e11155
12.	w11_d591e11158
J.	w13_d591e11162
Dem	w1_d591e11167
Jos.	w3_d591e11170
Artner,	w5_d591e11173
arm.	w7_d591e11176
Häuslern,	w9_d591e11179
s.	w11_d591e11182
W.	w13_d591e11186
Gertr.,	w15_d591e11189
bey	w17_d591e11192
dem	w1_d591e11197
Josephs=berg	w3_d591e11200
in	w5_d591e11203
der	w7_d591e11206
Alster=gas.,	w9_d591e11209
alt	w11_d591e11212
38.	w13_d591e11216
J.	w15_d591e11219
</list>
<head id="h2_d591e11227">
Summa	w1_d591e11231
12.	w3_d591e11234
Person.,	w5_d591e11237
darunter	w7_d591e11240
5.	w9_d591e11243
Kind.	w11_d591e11246
</head>
<head id="h2_d591e11252">
Den	w1_d591e11256
25.	w3_d591e11259
Sept.	w5_d591e11262
Jn	w1_d591e11267
der	w3_d591e11270
Stadt.	w5_d591e11273
Niemand.	w1_d591e11278
Vor	w1_d591e11284
der	w3_d591e11287
Stadt.	w5_d591e11290
</head>
<list id="l4_d591e11293">
Greg.	w1_d591e11297
Ferd.	w3_d591e11300
Horvat,	w5_d591e11303
gew.	w7_d591e11306
Burgerl.	w9_d591e11309
Handels=m.,	w11_d591e11312
in	w13_d591e11316
s.	w1_d591e11321
H.	w3_d591e11324
in	w5_d591e11327
der	w7_d591e11330
Leopoldst.,	w9_d591e11333
alt	w11_d591e11336
72.	w13_d591e11340
J.	w15_d591e11343
Dem	w1_d591e11348
Steph.	w3_d591e11351
Pfeiffer,	w5_d591e11354
Burgerl.	w7_d591e11357
Leder.,	w9_d591e11360
s.	w11_d591e11363
W.	w13_d591e11367
An	w15_d591e11370
na	w1_d591e11376
Clisab.,	w3_d591e11379
in	w5_d591e11382
s.	w7_d591e11385
H.	w9_d591e11388
in	w11_d591e11391
der	w13_d591e11395
Leopoldst.,	w15_d591e11398
alt	w17_d591e11401
52.	w19_d591e11404
J.	w21_d591e11407
Jos.	w1_d591e11412
Hickman,	w3_d591e11415
Burgerl.	w5_d591e11418
Zinngies.,	w7_d591e11421
beym	w9_d591e11424
gold.	w11_d591e11427
Hirsch.	w13_d591e11431
in	w1_d591e11436
der	w3_d591e11439
Leopoldst.,	w5_d591e11442
alt	w7_d591e11445
64.	w9_d591e11448
J.	w11_d591e11451
Andre	w1_d591e11456
Oberiht,	w3_d591e11459
im	w5_d591e11462
Kreutz=herren=hof=spit.	w7_d591e11465
auf	w9_d591e11468
der	w11_d591e11471
Wied,	w1_d591e11477
alt	w3_d591e11480
82.	w5_d591e11483
J.	w7_d591e11486
Dem	w1_d591e11491
Joh.	w3_d591e11494
Poßlegner,	w5_d591e11497
Holz	w7_d591e11500
hack.,	w9_d591e11503
s.	w11_d591e11506
K.	w13_d591e11510
Joh,	w15_d591e11513
beym	w17_d591e11516
gold.	w1_d591e11521
A.	w3_d591e11524
B.	w5_d591e11527
C.	w7_d591e11530
bey	w9_d591e11533
Maria=hülf,	w11_d591e11536
alt	w13_d591e11540
11.	w15_d591e11543
J.	w17_d591e11546
Dem	w1_d591e11551
Joh.	w3_d591e11554
Stanzinger,	w5_d591e11557
Taglöhn.,	w7_d591e11560
s.	w9_d591e11563
K.	w11_d591e11566
Aut.,	w13_d591e11570
beyn	w15_d591e11573
3.	w1_d591e11579
Röseln	w3_d591e11582
zu	w5_d591e11585
Nicolstorf,	w7_d591e11588
alt	w9_d591e11591
4.	w11_d591e11594
J.	w13_d591e11598
Clara	w1_d591e11603
Königin,	w3_d591e11606
Wittwe,	w5_d591e11609
beym	w7_d591e11612
schwarz.	w9_d591e11615
Bock	w11_d591e11618
in	w13_d591e11622
der	w1_d591e11627
Josephst,	w3_d591e11630
alt	w5_d591e11633
73.	w7_d591e11636
J.	w9_d591e11639
Dem	w1_d591e11644
Ant.	w3_d591e11647
Meisel,	w5_d591e11650
Lack,	w7_d591e11653
s.	w9_d591e11656
K.	w11_d591e11659
Ant.,	w13_d591e11663
im	w15_d591e11666
Schnürma	w17_d591e11669
cheris.	w1_d591e11675
H.	w3_d591e11678
auf	w5_d591e11681
der	w7_d591e11684
Landstr.,	w9_d591e11687
alt	w11_d591e11690
6.	w13_d591e11694
v.	w15_d591e11697
J.	w17_d591e11700
</list>
<head id="h2_d591e11707">
Summa	w1_d591e11711
8.	w3_d591e11714
Person,	w5_d591e11717
darunter	w7_d591e11720
3.	w9_d591e11723
Kind.	w11_d591e11726
Den	w1_d591e11731
26.	w3_d591e11734
Sept.	w5_d591e11737
Jn	w1_d591e11742
der	w3_d591e11745
Stadt.	w5_d591e11748
</head>
<list id="l4_d591e11751">
Der	w1_d591e11755
Hochw.	w3_d591e11758
in	w5_d591e11761
GOtt	w7_d591e11764
Geistl.	w9_d591e11767
Hr.	w11_d591e11770
Phil.	w13_d591e11774
Klein,	w15_d591e11777
A.	w17_d591e11780
A.	w19_d591e11783
L.	w1_d591e11788
L.	w3_d591e11791
&	w5_d591e11794
Phil.	w7_d591e11797
Doct.	w9_d591e11800
Canonic.	w11_d591e11803
bey	w13_d591e11807
St.	w15_d591e11810
Stephan,	w17_d591e11813
weil.	w1_d591e11818
Jhrer	w3_d591e11821
Majest.	w5_d591e11824
der	w7_d591e11827
verw.	w9_d591e11830
Kais.	w11_d591e11833
Elisab.	w13_d591e11837
Christina	w1_d591e11843
gew.	w3_d591e11846
Hof=caplan,	w5_d591e11849
im	w7_d591e11852
kl.	w9_d591e11855
Domherren	w11_d591e11858
hof	w1_d591e11863
am	w3_d591e11866
Stephans=freyt=hof,	w5_d591e11869
alt	w7_d591e11872
53.	w9_d591e11875
J.	w11_d591e11878
Hr.	w1_d591e11883
Jos.	w3_d591e11886
Grasser,	w5_d591e11889
ohne	w7_d591e11892
Condit.,	w9_d591e11895
im	w11_d591e11898
Goldhanis.	w13_d591e11902
H.	w15_d591e11905
auf	w1_d591e11910
der	w3_d591e11913
Fischer=stieg,	w5_d591e11916
alt	w7_d591e11919
73.	w9_d591e11922
J.	w11_d591e11925
Dem	w1_d591e11931
Heinr.	w3_d591e11934
Jandt,	w5_d591e11937
Herrschaftl.	w7_d591e11940
Portiern,	w9_d591e11943
s.	w11_d591e11946
K.	w13_d591e11950
Wencesl.	w1_d591e11955
Carl,	w3_d591e11958
in	w5_d591e11961
der	w7_d591e11964
geh.	w9_d591e11967
Hof	w11_d591e11970
und	w13_d591e11974
Staats	w15_d591e11977
canzl.,	w1_d591e11982
in	w3_d591e11985
der	w5_d591e11988
Schaufler=gas.,	w7_d591e11991
alt	w9_d591e11994
2.	w11_d591e11997
J.	w13_d591e12001
Jos.	w1_d591e12006
Jenschger,	w3_d591e12009
Hausmeist.,	w5_d591e12012
im	w7_d591e12015
Brandeschickis.	w9_d591e12018
H.	w11_d591e12021
am	w1_d591e12027
alt.	w3_d591e12030
Fleischm.,	w5_d591e12033
alt	w7_d591e12036
76.	w9_d591e12039
J	w11_d591e12042
</list>
<head id="h2_d591e12049">
Vor	w1_d591e12053
der	w3_d591e12056
Stadt.	w5_d591e12059
</head>
<list id="l4_d591e12062">
Hr.	w1_d591e12066
Joh.	w3_d591e12069
Georg	w5_d591e12072
Görgowitsch,	w7_d591e12075
K.	w9_d591e12078
K.	w11_d591e12081
Orientalis.	w13_d591e12085
Cur	w15_d591e12088
rier,	w1_d591e12093
im	w3_d591e12096
Fockonetis.	w5_d591e12099
H.	w7_d591e12102
an	w9_d591e12105
der	w11_d591e12108
Wien,	w13_d591e12112
alt	w15_d591e12115
85	w17_d591e12118
J.	w19_d591e12121
Dem	w1_d591e12126
Jos.	w3_d591e12129
Hebenstreit,	w5_d591e12132
Burgerl.	w7_d591e12135
Zeugmach.,	w9_d591e12138
s.	w11_d591e12141
K.	w13_d591e12145
Magdal,	w1_d591e12151
im	w3_d591e12154
Mayris.	w5_d591e12157
H.	w7_d591e12160
zu	w9_d591e12163
Gumpend.,	w11_d591e12166
3.	w13_d591e12170
J.	w15_d591e12173
Lor.	w1_d591e12178
Niederdeckel,	w3_d591e12181
Burgerl.	w5_d591e12184
Schuhmach.,	w7_d591e12187
in	w9_d591e12190
s.	w11_d591e12193
H.	w13_d591e12197
zu	w1_d591e12202
Erdberg,	w3_d591e12205
alt	w5_d591e12208
75	w7_d591e12211
J.	w9_d591e12214
Dem	w1_d591e12219
Mart.	w3_d591e12222
Opitz,	w5_d591e12225
Herrschaftl.	w7_d591e12228
Kucheltrag,	w9_d591e12231
s.	w11_d591e12234
K.	w13_d591e12238
Carl,	w1_d591e12244
beyn	w3_d591e12247
3.	w5_d591e12250
Mohr.	w7_d591e12253
in	w9_d591e12256
der	w11_d591e12259
Rossau,	w13_d591e12263
alt	w15_d591e12266
5.	w17_d591e12269
J.	w19_d591e12272
Eva	w1_d591e12277
Straußin,	w3_d591e12280
Wittwe,	w5_d591e12283
beym	w7_d591e12286
weis.	w9_d591e12289
Hahn	w11_d591e12292
in	w13_d591e12296
der	w15_d591e12299
Rossau,	w1_d591e12304
alt	w3_d591e12307
70.	w5_d591e12310
J.	w7_d591e12313
Dem	w1_d591e12318
Joh.	w3_d591e12321
Tauber,	w5_d591e12324
Haus=inhab,	w7_d591e12327
s.	w9_d591e12330
T.	w11_d591e12333
Theres.,	w13_d591e12337
in	w15_d591e12340
s.	w1_d591e12346
H.	w3_d591e12349
auf	w5_d591e12352
der	w7_d591e12355
neuen	w9_d591e12358
Wied.,	w11_d591e12361
alt	w13_d591e12365
16.	w15_d591e12368
J.	w17_d591e12371
Anna	w1_d591e12376
Neurin,	w3_d591e12379
led.	w5_d591e12382
M.,	w7_d591e12385
bey	w9_d591e12388
der	w11_d591e12391
gold.	w13_d591e12395
Kanne	w15_d591e12398
am	w17_d591e12401
Hungelbrunn,	w1_d591e12406
alt	w3_d591e12409
17.	w5_d591e12412
J.	w7_d591e12415
</list>
<head id="h2_d591e12422">
Summa	w1_d591e12426
11.	w3_d591e12429
Pers.,	w5_d591e12432
darunter	w7_d591e12435
3.	w9_d591e12438
Kind.	w11_d591e12441
</head>
<p id="p8_d591e12454">
Wer	w1_d591e12458
nach	w3_d591e12461
Wällschland	w5_d591e12464
reisen	w7_d591e12467
will,	w9_d591e12470
kan	w11_d591e12473
sich	w13_d591e12477
auf	w1_d591e12482
der	w3_d591e12485
Wieden	w5_d591e12488
bey	w7_d591e12491
der	w9_d591e12494
roten	w11_d591e12497
Ente	w13_d591e12501
anmelden,	w15_d591e12504
wo	w1_d591e12509
die	w3_d591e12512
Wällsche	w5_d591e12515
Fuhr=leut	w7_d591e12518
einzukehren	w9_d591e12521
pflegen.	w11_d591e12524
</p>
<p id="p10_d591e12527">
Den	w1_d591e12531
8.	w3_d591e12534
Octob.	w5_d591e12537
werden	w7_d591e12540
im	w9_d591e12543
Kraut=gässel	w11_d591e12546
im	w13_d591e12550
Je	w15_d591e12553
namischen	w1_d591e12558
vorhin	w3_d591e12561
D.	w5_d591e12564
Mazellaischen	w7_d591e12567
Haus	w9_d591e12570
im	w11_d591e12573
ersten	w13_d591e12577
Stock	w1_d591e12582
verschiedene	w3_d591e12585
Effecten,	w5_d591e12588
und	w7_d591e12591
Haus=einrich	w9_d591e12594
tung,	w1_d591e12600
auch	w3_d591e12603
Wein	w5_d591e12606
um	w7_d591e12609
9.	w9_d591e12612
Uhr	w11_d591e12615
fruh,	w13_d591e12619
und	w15_d591e12622
3.	w17_d591e12625
Uhr	w19_d591e12628
Nachmittags	w1_d591e12633
plus	w3_d591e12636
offerenti	w5_d591e12639
verkauffet	w7_d591e12642
werden.	w9_d591e12645
</p>
<p id="p12_d591e12649">
Mit	w1_d591e12653
Genehmhaltung	w3_d591e12656
hoher	w5_d591e12659
Obrigkeit	w7_d591e12662
wird	w9_d591e12665
dem	w1_d591e12670
Publico	w3_d591e12673
zu	w5_d591e12676
wissen	w7_d591e12679
gemacht,	w9_d591e12682
daß	w11_d591e12685
Herr	w13_d591e12689
Jo	w15_d591e12692
hann	w1_d591e12697
Götz,	w3_d591e12700
privilegirter	w5_d591e12703
Hof=bandmacher	w7_d591e12706
der	w9_d591e12709
Mariä	w1_d591e12715
Theresiä	w3_d591e12718
Ritter=ordens=bänder	w5_d591e12721
sein	w7_d591e12724
Ver	w9_d591e12727
schleissungs=ort	w1_d591e12732
bey	w3_d591e12735
Hrn.	w5_d591e12738
Dominico	w7_d591e12741
Nicolao	w9_d591e12744
Mayer,	w11_d591e12747
Burgerl.	w1_d591e12752
Handls=mann	w3_d591e12755
beym	w5_d591e12758
grünen	w7_d591e12761
Hut	w9_d591e12764
in	w11_d591e12767
der	w13_d591e12771
Bogner=gassen	w1_d591e12776
habe.	w3_d591e12779
</p>
<p id="p14_d591e12782">
Donnerstags	w1_d591e12786
den	w3_d591e12789
1.	w5_d591e12792
Octob.	w7_d591e12795
werden	w9_d591e12798
in	w11_d591e12801
dem	w13_d591e12805
so	w15_d591e12808
genannten	w1_d591e12813
Gundelischen,	w3_d591e12816
nunmehro	w5_d591e12819
Sellierischen	w7_d591e12822
Hause	w1_d591e12827
unter	w3_d591e12830
denen	w5_d591e12833
Tuchlauben	w7_d591e12836
am	w9_d591e12839
Schönbrunn	w11_d591e12842
im	w1_d591e12848
dritten	w3_d591e12851
Stock	w5_d591e12854
Vormittags	w7_d591e12857
von	w9_d591e12860
9.	w11_d591e12863
bis	w13_d591e12867
12.	w15_d591e12870
und	w17_d591e12873
Nachmittags	w1_d591e12878
von	w3_d591e12881
3.	w5_d591e12884
bis	w7_d591e12887
6.	w9_d591e12890
Uhr	w11_d591e12893
unterschiedliche	w13_d591e12897
Einrichtungs=effecten,	w1_d591e12902
als:	w3_d591e12905
Kästen,	w5_d591e12908
Tisch	w7_d591e12911
Soffa,	w1_d591e12916
Sessel,	w3_d591e12919
Behtstellen,	w5_d591e12922
und	w7_d591e12925
etwas	w9_d591e12928
Bebt	w11_d591e12931
zeug,	w1_d591e12937
einige	w3_d591e12940
Kupfer=stich	w5_d591e12943
vom	w7_d591e12946
Piazzetta,	w9_d591e12949
Spal	w11_d591e12952
lier,	w1_d591e12957
Zinn	w3_d591e12960
und	w5_d591e12963
anderes	w7_d591e12966
Haus=gerähte,	w9_d591e12969
inglei	w11_d591e12972
chen	w1_d591e12977
ein	w3_d591e12980
zweysitziger	w5_d591e12983
Stadt=schwimmer,	w7_d591e12986
zwey	w9_d591e12989
grosse	w1_d591e12994
wol	w3_d591e12997
conservirte	w5_d591e13000
Bärn=häutene	w7_d591e13003
Pferdde	w9_d591e13006
cken,	w1_d591e13012
und	w3_d591e13015
ein	w5_d591e13018
kleiner	w7_d591e13021
Laiter=wagen	w9_d591e13024
samt	w11_d591e13027
ein	w13_d591e13031
paar	w15_d591e13034
Pferd=geschirr	w1_d591e13039
licitando	w3_d591e13042
an	w5_d591e13045
den	w7_d591e13048
Meistbietenden	w9_d591e13051
hindanngegeben	w1_d591e13056
werden.	w3_d591e13059
</p>
<p id="p16_d591e13062">
Es	w1_d591e13066
dienet	w3_d591e13069
dem	w5_d591e13072
Publico	w7_d591e13075
zur	w9_d591e13078
Nachricht,	w11_d591e13081
daß	w13_d591e13085
den	w1_d591e13090
12.	w3_d591e13093
Octob.	w5_d591e13096
a.	w7_d591e13099
c.	w9_d591e13102
in	w11_d591e13105
dem	w13_d591e13109
grossen	w15_d591e13112
Hochfürstl.	w17_d591e13115
Passauer=hof	w1_d591e13120
ein	w3_d591e13123
schöner	w5_d591e13126
Voraht	w7_d591e13129
von	w9_d591e13132
Historischen	w11_d591e13135
und	w1_d591e13141
Politischen	w3_d591e13144
Bücher	w5_d591e13147
in	w7_d591e13150
Französischer	w9_d591e13153
und	w11_d591e13156
Jtalienischer	w1_d591e13161
Sprach	w3_d591e13164
licitando	w5_d591e13167
verkauffet	w7_d591e13170
werden.	w9_d591e13173
Der	w1_d591e13178
Catalogus	w3_d591e13181
ist	w5_d591e13184
in	w7_d591e13187
der	w9_d591e13190
Buchhandlung	w11_d591e13193
zum	w13_d591e13197
goldenen	w1_d591e13202
Vließ	w3_d591e13205
auf	w5_d591e13208
der	w7_d591e13211
hohen	w9_d591e13214
Brucken	w11_d591e13217
gratts	w13_d591e13221
zu	w15_d591e13224
bekommen.	w1_d591e13230
</p>
<p id="p18_d591e13235">
Es	w1_d591e13239
ist	w3_d591e13242
den	w5_d591e13245
28.	w7_d591e13248
dies	w9_d591e13251
Monats	w11_d591e13254
Septemb.	w13_d591e13258
1761.	w15_d591e13261
ausser	w1_d591e13266
der	w3_d591e13269
Stadt	w5_d591e13272
ein	w7_d591e13275
goldenes	w9_d591e13278
Uhr=gehäuse	w11_d591e13281
verloren	w1_d591e13286
gegangen,	w3_d591e13289
wer	w5_d591e13292
solches	w7_d591e13295
gefunden,	w9_d591e13298
wird	w11_d591e13301
dienstlichst	w1_d591e13307
gebetten,	w3_d591e13310
solches	w5_d591e13313
gegen	w7_d591e13316
gewiß	w9_d591e13319
guter	w11_d591e13322
